ロブ	robb
マダム	mevrou
マダム	madam
マダム	madame
トレント	trent
アーセナル	arsenal
おば	tannie
ベイビー	baba
キルギス	kirgisië
とにかく	elkgeval
とにかく	anyway
とにかく	nogtans
アダムス	adams
ブライト	helder
参事官	raadslede
トレーラー	sleepwa
トレーラー	lokprent
毛皮	pels
コロシアム	coliseum
コロシアム	colosseum
シンフォニー	simfonie
エスカレーター	roltrap
選任	afspraak
選任	verkiesing
マグマ	magma
条文	verskaffing
条文	voorsiening
ニクソン	nixon
ごみ	klomp
ハーブ	krui
ハーブ	kruie
フィアット	fiat
ドロシー	dorothy
チェ	choi
チェ	che
フェンダー	fender
キール	kir
キール	kiel
ジョーク	joke
ジョーク	grappies
フォスター	foster
クロスオーバー	crossover
孵化	hatch
コウモリ	vlermuis
バチカン	vatikaan
バール	balk
バール	bar
バール	kroeg
ヴィラ	vila
ヴィラ	villa
ヴィラ	villas
ユーモア	humoristiese
ユーモア	humor
溶液	oplossing
ウイスキー	whiskey
ウイスキー	whisky
バッド	sleg
ナシ	peer
アレクセイ	aleksei
アレクサンドリア	alexandrië
アレクサンドリア	alexandria
総局	direktoraat
ファゴット	fagot
エリザベート	elisabeth
コンポーネント	komponent
コンポーネント	komponente
聴覚	verhoor
聴覚	hoor
聴覚	gehoor
聴覚	aanhoor
聴覚	hearing
ナンパ	nanpa
簡潔	concise
トリガー	sneller
イベリア	iberië
イーグルス	eagles
刻印	bygedra
チューリップ	tulp
レニングラード	leningrad
リップ	rip
コルト	colt
プランニング	beplanning
曲面	oppervlak
煉瓦	sover
煉瓦	baksteen
ペイン	paine
ペイン	payne
ペイン	pyn
薬剤師	apteker
自律	outonome
ポツダム	potsdam
ニコル	nicol
ニコル	nicole
嫌がらせ	teistering
嫌がらせ	teister
プロヴァンス	provence
ミーティング	meetings
ミーティング	vergaderings
ミーティング	ontmoeting
ミーティング	besigheid
ミーティング	vergadering
カーペット	carpet
モンタナ	montana
カビ	skimmel
ギャップ	gap
地層	strata
地層	stratum
アルス	ars
シェリー	cherie
シェリー	sjerrie
シェリー	shelly
乗り物	voertuie
乗り物	voertuig
ダニ	bosluis
ダニ	dani
伊奈	ina
暖房	verhitting
イネ	ine
数量	hoeveelheid
数量	aantal
数量	kwantiteit
江蘇省	jiangsu
中級	intermediate
パンドラ	pandora
チャイコフスキー	tchaikovsky
カナリア	kanariese
カナリア	kanarie
テンプル	tempel
テンプル	temple
偽造	vervals
エメラルド	emerald
テレサ	teresa
テレサ	theresa
マッカートニー	mccartney
パタゴニア	patagonië
太い	dik
アニー	annie
ベルン	bern
コックピット	cockpit
匂い	reuk
匂い	ruik
ゴメス	gomes
ゴメス	gomez
ゴメス	gómez
ナラ	nala
ゲーテ	goethe
無条件	onvoorwaardelik
無条件	onvoorwaardelike
リハーサル	repetisie
リハーサル	repeteer
ケニー	kenny
祝う	vier
サラダ	slaai
エクアドル	ecuador
制動	braking
河北省	hebei
ルワンダ	rwanda
シューマン	schumann
シューマン	schuman
パラリンピック	paralympics
十字路	kruispad
十字路	crossroads
レナード	leonard
ベルナール	bernard
エンリケ	enrique
ひどい	verskriklike
ひどい	terrible
ポーツマス	portsmouth
オスロ	oslo
モニカ	monika
スペシャリスト	specialist
スペシャリスト	deskundige
リガ	riga
ロコ	loco
パワフル	powerful
パワフル	kragtige
ジョシュ	josh
スカーレット	scarlet
スカーレット	scarlett
ペレス	perez
ペレス	pérez
泣く	huil
泣く	cry
泣く	huil
インディー	indie
ペガサス	pegasus
ディエゴ	diego
観念	idee
ケネス	kenneth
シャドウ	skadu
シャドウ	skaduwee
発送	dispatch
マンガン	mangaan
ポッター	potter
ハト	duiwe
ハト	pigeon
スモール	small
スモール	klein
パルコ	parco
給料	loon
給料	salaris
エドワーズ	edwards
スズ	tin
ベネット	bennett
ミミ	mimi
肩書	lêername
ダライ	dalai
コンペティション	kompetisie
役立つ	nuttige
役立つ	gehelp
役立つ	hulpvaardig
役立つ	behulpsaam
役立つ	nuttig
世俗	secular
ドリンク	drank
ドリンク	drankie
ドリンク	drankies
子宮	uterus
グラスゴー	glasgow
航法	navigasie
カザン	kazan
シェパード	shepherd
シェパード	herdershond
シェパード	shepard
贈り物	geskenke
贈り物	geskenk
ラグナ	laguna
ノヴゴロド	nowgorod
ベネディクト	benedictus
オペレーション	bewerkings
オペレーション	operasie
オペレーション	bewerking
ガーディアン	guardian
ガーディアン	voog
小麦	koring
物事	dinge
描画	skets
描画	tekening
パレット	palet
マギー	maggie
フューチャー	toekomstige
フューチャー	toekoms
狂気	insane
狂気	malheid
狂気	madness
リマ	lima
ストーカー	stalker
ロバ	donkie
大麻	cannabis
村落	villages
村落	village
村落	dorpie
生態系	ekostelsel
かわいい	oulik
モニュメント	monumente
モニュメント	monument
ジャッジ	judge
ジャッジ	regter
ピエモンテ	piemonte
ローラン	laurent
ファインダー	soeker
ファインダー	finder
ザグレブ	zagreb
ニューカッスル	newcastle
サクラメント	sacramento
マジカル	magiese
マジカル	magical
銃器	vuurwapen
銃器	vuurwapens
ソート	rangskik
ソート	sorteer
覚書	memorandum
サンダー	donderweer
紅茶	tee
デア	der
ノーラン	nolan
信じる	glo
ピッコロ	piccolo
ガマ	gama
ヴィンセント	vincent
ハイライト	gemerk
ハイライト	hoogtepunte
ハイライト	hoogtepunt
ハイライト	verlig
フェスタ	festa
マシーン	masjien
ポーラ	paula
暗闇	donkerte
エスパーニャ	españa
マーチン	martinus
マーチン	martin
リラ	lira
リラ	rila
リベラル	liberale
ゼルダ	zelda
果物	vrug
果物	vrugte
果物	fruits
おじ	oom
停電	blackout
爬虫類	reptiel
爬虫類	reptiele
共感	empatie
五つ	vyf
税金	belasting
税金	belastings
隔離	isolation
隔離	isolasie
バーレーン	bahrein
球体	sfeer
領事	consul
不便	ongerieflik
不便	ongerief
ブラームス	brahms
キャメロン	cameron
マーキュリー	mercury
マーキュリー	kwik
知識人	intellektuele
談話	discourse
ウェディング	troues
ウェディング	troue
救急車	ambulans
神保	jimbo
セグメント	segmente
ノエル	noël
ノエル	noel
ナタリー	natalie
在庫	inventaris
トミ	tomi
カーティス	curtis
サングラス	sonbril
セブ	cebu
スプリンター	sprinter
ドミニク	dominic
ビルバオ	bilbao
ペルソナ	persona
軍縮	ontwapening
スプレー	sproei
ガリレオ	galileo
ポテンシャル	potensiaal
生化学	biochemie
スピーチ	spraak
スピーチ	toespraak
スピーチ	speech
ジャスティン	justin
シング	singh
デュッセルドルフ	düsseldorf
タスク	take
タスク	taak
ジュピター	jupiter
キャプション	opskrif
キャプション	onderskrifte
キャプション	byskrifte
ユヴェントス	juventus
物品	goedere
ルーレット	roulette
リビング	leef
リビング	tuiste
チャド	chad
バイオリン	viool
ジャカルタ	djakarta
インターフェース	koppelvlak
キノ	kino
ドロー	teken
済州	jeju
公判	verhoor
便宜	gerief
カスタマイズ	eie
カスタマイズ	pasmaak
カスタマイズ	verpersoonlik
カスタマイズ	pasmaak
門真	kadoma
バングラデシュ	bangladesj
ペルシャ	persies
ペルシャ	persiese
変種	verskeidenheid
リハビリテーション	rehabilitasie
屈折	ligbreking
アクセサリー	bykomstighede
肥料	bemesting
フォーチュン	fortuin
ラッパー	rapper
ラッパー	wrapper
検知	opsporing
検知	opgespoor
検知	bespeur
検知	ondersoek
アイスクリーム	roomys
野獣	beast
野獣	monster
サメ	sharks
サメ	shark
サメ	haai
サメ	haaie
フレディ	freddy
湖沼	mere
ソチ	sochi
オペレーター	operator
レクイエム	requiem
ゲット	kry
レイチェル	rachel
バンクス	banke
専ら	uitsluitlik
ナット	moer
陽気	vrolik
陽気	vrolike
陽気	blymoedige
陽気	jolly
陽気	spelerige
陽気	speels
ホルヘ	jorge
概説	buitelyn
概説	opsomming
マグロ	tuna
ジョイ	vreugde
クッキング	kook
クッキング	kookkuns
リーク	lekkasies
プッシュ	deurstuur
プッシュ	stoot
ファンク	funk
キープ	aanhou
キープ	hou
キープ	behou
グアテマラ	guatemala
フライデー	vrydag
ダイバー	duiker
ダイバー	divers
可視	sigbare
可視	sigbaar
メタン	metaan
長方形	reghoeke
長方形	reghoek
パイプライン	pyplyn
河南省	henan
疾病	siekte
迷路	doolhof
コントローラー	beheerder
形容詞	aktief
アスリート	atleet
アスリート	atlete
キャラバン	caravan
ユーリ	joeri
ホルシュタイン	holstein
手足	ledemate
丸い	rondte
ジェラルド	gerald
変奏曲	variasies
ライデン	leiden
カーテン	curtain
カーテン	gordyne
嫌悪	afgryse
嫌悪	afsku
昨日	yesterday
昨日	gister
ブルネイ	broenei
コンベンション	konvensie
コンベンション	convention
引き出し	laai
ロジェ	roger
課金	hef
課金	lading
課金	heffing
課金	charge
我慢	geduld
レクリエーション	ontspanning
トスカーナ	tuscany
トスカーナ	toskaanse
カルメン	carmen
超新星	supernova
ファイターズ	vegters
サーベル	sabre
サーベル	saber
ファウスト	faust
ファシズム	fascisme
テナー	tenoor
テナー	tenor
ハルビン	harbin
曼荼羅	mandala
組み込み	ingebedde
組み込み	ingelegde
組み込み	ingebed
ズボン	broek
マインツ	mainz
日の出	sonsopkoms
カリキュラム	curriculum
プラトン	plato
ロミオ	romeo
風車	windpomp
風車	windmeul
風車	windpompe
ヒデ	versteek
ヒデ	verberg
ブルックス	brooks
遼寧省	liaoning
ピエトロ	pietro
触手	tentakels
ドク	dok
ドク	doc
ホイットニー	whitney
チタン	titanium
和睦	versoening
生計	livelihood
悲しい	hartseer
ハガキ	poskaart
アトレティコ	atlético
取り出し	uitskiet
ダイス	stene
ダイス	steen
アレクサンドラ	alexandra
メル	mel
ファイナンス	finansieel
ファイナンス	finansies
アニメイト	animasie
偏見	prejudice
ファルコン	falcon
ウガンダ	uganda
許す	forgiveness
許す	vergewe
カメルーン	kameroen
コンプリート	voltooi
コンプリート	afgehandel
ホステス	gasvrou
ダイビング	duik
ダイビング	diving
ダイビング	duik
ジャニ	jani
バビロン	babylon
カーネギー	carnegie
ウェリントン	wellington
リザ	liza
マーラー	mahler
カストロ	castro
ワシ	eagle
ワシ	arend
新星	nova
テヘラン	teheran
ブロンズ	brons
アントワーヌ	antoine
スキップ	oorgeslaan
スキップ	gevlug
ヤシ	palm
小切手	tjeks
小切手	tjek
絶叫	gil
運動量	momentum
パルチザン	partydige
セネガル	senegalese
セネガル	senegal
浙江省	zhejiang
ソーラー	solar
議定書	protokol
ピザ	pizza
土星	saturnus
サクセス	sukses
サクセス	suksesvol
ニカラグア	nicaragua
アラー	allah
海老	garnale
コンパイラ	samestellers
退屈	verveeld
退屈	verveeldheid
シボレー	chevy
シボレー	chevrolet
シフ	schiff
中庭	courtyard
ウィークリー	daagliks
ウィークリー	weekliks
ウィークリー	weeklikse
購買	aankope
ウィルス	virus
ウィルス	viruses
アンジェラ	angela
噴水	fontein
噴水	fonteine
リムジン	limousine
試練	probeerslae
コンドル	condor
苦しむ	suffer
ヘルプ	help
ヘルプ	hulp
スーパーマン	superman
レンガ	sover
レンガ	baksteen
ブラント	brant
ブラント	brandt
リベンジ	wraak
リベンジ	revenge
ミヒャエル	michael
イデオロギー	ideologie
イデオロギー	ideologies
オルレアン	orleans
オルレアン	orléans
わくわく	opwindende
わくわく	exciting
わくわく	opgewonde
着信	inkomende
ベティ	betty
サモア	samoaans
サモア	samoa
パーマー	palmer
登米	tome
ベーシック	basies
ベーシック	basic
ベーシック	basiese
切り札	trump
包装	verpakking
鉛筆	potlood
会計士	rekenmeester
会計士	boekhouer
会計士	rekeningkundige
カーリング	curling
ヒート	heat
ヒート	hitte
東南	suidoos
アウディ	audi
隣人	buurman
隣人	buurman
乱暴	rof
エヴァ	eva
後悔	berou
後悔	verwyte
ハエ	fly
ハエ	vlieg
エセックス	essex
マーベル	marvel
悪霊	demoon
悪霊	demon
悪霊	demone
悪霊	duiwels
汚職	korrupsie
服飾	kostuum
ロケーション	location
ロケーション	ligging
牛肉	beesvleis
ジョンストン	johnston
散乱	scattering
レジスタンス	weerstand
胎児	fetus
マーカス	marcus
可児	kani
チャールストン	charleston
由緒	geskiedenis
由緒	history
地下水	grondwater
好奇心	nuuskierig
好奇心	eienaardige
好奇心	nuuskierigheid
エドウィン	edwin
ニャー	miaau
花粉	stuifmeel
サタン	satan
生態学	ekologie
サイクリング	fietsry
フレックス	flex
バスト	bust
レゲエ	reggae
フェーズ	phase
フェーズ	fase
タフ	tough
タフ	lot
スパイス	spices
スパイス	spesery
スパイス	spice
ヘンダーソン	henderson
光沢	glans
トラウマ	trauma
親指	duim
フォロー	volg
フォロー	volgelinge
政治局	politburo
粉末	meel
粉末	powder
ジブラルタル	gibraltar
プレイボーイ	playboy
マーズ	mars
グレゴリー	gregory
グレゴリー	gregorius
セバスティアン	sebastian
ゴダール	godard
台所	kombuis
ナシオナル	nacional
ドルトムント	dortmund
レミ	remi
モア	moa
パウエル	powell
ジョエル	joel
リッチー	ritchie
リッチー	richie
楽屋	backstage
公道	hoofweg
公道	grootpad
公道	highway
峡谷	gorge
峡谷	kloof
救世主	verlosser
馬術	equestrian
書式	formate
書式	formateer
アレルギー	allergie
ガードナー	gardner
序文	preface
知覚	perception
朱雀	suzaku
脊椎動物	gewerweldes
ダーリン	liefling
ブルズ	bulle
ブルズ	bulls
勇敢	dapper
テンソル	tensor
ワンダフル	wonderlik
ワンダフル	heerlik
モーメント	oomblikke
モーメント	oomblik
トムソン	thomson
リエージュ	luik
レベッカ	rebecca
マルティネス	martinez
マルティネス	martínez
バクー	bakoe
わざと	opsetlik
ウィレム	willem
キラキラ	sterretjies
叙事詩	epic
ファックス	faks
平仮名	hiragana
無制限	onbeperk
サギ	egret
サギ	reier
パラマウント	paramount
クレーム	klagtes
クレーム	klagte
トウモロコシ	mielie
トウモロコシ	mielies
トウモロコシ	koring
トウモロコシ	mielie
ギネス	guinness
ミューズ	muse
景色	natuurskoon
甲状腺	skildklier
シューベルト	schubert
フロイド	floyd
フェルディナンド	ferdinand
フェルディナンド	ferdi
オードリー	audrey
ラインハルト	reinhardt
硝酸	nitrate
図面	tekeninge
図面	skets
図面	tekening
ハッスル	hustle
サバンナ	savannah
サバンナ	sneeu
サバンナ	savanna
レイラ	leila
埋める	silwer
埋める	volmaak
フィンガー	vinger
スターズ	sterre
康成	yasunari
モロ	moro
チャリティ	liefdadigheid
かつら	wig
リッキー	ricky
ウォレス	wallace
プロット	stip
区切り	breek
区切り	blaaskans
山西省	shanxi
雄大	manjifiek
計器	instrument
ゲームセンター	arcade
ゲームセンター	arkade
クリケット	krieket
ゆっくり	stadig
パター	putter
アリストテレス	aristoteles
カローラ	corolla
ハイドン	haydn
プレジデント	president
瀬田	seta
ビスタ	vista
ワンダー	wonder
クッキー	koekies
クッキー	koekie
シギ	snip
瞑想	meditasie
ナショナリズム	nationalism
正方形	vierkantig
正方形	vierkant
正方形	vierkantige
正方形	vierkante
正方形	blokkies
テオドール	theodore
テオドール	fjodor
テオドール	theodorus
テオドール	theodor
テオドール	théodore
パスカル	pascal
タンザニア	tanzanië
リザーブ	webbediener
リザーブ	gereserveer
リザーブ	reserveer
リザーブ	bespreek
キャビン	hut
キャビン	kajuit
キャビン	cabin
ヘリウム	helium
羽毛	feather
羽毛	vere
ハロウィン	halloween
ウッズ	woods
フラグ	vlaggie
フラグ	vlag
フラグ	rapporteer
フラグ	vlae
フラグ	gemerk
フラグ	vlaggies
グリム	grimm
銀河系	galaxy
銀河系	sterrestelsel
サプライズ	verrassing
アニマル	dier
同定	identifikasie
チャーチ	kerk
ロッシ	rossi
マグネシウム	magnesium
共和制	republiek
共和制	republieke
仮装	kostuum
磁石	magnete
小幡	obata
インストラクター	instrukteur
イノベーション	innovasies
イノベーション	innovasie
窃盗	diefstal
窃盗	steel
窃盗	diefstal
コンビネーション	kombinasie
マーフィー	murphy
喋る	praat
喋る	speak
シャーリー	shirley
ソフィー	sophie
いとこ	niggie
いとこ	neef
ハプニング	gebeur
シャロン	sharon
前奏曲	prelude
ディスカバリー	ontdekking
ディスカバリー	discovery
ドイル	doyle
パレルモ	palermo
ノストラダムス	nostradamus
海事	maritieme
四肢	ledemate
バリア	barrier
ロッテルダム	rotterdam
ダイアモンド	diamond
ダイアモンド	diamant
カント	canto
不快	ongemaklik
ピサ	pisa
外傷	skade
外傷	besering
外傷	trauma
パレ	palais
パルプ	pulp
ヴェルサイユ	versailles
エイドリアン	adrian
カイル	kyle
朝食	ontbyt
脂質	lipied
ミネアポリス	minneapolis
湖南省	hunan
ロート	roth
式部	shikibu
宗谷	soja
カルテット	kwartet
小文字	kleinletters
ミック	mick
紫外線	ultraviolet
アルカリ	alkali
予告編	sleepwa
予告編	lokprent
揖斐	ibi
ロウ	lowe
シルク	silk
モザンビーク	mozambique
モザンビーク	mosambiek
モザンビーク	mosambiekse
ユリア	magda
ユリア	julia
ジプシー	gypsy
ヴィンチ	vinci
トゥールーズ	toulouse
マリーナ	marina
ロッジ	gastehuis
興味深い	interessant
スパイラル	spiral
ラウル	raoul
サハラ	sahara
疑念	twyfel
アソシエーション	vereniging
アソシエーション	assosiasie
バリトン	bariton
ギル	gil
アッバース	abbas
ラガー	lager
租税	belasting
オウム	papegaai
インターセプト	koppelvlak
インターセプト	onderskep
コレクター	collector
カノ	kano
整形	instellings
整形	formatering
インパルス	impulse
トルーマン	truman
アイデンティティ	identiteit
ヨーコ	yoko
渤海	bohai
ジェノヴァ	genoa
キツネ	jakkals
キツネ	fox
フォート	fort
プロパガンダ	propaganda
ハーモニカ	mondfluitjie
イージー	maklik
イージー	maklike
風邪	cold
風邪	koue
風邪	koud
ストレージ	berging
シチュエーション	situasie
サンスクリット	sanskrit
ティムール	timoer
スノーボード	sneeuplankry
青銅	brons
スルターン	sultan
貯蓄	besparings
船尾	stern
冊子	boekie
いくらか	sommige
パラシュート	valskerm
アレイ	skikkings
アレイ	skikking
九龍	kowloon
ツバメ	swael
全裸	naaktheid
腎臓	nier
ブレスト	brest
抑圧	lyke
タリン	tallinn
ストラスブール	strasbourg
コックス	cox
炭化	carbide
シャンソン	chanson
アスペクト	aspek
リアリティ	realiteit
リアリティ	werklikheid
稼ぐ	verwerf
うつ病	depressie
東条	tojo
ギヨーム	guillaume
会報	nuusbrief
シック	chic
多分	miskien
多分	dalk
接吻	kiss
接吻	soen
メイソン	mason
アイダホ	idaho
審理	verrigtinge
イエメン	jemen
ジャーナリズム	joernalistiek
湿度	humiditeit
ボリューム	volume
ボリューム	volumes
サプライ	verskaffing
サプライ	voorrade
サプライ	voorraad
サプライ	verskaf
セロ	cerro
セロ	cyril
ボンネット	bonnet
ボンネット	hood
食肉	vleis
生き物	skepsels
生き物	diertjie
マーカー	merker
酵母	gis
マンモス	mammoet
願望	aspirasies
土産	souvenirs
土産	souvenir
ムーンライト	moonlight
退院	ontslag
退院	ontlaai
オア	orr
ジャガイモ	potatoes
ジャガイモ	aartappel
瀕死	dying
ゴッホ	gogh
砂丘	duin
カヌー	canoe
加速度	versnelling
加速度	versnel
ロレーヌ	lorraine
ペイジ	paige
執政官	consul
女帝	empress
エイズ	vigs
ハノイ	hanoi
推論	redenasie
モルガン	morgan
ニキ	niki
ホームレス	hawelose
プラネタリウム	planetarium
ハニー	heuning
やむを得ない	onvermydelike
ゆっくりと	stadig
大理石	marmer
大理石	marble
アイリス	iris
ハンク	hank
性交	omgang
ニックス	nix
サガン	sagan
シュナイダー	schneider
略語	afkorting
略語	afkortings
ブレア	blair
ウォリアーズ	warriors
アウェイ	weg
治癒	genees
カラフル	kleurvolle
カラフル	kleurvolle
ハインツ	heinz
匈奴	xiongnu
失業	werkloosheid
バリュー	waarde
残高	saldo
残高	balans
フセイン	hoesein
フセイン	hussain
弾性	elastisiteit
セレモニー	ceremony
セレモニー	seremonie
ワイオミング	wyoming
フロート	float
フロート	dryf
風習	doeane
風習	customs
風習	aangepas
エピック	epic
カイト	kite
ノーザン	noordelike
ノーザン	northern
友愛	koshuis
友愛	broederskap
メソジスト	metodiste
岸壁	quay
レイナ	reina
内面	interior
内面	binneste
内面	innerlike
アーベル	abel
孫娘	kleindogter
ブランク	leë
ブランク	blank
エリトリア	eritrea
刺青	tattoo
ポリシー	beleid
ポリシー	beleide
重度	severe
ベーカー	baker
ベーカー	bakker
ブレット	brett
未確認	vreemde
未確認	onbevestig
杏里	anri
ヴェルナー	werner
ニジェール	niger
ウォーキング	loop
ウォーキング	walks
作り方	resep
レボリューション	rewolusie
レボリューション	revolusie
節約	besparings
乳房	breast
娼婦	hoer
クルアーン	koran
トレンド	trend
トレンド	tendens
トレンド	neiging
トレンド	neigings
トレンド	gewild
トレンド	neigings
ハイキング	hiking
野心	ambisie
野心	ambisieuse
オズボーン	osborne
インスタント	kits
チェンバレン	chamberlain
伝染病	epidemie
伝染病	infeksie
人柄	persoonlikheid
ソーダ	soda
ヘレナ	helena
四角	vierkantig
四角	vierkant
四角	vierkantige
ミニチュア	miniature
落札	sold
落札	verkoop
バーニー	barney
バーニー	bernie
略記	afkorting
刀剣	swords
フュージョン	fusie
ウラル	oeral
グロリア	gloria
レイノルズ	reynolds
従者	squire
レックス	rex
さようなら	vaarwel
ミランダ	miranda
ヘンリク	henrik
ストリップ	strook
ストリップ	strip
赤毛	redhead
カウンセリング	berading
タシュケント	tasjkent
偽名	skuilname
偽名	alias
偽名	skuilnaam
ウール	wol
シャトー	château
シャトー	chateau
無実	onskuldige
無実	onskuldig
無実	innocentius
無実	innocent
アンドレアス	andreas
閉会	afsluiting
シェフィールド	sheffield
マルグリット	marguerite
モンゴメリー	montgomery
ソケット	sok
ソケット	socket
ヴェローナ	verona
閉じる	toemaak
閉じる	sluit
閉じる	weier
トランジスタ	transistor
トランジスタ	transistors
ジュディ	judy
プリンター	drukker
城塞	citadel
アーマー	armor
チャペル	kapel
チャペル	chapel
ヴィクター	victor
アブー	aboe
アブー	abu
オマージュ	homage
ジェニー	jennie
ジェニー	jenny
菌類	swam
ハムレット	hamlet
球形	sfeer
サミー	sammy
メイヤー	mayer
メイヤー	meyer
両生類	amfibie
両生類	amfibieë
ハンセン病	melaatsheid
清国	qing
ハッシュ	hash
配送	aflewering
配送	aflewer
配送	lewering
配送	versending
ジャネット	janet
スロープ	hellings
本能	instinct
ガザ	gaza
用例	voorbeelde
プレビュー	besigtig
プレビュー	voorskou
プレビュー	oorleg
ゼウス	zeus
コロンブス	columbus
口頭	mondelinge
ジンバブエ	zimbabwe
ジンバブエ	zimbabwiese
不変	invariant
ヘラクレス	hercules
困惑	verward
光度	liggewendheid
ビューティフル	mooi
ナオミ	naomi
ホロコースト	holocaust
タタール	tartare
タタール	tataars
ソリューション	oplossings
ソリューション	oplossing
コーエン	cohen
挙動	gedrag
挙動	optrede
挙動	gedrag
ムアン	mueang
トワイライト	skemer
サムスン	samsung
ルネッサンス	renaissance
谷間	valley
谷間	vallei
グリフィス	griffith
ダリ	dali
交尾	mating
伝言	boodskap
ニーナ	nina
成都	chengdu
伍長	corporal
伍長	korporaal
