から	od
最終	finale
最終	završni
最終	konačni
アニメ	anime
確認	potvrda
確認	potvrdi
一般	general
歴史	historija
選挙	izbori
選挙	izbori
計画	planirani
計画	planirano
計画	planirana
計画	planirane
計画	planiranja
計画	planiranje
計画	plan
計画	planova
計画	planove
計画	planovi
計画	planira
経済	ekonomijama
経済	privreda
ページ	page
ページ	stranica
ページ	stranica
ページ	listovi
教授	profesor
ラジオ	radio
劇場	theater
劇場	pozorište
劇場	pozorište
グループ	grupa
グループ	grupe
英語	engleski
女性	žena
女性	ženka
女性	žene
地区	okrug
獲得	stiču
得点	rezultat
得点	rezultatom
コメント	komentara
コメント	komentar
コメント	komentari
コメント	komentarima
漫画	strip
漫画	manga
他の	ostali
他の	drugi
就任	pretpostavka
廃止	ukinut
廃止	ukinuo
廃止	ukidanjem
販売	prodaje
販売	prodaja
攻撃	napadi
攻撃	napad
サッカー	nogomet
サッカー	fudbal
リー	lee
議員	senator
デビュー	debi
協会	udruženje
協会	asocijacija
路線	pravci
路線	pravaca
自分	sebe
自分	sobom
自分	sebi
戦争	rat
戦争	ratu
戦争	ratovi
製作	proizvodnja
部分	dio
番号	broj
当初	prvobitno
当初	isprva
最初	prvo
最初	prvi
受賞	nagrade
期間	trajanja
期間	trajanje
広島	hiroshimu
場所	mjesto
場所	lokacija
場所	mesta
場所	mjesta
技術	tehnologija
海軍	mornarica
リンク	veza
リンク	link
リンク	veza
合併	spajanje
道路	putevi
道路	ceste
道路	put
特定	specifične
特定	konkretne
特定	specifična
特定	navedena
朝日	asahi
意味	značenja
意味	značenju
意味	značenje
意味	smisao
システム	sistem
システム	sistemi
モデル	modeli
モデル	model
モデル	modela
列車	voz
列車	vozove
列車	vozovi
列車	vozova
建設	izgradnja
建設	građevinarstvo
建設	građevinski
とき	kada
最後	last
最後	poslednji
最後	poslednja
最後	posljednja
最後	zadnja
最後	posljednji
科学	nauka
理由	razlozi
理由	razloga
理由	razum
一つ	jedan
一つ	jedna
最高	najbolji
最高	best
ブロック	blokovi
ブロック	blokirati
車両	vozila
車両	vozilo
自動車	automobil
自動車	automobile
人口	populacijama
人口	populacija
特に	posebno
特に	posebno
特に	naročito
営業	poslovni
営業	poslovanje
発生	pojava
新聞	novine
新聞	novine
新聞	novina
連続	kontinuitetu
連続	kontinuitet
連続	kontinuirani
連続	neprekidna
政府	vlast
構成	konfiguracija
構成	podešavanja
構成	sastav
構成	kompozicija
構成	sastavu
構成	struktura
構成	strukturi
構成	strukture
最大	maksimalna
最大	maksimalni
最大	maksimalne
最大	maksimum
最大	maksimalno
最大	najveća
キャラクター	karaktera
キャラクター	karakter
キャラクター	lik
キャラクター	likovi
小説	roman
それぞれ	svaki
それぞれ	svaka
機関	organi
機関	institucija
機関	institucije
機関	institucija
参照	referenca
参照	reference
メンバー	član
メンバー	članica
メンバー	članovi
発行	izdat
発行	izdana
発行	izdale
発行	izdata
発行	izdali
発行	izdavanje
発行	izdavanje
画像	slike
画像	slika
画像	imidžu
画像	imidž
画像	slika
画像	pictorial
状態	država
状態	uslovom
状態	uslov
状態	stanje
名称	denominacija
名称	ime
名称	imena
ダム	brana
ホーム	dom
ホーム	home
運行	operacija
投稿	post
投稿	objave
名前	ime
名前	imena
福岡	fukuoka
施設	objekti
施設	institucija
施設	objekat
調査	ispitivanja
調査	istraga
調査	istraživanje
調査	ispitivanje
製造	proizvedena
イタリア	italija
ロシア	ruski
ロシア	rusija
独立	independent
独立	nezavisno
独立	nezavisni
独立	nezavisna
独立	nezavisnost
物語	monogatari
物語	priča
神社	oltar
企画	planiranja
企画	planiranje
サン	san
名古屋	nagoya
通常	obično
通常	obično
企業	preduzeće
企業	preduzetništvo
企業	enterprise
航空	avijacija
航空	vazduh
スーパー	super
帝国	carstvo
トン	tona
トン	tona
トン	tone
トン	tona
トン	ton
トン	tona
トン	tone
影響	uticaja
影響	utjecaj
影響	uticaj
影響	uticaja
勝利	pobjeda
勝利	pobijedi
勝利	osvoji
勝利	pobjeđuje
勝利	pobijedila
勝利	pobjeda
勝利	osvojivši
勝利	pobjednički
勝利	dobijanje
デザイン	dizajn
デザイン	dizajnira
全て	sve
本社	sjedište
人間	čovjek
千葉	chiba
アン	anne
アン	ang
アン	ann
交通	saobraćaj
交通	prijevoz
交通	prevoz
交通	transport
交通	transport
組織	organizacija
組織	organizacija
構造	struktura
構造	strukture
構造	strukturama
構造	struktura
構造	strukturi
構造	strukture
戦い	bitka
実施	implementaciju
ここ	tu
ここ	ovde
ここ	ovdje
以前	pre
以前	prije
サービス	usluge
サービス	usluga
サービス	služba
サービス	servis
統合	konsolidaciju
統合	integrisani
統合	integralne
統合	integrirana
統合	integralno
統合	integralni
統合	spoje
統合	spajanje
統合	integracija
テーマ	teme
テーマ	tema
エンジン	motor
エンジン	motora
エンジン	motori
主演	glumi
ビル	bil
ビル	bill
日本語	japanski
契約	ugovore
契約	ugovorima
契約	ugovori
契約	ugovor
設定	postavke
設定	podešavanja
設定	postavku
設定	konfiguracija
設定	podešavanja
設定	podesi
ライブ	live
含む	sadrži
含む	obuhvaća
含む	obuhvata
含む	uključuje
含む	uključujući
専門	specijalizovani
機能	funkcija
機能	karakteristike
機能	igranih
機能	igrane
機能	funkcionalnost
機能	funkcionalnosti
身長	visina
所在地	lokacija
所在地	lokacijama
所在地	lokacije
所在地	lokacija
完成	završetak
完成	završetku
完成	završetka
表記	notacija
運転	vozeći
運転	vožnje
写真	foto
写真	fotografija
写真	fotografija
写真	slika
関連	relevantne
関連	relevantnim
関連	vezani
関連	vezane
高い	visoko
高い	visoki
高い	visoka
高い	visok
高い	visoki
高い	skup
生産	proizvodnja
横浜	yokohama
上の	iznad
宇宙	svemir
管理	menadžment
管理	upravljanje
バー	barovima
バー	poluge
バー	bar
ジョン	john
部隊	trupa
公園	parkovi
スポーツ	sport
スポーツ	sportsko
脚本	scenarij
脚本	scenario
目的	ciljevi
目的	svrha
目的	cilj
目的	objektivan
生活	život
カード	karte
カード	karta
カード	kartica
基本	osnove
基本	basic
女優	glumice
女優	glumica
不明	nepoznata
不明	nepoznat
不明	nepoznati
タイトル	titule
タイトル	titula
タイトル	titula
政治	politika
電気	elektricitet
電気	električna
電気	električni
警察	policija
作成	stvaraju
作成	napravi
作成	stvoriti
作成	kreiranje
作成	stvaranje
作成	kreirana
作成	stvoreno
作成	stvorena
作成	stvoren
作成	stvorio
ガン	pištolj
予定	zakazana
予定	planirani
予定	planirano
予定	planirana
予定	planirane
スター	zvijezda
経営	menadžment
自由	sloboda
自由	sloboda
自由	free
過去	prošlost
陸軍	vojska
陸軍	armija
運営	operacija
愛知	aichi
表示	pogled
社長	predsjednik
社長	predsjednici
社長	predsjednike
団体	organizacija
工業	industrijske
工業	industrijska
工業	industrijski
通り	street
通り	ulice
通り	ulica
外部	vanjska
外部	vanjski
通信	komunikacija
通信	komunikacija
俳優	glumaca
俳優	glumci
俳優	glumica
俳優	glumac
スペシャル	posebna
スペシャル	specijalno
スペシャル	specijalni
少年	boy
少年	dječak
少年	dečak
病院	bolnica
病院	bolnice
結婚	brak
結婚	brakova
個人	ličnu
個人	ličnim
個人	lične
個人	lična
個人	lično
個人	lični
個人	individualni
個人	individualne
個人	pojedinci
区間	interval
銀行	bankarstvo
銀行	bankarske
銀行	banka
研究所	institut
研究所	institutu
研究所	zavod
主に	uglavnom
主に	primarno
主に	prevashodno
彼女	ona
ニュース	vijest
ニュース	vijesti
ニュース	news
ニュース	novosti
その他	ostala
その他	ostale
その他	drugim
その他	drugi
その他	ostali
その他	drugi
ソフト	meka
ソフト	meku
文学	književnost
能力	sposobnosti
能力	sposobnost
なし	nijedan
なし	nijedna
なし	bez
江戸	edo
学者	učenjaka
学者	učenjak
学者	naučnici
国内	domaće
国内	domaćem
国内	domaća
国内	domaći
空港	aerodrom
空港	aerodromi
ヨーク	jork
ヨーク	york
ヨーク	yorka
高速	brzo
高速	brza
高速	brz
高速	brzi
言語	jezici
言語	jezike
言語	jezik
設計	dizajn
韓国	koreja
リリース	puštanje
リリース	oslobađanje
ベスト	vest
ベスト	najbolji
ベスト	best
現代	savremena
会議	konferencija
会議	sastanke
会議	sastancima
会議	sastanci
会議	sastanaka
会議	sastanak
会議	susret
バンド	bend
バンド	bendova
バンド	bendovi
追加	dodaju
追加	dodati
追加	dodajte
追加	dodaje
追加	append
成功	uspješan
成功	uspješnu
成功	uspješne
成功	uspješna
成功	uspješni
成功	uspjeh
移動	move
移動	potez
移動	pokret
オリンピック	olimpijada
国民	nacionalni
国民	nacionalna
国民	nacija
ファン	navijači
ファン	navijača
ファン	navijač
ファン	fan
すべて	sve
すべて	all
すべて	svi
すべて	sve
山口	yamaguchi
運動	vježbi
運動	vježba
運動	pokret
環境	okruženju
環境	okoliš
環境	sredina
環境	okolina
環境	okruženje
発足	inauguracije
大きな	velikih
大きな	veliki
競技	takmičenje
会長	predsjedavajući
ヨーロッパ	evropa
紹介	uvođenje
紹介	upoznavanje
形式	oblik
形式	formirati
形式	forma
形式	formi
形式	formiraju
工場	fabrika
相手	protivnik
戦闘	bitka
戦闘	borbeni
労働	porođaj
事務所	ured
事務所	office
事務所	kancelarija
限定	ograničene
限定	ograničena
限定	ograničen
データ	podatak
作戦	operacija
オリジナル	originalni
オリジナル	originalna
オリジナル	prvobitni
オリジナル	originalne
オリジナル	original
可能性	mogućnostima
可能性	mogućnosti
可能性	mogući
可能性	moguće
可能性	mogućnost
演出	izvođenja
種類	tip
種類	type
種類	tipovi
種類	vrste
文字	karaktera
文字	karakter
文字	lik
文字	likovi
大統領	predsjednik
協力	saradnja
指導	uputa
判断	sud
判断	sudnji
連邦	federacija
ネット	neto
ネット	net
ネット	nets
共和国	republika
引退	penzionisan
引退	penzionisani
部門	odjel
部門	katedri
部門	odjeljenje
部門	departmenta
産業	industrija
決勝	finale
決勝	završni
決勝	konačni
プロデューサー	proizvođača
プロデューサー	producent
系統	lineage
誕生	rođenja
誕生	rodila
指揮	naredba
指揮	komandu
指揮	komanda
レース	trka
レース	rasa
レース	racing
静岡	shizuoka
郵便	mail
埼玉	saitama
項目	unose
カップ	pehari
カップ	kup
ラン	run
レイ	ray
移転	transfer
移転	prijenos
移転	preseljenja
ほぼ	skoro
ほぼ	skoro
交差点	raskrsnica
イベント	događaja
イベント	događaji
イベント	dešavanja
イベント	manifestacija
イベント	događaj
異なる	drugačija
異なる	drugačije
異なる	različita
異なる	različito
異なる	različiti
異なる	različitih
神戸	kobe
カー	kerr
出典	izvori
出典	izvora
出典	izvor
ほとんど	skoro
行動	ponašanje
行動	ponašanje
重要	važnom
重要	važna
重要	važno
重要	bitan
重要	važnih
重要	bitno
プロジェクト	projekt
プロジェクト	projekat
プロジェクト	projekti
プロジェクト	projekata
九州	kjušu
電車	voz
電車	vozove
電車	vozovi
電車	vozova
建築	arhitektura
クラス	časovi
クラス	predavanje
導入	uvođenje
導入	upoznavanje
アジア	azija
全体	sveukupno
全体	sveukupni
全体	sveukupna
全体	cijela
全体	čitava
全体	cijela
全体	čitave
タイ	tajland
タイ	tai
普通	običnih
普通	obični
普通	običan
普通	običnog
普通	normalno
普通	normalan
普通	normalni
普通	normalne
普通	normalna
一人	jedan
一人	jedna
長野	nagano
施行	sprovode
舞台	etapa
舞台	stadijuma
舞台	faza
舞台	bina
スペイン	španija
意見	mišljenje
意見	mišljenja
再び	opet
再び	ponovo
発見	otkrivanje
発見	otkriti
発見	otkriju
発見	otkrili
発見	otkrije
発見	otkriće
鈴木	suzuki
ローマ	rimski
ローマ	rimsko
ローマ	roman
ローマ	rim
ローマ	roma
ローマ	rome
ローマ	romi
ローマ	romska
保護	zaštititi
保護	štiti
保護	zaštita
保護	zaštitu
少女	djevojka
少女	devojka
少女	girl
試験	ispit
試験	ispitu
試験	ispita
多数	mnoge
多数	mnogi
多数	brojne
多数	brojni
反対	protiv
反対	suprotnost
反対	suprotna
反対	suprotnim
反対	suprotno
作家	autori
作家	pisac
作家	pisci
作家	pisaca
作家	piscima
作家	autor
地球	zemlja
方法	metod
特徴	specifičnosti
特徴	karakteristike
特徴	igranih
特徴	igrane
特徴	karakterističnim
ベース	baza
ベース	bas
男性	mužjak
男性	muškarci
男性	muškarac
ケース	slučaj
ケース	slučajevi
子供	deca
子供	djeca
子供	djece
子供	djecu
子供	djeca
子供	dijete
大臣	ministar
大臣	ministri
オープン	otvorene
オープン	otvorena
オープン	otvoren
オープン	otvoreno
オープン	open
コーナー	ugao
取締役	režiser
取締役	direktor
取締役	direktori
取締役	režiseri
人気	popularna
人気	popularan
人気	popularni
人気	popularnosti
人気	popularnost
評価	rejting
評価	rejting
評価	evaluacije
評価	stopa
評価	procjenu
評価	procjene
評価	ocjena
説明	objašnjenje
説明	objasniti
説明	objasni
説明	opis
装備	oprema
ドル	dolara
ドル	dolar
投票	glasanje
雑誌	magazin
雑誌	magazine
雑誌	časopisa
グランド	velika
グランド	grand
グランド	reisul
学科	odjel
学科	katedri
学科	odjeljenje
学科	departmenta
専用	posvetio
専用	posvećen
登録	registar
登録	registracije
登録	registracija
登録	registraciju
登録	registracije
佐藤	sato
田中	tanaka
ステージ	etapa
ステージ	stadijuma
ステージ	faza
ステージ	bina
沖縄	okinava
ゲスト	gost
ゲスト	gostiju
ゲスト	gosti
学生	studenti
学生	učenici
学生	student
周辺	okolina
周辺	okolini
周辺	periferije
言葉	riječ
言葉	riječi
言葉	reči
教会	crkava
教会	crkva
内閣	kabinet
整備	održavanje
主張	tvrde
主張	tvrdnju
主張	navod
ロック	brava
ロック	rok
ロック	rock
事故	nesreća
事故	nezgoda
分類	kategoriju
分類	kategorija
分類	categorization
分類	klasifikacije
分類	kategorije
分類	kategorija
分類	klasifikacija
状況	okolnosti
状況	situacijama
状況	situacija
状況	stanje
状況	okolnosti
状況	okolnostima
中村	nakamura
家族	porodica
家族	porodično
距離	udaljenost
表現	zastupljenost
表現	predstavništvo
表現	predstavljanja
表現	izraza
表現	izraz
表現	representations
新しい	novi
ホール	rupa
ホール	vijećnica
ホール	dvorana
ホール	hall
体重	težina
血液	krv
同意	saglasnost
同意	složio
同意	složili
これらの	ove
由来	porijekla
由来	porijeklo
平均	prosječno
平均	prosječne
平均	prosječnom
平均	prosjek
平均	mean
事実	činjenica
事実	činjenice
事実	činjenica
店舗	radnje
店舗	prodavnice
店舗	prodavnice
店舗	radnja
店舗	prodavnica
店舗	store
カテゴリ	kategoriju
カテゴリ	kategorija
カテゴリ	kategorije
カテゴリ	kategorija
メートル	metara
メートル	metar
メートル	metara
芸術	umjetnost
芸術	art
芸術	umjetnost
複数	množina
観光	turizam
観光	turistička
観光	turističkih
取得	tvrde
取得	tvrdnju
取得	retrieve
取得	fetch
王国	kraljevina
王国	kraljevstvo
電話	telefon
刑事	detektiv
レコード	rekord
レコード	rekordno
レコード	bilježe
レコード	rekordnih
レコード	rekordi
レコード	zapisi
秋田	akita
上記	iznad
トップ	top
付近	blizu
リン	lynn
リン	fosfor
輸送	prijevoz
輸送	prevoz
輸送	transport
輸送	transport
岐阜	gifu
飛行	leta
飛行	let
長崎	nagasaki
メイン	glavne
メイン	glavna
メイン	glavno
メイン	glavni
メイン	maine
メイン	primarna
メイン	primarni
ロード	učitavanje
ロード	teret
エル	elle
札幌	sapporo
ワールド	world
ワールド	svjetski
ワールド	svijet
美術	art
美術	umjetnost
息子	sinovi
息子	sinova
息子	sin
制度	institucija
ツアー	turneja
ツアー	tour
ツアー	ture
スタジオ	studio
市民	građani
市民	državljanstvo
市民	građanin
松本	matsumoto
自然	prirodno
自然	priroda
マイル	miles
マイル	milja
マイル	km
マイル	mile
組合	udruženja
生徒	studenti
生徒	učenici
生徒	đaka
生徒	učenika
生徒	student
ギター	gitara
コース	kurs
コース	kursevi
防衛	odbrana
鹿児島	kagoshima
変化	promjena
変化	izmjena
変化	promjene
変化	promjeni
変化	promene
変化	promena
タイプ	tip
タイプ	type
議会	parlament
石川	ishikawa
パリ	pariz
南部	nambu
南部	južni
経験	iskusila
経験	doživjelo
経験	doživio
経験	doživjela
経験	iskustva
経験	iskustvo
延長	produže
延長	produžiti
延長	produženje
ランド	rand
ランド	land
ランド	kopnena
ランド	zemlja
条件	uslovnu
条件	uslovne
条件	uslovna
条件	uslovno
条件	kriteriji
条件	uslovi
条件	uslovom
条件	uslov
条件	stanje
伝説	legenda
伝説	legendarna
伝説	legendarni
ロンドン	london
本部	sjedište
フリー	free
競走	trka
競走	rasa
競走	racing
高橋	takahashi
デジタル	digitalnu
デジタル	digitalna
デジタル	digitalne
デジタル	digitalni
デジタル	digitalnoj
台湾	tajvan
ポジション	pozicija
ポジション	položaj
ポジション	pozicija
ポジション	pozicije
ポジション	položaje
ポジション	pozicijama
インド	indija
吉田	yoshida
名誉	počast
名誉	čast
名誉	časti
名誉	čast
ソング	pesama
ソング	pjesme
ソング	pesme
ソング	pjesmama
ソング	pjesama
ソング	pjesma
ライン	linija
履歴	historija
方向	pravci
方向	pravcima
方向	pravaca
方向	smjer
方向	pravac
方向	orijentacija
法律	zakoni
提案	prijedlozima
提案	prijedlog
提案	prijedlog
シティ	grad
効果	efekt
効果	efekat
効果	uticaji
効果	efekti
ミュージック	muzika
ヶ月	meseci
ヶ月	mjesecima
予選	kvalifikacije
予選	kvalifikacijama
解説	commentary
解説	objašnjenje
解説	objašnjenja
解説	opis
レギュラー	redovni
レギュラー	redovnog
レギュラー	redovan
レギュラー	redovna
レギュラー	redovnom
レギュラー	redovnim
職業	posao
職業	zanimanja
職業	profesiji
職業	struke
職業	profesije
職業	okupacije
職業	okupacija
製品	proizvod
製品	produkt
製品	proizvodi
太郎	taro
速度	brzina
速度	brzina
改正	amandmani
改正	amandmane
改正	reviziju
近く	blizu
電子	elektron
電子	elektrone
電子	elektrona
徒歩	hod
アイドル	idol
更新	update
更新	ažurirane
更新	ažuriranja
配信	emitovanje
配信	emitovati
山本	yamamoto
仕事	posao
仕事	rad
連盟	konfederacija
政策	politika
政治家	političari
政治家	političar
メディア	media
メディア	mediji
メディア	medium
メディア	srednji
メディア	srednjim
メディア	srednje
メディア	srednja
図書館	biblioteka
ただ	samo
外国	stranih
外国	strani
外国	stranim
艦隊	flota
支配	dominacija
支配	vladajuća
支配	vladajuće
強い	jaka
強い	jaki
継承	naslijeđe
バージョン	verzija
バージョン	verzije
ポイント	tačaka
ポイント	tačka
旅客	putnik
方針	politika
執筆	pisanje
タイム	vrijeme
年頃	circa
基準	standardi
基準	standarde
基準	standarda
基準	standardni
基準	kriteriji
化学	hemijska
化学	hemikalija
化学	hemijsko
化学	hemijski
化学	hemija
接続	veze
接続	veza
接続	povezuje
接続	povezivanje
接続	povezivati
接続	povezati
接続	povezivanja
勝ち	pobjeda
勝ち	pobijedi
勝ち	osvoji
関東	kanto
メーカー	proizvođač
メーカー	proizvođač
障害	invalidnost
小林	kobayashi
ブル	bik
ホテル	hotel
ホテル	hotela
ホテル	hoteli
ホテル	hotelima
仕様	specifikacije
仕様	specification
仕様	specifikacija
将軍	general
奈良	nara
ビデオ	video
分割	razdvajanje
分割	splitsko
分割	split
分割	splitska
商業	trgovina
商業	komercijalne
商業	komercijalni
商業	reklama
殺人	ubistva
殺人	ubistvo
スタイル	stilova
スタイル	stil
スタイル	style
リング	ring
リング	prsten
リング	prstenovi
報告	izveštaj
報告	izvještaj
報告	javlja
報告	izvještavanje
報告	izvještaje
報告	izvještajima
報告	izveštaji
報告	izvještaji
マーク	marka
マーク	mark
宣言	proglasi
宣言	proglasiti
宣言	deklaracija
宣言	proglašenje
キング	king
キング	kralj
伊藤	itō
ハイ	visoko
ハイ	visoki
ベル	bell
提出	dostaviti
入学	ulaz
入学	upis
入学	prijem
フォン	fon
支持	podrška
地震	potres
地震	zemljotresi
博物館	muzeji
博物館	muzej
週間	sedmica
週間	sedmica
週間	sedmični
週間	sedmičnjak
機構	mehanizam
定義	definicija
定義	definisati
定義	definisanje
定義	definicije
天皇	imperator
日本人	japanski
学部	fakultet
学部	fakulteta
直接	direktno
投手	bacač
カナダ	kanada
カナダ	kanadski
性格	karaktera
性格	karakter
性格	lik
性格	ličnost
ユニット	jedinice
ユニット	jedinica
ユニット	jedinica
ピアノ	klavir
良い	dobro
良い	dobar
良い	dobre
近い	bliže
近い	bliža
レベル	nivoi
レベル	nivo
政権	režimu
政権	režim
達成	ostvarili
達成	ostvareni
達成	dostignuti
達成	postignuće
達成	dostignuće
見る	vidi
見る	jie
見る	vide
見る	vidjeti
見る	see
見る	vidimo
見る	pogled
空間	prostor
規定	odredbe
規定	namirnice
規定	odredbama
規定	odredbi
同一	identičan
同一	identične
同一	identični
ライト	svjetlost
ライト	wright
ライト	rajt
ヒット	hitovi
ヒット	hit
ヒット	pogođena
ヒット	udario
ヒット	pogodio
ブルー	plava
流れ	protoka
流れ	protok
流れ	flow
流れ	strujanje
流れ	teku
宮城	miyagi
ガス	plin
作業	rad
作業	radna
作業	radi
作業	radeći
作業	radio
作業	radnu
貨物	cargo
貨物	teretni
貨物	dobara
貨物	robu
貨物	roba
貨物	teretni
市場	tržište
市場	tržišta
経度	longitude
通算	vijek
通算	životne
通算	životni
サイズ	dimenzije
サイズ	veličina
サイズ	veličine
翻訳	prevodilac
翻訳	prevođenje
翻訳	prevode
配置	plasman
配置	aranžman
配置	poravnanja
配置	raspoređivanje
コード	kod
米国	usa
そこ	tu
そこ	tamo
安全	bezbjednost
安全	bezbjednosti
安全	sigurnost
番目	drugi
番目	treći
番目	treća
番目	treće
被害	štetu
被害	oštećenja
被害	štete
被害	oštećenje
商品	dobara
商品	robu
商品	roba
商品	proizvodi
宮崎	ayumi
詳細	detaljan
詳細	detaljne
詳細	opširnije
詳細	detalje
詳細	detalji
備考	note
備考	nota
単位	jedinice
単位	jedinica
単位	jedinica
加藤	kato
渡辺	watanabe
機械	mašina
機械	mašinerija
機械	mašine
マイ	mai
地元	lokalno
地元	lokalnom
地元	lokalni
出版社	izdavač
これら	ove
革命	revolucija
増加	povećanje
増加	porast
増加	povećati
増加	povećava
増加	povećanju
軌道	orbitu
軌道	orbiti
農業	poljoprivredni
農業	poljoprivreda
農業	poljoprivreda
北部	sjeverna
北部	sjeverni
条約	sporazum
理論	teorija
理論	teorije
オーストラリア	australijski
オーストラリア	australian
オーストラリア	australijska
オーストラリア	australija
欧州	evropa
成長	rastući
成長	rastuća
成長	raste
成長	rastuće
成長	rast
生物	biološke
生物	biološku
生物	biološki
生物	biološka
生物	organizam
生物	organizma
感じ	osjeća
理解	shvatanje
理解	razumijevanje
戦士	ratnik
戦士	ratnici
ジャンル	žanru
ジャンル	žanrova
実験	eksperimenti
実験	eksperiment
実験	eksperimentu
出力	izlaz
出力	proizvodnja
師団	diviziji
師団	podjela
師団	divizija
主催	računar
主催	organizator
茨城	ibaraki
統一	jedinstvo
統一	ujedinjenje
料理	hrana
料理	kuhinja
ブランド	brendove
ブランド	brendova
ブランド	marka
首都	kapital
報道	novinarski
報道	novinarstvo
昇格	eskalacija
破壊	uništi
破壊	uništiti
破壊	frakture
破壊	uništavanje
破壊	uništenja
破壊	uništenje
スタジアム	stadion
停止	prestaju
停止	zaustaviti
停止	stop
停止	zaustavlja
停止	zaustavljanje
停止	stanica
停止	prekid
土地	land
土地	kopnena
土地	zemlja
解散	raspada
捜査	istraga
兄弟	brat
