the	az
east	keleti
east	kelet
line	line
line	sor
line	vonal
major	őrnagy
members	tagjai
members	tagok
members	tagoknak
members	képviselők
good	jó
much	sok
much	sokat
image	kép
image	képet
show	mutasd
show	show
still	még
below	alul
below	alatt
below	alatta
below	alább
below	lent
town	városban
town	town
town	város
last	utoljára
last	utolsónak
last	last
last	utolsó
system	rendszer
system	system
right	jobbra
song	dal
song	dalt
song	song
notable	figyelemreméltó
section	részleg
section	szakasz
section	szekció
single	egyedülálló
single	single
single	egyetlen
single	szingli
align	összehangolása
home	otthon
home	itthon
home	haza
women	nők
women	asszonyok
women	női
women	nő
television	tv
television	televízió
seed	vetőmag
seed	mag
member	tag
goals	célkitűzések
goals	célokat
goals	célok
sources	forrás
sources	források
book	könyv
book	könyvet
station	állomás
station	pályaudvar
order	megrendelés
order	rendelés
order	rend
order	parancs
old	idős
old	régit
old	régi
old	öreg
old	régiek
information	információ
information	tájékoztatás
information	információk
set	szett
set	set
set	beállítva
set	forgatás
own	saját
text	sms
text	szöveg
band	band
band	banda
band	együttes
band	zenekar
point	pont
point	point
local	helyi
around	körül
around	körbe
river	folyami
river	folyó
top	felül
top	top
top	csúcs
top	felső
top	legfelső
main	fő
main	main
main	főbb
language	nyelv
french	francia
french	franciák
named	megnevezett
off	le
off	kikapcsolva
off	off
note	megjegyzés
note	jegyzet
career	karrier
original	eredeti
age	kor
age	életkor
service	kiszolgálás
service	szerviz
service	szolgálat
service	szolgáltatás
established	letelepedett
located	található
said	said
said	mondta
website	weboldal
website	honlap
website	webhely
population	populáció
population	népesség
population	lakosság
air	levegő
air	air
german	németül
german	német
law	jogszabályok
law	jog
law	jogszabály
law	törvény
military	katonaság
military	katonai
military	hadsereg
great	nagyszerű
within	belül
clubs	klubok
published	közzétette
published	publikált
published	közzétett
president	elnök
park	park
official	hivatalos
official	tisztviselő
case	ügy
case	case
case	eset
london	londoni
london	londonban
london	london
london	londonba
times	idők
times	időpontok
times	times
although	habár
although	bár
small	kis
small	kicsik
small	kicsi
third	harmadik
third	harmadszor
different	más
different	különböző
different	eltérő
due	esedékes
village	település
village	falusi
village	falu
closed	bezárt
closed	zárva
closed	zárt
art	művészet
art	art
player	lejátszó
player	játékos
final	döntő
final	végleges
final	záró
final	utolsó
final	végső
community	közösség
community	közösségi
again	újra
began	kezdődött
began	megkezdődött
began	elkezdődött
army	sereg
army	hadsereg
award	díj
award	díjat
without	nélkül
without	anélkül
death	halál
built	épült
built	épített
built	felépített
built	beépített
men	férfi
men	férfiak
men	emberek
large	nagyok
large	nagyméretű
large	nagy
site	helyszín
site	helyén
site	webhely
using	használatával
using	használata
using	felhasználva
deletion	törlés
white	fehér
five	öt
five	öten
central	központi
road	út
road	uton
road	közúti
children	gyerekek
children	gyermekeknek
children	gyermek
children	gyermekek
free	ingyenes
free	ingyen
free	free
free	szabad
took	vette
took	elvitte
england	anglia
england	england
england	angliai
association	társulás
association	társulási
association	szövetség
association	egyesület
down	lefelé
down	le
given	megadott
given	adva
given	megadva
given	adott
source	forrás
california	kaliforniai
california	california
california	kalifornia
california	kaliforniában
man	férfi
man	ember
version	verzió
version	változat
written	megírva
written	írásbeli
written	írta
written	írott
created	létrehozott
created	létrehozva
created	teremtett
media	media
media	média
black	fekete
black	black
though	habár
though	bár
php	php
report	jelentést
report	jelentés
report	beszámoló
building	épület
take	vedd
division	hadosztály
division	körzet
division	részleg
division	divízió
comment	hozzászólás
comment	megjegyzés
king	kinga
edit	edit
edit	módosítás
edit	szerkesztés
edit	szerkesztése
stadium	stadion
stadium	stadionban
died	meghalt
ship	hajóval
ship	hajó
ship	hajón
research	kutatás
research	kutatások
research	kutatási
record	rekord
record	lemez
archive	archívum
places	helyszínek
places	helyek
undo	visszacsinálni
undo	visszavonás
cup	kupa
cup	csésze
cup	cup
cup	pohár
cup	bögre
records	feljegyzések
records	records
records	nyilvántartások
records	nyilvántartás
often	gyakran
few	kevesen
few	pár
few	kevés
few	kevesek
few	néhány
received	kapott
received	fogadott
received	beérkezett
side	oldalra
side	oldalam
side	side
power	energia
power	erő
power	power
power	hatalom
education	oktatási
education	oktatás
category	kategória
water	víz
water	vizet
political	politikai
political	politika
species	faj
species	állatfaj
species	fajok
field	mező
near	közel
australia	ausztrália
video	videó
video	video
video	videót
need	kell
need	szükséges
island	sziget
island	szigeten
form	űrlap
form	forma
form	formájában
form	nyomtatvány
find	találni
find	megtalálni
served	szolgálta
served	szolgált
play	játék
play	játszani
play	play
play	játssz
project	projekt
project	project
radio	rádió
radio	rádiós
radio	radio
works	működik
proposed	javasolt
every	minden
development	fejlesztés
development	fejlődés
development	fejlesztési
example	példa
live	live
live	élni
live	élőben
live	élő
union	union
union	unió
union	szakszervezet
union	unión
union	uniós
india	india
next	következő
special	különleges
special	speciális
court	bíróság
court	udvar
court	court
court	számvevőszék
region	régió
region	régiók
little	kis
little	kicsi
little	kevés
short	rövid
short	alacsony
short	röviden
william	william
william	vilmos
province	tartomány
province	tartományban
western	nyugati
western	nyugat
western	western
son	fiam
son	fiuk
france	franciaország
france	france
council	tanács
others	másoknak
others	egyéb
others	mások
others	egyebek
royal	királyi
royal	royal
current	áramlat
current	jelenlegi
current	aktuális
street	utca
full	full
full	teljes
red	piros
red	piroska
red	vörös
too	is
too	túl
department	részleg
department	megye
san	szan
san	san
help	segíteni
help	segítség
among	között
preserved	tartósított
preserved	megőrizte
james	james
james	jakab
open	nyitva
force	force
force	erő
position	állás
position	pozíció
position	álláspont
head	fejet
head	fej
head	fejét
director	rendező
director	igazgató
track	pálya
track	vágány
track	nyomon
http	http
canada	kanada
canada	kanadai
never	sosem
never	soha
australian	ausztrál
australian	ausztrália
george	george
george	györgy
jpg	jpg
level	szint
level	szintű
late	későn
late	késő
late	késve
summer	summer
summer	nyári
summer	nyáron
summer	nyár
society	társadalom
moved	elköltözött
moved	költözött
office	hivatal
office	iroda
period	időszak
period	időtartam
period	periódus
championship	bajnokság
round	kör
round	kerek
round	forduló
round	körbe
story	sztori
story	történet
story	story
story	története
story	mese
songs	dalok
songs	dalokat
various	többféle
various	különféle
various	különböző
file	fájl
file	file
file	akta
days	napok
days	napokban
days	napokat
days	napokon
land	föld
land	földterület
land	szárazföld
land	telek
land	földterületek
business	üzleti
business	üzlet
reason	oka
america	amerika
america	america
million	millió
european	európai
term	távú
term	kifejezés
six	hat
post	poszt
post	posta
post	post
post	bejegyzést
post	bejegyzésre
post	bejegyzés
why	miért
produced	termelt
produced	gyártott
produced	előállított
making	készítés
subject	alany
subject	figyelemmel
subject	tárgy
young	fiatalok
young	fiatal
young	fiatalos
total	teljes
total	összesen
david	david
david	dávid
science	tudomány
related	összefüggő
related	kapcsolódó
related	rokonok
related	rokon
related	kapcsolatban
rock	szikla
rock	kő
rock	rock
archived	archivált
railway	vasútvonal
railway	vasút
railway	vasúti
become	váljon
led	vezetett
led	led
students	diákok
students	hallgatók
students	tanulók
started	kezdődött
started	kezdte
started	elkezdődött
news	hírek
news	hír
described	leírt
role	szerepet
role	szerep
role	szerepe
election	választási
election	választás
election	választások
albums	albumok
present	ajándék
present	jelen
indian	indián
indian	indiai
kingdom	királyság
books	könyveket
books	könyvek
books	könyv
important	fontos
northern	észak
northern	északi
love	szeretettel
love	love
love	szeretet
love	szerelem
run	futás
canadian	kanadai
type	típus
type	típusa
act	aktus
act	felvonás
editor	szerkesztője
editor	szerkesztő
came	jött
schools	iskolákban
schools	iskolák
schools	iskola
program	program
social	társadalmi
social	szociális
germany	németország
production	előállítás
production	gyártás
production	termelés
production	termelési
male	férfi
male	hím
awards	díjak
awards	gála
points	pont
points	pontok
similar	hasonló
similar	hasonlóak
similar	hasonlók
professional	szakmai
professional	profi
professional	professzionális
say	mondd
background	háttér
background	háttere
background	háttérben
enough	elég
lead	ólom
lead	vezet
common	közös
common	gyakori
overlap	átfedés
data	adatok
data	adat
data	adatforgalom
color	színek
color	színes
color	színe
color	szín
better	jobb
better	jobban
person	személy
person	személyre
services	szolgáltatások
services	szolgáltatás
museum	múzeumi
museum	múzeum
museum	museum
battle	harc
battle	csata
sports	sport
sports	sportban
already	már
already	máris
currently	jelenleg
hall	terem
hall	hall
hall	csarnok
buildings	épületek
historic	történelmi
date	dátum
date	időpont
deleted	törölve
deleted	törölt
change	változás
change	változtatás
change	megváltozott
change	változások
location	helyszín
location	hely
location	elhelyezkedés
must	kell
yes	igen
southern	dél
southern	déli
lost	vesztett
lost	elveszett
lost	lost
something	valami
something	valamit
review	felülvizsgálat
review	kritika
together	együtt
robert	robert
robert	róbert
fact	tény
less	kevesebbet
less	kevesebb
less	kevésbé
japanese	japán
japanese	japánok
groups	csoportok
groups	csoportoknak
content	tartalma
content	tartalom
involved	érintett
isbn	isbn
board	deszka
board	fedélzeten
board	tábla
japan	japán
control	kontroll
control	irányítás
control	vezérlő
control	ellenőrzési
control	ellenőrzés
policy	szabályzat
policy	politika
modern	modern
modern	korszerű
human	ember
human	emberi
half	fele
design	dizájn
design	tervezési
design	design
design	tervezés
event	esemény
event	rendezvény
events	események
events	esemény
events	rendezvények
available	elérhető
available	rendelhető
done	kész
washington	washingtonban
washington	washington
real	real
real	valós
real	igazi
real	valódi
start	start
start	kezdés
start	kezdeni
personal	személyes
personal	személyi
action	művelet
action	fellépés
action	cselekvési
action	cselekvés
action	akció
space	űr
space	tér
areas	térségek
areas	területek
star	csillagos
star	csillag
star	sztár
really	tényleg
really	igazán
china	porcelán
china	kína
china	china
possible	lehetséges
paul	paul
paul	pál
working	dolgozó
working	dolgozik
working	dolgozom
working	dolgozok
taken	foglalt
far	far
far	messze
far	messzire
going	alakul
going	megyek
going	megy
minister	miniszter
lake	tó
lake	tavi
lake	tavon
reported	jelentett
reported	bejelentett
popular	népszerű
popular	népszerűek
married	házas
married	házasok
founded	alapították
founded	alapított
founded	alapította
founded	megalapozott
europe	európa
europe	europe
europe	európában
author	író
author	szerző
independent	független
independent	önálló
independent	függetlenek
process	eljárás
process	folyamat
teams	csapatok
character	jellem
character	karakter
low	alacsonyan
low	alacsony
michael	michael
michael	mihály
pages	lapok
pages	oldalakon
pages	oldalak
light	fény
light	light
light	fényt
big	nagyok
big	nagy
seen	láttam
seen	látta
seen	látták
want	akarsz
want	akar
want	akarod
want	akarom
episode	epizód
episode	rész
wrote	írt
wrote	irtam
wrote	írta
wrote	írtam
republic	köztársaság
thomas	thomas
thomas	tamás
companies	vállalatok
companies	társaságok
companies	cégek
companies	vállalkozások
via	via
russian	orosz
russian	oroszul
russian	oroszország
thanks	köszönöm
thanks	köszi
thanks	koszi
put	rakd
put	tedd
race	faj
race	futam
race	verseny
worked	bevált
worked	dolgozott
worked	működött
route	útvonal
route	útvonalon
recorded	rögzített
recorded	rögzítve
recorded	regisztrált
recorded	nyilvántartott
someone	valaki
someone	valakit
civil	civil
civil	polgári
police	rendőrség
police	rendőr
charles	károly
charles	charles
listed	felsorolt
users	felhasználói
users	felhasználók
template	sablon
eastern	kelet
eastern	keleti
body	test
body	testem
body	holttest
question	kérdés
italian	olasz
italian	olaszország
featured	kiemelt
week	héten
week	hét
texas	texasi
texas	texas
texas	texasban
chief	főnök
close	szoros
close	közel
close	bezárása
close	közeli
match	mérkőzés
match	egyezés
match	találat
match	meccs
match	gyufa
match	egyezik
roman	római
roman	roman
come	gyere
tour	tour
tour	turné
tour	túra
sea	tengeren
sea	tengeri
sea	tenger
actually	igazából
actually	valójában
cross	kereszt
cross	cross
cross	keresztbe
playing	játszik
playing	játszom
health	egészségügy
health	egészségügyi
health	egészség
institute	intézet
institute	intézmény
caps	sapkát
forces	erők
green	zöld
rights	jogai
rights	jogokkal
rights	jogok
evidence	bizonyíték
evidence	bizonyítékok
originally	eredetileg
aircraft	légijármű
aircraft	repülőgépek
aircraft	repülőgép
arts	művészet
arts	művészetek
arts	művészeti
range	tartomány
range	távolság
probably	valószínű
probably	valószínűleg
consensus	egyetértés
consensus	konszenzus
bar	bar
bar	bár
problem	gond
problem	probléma
problem	baj
look	nézd
issues	problémák
issues	kérdések
alumni	öregdiák
average	átlagos
average	átlagosan
average	átlag
network	hálózat
network	hálózati
network	network
win	win
win	nyerni
win	győzelem
win	nyerj
shows	műsorok
shows	mutatja
wife	feleségem
wife	felesége
wife	feleség
returned	visszatért
night	éj
night	este
night	éjjel
night	éjszaka
magazine	magazin
magazine	tár
magazine	újság
centre	középre
centre	központ
centre	centrum
usually	általában
usually	rendszerint
completed	befejeződött
completed	elkészült
completed	befejezett
elected	megválasztott
significant	jelentős
significant	szignifikáns
african	afrikai
able	képes
google	google
stage	színpad
stage	színpadon
addition	hozzáadás
ireland	írország
today	ma
academy	akadémia
saint	saint
saint	szent
continued	folyamatos
continued	folytatása
continued	folytatta
continued	folytatás
continued	folytatódott
stations	állomások
mother	édesanyám
mother	anya
appeared	megjelent
africa	afrikai
africa	afrika
culture	tenyésztés
culture	kultúra
spanish	spanyolul
spanish	spanyolok
spanish	spanyol
grand	grand
committee	bizottság
things	dolgok
things	dolgokat
fire	tűz
changed	megváltozott
changed	változott
gold	arany
female	nőnemű
female	nő
female	női
female	nőstény
course	persze
directed	rendezte
directed	rendezett
directed	irányított
months	hónap
months	hónapokig
months	hónapok
chinese	kínai
chinese	kínaiak
previous	előző
previous	korábbi
developed	fejlett
developed	fejlesztett
developed	kifejlesztett
developed	kidolgozott
size	mérete
size	méret
mentioned	említett
add	hozzáadás
add	hozzáadása
festival	fesztivál
peter	peter
peter	péter
basketball	kosár
basketball	kosárlabda
move	mozgás
performance	előadás
performance	teljesítmény
standard	normál
standard	szabványos
standard	szabvány
standard	standard
training	tréning
training	képzési
training	kiképzés
training	képzés
training	edzés
artist	művész
artist	előadó
word	szó
word	szava
blue	kék
blue	blue
primary	elsődleges
primary	primer
announced	bejelentette
announced	bejelentett
announced	meghirdetett
value	érték
value	értéke
christian	keresztény
christian	christian
christian	keresztények
private	magán
private	privát
catholic	katolikus
catholic	katolikusok
artists	előadók
artists	művészek
includes	tartalmazza
view	megtekintés
view	kilátás
view	nézet
almost	majdnem
baseball	baseball
seven	hetes
seven	hét
ever	valaha
technology	technológia
technology	technika
olympics	olimpia
future	jövőbeli
future	jövő
formed	kialakult
formed	alakított
formed	alakult
census	népszámlálás
images	képeket
images	képek
results	eredmény
results	eredmények
results	eredményei
return	visszatérés
return	vissza
return	visszatér
quality	minőségi
quality	minősége
quality	minőség
construction	építkezés
construction	építési
construction	építés
zealand	zéland
front	front
front	eleje
cover	fedezze
cover	címlap
cover	fedezni
cover	fedő
cover	borító
model	model
model	minta
model	modell
despite	ellenére
read	olvasott
material	anyagok
material	anyag
material	anyaga
strong	erős
strong	erősek
coach	edző
henry	henrik
henry	henry
footballers	focisták
mark	mark
rev	rev
organization	szervezés
organization	szervezet
studies	vizsgálatok
studies	tanulmányok
federal	szövetségi
richard	richárd
richard	richard
html	html
virginia	virginiában
virginia	virginia
virginia	virginiai
car	autóval
car	kocsi
car	autó
car	kocsival
attack	támadás
conference	konferencia
conference	konferencián
outside	kint
outside	kívül
study	vizsgálat
study	tanulmányok
study	tanulás
study	tanulmány
brother	testvér
names	nevek
names	neveket
writer	író
characters	karakterek
characters	szereplők
musical	zenés
musical	zenei
musical	musical
nothing	semmi
border	határ
border	határon
border	határokon
medical	orvosi
countries	országokban
countries	országok
past	elmúlt
past	múlt
past	múltbeli
writing	írással
writing	írás
writing	írása
makes	teszi
interest	érdeklődés
interest	kamat
interest	érd
interest	kamatok
provided	megadott
provided	feltéve
killed	megölt
killed	megölte
medal	érem
medal	medál
medal	kitüntetés
signed	aláírva
signed	aláírás
signed	aláírt
label	címke
fair	vásár
fair	korrekt
fair	tisztességes
fair	fair
fair	igazságos
search	keresés
bay	öböl
bay	bay
reference	hivatkozás
reference	referencia
reference	utalás
especially	különösen
especially	főleg
removed	eltávolították
removed	eltávolított
removed	eltávolította
library	könyvtári
library	könyvtár
library	könyvtárban
management	menedzsment
management	irányítás
management	vezetőség
management	gazdálkodás
management	irányítási
references	hivatkozás
references	hivatkozásokat
references	hivatkozások
features	funkciók
features	jellemzők
features	jellemzői
navy	flotta
navy	haditengerészet
navy	tengerészet
guitar	gitár
hill	dombon
hill	domb
hill	hegy
hill	dombra
hill	hegyen
hill	hill
historical	történelmi
historical	történeti
lower	alacsonyabb
lower	alsó
lower	lejjebb
daughter	lányom
daughter	lánya
appointed	kijelölt
appointed	kinevezett
reading	olvasok
reading	olvasni
reading	olvasás
yet	mégis
systems	rendszerek
systems	systems
debut	debütáló
movement	mozgás
specific	specifikus
specific	konkrét
always	mindig
actor	színésznek
actor	színész
natural	természetes
clear	világos
clear	tiszta
coast	part
coast	tengerpart
let	engedd
chicago	chicagóban
chicago	chicagói
chicago	chicago
pennsylvania	pennsylvania
ten	tíz
performed	végrehajtott
performed	elvégzett
individual	egyén
individual	egyéni
designed	tervezett
designed	megtervezett
rule	szabály
etc	stb
lists	listák
lists	listákat
paris	párizs
paris	párizsi
paris	párizsban
thought	hittem
thought	gondoltam
thought	gondolat
brown	brown
brown	barna
hand	kezét
hand	kéz
needs	kell
needs	szükséglet
needs	szükségletei
needs	szükségletek
reliable	megbízható
reliable	megbízhatóak
smith	kovács
smith	smith
generally	általánosságban
generally	általában
base	alap
base	bázis
sometimes	néha
florida	floridai
florida	floridában
florida	florida
florida	floridába
capital	főváros
capital	tőke
valley	völgyet
valley	völgy
valley	völgyben
valley	valley
bank	bank
gave	adta
gave	adott
ground	talaj
reached	elérte
reached	elért
italy	olaszország
energy	energia
believe	hiszem
believe	higgy
leader	vezér
leader	leader
leader	vezető
active	aktív
active	aktívak
online	interneten
online	online
block	blokk
bridge	híd
bridge	bridge
families	családok
changes	módosítások
changes	változtatások
changes	változás
changes	változások
changes	változtatás
followed	követett
followed	követte
industry	ágazat
industry	iparág
industry	ipar
collection	adatgyűjtés
collection	gyűjtés
collection	gyűjtemény
collection	kollekció
request	megkeresés
request	kérésére
request	kérésre
request	kérés
request	kérelem
soon	hamarosan
soon	nemsokára
olympic	olimpiai
sold	eladva
sold	eladott
sold	elkelt
writers	írók
professor	professzor
studio	studio
studio	stúdió
mexico	mexikó
competition	versengés
competition	konkurencia
competition	verseny
campaign	kampány
org	org
theatre	színházi
theatre	színház
empire	birodalom
empire	empire
length	hossza
length	hossz
length	hosszúság
islands	szigetek
islands	szigeteket
singer	énekesnő
singer	énekes
singer	singer
create	létrehozása
additional	kiegészítő
additional	további
soviet	szovjetek
soviet	szovjet
market	piac
market	piaci
market	market
words	szavakat
words	szavak
producer	gyártó
producer	termelő
producer	producer
producer	termelői
notes	megjegyzések
notes	feljegyzések
notes	jegyzetek
notes	jegyzet
hockey	jégkorong
hockey	hoki
novel	újszerű
novel	regény
code	kód
referee	bíró
fourth	negyedszer
fourth	negyedik
sport	sport
van	furgon
mary	mary
mary	mária
airport	reptér
airport	repülőtér
sound	hang
sound	hangot
status	állapot
status	státusz
irish	írek
irish	írország
irish	ír
placed	helyezett
placed	elhelyezett
child	gyermek
child	gyermeke
child	gyermekem
child	gyerek
perhaps	talán
idea	ötletem
idea	elképzelés
idea	ötlet
foreign	külföldi
foreign	kül
foreign	külföldiek
municipality	község
municipality	település
municipality	önkormányzat
register	nyilvántartás
register	regisztrálj
register	regisztráció
eight	nyolc
problems	gondok
problems	probléma
problems	problémák
problems	problémákat
problems	problémákkal
native	bennszülött
native	őslakos
native	őshonos
native	bennszülöttek
coverage	lefedettség
channel	csatorna
parliament	parlament
username	felhasználónév
edition	kiadás
minor	kiskorú
minor	kisebb
says	mondja
foundation	alap
foundation	alapítvány
units	egységek
units	egység
movie	filmet
movie	mozi
movie	film
runs	fut
runs	vezeti
ice	jég
ice	ice
simply	egyszerűen
limited	limited
limited	limitált
limited	korlátozott
limited	korlátolt
unit	egység
unit	unit
student	hallgató
student	tanítvány
student	diák
student	tanuló
previously	korábban
governor	kormányzó
complete	komplett
complete	teljes
complete	teljessé
test	vizsgálati
test	vizsgálat
test	próba
test	teszt
nominated	jelöltek
nominated	jelölt
bill	bill
bill	számla
parts	alkatrész
parts	alkatrészek
parts	részek
vocals	ének
theory	elmélet
regional	regionális
account	fiók
account	figyelembe
account	számla
vote	szavazz
vote	szavazás
vote	szavazat
vote	szavazzatok
computer	számítógép
computer	komputer
computer	computer
carolina	carolina
carolina	karolina
tournament	torna
tournament	bajnokság
poland	lengyelország
behind	mögötte
behind	mögött
wales	wales
winning	győzelem
winning	nyerő
lot	sok
lot	tétel
hospital	kórházi
hospital	kórház
mid	közép
taking	szed
mountain	hegyen
mountain	hegyi
mountain	hegy
mountain	hegyek
higher	feljebb
higher	magasabb
higher	nagyobb
cases	ügyek
cases	esetekben
cases	esetek
angeles	angeles
editing	vágás
editing	szerkesztés
editing	vágó
replaced	levált
replaced	helyébe
food	étel
food	élelem
food	élelmiszerek
food	táplálék
food	élelmiszer
multiple	többszörös
multiple	többszörösen
likely	valószínű
likely	valószínűleg
terms	fogalmak
terms	feltételek
terms	kifejezések
thing	izé
thing	dolog
square	square
square	szögletes
square	négyzetes
square	tér
square	négyzet
topic	téma
woman	nő
woman	asszony
woman	nö
categories	kategória
categories	kategóriák
greek	görög
recent	nemrég
recent	legutóbbi
sent	elküldött
sent	elküldve
sent	küldött
copyright	copyright
speed	sebesség
speed	fordulatszám
speed	gyorsaság
templates	sablonok
money	pénz
money	pénzt
saw	láttam
saw	látta
saw	fűrész
senior	rangidős
senior	senior
senior	végzős
selected	kijelölt
selected	kiválasztva
selected	kiválasztott
introduced	bevezetett
introduced	bemutatott
politician	politikusok
politician	politikus
true	igaz
true	igazi
required	szükséges
regular	rendszeresen
regular	rendszeres
regular	normál
awarded	megítélt
awarded	odaítélt
commercial	reklám
commercial	kereskedelmi
cities	városok
cities	városokat
contains	tartalmazza
contains	tartalmaz
trade	kereskedés
trade	csere
trade	kereskedelem
trade	kereskedelmi
degree	fokozat
degree	diploma
degree	fok
anti	anti
birth	születés
birth	születési
birth	szülés
sun	napsütés
sun	sun
sun	nap
sun	napfény
finished	elkészült
finished	befejezett
finished	kész
rugby	rögbi
earth	föld
access	belépés
access	hozzáférést
access	hozzáférés
prior	hírnök
prior	előzetes
seasons	évszakok
seasons	évszak
journal	journal
journal	napló
journal	lap
journal	lapjában
beginning	kezdetek
beginning	kezdete
beginning	eleje
beginning	kezdet
software	szoftverek
software	szoftver
famous	híres
famous	híresség
religious	vallásos
religious	vallás
religious	vallási
martin	márton
martin	martin
god	isten
bit	bites
bit	kicsit
hours	órákban
hours	óra
hours	órák
running	futás
running	fut
running	futó
running	futok
brought	hozták
brought	hozott
brought	hoztam
brought	hozta
missing	hiányzik
missing	eltűnt
missing	hiányzó
economic	gazdasági
structure	struktúra
structure	szerkezet
structure	felépítés
structure	építmény
rural	vidék
rural	vidéki
decision	döntés
decision	határozat
