кънектикът	connecticut
наркотици	droga
наркотици	medicamento
душа	ducha
душа	alma
душа	soul
пелин	ajenjo
израелски	israelíes
израелски	israelí
популярно	popular
популярно	populares
уникален	únicos
уникален	único
уникален	unica
уникален	única
уникален	únicas
работник	empleada
работник	empleados
работник	trabajador
работник	asalariado
работник	empleado
работник	trabajadora
работник	trabajador
работник	obrero
описания	descripciones
обширни	extensa
обширни	extensos
обширни	extenso
обширни	extensivo
обширни	extensas
придружава	acompaña
джейсън	jasón
джейсън	jason
критики	críticas
критики	criticas
критики	crítica
критики	críticas
издържа	soportó
издържа	soportado
бягство	escapada
бягство	huida
бягство	escapada
бягство	escapar
бягство	fuga
бягство	escapa
бягство	escape
селска	rústica
селска	rústico
селска	rural
селска	rurales
селска	campesina
селска	campesino
селска	campesinos
изригване	erupción
медина	medina
слънчева	soleado
слънчева	sunny
слънчева	soleada
слънчева	solares
слънчева	solar
колектив	colectivas
колектив	colectivo
колектив	colectiva
колектив	colectividad
колектив	colectivos
видеоклип	vídeo
видеоклип	video
линкълн	lincoln
съдилища	tribunales
съдилища	cortes
съдилища	juzgados
добавени	añadido
добавени	agregados
добавени	añadida
добавени	añadió
добавени	agregó
добавени	agregado
дисни	disney
извършен	realizado
рисуване	cuadro
рисуване	pintar
рисуване	pintura
рисуване	pintando
рисуване	dibujar
рисуване	dibujando
рисуване	dibujo
специфичен	específicas
специфичен	específicos
специфичен	específica
специфичен	especifico
специфичен	específico
клип	clip
изрично	expresamente
изрично	explícita
изрично	explícitamente
изрично	explícita
изрично	explícitas
изрично	explícitos
изрично	explícito
дионисий	dionisio
ефективност	eficiencia
ефективност	eficacia
ефективност	efectividad
ефективност	eficacia
ефективност	eficacia
ефективност	rendimiento
ефективност	desempeño
ефективност	actuación
ефективност	performance
мишки	ratones
мишки	ratón
мишки	mouse
замества	reemplaza
замества	sustituye
индо	indo
индо	indochina
агрипа	agripa
тесни	angosto
тесни	estrechas
тесни	estrecha
тесни	estrecho
тесни	estrechos
убиец	killer
убиец	asesino
убиец	asesina
убиец	matador
убиец	asesino
убиец	homicida
убиец	asesina
убиец	asesino
убиец	asesina
монреал	montreal
напояване	irrigación
напояване	regadío
напояване	riego
емирства	emiratos
комунистите	comunistas
комунистите	comunista
комунистите	comunismo
доверие	confianza
доверие	trust
доверие	confianza
доверие	confía
доверие	fideicomiso
шеф	chef
шеф	cocinero
курорт	resort
традициите	tradiciones
изпълнителни	executive
изпълнителни	ejecutiva
изпълнителни	ejecutivos
изпълнителни	ejecutivas
изпълнителни	ejecutivo
тонга	tonga
посоки	indicaciones
посоки	instrucciones
посоки	direcciones
затворена	cerrada
затворена	cerrado
затворена	cerrados
глад	hambruna
глад	hambre
глад	inanición
глад	hambre
трек	trek
триъгълник	triángulo
комикс	historietas
комикс	comics
комикс	historieta
комикс	cómics
комикс	cómic
комикс	cómico
комикс	comic
комикс	historieta
комикс	cómic
болен	enfermo
болен	enfermas
болен	enferma
болен	enfermos
тютюн	tabaco
лукас	lucas
лукас	lukas
царски	regal
царски	regia
линк	link
линк	enlazar
линк	enlace
линк	vínculo
хълмове	colinas
хълмове	cerros
изобретател	inventores
изобретател	inventor
чан	chan
пасища	praderas
пасища	prados
пасища	pastizales
пасища	pradera
пасища	pastos
пасища	pasto
пасища	praderas
пасища	prados
пасища	pastizales
пасища	pradera
пасища	pastizales
пасища	pastos
пасища	prados
изпрати	enviar
изпрати	envíe
изпрати	mandar
преименувана	renombrado
преименувана	renombrada
изречения	sentencias
изречения	frases
изречения	oraciones
първична	primitivo
първична	primal
първична	primario
първична	primarias
първична	primarios
първична	primaria
таймс	tiempos
таймс	veces
таймс	épocas
таймс	times
жлези	glándulas
жлези	glándula
жлези	glándulas
коларов	kolarov
улицата	calle
улицата	callejero
улицата	street
улицата	calles
отрича	niega
яне	janne
отразяват	reflexiona
отразяват	reflejan
отразяват	reflejar
отразяват	reflexionar
отразяват	refleje
маркетинг	mercadeo
маркетинг	marketing
маркетинг	mercadotecnia
маркетинг	comercialización
верона	verona
реклами	comerciales
реклами	anuncios
реклами	publicidad
разрушени	destruida
разрушени	destruidas
разрушени	destruidos
разрушени	destruido
разрушени	destruyó
разрушени	demolido
бейкър	panadero
бейкър	baker
нула	cero
нула	zero
театри	teatros
театри	cines
театри	teatros
кризата	crisis
органите	órganos
забележка	note
забележка	nota
доналд	donald
колекции	cobros
колекции	colecciones
султана	sultana
султана	sultan
султана	sultán
етика	ética
етика	éticos
етика	éticas
цивилни	civil
цивилни	civiles
цивилни	civil
цивилни	civiles
путин	putin
представено	presentado
представено	presentada
представено	presentados
представено	presentado
представено	presentada
представено	presentados
представено	enviado
бит	mordió
бит	bit
бит	mordido
бит	bits
бит	golpeados
бит	vencido
бит	golpeado
плод	frutos
плод	fruto
плод	fruta
плод	frutas
физици	físicos
имението	mansión
имението	mansión
имението	manor
езиците	idiomas
езиците	lenguas
доктрина	doctrina
еволюцията	evolution
еволюцията	evolución
рицар	caballero
рицар	knight
неправилно	incorrecta
неправилно	incorrectos
неправилно	incorrectas
неправилно	incorrecto
тото	toto
плаща	paga
оригинален	original
оригинален	originales
католици	católicos
католици	católico
католици	católicos
католици	católica
твърд	firme
твърд	firmes
твърд	bufete
твърд	sólidos
твърд	sólido
твърд	sólida
твърд	macizo
твърд	duro
твърд	duros
твърд	hard
твърд	difícil
твърд	dura
твърд	rígida
твърд	rígidos
твърд	rígidas
твърд	rígido
твърд	rigidez
развит	desarrollados
развит	desarrollado
развит	desarrollada
развит	desarrolladas
вавилон	babilonia
вавилон	babylon
умрял	murió
умрял	murio
умрял	murieron
значения	significados
невада	nevada
планети	planetas
месопотамия	mesopotamia
молекули	moléculas
марек	marek
кайзерслаутерн	kaiserslautern
наляво	izquierda
наляво	izquierdo
дакота	dakota
здрави	sano
здрави	saludables
здрави	saludable
здрави	sana
ориз	arroz
дванадесет	twelve
дванадесет	doce
подчинени	subordinados
подчинени	subordinado
подчинени	subordinadas
подчинени	subordinada
подчинени	subordinados
подчинени	subordinado
подчинени	subordinadas
подчинени	subordinada
подчинени	subordinados
желязна	plancha
желязна	hierro
ястия	comidas
ястия	platillos
ястия	platos
същността	esencia
дискове	discos
дискове	discos
дискове	cds
дискове	cd
хелзинки	helsinki
анкара	ankara
мирно	pacífico
мирно	pacíficos
мирно	pacífica
дървена	madera
ръсел	russel
ръсел	russell
изработен	elaborado
прогрес	progress
прогрес	avances
прогрес	progreso
прогрес	progresos
изпратена	enviada
изпратена	enviados
изпратена	enviadas
изпратена	enviado
изпратена	envió
цветни	coloreado
човешко	humano
човешко	humanas
човешко	humana
човешко	humanos
процесите	procesos
процесите	procesa
галерии	galería
галерии	galerías
изпълнен	lleno
изпълнен	llenado
леля	tía
леля	tita
леля	tía
леля	tia
контузия	lesión
контузия	lesiones
контузия	herida
контузия	perjuicio
контузия	contusión
скок	jump
скок	salto
скок	salta
скок	saltar
цикъла	ciclo
цикъла	ciclos
частична	parciales
частична	parcial
люк	luke
люк	lucas
съпротивление	resistencias
съпротивление	resistencia
ресторант	restaurante
ресторант	restaurantes
дева	virgo
дева	deva
андреас	andreas
казан	caldero
казан	kazan
слънчеви	soleado
слънчеви	sunny
слънчеви	soleada
слънчеви	solares
слънчеви	solar
лусия	lucía
лусия	lucia
победителите	vencedores
победителите	ganadoras
победителите	ganadores
въздушно	aéreo
въздушно	aérea
въздушно	antena
въздушно	aéreos
въздушно	aire
въздушно	air
арагон	aragón
азиатски	asiática
азиатски	asiáticas
азиатски	asiático
азиатски	asia
азиатски	asiáticos
умерено	moderado
умерено	moderados
умерено	moderadas
умерено	moderar
умерено	moderada
умерено	moderadamente
анатомия	anatomía
истинска	real
истинска	reales
истинска	verdadero
стан	stan
журито	jurado
задвижване	propulsión
образователни	educativo
образователни	educación
образователни	educativa
формиране	formación
агенцията	agencia
агенцията	agency
добави	agregar
добави	agrega
добави	añadir
добави	añade
добави	add
разработени	desarrollados
разработени	desarrollado
разработени	desarrollada
разработени	desarrolladas
сиво	gray
сиво	gris
сиво	grises
сиво	canas
сиво	gris
сиво	grey
сиво	grises
хордови	chordata
условно	condicionado
условно	condicional
условно	condicionales
условно	condicionada
сфери	esferas
сфери	orbes
установка	lanzador
календара	calendario
археолог	arqueólogo
археолог	arqueólogo
сфорца	sforza
тъмна	dark
тъмна	oscuro
тъмна	oscuridad
тъмна	oscuros
тъмна	oscura
състави	compilar
състави	compilación
състави	composiciones
състави	configuraciones
костите	bones
костите	huesos
слиза	descendiendo
слиза	descendente
пръст	dedo
параметър	parámetro
параметър	parámetros
единна	unificado
единна	unificados
единна	unificada
единна	unificadas
модена	módena
астрономия	astronomía
президентските	presidenciales
президентските	presidencia
президентските	presidencial
сокол	halcones
сокол	halcón
сокол	falco
сокол	falcon
изкуствен	artificiales
изкуствен	artificial
великден	pascua
великден	pascuas
неочаквано	inesperadamente
неочаквано	inesperada
неочаквано	inesperados
неочаквано	inesperadas
неочаквано	inesperado
пациенти	pacientes
сейшели	seychelles
морско	marítimo
морско	marítimas
морско	marítimos
морско	marítima
агенти	agentes
организирано	organizada
организирано	organizados
организирано	organizadas
организирано	organizado
организирано	organizada
организирано	organizados
организирано	organizadas
организирано	organizado
екзарх	exarca
нормандия	normandía
построено	construidos
построено	construido
построено	construida
спортно	deportivo
спортно	sporting
спортно	deportivo
спортно	deportes
спортно	deporte
остро	afilada
остро	sharp
остро	agudo
остро	afilado
остро	aguda
остро	agudos
остро	agudas
остро	agudo
стихотворение	poema
руините	ruinas
финландски	finés
финландски	finlandesa
финландски	finlandés
финландски	finlandia
дистанция	distancias
дистанция	distancia
клеопатра	cleopatra
пирамида	pirámide
пирамида	pirámides
психологията	psicologia
психологията	psicología
магнус	magno
магнус	magnus
роналд	ronald
катар	qatar
създателите	creadoras
създателите	creadores
тясна	angosto
тясна	estrechas
тясна	estrecha
тясна	estrecho
тясна	estrechos
доминика	dominica
брабант	brabante
бонус	bonos
бонус	extra
бонус	bonus
бонус	bono
бонус	bonificación
кеймбридж	cambridge
гренландия	groenlandia
аргумент	argumento
аргумент	argumentación
спиране	deteniendo
спиране	parando
спиране	frenando
спиране	frenado
спиране	alto
спиране	detener
синтез	fusion
синтез	fusión
синтез	síntesis
мускули	músculos
мускули	músculo
мускули	muscular
мускули	músculo
мускули	muscular
сив	gray
сив	gris
сив	grises
сив	canas
сив	gris
сив	grey
сив	grises
етапи	etapas
етапи	fases
етапи	etapas
етапи	fases
етапи	hitos
людмила	ludmilla
комитети	comisiones
комитети	comités
оливър	oliver
сесия	sesión
вулкана	volcán
освобождаване	liberación
освобождаване	lanzamiento
освобождаване	excarcelación
освобождаване	exención
освобождаване	excepciones
освобождаване	exenciones
членство	membresía
членство	miembros
членство	pertenencia
членство	afiliación
железен	ferrosos
железен	plancha
железен	hierro
ръкопис	manuscrito
ръкопис	manuscritos
чиновник	escribano
чиновник	empleado
сняг	nieves
сняг	nevado
сняг	nieve
записано	grabados
записано	registrado
записано	grabado
реалност	realidad
реалност	reality
бестселър	bestseller
безплатно	libres
безплатно	gratis
безплатно	free
безплатно	libre
безплатно	gratuito
интервюта	entrevistas
ватикана	vaticano
масиви	matrices
антония	antonia
курорти	balnearios
курорти	resorts
ванкувър	vancouver
консулски	consulares
консулски	consular
жител	residente
жител	residentes
жител	habitante
представления	actuaciones
представления	representaciones
еберхард	eberhard
отказ	rechazar
отказ	niego
отказ	negarse
отказ	denegar
отказ	negativa
отказ	denegación
отказ	rechazo
отказ	negación
отказ	denegación
рикардо	riccardo
рикардо	ricardo
навън	fuera
навън	afuera
навън	exterior
навън	fuera
навън	afuera
навън	out
присъединяване	unir
присъединяване	únete
присъединяване	unirse
присъединяване	adhesión
здравко	zdravko
продажбите	rebajas
продажбите	venta
продажбите	sales
продажбите	ventas
проконсул	procónsul
мъжко	macho
мъжко	masculino
мъжко	varón
мъжко	machos
убеден	convencidos
убеден	convencido
убеден	convencida
свидетелство	certificado
художниците	pintores
покрит	cubierta
покрит	cubiertas
покрит	cubierto
покрит	cubrió
покрит	cubiertos
покрит	revestido
покрит	recubiertos
покрит	recubierto
покрит	revestidos
бележка	note
бележка	nota
бележка	memo
бележка	memorándum
бележка	memorando
мероприятия	eventos
мероприятия	acontecimientos
брод	brod
бронзови	bronce
морган	morgana
морган	morgan
охлаждане	refrigeración
охлаждане	enfriamiento
охлаждане	refrigeración
охлаждане	escalofriante
пресата	prensa
пресата	presione
пресата	prensas
пиетро	pietro
доброволно	voluntario
доброволно	voluntariado
доброволно	voluntaria
окото	ojo
костенурки	tortugas
костенурки	tortugas
заменена	sustituido
заменена	sustituyó
заменена	reemplazados
заменена	sustituye
заменена	reemplazado
преса	prensa
преса	presione
преса	prensas
уайлд	wilde
бета	beta
регистрация	inscripción
регистрация	registro
регистрация	matrícula
регистрация	inscripciones
реймънд	ramón
реймънд	raymond
реймънд	raimundo
мариана	marianna
мариана	mariana
сопот	sopot
сключен	concluido
сключен	concluyó
сключен	concluidos
ням	tonto
ням	mudo
ням	tonta
ням	silenciar
ням	muda
ням	mudo
ням	mudos
храсти	matorrales
храсти	arbustos
храсти	arbustos
физическо	física
физическо	físicas
физическо	fisico
физическо	físicos
физическо	físico
показване	pantalla
показване	display
показване	visualización
показване	mostrar
показване	espectáculo
показване	show
показване	mostrar
платна	lienzos
платна	lona
платна	canvas
платна	lienzo
платна	velas
ирански	iraní
ирански	iraníes
про	pro
мориц	moritz
износ	exporta
износ	exportación
износ	exportaciones
износ	exportación
износ	export
износ	exportaciones
износ	exportar
роналдо	ronaldo
марта	marta
марта	marta
марта	martha
кралско	real
кралско	royal
кралско	reales
рицарите	knights
рицарите	caballeros
индекс	index
индекс	indice
индекс	índice
лодка	barca
лодка	barco
лодка	embarcación
лодка	bote
лодка	lancha
йога	yoga
емигранти	inmigrantes
емигранти	emigrantes
платно	lona
платно	canvas
платно	lienzo
родина	patria
родина	patria
родина	patria
гласът	voice
гласът	voz
йоханес	johannes
карол	karol
карол	carol
алтернатива	alternativo
алтернатива	alternativos
алтернатива	alternativa
парична	monetario
парична	monetarias
парична	monetarios
парична	monetaria
подчертава	subraya
подчертава	destacadas
подчертава	destaca
подчертава	destacados
подчертава	reflejos
тимор	timor
тайните	secretos
лидерите	lideres
лидерите	dirigentes
лидерите	líderes
николаос	nikolaos
бъдещи	futuro
бъдещи	future
бъдещи	futura
бъдещи	porvenir
чува	oye
пшеница	trigo
баланс	balanza
баланс	balance
баланс	saldo
баланс	equilibrio
кучето	perrita
кучето	perro
кучето	perros
свидетел	testigo
свидетел	testigos
свидетел	testimonio
орбитата	órbita
орбитата	orbita
подвид	subespecies
подвид	subespecie
цвайбрюкен	zweibrücken
организъм	organismo
отпадъци	desperdicio
отпадъци	desechos
отпадъци	desecho
отпадъци	residuos
отпадъци	residuo
отпадъци	desechos
отпадъци	residuos
централа	céntrica
централа	central
централа	centrales
централа	céntrico
централа	sede
централа	cuartel
централа	cuarteles
централа	sedes
сватба	casamiento
сватба	matrimonio
сватба	matrimonios
сватба	matrimonial
сватба	boda
сватба	bodas
сватба	casamiento
литра	litros
литра	litros
резерв	reservas
резерв	reserva
резерв	reservar
резерв	reserve
лицата	caras
лицата	rostros
мъченици	mártires
радванска	radwańska
отделяне	separación
заслужава	merece
видях	vi
видях	vio
видях	vieron
конен	ecuestre
конен	hípica
конен	equitación
полезно	util
полезно	utilidad
полезно	útil
полезно	útiles
полезно	servicial
полезно	útil
полезно	útiles
извършена	realizado
способен	capaces
способен	capaz
гледам	mirando
гледам	viendo
гледам	observando
траките	tracios
стивънс	stephens
стивънс	stevens
диапазон	alcance
диапазон	intervalo
диапазон	gama
диапазон	rango
диапазон	cordillera
напоследък	recientemente
напоследък	últimamente
напоследък	ultimamente
алан	allan
мара	mara
превзет	pretencioso
убеди	convencer
убеди	convence
бийч	haya
документация	documentación
последици	consecuencias
последици	implicaciones
последици	consecuencias
последици	repercusiones
последици	efectos
последици	consecuencia
ясна	jasna
пътека	sendero
пътека	path
пътека	camino
пътека	surco
пътека	cinta
пътека	sendero
пътека	trail
пътека	rastro
учителите	profesores
учителите	docentes
учителите	maestras
учителите	maestros
учителите	profesorado
шерлок	sherlock
осман	osman
изстрелване	lanzamiento
изстрелване	lanzando
изстрелване	lanzamiento
изстрелване	lanzar
орфей	orfeo
колела	ruedas
федерална	federal
федерална	federales
правомощия	powers
правомощия	poderes
правомощия	atribuciones
правомощия	potencias
правомощия	autoridad
вълк	loba
вълк	wolf
вълк	lobo
вълк	lobos
слаб	flaca
слаб	flaco
слаб	débiles
слаб	débil
слаб	delgado
слаб	delgada
способни	capaces
способни	capaz
падуа	padua
уейн	díaz
уейн	wayne
съществувало	existido
съществувало	existió
съществувало	existía
съществувало	existieron
съществувало	existían
разновидност	variedad
нашия	nuestra
нашия	nuestras
нашия	nuestros
нашия	nuestro
брут	brutus
брут	bruto
хърбърт	herbert
екшън	action
екшън	acción
екшън	accion
отдих	esparcimiento
отдих	ocio
отдих	recreo
отдих	recreación
отдих	esparcimiento
отдих	ocio
отдих	relajo
отдих	relajación
отдих	relax
духовен	espirituales
духовен	espiritual
фишер	fisher
фишер	pescador
фишер	fischer
гръб	volver
гръб	espalda
гръб	regreso
гръб	back
гръб	espalda
гръб	dorso
гръб	espaldas
гнездото	nido
гнездото	nidos
предприемачи	emprendedores
предприемачи	empresarios
предприемачи	desarrolladores
предприемачи	promotores
предприемачи	contratantes
предприемачи	contratistas
тетово	tetovo
моцарт	mozart
въстания	revueltas
въстания	levantamientos
яйцата	huevos
яйцата	huevo
реконструкция	reconstrucción
тухли	ladrillos
финалите	finales
финалите	final
затворници	reclusos
затворници	prisioneros
затворници	presos
затворници	cons
затворници	convictos
затворници	contras
затворници	estafas
затворници	reclusos
затворници	reclusas
затворници	presos
дженифър	jennifer
правителствата	gobiernos
неа	nea
инфо	info
инфо	información
инфо	informacion
записана	grabados
записана	registrado
записана	grabado
математици	matemáticos
елин	elin
детройт	detroit
ушите	orejas
ушите	oídos
продуктите	productos
министрите	ministros
министрите	ministras
хънт	hunt
хънт	cazar
хънт	caza
хънт	cacería
хънт	cazo
дарява	dona
херодот	heródoto
проведено	realizado
единични	singles
единични	sencillos
единични	solteros
единични	individuales
нормална	normales
нормална	normalidad
нормална	normal
рая	cielo
рая	heaven
рая	paraiso
рая	paraíso
рая	paradise
политбюро	politburó
съотношение	proporción
съотношение	coeficiente
съотношение	ratio
съотношение	proporción
съотношение	cociente
павлович	pavlovich
съчетание	combinación
духовно	espirituales
духовно	espiritual
духовно	espiritualmente
частно	privados
частно	privadas
частно	privado
частно	privada
разрешава	permite
стипендия	becas
стипендия	beca
блато	ciénaga
блато	pantano
блато	marismas
блато	pantano
блато	marsh
блато	ciénaga
блато	pantano
илюстрации	ilustraciones
хабсбург	habsburgo
хабсбург	habsburg
гризачи	roedor
гризачи	roedores
гризачи	roedores
практикува	practicó
практикува	practicado
укрепления	fortificación
укрепления	fortificaciones
нарушава	distorsiona
дворецът	palacio
дворецът	palace
дъска	tabla
дъска	tablón
дъска	tablero
дъска	junta
дъска	plancha
дъска	tablón
томи	tommy
излъчването	emitirse
излъчването	transmitirse
излъчването	radiodifusión
излъчването	transmitiendo
излъчването	broadcasting
блата	pantanos
блата	marismas
блата	pantanos
проектиране	concepción
проектиране	diseño
проектиране	diseñar
проектиране	diseñando
мърфи	murphy
бесарабия	besarabia
земноводни	anfibios
корен	root
корен	raíz
кей	kay
експозиция	exposición
алпийски	alpes
алпийски	alpina
алпийски	alpino
модерен	moderna
модерен	modernos
модерен	modernas
модерен	moderno
остра	aguda
остра	agudos
остра	agudas
остра	agudo
остра	afilada
остра	sharp
остра	agudo
остра	afilado
наблизо	cercano
наблизо	cercana
наблизо	cerca
включването	incorporación
балет	ballet
трайно	duradera
трайно	duraderos
трайно	duraderas
трайно	duradero
трайно	permanentemente
трайно	duradera
трайно	duradero
последователност	coherencia
последователност	secuencia
последователност	secuencias
последователност	sucesión
последователност	consistencia
последователност	coherencia
тънки	delgado
тънки	delgada
излага	expone
мъртъв	muerta
мъртъв	muertos
мъртъв	dead
мъртъв	muerto
петата	talón
петата	tacón
заряд	cargos
заряд	cargo
заряд	carga
коло	colo
подправки	condimentos
подправки	condimento
подправки	especias
подправки	condimentos
подправки	especia
подправки	especias
подправки	spice
разтвор	solución
разтвор	solucion
разтвор	disolución
ума	uma
ума	mind
ума	mente
дамаск	damasco
установена	establecido
установена	establecidos
установена	establecida
черво	intestinos
черво	intestino
черво	intestinos
черво	intestinal
черво	intestino
черво	colón
черво	colon
хумор	humor
хумор	humor
интензивно	intensivos
интензивно	intensivo
интензивно	intensiva
интензивно	intenso
интензивно	intensos
интензивно	intensa
интензивно	intensas
интензивно	intenso
интензивно	intensamente
радослав	radoslav
популация	población
одобрява	aprueba
подобрения	mejoras
подобрения	actualizaciones
подобрения	mejoras
подобрения	mejoras
подобрения	mejoras
подобрения	mejoría
подобрения	mejoramiento
подобрения	perfeccionamiento
подобрения	mejora
драган	dragan
организиране	organice
организиране	organizan
организиране	organizarse
организиране	organizar
организиране	organiza
организиране	organizar
организиране	organizando
организиране	organizando
организиране	organización
организиране	organizador
организиране	organizar
поеми	poemas
ужасите	horrores
злото	malvado
злото	maldad
злото	mal
злото	evil
злото	malvada
силва	silva
премахва	elimina
премахва	quita
премахва	remueve
възприемат	percibir
възприемат	perciben
възприемат	perciba
майсен	meissen
култ	culto
култ	secta
трафик	tránsito
трафик	tráfico
трафик	trafico
трафик	trata
трафик	tráfico
трафик	traficar
баку	bakú
специфична	específicas
специфична	específicos
специфична	específica
специфична	especifico
специфична	específico
погребението	funeraria
погребението	funerales
погребението	funeral
погребението	entierro
рой	roy
живите	living
живите	vivir
живите	viviendo
монахиня	monja
спонсор	patrocinio
спонсор	patrocinador
остатъци	residuo
остатъци	sobras
остатъци	residuos
луиджи	luigi
робство	esclavitud
робство	servidumbre
робство	esclavitud
остър	afilada
остър	sharp
остър	agudo
остър	afilado
остър	aguda
остър	agudos
остър	agudas
остър	agudo
династии	dinastías
вестфалия	westfalia
долини	valles
детство	niñez
детство	infancia
важи	aplica
стаята	cuarto
стаята	sala
стаята	habitación
битките	batallas
струга	struga
подобие	parecido
подобие	similitud
подобие	semejanza
патрон	patrón
патрон	patron
патрон	patrona
патрон	mecenas
патрон	cartucho
таня	tania
таня	tania
таня	tanya
таня	tanja
увеличение	ampliar
увеличение	acercamiento
увеличение	zoom
увеличение	amplía
увеличение	incremento
увеличение	aumento
увеличение	aumentar
увеличение	aumenta
увеличение	aumentan
увеличение	aumentos
възпитание	crianza
възпитание	educación
възпитание	enseñanza
възпитание	educacion
възпитание	crianza
заслужил	ganados
заслужил	ganado
устойчивост	estabilidad
устойчивост	sostenibilidad
устойчивост	sustentabilidad
устойчивост	resistencias
устойчивост	resistencia
устойчивост	persistencia
устойчивост	resiliencia
устойчивост	resistencia
бъркли	berkley
бъркли	berkeley
камери	camara
камери	cámaras
експерти	expertas
експерти	peritos
експерти	expertos
обичайно	habitual
обичайно	habituales
обичайно	usual
подчинение	obediencia
подчинение	presentación
