קית	keith
מאסטר	大師
מאסטר	師父
מאסטר	師傅
אינסופי	無盡
אינסופי	無限
אינסופי	無窮
אלופה	拳王
אלופה	冠軍
אלופה	冠軍
זבל	垃圾
זבל	垃圾
זבל	垃圾
אונייה	船
אונייה	船隻
אונייה	艦
אונייה	船舶
מולי	茉莉
מולי	molly
אללה	真主
אללה	阿拉
התשלום	付款
התשלום	支付
מפרסם	張貼
מפרסם	發文
מפרסם	出版社
מפרסם	出版商
ניקוי	打掃
ניקוי	清潔
ניקוי	清洗
ניקוי	清洗
חלומות	夢
חלומות	夢境
חלומות	夢想
מחזורי	週期
אגודות	社團
משוואה	方程
משוואה	方程式
שניידר	schneider
הרך	軟軟
הרך	柔軟
הרך	柔和
הרך	軟
נעצרה	被捕
מקראית	聖經
הנשמה	靈魂
הסיעה	派系
סופו	終結
סופו	結尾
סופו	結束
מנגנוני	機制
בנקים	銀行
קתולים	天主教徒
קתולים	天主教
קתולים	天主教徒
מוכשר	才華
עדנה	edna
ברט	bret
ברט	brett
סורי	敘利亞
חומרה	硬體
אלטרנטיבי	候補
פסיכולוגית	心理
גרנד	grand
מפגינים	示威者
מפגינים	示威者
מפגינים	示威者
השקיעה	夕陽
משלחות	探險
מוזס	摩西
ענקית	巨大
ענקית	巨人
ענקית	巨
ענקית	巨型
פרסמו	張貼
חללים	空格
חללים	空間
חללים	傷亡
חללים	傷亡人數
ואט	瓦特
ואט	增值稅
הילה	光環
הילה	光環
הילה	暈
עוצר	宵禁
עוצר	宵禁
תהילים	聖詩
תהילים	詩篇
תהילים	詩篇
סמינר	討論會
סמינר	研討會
ווסט	西邊
ווסט	西
ווסט	西方
ווסט	西部
ללכוד	擷取
ללכוד	捕捉
ללכוד	捕獲
מטריצה	母體
מטריצה	矩陣
סרי	sri
סקס	性別
סקס	性愛
סקס	性行為
סקס	性
סיר	鍋
סיר	壺
מזכירה	秘書
הגלקסיה	銀河
הגלקסיה	星系
הגלקסיה	galaxy
הגלקסיה	銀河系
צלפים	capers
אבד	失
אבד	輸
אבד	輸了
אבד	遺失
אבד	迷失
בהריון	懷孕
בהריון	孕婦
אייאקס	ajax
תביעות	債權
תביעות	訴訟
הארכיבישוף	大主教
לוחמת	戰士
לוחמת	勇士
לוחמת	拳手
לוחמת	鬥士
אסלאם	伊斯蘭
אסלאם	伊斯蘭教
הלסינקי	赫爾辛基
גיטריסט	吉他手
מוגברת	增加
סכין	刀
סכין	刀子
סכין	小刀
כפל	乘法
דרישת	要求
משולם	付費
פג	peg
חוויה	體驗
חוויה	經驗
האוס	屋
האוס	房屋
האוס	房子
סיירות	巡洋艦
מסתובב	旋轉
מסתובב	紡
ריבית	興趣
ריבית	利息
מלכותי	雄偉
מלכותי	富豪
מלכותי	皇家
מלכותי	皇室
אובייקטים	物體
אובייקטים	天體
אובייקטים	物件
רשומות	紀錄
רשומות	記錄
רשומות	條目
הלוואות	借款
הלוואות	貸款
רלוונטית	相關
קונה	買主
קונה	購買
קונה	買
המוקד	派遣
הדפדפן	瀏覽器
רחבות	廣義
רחבות	廣
רחבות	寬
חוסייני	husseini
תנין	鰐
תנין	鱷魚
תנין	鱷
מותג	品牌
שין	申
שין	shin
ביקורתית	危急
ביקורתית	批判
ביקורתית	臨界
נהיגה	駕駛
סרג	serge
אויבים	仇人
עיצורים	音
פלאש	閃光
פלאש	閃光燈
פלאש	flash
פלאש	閃
פלאש	閃電俠
משולבת	整合
סגולה	紫色
סגולה	紫
מלאי	存貨
מלאי	庫存
מלאי	股票
מלאי	存貨
מלאי	庫存
מלחים	水兵
סדנה	研討會
אלברטו	alberto
לילות	夜晚
לילות	夜
בובה	嬰兒
בובה	baby
בובה	寶貝
בובה	寶寶
בובה	傀儡
בובה	木偶
בובה	娃娃
בובה	洋娃娃
בובה	玩偶
מארס	火星
המשלב	整合
דיאלוג	對話
דיאלוג	對話
דיאלוג	對話
אינטרס	興趣
אינטרס	利息
סייד	一面
סייד	側
חריגה	異常
חריגה	不尋常
חריגה	例外
העשרה	濃縮
הסף	門檻
שריפת	燃燒
שריפת	燒
השמדה	滅絕
השמדה	消滅
דאון	往下
דאון	向下
דאון	dawn
דאון	拂曉
דאון	黎明
דאון	天亮
דאון	滑翔翼
מזמור	聖歌
מזמור	誦經
מזמור	chant
מזמור	聖歌
מזמור	聖詩
מזמור	詩篇
זאוס	宙斯
רולינג	滾動
מתפתחת	演化
מקבלי	收件人
החוזר	重播
טרנס	跨
טרנס	轉運
הכלה	新娘
אכפת	頭腦
אכפת	心靈
אכפת	護理
אכפת	關心
ואלי	河谷
ואלי	谷
ואלי	山谷
ואלי	谷地
הקוראן	可蘭經
הקוראן	古蘭經
אנדרטאות	古蹟
אנדרטאות	紀念碑
סונג	成
שתייה	飲酒
שתייה	喝
שתייה	喝酒
שתייה	飲料
יארד	碼
נעליים	皮鞋
נעליים	鞋
נעליים	鞋子
פשעים	罪行
פשעים	犯罪
וריאציות	變異
שימושית	實用
שימושית	有用
מתוק	甜蜜
מתוק	甜
נחוץ	必要
נחוץ	必需
נספח	隨員
ריבוע	正方形
ריבוע	平方
ריבוע	方塊
ריבוע	方形
ריבוע	廣場
ריבוע	平方
אתניות	族裔
אתניות	民族
אתניות	種族
מוסלמית	穆斯林
קזחסטן	哈薩克
עימותים	衝突
עימותים	衝突
עימותים	對抗
רעידות	震顫
אנני	annie
הנעורים	青年
הנעורים	青春
הנעורים	青少年
גרסיה	加西亞
מזבח	祭壇
מזבח	壇
הארכה	加班
הארכה	加班費
הארכה	延伸
הארכה	擴展
הארכה	延長
הארכה	延期
זמיר	夜鶯
טוטנהאם	tottenham
חמורות	嚴重
חמורות	重度
קציר	收成
קציר	收割
קציר	收穫
קציר	豐收
יריות	鏡頭
מדידות	測量
מדידות	計量
עיגול	圓形
עיגול	圓
עיגול	圓圈
עיגול	迴圈
עיגול	圈
מעניינים	有趣
מלבורן	墨爾本
מישהי	某人
מישהי	有人
דרקון	龍
דרקון	神龍
הפחד	恐懼
הכמות	數量
הכמות	量
הצטרפות	加入
נתרן	鈉
מקצועיות	專業
נשמה	靈魂
עיבודים	改編
קופות	大片
פוריות	生育率
פוריות	生育
שטוח	平面
שטוח	平
שטוח	公寓
תבוסה	敗
הימנעות	避免
הימנעות	撤銷
זמינים	可用
מהנדסים	工程師
קדמי	前面
קדמי	陣線
קדמי	推廣
חובבים	業餘
חובבים	業餘
בגד	成衣
פלדמן	feldman
קולין	colin
טדי	teddy
לישון	睡
לישון	睡眠
לישון	睡覺
משמעת	紀律
משמעת	紀律處分
רלוונטיים	相關
לרכב	乘車
לרכב	騎馬
לרכב	騎
פגם	瑕疵
פגם	缺陷
פגם	缺陷
פגם	瑕疵
ריילי	riley
ריילי	reilly
קומוניסטים	共產黨
משרות	工作
יומית	每日
אשמה	責怪
אשמה	有罪
אשמה	罪惡感
אשמה	內疚
אשמה	愧疚
האלפבית	字母
הבריאה	創作
הבריאה	創建
הבריאה	創造
הבריאה	建立
בלוק	區塊
בלוק	block
אירית	愛爾蘭
טיעונים	論證
טיעונים	參數
טיעונים	爭論
טיעונים	論點
במלואו	充分
תביא	帶
מרתה	martha
הנפה	抬
הנפה	提升
הנפה	電梯
הנפה	鞦韆
הנפה	擺動
הנפה	搖擺
קוראת	閱讀
קוראת	讀書
קוראת	讀取
קוראת	讀
ראי	見
ראי	rai
ראי	鏡
ראי	鏡子
קטלנית	致命
קטלנית	致死
קטלנית	致命
קטלנית	致命
שמעבר	超越
תירס	玉米
כנסים	公約
שכיחות	發病率
נטש	廢棄
נטש	遺棄
ויטמין	維生素
ויטמין	維他命
ויטמין	維生素
ויטמין	維他命
חושף	揭示
חושף	揭示
מייצר	產生
מייצר	生成
לאנג	朗
לאנג	郎
מצוקה	危難
מצוקה	遇險
מצוקה	逆境
מינג	阿明
מינג	明
קילוגרם	千克
קילוגרם	公斤
קילוגרם	磅
אמונות	信仰
הרפובליקני	共和
צוללת	潛水艇
צוללת	潛艇
מזיק	有害
הצוואר	脖子
הצוואר	頸
הצוואר	頸部
פסיכולוגי	心理
לגבש	鞏固
אוזן	耳
אוזן	耳朵
פסקל	pascal
אציל	高尚
אציל	貴族
אציל	高貴
אציל	崇高
מגיב	被動
מגיב	回應
לנג	朗
לנג	郎
צער	悲痛
איכותי	素質
איכותי	品質
איכותי	優質
איכותי	質量
שק	包包
שק	袋
שק	袋子
שק	包
שק	麻袋
אתיקה	倫理
אתיקה	倫理
אתיקה	倫理學
ויכוחים	論證
ויכוחים	參數
ויכוחים	爭論
ויכוחים	論點
נאמנים	忠心
נאמנים	忠誠
נאמנים	忠誠
נאמנים	忠實
רוט	根
רוט	root
דרייק	drake
עזים	山羊
מדיסון	madison
וינסטון	winston
מאדאם	夫人
מעגלים	圈
מעגלים	圈子
מעגלים	圓圈
מעגלים	電路
טוד	todd
הפלות	墮胎
הריון	懷孕
הריון	妊娠
הריון	孕期
מורדים	叛亂份子
מורדים	叛亂分子
מורדים	叛亂份子
מורדים	叛亂分子
מורדים	叛軍
שרות	服務
ריקי	riki
ריקי	rickie
ריקי	ricky
משוב	回饋
משוב	反饋
תפארת	榮耀
תפארת	光榮
היציבות	穩定
היציבות	穩定性
עכשווית	當代
פליפה	felipe
מעיינות	彈簧
קריאות	讀數
מחויבות	承諾
ביולוגית	生物
ביולוגית	生物學
מסילה	追蹤
מסילה	曲目
מסילה	軌道
מסילה	軌跡
שפיר	良性
שכנע	說服
שכנע	勸說
שכנע	說服
אלומיניום	鋁
אלומיניום	鋁
מתפתח	演化
גירוי	刺激
גירוי	刺激
קלאוס	klaus
שאה	沙
שאה	shah
מועיל	實用
מועיל	有用
פטנט	專利權
פטנט	專利
לינדה	linda
חידות	拼圖
חידות	謎題
חידות	益智
חידות	謎語
מסעדת	飯店
מסעדת	餐廳
מסעדת	餐館
מדונה	聖母
סילון	噴射
סילון	噴氣
מחזיקים	持有
מחזיקים	控股
כידון	標槍
כידון	刺刀
מונטנגרו	黑山
מסוקי	直升機
מסוקי	直升飛機
היימן	hyman
גו	goo
גו	咕
החלים	適用
החלים	痊癒
נכות	殘疾
נכות	殘障
נכות	傷殘
לדכא	打壓
לדכא	壓制
מיסים	稅務
מיסים	稅收
מיסים	稅
מיסים	稅款
שטרות	紙幣
שטרות	鈔
שטרות	賬單
שטרות	帳單
שטרות	法案
פריחה	疹
פריחה	皮疹
מעגלי	環形
מעגלי	圓形
מעגלי	迴圈
ביעילות	高效
זרועות	觸角
זרועות	觸手
זרועות	軍火
עניים	窮
הנבואה	預言
משרתים	奴才
סוקולוב	sokolov
קייל	kyle
החשמלית	電車
חנינה	大赦
חנינה	特赦
חנינה	寬大
מטופלים	病患
מטופלים	患者
מטופלים	病人
לינה	住宿
לינה	住宿
מוניקה	monica
רכשו	購買
חתונה	結婚
חתונה	婚姻
חתונה	婚禮
איזבל	isobel
אלכסיי	alexey
להתפלל	祈禱
להתפלל	禱告
כותרות	頭銜
כותרות	職銜
כותרות	標題
אקספרס	快車
אקספרס	明示
אקספרס	express
אקספרס	特快
דמו	示範
דמו	演示
נחקק	頒布
אופקים	地平線
הגאולה	解脫
הרחם	子宮
רומנטי	浪漫
מלאכים	天使
מסוכנת	危險
מסוכנת	危險性
גדת	河岸
הומצא	發明
ישרים	誠實
משאית	貨車
משאית	卡車
משאית	卡車
נזיר	隱士
נזיר	僧侶
נזיר	和尚
נזיר	僧
המנוח	逝者
המנוח	已故
מרובות	多重
מרובות	多種
מרובות	多個
לגנוב	偷
פיג	豬
תן	豺狼
תן	讓
האוזן	耳
האוזן	耳朵
המייסד	創辦人
המייסד	創始人
לצמיתות	永久
ניתוק	支隊
בקבוק	瓶子
בקבוק	瓶
הלם	休克
הלם	驚
הלם	震驚
הלם	衝擊
ערעור	上訴
ערעור	呼籲
ערעור	上訴
ערעור	呼籲
המתופף	鼓手
דורותי	dorothy
גראנד	grand
גזענות	種族歧視
אליאס	elias
נערות	girls
נערות	女孩
נערות	女生
נערות	女童
הסיכויים	幾率
הקרבה	犧牲
הקרבה	親情
הקרבה	親屬關係
טבעיות	自然
טבעיות	天然
מקדשים	廟宇
מקדשים	寺廟
ברווז	鴨
ברווז	鴨子
השיגו	實現
הדוד	舅舅
הדוד	伯父
הדוד	叔叔
הדוד	阿叔
עוני	貧窮
עוני	貧困
גס	原油
גס	毛坯
גס	粗
גס	粗糙
גס	粗魯
גס	粗糙
גס	粗鄙
זעיר	小小
זעיר	小
זעיר	微小
פוינט	角
פוינט	點
שלישיית	三重唱
בינונית	介質
בינונית	中型
בינונית	中等
בינונית	媒介
אורגנית	有機
גבישים	水晶
גבישים	晶體
פרדוקס	矛盾
התקנים	裝置
התקנים	標準
טורינו	torino
האוהדים	粉絲
פיניקס	鳳
פיניקס	鳳凰
הקומנדו	sas
הקומנדו	突擊隊
נמר	虎
נמר	老虎
נמר	豹
נמר	獵豹
נייטרלי	中性
נייטרלי	中立
טכניות	技術
מכשולים	障礙
מהלכים	動作
בסיסיות	基本
אבולוציה	演化
אבולוציה	演變
אבולוציה	進化
אבולוציה	演進
משחתות	驅逐艦
החנות	店
החנות	商店
קנת	kenneth
סוהר	監獄
מעוניינת	興趣
מעוניינת	感興趣
אירח	主辦
חלופית	候補
ליקוי	日蝕
ביצות	沼澤
ביצות	沼澤地
ביצות	濕地
מסעדה	飯店
מסעדה	餐廳
מסעדה	餐館
יהודייה	猶太人
יהודייה	猶太
יהודייה	猶太教
אורלי	orly
איוב	工作
גוונים	突顯
גוונים	墨鏡
תקריות	事件
סילבה	silva
מושבת	殖民地
מושבת	殘疾
המחירים	物價
המחירים	價格
נכלא	囚禁
משקפת	望遠鏡
הסכמים	協定
חלופי	候補
נצח	永恆
נצח	永遠
נצח	永恆
נעדר	缺席
נעדר	缺少
נעדר	失蹤
נעדר	遺失
בלוטות	腺
המאמצים	努力
דוגמנית	模型
דוגמנית	模特
דוגמנית	型號
דוגמנית	模特兒
דוגמנית	模範
דוגמנית	示範
דוגמנית	模型
דוגמנית	型號
דוגמנית	模特兒
שטיין	stein
הכבישים	公路
הכבישים	道路
סצנה	場景
סצנה	現場
סצנה	一幕
טכניקת	技術
טכניקת	技巧
פגזים	貝殼
פגזים	殼
רובים	步槍
רובים	槍支
רובים	槍械
עקבות	曲目
עקבות	軌道
עקבות	痕跡
עקבות	足跡
עקבות	腳印
חילוני	世俗
איה	aya
איה	綾
מורחב	延伸
מורחב	擴展
מורחב	延長
מורחב	擴大
חמישית	第五
חמישית	第五次
החלון	窗戶
החלון	窗
החלון	視窗
מונטה	monte
פריט	項目
נקמה	復仇
נקמה	報復
נקמה	報仇
נקמה	復仇
לימון	檸檬
שיפוט	判斷
שיפוט	判決
שיפוט	判斷力
שיפוט	管轄權
שיפוט	判斷
שיפוט	判決
שיפוט	判斷力
גלויה	明信片
גלויה	可見
מוסא	musa
התקרב	放大
גלויות	明信片
רמזים	暗示
רמזים	線索
אסטרטגיות	戰略
שוער	守門員
שוער	守門員
שורשי	根
הדפסה	印刷
הדפסה	列印
הדפסה	印刷
הדפסה	列印
דוח	報告
דוח	檢舉
וירוס	病毒
כנפי	翅膀
כנפי	翼
חשוף	裸
חשוף	暴露
חשוף	曝光
שקוף	透明
אתי	倫理
נק	脖子
נק	頸
נק	頸部
הצל	影
הצל	影子
הצל	陰影
הצל	暗影
מרצון	心甘情願
מרצון	自願
מרצון	自願性
הקתולים	天主教徒
נהנו	享受
לטיני	拉丁
לטיני	拉丁文
חימר	黏土
חימר	泥
חימר	粘土
ארס	毒
ארס	毒液
ארס	ars
מתון	輕度
מתון	溫和
מתון	中等
מתון	適度
מתון	適中
מתון	溫和
גיבסון	gibson
קרמר	cramer
מקוונת	上線
מקוונת	網上
מקוונת	online
משאיות	卡車
הזדהות	共鳴
הזדהות	識別
הזדהות	聲援
הזדהות	團結
גאומטריה	幾何
עירום	裸
עירום	赤裸
עירום	裸體
עירום	裸露
עירום	裸體
עירום	裸
עירום	裸體
פאונד	鎊
פאונד	磅
פאונד	磅
מחירים	物價
מחירים	價格
אסונות	災害
אסונות	災難
בחורה	女生
בחורה	姑娘
בחורה	女孩
בחורה	girl
טומאה	雜質
שומרת	守護神
שומרת	守護者
שומרת	守護
שומרת	監護人
קרבן	犧牲
קרבן	受害人
קרבן	受害者
קרבן	死者
בטוחים	安全
בטוחים	平安
דרג	速率
דרג	評分
דרג	率
דרג	利率
חמוש	武裝
הסתברות	概率
הסתברות	可能性
אוריון	獵戶座
ליברלית	自由主義
האובייקט	天體
האובייקט	物件
סאלי	玷污
סאלי	莎莉
סאלי	sally
ריס	rhys
בריו	rio
סיד	sid
נתפסה	抓到
נתפסה	被俘
מפחד	害怕
מפחד	怕
הבוחר	選民
לשלול	撤消
לשלול	撤銷
תדמית	影象
תדמית	影像
תדמית	圖片
זולה	zola
זולה	廉價
זולה	便宜
הישרדות	存活
הישרדות	求生
הישרדות	生存
הישרדות	生還者
הישרדות	幸存者
כרגיל	平時
חסימות	區塊
חסימות	積木
פריי	油炸
פריי	煎
מיועדים	悼念
הצריכה	消費
הצריכה	消費量
הצריכה	消耗
תפוחי	土豆
תפוחי	馬鈴薯
ניתוחים	分析
נרות	蠟燭
נרות	燭光
עמל	辛勞
גינה	園
גינה	園林
גינה	花園
גינה	園藝
האיראני	伊朗
נחלים	流
נחלים	溪流
צדיקים	正義
צדיקים	公義
גבינה	乳酪
גבינה	乾酪
כיוונים	方向
תכלת	青色
מון	月球
מון	月亮
מון	月
טבק	煙草
צלמים	攝影師
צבעוני	鬱金香
צבעוני	色彩繽紛
צבעוני	色彩繽紛
קוויבק	魁北克
להתקין	安裝
דוג	dogg
דוג	竇
דוג	犬
דוג	狗
דבק	膠
דבק	膠水
דבק	黏膠
באס	低音
באס	bass
אויר	空中
אויר	air
אויר	航空
אויר	空氣
קנזס	堪薩斯
קנזס	堪薩斯州
פרייס	價
פרייס	price
פרייס	價錢
פרייס	價格
דולפין	海豚
בארון	衣櫃
בארון	壁櫥
בארון	衣櫥
זוהה	斑點
גולדן	golden
גולדן	黃金
גולדן	金色
עובי	厚度
אוספים	收藏
סיורים	巡邏
מיתולוגיה	神話
מיתולוגיה	神話
הרכיב	元件
קלאב	幫會
קלאב	club
קלאב	俱樂部
דייויד	大衛
דייויד	david
בוץ	泥巴
בוץ	泥
בוץ	泥漿
היפ	hip
היפ	臀
היפ	臀部
היפ	髖
ריפוי	醫治
ריפוי	治癒
ריפוי	療傷
ריפוי	康復
לעקוף	覆蓋
העדפה	偏好
העדפה	喜好
אלינור	eleanor
הוגשה	提交
תיאורים	描述
פורשה	porsche
להתחבר	連線
להתחבר	連結
צרות	麻煩
צרות	煩惱
תאונה	意外
תאונה	事故
תאונה	事故
מעבדות	實驗室
העוברים	胚胎
אוון	owen
אוון	歐文
ניקס	nicks
ניקס	nyx
ההבחנה	區分
ההבחנה	區別
שיבוש	擾亂
שיבוש	干擾
הוזמנה	邀請
הוזמנה	受邀
מיעוטים	少數民族
כיבוי	關機
כיבוי	停機
ליטל	小
מתמחה	實習
נורמלי	常態
נורמלי	正常
רכיבה	騎馬
רכיבה	騎
רכיבה	單車
רכיבה	騎車
רכיבה	自行車
רכיבה	馬術
אסורים	禁
אסורים	禁止
אסורים	違禁
אסורים	禁忌
אסורים	禁止
אילון	elon
ראלף	ralph
אנליזה	分析
רגשי	情感
רוטב	肉汁
רוטב	醬
סוכנים	代理商
סוכנים	代理人
חקירות	訊問
חקירות	詢問
חקירות	查詢
חקירות	調查
תקנה	購買
תקנה	買
בעיקרון	基本上
קסטרו	castro
חוויות	經驗
חוויות	體驗
יפות	漂亮
יפות	美
יפות	美女
יפות	美麗
היגיון	邏輯
יצרנית	maker
טקסטיל	紡織
טקסטיל	紡織品
טקסטיל	紡織業
טקסטיל	紡織
טקסטיל	紡織品
מתנה	現任
מתנה	禮物
מתנה	禮品
מתנה	天賦
בזלת	玄武岩
יקרים	dear
יקרים	珍貴
יקרים	珍寶
יקרים	寶貴
יקרים	昂貴
יקרים	貴
גלילאו	伽利略
רשומה	入境
רשומה	註冊
רשומה	上市
לגעת	touch
לגעת	摸
לגעת	觸碰
לגעת	觸控
לגעת	觸動
חפירה	挖掘
חפירה	挖
בחינות	考試
בחינות	考試
סיכונים	風險
הפליטה	用盡
הפליטה	排氣
הפחתת	減少
הפחתת	裁減
הפחתת	減少
עושר	財富
עושר	富人
עושר	富
עושר	豐富
עושר	富有
רעים	壞
אתלטים	運動員
אלכסנדרה	alexandra
לפרטים	細節
לפרטים	詳情
גאנה	迦納
מפואר	華麗
מפואר	光榮
מפואר	看中
מפואר	奢華
מפואר	豪華
דונה	donna
פורייה	傅立葉
פורייה	肥沃
קרבה	親密關係
קרבה	親近
קרבה	關係
קרבה	親情
קרבה	親屬關係
אלקטרון	電子
פנינה	明珠
פנינה	珍珠
פנינה	寶石
נסיון	未遂
נסיון	企圖
נסיון	體驗
נסיון	經驗
לתקשר	溝通
גזעי	純種
גאה	自豪
גאה	驕傲
הארווי	harvey
