минг	மிங்
интересен	சுவாரசியமான
рагби	ரக்பி
коен	கோஹன்
показател	சுட்டிக்காட்டி
кадри	சட்டங்கள்
цвеќиња	பூக்கள்
цвеќиња	பூக்களை
цвеќиња	மலர்கள்
цвеќиња	மலர்களை
скарлет	scarlet
скарлет	ஸ்கார்லெட்
дефинитивно	கண்டிப்பாக
дефинитивно	நிச்சயமாக
размер	அளவுகோல்
размер	அளவு
кратенка	குறுக்குவழி
марин	மரின்
стапките	விலைகள்
стапките	விகிதங்கள்
колинс	காலின்ஸ்
ајдахо	idaho
земјоделска	விவசாய
централа	ஆலை
централа	தாவரம்
централа	செடி
централа	சென்ட்ரல்
централа	மத்திய
советување	கலந்தாய்வு
трага	வழி
трага	சுவடு
трага	ஈயம்
трага	லீட்
дрес	சீருடை
дрес	சீரான
сериски	சீரியல்
сериски	வரிசை
сериски	தொடர்
албанска	அல்பேனிய
зло	தீய
зло	தீமைகள்
зло	தீங்கு
зло	வேதனையை
микроскоп	நுண்ணோக்கி
оператори	ஆப்பரேட்டர்கள்
ракописот	கைப்பிரதி
датуми	தேதிகள்
исчезнат	காணாமல்
исчезнат	காணவில்லை
исчезнат	இல்லாமை
исчезнат	மறைந்து
сенегал	செனகல்
пинк	இளஞ்சிவப்பு
пинк	பிங்க்
приоритет	முன்னுரிமை
хирургија	அறுவை
бонд	இனைப்பு
ретка	அரிய
ретка	அரிதான
засолниште	தங்குமிடம்
засолниште	சரணாலயம்
засолниште	அடைக்கலம்
засолниште	புகலிடம்
реализам	நிஜம்
арамејски	aramaic
алфонсо	அல்போன்சோ
алфонсо	அல்போன்சா
преведување	மொழிபெயர்ப்பு
преведување	மொழிபெயர்ப்பு
преведување	மொழிபெயர்க்க
преведување	முக்கோணம்
уво	காது
уво	செவி
уво	காதில்
седи	அமரும்
седи	அமர்ந்து
седи	அமர்ந்து
флеминг	ஃபிளெமிங்
калциум	கால்சியம்
римјани	ரோமர்
фреска	fresco
проценки	கணக்கீடுகள்
марина	மெரினா
марина	மெரீனா
интелектуална	அறிவுசார்
катастрофа	பேரழிவு
катастрофа	பேரிடர்
напаѓаат	தாக்குதல்
овозможувајќи	இயக்குகிறது
наведените	மேலே
тед	டெட்
индустрии	இண்டஸ்ட்ரீஸ்
пери	பெர்ரி
убави	அழகு
убави	அழகான
убави	அழகிய
убави	அழகா
убави	அழகாக
терористите	பயங்கரவாதிகள்
терористите	தீவிரவாதிகள்
призна	ஒப்புக்
заработка	லாபம்
заработка	இலாபம்
пиј	குடிக்க
пиј	குடி
пиј	பானம்
сузан	சூசன்
сели	சாலி
мед	தேன்
јунак	கதாநாயகன்
јунак	ஹீரோ
јунак	நாயகன்
автобуси	பேருந்துகள்
мексикански	மெக்சிகன்
изненадување	ஆச்சரியம்
изненадување	ஆச்சர்யம்
дизајни	டிசைன்கள்
миранда	மிராண்டா
патка	வாத்து
хомер	ஹோமர்
маја	மாயா
маја	மஜா
стипендија	உதவித்தொகை
маски	முகமூடிகள்
седми	ஏழாம்
часовници	கடிகாரங்கள்
тркала	சக்கரங்கள்
бохемија	bohemia
победува	வெற்றி
победува	வெற்றிகள்
оптика	ஒளியியல்
магнетни	காந்த
кантон	canton
раководење	மேலாண்மை
раководење	நிர்வாகம்
случајна	குறிப்பிலா
случајна	நிலையில்லாத
случајна	ஒழுங்கற்ற
случајна	சீரற்ற
апсолутно	முற்றிலுமாக
апсолутно	முற்றிலும்
студена	குளிரில்
студена	சளி
студена	ஜலதோஷம்
студена	குளிர்
забранета	தடுக்கப்பட்டு
забранета	தடை
доброволци	தொண்டர்கள்
доброволци	தன்னார்வலர்கள்
активист	ஆர்வலர்
погубен	நிறைவேற்றப்பட்டது
данте	டான்டே
управител	ஆளுநர்
едвардс	எட்வர்ட்ஸ்
глазгов	கிளாஸ்கோ
истакнато	சிறப்பானது
истакнато	சிறப்பு
истакнато	சிறப்பானவை
референци	உதாரணங்கள்
кент	கென்ட்
отпорност	எதிர்ப்பு
хејс	ஹேய்ஸ்
невработеноста	வேலைவாய்ப்பின்மை
аферата	காரியத்தை
тесни	குறுகலான
вртење	சுழல்
карактери	எழுத்துக்கள்
карактери	எழுத்துகள்
карактери	கதாபாத்திரங்கள்
прстите	விரல்கள்
прстите	விரல்களால்
прстите	விரல்களை
моќна	சக்திவாய்ந்த
белешка	குறிப்பைப்
белешка	குறிப்பைக்
белешка	குறிப்பு
белешка	குறிப்பை
ниче	நீட்சே
ганди	காந்தி
предизвикан	சவாலாக
литературна	இலக்கிய
долар	டாலர்
тувалу	துவாலு
седница	அமர்வு
пронаоѓање	கண்டுபிடித்தல்
задачите	பணிகள்
полицајци	போலீசார்
полицајци	காவலர்கள்
полицајци	அலுவலர்கள்
полицајци	அதிகாரிகளின்
полицајци	அதிகாரிகள்
земање	எடுக்கும்
земање	எடுக்கிறார்
земање	எடுத்து
водеше	led
комунист	கம்யூனிஸ்ட்
повика	ஸ்தலங்கள்
повика	எனப்படும்
повика	அழைக்கப்படும்
повика	அழைக்கப்பட்ட
грубо	தோராயமான
грубо	கரடு
грубо	கடினம்
анкара	அங்காரா
мареј	முர்ரே
кривични	கிரிமினல்
кривични	குற்றவியல்
хелен	ஹெலன்
електро	எலக்ட்ரோ
повелба	பட்டயம்
повелба	சாசனம்
добивањето	பெறுகிறார்
добивањето	பெறுதல்
добивањето	பெறுகிறது
генетика	மரபியல்
претходен	முந்தையது
претходен	முந்தைய
анимиран	அனிமேஷன்
инчи	அங்குலம்
сајтови	தளங்கள்
сребрена	வெள்ளி
сребрена	சில்வர்
таџикистан	தஜிகிஸ்தான்
социјалистички	சோசலிச
рамо	தோள்பட்டை
рамо	தோள்
рекламирање	விளம்பரம்
рекламирање	விளம்பரப்படுத்தல்
рекламирање	விளம்பரப்படுத்துதல்
алјаска	அலாஸ்கா
жлезда	சுரப்பி
скорпија	விருச்சிகம்
бактериите	பாக்டீரியா
цвет	மலர்
цвет	பூ
цвет	மலர்களால்
селтик	செல்டிக்
семјуел	சாமுவேல்
демонстрации	ஆர்ப்பாட்டம்
монаси	துறவிகள்
сојузник	ஆலி
сојузник	ally
несогласувања	தரப்பிலும்
факто	facto
штетни	தீங்கிழைக்கும்
остар	கூர்மை
остар	கூர்மையான
руралните	ஊரக
руралните	கிராமப்புற
моли	மோலி
мтв	mtv
покрив	கூரை
чудо	அதிசயம்
рајт	ரைட்
матка	கருப்பை
матка	கருப்பை
топологија	இடவியல்
влажни	ஈரமான
влажни	ஈர
влажни	ஈரம்
влажни	ஈரமாக
прецизност	துல்லியம்
прецизност	தவறு
прецизност	துல்லியமான
прецизност	நுட்பம்
лама	லாமா
муслиманско	முஸ்லிம்
муслиманско	முஸ்லீம்
лувр	லூவர்
шведскиот	ஸ்வீடிஷ்
страст	மோகம்
словачки	ஸ்லோவாக்
срцева	இதய
споредено	ஒப்பிடுகையில்
величини	அளவுகள்
муниција	ஆயுதம்
муниција	munitions
професионалци	வல்லுநர்கள்
професионалци	வல்லுனர்கள்
функционални	செயற்பட
конфигурација	வடிவமைப்பு
конфигурација	கட்டமைப்பு
нашироко	பரவலாக
дует	டூயட்
бремена	கர்ப்பிணிகள்
бремена	கர்ப்பிணி
бремена	கர்ப்பமான
сериозен	தீவிர
сериозен	சீரியஸ்
испит	பரீட்சை
хорор	திகில்
хорор	பயம்
зрелост	முதிர்ச்சி
тенка	மெல்லிய
древни	பண்டைய
древни	தமிழச்சி
хемијата	வேதியியல்
романтична	காதல்
лео	சிம்மம்
мулти	மல்டி
мирно	அமைதியான
цивили	பொதுமக்கள்
желби	வாழ்த்துக்களைத்
желби	வாழ்த்துக்களை
желби	ஆசைகள்
желби	இவ்வுலகின்
мат	மாட்
мат	மேட்
мат	mat
насилно	வன்முறை
свињи	பன்றிகள்
анимирани	அனிமேஷன்
формација	formation
опус	opus
ловец	வேட்டைக்காரன்
ловец	வேட்டையாடி
славни	பிரபலங்கள்
екрани	திரைகள்
потсдам	potsdam
длабок	ஆழமான
длабок	ஆழ்ந்த
длабок	ஆழமானது
длабок	ஆழமாக
покривот	கூரை
интересна	சுவாரஸ்யமான
интересна	சுவாரசியமான
виолина	வயலின்
пресуда	வாக்கியத்தை
пресуда	வாக்கியம்
даб	டப்
дизајнирана	வடிவமைக்கப்பட்டது
дизајнирана	வடிவமைத்து
дизајнирана	வடிவமைக்கப்பட்டுள்ளது
мајер	மேயர்
мајер	மேயர்
пишан	எழுதப்பட்ட
пишан	எழுதப்பட்டது
пишан	எழுதிய
вокер	வாக்கர்
регистар	பதிவு
регистар	பதிவேடு
присуствува	பங்கேற்பு
фраза	வாக்கியம்
обезбедени	அளித்து
обезбедени	வழங்கப்படும்
обезбедени	வழங்கிய
обезбедени	வழங்கப்பட்ட
фото	புகைப்படம்
фото	படத்தை
фото	படத்தில்
фото	படம்
фото	படத்தைப்
грим	கிரிம்
емилија	எமிலியா
машко	ஆண்
перси	பெர்சி
трон	சிம்மாசனம்
никарагва	நிக்கராகுவா
покажувајќи	காட்டுகிறது
покажувајќи	demonstrating
руанда	ருவாண்டா
благодарност	பாராட்டு
благодарност	பாராட்டும்
гласини	வதந்திகள்
гласини	வதந்தி
терени	படிப்புகள்
даноците	வரிகள்
мапа	வரைபடம்
масакр	படுகொலைகள்
масакр	படுகொலை
санто	சாண்டோ
голи	நிர்வாண
голи	நிர்வாணமாக
голи	bare
васко	vasco
поединец	தனிநபர்
бизнисмен	தொழிலதிபர்
старт	ஆரம்பம்
старт	தொடக்கம்
старт	தொடங்கு
старт	துவங்கு
плутон	புளூட்டோ
духовно	ஆன்மீக
духовно	ஆன்மீகம்
духовно	ஆன்ம
духовно	சந்தேகங்களும்
плочки	ஓடு
плочки	டைல்
плочки	ஓடுகள்
оро	oro
укинување	தூக்கும்
маите	மாயன்
творец	உருவாக்கியவர்
творец	உருவாக்கி
творец	படைத்தவர்
одбиен	நிராகரிக்கப்பட்டது
одбиен	மறுக்கப்பட்டது
полноќ	நள்ளிரவு
сомалија	சோமாலியா
примарен	முதன்மை
покривање	கவரேஜ்
вдовица	விதவை
иселеници	குடியேறியவர்கள்
преведува	மொழிபெயர்ப்பு
преведува	மொழிபெயர்க்க
преведува	முக்கோணம்
ефективно	திறம்பட
навики	பழக்கங்கள்
навики	பழக்கவழக்கங்கள்
слободи	சுதந்திரங்கள்
контроверзии	சர்ச்சை
контроверзии	சர்ச்சைகள்
филипини	பிலிப்பைன்ஸ்
китови	திமிங்கலங்கள்
тренери	பயிற்சியாளர்கள்
напредни	உயர்நிலை
напредни	மேம்படுத்தப்பட்ட
напредни	மேம்பட்ட
фергусон	ferguson
партиски	விருந்து
партиски	கொண்டாட்டம்
партиски	கட்சி
партиски	பார்ட்டி
новак	நோவாக்
потпишување	சிஏ
галаксијата	கேலக்ஸி
галаксијата	பிரபஞ்சம்
дива	திவா
реклама	வணிக
реклама	வணிகம்
маркус	மார்கஸ்
маркус	மார்க்கஸ்
глумеше	கதாபாத்திரத்தில்
пензиски	ஓய்வூதியம்
логор	முகாம்
фрајбург	freiburg
ерменски	ஆர்மேனியன்
лестер	லெஸ்டர்
лестер	leicester
раствор	கரைப்பான்
раствор	திடமான
раствор	கரைசல்
раствор	தீர்வு
андреас	andreas
разгледување	உலாவுதல்
разгледување	உலாவல்
ментално	மன
ментално	மனதளவில்
поседувал	சொந்தமானது
атлас	atlas
кандидатот	வேட்பாளர்
мадона	மடோனா
мон	மோண்ட்
мон	mon
летаат	பறந்து
летаат	பறக்க
роналд	ரொனால்ட்
шерлок	sherlock
кувајт	குவைத்
работилници	பட்டறைகள்
грег	கிரெக்
вујко	சித்தப்பா
вујко	மாமா
вујко	மாமன்
додаден	சேர்க்கப்பட்டனர்
додаден	சேர்க்கப்பட்டார்
додаден	சேர்க்கப்பட்டது
затворање	மூடல்
отпуштен	எரிப்பு
отпуштен	அடைவுகள்
дерби	derby
мешаат	கலப்பு
прекината	தடங்கல்
мирен	அமைதி
мирен	அமைதியான
баталјон	படையணி
рик	ரிக்
индијанец	இந்தியர்
индијанец	இந்தியன்
индијанец	இந்திய
одземање	கழி
одземање	கழித்தல்
одземање	கழித்தல்
карневал	திருவிழா
танцување	ஆடும்
пан	பான்
интелектуалци	அறிவியலாளர்கள்
литри	கேலன்
мислата	சிந்தனை
мислата	நினைத்தேன்
мислата	எண்ணம்
мислата	நினைத்ததை
кемпбел	காம்ப்பெல்
размислува	கருத்தில்
толеранција	சகிப்புத்தன்மை
ромео	ரோமியோ
предизвикано	சவாலாக
терор	பயங்கரவாத
терор	தீவிரவாத
терор	வாத
фински	பின்னிஷ்
статуи	சிலைகள்
делење	பகிர்தல்
делење	பகிர்வு
златно	கோல்டன்
златно	பொன்
посветеност	அர்ப்பணிப்பு
посветеност	அர்ப்பணிப்பு
посветеност	பக்தி
посветеност	மெய்யியல்
посветеност	மோட்சம்
национализам	தேசியம்
истакне	அடிக்கோடு
далај	தலாய்
летање	பறந்து
летање	பறக்கும்
влажност	ஈரப்பதம்
бенедикт	பெனடிக்ட்
загадување	மாசு
хајделберг	heidelberg
харис	ஹாரிஸ்
харис	ஹாரிஸ்
христијанин	கிறிஸ்துவ
христијанин	கிறித்தவர்
торп	தோர்ப்
интензивно	அடர்த்தியாக
југоисточен	தென்கிழக்கு
југоисточен	southeastern
ричи	ரிட்சி
ричи	ரிச்சி
цврст	பரு
цврст	திடமான
цврст	திடம்
цврст	சாலிட்
цврст	கடுமையான
цврст	கஷ்டமான
цврст	கடினமான
предавство	துரோகம்
предавство	துரோகம்
тероризам	தீவிரவாதம்
тероризам	பயங்கரவாதம்
анкета	கருத்துக்கணிப்பு
анкета	வாக்கெடுப்பு
анкета	கருத்துக்கணிப்பு
анкета	சர்வே
кристал	கிரிஸ்டல்
џејми	ஜேமி
јарец	மகரம்
убиваат	கொன்றுவிடும்
убиваат	கொன்று
благосостојба	செழிப்பு
благосостојба	பொதுநலக்
благосостојба	நல
благосостојба	நலத்துறை
благосостојба	நலன்
подвижни	நீக்கக்
такси	டாக்ஸி
такси	டாக்சி
такси	கேப்
неутрална	தெரியவில்லை
неутрална	நடுநிலை
родос	ரோட்ஸ்
критична	சிக்கலான
критична	சிக்கலானது
критична	முக்கியமான
палати	மாளிகைகளையும்
црта	வரைகிறது
пенал	வேதனை
пенал	தண்டனை
домашно	உள்நாட்டு
домашно	வீட்டில்
континуитет	ஓவியங்களுக்கு
иницијативата	இயக்கம்
роналдо	ரொனால்டோ
скај	skye
присуствувал	கலந்துகொண்டார்
присуствувал	கலந்துகொண்ட
присуствувал	கலந்துகொண்டனர்
олтар	பீடம்
тенок	மெல்லிய
третмани	சிகிச்சைகள்
ајкула	சுறா
андреја	ஆண்ட்ரியா
монах	துறவி
култ	கல்ட்
прекинат	தடங்கல்
мешана	கலந்த
мешана	கலவை
мешана	கலப்பு
предна	முன்
предна	முன்னணி
предна	முன்னால்
рамни	தட்டை
рамни	தட்டையான
автономен	தன்னாட்சி
тенеси	டென்னிசி
бест	சிறந்தவை
бест	சிறந்தது
бест	சிறப்பாக
бест	சிறந்த
пророк	தீர்க்கதரிசி
пророк	நபி
пророк	நபியின்
воздухопловство	விமான
воздухопловство	வானூர்தி
прашува	கேட்கும்
олово	ஈயம்
олово	லீட்
ливчиња	தாவல்கள்
месечно	மாதந்தோறும்
месечно	மாதாந்திர
месечно	மாத
месечно	மாதம்
месечно	மாசம்
регулирање	கறவை
погодна	பொருத்தமான
странци	அந்நியர்கள்
дејмон	டாமன்
неверојатно	நம்பமுடியாத
неверојатно	அற்புதமான
дубаи	துபாய்
редок	அரிய
редок	அரிதான
виновен	குற்ற
виновен	குற்றம்
виновен	குற்றவாளிகள்
виновен	குற்றவாளி
сиви	பழுப்பு
сиви	கிரே
сиви	சாம்பல்
сиви	பழுப்பு
сиви	சாம்பல்
мин	நிமி
направа	சாதனம்
направа	கருவி
крвен	சுற்றோட்டத்
катастрофи	பேரழிவுகள்
катастрофи	பேரழிவு
катастрофи	பேரிடர்
атол	பவளத்தீவு
извонредно	அசாதாரண
извонредно	குறிப்பிடத்தக்கது
вернер	வெர்னர்
младина	இளமை
младина	யூத்
младина	இளைஞர்கள்
младина	இளைஞர்
младина	இளைஞர்களின்
антарктикот	அண்டார்க்டிக்
саем	நியாயமா
саем	கண்காட்சி
саем	நியாயமாக
саем	நியாயம்
генерали	தளபதிகள்
трилер	திரில்லர்
глина	களிமண்
глина	ஆரம்பித்தான்
семе	விதை
семе	வித்து
администраторите	நிர்வாகி
администраторите	நிர்வாகிகள்
исклучен	தொடர்பில்லாத
исклучен	ஆஃப்லைன்
исклучен	முடக்கு
исклучен	ஆஃப்
исклучен	அணை
исклучен	துண்டிக்கப்பட்டது
исклучен	துண்டிக்கப்பட்ட
исклучен	சேர்க்கப்படாத
насочување	இலக்கு
вредни	உழைப்பாளி
вредни	மதிப்பானது
вредни	மதிப்புமிக்க
тринаесет	பதின்மூன்று
тринаесет	பதிமூன்று
австрискиот	ஆஸ்திரிய
преселба	நகரும்
танци	நடனங்கள்
џезира	jazeera
отварање	திறக்கப்படுகிறது
отварање	திறக்கும்
отварање	திறப்பு
религиозен	சமய
религиозен	மத
религиозен	சமயப்
вриење	கொதி
вриење	கொதிக்கும்
индиска	இந்தியர்
индиска	இந்தியன்
индиска	இந்திய
принсипе	பிரின்சிப்பி
ќелии	செல்கள்
хоризонтални	கிடைமட்ட
пронаоѓач	கண்டுபிடிப்பாளர்
соништата	கனவுகள்
соништата	கனவுகளும்
соништата	கனவுகளை
статутот	statute
апликацијата	பயன்பாட்டை
апликацијата	செயலி
апликацијата	பயன்பாடு
апликацијата	பயன்பாட்டை
апликацијата	பயன்பாடு
апликацијата	பயன்பாட்டைப்
апликацијата	செயலி
увид	insight
нож	கத்தி
стабилни	பந்தத்தில்
примирје	எதிரணியை
спонзор	ஸ்பான்சர்
мисури	மிசூரி
грант	கிரான்ட்
вештачка	செயற்கை
мозаик	mosaic
поминати	செலவு
поминати	கழித்த
совршено	சரியானதாக
совршено	சரியான
совршено	கச்சிதமான
совршено	கச்சிதமாக
пензија	ஓய்வு
пензија	ஓய்வை
пензија	ஓய்வூதியம்
платен	செலுத்தப்பட்டது
јна	jna
недостасува	காணாமல்
недостасува	காணவில்லை
недостасува	இல்லாமை
емитуваше	ஒளிபரப்பப்பட்டது
декада	பத்தாண்டு
зафати	மாண்டு
скапоцени	விலைமதிப்பற்ற
скапоцени	பொன்னான
дерек	டெரெக்
назначени	நியமனம்
членството	உறுப்பினர்
бонус	போனஸ்
спротивен	எதிர்புறம்
спротивен	எதிர்
носење	அணிந்து
носење	சுமந்து
клеопатра	கிளியோபாட்ரா
домаќинство	குடும்பத்தாரையும்
ќелија	அறை
ќелија	கைபேசி
ќелија	செல்
невада	நெவாடா
дипломи	டிகிரி
дипломи	டிகிரிகள்
фени	fanny
сесија	அமர்வு
зголемено	அதிகரித்துள்ளது
зголемено	அதிகரித்தது
мозамбик	மொசாம்பிக்
колеџи	கல்லூரிகள்
коли	கார்கள்
џингис	செங்கிஸ்
учебници	பாடநூல்
густа	அடர்ந்த
почитуван	மரியாதைக்குரிய
бредли	பிராட்லி
сопственоста	உரிமை
сопственоста	சொத்துரிமை
астрономи	astronomers
останаа	தங்கி
растење	வளர்ச்சிக்கு
растење	வளர்ச்சியை
растење	வளர்ச்சி
марш	மார்ஷ்
марш	மார்ச்
препорака	பரிந்துரையை
препорака	பரிந்துரை
одозгора	மேலே
морфологија	உருவவியல்
шпанско	ஸ்பானிஷ்
гори	பழுப்பு
гори	எழுது
гори	எரியும்
гори	எழுதுதல்
гори	எழுதும்
регионално	மண்டல
отфрли	காட்டப்பட்டது
белоруски	பெலருசிய
варење	செரியாமை
варење	செரிமானத்தை
замбија	சாம்பியா
рекреација	ஓய்வு
рекреација	கேளிக்கை
произведен	manufactured
оштетен	சேதமடைந்த
самуел	சாமுவேல்
гамбија	கம்பியா
лидија	லிடியா
комонвелтот	பொதுநலவாய
комонвелтот	காமன்வெல்த்
рут	ரூத்
банкноти	banknotes
женско	பெண்
хонда	ஹோண்டா
нерв	நரம்பு
катедрали	cathedrals
препознавање	அங்கீகாரம்
едмунд	எட்மன்ட்
астрологија	சோதிடம்
астрологија	ஜோதிடம்
допира	தொடுகிறார்
конечна	இறுதியான
конечна	இறுதி
градината	தோட்டத்தில்
градината	தோட்டம்
кембел	காம்ப்பெல்
сопствено	சொந்த
сопствено	சொந்தம்
сопствено	விருப்பப்படி
сопствено	தனிப்பயன்
сопствено	வழக்கம்
сопствено	ஆயத்த
слушнал	கேட்டேன்
слушнал	கேட்ட
слушнал	கேட்டது
слушнал	கேட்டிருக்கிறேன்
рај	சொர்க்கம்
рај	புகலிடமாக
рај	சொர்க்கம்
лови	வேட்டை
предизвици	சவால்கள்
грип	காய்ச்சல்
кражба	திருட்டு
цитати	மேற்கோள்கள்
цитати	மேற்கோள்கள்
дрвен	மர
примарно	முதன்மை
неофицијална	அதிகாரப்பூர்வமற்ற
наеднаш	திடீரென
наеднаш	திடீரென்று
партиите	கட்சிகள்
муса	மூஸா
фрост	ஃப்ரோஸ்ட்
робертс	ராபர்ட்ஸ்
добивајќи	பெறுகிறார்
добивајќи	பெறுதல்
добивајќи	பெறுகிறது
отоманско	ஓட்டோமான்
фати	பிடிக்க
фати	பிடி
индустри	இண்டஸ்ட்ரீஸ்
полицаец	அதிகாரி
полицаец	அலுவலர்
кант	காந்த்
несакани	தேவையற்ற
бременост	கர்ப்பம்
точност	நுட்பம்
процедура	செயல்முறை
процедура	நடைமுறை
