epitsenter	epicenter
pühendunud	storjena
tselluloosi	celuloza
liigitada	razvrstiti
tasapisi	počasi
romano	romano
resolutsioon	ločljivost
resolutsioon	resolucija
andrzej	andrzej
philadelphia	filadelfiji
oulu	oulu
mürgine	strupena
mürgine	strupeni
mürgine	strupen
mürgine	strupeno
mürgine	strupenih
mürgine	strupena
mürgine	strupena
mürgine	strupeni
mürgine	strupen
mürgine	strupeno
mürgine	strupene
väärt	vreden
väärt	vredna
väärt	vredno
väärt	vredne
tapmine	klanje
tapmine	zakol
tapmine	klanje
tapmine	pokol
tapmine	zakol
tapmine	ubijanje
tapmine	uboj
esa	esr
esa	esa
esa	eps
read	vrstice
read	vrstic
read	črte
read	vrstice
read	proge
read	vrstic
michele	michele
korsika	korziko
kaksteist	twelve
kaksteist	dvanajst
histoloogia	histologijo
ekspert	izvedenec
ekspert	strokovna
ekspert	strokovnjak
ökoloogiline	ekološki
ökoloogiline	ekološka
ökoloogiline	ekološko
sool	sol
sool	soli
jung	jung
müük	prodaja
müük	prodajo
müük	prodaja
vähendamine	zmanjšanje
vähendamine	znižanje
vähendamine	zmanjšanje
vähendamine	zmanjševanje
smithi	smith
smart	pametna
smart	pameten
smart	smart
smart	pametno
loobunud	opuščene
loobunud	jamarstvo
viljakas	plodno
viljakas	plodna
viljakas	plodno
viljakas	plodna
hell	nežna
hell	nežen
hell	nežne
hell	nežno
kokkupõrge	učinek
kokkupõrge	trk
kokkupõrge	vpliv
kokkupõrge	trčenje
kokkupõrge	trk
paber	papirja
paber	papir
alasti	gola
alasti	nag
alasti	goli
alasti	golo
alasti	goli
alasti	gola
alasti	golo
sammas	stolpec
sammas	kolona
sammas	steber
mitt	rokavica
mitt	rokavico
maatriks	matrico
maatriks	matrica
maatriks	matrika
neljandaks	četrtič
neljandaks	četrto
neljandaks	četrta
neljandaks	četrtič
neljandaks	četrti
parameeter	parameter
žanr	zvrst
stella	stella
stella	neža
oskuste	veščine
oskuste	spretnost
oskuste	veščina
edutult	neuspešno
otsustanud	odločeno
otsustanud	odločil
otsustanud	odločila
otsustanud	odločili
sinised	modro
sinised	modre
sinised	modri
sinised	modra
schultz	schultz
lapselaps	vnukinja
lapselaps	vnuk
lapselaps	vnuka
lapselaps	vnuk
wales	wales
kogemata	ponesreči
uuem	novejše
uuem	novejši
hani	gos
hani	hani
hani	hana
hani	han
rex	rex
territoriaalne	teritorialno
territoriaalne	teritorialne
territoriaalne	ozemeljsko
jeffersoni	jefferson
bengali	bengal
harrison	harrison
maia	maia
mehaanilise	mehanično
mehaanilise	mehansko
ümbritsev	okoliških
ümbritsev	obdaja
chicagos	chicago
turba	šote
hävitatud	uničena
hävitatud	uničeni
hävitatud	uničene
hävitatud	uničen
hävitatud	uničeno
hävitatud	iztrebili
karistuse	kazen
karistuse	kaznovanje
liigitus	klasifikacija
liigitus	uvrstitev
liigitus	razvrščanje
liigitus	razvrstitev
hävitamine	uničiti
hävitamine	uniči
hävitamine	razdejanje
hävitamine	uničenje
hävitamine	uničevanje
korrus	tla
korrus	nadstropje
beach	plaža
beach	plažo
beach	obala
beach	beach
õiglane	pravičen
õiglane	pravični
õiglane	pravično
õiglane	pošteno
õiglane	pravično
õiglane	sejem
pööre	zasuk
pööre	preobrat
pööre	twist
pööre	obrni
sõitja	potniški
sõitja	potnik
sõitja	sopotnik
sõitja	potnika
astrofüüsik	astrofizik
kuru	podaj
kuru	prelaz
kuru	podaja
kuru	mimo
kliendi	stranka
kliendi	odjemalec
kliendi	stranka
kliendi	odjemalec
katoliiklased	katoliki
pidulik	praznični
pidulik	praznično
võrreldav	primerljiva
võrreldav	primerljive
võrreldav	primerljivi
võrreldav	primerljiv
võrreldav	primerljivo
phillips	phillips
kaas	pokrovček
kaas	pokrov
kaas	pokrovom
nurgakivi	temelj
lennata	leti
lennata	fly
lennata	poletela
lennata	leteti
lõpetatud	popolna
lõpetatud	popolno
lõpetatud	končano
lõpetatud	zaključene
lõpetatud	izpolnjeno
lõpetatud	končana
lõpetatud	zaključena
lõpetatud	končano
lõpetatud	končala
lõpetatud	končana
alumiiniumi	aluminijev
alumiiniumi	aluminij
alumiiniumi	aluminija
yves	yves
ted	ted
kümmekond	ducat
abt	opat
tõlked	prevodi
camille	camille
meeldis	ljubljena
meeldis	ljubil
meeldis	všeč
liides	vmesnik
toll	cestnine
toll	carinski
toll	carine
toll	carinska
toll	carina
tammeka	hrast
tammeka	oak
kaaslased	tovariši
cook	kuhar
cook	cook
cook	kuharica
stressi	stres
stressi	stresa
varad	sredstva
varad	premoženje
amy	amy
kive	kamne
kive	kamenje
kive	kamni
kive	skale
kive	kamenje
kive	kamni
zürichi	zürichu
brüssel	bruselj
kaltsiumi	kalcij
kaltsiumi	kalcijev
kaltsiumi	kalcija
gonzález	gonzález
sigmund	sigmund
berni	bernski
ahven	ostriž
suurendatud	povečana
suurendatud	povečan
suurendatud	povečano
suurendatud	zvišana
laienenud	razširjene
laienenud	povečan
laienenud	povečana
laienenud	razširjeni
laienenud	povečane
laienenud	razširjena
laienenud	povečano
töölised	delavcev
töölised	delavci
töölised	delavce
flash	flash
flash	blisk
göteborgi	göteborgu
projektid	projekte
projektid	projektov
projektid	projekti
june	junij
june	june
june	junija
parasvöötme	zmernih
parasvöötme	zmerni
parasvöötme	zmerno
parasvöötme	zmeren
gérard	gérard
konsooli	konzolo
siena	sieni
verner	verner
verona	verona
singapuri	singapur
rühmitus	združevanje
käsitöö	rokodelskih
käsitöö	plovilo
käsitöö	obrti
religioosne	verske
religioosne	verski
religioosne	versko
religioosne	verska
religioosne	verskega
muljet	vtis
vincenzo	vincenzo
ülekanne	menjalnik
ülekanne	posredovanje
ülekanne	prenos
ülekanne	pošiljanje
ülekanne	premestitev
ülekanne	prenos
ülekanne	oddajanje
ülekanne	oddaja
mõjud	učinki
mõjud	vplivi
arvud	številke
arvud	figure
määr	mera
määr	stopnja
opositsioon	nasprotovanje
opositsioon	nasprotovanja
opositsioon	opozicija
opositsioon	opozicije
irene	irena
irene	irene
üheksas	deveti
üheksas	deveto
fourier	fourier
mošee	mošeji
benito	benito
valentina	valentina
mõistab	razume
revolutsiooniline	revolucionarne
astuuria	asturija
mitmekesine	raznolike
mitmekesine	raznolika
joonia	jonsko
tervishoid	zdravje
tervishoid	zdravja
tervishoid	zdravstvo
käimine	zmenki
käimine	zmenke
bauer	bauer
pidulikult	slovesno
pidulikult	svečano
näita	pokaži
näita	prikaži
näita	oddaja
budism	budizem
koguma	zbirajo
koguma	zbiranje
laenatud	sposodil
laenatud	sposodila
ruumiline	prostorskih
ruumiline	prostorsko
ruumiline	prostorski
magma	magme
raudteede	železnice
sektor	sektor
enterprise	enterprise
enterprise	podjetništvo
keskmised	srednje
keskmised	srednja
keskmised	gojišče
keskmised	povprečja
joone	črta
joone	vrstica
sõnum	sporočilo
tiigid	ribniki
beethoven	beethoven
teadis	vedel
teadis	vedela
cura	cura
tipu	vertex
città	città
augusta	augusta
bio	bio
biokeemia	biokemija
nielsen	nielsen
fra	fra
jános	jános
hobused	konje
hobused	konjev
hobused	konji
rongi	vlak
rikkus	bogastva
rikkus	bogastvo
rikkus	bogastva
rikkus	bogastvo
rikkus	premoženje
rikkus	uničena
rikkus	uničeni
rikkus	uničen
rikkus	uničeno
etendus	pokaži
etendus	prikaži
etendus	oddaja
marshalli	marshall
marshalli	maršal
kvalifikatsioon	kvalifikacij
kvalifikatsioon	usposobljenost
kvalifikatsioon	kvalifikacije
kvalifikatsioon	kvalifikacije
kvalifikatsioon	usposobljenost
intensiivsus	intenzivnost
intensiivsus	svetilnost
marss	mars
springer	springer
teave	obveščanje
teave	podatki
teave	informacija
teave	informacije
teave	podatek
signaale	signali
signaale	signale
kõrgele	visoko
kõrgele	visoka
dakota	dakoti
rey	rey
dresdeni	dresden
katastroofi	katastrofe
katastroofi	katastrofa
katastroofi	polomija
muusikal	glasbeni
muusikal	muzikal
muusikal	glasbena
nigeri	niger
satelliit	satelitsko
satelliit	satelitska
satelliit	satelit
rick	rick
rick	ricka
poom	boom
poom	bum
astronaut	astronavt
unenägu	sanje
unenägu	dream
unenägu	sanjsko
suundumused	trendi
suundumused	gibanja
suundumused	trende
herakles	herkul
herakles	hercules
herakles	hercule
aspekte	vidike
aspekte	vidiki
vastastikku	medsebojno
vastastikku	obojestransko
vastastikku	vzajemno
lootes	upal
mässulised	uporniki
andersen	andersen
firmad	družbe
firmad	korporacije
firmad	podjetja
firmad	podjetja
firmad	družbe
michelangelo	michelangelo
võti	ključ
võti	ključno
kliiniline	klinični
väljatöötamine	razvijanje
väljatöötamine	razvoj
välised	zunanji
välised	zunanja
välised	zunanje
välised	zunanjost
välised	zunanjosti
võõras	neznanka
võõras	tujec
võõras	neznanec
tuttav	znano
tuttav	poznano
tuttav	znanec
madalamad	spodnji
madalamad	nižja
madalamad	nižje
madalamad	spodnja
baltimore	baltimore
päevik	journal
päevik	dnevnik
päevik	dnevnik
platvorm	ploščad
platvorm	platforma
platvorm	platformo
paradigma	paradigmo
nähtavad	vidno
nähtavad	vidni
nähtavad	viden
nähtavad	vidna
emilia	emilia
metallica	metallica
pidu	zabava
pidu	zabavo
pidu	žur
pidu	party
meeleolu	razpoloženje
meeleolu	volji
meeleolu	vzdušje
sidus	skladna
sidus	skladen
alternatiiv	alternative
alternatiiv	alternativni
alternatiiv	alternativno
alternatiiv	alternativa
alternatiiv	nadomestno
alternatiiv	alternativno
hiv	hiv
tarn	tarn
disainitud	zasnovan
disainitud	zasnovana
geneetika	genetika
gov	gov
adolph	adolf
täitnud	izpolnjen
täitnud	izpolnjeno
täitnud	izpolnjena
täitnud	izpolnjene
täitnud	izpolnjeni
ingel	angelček
ingel	angel
kohane	ustrezno
kohane	primerno
kohane	ustrezna
kohane	primerna
kohane	ustrezen
enrico	enrico
cfg	cfg
vangistatud	ujeli
vangistatud	ujeta
vangistatud	zajeti
vangistatud	ujet
vaatas	gledali
vaatas	gledal
vaatas	opazoval
vaatas	gledala
rev	rev
akna	okence
akna	okno
maximus	maximus
meelega	namenoma
meelega	namerno
samsung	samsung
clemente	clemente
variandid	variante
variandid	različice
hüüdnime	vzdevek
pühak	sveti
pühak	svetnik
pühak	svetnica
pühak	saint
craig	craig
honda	honda
honda	hondo
florence	florence
florence	firence
reporter	novinarka
reporter	poročevalec
reporter	poročevalka
reporter	novinar
geoloogiline	geološke
geoloogiline	geološko
geoloogiline	geološka
geoloogiline	geološke
geoloogiline	geološko
hampshire	hampshire
jutud	zgodb
jutud	zgodbice
jutud	zgodbe
atmosfäär	ozračje
atmosfäär	atmosfera
atmosfäär	atmosfero
atmosfäär	vzdušje
lahinguid	bitke
lahinguid	bitk
sissetulek	dohodek
sissetulek	dohodka
sissetulek	dohodki
sissetulek	prihodki
sissetulek	prihodek
ületanud	presegli
ületanud	presežena
ületanud	presežen
lame	ravna
lame	stanovanje
elena	elena
elena	eleno
elena	eleni
loata	nedovoljene
loata	nedovoljeno
brand	znamka
augustin	augustin
võrgus	spletna
võrgus	online
hunter	hunter
hunter	lovec
nõutud	zahtevana
nõutud	zahtevane
nõutud	zahtevani
nõutud	zahtevan
nõutud	zahtevano
nõutud	zahtevana
nõutud	zahtevani
nõutud	zahtevan
nõutud	zahtevano
moodul	modul
han	hana
han	han
chapelle	chapelle
täide	uši
mungad	menihov
mungad	meniha
mungad	menihi
sauna	savna
ameeriklane	ameriške
ameeriklane	ameriško
ameeriklane	ameriški
ameeriklane	ameriška
hinnad	cen
hinnad	cene
diktaator	diktatorja
diktaator	diktator
meta	meta
lane	lane
armastatud	ljubljeni
armastatud	ljubljena
eesistuja	predsednik
ragnar	ragnar
canterbury	canterbury
kulu	strošek
kulu	stroški
ettepanekuid	predlogi
tagajärg	posledice
tagajärg	posledica
julge	drzno
julge	drzen
julge	drzna
julge	drzni
julge	pogumno
julge	pogumna
julge	pogumen
julge	drzno
julge	drzen
julge	drzni
julge	drzna
tasane	ravna
tasane	stanovanje
mune	jajci
mune	jajc
mune	jajčeca
mune	jajca
konkreetsete	specifično
konkreetsete	specifični
olli	olli
voyager	voyager
jõulud	božič
plus	plus
nõbu	sorodnik
nõbu	sestrična
nõbu	bratranec
nõbu	bratranec
klaviatuuri	tipkovnice
klaviatuuri	tipkovnico
ökosüsteemi	ekosistem
aurora	aurora
kirgiisi	kirgiški
stanislav	stanislav
spencer	spencer
kõneleja	govornik
kõneleja	govorec
kõneleja	zvočnik
kõneleja	govorec
terminoloogia	terminologije
nokk	kljun
hirv	jeleni
hirv	jelenov
hirv	jelen
hirv	jelena
jefferson	jefferson
tunnel	predor
tunnel	rov
tunnel	tunel
mahajäetud	zapuščen
mahajäetud	zapuščena
mahajäetud	zapuščeni
mahajäetud	zapuščeno
kiired	žarki
kiired	žarke
bagdadi	bagdad
leib	kruh
leib	kruha
lendavad	leteči
lendavad	letenje
isabel	isabel
edvard	edvard
secret	skrivna
secret	skrivnost
secret	skrivno
laagris	taborišče
laagris	kamp
laagris	camp
laagris	tabor
snake	kača
snake	kačo
snake	kače
avaldus	izjavo
avaldus	navedba
avaldus	izjava
väiksemaks	manjše
väiksemaks	manjša
väiksemaks	manjši
kontor	pisarna
kontor	urad
oskus	veščine
oskus	spretnost
oskus	veščina
emily	emily
aldo	aldo
väljendus	izraz
väljendus	izražanje
väljendus	izrazi
kattis	pokrito
kattis	pokrit
kattis	pokrita
kattis	pokrite
kahur	top
kahur	topa
esitus	predstavitvi
esitus	predstavitve
esitus	predstavitev
esitus	nastope
tuletõrje	gasilska
paas	tešče
tervist	zdravje
tervist	zdravja
toodang	proizvodnja
toodang	pridelava
toodang	produkcija
toodang	proizvodnjo
dante	dante
bordeaux	bordeaux
nuku	lutko
nuku	punčka
nuku	lutka
stsenaarium	scenarij
õigustada	utemelji
kaar	lok
kaar	arc
kaar	arch
skp	bdp
autod	avte
autod	avtomobili
autod	avti
autod	avtomobile
oranž	oranžno
oranž	oranžni
oranž	pomaranča
oranž	oranžne
oranž	oranžna
ideaalne	popolna
ideaalne	popoln
ideaalne	popolno
ideaalne	idealni
ideaalne	idealno
ideaalne	ideal
ideaalne	idealna
ideaalne	idealen
leedulased	litovci
ani	ani
serv	robu
serv	rob
serv	ostrino
muster	vzorec
castle	castle
castle	grad
castle	dvorec
identiteet	identiteto
identiteet	identiteta
zhang	zhang
geoffrey	geoffrey
zhou	zhou
rõivas	oblačilo
ainulaadne	edinstveno
ainulaadne	edinstven
ainulaadne	edinstvena
ainulaadne	enkratna
algataja	pobudnik
sissetung	invazijo
sissetung	invazija
sissetung	vdor
avastamise	zaznavanje
avastamise	zaznava
avastamise	odkrivanje
altari	oltarju
altari	oltar
altari	oltarja
magneesiumi	magnezij
magneesiumi	magnezija
magneesiumi	magnezijev
mona	mona
grey	sive
grey	sivo
grey	sivi
grey	grey
grey	siva
teresa	teresa
teresa	tereza
luca	luci
luca	luca
oskused	veščine
oskused	spretnosti
oskused	sposobnosti
oskused	veščine
oskused	spretnost
oskused	veščina
solomon	salomon
solomon	solomon
intervall	interval
oklahoma	oklahoma
leopard	leopard
osaka	osaki
rikkumise	kršitev
rikkumise	kršitve
kusagil	nekje
kusagil	nekam
vastused	odzivi
vastused	odgovore
vastused	odgovori
vastused	odgovori
tundeid	občutki
tundeid	čustev
tundeid	čustva
tundeid	občutke
hannah	hannah
trotski	trocki
esitamine	predložitev
esitamine	vložitev
põhjavee	podtalnice
järjekord	vrsta
järjekord	naročila
järjekord	naroči
järjekord	red
järjekord	naročilo
geneetik	genetik
motoriseeritud	motorizirana
franklini	franklin
karistus	kazen
karistus	kazni
karistus	kazen
karistus	kaznovanje
montgomery	montgomery
eripära	posebnosti
kuulnud	slišal
kuulnud	slišala
aspekt	vidik
benedict	benedict
filter	filter
filter	filtriranje
lindi	trak
lindi	kaseta
terje	terje
milton	milton
vinci	vinci
pol	pol
pan	pan
pan	ponev
reguleeritud	urejena
reguleeritud	urejen
reguleeritud	reguliranih
reguleeritud	urejeno
lendu	polet
lendu	let
augsburgi	augsburg
stephan	stephan
abstraktne	izvleček
abstraktne	abstraktni
plaanitud	načrtovan
plaanitud	načrtovani
plaanitud	načrtovana
plaanitud	načrtovano
plaanitud	načrtovane
valle	valle
puudused	pomanjkljivosti
puudused	pomanjkljivosti
puudused	slabosti
puudused	šibkosti
puudused	pomanjkljivosti
todd	todd
olympic	olimpijski
olympic	olympic
wilde	wilde
leiba	kruh
leiba	kruha
kontserdid	koncerte
kontserdid	koncertov
newcastle	newcastle
õpetlane	učenjak
volinik	komisar
volinik	komisarka
pioneer	pionir
ravenna	ravenna
tapab	ubija
arendus	razvoj
raskused	težavah
raskused	oteženo
raskused	težave
raskused	težave
sotsialismi	socializem
grupid	skupine
grupid	skupin
grupid	skupinami
grupid	skupini
nael	žebelj
nael	noht
nürnbergi	nürnbergu
eraldunud	samostojne
veerand	četrt
veerand	četrtina
püssi	puško
püssi	puška
irl	irl
konstrueeritud	konstruirana
konstrueeritud	zgrajeno
mix	premeša
mix	mix
mix	mešanica
vari	senca
vari	senco
vari	senci
vari	sence
derek	derek
vesinik	vodika
vesinik	vodik
usd	usd
reed	reed
motiiv	motiv
motiiv	motiv
motiiv	lastnost
motiiv	značilnost
usbeki	uzbekistanske
björn	bjorn
björn	björn
adobe	adobe
positiivselt	pozitivno
oswald	oswald
galileo	galileo
värskelt	sveže
liigne	pretirano
liigne	prekomerno
liigne	čezmerno
liigne	pretirana
kuuli	metka
kuuli	naboj
kuuli	krogla
evelyn	evelyn
serblased	srbi
rabas	maver
nahka	koža
nahka	koži
nahka	kože
nahka	kožo
hõim	pleme
haydn	haydn
tiiger	tiger
tiiger	tiger
sood	močvirja
sood	barja
bahreini	bahrajnu
vega	vega
küljed	strani
winkler	winkler
nõude	zahtevek
nõude	terjatev
nõude	trditev
võimed	sposobnosti
võimed	moči
võimed	pooblastila
võimed	powers
võimed	pristojnosti
vastukaaluks	protiutež
küllastunud	nasičenih
ever	ever
ever	kdaj
raoul	raoul
kile	film
mägismaa	višavja
cohen	cohen
oodatud	pričakovani
oodatud	pričakovana
oodatud	pričakovan
oodatud	pričakovali
oodatud	pričakovano
marilyn	marilyn
osake	delec
sara	sara
zeus	zevs
zeus	zeus
energeetika	energija
energeetika	energijo
energeetika	energije
energeetika	energetika
act	dejanje
act	akt
häda	gorje
parandab	izboljšuje
parandab	izboljša
chang	chang
horst	horst
walt	walt
harmoonia	harmonijo
harmoonia	harmoniji
harmoonia	harmonija
harmoonia	harmony
harmoonia	harmoniki
mahler	mahler
muld	prsti
muld	zemlja
muld	umazanija
muld	umazanijo
muld	umazanija
muld	tla
pinged	napetost
pinged	napetosti
pinged	napetosti
kontroller	nadzornik
bock	bock
arve	bill
arve	računu
arve	račun
tõstetud	vzgojila
tõstetud	vzgojen
tõstetud	vzgojena
tõstetud	postavljeno
austin	austin
klassid	razredi
klassid	pouk
laser	laserski
laser	laser
laser	lasersko
varese	varese
jessica	jessico
jessica	jessica
romaane	romane
romaane	romanov
hardcore	hardcore
informaatika	informatike
informaatika	računalništvo
laienemine	širitev
laienemine	razširitev
laienemine	širjenje
laienemine	širitev
marguerite	marguerite
delegatsioon	delegacija
col	col
molotovi	molotov
õiglus	pravosodje
õiglus	pravičnost
õiglus	pravica
õiglus	poštenost
õiglus	poštenosti
õiglus	pravičnost
deutschland	deutschland
kolooniad	kolonije
ülalt	top
ülalt	vrh
formaat	oblika
formaat	format
freudi	freudovo
iru	iru
berger	berger
hannover	hannover
vöönd	cona
vöönd	območje
pühitsetud	posvečena
pühitsetud	posvečeni
hetk	moment
hetk	trenutek
telefon	telefon
telefon	telefon
carol	carol
arktika	arktični
locke	locke
spektri	spektra
spektri	spekter
soomlased	finci
mag	nabojnik
mag	mag
minevik	pretekli
minevik	preteklost
minevik	preteklosti
luksemburg	luksemburg
gerard	gerard
teadvus	zavest
aadel	plemenitost
aadel	plemstvo
faktor	dejavnik
faktor	faktor
tähtkuju	ozvezdje
tegur	dejavnik
tegur	faktor
lepingud	naročila
lepingud	pogodbe
lepingud	sporazumov
lepingud	sporazumi
curie	curie
veterinaaria	veterinarskih
veterinaaria	veterinarski
veterinaaria	veterinarsko
räägi	povej
räägi	govori
räägi	govorjenje
räägi	pogovor
räägi	pogovori
räägi	govori
räägi	spregovori
valima	izberi
valima	izberi
oksad	veje
oksad	podružnice
portreed	portrete
lahkumine	odhod
lahkumine	odhaja
lahkumine	odhod
eelistatud	prednostno
eelistatud	zaželeno
demo	demo
efektiivsus	izkoristek
efektiivsus	učinkovitost
efektiivsus	učinkovitost
efektiivsus	uspešnost
efektiivsus	učinkovitosti
efektiivsus	izkoristek
efektiivsus	učinkovitost
ülesehitus	rekonstrukcijo
ülesehitus	obnova
ülesehitus	strukturo
ülesehitus	zgradba
ülesehitus	struktura
ülesehitus	konstrukcija
norbert	norbert
esperanto	esperanto
roth	roth
resolutsiooni	ločljivost
resolutsiooni	resolucija
tuuri	ogledi
tuuri	izleti
reformid	reforme
laskemoona	streliva
laskemoona	strelivo
laskemoona	strelivo
väljund	izhod
väljund	izpis
clara	klara
clara	clara
ligipääs	dostop
psühholoogiline	psihološko
psühholoogiline	psihološki
psühholoogiline	psihološka
ekvatoriaal	ekvatorialne
tsivilisatsiooni	civilizacijo
tsivilisatsiooni	civilizacije
tsivilisatsiooni	civilizacija
tsivilisatsiooni	civilizacijo
tsivilisatsiooni	civilizacije
tsivilisatsiooni	civilizacija
saun	savna
presidendid	predsednikov
presidendid	predsedniki
komponendi	komponenta
komponendi	sestavina
domineerib	prevladuje
kirjutised	pisanja
asendus	zamenjava
asendus	nadomestitev
asendus	nadomeščanje
asendus	nadomestek
asendus	nadomesti
asendus	zamenjaj
davidson	davidson
maksud	dajatve
maksud	davke
maksud	davki
elmo	elmo
päikest	sonca
päikest	soncem
päikest	sonce
päikest	soncu
päikest	sonček
berend	berend
võidetud	zmagali
võidetud	zmagala
võidetud	zmagal
võidetud	poražen
võidetud	premagani
võidetud	poraženi
võidetud	premagan
mõjukas	vplivni
mõjukas	vpliven
mõjukas	vplivna
mõjukas	vplivne
laua	preglednica
laua	razpredelnica
laua	miza
laua	tabela
illustraator	ilustrator
kaisa	kaisa
harta	listina
harta	listine
ursula	ursula
ursula	urša
nõudmised	zahteva
