hostince	inns
saxofon	saxophone
junior	junior
zabije	kills
řidič	driver
čtenáři	readers
kristus	christ
varování	warning
varování	warnings
náklad	cargo
matt	matt
bmw	bmw
marne	marne
socialistická	socialist
položky	items
položky	entries
automobilový	automotive
ohrožený	endangered
prezidentské	presidential
zajímavá	interesting
ztrácí	losing
ztrácí	loses
jerry	jerry
ohio	ohio
jakékoli	any
uzavřené	enclosed
uzavřené	closed
nutnost	necessity
varšavě	warsaw
zjištěno	detected
zápasník	fighter
zápasník	wrestler
steven	steven
vodíku	hydrogen
ekonomická	economic
ekonomická	economics
senát	senate
indické	indian
důvěru	confidence
důvěru	trust
sedmé	seventh
irský	irish
afc	afc
ředitelství	directorate
písemné	written
vzduchem	airborne
vyhráli	won
náhrada	refund
náhrada	reimbursement
náhrada	compensation
náhrada	replacement
účtu	account
oznámeno	notified
oznámeno	announced
zjevení	revelation
zjevení	epiphany
zjevení	apparitions
zjevení	apparition
zjevení	revelations
domácnosti	households
domácnosti	household
potomků	offspring
potomků	descendants
slezsko	silesia
philip	philip
baker	baker
nízký	low
závislost	dependency
závislost	addiction
závislost	dependence
angel	angel
nice	nice
předpokladu	premise
podpořil	supported
floyd	floyd
kuchyně	cuisine
kuchyně	kitchen
napadení	assault
napadení	assaults
záměrně	deliberately
záměrně	purposely
záměrně	intentionally
homo	homo
vítěze	winner
vítěze	winners
úhlu	angle
míč	ball
výslovně	expressly
výslovně	explicitly
výslovně	explicit
výslovně	specifically
výpočet	calculation
výpočet	computation
autorka	author
stanovení	determination
ernest	ernest
hospodářská	economic
barceloně	barcelona
pouť	pilgrimage
souhlasí	agrees
prezentace	presentation
prezentace	slideshow
prezentace	presentations
objevit	discover
vyjma	except
příchod	arrival
par	par
par	vapour
přežil	survived
são	são
padesát	fifty
jacob	jacob
oprávnění	permission
oprávnění	authorisation
oprávnění	permissions
příze	yarns
příze	yarn
směry	directions
směry	orientations
verše	verses
verše	verse
dodržování	adherence
dodržování	compliance
dodržování	observance
teplo	heat
teplo	warm
teplo	warmth
dobrovolně	willingly
dobrovolně	voluntarily
dobrovolně	voluntary
rna	rna
reagovat	react
reagovat	respond
duševní	spiritual
duševní	mental
duševní	intellectual
dopředu	forward
dopředu	forwards
dick	dick
terapie	therapy
mnich	friar
mnich	monk
zajat	captured
soukromá	private
rozpočtu	budget
úseky	sections
musée	musée
ukrajinský	ukrainian
ostřice	carex
brigády	brigades
brigády	brigade
veselí	cheer
květ	blossom
květ	flower
květ	bloom
společenský	sociable
společenský	social
mikroregionu	microregion
bohové	gods
subjekt	entity
subjekt	subject
vhodnější	preferable
oka	oka
oka	eye
čapek	čapek
vazba	binding
dánská	danish
albánie	albanian
albánie	albania
řetězec	string
řetězec	chain
schválení	approvals
schválení	approval
nabídky	bids
nabídky	tenders
nabídky	offers
jordan	jordan
symbolů	symbols
bot	bot
bot	shoe
weber	weber
vstoupit	enter
čtvrtí	neighborhoods
střecha	rooftop
střecha	roof
laura	laura
návštěvy	visitors
návštěvy	visits
harris	harris
bloky	blocks
detroit	detroit
součet	sum
jamie	jamie
psí	dog
psí	canine
skotsko	scotland
třebaže	though
amd	amd
fred	fred
rangers	rangers
regulace	regulation
regulace	regulating
rozměrů	proportions
sektoru	sector
špatný	bad
přesný	precise
přesný	accurate
přesný	exact
masaryk	masaryk
organismů	organisms
příbuzných	relatives
rezignaci	resignation
raymond	raymond
etapa	phase
etapa	leg
etapa	stage
kolonií	colonies
kolonií	colony
všiml	noticed
naučil	learned
naučil	taught
bobby	bobby
plná	full
efekty	effects
náboženská	religious
zničil	ruined
stvoření	creatures
stvoření	creature
arsenal	arsenal
mechanické	mechanical
zámky	locks
bohatá	rich
ubytování	accomodation
ubytování	accommodation
ubytování	hostels
středem	centred
odpovědnost	liability
odpovědnost	responsibilities
odpovědnost	responsibility
odpovědnost	accountability
rosa	rosa
rosa	dew
mtv	mtv
rozvíjet	develop
šestnáct	sixteen
notre	notre
sainte	sainte
implementace	implementation
head	head
rob	rob
podává	serves
provádění	implementation
simona	simon
simona	simona
sopky	volcanoes
hluboce	deeply
harold	harold
pohřeb	burial
pohřeb	funeral
pouště	deserts
pouště	desert
rusové	russians
ferrer	ferrer
použité	used
mclaren	mclaren
nejnovější	latest
special	special
stínu	shadow
stínu	shade
náročné	challenging
náročné	demanding
kompatibilní	compatible
technologii	technology
lang	lang
clark	clark
ekonomický	economic
hledal	sought
porážka	slaughter
porážka	defeat
obojí	both
nést	carry
lisa	lisa
jay	jay
masivu	massif
blíží	approaching
eagle	eagle
naznačuje	suggests
naznačuje	indicates
andersson	andersson
věřící	believers
věřící	believer
rytíři	knights
rytíři	knight
profesní	professional
nováček	novice
nováček	newbie
nováček	rookie
výslovnost	pronunciation
transportní	transporter
poražen	beaten
poražen	defeated
tvarů	shapes
ukončit	end
prsty	toes
prsty	fingers
vznikající	emerging
chráněný	protected
law	law
nejvíc	most
poznatky	findings
projít	pass
úvahy	considerations
úvahy	reflections
existovalo	existed
fungují	works
kolektivní	collective
norman	norman
zničeno	destroyed
zničeno	ruined
rudy	rudy
rudy	ore
rudy	ores
hosté	guests
klima	climate
uprchl	fled
obr	giant
platné	valid
teoretické	theoretical
ministrů	ministers
geometrie	geometry
vnuk	grandson
bis	bis
styk	intercourse
evans	evans
neil	neil
gnu	gnu
sekundy	seconds
některý	some
ovládá	controlling
mezinárodně	internationally
cze	cze
administrativně	administratively
poranění	injury
poranění	injuries
kytary	guitars
eds	eds
marina	marina
akt	acp
akt	act
ltd	ltd
teplé	warm
španělsky	spanish
ekologické	environmental
ekologické	ecological
ekologické	organic
obal	packaging
obal	cover
roků	years
partnerství	partnership
partnerství	partnerships
kladně	positively
napsáno	written
místnost	room
autobus	bus
vlád	governments
rámec	framework
rámec	frame
krásný	beautiful
instrukce	instruction
instrukce	instructions
chovu	breeding
splnění	fulfillment
změněn	altered
front	front
diego	diego
statut	statute
werner	werner
dáma	checkers
dáma	lady
komunistická	communist
experiment	experiment
rukopis	handwriting
rukopis	manuscript
richter	richter
subjekty	entities
subjekty	subjects
přísně	strictly
atentát	assassination
snížit	reduce
snížit	decrease
discovery	discovery
grafika	graphic
grafika	graphics
vyučování	teaching
úkolů	tasks
kirk	kirk
jarmila	jarmila
hlasovací	voting
podzemí	underground
identity	identities
identity	identity
hráz	dam
ukázala	showed
blokování	blocking
blokování	block
definitivní	definite
definitivní	definitive
ponorka	submarine
ponorka	sub
smíšený	mixed
kritizoval	criticized
kritizoval	criticised
plošina	platform
plošina	plateau
sedí	sitting
sedí	fits
hladina	level
pruský	prussian
uložen	stored
svatební	wedding
udržuje	maintains
udržuje	keeps
abecedy	alphabet
povinné	obligatory
povinné	mandatory
povinné	compulsory
ústní	oral
dně	bottom
řecká	greek
kapacitu	capacity
odolnost	resistance
odolnost	resilience
připojit	attach
připojit	join
připojit	connect
zajímavý	interesting
classic	classic
přispívá	contributing
přispívá	contributes
vyhrát	win
jídla	food
jídla	meals
vyvolat	evoke
turistika	tourism
turistika	hiking
rozhovory	conversations
rozhovory	interviews
rozhovory	talks
plánované	planned
kfar	kfar
radost	joy
radost	happy
office	office
odměny	rewards
odměny	remuneration
dostatečné	sufficient
dědice	heir
dědice	heirs
ukázat	show
impérium	empire
podrobně	detailed
dopisy	letters
roberto	roberta
roberto	roberto
ledu	ice
prozatímní	interim
prozatímní	provisional
obilí	grain
účastí	participations
působnosti	scope
odborník	specialist
odborník	expert
portály	portals
deklarace	declaration
upravené	edited
upravené	adjusted
upravené	modified
upravené	customized
přidání	addition
přidání	adding
přidání	add
náměstek	deputy
plod	foetus
plod	fetus
instalace	installations
instalace	installs
instalace	installation
instalace	installing
instalace	install
chlapci	boys
organické	organic
revize	revisions
revize	revision
indiana	indiana
morální	moral
koalici	coalition
double	double
nelson	nelson
utrpení	suffering
utrpení	misery
pseudonym	pseudonym
nářečí	dialects
závislé	dependent
závislé	dependant
báze	bases
báze	base
fotografování	photography
fotografování	photographing
rozšiřuje	extends
rozšiřuje	expands
vysoko	high
sadu	orchard
ken	ken
luigi	luigi
rozšířený	extended
dobýt	conquer
získávání	acquisition
agrární	agrarian
vlastník	owner
politiků	politicians
střela	shot
střela	missile
ptáky	dicks
ptáky	birds
ptáky	cocks
hluboko	deep
vítězný	victorious
definovat	define
nacisty	nazis
eddie	eddie
snadné	easy
barry	barry
vizuální	visual
vchod	entrance
viditelné	visible
pochod	march
pochod	marching
dětská	child
trpěl	suffered
hit	hit
připojen	connected
poznal	recognized
vždycky	always
sankt	sankt
spiknutí	plot
spiknutí	conspiracy
spiknutí	conspiracies
spiknutí	plots
diskutovat	discuss
naději	hopeful
naději	hope
nan	nan
stanoví	specifies
továrně	factory
pořady	shows
křesťanská	christian
nepomuk	nepomuk
odhalení	revelation
odhalení	revelations
münchen	münchen
pojmenoval	named
cyril	cyril
keith	keith
toulouse	toulouse
terén	terrain
sociolog	sociologist
trend	trend
dno	bottom
přesvědčen	persuaded
přesvědčen	convinced
aktivista	activist
arabové	arabs
císařovna	empress
udržovat	maintain
zachycuje	captures
aspekty	aspects
souvislost	connection
souvislost	link
výuky	teaching
nejoblíbenější	favorite
pobočka	branch
irena	irena
irena	irene
švýcarské	swiss
ukládání	saving
dočasné	temporary
chaty	chats
chaty	cottages
chaty	cabin
fakta	facts
admirál	admiral
ontario	ontario
řazení	ranking
tkáně	tissue
tkáně	tissues
orel	eagle
orel	tails
jasný	clear
ozbrojené	armed
poskytl	provided
jennifer	jennifer
značek	brands
podzimní	autumn
patnáct	fifteen
tibetu	tibet
klíčové	key
hity	hits
tragédie	tragedies
tragédie	tragic
tragédie	tragedy
kritické	critical
cenné	valuable
faktor	factor
hebrejsky	hebrew
soudy	courts
příbuzný	relative
chodit	walking
chodit	walk
nežádoucí	unwanted
nežádoucí	undesirable
vrah	killer
vrah	murderer
tvůrci	creators
tvůrci	makers
potenciální	potential
koho	who
souboj	duel
znečištění	pollution
bytosti	beings
bytosti	creatures
léčení	healing
léčení	treatment
písničky	songs
vyžadují	require
bolest	pain
ploché	flat
elitní	elite
peugeot	peugeot
ali	ali
opakování	recurrence
opakování	repetitions
opakování	repetition
roviny	plains
roviny	planes
rozvíjí	develops
klasického	classical
wan	wan
bloků	blocks
ohně	fires
doporučená	recommended
sněhu	snow
veden	guided
leonard	leonard
florencie	florence
propagaci	promotion
vegas	vegas
stupnice	scale
zeleně	greenery
zeleně	green
stuart	stuart
přehrada	dam
přehrada	reservoir
kristina	kristina
menšiny	minority
menšiny	minorities
sebastian	sebastian
ted	ted
prokopa	procopius
odráží	reflected
odráží	reflects
photo	photo
usnesení	resolutions
usnesení	resolution
stěna	wall
tendence	trends
tendence	tendency
berdych	berdych
tma	darkness
madridu	madrid
počítačová	computer
prsten	ring
kořist	spoils
kořist	booty
kořist	loot
kořist	prey
skladatelů	composers
virginie	virginia
účastníky	participants
demonstrace	demonstration
demonstrace	demonstrations
posílení	strengthening
posílení	reinforcement
blood	blood
způsobilo	caused
metoděje	methodius
interní	internal
rohy	corners
rohy	horns
odstraněny	removed
tokio	tokyo
spuštění	startup
spuštění	launching
spuštění	launch
lotus	lotus
dodává	adds
váhy	libra
váhy	weights
váhy	weight
váhy	scales
závislá	dependent
závislá	addicted
marseille	marseille
marseille	marseilles
bibliografie	bibliography
hnědá	brown
potter	potter
charlotte	charlotte
roland	roland
vlajku	flag
těsné	tight
kibucu	kibbutz
náboje	cartridges
náboje	bullets
náboje	shells
indianapolis	indianapolis
náhradní	spare
náhradní	replacement
sportovec	athlete
sportovec	sportsman
vykonává	performs
fyzika	physics
warner	warner
krk	krk
krk	neck
rameno	shoulder
edmund	edmund
udělení	granting
pri	pri
klein	klein
automatické	auto
automatické	automatic
oskar	oskar
oskar	oscar
živá	live
živá	lively
živá	alive
spektrum	spectra
spektrum	spectrum
integrace	integration
mediawiki	mediawiki
upozornit	notify
pečlivě	carefully
pečlivě	meticulously
kardinála	cardinal
pius	pius
vyzval	challenged
faktorů	factors
disciplíny	discipline
disciplíny	disciplines
robinson	robinson
duo	duo
podlehla	succumbed
lékařská	medical
otevřeně	openly
arch	arch
vražda	homicide
vražda	murder
příjmy	revenue
příjmy	income
příjmy	revenues
příjmy	receipts
hnízdo	nest
rozlišuje	distinguishes
knihovnu	library
argentiny	argentina
rozvod	divorce
poskytování	provision
spotřeba	consumption
fyzicky	physically
herců	actors
sofie	sofia
sofie	sophia
sofie	sofie
ponechání	retention
bohatý	rich
bohatý	wealthy
výchova	nurture
výchova	upbringing
konflikty	conflicts
konflikty	conflict
main	main
růžové	pink
růžové	rosé
révy	vine
creek	creek
saturn	saturn
malba	painting
šedé	gray
šedé	grey
graham	graham
podloží	subsoil
atmosféru	atmosphere
nalezena	found
vánoce	christmas
byliny	herbs
byliny	herb
dánské	danish
kvartet	quartet
pořádání	hosting
sériové	serial
plavání	swimming
výrazy	expressions
výrazy	terms
popsat	describe
stewart	stewart
těžká	heavy
voličů	voter
voličů	voters
zdánlivě	ostensibly
zdánlivě	seemingly
mostů	bridges
svazky	volumes
předsednictva	bureau
stoupá	rising
kódování	coding
kódování	encoding
výměna	exchange
výměna	swap
nesouhlasím	disagree
vyjednávání	negotiation
vyjednávání	parley
vyjednávání	bargaining
vyjednávání	negotiating
vyjednávání	negotiations
smetana	cream
zachovat	preserve
zachovat	maintain
zachovat	keep
zaměstnance	employee
zaměstnance	employees
alberto	alberta
alberto	alberto
slovesa	verbs
příroda	nature
maďarská	hungarian
zubů	teeth
formulace	phrasing
formulace	formulations
formulace	formulation
experimenty	experiments
experimenty	experimentation
šířku	width
kultur	cultures
obtížně	difficult
odpovídají	correspond
kosmonautů	cosmonauts
lidský	human
thompson	thompson
svatyně	sanctuary
svatyně	shrine
svatyně	temple
fiat	fiat
ville	ville
jam	yam
jam	jam
magnetické	magnetic
norské	norwegian
potlačení	repression
potlačení	suppression
musica	musica
subjektivní	subjective
lou	lou
omezit	restrict
omezit	reduce
omezit	limit
nehody	accidents
úředníků	officials
hrobky	tomb
hrobky	tombs
referendum	referendum
referendum	referendums
přepis	transcription
přepis	transcript
určeno	intended
larvy	larva
larvy	larvae
larvy	maggots
reklamy	ads
reklamy	adverts
reklamy	advertising
vyhnout	avoid
vyhnout	avoided
emigroval	immigrated
tenis	tennis
bakterií	bacteria
uzel	node
uzel	knot
hostinec	inn
ahoj	hello
léčby	treatment
filharmonie	philharmonic
ann	ann
obranné	defensive
bayern	bayern
uspěl	succeeded
návštěva	visitor
návštěva	visit
návštěva	visiting
alpes	alpes
limit	limit
pevný	solid
pevný	firm
magic	magic
přítomen	present
specifický	specific
stáhnout	download
stáhnout	withdraw
tennessee	tennessee
kolegové	colleagues
hluboká	deep
očekávání	anticipation
očekávání	expectations
očekávání	expectation
nowrap	nowrap
vyrobené	made
vyrobené	manufactured
vyrobené	produced
catherine	catherine
potřebují	need
překonat	overcome
víra	faith
víra	belief
harrison	harrison
swe	swe
joachim	joachim
okrsek	precinct
okrsek	district
spáchal	committed
marián	marián
specialista	specialist
strachu	fear
erupce	eruption
erupce	eruptions
masakr	massacre
masakr	slaughter
masakr	carnage
nezávislá	independent
bezprostřední	imminent
bezprostřední	immediate
zasáhl	intervened
pozdě	late
bin	bin
kousek	piece
schéma	diagram
schéma	scheme
schéma	chart
schéma	schematic
oblíbený	popular
oblíbený	favorite
bavorsko	bavaria
posouzení	assessment
obnova	restoration
obnova	recovery
obnova	renewal
epidemie	epidemics
epidemie	outbreak
epidemie	epidemic
satelitní	satellite
mimořádné	extraordinary
mimořádné	exceptional
přežití	survival
přežití	surviving
řekové	greeks
aktivitu	activity
přiznal	confessed
novely	novels
herečky	actresses
herečky	actress
auf	auf
morgan	morgan
reprezentativní	representative
flotily	fleet
arábie	arabia
těhotenství	pregnancy
občan	citizen
ohrožené	endangered
klára	klara
klára	clara
instrumentální	instrumental
alpy	alps
kiss	kiss
terry	terry
vajec	eggs
jakýkoliv	any
rezervaci	reservation
prodloužena	extended
spolky	societies
tramvaj	tram
tramvaj	trolley
tramvaj	streetcar
odmítli	declined
dáno	given
přijel	arrived
specializované	specialised
specializované	specialized
daly	daly
provence	provence
kulturně	culturally
parc	parc
beatles	beatles
parky	parks
michigan	michigan
kost	bone
znalost	knowledge
podvozek	chassis
podvozek	bogie
klobouk	hat
protesty	protest
protesty	protests
posloupnost	sequence
skotska	scotland
nedostatky	shortcomings
nedostatky	deficiencies
nedostatky	weaknesses
daň	tax
bohemia	bohemia
soutěžní	competition
soutěžní	competitive
dodávky	vans
dodávky	deliveries
dodávky	supplies
oblouk	arc
oblouk	arch
rytíře	knights
trenéři	coaches
trenéři	trainers
konfliktů	conflicts
pozic	positions
prvotní	primal
čtrnáct	fourteen
reagoval	reacted
reagoval	responded
obývá	inhabits
miluje	loves
cestování	travel
cestování	travelling
cestování	traveling
holub	pigeon
porodu	childbirth
logické	logical
logické	logic
železnici	railroad
pozvání	invitations
pozvání	invite
pozvání	invitation
veronika	veronika
veronika	veronica
hrdinů	heroes
vyrobeny	manufactured
vyrobeny	made
myšlenek	thoughts
bonaparte	bonaparte
minutu	minute
dolina	dolina
živě	live
mající	having
popření	denial
mitchell	mitchell
výroční	annual
bytů	bytes
orange	orange
náhorní	nagorno
chorvatské	croatian
prodává	sells
hektarů	hectares
parků	parks
psáno	written
xml	xml
kate	kate
obrátil	reversed
url	url
url	urls
okolnosti	circumstance
okolnosti	circumstances
liška	fox
peří	plumage
peří	feather
peří	feathers
carter	carter
výhodu	advantage
silva	silva
pocity	sensations
pocity	feelings
dubé	dubé
patrik	patrik
patrik	patrick
sopka	volcano
produktu	product
potraviny	food
potraviny	foods
potraviny	groceries
odstraněna	deleted
odstraněna	removed
kult	cult
kůry	bark
silver	silver
kovové	metallic
trubka	pipe
trubka	tube
trubka	trumpet
joan	joan
zajímá	interested
reklama	advertising
reklama	advertisement
matematika	maths
matematika	mathematics
matematika	math
návod	manual
návod	instructions
naši	our
sierra	sierra
caesar	caesar
pohyby	moves
pohyby	movement
pohyby	motions
pohyby	movements
poškozen	damaged
poškozen	corrupted
výjimku	exception
čelní	frontal
umožnila	enabled
true	true
podepsána	signed
orgánu	organ
řidiče	drivers
řidiče	driver
oddělené	separated
oddělené	separate
vyhláška	ordinance
vyhláška	decree
neštěstí	unlucky
neštěstí	misfortune
neštěstí	disaster
wiener	wiener
aktivních	active
loví	hunts
velvyslanectví	embassies
velvyslanectví	embassy
ovlivnit	affect
ovlivnit	influence
svobodná	single
kovy	metal
kovy	metals
sinclair	sinclair
předsedal	chaired
pilotní	pilot
zobrazí	shows
nepřátel	enemies
hradecká	hradecká
architektonické	architectural
inteligentní	intelligent
tyčinky	sticks
kyselin	acids
přímá	direct
italia	italia
vkládá	inserted
zimy	winters
obhájce	defender
dokonale	perfectly
larry	larry
rozložení	distribution
rozložení	layout
finance	finance
finance	finances
finance	financials
norma	norma
norma	norm
norma	standard
příkazy	commands
příkazy	orders
napsali	wrote
blake	blake
opakované	repeated
opakované	repetitive
čluny	boats
čluny	barges
zpíval	sang
dovnitř	inside
osobám	persons
pravdy	truths
soukromí	privacy
podlaží	floor
luk	luk
luk	bow
jednotlivců	individuals
vzory	models
vzory	patterns
vzory	designs
podpořit	support
olympic	olympic
zraněn	injured
zraněn	wounded
vkládání	embedding
vkládání	pasting
volná	free
temné	dark
stockholmu	stockholm
řádek	line
řádek	row
jürgen	jürgen
pokorný	humble
zkratkou	shortcut
studuje	studying
posun	shift
potvrzeno	confirmed
slabé	weak
tmavé	dark
germain	germain
texasu	texas
bull	bull
spektra	spectra
spektra	spectrum
sedmý	seventh
rajón	turf
mann	mann
sochařství	sculpting
obdobné	similar
ana	ana
zvýšené	increased
zvýšené	elevated
pokrok	progress
plavby	cruises
ověření	authentication
ověření	validation
ověření	verification
buk	buk
paulo	paulo
paulo	paula
vzestup	ascension
vzestup	rise
provedeno	done
potřeb	needs
odvozené	derived
náhodně	randomly
náhodně	random
náhodně	accidentally
odměnu	reward
grace	grace
oslavy	celebrations
oslavy	celebration
poddruh	subspecies
dallas	dallas
zrychlení	acceleration
útočiště	sanctuary
útočiště	refuge
čekat	waiting
organismy	organisms
obytné	residential
zachována	retained
zachována	maintained
leonardo	leonardo
haas	haas
začleňování	mainstreaming
začleňování	inclusion
mor	mor
mor	plague
mor	pestilence
arabsky	arabic
julian	julian
estonsko	estonia
missouri	missouri
saxofonista	saxophonist
jedině	only
přírodovědec	naturalist
doklady	documents
doklady	papers
césar	caesar
césar	césar
atlantis	atlantis
dávid	dávid
zásahy	interventions
zásahy	intervention
plošiny	platforms
viru	virus
sestavy	kits
sestavy	assemblies
sestavy	routines
mlýny	mills
ramat	ramat
podvozku	chassis
podvozku	bogie
hamburku	hamburg
bývalí	exes
kantonů	cantons
profilu	profile
kanadská	canadian
slam	slam
partner	partner
etnicky	ethnically
konkurenční	competitive
konkurenční	competing
transformace	transformation
transformace	transformations
jonas	jonas
profesionál	professional
inspiroval	inspired
odpověděl	replied
odpověděl	answered
odpověděl	responded
gilles	gilles
příčin	causation
zpravodaj	newsletter
zpravodaj	bulletin
zpravodaj	rapporteur
přeložen	transferred
sdělení	communication
sdělení	communications
pruh	lane
pruh	stripe
piloti	pilots
oldfield	oldfield
důlní	mining
plavidel	vessels
deutscher	deutscher
koloniální	colonial
muhammad	muhammad
hop	hop
ovce	sheep
superpohár	supercup
krakově	cracow
konfederace	confederacy
konfederace	confederation
účetní	accountants
účetní	accounting
účetní	accountant
náboženský	religious
hluboký	deep
synovec	nephew
pokusů	attempts
nesmysl	nonsense
marketing	marketing
hymna	anthem
rozšířená	extended
rozšířená	expanded
potrubí	pipeline
potrubí	pipelines
potrubí	pipes
potrubí	pipe
potrubí	plumbing
postupuje	advancing
zatčení	arrest
zatčení	arrests
nutná	necessary
položek	items
zpětně	retroactively
frederick	frederick
opuštění	abandonment
odborníci	professionals
odborníci	experts
odborníci	specialists
portugalské	portuguese
stanovena	established
stanovena	fixed
gov	gov
panorama	panorama
panorama	skyline
kancléř	chancellor
alpha	alpha
mercury	mercury
jet	jet
arménie	armenia
mozek	brain
mozek	brains
zločin	felony
zločin	crime
převod	transfer
kanálů	channels
ničení	destruction
cache	cache
zveřejnil	posted
návštěvníky	visitors
dosáhli	reached
balet	ballet
porýní	rhine
porýní	rhineland
systematicky	systematically
systematicky	systematic
unit	unit
virginia	virginia
bomby	bombs
předchůdci	predecessors
chicagu	chicago
hdp	gdp
mořských	marine
normálně	normally
rfc	rfc
pozemek	land
uplatnit	apply
uplatnit	redeem
zúčastnit	attend
kazatel	preacher
kongo	congo
připraven	ready
ostré	sharp
adrian	adrian
zeměpisné	geographic
zeměpisné	geographical
drak	dragon
dosah	range
dosah	reach
překvapivě	surprisingly
chemický	chemical
melzer	melzer
sud	keg
sud	barrel
sud	sud
sud	cask
filmografie	filmography
astronomie	astronomy
přirozený	natural
allmusic	allmusic
citroën	citroën
uhlíku	carbon
lyon	lyon
dělník	workman
dělník	worker
ryze	purely
potkal	met
ramena	shoulders
zvuky	sounds
zvuky	noises
alexandre	alexandre
bibli	bible
reed	reed
požadoval	demanded
palestině	palestine
holt	holt
homosexuální	homosexual
výpočetní	computational
výpočetní	computing
kvitová	kvitová
marshall	marshall
prezidentských	presidential
bankovní	banking
bankovní	bank
buňka	cell
gama	gamma
jevgenij	yevgeny
lokalit	localities
proteinů	proteins
duši	soul
zveřejnění	disclosure
zveřejnění	publication
zveřejnění	publishing
pat	stalemate
pat	pat
írán	iran
jar	jar
hitlera	hitler
držet	hold
porazit	beat
porazit	defeat
ukázky	demonstrations
ukázky	samples
porucha	malfunction
porucha	disorder
emma	emma
schválen	approved
léky	medicine
léky	drugs
léky	medicines
léky	medication
léky	meds
ledové	icy
krajinu	landscape
pohřební	funeral
drobná	petite
metr	meter
tón	tone
slavík	nightingale
slavík	songbird
basketbal	basketball
smrk	spruce
zima	cold
zima	winter
nicole	nicole
frankfurtu	frankfurt
hnědý	brown
mississippi	mississippi
nepochybně	undoubtedly
sporné	questionable
sporné	contested
sporné	contentious
sporné	disputed
extrémní	extreme
vyvinutý	developed
vyvinutý	evolved
éra	era
signály	signals
dokládá	illustrates
středa	wednesday
ideologie	ideology
ideologie	ideologies
école	école
odhad	estimate
odhad	estimation
odhad	estimated
pacienta	patient
irské	irish
kázání	sermons
kázání	preaching
kázání	sermon
kázání	preach
poválečné	postwar
prázdná	empty
vystupovat	perform
osa	axis
dvojí	dual
převodovka	transmission
chybějící	missing
pohřebiště	graveyard
schneider	schneider
habsburské	habsburg
paolo	paolo
zemře	dies
údržbu	maintenance
portugalská	portuguese
rozcestí	crossroads
výdělek	profit
výdělek	earnings
granollers	granollers
porozumění	understanding
biblické	biblical
pánve	pans
nabídka	tender
nabídka	bid
nabídka	offer
pomáhat	helping
nadpis	headline
nadpis	heading
nadpis	title
bosna	bosnia
korlević	korlević
leon	leon
nasazený	seeded
hole	clubs
hole	sticks
klarinet	clarinet
křižníky	cruisers
heinz	heinz
vlčí	wolf
patent	patent
absence	absent
absence	absence
absence	absences
sestavil	compiled
koupila	bought
opus	opus
komunisté	communists
řádně	properly
proveden	executed
army	army
mag	mag
počítat	count
počítat	counting
benz	benz
biologické	biological
kapacity	capacities
kapacity	capacity
kopecký	kopecký
děla	cannon
děla	cannons
poklad	treasure
upravuje	regulates
upravuje	adjusts
regiony	regions
povstalci	insurgents
povstalci	rebels
křesťané	christians
slonoviny	ivory
vyvinut	developed
výuka	teaching
výuka	learning
výuka	tutorial
fed	fed
miguel	miguel
vyrovnání	settlement
vyrovnání	offset
pistole	pistols
pistole	pistol
pistole	gun
vzácný	rare
