dhe	un
ndryshme	dažādi
ndryshme	atšķirīgs
ndryshme	dažādas
etj	etc
etj	utt
duhet	vajag
duhet	vajadzība
duhet	nepieciešams
duhet	nepieciešamība
sipërfaqe	virsmām
sipërfaqe	virsmas
sipërfaqe	virsma
ato	viņiem
ato	viņi
ato	tie
ato	tās
përgjithshëm	vispārējā
përgjithshëm	vispārējais
përgjithshëm	vispārīgi
përgjithshëm	vispārēji
tjetër	pārējie
tjetër	citi
tjetër	cits
tjetër	citādi
tjetër	citas
tjetër	next
tjetër	nākamais
tjetër	nākamā
tjetër	nākamo
tjetër	nākošais
njohur	pazīstami
njohur	atzītas
njohur	atzīta
njohur	atzīti
njohur	atzīts
njohur	atzītā
njohur	atzītas
njohur	atzīta
njohur	atzīti
njohur	atzīts
njohur	zināma
njohur	zināmi
njohur	zināms
njohur	pazīstama
shqiptar	albāņu
shqiptar	albānijas
style	stils
dytë	otrais
dytë	otrs
dytë	otrie
dytë	otrā
mirë	laba
mirë	labas
mirë	labi
mirë	labs
mirë	labais
fundit	pēdējo
fundit	pēdējais
fundit	pēdējā
fundit	pēdējās
fundit	pēdējoreiz
fundit	jaunākais
pasi	pēc
shiko	redz
shiko	skatīt
shiko	ieskaties
shiko	izskaties
shiko	skaties
shiko	skatiens
nën	zemāk
nën	zem
nën	apakš
nën	zem
jpg	jpg
herë	reizes
herë	kārtīga
herë	laiki
viti	gadu
viti	gads
sot	šodien
çdo	jebkuru
çdo	jebkura
çdo	jebkurš
lartë	augstā
lartë	augstu
lartë	augsts
lartë	augsta
popullsi	populācija
popullsi	iedzīvotāji
kosovës	kosova
komunë	novads
komunë	pašvaldība
jetë	life
jetë	dzīve
jetë	dzīvi
jetë	dzīvība
president	prezidents
president	priekšsēdētāja
president	priekšsēdētājs
bërë	paveikts
bërë	darīts
bërë	izdarīts
mes	vidū
mes	tuvie
mes	vidējie
mes	starp
vonë	vēlu
vonë	novēloti
vend	valsts
vend	vieta
vend	vieta
shqipëri	albānija
pak	maz
pak	maza
pak	mazais
pak	nedaudz
francë	franciju
francë	francijā
francë	francija
francë	france
fshat	lauki
fshat	laukos
fshat	ciema
fshat	ciemata
fshat	ciems
fshat	ciematu
fshat	ciemu
fshat	ciemats
zyrtare	amatpersona
zyrtare	ierēdnis
kryetari	runātājs
kryetari	runātāja
kryetari	priekšsēdētāja
kryetari	priekšsēdētājs
vendosur	atrodas
pasur	bija
pasur	bagāta
pasur	bagātas
pasur	bagāti
pasur	bagātīgs
pasur	bagāts
sepse	jo
sepse	cēlonis
sepse	izraisīt
kishin	bija
vitet	gadus
vitet	gadi
vitet	gadiem
tre	trim
tre	trīs
fund	svārki
fund	beidzas
fund	beigas
marrë	ņemta
marrë	ņemts
marrë	veikti
tjerë	citas
tjerë	citi
tjerë	pārējie
harta	kartē
harta	karte
harta	kartes
mbreti	king
mbreti	karalis
mbreti	ķēniņš
midis	starp
vogël	sīkā
vogël	sīkās
vogël	sīka
kosovë	kosova
vjet	gadus
vjet	gadi
vjet	gadiem
pastaj	tad
shtetit	valsts
shtetit	štats
tiranë	tirānas
kombëtare	nacionālais
emrin	vārds
emrin	nosaukums
mori	saņemts
mori	saņemtas
mori	saņemtās
mori	saņemti
mori	saņēma
mori	ieņēma
mori	paņēma
mori	ņēma
filloi	sākts
filloi	sākta
filloi	sākās
ish	bijusī
ish	bijušie
ish	bijušais
mars	marta
mars	martā
mars	marts
mars	mars
file	faila
file	fails
file	failu
presidenti	prezidents
presidenti	priekšsēdētāja
presidenti	priekšsēdētājs
lindur	dzimuši
lindur	dzimis
lindur	dzimusi
lindi	dzimšanas
lindi	dzemdības
kryesore	galvenais
kryesore	galvenās
kryesore	galvenā
aktualisht	pašlaik
aktualisht	pašreiz
aktualisht	šobrīd
aktualisht	patlaban
qyteti	pilsēta
qyteti	pilsēta
politike	politiskā
qershor	jūnijs
qershor	jūnija
qershor	jūnijā
pse	kapēc
pse	kādēļ
pse	kāpēc
maj	var
maj	drīkst
maj	maijs
vetë	sevis
vetë	sevi
nëntor	novembra
nëntor	novembrī
nëntor	novembris
janar	janvāris
janar	janvāra
janar	janvārī
thotë	saka
shtator	septembris
shtator	septembrī
shtator	septembri
vet	viņa
brenda	brenda
brenda	iekšpusē
brenda	iekšā
shteteve	valstis
kryesisht	galvenokārt
kryesisht	pārsvarā
kryesisht	galvenokārt
kryesisht	lielākoties
shqiptarë	albāņiem
prill	aprīlis
prill	aprīlī
prill	aprīļa
ditë	dienu
ditë	dienā
ditë	diena
ditë	dienām
ditë	dienās
ditë	dienas
tetor	oktobris
tetor	oktobrī
shkurt	februārī
shkurt	februāra
shkurt	februāris
shkurt	īsa
shkurt	īsais
shkurt	īsā
shkurt	īsi
shkurt	īss
bëhet	kļūt
bëhet	kļuvis
vjetër	vecā
vjetër	veca
vjetër	veci
vjetër	vecs
bën	padara
kodi	kods
monark	monarhs
dhjetor	decembrī
dhjetor	decembris
dhjetor	decembra
dhjetor	decembrim
dhjetor	decimālo
mbret	king
mbret	karalis
mbret	ķēniņš
aktuale	pašreizējais
aktuale	pašreizējo
aktuale	pašreizējie
aktuale	strāva
aktuale	pašreizējā
gjuhën	mēle
gjuhën	mēles
gjuhën	valoda
tani	tagad
frëngjisht	francijas
frëngjisht	franču
km²	km²
shtetet	valstis
shtetet	valstīm
shtetet	valstis
informacion	informācija
shume	ļoti
shume	loti
shume	daudz
gusht	augusts
gusht	augustā
shba	asv
shba	usa
pranë	blakus
pranë	tuvu
pranë	netālu
top	top
top	tops
top	augšējā
top	augšējais
korrik	jūlija
korrik	jūlijs
korrik	jūlijā
katër	četri
katër	četras
katër	četriem
katër	četrus
rëndësishme	svarīgs
rëndësishme	svarīga
rëndësishme	svarīgas
rëndësishme	svarīgi
rëndësishme	nozīmīgs
fillim	sākums
prishtinë	prištinā
jashtë	ārpusē
jashtë	ārpus
jashtë	ārpuses
jashtë	ārā
jashtë	out
përbërja	sastāvs
shën	svētais
shën	saint
qytet	pilsēta
qytet	pilsēta
këtu	šeit
këtu	te
dhënë	dots
dhënë	dota
dhënë	dotas
dhënë	piešķirts
përdorur	izmanto
përdorur	lietots
përdorur	izmantotais
përdorur	izmantots
përdorur	lietoti
përdorur	lietota
faqja	lappuse
faqja	lapa
aty	tur
nëpër	caur
nëpër	cauri
krijuar	radīta
krijuar	radīts
krijuar	izveidots
krijuar	radīti
krijuar	izveidota
del	del
zona	zona
zona	teritorija
zona	platība
zona	apgabals
zona	laukums
këshilltarëve	domnieku
vit	gadu
vit	gads
përfshirë	iesaistītas
përfshirë	iesaistīts
përfshirë	iesaistīta
përfshirë	iekļāva
përfshirë	iekļauta
përfshirë	iekļauti
përfshirë	iekļautas
përfshirë	iekļauts
megjithatë	tomēr
data	datums
kryesor	galvenais
kryesor	galvenās
kryesor	galvenā
kryesor	primārās
kryesor	primāra
kryesor	primārie
kryesor	primārā
kryesor	primārais
emri	vārds
emri	nosaukums
jane	džeina
new	jauna
new	jaunums
new	jauni
new	jauns
new	jaunais
new	jaunas
isbn	isbn
zakonisht	parasti
zakonisht	parastās
zakonisht	parastā
zakonisht	parastie
zakonisht	parasti
reja	jauna
reja	jaunums
reja	jauni
reja	jauns
reja	jaunais
reja	jaunas
federal	federālā
federal	federālais
qarkun	apriņķis
qarkun	apgabals
qendër	centrs
qendër	centrā
qendër	centrs
qendër	centrā
qendër	centra
ana	ana
ana	anna
republika	republika
republika	republikas
iii	slims
iii	iii
provinca	province
provinca	ils
fjalë	vārdu
fjalë	vārdi
ndodhet	atrodas
amerikan	american
amerikan	amerikāņu
amerikan	amerikas
osmane	osmaņu
pjesa	daļa
ndonjë	jebkuru
ndonjë	jebkura
ndonjë	jebkurš
caps	vāciņi
ali	ali
shkruar	rakstisks
shkruar	rakstveida
shkruar	uzrakstīts
shkruar	rakstiska
mesme	vidū
mesme	tuvie
mesme	vidējie
mesme	vidēja
mesme	vidējs
shqip	albāņu
shqip	albānijas
numër	numuru
numër	numurs
numër	skaitlis
numër	skaits
atëherë	tad
mjaft	pietiek
mjaft	pietiekami
mjaft	pietiks
bazë	pamatne
bazë	pamats
bazë	bāze
bazë	pamata
kohe	laiks
kohe	laika
ndërtuar	celta
ndërtuar	būvēts
ndërtuar	uzbūvēts
ndërtuar	veidots
ndërtuar	būvēti
ndërtuar	būvēta
ndërtuar	būvēt
ndërtuar	veidot
nëpërmjet	caur
nëpërmjet	via
nëpërmjet	caur
nëpërmjet	cauri
solid	cietais
solid	cietā
solid	cieta
solid	ciets
fshati	ciema
fshati	ciemata
fshati	ciems
fshati	ciematu
fshati	ciemu
fshati	ciemats
vite	gadus
vite	gadi
vite	gadiem
forcat	spēkus
forcat	spēki
vdiq	nomira
vdiq	mira
sipërfaqja	korpuss
sipërfaqja	korpusa
sipërfaqja	korpusu
jug	dienvidu
jug	dienvidos
jug	dienvidi
atyre	viņiem
lidhur	pieslēdzies
lidhur	savienota
lidhur	piesaistīta
lidhur	piesaistīti
lidhur	piesaistīts
ushtarake	militāra
ushtarake	militārie
ushtarake	militārā
ushtarake	militāri
ushtarake	militāro
veri	ziemeļi
veri	ziemeļos
veri	ziemeļu
papa	pāvests
popullore	tautas
popullore	populāra
popullore	populārs
numri	numuru
numri	numurs
numri	skaitlis
numri	skaits
atij	viņam
atij	viņu
përveç	izņemot
vepra	opus
vepra	darbos
vepra	būvdarbi
vepra	darbi
asaj	viņai
asaj	viņas
vërtetë	reāli
vërtetë	īstais
vërtetë	īsta
vërtetë	reālā
vërtetë	reālās
vërtetë	īstas
vërtetë	patiešām
vërtetë	tiešām
përmes	caur
përmes	via
përmes	caur
përmes	cauri
përdoret	izmanto
përdoret	lietots
përdoret	izmantotais
përdoret	izmantots
përdoret	lietoti
përdoret	lietota
dha	iedeva
arriti	ieradušies
arriti	ieradies
botë	pasaule
botë	pasaulē
spanjë	spānija
ndërkombëtare	international
ndërkombëtare	starptautiskā
ndërkombëtare	starptautiski
shqipëria	albānija
sidomos	īpaši
tretë	trešā
tretë	trešais
veriore	ziemeļu
merr	ņemt
merr	ņem
merr	iegūsti
merr	dabūt
formë	forma
formë	forma
kisha	baznīcas
kisha	baznīca
kisha	baznīcas
kisha	baznīcā
veçantë	īpaša
veçantë	īpašais
veçantë	īpašs
veçantë	īpašā
veçantë	īpaši
shteti	valsts
shteti	valsts
shteti	štats
vende	vietām
vende	vietas
vende	sēdekļi
vende	sēdvietas
ndeshje	atbilstība
ndeshje	atbilst
ndeshje	sakritība
ndeshje	mača
ndeshje	sakrīt
njerëzit	cilveki
njerëzit	cilvēki
njerëzit	tauta
njerëzit	cilvēkiem
ende	vēl
ende	vēljoprojām
ende	joprojām
maqedonisë	maķedonija
shënoi	guva
shënoi	atzīmēti
shënoi	atzīmēts
shënoi	marķēts
fitoi	uzvarēja
fitoi	uzvarējis
fitoi	ieguva
vendi	valsts
vendi	vieta
http	http
faqe	vaiga
faqe	vaigu
faqe	lappuse
faqe	lapa
faqe	lapas
faqe	lappuses
jeta	life
jeta	dzīve
jeta	dzīvi
jeta	dzīvība
popullsia	populācija
popullsia	iedzīvotāji
shqiptarët	albāņiem
kryetar	runātājs
kryetar	runātāja
kryetar	mērs
kryetar	priekšsēdētāja
kryetar	priekšsēdētājs
luajtur	spēlējis
luajtur	spēlēja
shtëpi	māja
shtëpi	mājā
shtëpi	mājas
shtëpi	mājiņas
shtëpi	mājās
shtëpi	home
shtëpi	mājas
shtëpi	majas
gjuhë	valodas
gjuhë	mēle
gjuhë	mēles
gjuhë	valoda
historike	vēsturisks
historike	vēsturiska
historike	vēsturisko
historike	vēsturiski
historike	vēsturiskais
historike	vēsturiskas
historike	vēsturisks
historike	vēsturiskā
historike	vēsturisko
historike	vēsturiski
historike	vēsturiskais
historike	vēsturiskas
fetare	reliģisko
fetare	reliģiskās
perëndimore	rietumu
perëndimore	rietumos
perëndimore	rietumi
perëndimore	west
perëndimore	rietumu
perëndimore	western
tri	tri
tri	trim
tri	trīs
shembull	piemērs
ekonomike	ekonomikas
ekonomike	ekonomiskais
ekonomike	ekonomiskā
ekonomike	ekonomiska
ekonomike	ekonomiska
tilla	tādi
tilla	tāda
tilla	tāds
saint	svētais
saint	saint
asnjë	nav
asnjë	neviena
plotë	pilnu
plotë	pilnas
plotë	pilns
plotë	pilnā
plotë	pilni
plotë	pilna
rajoni	reģions
rajoni	rajons
rajoni	apgabals
shqiptarëve	albāņiem
shkolla	skolas
shkolla	skolām
shkolla	skola
shkolla	skolas
shkolla	skolu
shkolla	skolā
afër	tuvu
afër	netālu
afër	aizvērt
afër	tuvu
then	neizdodas
then	neizdosies
drejt	taisni
drejt	taisna
lindje	austrumos
lindje	austrumu
lindje	austrumi
historia	stāsts
historia	vēsture
historia	vēstures
historia	vēsturi
historia	vēsturē
film	filma
film	filmu
film	plēve
film	filma
film	plēves
figura	attēla
figura	attēls
figura	attēlu
figura	skaitļi
figura	attēls
figura	attēlā
zoti	dievs
zoti	pavēlnieks
zoti	kungs
kosova	kosova
gjuha	mēle
gjuha	mēles
gjuha	valoda
studimet	pētījumi
familje	saime
familje	ģimene
familje	ģimenē
familje	ģimenes
duket	šķiet
duket	izskatās
tha	teica
tha	pateikts
fillon	sākas
fillon	sāk
fillon	sākas
fillon	uzsāk
fillon	sāk
fillon	sākot
fillon	sākas
anë	pusē
anë	side
gjerë	plašs
gjerë	plaša
greke	grieķijas
greke	grieķu
qëllim	nolūks
qëllim	mērķis
city	pilsēta
tempulli	templi
kane	keins
von	fon
lufta	karu
lufta	karš
lufta	kara
lufta	karā
rast	gadījums
rast	lieta
vjen	nāk
vjen	atnāk
vjen	nāk
grupi	josla
grupi	joslas
grupi	grupu
grupi	grupa
grupi	grupas
pare	redzējusi
pare	redzēti
pare	redzējuši
pare	redzējis
itali	itālija
arritur	sasniegti
arritur	sasniegta
arritur	sasniegts
arritur	sasniegts
arritur	sasniedza
arritur	sasniegta
arritur	sasniegtas
shumica	vairākums
shumica	vairākumu
svg	svg
shkencore	zinātniskā
shkencore	zinātniska
shkencore	zinātniskais
shkencore	zinātnisks
autor	autors
autor	autore
përpara	priekšā
përpara	pārsūtīt
përpara	pirms
punës	darbaspēks
tregon	norāda
tregon	parāda
tregon	rāda
tonë	mūsu
njerëz	cilveki
njerëz	cilvēki
njerëz	tauta
njerëz	cilvēkiem
jugore	dienvidu
botuar	publicēts
botuar	publicēta
pesë	piecus
pesë	piecas
pesë	pieciem
pesë	pieci
anëtar	deputāts
anëtar	loceklis
anëtar	biedrs
prandaj	tāpēc
prandaj	tādēļ
lloji	tips
lloji	veids
emër	vārds
emër	nosaukums
ibn	ibn
grup	grupu
grup	grupa
grup	grupas
mali	kalns
mali	kalnu
mali	kalna
mali	mali
zhvillimin	attīstība
zhvillimin	izstrāde
zhvillimin	attīstīšana
und	und
john	džons
vendet	sēdekļi
vendet	sēdvietas
vendet	vietām
vendet	vietas
vendet	valstīm
vendet	valstis
poshtë	leju
poshtë	lejā
poshtë	lejup
poshtë	zemāk
poshtë	zem
poshtë	apakšējais
poshtë	apakšējā
poshtë	dibens
poshtë	grunts
poshtë	lejas
poshtë	apakšā
fjala	vārdu
qendrore	centrālā
qendrore	centrālais
qendrore	centrālās
jep	dod
jep	subsīdijas
jep	dotācijas
jep	sniedz
jep	nodrošina
jep	iedot
jep	dod
jep	dot
jep	dodiet
wikipedia	wikipedia
bashkë	kopā
hershme	agrīna
hershme	agri
jugut	dienvidu
jugut	dienvidos
jugut	dienvidi
lindore	austrumu
përfshinë	iekļāva
përfshinë	iekļauta
përfshinë	iekļauti
përfshinë	iekļautas
përfshinë	iekļauts
italia	itālija
qarqet	aprindās
qarqet	aprindas
qarqet	apgabali
qarqet	rajoni
punë	darbs
punë	darbiņš
punë	darbs
hapur	atklāts
hapur	atvērts
hapur	atvērta
hapur	atvērt
hapur	atbloķēt
njihet	zināma
njihet	zināmi
njihet	zināms
njihet	pazīstama
qendra	centrs
qendra	centrā
qendra	centrs
qendra	centrā
qendra	centra
libri	grāmata
libri	grāmatiņa
libri	grāmatu
romake	romāns
romake	romans
romake	romiešu
shquar	atšķirt
caktuar	piešķirtie
caktuar	piešķirts
caktuar	piešķirti
administrative	administratīvā
administrative	administratīvi
administrative	administratīvais
administrative	administratīva
administrative	administratīvie
pati	petija
burimi	avots
burimi	resursi
burimi	resursa
burimi	resurss
burimi	resursu
sistemi	sistēmu
sistemi	sistēma
sistemi	sistēmas
politik	politiskā
fushë	lauks
fushë	lauka
fushë	laukā
shtëpia	mājās
shtëpia	home
shtëpia	mājas
shtëpia	majas
shtëpia	māja
shtëpia	mājā
kete	šī
kete	šo
kete	šis
kete	tas
ora	laiks
ora	laika
ora	ora
ora	pulkstenis
ora	pulksteni
gola	mērķi
gola	mērķus
serbe	serbu
serbe	serbu
serbe	serbijas
detit	jūra
burim	avots
njeri	cilvēks
njeri	cilvēka
njeri	cilvēku
njeri	cilvēks
njeri	vīrietis
njeri	vecīt
not	peldēties
not	peldēšana
not	peldēšanas
faqet	lapas
faqet	lappuses
faqet	vaigi
ate	viņam
ate	viņu
lirë	lētas
lirë	lēts
lirë	lēta
lirë	lēti
lirë	bezmaksas
lirë	brīva
lirë	free
lirë	brīvs
bardhë	balti
bardhë	balta
bardhë	balts
bardhë	baltais
bardhë	baltā
komuniste	komunistu
komuniste	komunistiskā
gjermane	vācijas
gjermane	vācietis
gjermane	vācu
ujë	ūdeni
ujë	ūdenī
ujë	ūdens
zhvilluar	attīstīta
zhvilluar	attīstītas
zhvilluar	izstrādāti
zhvilluar	izstrādāts
zhvilluar	attīstītajām
rrethi	loks
rrethi	apļa
rrethi	aplis
koha	laiks
koha	laika
letrare	literatūras
tokë	zemi
tokë	zeme
tokë	zemes
tokë	zemi
tokë	zeme
tokë	zemes
histori	stāsts
histori	vēsture
histori	vēstures
histori	vēsturi
histori	vēsturē
kreu	vadītājs
kreu	galvu
kreu	galvas
kreu	galva
njeriu	cilvēks
njeriu	vīrietis
njeriu	vecīt
gjendje	situācija
gjendje	stāvoklis
gjendje	nosacījums
gjendje	stāvoklis
amerikane	american
amerikane	amerikāņu
amerikane	amerikas
krye	top
krye	tops
krye	augšējā
krye	augšējais
tirana	tirānas
veprat	darbos
vendos	komplekts
vendos	kopa
vendos	uzstādīt
vendos	nolemt
vendos	lemt
vendos	izlemj
vendos	lemj
vendos	izlemt
mbajtur	turēti
mbajtur	turēts
mbajtur	turētas
mbajtur	uzturēts
mbajtur	turēta
mbajtur	turēti
com	kom
com	com
madje	pat
colspan	colspan
përfshin	ietilpst
përfshin	ietver
përfshin	iesaista
george	džordžs
elektrike	elektriskas
elektrike	elektriskie
elektrike	elektrisko
elektrike	elektriskās
elektrike	elektriskais
elektrike	elektriskās
elektrike	elektriskie
elektrike	elektriskā
elektrike	elektrisko
luftë	karu
luftë	karš
luftë	kara
luftë	karā
arsye	iemesli
arsye	pamatojums
arsye	iemesls
punuar	strādāja
punuar	darbs
punuar	strādāt
punuar	darba
punuar	strādājam
punuar	strādā
perëndim	rietumu
perëndim	rietumos
perëndim	rietumi
perëndim	west
fëmijë	bērni
fëmijë	bērns
fëmijë	bērnus
fëmijë	bērniem
fëmijë	bērni
malit	kalns
malit	kalnu
qarku	apriņķis
qarku	apgabals
qarku	ķēde
qarku	trase
autori	autors
autori	autore
shtrihet	stiepjas
vete	pats
mira	mira
verore	vasarai
verore	vasara
verore	vasarā
ushtarak	militāra
ushtarak	militārie
ushtarak	militārā
ushtarak	militāri
ushtarak	militāro
san	san
përsëri	atkal
përsëri	vēlreiz
evropian	eiropas
evropian	eiropietis
vendbanim	rezidence
vendbanim	uzturēšanās
vendbanim	dzīvesvieta
vendbanim	dzīvesvietu
vendbanim	dzīvesvietas
familja	saime
familja	ģimene
familja	ģimenē
familja	ģimenes
larg	tālu
larg	prom
princi	princis
kaluar	pagātni
kaluar	pagātnes
kaluar	pagātne
kaluar	pagājuši
pikë	punkti
pikë	punktus
pikë	punkts
pikë	point
qeveria	valdība
qeveria	valdības
nobel	nobela
shkencave	zinātnes
rolin	loma
rolin	lomu
mal	kalns
mal	kalnu
vetem	vien
vetem	tikai
vetem	tikai
drejtë	taisni
drejtë	taisna
drejtë	tiesības
drejtë	labās
drejtë	pareizi
aktor	aktieris
italian	itāļu
italian	itāliešu
italian	itālijas
skeda	cilni
skeda	tab
luajti	spēlējis
luajti	spēlēja
gjashtë	sešus
gjashtë	seši
gjashtë	sešas
universiteti	universitātē
universiteti	universitāte
universiteti	universitātes
gjetur	atrasta
gjetur	atrastas
gjetur	atrasts
radio	radio
yes	jā
formuar	veidojas
formuar	veidoti
formuar	veidots
mbretëresha	dāma
mbretëresha	karaliene
mbretëresha	queen
mbretëresha	karalienes
italiane	itāļu
italiane	itāliešu
italiane	itālijas
bazuar	balstīts
përshkrimi	apraksts
rrugë	iela
rrugë	autoceļš
rrugë	ceļš
gjerman	vācijas
gjerman	vācietis
gjerman	vācu
lashtë	senas
lashtë	senā
lashtë	senās
lashtë	senie
perandoria	impērija
poezi	dzejolis
poezi	dzeja
poezi	dzejas
evropiane	eiropas
evropiane	eiropietis
drejtim	virziens
luan	lauva
luan	spēlē
luan	spēlējas
luan	spēlējot
mundur	iespējamie
mundur	iespējams
mundur	iespējamā
mundur	iespējama
mundur	pieveica
mundur	iesp
atje	tur
brendshme	interjera
brendshme	iekšlietu
brendshme	iekšējais
brendshme	iekšējie
dita	dita
dita	dienu
dita	dienā
dita	diena
shpejt	drīzumā
shpejt	drīz
shpejt	ātri
shpejt	ātra
shpejt	ātrs
shpejt	strauji
shpejt	fast
shpejt	ātri
shpejt	ātri
shpejt	ātra
shpejt	ātrā
shpejt	ātrs
natyrore	dabīgais
natyrore	dabas
natyrore	dabīgs
natyrore	dabiskā
natyrore	dabīgi
veriut	ziemeļi
veriut	ziemeļos
veriut	ziemeļu
veriut	ziemeļu
ndryshe	atšķirīgi
ndryshe	dažādi
ndryshe	atšķirīgs
ndryshe	dažādas
ndryshe	savādāk
ndryshe	citādi
ara	kultūras
ara	kultūraugi
ara	ara
perandori	impērija
perandori	imperators
kush	kas
kush	pvo
kush	kurš
fusha	lauki
fusha	laukiem
fusha	laukus
fusha	lauks
fusha	lauka
fusha	laukā
fusha	jomas
fusha	apgabali
fusha	teritorijas
fusha	platības
anglisht	angļu
forma	formas
forma	formas
forma	formās
forma	veidlapas
forma	forma
forma	forma
fillimisht	sākumā
fillimisht	sākotnēji
fillimisht	sākotnēji
muaj	mēnešus
muaj	mēnešiem
muaj	mēneši
muaj	mēnesis
muaj	mēnesi
publike	publiski
publike	publiskais
publike	publiska
shënuar	guva
shënuar	atzīmēti
shënuar	atzīmēts
shënuar	marķēts
shtet	valsts
shtet	valsts
shtet	štats
demokratike	demokrātiskas
demokratike	demokrātisko
demokratike	demokrātiskā
demokratike	demokrātiska
veten	pats
veten	sevi
filmi	filma
filmi	filmu
filmi	plēve
filmi	filma
filmi	plēves
veçanërisht	īpaši
veçanërisht	īpaši
veçanërisht	konkrēti
moderne	mūsdienu
moderne	modernā
moderne	moderni
moderne	moderns
moderne	moderna
metra	metri
metra	skaitītāji
metra	mērītāji
artit	māksla
artit	art
artit	zīmējumi
artit	noformējums
gjithmonë	vienmēr
tashmë	jau
kryer	apņēmusies
gjermani	vācijas
gjermani	vācija
gjermani	vācijā
sur	sur
erdhi	ieradušies
erdhi	ieradies
erdhi	atnācu
erdhi	atnāca
dorë	roku
dorë	roka
sukses	veiksme
sukses	veiksmes
sukses	panākumi
sukses	veiksmīgi
sukses	panākumus
sukses	veiksmīga
gjate	ilgi
gjate	garais
gjate	gara
gjate	garas
gjate	garš
world	pasaule
world	pasaulē
paris	paris
paris	parīzē
paris	parīze
paris	parīzes
shtatë	septiņi
shtatë	septiņas
shtatë	septītā
shtatë	septītais
këngë	dziesmas
këngë	dziesma
vazhdoi	turpinājās
vazhdoi	turpinājums
përmban	satur
përmban	saturēt
targa	plates
targa	plātnes
targa	plāksnes
marrin	saņemt
marrin	saņem
menjëherë	tūlīt
menjëherë	nekavējoties
menjëherë	uzreiz
gati	gatavi
gati	gatava
gati	gatavs
gati	gatavas
robert	roberts
club	klubā
club	club
club	klubs
club	kluba
libër	grāmata
libër	grāmatiņa
libër	grāmatu
përfundoi	pabeigti
përfundoi	pabeigts
përfundoi	pabeigta
përfundoi	beidzās
përfundoi	pabeigti
përfundoi	pabeigts
përfundoi	pabeigta
përfundoi	gatavo
mire	laba
mire	labas
mire	labi
mire	labs
mire	labais
sistem	sistēmu
sistem	sistēma
sistem	sistēmas
des	des
shekulli	gadsimts
periudhë	laikposms
periudhë	periods
vazhdon	turpinās
vazhdon	turpina
shoqërore	sociāla
shoqërore	sociālie
shoqërore	sociālais
shoqërore	sociālā
shoqërore	sociāls
artikuj	raksti
artikuj	izstrādājumi
artikuj	panti
sotme	šodien
shkrimtar	rakstnieks
ndërkohë	tikmēr
ndërkohë	pagaidām
qartë	skaidra
qartë	skaidri
qartë	skaidrs
qartë	dzidrs
qartë	skaidri
huaj	svešinieks
huaj	ārvalstu
huaj	ārzemju
përgjatë	gar
francez	francijas
francez	franču
thjeshtë	vienkārši
thjeshtë	vienkāršs
thjeshtë	vienkārša
thjeshtë	vienkāršas
thjeshtë	vienkāršā
thjeshtë	vienkārši
vlera	vērtības
vlera	vērtība
sikur	patīk
sikur	like
themeluar	dibināta
themeluar	dibināts
themeluar	izveidots
rol	loma
rol	lomu
ndërkombëtar	international
ndërkombëtar	starptautiskā
ndërkombëtar	starptautiski
