莖	stem
亞馬遜	amazon
眼淚	suze
特赦	amnesty
電影院	kinima
電影院	theater
電影院	pozorište
電影院	kino
電影院	kinematografija
電影院	cinema
休假	napustiti
休假	ostavi
休假	napusti
海牙	hag
口音	akcenat
領導者	lider
領導者	lideri
言語	riječi
言語	reči
肢	ud
肢	udova
王座	prijesto
王座	arš
王座	tronu
王座	tron
王座	trona
容忍	tolerancija
容忍	tolerancije
容忍	toleranciji
四重奏	kvarteta
四重奏	kvartet
核糖	riboza
糖果	sweets
糖果	candy
山寨	cottage
利潤	profit
利潤	dobit
利潤	profit
範例	paradigma
範例	primjeri
範例	primjer
切換	prebacivanje
瘟疫	kuge
瘟疫	kuga
公關	publicista
捍衛	brani
捍衛	brane
捍衛	odbraniti
捍衛	braniti
捍衛	odbrani
捍衛	braneći
捍衛	branili
奔跑	vođenje
括號	zagradi
震驚	šok
震驚	šokantno
震驚	šok
協作	sarađivati
協作	saradnja
郵件	mail
無視	ignore
代理人	agenti
代理人	proxy
代理人	agens
代理人	agent
材質	materijal
材質	material
呂宋	luzon
虧損	gubitak
虧損	gubitke
虧損	gubici
虧損	deficit
口袋	džepu
口袋	džepa
蜜蜂	pčele
蜜蜂	pčela
安第斯山脈	andi
硫磺	sumpor
硫磺	sumpor
茉莉	moli
茉莉	molly
療法	terapija
療法	terapije
包機	chartered
注意力	pažnja
狐狸	lisica
狐狸	fox
石灰岩	krečnjak
站立	stoji
站立	stajanje
站立	stand
鼓吹	zagovornik
風車	vjetrenjača
風車	vjetrenjača
印度支那	indokina
同化	asimilacija
對峙	konfrontacije
對峙	konfrontacija
鍋	pot
職責	dužnosti
職責	dužnost
職責	dužnosti
孵化	inkubacije
孵化	otvora
大連	dalian
文藝復興	renesansa
忠誠	odan
忠誠	lojalnih
忠誠	odanost
忠誠	lojalnost
忠誠	vjernike
忠誠	vjerna
忠誠	vjernici
祖國	domovina
祖國	fatherland
休士頓	houston
供電	elektricitet
高祖	gaozu
四肢	udova
莎莉	sali
視窗	windows
視窗	prozor
抗原	antigen
抗原	antigeni
老化	starenja
老化	starenje
老化	starenje
多哈	doha
守護者	guardian
守護者	čuvari
經紀人	broker
發育	razvojni
發育	razvojna
仇恨	mržnja
仇恨	mržnjom
仇恨	mržnje
仇恨	mržnja
仇恨	mržnje
仇恨	mrzim
仇恨	hate
仇恨	mrze
矮人	patuljak
矮人	patuljasta
不規則	nepravilna
穩定性	stabilnost
混沌	haos
鑰匙	ključni
鑰匙	ključ
世襲	nasljedna
世襲	nasljednog
櫻桃	višanja
執事	deacon
哀悼	saučešće
哀悼	žalosti
摩托車	motorom
摩托車	motocikala
地雷	rudnici
地雷	mina
地雷	mine
大亨	mogul
大亨	tajkun
安慰	udobnost
空手道	karate
乾燥	suha
乾燥	suho
乾燥	sušenje
點數	kredita
點數	krediti
點數	tačaka
土佐	tosa
潛力	potencijal
勞倫斯	lawrence
班級	časovi
班級	predavanje
奧斯汀	austin
奧斯汀	ostinu
送出	poslati
送出	šalju
送出	send
管理者	rukovodilac
管理者	menadžeri
管理者	menadžera
哈桑	hassan
哈桑	hasan
委派	zadatak
聚焦	fokusirajući
聚焦	fokusu
聚焦	fokus
全景	panorama
佐賀	saga
後宮	harem
佛羅里達	florida
工地	sajtu
工地	sajt
比丘	picchu
腎	bubrega
回憶錄	memoir
鈎	kuka
未婚	neudate
香水	parfema
美式	američki
美式	amerikanac
診所	klinika
胚胎	embrion
胚胎	embrionalne
胚胎	embrioni
感知	percepcija
感知	primjećuju
感知	percepcije
感知	percepcija
違規	kršenje
違規	proboj
違規	kršenje
鈣	kalcij
民主化	demokratizaciju
關節	zajedničke
關節	zglobova
淡出	fade
煤礦	ugalj
學期	mandat
學期	izraz
學期	termin
官司	tužbu
侵蝕	erozije
後勤	logistika
後勤	logističku
固體	čvrsto
固體	čvrste
寄宿	stambeni
寄宿	stambene
鼻子	nos
芝麻	susam
瓷器	porcelan
諜	špijun
訂單	naređenje
訂單	naredbu
訂單	reda
訂單	red
訂單	naređenje
訂單	naređenja
特權	privilegija
特權	privilegije
漁民	ribari
漁民	ribarsko
水解	hidroliza
痕跡	tragovi
猩猩	gorile
猩猩	orangutani
猩猩	majmun
證人	svjedoci
證人	svjedok
日內瓦	ženeva
梅森	mason
本體	ontologija
女巫	vještica
擁抱	hug
擁抱	prihvati
擁抱	grli
西邊	zapadu
西邊	zapad
陣列	matričnih
紡織	tekstil
紡織	tekstil
紡織	tekstila
潛水	ronjenju
潛水	dive
合法性	legitimitet
合法性	legitimnosti
合法性	legalnost
竇	sinus
竇	psa
竇	pas
竇	dog
竇	ker
擾亂	otklanjanju
擾亂	poremećaj
同源	homologni
吸引力	atrakcija
吸引力	privlačnost
吸引力	atrakciju
甘蔗	cane
哭泣	cry
哭泣	plače
成型	formiranje
成型	formirajući
腫瘤	tumor
紀律	discipline
紀律	disciplinama
酷刑	mučenja
酷刑	mučenju
酷刑	mučenje
口服	usmena
廣東話	yue
嚴謹	stroga
嚴謹	stroge
三叉戟	trident
展品	izložba
仰光	yangon
豁免	imunitet
反潛	asw
花絮	kvizu
暹羅	siam
鑄造	casting
刪去	izbrisati
礦物	minerali
麻醉	anestezije
加深	produbljivanje
加深	produbljivanje
攝政	namjesnika
芳香	aromatski
芳香	aroma
民謠	balada
民謠	folk
明文	eksplicitni
服務業	usluge
服務業	usluga
守衛	čuvari
守衛	garda
氣球	balon
氣球	balona
籃板	protivnapada
倫理	odgovorni
倫理	etika
一幕	scena
摸	dodir
憲政	ustavna
憲政	ustavni
瀋陽	shenyang
艾瑪	ema
艾瑪	emma
類比	analogni
雅加達	jakarta
對照	nasuprot
對照	kontrast
對照	contrast
膨脹	proširenje
營利	profit
營利	dobit
良心	savjesti
招標	tender
波羅的海	baltička
雨傘	krovna
雨傘	kišobranom
花生	kikiriki
花生	peanuts
閃光	flash
和弦	chords
子爵	vicomte
子爵	vikont
削減	rezanje
削減	rez
削減	smanjila
削減	rezovi
削減	rezova
削減	rezove
視察	inspekcije
視察	inspekcija
髮型	dlaka
里根	reagan
叛變	pobuna
殘酷	brutalnih
殘酷	brutalnog
殘酷	brutalni
殘酷	brutalno
殘酷	brutalna
單身	single
大自然	priroda
犀	nosorog
九個	devet
雇用	zaposli
悲傷	tuga
悲傷	sadu
僧侶	monk
僧侶	monasi
恐嚇	zastrašivanja
沒收	oduzimanje
沒收	oduzimanje
粉紅	ružičasta
反向	reverse
原油	sirove
浴	kupanje
感恩	zahvalnosti
感恩	zahvalnost
感恩	grateful
生氣	gnjevni
星期天	nedjeljom
星期天	nedjelja
塵埃	prašine
塵埃	prašina
塵埃	prašinu
塵埃	ispadanje
平滑	glatki
平滑	glatka
平滑	glatke
穆爾	moore
穆爾	mur
薄弱	slabost
薄弱	slabi
薄弱	slaba
薄弱	slab
指明	navesti
諸葛	zhuge
謊言	laž
謊言	leži
謊言	lazi
謊言	laži
宙斯	zeus
野獸	zvijeri
野獸	zvijer
填充	padding
填充	popunjavaju
填充	napuni
起因	uzroka
起因	uzroci
起因	uzrokuje
水分	vlage
縫	šije
縫	šivanje
高分子	polimera
反省	odraz
頂端	top
角落	ugao
角落	uglovi
淋巴	limfni
郵輪	krstarenje
燈光	svjetlost
瑪利亞	marija
瑪利亞	maria
太陽能	solarni
太陽能	sunčev
太陽能	solarne
儲備	rezervi
儲備	rezerve
儲備	rezerva
反對派	opozicioni
反對派	protivljenje
反對派	opozicija
舵	čelu
講話	govor
離任	odlazeći
激發	stimuliše
禁忌	zabranjeno
禁忌	tabu
假說	hipoteza
邪教	kult
孢子	spore
孢子	spore
榮耀	slava
鳩	dove
叛軍	pobunjenika
叛軍	pobunjenicima
叛軍	pobunjenici
叛軍	pobunjenika
家園	domovina
波動	fluktuacije
層次	slojeva
層次	slojevi
層次	nivo
矽	silicij
繡	vez
匹茲堡	pittsburgh
少了	manje
康復	liječenje
康復	ljekovita
康復	obnovu
康復	oporavak
康復	oporavka
大院	jedinjenje
布希	bush
欺騙	obmane
磁性	magnetno
磁性	magnetni
磁性	magnetne
磁性	magnetsko
磁性	magnetizma
內政	enterijera
花朵	cvijeća
花朵	flowers
花朵	cvijeće
花朵	cvijet
炸藥	dinamit
炸藥	eksplozivnih
炸藥	eksploziva
皮革	koža
徒弟	učenik
下限	kata
下限	spratu
下限	poda
下限	sprat
牛仔	cowboys
牛仔	kauboj
親戚	relativna
親戚	rodbina
結晶	kristalizacija
橢圓形	ovalna
疑慮	sumnja
疑慮	sumnje
疑慮	sumnju
疑慮	sumnjaju
疑慮	sumnja
疑慮	sumnje
上學	škola
窯	ware
紅十字會	icrc
乳房	dojke
乳房	grudima
正宗	autentična
流血	krvarenje
諾亞	nuh
歸屬	attribution
感興趣	zainteresovani
感興趣	zainteresovan
感興趣	zainteresiran
感興趣	zainteresovana
感興趣	zainteresirani
感興趣	zainteresovane
館長	kustos
骨折	frakture
泳池	bazen
舉例	primjeri
黏	sticky
灰姑娘	cinderella
牙買加	jamajka
主宰	dominiraju
迦太基	kartaga
渡假	odmor
偏差	devijacija
陰影	sjene
陰影	sjeni
陰影	hladu
陰影	hlad
驚訝	iznenađen
鱷魚	crocodile
幾內亞	gvineja
付款	platiti
付款	plaćaju
付款	plati
付款	plate
付款	plaćanje
付款	plaćanja
付款	plaćanje
付款	isplata
白銀	srebro
水牛	buffalo
面部	facijalne
護航	pratnja
護航	eskort
各部	ministarstva
共生	simbiotski
共生	simbioza
厭惡	gađenje
孫子	unuče
孫子	unuk
黑幫	gangster
黑幫	bande
師父	gospodar
師父	master
師父	majstor
寶寶	beba
寶寶	baby
寶寶	mala
線索	tragovima
線索	tragovi
綠黨	zeleni
損傷	povrede
損傷	povreda
損傷	štetu
損傷	oštećenja
損傷	štete
損傷	oštećenje
缺口	jaz
精華	suštinu
精華	suštini
精華	srž
蟒	python
發起人	inicijator
口語	govornom
力學	mehanika
工匠	zanatlija
工匠	zanatlija
處罰	penala
處罰	kazna
處罰	kazne
處罰	kaznu
處罰	kazna
名聲	ugled
序幕	uvod
序幕	uvod
序幕	prolog
醋	sirće
代理商	agencija
代理商	agenti
代理商	agens
代理商	agent
舒適	udobnost
舒適	prostranom
充電	optužba
充電	naboj
充電	optuživši
充電	optužujući
鎳	nikl
哲也	tetsu
飛翔	mušica
飛翔	lete
飛翔	leteći
礦業	rudarstvo
地勢	terenu
人馬座	strijelac
谷地	dolina
桃子	peaches
桃子	breskva
電纜	kablovi
電纜	kabla
田野	polja
腐敗	korumpiran
腐敗	korupcija
少數民族	manjina
少數民族	manjinska
少數民族	manjinu
少數民族	manjine
顎	vilica
顎	nepca
酒館	pub
政治學	politika
飛碟	nlo
飛碟	nlo
郊外	periferiji
草甸	meadows
供給	snabdijevanje
請願	peticiju
荒漠	pustinja
荒漠	pustinja
潟湖	laguna
先天	urođene
好奇	curious
好奇	curiosity
放逐	egzil
利息	kamata
口述	diktiraju
物料	materijal
物料	material
物料	materijale
物料	materijalima
物料	materijala
物料	materijali
打壓	represija
蟻	ant
蟻	ants
鏢	dart
石英	kvarc
辯護	odbrana
波浪	talasi
波浪	talas
超自然	natprirodna
成龍	džeki
成龍	jackie
猶太教	jevrejska
猶太教	jevrejsko
猶太教	jevrej
猶太教	jevrejski
猶太教	judaizam
血清	serum
凜	rin
愛人	ljubavnici
愛人	lovers
愛人	ljubavnik
愛人	ljubavnici
愛人	lover
各區	okruzi
各區	okruga
瓶子	boca
瓶子	boce
瓶子	boca
前列腺	prostate
小米	millet
演示	demo
演示	demonstracije
游擊隊	gerilsko
定罪	osuđeni
定罪	osuđen
定罪	uvjerenja
定罪	osude
倡議	inicijativa
盒子	kutija
勉強	jedva
液態	tečnost
法郎	franak
法郎	franaka
博弈	igra
百分比	procentima
百分比	postotak
百分比	posto
百分比	procenata
妥協	kompromis
動議	motion
動議	pokretu
路障	prepreke
狙擊手	sniper
評判	sudeći
經文	ajeti
經文	ajeta
經文	knjigu
沙丘	dine
沙丘	dune
奉獻	posvećenost
奉獻	posvetio
奉獻	posvećen
奉獻	odanost
奉獻	odanosti
藥品	medicina
藥品	droga
藥品	lijekova
藥品	lijekovi
藥品	lijekovima
地基	temeljima
地基	temelja
地基	temelji
地基	temelje
雇主	poslodavaca
雇主	poslodavaca
升起	rast
升起	uspon
升起	usponu
吃了	jedi
吃了	eat
吃了	jede
吃了	jedu
創始	osnivački
創始	osnivanja
詐騙	prevaru
詐騙	prevare
詐騙	prevara
詐騙	prijevara
詐騙	prevara
莓	malina
任用	imenovanja
任用	termin
任用	termina
任用	imenovanje
階梯	stepenica
階梯	ljestvici
階梯	stepenica
階梯	stepenice
黃蜂	osa
煙火	vatrometa
有序	uređen
反彈	bounce
屏障	barijere
屏障	barijera
節點	čvor
曙	akebono
姿勢	držanje
離散	diskretna
週四	četvrtak
協奏曲	concerto
希伯來	hebrejski
碉堡	bunker
碉堡	bunkera
最深	najdublje
葬禮	sahrane
儒學	konfučijanizam
寶座	prijesto
寶座	arš
寶座	tronu
寶座	tron
寶座	trona
電子郵件	mail
電子郵件	email
加速度	ubrzanje
喇叭	rog
貝勒	baylor
不平等	nejednakost
不平等	nejednako
晶體	kristal
晶體	kristali
開花	cvjetni
熵	entropija
空心	šuplju
收養	usvoje
收養	usvoji
收養	usvojiti
收養	usvajanje
收養	usvajanja
音訊	audio
叛逆	pobunu
叛逆	pobuni
叛逆	pobune
外甥	nećak
密封	pečat
快車	express
警衛	garda
信賴	bliski
彌撒	masa
兩棲	amfibijski
古物	antikviteta
古物	antike
神道	šintoizam
撞球	bazen
剝奪	lišavanje
後援	backup
關稅	carine
關稅	carina
關稅	carinska
定性	characterization
讀取	čita
讀取	reading
讀取	čita
紙幣	novčanice
紙幣	novčanica
調動	mobilnost
獨唱	solo
十字軍	krstaši
十字軍	crusader
體力	snage
體力	snaga
平均值	prosječno
平均值	prosječne
平均值	prosječnom
平均值	prosjek
興奮	uzbuđenje
神龍	zmaj
神龍	dragon
希臘文	grčki
紫外線	ultraljubičastih
申報	proglasi
申報	proglasiti
投注	klađenja
鯊魚	ajkule
鯊魚	ajkula
大腦	mozak
大腦	mozak
孤獨	lonely
孤獨	usamljeni
單字	riječ
套房	apartman
老兵	veterana
老兵	iskusni
老兵	veterana
更低	donjem
更低	niže
更低	niži
心態	mentaliteta
天秤座	vaga
過濾	filter
過濾	filtriranja
過濾	filtera
黃道	ekliptika
黃道	zodijak
甘地	gandhi
加法	aditiv
蒸氣	parni
蒸氣	parna
天命	destiny
天命	sudbina
天命	sudbinu
提問	pitanje
遼寧	liaoning
斜坡	padine
斜坡	obroncima
輪椅	kolica
袋鼠	kengur
袋鼠	kenguri
弱勢	ranjive
弱勢	ugrožene
開羅	kairo
服從	pokornosti
水力	hidro
水力	hidraulika
水力	hidroelektrane
水力	hidroelektrana
援軍	pojačanja
轉讓	transfer
轉讓	prijenos
轉讓	zadatak
轉讓	zadatke
駐軍	garnizona
反對黨	opozicioni
反對黨	protivljenje
反對黨	opozicija
博愛	bratstvo
冒犯	ofanzive
冒犯	kozari
冒犯	ofanzivu
冒犯	ofanziva
肉體	meso
動力學	dinamika
動力學	dynamics
動力學	dinamiku
緯度	lat
靈活	fleksibilan
靈活	fleksibilnost
薩姆	sam
薩姆	samom
薩姆	same
扣留	zadržavanje
扣留	privodi
凍結	zamrznuti
凍結	zamrzavanje
副本	kopija
副本	copy
副本	kopiju
副本	kopija
副本	kopije
橫向	horizontalna
橫向	horizontalni
水壩	brana
雄心	ambicije
雄心	ambiciozan
雄心	ambiciozni
雄心	ambicija
幼蟲	larva
癱瘓	paralizu
航運	otpreme
邦聯	konfederaciju
邦聯	konfederacija
填寫	napuni
陸戰隊	marinaca
以色列人	izraelce
錄取	upis
錄取	prijem
肯亞	kenija
扔	baci
硫化	sulfida
硫化	sulfid
影射	innuendo
母音	samoglasnik
代謝	metabolizam
代謝	metabolizma
大聲	glasno
堪薩斯	kansas
戰地	ratište
戰地	bojnom
進食	dodavajući
進食	jede
新兵	regrut
上線	online
涅槃	nirvana
老年人	starije
幸存者	preživeli
幸存者	survivor
水災	poplava
水災	poplave
水災	poplava
水災	poplava
貂	sable
煎	fry
遙控	udaljeni
遙控	udaljene
石榴	nara
多餘	dodatni
多餘	višak
受害人	žrtava
受害人	žrtve
受害人	žrtva
美學	estetika
美學	estetiku
堅強	jaka
堅強	jaki
政客	političari
政客	političar
電阻	otpor
震動	tremor
病理	patologija
煞車	brake
嫌犯	osumnjičeni
嫌犯	osumnjičenih
嫌犯	osumnjičene
嫌犯	osumnjičenog
嫌犯	osumnjičeni
嫌犯	osumnjičena
薪水	plaće
薪水	plate
薪水	plaća
多面體	poliedar
後果	posljedica
後果	posljedice
後果	posledica
薪資	plaće
薪資	plate
薪資	plaća
薪資	plaće
薪資	plate
埋伏	zasjeda
抵押	zalog
元老院	senat
天真	naivne
配方	formula
備忘錄	dopis
備忘錄	memorandum
許可證	dozvola
許可證	licenca
許可證	dozvolu
許可證	licencu
許可證	dozvole
許可證	licence
許可證	dozvola
許可證	dozvolu
許可證	dozvole
許可證	dozvole
硬度	tvrdoća
考官	examiner
巴塞隆納	barcelona
極少	rijetko
流體	tečnosti
強硬	teška
強硬	težak
素質	kvalitet
素質	kvaliteta
伯父	amidže
伯父	ujka
伯父	amidža
突變	mutirane
突變	mutacija
塞內加爾	senegal
椅子	stolac
椅子	stolica
琥珀	amber
慾望	želju
慾望	želja
慾望	lust
慾望	strastima
慾望	želje
插座	socket
插座	duplje
聖徒	svetaca
聖徒	saints
愛好	hobi
肥胖	gojaznost
象牙	slonovače
墜落	pada
墜落	falling
墜落	padao
活潑	lively
菊花	daisy
氙	ksenon
駭客	haker
失明	sljepilo
病房	ward
病房	odjeljenju
突尼西亞	tunis
突尼西亞	tunis
平野	hirano
熊貓	panda
零星	sporadičnih
頭條	headline
族裔	etnički
族裔	etnička
正直	integritet
寫信	pisu
寫信	napiši
寫信	pišu
彈珠	mramor
鈉	natrijum
鈉	natrij
傷心	sadu
衣物	odjeća
衣物	odjeća
衣物	odjeću
甘露	manna
甘露	nektar
今夜	tonight
今夜	večeras
固態	čvrsto
固態	čvrste
染料	bojenje
避難	azil
避難	pješačko
避難	utočište
唐人街	kineskoj
從來沒有	nikad
鴉片	opijum
延誤	odlaganje
延誤	odlaganja
延誤	odlažu
延誤	odložena
界線	granica
獲利	profit
獲利	dobit
領事	konzuli
領事	konzul
圍城	opsada
愛滋病	aids
國度	kraljevina
國度	kraljevstvo
無窮	beskonačno
無窮	beskonačnost
新生代	kenozoik
藻類	alge
打字	typing
巫師	čarobnjak
巫師	čarobnjaka
巫師	wizards
玩偶	lutke
寫入	pisu
寫入	napiši
寫入	pišu
寫入	pisanje
有色	obojena
有色	obojen
鈔	novčanice
鈔	novčanica
貧困	siromaštvo
貧困	siromaštva
黑社會	gangster
競爭力	takmičarski
競爭力	konkurentnost
競爭力	konkurentnosti
荒野	wilderness
粉末	prah
粉末	praha
親密	intimnom
義工	volonterski
義工	dobrovoljno
過境	tranzitna
過境	tranzitne
過境	tranzit
矩形	pravougaonik
矩形	pravougaonih
野蠻	brutalnih
野蠻	brutalnog
野蠻	brutalni
野蠻	brutalno
野蠻	brutalna
火腿	ham
毆打	napad
毆打	pobijedivši
毆打	porazivši
暴徒	thug
暴徒	mafijaškog
壁畫	freska
壁畫	mural
士氣	moral
職能	funkcija
爵士樂	džez
慈善家	filantrop
女童	djevojke
女童	girls
暴行	strahote
暴行	zločine
援引	invocation
援引	invoking
蘑菇	gljiva
牲畜	stoka
葡萄牙語	portugalski
氧氣	kisik
傑克遜	jackson
獲釋	objavljeni
獲釋	pušten
獲釋	pušteni
石墨	grafit
梵蒂岡	vatikana
梵蒂岡	vatikan
寮國	laos
騷亂	nemira
騷亂	nemiri
騷亂	nemire
騷亂	nemira
騷亂	nemiri
弱點	slabost
弱點	slabosti
午餐	ručak
增益	stekne
增益	dobiti
增益	gain
亞當斯	adams
立國	državnost
立國	državnosti
徘徊	luta
可樂	coke
可樂	kolu
鷺	heron
蜂蜜	med
油畫	slikarstvo
瑕疵	mane
受益	korist
樂觀	optimizam
變體	varijante
俯衝	dive
活著	živa
遺留	nasljedstvo
遺留	legacy
遺留	naslijeđe
檸檬	limun
摩登	moderna
摩登	savremena
摩登	savremen
裝修	obnovljena
旅途	putovanje
況且	pored
救濟	olakšanje
叛徒	izdajnik
群組	grupa
群組	grupe
跟蹤	praćenje
跟蹤	praćenja
天國	nebo
梵語	sanskrit
喝酒	piće
多樣性	raznovrsnost
多樣性	različitosti
多樣性	raznolikost
檀香山	honolulu
警探	detektiv
工作站	workstation
草稿	nacrtu
草稿	nacrt
草稿	nacrta
量度	mjerenje
量度	mjera
量度	mjeri
寶馬	bmw
獵戶座	orion
獵戶座	oriona
寓言	basna
竿	pol
變異	mutirane
變異	varijacije
變異	mutacija
變異	varijacija
欄位	polje
欄位	polja
領事館	konzulat
領事館	konzulata
曆法	kalendar
饒舌	rep
忽視	ignore
特使	izaslanik
特使	izaslanici
為甚麼	zašto
煽動	poticanja
誓言	zakletva
誓言	zakletve
顆粒	čestice
顆粒	čestice
顆粒	čestica
效用	komunalne
瀝青	bitumen
清單	checklist
清單	spisak
清單	lista
保養	održavanje
奶油	tirić
奶油	putera
奶油	krem
奶油	krema
審訊	ispitivanja
審訊	suđenje
騷動	nemire
騷動	nemira
騷動	nemiri
萃取	izvlačenje
萃取	ekstrakt
萃取	izvući
壓迫	represija
壓迫	represije
填補	popunjavaju
填補	napuni
木偶	puppets
丁香	klinčić
政令	dekretom
政令	dekret
政令	uredba
政令	propis
甄選	selekcija
甄選	izbor
困惑	konfuzije
外人	autsajder
聖地亞哥	santiago
營地	logor
營地	camp
營地	kamp
營地	kampu
營地	logori
營地	logora
營地	logore
營地	logorima
壓倒性	pretežna
中繼	štafeta
透鏡	objektiv
透鏡	leće
樂天	lotte
素描	skice
素描	crtež
舅舅	amidže
舅舅	ujka
舅舅	amidža
融化	topljenja
融化	topljenje
嫉妒	ljubomoran
嫉妒	ljubomore
嫉妒	jealousy
舉重	tegova
邂逅	susret
赤字	deficit
共存	suživot
放大器	amp
現況	status
鬍子	brkove
鬍子	brada
油脂	mast
擠	squeeze
貝多芬	beethoven
強姦	silovanje
棕櫚	palms
流星雨	meteorski
秘書處	sekretarijat
梯度	gradijent
和睦	harmoniju
和睦	harmonije
和睦	harmonija
突顯	isticanja
突顯	istaknuta
突顯	naglašavajući
突顯	osvjetljava
僱員	radnik
僱員	uposlenici
牛角	rogova
牛角	rog
