rodzeństwa	兄妹
konfrontacji	對峙
konfrontacji	對立
konfrontacji	對抗
volkswagen	大眾
zrozumienia	理解
zrozumienia	諒解
przeznaczenie	目的地
przeznaczenie	天命
przeznaczenie	命運
przeznaczenie	命運
biblia	聖經
liderów	領導者
liderów	領導人
sonda	探測
sonda	探測器
zmienione	修改
sin	罪孽
sin	罪過
sin	罪
sin	辛
sin	罪惡
meyer	meyer
postawa	態度
postawa	態勢
postawa	姿態
postawa	姿勢
rozpoznanie	偵查
rozpoznanie	偵察
rozpoznanie	偵查
rozpoznanie	偵察
rozpoznanie	承認
rozpoznanie	表彰
rozpoznanie	診斷
scalemajor	scalemajor
timeaxis	timeaxis
ciekawy	好奇
potrzebuje	需求
potrzebuje	需要
potrzebuje	需求
potrzebuje	需要
chronologia	時序
chronologia	年表
forever	永遠
cat	貓咪
cat	貓
cat	cat
zwykłych	普通
zwykłych	平凡
wydawcy	出版社
wydawcy	出版商
wydawcy	出版社
wydawcy	出版商
biuletyn	通訊
freedom	自由
adaptacji	改編
imagesize	imagesize
yang	楊
yang	yang
fabrykę	廠
fabrykę	工廠
ekran	螢幕
dołączyła	加入
plotarea	plotarea
lucy	露西
lucy	lucy
ostry	尖銳
ostry	鋒利
ostry	銳利
ostry	急性
ostry	尖銳
równoległy	並行
równoległy	平行
edytuj	編輯
bronić	捍衛
bronić	保衛
fizyczna	物理
możliwy	可能
oświetlenie	照明
oświetlenie	照明
ekspozycja	博覽會
ekspozycja	暴露
ekspozycja	曝光
ekspozycja	曝露
konsul	領事
konsul	執政官
rebelianci	叛亂份子
rebelianci	叛亂分子
rebelianci	叛軍
clarke	clarke
ograniczeń	限制
zabezpieczenie	附帶
zabezpieczenie	抵押
alain	alain
astronomii	天文
protesty	抗議
ciemności	黑暗
ahmed	ahmed
ahmed	ahmad
anatolij	anatoly
płótnie	畫布
płótnie	帆布
generacja	一代
generacja	世代
modyfikacji	修改
karate	空手道
przybyła	抵達
przybyła	到達
kapitału	資本
kapitału	首都
foster	foster
foster	寄養
harvey	harvey
płatki	花瓣
płatki	麥片
płatki	穀物
płatki	穀類
krytykę	批評
krytykę	批判
krytykę	批判
druk	印刷
druk	列印
druk	印刷
druk	列印
burza	暴風
burza	風暴
burza	暴風雨
tragedii	慘案
tragedii	悲劇
tragedii	慘劇
wystawę	展覽
wystawę	展
wystawę	展覽會
nowoczesny	摩登
nowoczesny	現代
nowoczesny	近代
nowoczesny	現代化
nowoczesny	當代
posterunek	站
posterunek	車站
grobie	墳墓
grobie	墓
grobie	墓穴
grobie	墳墓
grobie	墓
grobie	墳
utah	猶他州
utah	猶他
guillermo	guillermo
dochody	收入
dochody	收入
dochody	收益
dochody	收入
dochody	收益
dochody	稅收
dochody	收入
ruth	ruth
piętra	地板
tango	探戈
tur	tur
szerzej	更寬
szerzej	廣義
szerzej	廣義
towarowy	運費
towarowy	貨運
bukareszcie	布加勒斯特
wykorzystany	被剝削
przyjaźń	友情
przyjaźń	友誼
franków	法郎
cywilów	平民
med	med
body	屍體
body	體
body	身體
archeologii	考古學
archeologii	考古
archeologii	考古學
archeologii	考古
zarejestrowane	註冊
crystal	水晶
crystal	crystal
crystal	晶體
dzwon	鐘
dzwon	貝爾
dzwon	鈴
dzwon	bell
rozmowa	面試
rozmowa	面談
rozmowa	約談
rozmowa	採訪
rozmowa	訪談
rozmowa	對話
marcelo	marcelo
uzupełnienia	補充
uzupełnienia	輔助
lampy	燈
lampy	電燈
lampy	燈具
dzwony	鐘聲
wad	瑕疵
wad	缺陷
wad	惡習
zakup	購買
zakup	購買
zakup	採購
zakup	購買
curtis	curtis
spirit	精神
gazet	報章
gazet	報刊
arabski	阿拉伯
arabski	阿拉伯文
arabski	阿拉伯語
lin	lin
lin	林
leslie	leslie
singles	單曲
singles	單打
naprzeciw	對面
procesor	處理器
procesor	cpu
garcia	加西亞
garcia	加西亞
garcia	garcía
cmentarze	公墓
bach	巴赫
bird	伯德
bird	鳥
pokolenie	一代
pokolenie	世代
pokolenie	一代
pokolenie	世代
uzbrojony	武裝
gun	槍支
gun	槍
gun	炮
przybywa	抵達
samantha	samantha
wydać	花費
brody	鬍鬚
brody	brody
spożywczy	雜貨
zimy	winter
zimy	冬
zimy	冬季
zimy	冬天
six	六
six	六個
poziomy	橫向
poziomy	水平
poziomy	關卡
wyrażenie	片語
wyrażenie	表達
wyrażenie	表情
legion	軍團
męczennika	烈士
męczennika	殉難者
ustalenie	決心
wyjazd	退出
wyjazd	出境
wyjazd	出口
wyjazd	出境
wyjazd	離境
wyjazd	旅行
wyjazd	行程
chana	陳
chana	燦
discovery	發現
discovery	探索
rozdzielczości	決議
dekady	幾十年
dekady	十年
zmniejszenia	減少
pełen	飽
pełen	完整
pełen	滿
wodoru	氫氣
wodoru	氫
weekend	週末
mika	mike
mika	雲母
mika	mica
niebezpieczne	危險
niebezpieczne	危險性
otoczenie	環境
restauracja	飯店
restauracja	餐廳
restauracja	餐館
wizji	幻象
wizji	願景
wizji	視覺
wizji	願景
wizji	視野
wizji	展望
bojowników	戰鬥機
bojowników	鬥士
afganistanie	阿富汗
owen	owen
owen	歐文
odznakę	徽章
odznakę	警徽
southern	南方
southern	南部
luksemburg	盧森堡
zmieniony	修改
podrząd	suborder
nachylenie	坡
nachylenie	斜坡
zbawiciela	救星
zbawiciela	救世主
uczestniczyć	參加
galerie	畫廊
beat	節拍
kończyny	肢
kończyny	肢體
kończyny	四肢
kończyny	肢
bonn	波恩
mile	mile
mile	萬里
mile	miles
mile	英里
obywatela	市民
obywatela	公民
wyraźne	明示
wyraźne	明文
pancernik	戰艦
komiks	漫畫
komiks	漫畫
mass	質量
mass	彌撒
cząstki	顆粒
cząstki	粒子
cząstki	微粒
cząstki	顆粒
cząstki	粒子
cząstki	微粒
wystrój	裝飾
drogowy	公路
drogowy	道路
drogowy	路
morderstwo	謀殺
morderstwo	謀殺案
morderstwo	謀殺罪
otrzymaniu	收據
hipoteza	假設
hipoteza	假說
rywala	對手
zwykłe	普通
zwykłe	平凡
ocr	ocr
libanu	黎巴嫩
knowles	knowles
zabójstwa	凶案
zabójstwa	凶殺案
zabójstwa	暗殺
zabójstwa	刺殺
wszechświata	宇宙
religijny	宗教
dunaju	多瑙河
przydział	撥款
przydział	分配
przydział	委派
przydział	指派
przydział	任務
przydział	轉讓
konstantin	konstantin
temple	神廟
temple	寺
temple	寺廟
temple	廟
temple	聖殿
zastąpione	取代
ogrodów	花園
ogłoszenia	廣告
ogłoszenia	廣告
schneider	schneider
wiarygodne	可信
wiarygodne	可靠
twierdząc	聲稱
echo	回聲
echo	回音
zwyczaj	習慣
zwyczaj	定制
zwyczaj	自訂
bogaty	富人
bogaty	富
bogaty	豐富
bogaty	富有
bogaty	富裕
bogaty	富有
producenci	製片人
producenci	製造商
championships	錦標賽
pierwotnych	漸進
pierwotnych	遞增
pierwotnych	增量
gnu	gnu
enrique	enrique
mechanizmu	機制
mieszanej	混合
knight	騎士
promocja	推廣
promocja	促銷
promocja	晉升
promocja	推廣
promocja	促銷
promocja	晉升
regiony	區域
regiony	區域
malezji	馬來西亞
schody	步驟
schody	樓梯
schody	階梯
schody	樓梯
aktorką	女主角
aktorką	女演員
aktorką	演員
fundusz	基金
przedziale	隔間
przedziale	車廂
przedziale	包廂
paulina	paulina
muzułmanów	穆斯林
julio	julio
flagę	旗幟
flagę	國旗
flagę	旗
flagę	旗子
maraton	馬拉松
jedynki	單曲
jedynki	單打
buntu	叛亂
buntu	叛變
buntu	叛亂
buntu	叛逆
buntu	反叛
wniosków	申請
wniosków	申請書
grunty	陸地
grunty	土地
asyst	助攻
synonimy	同義詞
synonimy	同義字
mechanik	技工
malta	馬耳他
ssaki	哺乳動物
ssaki	哺乳動物
prośba	請求
prośba	要求
arabów	阿拉伯人
absolutnie	絕對
rozumieniu	含義
jakiekolwiek	任何
podstawa	基金會
podstawa	基地
podstawa	基礎
podstawa	基數
podstawa	基礎
podstawa	依據
dojrzałości	成熟
dojrzałości	到期
claire	claire
cezara	凱撒
wino	酒
wino	葡萄酒
uzupełnienie	補充
uzupełnienie	補
uzupełnienie	補充
uzupełnienie	輔助
uzupełnienie	補充
prezentacja	介紹
uczestnictwa	參與
wierni	信士
wierni	信徒
wierni	忠誠
wierni	忠實
etapy	階段
etapy	步驟
etapy	里程碑
warsztat	車庫
warsztat	研討會
księża	祭司
wychowanie	培育
wychowanie	撫養
wychowanie	培養
wychowanie	養育
wychowanie	教養
wychowanie	撫育
geograficznego	地理
czeka	等候
czeka	等待
pavel	pavel
dziedzictwo	傳承
dziedzictwo	遺贈
dziedzictwo	遺留
dziedzictwo	遺產
dziedzictwo	繼承權
dziedzictwo	繼承
dziedzictwo	遺產
dziedzictwo	遺產
okręgi	圈
okręgi	圈子
okręgi	圓圈
okręgi	各區
okręgi	各地區
okręgi	各州
okręgi	各縣
prawdziwy	real
prawdziwy	真實
jesse	jesse
discogs	discogs
cieczy	液體
zegar	計時器
zegar	鐘
zegar	鍾
zegar	時鐘
singh	singh
górnictwa	採礦業
górnictwa	礦業
górnictwa	採礦
plata	plata
ramy	幀
ramy	框架
ramy	框
ramy	框架
ramy	幀
ramy	框框
ramy	框架
ramy	框
uratować	救助
uratować	搶救
uratować	打撈
uratować	營救
uratować	救援
uratować	拯救
mason	梅森
mason	mason
podwójny	雙
podwójny	雙重
podwójny	雙倍
podwójny	加倍
komputery	電子計算機
komputery	計算機
komputery	電腦
komputery	計算機
komputery	電腦
arch	拱
arch	拱門
psychologia	心理
psychologia	心理學
transferu	轉帳
transferu	轉讓
transferu	轉移
flet	笛
flet	笛子
atrakcje	景點
atrakcje	景點
atrakcje	吸引力
atrakcje	吸引
doc	doc
theodor	theodor
szkocja	蘇格蘭
federalnej	聯邦
trzęsienie	地震
lepsza	更好
dateformat	dateformat
rdzenia	核心
rdzenia	core
torres	torres
aktywne	積極
aktywne	活躍
rfc	rfc
smaku	味道
smaku	味覺
smaku	品味
irina	irina
konstytucję	憲法
kroki	腳步聲
kroki	腳步
kroki	步驟
ellen	ellen
czytania	閱讀
czytania	讀書
czytania	讀取
czytania	讀
ręczna	手冊
ręczna	手動
hale	hale
aktorzy	演員
brzmienie	措辭
brzmienie	措詞
żołądka	胃
żołądka	胃
żołądka	肚子
chłopcy	男生
chłopcy	男孩
cenne	珍貴
cenne	珍寶
cenne	寶貴
cenne	寶貴
przekonanie	判罪
przekonanie	信念
przekonanie	定罪
amatorów	業餘
rolników	農民
rolników	農夫
price	價
price	price
price	價錢
price	價格
obozy	營地
obozy	露營
obozy	難民營
obozy	營
obozy	營地
sapporo	札幌
kuchnia	飲食
kuchnia	料理
kuchnia	美食
kuchnia	菜
kuchnia	廚房
sachsen	sachsen
chang	chang
chang	張
religijna	宗教
mysz	滑鼠
mysz	鼠
tysiąc	千
powraca	返回
medycyna	藥品
medycyna	藥物
medycyna	醫學
medycyna	藥
medycyna	醫藥
planuje	計劃
serbia	塞爾維亞
federico	federico
podmiotów	實體
oddaje	捕捉
oddaje	捕獲
christina	christina
kiedykolwiek	每當
magii	魔神
magii	魔法
magii	魔術
magii	神奇
magii	魔力
potwierdzone	確認
włosów	頭髮
włosów	毛髮
włosów	髮型
włosów	發
podkreśla	突顯
ramię	肩
ramię	肩膀
ramię	手臂
ramię	臂
ramię	胳膊
key	鑰匙
key	鍵
key	key
key	關鍵
touring	巡演
afganistanu	阿富汗
przywrócenie	還原
przywrócenie	恢復
przywrócenie	修復
przywrócenie	恢復
przywrócenie	復原
przywrócenie	復職
gene	gene
gene	基因
ślubów	婚禮
składniki	元素
składniki	成分
składniki	原料
składniki	成份
randy	randy
kuli	球體
alignbars	alignbars
wyrzutnie	發射器
włókna	纖維
włókna	纖維
włókna	纖維
ucieczka	越獄
ucieczka	逃離
medina	medina
javier	javier
marty	marty
profesjonalny	專業
viktor	viktor
kinga	國王
kinga	king
kinga	王
relikwie	遺跡
relikwie	文物
przedłużenie	延伸
przedłużenie	擴展
przedłużenie	延長
przedłużenie	延期
jakkolwiek	然而
blokada	路障
blokada	封鎖
martwe	死
radar	雷達
budowle	結構
zbrodnia	屠殺
zbrodnia	大屠殺
zbrodnia	犯罪
suzuki	鈴木
poziomów	關卡
przekonania	定罪
przekonania	判罪
przekonania	信仰
zmiennej	變數
zmiennej	可變
duke	公爵
świątynie	廟宇
świątynie	寺廟
świątynie	神廟
świątynie	寺
świątynie	寺廟
świątynie	廟
świątynie	聖殿
porty	港口
identyczne	相同
chemia	化學品
chemia	化學
oglądać	觀看
poważny	認真
poważny	嚴重
poważny	嚴肅
mieszany	混合
półkuli	半球
pokarmowego	腸胃
specjalności	專科
specjalności	專長
specjalności	專長
specjalności	特殊性
orientacji	方向
orientacji	定向
winy	罪惡感
winy	內疚
winy	愧疚
owiec	羊
owiec	綿羊
słaby	弱
słaby	虛弱
słaby	弱者
słaby	軟弱
słaby	薄弱
kompilacja	編譯
spore	孢子
cook	做飯
cook	煮
cook	廚師
františek	františek
integracja	融合
integracja	整合
integracja	包容
integracja	包容性
mechanizmy	機制
mechanizmy	機制
vista	vista
lekka	光線
lekka	光
lekka	燈光
lekka	輕
lekka	光明
życzenie	願望
życzenie	祝願
jonów	離子
eksperyment	試驗
eksperyment	實驗
ofertę	優惠
jedność	統一
jedność	團結
dziewiąty	第九
pisarze	作家
pisarze	作者
konsekwentnie	始終如一
rywalizacja	競爭
rywalizacja	競賽
rywalizacja	競爭
rywalizacja	對立
archeolog	考古學家
wydawanie	花費
christoph	christoph
pogody	天氣
pogody	氣象
patricia	patricia
bractwo	聯誼會
bractwo	友愛
bractwo	互助會
bractwo	博愛
bractwo	義氣
antonina	antonina
wrota	門
wrota	大門
monografii	專論
przekazane	提交
odpowiadają	對應
obecni	現任
suchy	乾燥
suchy	乾
folk	民謠
folk	民間
folk	民俗
hit	命中
balet	芭蕾
balet	芭蕾舞
szeroka	廣
szeroka	寬
szeroka	廣義
szeroka	廣
szeroka	寬
krosno	織機
najszybsze	最快
edge	邊緣
lynn	琳
gospodarzem	主辦
mechanizmów	機制
storm	暴風
storm	風暴
storm	暴風雨
lance	lance
lance	長矛
przywileje	特權
przywileje	特權
bajki	寓言
postępu	進步
postępu	進度
rezygnację	辭職
autorstwo	著作權
dystans	距離
potwierdzenia	確認
potwierdzenia	證實
klatki	籠
klatki	籠子
klatki	籠子
francesca	francesca
genów	基因
cywilne	民事
derek	derek
absolutna	絕對
absolutna	絕對值
miejscowy	當地
miejscowy	局部
miejscowy	本地
wei	韋
wei	魏
świetnie	棒
świetnie	偉大
rondo	回旋曲
sondy	探測
sondy	探測器
sondy	探測器
roczniki	年鑒
rozległe	廣泛
springs	彈簧
interpretacja	口譯
zabójstwo	凶案
zabójstwo	凶殺案
zabójstwo	暗殺
zabójstwo	刺殺
zabójstwo	謀殺
zabójstwo	謀殺案
zabójstwo	謀殺罪
zabójstwo	殺戮
zabójstwo	殺害
równy	平等
rzadki	稀有
rzadki	難得
rzadki	罕見
podpisania	簽約
podpisania	簽署
hearts	心
hearts	紅心
falls	瀑布
obywatelskiego	民事
zakazu	禁止
zakazu	禁止
medyczny	醫療
medyczny	醫務
medyczny	醫學
wspólna	關節
wspólna	聯合
grzyby	香菇
grzyby	蘑菇
grzyby	真菌
grzyby	真菌
grzyby	香菇
grzyby	蘑菇
case	案例
case	個案
case	案件
chrześcijański	基督教
chrześcijański	基督徒
evil	惡
evil	邪惡
edwin	edwin
grecka	希臘文
grecka	希臘
nerek	腎
nerek	腎臟
nerek	腎
kartę	卡
kartę	名片
kartę	紙牌
kartę	卡片
likwidacja	退役
likwidacja	清算
speed	速度
speed	速
transfer	轉帳
transfer	轉讓
transfer	轉移
domena	藩
domena	網域
domena	域
gamma	gamma
gamma	伽瑪
kupców	商人
kupców	商家
mięsień	肌
mięsień	肌肉
uniwersytetów	大學
twoim	你的
menedżer	管理者
menedżer	經理人
menedżer	經理
witryna	網站
witryna	工地
malty	馬耳他
village	村
village	鄉村
village	村莊
village	村落
village	村子
cev	cev
kenii	肯亞
blokadę	路障
norma	規範
norma	標準
sterowanie	控制權
sterowanie	控制
sterowanie	控制
sterowanie	管制
terminal	終點站
terminal	終端
terminal	終端機
łatwe	容易
łatwe	輕鬆
łatwe	簡單
mieszkanie	平面
mieszkanie	平
mieszkanie	公寓
ryba	魚類
ryba	魚
ryba	魚兒
wyzwolenie	解放
wyzwolenie	解脫
pochodne	衍生物
pochodne	衍生
dziedzina	欄位
dziedzina	藩
dziedzina	網域
dziedzina	域
delhi	德里
niedźwiedź	熊
wał	軸
ułożone	堆疊
klienta	客戶
klienta	顧客
klienta	客戶
gmbh	gmbh
odwołanie	上訴
odwołanie	呼籲
jin	金
jin	晉
jin	仁
jin	jin
grobów	墳墓
grobów	墓穴
rozrywki	娛樂
użyteczności	實用
użyteczności	效用
użyteczności	實用性
pomiary	測量
pomiary	衡量
pomiary	計量
pomiary	量度
pomiary	測量
pomiary	計量
pomiary	測量
pomiary	計量
pomiary	衡量
pomiary	度量
emocji	情感
emocji	感情
emocji	情緒
emocji	情感
emocji	感情
emocji	情緒
azja	亞洲
śledztwa	調查
kolumn	欄
szachy	象棋
szachy	棋
szachy	西洋棋
ekonomiczny	經濟
ekonomiczny	經濟學
ekonomiczny	經濟
miary	措施
miary	測量
miary	度量
miary	計量
miary	衡量
miary	量度
zainteresowanych	興趣
zainteresowanych	感興趣
groby	墓葬
groby	墳墓
groby	墓穴
umiejętność	技藝
umiejętność	技巧
umiejętność	技能
umiejętność	能力
zmarli	逝者
zmarli	已故
końcowe	決賽
tenis	網球
oferty	優惠
oferty	投標
oferty	優惠
quebec	魁北克
wiecznego	永恆
błogosławieni	祝福
błogosławieni	有福
gałęzie	分行
gałęzie	樹枝
gałęzie	分支
dźwięki	聲音
dźwięki	音效
zarejestrowanych	註冊
korzystanie	用法
korzystanie	用量
korzystanie	使用
wczoraj	昨天
wczoraj	昨日
tezy	命題
tezy	論文
wspieranie	支援
zmienne	變數
zmienne	可變
zmienne	變數
zaufanie	信心
zaufanie	自信
zaufanie	信任
zaufanie	信託
dekoracji	裝飾
dekoracji	裝飾
dekoracji	裝潢
krytycy	評論家
krytycy	批評家
jenny	珍妮
jenny	jenny
śmigłowców	直升機
śmigłowców	直升飛機
gwałtownie	翱翔
poświęcenia	奉獻
poświęcenia	犧牲
pływanie	游泳
pływanie	游
pau	pau
biografie	傳記
rex	rex
wołodymyr	volodymyr
meczet	清真寺
saturn	土星
bakterie	細菌
bakterie	病菌
bakterie	細菌
podróżnych	旅客
kontrowersji	爭論
kontrowersji	爭議
odwołania	上訴
odwołania	呼籲
odwołania	上訴
odwołania	呼籲
karny	罰
karny	懲罰
karny	處罰
karny	刑罰
smitha	smith
smitha	史密斯
normalna	常態
normalna	正常
gibson	gibson
elity	精英
elity	elite
cień	影
cień	影子
cień	陰影
cień	影
cień	影子
cień	陰影
cień	暗影
cień	陰影
amor	amor
medium	靈媒
medium	通靈
automatyczne	自動
automatyczne	自動
interesy	企業
interesy	業務
interesy	商業
interesy	商務
jedenaście	十一
jedenaście	eleven
odbiorców	收件人
odbiorców	觀眾
koncepcje	想法
koncepcje	概念
koncepcje	理念
narkotyków	藥物
uczony	科學家
uczony	學人
uczony	狀元
uczony	學者
alpejskie	阿爾卑斯
spring	春
spring	春秋
spring	春天
spring	彈簧
spring	春季
pal	pal
pal	煙
pal	吸煙
pal	煙霧
roczna	每年
skale	天平
skale	尺度
skale	秤
negocjacje	談判
negocjacje	談判
negocjacje	談判
opcja	選項
kręgów	椎骨
późno	晚
późno	遲到
późno	遲
bruksela	布魯塞爾
angela	angela
prowincje	省份
prowincje	各省
pawilon	館
pawilon	pavilion
wzmocnienia	加強
wzmocnienia	加固
wzmocnienia	強化
wzmocnienia	增援
wzmocnienia	加強
obawy	關切
wapnia	鈣
eine	eine
parking	停車位
parking	停車場
wyróżnieniem	榮譽
bella	貝拉
szczerze	真誠
słuchaczy	聽眾
ban	禁止
transkrypcji	轉錄
władzom	當局
rozporządzenia	條例
rozporządzenia	條例
hunt	獵
hunt	hunt
hunt	狩獵
rap	饒舌
rap	說唱
wiecznie	永遠
klan	氏族
klan	部族
klan	氏
niebezpieczeństwo	危險
niebezpieczeństwo	危險性
atomów	原子
tang	唐
elektroniczne	電子
wyprodukowane	製造
cape	角
kill	殺
saudyjskiej	沙特
ciężka	重
ciężka	重型
ciężka	沈重
recenzja	審查
narządów	器官
narządów	風琴
kąty	角度
kąty	盎格魯
tył	後方
holmes	福爾摩斯
osłony	盾牌
osłony	盾牌
komunistyczna	共產主義
stawki	速率
stawki	評分
stawki	率
stawki	利率
stawki	利害關係
trudna	困難
trudna	難
trudna	艱難
kid	小孩
betty	betty
latarnia	燈塔
latarnia	燈籠
player	球員
player	玩家
espn	espn
smok	龍
smok	神龍
banków	銀行
ricky	ricky
napisano	書寫
napisano	撰寫
opactwo	修道院
dyscyplina	紀律
dyscyplina	紀律處分
chi	志
sytuacje	情況
konsekwencje	後果
konsekwencje	後果
guido	guido
earl	earl
ballada	民謠
szkody	損傷
szkody	損傷
szkody	損壞
szkody	損害
szkody	損壞
szkody	損害賠償
eye	眼
eye	眼睛
poniedziałek	週一
poniedziałek	星期一
pochówku	喪葬
pochówku	葬
pochówku	埋葬
zakopane	埋
zakopane	埋葬
oddania	捐獻
oddania	捐贈
oddania	捐款
oddania	捐
oddania	奉獻
flash	閃光
flash	閃光燈
flash	flash
flash	閃
flash	閃電俠
biblijne	聖經
honorowe	名譽
honorowe	可敬
court	法庭
court	法院
potomkowie	後裔
potomkowie	後代
chronione	保護
una	una
organizm	有機體
organizm	機體
wieczór	晚間
wieczór	晚上
wieczór	傍晚
nos	鼻
nos	鼻子
żądanie	請求
żądanie	要求
żądanie	需求
żądanie	需求量
żądanie	要求
txt	txt
transformacji	轉換
transformacji	變換
transformacji	轉化
transformacji	轉型
transformacji	轉變
transformacji	變形
dawn	dawn
dawn	拂曉
dawn	黎明
dawn	天亮
dywizje	師團
sven	斯文
nabój	子彈
nabój	彈頭
warianty	變體
warianty	變異
wydajność	績效
wydajność	業績
wydajność	生產力
wydajność	效率
nosa	鼻音
nosa	鼻
nosa	鼻子
kenny	kenny
pozwolenie	授權
pozwolenie	允許
pozwolenie	許可
pozwolenie	許可
pozwolenie	許可證
bennett	bennett
jądrowej	核
jądrowej	核子
negocjacji	談判
negocjacji	談判
negocjacji	談判
personel	人員
personel	人事
licznik	櫃台
licznik	公尺
ibrahim	ibrahim
psychiatra	收縮
psychiatra	縮小
czasowo	暫時
