暴君	ظالم
ケチ	ممسک
ケチ	حریص.
ケチ	ممسک
ケチ	بخیل
ヤナギ	بید
異教徒	گمراہ
疼痛	چوٹ
疼痛	کرب
疼痛	کوشش
疼痛	اندوہ.
テンダー	معذرت
テンダー	گداز
テンダー	خیال
テンダー	بودا
テンダー	ٹینڈر
テンダー	پیشکش
テンダー	رکھوالا
テンダー	مانوس
テンダー	کچّی
テンダー	کمزور.
テンダー	نگراں.
テンダー	معذرت
テンダー	گداز
テンダー	خیال
テンダー	بودا
テンダー	ٹینڈر
テンダー	نازک
テンダー	پیشکش
テンダー	رکھوالا
テンダー	مانوس
テンダー	کچّی
テンダー	کمزور.
テンダー	نگراں.
クラッカー	سڑی.
クラッカー	غریب
クラッカー	بسکٹ.
水平線	تجربے
スラスター	دافع
抱擁	اپنانا
抱擁	پکڑنا
抱擁	معانقہ
ツタ	لبلاب
摩耗	off
摩耗	رگڑجانا.
摩耗	اوڑھنا
摩耗	away
摩耗	(بعدہ
摩耗	well
摩耗	اجیرن
摩耗	پہناوا
摩耗	off
摩耗	رگڑجانا.
摩耗	اوڑھنا
摩耗	away
摩耗	(بعدہ
摩耗	well
摩耗	اجیرن
摩耗	پہناوا
摩耗	پہننا
日焼け	سنولایا
日焼け	سانولا.
朱色	گلابی.
朱色	شنگرفی.
朱色	شنگرفی
品物	شے
ブローカー	بچولیا-
ブローカー	دلال
ブローカー	گماشتہ
オクターヴ	اٹھوا
オクターヴ	مثمن.
いす	کرسی
アーミー	تنظیم
スプリット	over
スプリット	جھری
スプリット	تنکا.
スプリット	درز
スプリット	away
スプリット	انشقاق.
雲母	ابرق
質屋	مرتہن.
変人	اولو
変人	خبطی
無音	معلومات
無音	خاموش
無音	معلومات
無音	رازداری
無音	بھول.
無音	نسیان
無音	سنّاٹا.
無音	رازداری
無音	بھول.
無音	خاموشی
無音	نسیان
無音	سنّاٹا.
バケツ	بالٹی.
電磁気	برقناطیسیت
六角形	مسدس
フール	احمقانہ
フール	بدّھو
フール	مسخرا
フール	چھیڑنا
フール	احمق
フール	احمقانہ
フール	بدّھو
フール	مسخرا
フール	چھیڑنا
修辞	پُرتکلف
おかあさん	جننا
おかあさん	پالنا
おかあさん	سبب
スウィング	جھولنے
スウィング	سُبک
スウィング	لچک
スウィング	لٹکنے
スウィング	رواں
スウィング	جھلانا
スウィング	جھونک
スウィング	لپک.
スウィング	جھولنا
おじいさん	جد.
バケーション	چھٹی.
バケーション	منانا.
バケーション	تعطیلات
ジャスパー	یشب.
ジャスパー	یشم
盗作	خیال
盗作	انتحال
恭順	ادب.
恭順	لحاظ
サージ	جذبہ
サージ	(طناب
グレープフルーツ	چکوترا.
絞首刑	معلق
絞首刑	آویزاں
モンスーン	برشگال.
ラージャ	تعلقدار
ラージャ	جاگیردار.
ラージャ	رئیس
引っ張る	پٹانا
引っ張る	پہنچ.
引っ張る	کشش.
引っ張る	روکنے
引っ張る	کسالا
引っ張る	چلنا
引っ張る	محنت
オシャレ	نفیس.
オシャレ	مروّجہ
弁証法	جدلیت
対角線	اُریبی
対角線	آڑا
対角線	اُریبی
対角線	وتر
対角線	آڑا
暗記	یادکرنا
スタンバイ	مستعدی
醜い	بیہودہ
醜い	گھنائونا
醜い	کریہہ
醜い	ڈرائونا
醜い	صورت
醜い	واہیات
醜い	خطرناک
醜い	خوفناک
醜い	زشت
醜い	بھیانک
醜い	بھدّا
醜い	بیہودہ
醜い	گھنائونا
醜い	کریہہ
醜い	ڈرائونا
醜い	صورت
醜い	واہیات
醜い	خطرناک
醜い	بدنما
醜い	خوفناک
醜い	زشت
醜い	بھیانک
醜い	بھدّا
温かい	(رنگ
温かい	تاؤ
温かい	مخلصانہ-
温かい	عاشقانہ
温かい	ادماتا.
温かい	گلابی
温かい	عمل
温かい	سخت-
温かい	دوستانہ
温かい	دشوار
温かい	گرم
温かい	(رنگ
温かい	تاؤ
温かい	مخلصانہ-
温かい	عاشقانہ
温かい	ادماتا.
温かい	گلابی
温かい	عمل
温かい	سخت-
温かい	دوستانہ
温かい	دشوار
償却	تخفیف
償却	تخفیف
償却	گھٹاؤ
甘え	آسرا
甘え	تکیہ
甘え	بھروسا
甘え	محتاجی.
甘え	اعتماد
バイオレット	بنفشیٔ.
フィックス	باندھنا
フィックス	ٹانگنا
フィックス	شکنجہ
フィックス	ٹھونکنا
フィックス	رشوت.
フィックス	باندھنا
フィックス	ٹانگنا
フィックス	ٹھہرانا
フィックス	شکنجہ
フィックス	ٹھونکنا
フィックス	جمانا
フィックス	رشوت.
時制	کشیدہ.
時制	تنت
時制	تاننا
ジャコウ	مُشک
テクスチャ	استعارات
テクスチャ	بُناوٹ
テクスチャ	استعارات
抒情	سُریلا
調製	تیاری
調製	آمادگی
調製	مستعدی.
角膜	قرنیہ.
カエデ	افرا
カエデ	سیب
カエデ	اسفندان
カエデ	رونق
神童	اعجوبہ
賢い	مُستعد
賢い	پُھرتیلا
賢い	ذہین.
賢い	ہنرمند
賢い	مُستعد
賢い	پُھرتیلا
賢い	ہوشیار
賢い	ذہین.
賢い	تیز
賢い	چالاک
賢い	ہنرمند
賢い	ممتاز.
賢い	تیزی
賢い	درست
賢い	ہوشیار
賢い	پھرتیلا.
賢い	پھرتی
賢い	طرار
賢い	وضعدار
賢い	تیز
賢い	خلش.
賢い	عیار
賢い	طرحدار
賢い	زوردار.
背広	پان
背広	لائق
背広	(بعدہ
背広	ڈھالنا
検問	معائنہ
検問	جانچ
検問	جائزہ
空欄	بالکل
空欄	یکسر
空欄	چھپادینا
レイジ	جنگ
レイジ	برسنا
レイジ	against
レイジ	شاعرانہ
レイジ	گرجنا
レイジ	(بعدہ
レイジ	طیش
パドック	میدان
ローグ	لچّا.
ローグ	وحشی
酸味	تیزابیت
取消し	تنسیخ
取消し	رد
取消し	تنسیخ
取消し	رد
リネン	قمیص
スフィンクス	ببون
スフィンクス	عجیب
ディベート	بحث
スコッチ	پالا.
スコッチ	کچوکنا.
スコッチ	چرکا.
スコッチ	اڑنگا.
スコッチ	گھائو
横長	پھیلواں
感嘆	توصیف
感嘆	تعریف
感嘆	توصیف
苦い	کڑوا
苦い	کڑوا
苦い	تلخ
オーバーラン	ابلنا
オーバーラン	مصارف
オーバーラン	وسعت.
オーバーラン	(وقت
爽やか	مخلصانہ-
爽やか	حوصلہ
爽やか	جانفرا.
爽やか	مفرح
爽やか	مقوی
爽やか	طبیعت
爽やか	تازہ
乗算	بڑھوتری.
乗算	افزونی
乗算	ازدیاد
トライアンフ	جیت
マクシム	اصول
マクシム	کلّیہ
庭師	مالی.
庭師	مالی.
庭師	باغبان
ユニゾン	اتفاق
ユニゾン	سنگیت
インタプリタ	ترجمان
ムーディ	اُداس
ムーディ	برہمی
ムーディ	بیزاری.
デンプン	نشاستہ
近況	رسوخ
近況	رسائی.
近況	عامی
近況	تعلقات
近況	بدیسی
近況	مرتبہ
近況	رسوخ
近況	رسائی.
近況	عامی
近況	تعلقات
近況	بدیسی
近況	درجہ
溶ける	اتحاد
溶ける	گھلنا.
溶ける	اُڑجانا
溶ける	پگھلانا.
溶ける	جذبات
溶ける	دھیما
クルミ	اخروٹ.
トリル	لرزتی
トリル	خریر.
フィラメント	(ہوا
フィラメント	فتیلہ
フィラメント	رشتک
愛妻	۲.
メートル法	میڑی.
エンペラー	شہنشاہ
浮力	چونچالی.
浮力	تیرنے
浮力	لچک
浮力	چونچالی.
浮力	تیرنے
減圧	ردّفشار
ミディアム	اوسط
ミディアム	گماشتہ.
ミディアム	ترسیل.
ミディアム	درمیانی
ミディアム	عامل.
ミディアム	وسطی
ミディアム	قسم
ミディアム	افزائش
ミディアム	اوسط
ミディアム	گماشتہ.
ミディアム	ترسیل.
ミディアム	درمیانی
ミディアム	عامل.
ミディアム	واسطہ
ミディアム	وسیلہ
ミディアム	وسطی
ミディアム	قسم
ミディアム	افزائش
クラスタ	جھنڈ
クラスタ	اکٹھا
クラスタ	دَل
クラスタ	پرا
クラスタ	غول
クラスタ	جمگھٹا
クラスタ	یکجا
クラスタ	جھنڈ
クラスタ	اکٹھا
クラスタ	دَل
クラスタ	پرا
クラスタ	خوشہ
クラスタ	غول
クラスタ	جمگھٹا
クラスタ	یکجا
アンジェリカ	انجلیق.
締める	چُننا.
締める	(قبلon
締める	باندھنا
締める	نام
日課	روایتی
日課	معیاری
日課	رقص
日課	ڈرامہ
ファウンデーション	سطح
ファウンデーション	زمین.
逆境	ابتلا.
逆境	مصیبت
オモチャ	مثل
オモチャ	نمونہ
オモチャ	شبیہہ
ウィザードリィ	ساحری
インスパイア	سمجھانا
インスパイア	الہام
インスパイア	اکسانا
インスパイア	اصول
インスパイア	شخص
インスパイア	وحی
インスパイア	نزول
インスパイア	سماوی.
インスパイア	القا
取り消す	مٹانا
取り消す	منسوخی
取り消す	تنسیخ.
取り消す	بٹن
諸王	شُوکرنا.
寂しい	مہجور
寂しい	سونی
寂しい	غمگین.
寂しい	مہجور
寂しい	اکیلا
寂しい	سونی
寂しい	غمگین.
傍聴	موجودگی.
傍聴	حاضری
傍聴	مشاہدہ
傍聴	تبصرہ
傍聴	ادراک
お腹	پیٹ
お腹	abomasum)
お腹	تکرار
お腹	omasum
お腹	reticulum
お腹	سہنا
お腹	خطرے
お腹	ولولہ
品格	سُبھاؤ
品格	تکریم
品格	قدر
品格	سُبھاؤ
品格	تکریم
グー	جذباتیت.
股関節	باخبر.
股関節	کولھا
股関節	سُرین
股関節	پٹّھا
鎖骨	ہنسلی
ビヨンド	متجاوز.
ビヨンド	حدود
ビヨンド	مار
旱魃	تشنگی
旱魃	خشکی.
旱魃	سوکھا.
旱魃	یبوست
血栓	(clotted
ポートレート	خاکہ
グロテスク	بدہیئت
グロテスク	بدوضع
グロテスク	مکروہ
グロテスク	مصنوعی
グロテスク	بھونڈا
脳波	electroencephalogram
不機嫌	جھلّا
不機嫌	چِڑچڑا
ホルト	قبضہ
ホルト	پکڑ.
ホルト	گرفت
セオリー	نظریہ
スピリチュアル	شائستہ
スピリチュアル	حسّاس
スピリチュアル	وہبی.
スピリチュアル	قلبی
スピリチュアル	مذہبی
スピリチュアル	مقدّس
ブッチャー	خونخوار
ブッチャー	کاٹنا
ブッチャー	ظالم.
梱包	باندھنے
梱包	لپیٹنے
おばあさん	جدّہ
人殺し	قاتل
人殺し	خونی
免職	موقوفی
免職	برخاستگی
免職	موقوفی
ビーグル	کھوجی
ビーグル	مخبر
避妊	بنجھوئی.
麦芽	شعیرہ.
ダガー	نکیلا
ダガー	طباعت
カボチャ	گول
バナー	نمایاں
放蕩	مُسرف
放蕩	عیاشی
天ぷら	مچھلی
僧院	صوفیوں
僧院	صومعہ.
僧院	آشرم
トレック	چلنا
主務	(جج
主務	مجاز
主務	(جج
主務	لائق
主務	مجاز
めまい	چّکر
めまい	گھمیری
めまい	چکّر.
ベケット	خانہ
ベケット	چرخیوں
バインダー	جمانے
バインダー	طبلق.
視床	مبدعصب
視床	عرشہ.
アカシア	ببول
ヴィジョン	بینائی
ヴィジョン	بینائی
ヴィジョン	نظر
スムース	(نقشے
スムース	over
スムース	متوازن.
スムース	یکساں
スムース	یکسار
スムース	جھرّیوں
スムース	معتدل
スムース	down
スムース	دھچکے
スムース	چکنا.
スムース	مؤدب
スムース	(نقشے
スムース	over
スムース	متوازن.
スムース	یکساں
スムース	یکسار
スムース	جھرّیوں
スムース	معتدل
スムース	down
スムース	ہموار
スムース	دھچکے
スムース	چکنا.
スムース	مؤدب
コラージュ	تصاویر)
タンデム	تپّیا.
震え	تّھراہٹ
震え	رعشہ.
震え	تھرتھری
震え	لرزہ
震え	پھریری
震え	لرزنا.
震え	تّھراہٹ
震え	رعشہ.
震え	کپکپانا
震え	تھرتھری
震え	لرزہ
震え	پھریری
震え	لرزنا.
震え	کانپنا
スコーピオン	بچھو
神経質	بزدل
神経質	ہراساں
神経質	پریشان.
神経質	حسّاس
神経質	ڈھلمل
ベーブ	معصوم
眉毛	ابرو
眉毛	بھوں.
見積もり	حجم
見積もり	حجم
見積もり	اندازہ
見積もり	تخمینہ
ルシファー	شیطان.
漆喰	چونے
漆喰	دیواروں
漆喰	ضماد.
セキレイ	ممولا
可愛らしい	مستحسن.
可愛らしい	پسندیدہ.
可愛らしい	بمرغوب
威厳	سُبھاؤ
威厳	تکریم
威厳	قدر
威厳	سُبھاؤ
威厳	تکریم
洗う	دھلائی
洗う	تھپیٹرنا.
洗う	(سمندر
洗う	out
洗う	نہانا.
洗う	ترکرنا
洗う	بھگونا
洗う	پھوار
洗う	دھلاوا
洗う	لادی.
洗う	نہلانا-
洗う	دھلائی
洗う	تھپیٹرنا.
洗う	(سمندر
洗う	دھونا
洗う	out
洗う	نہانا.
洗う	ترکرنا
洗う	بھگونا
洗う	پھوار
洗う	دھلاوا
洗う	لادی.
洗う	نہلانا-
ディケンズ	what
貸す	اجارہ
貸す	پٹّے
カウンタ	برعکس
カウンタ	جواب-
カウンタ	متضاد
カウンタ	اُلٹا
カウンタ	ضد
カウンタ	مخالف
カウンタ	خلاف
ムッシュ	سر
ムッシュ	مسٹر
フェイク	دھوکا
フェイク	غیراصلی.
フェイク	نقالی
フェイク	تقلّب.
フェイク	کھوٹا
フェイク	نقلی
フェイク	جعل
フェイク	جعلی
ひねり	مڑنا
ひねり	گھماؤ.
ひねり	توڑنے
ひねり	(بعدہ
ひねり	عجیب
ひねり	بُننا.
ひねり	لپٹی
ひねり	چکرانا.
ひねり	مروڑنا.
ひねり	مڑنا
ひねり	گھماؤ.
ひねり	توڑنے
ひねり	(بعدہ
ひねり	عجیب
ひねり	بُننا.
ひねり	بل
ひねり	لپٹی
ひねり	چکرانا.
ひねり	مروڑنا.
湿気	بھیگا.
湿気	مایوسی
湿気	بھیگا.
湿気	مایوسی
湿気	نم
点滴	غبی
点滴	ٹپکا.
点滴	مجہول
地すべり	ڈہاکا.
プルーフ	ثبوت
プルーフ	شہادت
プルーフ	واقعات
プルーフ	امتحان
プルーフ	مزاحم
プルーフ	دافع
プルーフ	آزمائش.
赤み	حمرت
赤み	سرخی
赤み	حمرت
赤み	لالی
赤み	سرخی
レギオン	کثیر
レギオン	انبوہ
悪臭	سڑاند.
悪臭	جھگڑا.
悪臭	فساد
悪臭	سڑاند.
悪臭	بدبو
悪臭	جھگڑا.
悪臭	فساد
悪臭	سڑاند.
悪臭	سڑاند.
悪臭	بدبو
誠意	خلوص
誠意	سچّائی
充電器	ڈش
大群	بھیڑ
大群	گلّہ
大群	دل
大群	بھیڑ
大群	گلّہ
マナ	اقتدار.
マナ	قوت
マナ	اختیار
パーム	ہتھیلی
マリナー	ملاح.
エクセル	ممتاز
毛布	جامع
ゴブリン	بُھتنا
ゴブリン	عفریت.
ウズラ	جھجکنا
ウズラ	دبکنا
ウズラ	جھجکنا
ウズラ	دبکنا
ウズラ	بٹیر
スコール	چلّانا
スコール	مخمصہ.
スコール	چیخنا
スコール	چیخ
アイビー	لبلاب
棍棒	سونٹا.
棍棒	ٹھونکنا
棍棒	گروہ
棍棒	سونٹا.
棍棒	ٹھونکنا
棍棒	ڈنڈا
棍棒	گروہ
押印	درز
トランポリン	ترپال
トランポリン	کودنا.
混ぜる	متحد
混ぜる	مرکب
混ぜる	آمیزہ
銃声	چھوٹنا
欺瞞	بہکانے
欺瞞	بھٹکانے
欺瞞	چکمہ
欺瞞	بہکانے
欺瞞	بناوٹ.
欺瞞	جعل
ジョギング	دھچکا
ジョギング	دھکّا
ジョギング	اُکسانا
ジョギング	گھسٹنا.
ジョギング	ٹہوکنا.
ジョギング	دُلکی.
ジョギング	ٹہوکا.
スクリーム	چیخ
スクリーム	شوخ
スクリーム	پکار
スクリーム	چلّانا
スクリーム	چیخنا
モチベーション	ترغیب
フィーリング	جذباتی
フィーリング	حسّاس
フィーリング	ہمدرد.
ふくろう	چغد
ふくろう	الّو
許可証	رضا.
許可証	اجازت
許可証	رخصت
迷信	توہّم
ニードル	بپھراہٹ
ニードル	اڑواڑ
ニードル	بننا
ニードル	سینا
ニードル	چھیدنا
ニードル	پینا
ニードル	بھڑکانا
ニードル	تکلا
ニードル	گھنٹے
ニードル	کروشیا.
ニードル	سنبا
ニードル	بپھراہٹ
ニードル	اڑواڑ
ニードル	بننا
ニードル	سینا
ニードル	چھیدنا
ニードル	پینا
ニードル	بھڑکانا
ニードル	تکلا
ニードル	گھنٹے
ニードル	کروشیا.
ニードル	سوزن
ニードル	سنبا
不妊	خالی
不妊	فضول
不妊	ٹھوٹھ
濃密	گنجان
濃密	گاڑھا
濃密	گنجان
濃密	گاڑھا
濃密	کثیف
濃密	گھنا
クーロン	کولمب
八角形	مثمن.
トポロジー	مقامیات
はちみつ	دلبر.
はちみつ	انگبینی.
はちみつ	عسّل.
はちみつ	شہد
はちみつ	دلبر.
はちみつ	انگبینی.
はちみつ	عسّل.
シャウト	ّچلانا
シャウト	آوازہ
シャウト	چیخنا
行列式	لفظ
行列式	عنصر
キュウリ	کھیرا
キュウリ	خِیار.
ドッジ	behind
ドッジ	جھپکی.
ドッジ	زبردستی
ドッジ	جھکائی
ドッジ	دُبکنا
下りる	برسنا
下りる	درجے
下りる	اترنا
線分	قطعہ.
遠近	تناظر.
遠近	صحیح
精巣	آنڈ
精巣	فوطہ
精巣	ٹٹّا.
精巣	خُصیہ
精巣	خُصیتی
精巣	نیزtestis.
精巣	خُصیہ
精巣	نیزtestis.
精巣	فوطہ
精巣	خُصیہ
無表情	مبہم
無表情	غیرواضح
鼻音	ng
鼻音	گنگنی
鼻音	ن
鼻音	غنغنی
レントゲン	وغیرہ.
オーブン	چولھا.
オーブン	تنور
オーブン	گلخن
囁き	سرگوشی
囁き	مرمرانا.
囁き	افواہ
囁き	(پتّوں
囁き	گپ.
囁き	مرمرانا.
囁き	افواہ
囁き	(پتّوں
囁き	سرگوشی
囁き	گپ.
花梨	بہی
マジェスティック	شاہانہ
浮き彫り	مخلصی
浮き彫り	یکسانیت
浮き彫り	مصیبت
浮き彫り	وضاحت
浮き彫り	صفائی-
減刑	تقلیب.
ベント	سعد
ベント	مجرمانہ.
ベント	رجحان
ベント	میلان.
茄子	بینگن.
インディゴ	نیل
勾留	تحویل
勾留	حراست.
勾留	روکنے
すす	دھوانسا.
雇う	in
雇う	ملازمت
雇う	کرایہ
雇う	کرائے
雇う	بھاڑا.
フィール	احساس
フィール	سوچنا
天蓋	(-ies
天蓋	چھجّا.
天蓋	ڈھکنا
口絵	سنتور.
アストラル	سماوی
アストラル	کوکبی
傾ける	آڑا
傾ける	ترچھا.
傾ける	رجحان
ブラッシュ	لاج
ブラッシュ	شرم
ブラッシュ	جھینپ.
軟膏	بلسان.
軟膏	بلسان.
軟膏	مرہم
軟膏	خطا
軟膏	کوتاہی
軟膏	انا
軟膏	نقص
へそ	ناف.
復号	کھولنا
プローブ	مِسبر
インポッシブル	محال
イコール	مرتبے
イコール	خصوصیت
イコール	منصب
イコール	برابر
イコール	خوبی
イコール	درجے
イコール	متوازن
イコール	جسامت
イコール	ہمسر
イコール	مرتبے
イコール	خصوصیت
イコール	یکساں
イコール	منصب
イコール	برابر
イコール	خوبی
イコール	درجے
イコール	متوازن
イコール	جسامت
フープ	تاننا.
ベランダ	برآمدہ
タジク	تاجکستانی.
そよ風	کوئلے
そよ風	out
溶剤	محلل
居所	کوٹھی
居所	مکان
居所	اقامت-
居所	قیام
グリース	تِلائی
グリース	تیل
グリース	روغن
グリース	چکنائی
グリース	دُہنیت.
タキシード	تقریب
ろ過	تقطیر
ろ過	پالائش
ろ過	تقطیر
ニレ	شجربق
ニレ	دردار
モレル	مکو
コルネット	کرارابسکٹ.
ヴァリアント	بہادر
ロココ	متوازن
ロココ	موسیقی
ロココ	(ادب
価額	قیمت
価額	سامان
価額	تشخیص
価額	دام
価額	قیمت
価額	ارز
価額	سامان
価額	تشخیص
価額	بدل
ダフ	کھوٹا.
ダフ	نقلی
ダフ	شکستہ-
フォロワー	پیرو.
フォロワー	مطیع
スティル	دھیمی
スティル	خاموش
スティル	ساکت
スティル	ہنوز.
スティル	ساکن
スティル	دھیمی
スティル	خاموش
スティル	ساکت
スティル	ہنوز.
スティル	تاہم
スティル	ساکن
日陰	off
日陰	into
日陰	ڈھانپنا
日陰	(بعدہ
日陰	off
日陰	into
日陰	ڈھانپنا
日陰	سایہ
日陰	(بعدہ
トーキング	ناطق.
ディメンション	ضخامت
ディメンション	متعدد
ディメンション	وسعت
ディメンション	گہرائی
ディメンション	طول
ディメンション	بعد
ディメンション	پہنائی
ディメンション	رقبہ
ロースト	بھننا
かぼちゃ	گول
リスペクト	نسبت.
リスペクト	تعلق
リスペクト	for
リスペクト	قدر.
リスペクト	نسبت.
リスペクト	تعلق
リスペクト	for
リスペクト	قدر.
リスペクト	تکریم
チェイン	سلسلہ
チェイン	ترتیب
チェイン	دکانوں
チェイン	ہوٹلوں
チェイン	جکڑنا
チェイン	چینل
チェイン	روک
チェイン	پابند
チェイン	قطار
コンポジット	مخلوط
コンポジット	مخلوط.
コンポジット	مرکب
絶妙	حسین
絶妙	لطیف.
絶妙	حسین
絶妙	نفیس
絶妙	لطیف.
ビートル	موگرا
ビートル	ہتھوڑا
ビートル	کچلنا
ビートル	درمٹ
ビートル	گھن
ビートル	توڑنا
ビートル	ڈراؤنی.
ハインド	ہرنی
ハインド	گنوار
ハインド	بانگڑو.
ハインド	دیہاتی
閉包	خاتمہ
閉包	اِتمام.
閉包	بندش
閉包	ڈھانپنے
閉包	اختتام
コムギ	گیہوں
コムギ	گندم.
ホライズン	تجربے
ガバナンス	قبضہ
ガバナンス	حاکمی.
ガバナンス	حاکمیت.
ガバナンス	اختیار
ガバナンス	قدرت
砂州	گروہ
砂州	انبار
スクリーニング	تفتیش
ダーティ	کمینہ
ダーティ	رکیک
ダーティ	میلا
ダーティ	مبتذل
ダーティ	ناپسندیدہ
ダーティ	ذلیل
ダーティ	مکروہ
ダーティ	ناصاف
ダーティ	دُھندلا
ダーティ	جھّکڑی
ダーティ	فحش
ダーティ	مٹیالا
ダーティ	کمینہ
ダーティ	رکیک
ダーティ	میلا
ダーティ	مبتذل
ダーティ	ناپسندیدہ
ダーティ	ذلیل
ダーティ	مکروہ
ダーティ	ناصاف
ダーティ	دُھندلا
ダーティ	جھّکڑی
ダーティ	فحش
ダーティ	گندا
ダーティ	ناپاک
ダーティ	مٹیالا
双生児	جوڑا
双生児	مثنیٰ
誤謬	مغالطہ
謙虚	فروتنی
謙虚	رتبہ
謙虚	معمولی
謙虚	وقعت
謙虚	گرانا
謙虚	حقیر
謙虚	کِہین
謙虚	عاجزی
謙虚	تحقیر
ベルベット	مخملی
ベルベット	مخمل
ベルベット	مخملی
ヘール	تندرست
小便	مگن
小便	پیشاب.
小便	افسردہ.
小便	ناراض
小便	بسانا.
コルク	کاگ
トリート	تفریح
トリート	طعام
エホバ	یہووا
エニグマ	چیستاں
エニグマ	متناقضہ.
退廃	عیّاش.
退廃	خراب.
ハスラー	طوائف.
ダディ	باپ
ダディ	ابا
ダディ	ابو.
クインテット	پنجہ
クインテット	خمسہ
唾液	رال.
唾液	تھوک
ニルヴァーナ	نروان
リグ	دھوکا
リグ	چالبازی.
リグ	ہتھکنڈے
リグ	out
リグ	(بعدہ
リグ	فریب
リグ	کارستانی.
キメラ	ہّوا
キリング	تھکاؤ
けち	خسیس
けち	کنجوس
汚名	بدنام
ハネムーン	ولولہ.
サイロ	کھلیان
サイロ	اٹالا
ネックレス	مالا
掩蔽	احتجاب
掩蔽	گرہن
エキセントリック	انوکھا
エキセントリック	سنکی.
エキセントリック	عجیب
心房	کہفی
エレガント	امیرانہ
エレガント	ممتاز
エレガント	اعلٰی
エレガント	شائستہ
エレガント	امیرانہ
エレガント	ممتاز
エレガント	اعلٰی
エレガント	شائستہ
エレガント	لطیف
