lionel	ライオネル
regulatsioon	規制
spetsiifiline	特定
sügavale	ディープ
sügavale	深い
dets	dec
antenni	アンテナ
ios	ios
salzburgi	ザルツブルク
stabiilsed	安定
murdoch	マードック
iha	欲望
iha	性欲
tunded	気持ち
tunded	感情
pantvangi	人質
vaadeldud	観測
määramata	無期限
määramata	未定義
golf	ゴルフ
impulss	パルス
impulss	脈拍
impulss	インパルス
jackie	ジャッキー
käsud	コマンド
käsud	命令
käsud	オーダー
käsud	注文
blake	ブレイク
transistor	トランジスタ
troopiline	トロピカル
troopiline	熱帯
alu	alu
hobuseid	ウマ
martínez	マルティネス
lihased	筋肉
ulla	ウラ
jurisdiktsiooni	管轄
määratlus	定義
rahvuste	国籍
lugemist	読書
alejandro	アレハンドロ
bali	バリ
bali	バリ島
cdu	cdu
theodosius	テオドシウス
hiinlased	中国語
hiinlased	中国人
suzanne	スザンヌ
vastand	リバース
vastand	反対
saakašvili	サアカシュヴィリ
katastroof	災害
dwight	ドワイト
rajad	トラック
andekas	才能
cruises	クルーズ
polo	ポロ
valss	ワルツ
siil	ハリネズミ
madison	マディソン
süüdistused	告発
põlve	ひざ
sort	品種
sort	バラエティ
sort	変種
malaisias	マレーシア
ego	エゴ
rikkalik	金持ち
rikkalik	リッチ
ajakirjanikud	ジャーナリスト
ajakirjanikud	リポーター
debüüt	デビュー
judith	ジュディス
õpitud	学習
nupud	ボタン
tšellist	チェロ
lorraine	ロレーヌ
kataloogi	カタログ
lübeck	リューベック
arvamused	意見
kilo	キロ
genotsiidi	ジェノサイド
kabe	チェッカー
lapi	ラップランド
plaadid	タイル
võimendi	アンプ
maksumus	費用
maksumus	原価
maksumus	コスト
ravile	治療
ravile	セラピー
ravile	トリートメント
ravile	待遇
ravile	治療
phoenix	フェニックス
abdullah	アブドゥッラー
madame	マダム
vein	ワイン
depressioon	うつ病
esteetika	美学
malai	マレー
võimleja	体操
salerno	サレルノ
togo	トーゴ
emotsioonid	感情
emotsioonid	感情
patroon	パトロン
fosfori	リン
seaduslik	合法
pühad	祝日
pühad	休日
visata	投げる
liitmine	加算
liitmine	加法
liitmine	マージ
prefekt	プラエフェクトゥス
murtud	壊れた
kalamees	漁師
melanie	メラニー
boyle	ボイル
andrews	アンドリュース
face	フェイス
sprint	スプリント
granada	グラナダ
abba	アバ
hiired	マウス
ballett	バレエ
fännid	ファン
piazza	piazza
hierarhia	ヒエラルキー
larsen	ラーセン
maraton	マラソン
gates	ゲイツ
klaviatuur	キーボード
heakskiidu	退院
heakskiidu	除隊
heakskiidu	分泌物
atlantic	アトランティック
atlantic	大西洋
ekvaatori	赤道
kujud	彫像
voolavad	流れる
saatkond	大使館
fiat	フィアット
kõver	カーブ
kõver	曲線
negatiivsed	ネガティブ
negatiivsed	マイナス
negatiivsed	ネガ
marylandi	メリーランド
viadukt	高架橋
viadukt	橋梁
reid	raid
kuldsed	ゴールデン
kuldsed	黄金
tööriistad	ツール
tööriistad	道具
mandžuuria	満州
juventus	ユヴェントス
tehnoloogiaid	テクノロジー
mod	mod
sokk	靴下
kuritegu	重罪
kuritegu	犯罪
olsen	オルセン
brescia	ブレーシャ
pomorze	ポメラニアン
maapind	地面
maapind	グラウンド
programmeerija	プログラマ
programmeerija	プログラマー
adele	アデル
külasid	村落
tara	タラ
tara	フェンス
kujund	図形
kujund	形状
kujund	シェイプ
viiskümmend	fifty
montpellier	モンペリエ
sparta	スパルタ
talupoeg	農民
jäta	離れる
kett	チェイン
kett	チェーン
liberty	リバティ
liberty	自由
sentimeetrit	センチメートル
tasakaalustatud	バランス
carnegie	カーネギー
holm	ホルム
tuvastati	検知
vastuvõtmine	レシート
vastuvõtmine	受領
vastuvõtmine	承諾
vastuvõtmine	受入れ
vastuvõtmine	承認
vastuvõtmine	受付
vastuvõtmine	受信
ahju	オーブン
sõrmus	リング
sõrmus	指輪
rodrigo	ロドリゴ
lühendatud	短縮
tuur	ツアー
tuur	チョウザメ
betooni	コンクリート
konföderatsioon	連盟
teleskoobi	望遠鏡
girard	ジラード
girard	ジラール
vasall	家臣
eleanor	エレノア
haagi	ハーグ
nyman	nyman
kukutada	転覆
picasso	ピカソ
tiger	トラ
tiger	タイガー
norma	ノーマ
bergeni	ベルゲン
lynn	リン
olevik	現在
olevik	present
olevik	プレゼント
seene	菌類
seene	キノコ
seene	マッシュルーム
rass	人種
rass	競走
rass	レース
sumatra	スマトラ島
tanja	タニア
matused	葬式
matused	葬儀
matused	葬儀
lotus	ハス
lotus	ロータス
pada	ポット
liustik	氷河
diagnoosi	診断
varustus	道具
varustus	装備
varustus	機器
varustus	機材
varustus	歯車
varustus	ギア
jaime	ハイメ
rachel	レイチェル
valikuline	オプション
tehnikaid	テクニック
buss	バス
detail	ディテール
voroneži	ヴォロネジ
hain	hain
raam	フレーム
minimaalselt	最低限
minimaalselt	最低
minimaalselt	最小
vanaks	古い
vanaks	オールド
paat	ボート
luc	リュック
nõutav	必須
btr	btr
ando	安藤
kaevandamine	鉱業
ratsionaalne	rational
kaup	商品
kaup	貨物
kaup	物品
kaup	商品
kaup	商品
kolleegi	同僚
kanaari	カナリア
saavutus	功績
saavutus	事績
saavutus	達成
saavutus	実績
uri	uri
seeme	種子
seeme	シード
seeme	種子
seeme	シード
berry	ベリー
kääbus	ミゼット
kääbus	ドワーフ
kääbus	小人
kääbus	ピグミー
facebooki	facebook
oldenburg	オルデンブルク
jehoova	エホバ
jarl	アール
ägeda	急性
ägeda	アキュート
jook	飲み物
jook	ドリンク
jook	飲む
jook	飲み物
jook	飲料
vaatlus	傍聴
vaatlus	観察
vaatlus	観測
malaaria	マラリア
kadumine	失踪
kadumine	消える
kuma	輝き
kuma	グロー
magama	睡眠
magama	眠る
magama	スリープ
asendatakse	置換
weiss	ヴァイス
protseduur	プロシージャ
protseduur	手順
protseduur	手続き
avaldamine	出版物
avaldamine	出版
avaldamine	公表
avaldamine	出版
avaldamine	パブリッシング
sööma	食べる
sööma	eat
saaja	宛先
acacia	アカシア
sünnipäev	生年月日
sünnipäev	バースデー
lõputu	インフィニット
kasulikud	役に立つ
moses	モーゼ
moses	モーゼス
inglid	エンジェルス
inglid	天使
ing	ing
edendamine	プロモーション
edendamine	宣伝
kreem	クリーム
imelik	オッド
imelik	奇数
matta	埋める
lucy	ルーシー
susanna	スザンナ
button	ボタン
tarkus	知恵
salomon	サロモン
dana	ダナ
coca	コーク
coca	コーラ
coca	コカ
pakkumine	入札
pakkumine	オファー
pakkumine	申し出
pakkumine	クーポン
pakkumine	テンダー
pakkumine	柔らかい
soodustada	すすめる
tšaadi	チャド
kolleegium	カレッジ
kolleegium	大学
haagis	トレーラー
haagis	予告編
nicolai	ニコライ
kena	ナイス
kena	ニース
kena	素敵
broadway	ブロードウェイ
apteek	薬学
apteek	薬局
kobra	コブラ
odav	安価
odav	安い
odav	安い
elanik	住民
daam	レディ
planeedid	惑星
näituste	展示
htc	htc
korrektne	正解
korrektne	正しい
optika	光学
gis	gis
illinoisi	イリノイ
eristamine	微分
eristamine	分化
eristamine	区別
gaasid	気体
atoll	環礁
bart	バート
fjordi	フィヨルド
labor	研究室
labor	研究室
labor	ラボ
hernández	エルナンデス
põleb	バーンズ
põleb	やけど
põleb	焼き
põleb	火傷
põleb	やけど
põleb	burn
rfc	rfc
tundlikkus	感度
tundlikkus	感受性
spoleto	スポレート
obi	オビ
trieste	トリエステ
diamond	ダイヤモンド
diamond	ダイアモンド
suzuki	スズキ
suzuki	鈴木
rooste	サビ
belli	ベル
lahusti	溶剤
cape	ケープ
truu	忠実
ronaldo	ロナウド
klubid	クラブ
vieira	ヴィエイラ
signe	signe
dale	デイル
dale	デール
igaveseks	フォーエバー
meetmed	措置
meetmed	アクション
pic	pic
spetsialistid	プロフェッショナル
kultuuripärandi	遺産
mugav	便利
mugav	快適
mugav	快適
dorothy	ドロシー
fisher	フィッシャー
elukutse	職業
kanep	アサ
kanep	大麻
kanep	雑草
xavier	ザビエル
kannatab	苦しみ
aurelius	アウレリウス
kenny	ケニー
ost	購入
claudia	クラウディア
sekretariaat	事務局
concordia	コンコルディア
bundesliga	ブンデスリーガ
laskesuusatamise	バイアスロン
marian	マリアン
glen	グレン
pehmed	やわらかい
pehmed	柔らかい
pehmed	ソフト
tööstusliku	工業
roche	ロッシュ
replikatsiooni	複製
partii	バッチ
partii	lot
partii	ロット
paradoks	パラドックス
reageerida	リアクション
mccartney	マッカートニー
mani	マニ
bernardo	ベルナルド
armuke	愛人
armuke	恋人
kajakas	かもめ
amos	アモス
lia	リア
traditsioonid	伝統
traditsioonid	伝統
tagajärjeks	帰結
lohe	カイト
lohe	ドラゴン
gandhi	ガンジー
blair	ブレア
kogukonnad	コミュニティ
metodisti	メソジスト
olukordi	状況
olukordi	情勢
juustu	チーズ
tippkohtumine	サミット
tippkohtumine	頂上
ujumine	スイミング
ujumine	競泳
ujumine	水泳
juust	チーズ
juust	チーズ
mtdna	mtd
ülesvoolu	上流
creek	クリーク
dylan	ディラン
muutuv	変数
muutuv	可変
tehnoloogiate	テクノロジー
kaabel	電線
kaabel	ケーブル
lehekülgi	ページ
burke	バーク
storm	ストーム
mõtleb	考え
mõtleb	思考
paranenud	改良
kiss	キス
kiss	kiss
kiss	接吻
laulma	歌う
laulma	sing
meremees	船員
raketid	ミサイル
virtuaalne	バーチャル
virtuaalne	仮想
motivatsiooni	モチベーション
põgenemine	エスケープ
põgenemine	エスケープ
põgenemine	脱出
aids	エイズ
institutsiooni	制度
institutsiooni	施設
institutsiooni	機関
girolamo	ジローラモ
noa	ノア
noa	ナイフ
kontsentreeritud	濃縮
kattuvad	重複
puudutas	さわる
classic	クラシック
classic	古典
classic	classic
lotte	ロッテ
tyler	タイラー
edinburghi	エディンバラ
simpson	シンプソン
emilio	エミリオ
omand	プロパティ
omand	財産
paha	バッド
paha	悪い
külaline	ビジター
külaline	ゲスト
rasva	脂肪
trinity	三位一体
macbook	macbook
liverpooli	リヴァプール
liverpooli	リバプール
cox	コックス
graniit	花崗岩
koe	ティッシュ
forbes	フォーブス
kohv	コーヒー
hüvasti	別れ
hüvasti	さようなら
kloori	塩素
vabastamine	釈放
vabastamine	リリース
aktsiad	株式
aktsiad	シェア
niiskus	水分
niiskus	湿度
väljakaevamistel	発掘
joonistas	ドリュー
mahla	ジュース
radar	レーダー
clarki	クラーク
surnuaed	墓地
surnuaed	墓地
surnuaed	墓所
surnuaed	墓場
kvartali	四半期
päevane	デイリー
klassika	古典
klassika	クラシカル
klassika	クラシック
klassika	古典
klassika	クラシック
klassika	古典
klassika	classic
omadussõna	形容詞
marjad	ベリー
didier	ディディエ
baseli	バーゼル
matteo	マッテオ
curtis	カーティス
xml	xml
kiud	繊維
kiud	繊維
kiud	繊維
kiud	ファイバ
arles	アルル
kuivati	乾燥機
kuivati	ドライヤー
kuivati	乾燥機
loominguline	クリエイティブ
mast	マスト
mast	流す
mast	フラッシュ
murmanski	ムルマンスク
korrata	繰り返す
korrata	繰り返し
kraad	学位
tulistada	シュート
mure	関心事
põletik	炎症
veeväljasurve	変位
kursus	コース
tehased	工場
remonti	修理
deklaratsioon	布告
deklaratsioon	宣言
deklaratsioon	申告
mõeldes	考え
mõeldes	思考
ori	奴隷
abiline	助手
abiline	アシスタント
abiline	ヘルパー
juure	root
juure	ルート
atika	アッティカ
manchesteri	マンチェスター
lauda	ラウダ
pungad	つぼみ
madisoni	マディソン
toimetus	社説
meeter	メートル
meeter	メーター
laeng	チャージ
laeng	課金
laeng	充電
hallid	灰色
hallid	グレイ
hallid	グレー
opus	opus
tõu	品種
seisukord	状態
seisukord	条件
metro	地下鉄
metro	メトロ
laskub	降順
nilsson	ニルソン
doktriin	教義
doktriin	ドクトリン
bastion	bastion
pulm	ウェディング
pulm	結婚式
payne	ペイン
maksimum	最大
maksimum	maximum
konto	口座
konto	アカウント
rütmi	リズム
css	css
kest	シェル
clay	クレイ
clay	粘土
liidese	インターフェース
liidese	インタフェース
saabumine	到着
saabumine	到着
sassari	サッサリ
jaapanlased	日本人
jaapanlased	ジャパニーズ
jaapanlased	日本語
aphrodite	アプロディーテー
aphrodite	アフロディーテ
mesilased	ミツバチ
mesilased	ハチ
oregoni	オレゴン
diogenes	ディオゲネス
terviklik	コンプリート
terviklik	完備
etapid	舞台
etapid	ステージ
lubja	石灰
lubja	ライム
limaskesta	粘膜
lasse	ラッセ
pas	pas
car	自動車
car	クルマ
kiik	ロッキング
videod	動画
kanna	着る
kanna	摩耗
töötlus	処理
töötlus	加工
töötlus	トリートメント
töötlus	待遇
töötlus	治療
eksami	試験
joyce	ジョイス
julm	残酷
turvalisus	セキュリティ
turvalisus	セキュリティー
turvalisus	安全
turvalisus	セーフティ
miles	マイル
õlle	ビール
haua	墓所
haua	墓穴
kenya	ケニア
märkmed	注記
märkmed	メモ
märkmed	備考
märkmed	ノート
yokohama	横浜
braille	点字
jama	でたらめ
tra	tra
reamees	非公開
reamees	プライベート
shirley	シャーリー
kasiino	カジノ
juhtumid	事例
juhtumid	ケース
belize	ベリーズ
reggio	レッジョ
atari	atari
skulptuurid	彫刻
brandt	ブラント
kork	コルク
kork	コーク
mon	mon
becker	ベッカー
avastus	ディスカバリー
avastus	発見
reynolds	レイノルズ
reede	金曜日
reede	フライデー
tahtlikult	わざと
tahtlikult	故意
mitsubishi	三菱
kujundamine	デザイン
messi	メッシ
sõltumatus	自治
sõltumatus	独立
nalja	ジョーク
nalja	冗談
mõõt	計測
mõõt	測定
bioloogilised	生物
üleskutse	挑発
dawn	明け方
dawn	夜明け
dawn	ドーン
makarov	マカロフ
taimestiku	植生
levitamine	普及
samantha	サマンサ
adler	アドラー
erilised	スペシャル
ham	ハム
pappel	ポプラ
reservi	リザーブ
rõhutada	下線
teener	召使
teener	バトラー
teener	係員
tervik	全体
avr	avr
nukk	人形
käsitööliste	職人
mõõdud	測定
mõõdud	サイズ
mõõdud	寸法
mõttetu	無意味
meistrid	マスターズ
meistrid	チャンピオンズ
meistrid	チャンピオン
järgijad	フォロワー
kontrollimine	検証
kontrollimine	認証
kontrollimine	検査
kontrollimine	検問
saavutamine	功績
saavutamine	事績
saavutamine	達成
saavutamine	実績
nahkhiir	bat
nahkhiir	コウモリ
nahkhiir	バット
välistatud	除外
välistatud	除外
beeta	ベータ
mehel	男性
mehel	man
ajakava	時刻表
ajakava	年表
ajakava	日程
ajakava	スケジュール
ligikaudne	おおよそ
süntesaator	シンセサイザー
odra	大麦
välimine	外側
välimine	アウター
kondensaatori	コンデンサー
bratislava	ブラチスラヴァ
täiskasvanu	成人
täiskasvanu	大人
roosikrantsi	ロザリオ
sue	スー
hinnangud	評価
vigastatud	怪我
joann	joann
gandalf	ガンダルフ
oro	オロ
kalapüük	釣り
kalapüük	魚釣り
medalid	メダル
suhtlemine	通信
suhtlemine	コミュニケーション
suhtlemine	相互作用
suhtlemine	コミュニケーション
röövitud	拉致
röövitud	誘拐
antwerpeni	アントワープ
okeaania	オセアニア
draakon	ドラゴン
tunnista	認める
traat	ワイヤ
traat	針金
traat	ワイヤー
burns	バーンズ
burns	やけど
varajased	アーリー
varajased	早い
asfalt	アスファルト
vange	囚人
ebaseaduslik	違法
randy	ランディ
sen	セン
rasmussen	ラスムセン
musical	ミュージカル
eraldamine	隔離
eraldamine	孤立
eraldamine	割り当て
eraldamine	別居
eraldamine	分離
episood	エピソード
veoauto	トラック
sullivan	サリバン
sullivan	サリヴァン
ina	伊奈
faith	信仰
faith	信念
faith	フェイス
detroit	デトロイト
metallid	金属
väljaannete	出版物
funk	ファンク
cool	クール
cool	涼しい
hauda	墓所
hauda	墓穴
himaalaja	ヒマラヤ山脈
kultus	カルト
rahulik	穏やか
rahulik	平和
toitumine	栄養
toitumine	ダイエット
toitumine	献立
toitumine	国会
optilised	光学
reedel	金曜日
reedel	フライデー
madeleine	マドレーヌ
leóni	レオン
interaktiivne	インタラクティブ
chan	チャン
sally	サリー
siinai	シナイ半島
hingamine	呼吸
kapitalismi	資本主義
düsseldorfi	デュッセルドルフ
lilled	お花
kiirtee	ハイウェイ
kiirtee	公道
viva	viva
viva	ビバ
img	img
ettepanekud	おすすめ
ettepanekud	提案
dallas	ダラス
nauding	楽しみ
nauding	快感
nauding	喜び
nauding	快楽
nauding	喜び
helikopter	ヘリコプター
jasper	ジャスパー
tahad	欲しい
elton	エルトン
sõiduk	車両
sõiduk	乗り物
tuled	ライト
katoliiklane	カトリック
sarkozy	サルコジ
kerged	軽度
kerged	ライトウェイト
eluaegne	生涯
eluaegne	通算
eluaegne	生涯
ähvardab	脅迫
kuivad	辛口
kuivad	ドライ
kuivad	乾燥
nominent	ノミネート
selgitus	説明
selgitus	解説
selgitus	釈明
modelleerimine	モデリング
voltaire	ヴォルテール
viisteist	fifteen
viisteist	十五
dollar	ドル
dollar	yen
peace	ピース
peace	平和
teravad	シャープ
teravad	鋭い
prokurör	検察官
prokurör	検事
otsing	検索
jardi	ヤード
bert	バート
saatmine	送信
mantova	マントヴァ
avaldamise	出版
avaldamise	パブリッシング
laud	テーブル
laud	デスク
kirss	サクランボ
kirss	チェリー
tööhõive	雇用
reguleerimine	規制
reguleerimine	調整
reguleerimine	調節
taiwan	中華民国
taiwan	台湾
põõsad	低木
põõsad	低木
alumiinium	アルミニウム
alumiinium	アルミ
alumiinium	アルミニウム
mohammed	モハメッド
rütm	リズム
preili	ミス
plaatina	プラチナ
plaatina	白金
kudedes	ティッシュ
temple	テンプル
temple	寺院
temple	神殿
neuronite	ニューロン
tottenham	トッテナム
betoonist	コンクリート
lemmik	お気に入り
lemmik	お気に入り
dram	ドラム
niko	ニコ
juss	サム
osakonnad	学科
kompassi	コンパス
lukk	ロック
lukk	錠前
lukk	バックル
chávez	チャベス
keldris	地下
keldris	地下室
trompet	トランペット
quadro	quadro
kilpnäärme	甲状腺
gsm	gsm
vitamiinid	ビタミン
indie	インディー
rogers	ロジャース
otsimine	検索
otsimine	検索
cromwell	クロムウェル
pühamu	神社
valgustus	照明
valgustus	イルミネーション
valgustus	照明
agatha	アガサ
hajutatud	散逸
mõõdukalt	そこそこ
filiaali	支店
filiaali	支社
filiaali	ブランチ
filiaali	支部
sisemised	内部
ángel	アンヘル
tahvel	タブレット
lahinguväljal	戦場
tänavaid	ストリート
muinasjutt	おとぎ話
kommunikatsioon	通信
kommunikatsioon	コミュニケーション
kommunikatsioon	通信
kommunikatsioon	コミュニケーション
kütus	燃料
gambia	ガンビア
ettekanne	レポート
ettekanne	報告
ühinemine	合併
sarajevo	サラエヴォ
sarajevo	サラエボ
kansas	カンザス
dubai	ドバイ
ipad	ipad
komando	コマンドー
rosenthal	ローゼンタール
vahemik	範囲
vahemik	レンジ
kerry	ケリー
anita	アニタ
varjud	シャドウズ
leibniz	ライプニッツ
willy	ウィリー
bonni	ボン
soon	グルーヴ
sõltuvuses	中毒
lüliti	切り替え
lüliti	スイッチ
induktsiooni	誘導
induktsiooni	帰納
kirjavahetus	対応
kirjavahetus	通信
pöördumine	紹介
massachusetts	マサチューセッツ
koole	学校
koole	流派
tan	タン
naaber	隣人
naaber	隣人
naaber	近所
piim	牛乳
piim	ミルク
mcdonald	マクドナルド
norton	ノートン
häbi	恥辱
häbi	恥ずかしい
kvartal	四半期
kvartal	クォーター
kvartal	四半期
heina	干し草
che	チェ
pau	pau
haller	ハラー
duff	ダフ
katsetused	テスト
intellektuaalse	知識人
infrapuna	赤外線
repressioonide	抑圧
mustri	パターン
lodi	ローディ
michal	ミカル
michal	ミハル
hank	ハンク
kohatu	不適切
bergman	ベルイマン
püüa	キャッチ
püüa	キャッチボール
trepp	階段
trepp	階段
vajadused	ニーズ
ninja	忍者
ninja	ニンジャ
instrument	計器
instrument	道具
instrument	楽器
lissabonis	リスボン
joey	ジョーイ
ohud	脅威
ohud	威嚇
ohud	脅迫
katarina	カタリナ
nulli	ゼロ
guglielmo	グリエルモ
luuk	ハッチ
luuk	孵化
richardson	リチャードソン
shannon	シャノン
root	root
root	ルート
aba	aba
aba	アバ
dimitri	ディミトリ
ashley	アシュリー
ashley	アシュレイ
panda	パンダ
identsed	同一
moodustumist	フォーメーション
elisa	elisa
optimaalne	最適
magda	マグダ
päevi	日数
empaatia	共感
nimetamine	選任
nimetamine	任用
nimetamine	任命
nimetamine	予約
nimetamine	命名
nimetamine	呼称
nimetamine	指名
manifest	マニフェスト
diane	ダイアン
koormus	読み込む
koormus	ロード
koormus	読み込み
koormus	重荷
koormus	負担
elundite	臓器
elundite	オルガン
valatud	出演
valatud	キャスト
valatud	ギプス
saak	キャッチ
saak	キャッチボール
saak	収穫
söögitoru	食道
knight	騎士
knight	ナイト
kontekstist	コンテクスト
kontekstist	コンテキスト
kontekstist	context
kapital	資本
kapital	首都
kapital	キャピタル
ethernet	イーサネット
ringhäälingu	放送
ringhäälingu	ブロードキャスト
piiramatu	無制限
tito	ティト
tunnid	時間
tunnid	レッスン
tunnid	授業
tunnid	クラス
vägivald	暴力
ipa	ipa
dublinis	ダブリン
tuvastamine	検知
tuvastamine	検出
tuvastamine	同定
tuvastamine	識別
tuvastamine	識別
belgradi	ベオグラード
pulk	スティック
dahl	ダール
sandy	サンディ
korrapärane	レギュラー
kostroma	コストロマ
kosmos	cosmos
kosmos	コスモス
kosmos	スペース
kosmos	空間
konkreetseid	コンクリート
välk	flash
välk	フラッシュ
välk	ライトニング
humboldti	フンボルト
block	ブロック
dialoog	台詞
söömine	食べる
otsi	検索
otsi	find
faust	ファウスト
altkäemaksu	賄賂
altkäemaksu	贈収賄
altkäemaksu	賄賂
altkäemaksu	賄賂
juhised	方向
juhised	道順
juhised	指導
juhised	ガイダンス
juhised	指針
juhised	ガイドライン
juhised	手順
juhised	指示
delhi	デリー
calvin	カルヴィン
reisijad	乗客
göttingen	ゲッティンゲン
tera	刃物
tera	ブレイド
tennis	テニス
õnnetu	惨め
õnnetu	みじめ
õnnetu	不幸
lahutamatu	積分
testimine	テスト
hommik	モーニング
telliskivi	レンガ
telliskivi	れんが
telliskivi	煉瓦
bolševikud	ボリシェヴィキ
fraktsioonid	分数
olemasolevad	既存
transkriptsioon	転写
kitse	ヤギ
hudson	ハドソン
bond	結合
bond	ボンド
bariton	バリトン
lõbus	楽しい
margo	マーゴ
fragment	フラグメント
romagna	ロマーニャ
tekstiili	繊維
tekstiili	織物
tekstiili	テキスタイル
tekstiili	織物
miilits	民兵
diagramm	ダイアグラム
diagramm	チャート
cleveland	クリーブランド
etanooli	エタノール
roosad	ピンク
roosad	ナデシコ
bonnie	ボニー
bonnie	bonnie
singh	シング
theo	セオ
theo	テオ
lenz	レンツ
bios	バイオ
astroloogia	占星術
pierce	ピアス
pierce	ピアース
vasco	バスコ
vasco	ヴァスコ
ubuntu	ubuntu
blackwell	ブラックウェル
mõtleja	思想
sidney	シドニー
purustada	クラッシュ
reisija	乗客
reisija	旅客
reisija	トラベラー
asesõna	代名詞
ups	ups
kustutatud	削除
gustavo	グスタボ
tsiviil	文官
märka	告示
märka	通知
märka	告知
riis	ご飯
riis	ライス
vastne	幼生
valuuta	通貨
kuveidi	クウェート
kuveidi	クウェート
puhastamine	クリーニング
puhastamine	洗浄
puhastamine	清掃
puhastamine	掃除
puhastamine	浄化
kirje	エントリー
kirje	エントリ
kirje	アイテム
kirje	品物
kirje	レコード
kirje	記録
unix	unix
mpeg	mpeg
pargid	公園
chi	chi
sula	雪解け
vektori	ベクター
vektori	ベクトル
gardner	ガードナー
venelane	ロシア
odysseus	オデュッセウス
mayer	メイヤー
direct	ダイレクト
saksofon	サックス
porsche	ポルシェ
võlur	魔法使い
võlur	ウィザード
ati	ati
piraadid	パイレーツ
piraadid	海賊
kawasaki	川崎
mittetäielik	未完成
verine	ブラッディ
kellad	腕時計
plaza	プラザ
cremona	クレモナ
kolonn	カラム
nutt	泣く
julio	フリオ
kuulaja	聞き手
kuulaja	リスナー
kommenteeris	コメント
garcia	ガルシア
sõjalaev	戦艦
sõjalaev	軍艦
brändi	ブランデー
topoloogia	トポロジー
nihe	シフト
nihe	せん断
nihe	オフセット
isolatsiooni	隔離
isolatsiooni	孤立
hukata	実行
kaudne	間接
kognitiivne	認知
äärmuslik	エクストリーム
schmitt	シュミット
tirana	ティラナ
boulogne	ブローニュ
circle	サークル
mask	仮面
mask	マスク
dracula	ドラキュラ
kvarts	石英
laadimine	読み込む
laadimine	ロード
laadimine	読み込み
laadimine	ローディング
laadimine	チャージ
laadimine	充電
ettevalmistus	準備
ettevalmistus	調製
ettevalmistus	仕込み
ettevalmistus	調合
järgmisena	next
sammud	足音
sammud	歩数
sammud	手順
sammud	ステップ
juua	飲み物
juua	ドリンク
juua	飲む
loeng	講義
loeng	教本
loeng	講演
zagreb	ザグレブ
arturo	アルトゥーロ
moreno	モレノ
citrus	シトラス
sentimeetri	センチメートル
catania	カターニア
senna	セナ
homer	ホーマー
lammas	ヒツジ
lammas	子羊
lammas	ラム
registreerimine	記録
registreerimine	レコーディング
registreerimine	録音
registreerimine	登録
registreerimine	登記
luuraja	スカウト
metabolism	代謝
reinhard	ラインハルト
dvi	dvi
terrorist	テロリスト
