скијање	esquí
идентични	idèntic
сведок	testimoni
арапска	arab
уста	desembocadura
уста	boca
хив	vih
дилан	dylan
болката	dolor
управувани	gestionades
управувани	gestionat
вработен	empleat
стручно	perit
стручно	expert
ладен	laden
бернард	bernard
бернард	bernat
девојче	noia
мајнц	magúncia
сценарист	guionista
моќни	poderós
моќни	poderosos
моќни	potent
моќни	poderosa
моќни	poderoses
реда	files
мисисипи	mississipí
добиена	guanyat
мигел	miguel
чуда	miracles
чуда	meravelles
покани	convida
покани	invitacions
робот	robot
одредби	disposicions
рамен	plànols
рамен	bemoll
рамен	plana
рамен	ramen
гледал	mirava
гледал	vigilat
обележја	emblemes
детално	detallat
детално	detallats
детално	detall
хранливи	nutricionals
модни	moda
модни	fashion
имплементација	implementació
сини	blau
пијалаци	beguda
пијалаци	begudes
пијалаци	begudes
онтарио	ontario
додатни	addicional
додатни	addicionals
ген	gene
ген	gen
капабланка	capablanca
штети	danys
веста	vesta
антониј	antony
континенти	continents
надмине	excedeixen
надмине	indumentàries
надмине	superar
ризици	riscos
трик	truc
придружен	acompanyats
придружен	acompanyat
емоции	emoció
емоции	emocions
тери	terri
тери	teri
тери	terry
бич	platja
доминантен	dominant
судење	judici
конференции	conferència
конференции	conferències
мажот	marit
заклучоци	troballes
заклучоци	conclusions
кабинет	gabinet
зачуван	desat
зачуван	salvat
арагон	aragó
значителна	substancial
значителна	considerable
значителна	significatives
значителна	significatius
сончев	assolellat
здраво	hola
корпорација	corporació
радијација	radiació
радијација	radiacions
анимација	animació
собрал	reunides
собрал	reunits
помогнале	ajudat
неутрони	neutrons
едвај	difícilment
зегеберг	segeberg
одеднаш	sobtada
ферари	ferraris
ферари	ferrari
прописи	reglaments
прописи	regulació
прописи	reglament
прописи	reglamentació
премиери	estrenes
дуран	durant
дуран	duran
кремљ	kremlin
кромид	cebes
кромид	ceba
мередит	meredith
успее	aconsegueixi
продукт	producte
пролог	pròleg
свесни	conscient
висорамнина	highlands
освојувач	conqueridor
викиликс	wikileaks
задоволува	satisfà
џеф	jeff
подигање	bota
подигање	arrencada
подигање	veina
мак	mac
мак	mak
колона	columna
нијанси	matisos
нијанси	tonalitats
облаци	núvols
адамс	adams
самоа	samoa
иновации	innovacions
иновации	innovació
топла	hot
топла	calent
топла	warm
топла	càlid
заинтересиран	interessat
заинтересиран	interessats
корпорации	corporacions
спротивна	oposat
спротивна	contrari
забави	parts
жорж	georges
моќен	poderós
моќен	poderós
моќен	poderosos
моќен	potent
моќен	poderosa
моќен	poderoses
воспоставена	establerta
зими	hiverns
зими	winters
пилот	pilot
линколн	lincoln
вируси	viral
свесен	conscient
криви	revolts
криви	corbes
витез	cavaller
печатени	imprès
искористување	explotació
рајх	reich
додадена	afegits
додадена	afegit
семиња	llavors
интервјуа	entrevistes
браната	presa
вагнер	wagner
рејчел	rachael
рејчел	rachel
рамна	plànols
рамна	bemoll
рамна	plana
предвидено	prediu
санчез	sánchez
санчез	sanchez
извршувањето	execució
декади	dècades
забранети	prohibit
забранети	prohibit
забранети	prohibida
преименувана	reanomenament
чудно	estranya
чудно	strange
чудно	estrany
чудно	senars
чудно	senar
писменост	alfabetització
џефри	geoffrey
џефри	jeffrey
пијалоци	begudes
тактика	tàctiques
тактика	tàctica
кастро	castro
одри	audrey
поплави	inundacions
поплави	inundació
тринидад	trinidad
тринидад	trinitat
архиепископот	arquebisbe
извоз	exportacions
извоз	exportació
благоевград	blagòevgrad
единбург	edimburg
тесна	ajustat
багдад	bagdad
доминираат	dominar
ката	kata
ката	sòls
ката	pisos
аризона	arizona
масла	olis
класифицирани	classificades
класифицирани	classificat
класифицирани	classificats
класифицирани	classificada
советници	assessors
советници	consellers
советници	regidors
советници	conselleres
лажни	fals
лажни	fake
опозицијата	oposició
спушта	descendeix
евентуално	possiblement
кук	cook
кук	cuiner
кук	kuk
изработката	redacció
полк	regiment
лоара	loira
лоара	loire
просторија	room
просторија	sala
просторија	habitació
моделите	pautes
моделите	patrons
соседи	veïns
соседи	veïns
струма	struma
неделно	setmanal
неделно	setmanals
базирано	basat
дамаск	damasc
хал	hal
черепот	crani
паѓаат	falling
паѓаат	caient
плажи	platges
таблички	matrícules
таблички	plaques
делфин	dofí
делфин	delphine
канцеларии	oficines
одиграно	jugat
одиграно	tocava
инструкции	instrucció
инструкции	instruccions
придонесуваат	contribueixen
придонесуваат	contribuir
чувар	guardià
чувар	tutor
чувар	guardià
чувар	guardian
чувар	guàrdia
потешкотии	dificultat
потешкотии	dificultats
нотација	notació
сончева	solar
судиите	magistrats
судиите	jutges
судиите	refs
пречка	canyís
пречка	obstacle
пречка	impediment
пречка	destorb
поинаков	diferent
поинаков	diferents
клинички	clínic
именка	substantiu
отворања	obertures
вообичаени	habitual
вообичаени	usual
измислени	imaginari
измислени	inventat
измислени	fictici
континентот	continent
ерп	earp
фан	fan
алесандро	alessandro
еквивалент	equivalent
придружува	acompanyar
придружува	acompanya
трчање	funcionant
комуницираат	comunicant
драматург	dramaturg
означен	etiquetat
означен	etiquetada
означен	etiquetats
роџерс	rogers
духовен	espiritual
бенџамин	benjamin
бенџамин	benjamí
лиги	lligues
арт	art
рудник	mina
кажа	kaja
минимална	mínim
минимална	mínima
минимална	mínims
минимална	min
чаир	cair
реален	realista
реален	realistes
чистење	neteja
самоил	samuel
елстер	elster
прованса	provença
купувачот	comprador
монарх	monarca
омилен	favourite
омилен	preferit
омилен	favorit
одразува	reflectits
тежи	pesa
пресврт	gir
хармонија	harmony
хармонија	harmonia
жил	jules
жил	gilles
портали	portals
едгар	edgar
обновено	renovades
обновено	renovada
обновено	renovats
обновено	renovat
обновено	restaurada
обновено	restaurat
минг	ming
грејс	gràcia
грејс	gracia
постол	pella
стрипови	còmic
стрипови	còmics
заслуга	credit
заслуга	crèdit
сајмон	simó
сајмон	simon
сајмон	simón
сантјаго	santiago
губат	perdent
дијалог	diàleg
филипс	phillips
картер	carter
елементот	element
тигри	tigres
самостоен	solo
добиен	obtingut
добиен	obtingudes
добиен	obtinguda
добиен	obtinguts
умрела	morí
економии	economies
комедии	comedies
терористи	terroristes
рој	roy
рој	eixam
снабдување	abastament
снабдување	subministrament
стебло	arbre
гази	ghazi
обвинети	imputats
обвинети	acusats
обвинети	imputada
бот	bot
војводите	ducs
цска	cska
феномени	fenòmens
затвори	tanca
затвори	tancat
вакуум	buit
студентски	alumne
студентски	estudiant
братучед	prima
братучед	cosí
братучед	cosina
братучед	cuz
фасада	façana
земјоделско	agrícola
лазаров	lazarov
присуствуваат	assisteixen
присуствуваат	assistir
одигран	jugat
одигран	tocava
особина	trait
спротивност	oposat
спротивност	contrari
продуценти	productors
орлеанс	orleans
мансфелд	mansfeld
миле	kilòmetre
миле	milla
одел	odell
фасо	faso
образовен	educatiu
одделенија	tutelats
клас	classe
клас	clas
сена	sena
сена	senna
сена	sena
сена	seine
полови	gènere
непријателот	enemic
повторување	recurrència
повторување	repetició
повторување	repeteix
повторување	repetició
вотсон	watson
научи	aprèn
научи	aprendre
научи	apreneu
пантелејмон	panteleimon
тропска	tropical
серверот	servidor
релативна	relatiu
томи	tommy
развивањето	desenvolupant
процедури	procediments
духовни	espiritual
постигнато	complerta
постигнато	aconseguit
постигнато	assolits
намерата	intenció
намерата	intencionalitat
преостанатите	restant
преостанатите	restants
велосипеди	bicicletes
велосипеди	motos
уставна	constitucional
уставна	constitucionals
ископувања	excavació
ископувања	excavacions
монастир	monastir
олга	olga
стандардно	predeterminat
стандардно	estàndard
американец	american
американец	americà
домаќини	amfitrions
одлучено	decidit
контраст	contrast
поен	puntuació
задачата	tasca
дијагноза	diagnosi
дијагноза	diagnòstic
данлоп	dunlop
лоренцо	lorenzo
топки	pilotes
топки	boles
мој	mina
романди	romandia
испратена	enviats
испратена	enviat
туркменистан	turkmenistan
гледачите	espectadors
бизмарк	bismarck
регулира	regula
регулира	regulin
регистрација	matriculació
регистрација	inscripció
фатен	capturats
фатен	captades
фатен	capturat
голдман	goldman
хемичар	químic
хрватскиот	croat
хрватскиот	croata
горица	gorica
хелиум	heli
транзиција	transició
несреќи	calamitats
несреќи	accidents
несреќи	fallades
апарати	electrodomèstics
апарати	aparells
винчи	vinci
верниците	creients
верниците	fidel
верниците	adoradors
царица	emperadriu
издавачки	edició
издавачки	publicant
духовна	espiritual
организаторите	organitzadors
организаторите	organitzadors
балкан	balcans
балкан	balcànica
придавки	adjectius
тенки	fina
претворање	convertint
странска	exteriors
глобална	global
глобална	globals
словенско	slovensko
никеја	nicea
другар	camarada
другар	mat
другар	buddy
непријателски	hostil
спорови	controvèrsies
подароци	regals
подароци	presenta
кривично	criminal
кривично	penals
кривично	penal
трендови	tendències
комерцијална	comercial
комерцијална	mercantils
комерцијална	comercials
јоханес	johannes
билки	plantes
билки	herbes
консензус	consens
семитски	semítiques
соломон	salomó
соломон	solomon
тимор	timor
сликање	pintura
миграција	migració
освојувања	conquesta
металика	metallica
вулкански	volcànic
вулкански	vulcan
пристаништа	molls
пристаништа	ports
дебелината	obesitat
дик	dick
олимпик	olympic
олимпик	olímpic
камерун	camerun
нелсон	nelson
лозја	viñas
лозја	vinyes
кандидатите	candidats
кандидатите	candidates
кандидатите	aspirants
камата	interès
ѓаволот	dimoni
ѓаволот	devil
ѓаволот	diable
поморска	marítim
дипломатија	diplomàcia
пабло	pablo
свирел	jugat
свирел	tocava
лесни	fàcil
единствени	úniques
единствени	únic
синатра	sinatra
вебер	weber
деривати	derivades
деривати	derivats
јовановски	jovanovski
бранител	defensor
инспирирани	inspirat
ураниум	urani
приврзаниците	devots
фебруари	febrer
аматерски	amateur
аматерски	aficionat
функционална	funcionals
функционална	funcional
ракети	míssils
ракети	coets
штити	protegir
штити	protegeix
штити	protegint
емерсон	emerson
претходници	predecessors
пустина	desert
хромозоми	cromosomes
основачи	fundadors
тесен	ajustat
тесен	estret
приватно	privat
приватно	privats
интересен	interesant
интересен	interessant
рагби	rugby
рагби	rugbi
коен	cohen
коен	cohn
коен	cowen
показател	indicador
показател	indicatiu
кадри	cadres
кадри	fotogrames
кадри	marcs
кадри	kadri
систематски	sistemàticament
систематски	sistemàtica
цвеќиња	flors
скарлет	escarlata
скарлет	scarlett
дефинитивно	definitivament
размер	escala
кратенка	drecera
марин	marin
марин	marín
стапките	tarifes
појаси	cinturons
колинс	collins
старбакс	starbucks
мочуришта	aiguamolls
ајдахо	idaho
земјоделска	agrícola
земјоделска	agricultura
централа	planta
централа	centrals
централа	central
петровски	petrovski
советување	conselleria
трага	sender
трага	trail
трага	rastre
трага	traça
трага	plom
дрес	uniforme
сериски	serial
албанска	albanesa
зло	maldat
микроскоп	microscopi
оператори	operaris
оператори	operadors
оператори	operadores
ракописот	manuscrit
датуми	dates
исчезнат	desaparegut
исчезнат	falta
исчезнат	desapareguda
исчезнат	desaparèixer
сенегал	senegal
пинк	pink
пинк	rosa
приоритет	prioritat
науру	nauru
заклетва	jurament
хирургија	cirurgia
бонд	vincle
бонд	lligam
ретка	rars
ретка	rares
засолниште	aixopluc
засолниште	refugi
засолниште	santuari
засолниште	refugi
влашка	valàquia
реализам	realisme
бургенланд	burgenland
алфонсо	alfons
алфонсо	alfonso
преведување	traduint
преведување	traducció
преведување	tradueix
преведување	traduir
уво	oïda
уво	orella
седи	sadie
седи	assegut
флеминг	flemming
флеминг	fleming
изложување	exposant
изложување	exposició
калциум	calci
тонови	tons
римјани	romans
фреска	mural
проценки	valoracions
проценки	avaluacions
проценки	estimacions
проценки	avaluacions
марина	marina
катастрофа	desastre
катастрофа	catàstrofe
напаѓаат	atacant
овозможувајќи	habilitant
тед	ted
индустрии	indústries
пери	perry
терористите	terroristes
призна	confessat
заработка	lucre
хем	hamm
хем	pernil
хем	ham
пиј	beguda
версај	versalles
прост	prost
оценување	avaluació
оценување	avaluadora
сузан	suzanne
сузан	susanne
сузан	susan
сели	sally
третини	terços
мед	mel
јунак	heroi
автобуси	autobusos
мексикански	mexicà
изненадување	sorpresa
дизајни	dissenya
дизајни	dissenys
миранда	miranda
патка	ànec
патка	duck
ема	emma
застапеност	representació
хомер	homer
маја	maya
маја	maja
окленд	auckland
стипендија	beca
маски	màscares
маски	caretes
екстремитети	extremitats
седми	setena
седми	setè
формална	formals
часовници	rellotges
тркала	rodes
бохемија	bohèmia
победува	victòries
победува	guanya
оптика	òptica
магнетни	magnètic
кантон	cantó
раководење	gestió
случајна	atzar
случајна	aleatòria
случајна	aleatori
апсолутно	absolutament
студена	fred
забранета	prohibit
забранета	prohibit
забранета	prohibida
доброволци	voluntaris
активист	activista
погубен	executat
погубен	executada
терминологија	terminologia
нуклеарно	nuclear
вулкани	volcans
данте	dante
управител	governador
едвардс	edwards
братислава	bratislava
кристоф	kristof
кристоф	kristoff
кристоф	christophe
кристоф	christoph
практични	pràctic
глазгов	glasgow
истакнато	destacat
референци	referències
зоја	zoia
кент	kent
отпорност	resistència
мајорка	mallorca
мајорка	mallorca
хејс	hays
хејс	hayes
невработеноста	desocupació
невработеноста	atur
аферата	afer
тесни	estret
вртење	spinning
вртење	girant
вртење	espín
вртење	spin
карактери	personatges
карактери	caràcters
љубомир	ljubomir
прстите	dits
моќна	poderós
моќна	poderosos
моќна	potent
моќна	poderosa
моќна	poderoses
белешка	nota
стекнување	cobrant
стекнување	adquirir
ниче	nietzsche
ганди	gandhi
предизвикан	impugnat
предизвикан	impugnades
бастон	bastogne
литературна	literari
литературна	literària
литературна	literàries
долар	dòlar
тувалу	tuvalu
седница	session
седница	sessió
пронаоѓање	troballa
пронаоѓање	trobant
задачите	tasques
полицајци	polis
полицајци	policies
полицајци	policies
полицајци	oficials
земање	tenint
водеше	ran
водеше	led
комунист	comunista
повика	insta
повика	cridat
анкара	ankara
мареј	murray
кривични	criminal
кривични	penals
кривични	penal
хелен	helen
скендербег	skanderbeg
електро	electro
добивањето	cobrant
добивањето	rebre
генетика	genètica
точната	exacte
точната	exactes
претходен	anterior
анимиран	animades
анимиран	animat
инчи	polzades
сребрена	plata
београд	beograd
таџикистан	tadjikistan
погледнете	contemplin
покровителство	auspicis
социјалистички	socialista
рамо	espatlla
рекламирање	publicitat
заклучно	concloents
алјаска	alaska
жлезда	glàndula
скорпија	escorpió
бактериите	bacteris
цвет	flor
селтик	celta
селтик	celtic
премини	passatges
семјуел	samuel
демонстрации	demostració
демонстрации	manifestació
демонстрации	manifestacions
демонстрации	demostracions
демонстрации	mobilitzacions
сојузник	aliat
дождови	pluges
дождови	aiguat
хардвер	maquinari
штетни	nocius
штетни	nocives
штетни	nociu
штетни	perjudicar
ладење	refrigeració
ладење	refredament
остар	sharp
остар	sostingut
федерални	federal
руралните	rurals
погребот	funeral
пронајдоци	invents
натприродни	sobrenatural
моли	molly
мтв	mtv
покрив	teulada
покрив	sostre
чудо	miracle
отсуството	absència
рајт	wright
матка	úter
матка	ventre
хрвати	croats
бунтовниците	rebels
топологија	topologia
сличност	similitud
сличност	semblança
сличност	similituds
сличност	similitud
влажни	humitats
влажни	humida
влажни	mullat
прецизност	precisió
прецизност	precisió
прецизност	exactitud
лама	lama
лама	llama
автобиографија	autobiografia
муслиманско	musulmà
лувр	louvre
шведскиот	suec
страст	passió
страст	ànsies
словачки	eslovac
величини	talles
величини	mides
муниција	municions
муниција	munició
надминат	excedeixen
надминат	superar
зраците	raigs
професионалци	professionals
професионалци	avantatges
професионалци	pros
функционални	funcionals
функционални	funcional
размножуваат	procrear
конфигурација	configuració
нашироко	àmpliament
дует	duet
првичните	inicial
територијални	territorial
територијални	territorials
бремена	embarassada
бремена	embarassades
тирана	tirana
сериозен	greus
сериозен	seriós
точките	punts
испит	examen
хорор	horror
зрелост	maduresa
зрелост	venciment
тенка	fina
мајсен	meissen
хемијата	química
романтична	romàntic
романтична	romàntica
лео	leo
мулти	multi
мирно	pacífica
цивили	civils
планинарски	alpinisme
желби	desitjos
желби	desitjos
утврден	establerta
мат	mutt
мат	matt
алтернативна	suplent
алтернативна	alternatiu
насилно	violent
свињи	porcí
свињи	porcs
анимирани	animades
анимирани	animat
корелација	correlació
опус	opus
ловец	caçador
ловец	hunter
славни	famosos
нибали	nibali
бауцен	bautzen
екрани	pantalles
потсдам	potsdam
длабок	deep
длабок	profunds
длабок	profund
земјотреси	terratrèmols
покривот	teulada
покривот	sostre
интересна	interesant
интересна	interessant
сочувани	conservats
сочувани	conservat
виолина	violí
пресуда	frase
пресуда	veredicte
пресуда	sentència
даб	dub
дизајнирана	dissenyada
дизајнирана	dissenyat
мајер	meier
мајер	mayer
мајер	meyer
пишан	escrit
чума	plaga
чума	pesta
вокер	walker
регистар	registre
проширен	ampliada
проширен	ampliat
готфрид	gottfried
универзална	universal
присуствува	assisteix
присуствува	assisteixen
присуствува	assistir
фраза	frase
обезбедени	aportada
делегат	delegat
фото	foto
грим	grimm
емилија	emilia
емилија	emília
емилија	emilie
машко	masculí
машко	mascle
куполи	domes
перси	percy
противниците	opositors
трон	tron
никарагва	nicaragua
ликвидност	liquiditat
законодавство	legislació
гота	gòtia
гота	gotha
покажувајќи	demostrant
руанда	rwanda
благодарност	gratitud
благодарност	agraïment
благодарност	reconeixement
гласини	rumors
гласини	rumor
терени	cursos
терени	terreny
даноците	impostos
мапа	mapa
масакр	massacre
голи	despullada
голи	nua
васко	vasco
поединец	individu
поединец	individuals
поединец	individual
формални	formals
старт	inici
старт	comença
плутон	plutó
плутон	pluto
духовно	espiritual
плочки	rajola
плочки	fitxes
укинување	derogatòria
укинување	derogació
укинување	abolició
укинување	aixecament
укинување	aixecant
укинување	abolir
маите	mayan
маите	mayans
творец	creador
дука	ducas
реге	reggae
реге	reggaeton
одбиен	rebutjat
одбиен	denegat
одбиен	denegada
фотограф	fotògraf
фотограф	fotògrafa
полноќ	midnight
полноќ	mitjanit
асен	asen
асен	assen
сомалија	somàlia
примарен	primària
примарен	primari
покривање	cobertura
алгоритам	algorisme
алгоритам	algoritme
вдовица	vídua
преведува	traduint
преведува	tradueix
преведува	traduir
навики	hàbits
галерии	galeries
слободи	llibertats
контроверзии	controvèrsia
контроверзии	polèmica
востанија	aixecaments
филипини	filipines
китови	balenes
тренери	autocars
тренери	entrenadors
бошњаци	bosnians
месје	messier
напредни	avançat
напредни	avançada
напредни	advanced
фергусон	ferguson
партиски	party
партиски	partit
партиски	festa
партиски	partidista
новак	novak
јудаизмот	judaisme
магдебург	magdeburg
галаксијата	galàxia
дива	wild
дива	salvatge
дива	diva
реклама	comercial
реклама	mercantils
реклама	comercials
маркус	marcus
маркус	markus
глумеше	protagonitzar
пензиски	pensió
логор	campament
логор	camp
описи	descripcions
фрајбург	friburg
еднорог	unicorn
ерменски	armeni
риболов	pesca
лестер	lester
лестер	leicester
раствор	dissolvent
раствор	solució
андреас	andreas
андреас	andries
примаат	rebre
ментално	mental
ментално	mentalment
претставуваше	representada
претставуваше	representats
претставуваше	representades
претставуваше	representat
прифаќањето	acceptar
атлас	atles
кандидатот	candidata
кандидатот	candidat
мадона	madonna
мон	mont
мон	mon
летаат	fly
роналд	ronald
унгарците	hongaresos
шерлок	sherlock
кувајт	kuwait
работилници	tallers
грег	greg
грег	gregg
вујко	oncle
вујко	tiet
додаден	afegits
додаден	afegit
затворање	tancament
затворање	empresonament
отпуштен	acomiadat
отпуштен	disparat
дерби	derby
мешаат	barreja
пелопонез	peloponès
прекината	interromput
мирен	calma
мирен	pacífica
баталјон	batalló
рик	rick
индијанец	indi
ридовите	turons
одземање	restar
одземање	resta
одземање	apoderament
карневал	carnaval
карневал	carnestoltes
танцување	ballant
танцување	ballar
пан	pan
литри	bidó
литри	galons
мислата	pensament
протерани	expulsat
протерани	desterrat
кемпбел	campbell
кемпбел	kimble
размислува	considerant
размислува	contemplant
толеранција	tolerància
настапила	gloriosa
настапила	gloriós
ромео	romeu
предизвикано	impugnat
предизвикано	impugnades
извозот	exportacions
терор	terror
фински	finès
статуи	estàtues
делење	compartint
златно	golden
посветеност	dedicatòria
посветеност	dedicació
посветеност	compromís
посветеност	devoció
дневна	diürna
