مالاوی	malawi
زراعت	lantbruk
واجب	obligatoriska
واجب	obligatorisk
واجب	obligatoriskt
واجب	nödvändigt
واجب	nödvändig
واجب	nödvändiga
راستش	egentligen
راستش	faktiskt
بدتر	sämre
بدتر	värre
لوی	levi
لوی	loy
لوی	levy
لوی	avgift
سبزیجات	grönsaker
سبزیجات	vegetabiliskt
سبزیجات	grönsak
سبزیجات	vegetabiliska
سبزیجات	grönsaker
کارخانجات	fabriker
کارخانجات	fabrikerna
مازیار	maz
داس	lie
داس	skäran
داس	das
هموار	slät
هموار	jämn
هموار	slätt
هموار	smidigt
هموار	smidig
قرائت	läser
قرائت	avläsning
قرائت	läsa
قرائت	läsning
نیا	nia
آناتومی	anatomi
سوق	köra
سوق	kör
سوق	drive
هیلز	kullarna
هیلز	kullar
هیلز	hills
انتصاب	förordnande
وفاداری	trohet
وفاداری	lojalitet
بارانی	dusch
بارانی	regnig
بارانی	regn
بارانی	rain
بیچ	beech
بیچ	stranden
بیچ	beach
بیچ	strand
بیستون	biston
کیفری	kriminella
کیفری	kriminell
کیفری	brottslig
کیفری	brottsling
کیفری	brottmål
آرزو	önskan
آرزو	önskar
آرزو	önska
آرزو	wish
آرزو	önskar
تصمیمات	avgöranden
تصمیمات	beslut
دانشگاهیان	akademiker
دانشگاهیان	academia
ضرر	förlust
ضرر	förluster
جنون	demens
جنون	galenskap
جنون	vanvett
جنون	vansinne
جنون	dårskap
جنون	galenskap
جنون	vansinne
متقاعد	övertygas
متقاعد	övertygade
متقاعد	övertygad
متقاعد	övertygat
متقاعد	övertyga
متقاعد	övertygar
متقاعد	övertygande
تایلر	tyler
عزت	ära
عزت	heder
عزت	ära
عزت	heder
عزت	hedra
عزت	ära
عزت	härlighet
عزت	glory
تمبر	stämpel
تمبر	stämplar
تمبر	frimärken
بلگراد	belgrad
معاملات	erbjudanden
معاملات	transaktioner
یاقوت	safirer
یاقوت	rubiner
یاقوت	ruby
نوزده	nitton
نوزده	nineteen
پرسی	percy
دستکاری	manipulera
دستکاری	manipulerar
دستکاری	manipulering
دستکاری	manipulation
معجزه	mirakel
معجزه	mirakel
باهم	tillsammans
خوردگی	korrosion
لوکوموتیو	lok
لوکوموتیو	lokomotiv
بدهی	skulder
بدهی	skulder
بدهی	skulder
بدهی	skuldsättning
بدهی	skuld
کلیساها	kyrkor
پرستوی	svälja
پرستوی	svala
پرستوی	sväljer
چادر	tält
چادر	campa
چادر	camping
چادر	tält
عمو	onkel
عمو	morbror
عمو	uncle
عمو	farbror
نوسان	oscillerande
نوسان	sving
نوسان	gunga
نوسان	svinga
نوسان	swing
سرنشین	passagerare
سرنشین	besättning
سرنشین	besättningen
سرنشین	manskap
سرنشین	crew
زنجیر	kedja
زنجیر	kedjan
اسپانیای	spanien
ایزوتوپ	isotoper
ایزوتوپ	isotop
ین	yen
دلالت	antyder
دلالت	betecknar
نیزه	spjut
نیزه	spjutet
پارالمپیک	paralympiska
مشهود	bevittnat
مشهود	bevittnade
اسپنسر	spencer
طوطی	papegojor
طوطی	papegoja
آپالاشیا	appalachia
لاتزیو	lazio
بلژیکی	belgiska
بلژیکی	belgare
بلژیکی	belgisk
بلژیکی	belgiskt
اسکاندیناوی	skandinavien
اسکاندیناوی	skandinaviska
اسکاندیناوی	skandinavien
بارو	barrow
کمینه	minimalt
کمینه	minst
کمینه	minimum
کمینه	minsta
کمینه	minimala
کمینه	minimal
کمینه	minimalt
کاراته	karate
دستگاهی	anordning
دستگاهی	enhet
دستگاهی	enheten
کوپه	kupé
کوپه	utrymme
کوپه	delområde
کوپه	fack
کوپه	coupé
کوپه	coupe
سرما	kallt
سرما	förkylning
سرما	kall
سرما	cold
سرما	kyla
آموزگار	lärare
شجاعت	kurage
شجاعت	modet
شجاعت	mod
توران	turan
پرستار	amma
پرستار	sköterska
پرستار	syster
پرستار	sjuksköterska
مشکی	black
مشکی	svart
مشکی	svarta
بنگال	bengal
الحاق	tillägg
الحاق	anslutningen
الحاق	anslutning
الحاق	tillfoga
توریستی	turist
ایان	lan
ایان	ian
جاوه	java
متعهد	bundna
متعهد	bundet
متعهد	bunden
متعهد	bindas
متعهد	engagerad
متعهد	begått
متعهد	engagerade
متعهد	engagerat
بلیز	belize
مسمومیت	förgiftning
مسمومیت	toxicitet
مجرد	singlar
مجرد	ungkarl
مجرد	ogift
مجرد	ogifta
تحکیم	konsolidering
سرگئی	sergei
سرگئی	sergej
درخشش	skiner
درخشش	lysa
درخشش	putsa
درخشش	skina
درخشش	ljusstyrka
درخشش	lysande
درخشش	lyser
درخشش	glödande
درخشش	glitter
درخشش	sken
درخشش	lyser
درخشش	glöd
اینترنشنال	internationalen
اینترنشنال	international
اینترنشنال	internationell
اینترنشنال	internationella
اینترنشنال	internationellt
دیترویت	detroit
فرعون	farao
سهره	fink
سهره	finch
هارون	harun
صمد	samad
شنوایی	utfrågning
شنوایی	hörande
شنوایی	hörsel
جواهر	ädelstenar
جواهر	juveler
جواهر	juvel
جواهر	jewel
جواهر	smycken
جواهر	smycke
هیجان	spänning
هیجان	upphetsning
هیجان	upphetsad
برانگیز	uppmanar
برانگیز	yrka
برانگیز	väcka
پرتره	stående
پرتره	porträtt
تومور	tumör
فضاپیما	rymdfarkoster
فضاپیما	rymdskepp
فضاپیما	rymdskepp
فضاپیما	rymdskeppet
کپسول	kapsel
کپسول	kapslar
بیسبال	baseboll
بیسبال	baseball
کروموزوم	kromosomer
کروموزوم	kromosom
خستگی	utmattning
خستگی	trötthet
خستگی	tristess
خستگی	konsumtion
خستگی	utmattning
بسامد	frekvensen
بسامد	frekvens
استعفای	avgång
استعفای	avskedsansökan
استعفای	avsked
چاپلین	chaplin
الکتریسیته	el
الکتریسیته	elektricitet
کریک	bäcken
کریک	creek
پنجاب	punjab
غیرممکن	omöjliga
غیرممکن	omöjligt
غیرممکن	omöjlig
اشیا	objekt
اشیا	föremål
مشت	nävar
مشت	bål
مشت	näve
ربع	kvartalet
ربع	kvartal
ربع	kvart
ربع	fjärdedel
سهولت	lindra
سهولت	lätthet
کنسولگری	konsulatet
کنسولگری	konsulat
جسیکا	jessica
مجنون	galen
مجنون	sinnessjuk
مجنون	sinnessjuka
مجنون	mad
مجنون	arg
ویکیپدیای	wikipedia
بالکان	balkan
بالکان	balkan
باروری	fertilitet
باروری	fertiliteten
باروری	dräktighet
هوافضا	aerospace
عزاداری	sörja
عزاداری	sörjer
عزاداری	sorg
عزاداری	sörjer
عزاداری	sörjande
اضطراب	ångest
شرلوک	sherlock
نسیم	bris
اضطراری	nödfall
اضطراری	nödsituation
اضطراری	akut
ثور	thur
ثور	tor
ثور	thor
نزاکت	takt
فروهر	väsen
باکس	låda
باکس	box
باکس	boxas
اسکوشیا	scotia
میش	tackor
تعصب	intolerans
تعصب	fördomar
تعصب	dogm
تفنگداران	musketörerna
تفنگداران	kåren
تفنگداران	kår
تفنگداران	corps
کرک	kirk
رحیمی	rahimi
درصدی	procent
درصدی	procentsats
سنتز	syntes
افغانی	afghansk
افغانی	afghanska
افغانی	afghansk
نیر	nir
اصولی	systematiska
اصولی	systematisk
اصولی	systematiskt
وارده	kvarstående
سپید	vita
سپید	white
سپید	vit
سپید	vitt
واسکو	vasco
متناهی	ändliga
هدر	heather
طبع	temperament
نیکولا	nicola
نیکولا	nikola
دریچه	ventil
دریچه	luckan
دریچه	lucka
دریچه	hatch
احساسی	känslomässiga
احساسی	känslomässigt
احساسی	emotionell
احساسی	känslomässig
احساسی	emotionellt
انجیر	ficus
انجیر	fikon
انجیر	fig
انجیر	anjir
جوهر	toner
جوهر	bläck
جوهر	ink
پلاستیکی	plast
پن	penn
پن	pan
سس	sås
تیغ	blade
تیغ	klinga
مولر	müller
مولر	mueller
مولر	muller
انتقالی	övergångsperiod
مبدا	ursprung
رولز	rullar
رولز	rolls
آرژانتینی	argentinska
آرژانتینی	argentinska
کیل	kale
کیل	kiel
وقفه	avbryta
وقفه	avbrott
وقفه	pausen
وقفه	paus
وقفه	avbrott
گواهینامه	licens
گواهینامه	körkort
گواهینامه	license
گواهینامه	intyg
گواهینامه	certifikat
روال	rutin
روال	rutinmässigt
فراموشی	glömmer
فراموشی	glömma
زامبیا	zambia
تم	tam
تم	tema
فاش	röja
فاش	avslöjar
فاش	avslöja
فاش	offentliggörande
فاش	utlämnande
فاش	avslöjande
ویروسی	viral
ویروسی	virus
بابلی	babylon
بابلی	babyloniska
صداهای	röster
سوسن	lilium
سوسن	susan
رینگ	ring
کفایت	räcka
کفایت	räcker
خطرات	risker
خطرات	faror
هاردی	hardy
مخالفین	motstånd
مخالفین	oppositionen
مخالفین	invändning
مخالفین	opposition
گوزن	stag
گوزن	älg
گوزن	hjortar
گوزن	rådjur
گوزن	hjort
گوزن	caribou
نیومن	newman
نیومن	neumann
دورتموند	dortmund
الیاس	elijah
الیاس	elia
الیاس	elias
لیزری	laser
پاداش	bonus
پاداش	belöningar
پاداش	belöna
پاداش	belöning
نفرین	förbannelse
لمس	touch
لمس	beröring
لمس	vidrör
لمس	vidröra
لمس	rör
لمس	beröring
لمس	rörande
لمس	vidröra
لمس	berörde
لمس	rörde
لمس	rörd
لمس	berört
سوئیسی	schweiziska
سوئیسی	schweizisk
سویا	sojabönor
واگذاری	delegera
واگذاری	delegat
کارن	karen
مهندسین	ingenjörer
قشر	cortex
طاووس	påfågel
اسکلت	chassi
اسکلت	skelettet
اسکلت	skelett
اسکلت	skelett
پدربزرگ	farfar
پدربزرگ	morfar
پدربزرگ	farfar
پدربزرگ	morfar
گروپ	gruppen
گروپ	grupp
گروپ	gruppera
انحصار	monopolet
انحصار	monopol
انحصار	monopolställning
منجمد	frusen
منجمد	fryst
منجمد	frusna
منجمد	frysta
منجمد	fruset
فواصل	avstånd
فواصل	sträckor
فواصل	intervaller
فلامینگو	flamingo
خدایی	gud
سیار	rörlig
سیار	mobil
سیار	mobila
پادگان	grunder
پادگان	baser
پادگان	garrison
پادگان	garnisonen
گرمایش	uppvärmning
گرمایش	upphettning
گرمایش	värme
خلاقیت	kreativitet
خلاقیت	kreativiteten
خلاقیت	kreativ
خلاقیت	kreativa
خلاقیت	kreativt
امریکایی	american
امریکایی	amerikan
امریکایی	amerikanskt
امریکایی	amerikansk
امریکایی	amerikanska
بارون	baron
بارون	baronen
بارون	regn
بارون	rain
بیکر	baker
بیکر	bagare
بروسیا	borussia
گی	bög
گی	gay
مخرب	destruktiv
مخرب	destruktiva
تهمت	förtal
تهمت	förtal
تهمت	förtal
تاسیسات	anläggning
آبیلا	ávila
حسگر	sensor
حسگر	givare
حسگر	sensorn
مستعمره	koloni
مستعمره	kolonin
بودا	buda
بودا	buddha
مکاتب	kommunikatör
صاریغ	opossum
خودگردان	självständig
خودگردان	autonoma
خودگردان	självstyrande
خودگردان	autonom
محققین	forskare
قسطنطنیه	konstantinopel
ایمن	säkert
ایمن	kassaskåp
ایمن	säker
ایمن	säkra
ایمن	ayman
ایمن	trygga
ایمن	säkrat
ایمن	säker
ایمن	säkra
ایمن	eamon
جفرسون	jefferson
ناخواسته	oavsiktliga
ناخواسته	oönskade
ناخواسته	oönskad
ناخواسته	oönskat
کاوشگر	sond
کاوشگر	sonden
کاوشگر	delstaterna
کاوشگر	upptäcktsresande
کاوشگر	explorer
قطعاً	definitivt
ویرانی	förstöra
ویرانی	ruin
ویرانی	förstörelse
ویرانی	förstöring
ویرانی	destruktion
غده	tumör
غده	körtel
غده	körtlar
بروک	brooke
بروک	bäck
بروک	brook
یزید	yazid
کاله	kalle
کاله	calais
مرمر	marmor
مرمر	marble
مقاصد	avsikter
مقاصد	intentioner
مقاصد	ändamål
مقاصد	syften
مقاصد	destinationer
مقاصد	resmål
زیارتگاه	helgedom
گراد	grad
سنتور	centaur
توفیق	bistånd
توفیق	stöd
توفیق	assistans
رکن	pelaren
رکن	stöttepelare
رکن	pillar
رکن	pelare
پاسخگویی	svar
پاسخگویی	besvara
پاسخگویی	svara
پاسخگویی	svar
پاسخگویی	gensvar
پاسخگویی	respons
جنسیتی	kön
گیلبرت	gilbert
پدرو	pedro
تریلر	thriller
تریلر	släpvagn
تریلر	släp
تریلر	trailer
تریلر	husvagn
چاک	chuck
ضلعی	fyrhörning
خوک	grisar
خوک	svin
خوک	grisen
خوک	gris
خوک	svin
بازوی	arm
بازوی	armen
دوازدهمین	tolfte
مدیاویکی	mediawiki
بیداری	vaken
بیداری	vakna
جامی	cups
جامی	muggar
جامی	koppar
جامی	kopp
جامی	bägare
جامی	cup
نیکون	nikon
بازتابی	tillbakablickar
آری	aye
تزئینات	utmärkelser
تزئینات	dekorationer
شوهرش	maken
شوهرش	make
کالین	colin
برونو	bruno
مارپیچی	spiral
باخ	bach
بازگشایی	återupptagande
مونتاژ	montage
گمنام	anonym
گمنام	anonyma
ناراحتی	tråkigt
ناراحتی	sad
ناراحتی	tragiskt
ناراحتی	ledsen
ناراحتی	sorgligt
محبت	vänlighet
محبت	ömhet
محبت	tillgivenhet
همخوانی	enhetlighet
همخوانی	samstämmighet
همخوانی	konsekvens
همخوانی	konsekvent
همخوانی	konsistens
باک	buck
باک	bak
باک	bock
کارا	kara
کارا	cara
جنبشی	kinetiska
وبا	kolera
جهانگردان	utforskare
جهانگردان	upptäcktsresande
آستوریاس	asturien
تزئین	dekoration
تزئین	dekorera
پیشوند	prefix
بیهوشی	mörkläggning
بیهوشی	strömavbrott
بیهوشی	blackout
نشستن	sitter
نشستن	sittande
شایان	cheyenne
نیایش	tillbedjan
نیایش	förhärligande
نیایش	böner
