友善	friendly
戒指	ring
戒指	singsing
戒指	tawagan
戒指	singsing
戒指	rings
祭司	pari
握手	pakikipagkamay
酒井	sakai
乘法	multiplikasyon
繪圖	mapping
繪圖	drawings
繪圖	graphics
繪圖	pagguhit
繪圖	drawing
調任	reassignment
乙酸	acetate
大屠殺	massacre
大屠殺	holocaust
食堂	canteen
食堂	cafeteria
劫持	abduksiyon
劫持	hijack
誓	panunumpa
損壞	nasira
損壞	damage
損壞	pinsala
損壞	damages
專長	nitso
專長	espesyalidad
專長	specialty
專長	kadalubhasaan
羅素	russell
基底	substrate
基底	saligan
基底	silong
基底	basement
骨架	kalansay
特種部隊	swat
音速	sonic
叻	lat
密西西比州	mississippi
標語	slogan
標語	islogan
雙邊	bilateral
警務	pulisya
警務	pulis
仙女座	andromeda
橘子	orange
橘子	kahel
橘子	oranges
川口	kawaguchi
死亡率	mortality
歌聲	kumakanta
歌聲	kantahan
歌聲	pagkanta
症候群	syndrome
布加勒斯特	bucharest
存款	deposito
存款	deposit
獨裁	awtokrasya
獨裁	diktadura
朝倉	asakura
宮廷	palasyo
想象	imahinasyon
想象	maisip
想象	akala
祈禱	pray
祈禱	magdasal
祈禱	panalangin
祈禱	dasal
祈禱	prayer
祈禱	pagdarasal
祈禱	panalangin
祈禱	prayers
相容	compatible
相容	katugma
相容	compatibility
廚師	chef
廚師	lutuin
廚師	kusinero
天王星	urano
王冠	korona
王冠	crowns
營養	nutrisyon
營養	sustansya
愛媛	ehime
橡膠	goma
教義	creed
教義	doktrina
教義	doctrine
扳機	trigger
探險	pakikipagsapalaran
探險	adventure
探險	tiki
區塊	blocks
區塊	harangin
區塊	harang
區塊	block
地道	tunnel
所羅門	salomon
所羅門	solomon
腕	pulso
附上	kalakip
機長	captain
機長	kapitan
機長	kapitana
聲援	pagkakaisa
核子	nuclear
殘餘	remnant
莖	tangkay
莖	stem
雨林	rainforest
廢棄	iniwan
檢視	tinitingnan
檢視	pagtingin
檢視	pagtingin
檢視	tingnan
檢視	tignan
檢視	panonood
檢視	view
學說	doktrina
學說	doktrina
學說	doctrine
大提琴	cello
加熱	init
加熱	pinainit
還原	ibalik
還原	ibalik
暴風	bagyo
巴頓	patton
誘惑	panunukso
誘惑	tukso
掃描	scanning
掃描	scan
掃描	scan
法典	codex
壺	pot
壺	palayok
壺	takure
壺	kaldero
電報	telegram
電報	telegraph
升降機	elevator
機密	confidential
城牆	pader
芭蕾舞	ballet
諾曼	norman
環礁	karang
斐濟	fiji
潛在	posibleng
呼叫	tumawag
呼叫	tawagan
呼叫	tawag
呼叫	pagtawag
呼叫	tumatawag
硝酸	nitrate
嵌入	embedded
口腔	bunganga
口腔	bibig
口腔	bibig
港灣	harbor
港灣	daungan
港灣	harbour
時鐘	orasan
滑翔	gliding
論點	argumento
論點	argumento
論點	argument
論點	pagtatalo
菊池	kikuchi
左邊	natitira
左邊	pakaliwa
左邊	iniwan
左邊	naiwan
左邊	kaliwa
勇氣	katapangan
勇氣	tapang
天線	antena
絕望	despair
絕望	desperado
絕望	desperate
摩納哥	monako
格言	motto
格言	moto
格言	maxim
腐	mabulok
甘肅	gansu
敵對	masungit
出處	pinanggalingan
出處	origin
出處	pinagmulan
電磁	electromagnetic
瘋	nababaliw
瘋	ulol
瘋	baliw
瘋	loko
金子	ginto
金子	gold
贏	manalo
災害	sakuna
災害	kalamidad
持久	matibay
持久	panghabang
持久	pangmatagalang
字元	character
字元	characters
晚餐	hapunan
晚餐	hapunan
晚餐	supper
豆腐	tokwa
捐助	donasyon
山茶	camellia
獵物	manghuli
東正教	ortodoksong
燕子	lunukin
鄰居	kapitbahay
鄰居	kapwa
鄰居	kapitbahay
鄰居	neighbor
會計師	accountant
橢圓	elipso
追逐	pursuit
追逐	chase
君士坦丁	constantine
君士坦丁	constantino
美式足球	football
天然氣	gas
方塊	kubo
方塊	cube
方塊	parisukat
均衡	balanseng
均衡	balanse
均衡	balanse
掃	sweep
叢林	gubat
叢林	jungle
慶典	pagdiriwang
慶典	selebrasyon
藏文	tibetan
色素	pigment
膝	tuhod
膝	tuhod
保管	kustodiya
省長	prefect
省長	governor
省長	gobernador
粗糙	rough
粗糙	magaspang
激情	passion
擦音	fricative
珍貴	precious
門票	tiket
門票	ticket
門票	tiket
長春	changchun
毒素	toxin
轎車	sedan
俄亥俄	ohio
獅子座	leo
經濟學家	economist
經濟學家	ekonomista
夔	kui
輸送	conveyor
約瑟	joseph
約旦	jordan
性行為	sexuality
性行為	pakikipagtalik
性行為	sex
地下室	saligan
地下室	silong
地下室	basement
昨天	kahapon
兄妹	magkakapatid
兄妹	magkapatid
兄妹	kapatid
佛法	dharma
詳情	detalye
詳情	detalye
生殖	reproductive
生殖	pagpaparami
十個	sampung
十個	sampu
交配	mate
小川	ogawa
冰球	hockey
投射	projection
漢城	seoul
藥用	panggamot
酸性	acidic
酸性	acid
酸性	asido
酸性	acidity
展望	outlook
展望	pangitain
展望	paningin
多明尼加	dominikano
多明尼加	dominican
週年紀念	anibersaryo
世系	lahi
世系	baba
猴子	unggoy
抬	angat
歐文	owen
歐文	irving
俄文	russian
俄文	ruso
揭示	naglalabas
前景	foreground
前景	prospects
妄想	paranoid
成年人	adult
成年人	matanda
冬青	holly
空前	nakagagawa
大炮	cannon
明智	matalino
抽籤	gumuhit
椅	upuan
椅	silya
椅	upuan
聖人	santo
聖人	santa
阿瑟	arthur
捕獲	kunan
捕獲	kumuha
捕獲	capture
捕獲	captures
聽眾	tagapakinig
聽眾	tagapakinig
蒜	bawang
居所	paninirahan
居所	residence
居所	tirahan
優點	pakinabang
優點	kalamangan
優點	bentahe
優點	samantalahin
優點	advantage
優點	kalamangan
思維	iniisip
計程車	taxi
計程車	taksi
布魯塞爾	brussels
失業	unemployment
砷	arseniko
昂貴	mahal
昂貴	magastos
昂貴	mamahaling
大麻	cannabis
大麻	marijuana
小丑	joker
小丑	payaso
小丑	pusong
抗生素	antibiotic
抗生素	antibyotiko
專營	franchise
關島	guam
自轉	rotation
自轉	ikot
大通	chase
破碎	broken
破碎	panganay
破碎	sira
破碎	nasira
破碎	nabagabag
語氣	tone
語氣	tono
老年	older
隔離	paghihiwalay
隔離	paghihiwalay
隔離	isolated
砸	smash
砸	mapanira
生病	ill
生病	nagkasakit
生病	maysakit
生病	sick
中位數	panggitnang
摔跤	wrestling
高爾夫球	golf
證書	certificates
證書	sertipiko
證書	sertipiko
證書	certificate
證書	katibayan
濟南	jinan
山脊	ridge
惡作劇	kapangalan
佈局	layout
日產	nissan
青蛙	palaka
青蛙	palaka
面板	panel
探險家	explorer
探險家	panginoon
拖延	delay
拖延	pagkaantala
伴隨	samahan
伴隨	hatid
骨灰	ashes
安息	rip
預留	reserved
商家	negosyante
執照	lisensya
執照	licence
執照	lisensiya
執照	lisensya
煩惱	inis
煩惱	naiinis
鮑威爾	powell
脊椎動物	vertebrates
混合物	halo
粉紅色	pink
粉紅色	rosas
先例	precedent
頸部	leeg
脆弱	marupok
定制	customized
定制	custom
火花	sparks
火花	spark
脈衝	pulso
脈衝	tibok
客房	kuwarto
客房	kwarto
協和	concord
餐飲	kainan
餐飲	nakatakda
亞馬遜	amazon
微弱	malamlam
眼淚	tear
眼淚	luha
特赦	amnesty
電影院	sinehan
電影院	theater
電影院	teatro
電影院	sinehan
電影院	cinema
休假	umalis
休假	iwan
休假	iwanan
海牙	hague
口音	accent
領導者	lider
言語	salita
肢	limbs
王座	trono
綏	tuy
容忍	pagpapaubaya
容忍	tolerance
容忍	pinahihintulutan
四重奏	quartet
州際公路	interstate
核糖	ribose
偏好	kagustuhan
偏好	kagustuhan
糖果	sweets
糖果	kendi
糖果	candy
山寨	cottage
利潤	tubo
利潤	kumikita
範例	paradaym
範例	halimbawa
範例	halimbawa
弊	kahinaan
施政	pamamahala
切換	switch
切換	lumipat
切換	lumilipat
琮	cong
瘟疫	salot
蚜	aphid
捍衛	ipagtanggol
捍衛	defending
海邊	seaside
奔跑	takbo
奔跑	pagtakbo
奔跑	tumatakbo
括號	bracket
震驚	gulat
震驚	shock
震驚	nagulat
貨櫃	lalagyan
協作	magtulungan
協作	tulungang
協作	collaboration
協作	pakikipagtulungan
協作	kolaborasyon
郵件	mail
郵件	sulat
郵件	koreo
無視	pansinin
無視	ignore
無視	balewalain
無視	binabalewala
代理人	agents
代理人	proxy
代理人	ahente
代理人	agent
材質	materyal
材質	materyales
呂宋	luzon
美味	malasa
美味	masarap
虧損	kawalan
虧損	pagkawala
虧損	pagkalugi
虧損	deficit
熔	matunaw
口袋	bulsa
蜜蜂	bubuyog
蜜蜂	bees
蜜蜂	bubuyog
蜜蜂	bee
瑜伽	yoga
安第斯山脈	andes
硫磺	sulfur
茉莉	molly
療法	therapy
包機	chartered
注意力	atensyon
注意力	pansin
狐狸	fox
石灰岩	apog
閏	leap
站立	standing
站立	nakatayo
站立	tumayo
站立	stand
鼓吹	tagapagtanggol
鼓吹	nagtataguyod
印度支那	indotsina
同化	asimilasyon
對峙	gulo
鍋	pot
鍋	palayok
鍋	kaldero
職責	duty
職責	tungkulin
職責	tungkulin
孵化	hatched
大連	dalian
文藝復興	renaissance
忠誠	loyal
忠誠	katapatan
忠誠	tapat
忠誠	faithful
祖國	fatherland
休士頓	houston
舍利	cheri
供電	elektrisidad
供電	kuryente
四肢	limbs
莎莉	sally
視窗	windows
視窗	bintana
抗原	antigen
抗原	antigens
老化	tumatanda
老化	iipon
老化	pagtanda
多哈	doha
守護者	tagapangalaga
守護者	guardians
守護者	guardian
經紀人	broker
發育	sikolohiyang
仇恨	hate
矮人	bulilit
矮人	duwende
不規則	lubak
不規則	irregular
穩定性	katatagan
混沌	nagkagulo
混沌	kaguluhan
鑰匙	susi
鑰匙	key
世襲	hereditary
櫻桃	cherry
櫻桃	seresa
櫻桃	seresa
執事	deacon
哀悼	pagluluksa
摩托車	motor
摩托車	motorsiklo
加重	sinamantala
大亨	mogul
大亨	tycoon
安慰	kaginhawahan
安慰	kaginhawaan
空手道	karate
乾燥	tuyo
乾燥	tuyong
乾燥	pagpapatayo
點數	credits
點數	kredito
點數	points
警示	alerto
警示	alert
土佐	tosa
潛力	posibleng
勞倫斯	lawrence
班級	pasok
班級	klase
奧斯汀	austin
吉野	yoshino
送出	magpadala
送出	ipadala
管理者	namamahala
管理者	manager
管理者	tagapamahala
管理者	managers
管理者	tagapamahala
管理者	tagapangasiwa
哈桑	hassan
委派	assignment
委派	pagtatalaga
聚焦	nakatuon
聚焦	pagtuon
聚焦	focus
聚焦	tuon
全景	panorama
佐賀	saga
後宮	harem
佛羅里達	florida
誤導	mapanlinlang
誤導	nakakalinlang
工地	site
特質	un
腎	kidney
腎	bato
回憶錄	memoirs
回憶錄	talambuhay
鈎	hook
鈎	kawit
鈎	hooks
觸發	trigger
未婚	unmarried
香水	bango
香水	pabango
美式	amerikano
診所	klinika
診所	klinika
診所	clinic
大膽	bold
胚胎	bilig
感知	perception
感知	perceptions
違規	paglabag
違規	paglabag
鈣	calcium
關節	dugtong
關節	pinagsamang
關節	kasu
煤礦	uling
學期	sem
學期	term
學期	termino
學期	kataga
侵蝕	kapnayan
後勤	logistics
後勤	logistics
固體	solid
寄宿	boarding
寄宿	pagsakay
寄宿	residential
寄宿	tirahan
鼻子	ilong
芝麻	linga
瓷器	porselana
勐	mueang
諜	spy
訂單	order
訂單	orders
特權	privilege
特權	pribilehiyo
特權	pribilehiyo
漁民	mangingisda
徵求	nakikipagtalik
水解	hydrolysis
痕跡	bakas
猩猩	gorilla
猩猩	orangutan
猩猩	ape
證人	jehova
證人	testigo
證人	witness
日內瓦	geneva
梅森	mason
本體	ontolohiya
女巫	witch
擁抱	yakap
擁抱	yakap
擁抱	yakap
西邊	west
西邊	kanluran
出國	abroad
陣列	arrays
陣列	array
耐心	patience
耐心	pasensya
耐心	tiyaga
耐心	pagtitiis
紡織	tela
紡織	hinabi
紡織	tela
潛水	diving
潛水	sisid
潛水	sumisid
潛水	dive
竇	sinus
竇	gilagid
竇	aso
竇	dog
竇	dou
擾亂	pagkaputol
同源	homologous
吸引力	attraction
吸引力	akit
吸引力	bumenta
甘蔗	tubo
甘蔗	cane
哭泣	umiyak
哭泣	cry
哭泣	iiyak
哭泣	iyak
哭泣	umiiyak
賭博	sugal
賭博	pagsusugal
功效	birtud
成型	pagbabalangkas
腫瘤	tumor
腫瘤	bukol
紀律	disiplina
酷刑	torture
口服	bibig
廣東話	kanton
展品	exhibit
仰光	yangon
豁免	patawad
豁免	exemption
豁免	kalayaan
豁免	immunities
南昌市	nanchang
史詩	epic
史詩	epiko
花絮	trivia
暹羅	siamese
暹羅	siyam
鑄造	casting
刪去	tanggalin
刪去	burahin
刪去	delete
礦物	mineral
礦物	mineral
攝政	regent
芳香	aromatic
芳香	bango
芳香	aroma
民謠	ballad
民謠	katutubong
民謠	folk
明文	kalaswaan
服務業	serbisyo
守衛	guwardiya
守衛	guard
守衛	bantay
氣球	lobo
籃板	reb
籃板	rebounds
倫理	etikal
倫理	ethics
一幕	pinangyarihan
一幕	eksena
一幕	tanawin
摸	touch
摸	hipo
投放	pagdadala
投放	delivery
投放	paghahatid
神學院	seminary
憲政	konstitusyonal
瀋陽	shenyang
艾瑪	emma
類比	analogo
類比	analog
雅加達	jakarta
通宵	magdamag
對照	kaibahan
膨脹	expansion
營利	tubo
營利	kumikita
良心	budhi
位移	displacement
招標	malambot
波羅的海	baltiko
雨傘	payong
花生	mani
花生	peanuts
花生	mani
閃光	flash
閃光	glitter
和弦	kuwerdas
和弦	chords
子爵	vicomte
子爵	biskonde
削減	pagputol
削減	hiwa
削減	cut
削減	biyak
髮型	hair
髮型	buhok
里根	reagan
殘酷	malupit
殘酷	brutal
單身	single
單身	solong
大自然	kalikasan
大自然	nature
九個	siyam
雇用	hire
雇用	upa
雇用	paupahan
雇用	upahan
雇用	umupa
悲傷	lungkot
悲傷	malungkot
悲傷	sad
僧侶	monk
僧侶	monks
恐嚇	pananakot
粉紅	pink
粉紅	rosas
反向	reverse
反向	baliktarin
北九州	kitakyushu
原油	krudo
浴	paliligo
浴	paliguan
浴	naliligo
感恩	pasasalamat
感恩	nagpapasalamat
感恩	nagpapasalamat
感恩	pasasalamat
生氣	magalit
生氣	galit
生氣	nagagalit
星期天	linggo
星期天	sunday
工房	kobo
塵埃	alikabok
平滑	makinis
加速器	accelerator
穆爾	moore
薄弱	kahinaan
薄弱	mahina
指明	tukuyin
謊言	kasinungalingan
謊言	magsinungaling
謊言	lie
謊言	kasinungalingan
宙斯	zeus
野獸	beast
填充	padding
填充	filling
填充	pagpuno
填充	punan
填充	fill
高分子	polimero
反省	reflection
敲	knock
頂端	tuktok
頂端	nangunguna
頂端	itaas
角落	kanto
角落	sulok
淋巴	sistemang
郵輪	paglalayag
郵輪	cruise
燈光	ilaw
燈光	liwanag
燈光	magaan
燈光	ilaw
瑪利亞	maria
太陽能	solar
儲備	taglay
儲備	reserve
儲備	reserba
反對派	pagsalungat
藤本	fujimoto
舵	helm
池塘	pond
池塘	lawa
講話	speech
講話	pananalita
講話	talumpati
講話	pagsasalita
離任	papalabas
激發	pasiglahin
禁忌	forbidden
禁忌	ipinagbabawal
禁忌	bawal
假說	hipotesis
邪教	kargo
邪教	kulto
醚	ether
孢子	spores
孢子	spore
噴	spray
榮耀	glory
榮耀	luwalhati
榮耀	kaluwalhatian
偽裝	camouflage
鳩	kalapati
鳩	dove
叛軍	rebel
叛軍	rebelde
叛軍	rebelde
波動	volatile
層次	layers
層次	antas
層次	level
矽	silicon
繡	pagbuburda
匹茲堡	pittsburgh
笨	bobo
笨	tanga
少了	kaunti
少了	less
康復	healing
康復	rehabilitation
康復	pagbawi
康復	pagbangon
康復	paggaling
康復	recovery
布希	bush
莊園	manor
欺騙	cheat
欺騙	impostor
欺騙	panloloko
磁性	magnetic
磁性	magnetismo
內政	panloob
花朵	bulaklak
花朵	bulaklak
炸藥	dinamita
炸藥	sumasabog
皮革	leather
徒弟	alagad
下限	sahig
下限	palapag
牛仔	cowboys
牛仔	cowboy
親戚	relatives
親戚	kamaganak
勘探	kalawakan
疑慮	pagdududa
疑慮	duda
疑慮	doubt
疑慮	alinlangan
上學	paaralan
窯	ware
窯	paninda
窯	hurno
乳房	dibdib
乳房	suso
乳房	suso
正宗	authentic
正宗	tunay
凍	napakalamig
凍	freezing
諾亞	noe
諾亞	noah
感興趣	interesado
館長	curator
偷偷	tumakas
骨折	bali
史學	historyograpiya
泳池	pool
舉例	halimbawa
黏	sticky
灰姑娘	cinderella
牙買加	jamaica
迦太基	kartago
渡假	bakasyon
渡假	vacation
偏差	deviation
偏差	bias
陰影	anino
陰影	shadow
陰影	anino
陰影	lilim
陰影	shade
驚訝	nagulat
鱷魚	buwaya
殘骸	labi
幾內亞	guinea
籽	binhi
付款	pay
付款	bayaran
付款	magbayad
付款	pagbabayad
付款	pagbabayad
付款	kabayaran
付款	bayad
白銀	pilak
白銀	silver
水牛	kalabaw
面部	xa
面部	pangmukha
面部	facial
各部	ministries
厭惡	nadismaya
孫子	apo
孫子	apo
黑幫	gangster
師父	master
瑞穗	mizuho
寶寶	baby
寶寶	sanggol
車庫	garahe
車庫	garage
無畏	fearless
損傷	injury
損傷	pinsala
損傷	damage
損傷	pinsala
缺口	gaps
缺口	puwang
缺口	gap
精華	kakanyahan
分流	diversion
蟒	sawa
口語	sinasalita
力學	mechanics
工匠	craftsman
處罰	parusa
處罰	kaparusahan
處罰	parusa
名聲	reputasyon
序幕	prologue
醋	suka
代理商	ahensiya
代理商	agency
代理商	agents
代理商	ahente
代理商	agent
舒適	kaginhawahan
舒適	kaginhawaan
舒適	maaliwalas
舒適	makapiling
舒適	komportable
舒適	kumportable
嘲笑	mock
充電	singil
充電	charge
哲也	tetsu
飛翔	bangaw
飛翔	fly
飛翔	lumipad
飛翔	lumilipad
礦業	pagmimina
礦業	mining
人馬座	sagittarius
谷地	lambak
谷地	valley
桃子	momoko
桃子	peach
電纜	cable
蝨	lice
腐敗	corrupt
腐敗	kurakot
腐敗	corruption
少數民族	minorities
無聊	boring
造船廠	pagawaan
女朋友	girlfriend
女朋友	gf
女朋友	kasintahan
顎	panga
顎	palate
酒館	pub
政治學	politika
政治學	pulitika
飛碟	ufo
草甸	meadows
供給	suplay
供給	supply
請願	petisyon
荒漠	desert
荒漠	disyerto
潟湖	lagoon
先天	sapul
偽造	huwad
鹿特丹	rotterdam
好奇	curious
放逐	tinapon
利息	interes
利息	patubo
物料	materyal
物料	materyales
物料	materyales
打壓	repression
打壓	suppress
蟻	ant
蟻	langgam
蟻	langgam
耦合	pagkabit
鏢	dart
石英	quartz
辯護	depensa
辯護	defense
辯護	pagtatanggol
波浪	alon
波浪	alon
超自然	supernatural
成龍	jackie
猶太教	jewish
猶太教	hudaismo
血清	serum
小澤	ozawa
凜	rin
愛人	lovers
愛人	lover
各區	pambatas
瓶子	bote
前列腺	prostate
無奈	mahina
小米	millet
化妝	makeup
化妝	pampaganda
演示	demo
演示	pagpapakita
演示	pakita
游擊隊	pakikidigmang
游擊隊	partisan
定罪	nahatulang
定罪	paninindigan
倡議	inisyatiba
盒子	box
盒子	kahon
勉強	bahagya
液態	likido
法郎	franc
博弈	game
博弈	laro
百分比	percentages
百分比	porsiyento
百分比	porsyento
百分比	percentage
百分比	porsiyento
百分比	percent
製造業	paggawa
製造業	paggawa
製造業	manufacturing
製造業	pagmamanupaktura
動議	galaw
動議	mosyon
動議	gumagalaw
狙擊手	sniper
評判	judging
鍋爐	kaldero
經文	verses
經文	kasulatan
會津	aizu
奉獻	dedication
奉獻	dedikasyon
奉獻	nakatutok
奉獻	dedikado
川上	kawakami
禮堂	awditoryum
藥品	medisina
藥品	gamot
藥品	drugs
藥品	droga
藥品	gamot
藥品	gamot
盔	helmet
清新	fresh
清新	sariwa
寧波	ningbo
地基	pundasyon
太極	taiji
雇主	employer
升起	tumaas
憂鬱	mapanglaw
吃了	kumain
創始	amang
詐騙	panloloko
詐騙	pandaraya
詐騙	scam
偷渡	pagdadala
任用	appointment
階梯	ladder
階梯	hagdan
階梯	hagdan
黃蜂	putakti
煙火	paputok
煙火	fireworks
屏障	hadlang
屏障	hadlang
屏障	harang
節點	node
節點	nodes
姿勢	pose
孤兒	orphan
離散	diskretong
週四	thu
週四	huwebes
船塢	pantalan
黨派	partisan
協奏曲	concerto
希伯來	griyego
希伯來	ebreo
希伯來	hebreo
魔術師	salamangkero
最深	deepest
葬禮	libing
儒學	confucianismo
寶座	trono
電子郵件	email
跡象	palatandaan
高能	masigla
高能	energetic
招聘	pangangalap
招聘	recruiting
加速度	akselerasyon
喇叭	sungay
貝勒	baylor
不平等	inequality
晶體	bubog
晶體	crystal
開花	halamang
開花	bloom
開花	pamumulaklak
白話	vernacular
熵	entropy
廉價	mura
廉價	murang
廉價	cheap
空心	hollow
空心	guwang
收養	adopt
收養	adoption
音訊	audio
桂林市	guilin
叛逆	paghihimagsik
外甥	pamangkin
密封	seal
快車	ipahayag
快車	express
警衛	guard
警衛	bantay
信賴	pinagkakatiwalaan
信賴	pinagkakatiwalaang
彌撒	mass
彌撒	misa
彌撒	masa
兩棲	amphibious
古物	antiquities
古物	antiquity
神道	shinto
撞球	pool
後援	backup
鼓舞	gus
鼓舞	panghihikayat
關稅	taripa
關稅	tariff
關稅	kaugalian
關稅	customs
定性	husay
讀取	mabasa
讀取	nabasa
讀取	basahin
讀取	pagbabasa
讀取	binabasa
調動	reassignment
調動	mobility
獨唱	solo
十字軍	krusada
十字軍	crusaders
十字軍	crusader
體力	lakas
體力	tibay
平均值	karaniwan
興奮	kaguluhan
興奮	excited
神龍	dragon
紫外線	ultrabiyoleta
大介	daisuke
申報	ipinapahayag
申報	ipahayag
申報	declare
投注	pustahan
鯊魚	sharks
鯊魚	pating
大腦	brain
大腦	utak
大腦	utak
孤獨	malungkot
孤獨	lonely
單字	salitang
單字	salita
套房	suite
套房	suites
老兵	veteran
老兵	beterano
老兵	sanay
老兵	beterano
老兵	veterans
更低	lower
天秤座	libra
過濾	filter
過濾	salain
過濾	panala
黃道	zodiac
駕駛艙	sabungan
甘地	gandhi
救護	ambulansya
救護	ambulance
蒸氣	singaw
蒸氣	steam
天命	kapalaran
天命	destiny
天命	tadhana
提問	katanungan
提問	tanong
遼寧	liaoning
斜坡	libis
輪椅	wheelchair
袋鼠	kangaroo
開羅	cairo
服從	sundin
服從	pagsunod
水力	hydro
向日葵	sunflower
轉讓	paglilipat
轉讓	ilipat
轉讓	transfer
轉讓	assignment
轉讓	pagtatalaga
轉讓	paglipat
駐軍	garison
反對黨	pagsalungat
博愛	fraternity
冒犯	nakakasakit
早餐	agahan
早餐	almusal
肉體	laman
動力學	dinamika
緯度	latitude
緯度	lat
靈活	flexible
靈活	nababaluktot
靈活	flexibility
薩姆	sam
扣留	bitin
凍結	frozen
凍結	nagyeyelo
凍結	napakalamig
凍結	freezing
凍結	freeze
副本	kopya
副本	copy
副本	kopyahin
