kryetarët	பேச்சாளர்கள்
derri	பன்றி
derri	பன்னி
chi	சி
chi	சீ
besën	வாக்குறுதியை
drejtësia	நியாயம்
drejtësia	நீதி
konkret	கான்கிரீட்
metali	உலோகம்
metali	உலோக
metali	மெட்டல்
mëkat	பாவம்
mëkat	பாவத்தை
integrimi	ஒருங்கிணைப்பு
aplikimi	பயன்பாட்டை
aplikimi	செயலி
aplikimi	பயன்பாடு
kalit	குதிரை
mbetje	எச்சம்
tipar	அம்சம்
tipar	வசதி
maximilian	மாக்சிமிலியன்
nderim	அஞ்சலி
balli	நெற்றியில்
balli	நெற்றி
protokoll	நெறிமுறை
protokoll	நெறிகள்
skocia	ஸ்காட்லாந்து
opozitës	எதிர்ப்பு
momentet	moments
momentet	தருணங்கள்
momentet	கணங்கள்
momentet	தருணங்களை
trasha	தடித்த
trasha	தடிமனான
trasha	அழுத்தமான
këmbës	கணுக்கால்
shalë	சேணம்
jeff	ஜெஃப்
alla	alla
alla	அல்லா
lan	lan
lan	லான்
gjeorgjia	ஜார்ஜியா
kartela	அடைவு
tezën	dissertation
tezën	ஆய்வறிக்கை
mrekullitë	அற்புதங்கள்
mrekullitë	அறிகுறிகள்
mrekullitë	அற்புதங்கள்
mrekullitë	அதிசயங்கள்
sfera	கோளம்
sfera	கோலம்
sfera	உருளை
sfera	கோளங்கள்
sfera	உருண்டை
skenar	எழுத்து
ann	அன்
ann	ஆன்
komercial	வணிக
komercial	வணிகம்
pretendon	பாசாங்கு
shenjave	அறிகுறிகள்
nigeri	நிகர்
nigeri	நைஜீரியா
interesa	ஆர்வங்கள்
diskutueshme	கேள்விக்குரிய
gjashtëmbëdhjetë	பதினாறு
kompjuterin	கணினி
miqësi	நட்பு
umar	உமர்
strehë	தங்குமிடம்
strehë	சரணாலயம்
strehë	புகலிடமாக
pronarët	உரிமையாளர்கள்
rini	இளமை
rini	யூத்
rini	இளைஞர்கள்
rini	இளைஞர்
rini	இளைஞர்களின்
rini	lag
principata	principality
benz	பென்ஸ்
nebraska	நெப்ராஸ்கா
koment	கருத்தைப்
koment	குறிப்புரை
koment	கருத்தை
koment	கருத்து
modifikuar	திருத்தப்பட்டது
modifikuar	மாற்றப்பட்டது
modifikuar	மாற்றப்பட்ட
shprehin	விரைவுவண்டி
shprehin	எக்ஸ்பிரஸ்
bernardo	பெர்னார்டோ
mundesi	வாய்ப்பு
mundesi	வாய்ப்புள்ளது
kuaj	குதிரைகள்
spitali	மருத்துவமனை
ndalur	இடைநிறுத்தப்பட்டது
ndalur	நிறுத்தப்பட்டது
ndalur	நிறுத்தி
sergio	செர்ஜியோ
larry	லாரி
maji	மே
maji	மாஜி
phil	ஃபில்
munden	முடியும்
atomi	அணு
zbulohet	கண்டுபிடிக்கப்பட்ட
zbulohet	கண்டுபிடிக்கப்பட்டது
zbulohet	கண்டறியப்பட்டுள்ளது
zbulohet	கண்டறியப்பட்டது
zbulohet	begin
rrezikuar	அருகிவரும்
dialog	டயலாக்
dialog	வசனம்
dialog	உரையாடல்
dialog	உரையாடல்
burgosurit	தீமைகள்
ser	ser
misri	சோளம்
carmen	கார்மென்
lagësht	ஈரமான
lagësht	ஈர
lagësht	ஈரம்
lagësht	ஈரமாக
frymëzim	தூண்டல்
frymëzim	உத்வேகம்
aziatike	ஆசிய
sjelljet	பழக்கங்கள்
aristoteli	அரிஸ்டாட்டில்
mbledh	சேகரிக்க
mbledh	திரட்டு
mbledh	சேர்த்தல்
syrin	கண்
syrin	கண்ணை
agimi	விடியல்
trimëri	வீரம்
paraardhësi	predecessor
paraardhësi	மூதாதை
mises	மிசஸ்
siperfaqe	பரப்பு
siperfaqe	மேற்பரப்பு
dollari	டாலர்
que	que
fleta	உருள்
fleta	தாள்கள்
fleta	தாள்
pajisja	சாதனம்
pajisja	கருவி
laike	மதச்சார்பற்ற
buda	புத்தரின்
buda	புத்தர்
senator	செனட்டர்
dimensione	பரிமாணங்கள்
dimensione	அளவுகள்
fijet	கற்றை
vula	தட்டும்
vula	முத்திரை
vula	முத்திரை
shpëton	சேமிப்புகள்
ankara	அங்காரா
tamil	தமிழ்
buta	மென்மையான
buta	மென்மை
jasht	அவுட்
jasht	வெளியில்
jasht	வெளியே
vrasin	கொன்றுவிடும்
vrasin	கொன்று
arra	கொட்டைகள்
prilli	ஏப்ரல்
lepuri	முயல்
karta	கார்டுகள்
karta	அட்டைகள்
karta	பட்டயம்
karta	சாசனம்
karta	கார்டு
karta	அட்டை
karta	சீட்டு
gruri	கோதுமை
pafajshëm	அப்பாவி
liberal	சுதந்திரமான
liberal	தாராளவாத
fetë	மதங்கள்
flori	தங்கப்
flori	தங்கம்
flori	தங்க
mushkërive	நுரையீரல்
zvogëlohet	குறைத்தது
komision	கமிசன்
komision	கமிஷன்
talenti	திறமைகள்
talenti	திறமைகளை
talenti	திறமை
oskar	ஆஸ்கார்
oskar	ஆஸ்கர்
pluhur	பொடி
pluhur	பவுடர்
pluhur	தூசி
hamza	ஹம்சா
vrasjet	கொலைகள்
vrasjet	கொலைகள்
konfirmuar	உறுதி
konfirmuar	உறுதிசெய்யப்பட்டது
mbushura	அடைக்கப்பட்ட
rrushi	திராட்சை
rrushi	திராட்சை
strategjik	மூலோபாய
argjentinas	அர்ஜென்டினா
kushtetutë	அரசியலமைப்பு
xml	xml
pacientët	நோயாளிகள்
zyrtarët	அதிகாரிகள்
kontaktet	தொடர்புகள்
kurrizore	முதுகெலும்பு
stalin	ஸ்டாலின்
dizajnuar	வடிவமைக்கப்பட்டது
dizajnuar	வடிவமைத்து
dizajnuar	வடிவமைக்கப்பட்டுள்ளது
domate	தக்காளி
domate	தக்காளி
pronari	உரிமையாளர்
pronari	சொந்தக்காரர்
papua	பப்புவா
pjes	பாகம்
pjes	பகுதி
performanca	செயல்திறன்
vizitohet	தெரிவித்துக்
catherine	கேத்தரின்
kristian	கிறிஸ்துவ
kristian	கிறித்தவர்
nilit	நைல்
binar	இருநிலை
destinacion	இலக்கு
destinacion	சேருமிடம்
destinacion	சேரும்
kapituj	அத்தியாயங்கள்
përafërt	மேலோட்டம்
përveq	தவிர
anglo	ஆங்கிலோ
steven	ஸ்டீவன்
sundues	ஆட்சியாளர்கள்
heshtur	அமைதியாக
heshtur	அமைதி
mbeturina	குப்பை
komik	காமிக்
rituale	சடங்குகள்
qershori	ஜூன்
ieee	ஐஇஇஇ
adresën	முகவரி
adresën	முகவரியை
armiq	பகைவர்கள்
armiq	எதிரிகள்
namaz	தொழுகையை
namaz	ஜெபம்
namaz	பிரார்த்தனை
provoi	நிரூபித்தது
ujku	ஓநாய்
blerjen	வாங்குதல்
blerjen	வாங்கு
deklaratën	பிரகடனம்
got	கிடைத்தது
got	கிடைத்த
walker	வாக்கர்
qelizë	அறை
qelizë	கைபேசி
qelizë	செல்
jahja	யஹ்யா
unix	யுனிக்ஸ்
njoftuar	அறிவிக்கப்பட்டது
prerje	வெட்டு
prerje	வெட்டி
prerje	வெட்டுக்கள்
prerje	வெட்டுதல்
transportin	போக்குவரத்து
nice	அருமை
atmosfera	வளிமண்டலம்
pranimin	ஏற்பு
pranimin	சேர்க்கை
macedonia	மாசிடோனியா
nigeria	நைஜீரியா
nigeria	நிகர்
aksionet	பகிர்வுகள்
aksionet	பங்குகள்
telegram	தந்தி
hija	நிழல்
hija	நிழலை
ngjitet	ஏறு
kolonia	காலனி
rrënja	வேர்
rroba	ஆடைகள்
rroba	உடைகள்
rroba	துணிகளை
rroba	உடைகளை
rroba	ஆடைகளை
gas	கஸ்
gas	வாயு
gas	கேஸ்
gas	எரிவாயு
virtuale	மெய்நிகர்
mistike	ஆன்மிக
mistike	மிஸ்டிக்
klasifikuar	வரையறுக்கப்பட்ட
bankë	வங்கி
mbrenda	உள்ளே
nënshkrimi	சிஏ
nënshkrimi	கையெழுத்து
nënshkrimi	கையொப்பம்
internacionale	சர்வதேச
internacionale	அனைத்துலக
bishti	வால்
bishti	வாலை
vezët	முட்டைகள்
mio	மியோ
charlie	சார்லி
çaji	தேநீர்
çaji	தேயிலை
çaji	டீ
ambient	சூழலில்
ambient	சூழலை
ambient	சூழல்
ambient	சுற்றுச்சூழல்
duhani	புகையிலை
duhani	புகை
dhomat	சேம்பர்ஸ்
dhomat	அறைகள்
mjeti	கருவி
mjeti	வண்டி
mjeti	வாகனம்
duheshin	தேவை
pragë	prague
pranimi	சேர்க்கை
pranimi	ஏற்பு
pranimi	accession
rekordi	சாதனை
rekordi	பதிவு
dikë	யாரேனும்
dikë	யாரோ
krenari	கர்வம்
krenari	பெருமை
limit	எல்லை
limit	வரம்பு
efektiv	பயனுள்ள
efektiv	திறம்
ulje	தள்ளுபடி
ulje	குறைந்துள்ளது
ulje	குறை
ulje	இறங்கும்
doc	ஆவணம்
bisedime	மலாய்
bisedime	பேச்சுக்கள்
matt	மாட்
matt	மேட்
lehtësuar	நிம்மதியாக
lehtësuar	நிம்மதி
baltë	சேற்றில்
baltë	சேறு
manastiret	மடாலயங்கள்
tur	சுற்றுப்பயணம்
tur	சுற்றுலா
tur	டூர்
tur	உலா
investime	முதலீடுகள்
investime	முதலீடு
sofje	சோஃபியா
sofje	சோபியா
zall	மணல்
zall	மண்
maliq	மலிக்
maliq	மாலிக்
hrsg	hrsg
alberta	ஆல்பர்ட்டா
virus	வைரஸ்
kuptuarit	புரிதல்
asim	அசிம்
çek	செக்
organizmat	உயிரினங்கள்
portokalli	ஆரஞ்சு
antigua	ஆன்டிகுவா
utype	utype
rrotullimi	சுழற்சி
bisedë	உரையாடல்
bisedë	அரட்டை
bisedë	அரட்டை
dekorata	அலங்காரம்
dekorata	விருதுகள்
xhon	ஜான்
detajet	விளக்கங்கள்
detajet	விவரங்கள்
djathë	சீஸ்
mëkatet	பாவங்களை
mëkatet	பாவங்கள்
angazhimin	அர்ப்பணிப்பு
balkan	பால்க்கன்
nderime	சோதிக்கும்
protesta	போராட்டம்
protesta	எதிர்ப்புகள்
dobishëm	பயனுள்ள
dobishëm	பயனுள்ளது
dobishëm	பயனுள்ளதாக
oferta	ஏலம்
oferta	சலுகைகள்
oferta	சலுகையை
oferta	சலுகை
konfirmoi	உறுதி
konfirmoi	உறுதிசெய்யப்பட்டது
level	நிலை
level	மட்டம்
hekurudha	இரயில்
hekurudha	இரயில்வே
hekurudha	railways
hekurudha	இரயில்வே
hekurudha	ரயில்வே
host	சேவையகம்
host	ஹோஸ்ட்
host	புரவலன்
host	புரவன்
host	வழங்குநர்
operacion	செயல்
operacion	இயக்கம்
operacion	செயல்பாடு
operacion	அறுவை
shkretëtira	பாலைவனத்தில்
shkretëtira	பாலைவனம்
shkretëtira	பாலைவனங்கள்
faisal	பைசல்
salihu	சாலிஹ்
sinonim	ஒத்ததாக
mubarak	முபாரக்
kujtesa	நினைவு
kujtesa	நினைவைப்
kujtesa	நினைவாற்றல்
kujtesa	நினைவகம்
biografinë	சுயசரிதை
argjend	வெள்ளி
argjend	சில்வர்
giulio	கியூலியோ
robinson	ராபின்சன்
transformimi	உருமாற்றம்
përmbi	மேலே
krim	குற்றம்
psikologjia	உளவியல்
rrobat	சலவை
rrobat	ஆடைகள்
rrobat	உடைகள்
rrobat	துணிகளை
rrobat	உடைகளை
rrobat	ஆடைகளை
gëzimi	ஆனந்தம்
katolikët	கத்தோலிக்கர்கள்
bibliotekë	நூலகம்
idea	ஐடியா
idea	யுக்தி
idea	யோசனை
kalorësit	மாவீரர்கள்
kalorësit	ரைடர்ஸ்
miti	கட்டுக்கதை
zbulime	கண்டுபிடிப்புகள்
ice	பனி
ice	ஐஸ்
ice	பனிக்கட்டி
tvsh	vat
identiteti	அடையாளம்
padukshme	கண்ணுக்குத்
kurorën	கிரீடம்
udhëtime	பயனம்
udhëtime	பயணம்
udhëtime	பயண
udhëtime	பயணங்களை
udhëtime	பயணங்கள்
udhëtime	பயணத்தில்
udhëtime	பயணிக்கிறார்
udhëtime	பயணிக்கும்
antarë	உறுப்பினர்கள்
minnesota	மினசோட்டா
zbulim	reconnaissance
zbulim	டிஸ்கவரி
zbulim	கண்டறிதல்
simboleve	குறிகள்
uria	பஞ்சம்
uria	பசி
nëntëmbëdhjetë	பத்தொன்பது
primar	முதன்மை
saud	சௌத்
gjueti	வேட்டை
gjueti	வேட்டை
vartësi	சார்ந்த
nokia	நோக்கியா
dëshmorë	தியாகிகளின்
përshtatet	fits
luna	லூனா
shpërthim	வெடி
shpërthim	வெடிப்பு
dele	செம்மறி
pyetja	கேள்விக்கும்
pyetja	கேள்வி
pyetja	கேள்விக்குப்
pyetja	கேள்விக்கு
pyetja	கேள்வியில்
efikase	சிக்கனம்
shpërthimi	வெடிப்பு
shpërthimi	வெடி
angelo	ஆஞ்சலோ
hebrenj	யூதர்
hebrenj	யூதர்கள்
ftohet	குளிரில்
ftohet	சளி
ftohet	ஜலதோஷம்
ftohet	குளிர்
ndershëm	நேர்மையான
ming	மிங்
armene	ஆர்மேனியன்
ekzistues	இருக்கும்
lidhi	இணைக்கப்பட்டது
rërë	மணல்
rërë	மண்
lutjet	பிரார்த்தனைகள்
bello	பெல்லோ
mençur	ஸ்மார்ட்
mençur	புத்தி
mençur	சூட்டிகை
mençur	புத்திசாலி
vullnet	செய்வான்
funksional	செயற்பட
benito	பெனிட்டோ
sinqertë	நேர்மையான
sinqertë	நேர்மையான
matje	அளவீடு
trans	trans
gjalle	உயிருடன்
gjalle	உயிரோடு
mposht	வீழ்ச்சி
mposht	தோல்விக்கு
mposht	தோல்வியை
kushton	செலவுகள்
ala	ஆலா
sarah	சாரா
tokyo	டோக்கியோ
rrënuar	இவற்றால்
duhan	புகையிலை
mouse	சுட்டி
mouse	எலி
mouse	சொடுக்கி
dëshmitar	சாட்சி
mbajtja	காக்கும்
mbajtja	ஏந்திய
burgjet	சிறைச்சாலைகள்
murgjit	துறவிகள்
vrasës	கொலைகாரன்
vrasës	கில்லர்
vrasës	கொலையாளி
mari	மாரி
kinematografi	ஒளிப்பதிவாளர்
episodi	எபிசோட்
episodi	அத்தியாயம்
ekspert	நிபுணர்கள்
ekspert	வல்லுநர்
ekspert	வல்லுனர்
ekspert	நிபுணர்
yndyrë	கொழுப்பு
yndyrë	குண்டாக
yndyrë	கொழுப்பை
kosto	செலவாகும்
sha	ஷா
dëshironi	வேணும்
dëshironi	விரும்புகிறேன்
dëshironi	வேண்டுமா
dëshironi	விரும்பும்
dëshironi	வேண்டும்
frymëmarrjes	சுவாச
letonia	லாட்வியா
mahmut	கசினி
zërat	வதந்திகள்
zërat	குரல்கள்
normë	மதிப்பிடு
normë	மதிப்பிடவும்
normë	விகிதம்
normë	வீதம்
trashëgimtar	வாரிசுகள்
kufizimet	வரம்புகள்
kufizimet	கட்டுப்பாடுகள்
gjykim	தீர்ப்பை
gjykim	தீர்ப்பு
wie	wie
dhuna	வன்முறை
furrë	பேக்கரி
furrë	உலைக்களம்
furrë	அடுப்பில்
furrë	ஓவன்
gana	கானா
madhor	இளமைக்காலம்
rrjete	நெட்வொர்க்குகள்
dhëmbët	பற்கள்
ëndrrat	கனவுகள்
ëndrrat	கனவுகளும்
ëndrrat	கனவுகளை
muslim	முஸ்லிம்
muslim	முஸ்லீம்
vizatime	கோலங்கள்
dushku	ஓக்ஸ்
dizajn	வடிவமைப்பு
dizajn	டிசைன்
rfc	rfc
nisen	போர்டிங்
luftëtari	மாவீரன்
luftëtari	போராளி
luftëtari	combatant
charlotte	சார்லோட்
wall	சுவர்
krahasohet	ஒப்பிட்டு
protestat	எதிர்ப்புகள்
detyre	கடமை
ndalimin	நிறுத்துதல்
ndalimin	நிறுத்துகிறது
rreshta	வரிகள்
rreshta	வரிகள்
rreshta	கோடுகள்
domenico	domenico
gërmadha	இடிபாடு
hua	hua
alto	ஆல்டோ
mosmarrëveshje	தரப்பிலும்
nazistët	நாசி
gushti	ஆகஸ்ட்
gushti	ஆகஸ்டு
ushtrimin	உடற்பயிற்சி
beaumont	பியுமான்ட்
trungu	ட்ரங்க்
nick	நிக்
arsimuar	படித்த
hoq	நீக்கப்பட்டது
hoq	அகற்றப்பட்டது
qetësi	அமைதியான
qetësi	மௌனமாக
qetësi	மௌனம்
sherif	ஷெரீஃப்
psikologji	உளவியல்
virtual	மெய்நிகர்
dempsey	டெம்சி
akademi	அகாடமி
akademi	அகாதமி
butani	பொத்தான்
butani	பூட்டான்
nancy	நான்சி
emiratet	எமிரேட்ஸ்
houston	ஹூஸ்டன்
kalim	அபராதம்
kalim	கடக்கும்
kalim	கடந்து
fjali	வாக்கியத்தை
fjali	வாக்கியம்
tren	தொடர்வண்டி
tren	ரயிலில்
tren	ரயில்
tren	இரயில்
kanadeze	கனடிய
kanadeze	கனேடிய
marksiste	மார்க்சிஸ்ட்
evoluar	பரிணமித்து
lëshohet	வெளியிட்டார்
kokat	தலைகள்
bilbao	பில்போ
gdp	gdp
metalet	உலோகம்
metalet	உலோக
metalet	மெட்டல்
metalet	உலோகம்
metalet	மெட்டல்
metalet	உலோகங்கள்
violeta	ஊதா
gojës	வாய்
krimi	மாப்
krimi	குற்றம்
transmetues	அனுப்புனர்
medina	மதீனா
fëmijëri	சிறுவயது
bashkangjitur	இணைப்பு
shkrirë	உருகிய
gram	கிராம்
strategji	உத்திகள்
strategji	உத்திகளை
strategji	வியூகம்
strategji	உத்தி
humor	மூட்
humor	மனநிலையை
humor	மனநிலை
rrethon	சுற்றியுள்ள
amazon	amazon
amazon	அமேசான்
shpenzuar	செலவு
shpenzuar	கழித்த
ndarjet	பிரிவுகளும்
ndarjet	பிரிவுகளாக
ndarjet	பகிர்வுகள்
ndarjet	பங்குகள்
delta	டெல்டா
fshehurazi	ரகசியமாக
fshehurazi	இரகசியமாக
operatori	ஆபரேட்டர்
nesër	நாளைக்கு
nesër	நாளைய
nesër	நாளை
marciale	தற்காப்புக்
menaxheri	மேலாளர்
menaxheri	மேலாளராக
menaxheri	நிர்வாகி
bjellorusia	பெலாரஸ்
lavdi	மகிமை
antar	உறுப்பினர்
bild	bild
agjenci	முகமை
agjenci	ஏஜென்சி
agjenci	ஏஜென்சிகள்
rauf	ரவூப்
shfaqi	சிறப்பானது
shfaqi	சிறப்பு
shfaqi	சிறப்பானவை
kohëzgjatja	காலஅளவு
civilë	பொதுமக்கள்
detyrueshme	கட்டாய
synimi	இலக்கு
sende	உருப்படிகள்
sende	பொருட்கள்
sende	பொருள்கள்
angola	அங்கோலா
pushimi	விடுமுறை
vullneti	செய்வான்
edukim	கல்வி
statujat	சிலைகள்
dekadat	பத்தாண்டுகளாக
delikate	நுட்பமான
dick	டிக்
mara	மாரா
kalyani	கல்யாணி
dëshmorët	தியாகிகளின்
largësia	தொலைவு
largësia	தூரம்
largësia	தனித்தன்மை
largësia	வரம்
largësia	வீச்சு
largësia	எல்லை
largësia	வரம்பு
mbledhjet	சந்திப்புகள்
mbledhjet	கூட்டங்கள்
mbledhjet	சேகரிப்புகள்
mbledhjet	தொகுப்புகள்
parime	கொள்கைகள்
parime	கொள்கைகள்
parime	தத்துவம்
puse	வெல்ஸ்
puse	கிணறுகள்
amator	அமெச்சூர்
gjej	கண்டு
gjej	கண்டுபிடி
asi	ஏஸ்
thellësisht	ஆழமாக
nuse	மணமகள்
nuse	மணப்பெண்
mirëmbajtjen	பராமரிப்பு
manche	manche
wisconsin	விஸ்கான்சின்
protektorat	protectorate
jote	உங்கள்
jote	உங்களின்
jote	உனது
jote	உன்
roll	ரோல்
roll	உருட்டு
modeste	தாழ்மையான
modeste	பணிவான
dërrmuese	நிலச்சரிவு
jemen	ஏமன்
thikë	கத்தி
kërcënuar	மிரட்டும்
fisnore	பழங்குடி
fisnore	பழங்குடிகள்
bundesarchiv	bundesarchiv
detajuar	விரிவான
shkëmbim	பரிமாற்றம்
angazhohet	பரிந்து
low	குறைவாக
low	குறைவு
low	குறைவான
low	தாழ்வு
low	குறைந்த
shirit	டேப்
shirit	நாடா
shirit	stripe
moderuar	மிதமான
kos	தயிர்
luiz	லூயி
përzgjedhur	தேர்ந்தெடுக்கப்பட்ட
përzgjedhur	தேர்ந்தெடுக்கப்பட்டது
kilometër	கிலோமீட்டர்
bros	சகோதரர்களே
bursë	உதவித்தொகை
shin	ஷின்
shin	ஷீன்
raporte	அறிக்கைகள்
revolucion	புரட்சி
rafinuar	சுத்திகரிக்கப்பட்ட
kujtuar	நினைவில்
komandat	கட்டளைகள்
përparimi	முன்னேற்றம்
përparimi	முன்னேற்றத்தை
përparimi	முன்னேற்ற
tetëmbëdhjetë	பதினெட்டு
ada	அடா
