तुर्कमेनिस्तान	turkmenistánu
हीरे	diamanty
प्रशिक्षक	trenér
प्रशिक्षक	instruktora
प्रशिक्षक	instruktor
नास्तिक	ateismus
नास्तिक	ateista
जासूसी	špionáž
प्रचारित	povýšen
प्रवर्धक	zesilovač
प्रवर्धक	zesilovače
फसलें	plodiny
फसलें	úroda
डायोड	dioda
अमूर्त	abstraktní
सौभाग्य	naštěstí
सौभाग्य	jmění
सौभाग्य	štěstěna
ब्रायंट	bryant
गैरी	garry
गैरी	garyho
गैरी	gary
साइमन	simone
साइमन	simon
साइमन	simona
कार्बोनेट	uhličitan
कार्बोनेट	uhličitanu
हिब्रू	hebrejsky
बर्ड	pták
बर्ड	ptáček
बर्ड	bird
बर्ड	ptačí
आत्मसमर्पण	kapitulace
एथलेटिक्स	atletika
तैराकी	plavání
तैराकी	plavat
तैराकी	koupání
हक	haq
संस्थागत	institucionální
चिट्ठा	blog
चिट्ठा	blogu
ठंड	studené
ठंड	studený
ठंड	studená
ठंड	zima
ठंड	chlad
चूहे	myší
चूहे	myši
चूहे	krysy
चूहे	krys
लीड	vodítka
लीड	vede
लीड	olovo
लीड	vést
दरार	rift
दरार	trhlina
दरार	crack
दार्शनिकों	filozofové
संवेदना	soustrast
सॉफ़्टवेयर	softwaru
सॉफ़्टवेयर	software
परवाह	péče
परवाह	péči
बहुविकल्पी	rozcestník
बमबारी	bombardování
बमबारी	bomba
कीड़े	červi
कीड़े	červů
कीड़े	červy
कठपुतली	loutku
कठपुतली	loutka
अधीनस्थ	podřízený
अधीनस्थ	podřízené
ग्रीनहाउस	skleníkových
कैम्प	kemp
कैम्प	camp
कैम्प	tábor
कैम्प	tábory
कैम्प	táborů
किस्में	odrůdy
किस्में	odrůdy
किस्में	odrůda
विषाक्तता	otravy
विषाक्तता	otravu
विषाक्तता	otrava
खोजी	průzkum
सम्मेलनों	konference
चिंतित	dotčená
चिंतित	znepokojen
चिंतित	dotčené
चिंतित	dotčený
चिंतित	obavy
स्टारबक्स	starbucks
जॉर्डन	jordan
एथलीट	sportovec
एथलीट	atlet
एथलीट	sportovci
एथलीट	sportovce
विधिक	zákonné
विधिक	zákonný
विधिक	právní
विधिक	legální
असुरक्षित	nejistý
असुरक्षित	nejistá
असुरक्षित	nespolehlivé
असुरक्षित	nebezpečné
रेखीय	lineární
शहद	zlato
अम्लीय	kyselé
ऑपरेटर	operátor
ऑपरेटर	provozovatel
ऑपरेटर	operátory
ऑपरेटर	operátoři
ऑपरेटर	provozovatelé
नल	null
प्रेसीडेंसी	předsednictvo
प्रेसीडेंसी	předsednictví
कुक	cook
कुक	vařit
कुक	kuchař
कुक	kuchařka
मनी	money
मनी	peníze
मनी	mani
नारा	slogan
चढ़	rez
सेक्टर	sektor
सेक्टर	odvětví
सेक्टर	sektoru
सेक्टर	odvětví
सेक्टर	sektorů
सेक्टर	sektory
महासागरीय	oceánie
क्रियाशील	aktivně
क्रियाशील	aktivní
क्रियाशील	aktivních
बैठकों	setkání
बैठकों	schůze
बैठकों	zasedání
बैठकों	schůzky
भट्ठी	peci
भट्ठी	pec
कारें	aut
कारें	automobily
कारें	auta
क्योकि	protože
सभ्य	slušný
सभ्य	slušná
सभ्य	slušné
विकलांगता	invalidní
विकलांगता	postižení
अनजाने	nevědomky
नोट्स	noty
नोट्स	poznámky
विलास	vilas
कहें	řekněme
कहें	řekněte
कहें	řekni
एव	ave
सामी	sami
धर्मशास्त्र	teologie
सीखा	naučil
आर्क	arku
आर्क	oblouk
ट्रम्प	trump
मौद्रिक	měnová
मौद्रिक	měnové
मौद्रिक	měnový
मौद्रिक	peněžní
यीशु	ježíši
यीशु	ježíš
चश्मे	brýle
चश्मे	skleničky
चश्मे	sklenice
चश्मे	brýle
एक्यूपंक्चर	akupunktura
प्लूटो	pluto
डेनियल	daniela
डेनियल	daniel
डेनियल	danilo
थोक	velkoobchodní
थोक	velkoobchod
पैरिस	paříž
कामयाबी	úspěšnost
कामयाबी	úspěch
प्रोटोटाइप	prototyp
सिलसिले	silas
कुरु	kuru
फर्क	rozlišit
फर्क	rozlišovat
फर्क	rozdíl
इयान	lan
इयान	ian
इयान	iana
दुग्ध	mléčné
भयभीत	vystrašený
वसूली	vymáhání
वसूली	zotavení
वसूली	obnova
वसूली	obnovy
मौन	tlumené
मौन	němý
मौन	mlčení
मौन	ticho
डिप्लोमा	diplom
घटा	pokles
घटा	snížit
घटा	snížení
पॉइंट	body
पॉइंट	bodů
पॉइंट	bod
पॉइंट	point
त्वरण	zrychlení
जमैका	jamajky
स्केल	rozsah
स्केल	stupnice
स्केल	rozsahu
स्केल	měřítko
मक्खन	másla
मक्खन	máslo
साम्राज्यवाद	imperialismus
सूत	příze
सूत	nitě
सूत	bavlny
सूत	bavlněné
सूत	bavlna
इज़राइल	izraelský
इज़राइल	izrael
इज़राइल	izraelská
वैधता	zákonnosti
वैधता	platnost
अनन्य	výhradní
अनन्य	výlučné
अनन्य	exkluzivní
मिथक	mýtus
श्रृंगार	líčení
प्रावधानों	ustanovení
नतीजा	spad
अर्ल	earl
अर्ल	earle
आवंटित	přiděleno
आवंटित	přidělená
निर्देशिका	adresář
निर्देशिका	index
निर्देशिका	rejstřík
निर्देशिका	adresáře
आंग्ल	anglo
समता	parity
समता	rovnost
एवेन्यू	avenue
बेरोजगारी	nezaměstnanost
बेरोजगारी	nezaměstnanosti
लत	závislosti
लत	závislost
जुर्माना	fajn
जुर्माना	pokut
जुर्माना	pokuty
क़ुरान	korán
क़ुरान	koránu
पूर्णता	dokončení
पूर्णता	dokonalost
पूर्णता	dokonalosti
ओमान	ománu
मार्केटिंग	marketing
पीड़ितों	obětí
पीड़ितों	obětem
पीड़ितों	oběti
शक्तियां	powers
शक्तियां	pravomoci
शक्तियां	síly
बादलों	mraky
चतुर्भुज	čtyřúhelník
चतुर्भुज	obdélník
चीता	gepard
चीता	leopard
मूक	tlumené
मूक	tichá
मूक	tichý
मूक	němý
लीन	lyn
प्रतिभाशाली	genius
प्रतिभाशाली	geniální
प्रतिभाशाली	génius
प्रतिभाशाली	talentovaný
प्रतिभाशाली	talentovaná
पनीर	sýr
पनीर	sýry
स्मार्ट	chytrá
स्मार्ट	chytré
स्मार्ट	smart
स्मार्ट	chytrý
नियोक्ता	zaměstnavatele
नियोक्ता	zaměstnavatelé
नियोक्ता	zaměstnavatele
नियोक्ता	zaměstnavatel
नियोक्ता	zaměstnavatelem
मैडोना	madonna
बराक	barack
बराक	barak
चमकदार	světelný
चमकदार	lesklé
चमकदार	lesklý
नाड़ी	tep
नाड़ी	impuls
नाड़ी	puls
नाड़ी	pulz
स्पीकर	řečník
स्पीकर	mluvčí
गैसें	plyny
सहभागिता	zasnoubení
सहभागिता	angažmá
सहभागिता	zásnubní
सहभागिता	zapojení
सहभागिता	zásnuby
सहभागिता	interakce
सहभागिता	interakci
यों	prkno
गतिविधियाँ	činnost
गतिविधियाँ	činnosti
गतिविधियाँ	aktivity
इसराइल	izraelský
इसराइल	izrael
इसराइल	izraelská
वाट	watt
वाट	wat
कोच्चि	kóči
कृषक	zemědělce
कृषक	zemědělců
कृषक	farmáři
कृषक	zemědělci
ब्राउजर	prohlížeč
गुदा	anální
टीकाकरण	očkování
मूर्तिकला	socha
मूर्तिकला	sochy
शाश्वत	věčnost
शाश्वत	věčnosti
किरणें	paprsky
वैश्वीकरण	globalizaci
वैश्वीकरण	globalizace
बैग	vak
बैग	pytel
बैग	tašku
बैग	taška
बैग	pytle
बैग	tašky
नर्तक	tanečníci
नर्तक	tanečnice
नर्तक	tanečnice
नर्तक	tanečník
ग्लूकोज	glukózy
नीतियाँ	politik
नीतियाँ	politiky
प्रतिभागियों	účastníci
प्रतिभागियों	účastníky
प्रतिभागियों	účastníků
पढ़ना	čtení
पढ़ना	čtu
आपरेशन	provoz
आपरेशन	operace
ब्रॉडबैंड	širokopásmové
मैनुअल	návod
मैनुअल	manuál
मैनुअल	příručka
मैनुअल	ruční
मैनुअल	manuální
दर्जन	tucet
सुखद	příjemné
सुखद	příjemné
सुखद	příjemný
सुखद	příjemná
सस्ती	levná
सस्ती	levný
सस्ती	levně
सस्ती	levné
बेखम	beckham
स्याही	inkoustu
स्याही	inkoust
रॉस	rossová
रॉस	rossi
रॉस	ross
हवाओं	větry
हवाओं	vítr
परम्पराओं	tradice
पूछे	požádal
पूछे	zeptal
सेब	jablko
सेब	jablečný
सेब	apple
सेब	jablka
रो	rho
रो	plačící
रो	pláče
रो	pláč
रो	brečet
पुस्तकालयों	knihovny
पुस्तकालयों	knihovna
पुस्तकालयों	knihovny
पुस्तकालयों	knihovně
पुस्तकालयों	knihovnu
बहनों	sestry
बहनों	sester
अश्लील	porno
अश्लील	porna
आपात	pohotovost
रेसलमेनिया	wrestlemania
नामीबिया	namibie
स्त्रियाँ	ženské
स्त्रियाँ	ženský
स्त्रियाँ	dámské
स्त्रियाँ	ženy
एनी	annie
मामा	mama
मामा	máma
मामा	mámo
मामा	strýc
मामा	strejda
रूपांतर	varianta
रूपांतर	varianty
रूपांतर	variant
रूपांतर	variantu
नगरीय	městský
नगरीय	městská
नगरीय	městské
जैकी	jackie
जैकी	jacky
क्रोधित	rozzuřený
क्रोधित	zuřivý
क्रोधित	zběsile
क्रोधित	naštvaná
क्रोधित	rozzlobený
क्रोधित	naštvaný
तात्कालिक	naléhavé
तात्कालिक	urgentní
तात्कालिक	naléhavá
तात्कालिक	spěchá
तात्कालिक	okamžité
तात्कालिक	bezprostřední
तात्कालिक	okamžitá
तात्कालिक	okamžitý
हलके	lehce
कमांड	příkazy
कमांड	příkazů
कमांड	příkaz
कमांड	velitelství
कमांड	velení
कोबेन	cobain
बुराई	zkaženost
बुराई	zlý
बुराई	zlo
बुराई	zlá
टाइपिंग	psaní
उत्तेजक	provokativní
उत्तेजक	stimulant
दशमलव	desetinné
काई	kai
क्रूर	krutý
क्रूर	krutá
क्रूर	kruté
क्रूर	brutální
जोनाथन	jonathan
हस्त	hasta
फ्लाइट	letu
फ्लाइट	letová
फ्लाइट	let
निकटता	blízkost
निकटता	blízkost
सैर	promenáda
सैर	procházky
सैर	procházka
सैर	chodit
सैर	chůze
सैर	pěšky
चिकनी	hladce
चिकनी	hladká
चिकनी	hladký
चिकनी	hladké
चिकनी	mastný
चिकनी	mastné
कैनेडी	kennedyho
कैनेडी	kennedy
टाई	kravata
टाई	remíza
टाई	kravatu
विदेशियों	cizinci
विदेशियों	cizince
अनुवादित	přeloženo
करोड़ों	bezpočet
इंजीनियरों	inženýrů
इंजीनियरों	inženýři
गा	zpívej
गा	zpívat
पूछताछ	dotaz
पूछताछ	šetření
पूछताछ	dotazy
सर्पिल	spirála
परिशिष्ट	dodatek
परिशिष्ट	dodatku
गवाही	dosvědčit
गवाही	svědčit
गवाही	svědectví
वॉकर	walker
वॉकर	walkerová
लेआउट	rozvržení
लेआउट	uspořádání
लेआउट	rozložení
कैदियों	vězně
कैदियों	vězni
कैदियों	zajatci
समाविष्ट	ztělesňoval
फिजी	fidži
हुक	hook
हुक	hák
हुक	háček
रिटर्न	vrací
रिटर्न	návratnost
रिटर्न	návrat
प्लैटिनम	platiny
फिल	phila
फिल	phil
फिलीपींस	filipíny
दीवारें	hradby
दीवारें	stěny
दीवारें	zdi
सपाट	plochý
सपाट	byt
सपाट	ploché
सपाट	plochá
नक़ल	kopírovat
नक़ल	kopírování
नक़ल	kopie
नक़ल	zkopírovat
नक़ल	kopie
फ्रेमवर्क	rámec
देशभक्ति	vlastenectví
केन्या	keni
बर्बाद	plýtvání
बर्बाद	odpad
बर्बाद	odpadu
बर्बाद	odpady
बर्बाद	plýtvání
कस्टम	celní
कस्टम	vlastní
कस्टम	zvyk
अकादमिक	akademické
अकादमिक	akademický
शेन	shane
असीम	nekonečně
असीम	nekonečné
असीम	nekonečný
असीम	nekonečná
एकजुट	sjednotit
कोलेस्ट्रॉल	cholesterolu
कोलेस्ट्रॉल	cholesterol
दांते	dante
बगीचे	zahrady
बगीचे	zahrada
बगीचे	zahradní
मुराद	murad
ईमान	víra
ईमान	faith
ईमान	víru
भट्टी	peci
भट्टी	pec
पोटैशियम	draslíku
पोटैशियम	draslík
पोटैशियम	draselný
केली	kelly
केली	kellyho
लोकगीत	folklóru
सर्बिया	srbska
सर्बिया	srbsko
स्प्रिंगस्टीन	springsteena
धर्मनिरपेक्ष	sekulární
दृष्टिगोचर	viditelný
दृष्टिगोचर	viditelná
दृष्टिगोचर	viditelné
तोप	dělo
तोप	kanón
तोप	děla
दूरभाष	telefonní
दूरभाष	telefon
शेंगेन	schengenské
दुल्हन	nevěstu
दुल्हन	nevěstou
दुल्हन	nevěsta
आंत्र	tyfus
जस्ता	zinku
उड़	létat
उड़	moucha
उड़	leť
गुजरता	míjí
गुजरता	projde
माली	maledivy
माली	zahradník
माली	zahradníka
माली	mali
परियोजनाएं	projektů
परियोजनाएं	projekty
सिएटल	seattle
सिएटल	seattlu
जन्मस्थान	rodiště
टायर	gumy
टायर	pneumatiky
टायर	pneumatik
टायर	pneumatiky
टायर	pneumatika
टायर	pneumatiku
टायर	pneumatika
बाँस	bambus
सुधारक	reformátora
अठारह	osmnáct
उत्खनन	vykopávky
उन्नयन	upgrade
उन्नयन	modernizace
उन्नयन	zvýšení
पेंशन	penzion
पेंशन	penze
पेंशन	důchod
पेंशन	důchody
गरिमा	důstojnosti
गरिमा	důstojnost
धागे	příze
धागे	nitě
सिलेंडर	válce
मैक्सिकन	mexická
मैक्सिकन	mexický
मैक्सिकन	mexičan
मैक्सिकन	mexické
देशो	země
खोपड़ी	lebku
खोपड़ी	lebky
खोपड़ी	lebka
कोलम्बिया	kolumbie
गोलियों	výstřely
गोलियों	střelba
विद्रोहियों	rebelové
विद्रोहियों	povstalci
विद्रोहियों	rebely
पट्टिका	palety
कैसा	jak
स्टीवन	steven
टेल	příběh
टेल	tail
टेल	ocásek
टेल	nb
टेल	ocas
कबीले	kmen
सूर्योदय	svítání
सूर्योदय	úsvit
रणनीतिक	strategické
रणनीतिक	strategický
रणनीतिक	strategická
रणनीतिक	strategicky
रणनीतिक	taktické
रणनीतिक	taktický
झटके	šoky
रीड	reeda
रीड	reed
रीड	reedová
प्रक्षेप	projekce
पर्यवेक्षण	dohled
पर्यवेक्षण	dozor
एमी	amy
एमी	emmy
प्लेटो	platón
कनाडाई	kanadský
कनाडाई	kanadská
कनाडाई	kanadské
रिसाव	úniky
रिसाव	únik
अनावरण	odhalena
निषिद्ध	zakázané
निषिद्ध	zakázaná
निषिद्ध	zakázáno
निषिद्ध	zakázaný
निषिद्ध	zakázané
निषिद्ध	zakázaná
निषिद्ध	zakázáno
निषिद्ध	zakázaný
सेम	fazole
सेम	fazole
सेम	boby
रॉन	ron
शोधन	rafinace
बरसात	sprchy
बरसात	sprcha
बरसात	dešťů
बरसात	deště
बरसात	déšť
बरसात	rain
बनर्जी	banerjee
फास्ट	rychlé
फास्ट	rychle
फास्ट	rychlá
फास्ट	rychlý
यथार्थवाद	realismus
बाह	bah
तालिबान	taliban
तालिबान	talibanu
दर्शनशास्त्र	filozofii
दर्शनशास्त्र	filosofie
दर्शनशास्त्र	filozofie
स्वादिष्ट	chutná
स्वादिष्ट	chutné
स्वादिष्ट	chutný
स्वादिष्ट	výborné
स्वादिष्ट	vynikající
ज्वाला	plamen
ईंटों	cihla
ईंटों	brick
कर्ज	dluhy
कर्ज	dluh
कर्ज	zadlužení
सलाद	salát
सलाद	saláty
सलाद	salát
जलन	žárlivý
जलन	zánětlivé
जलन	podráždění
शौकिया	amatérský
शौकिया	amatérské
शौकिया	amatér
अनूठा	jedinečný
अनूठा	unikátní
अनूठा	jedinečná
अनूठा	jedinečné
कैरी	carrie
कैरी	carey
पहेली	hádanky
पहेली	puzzle
पहेली	skládačky
पहेली	hádanka
पहेली	puzzle
पहेली	hlavolam
पहेली	enigma
रक्तस्राव	krvácení
चादर	šál
चादर	šátek
चादर	list
फ्रैंकलिन	franklin
सेकेंड	sekund
सेकेंड	sekundy
सेकेंड	vteřiny
सेकेंड	vteřin
सेकेंड	druhé
सेकेंड	druhá
सेकेंड	druhý
आयुध	arzenál
चढ़ाव	minima
मानविकी	humanitních
महापौर	starostka
महापौर	starosta
आयताकार	obdélník
आयताकार	obdélníkové
प्रस्तावना	úvod
प्रस्तावना	zavedení
प्रस्तावना	prolog
मैनहटन	manhattanu
मैनहटन	manhattan
मॉरीशस	mauricius
लावा	láva
बाधाओं	překážky
बाधाओं	bariéry
बाधाओं	překážky
बाधाओं	překážek
माइग्रेन	migréna
माइग्रेन	migrény
परिधान	šaty
परिधान	kostýmy
परिधान	kostýmů
परिधान	oděv
परिधान	oděvy
गोलीबारी	přestřelka
गोलीबारी	přestřelce
गोलीबारी	střílet
गोलीबारी	zastřelení
गोलीबारी	střelba
गोलीबारी	střílení
हब	huba
हब	hub
जग	world
जग	svět
जग	světový
जग	světová
जग	světové
जग	jag
पम्प	čerpadlo
पम्प	pumpa
मातृ	mateřská
मातृ	mateřské
मातृ	mateřský
बायर	bayer
नाल	podkova
पवित्रता	svatost
पवित्रता	čistota
पवित्रता	čistoty
पवित्रता	čistotu
पवित्रता	svatost
पवित्रता	svatosti
पवित्रता	svátost
लाभप्रद	ziskové
लाभप्रद	výdělečné
रोचेस्टर	rochesteru
श्रेष्ठता	nadřazenost
डोनाल्ड	donald
सीढ़ी	žebřík
प्रतिकृति	vzor
प्रतिकृति	vzorec
प्रतिकृति	replika
प्रतिकृति	repliku
प्रतिकृति	repliky
घराने	žánry
ताड़	dlaní
ताड़	palm
ताड़	dlaň
धमाके	bang
सीटी	pískání
सीटी	píšťalku
परोसा	podávaný
परोसा	podávaná
परोसा	sloužil
परोसा	podávané
कार्टर	carterová
कार्टर	carter
कट्टर	dogmatické
उपनिवेशवाद	kolonialismu
उपनिवेशवाद	kolonií
उपनिवेशवाद	kolonie
सैंडविच	sendvič
सैंडविच	sandwich
सैंडविच	sendviče
चिप्स	žetony
चिप्स	hranolky
चिप्स	čipy
उद्योगपति	průmyslník
विधियां	metody
विधियां	metod
बिखरे	rozptýlené
दार्जिलिंग	darjeeling
वेस्टमिंस्टर	westminsteru
सुनाया	vyslovuje
सुनाया	výrazné
शैतान	čert
शैतान	ďábel
शैतान	satan
शीट	list
शीट	povlečení
शीट	listy
शीट	plechy
उद्धार	doručit
उद्धार	záchrana
उद्धार	záchranu
पैकेजिंग	obaly
पैकेजिंग	obal
पैकेजिंग	balení
म्यूनिख	mnichov
शरीफ	sharif
बिस्तर	lůžko
बिस्तर	posteli
बिस्तर	postele
बिस्तर	postel
दोहराया	opakované
बोल्ट	bolt
गुम्बद	kupole
गुम्बद	dome
गुम्बद	kopule
सेवानिवृत्ति	odebrání
सेवानिवृत्ति	důchod
सेवानिवृत्ति	důchodu
जश्न	oslavy
जश्न	oslava
जश्न	oslavy
जश्न	oslavu
जश्न	jamboree
नोबल	šlechetný
नोबल	vznešený
नोबल	ušlechtilý
नोबल	vznešené
टायसन	tyson
लहरों	vlny
लहरों	vln
अस्थिरता	nestability
अस्थिरता	nestabilita
स्पाइवेयर	spyware
संग्रहीत	archivované
सीसा	olovo
सीसा	vést
तना	pramení
सदाबहार	evergreen
कंकाल	kostra
कंकाल	kostry
कंकाल	kostru
समीर	samir
ऑर	orr
तांबे	měď
तांबे	mědi
समतुल्य	ekvivalent
समतुल्य	rovnocenná
समतुल्य	ekvivalentní
समतुल्य	rovnocenný
समतुल्य	rovnocenné
फेरारी	ferrari
माईस्पेस	myspace
एमआईटी	mit
भ्रामक	zavádějící
भ्रामक	matoucí
संभावनाओं	možností
संभावनाओं	možnosti
नगण्य	triviální
नगण्य	banální
केक	dort
केक	dorty
केक	koláč
जिज्ञासा	zvědavost
अन्याय	nespravedlnosti
अन्याय	nespravedlnost
अन्याय	bezpráví
अनुसूची	rozvrh
अनुसूची	naplánovat
अनुसूची	harmonogram
अनुसूची	rozpis
सेठी	sethi
एनिमेशन	animace
एनिमेशन	animace
इंतजार	počkej
हिम्मत	odvaha
हिम्मत	kuráž
हिम्मत	odvahu
प्रमाणपत्र	certifikáty
प्रमाणपत्र	osvědčení
प्रमाणपत्र	certifikát
प्रमाणपत्र	potvrzení
प्रमाणपत्र	osvědčení
सांकेतिक	symbolické
सत्रहवीं	sedmnáctém
असमानता	nerovnost
असमानता	nerovnosti
आमदनी	příjmy
आमदनी	výnosy
आमदनी	příjem
टिन	tin
चारा	krmivo
चारा	krmiva
चारा	návnada
चारा	návnady
चारा	návnadu
ओलिवर	olivera
ओलिवर	oliver
डिब्बे	konzervy
डिब्बे	plechovky
घनी	hustý
घनी	husté
घनी	tlustý
घनी	hustá
एस्पिरिन	aspirin
जनजातीय	kmenové
सोर्स	zdroj
पीर	peer
पीर	protějšek
विश्लेषक	analytik
नीम	dřevina
चेल्सी	chelsea
बाजरा	proso
पाम	pam
इच्छाओं	touhy
रिश्तों	vztahy
संन्यास	odebrání
संन्यास	důchod
संन्यास	důchodu
पुनर्वास	rehabilitace
पुनर्वास	rehabilitaci
पुनर्वास	rehabilitace
प्रोसेसर	procesor
स्ट्रीम	proudy
स्ट्रीम	potok
स्ट्रीम	stream
वक्तव्य	prohlášení
वक्तव्य	výkaz
कृत्यों	funkcí
कृत्यों	funkce
बल्तिस्तान	baltistán
बारहवीं	xii
बारहवीं	dvanácté
स्टुअर्ट	stuart
अचार	okurky
अचार	okurka
प्रदाताओं	poskytovatelů
प्रदाताओं	poskytovatele
प्रदाताओं	poskytovatelé
फेंकने	házet
फेंकने	házení
शर्तें	podmínkami
शर्तें	podmínky
शर्तें	podmínkami
शर्तें	termíny
शर्तें	výrazy
शर्तें	podmínky
मॉड्यूल	moduly
मॉड्यूल	modulů
मॉड्यूल	modul
हिरण	jelení
हिरण	jelen
हिरण	jelena
हिरण	karibu
पिकनिक	piknik
ईसाइयों	křesťané
ईसाइयों	křesťany
सईद	saeed
प्रेषित	odesláno
प्रेषित	poslal
प्रेषित	posláno
ज़िन्दगी	life
ज़िन्दगी	zivot
ज़िन्दगी	životní
ज़िन्दगी	život
बॉय	kluk
बॉय	chlapec
अपघटन	rozkladu
अपघटन	rozklad
इब्राहिम	ibrahim
स्टेरॉयड	steroidy
संवेदी	smyslové
कार्लो	carlo
स्वार्थ	sobectví
तपेदिक	tuberkulózy
तपेदिक	tuberkulózu
पुर	pur
वीजा	víza
वीजा	vízum
वीजा	víz
वीजा	vízum
वीजा	víza
बैनर	transparenty
बैनर	banner
याहू	yahoo
बुजुर्ग	starší
वेदी	oltář
वेदी	oltáři
वेदी	oltáře
उत्साहित	nadšení
उत्साहित	nadšená
प्रलय	katastrofa
