सीना	cena
सैर	paglalakad
सैर	maglakad
सैर	lumakad
सैर	lakad
सैर	walk
चिकनी	makinis
कैनेडी	kennedy
टाई	tie
टाई	kurbata
टाई	itali
टाई	tabla
विदेशियों	dayuhan
अनुवादित	isinalin
इंजीनियरों	inhinyero
गा	sing
गा	kumanta
पूछताछ	pagtatanong
पूछताछ	katanungan
सर्पिल	spiral
परिशिष्ट	appendix
गवाही	patotoo
वॉकर	walker
लेआउट	layout
कैदियों	pinalaya
समाविष्ट	nakaukit
फिजी	fiji
हुक	hook
हुक	kawit
रिटर्न	pagbabalik
रिटर्न	returns
रिटर्न	bumalik
रिटर्न	pagbabalik
प्लैटिनम	platinum
फिल	phil
फिलीपींस	pinas
फिलीपींस	philippines
फिलीपींस	pilipinas
दीवारें	pader
सपाट	flat
सपाट	patag
नक़ल	kopya
नक़ल	copy
नक़ल	kopyahin
देशभक्ति	kabayanihan
केन्या	kenya
बर्बाद	basura
कस्टम	kaugalian
कस्टम	customs
कस्टम	custom
अकादमिक	akademikong
शेन	shane
असीम	asim
एकजुट	magkaisa
कोलेस्ट्रॉल	kolesterol
कोलेस्ट्रॉल	cholesterol
दांते	dante
बगीचे	hardin
मुराद	murad
ईमान	pananampalataya
भट्टी	pugon
पोटैशियम	potassium
केली	kelly
लोकगीत	alamat
सर्बिया	serbiya
स्प्रिंगस्टीन	springsteen
धर्मनिरपेक्ष	secular
दृष्टिगोचर	nakikita
तोप	cannon
दूरभाष	telephone
दूरभाष	telepono
शेंगेन	schengen
दुल्हन	bride
जस्ता	sink
उड़	bangaw
उड़	fly
उड़	lumipad
गुजरता	pumasa
माली	maldives
माली	hardinero
परियोजनाएं	proyekto
सिएटल	seattle
जन्मस्थान	birthplace
टायर	gulong
टायर	tiro
टायर	gulong
बाँस	bamboo
बाँस	kawayan
अठारह	eighteen
उत्खनन	paghuhukay
उन्नयन	upgrade
गरिमा	dangal
मैक्सिकन	mexican
देशो	bansang
खोपड़ी	bungo
कोलम्बिया	colombia
विद्रोहियों	rebelde
पट्टिका	papag
कैसा	paano
कैसा	pano
स्टीवन	steven
टेल	tale
टेल	tail
टेल	buntot
कबीले	tribo
सूर्योदय	sunrise
रीड	reed
प्रक्षेप	projection
पर्यवेक्षण	binabantayan
एमी	amy
एमी	emmy
प्लेटो	plato
मीन	pisces
कनाडाई	canadian
रिसाव	leak
रिसाव	makalabas
निषिद्ध	forbidden
निषिद्ध	ipinagbabawal
निषिद्ध	ipinagbabawal
निषिद्ध	bawal
निषिद्ध	pinagbabawal
सेम	beans
सेम	munggo
सेम	sem
रॉन	ron
बरसात	shower
बरसात	paliguan
बरसात	maulan
बरसात	ulan
बरसात	umulan
बनर्जी	banerjee
इंटेल	intel
फास्ट	mabilis
फास्ट	kabilis
फास्ट	fast
बाह	bah
तालिबान	taliban
दर्शनशास्त्र	pilosopiya
स्वादिष्ट	malasa
स्वादिष्ट	masarap
ज्वाला	apoy
ईंटों	brick
कर्ज	utang
सलाद	letsugas
सलाद	salad
जलन	selos
जलन	inggit
जलन	nagseselos
जलन	pangangati
शौकिया	baguhan
अनूठा	natatanging
अनूठा	kakaibang
अनूठा	unique
अनूठा	natatangi
कैरी	carrie
कैरी	carey
पेशावर	peshawar
पहेली	palaisipan
पहेली	enigma
चादर	sheet
जामा	jama
फ्रैंकलिन	franklin
एथिलीन	etileno
सेकेंड	seconds
सेकेंड	segundo
सेकेंड	pangalawa
मानविकी	humanities
महापौर	alkalde
महापौर	mayor
आयताकार	parihaba
प्रस्तावना	pagpapakilala
प्रस्तावना	panimula
प्रस्तावना	prologue
मैनहटन	manhattan
मॉरीशस	mauritius
लावा	lava
बाधाओं	hadlang
माइग्रेन	migraine
परिधान	dress
परिधान	damit
परिधान	costume
गोलीबारी	shootout
गोलीबारी	shooting
गोलीबारी	pagbaril
गोलीबारी	pamamaril
हब	hub
जग	mundo
पम्प	poso
बायर	bayer
नाल	horseshoe
पवित्रता	kadalisayan
पवित्रता	holiness
लाभप्रद	kumikitang
रोचेस्टर	rochester
मुलाक़ात	tambayan
डोनाल्ड	donald
रमन	raman
सीढ़ी	ladder
सीढ़ी	hagdan
प्रतिकृति	pattern
प्रतिकृति	replica
घराने	genres
ताड़	palm
ताड़	palad
धमाके	bang
सीटी	whistle
परोसा	served
परोसा	nagsilbi
परोसा	hinahatid
कार्टर	carter
उपनिवेशवाद	kolonyalismo
उपनिवेशवाद	kolonya
सैंडविच	sandwich
चिप्स	chips
गुड़	pulot
विधियां	pamamaraan
बिखरे	kalat
वेस्टमिंस्टर	westminster
सुनाया	binibigkas
शैतान	satanas
शैतान	devil
शैतान	demonyo
शीट	sheet
शीट	sheet
उद्धार	deliver
उद्धार	ihatid
उद्धार	iligtas
उद्धार	naghahatid
उद्धार	pagsagip
उद्धार	pagligtas
उद्धार	rescue
पैकेजिंग	packaging
म्यूनिख	munich
शरीफ	mohammed
शरीफ	sharif
बिस्तर	kama
बोल्ट	bolt
गुम्बद	dome
सेवानिवृत्ति	pagreretiro
जश्न	pagdiriwang
जश्न	selebrasyon
नोबल	marangal
इंडीज	indies
टायसन	tyson
लहरों	alon
सीसा	lead
सीसा	humantong
सीसा	tingga
सीसा	pamunuan
तना	tangkay
तना	stem
सदाबहार	evergreen
कंकाल	kalansay
नाइट्राइट	nitrite
तांबे	tanso
समतुल्य	katumbas
समतुल्य	equivalent
फेरारी	ferrari
माईस्पेस	myspace
बलराम	balarama
एमआईटी	mit
भ्रामक	mapanlinlang
भ्रामक	nakakalinlang
भ्रामक	nakakalito
केक	cake
साख	goodwill
अन्याय	makatarungan
अनुसूची	iskedyul
अनुसूची	schedule
एनिमेशन	animation
देखो	tumingin
देखो	look
इंतजार	teka
इंतजार	maghintay
इंतजार	wait
हिम्मत	katapangan
हिम्मत	tapang
हिम्मत	dare
प्रमाणपत्र	certificates
प्रमाणपत्र	sertipiko
प्रमाणपत्र	sertipiko
प्रमाणपत्र	certificate
प्रमाणपत्र	katibayan
सांकेतिक	symbolic
असमानता	inequality
आमदनी	kita
आमदनी	income
टिन	tin
टिन	lata
ओलिवर	oliver
घनी	makapal
इण्डिक	indic
एस्पिरिन	aspirin
जनजातीय	tribal
सोर्स	source
सोर्स	pinagkunan
विश्लेषक	analyst
चेल्सी	chelsea
बाजरा	millet
पाम	pam
इच्छाओं	hinahangad
रिश्तों	kaugnayan
रिश्तों	relasyon
संन्यास	pagreretiro
पुनर्वास	rehab
पुनर्वास	rehabilitation
प्रोसेसर	processor
स्ट्रीम	streams
स्ट्रीम	batis
स्ट्रीम	daloy
वक्तव्य	pahayag
चंद्रगुप्त	chandragupta
बारहवीं	xii
स्टुअर्ट	stuart
फेंकने	itapon
शर्तें	kondisyon
शर्तें	kundisyon
शर्तें	tuntunin
शर्तें	takda
मॉड्यूल	modules
मॉड्यूल	module
हिरण	usa
पिकनिक	picnic
ईसाइयों	kristiyano
सईद	saeed
प्रेषित	naipadala
प्रेषित	ipinadala
प्रेषित	nagpadala
ज़िन्दगी	buhay
बॉय	boy
अपघटन	decomposition
इब्राहिम	ibrahim
स्टेरॉयड	steroid
संवेदी	pandama
कार्लो	carlo
तपेदिक	tuberculosis
पुर	pur
वीजा	visas
वीजा	visa
बैनर	banner
बैनर	banner
याहू	yahoo
बुजुर्ग	matatanda
वेदी	dambana
उत्साहित	excited
घटती	tinatanggihan
रिले	riley
रिले	relay
चुनौतियों	challenges
अनवर	anwar
फर्ग्यूसन	ferguson
हालात	situation
हालात	sitwasyon
हालात	odds
हालात	pangyayari
भैंस	kalabaw
इस्लामाबाद	islamabad
लेनिन	lenin
डैविल	davila
समाचारपत्र	diyaryo
समाचारपत्र	pahayagan
साम्य	pagkakahawig
संतोषजनक	kasiya
सफ़र	journey
सफ़र	paglalakbay
खींचा	hinugot
खींचा	drew
सल्फर	sulfur
स्क्वैश	squash
लॉक	lock
एबीसी	abc
वाल्टर	walter
डाकू	buhong
पीएचडी	phd
फ़ुटबॉल	football
गॉर्डन	gordon
बांस	bamboo
बांस	kawayan
वाटसन	watson
सहिष्णुता	tolerance
सहिष्णुता	pinahihintulutan
लूथर	luther
परिपक्वता	kapanahunan
पूज्य	venerable
निरंतरता	tuloy
पनामा	panama
लॉरेंस	lawrence
हिरासत	kustodiya
कंस	kansa
लड़	aaway
लड़	fighting
गुणात्मक	husay
बौना	bulilit
बौना	duwende
रेखाचित्र	pagguhit
रेखाचित्र	drawing
स्वदेश	nation
सुपरमैन	superman
बुल	bulldog
बुल	toro
बुल	bull
धब्बे	spot
निक	nick
पीढी	henerasyon
पीढी	generation
माउस	mouse
माउस	daga
क्राउन	korona
साड़ी	sari
बहुमुखी	multiple
बहुमुखी	maramihang
बहुमुखी	nalalaman
पहियों	gulong
स्पीयर्स	spears
बहू	bride
वेबसाइटों	website
छठा	ikaanim
संभाला	maselan
स्पा	spa
स्पा	spa
मशीनें	machine
पनडुब्बी	submarine
मुखर	vocal
काउंटर	kontra
काउंटर	counter
पूर्णांक	integer
पूर्णांक	buumbilang
शौक	hobby
शौक	hilig
शौक	libangan
निचला	lower
वानर	ape
नौकर	lingkod
बोवी	bowie
अफगान	afghan
दोहा	doha
टार्ज़न	tarzan
राजमहल	palasyo
बसों	bus
मॉर्गन	morgan
सतहों	surface
सतहों	ibabaw
रसेल	russell
संगीतमय	musikal
संगीतमय	musical
टिक	garapata
क्राइस्ट	cristo
क्राइस्ट	christ
क्राइस्ट	kristo
अनुप्रस्थ	transverse
प्रायोजक	sponsor
प्रायोजक	sponsors
ब्रिगेड	brigada
पॉलिसी	patakaran
कलाई	pulso
संभोग	pakikipagtalik
अल्फ्रेड	alfred
दाखिल	filing
वेल्श	gales
वेल्श	braille
कराटे	karate
ग्रंथियों	glandula
ट्रैफिक	traffic
ट्रैफिक	trapiko
सिखाया	tinuturuan
सिखाया	itinuro
सिखाया	tinuruan
सिखाया	nagturo
लिबरल	liberal
खंडहर	gumuhong
खंडहर	makawala
कर्क	kanser
प्रेरण	induction
लामा	lama
लेज़र	laser
बाइबल	biblia
बाइबल	bibliya
बाइबल	bible
क्रमांक	bilang
धक्का	push
आविष्कारक	inventors
आविष्कारक	imbentor
गोपनीय	sikreto
गोपनीय	secret
गोपनीय	lihim
गोपनीय	confidential
प्रेत	zombie
स्थलीय	panlupa
सप्ताहांत	weekend
कब्रिस्तान	cemetery
कब्रिस्तान	libingan
कब्रिस्तान	sementeryo
बुल्गारिया	biyetnam
बुल्गारिया	bulgaria
पासपोर्ट	pasaporte
पासपोर्ट	passport
प्रज्ञा	katalinuhan
बेशक	indeed
बेशक	tiyak
आइसलैंड	iceland
प्रमाणीकरण	authentication
प्रमाणीकरण	pagpapatunay
टोयोटा	toyota
ब्लाक	harangin
ब्लाक	harang
ब्लाक	block
सत्यापन	patunayan
सत्यापन	authentication
सत्यापन	pagpapatunay
सत्यापन	beripikasyon
रेशों	sutla
रेशों	silk
प्रत्यावर्ती	alternating
ग्रैमी	grammy
लॉन्च	ilulunsad
लॉन्च	ilunsad
लॉन्च	paglulunsad
बीट	matalo
इमेजिंग	imaging
लटका	hung
कैटरीना	katrina
डिस्ट्रिक्ट	distrito
काठमांडू	kathmandu
सीखना	learning
वेश	bihis
डॉक्टरों	doctors
पक्का	sure
गला	lalamunan
गला	leeg
स्ट्रॉस	strauss
गार्सिया	garcia
निद्रा	matulog
निद्रा	tulog
निद्रा	sleep
एक्सप्लोरर	explorer
छल	panggugulo
छल	pananakot
बिज़नेस	negosyong
बिज़नेस	negosyo
प्रतिबद्ध	nakatuon
कॉलोनी	kolonya
आवंटन	allocation
आवंटन	allotment
बाला	bala
कार्लोस	carlos
अनीता	alice
अनीता	anita
अनोखा	natatanging
अनोखा	kakaibang
अनोखा	unique
अनोखा	natatangi
अनोखा	nobela
रिएक्टर	reactor
करीना	karina
कपाल	bungo
श्रोता	tagapakinig
श्रोता	tagapakinig
श्रोता	audience
श्रोता	tagapanood
श्रोता	madla
श्रोता	makakakita
कॉमन	karaniwan
कॉमन	karaniwang
आपेक्षिकता	relatibidad
प्याज	sibuyas
प्याज	sibuyas
असीमित	infinite
असीमित	unlimited
माउंटबेटन	mountbatten
बग	bug
बग	bugs
मॉस्को	moscow
बूटी	booty
सोम	soma
सोम	som
सोम	mon
टर्नर	turner
हिमानी	glacier
हिमानी	himalayas
ट्रांस	trans
मेहमान	panauhin
मेहमान	bisita
मेहमान	panauhin
मेहमान	guest
नियमन	regulasyon
जहर	lason
मगरमच्छ	buwaya
तन	tan
यूटीसी	utc
वेनिस	venice
वेनिस	venezia
खांसी	ubo
आईएसओ	iso
युगांडा	turkiya
युगांडा	uganda
सुगंध	aroma
जस्टिन	justin
देवकी	devaki
अहंकार	ego
ज़ाहिर	ibunyag
ज़ाहिर	ilantad
फ़ोर्स	puwersa
मोरक्को	morocco
सुमात्रा	sumatra
छड़ी	patpat
छड़ी	stick
सीरम	serum
नतीजतन	consequently
दाम	presyo
नहरें	canal
नहरें	ilog
नॉर्मन	norman
सराहा	appreciated
लैंडिंग	landing
माँगा	manga
नाविक	mandaragat
नाविक	navigator
स्थायित्व	standings
हावर्ड	howard
साम्यवाद	komunismo
पैमाना	scope
पैमाना	saklaw
पैमाना	scale
तंबाकू	tabako
चिड़िया	ibon
पराग	pollen
पराग	dry
सूर	sur
उमा	uma
प्री	pre
कफ	cuff
मैथुन	pakikipagtalik
मैथुन	pakikipagtalik
मैथुन	sex
ग्राफिक्स	graphics
पराबैंगनी	ultrabiyoleta
ताम्र	tanso
केल्विन	kelvin
नोक	tuka
अनुपस्थित	absent
अनुपस्थित	nawawala
अनुपस्थित	kulang
फाई	phi
मर्सिडीज	mercedes
लार	laway
सुनहरे	blonde
आगंतुक	bisita
फ़ॉर्मूला	formula
चीज़ें	bagay
ग्राफिक	maliwanag
ग्राफिक	graphic
लूप	loop
पेरी	peri
पेरी	perry
सम्मिश्रण	blending
चम्मच	tabo
चम्मच	kutsara
ग्रा	gras
दुकानें	tindahan
अनुपयुक्त	unused
विरोधाभास	paradox
जैम	jam
चेयरमैन	chairman
रिश्तेदार	relatives
रिश्तेदार	kamaganak
कचरा	basura
कचरा	basura
असिमोव	asimov
स्प्रिंग	spring
स्प्रिंग	tagsibol
पिज़्ज़ा	pizza
जाली	lattice
दैवी	oracle
दैवी	dakila
दैवी	divine
साइबर	cyber
ग़रीब	mahirap
ग़रीब	kawawang
छात्रवृत्ति	pagpapaaral
छात्रवृत्ति	scholarship
लिखें	magsulat
लिखें	sumulat
लिखें	isulat
लिखें	sunugin
लिखें	paso
देवों	devon
सोडा	soda
हुकूमत	kaharian
डॉक्टरेट	doctorate
डॉक्टरेट	doctoral
विला	villa
सटीकता	kawastuhan
कोला	kola
कोला	colombo
कोला	cola
प्रतिजन	antigen
अदालतों	courts
ग्राहम	graham
सर्वोपरि	paramount
प्लेटों	plates
प्लेटों	plato
प्रमाणन	sertipikasyon
प्रमाणन	katibayan
खरीदी	binili
खरीदी	nakabili
खरीदी	binili
मिटा	burahin
दुखी	miserable
दुखी	malungkot
दुखी	sad
न्यूट्रॉन	neutron
इमरान	imran
निरीक्षक	surveyor
निरीक्षक	supervisor
निरीक्षक	tagamasid
अल्फ़ा	alpha
हैरिस	harris
गियर	gear
राजतंत्र	monarkiya
सर्कस	circus
अल्बानिया	albanya
अल्बानिया	albania
हीलियम	helyo
बादाम	almond
निष्कर्षों	natuklasan
नागा	naga
प्राचल	parameter
मिनेसोटा	minnesota
पृथक्करण	paghihiwalay
अंडा	itlog
परवेज़	pervez
माइक्रो	micro
वर्दी	uniporme
वर्दी	uniporme
वर्दी	uniform
सूर्यास्त	sunset
ताँबा	tanso
ऐश	ash
कैलोरी	calorie
कैलोरी	cal
ईमानदारी	katapatan
ईमानदारी	maalab
मताधिकार	franchise
वृत्ताकार	bilog
निर्वासित	buhong
सरस	juicy
स्ट्रिंग	string
स्फटिक	quartz
बुनाई	paghabi
विवाहित	kasal
विवाहित	ikinasal
विवाहित	pinakasalan
आभा	aura
ईद	eid
बॉन	bon
पाँव	talampakan
पाँव	paa
द्वेष	malisya
कॉलम	hanay
कॉलम	haligi
कॉलम	haligi
समस्थानिक	isotopo
कहावत	kasabihan
कहावत	dictum
कहावत	maxim
टेड	ted
समष्टि	space
समष्टि	kalawakan
समष्टि	puwang
समष्टि	espasyo
शायरी	tula
शायरी	poetry
टेलीग्राफ	telegraph
प्रत्याशी	kandidato
प्रत्याशी	candidate
आवेग	momentum
आवेग	impulse
बर्नार्ड	bernard
अध्यात्म	kabanalan
एमिनेम	eminem
सुनी	nakinig
सुनी	napakinggan
किशोरों	kabataan
किशोरों	tinedyer
धर्मार्थ	kawanggawa
धर्मार्थ	charity
डेव	dave
पारा	mercury
हार्ले	harley
पेंट	paint
पेंट	pintura
निदेशालय	pangangasiwaan
सोन	anak
सोन	son
नीलामी	subasta
नीलामी	auction
पट्टे	lease
नाटो	nato
ब्रह्मचर्य	chastity
ग्लेन	glen
ग्लेन	glenn
विरल	bihirang
विरल	bihira
आयामी	dimensional
पोर्टफोलियो	portfolio
नवाचार	inobasyon
नवाचार	innovation
डायमंड	diamond
डायमंड	brilyante
महंगी	mahal
महंगी	magastos
महंगी	mamahaling
फ्रायड	freud
तर्कसंगत	talino
पीना	inuman
पीना	inom
पीना	inumin
पीना	uminom
स्ट्रिप	alisan
स्ट्रिप	strip
संलयन	fusion
अब्दुल्ला	abdullah
वर्जिन	virgin
वर्जिन	birhen
चक्रों	chakra
मानकीकृत	standardized
प्रोसेसिंग	pinoproseso
प्रोसेसिंग	pagpoproseso
प्रोसेसिंग	processing
प्रोसेसिंग	pagproseso
अवस्थिति	paglalagay
अवस्थिति	paglalagyan
अवस्थिति	kinalalagyan
अवस्थिति	lokasyon
वार्मिंग	warming
मार्गदर्शक	patnubay
मार्गदर्शक	gabay
ढोल	tambol
ढोल	drum
क्वार्क	quark
अवकल	differential
राजसी	marilag
राजसी	regal
टिकाऊ	sustainable
टिकाऊ	matibay
जबरदस्त	matinding
स्टेनली	stanley
सिन्ध	sindh
लेखनी	pen
लेखनी	panulat
मध्यस्थता	arbitration
सोल	sol
किक	sipa
धड़कन	matalo
धड़कन	beating
छल्ले	singsing
छल्ले	rings
क्रेन	crane
आखरी	huling
आखरी	huli
आखरी	last
क्षेत्ररक्षण	captain
क्षेत्ररक्षण	kapitan
क्षेत्ररक्षण	kapitana
लिली	lili
लिली	lilly
लिली	lily
बेली	bailey
बेली	tiyan
बेली	belly
ग्रहीय	planetary
मॉनिटर	monitor
कोक	coke
मेलबोर्न	melbourne
करुणा	kagandahang
करुणा	kabaitan
मुठभेड़	makatagpo
मुठभेड़	nararanasan
अकसर	madalas
अकसर	kadalasan
मशरूम	mushrooms
मशरूम	kabute
शांतिपूर्ण	mapayapang
शांतिपूर्ण	mapayapa
गरुड़	garuda
फ्लू	trangkaso
नरक	impiyerno
नरक	hell
ट्री	puno
बेलन	cylinder
बोलना	nagsasalita
अवरोधित	hinarangan
आत्मविश्वास	kompiyansa
आत्मविश्वास	nakatitiyak
आत्मविश्वास	tiwala
आत्मविश्वास	kagitingan
कुपोषण	malnutrisyon
लापता	nawawala
लापता	kulang
कंटेनर	lalagyan
राई	rai
वाइड	malapad
फर्नीचर	furniture
वारिस	tagapagmana
परिवर्तनशील	variable
मच्छर	lamok
ग्रांट	grant
सनी	maaraw
सनी	sunny
प्लेटफॉर्म	platform
प्लेटफॉर्म	plataporma
भावुक	emosyonal
भावुक	sentimental
कैन	cain
कैन	cannes
घोटाला	scandal
घोटाला	iskandalo
घोटाला	scam
रक्षात्मक	defensive
रक्षात्मक	tinatanggihan
मिस्री	egyptian
चार्टर्ड	chartered
ईर्ष्या	selos
ईर्ष्या	inggit
ईर्ष्या	nagseselos
ईर्ष्या	inggit
ईर्ष्या	selos
ईर्ष्या	naiinggit
ईर्ष्या	inggit
मेडल	medalya
मेडल	medal
जैज़	jazz
गायकों	singers
गायकों	kumakanta
गायकों	kantahan
गायकों	pagkanta
ओक	oak
ओक	robles
बैच	batch
उड़ा	suntok
किनारा	borders
किनारा	gilid
किनारा	edge
किनारा	dulo
किनारा	hangganan
किनारा	panig
फ्रेड	fred
बुर्ज	tore
बुर्ज	tower
बुर्ज	toreng
पियरे	pierre
वुड	kahoy
वुड	wood
बंदरगाहों	daungan
अलेक्जेंडर	alejandro
अलेक्जेंडर	alexander
परिमित	finite
वर्षगांठ	anibersaryo
वर्षगांठ	anibersaryo
क्योटो	kyoto
मटर	pea
मटर	peas
आर्किटेक्चर	architecture
आर्किटेक्चर	arkitektura
फैक्ट्री	pabrika
फैक्ट्री	factory
वॉर्स	wars
ओंटारियो	ontario
वायरल	viral
एडवेंचर	pakikipagsapalaran
एडवेंचर	adventure
अनुग्रह	grace
अनुग्रह	biyaya
स्टीवर्ट	stewart
गिल्ड	guild
गिल्ड	kapisanan
डेविडसन	davidson
घंटी	bell
कूपर	cooper
कैरोलिना	carolina
प्लान	plano
प्लान	plan
प्लान	magplano
विदा	vida
मिर्जा	mirza
माफी	apologize
माफी	kapatawaran
व्लादिमीर	vladimir
प्रणाम	regards
दंगों	stonewall
दौलत	yaman
कोचीन	kochi
बर्गर	burger
वर्ड	salitang
वर्ड	salita
प्रभार	singil
प्रभार	charge
म्यांमार	myanmar
मार्गरेट	margaret
जुलूस	prusisyon
अपमानजनक	mapanira
दिशानिर्देश	direksiyon
दिशानिर्देश	alituntunin
माननीय	honorable
माननीय	honourable
बधाई	congratulations
बधाई	pagbati
बधाई	greetings
हॉस्पिटल	hospital
हॉस्पिटल	ospital
त्यागपत्र	pagbibitiw
फास्फेट	phosphate
नीलम	sapphire
जलसन्धि	kipot
उठी	binuhay
उठी	itataas
उठी	itinaas
उठी	nakataas
उठी	nakuha
पोर्टेबल	portable
स्विंग	swing
मर्फी	murphy
जेड	jade
हार्बर	harbor
हार्बर	daungan
सत्कार	tinatanggap
टिप्पणियाँ	comments
प्रिंटर	printer
सिनसिनाटी	cincinnati
गिरी	nahulog
फुल	busog
फुल	full
फुल	buo
फुल	buong
आंद्रे	andré
पापुआ	papua
सीआईडी	cid
विषयवस्तु	nilalaman
विषयवस्तु	tema
विषयवस्तु	nilalaman
सूरीनाम	suriname
फोर्ब्स	forbes
एजेंटों	agents
प्रेमियों	lovers
आनुवंशिकी	genetics
विलीन	tunawin
हथेली	palm
हथेली	palad
दाग	mantsa
अज़ाब	talas
अज़ाब	doom
बटालियन	battalion
रिक	rick
बर्मिंघम	birmingham
गुस्से	galit
गुस्से	poot
आर्यन	aryan
ढलान	libis
लगन	dedication
लगन	dedikasyon
चाकू	kutsilyo
परिवर्तनीय	variable
परिवर्तनीय	variables
परिवर्तनीय	paiba
मज्जा	marrow
निर्दोष	nagkakamali
निर्दोष	inosenteng
निर्दोष	inosente
निर्दोष	inocencio
निर्दोष	innocent
महायान	mahayana
लीबिया	libya
पिछला	prev
पिछला	huling
पिछला	huli
पिछला	last
पिछला	dating
पिछला	nakaraang
घुड़सवार	equestrian
प्रसाधन	cr
प्रसाधन	palikuran
प्रसाधन	mapagkukunan
प्रसाधन	yaman
प्रसाधन	kayamanan
ईमानदार	taos
ईमानदार	matapat
ईमानदार	honest
जोस	jose
जोस	jose
जोस	josé
मल्टी	multi
अंकीय	digit
अंकीय	numeric
असेम्बली	assembly
असेम्बली	pagpupulong
असेम्बली	pagtitipon
भिक्षुओं	monks
लड़ी	sinulid
लड़ी	thread
कानों	tenga
कानों	tainga
चांसलर	kansilyer
अहसास	feeling
अहसास	pakiramdam
अहसास	nararamdaman
अस्थाई	pansamantala
तबाह	wasak
तबाह	makawala
योद्धाओं	warriors
कलाकृति	artwork
नाइजीरिया	nigeria
मिसिसिपी	mississippi
थ्रिलर	thriller
अंतरजाल	internet
रहो	mananatiling
रहो	manatili
रहो	manatiling
रहो	stay
ट्रैकिंग	pagsubaybay
अब्बास	abbas
गिद्ध	buwitre
पोस्टर	poster
पोस्टर	poster
छात्रावास	dorm
वंशजों	descendants
रंजक	pigment
उंगलियों	daliri
सभाओं	assemblies
चॉकलेट	tsokolate
चॉकलेट	chocolate
राइफल	rifle
मेक	gumawa
मेक	gawing
बल्ले	bat
बल्ले	paniki
स्थलाकृति	topograpiya
सुन्दरता	pampaganda
सुन्दरता	beauty
सुन्दरता	kagandahan
अंतरिम	pansamantala
सर्वनाम	panghalip
नंदा	nanda
शेल	shell
शेल	sigay
शेल	shells
सू	sue
सू	sioux
सू	soo
रसोई	kusina
