חנקן	nitróxeno
באקס	dólares
באקס	patacóns
באקס	pavos
באקס	por
דלפק	mostrador
המגינים	defensores
דוק	doc
פקידים	funcionarios
מסבירה	explica
דגימות	mostras
ריקודים	bailes
ריקודים	baile
ריקודים	bailando
ריקודים	bailar
ריקודים	bailaba
ההשתתפות	participación
טנזניה	tanzania
בגז	gas
בדק	a
מוסיפה	engadindo
מוסיפה	engadir
סוגיה	tema
סוגיה	problema
דאבל	o
דאבל	dobre
דאבל	double
יקרות	caro
יקרות	caros
יקרות	cara
בנקס	bancos
כתף	ombro
כתף	ombreiro
הותקפה	atacado
היישום	aplicación
חקלאים	labregos
חקלאים	agricultores
מוטיבציה	conducido
משלם	prestar
משלם	pagando
משלם	a
משלם	atención
משלם	pagar
משלם	pagalas
משלם	paga
המפץ	baten
המפץ	bang
האסיר	preso
האסיר	prisioneira
האסיר	prisioneiro
האסיר	prisioneiros
נפטון	neptuno
אנדרואיד	android
דרושים	precisaba
דרושים	necesitaba
דרושים	precisabamos
נופלים	a
נופלים	namorarse
נופלים	caendo
נופלים	derrube
נופלים	ardendo
קיבולת	capacidade
קיבולת	de
לרקוד	baile
לרקוד	baila
לרקוד	bailar
לרקוד	danza
בנזין	gasolina
שבח	gábote
שבח	teu
בייסבול	béisbol
מרמז	suxire
מאורע	nunha
מאורע	ocasión
קלטת	cinta
תהום	golfo
התרשם	impresionado
המנהלת	directora
המנהלת	señora
לני	lenny
ותק	a
מרשם	receitas
מרשם	receita
רקס	rex
קופים	monos
מסומנים	marcados
מסרבת	rexeita
לוט	moito
לוט	moita
לוט	moitos
לוט	moitas
הארבור	porto
טיוב	youtube
טיוב	de
מלאכותיים	artificiais
מלאכותיים	artifical
מלאכותיים	artificial
תאגידים	empresas
תאגידים	corporacións
הרגש	emoción
הרגש	sinto
הרגש	sentir
הרגש	que
הרגש	síntome
וירטואלית	virtual
שכנים	os
שכנים	veciños
אחלה	xenial
אחלה	gran
אחלה	grande
אחלה	grandes
אחלה	xenial
אחלה	ben
אחלה	fresco
פליטה	de
פליטה	refuxiados
הודים	indios
שמכיל	que
שמכיל	contén
גרון	gorxa
מרדף	da
מרדף	busca
מרדף	persecución
מרדף	persecución
וירטואלי	virtual
אוי	oh
ראות	visibilidade
קיד	neno
קיד	rapaz
קיד	nena
קיד	mozo
סטנדרטי	estándar
סטנדרטי	de
ההצהרה	declaración
הריח	cheiro
הריח	a
הריח	ulir
הריח	cheira
הריח	ules
פסגות	picos
פסגות	xemelgos
פולט	paulette
השגרירות	embaixada
הכנות	honestidade
מתקשר	chama
מתקשר	a
מתקשר	por
מתקשר	chamando
מתקשר	chamar
תכלית	para
תכלית	propósito
תכלית	fin
תכלית	intención
תכלית	serve
תכלית	obxectivo
מאמנים	educadores
דוגמניות	modelos
בראבו	bravo
נהרגה	a
נהרגה	mataron
נהרגה	matou
נהרגה	asasinado
נהרגה	mortos
המאפיה	turba
המאפיה	mafia
שלווה	paz
שלווה	a
שלווה	pacífica
מוד	modo
זקנה	anos
זקנה	vellos
זקנה	vello
זקנה	vella
היט	calefacción
היט	calor
היט	o
אמנית	artista
אמנית	artistas
התבוננות	observación
הוריקן	furacán
ביקורתי	crítica
מפורסמות	famoso
מפורסמות	famosos
מפורסמות	famosa
עדינה	delicado
עדינה	delicada
עדינה	sutil
עדינה	sutís
נהדר	xenial
נהדר	gran
נהדר	grande
נהדר	grandes
מוזרה	raro
מוזרה	estraño
מוזרה	estraña
מוזרה	extraño
מוזרה	moi
מוזרה	rara
מוזרה	raro
פתאומי	súpeto
פתאומי	de
פתאומי	repentino
הניחו	que
הניחו	supoño
הניחו	asumo
נופלת	a
נופלת	namorarse
נופלת	caendo
נופלת	derrube
נופלת	ardendo
האצבע	dedo
האצבע	o
צעצוע	xoguete
פשיטה	redadas
סימפוניה	sinfonía
גולף	golf
גולף	ao
נד	ned
שיתפו	compartidos
שיתפו	compartiron
שיתפו	compartido
שיתפו	compartida
שיתפו	compartimos
שיתפו	compartiu
החטא	pecado
האבטלה	paro
היבט	aspecto
קט	gato
קט	ao
הפירמידה	pirámide
גאי	tipo
גאי	home
סילבר	silver
רענן	fresco
רענן	fresca
רענן	frescos
רענן	descarado
רענן	descarados
רענן	frescas
רענן	cambiar
הופר	hooper
סגורות	pechada
סגורות	pechado
סגורות	pechou
סגורות	pechados
סגורות	sondaxes
איב	eva
איב	aninovo
איב	data
איב	véspera
איב	noitevella
התנהגויות	condutas
סודית	segredo
סודית	secreto
סודית	secreta
לידת	a
לידת	luz
לידת	nacemento
לידת	orixe
לידת	de
כווית	kuwait
המצאה	invento
המצאה	invención
הסטטוס	posición
הסטטוס	statu
הסטטוס	status
עוגת	torta
עוגת	pastel
תמותה	infantil
תמותה	mortalidade
יריד	xusto
יריד	feira
מעצבת	estilista
אבודים	perdeu
אבודים	perderon
אבודים	perdín
אבודים	perdemos
אבודים	perdido
גרעינים	sementes
נשמות	almas
חזותי	visual
חזותי	visuais
סרדיניה	sardeña
המזכירה	de
המזכירה	secretaria
המזכירה	secretario
המזכירה	estado
מכללה	universidade
מכללה	na
מכללה	estudantes
מכללה	facultade
מכללה	que
מכללה	college
מכללה	colexio
חצו	cruzamos
התכנסות	reunión
ניקיון	limpando
ניקיון	a
ניקיון	limpeza
ניקיון	da
להיט	éxito
שבורים	roto
הפחתה	a
הפחתה	redución
ברנאר	bernard
כימיקלים	químicas
כימיקלים	químico
הגיבו	responder
הגיבו	reaccionar
הגיבו	reaccionaredes
הגיבו	reacciona
הגיבו	reaccionan
הגיבו	aos
הגיבו	ante
הגיבו	reaccionei
משופר	mellorou
אגרוף	ponche
אגרוף	unha
שנפגע	afectados
קיצוניות	extremas
זיוף	finxilo
קילו	chan
קילו	kg
קילו	quilos
קילו	kilos
קילו	case
קילו	libras
קילו	tonelada
קילו	toneladas
כנה	de
כנה	honestos
כנה	sinceros
כנה	dicir
כנה	verdade
כנה	sincero
כנה	honesto
כנה	de
כנה	honrado
התמקדות	centrar
פעמון	campá
רכישה	adquisición
מסוגלות	capaz
צחוק	risos
צחוק	risas
צחוק	rir
צחוק	risa
צחוק	rían
תלבושות	vestiario
תלבושות	disfraces
שפרד	pastor
שפרד	pastorciño
לחפור	extraer
לחפור	cáptasme
לחפור	capto
לחפור	cavar
לחפור	píllalo
לחפור	cavando
מניה	manía
מניה	depósito
לווייתן	balea
פח	estaño
פח	metálico
רוקדים	baile
רוקדים	bailando
רוקדים	bailar
רוקדים	bailaba
ביגוד	roupa
כבל	de
שיחזור	a
שיחזור	restaurar
משמרת	de
משמרת	quenda
פצוע	feridos
פצוע	feridos
פצוע	ferido
ביקוש	demanda
ביקוש	pido
ביקוש	custar
רשע	mal
רשע	malo
רשע	malvado
רשע	maldade
רשע	malvados
רשע	malo
רשע	malvada
ראשים	cabezas
אמהות	nais
אלבר	albert
אובייקטיבי	obxectivo
אובייקטיבי	obxectiva
גלוקוז	glicosa
אורגן	órgano
הגדל	incremento
הגדל	aumento
הגדל	a
הגדל	incrementar
הגדל	aumenta
הגדל	aumentar
תעשייתית	industrial
תחושות	sentimentos
תחושות	distancia
תחושות	os
אינדקס	índice
כישרון	talento
העצומה	petición
התעוררות	espertar
אלביס	elvis
מקארתי	mccarthy
דיים	centavos
דיים	dama
המר	amarga
שוקל	pesa
זמינה	dispoñibles
זמינה	dispoñible
זמינה	dispor
זמינה	dispoñíbel
זמינה	haxa
זמינה	dispoñíbeis
סחורה	bens
סחורה	luxo
סחורה	o
סחורה	ben
סחורה	mercadoría
הגנום	xenoma
נהנתה	da
נהנתה	disfrutei
דיילי	día
דיילי	diariamente
דיילי	daily
דיילי	cotiá
דיילי	diario
רקמה	tecido
מענק	bolsa
מענק	indultarme
מענק	srta
מענק	a
מענק	grant
מהומה	antidisturbios
איידס	sida
דונובן	donovan
הגדלה	de
הגדלה	medrando
הגדלה	medrar
הגדלה	crecemento
הגדלה	crecendo
הגדלה	medra
אירופאית	europea
אירופאית	europeas
כנופיות	forzados
מעוטר	condecorado
הקטור	héctor
מארח	anfitrión
חישובים	cálculos
נוחים	cómodo
ניידות	mobilidade
לינק	enlace
השכן	veciño
רובוטים	robots
אדית	edith
מוגנת	protexido
מוצלחים	éxito
מוצלחים	exitosos
להתנהג	acto
להתנהג	actuar
בצדק	pero
בצדק	recordalo
הושמד	destruídos
הושמד	destruíron
הושמד	destruído
הושמד	con
הושמד	destruírono
הושמד	destruír
אוקיי	moi
אוקיי	ben
אוקיי	vale
אוקיי	está
אוקיי	acordo
שותה	auga
שותה	café
שותה	bebendo
שותה	beber
שמורה	se
שמורה	salvado
שמורה	a
שמורה	salvou
שמורה	salvei
שמורה	salvaches
המנורה	lámpada
מכובדת	respectado
ציפה	se
ציפה	esperaba
ציפה	que
וויל	vai
לסבית	homosexuais
לסבית	homosexual
לסבית	fada
לסבית	das
לסבית	lesbiana
עגבניות	tomate
ועידה	conferencia
ועידה	de
ועידה	conferencias
ועידה	rolda
זמינות	dispoñibles
זמינות	dispoñible
זמינות	dispor
זמינות	dispoñíbel
זמינות	haxa
זמינות	dispoñíbeis
קליי	clay
נלכד	capturado
נלכד	capturados
נלכד	prisioneiro
צפוף	xente
הובלת	levou
הובלת	leva
הובלת	levoume
הובלת	á
וונדר	pregúntaste
וונדר	pregúntome
וונדר	me
וונדר	que
מחכים	agardando
מחכים	espera
מחכים	a
מחכים	esperar
מחכים	esperando
מחכים	agardar
דרו	drew
שילם	pagar
שילם	pagou
שעונים	ve
שעונים	reloxos
שעונים	mira
הורמונים	hormonas
הנהלה	de
הנהלה	xestión
הנהלה	dirección
הנהלה	a
תמים	inocente
תמים	inocentes
קדמה	progreso
קדמה	proceso
קדמה	progresos
קדמה	segue
מבטו	mirada
חיונית	vital
חיונית	esenciais
חיונית	esencial
מונטנה	montana
הוגנת	xusto
הוגנת	feira
סצינות	escenas
פטרסון	patterson
אפיפיור	papa
מתנצל	pedir
מתנצל	desculpas
הלסת	mandíbula
ילידים	nativo
ילידים	onde
ילידים	terra
בזבוז	perder
בזבוז	lixo
בזבוז	residuos
בזבוז	perda
בזבוז	perder
בזבוז	tempo
קח	a
סנגל	senegal
כניעה	rendédevos
עצות	consello
שריפות	lumes
אשליה	a
אשליה	ilusión
האבחנה	diagnóstico
האבחנה	diagnose
מרטי	marty
שנותן	da
שנותן	dá
שנותן	dálle
זעירה	diminutos
זעירה	pequena
זעירה	pequenos
זעירה	diminuto
זעירה	pequeno
זעירה	minúsculas
זעירה	diminuta
זעירה	pequenas
מעוצב	condecorado
מעוצב	deseñados
מעוצב	para
מעוצב	deseñadas
מעוצב	deseñado
מעוצב	deseñamos
אורחת	convidado
אורחת	invitado
ידידים	amigos
ידידים	os
פרוייקט	proxecto
התפתחותית	desenvolvemento
התפתחותית	trastorno
אבדה	perdeu
אבדה	perderon
אבדה	perdín
אבדה	perdemos
אבדה	perdido
חוגגים	celebrar
רגעים	momentos
רגעים	momento
רגעים	intres
התקנה	aparello
התקנה	instalación
לקפוץ	así
לקפוץ	saltar
לקפוץ	chimpa
שרלוק	sherlock
נשכח	esquecer
נשכח	esquezas
נשכח	o
נשכח	esqueceu
נשכח	esqueciches
נשכח	esquecín
נעלי	zapatos
נעלי	os
נעלי	botas
נעלי	tenis
למדתי	aprendín
למדתי	que
למדתי	aprenderon
למדתי	aprendemos
למדתי	aprendeu
למדתי	descubrimos
תיל	de
המיליציה	milicia
אלבמה	alabama
טוהר	pureza
קסמים	maxia
קסמים	máxico
קסמים	máxica
קרו	lle
קרו	pasou
קרו	ocorreu
קרו	aconteceu
קרו	sucedeu
קרו	que
סובלת	sofre
שנהב	costa
שנהב	do
שנהב	marfil
שנהב	de
נגע	tocan
נגע	están
נגע	tocar
נגע	a
נגע	tocáronme
נשען	insistir
עוזבים	deixar
עוזבים	marcho
עוזבים	marchar
מקטע	sección
מחפשת	a
מחפשת	mirando
מחפשת	mirar
מחפשת	buscando
מחפשת	buscando
מחפשת	busca
אפקטיבי	efectivas
אפקטיבי	efectiva
אפקטיבי	efectivo
אפקטיבי	efectivos
אפקטיבי	eficaces
אפקטיבי	eficaz
אפקטיבי	a
הסיפון	cuberta
מחסן	almacén
מחסן	almacenamento
מחסן	consigna
דיוקנאות	retratos
אודיו	audio
שקטה	silencio
שקטה	silencio
שקטה	calado
קרבנות	vítimas
מריאן	marianne
מריאן	marianka
מניחה	que
מניחה	supoño
מניחה	creo
חציית	cruzar
חציית	cruzando
היילי	haley
מא	ma
מא	mamá
מא	señora
החלטתי	decidiron
החלטתי	decidimos
החלטתי	decidiu
החלטתי	decidín
הושלמו	os
מנהיגה	líder
חשוד	sospeitosos
חשוד	sospeitoso
פסיקה	dominante
טיפוסית	típico
אוניברסלי	universais
אוניברסלי	universal
נבדק	a
האזנה	escoitan
האזנה	escoiten
האזנה	a
האזנה	escoitar
האזנה	escoitando
האזנה	escoitamos
אהוב	me
אהוב	queridos
אהוב	amas
אהוב	amaba
אהוב	encantábache
אהוב	favorito
אהוב	favoritos
אהוב	favorita
אהוב	preferido
אהוב	amado
אהוב	querido
הפילים	elefantes
הפילים	elefante
הפילים	marchar
מנהרה	túneles
בדיחה	broma
בדיחה	chiste
בדיחה	bromas
בדיחה	gracia
בדיחה	conto
מדליה	medalla
נסיעות	viaxar
נסיעות	viaxa
נסיעות	cara
נסיעות	viaxando
פתחתי	abrimos
פתחתי	abriu
פתחתי	e
פושעי	delincuentes
פושעי	criminais
הכרח	necesidade
שכחתי	esqueceu
שכחתי	esquecín
שכחתי	as
שכחתי	esquece
שכחתי	esquecino
קריטית	crítica
פט	pat
מקושרת	conectadas
מבריק	brillante
גלאי	detector
מסובכת	complicado
מסובכת	complexas
מסובכת	complicadas
שחיה	nadando
שחיה	nadar
שחיה	piscina
שחיה	á
שחיה	a
שחיה	nado
כיף	ben
כיף	divertido
כיף	divertida
הספקטרום	espectro
חידה	crebacabezas
חידה	puzzle
פרינס	príncipe
פרינס	o
פרות	as
פרות	vacas
נהנים	desfrutando
נהנים	ben
קנתה	mercou
קנתה	merquei
קנתה	merqueino
קנתה	merqueille
קנתה	comprou
בצק	diñeiro
סנקציות	sancións
מלכודת	trampa
מלכודת	boca
עצוב	triste
עצוב	tristes
פדרלי	federal
פדרלי	circuíto
פדרלי	federais
רועה	pastor
רועה	pastorciño
חלופה	alternativa
ארוחה	cear
ארוחה	cea
ארוחה	a
ארוחה	comida
האלוהי	divino
האלוהי	divina
יזכור	lembrar
יזכור	lembro
יזכור	lembra
יזכור	lembras
נשאל	pregunteille
נשאל	preguntou
נשאל	lle
שוט	disparou
נורמה	norma
דיסקברי	descubrimento
נביאים	profetas
היתוך	fusión
היתוך	reactor
ידית	manexar
ידית	arranxar
ידית	mango
ידית	facer
ידית	diso
תיקים	arquivos
תיקים	bolsas
תיקים	de
תיקים	casos
תיקים	caixas
ער	esperta
סוניה	sonia
דוחות	informes
דוחות	sobre
רודס	rhodes
רייטינג	cualificacións
רייטינג	as
רייטינג	avaliacións
ספקטרום	espectro
בודהה	buda
פרטיזנים	partisanos
פרטיזנים	partisáns
מבטיחה	promesa
מבטיחה	prometer
מבטיחה	prométolle
מבטיחה	prometo
מבטיחה	prométocho
האנט	cazar
היריון	embarazada
היריון	preñado
בעקרון	basicamente
בעקרון	básicamente
משרתת	criada
סריקה	escaneamos
לשחות	nadar
לשחות	baño
לשחות	nado
מרה	amarga
נשבע	xuro
נשבע	xúrocho
נשבע	que
נשבע	xura
נשבע	xuraría
ריאיון	entrevista
ריאיון	unha
ריאיון	entrevisto
פורמולה	fórmula
צפופה	xente
מתפקד	funcionais
מתפקד	funcional
שיתוק	paralizada
שיתוק	paralizado
מעצבים	estilista
המושבעים	xurado
הנסיכים	príncipes
חופה	costa
חופה	marfil
חופה	na
יריבים	rivais
בשפע	moito
בשפע	chea
בשפע	moita
בשפע	moitas
בשפע	xente
פיקאסו	picasso
סוכנויות	axencias
סוכנויות	de
אכזרי	cruel
אכזרי	brutal
רוצחים	asasinos
רוצחים	asasinos
תוהה	pregúntaste
תוהה	pregúntome
תוהה	me
תוהה	que
תקע	enchufe
שונא	odio
שונא	os
שונא	o
שונא	a
גניבת	roubar
גניבת	roubando
מעונות	dormitorio
מעונות	inspección
האקולוגית	ecosistema
נפאל	nepal
תולעת	verme
קרבית	de
קרבית	combate
קרבית	combates
קרבית	postos
מקוריות	os
מקוריות	orixinais
מקוריות	orixinal
מקוריות	orixinais
כלולים	incluía
סטלה	stella
גמיש	flexibilidade
גמיש	flexibles
הימורים	xogo
העלאה	erguen
העלאה	subir
העלאה	os
גיי	homosexuais
גיי	homosexual
עצירה	parada
מבקרת	de
מבקרת	visita
ריאה	pulmón
קופסה	caixa
קופסה	palco
מאושר	confirmado
מאושר	feliz
מאושר	contento
מאושר	felices
מאושר	contenta
אמיתיות	real
אמיתיות	de
אמיתיות	verdade
הפצצת	bombardeo
הפצצת	do
הפצצת	bombardeos
הפצצת	o
מקלות	paos
האתגר	reto
האתגר	desafío
האתגר	desafiar
אופציות	opcións
סיגריות	tabaco
סיגריות	cigarros
שניה	segundo
שניה	segunda
תמה	pregúntaste
תמה	pregúntome
תמה	me
תמה	que
חגיגה	celebración
מיסיסיפי	mississippi
איבה	eva
איבה	aninovo
איבה	data
איבה	véspera
איבה	noitevella
אידה	ida
סלט	ensalada
פאל	amigo
דקים	no
ביתית	doméstica
ביתית	caseira
הקולוניאלי	colonial
חיפושים	as
חיפושים	buscas
בריאים	san
בריאים	saúde
בריאים	sans
בריאים	saudable
תישאר	quedar
תישאר	ficar
תישאר	queda
מועילה	útil
מועילה	axuda
משולשים	triángulos
מוטציות	mutantes
מוטציות	mutacións
מיהר	de
הטבות	beneficios
הטבות	os
אמינה	confianza
אמינה	fiables
אמינה	fiable
לובש	vestidos
לובש	con
לובש	pantalóns
לובש	levas
לובש	leva
סנדרה	sandra
לזרוק	vertedoiro
דינוזאור	de
דינוזאור	dinosauro
דינוזאור	dinosauros
אסם	granxa
פדרלית	federal
פדרלית	circuíto
פדרלית	federais
גדילה	crecemento
נגר	carpinteiro
דאנס	baile
דאנס	baila
דאנס	bailar
דאנס	danza
אלמוגים	corais
אלמוגים	de
אלמוגים	coral
כוכבת	estrela
כוכבת	star
כלול	incluía
כלול	moitos
כלול	de
פילוסופי	filosófica
מוטציה	mutante
מוטציה	mutación
הריסות	ruínas
אתגרים	retos
אתגרים	desafíos
אמינים	fiables
אמינים	fiable
עמיד	resistentes
עמיד	resistente
חיסכון	aforros
חיסכון	aforrando
חיסכון	salvar
חיסכון	aforro
חיסכון	aforraban
לאלתר	improvisar
התאמות	mistos
התאמות	partidos
חולם	de
חולם	ensueños
רציניים	serio
רציניים	seria
רציניים	en
רציניים	grave
מנוסה	experimentou
מנוסה	experiencia
מנוסה	experimentado
מנוסה	nisto
נפילה	a
נפילה	namorarse
נפילה	caendo
נפילה	derrube
נפילה	ardendo
נפילה	caída
נפילה	outono
נפילה	caer
מופעלת	activa
שולחת	envía
תאיים	a
תאיים	ameazan
תאיים	ameazar
תאיים	ameazouna
באיחור	tarde
מגיני	defensores
רעל	veleno
תריסר	ducias
תריסר	ducia
תריסר	de
אורגניזמים	organismos
פערים	déficits
הזן	entrar
שחק	tocar
שחק	xogar
שחק	xogan
שחק	xogo
רובינס	robbins
כביסה	lavar
כביסה	a
כביסה	lavadora
כביסה	lavado
כביסה	lavadoras
כביסה	roupa
כביסה	roupa
הפנאי	libre
הפנאי	tempo
הפנאי	ocio
פינגווין	pingüín
תוף	drum
עגולה	redondo
עגולה	redondos
עגולה	xira
עגולה	arredor
עגולה	preto
מהפכנית	revolucionario
מהפכנית	revolucionaria
פלטפורמה	plataforma
בדוק	cheque
בדוק	comprobalo
עדר	manada
עדר	rabaño
נחוש	decidido
נחוש	con
מערה	das
מערה	cavernas
מערה	cova
שקיעה	solpor
מטופל	paciente
מטופל	doente
מטופל	pacientes
מופשט	abstracta
עצה	consello
עצה	punta
עצה	dan
עצה	propinas
משכורת	soldo
משכורת	salario
נגיעה	tacto
נגיעה	toque
נגיעה	contacto
נגיעה	tocar
נגיעה	toques
הפנסיה	pensión
נשרפו	queimado
נשרפו	queimaron
נשרפו	queimou
נשרפו	queimados
הרמוניה	harmonía
הצביעה	votou
הצביעה	votaron
מצפים	esperaba
מצפים	agardas
מצפים	agardaba
מצפים	agárdao
מצפים	a
דומיננטי	dominante
דומיננטי	educativa
משתף	compartir
מודפס	impreso
רומז	suxerindo
רומז	que
שמונים	aquí
התורן	mastro
תפוחים	mazás
מתקנת	arranxar
חולדה	rata
שכנות	os
שכנות	veciños
לסרב	declive
לסרב	non
לסרב	se
מוסתר	oculto
מוסתר	oculta
מוסתר	ocultas
מוסתר	escondidos
מוסתר	escondidas
עכברים	ratos
עכברים	démoslles
עכברים	ratas
בהמות	animais
בהמות	os
סוציאליזם	socialista
סוציאליזם	socialismo
משקפים	reflicten
משקפים	reflictan
חמאה	manteiga
תסריטים	guións
נוטות	a
נוטות	tendemos
נוטות	tenden
נוטות	adoita
תנסה	tentar
תנסה	intentar
ויה	través
ויה	via
ויה	rúa
בלוקים	mazás
בלוקים	de
הדפסת	impreso
גיליונות	sabas
הלוויה	funeral
הלוויה	enterro
סבבה	xenial
סבבה	ben
סבבה	fresco
לעד	para
לעד	sempre
לעד	eternamente
מצויר	viñeta
מצויר	tira
איזכור	mencionar
איזכור	mención
נחוצה	necesario
נחוצה	necesaria
נחוצה	necesarios
נחוצה	necesarias
נחוצה	preciso
נחוצה	é
צנוע	humilde
צנוע	humildes
חממה	invernadoiro
מנוסים	experimentou
מנוסים	experiencia
מנוסים	experimentado
מנוסים	nisto
נוסעת	vou
נוסעת	vai
נוסעת	imos
נוסעת	vas
נעל	zapato
תרגילים	exercicios
תרגילים	dirixe
תרגילים	un
אחורית	última
אחורית	fila
אחורית	parte
אחורית	traseira
זימבבואה	cimbabue
זימבבואה	zimbawe
זימבבואה	zimbabwe
זיהומים	infeccións
מפיקה	produtor
הפתעה	sorpresa
הפתעה	sorprenda
הפתעה	unha
מונית	taxi
מונית	taxi
מרחיב	expansión
מרחיב	expande
צעצועים	xoguetes
הומר	homer
חדות	contraste
מחויבת	cometeu
מחויבת	cometido
מחויבת	cometiches
מחויבת	cometeses
מחויבת	cometer
מחויבת	compromiso
מחויבת	cometidos
מחויבת	comprometido
מחויבת	coa
הפריטים	obxectos
הפריטים	os
הפריטים	puntos
הפריטים	artigos
הפריטים	das
באק	dólar
עול	carga
ההגעה	chegada
אוזניים	oídos
אוזניים	orellas
דייויס	davis
דייויס	davies
צהריים	almorzo
צהריים	xantar
צהריים	o
צהריים	comida
צהריים	comer
צהריים	mediodía
צהריים	tarde
צהריים	bos
צהריים	tardes
צהריים	serán
פורס	forza
פורס	a
פורס	policía
פורס	exército
זולים	barato
חיידקי	bacteriana
חיידקי	bacteriano
בזהירות	con
בזהירות	coidado
בזהירות	coidado
בזהירות	ten
בזהירות	con
בזהירות	tede
בזהירות	prudente
בזהירות	conta
בזהירות	atento
קמפ	señora
קמפ	kemp
מעיל	chaqueta
מעיל	da
מעיל	abrigo
מעיל	o
מעיל	chaqueta
מדווח	reportando
מדווח	información
הונאה	fraude
הורן	corno
ברני	barney
הכורים	mineiros
הכורים	obreiros
מנורה	lámpada
מרגישים	sinto
מרגישים	sentir
מרגישים	que
מרגישים	síntome
עיוורים	cegas
עיוורים	cega
עיוורים	cego
עיוורים	invidentes
עיוורים	cegos
דינמי	dinámica
דונג	dong
מרגלים	espías
לדחוף	presionar
שחרר	liberación
שחרר	lanzamento
שחרר	en
שחרר	liberdade
שחרר	a
מטפלת	neneira
הירושימה	hiroshima
לפוצץ	serea
גרפיקה	gráficos
צבים	tartarugas
סרק	improdutivo
מגנה	protexe
לשקף	reflicten
לשקף	reflictan
החשוד	sospeitoso
כורים	mineiros
כורים	obreiros
אנושות	a
אנושות	humanidade
הקרנות	radiación
ריאליזם	realismo
דיל	tratar
דיל	negocio
דיל	trato
תגיד	dicir
תגיד	di
תגיד	que
פיש	peixes
פיש	peixe
פיש	pescar
איכשהו	algunha
איכשהו	dalgún
איכשהו	xeito
איכשהו	dalgunha
איכשהו	maneira
אינפורמציה	información
החולצה	camisa
החולצה	camiseta
משוחרר	liberado
משוחרר	liberados
משוחרר	editaron
משוחרר	retirarse
ארכיטקטורה	arquitectura
להתאחד	unídevos
להתאחד	irmandádevos
להתאחד	matar
להתאחד	vosas
המפתחות	chaves
המפתחות	as
סודיות	segredo
סודיות	secreto
סודיות	secreta
