pete	ピート
konceptu	コンセプト
zlepšit	向上
zlepšit	改善
vlnu	ウール
bitev	合戦
vyrobit	メイク
vyrobit	make
míjí	はずれ
hostitele	ホスト
hostitele	主催
elisabeth	エリザベート
soupeři	ライバル
battle	バトル
battle	戦闘
battle	戦い
kouření	喫煙
ward	ウォード
inspirace	インスピレーション
inspirace	インスパイア
jáma	ピット
doporučuji	おすすめ
doporučuji	すすめる
doporučuji	薦める
návštěvu	訪問
lidstvo	人類
lidstvo	人類
komponenty	コンポーネント
dokumentaci	ドキュメント
dokumentaci	ドキュメンテーション
otevřít	オープン
otevřít	開館
otevřít	開く
atributy	属性
baru	バール
baru	バー
dubu	オーク
berkeley	バークリー
svátky	祝日
svátky	休日
svátky	ホリデー
svátky	祝日
svátky	休日
progresivní	プログレッシブ
lan	lan
lan	イアン
opakovat	繰り返す
opakovat	繰り返し
montana	モンタナ
popředí	前景
filtr	フィルタ
filtr	フィルター
nba	nba
knight	騎士
knight	ナイト
atomy	原子
romance	ロマンス
ring	リング
ring	指輪
ras	ラス
nádoby	容器
nádoby	コンテナ
mika	美香
mika	ミカ
elena	エレナ
laboratoře	labs
laboratoře	研究室
večerní	夕方
sestoupil	降臨
lincoln	リンカーン
barevný	カラフル
američan	アメリカン
tlačítko	ボタン
jelení	シカ
humor	ユーモア
humor	ユーモア
pacient	患者
jednotlivce	個人
tokiu	東京
zacházení	ハンドリング
zacházení	取扱
zacházení	取り扱い
zacházení	トリートメント
zacházení	待遇
zacházení	治療
flétnu	フルート
bruins	ブルーインズ
příručka	ハンドブック
příručka	manual
příručka	手動
příručka	マニュアル
příručka	ガイド
uesac	uesac
jemné	やわらかい
jemné	柔らかい
jemné	ソフト
jemné	微妙
poušť	デザート
poušť	砂漠
calgary	カルガリー
michelle	ミシェル
sotva	辛うじて
rám	フレーム
dávky	線量
dávky	一服
dávky	福利
charakteristiky	特性
charakteristiky	特色
charakteristiky	特徴
strategii	戦略
pevná	固体
pevná	会社
pevná	固定
pevná	固定された
norbert	ノルベルト
poušti	デザート
poušti	砂漠
pravomoc	権威
pravomoc	権限
pravomoc	職権
otvor	ホール
kroků	歩数
kroků	手順
kroků	ステップ
seattle	シアトル
atlantic	アトランティック
atlantic	大西洋
rally	ラリー
armstrong	アームストロング
předpoklad	推定
předpoklad	想定
předpoklad	就任
stavebnictví	建設
lana	ロープ
lana	ロープ
dusík	窒素
turner	ターナー
ladění	デバッグ
ladění	デバッグ
končetin	手足
končetin	四肢
uživatelem	ユーザー
uživatelem	ユーザ
plochý	フラット
forum	フォーラム
zadání	嘱託
zadání	譲渡
zadání	代入
zadání	割り当て
zadání	受賞
zadání	表彰
prohlížeče	ブラウザー
remíza	引き分け
remíza	ネクタイ
remíza	引き分け
remíza	ドロー
soupravy	集合
soupravy	セット
tenisové	テニス
sběratel	コレクター
lars	ラース
uděleno	付与
hosty	ゲスト
přátele	友だち
přátele	友達
jedle	fir
každoroční	年次
nepokoje	暴動
nepokoje	暴動
nepokoje	暴動
hubert	ヒューバート
spojka	クラッチ
spojka	ハンドラー
spojka	ハンドラ
vzorce	パターン
vzorce	数式
vzorce	数式
delegace	委任
delegace	委嘱
úředníci	クラークス
zákazníků	カスタマー
bostonu	ボストン
čarodějnice	魔女
čarodějnice	ウィッチ
čarodějnice	魔女
aero	エアロ
jubilejní	ジュビリー
učinit	メイク
učinit	make
touha	欲望
touha	あこがれ
nesouhlas	不一致
nesouhlas	野党
edwards	エドワーズ
zkratky	ショートカット
zkratky	略語
kenneth	ケネス
autonomie	自治
reformu	改革
reformu	革新
reformu	リフォーム
plyny	気体
plyny	ガス
plyny	気体
skokan	ジャンパー
mistři	マスターズ
mistři	チャンピオンズ
mistři	チャンピオン
berger	ベルガー
tóny	音色
předání	伝送
minerální	鉱物
asp	asp
boxu	ボクシング
roma	ロマ
roma	ローマ
vtj	vtj
prevence	予防
prevence	防止
gene	遺伝子
gene	ジーン
partnera	パートナー
člun	ディンギー
člun	ボート
hart	ハート
pravděpodobnosti	確率
pravděpodobnosti	確率
rabín	ラビ
skal	岩石
skal	ロックス
linda	linda
linda	リンダ
murphy	マーフィー
narušení	擾乱
narušení	騒乱
narušení	歪み
narušení	違反
stěhování	引越し
stěhování	移動
kapel	バンド
variace	バリエーション
variace	変奏曲
variace	バリエーション
sníh	スノー
sníh	snow
madame	マダム
sporty	スポーツ
perry	ペリー
interval	間隔
interval	音程
interval	インターバル
interval	区間
hercegovina	ヘルツェゴヴィナ
měkké	やわらかい
měkké	柔らかい
měkké	ソフト
porta	ポルタ
cia	cia
prodán	落札
alias	別名
alias	偽名
alias	エイリアス
alias	aka
uruguay	ウルグアイ
chůze	ウォーキング
chůze	歩行
chůze	歩く
chůze	歩き
chůze	ウォーク
chůze	歩行
chůze	歩く
chůze	徒歩
sedlák	農民
naučit	学習
naučit	学ぶ
hôtel	hôtel
anime	アニメ
franka	フランク
pamětihodnosti	観光
filipíny	フィリピン
kov	メタル
kov	金属
potomek	子孫
potomek	子孫
jednotlivci	個人
stíhání	訴追
stíhání	公訴
stíhání	検察官
nepřítomnosti	欠席
dokončit	終了
dokončit	フィニッシュ
dokončit	コンプリート
dokončit	完備
detailní	詳細
amy	エミー
organismus	生物
konstantní	定数
fenomén	現象
fenomén	現象
diferenciální	差動
diferenciální	微分
bránu	ゲート
ledovce	氷河
ledovce	氷山
vzorku	サンプリング
vzorku	サンプル
stín	シャドー
stín	シャドウ
stín	シェイド
stín	日陰
stín	シェード
zánět	炎症
kůra	バーク
kůra	樹皮
kůra	ピール
mučení	拷問
weiss	ヴァイス
spekulace	思索
spekulace	投機
guinea	ギニア
uprchlíků	難民
pera	ペン
svatby	ウェディング
svatby	ウェディング
svatby	結婚式
pákistán	パキスタン
austin	オースチン
mládě	カブ
závěry	結論
závěry	エンディング
závěry	結論
erika	えりか
erika	エリカ
vdaná	既婚
grafický	グラフィック
wells	ウェルズ
čáry	magic
čáry	魔法
čáry	マジック
čáry	ウィッチクラフト
kapaliny	液体
kapaliny	流体
nosit	着る
nosit	摩耗
trubice	チューブ
venkovní	アウトドア
venkovní	屋外
mas	mas
mas	ラグ
marx	マルクス
hardware	金物
hardware	ハードウェア
užší	狭い
chlazení	冷却
chlazení	冷蔵
chlazení	冷却
chlazení	カッコイイ
absolutně	絶対に
komik	コメディアン
fondů	資金
korespondence	対応
korespondence	通信
rovina	飛行機
mýty	神話
stálá	パーマネント
stálá	定数
modře	青い
modře	ブルー
modře	青色
železo	アイロン
bojovník	戦士
bojovník	ファイター
arabský	アラブ
garcia	ガルシア
zum	zum
logicky	論理
nine	nine
kandidáti	候補者
můstek	ブリッジ
odbor	部署
odbor	学科
odbor	部門
bankovky	紙幣
bankovky	紙幣
perské	ペルシャ
matematiku	数学
matematiku	数学
montrealu	モントリオール
plášť	ケープ
plášť	クローク
plášť	コート
bulharské	ブルガリア
podmínka	状態
podmínka	条件
identitu	アイデンティティー
identitu	アイデンティティ
sue	スー
krakov	クラクフ
krakov	クラクフ
bazén	プール
primitivní	プリミティブ
sloupce	カラム
sloupce	カラム
poslat	送信
poslat	送る
porto	ポルト
toyota	豊田
toyota	トヨタ
extra	エクストラ
turbíny	タービン
turbíny	タービン
zmínit	言及
fotoaparát	カメラ
morrison	モリソン
baletu	バレエ
baku	バクー
výpočtu	計算
výpočtu	算定
kvetoucí	開花
částky	金額
částky	合計
fontána	噴水
střídání	回転
střídání	ローテーション
newton	ニュートン
regina	レジーナ
rovnost	平等
stoupenci	サポーター
ranní	モーニング
dovednosti	スキル
dovednosti	スキル
versailles	ヴェルサイユ
inspiraci	インスピレーション
inspiraci	インスパイア
angelo	アンジェロ
angelo	アンジェラ
amsterdamu	アムステルダム
emoce	感情
emoce	感情
tenké	薄い
tenké	細い
proměny	変態
proměny	変換
proměny	変換
pouštní	デザート
pouštní	砂漠
antonia	アントニア
pečeť	アザラシ
pečeť	封印
pečeť	印章
pečeť	シール
pečeť	押印
pia	ピア
organizátor	主催
dom	ドム
dom	dom
prodávat	売る
nevýhody	短所
nevýhody	欠点
nevýhody	欠点
nevýhody	短所
bobule	ベリー
bobule	ベリー
madison	マディソン
sláva	名声
sláva	グローリー
sláva	ひょう
moderátorka	司会
stůl	テーブル
stůl	デスク
přepracování	処理
přepracování	加工
přepracování	改正
přepracování	改定
husté	厚い
husté	太い
husté	濃密
stálý	定数
soulu	ソウル
nebezpečný	危険
pásy	ベルト
skryté	隠し
jorge	ホルヘ
čelisti	あご
emi	emi
emi	えみ
kop	キック
hospoda	居酒屋
hospoda	パブ
vrh	ごみ
dotace	補助金
střeva	ガッツ
střeva	内臓
rozkladu	崩壊
rozkladu	減衰
rozkladu	分解
rozkladu	腐敗
rozkladu	劣化
každodenní	everyday
každodenní	日常
každodenní	毎日
každodenní	デイリー
vyhodnocení	査定
vyhodnocení	評価
vyhodnocení	評価
vyhodnocení	評定
bosně	ボスニア
vrtulníku	ヘリコプター
přípravky	プロダクト
přípravky	商品
přípravky	製品
chlupy	ヘアー
chlupy	髪の毛
chlupy	ヘア
chlupy	毛髪
zdůrazňuje	見どころ
zdůrazňuje	ハイライト
sophie	ソフィー
sophie	ソフィア
světec	セイント
světec	聖人
chaos	カオス
chaos	混沌
laboratoř	研究室
laboratoř	研究室
laboratoř	ラボ
označování	マーキング
označování	ラベル付け
označování	レッテル
porsche	ポルシェ
facebooku	facebook
nesmírně	きわめて
nesmírně	極めて
gps	gps
usb	usb
bratranec	従姉妹
bratranec	従兄弟
bratranec	いとこ
nevěsta	花嫁
zvyky	習慣
innsbruck	インスブルック
prosté	シンプル
prosté	簡単
prosté	単純
prosté	無地
prosté	平野
přednášek	レクチャー
přednášek	講義
přednášek	講演
temple	テンプル
temple	寺院
temple	神殿
sicílie	シチリア
slabý	弱い
překážky	障壁
split	分ける
split	分割
split	スプリット
africký	アフリカ
jednotlivě	個別
jednotlivě	個別に
kořen	root
kořen	ルート
atmosféra	大気
atmosféra	大気圏
atmosféra	雰囲気
sběr	コレクション
mar	mar
lebky	頭蓋骨
lebky	髑髏
lebky	頭蓋骨
zobrazit	表示
zobrazit	見る
zobrazit	ビュー
zobrazit	ディスプレイ
zobrazit	ショー
zubní	歯科
mniši	僧侶
dospělí	大人
dospělí	成人
dospělí	大人
přejít	十字架
přejít	クロス
přejít	cross
přejít	十字
nilsson	ニルソン
audi	アウディ
rogers	ロジャース
tkání	ティッシュ
cat	ネコ
cat	ねこ
int	int
úzký	狭い
krajní	エクストリーム
vajíček	ova
interaktivní	インタラクティブ
skutečná	real
skutečná	本物
skutečná	リアル
hong	ホン
fóra	フォーラム
fóra	フォーラム
restaurací	レストラン
harvard	ハーバード
pascal	パスカル
kristýna	クリスティン
olivier	オリヴィエ
omyl	間違い
doklad	ドキュメント
doklad	書類
doklad	文書
curychu	チューリッヒ
curychu	チューリッヒ
přidá	追加
doprovod	エスコート
doprovod	護送
elektronická	エレクトロニック
discogs	discogs
atlantě	アトランタ
poražený	敗者
obchodníci	商人
francesca	フランチェスカ
mezery	スペース
mezery	隙間
mezery	ギャップ
mezery	間隔
mezery	ギャップ
mezery	gap
kořenů	ルーツ
libovolné	任意
odsouzení	収用
gil	ギル
velvyslanec	大使
velvyslanec	アンバサダー
trojúhelník	トライアングル
trojúhelník	三角形
midi	midi
soudců	裁判官
gottfried	ゴットフリート
zkouška	テスト
zkouška	リハーサル
zkouška	テスト
styly	スタイル
navrhnout	提案
navrhnout	プロポーズ
akutní	急性
akutní	アキュート
lehčí	ライター
dělo	大砲
eden	エデン
omezený	限定
omezený	limited
omezený	制限
wallace	ウォレス
sucha	旱魃
sucha	干ばつ
sucha	旱魃
dlouhodobý	生涯
dlouhodobý	通算
klanu	氏族
mapu	地図
mapu	マップ
uložit	セーブ
uložit	保存
hold	朝貢
hold	オマージュ
vynález	発明
vlast	母国
vlast	祖国
vlast	祖国
zobák	くちばし
hanse	ハンス
bezpečné	セーフ
bezpečné	金庫
bezpečné	安全
bezpečné	セキュア
svařování	溶接
platný	有効
jmění	フォーチュン
helen	エレーヌ
helen	ヘレン
genesis	ジェネシス
ochránce	プロテクター
tesla	テスラ
výhodné	有益
výhodné	便利
výhodné	バーゲン
menšina	少数
luke	ルカ
trubky	パイプ
trubky	パイプス
trubky	トランペット
dvojčata	双子
gregory	グレゴリー
speed	速度
speed	スピード
členské	メンバ
členské	会員
členské	メンバー
vize	ヴィジョン
vize	ビジョン
vize	vision
záhřeb	ザグレブ
diana	ダイアナ
učitelé	教員
učitelé	教師
hladká	スムーズ
hladká	スムース
hladká	滑らか
hudson	ハドソン
pearl	真珠
charitativní	チャリティー
charitativní	チャリティ
svaly	筋肉
svaly	マッスル
svaly	筋肉
vynalezl	発明
kodaň	コペンハーゲン
moše	モーシェ
afd	afd
kouzlo	呪文
kouzlo	スペル
kouzlo	magic
kouzlo	魔法
kouzlo	マジック
mozilla	mozilla
hlavice	弾頭
vietnam	ベトナム
slalom	スラローム
harryho	ハリー
ustoupit	退却
ustoupit	撤退
glenn	グレン
peace	ピース
peace	平和
posuzování	査定
posuzování	評価
mali	マリ
mechanismy	メカニズム
kritici	評論家
sklad	倉庫
sklad	ストレージ
ústředí	本社
ústředí	本部
ústředí	司令部
emily	エミリー
salvador	サルバドール
výměny	インターチェンジ
npov	npov
vyrobený	製造
vyrobený	made
slávu	名声
slávu	グローリー
hmota	物質
hmota	事柄
hmota	ミサ
hmota	質量
trenýrky	ショーツ
očekávat	expect
ježek	ハリネズミ
idea	アイデア
idea	観念
idea	アイディア
napájení	権力
napájení	パワー
marin	マリン
marin	マラン
camp	camp
camp	キャンプ
hrubé	グロス
odhalena	啓示
ios	ios
čest	名誉
čest	名誉
odstoupení	辞表
odstoupení	辞任
odstoupení	辞職
odstoupení	脱退
odstoupení	離脱
odstoupení	撤退
úmyslně	わざと
úmyslně	故意
úmyslně	故意
polokouli	半球
úmluvy	コンベンション
úmluvy	大会
žaludku	お腹
guvernéra	知事
vancouveru	バンクーバー
modlitba	祈り
modlitba	祈り
modlitba	礼拝
modlitba	祈祷
zastřelen	ショット
promoval	卒業
vlákno	繊維
vlákno	繊維
vlákno	スレッド
šípy	矢印
šípy	アロウズ
monica	モニカ
piráti	パイレーツ
piráti	海賊
brzdy	ブレーキ
brzdy	ブレーキ
postižené	無効
dylan	ディラン
týdně	毎週
týdně	週間
týdně	週刊
týdně	ウィークリー
chápání	理解
tobolka	カプセル
rasa	人種
rasa	競走
rasa	レース
monika	モニカ
monika	モニカ
navždy	フォーエバー
nadání	タレント
nadání	タレント
cole	コール
závažné	深刻
závažné	重度
playstation	playstation
bart	バート
bauer	バウアー
suzuki	スズキ
suzuki	鈴木
neobvyklé	珍しい
skoky	ジャンプ
přečíst	読み
přečíst	読み込み
přečíst	読み取り
přečíst	読む
con	con
kennedyho	ケネディ
hraně	エッジ
hraně	edge
autonomii	自治
dýchání	呼吸
minerály	鉱物
věrnost	忠誠
sněmovna	ハウス
klávesnice	キーボード
klávesnice	キーボード
dohled	監督
dohled	監視
vlhkost	水分
vlhkost	湿度
projekce	投影
kentucky	ケンタッキー
tajný	秘密
dotazy	問い合わせ
dotazy	質問
dotazy	問い合わせ
redakční	社説
nápoje	飲み物
nápoje	飲料
nápoje	飲み物
nápoje	飲物
nápoje	飲み物
nápoje	ドリンク
zpoždění	ディレイ
zpoždění	遅延
zpoždění	遅い
zpoždění	遅延
misionář	宣教師
brad	ブラッド
panely	パネル
berg	ベルク
genetické	遺伝
hugh	ヒュー
prokázat	証明
autority	権威
autority	権限
autority	職権
keramiky	陶芸
keramiky	陶器
keramiky	陶磁器
bernhard	ベルナルド
carmen	カルメン
křivky	カーブ
křivky	曲線
křivky	カーブ
křivky	曲線
soči	ソチ
mysl	mind
mysl	マインド
peking	北京市
peking	北京
peking	北京
obrovská	巨大
opak	反対
fbi	fbi
šedý	灰色
šedý	グレイ
šedý	グレー
šedý	灰色
šedý	グレイ
šedý	グレー
šaty	ドレス
šaty	ドレス
šaty	被服
šaty	洋服
ostrý	シャープ
ostrý	鋭い
smíšená	ミックス
smíšená	混合
zpívat	歌う
zpívat	sing
předsedkyně	会長
předsedkyně	議長
rána	ブロウ
rána	ブロー
rána	傷口
salon	サロン
salon	サルーン
milost	慈悲
milost	マーシー
milost	恩寵
milost	グレース
milost	グレイス
zákazníky	カスタマー
nadšení	興奮
nadšení	熱意
nadšení	わくわく
nadšení	ワクワク
nadšení	興奮
bojiště	戦場
levnější	安上がり
někam	どこか
nemocný	病気
kritický	クリティカル
elektronický	エレクトロニック
xxx	xxx
jesse	ジェシー
horizontální	水平
rozpuštění	解散
platforma	プラットフォーム
platforma	プラットホーム
face	フェイス
účinný	実効
stanoviska	意見
módy	ファッション
luna	ルナ
vzpoura	反乱
vzpoura	暴動
vzpoura	反乱
