নাগরী	nagari
ঘৃণা	odi
জ্যোতির্বিদ্যা	astronomia
গলফ	golf
কল্যাণী	kalyani
শিশির	rosada
হাবল	hubble
মীমাংসা	resoldre
কাঠমান্ডু	kathmandu
ঝোঁক	accent
ফ্যাট	fat
ফ্যাট	greix
বন্টন	distribució
অ্যাক্সেস	accés
বাল	bal
অজস্র	nombroses
অজস্র	nombrosos
আহমেদাবাদ	aurangabad
আহমেদাবাদ	ahmadabad
আহমেদাবাদ	ahmedabad
কেমিক্যাল	chemical
কেমিক্যাল	químic
কেমিক্যাল	químics
ফাহাদ	fahad
বিশ্লেষণী	analítica
ভীত	espantat
গিবস	gibbs
অভিবাসন	migració
রেসলিং	lluita
স্কেচ	croquis
স্কেচ	esbós
পাতিল	patil
ইফেক্ট	efectes
ইফেক্ট	efecte
শীতকাল	hivern
রাদারফোর্ড	rutherford
বসন্তে	primavera
উইলিস	willis
অয়লার	euler
নারিকেল	coco
আসক্তি	addiccions
আসক্তি	addicció
আসক্তি	addictiu
আশ্চর্য	increïble
আশ্চর্য	estranya
আশ্চর্য	strange
আশ্চর্য	estrany
আশ্চর্য	pregunto
আশ্চর্য	meravella
উইলিয়ামসন	williamson
ফিলাডেলফিয়া	filadèlfia
ফিলাডেলফিয়া	philadelphia
ব্যবসায়ীদের	comerciants
তলার	dalt
অত্যাধুনিক	sofisticada
চিন	barbeta
চিন	chin
চিন	xina
ওয়াইন	vi
অস্পষ্ট	borrós
নৃতাত্ত্বিক	antropòleg
দন্ড	pals
আর্নল্ড	arnold
দৌড়বাজী	atletisme
লিন	lynn
লিন	lyn
লিন	magra
লিন	magre
লিন	lin
ছাড়	descompte
ছাড়	rebaixa
ছাড়	descomptes
ছাড়	rebaixes
পনেরো	quinze
রবার্টস	roberts
ব্রেট	brett
কল্পিত	fabulosa
কল্পিত	imaginat
ঘনিষ্ঠভাবে	estretament
ডলি	dolly
প্রাইড	orgull
ভিলহেল্ম	wilhelm
ডায়ানা	diana
জোহানেসবার্গ	johannesburg
ওম	ohm
সচিবালয়	secretaria
অন্তর্বর্তীকালীন	transitòries
দরজার	porta
হোমস	holmes
হোমস	homs
দোকানের	botiga
সাও	são
আইসল্যান্ড	islàndia
মডার্ন	moderna
মডার্ন	modern
চতুর্থাংশ	trimestre
তৎপরতা	activitat
ব্যাঙ্গালোর	bangalore
তাড়া	chase
ইলেক্ট্রনিক্স	electrònica
এমবিএ	mba
কন্নুর	kannur
সাইয়্যেদ	sayyed
কবরের	tombes
লিওনেল	lionel
স্বর্গের	cel
স্বর্গের	heaven
সদস্যবৃন্দ	recorda
সদস্যবৃন্দ	recordeu
সদস্যবৃন্দ	membres
অলংকার	ornaments
ছাদের	terrat
হিশাম	hixam
ডুবিয়ে	ofegar
ডুবিয়ে	ofegat
উদ্যোগী	iniciativa
চিরন্তন	etern
সত্বেও	malgrat
কানে	oïda
কানে	orella
ইকুয়েডরের	ecuatoriana
এসেক্স	essex
জাস্টিন	justin
ফিশার	fisher
ফিশার	hemisferi
ফিশার	fischer
মাইক্রোসফটের	microsoft
জাম্প	salta
বুলেট	bala
কঠোরভাবে	estrictament
দেওয়ালে	paret
দেওয়ালে	mur
যোদ্ধাদের	lluitadors
আর্ল	earl
পাবলিশার্স	editorials
সেলাই	cosir
সেলাই	costura
সেলাই	cosir
সেলাই	stich
সেলাই	puntades
হজরত	hazrat
সুরা	surat
প্রোটোকল	protocol
প্রোটোকল	protocols
ইয়াজিদ	yazid
সৃষ্টিকর্তা	creador
দোয়া	dua
সন্ত্রাসবাদ	terrorisme
যত্ন	cuidada
তাজিকিস্তান	tadjikistan
অনশন	dejuni
সুগার	sucre
মোদী	modi
মাননীয়	majestat
মহল্লা	mahalla
নির্মম	brutalment
নির্মম	brutal
তন্তু	fibres
মনি	mani
প্রবাদ	refrany
প্রবাদ	proverbi
বাটলার	butler
বাটলার	majordom
কৈশোর	adolescència
চিনতে	reconeixen
চিনতে	reconèixer
সাবান	sabó
স্বরধ্বনি	vocal
জেনিফার	jennifer
ক্ষেত্রগুলি	camps
মরক্কো	marroc
সিরীয়	sirià
এভিনিউ	avinguda
হকিং	hawking
অর্থহীন	inútil
পাখনা	wings
পাখনা	ales
ক্রিশ্চিয়ান	christian
ক্রিশ্চিয়ান	cristià
মাচু	machu
অভ্যর্থনা	recepció
ট্রিপল	triple
ইউরেশীয়	eurasian
মস্তিষ্কে	cervell
চরণ	charan
নিঃসন্দেহে	indubtablement
ক্রুসেড	croada
নিবিড়	intensius
নিবিড়	intensiva
নিবিড়	intensiu
প্রোডাকশন	producció
সিন্ধি	sindhi
খলিল	khalil
একনিষ্ঠ	dedicat
একনিষ্ঠ	dedicada
অ্যাঞ্জেলো	angelo
এলেন	ellen
সিকিম	sikkim
ব্যাঙের	granota
সম্ভাবনার	possibilitats
জিউস	zeus
জুরিখ	zürich
জুরিখ	zuric
জুরিখ	zuric
জুরিখ	zurich
বাহুর	braços
জলন্ধর	jalandhar
মাইক্রো	micro
ফ্লাওয়ার	flor
অভিযোজন	adaptació
স্থানাংক	coordenada
স্থানাংক	coordenades
ইব্রাহীম	ibrahim
ইব্রাহীম	abraham
কোমর	cintura
উদ্বাস্তু	refugiats
বিপর্যয়ের	desastre
মোড	modalitat
মোড	mode
কাঁকড়া	crancs
কাঁকড়া	cranc
নিয়মাবলী	regles
নিয়মাবলী	normes
মায়ার	maya
নেভিল	neville
হিন্দুস্তানি	hindustani
শত্রুদের	enemics
ভিড়	multituds
ভিড়	multitud
ভিলা	villa
গোসল	dutxa
কোটা	kota
বাজেয়াপ্ত	confiscat
বাজেয়াপ্ত	confiscada
ফসফরাস	fòsfor
গোপনীয়তা	privadesa
গোপনীয়তা	privacitat
ইস্তানবুল	istanbul
পিতামাতা	pares
পিতামাতা	pare
পিতামাতা	progenitora
পিতামাতা	progenitor
অবিচ্ছিন্ন	continu
নামগুলো	noms
গ্রীষ্মকাল	estiu
জাকার্তা	jakarta
হেল	hel
সিনেট	senat
টুইটার	twitter
বাঁক	revolts
বাঁক	corbes
বরখাস্ত	desestimat
বরখাস্ত	acomiadament
বীরত্ব	heroisme
যুগল	parella
জার	tsar
জার	jar
লায়ন	lleó
অভিযোগের	càrrecs
ভাঙন	erosió
মুজাহিদ	mujahid
বাহামা	bahames
ফিলিপস	philips
ফিলিপস	phillips
টুকরা	llesques
টুকরা	peces
বরাক	barak
লাগানোর	plantació
রহমত	pietat
রহমত	misericòrdia
রহমত	rahmat
কিথ	keith
দেওয়াল	paret
দেওয়াল	mur
দেওয়াল	murs
দেওয়াল	parets
নোভা	nova
অ্যাক্ট	acte
অ্যাক্ট	act
টহল	patrullant
টহল	patrulla
কোস্টা	costa
লাইক	com
লাইক	like
জুরি	jurat
পিঠা	pastís
স্থানসমূহ	llocs
শার্লক	sherlock
জিনি	ginny
সি++	c++
স্পষ্টভাবে	definitivament
নিহিত	finançat
পিটার্সবার্গ	petersburg
শ্রোতাদের	oients
গোয়ার	goa
ঢোল	drum
ঢোল	tambor
মন্ত্রনালয়	ministeri
জারী	jari
ভেজা	humida
ভেজা	mullat
কুমির	cocodril
মাওবাদী	maoista
খুনের	assassinats
খুনের	assassinat
মিছিলে	processó
আর্কিটেকচার	arquitectura
করন	karan
তেহরান	teheran
তাপস	tapes
নিরস্ত্র	desarmat
নিরস্ত্র	desarmats
প্রার্থীদের	candidats
প্রার্থীদের	candidates
প্রার্থীদের	aspirants
ম্যাজিক	màgia
আগ্রাসন	agressió
শাহীন	shahin
শাহীন	shaheen
রোমানদের	romans
হোল	forat
ট্রানজিস্টর	transistor
স্প্রিং	primavera
ক্রেইগ	craig
অর্থনৈতিকভাবে	econòmicament
কীট	insecte
মাধব	madhav
আদর্শে	ideals
সারসংক্ষেপ	resum
সারসংক্ষেপ	ressenya
সারসংক্ষেপ	resum
শিক্ষাগত	educatiu
উদ্ভিদবিজ্ঞান	botànica
তাক	escot
তাক	prestatges
তাক	lleixes
তাক	prestatgeries
সুড়ঙ্গ	túnel
সুড়ঙ্গ	túnels
জুল	jules
ফ্যাক্টর	factor
তুই	tu
তুই	vostè
ডেল্টা	delta
লুসিয়া	lucia
চন্দন	chandan
চিত্রগ্রহণ	filmació
নৈতিকতা	ètica
নৈতিকতা	moral
নৈতিকতা	moral
নৈতিকতা	moralitat
নৈতিকতা	moral
রাজহাঁস	oca
গ্যালিলিও	galileu
মুলক	mulk
গাদ্দাফি	gaddafi
স্টকহোম	estocolm
স্টকহোম	stockholm
ভাবতে	pensa
সংকোচন	comprimir
প্রসারণ	ampliació
প্রসারণ	extensió
প্রসারণ	pròrroga
আংটি	anell
আংটি	anells
আংটি	anelles
পশ্চিমী	western
নন্দ	nanda
দিচ্ছে	donant
উট	camell
জামা	camises
জামা	camisa
গ্রীষ্মের	estiu
ফরিদ	farid
ইউয়ান	yuan
বেলুড়	belur
বাঁচতে	viure
বাঁচতে	live
ট্যাঙ্ক	tanc
ট্যাঙ্ক	tancs
ঋগ্বেদ	rigveda
স্বাভাবিকভাবেই	naturalment
ব্রিটানিকা	britannica
আরোগ্য	curar
আরোগ্য	curació
আরোগ্য	millorant
কোকিল	naevia
ক্রোয়েশীয়	croat
ক্রোয়েশীয়	croata
হতাশ	frustrat
হতাশ	frustrada
হতাশ	frustrats
হতাশ	decebut
উত্পাদন	fabricació
উত্পাদন	producció
উত্পাদন	fabricació
অযোগ্য	inhàbil
তেরেসা	teresa
ফাতিমা	fatima
ফাতিমা	fàtima
নেচার	natura
নেচার	naturalesa
লিখুন	escriu
লিখুন	introdueix
তিতির	coqui
তিতির	francolí
মরিশাস	maurici
ফাঁদ	trampa
ফাঁদ	trap
ফাঁদ	trampes
গ্যালারী	galeries
ব্যঞ্জনধ্বনি	consonant
গুণাবলী	qualitats
ভীষ্ম	bhishma
বোস্টন	boston
সুইফট	falciot
সুইফট	swift
অপশন	calçots
অপশন	opcions
পকেট	butxaca
পকেট	butxaques
বোর	bore
বোর	bohr
আনুষঙ্গিক	accessoris
কাঁধ	espatlla
কাঁধ	espatlles
স্পিরিট	esperits
স্পিরিট	esperit
টিকেট	bitllet
কাঁথা	kantha
ডিজেল	gasoil
ডিজেল	diesel
ডিজেল	dièsel
স্নেহ	afecte
শান	shan
মার্ক্স	marx
ছোঁয়া	touch
অঙ্গীকার	compromís
অঙ্গীকার	penyora
হোস্ট	màquina
হোস্ট	amfitrions
ইভা	eva
ইভা	eve
বিস্ফোরিত	explotar
বিস্ফোরিত	esclatat
সরানো	moguda
ড্রাম	drum
ড্রাম	tambor
দড়ি	corda
টিউটোরিয়াল	tutorials
টিউটোরিয়াল	tutories
টিউটোরিয়াল	tutorial
পাসপোর্ট	passaport
ফেরি	ferry
ফেরি	transbordador
ফেরি	ferri
উল্লম্ব	vertical
শিলং	shillong
অগ্রগামী	pioneer
প্রিন্টার	impressora
প্রিন্টার	impressores
জাস্টিস	justicia
জাস্টিস	justícia
মার্টিনেজ	martinez
মার্টিনেজ	martínez
ফুসফুসের	pulmó
গেজেট	boletín
বাউডেন	bowden
রেসিং	racing
যাদু	màgia
এয়ারওয়েজ	airways
আইভি	ivy
সাম	sumatori
সাম	suma
পিস্তল	pistola
রাবণের	ravana
কেরি	kerry
দুধের	llet
পরজীবী	parasitària
পরজীবী	paràsit
কাঁটার	espines
জ্যাজ	jazz
আর্সেনিক	arsènic
আর্সেনিক	francès
বিস্মিত	sorprèn
বিস্মিত	sorprès
বিস্মিত	sorprenen
বিস্মিত	impactat
আয়না	miralls
আয়না	mirall
অঞ্চলগুলি	regions
পয়সা	paisa
পয়সা	moneda
উস্তাদ	ustad
পার্কিং	pàrquing
পার্কিং	aparcament
ক্ষুব্ধ	indignat
ক্ষুব্ধ	indignats
মাম্বা	mamba
নুসরাত	nusrat
কম্পটন	compton
সর্বোত্তম	millor
বাক্যে	frase
পরিকাঠামো	infraestructures
পরিকাঠামো	infraestructura
গনি	ghani
ভিজুয়াল	visual
অপর্যাপ্ত	insuficient
অপর্যাপ্ত	insuficients
অবজেক্ট	objecte
অবজেক্ট	objectes
মিজোরাম	mizoram
পোলার	polar
মনস্তাত্ত্বিক	psicològic
মনস্তাত্ত্বিক	psicològica
সিল্ক	seda
অনুকরণ	simulació
অনুকরণ	simulant
অনুকরণ	simulades
কেলি	kelly
তীক্ষ্ণ	sharp
তীক্ষ্ণ	sostingut
থিওডোর	theodore
থিওডোর	teodor
ব্র্যাড	brad
রনি	rony
রোভার	rover
টার্নার	turner
খরা	sequera
বক	desviació
বেলারুশ	bielorússia
পুলিৎজার	pulitzer
কঙ্কাল	esquelet
পাত্রের	nanses
ফিদে	fide
ডেরেক	derek
নুর	nour
নুর	noor
শোষিত	explotat
শোষিত	explotada
শোষিত	absorbit
শোষিত	absorbida
টিয়া	tia
টিয়া	portet
টিয়া	lloro
টিয়া	aratinga
রূপালী	plata
ক্যাবিনেট	gabinet
উইন্ডসর	windsor
ডকুমেন্ট	document
ডকুমেন্ট	documents
ঘাসের	herba
লাফ	salta
তৃণভূমি	aiguamel
গানগুলি	cançons
গানগুলি	songs
আইওএস	ios
উজ্জ্বলতা	ressaltat
উজ্জ্বলতা	magnitud
উজ্জ্বলতা	lluentor
উজ্জ্বলতা	brillantor
ডেবিয়ান	debian
রিম	rim
যাজক	pastor
যাজক	clergues
যাজক	clergat
অনুভূতির	sentiments
যোগফল	sumatori
যোগফল	suma
পাখা	fan
মাংসের	carn
ফাটল	cracks
ফাটল	esquerdes
ফাটল	crac
ফাটল	crack
কুরি	kuri
সন্ত্রাসবাদী	terrorista
সন্ত্রাসবাদী	terroristes
নাজিম	nazim
মতবিরোধ	desacord
গ্লাসগো	glasgow
ফোটন	fotó
নির্ভুল	perfecte
নির্ভুল	perfecta
ম্যানগ্রোভ	manglar
গিল	gill
গিল	gil
সজীব	fresc
সজীব	fresques
সজীব	fresca
সজীব	frescos
প্রাইম	prime
রোপণ	plantació
রোপণ	plantada
শহরতলি	suburbana
কেনেথ	kenneth
অ্যালগোরিদম	algorisme
অ্যালগোরিদম	algoritme
নিছক	mera
হোমো	homo
সন্নিবেশিত	incrustat
সন্নিবেশিত	encastat
কাছিম	tortuga
বর্গাকার	quadrat
বর্গাকার	plaça
কাঁচা	cru
কাঁচা	raw
জিব্রাল্টার	gibraltar
নিরো	niro
নিরো	nero
রাসূল	missatger
রাসূল	messenger
রাসূল	apòstol
অস্থির	inquieta
উড়োজাহাজ	avió
কালেক্টর	cobrador
সালমা	salma
সংক্রামক	infeccioses
সংক্রামক	infecciosos
গণ্ডার	rinoceront
বর্ম	armadura
ফ্লোরেন্স	florence
ফ্লোরেন্স	florència
ফরহাদ	farhad
সরিষা	mostassa
স্লোভেনিয়া	eslovènia
চিতা	guepard
চিতা	lleopard
সমৃদ্ধির	prosperitat
যাচ্ছেন	anant
প্লেটো	plató
মালি	mali
ডাকাত	bandits
নেইমার	neymar
গ্রামার	gramàtica
ফ্রান্সিস্কো	francisco
অন্যান্যরা	altres
খের	kher
বিচ	platja
ওয়ার্ন	warne
ফেলিক্স	fèlix
ভ্রমন	viatge
ওবামা	obama
জাগ্রত	escollim
জাগ্রত	despert
বান্ধবী	xicota
বান্ধবী	nòvia
ইসলামাবাদ	islamabad
ছোটখাটো	miniatura
ধারালো	sharp
ধারালো	sostingut
ভিটা	vita
পেঁয়াজ	cebes
পেঁয়াজ	ceba
সুসজ্জিত	moblat
অসহায়	pobre
অসহায়	pobres
অসহায়	indefensa
অসহায়	indefens
অসহায়	impotent
হসপিটাল	hospital
হিরোশিমা	hiroshima
হর	har
হর	denominador
সচিত্র	pictòrics
ট্রি	arbre
কানের	oïda
কানের	orella
রোদ	solana
রোদ	sunshine
রঞ্জিত	ranjit
দুস	maies
দেখলাম	marcià
দেখলাম	saw
প্রামাণ্যচিত্র	documental
স্টেফি	steffi
মুলতান	multan
রেবেকা	rebecca
হিপ	hip
হিপ	maluc
চাও	chao
ম্যাথিউ	matthew
ম্যাথিউ	mateu
ম্যাথিউ	mathieu
পাম্প	bombes
নিষ্পত্তি	pactar
এভিয়েশন	aviació
কাস্পিয়ান	caspi
নিকোলা	nicolas
নিকোলা	nicola
নিকোলা	nikola
নিন	take
মিং	ming
দৈত্য	gegant
পোর্টল্যান্ড	portland
এক্সপ্লোরার	exploradora
এক্সপ্লোরার	explorer
এক্সপ্লোরার	explorador
ঝর্ণা	primavera
ঝর্ণা	cascada
ঝর্ণা	cataractes
প্রদাহ	inflamació
অনুভূমিক	horitzontal
স্বশাসিত	autònoma
ব্যাধি	trastorn
দামি	car
টেকসই	sostenible
টেকসই	sostenibles
নিশ্চয়	efectivament
নিশ্চয়	segurament
খাস	khass
মিনেসোটা	minnesota
হাডসন	hudson
স্পট	spot
গোলাবর্ষণ	desgranar
গোলাবর্ষণ	bombardeig
ব্যর্থতা	fracàs
রিকো	rico
রহঃ	rah
আবশ্যক	requerit
আবশ্যক	requerida
আবশ্যক	requerits
হোবার্ট	hobart
আপেল	poma
আপেল	apple
আপেল	pomes
বারান্দা	porxada
বারান্দা	porxo
বারান্দা	balcó
বন্ধুরা	amics
বন্ধুরা	amistats
নিরীহ	innocent
দুনিয়া	món
দুনিয়া	world
দুনিয়া	dunya
স্বেচ্ছাসেবী	voluntaris
স্বেচ্ছাসেবী	voluntariat
স্বেচ্ছাসেবী	voluntària
স্বেচ্ছাসেবী	voluntari
ভেড়ার	lamb
ভেড়ার	xai
ভেড়ার	corder
সুস্বাদু	saborosa
সুস্বাদু	saborós
সুস্বাদু	boníssim
সুস্বাদু	deliciós
ইনডোর	indoors
ইনডোর	indoor
ইরাকী	iraquiana
ইরাকী	iraquians
মোবারক	mubarak
বর্মণ	burman
তুর্কমেনিস্তান	turkmenistan
ভারোত্তোলন	halterofília
ফিকহ	fiqh
শিকল	corretja
শিকল	cadenes
শারীরিকভাবে	físicament
রিপন	ripon
বোল	bowl
বোল	bol
বিভ্রান্তি	confusió
বিশ্লেষন	analítiques
এক্সিকিউটিভ	executiu
এক্সিকিউটিভ	executiva
ভিউ	vista
ভিউ	visualitza
ভিউ	visualització
বানু	banu
আর্ক	ark
আর্ক	arc
পোকার	poker
পোকার	pòquer
হুইল	roda
হুইল	rodes
দ্রৌপদী	draupadi
লাগবে	necessitat
দেখেছেন	vistos
দেখেছেন	vist
দেখেছেন	mirava
দেখেছেন	vigilat
বাড়ে	creix
ঈমান	creure
খুচরা	minorista
উইলি	willy
উইলি	willie
নানাভাবে	diversificada
গণি	gani
ব্রীজ	pont
ব্রীজ	bridge
প্রিজম	prisma
ডালে	dale
মেগা	mega
প্রান্তবিন্দু	vèrtex
জুয়েল	joia
উদ্বেগ	preocupacions
উদ্বেগ	inquietuds
উদ্বেগ	ansietat
উদ্বেগ	preocupació
সমাজকে	societat
নিঃশ্বাস	alè
গালে	galta
মানমন্দির	observatori
সন্ধ্যার	vespre
হেনরিক	henrik
প্যারাগুয়ে	paraguai
আইল	isle
রামোন	ramón
রামোন	ramon
বৈধতা	validesa
কার্টুনিস্ট	dibuixant
রাজকন্যা	princess
রাজকন্যা	princesa
হান্টার	caçador
হান্টার	hunter
হ্যাকার	hacker
চক্ষু	ull
লজিক	lògica
হার্ভে	harvey
বহুবচন	plural
তুলসী	tulsi
লক	bloqueig
লক	bloqueja
পাসওয়ার্ড	contrasenya
পাসওয়ার্ড	contrasenyes
চুন	chun
নার্সিং	infermeria
হাইব্রিড	híbrid
বার্ন	berna
নটর	notre
তাইপেই	taipei
নর্তকী	ballarí
নর্তকী	dancer
নর্তকী	ballarina
নর্তকী	ballarines
নর্তকী	ballarins
ছোপ	tint
আলোকচিত্রী	fotògraf
আলোকচিত্রী	fotògrafa
মাল্টা	malta
শপিং	compres
শপিং	shopping
মিথেন	metà
সংযুক্তি	adjunt
সংযুক্তি	adjunts
টিস্যু	teixit
অরোরা	aurora
অরোরা	arora
পাওলো	paulo
গুং	gung
আলেপ্পো	alep
গতানুগতিক	típica
গতানুগতিক	típic
শক	xoc
বোধগম্য	entès
বোধগম্য	comprensible
ফ্লাইং	volant
জামাইকার	jamaicà
জোনস	jones
ফ্লেচার	fletcher
চশমা	ulleres
ভোল্টেজ	tensió
উন্মোচিত	exposat
উন্মোচিত	exposats
এডগার	edgar
এলিয়ট	elliott
এলিয়ট	elliot
জুনায়েদ	junaid
সমকক্ষ	parells
সত্তর	setanta
সামি	sami
চামচ	cullera
গীতাঞ্জলি	gitanjali
ইসরাইল	israel
দেখেছি	vistos
দেখেছি	vist
হটে	haute
তিমি	balenes
তিমি	balena
অ্যালকোহল	alcohol
অবরুদ্ধ	bloquejats
অবরুদ্ধ	bloquejat
তত্ত্বাবধান	supervisió
বুকার	booker
রাঙামাটি	rangamati
কট	kot
কেশব	keshav
ফ্যাক্টরি	fàbrica
চকচকে	setinat
বিস্ময়	sorpresa
বিস্ময়	meravelles
বাধার	obstacles
লেস	les
লেস	encaix
লেস	puntes
মেটে	fetge
বাতিঘর	far
সরফরাজ	sarfaraz
রাসুল	rasul
জারণ	corrosió
মিষ্টান্ন	postres
কান্দাহার	kandahar
নিক্ষিপ্ত	elenc
নিক্ষিপ্ত	repartiment
রেস্টুরেন্ট	restaurant
মুষ্টিযোদ্ধা	boxers
হল্যান্ড	holanda
হল্যান্ড	holland
কিটস	keats
বেলুন	globus
বেলুন	globus
পরিসর	interval
জাগো	jago
রিডার	lectors
রিডার	lector
ট্যাক্সি	taxi
করুণ	patètic
সেবন	gaudint
গিলবার্ট	gilbert
অধ্যয়নরত	estudiant
লাফিয়ে	salta
অ্যাটলেটিকো	atlético
সাদ্দাম	saddam
গাড়ী	cotxe
জ্বলে	shine
জ্বলে	brillar
নাইরোবি	nairobi
ডিসকভারি	descobriment
হীরা	diamond
হীরা	diamant
অপব্যবহার	maltractament
অপব্যবহার	abús
নিকারাগুয়া	nicaragua
নিকারাগুয়া	rússia
ইখওয়ান	ikhwan
চিয়াং	chiang
জাজিরা	jazeera
লোকে	gent
লোকে	persones
প্যালেস্টাইন	palestina
শান্তিনিকেতন	santiniketan
কেনো	perqué
হাজি	haji
স্যামুয়েলস	samuels
উপকারী	beneficioses
উপকারী	beneficiós
উপকারী	beneficiosa
উপকারী	útils
গুলিবর্ষণ	disparant
সুখের	felicitat
আর্দ্রতা	humitat
নির্জন	solitari
