kategória	類別
hudobné	音樂
hudobné	音樂劇
herec	男主角
herec	演員
hry	games
hry	遊戲
veľký	大型
veľký	big
veľký	大
života	生命
života	人生
života	生活
septembra	九月份
septembra	九月
kráľ	國王
kráľ	king
kráľ	王
maďarsku	匈牙利
hráči	球員
hráči	玩家
vlády	政府
vlády	政府
miest	地方
miest	地點
mieste	spot
mieste	斑點
mieste	網站
mieste	工地
kráľa	國王
kráľa	king
kráľa	王
tam	譚
tam	潭
spoločnosť	社會
spoločnosť	公司
oblasť	區域
oblasť	面積
oblasť	地區
oblasť	區域
oblasť	區
nej	她的
vek	年紀
vek	年齡
takmer	幾乎
štadión	體育館
štadión	運動場
štadión	球場
muži	男性
muži	男性
muži	男人
muži	男子
októbra	十月
októbra	十月份
život	生命
život	人生
život	生活
mája	may
mája	梅
mája	五月份
mája	五月
dňa	日
dňa	一天
dňa	白天
dňa	day
národné	national
národné	國家
jozef	jozef
jozef	約瑟夫
jozef	joseph
jozef	約瑟
center	中心
syn	兒子
marca	三月
dĺžka	長度
dĺžka	經度
augusta	八月
augusta	八月份
veľké	大型
veľké	big
veľké	大
školy	學校
školy	學校
školy	上學
nový	新
nový	新的
obsahuje	含有
obsahuje	包含
anderson	anderson
správa	報告
správa	檢舉
správa	留言
správa	訊息
správa	信件
štát	國家
štát	國家
štát	州
pomocou	使用
hráč	球員
hráč	玩家
hráč	玩家
júna	六月份
júna	六月
kitt	kitt
cesta	路徑
cesta	路線
cesta	旅途
cesta	旅程
cesta	公路
cesta	道路
cesta	路
apríla	四月
apríla	四月份
krajiny	國家
krajiny	風景
krajiny	景觀
krajiny	國家
krajiny	各國
ceny	物價
ceny	價格
ceny	獎品
číslo	數字
číslo	數
číslo	號碼
číslo	編號
typ	型態
typ	類型
politik	政客
politik	政治家
júla	七月
júla	七月份
práve	只是
práve	只要
niektorých	一些
niektorých	有些
čas	時光
čas	時間
prípade	案例
prípade	個案
prípade	案件
novembra	十一月
víťaz	勝者
víťaz	贏家
decembra	十二月
nemecko	德國
hlavné	少校
hlavné	主要
hlavné	主修
hlavné	主要
galaxia	銀河
galaxia	星系
galaxia	galaxy
galaxia	銀河系
awards	頒獎
awards	獎勵
awards	獎
vrátane	包括
vrátane	包容
vrátane	包容性
hviezdna	恆星
troch	三
troch	三個
postupne	逐漸
práce	工作
veľká	大型
veľká	big
veľká	大
množstvo	金額
množstvo	款額
množstvo	數額
množstvo	數量
množstvo	量
opäť	再次
priezvisko	姓
priezvisko	姓氏
otec	父親
otec	神父
otec	父
com	com
svete	世界
podobne	同樣
stránky	頁
diela	工程
diela	作品
poloha	職位
poloha	位置
poloha	立場
poloha	所在地
poloha	位置
poloha	地點
niekedy	有時候
typu	型態
typu	類型
deň	日
deň	一天
deň	白天
deň	day
druhý	第二
druhý	秒
články	文章
vtedy	那
vtedy	然後
vtedy	那麼
jedna	一
jedna	one
jedna	一個
každý	每個人
každý	大家
každý	每個人
každý	每個
každý	每一個
každý	每個
sur	sur
obrázok	照片
obrázok	圖片
obrázok	影象
obrázok	影像
obrázok	圖片
obrázok	圖
obyvateľstva	人口
členovia	成員
stále	仍然
stále	依然
jednotky	各單位
jednotky	單元
jednotky	單位
jednotky	部隊
dejiny	歷史
priemerný	平均
priemerný	平均值
priemerný	平庸
diskusia	辯論
program	方案
program	程式
program	方案
gitara	吉他
jedným	一
jedným	one
jedným	一個
hudobný	音樂
hudobný	音樂劇
kolo	圓
kolo	輪
strana	黨
strana	政黨
strana	宴會
strana	派對
strana	聚會
strana	一面
strana	側
francúzsko	法國
taktiež	還
taktiež	也
dobe	時光
dobe	時間
autor	作者
park	樸
park	公園
popis	標題
popis	說明
popis	描述
cena	價
cena	price
cena	價錢
cena	價格
der	der
nová	新
nová	新的
rieky	河
rieky	江河
rieky	河流
rieky	江
rieky	河流
rôzne	不同
rôzne	雜項
obdobie	期間
škola	學校
škola	上學
klubu	幫會
klubu	club
klubu	俱樂部
februára	二月
františek	františek
františek	francis
františek	ferenc
albumy	相簿
albumy	專輯
dielo	工作
nakoniec	最終
väčšina	最多
väčšina	大部分
väčšina	多數
väčšina	大多
väčšina	大多數
väčšina	多數
zápasy	匹配
zápasy	火柴
zápasy	games
zápasy	遊戲
turnaj	錦標賽
rovnako	同樣
rovnako	相同
druh	型態
druh	類型
druh	魚種
druh	物種
stavby	建構
stavby	結構
priamo	直直
priamo	直
priamo	直接
priamo	直接
metrov	公尺
metrov	米
metrov	公尺
albumu	相簿
albumu	專輯
funkcia	功能
funkcia	職能
funkcia	函數
funkcia	功能
funkcia	特色
funkcia	特徵
von	出局
článkov	文章
štátov	國家
južnej	南方
južnej	南部
južnej	南
južnej	南方
južnej	南部
piesne	歌曲
piesne	歌
verzia	版
verzia	版本
hoci	儘管
hoci	雖然
hoci	雖然
image	影象
image	影像
image	圖片
york	約克
rad	系列
rad	rad
rad	划
rad	排
európe	歐洲
ktorým	鋪設
členom	會員
členom	成員
zatiaľ	然而
zatiaľ	與此同時
výška	海拔
výška	身高
výška	高度
túto	這
túto	這個
stav	狀況
stav	狀態
stav	現況
stav	條件
stav	狀況
william	威廉
png	png
krajine	國家
právo	右
právo	法律
stretnutie	任用
stretnutie	任命
stretnutie	預約
stretnutie	會議
stretnutie	團聚
stretnutie	團圓
stretnutie	同學會
stretnutie	重逢
oficiálne	官方
oficiálne	正式
univerzity	大學
univerzity	大學
viacerých	多重
viacerých	多種
viacerých	多個
tímov	團隊
tímov	球隊
tímov	隊伍
san	san
david	大衛
david	david
rozhodca	法官
rozhodca	裁判
rozhodca	裁判
zmysle	含義
informácie	資訊
veľa	許多
dokonca	甚至
deti	小孩
deti	兒童
deti	嬰兒
malo	malo
malo	應該
rakúsko	奧地利
severnej	北方
severnej	北部
dom	屋
dom	房屋
dom	房子
dom	dom
vody	飲水
vody	水
vody	水域
jan	jan
jan	楊
jan	揚
www	www
vždy	始終
vždy	永遠
vždy	總是
práva	權利
ľudia	人類
ľudia	人
ľudia	人們
ľudia	人民
známe	已知
známe	熟悉
herečka	女主角
herečka	女演員
herečka	演員
hrad	城堡
hrad	castle
hrad	城
menej	少
menej	更少
menej	少
menej	少了
hier	games
hier	遊戲
bgcolor	bgcolor
známa	已知
les	林子
les	樹林
les	森林
skôr	早先
skôr	先前
systému	系統
štyri	四個
štyri	四
štyri	四名
zeme	地球
zeme	大地
lode	船隻
lode	艇
lode	船隻
lode	船舶
banská	採礦業
banská	礦業
banská	採礦
básnik	詩人
úplne	絕對
úplne	完全
úplne	完全
dní	日子
dní	天數
ďalší	下一步
skladateľ	作曲家
skladateľ	作曲家
kto	誰
rozdiel	差額
rozdiel	區別
rozdiel	差別
rozdiel	差異
rozdiel	差分
rozdiel	微分
tím	團隊
tím	球隊
tím	隊伍
družstvo	班長
družstvo	班
družstvo	小隊
matematik	數學家
armády	集團軍
armády	軍隊
armády	軍
armády	陸軍
rady	建議
rady	安理會
world	世界
označenie	標記
označenie	標示
označenie	標識
označenie	稱謂
označenie	指定
označenie	識別
druhá	第二
druhá	秒
mužstvo	團隊
mužstvo	球隊
mužstvo	隊伍
musí	必須
jazyk	舌頭
jazyk	舌
jazyk	語言
jazyk	語
jazyk	語文
obvode	周邊
predtým	先前
predtým	以前
predtým	前
predtým	之前
finále	決賽
open	開
open	營業
open	開啟
open	開放
činnosť	活動
činnosť	動態
činnosť	活動
vojna	戰
vojna	戰爭
vrch	頂
vrch	top
vrch	頂端
vrch	熱門
vrch	最高
paul	保羅
paul	paul
súťaže	競賽
súťaže	競爭
súťaže	競賽
väčšinou	大多
česká	捷克
pas	pas
pas	護照
cesty	小徑
cesty	路徑
cesty	路線
cesty	公路
cesty	道路
šírka	緯度
šírka	寬度
šírka	寬
základné	基本
chránené	保護
rýchlosť	速度
rýchlosť	速率
rýchlosť	評分
rýchlosť	率
rýchlosť	利率
rýchlosť	速度
rýchlosť	速
pozícia	職位
pozícia	位置
pozícia	立場
mnoho	許多
prezident	總統
prezident	主席
knihy	圖書
knihy	書
knihy	書籍
prírodná	自然
prírodná	天然
prahe	布拉格
filozof	哲學家
spev	歌聲
spev	唱歌
spev	歌唱
častí	部件
častí	零件
organizácie	組織
organizácie	組織
ostrov	海島
ostrov	島嶼
ostrov	島
kráľovstvo	王國
kráľovstvo	國度
pavol	保羅
pavol	paul
triedy	類別
triedy	班級
triedy	階級
triedy	類
triedy	類別
triedy	課堂
triedy	班級
americká	美式
hlavný	主要
play	玩
play	彈
play	播放
kluby	俱樂部
kluby	梅花
najviac	最多
najviac	大部分
najviac	多數
najviac	大多
najviac	大多數
sídlo	總部
sídlo	座位
člen	會員
člen	成員
vznik	湧現
vznik	興起
druhov	魚種
druhov	物種
nikdy	從未
nikdy	從不
nikdy	從來沒有
činnosti	活動
lebo	因為
centre	中心
centre	中心
prevažne	大多
štáty	國家
štáty	國家
štáty	各國
robert	羅伯特
robert	robert
hudba	音樂
dvojhra	單曲
dvojhra	單打
off	關
off	關閉
cirkvi	教會
cirkvi	教堂
cirkvi	教會
cirkvi	教堂
stupeň	度
stupeň	程度
stupeň	學位
stupeň	等級
stupeň	年級
spojených	加入
michal	michal
michal	麥可
michal	michael
význam	關聯性
význam	重要
význam	重要性
význam	含義
budova	大樓
budova	建築
budova	建築物
malé	小型
malé	小
malé	小
raz	一次
raz	一旦
jedno	一
jedno	one
jedno	一個
nord	nord
šport	體育
šport	運動
šport	體育
šport	運動
človek	人類
človek	人
človek	男人
človek	man
jean	讓
jean	jean
spevák	singer
spevák	歌手
pomerne	適度
pomerne	相對
minulosti	過往
minulosti	過去
udalostí	事件
udalostí	活動
diel	工程
diel	作品
ostatné	其他
ostatné	其他
skóre	分數
skóre	得分
skóre	比分
skóre	分數
kultúry	文化
kultúry	文化
black	黑
black	black
black	黑色
black	黑人
filmy	影片
filmy	電影
rock	岩
rock	岩石
rock	石頭
rock	rock
rock	搖滾
české	捷克
napísal	書寫
napísal	撰寫
liga	聯盟
liga	同盟
liga	聯賽
funkcie	功能
funkcie	職能
funkcie	函數
funkcie	函數
funkcie	功能
funkcie	特色
funkcie	特徵
funkcie	地物
funkcie	特點
matka	母后
matka	母親
kategórie	類別
kategórie	類別
republika	共和國
republika	共和
rodiny	家庭
najlepší	best
najlepší	最好
pieseň	歌曲
pieseň	宋
pieseň	首歌
pieseň	歌
univerzite	大學
hrá	播放
centrum	centrum
centrum	中心
centrum	中心
druhy	魚種
druhy	物種
federácie	聯邦
tie	那些
rieka	河
rieka	江河
rieka	河流
rieka	江
richard	理查
richard	richard
najprv	首先
najprv	第一
rusko	俄
rusko	俄國
rusko	俄羅斯
data	資料
fontsize	fontsize
hokej	曲棍球
hokej	冰球
miliónov	百萬
miliónov	百萬
najčastejšie	大多
top	頂
top	top
top	頂端
top	熱門
top	最高
herschel	herschel
skladba	歌曲
skladba	宋
skladba	首歌
skladba	歌
ríše	帝國
ríše	王國
ríše	境界
city	城市
city	市
city	城
city	感受
city	感情
účasti	參與
skladby	曲目
skladby	軌道
skladby	歌曲
skladby	歌
mape	地圖
most	橋
most	艦橋
most	大橋
most	橋梁
most	橋牌
ulice	街道
mapa	地圖
vladimír	vladimir
sily	力氣
sily	強度
sily	實力
sily	力量
sily	體力
súčasť	元件
členov	成員
mená	人名
mená	名稱
mená	姓名
powiat	郡
powiat	縣
domov	首頁
domov	家
domov	home
domov	住家
krajina	國家
krajina	風景
krajina	景觀
budovy	大樓
budovy	建築
budovy	建築物
budovy	建築
budovy	建築物
milan	米蘭
kým	直到
lat	lat
lat	緯度
lat	叻
taliansko	義大利
model	模範
model	示範
model	模型
model	型號
model	模特兒
university	大學
hviezdy	星星
hviezdy	明星
hviezdy	星空
hviezdy	星
hviezdy	恆星
miesta	地方
miesta	地點
miesta	地點
projekt	項目
kniha	圖書
kniha	書
kniha	書籍
viacero	多重
viacero	多種
viacero	多個
mária	mary
mária	瑪麗
mária	瑪莉
mária	marie
mária	瑪利亞
mária	瑪麗亞
mária	maria
motor	引擎
motor	發動機
motor	馬達
motor	發動機
motor	電機
celkom	共計
celkom	總計
názvy	頭銜
názvy	職銜
názvy	標題
názvy	人名
názvy	名稱
názvy	姓名
krajín	國家
krajín	各國
james	james
james	詹姆士
založené	基於
európskej	歐洲
pohár	玻璃
pohár	盃
pohár	杯
pohár	杯子
jednotlivých	個人
jednotlivých	個別
jednotlivých	個體
manželka	配偶
manželka	妻子
nobelovej	諾貝爾
music	音樂
divadlo	電影院
divadlo	劇場
divadlo	戲劇
divadlo	劇院
divadlo	戲院
divadlo	劇場
divadlo	戰區
divadlo	戲劇
divadlo	劇院
divadlo	戲院
malý	小型
malý	小
malý	小
seba	自己
vplyv	撞擊
vplyv	影響力
vplyv	影響
vplyv	衝擊
vplyv	影響力
vplyv	影響
vplyv	特效
vplyv	效果
vplyv	效應
štefan	stephen
štefan	stefan
mimo	外部
mimo	室外
mimo	外面
mimo	外
michael	麥可
michael	michael
celkovo	共計
celkovo	總計
zákon	法律
vodné	飲水
vodné	水
avšak	然而
sts	sts
nástroje	儀器
nástroje	樂器
nástroje	文書
nástroje	工具
nástroje	水電費
hmotnosť	質量
hmotnosť	彌撒
hmotnosť	重量
hmotnosť	體重
hmotnosť	份量
vpravo	右
stanica	站
stanica	車站
tvar	形狀
jednotka	班長
jednotka	班
jednotka	小隊
jednotka	股
jednotka	單元
jednotka	單位
založená	基於
taliansky	義大利文
taliansky	義大利
pohľad	檢視
pohľad	瀏覽
records	紀錄
records	記錄
alexander	亞歷山大
alexander	alexander
ruský	俄語
ruský	俄文
teraz	現在
všetko	一切都
všetko	一切
všetko	全部
všetko	所有
všetko	all
iný	不同
iný	其他
iný	其他
povrchu	表面
povrchu	地面
povrchu	地表
týmto	特此
veku	年紀
veku	年齡
služby	服務業
služby	服務
služby	服務
márie	marie
márie	mary
márie	瑪麗
márie	瑪莉
zem	地球
zem	大地
zem	地面
kostola	教會
kostola	教堂
loď	船
loď	船隻
loď	艦
loď	船舶
loď	船
loď	船隻
loď	艇
tréner	教練
juhu	南方
juhu	南部
juhu	南
juhu	南方
juhu	南部
možnosť	選項
možnosť	可能性
val	val
val	瓦爾
najlepšie	精選
najlepšie	best
najlepšie	最好
vláda	政府
štyroch	四個
štyroch	四
štyroch	四名
úlohu	作用
úlohu	角色
koniec	終結
koniec	結尾
koniec	結束
koniec	結局
koniec	結尾
brankár	守門員
treba	需求
treba	需要
história	歷史
prostredníctvom	通過
prostredníctvom	經由
prostredníctvom	透過
prostredníctvom	通過
malá	小型
malá	小
malá	小
trať	追蹤
trať	曲目
trať	軌道
trať	軌跡
postavy	字元
postavy	角色
štúdium	學習
štúdium	研究
štúdium	學習
štúdium	研究
sezóny	季
sezóny	季節
histórii	歷史
filozofia	哲學
filozofia	理念
písmo	經文
toku	流
toku	流程
toku	流通
toku	流動
toku	流量
midi	midi
verzie	版本
slovo	詞
slovo	word
slovo	單詞
slovo	字
slovo	單字
hustota	密度
slovník	詞彙
slovník	詞彙
slovník	字彙
slovník	詞典
slovník	字典
doprava	交通
doprava	運輸
doprava	交通
doprava	運輸
doprava	交通
výkon	電力
výkon	電源
výkon	動力
výkon	權力
výkon	績效
výkon	業績
literatúra	文獻
literatúra	文學
kultúra	文化
ostrovy	群島
ostrovy	島嶼
umenia	藝術
zdroj	來源
zdroj	源
zdroj	資源
jazyky	語言
jazyky	語文
ligy	聯盟
ligy	同盟
ligy	聯賽
múzeum	博物館
vyhral	元
zssr	蘇聯
daniel	丹尼爾
daniel	daniel
cirkev	教會
cirkev	教堂
teória	理論
teória	論
hra	game
hra	比賽
hra	博弈
hra	遊戲
let	班機
let	飛行
priemerná	平均
priemerná	平均值
aktívne	積極
aktívne	活躍
jazyka	舌頭
jazyka	舌
jazyka	語言
jazyka	語
jazyka	語文
smer	方向
smer	方向
preteká	漏水
neďaleko	周邊
neďaleko	鄰近
neďaleko	附近
gehrels	gehrels
kariéry	職業
kariéry	職業
svet	世界
architektúra	結構
architektúra	架構
architektúra	建築
ázie	亞洲
ázie	亞洲
zápas	game
zápas	比賽
zápas	博弈
zápas	遊戲
zápas	匹配
zápas	比對
zápas	match
rowspan	rowspan
spoločne	在一起
spoločne	一起
správy	新聞
správy	訊息
správy	信件
správy	報告
mesiac	月
mesiac	個月
mesiac	月份
mesiac	月球
mesiac	月亮
mesiac	月
trieda	階級
trieda	類
trieda	類別
trieda	課堂
trieda	班級
prvky	元素
prvky	要件
prvky	功能
prvky	特色
prvky	特徵
prvky	地物
prvky	特點
energie	能量
energie	能源
dcéra	女兒
zdroje	來源
zdroje	資源
zdroje	資源
problém	問題
mora	大海
mora	海上
mora	海
priestor	太空
priestor	空間
spôsob	法
spôsob	方法
spôsob	辦法
spôsob	方式
hlavná	少校
hlavná	主要
hlavná	主修
hlavná	主要
pamiatky	觀光
pamiatky	景點
pamiatky	古蹟
pamiatky	紀念碑
org	org
pápež	教皇
pápež	教宗
bicie	鼓
bicie	鼓聲
bicie	鼓
znovu	再次
hľadiska	透視
hľadiska	視角
syna	兒子
wiki	wiki
západnej	西方
západnej	西部
problémy	麻煩
live	活
live	直播
live	live
ríša	帝國
ríša	王國
ríša	境界
maliar	畫師
maliar	畫家
slnka	太陽
slnka	孫
slnka	珊
slnka	陽光
predseda	總統
predseda	主席
predseda	椅
predseda	椅子
predseda	主席
ameriky	美洲
ameriky	美國
ameriky	美洲
potrebné	需求
potrebné	需要
potrebné	需要
potrebné	必要
potrebné	必需
chrám	神廟
chrám	寺
chrám	寺廟
chrám	廟
chrám	聖殿
literatúry	文獻
literatúry	文學
groeneveld	groeneveld
navyše	加上
navyše	加
navyše	額外
navyše	多餘
región	區域
postavený	建
postavený	內建
séria	系列
séria	批次
séria	分批
stavba	施工
stavba	建設
stavba	建築
národná	national
národná	國家
román	小說
vyššie	上方
vyššie	以上
vyššie	較高
vyššie	更高
poradie	名次
poradie	排行
poradie	排名
poradie	訂單
poradie	命令
poradie	秩序
poradie	訂購
poradie	順序
poľsko	波蘭
pamiatka	碑
pamiatka	紀念碑
pamiatka	紀念
pamiatka	紀念
pamiatka	紀念品
telo	屍體
telo	體
telo	身體
petra	彼得
petra	peter
zmeny	變更
zmeny	變動
zmeny	變化
zmeny	更改
jiří	jiří
slov	言語
slov	詞語
slov	字
slov	詞
minút	分鐘
speváčka	singer
speváčka	歌手
prácu	工作
atp	atp
los	麋鹿
lietadlá	飛機
posledný	上次
posledný	最後
umenie	藝術
umenie	美術
umenie	art
umenie	藝術品
umenie	藝術
farba	色
farba	彩色
farba	顏色
farba	色彩
farba	畫
farba	油漆
farba	顏料
farba	彩色
farba	顏色
farba	色彩
love	戀愛
love	愛
love	love
love	愛情
love	獵
love	狩獵
love	打獵
dolná	更低
dolná	較低
dolná	低
rýchlo	快速
rýchlo	快速
ing	ing
vrchy	山
vrchy	山脈
vrchy	山區
skupín	群組
skupín	團體
rozvoj	發展
štátna	國家
štátna	州
východnej	東方
východnej	東部
národný	national
národný	國家
súťaž	競爭
súťaž	競賽
súťaž	比賽
súťaž	競賽
dosiahol	已達到
autorom	作者
autorom	作者
päť	五
päť	五個
vojvodstvo	省
tour	游
tour	遊覽
tour	導覽
tour	旅遊
rezervácia	預訂
rezervácia	保留
rezervácia	預定
rezervácia	訂位
rezervácia	訂票
rezervácia	預訂
rezervácia	預約
alma	alma
veľkých	大型
pár	配對
pár	夫妻
pár	情侶
pár	夫婦
tomáš	托馬斯
tomáš	thomas
vlajka	旗幟
vlajka	國旗
vlajka	旗
vlajka	旗子
založený	基於
teórie	理論
použitie	用法
použitie	用量
použitie	使用
použitie	利用
použitie	使用
uvádza	提及
uvádza	mentions
tisíc	千
obvod	周邊
obvod	圓周
obvod	區
obvod	地區
obvod	迴路
obvod	電路
herci	演員
ostrove	海島
ostrove	島嶼
ostrove	島
horná	頂
horná	top
horná	頂端
horná	熱門
horná	最高
mena	貨幣
mena	幣值
spisovatelia	作家
spisovatelia	作者
george	喬治
george	george
nemecké	德文
nemecké	德語
žáner	類型
žáner	流派
odkaz	留言
odkaz	訊息
odkaz	信件
odkaz	連結
odkaz	link
prezidenta	總統
prezidenta	主席
budú	將
budú	威爾
východ	東
východ	東部
východ	東方
východ	東區
východ	退出
východ	出境
východ	出口
vlastnosti	特徵
vlastnosti	特性
vlastnosti	特點
vlastnosti	屬性
vlastnosti	功能
vlastnosti	特色
vlastnosti	特徵
vlastnosti	地物
vlastnosti	特點
štúdia	研究
štúdia	學習
štúdia	錄音室
štúdia	studio
štúdia	工作室
krajinách	國家
krajinách	各國
návrh	動議
návrh	運動
návrh	提議
návrh	建議
návrh	提案
návrh	草稿
návrh	建議
voda	飲水
voda	水
žiadne	無
údaje	數字
údaje	資料
historik	歷史學家
architekt	建築師
mnohé	許多
základná	基準
základná	基線
základná	基本
boha	神
hviezda	星星
hviezda	恆星
hviezda	star
hviezda	星
hviezda	明星
kraj	區域
bitka	戰
bitka	戰役
bitka	戰鬥
bitka	打架
bitka	打
bitka	戰鬥
paríži	巴黎
funkciu	功能
funkciu	職能
funkciu	函數
prostredia	環境
bodov	點數
bodov	積分
školu	學校
školu	上學
základnej	初等
kvalifikácia	資歷
kvalifikácia	資格
thomas	托馬斯
thomas	thomas
paríž	巴黎
skupinu	群組
skupinu	群
oproti	對面
viedol	led
programu	方案
letisko	機場
radu	建議
rada	建議
rada	安理會
rada	董事會
kňaz	祭司
pojem	任期
pojem	術語
pojem	學期
pojem	構想
pojem	概念
pojem	理念
pojem	概念
svahu	山坡
mater	板牙
zlatý	可愛
napokon	最終
zvyčajne	通常
zvyčajne	平時
single	單一
single	單人
single	單身
single	單
tretí	第三
pavel	pavel
lokality	地點
zemi	地球
zemi	大地
zemi	地面
hviezd	星星
hviezd	明星
hviezd	星空
hviezd	星
hviezd	恆星
slova	詞
slova	word
slova	單詞
slova	字
slova	單字
armáda	軍方
armáda	軍事
armáda	集團軍
armáda	軍隊
armáda	軍
armáda	陸軍
stará	老
stará	舊的
stará	舊
stará	老了
cisár	皇帝
cisár	天皇
hradu	城堡
hradu	castle
hradu	城
zoznamy	名單
vrchol	頂
vrchol	top
vrchol	頂端
vrchol	熱門
vrchol	最高
vrchol	峰
vrchol	峰峰
vrchol	山頂
anna	anne
