है	האי
विशेष	ספיישל
विशेष	מיוחדת
विशेष	מיוחדים
विशेष	מיוחדות
विशेष	מיוחד
इसकी	שלו
दी	בהינתן
दी	שניתנו
दी	ניתנה
दी	ניתנו
दी	נתון
दी	מסרו
दी	נתן
दी	נתנה
पृष्ठ	דף
पृष्ठ	עמוד
पृष्ठ	הדף
पृष्ठ	דפים
पृष्ठ	עמודים
माना	נחשבת
माना	נחשב
माना	מאנה
माना	לכאורה
माना	כביכול
शब्द	מלה
शब्द	מילה
शब्द	מלים
शब्द	מילות
शब्द	מילים
फिर	ואז
तीन	שלושה
तीन	שלוש
तीन	three
पुरस्कार	פרסים
पुरस्कार	גמול
पुरस्कार	פרס
पुरस्कार	פרס
पुरस्कार	פרסים
पुरस्कार	פרסים
पुरस्कार	פרס
पुरस्कार	גמול
लेख	מאמרים
लेख	התזה
लेख	כתבה
लेख	המאמר
लेख	מאמר
अब	כעת
अब	עכשיו
दौरान	במהלך
अमेरिका	אמריקה
मंदिर	מקדש
मंदिर	המקדש
अलावा	תוספת
अलावा	בנפרד
दक्षिण	דרום
दक्षिण	דרומה
दक्षिण	הדרום
स्थल	מקום
विभिन्न	שונים
विभिन्न	שונות
इतिहास	היסטוריה
इतिहास	ההיסטוריה
लिया	תפוסה
लिया	צולם
लिया	נלקח
लिया	נלקחו
लिया	נלקחה
फ़िल्म	סרט
फ़िल्म	קולנוע
फ़िल्म	סרט
क्योंकि	כי
क्योंकि	בגלל
पास	מסירה
विस्तृत	מפורטת
विस्तृत	מפורט
विस्तृत	מפורטים
विस्तृत	משוכלל
विस्तृत	לפרט
विस्तृत	ממצה
विस्तृत	מתקדמת
विस्तृत	מתקדם
विस्तृत	מתקדמים
दिन	יום
दिन	day
दिन	ימים
दिन	ימי
दिन	הימים
कृषि	חקלאות
जाना	הכדאיות
शुरू	התחלת
शुरू	התחלנו
शुरू	התחיל
शुरू	התחלתי
शुरू	התחילה
शुरू	התחל
व्यक्ति	האדם
व्यक्ति	אדם
व्यक्ति	הפרט
व्यक्ति	אינדיבידואליזם
उनका	שלהם
विज्ञान	מדע
विज्ञान	מדעים
सदस्य	מנוי
सदस्य	מנויים
हालांकि	למרות
हालांकि	למרות
सिंह	סינג
सिंह	לאו
सिंह	ליאו
अनेक	הרבה
अनेक	רבות
अनेक	רבים
अनेक	מרובה
अनेक	מרובות
अनेक	ריבוי
यहां	פה
यहां	כאן
संख्या	מספר
संख्या	המספר
संख्या	מספרים
अपना	משל
अपना	שלך
बात	דבר
बात	קטע
बात	לדבר
बात	דבר
बात	דברי
साहित्य	ספרות
शिक्षा	השכלה
शिक्षा	חינוך
दिल्ली	דלהי
धर्म	דת
धर्म	דתות
धर्म	הדתות
धर्म	דהארמה
मूल	מקור
मूल	המקור
मूल	מקוריות
मूल	מקוריים
मूल	יליד
मूल	ילידים
मूल	מקוריות
मूल	מקוריים
मूल	מקורית
मूल	מקורי
मूल	המקורי
मूल	בסיסי
मूल	בסיסיים
मूल	בסיסית
मूल	בסיסיות
तब	ואז
बना	הפוך
बना	עשה
बना	הכין
कोड	קוד
कोड	צופן
कोड	קודים
कोड	קוד
कोड	צפנים
संयुक्त	יונייטד
संयुक्त	מאוחדים
संयुक्त	משולבים
संयुक्त	משולב
संयुक्त	בשילוב
संयुक्त	מפרק
जुलाई	ביולי
जुलाई	יולי
युद्ध	קרב
युद्ध	הקרב
युद्ध	מלחמה
युद्ध	המלחמה
नदी	ריבר
नदी	הנהר
नदी	נהר
वाला	ואלה
काल	מתוחים
काल	מתוחה
काल	מתוח
काल	להתקשר
काल	שיחה
काल	תתקשר
काल	התקשר
काल	נקודה
काल	תקופה
ऐसे	כזאת
ऐसे	כזה
ऐसे	כזו
ऐसे	כאלה
वर्षों	שנים
वर्षों	שנה
प्रति	פר
स्टेशन	תחנה
स्टेशन	תחנת
स्टेशन	תחנות
स्टेशन	התחנות
बड़े	גדולים
बड़े	גדול
बड़े	גדולה
बड़े	ביג
बड़े	גדולים
बड़े	גדול
बड़े	גדולה
जनवरी	ינואר
जनवरी	בינואר
मध्य	סנטרל
मध्य	מרכזית
मध्य	מרכז
मध्य	מרכזי
मध्य	המרכז
मध्य	מרכז
मध्य	סנטר
मध्य	אמצע
मध्य	ביניים
मध्य	התיכון
मध्य	האמצע
राजा	המלך
राजा	קינג
राजा	מלך
प्रथम	ראשון
प्रथम	קודם
प्रथम	ראשית
प्रथम	תחילה
विश्वविद्यालय	אוניברסיטאות
विश्वविद्यालय	אוניברסיטה
विश्वविद्यालय	האוניברסיטה
जून	יוני
उसकी	שלו
उसकी	שלה
उसकी	בה
उसकी	לה
उसकी	עליה
उसकी	אותה
मार्च	מאר
मार्च	מרץ
मार्च	צעדה
मार्च	במרץ
बन	לחמנייה
बनी	ארנב
बनी	באני
अर्थ	משמעות
अप्रैल	apr
अप्रैल	אפריל
महत्वपूर्ण	חשובות
महत्वपूर्ण	חשובים
महत्वपूर्ण	חשוב
महत्वपूर्ण	חשובה
महत्वपूर्ण	קריטית
महत्वपूर्ण	קריטי
महत्वपूर्ण	ביקורתי
महत्वपूर्ण	ביקורתית
प्रामाणिक	אותנטי
प्रामाणिक	אותנטית
आप	את
आप	אתה
आप	אותך
किए	coa
अक्टूबर	באוקטובר
अक्टूबर	אוקטובר
अक्टूबर	באוקטובר
समूह	חבורה
समूह	הקבוצה
समूह	קבוצה
समूह	קבוצות
वर्तमान	זרם
वर्तमान	הנוכחית
वर्तमान	נוכחית
वर्तमान	נוכחי
वर्तमान	מתנה
वर्तमान	הווה
वर्तमान	נוכח
अध्ययन	לומד
अध्ययन	לומדת
अध्ययन	לימודים
अध्ययन	למידה
अध्ययन	לימוד
अध्ययन	מחקר
अध्ययन	מחקרים
अध्ययन	לימודי
अध्ययन	לימודים
विभाग	מחלקה
विभाग	המחלקה
विभाग	חטיבה
विभाग	הדיוויזיה
विभाग	דיוויזיה
विभाग	חלוקה
विभाग	מחלקות
आम	מנגו
आम	שכיח
आम	נפוץ
आम	משותף
आम	נפוצה
स्थिति	הסטטוס
स्थिति	מצב
स्थिति	סטטוס
स्थिति	מעמד
स्थिति	עמדה
स्थिति	משרה
स्थिति	העמדה
स्थिति	מדינה
स्थिति	המדינה
स्थिति	תנאי
स्थिति	מצב
स्थिति	סיטואציה
स्थिति	מצב
प्रभाव	פגיעה
प्रभाव	השפעה
प्रभाव	השפעות
प्रभाव	אפקטים
प्रभाव	השפעות
प्रभाव	האפקט
प्रभाव	השפעה
प्रभाव	אפקט
आदर्श	אידיאלי
आदर्श	האליל
आदर्श	איידול
आदर्श	אליל
साल	שנים
साल	שנה
साल	שנת
साल	שנה
पहली	ראשון
पहली	קודם
पहली	ראשית
पहली	תחילה
संगीत	מוסיקה
संगीत	מוזיקה
अमेरिकी	אמריקאים
अमेरिकी	אמריקני
अमेरिकी	אמריקאית
अमेरिकी	אמריקאי
अमेरिकी	אמריקנים
अमेरिकी	אמריקאים
सेवा	שרות
सेवा	שירות
सेवा	השירות
बनाने	יוצר
बनाने	יוצרת
बनाने	ביצוע
बनाने	מכין
बनाने	מכינה
बनाने	חופרי
बनाने	חופרים
आज	היום
स्थापित	מבוסס
स्थापित	הוקם
स्थापित	הוקמה
स्थापित	התקין
स्थापित	מותקן
स्थापित	נוסדה
स्थापित	נוסד
स्थापित	ייסד
स्थापित	לבסס
उच्च	גבוה
उच्च	גבוהה
उच्च	עילאי
उच्च	נשגב
चाहिए	אמור
चाहिए	צריך
चाहिए	אמורה
देता	שנותן
देता	מעניק
देता	נותן
देता	מעניקה
उपलब्ध	זמינה
उपलब्ध	זמינות
उपलब्ध	זמין
उपलब्ध	זמינים
काफी	מספיק
काफी	בשפע
काफी	שפע
बड़ी	גדולים
बड़ी	גדול
बड़ी	גדולה
बड़ी	ביג
बड़ी	גדולים
बड़ी	גדול
बड़ी	גדולה
चार	four
चार	ארבעה
चार	ארבע
शक	ספק
शक	בספק
श्री	סרי
उदाहरण	מקרים
उदाहरण	מופעים
उदाहरण	דוגמא
उदाहरण	לדוגמה
उदाहरण	דוגמה
उदाहरण	איור
उदाहरण	דוגמאות
उसका	שלו
उसका	שלה
उसका	בה
उसका	לה
उसका	עליה
उसका	אותה
ले	קח
ले	לקחת
जिससे	אשר
जिससे	איזה
स्थापना	ההתקנה
स्थापना	התקנה
स्थापना	התקנות
स्थापना	התקן
स्थापना	התקנה
स्थापना	להתקין
स्थापना	הקמת
स्थापना	מוסד
कंपनी	החברה
कंपनी	חברה
कंपनी	פלוגה
अधिकांश	רובם
अधिकांश	רוב
अधिकांश	הרוב
अधिकांश	הכי
अधिकांश	ברובו
अधिकांश	לרוב
अधिकांश	בעיקר
सामाजिक	חברתיות
सामाजिक	חברתית
सामाजिक	חברתי
बड़ा	גדולים
बड़ा	גדול
बड़ा	גדולה
बड़ा	ביג
बड़ा	גדולים
बड़ा	גדול
बड़ा	גדולה
बड़ा	מעולה
बड़ा	נהדר
बड़ा	אחלה
बड़ा	גדול
स्तर	רמות
स्तर	ברמות
स्तर	רמה
बनाया	עשה
बनाया	הכין
बनाया	נוצרה
बनाया	נוצרו
बनाया	יצרת
बनाया	יצר
बनाया	נוצר
जारी	המשיך
जारी	המשיכה
जारी	המתמשך
जारी	מתמשך
जारी	מתמשכת
जारी	הוציא
जबकि	בזמן
चित्र	התמונה
चित्र	תמונה
चित्र	תמונות
चित्र	תדמית
चित्र	התמונה
चित्र	תמונה
चित्र	תמונות
प्रणाली	המערכת
प्रणाली	מערכת
सरकारी	רשמי
सरकारी	רישמי
सरकारी	ממשלה
सरकारी	הממשלה
सरकारी	ממשל
जहां	לאן
जहां	איפה
जहां	היכן
देशों	מדינות
देशों	ארצות
जल	מיים
जल	מים
सूची	רשימה
सूची	הרשימה
सूची	רשימות
विचार	רעיון
विचार	מושג
विचार	רעיונות
विचार	מחשבה
विचार	חשבתי
विचार	חשב
विचार	חשבה
विचार	התחשבות
विचार	שיקול
विचार	מחשבות
विचार	המחשבות
छोटे	קטן
छोटे	קטנים
छोटे	קטנה
छोटे	סמול
छोटे	קטנות
छोटे	קטן
छोटे	קטנה
छोटे	ליטל
ऊपर	טופ
ऊपर	עליון
ऊपर	לעיל
ऊपर	מעל
आधारित	מבוסס
इसलिए	לכן
इसलिए	לפיכך
पानी	מיים
पानी	מים
सामान्य	כללי
सामान्य	גנרל
सामान्य	שכיח
सामान्य	נפוץ
सामान्य	משותף
सामान्य	נפוצה
सामान्य	נורמלי
सामान्य	נורמליות
सामान्य	נורמאלי
सामान्य	רגיל
सामान्य	נורמלית
कुल	מצטבר
कुल	הכולל
एक्स्प्रेस	אקספרס
पुलिस	משטרה
पुलिस	המשטרה
वर्ग	קטגוריה
वर्ग	קטגוריית
वर्ग	סקוור
वर्ग	כיכר
वर्ग	ריבוע
वर्ग	מרובע
वर्ग	שיעורים
वर्ग	קורסים
वर्ग	כיתות
वर्ग	רמה
वर्ग	כיתה
वर्ग	מעמד
शरीर	גוף
शरीर	הגוף
शरीर	גופה
अंग्रेजी	אנגלית
माध्यम	בינוני
माध्यम	מדיום
माध्यम	מדיה
माध्यम	בינונית
मानव	אנוש
मानव	אנושי
मानव	אדם
पाकिस्तान	פקיסטן
भूमिका	מבוא
भूमिका	הכרות
भूमिका	ההיכרות
भूमिका	היכרות
भूमिका	הקדמה
भूमिका	תפקיד
भूमिका	התפקיד
हर	האר
अतिरिक्त	ניצבים
अतिरिक्त	תוספות
अतिरिक्त	חילוף
अतिरिक्त	חוס
अतिरिक्त	תוספת
अतिरिक्त	אקסטרה
पिता	אבא
पिता	אבי
पिता	אב
समाज	החברה
उत्पन्न	נוצרת
उत्पन्न	נוצר
नीचे	מטה
नीचे	למטה
नीचे	דאון
नीचे	מתחת
नीचे	למטה
नीचे	בהמשך
नीचे	להלן
नीचे	תחתון
नीचे	תחתית
दुनिया	העולם
दुनिया	עולם
आधुनिक	מודרנית
आधुनिक	מודרני
आधुनिक	מודרניות
ध्यान	מדיטציה
हिंदी	הינדי
दे	לתת
दे	תני
दे	תן
दे	תנו
सभा	הרכבה
सभा	אסיפה
सभा	התכנסות
सभा	איסוף
परिवार	משפחה
विषय	הנושא
विषय	נושא
विषय	נושאים
विषय	נושאים
विषय	נושא
अधिकार	זכויות
अधिकार	הזכויות
रंग	צבע
रंग	הצבע
रंग	צבעים
रंग	צבעים
रंग	הצבעים
रंग	צבע
बाहर	תפרוש
बाहर	בחוץ
बाहर	מחוץ
बाहर	בחוץ
बाहर	החוצה
खेल	שחק
खेल	נגן
खेल	שחקי
खेल	ספורט
खेल	משחק
खेल	המשחק
खेल	משחקים
खेल	ספורט
क्षेत्रों	אזורים
क्षेत्रों	תחומים
जहाँ	לאן
जहाँ	איפה
जहाँ	היכן
समान	הומוגניות
समान	דומות
समान	דומה
समान	דומים
सितंबर	ספטמבר
दूर	רחוק
दूर	הרחק
दूर	מרוחק
दूर	רחוק
दूर	מרוחקת
पता	כתובות
पता	כתובת
पता	הכתובת
शक्ति	כוח
शक्ति	חוזק
शक्ति	עוצמה
शक्ति	כח
शक्ति	כוח
शक्ति	עוצמה
शक्ति	כח
शक्ति	power
शक्ति	שאקטי
ब्रिटिश	בריטים
ब्रिटिश	בריטי
ब्रिटिश	בריטית
कला	אמנויות
कला	אומנויות
कला	אומנות
कला	ארט
कला	אמנות
घर	הביתה
घर	הום
घर	בבית
घर	הבית
घर	בית
घर	home
घर	הבית
घर	האוס
घर	בית
संस्कृत	סנסקריט
प्रकाशित	פרסם
प्रकाशित	פורסם
प्रकाशित	פרסם
मई	במאי
मई	מיי
मई	מאי
प्रक्रिया	תהליך
प्रक्रिया	התהליך
प्रक्रिया	תהליכים
प्रक्रिया	תהליכי
प्रक्रिया	נוהל
प्रक्रिया	הליך
सेना	צבאות
सेना	סנה
सेना	צבא
पार्टी	מפלגה
पार्टी	מסיבה
पार्टी	המפלגה
पार्टी	מפלגת
पार्टी	חוגג
पार्टी	חוגגת
हम	זמזום
रेलवे	רכבת
रेलवे	רכבות
पश्चिम	המערב
पश्चिम	ווסט
पश्चिम	מערבה
पश्चिम	מערב
पश्चिम	וסט
अंत	סיום
अंत	סוף
अंत	סופו
अंत	קץ
दशक	העשור
दशक	עשור
पूरी	שלם
पूरी	שלמה
बिना	מבלי
बिना	ללא
बिना	בלי
क्या	מה
अगस्त	אוגוסט
अगस्त	אוג
विकसित	פיתח
विकसित	התפתח
विकसित	מפותחת
विकसित	התפתחה
विकसित	התפתח
विकसित	התפתחו
विकसित	התפתחה
संबंध	יחסים
संबंध	זוגיות
संबंध	יחסים
संबंध	זוגיות
संबंध	יחסים
संबंध	יחסי
संबंध	מתחברים
संबंध	קרבה
संबंध	קירבה
संबंध	יחס
प्रदर्शन	ביצועי
प्रदर्शन	הצגה
प्रदर्शन	ביצועים
प्रदर्शन	הופעה
प्रदर्शन	ביצוע
प्रदर्शन	הביצועים
प्रदर्शन	תצוגה
प्रदर्शन	הצג
प्रदर्शन	חשיפה
ऐसी	כזאת
ऐसी	כזה
ऐसी	כזו
ऐसी	כאלה
मार्ग	דרך
पर्यटन	תיירות
ज्ञान	ידע
लगा	הרגיש
लगा	הרגשתי
दिसम्बर	בדצמבר
दिसम्बर	דצמבר
दिसम्बर	דק
प्रदर्शित	בהשתתפות
प्रदर्शित	נבחרים
प्रदर्शित	המוצג
प्रदर्शित	מוצגים
प्रदर्शित	מוצגת
प्रदर्शित	מוצג
प्रदर्शित	תצוגה
प्रदर्शित	הצג
सहायता	עזרה
सहायता	עזור
सहायता	עזרי
सहायता	תמיכה
सहायता	תומך
सहायता	התמיכה
सहायता	סיוע
सहायता	סיוע
पहला	ראשון
पहला	קודם
पहला	ראשית
पहला	תחילה
मृत्यु	המוות
मृत्यु	מות
मृत्यु	מוות
मृत्यु	תמותה
स्वयं	סלף
स्वयं	עצמי
स्वयं	משל
विकिपीडिया	ויקי
विकिपीडिया	ויקיפדיה
तैयार	מוכן
तैयार	מוכנים
तैयार	מוכנה
आवश्यक	דרושה
आवश्यक	נדרשת
आवश्यक	דרושים
आवश्यक	חובה
आवश्यक	נדרש
आवश्यक	דרוש
आवश्यक	בהול
आवश्यक	דחוף
आवश्यक	דחופה
देखा	הביט
देखा	נראתה
देखा	צפתה
देखा	צפיתי
देखा	צפו
देखा	צפה
देखा	צפית
देखा	נראתה
देखा	מסור
देखा	ראיתי
देखा	המסור
देखा	ראה
उत्पादन	ההפקה
उत्पादन	ייצור
उत्पादन	הפקה
रोग	מחלה
रोग	מחלות
संबंधित	בהתאמה
संबंधित	קשורות
संबंधित	קשור
संबंधित	קשורה
संबंधित	קשורים
शताब्दी	המאה
गये	הלכה
गये	הלך
चीन	חרסינה
चीन	סין
अभी	כעת
अभी	עכשיו
संघ	האיחוד
संघ	איגוד
संघ	איחוד
संघ	האיגודים
संघ	הפדרציה
संघ	האגודה
संघ	העמותה
संघ	איגוד
संघ	עמותה
यात्रा	מסע
यात्रा	נסיעה
यात्रा	נסיעות
यात्रा	מסע
यात्रा	המסע
यात्रा	טיול
यात्रा	טריפ
मात्रा	הסכום
मात्रा	סכום
मात्रा	הכמות
मात्रा	כמות
रचना	היצירה
रचना	הבריאה
रचना	יצירה
रचना	הרכבה
जगह	מרווחים
जगह	ריווח
जगह	המקום
जगह	מקום
जगह	חלל
जगह	מרחב
भिन्न	דיסקרטי
भिन्न	דיסקרטית
भिन्न	שונות
भिन्न	שונה
भिन्न	שונים
भिन्न	שבר
लोक	ציבורית
लोक	ציבורי
लोक	ציבור
लोक	הציבור
लोक	עממית
लोक	עממי
सब	כולם
सब	הכל
सब	כל
पूरा	הושלם
पूरा	השלים
पूरा	השלמת
पूरा	הושלמה
पूरा	הושלמו
पूरा	מלא
पूरा	מלאים
पूरा	מלאה
पूरा	שלם
पूरा	שלמה
पूरा	השלם
पूरा	שלם
पूरा	הושלם
आवश्यकता	דרישה
आवश्यकता	דרישת
आवश्यकता	דורש
आवश्यकता	דורשים
आवश्यकता	דרוש
प्रकाश	אור
प्रकाश	לייטס
प्रकाश	אורות
नई	חדש
नई	חדשה
नई	חדשים
चिकित्सा	רפואה
चिकित्सा	רפואי
चिकित्सा	תרפיה
चिकित्सा	טיפול
दूसरी	שניה
दूसरी	שנייה
दूसरी	שני
दूसरी	שנית
कार्यक्रम	תוכניות
कार्यक्रम	תוכנות
कार्यक्रम	תכניות
कार्यक्रम	ארועים
कार्यक्रम	אירועים
कार्यक्रम	תכנית
कार्यक्रम	תוכנה
कार्यक्रम	תוכנית
कार्यक्रम	אירוע
कार्यक्रम	האירוע
कार्यक्रम	תוכנית
पुराने	ישנה
पुराने	זקן
पुराने	ישן
पुराने	זקנה
सदी	המאה
भगवान	אלהים
भगवान	אלוקים
भगवान	אלוהים
भगवान	לורד
लिखा	נכתב
लिखा	כתובה
लिखा	נכתבה
लिखा	כתובים
लिखा	כתוב
लिखा	כתבה
लिखा	כתבתי
लिखा	כתב
लिखा	כתבת
संस्थान	מכון
संस्थान	מוסד
संस्थान	המכון
संस्थान	המוסד
संस्कृति	תרבות
संस्कृति	התרבות
अंग्रेज़ी	אנגלית
पूर्ण	מושלם
पूर्ण	מושלמות
पूर्ण	מושלמים
पूर्ण	מושלמת
पूर्ण	מלא
पूर्ण	מלאים
पूर्ण	מלאה
पूर्ण	השלם
पूर्ण	שלם
पूर्ण	הושלם
पूर्ण	הושלם
पूर्ण	השלים
पूर्ण	השלמת
पूर्ण	הושלמה
पूर्ण	הושלמו
परिवर्तन	המרה
परिवर्तन	המעבר
परिवर्तन	מעבר
परिवर्तन	שינויים
परिवर्तन	השינויים
परिवर्तन	משתנה
परिवर्तन	שינויי
परिवर्तन	שינוי
परिवर्तन	עודף
टीम	קבוצות
टीम	צוותי
टीम	צוותים
टीम	צוות
टीम	קבוצה
चर्चा	דיון
संगठन	ארגון
संगठन	הארגון
संगठन	ארגון
संगठन	ארגוני
संगठन	ארגונים
अगर	אגר
शैली	הסגנון
शैली	סטייל
शैली	סגנון
शैली	שלי
तुलना	השוואה
स्कूल	לימודים
पुस्तक	ספר
लेखक	כותב
लेखक	תסריטאי
लेखक	סופר
लेखक	סופרים
