年	イヤー
影響	インパクト
影響	衝撃
影響	影響力
影響	影響
影響	エフェクト
影響	効果
影響	影響
許多	多数
秀	スー
死	デッド
自治	自治
蘇	スー
甚至	偶数
甚至	even
開	オープン
開	開館
開	開く
見	見る
只是	ちょうど
只是	ジャスト
只是	ただ
結束	終了
結束	エンド
巴西	ブラジル
共同	共通
出版社	出版
出版社	パブリッシャー
出版社	出版社
提名	ノミネート
提名	指名
保護	保護
保護	protect
保護	プロテクト
保護	保護
保護	保護
加上	追加
加上	加算
加上	プラス
食	食べる
獨立	インディー
獨立	独立
獨立	インディペンデント
獨立	独立
包含	含む
距離	距離
距離	距離
社會	社会
社會	社会
社會	ソーシャル
加拿大	カナダ
兩個	二つ
兩個	二人
公尺	メートル
公尺	メーター
公尺	メートル
公尺	メーター
還	also
還	また
哥	兄弟
哥	ブラザー
歐洲	欧州
歐洲	ヨーロッパ
鐵路	鉄道
鐵路	鉄道
鐵路	鉄道
鐵路	鉄道
居民	住民
功能	機能
功能	関数
功能	機能
功能	特徴
功能	機能
功能	フィーチャー
功能	特徴
功能	機能
聯盟	ユニオン
聯盟	リーグ
聯盟	アライアンス
洪	ハング
洪	ホン
利用	使用
平均	平均
侵	アサルト
侵	暴行
雙	ダブル
雙	二重
再次	再び
再次	アゲイン
網	web
網	ウェブ
網	ネットワーク
網	net
網	ネット
量	数量
演員	出演
演員	キャスト
演員	ギプス
演員	俳優
演員	女優
演員	俳優
演員	俳優
亞洲	アジア
全球	グローブ
全球	global
全球	グローバル
全部	all
全部	すべて
北部	ノース
北部	ノーザン
北部	北方
北部	北部
運動	スポーツ
運動	モーション
運動	スポーツ
運動	ムーブメント
運動	楽章
運動	運動
中共	cpc
毛	グロス
草	grass
直到	until
直到	まで
名字	名前
名字	氏名
名字	名称
地球	地球
地球	アース
死亡	デス
戰爭	戦争
戰爭	戦争
戰爭	ウォーズ
溪	クリーク
紅	赤い
紅	赤色
紅	レッド
唱片	レコード
唱片	記録
安全	セーフ
安全	金庫
安全	安全
安全	セキュア
玉	ヒスイ
學院	アカデミー
學院	カレッジ
學院	大学
學院	カレッジ
學院	大学
勝	シェン
豪	ハウ
原因	理由
原因	理由
原因	理性
原因	原因
通過	via
通過	through
通過	スルー
通過	パス
管	パイプ
管	チューブ
強	強い
強	濃い
選舉	選任
選舉	選挙
選舉	選挙
辛	シン
辛	sin
漢	ハン
法律	法律
法律	法学
法律	法律
革命	revolution
革命	革命
革命	レボリューション
計劃	計画
計劃	プラン
計劃	計画
計劃	プラン
時代	タイムズ
男性	オス
男性	男性
男性	オス
男性	男性
男性	メン
目的	目的
形式	形式
形式	フォーム
形式	フォーマット
形式	書式
鄭	ユング
基本	基本
基本	ベーシック
基本	basic
葉	葉っぱ
葉	イップ
單位	単位
單位	ユニット
單位	単位
單位	ユニット
惠	めぐみ
修	フィックス
修	修正
科技	技術
科技	テクノロジー
科技	テック
青年	青年
青年	若者
青年	ユース
青年	青春
流	フロー
流	流れ
流	ストリーム
流	ストリーム
流	渓流
蒙古	モンゴル
結果	結果
結果	結果
解放	解放
祖	ジョー
體	本文
體	身体
體	本体
體	ボディ
球隊	チーム
球隊	チーム
左	左側
戴	ダイ
戴	着る
戴	摩耗
自然	自然
自然	ナチュラル
自然	ネイチャー
自然	自然
台北	台北市
台北	台北
澳門	マカオ
新的	new
新的	新しい
新的	新規
經濟	経済
傑	慈恵
傑	ジェイ
傑	カケス
切	cut
切	カット
切	切り取り
一起	together
越南	ベトナム
快速	クイック
快速	速い
快速	高速
學	学習
學	ラーニング
學	学問
學	学習
學	学ぶ
職業	職業
職業	経歴
職業	キャリア
職業	職業
職業	キャリア
職業	求人
職業	占領
職業	職業
團	連隊
廣	ワイド
廣	広い
相同	同一
相同	同じ
相同	おなじ
類	階級
類	クラス
兵	兵士
兵	兵隊
松	マツ
松	パイン
發	ヘアー
發	髪の毛
發	ヘア
發	毛髪
政策	ポリシー
政策	政策
政策	方針
政策	ポリシー
政策	施策
政策	方針
銀	シルバー
日期	デート
日期	日付
日期	日付
單曲	シングルス
普通	普通
鰭	フィン
男子	男性
男子	メン
共和國	共和制
共和國	共和国
理由	理由
理由	理由
理由	理性
南京	南京市
南京	南京
交流	交換
總統	大統領
總統	プレジデント
總統	社長
公分	センチメートル
標準	基準
標準	条件
標準	基準
標準	規格
標準	基準
標準	スタンダード
標準	標準
排名	ランキング
排名	順位
排名	ランキング
排名	ランク
表	テーブル
韓國	朝鮮
韓國	韓国
行動	アクション
行動	運行
行動	作戦
行動	運営
行動	操作
行動	オペレーション
行動	アクション
桑	クワ
博士	医師
博士	ドクター
博士	先生
博士	医者
立法	立法
尾	尾翼
尾	しっぽ
尾	しっぽ
熱帶	トロピカル
熱帶	熱帯
熱帶	熱帯
議員	議員
議員	参事官
漫畫	漫画
漫畫	コミック
漫畫	コミック
漫畫	漫画
漫畫	マンガ
漫畫	カートゥーン
短	短い
短	ショート
坑	ピット
大型	大きい
凱	kai
凱	カイ
凱	ケイ
生物	生物
生物	生き物
生物	生き物
城鎮	タウン
城鎮	タウンズ
春	スプリング
海軍	海軍
海軍	ネイビー
公路	道路
公路	道路
公路	ハイウェイ
公路	公道
冠	クラウン
作家	作家
作家	ライター
作家	作家
空	空っぽ
雪	スノー
雪	snow
牛	ウシ
牛	カウ
牛	ブル
火	火事
火	ファイア
火	火災
攻擊	攻撃
攻擊	攻撃
攻擊	進撃
攻擊	アサルト
攻擊	暴行
值	バリュー
值	価額
十二	十二
新加坡	シンガポール
琳	リン
西部	ウエスト
西部	西部
西部	ウェスト
西部	ウェスタン
西部	ウエスタン
土	ダート
土	土壌
早期	アーリー
早期	早い
速度	速度
速度	速度
速度	スピード
合併	合併
合併	マージ
合併	統合
合併	マージ
合併	併合
合併	合併
建築	建物
建築	建物
建築	建築物
建築	建設
建築	アーキテクチャ
建築	建築
道路	道路
道路	道路
發表	出版
發表	パブリッシング
發表	公開
低	低い
色	カラー
轉	ターン
轉	曲がる
仍然	スティル
仍然	それでも
仍然	まだ
來自	から
天津	天津市
天津	天津
技術	テクニカル
技術	テクノロジー
技術	テクニック
技術	技法
技術	技術
技術	テクノロジー
技術	テクニック
主任	監督
主任	ディレクター
主任	取締役
畢業	卒業
畢業	卒業
設	集合
設	セット
機場	空港
機場	空港
館	パビリオン
天主教	カトリシズム
天主教	カトリック
富	金持ち
富	リッチ
芬	フィン
程	チェン
房	部屋
房	ルーム
柏	por
太平洋	パシフィック
費	手数料
費	料金
情況	状況
情況	シチュエーション
最初	当初
來源	ソース
來源	出典
來源	ソース
來源	出典
首都	資本
首都	首都
首都	キャピタル
牌	カード
杯	カップ
杯	コップ
杯	cup
廣告	広告
廣告	広告
廣告	広告
深	深度
深	奥行き
深	ディープ
深	深い
描述	説明
描述	解説
皇帝	エンペラー
皇帝	皇帝
皇帝	天皇
域	ドメイン
域	ドメイン
團體	グループ
流行	人気
流行	ポピュラー
流行	ポップ
流行	pop
潘	pam
潘	パン
計畫	計画
計畫	プラン
列車	電車
列車	列車
列車	トレイン
列車	電車
列車	列車
環	リング
環	指輪
環	リング
環	指輪
環	ループ
父	父親
不明	不明
不明	未確認
取代	置換
兄弟	兄弟
兄弟	ブラザー
物理	フィジカル
物理	物理
底	ボトム
武器	武器
武器	兵器
武器	武器
武器	凶器
顯示	ディスプレイ
顯示	ショー
制度	政権
報告	レポート
報告	報告
報告	レポート
報告	報告
報告	レポート
報告	報告
秒	番目
秒	セカンド
秒	sec
第五	フィフス
雲	ユン
小說	小説
小說	小説
小說	フィクション
風	wind
程度	学位
導演	監督
導演	ディレクター
導演	取締役
父親	父親
和平	ピース
和平	平和
西北	北西部
西北	北西
圈	サークル
圈	サークル
修改	編集
修改	変更
直	まっすぐ
直	ストレート
生產	製造業
生產	製作
生產	生産
生產	プロダクション
申請	アプリケーション
申請	出願
申請	アプリケーション
單	シングル
單	独身
谷	バレー
谷	谷間
巴黎	パリス
巴黎	パリ
家庭	家族
流域	盆地
流域	流域
宗教	宗教
英格蘭	イギリス
拜	バイ
聯合	関節
當地	ローカル
當地	地元
當地	ローカル
當地	地元
不久	soon
不久	まもなく
不久	もうすぐ
作用	役割
作用	役割
改革	改革
改革	革新
改革	リフォーム
改革	改革
藝術	arts
藝術	芸術
藝術	art
藝術	アート
藝術	芸術
藝術	美術
球員	プレイヤー
球員	プレーヤー
球員	選手
球員	プレイヤー
教區	教区
教區	教区
處理	ハンドリング
處理	取扱
處理	取り扱い
處理	ハンドル
處理	処理
處理	加工
先生	サー
建議	助言
建議	アドバイス
建議	おすすめ
建議	おすすめ
建議	提案
建議	提案
建議	暗示
建議	おすすめ
建議	推薦
建議	提案
建議	プロポーズ
旅	旅団
全國	全国
人員	人材
人員	職員
虎	トラ
虎	タイガー
超級	スーパー
土地	土地
土地	ランド
土地	土地
四川	四川省
展	展示
特色	機能
特色	特徴
特色	機能
特色	フィーチャー
特色	特徴
公園	パーク
公園	公園
公園	公園
包	バッグ
包	かばん
包	パッケージ
包	バオ
包	パック
西南	南西
翼	つばさ
翼	ウイング
翼	ウイングス
孔	コング
孔	ホール
麥	mak
盧	ルー
研究所	研究所
協會	社団
協會	協会
協會	アソシエーション
主演	主演
文學	文学
文學	文芸
頻道	チャネル
頻道	チャンネル
頻道	チャネル
頻道	チャンネル
頻道	海峡
少年	teen
少年	十代
少年	ティーン
少年	ジュニア
舊	古い
舊	オールド
大家	みんな
股份	株式
股份	シェア
泉	いずみ
泉	和泉
紀錄	レコード
紀錄	記録
紀錄	レコード
影片	映画
影片	ムービー
影片	ビデオ
影片	動画
影片	映画
影片	フィルム
身份	アイデンティティー
身份	アイデンティティ
基地	塩基
基地	base
基地	ベース
文件	ファイル
文件	ファイル
電視劇	ドラマ
更多	もっと
藍	青い
藍	ブルー
藍	青色
居住	住居
居住	居所
力量	体力
力量	強度
板	プレート
板	ボード
浙江	浙江省
船	船舶
船	ボート
文章	記事
文章	冠詞
意見	意見
意見	コメント
意見	意見
公主	王女
公主	プリンセス
同意	同意
同意	合意
同意	賛成
果	フルーツ
果	果実
果	果物
最多	マックス
最多	max
地下	地下
地下	地下鉄
十	テン
十	ten
銀行	バンクス
銀行	バンク
銀行	銀行
非洲	アフリカ
非洲	アフリカ
媒體	メディア
支援	サポート
支援	支持
支援	バックアップ
陵	霊廟
陵	陵墓
拍攝	シュート
拍攝	撮影
拍攝	射撃
還有	そして
西藏	チベット
俄羅斯	ロシア
節	フェスティバル
節	祭事
節	祭り
節	お祭り
分析	analytics
分析	解析
分析	分析
分析	解析
偉	ワイ
旗	フラグ
旗	国旗
旗	フラグ
旗	国旗
旗	バナー
旗	横断幕
行星	惑星
行星	惑星
作者	作家
作者	ライター
作者	作家
作者	著者
作者	作者
作者	作家
作者	作家
作者	著者
作者	作者
北海道	北海道
皇家	ロイヤル
電子	電子
電子	エレクトロニック
電子	エレクトロニクス
三十	三十
三十	thirty
倫敦	ロンドン
範圍	スコープ
範圍	範囲
範圍	範囲
範圍	レンジ
黨	パーティ
黨	パーティー
微	マイクロ
教堂	教会
教堂	チャーチ
教堂	教会堂
教堂	教会
警察	警察官
警察	ポリス
警察	警察
絲	シルク
帝國	帝国
帝國	帝政
帝國	エンパイア
娛樂	レクリエーション
娛樂	エンターテイメント
娛樂	娯楽
娛樂	エンターテインメント
坡	スロープ
坡	斜面
坡	傾き
坡	ポー
方案	プログラム
方案	演目
方案	プログラム
方案	プログラム
屋	ハウス
詞	ワード
詞	言葉
詞	単語
詞	word
詞	言葉
詞	単語
洞	ホール
洞	洞窟
宮	宮殿
影	シャドウズ
影	シャドー
影	シャドウ
速	速度
速	スピード
會議	カンファレンス
會議	会議
會議	ミーティング
會議	会議
會議	ミーティング
會議	会議
資訊	情報
戰鬥	バトル
戰鬥	戦闘
戰鬥	戦い
戰鬥	ファイティング
戰鬥	ファイト
項目	プロジェクト
項目	アイテム
項目	品物
項目	プロジェクト
項目	アイテム
項目	品物
玩家	プレイヤー
玩家	プレーヤー
玩家	ゲーマー
玩家	選手
玩家	プレイヤー
限制	制限
限制	制限
限制	制限
限制	制限
限制	リミット
限制	限界
電腦	コンピューター
電腦	コンピュータ
電腦	コンピューター
電腦	コンピュータ
如何	how
創作	創造
創作	作成
創作	クリエイティブ
引擎	エンジン
引擎	エンジン
執行	実行
執行	処刑
執行	実行
執行	執行
英雄	ヒーローズ
英雄	heroes
英雄	ヒーロー
下午	午後
透過	through
透過	スルー
反對	異議
反對	野党
小時	時間
小時	時間
昂	アン
昂	アウン
體育	スポーツ
體育	スポーツ
投入	入力
投入	入力
有些	いくつか
有些	一部
有些	いくらか
元素	要素
元素	元素
元素	エレメント
元素	材料
元素	食材
元素	成分
元素	要素
元素	元素
元素	エレメント
宇	ウー
任命	選任
任命	任用
任命	任命
任命	予約
跨	トランス
王朝	王朝
區域	ゾーン
區域	zone
區域	面積
區域	領域
區域	エリア
區域	リージョン
區域	地域
區域	リージョン
區域	地域
以前	以前
報	新聞紙
報	新聞
分子	分子
分子	分子
分子	分子
隧道	トンネル
隧道	トンネル
孫	太陽
孫	sun
崔	チェ
崔	クイ
申	シン
湖南	湖南省
雜誌	マガジン
雜誌	雑誌
雜誌	雑誌
有效	有効
有效	実効
平台	プラットフォーム
平台	プラットホーム
平台	プラットフォーム
概念	概念
概念	コンセプト
概念	概念
概念	コンセプト
議會	議会
議會	国会
傳統	伝統
傳統	伝統
夏季	summer
夏季	サマー
照片	画像
照片	写真
照片	写真
照片	フォト
照片	写真
核	原子力
核	原子核
停止	停止
停止	ストップ
公開	公衆
公開	公開
公開	パブリック
仙	フェアリー
仙	妖精
劍	刀剣
機構	エージェンシー
機構	代理店
機構	機関
機構	制度
機構	施設
機構	機関
帶	持ち込み
帶	ブリング
帶	ベルト
操作	運行
操作	作戦
操作	運営
操作	操作
操作	オペレーション
取消	取り消し
取消	キャンセル
取消	取り消す
取消	抹消
取消	キャンセル
取消	解除
人類	ヒト
人類	ヒト
人類	ヒューマン
人類	人間
市場	マーケット
市場	マーケットプレイス
市場	マーケット
市場	市場
市場	マーケット
飛	fly
飛	ハエ
飛	フライ
飛	飛ぶ
飛	飛ぶ
飛	フライング
軍事	軍事
軍事	軍隊
協助	援助
協助	アシスト
橋	ブリッジ
調查	調査
調查	アンケート
調查	調査
調查	捜査
調查	調査
調查	アンケート
投	出演
投	キャスト
投	ギプス
投	ピッチ
澳洲	オーストラリア
主教	ビショップ
紀念	追悼
紀念	記念碑
紀念	土産物
紀念	土産
地點	会場
地點	place
地點	場所
地點	スポット
地點	所在地
地點	ロケーション
地點	場所
地點	場所
地點	スポット
地點	所在地
颱風	台風
決賽	最終
決賽	決勝
決賽	ファイナル
決賽	ファイナル
大臣	公使
