annie	eni
interaktív	interaktivni
sex	spol
autóval	automobil
hivatkozást	veza
hivatkozást	link
alkotók	kreatori
szépség	ljepota
csomag	pakovanje
csomag	pack
csomag	paket
kai	kaj
kai	kai
kazahsztán	kazahstan
puy	puy
utazási	putovanje
linnaeus	linnaeus
radioaktív	radioaktivnih
radioaktív	radioaktivnog
lezárt	zaključili
jamaica	jamajka
vallott	priznao
kopasz	bjeloglavi
kaukázusi	kavkaz
bokor	bush
bokor	žbun
búza	pšenice
bónusz	bonus
hónapja	mjesec
amy	amy
jelentéktelen	besmislenim
alpha	alpha
alpha	alfa
sör	pivo
jake	jake
sorba	queue
hopkins	hopkins
olivier	olivier
ned	neda
niger	niger
megjelölt	označeni
megjelölt	obilježene
megjelölt	obilježena
megjelölt	obilježio
megjelölt	obilježen
lakás	ravan
lakás	ravne
lakás	stan
lakás	stanovanje
lakás	stambeni
trilógia	trilogija
dakota	dakota
szombaton	subota
évenként	godišnje
koncepció	pojam
mti	mti
jeanne	joan
jeanne	jeanne
átalakított	modificirana
átalakított	modifikovan
átalakított	transformirao
átalakított	pretvorena
átalakított	prilagođena
törlése	izbrisati
alább	ispod
bizonyítékok	dokazi
burgenland	gradišće
bsc	bsc
ávila	ávila
eduardo	eduardo
fizikusok	fizičara
simpson	simpson
nílus	nil
vallások	religija
élőlény	organizam
élőlény	organizma
orange	orange
orange	narandžasta
elkerülése	izbjegavanje
elkerülése	izbjegava
elkerülése	izbjeći
elkerülése	izbjegavati
elkerülése	izbjegne
elkerülése	izbjegavanja
elkerülése	izbjegavanju
konszenzus	konsenzus
michelle	michelle
paula	paula
gerhard	gerhard
kapcsolatai	veze
nicaragua	nikaragve
castro	kastro
castro	castro
vandalizmus	vandalizam
mobile	mobilni
mobile	mobilne
glenn	glenn
gombák	gljive
gombák	gljivice
ablakok	windows
brno	brno
reagál	reagira
évszázad	vijek
armstrong	armstrong
csomópont	čvor
csomópont	čvorište
próbáltam	pokušao
palermo	palermo
bezárt	zatvorena
bezárt	zatvoreno
bezárt	zatvorio
csökkentése	smanji
csökkentése	smanjenju
csökkentése	smanjenje
csökkentése	smanjenjem
csökkentése	smanjenje
rain	kiša
auto	auto
kitörés	epidemija
kitörés	breakout
kitörés	erupcija
freddie	freddie
apache	apache
esküvő	vjenčanje
esküvő	vjenčanja
hudson	hudson
utcák	ulice
utcák	ulica
utcák	ulicama
technikailag	tehnički
perui	peruanska
perui	perua
perui	peruu
perui	peru
recept	recept
társaságok	korporacija
társaságok	korporacije
társaságok	kompanije
siemens	siemens
kiadások	potrošnja
kiadások	potrošnju
kiadások	izdatke
kiadások	izdataka
kiadások	troškovi
ábrázol	opisuje
nyelvészet	lingvistika
hollywoodi	hollywood
divat	moda
christoph	christoph
összeg	količina
összeg	iznos
összeg	sum
összeg	suma
nicole	nicole
nepál	nepala
deux	deux
távközlési	telekom
távközlési	telecom
távközlési	telekomunikacije
távközlési	telekomunikacije
kocsik	automobile
kocsik	automobili
kocsik	automobila
felújítás	renoviranja
felújítás	obnavljanje
felújítás	obnova
felújítás	obnove
felújítás	obnovu
professzionális	profesionalne
professzionális	profesionalna
professzionális	profesionalni
professzionális	professional
houston	houston
ulrich	ulrich
működés	operacija
működés	funkcionisanje
lika	lika
istennő	božica
hidak	mostove
hidak	mostovi
hidak	mostova
kultúrák	kultura
waters	vodama
fbi	fbi
későn	kasni
későn	kasno
vert	vert
szociológus	sociolog
cape	rt
hallani	čuti
hallani	čujem
hallani	hear
hallani	čuju
kimondottan	konkretno
kimondottan	tačnije
vilma	vilma
lili	ljiljan
lili	lili
harald	harald
plus	plus
érvénytelen	nevažeće
érvénytelen	nevažeći
kövér	masti
kövér	fat
kövér	debela
kövér	masnoća
kövér	masnoće
kínál	ponude
kínál	nudi
kínál	nuditi
kolostorban	samostan
kerék	točak
kerék	točkove
vegyész	hemičar
fejlesztések	poboljšanja
fejlesztések	dešavanja
emelet	kata
emelet	spratu
emelet	poda
emelet	sprat
szimmetrikus	simetrična
kártya	karte
kártya	karta
kártya	kartica
holmes	holmes
holmes	holmesa
kötés	obavezujuća
kötés	knitting
kötés	bondu
tulajdonság	imovine
tulajdonság	vlasništvo
tulajdonság	imovina
tulajdonság	imovinu
tulajdonság	imovinska
tulajdonság	svojstva
légkör	atmosfera
légkör	atmosferu
légkör	atmosferski
kurd	kurdski
kurd	kurdi
szabályozza	regulira
mainz	mainz
orne	orne
varázsló	čarobnjak
varázsló	čarobnjaka
heinz	heinz
producerek	proizvođača
nyelveket	jezici
nyelveket	jezike
felmérés	ispitivanja
felmérés	anketa
felmérés	ankete
felmérés	istraživanje
felmérés	ispitivanje
caf	caf
eugène	eugène
gyanús	sumnjivim
gyanús	osumnjičenog
gyanús	osumnjičeni
gyanús	osumnjičena
henger	cilindar
műsorok	pokazuje
venezia	julijska
csökkenő	padu
csökkenő	smanjuje
todd	toda
parma	parma
infrastruktúra	infrastruktura
seattle	seattle
fegyvereket	puške
fegyvereket	oružje
fegyvereket	guns
vágy	želju
vágy	želja
vágy	strastima
vágy	želje
vágy	lust
romboló	razarač
ugrás	jump
ugrás	skok
erotikus	erotske
homo	homo
hibrid	hibridni
hibrid	hybrid
dráva	drava
bon	bon
robbie	robbie
morris	morris
cukor	candy
cukor	šećer
terhes	trudna
érvek	argumente
érvek	argumenti
városokat	gradovi
triász	trijas
tömör	compact
tömör	čvrsto
tömör	čvrste
tömör	concise
anhalt	anhalt
kórházi	bolnica
komédia	komedija
komédia	farsu
ita	ita
víztározó	reservoir
roth	roth
csont	kosti
csont	kost
bennett	bennett
csőre	kljun
arizona	arizona
jegyzett	navodi
baseball	bejzbol
egyezik	mečevi
egyezik	mečevima
egyezik	mečeva
egyezik	mečeve
egyezik	meč
bolond	fool
algebra	algebra
kínaiak	kineski
igazgatóság	direkcija
tibet	tibet
őszintén	iskreno
toyota	toyota
ovális	ovalna
megosztott	dijele
megosztott	podijeljeni
megosztott	podijeljene
megosztott	podijeljen
megosztott	podijeljeno
tematikus	tematska
követői	sljedbenici
követői	sljedbenika
egyenlítői	ekvatorijalna
napokban	dana
munkahelyek	jobs
munkahelyek	poslovi
hanna	hannah
hanna	hana
hanna	hanna
halottak	mrtva
halottak	mrtvi
halottak	mrtvo
halottak	mrtav
utalt	zvan
burton	burton
nacionalista	nacionalističke
nacionalista	nacionalista
nacionalista	nacionalistički
nacionalista	nacionalistička
csatornák	kanali
csatornák	kanala
csatornák	kanale
csatornák	kanalima
kezelő	operatora
kezelő	operater
kezelő	rukovodilac
kezelő	rukovodilac
vatikáni	vatikana
vatikáni	vatikan
porsche	porsche
haiti	haiti
hírhedt	zloglasni
tokiói	tokio
költség	trošak
költség	košta
költség	troškovi
ricardo	ricardo
részleteket	opširnije
részleteket	detalje
részleteket	detalji
mel	mel
alpesi	alpskom
alpesi	alpsko
törtek	frakcije
galamb	dove
galamb	pigeon
szervező	organizator
szervező	organizator
macskák	mačke
macskák	cats
macskák	mačaka
befolyásos	uticajan
befolyásos	uticajne
elpusztította	uništene
elpusztította	uništen
elpusztította	uništena
elpusztította	uništeni
hús	meso
hús	meso
követelt	zahtijevao
búcsú	rastanak
bástya	ruk
bástya	top
serena	serena
vosges	vosges
felipe	felipe
hirdetett	unaprijeđen
logó	logo
katalógus	katalog
katalógus	katalog
platform	platforma
platform	platformi
platform	platformu
platform	platforme
platform	platformi
nyelvtan	gramatika
kollektív	collective
kollektív	kolektivni
kollektív	kolektivna
kollektív	kolektiv
hazafias	patriotska
rogers	rogers
tudor	tudor
tizenegyedik	jedanaesti
jefferson	jefferson
meghívást	pozvati
meghívást	pozivamo
meghívást	poziv
feladatai	zadaci
feladatai	dužnosti
vállalja	počini
glasgow	glasgow
súlyemelés	tegova
suriname	surinama
légió	legija
légió	legiji
légió	legije
gyalogság	pješadija
értelmezni	tumače
bauer	bauer
muzulmán	muslim
muzulmán	musliman
hivatkozásokat	reference
montana	montana
stratégia	strategijom
stratégia	strategija
nélkülözhetetlen	suštinska
nélkülözhetetlen	osnovni
biztonság	obezbjeđenje
biztonság	sigurnost
biztonság	bezbjednost
biztonság	bezbjednosti
biztonság	sigurnost
len	lan
len	lene
len	len
struktúra	struktura
struktúra	strukturi
struktúra	strukture
ismétlődő	duplikat
felvételeket	trake
felvételeket	snimci
bűnös	kriv
bűnös	krivicu
bűnös	krivima
bűnös	kriva
bűnös	krivim
elsődlegesen	primarno
elsődlegesen	prevashodno
kiejtés	pronunciation
kén	sumpor
kén	sumpor
admirális	admiral
tarka	pied
tedd	stavi
tedd	stavila
tedd	staviti
tedd	stavio
tedd	stavljen
puha	meka
puha	meku
zavaros	cloudy
liechtenstein	lihtenštajn
jessica	jessica
hubert	hubert
gers	gers
hitte	vjerovali
rap	rep
januárban	januar
sértő	ofanzive
sértő	kozari
sértő	ofanzivu
sértő	ofanziva
sértő	vrijeđanje
iowa	iowa
medina	medina
törvényeket	zakoni
kölcsön	pozajmice
kölcsön	krediti
kölcsön	kredita
kölcsön	kredit
kölcsön	zaduživanja
clarke	clarke
kezdeményezés	inicijativa
túlélte	preživjeli
régiók	regije
régiók	regija
módosult	izmijenio
módosult	modificirana
módosult	modifikovan
algoritmus	algoritam
hallgatta	listened
ferde	zla
ontario	ontario
megállapítani	ustanovljavanje
megállapítani	uspostavljanje
riporter	novinar
riporter	reporter
esély	šanse
esély	šansa
esély	šanse
szárnyas	krilatog
ünnepség	ceremoniji
ünnepség	ceremonija
ünnepség	svečanosti
ünnepség	svečano
ünnepség	proslava
ünnepség	proslave
ünnepség	slavlje
ünnepség	proslavu
kaliforniában	kalifornija
rossi	rossi
bis	bis
kibocsátott	izdat
kibocsátott	izdana
kibocsátott	izdale
kibocsátott	izdata
kibocsátott	izdali
laboratóriumi	laboratoriji
laboratóriumi	laboratorija
berg	berg
állampolgár	građanin
albrecht	albrecht
gomba	gljive
gomba	gljivice
gomba	gljiva
szavazott	izglasan
szavazott	glasali
szavazott	glasao
nyelveken	jezici
nyelveken	jezike
afganisztán	afganistan
steiner	steiner
állítólagos	navodnom
állítólagos	navodne
szándéka	namjera
szándéka	namjeru
szándéka	namjerom
szándéka	namjera
szándéka	namjere
világosabb	lahke
elérés	dostići
visszafelé	unatrag
visszafelé	zaostali
ptolemaiosz	ptolemej
memorial	spomen
memorial	memorijal
memorial	komemoraciji
memorial	pomen
memorial	memorijalni
képviselt	zastupljena
képviselt	predstavljao
képviselt	predstavljena
egyenletes	stalan
egyenletes	postojan
leveleket	pisma
leveleket	slova
brecht	brecht
martínez	martínez
növényzet	vegetacija
julien	julien
antarktisz	antarktik
hasonlított	ličili
beavatkozás	miješanja
beavatkozás	intervencija
beavatkozás	intervencije
tolkien	tolkien
karcsú	slim
tanít	predaje
kétséges	sumnja
kétséges	sumnje
kétséges	sumnju
kétséges	sumnjaju
dobó	bacač
technikák	tehnike
színésznők	glumice
zte	zte
átjáró	portal
átjáró	gateway
átjáró	prolaz
leslie	leslie
pusztító	destruktivne
pusztító	razornog
pusztító	razarač
bolygók	planete
bolygók	planeta
pearl	pearl
pearl	biser
erősíti	jača
erősíti	ojačava
rétegek	slojeva
rétegek	slojevi
álma	san
álma	sna
álma	dream
álma	snu
postás	poštar
essen	essen
találkozni	ispuniti
romantika	romantika
feldolgozó	procesor
elena	elena
elektron	elektron
konferencián	konferencija
telek	land
telek	kopnena
telek	zemlja
sűrűsége	gustoća
dôme	dôme
singer	pjevačica
singer	pjevač
lejárt	istekao
zambia	zambije
leon	lion
leon	leon
laosz	laos
verset	sevdalinka
casa	casa
vezetni	drive
vezetni	vozi
rico	rico
haydn	haydn
felhasználás	koristimo
felhasználás	upotreba
felhasználás	iskoristi
felhasználás	koristi
felhasználás	koriste
felhasználás	potrošnja
felhasználás	potrošnju
korong	diska
korong	disk
korong	disku
korong	pak
korong	disc
hűséges	odan
hűséges	lojalnih
hűséges	vjernike
hűséges	vjerna
hűséges	vjernici
elektronikai	elektronika
venezuelai	venecuela
kötőjel	hyphen
paradicsom	paradajz
paradicsom	paradajz
paradicsom	raj
fenntartása	održavaju
álláspont	pozicija
álláspont	položaj
fenyegető	prijeti
fenyegető	prijete
házigazda	računar
harmadszor	treći
harmadszor	treća
harmadszor	treće
faktor	faktor
federico	federico
növelése	povećanje
növelése	porast
növelése	povećati
samantha	samantha
emily	emily
hbo	hbo
szingapúr	singapur
giacomo	giacomo
hektáros	acre
oszlopok	stubovi
oszlopok	stubovi
oszlopok	stubove
martina	martina
darwin	darwin
domenico	domenico
küld	šalje
küld	slanje
küld	poslati
küld	šalju
küld	send
doug	dag
lakók	stanovništvo
lakók	stanari
republikánus	republikanske
republikánus	republikanska
rosszindulatú	malignih
rövidítések	abbreviations
arabok	arapi
elemzés	analiza
tehetségét	talenata
veronika	veronika
nomád	nomadi
járvány	epidemija
járvány	kuge
járvány	kuga
járvány	epidemija
kötni	knit
megfigyelő	posmatrač
lille	lille
hónapok	meseci
hónapok	mjesecima
laurent	laurent
gázok	gasove
gázok	gasova
gázok	gasovi
válás	razvod
chan	chan
másképpen	inače
halászat	ribolovu
halászat	ribolov
létrejövő	rezultirajući
évkönyv	godišnjak
neill	neill
lánc	lanaca
lánc	lancima
lánc	lanac
oxid	oksidi
illetékes	nadležne
fortuna	fortuna
nielsen	nielsen
leeds	leeds
vega	vega
befejeződött	završen
boris	boris
fenyegeti	ugrožava
kliens	klijent
koalíció	koalicija
szex	spol
nagyobbak	veće
nagyobbak	veći
nagyobbak	veće
utazók	putnici
utazók	putnike
utazók	putopisac
utazók	putnici
kőolaj	ulje
kőolaj	nafta
hallottam	čuo
hallottam	čuli
hasonlóképpen	slično
hálózatok	mreže
hálózatok	mreža
krónikus	hronični
krónikus	hronična
krónikus	hronične
krónikus	hroničnih
krónikus	hroničnim
rajza	crtež
mónika	monica
mónika	monika
logikus	logično
logikus	logičan
utasítások	uputstvu
utasítások	uputstva
utasítások	upute
utasítások	instrukcije
hasi	abdominalna
jürgen	jürgen
jürgen	jurgen
vád	optužbe
vád	optužbi
vád	tužilaštvo
végrehajtása	provesti
végrehajtása	provoditi
lábai	noge
ellenálló	otporne
ellenálló	otpor
lucy	lucy
liter	litar
liter	litara
műhelyek	radionica
dylan	dylan
derek	derek
suzuki	suzuki
camp	logor
camp	camp
camp	kamp
camp	kampu
dublin	dablinu
kontinensen	kontinent
britney	britney
eltávolítása	uklanjanjem
eltávolítása	uklanjanje
eltávolítása	uklanjanju
eltávolítása	ukloni
eltávolítása	otklanjanje
eltávolítása	uklanjanje
nyíló	blooming
kritikát	kritika
kritikát	kritike
kritikát	critique
nevezetesen	naime
kenyér	hljeb
sütő	peć
sütő	peći
sütő	peć
sütő	pec
kinga	king
kinga	kralj
démon	demon
démon	demona
vista	vista
tulajdon	imovine
tulajdon	vlasništvo
tulajdon	imovina
tulajdon	imovinu
tulajdon	imovinska
marokkói	marokanski
hódító	osvajač
hódító	osvajanju
lábát	noge
lábát	nogu
lábát	noga
amanda	amanda
cleveland	cleveland
folytatás	nastavak
folytatás	nastavak
folytatás	nastavljaju
folytatás	nastavljena
folytatás	nastavila
folytatás	nastavljen
folytatás	nastavio
hittem	vjerovali
hittem	misao
fasiszta	fašističke
célokat	ciljevi
végrehajtani	izvrši
végrehajtani	provesti
végrehajtani	provoditi
gregory	gregory
dominikai	dominika
kocka	kocka
kocka	dice
örülök	zadovoljstvo
tárgyalás	pregovori
tárgyalás	suđenje
befejezetlen	izvršeno
lemond	ostavku
optimális	optimalna
optimális	optimum
februárban	februar
detroit	detroit
intézkedések	mjerama
intézkedések	mjere
intézkedések	mere
intézkedések	akcija
intézkedések	radnje
intézkedések	akcije
intézkedések	postupci
intézkedések	postupcima
konfliktusok	sukobi
konfliktusok	sukob
konfliktusok	konflikt
szörny	čudovište
szörny	monster
adriai	jadransko
adriai	jadrana
adriai	jadran
adriai	jadranska
fehérje	proteina
fehérje	proteine
fehérje	proteinima
fehérje	proteini
eltérések	odstupanja
eltérések	razlika
eltérések	razlike
vitákat	debatama
könyvtárak	direktorija
ókor	antike
haut	haut
részecske	čestice
részecske	čestice
részecske	čestica
elismerés	priznanja
elismerés	priznavanje
elismerés	priznanje
szabályozó	regulatora
molekula	molekularni
molekula	molekularnom
molekula	molekularne
molekula	molekulska
molekula	molekularnu
molekula	molekula
cáceres	cáceres
vegas	vegas
everton	everton
donna	dona
donna	donna
abd	abd
bekezdés	paragraf
nyilas	strijelac
természetfeletti	natprirodna
intelligencia	inteligencija
fan	navijač
fan	fan
fogak	zube
fogak	zuba
fogak	zubi
fogak	zubima
épít	gradi
vizsgálati	test
vizsgálati	testiranje
éghajlati	klimatski
vaszilij	vasilije
vaszilij	vasilij
megtiltotta	zabranili
fertőző	zarazne
képregények	strip
fertőzött	inficirani
css	css
blackburn	blackburn
mondatok	fraze
mondatok	rečenica
mondatok	presude
mondatok	rečenice
aligha	teško
brescia	brescia
baltimore	baltimore
ming	ming
kertek	bašče
kertek	bašti
tizenhét	sedamnaest
zavart	konfuzije
molekulák	molekula
molekulák	molekuli
molekulák	molekule
csillagászat	astronomija
svédek	šveđani
jin	jin
iratok	dokumentima
iratok	dokumenata
iratok	dokumenti
iratok	dokumente
wimbledon	wimbledon
jesse	jesse
szebb	ljepša
kedvezőtlen	nepovoljna
évtizedben	decenija
illő	pogodan
politikailag	politički
lovasság	konjica
tölteni	provesti
tölteni	provede
tölteni	troše
tölteni	provode
platón	platon
tőke	kapital
steel	čelik
hardcore	hardcore
kanári	kanarska
mason	mason
case	slučaj
edwin	edwin
méhek	pčele
viva	viva
aux	aux
jeremy	jeremy
elengedhetetlen	suštinska
elengedhetetlen	osnovni
termés	žetve
christie	kristi
christie	christie
kertben	bašti
kertben	bašte
kertben	bašta
kertben	džennet
alfaj	podvrsta
fordulat	twist
akkumulátorok	baterije
jelzés	signal
jelzés	signalizacije
találkozás	sastanak
találkozás	susret
találkozás	susret
műszerek	instrumente
műszerek	instrumenata
műszerek	instrumentation
számítástechnikai	računarstvo
fogoly	zatvorenik
kiszolgáló	server
líbiai	libijske
líbiai	libijski
líbiai	libijskih
kecske	koza
kecske	koze
hívők	vjernika
hívők	vjernici
freud	freud
programozás	programiranje
napoli	napoli
gondok	problemi
huber	huber
etikai	odgovorni
etikai	etika
mccartney	mccartney
névmás	zamjenice
zongorista	pijanist
sötétség	tami
sötétség	tama
sötétség	tame
foster	foster
foster	gajenja
búr	boer
rns	rnk
enrique	enrique
dom	dom
tartása	imajući
ideológiai	ideološke
ideológiai	ideološki
duncan	duncan
amphibia	amphibia
hansen	hansen
guido	guido
fiat	fiat
nyújtó	obezbjeđivanje
szegények	loše
szegények	siromašni
szegények	siromašnih
berkeley	berkeley
végzetes	fatalno
végzetes	kobna
email	mail
email	email
tüzérség	artiljerija
megerősítve	potvrdila
megerősítve	potvrdio
megerősítve	potvrđeno
megerősítve	potvrđuje
megerősítve	potvrđujući
megerősítve	potvrdi
bűncselekmények	zločini
bűncselekmények	zločine
bűncselekmények	kriminal
térképek	mapa
térképek	mape
zeusz	zeus
curtis	curtis
lőszer	municija
lőszer	municiju
lőszer	municije
lőszer	municije
lőszer	municiju
phillips	phillips
jelentések	javlja
jelentések	izvještavanje
jelentések	izvještaje
jelentések	izvještajima
jelentések	izveštaji
jelentések	izvještaji
zászlók	zastave
hangsúly	naglasak
megszálló	zauzimaju
megszálló	invaziju
megmutatta	pokazao
megmutatta	pokazala
megmutatta	pokazali
elkészítése	priprema
elkészítése	pripreme
főnix	phoenix
grey	sive
grey	sivi
grey	siva
michelangelo	michelangelo
forever	forever
forever	zauvijek
értelmezés	tumačenje
liu	liu
tisztek	oficiri
tisztek	službenici
tisztek	oficire
legkevésbé	najmanje
osztva	podijeljeni
osztva	podijeljene
osztva	podijeljen
osztva	podijeljeno
érme	novčiće
érme	kovanica
érme	novčić
érme	novčića
antonius	antonije
ötvenes	pedesetih
protokoll	protokol
hallott	čuo
hallott	čuli
asztalos	carpenter
mérési	mjerenje
névleges	ocijenjeno
névleges	ocijenio
elnöksége	predsjedništvo
szabályzat	pravila
szabályzat	propise
szabályzat	propisa
szabályzat	propisima
szabályzat	propisi
szabályzat	politika
fájlok	datoteka
harag	ljutnja
harag	srdžbe
morrison	morrison
hullámok	talasi
jogszabály	zakonodavstva
jogszabály	zakonodavstvo
mérték	stopa
mérték	mjeri
mérték	mjera
mérték	mjeri
primitív	primitivno
elvek	principi
tengerpart	plaža
tengerpart	plaže
tengerpart	obala
fogyaszt	potroši
műszer	instrument
műszer	aparata
műszer	aparat
villeneuve	villeneuve
üresen	prazan
üresen	prazna
üresen	prazna
szervez	organizira
szervez	organizirati
szervez	organizuje
izom	mišići
izom	mišićima
izom	mišiće
izom	mišić
bizonyított	dokazali
bizonyított	dokazan
bizonyított	dokazala
bizonyított	dokazana
bizonyított	dokazano
képzési	obuke
képzési	trening
képzési	obuka
képzési	treninga
képzési	obuku
párbeszéd	dijalog
veszett	bjesnilo
líbia	libijske
líbia	libijski
líbia	libijskih
líbia	libija
emlékezett	upamćen
fázis	faze
fázis	faza
hills	brdima
hills	brda
hills	hills
fedezett	pokriveni
fedezett	pokrivena
fedezett	pokrivene
gran	gran
rossini	rossini
kiegészítés	dodatak
reggae	reggae
égő	paljenje
címeket	titule
címeket	titula
keverés	miješanje
amsterdam	amsterdam
nigel	nigel
louvre	louvre
választható	log
közvetett	indirektni
közvetett	indirektna
elme	um
büszke	ponosna
büszke	proud
büszke	ponosni
mia	mia
mia	mija
orleans	orleans
dinoszaurusz	dinosaurusi
xxx	xxx
kambodzsa	kambodža
teljesíteni	ispuniti
yonne	yonne
kifejtett	izraženo
bristol	bristol
gyümölcsök	plod
gyümölcsök	voće
gyümölcsök	plod
gyárban	fabrika
bretagne	bretagne
moss	mos
énekelni	pjevaju
énekelni	sing
énekelni	pjevanje
anders	andersa
anders	anders
téglalap	pravougaonik
téglalap	pravougaonih
szigetcsoport	arhipelag
líra	lira
böngésző	pregledač
böngésző	preglednik
olvasott	čita
bolton	bolton
milton	milton
napokon	dana
nagyok	velika
nagyok	velikih
nagyok	veliki
nagyok	velikih
nagyok	veliki
zimbabwe	zimbabve
csupasz	bare
garcia	garsija
repül	mušica
repül	lete
repül	leteći
sullivan	sullivan
airways	airways
érzelmek	emocija
érzelmek	emocije
érzelmek	emocija
érzelmek	osećanja
érzelmek	osjećanja
galaxy	galaksija
jung	jung
dallam	melodija
sandra	sandra
sebész	hirurg
sebész	hirurzi
folyami	rijeka
nyilatkozat	izjava
nyilatkozat	deklaracija
nyilatkozat	proglašenje
málna	malina
málna	malina
algériai	alžirska
övé	njena
regina	regina
simone	simone
gyermekkori	djetinjstvo
richards	richards
koronázás	krunisanje
pozíciók	pozicija
pozíciók	pozicije
pozíciók	položaje
pozíciók	pozicijama
órák	sati
órák	satova
órák	časovi
órák	posmatra
tár	spot
tár	klip
tár	magazin
marion	marion
taxon	takson
tizennyolc	osamnaest
lev	lev
christina	christina
helmut	helmut
említ	spominje
nathan	nathan
nero	neron
szabadalmi	patent
fenntartott	rezervisan
museo	museo
petri	petrijeva
operatív	operativni
operatív	operativne
operatív	operativan
tévedés	grešku
tévedés	greška
tévedés	greška
claudia	claudia
claudia	klaudija
ágak	grana
bern	bern
klubok	klubovi
klubok	klubova
braun	braun
aude	aude
övezet	zona
övezet	zonu
megújult	obnovio
megújult	obnovljen
megújult	obnovljeni
megmenteni	spasi
megmenteni	spašavanje
kivételek	iznimke
kivételek	izuzetaka
kivételek	izuzeci
kivételek	izuzetak
rajongó	navijač
rajongó	fan
válaszokat	odgovore
válaszokat	odgovori
fogyasztása	potrošnja
fogyasztása	potrošnju
értékelés	evaluacije
értékelés	procjenu
értékelés	procjene
értékelés	ocjena
jeleket	signali
jeleket	signale
küldeni	poslati
küldeni	šalju
küldeni	send
hódítás	osvajanja
hódítás	osvajanje
iskolákban	škole
államférfi	državnik
csökkenteni	smanji
günther	günther
chase	chase
szenegál	senegal
metropolitan	mitropolit
metropolitan	metropolitan
figyelt	gledao
figyelt	posmatrali
figyelt	posmatrao
judo	džudo
díszlet	seta
duke	vojvoda
ellátás	zalihe
ellátás	zaliha
ellátás	opskrbljuje
ellátás	namirnica
ellátás	snabdijevanje
gedeon	gideon
ruhát	odjeća
ruhát	odjeću
rákos	kancerogene
rákos	rak
alabama	alabama
majom	majmun
majom	majmun
kasztília	kastilje
teatro	teatro
josh	josh
dohány	duhan
dohány	duhana
elkészített	pripremljene
elkészített	pripremljen
elkészített	pripremljena
elkészített	pripremio
elkészített	pripremila
megszökött	pobjegla
megszökött	pobjegao
nbc	nbc
lemondását	ostavke
lemondását	ostavku
lemondását	ostavka
üstökös	kometa
univerzális	universal
univerzális	univerzalno
univerzális	univerzalnih
univerzális	univerzalni
