और	ja
संयुक्त	yhdistetyn
संयुक्त	yhdistetty
संयुक्त	yhdistetyt
संयुक्त	yhteinen
संयुक्त	yhteisen
जुलाई	heinäkuu
जुलाई	heinäkuussa
जुलाई	heinäkuun
जुलाई	heinä
जुलाई	heinäkuuta
युद्ध	taistelu
युद्ध	taisto
युद्ध	taistelun
युद्ध	sodan
युद्ध	sotaa
युद्ध	sota
नदी	joen
नदी	joki
वाला	vala
काल	kireä
काल	jännittynyt
काल	kutsu
काल	soita
काल	puhelu
काल	jakso
काल	ajanjakso
ऐसे	tällainen
वर्षों	vuotta
वर्षों	vuodet
वर्षों	vuosien
वर्षों	vuosia
वर्षों	sademetsä
प्रति	per
स्टेशन	metroasema
स्टेशन	rautatieasema
स्टेशन	asema
स्टेशन	asemat
बड़े	suuret
बड़े	suuria
बड़े	iso
बड़े	suuri
बड़े	iso
बड़े	isot
बड़े	suuri
जनवरी	tammikuu
जनवरी	tammikuussa
जनवरी	tammikuun
जनवरी	tammikuuta
मध्य	keskus
मध्य	keskelle
मध्य	keskusta
मध्य	center
मध्य	mediaani
मध्य	keskimmäinen
मध्य	lähi
मध्य	keski
राजा	raja
राजा	king
राजा	kuningas
राजा	kunkku
प्रथम	ensin
प्रथम	ensimmäinen
प्रथम	eka
प्रथम	ensiksi
विश्वविद्यालय	yliopistoja
विश्वविद्यालय	yliopistot
विश्वविद्यालय	yliopistojen
विश्वविद्यालय	korkeakoulut
विश्वविद्यालय	korkeakoulu
विश्वविद्यालय	yliopisto
जून	jun
जून	kesäkuu
जून	kesäkuuta
जून	kesäkuussa
उसकी	hänen
उसकी	hänen
मार्च	mar
मार्च	marssi
मार्च	maaliskuu
मार्च	maaliskuuta
मार्च	marssia
बन	pulla
बनी	pupu
बनी	bunny
अर्थ	merkitys
अर्थ	tarkoittaen
अप्रैल	huhtikuu
अप्रैल	huhtikuuta
अप्रैल	huhti
अप्रैल	huhtikuu
अप्रैल	huhtikuuta
अप्रैल	huhtikuussa
अप्रैल	huhtikuun
अप्रैल	huhti
महत्वपूर्ण	tärkeä
महत्वपूर्ण	tärkeää
महत्वपूर्ण	tärkeät
महत्वपूर्ण	tärkeitä
महत्वपूर्ण	kriittiset
महत्वपूर्ण	kriittinen
महत्वपूर्ण	kriittistä
प्रामाणिक	aidot
प्रामाणिक	aito
आप	sinä
अक्टूबर	lokakuussa
अक्टूबर	lokakuun
अक्टूबर	lokakuu
अक्टूबर	mma
अक्टूबर	lokakuu
समूह	seurakunnan
समूह	seurakunta
समूह	konserni
समूह	ryhmän
समूह	ryhmä
समूह	ryhmien
समूह	ryhmät
समूह	ryhmiä
वर्तमान	tämänhetkinen
वर्तमान	tämänhetkiset
वर्तमान	nykyiset
वर्तमान	nykyinen
वर्तमान	lahja
वर्तमान	paikalla
वर्तमान	läsnä
वर्तमान	nykyinen
अध्ययन	opiskelee
अध्ययन	opiskelu
अध्ययन	opiskella
अध्ययन	tutkimus
अध्ययन	tutkimuksen
अध्ययन	opiskelu
अध्ययन	tutkimuksessa
अध्ययन	opiskella
अध्ययन	opinnot
अध्ययन	selvitykset
अध्ययन	tutkimuksia
अध्ययन	tutkimukset
विभाग	osasto
विभाग	divisioona
विभाग	jakoon
विभाग	jaosto
विभाग	osastot
आम	mango
आम	yleistä
आम	yhteisen
आम	yleiset
आम	yleinen
स्थिति	status
स्थिति	asema
स्थिति	tila
स्थिति	tilanne
स्थिति	asema
स्थिति	kannan
स्थिति	asento
स्थिति	kanta
स्थिति	sijainti
स्थिति	osavaltio
स्थिति	valtion
स्थिति	valtio
स्थिति	ehto
स्थिति	edellytys
स्थिति	kunto
स्थिति	tilanne
प्रभाव	törmäys
प्रभाव	vaikutusta
प्रभाव	vaikutus
प्रभाव	vaikutuksen
प्रभाव	vaikutukset
प्रभाव	seuraukset
प्रभाव	vaikutus
प्रभाव	vaikutuksia
प्रभाव	vaikutukset
प्रभाव	vaikuttavat
प्रभाव	vaikutteita
प्रभाव	vaikuttaa
प्रभाव	vaikutusta
प्रभाव	vaikutus
प्रभाव	seuraus
प्रभाव	vaikutukset
आदर्श	idealismi
आदर्श	ihanteellinen
आदर्श	idol
साल	vuotta
साल	vuodet
साल	vuosien
साल	vuosia
साल	vuoden
साल	vuosi
साल	vuonna
पहली	ensin
पहली	ensimmäinen
पहली	eka
पहली	ensiksi
संगीत	musiikkia
संगीत	musiikin
संगीत	music
संगीत	musiikki
अमेरिकी	amerikkalainen
अमेरिकी	amerikan
अमेरिकी	amerikkalaiset
अमेरिकी	american
अमेरिकी	amerikkalaisia
अमेरिकी	amerikkalaiset
अमेरिकी	yhdysvaltalaiset
सेवा	palvelun
सेवा	palvelu
सेवा	palvelua
बनाने	luominen
बनाने	luoda
बनाने	luodaan
बनाने	tekeminen
बनाने	tekoa
आज	tänään
आज	today
स्थापित	perustettu
स्थापित	asennettu
स्थापित	asennetut
स्थापित	asennettuna
स्थापित	perustettiin
स्थापित	perustettu
स्थापित	perusti
उच्च	high
उच्च	korkea
उच्च	korkeat
उच्च	korkealla
उच्च	ylevää
चाहिए	pitäisi
चाहिए	pitäis
चाहिए	pitäisikö
देता	antaa
उपलब्ध	saatavissa
उपलब्ध	käytettävissä
उपलब्ध	tarjolla
उपलब्ध	saatavilla
उपलब्ध	saatavana
काफी	melko
बड़ी	suuret
बड़ी	suuria
बड़ी	iso
बड़ी	suuri
बड़ी	iso
बड़ी	isot
बड़ी	suuri
चार	nelonen
चार	neljä
शक	epäilys
शक	epäilykset
शक	epäile
शक	epäilystä
शक	saka
प्रभा	pera
श्री	sri
उदाहरण	oikeusasteen
उदाहरण	esimerkki
उदाहरण	esimerkit
उदाहरण	esimerkkejä
उसका	hänen
उसका	hänen
ले	ottaa
ले	ota
ले	otetaan
जिससे	jonka
जिससे	joka
जिससे	jota
जिससे	johon
जिससे	jotka
स्थापना	laitos
स्थापना	asennus
स्थापना	laitosten
स्थापना	laitteistot
स्थापना	laitokset
स्थापना	asennetaan
स्थापना	asentaa
स्थापना	asennus
स्थापना	toimipaikka
स्थापना	perustamista
स्थापना	perustaminen
कंपनी	yritys
कंपनी	yhtiö
कंपनी	seura
कंपनी	komppania
अधिकांश	eniten
अधिकांश	useimmat
अधिकांश	useimmilla
अधिकांश	useimpia
अधिकांश	lähinnä
अधिकांश	enimmäkseen
अधिकांश	useimmiten
अधिकांश	pääosin
अधिकांश	pääasiassa
सामाजिक	sosiaaliset
सामाजिक	sosiaalisen
सामाजिक	sosiaalinen
सामाजिक	yhteiskunnallinen
प्रत्येक	jokainen
प्रत्येक	jokainen
प्रत्येक	kunkin
प्रत्येक	kumpikin
प्रत्येक	kukin
बड़ा	suuret
बड़ा	suuria
बड़ा	iso
बड़ा	suuri
बड़ा	iso
बड़ा	isot
बड़ा	suuri
बड़ा	hienoa
बड़ा	suuremmat
बड़ा	suurempi
बड़ा	isommat
बड़ा	isompia
बड़ा	suurempi
बड़ा	isompi
स्तर	tasot
स्तर	tasoja
स्तर	tason
स्तर	tasolla
स्तर	taso
बनाया	tehdyt
बनाया	tehty
बनाया	valmistettu
बनाया	made
बनाया	luotu
बनाया	loi
बनाया	luodut
बनाया	luonut
बनाया	luotiin
जारी	jatkoa
जारी	jatkettiin
जारी	meneillään
जारी	jatkuva
जारी	käynnissä
जारी	annettu
जारी	myönnetyt
जारी	annetut
जारी	myönnetty
चित्र	kuvaa
चित्र	kuva
चित्र	kuvan
चित्र	kuvia
चित्र	kuvat
चित्र	valokuvia
चित्र	kuva
चित्र	kuvien
चित्र	kuvia
चित्र	kuvat
इससे	alkaen
इससे	from
प्रणाली	järjestelmän
प्रणाली	systeemi
प्रणाली	järjestelmä
प्रणाली	system
सरकारी	virkamies
सरकारी	viralliset
सरकारी	virallinen
सरकारी	valtio
सरकारी	hallitus
सरकारी	hallituksen
जहां	missä
जहां	jossa
देशों	maissa
देशों	maat
देशों	valtiot
देशों	maiden
जल	vettä
जल	vesi
सूची	lista
सूची	luettelo
सूची	listan
सूची	listaa
सूची	luetteloon
सूची	listat
सूची	listoja
सूची	luettelot
रखा	pidetty
विचार	idean
विचार	ajatus
विचार	idea
विचार	ideaa
विचार	ideat
विचार	ajatuksia
विचार	ideoita
विचार	luulin
विचार	ajatus
विचार	luuli
विचार	ajatuksia
विचार	ajatukset
छोटे	pieni
छोटे	pienet
छोटे	pieni
छोटे	pikku
छोटे	vähä
ऊपर	huippu
ऊपर	top
ऊपर	huippua
ऊपर	ylä
ऊपर	suosituimmat
ऊपर	yläpuolelle
ऊपर	yläpuolelta
ऊपर	yllä
ऊपर	yläpuolella
ऊपर	edellä
आधारित	perustuva
आधारित	perustuu
आधारित	perustuvat
इसलिए	siksi
पानी	vettä
पानी	vesi
सामान्य	yleinen
सामान्य	yleiset
सामान्य	kenraali
सामान्य	yleistä
सामान्य	yleistä
सामान्य	yhteisen
सामान्य	yleiset
सामान्य	yleinen
सामान्य	tavallinen
सामान्य	normaali
सामान्य	normaalia
सामान्य	tavanomainen
आगे	eteenpäin
कुल	yhteenlaskettu
कुल	yhteensä
एक्स्प्रेस	ilmaista
एक्स्प्रेस	express
पुलिस	poliisi
पुलिस	poliisit
वर्ग	kategoria
वर्ग	luokan
वर्ग	luokka
वर्ग	torille
वर्ग	square
वर्ग	aukio
वर्ग	neliö
वर्ग	torilla
वर्ग	kurssit
वर्ग	tunnit
वर्ग	luokat
वर्ग	luokan
वर्ग	luokka
शरीर	elin
शरीर	vartalo
शरीर	ruumis
शरीर	kehon
शरीर	keho
अंग्रेजी	englanti
अंग्रेजी	englantia
अंग्रेजी	englanniksi
अंग्रेजी	englannin
माध्यम	keskikokoinen
मानव	ihmisen
मानव	ihminen
मानव	inhimillinen
पाकिस्तान	pakistaniin
पाकिस्तान	pakistan
पाकिस्तान	pakistanin
पाकिस्तान	pakistanissa
भूमिका	esittely
भूमिका	käyttöönotto
भूमिका	johdanto
भूमिका	roolin
भूमिका	rooli
हर	har
हर	jokainen
हर	hur
अतिरिक्त	avustajia
अतिरिक्त	avustajat
अतिरिक्त	lisä
अतिरिक्त	ylimääräiset
अतिरिक्त	ylimääräistä
अतिरिक्त	extra
अतिरिक्त	ylimääräinen
अतिरिक्त	lisä
पिता	isä
समाज	society
समाज	yhteiskunta
समाज	yhteiskunnan
उत्पन्न	luotu
उत्पन्न	tuotettu
नीचे	down
नीचे	alas
नीचे	alaspäin
नीचे	alapuolelle
नीचे	alle
नीचे	alapuolella
नीचे	alla
नीचे	pohjaan
नीचे	pohja
नीचे	pohjaa
दुनिया	maailmassa
दुनिया	maailma
दुनिया	maailmaa
दुनिया	maailman
दुनिया	world
दुनिया	maailmaan
आधुनिक	moderni
आधुनिक	modernia
आधुनिक	modernit
आधुनिक	nykyaikainen
ध्यान	meditaatio
ध्यान	huomio
हिंदी	hindiä
दे	antaa
दे	annetaan
सभा	seurakunnan
सभा	seurakunta
सभा	edustajakokouksen
सभा	kokoonpano
सभा	kokoontuminen
सभा	kokoontuminen
परिवार	suku
परिवार	perhe
परिवार	perheen
विषय	aiheen
विषय	aihe
विषय	aiheeseen
विषय	aiheet
विषय	aiheita
विषय	aiheet
विषय	aiheita
विषय	kohteet
विषय	aihe
विषय	kohde
अधिकार	oikeudet
अधिकार	oikeuksia
अधिकार	oikeuksien
रंग	värit
रंग	väriä
रंग	väri
रंग	värit
रंग	värejä
रंग	värit
रंग	värejä
रंग	värit
रंग	väriä
रंग	väri
बाहर	lopettaa
बाहर	lopetti
बाहर	lopeta
बाहर	ulkona
बाहर	ulkopuolella
बाहर	ulkopuolelle
बाहर	ulkona
बाहर	ulos
खेल	soita
खेल	pelata
खेल	pelaa
खेल	play
खेल	urheilua
खेल	urheilu
खेल	peliä
खेल	pelin
खेल	peli
खेल	pelejä
खेल	pelit
खेल	pelien
खेल	kisat
खेल	laji
खेल	sport
खेल	urheilun
खेल	urheilu
क्षेत्रों	alueilla
क्षेत्रों	alueet
जहाँ	missä
जहाँ	jossa
समान	homogeeninen
समान	sama
समान	samoin
समान	samaa
समान	samanlaisia
समान	samankaltaiset
समान	samankaltaista
समान	samanlaiset
समान	samanlainen
समान	samankaltainen
सितंबर	syys
सितंबर	syyskuuta
सितंबर	syyskuu
दूर	kauas
दूर	kaukana
दूर	pitkälle
दूर	pois
दूर	etäinen
दूर	kaukainen
दूर	kauempana
पता	osoitteita
पता	osoitteet
पता	osoite
पता	osoitteen
शक्ति	voima
शक्ति	voimia
शक्ति	vahvuus
शक्ति	voimaa
शक्ति	teho
शक्ति	power
शक्ति	voima
शक्ति	voimia
शक्ति	valta
शक्ति	valtaa
शक्ति	shakti
ब्रिटिश	britti
ब्रिटिश	brittiläiset
ब्रिटिश	brittiläinen
ब्रिटिश	britit
ब्रिटिश	britannian
कला	taide
कला	taide
कला	taidetta
घर	kotiin
घर	kodin
घर	kotona
घर	koti
घर	house
घर	talo
घर	talon
प्रकाशित	julkaista
प्रकाशित	julkaise
प्रकाशित	julkaistu
प्रकाशित	julkaistaan
प्रकाशित	julkaistut
प्रकाशित	julkaissut
मई	touko
मई	toukokuu
मई	voi
मई	toukokuun
मई	toukokuuta
प्रक्रिया	prosessin
प्रक्रिया	prosessi
प्रक्रिया	prosessit
प्रक्रिया	prosesseja
प्रक्रिया	prosessien
प्रक्रिया	toimenpide
प्रक्रिया	menettelytapa
प्रक्रिया	menettely
सेना	armeijat
सेना	armeija
सेना	armeijan
पार्टी	osapuoli
पार्टी	juhla
पार्टी	puolue
पार्टी	juhlat
पार्टी	bileet
पार्टी	juhlimassa
हम	hum
रेलवे	rautateiden
रेलवे	rautatiet
रेलवे	rautatie
रेलवे	rautateiden
रेलवे	rautatiet
रेलवे	rautateitä
पश्चिम	west
पश्चिम	lännessä
पश्चिम	läntinen
पश्चिम	länsi
अंत	loppu
अंत	loppua
अंत	päättyy
अंत	lopussa
अंत	päättynyt
दशक	vuosikymmenen
दशक	vuosikymmen
दशक	vuosikymmenellä
पूरी	koko
पूरी	kokonaisena
पूरी	kokonainen
पूरी	kokonaiset
नए	uudempi
बिना	ilman
क्या	mitä
क्या	mikä
अगस्त	elokuu
अगस्त	elokuuta
अगस्त	elokuussa
अगस्त	elokuun
अगस्त	august
अगस्त	elokuu
विकसित	kehittynyt
विकसित	kehitetty
विकसित	kehittyneet
विकसित	kehitettiin
विकसित	kehittynyt
विकसित	kehittyi
विकसित	kehittyivät
विकसित	kehittyneet
संबंध	suhteita
संबंध	suhteet
संबंध	suhde
संबंध	suhteet
संबंध	suhteet
प्रदर्शन	suorituskyvyn
प्रदर्शन	tehokkuus
प्रदर्शन	esitys
प्रदर्शन	suoritus
