ஷேன்	شین
கன்று	گوساله
தீவிரவாதம்	تروریسم
குறுக்கீடு	وقفه
குறுக்கீடு	پارازیت
குறுக்கீடு	دخالت
குறுக்கீடு	مداخله
குறுக்கீடு	تداخل
எள்	کنجد
மனப்பான்மை	نگرش
மனப்பான்மை	منش
மனப்பான்மை	گرایش
எட்ஜ்	لبه
எட்ஜ்	اج
எட்ஜ்	لبۀ
செய்கிறான்	علل
செய்கிறான்	موجب
மாவீரன்	مبارز
மாவீரன்	سلحشور
மாவீரன்	جنگجوی
டொமினிக்கன்	دومینیکن
வாருங்கள்	بیا
வாருங்கள்	بیاید
ஆன்மீகம்	معنوی
ஆன்மீகம்	روحانی
மெகாடெத்	مگادث
அனைவருமே	همه
உள்நாட்டில்	محلی
வியூகம்	استراتژی
வியூகம்	راهبرد
மாம்பழம்	انبه
மாம்பழம்	mango
கழுதை	خر
கழுதை	خره
வயிற்றுப்போக்கு	اسهال
முஸ்தபா	mostafa
முஸ்தபா	مصطفی
முஸ்தபா	mustafa
முஸ்தபா	مصطفی
நம்பிக்கையுடன்	امید
நம்பிக்கையுடன்	خوشبختانه
நம்பிக்கையுடன்	ایشالا
கிரகம்	سیاره
தலைக்கு	هد
தலைக்கு	سر
மியாமி	میامی
கொரில்லா	گوریل
நானா	نانا
மோகம்	اشتیاق
மோகம்	مصائب
மோகம்	شهوت
தெரிவித்துக்	بازدید
கால்நடைகள்	چهارپایان
கால்நடைகள்	گله
தொலைகாட்சி	oled
ஓட்டோ	اوتو
ஓட்டோ	اتو
ஓட்டோ	آتو
நாளைய	فردا
நாளைய	فردایی
சிர்க்கோனியம்	زیرکونیوم
சந்தர்ப்பம்	متن
ஆண்டர்சன்	اندرسون
ஆண்டர்சன்	اندرسن
ஆண்டர்சன்	آندرسون
சிக்னல்	انتن
சிக்னல்	سیگنال
சிக்னல்	علامت
மோடம்	مودم
விவகாரங்கள்	امور
காபூல்	کابل
அரிவாள்	داس
அரிவாள்	داسی
பேச்சாளர்கள்	اسپیکر
எலிகள்	موشهای
எலிகள்	موشها
வைன்	شرابی
வைன்	شراب
வைன்	باده
வாடிக்கையாளரின்	مشتری
வாடிக்கையாளரின்	کارخواه
வாடிக்கையாளரின்	موکل
பட்டினி	قحطی
பழமொழிகள்	امثال
திறக்கும்	افتتاحیه
திறக்கும்	افتتاح
ராபர்ட்ஸ்	رابرتس
ராபர்ட்ஸ்	رابرتز
ஜேக்மேன்	جکمن
அசிட்டேட்டு	استات
மருமகன்	برادرزاده
மருமகன்	خواهرزاده
பக்தர்களின்	upa
கிரகங்கள்	سیارات
காவி	زعفران
தோழன்	میت
தோழன்	ماته
நாட்டியம்	dance
நாட்டியம்	رقص
நிறைவுற்ற	اشباع
திவ்யா	دیویا
கடனை	قرض
கடனை	قرضی
கடனை	قرضه
கடனை	بدهی
உபரி	مازاد
உபரி	افزون
அனுபவ	exp
குட்டிகள்	توله
ஓவியத்தை	نقاشی
மணமகள்	عروس
நிரூபிக்க	اثبات
ஜூலி	جولی
சொல்லாட்சி	بلاغت
அலங்கரிக்கப்பட்ட	آراسته
ஜோர்டான்	جوردن
ஜோர்டான்	جردن
ஜோர்டான்	اردن
பிரபஞ்சம்	کائنات
பிரபஞ்சம்	کیهان
பிரபஞ்சம்	گیتی
பிரபஞ்சம்	کهکشان
பிரபஞ்சம்	گلکسی
சிறுநீரகம்	کلیه
சிறுநீரகம்	قلوه
மறக்க	فراموش
மறக்க	یادشان
பிளாங்க்	پلانک
சுயசரிதை	بیوگرافی
சுயசரிதை	تذکره
சுயசரிதை	زندگینامه
ரூபி	یاقوت
அத்தை	عمه
அத்தை	خاله
அத்தை	عمه
அத்தை	خاله
அத்தை	عمه
துரோகம்	خیانت
துரோகம்	خیانت
சீரோ	چیرو
பிட்டு	بیت
பிட்டு	ذره
கார்லோ	کارلو
பக்கத்து	همسایه
அவகாசம்	مهلت
கருச்சிதைவு	سقط
ஆரியர்	آرین
ஆரியர்	آریایی
ஆரியர்	آریان
பண்பேற்றம்	مدولاسیون
படுக்கையில்	تخت
படுக்கையில்	تختخواب
படுக்கையில்	بستر
படுக்கையில்	رختخواب
விவசாயி	کشاورز
வழங்குநர்	میزبان
பதினொன்று	یازده
பதினொன்று	eleven
திறமைகளை	استعداد
திறமைகளை	استعدادها
நிற்பது	قیام
நிற்பது	ایستاده
நிற்பது	ایستادن
இரகசியமாக	پنهانی
இரகசியமாக	مخفیانه
முன்னேற்றத்தை	پیشرفت
முன்னேற்றத்தை	پیشرفتی
முகமூடி	نقاب
முகமூடி	ماسک
கோல்ட்மேன்	گلدمن
வியாபாரிகள்	فروشندگان
பட்லர்	باتلر
தந்தையர்	پدران
தந்தையர்	پدرها
பஜாஜ்	باجاج
முபாரக்	مبارک
முபாரக்	mubarak
வயர்லெஸ்	بیسیم
வயர்லெஸ்	وایرلس
குளூனி	کلونی
பென்னி	پنی
பென்னி	بنی
லூக்	لوقا
லூக்	لوک
ஹன்னிபால்	هانیبال
பொய்யான	کاذب
பொய்யான	دروغین
பொய்யான	نادرست
பொய்யான	غلط
பொய்யான	باطل
பொய்யான	تقلبی
பொய்யான	الکی
பொய்யான	زرشک
பொய்யான	جعل
பொய்யான	جعلی
ஸ்ரீநகர்	سرینگر
படத்தைப்	فتو
படத்தைப்	photo
படத்தைப்	عکس
முற்றத்தில்	حیاط
முற்றத்தில்	یارد
தேவாலயங்கள்	کلیساها
தேவாலயங்கள்	کلیساهای
மல்யுத்தம்	کشتی
டோ	انگشت
பெட்ரோ	پدرو
பிம்பம்	تصویر
பிம்பம்	نگاره
இறுக்கம்	تراکم
இழப்பீடு	فدایی
நீட்டிப்பு	خماری
பிசுமத்	بیسموت
ஜாகுவார்	جگوار
கிராமத்திற்கு	روستای
கிராமத்திற்கு	دهکده
கிராமத்திற்கு	ویلیج
கிராமத்திற்கு	روستا
பாணிகள்	استایلز
பாணிகள்	سبکهای
அல்ஜீரியா	الجزایر
குளிர்காலம்	وینتر
குளிர்காலம்	زمستان
குளிர்காலம்	زمستون
குளிர்காலம்	زمستانی
குறிப்பான	خاص
குறிப்பான	مشخص
காத்துக்	منتظرم
காத்துக்	انتظار
காத்துக்	منتظر
காத்துக்	منتظریم
ஜெனிபர்	جنیفر
மஹா	ماها
டோம்	گنبد
ஆராய்ச்சியாளர்	محقق
ஆராய்ச்சியாளர்	پژوهشگر
நதியா	نادیا
பத்திரிக்கையாளர்	خبرنگار
இர்வின்	ایروین
இர்வின்	اروین
இர்வின்	آروین
இர்வின்	ایروین
இர்வின்	ارواین
புரூக்	بروک
புரூக்	بروک
உற்பத்தியாளர்	سازنده
புதன்கிழமை	چهارشنبه
கொரியன்	کره
கொரியன்	کرهای
முன்னொட்டு	پیشوند
விவகாரம்	رسوایی
விவகாரம்	مسئله
பயோடீசல்	بیودیزل
பாடு	بخون
பாடு	بخونید
கொதிக்க	جوشش
கொதிக்க	جوش
வளையல்	النگو
பண்டார	پاندورا
தமன்	دامان
பாகா	باخا
கிடங்கு	انبار
கிடங்கு	مخزن
சொட்டு	چکه
சோடா	سودا
அஜய்	اجی
நாஷ்	نش
பயங்கரமான	ترسناک
குங்குமப்பூ	زعفران
வெனிலா	وانیلی
வெனிலா	وانیل
வழித்தடங்கள்	مسیرهای
வழித்தடங்கள்	مسیرها
துறவறம்	قدیس
துறவறம்	سن
குடிக்கும்	نوشیدن
குடிக்கும்	آشامیدنی
பார்க்கப்பட்டது	ندیده
பார்க்கப்பட்டது	دیده
காப்பாளர்	نگهدارنده
கையாளுதல்	گرداندن
கையாளுதல்	دستکاری
டாப்ளர்	دوپلر
அடித்தள	زیرزمین
கார்டர்	کارتر
ரைடர்ஸ்	سواران
குடிமகன்	همشهری
குடிமகன்	شهروند
குடிமகன்	شهروندی
பால்டிக்	بالتیک
ஏற்கப்பட்டது	پذیرفت
ஏற்கப்பட்டது	پذیرفته
அரசுகளும்	دولتها
அரசுகளும்	دولتهای
மொசாம்பிக்	موزامبیک
ஒட்டுண்ணி	انگل
ஒட்டுண்ணி	انگلهای
ஃபெராரி	فراری
ஜாதி	کاست
ஜாதி	رحمت
நாகை	ناگای
பர்	بور
பர்	بور
ஈரம்	مرطوب
ஈரம்	خیس
மிருகங்கள்	جانوران
மிருகங்கள்	حیوانات
விதிவிலக்கு	استثنا
பொறுமை	صبور
பொறுமை	شکیبایی
பொறுமை	صبر
குறிப்பை	یادداشت
குறிப்பை	نکته
குறிப்பை	نوت
கன்னியர்	حوریان
ஜார்ஜியா	گرجستان
ஜார்ஜியா	جورجیا
சிறகுகள்	پر
சிறகுகள்	پرهای
காகம்	کلاغ
காகம்	کرو
ஜிகாத்	جهاد
பையன்	پسر
பையன்	boy
பையன்	گای
பையன்	یارو
மெய்யான	اصیل
மெய்யான	اصلی
மெய்யான	اوریجینال
கோர்டன்	گوردون
பெக்	التماس
ஹாரிசன்	هریسون
கீத்	کیث
சுற்றுகள்	ویزیت
குரல்கள்	صداها
குரல்கள்	صداهایی
குரல்கள்	صداهای
குரல்கள்	آوازها
சிண்ட்ரெல்லா	سیندرلا
பானு	banu
தோட்டக்கலை	horticulture
தோட்டக்கலை	باغبانی
அலைந்து	سرگردانی
அலைந்து	سرگشته
அலைந்து	سرگردان
இஞ்சி	زنجبیل
காசநோய்	سل
கிட்ஸ்	کیتس
பிரான்	براون
பிரான்	پیران
மகிழ்ச்சியாக	شادتر
ஏபெல்	ابل
ஏபெல்	آبل
பெல்ஜிய	بلژیکی
பெல்ஜிய	بلژیک
சமரசம்	سازش
சமரசம்	مصالحه
சமரசம்	توافق
பணியாளர்களின்	کارمندان
பணியாளர்களின்	کارکنان
பணியாளர்களின்	کارمند
பணியாளர்களின்	کارمندان
பணியாளர்களின்	ستاد
பணியாளர்களின்	عصای
தோராயமான	ناهموار
தோராயமான	خروشان
திறமைகள்	مهارتش
திறமைகள்	مهارت
திறமைகள்	مهارتهای
திறமைகள்	استعداد
திறமைகள்	استعدادها
விஷம்	زهر
விஷம்	مسموم
வயநாடு	wayanad
அச்சே	آچه
கரோலின்	کرولاین
கரோலின்	کارولین
கரோலின்	کارولاین
மதிப்புறு	لفظی
விஸ்கி	ویسکی
விஸ்கி	ھم
விஸ்கி	ویسکی
பேனா	قلم
பேனா	opengl
மசாலா	مصالح
ஸல்	سل
ஸல்	سال
ஸல்	sal
மாஸ்	جرم
மாஸ்	توده
குத்து	مشت
குத்து	پانچ
குத்து	منگنه
நட்டு	مهره
நட்டு	فندقی
ஊழி	دوره
சொகுசு	دلخوشی
சொகுசு	luxury
சேகரிக்க	جمع
சிதறல்	پراکندگی
உகாண்டா	اوگاندا
விராட்	ویرات
கருக்கலைப்பு	سقط
உருப்படிகள்	موارد
கரீம்	karim
கரீம்	کریم
ஓபராய்	اوبروی
காத்மாண்டு	کاتماندو
இரவுகள்	شبا
இரவுகள்	شبها
இரவுகள்	شبهای
இரவுகள்	شب
ஷர்மா	شارما
வைமாக்ஸ்	وایمکس
புளி	تمر
பரிசுத்த	مقدس
சியாங்	چیانگ
சியாங்	شیانگ
வரதட்சணை	جهیزیه
வரதட்சணை	جهاز
வரதட்சணை	مهریه
அகலமான	بازتر
அகலமான	وسیعتر
சர்வாதிகாரி	دیکتاتور
புதர்	پشمالو
பீஸ்	بئاس
முகில்	ابری
முகில்	ابر
கிட்மேன்	کیدمن
கிராமங்களை	روستاها
கிராமங்களை	روستاهای
பூசி	گرم
முடுக்கம்	شتاب
முடுக்கம்	تسریع
ஐபிஎல்	ipl
கடத்தப்பட்ட	دزدیده
இறுக்கமாக	سفت
இறுக்கமாக	تنگه
விரும்பத்தகாத	ناخوشایند
இசைக்கு	آهنگ
இத்தாலியன்	ایتالیایی
இத்தாலியன்	ایتالیا
ஒயிட்	سپید
ஒயிட்	وایت
ஒயிட்	سفید
தொந்தரவு	زحمت
தொந்தரவு	مزاحم
தால்	دال
சான்டா	سانتا
சான்டா	بابانوئل
சான்டா	santa
ஃபிராங்கண்ஸ்டைன்	فرانکنشتاین
ஃபிராங்கண்ஸ்டைன்	فرانکشتاین
கிடைமட்ட	افقی
கிளாஸ்கோ	گلاسکو
மட்டு	پیمانهای
மட்டு	مدولار
ஹாலந்து	هالند
ஹாலந்து	هلند
வடிகால்	زهکشی
ஆக்ஸிஜன்	اکسیژن
செருகி	وصله
அடுப்பு	اجاق
புல்வெளி	چمن
அடிமைத்தனம்	بردگی
அடிமைத்தனம்	اعتیادآور
குரோ	cro
தொடர்புடையவை	مربوط
தொடர்புடையவை	مرتبط
ஷேக்ஸ்பியர்	شکسپیر
மெர்ரில்	مریل
புரிந்தவர்	مجرمین
அன்ரன்	آنتون
வீர்	ویر
ஜாஸ்	جاز
அன்பும்	دوست
அன்பும்	عشق
அன்பும்	عشقی
அன்பும்	عاشق
வைரல்	ویروسی
சகாப்தம்	دوران
சகாப்தம்	عصری
அர்ஜூன்	آرجون
தானியம்	حبوبات
தானியம்	دانه
தானியம்	گندم
தானியம்	حبوبات
தானியம்	غلات
மூ	moo
ரூஸ்வெல்ட்	روزولت
டொபாகோ	توباگو
செப்பெலின்	زپلین
சாத்தியங்கள்	امکانات
ஆர்டர்	نظم
ஆர்டர்	فرمان
ஆர்டர்	دستور
ஆர்டர்	سفارش
ஆர்டர்	ترتیب
மதுவிலக்கு	ممنوعیت
பயணிகளும்	مسافرین
பயணிகளும்	مسافران
கரங்கள்	دست
கரங்கள்	دستهای
கரங்கள்	دستان
படிவங்கள்	شکلهای
நெடுந்தீவு	دلفت
பலமாக	قویتر
மகிழ்ச்சியான	شادترین
சமர்	ثمر
சமர்	سمر
திருடன்	دزد
கபில	بلوط
நாற்காலி	صندلی
ஓநாய்	گرگ
ஓநாய்	وولف
ஓநாய்	گرگه
ஓநாய்	ولف
வர்ண	رنگدانه
பாகு	باکو
பீட	فلات
கிராமத்து	روستای
கிராமத்து	دهکده
கிராமத்து	ویلیج
கிராமத்து	روستا
பத்தொன்பது	نوزده
பத்தொன்பது	nineteen
பிரிமியர்	پریمیر
பிரிமியர்	افتتاحیه
தேவதைகள்	فرشتگان
கோர்ட்	دادگاه
கோர்ட்	دربار
அஸ்ஸாம்	آسام
லூனா	لونا
முன்மொழியப்பட்ட	خواستگاری
முன்மொழியப்பட்ட	پیشنهادی
அருளும்	فضل
அருளும்	گریس
நறுமணம்	خوشبو
சுயமாக	نفس
சுயமாக	بخود
தேனீக்கள்	زنبورها
தேனீக்கள்	زنبورهای
அறிக்கைகளை	اظهارات
உரங்கள்	کودهای
பெண்டிர்	خانما
பெண்டிர்	بانوان
பெண்டிர்	خانمها
நெறிகள்	قراردادهای
நெறிகள்	قراردادها
நார்மாண்டி	نورماندی
ஃபேஸ்புக்	facebook
ஃபேஸ்புக்	فیسبوک
ஃபேஸ்புக்	فیس
ஜோனாஸ்	جوناس
ஜேக்கப்	یعقوب
ஜேக்கப்	جیکوب
ஜேக்கப்	یاکوب
ஜேக்கப்	جاکوب
நெற்றி	پیشانی
நெற்றி	پیشونی
நெற்றி	پیشانیش
உணர்தல்	فهم
உணர்தல்	تحقق
சந்தித்தனர்	ملاقات
சந்தித்தனர்	دیدار
பூசாரி	کاهن
பூசாரி	کشیش
பூசாரி	کشیشی
உதாரணமாகும்	ورزشکاری
லாலா	لالا
பிங்	بینگ
பிங்	پینگ
கபீர்	کبیر
திருப்பு	قرینه
ஆணி	nail
ஆணி	ناخن
ஆணி	میخ
சிந்திக்க	تفکر
சிந்திக்க	اندیشه
டிஸ்கவரி	اکتشاف
டிஸ்கவரி	دیسکاوری
டிஸ்கவரி	کشف
ஆத்தர்	آرتور
சத்ய	ساتیا
குறைத்தது	خواص
இல்லாமலே	بى
இல்லாமலே	بدون
மதீனா	مدینه
மதீனா	مدینا
மதீனா	مدینه
மோர்கன்	مورگان
மோர்கன்	مرگان
மோர்கன்	مورگن
மன்மதன்	کوپید
வீனஸ்	ونوس
வீனஸ்	زهره
சித்தார்த்	سیدارت
எளிமை	سادگی
மினாக்	مینوگ
லூர்து	لوردس
மன்சூர்	منصور
எஸ்தர்	ایستر
எஸ்தர்	استر
டூர்	تور
டூர்	tour
சுற்றிப்	اطراف
சுற்றிப்	حوالی
இம்பால்	ایمفال
சுழலி	توربین
புலிட்சர்	پولیتزر
ஆய்வக	آزمایشگاهی
ஆய்வக	لابراتوار
ஆய்வக	آزمایشگاه
நெபுலா	سحابی
அமல்	امل
பாதிக்கப்பட்டவர்கள்	قربانیان
வெற்றிடம்	خلاء
வெற்றிடம்	خلأ
வெற்றிடம்	خلا
துடுப்பு	پارو
விரிவுரையாளர்	سخنران
வினாடி	دوم
வினாடி	ثانیه
வினாடி	دومی
பத்திரிகையாளர்கள்	خبرنگار
பத்திரிகையாளர்கள்	خبرنگاران
டோன்	لحن
டோன்	تون
பிக்காசோ	پیکاسو
மேம்படுத்தப்பட்டது	بهینه
அடைவு	پوشه
பிடியில்	چنگ
துளி	افت
துளி	قطره
அகதி	پناهنده
ஆதாம்	ادم
ஆதாம்	آدم
ஆதாம்	آدام
கோழிகள்	مرغها
பெல்லி	بل
நலத்துறை	رفاه
குத்தகை	اجاره
ரஸ்புடின்	راسپوتین
தியோடர்	تئودور
ரிக்கோ	ریکو
ஹலோ	الو
ஹலோ	سلام
ஹார்வர்டு	هاروارد
சசி	شاشی
கண்டியில்	kandy
புத்தம்	براند
புத்தம்	برند
கேட்டது	شنیده
உளர்	فربه
பத்மா	padma
ஒட்டாவா	اتاوا
தோற்றது	خرابی
#ஒரு	#یک
#ஒரு	#یک
மூலை	گوشه
குர்கான்	گورگان
இமாலய	هیمالیا
பூர்ணிமா	پورنیما
நூர்	نور
அஃப்லெக்	افلک
நொதித்தல்	تخمیر
ஆஸ்கர்	اسکار
ஜகார்த்தா	جاکارتا
கார்ட்	ارابه
கார்ட்	چرخ
கார்ட்	گاری
