námornej	denizcilik
kroky	adımlar
kroky	basamak
kroky	ayak
zmazať	silme
zmazať	silin
zmazať	sil
bohatý	zengin
bohatý	rich
bohatý	zenginler
erich	erich
informatiky	bilişim
suchá	kuru
slnečná	güneş
slnečná	solar
infraštruktúra	altyapı
svetom	world
svetom	dünya
svetom	dunya
nahrávanie	yükleme
nahrávanie	yükleniyor
nahrávanie	yükleyin
nahrávanie	yükle
nahrávanie	yükleme
nahrávanie	kaydı
nahrávanie	kayıt
nahrávanie	plak
nahrávanie	rekor
nahrávanie	kayıt
čítať	okuma
čítať	okuyun
čítať	oku
čítať	okumak
záchranu	kurtarma
wood	odun
wood	ağaç
wood	ahşap
wood	tahta
klavirista	piyanist
kabíny	kabinler
kabíny	kabinleri
dutiny	çürükler
mer	mer
schopní	kadir
organické	organik
rybníky	havuzları
portálu	portal
portálu	geçit
vyvinuli	gelişmiş
vyvinuli	evrim
skutočné	real
skutočné	gercek
skutočné	reel
skutočné	gerçek
skutočné	hakiki
návštevy	ziyaretçi
návštevy	ziyaretçileri
návštevy	ziyaretçiler
návštevy	ziyaret
návštevy	ziyaretler
návštevy	ziyaretleri
návštevy	ziyaret
predstaviť	hayal
citát	alıntı
citát	alıntı
citát	tırnak
odborov	sendikalar
odborov	sendika
štvrté	dördüncüsü
štvrté	dördüncü
jonas	jonas
barry	barry
equus	equus
licencie	lisansları
licencie	ehliyet
licencie	lisans
licencie	lisans
nákladu	kargo
budovať	inşa
hlboké	derine
hlboké	derin
hlboké	deep
hlboké	derinden
odhad	tahmini
odhad	tahmin
odhad	tahmini
odhad	tahmin
odhad	tahmini
odhad	değerlendirmesi
vojnový	savaş
vojnový	war
vojnový	savas
folk	folk
koalície	koalisyonu
koalície	koalisyon
charakteristiky	özellikler
charakteristiky	özellikleri
charakteristiky	özellikler
charakteristiky	özellikleri
briti	britanya
briti	ingiliz
briti	ingilizler
briti	ingilizler
čínske	çinliler
čínske	çinli
čínske	çince
mama	mama
mama	anam
mama	anne
mama	annem
mama	anne
mama	annesi
mama	ana
mama	anne
zisku	kâr
zisku	kar
zisku	kazanç
zaznamenané	kaydedilen
zaznamenané	kaydedilmiş
zaznamenané	kaydedildi
zaznamenané	kaydetti
prepustený	serbest
venuša	venüs
väzení	cezaevi
väzení	hapishane
väzení	hapis
centrálne	merkezi
centrálne	merkez
porážku	mağlup
porážku	yenilgi
budúci	sonraki
budúci	sırada
budúci	sıradaki
harvard	harvard
olympic	olimpiyat
olympic	olimpik
nepriateľov	düşman
nepriateľov	düşmanlar
geometria	geometri
reprezentácia	temsili
reprezentácia	temsil
priatelia	dostlar
priatelia	arkadaşlar
priatelia	arkadaş
priatelia	arkadaslar
verše	ayetleri
verše	ayetler
socialistická	sosyalist
prince	prens
prince	prince
vrtuľníky	helikopterler
vrtuľníky	helikopterler
vrtuľníky	helikopter
titan	titan
cook	cook
cook	çook
cook	aşçı
diely	parçalar
diely	parçaları
diely	kesikler
charlotte	charlotte
počuť	duyuyor
počuť	duy
počuť	duyun
matthew	matthew
emanuel	emanuel
oskar	oskar
oskar	oscar
oskar	oskar
predstavenie	gösteri
predstavenie	performansı
predstavenie	performans
predstavenie	şov
predstavenie	gösteri
predstavenie	göster
predstavenie	gösterin
predstavenie	show
vraždy	cinayet
vraždy	cinayetten
vraždy	cinayet
vraždy	cinayetleri
vraždy	cinayetler
podvozok	şase
zavedená	tanıttı
zavedená	tanıştırdı
ensign	teğmen
ensign	asteğmen
lisa	lisa
vybrať	seç
vybrať	seçim
vybrať	seçin
vybrať	seçme
vybrať	seçmek
vybrať	seç
vybrať	seçin
vybrať	seçiniz
činiteľ	etken
činiteľ	faktör
činiteľ	faktörü
premenné	değişken
premenné	değişken
premenné	değişkenleri
fred	fred
adrian	adrian
dvořák	dvořák
štandardy	standartları
štandardy	standartlara
štandardy	standartlar
planéte	planet
planéte	gezegen
čisté	net
čisté	ağ
čisté	saf
čisté	tertemiz
čisté	temizle
čisté	temiz
ukončený	sonlandırıldı
súbežne	paralel
tvrdenia	iddia
tvrdenia	iddialar
tvrdenia	iddiaları
tvrdenia	suçlamalar
tvrdenia	iddialar
tvrdenia	tartışmalar
alois	alois
ručne	elle
súkromný	özele
súkromný	er
súkromný	private
súkromný	özel
scaleminor	scaleminor
plody	meyve
plody	meyveler
plody	meyva
plody	meyve
plody	meyveler
plody	meyva
fórum	forumlar
fórum	forumu
fórum	forum
pestovanie	büyüyen
pestovanie	büyüme
pestovanie	büyüyor
pestovanie	büyümek
pestovanie	dikim
pestovanie	yetiştirme
relácia	oturumu
relácia	oturum
relácia	seans
relácia	ilişki
relácia	akraba
relácia	akrabalık
cooper	cooper
logiky	mantıksal
logiky	mantık
pohyby	hareketler
pohyby	taşınır
pohyby	hareketler
psychológ	psikolog
slávnosti	festival
slávnosti	festivali
slávnosti	festivalde
slávnosti	şenlikleri
terminológia	terminoloji
bytosti	canlılar
bytosti	yaratıklar
samice	dişiler
samice	kadınlar
samice	dişi
samice	kadın
samice	dişi
súradnice	koordinat
súradnice	koordine
súradnice	koordinatları
súradnice	koordinat
súradnice	koordinatlar
senátu	senato
grafický	grafiksel
grafický	grafik
plukovník	albay
plukovník	yarbay
michelangelo	michelangelo
melbourne	melbourne
korunu	tacı
korunu	taç
korunu	crown
agent	ajan
agent	temsilci
agent	menajer
tém	konular
tém	başlıklar
tém	konuları
kapitola	bölüm
kapitola	bolum
železo	demir
železo	ütü
spisy	yazılar
spisy	yazıları
labe	elbe
konečný	final
efektívne	verimli
efektívne	etkili
efektívne	etkili
efektívne	etkilidir
efektívne	etkin
najnovšie	yakınlardaki
najnovšie	yakınlarda
poľnohospodárske	tarım
poľnohospodárske	tarımsal
dramaturg	dramaturg
kaplnke	chapel
sasko	saksonya
modra	blue
modra	mavi
jadrom	çekirdek
jadrom	çekirdeği
papiera	kâğıt
papiera	gazete
papiera	kağıt
platňa	plaka
platňa	levha
platňa	tabak
spol	ortaklar
spol	ortakları
hlasovať	oylar
hlasovať	oylama
hlasovať	oy
hlasovať	oylama
hlasovať	oy
liverpool	liverpool
liverpool	galatasaray
opravy	düzeltme
opravy	tamir
opravy	onarım
opravy	tamirat
opravy	tamir
opravy	tamir
opravy	tamiri
opravy	onarım
dia	dia
mačky	kediler
mačky	kedi
trestné	suç
trestné	suçlu
brigády	tugaylar
brigády	tugay
teológia	teoloji
varšave	varşova
ľudský	insani
ľudský	insan
potrieb	ihtiyaç
potrieb	ihtiyacı
potrieb	ihtiyaçları
potrieb	ihtiyaçlar
útek	kaçış
útek	kaçıyor
útek	kaçmak
útek	kaçış
útek	firar
zaťaženie	yükleyin
zaťaženie	yükle
zaťaženie	yük
zaťaženie	yükler
zaťaženie	yükleme
zaťaženie	yükleniyor
tal	tal
vlastnil	ait
sarah	sarah
venované	adanmış
československo	çekoslovakya
spolupracovať	işbirliği
vyhlásenia	ifadeler
vyhlásenia	ifadeleri
vyhlásenia	duyuru
vyhlásenia	duyurular
sebastian	sebastian
klaus	klaus
obsahujúce	içeren
dôsledky	sonuçlar
dôsledky	sonuçları
váhy	pul
váhy	terazi
váhy	terazi
váhy	ağırlıkları
váhy	ağırlık
zámer	niyet
zámer	niyeti
zámer	niyet
hladina	düzey
hladina	seviye
čreva	bağırsak
iniciatívy	girişimleri
iniciatívy	girişim
iniciatívy	girişimi
symbolov	semboller
symbolov	sembolleri
symbolov	simgeler
mons	mons
empire	empire
empire	imparatorluk
empire	imparatorluğu
vietname	vietnam
piatok	cuma
tvarov	şekil
tvarov	şekiller
tvarov	şekilleri
štúdiá	stüdyoları
používateľ	kullanıcı
made	yapılmış
made	yapıldı
etapy	aşama
pristál	indi
rozširuje	arttırılabilir
žltý	sari
žltý	sarı
odmietli	reddedildi
odmietli	reddetti
jamie	jamie
náčelník	şef
náčelník	reis
náčelník	reis
sociálny	toplumsal
sociálny	sosyal
porto	porto
rozdielne	farklı
rozdielne	farkli
rozdielne	değişik
rozdielne	uyumsuz
deutsche	deutsche
adresu	adresiniz
adresu	adresi
adresu	adres
rumunský	rumen
rumunský	romen
lebky	kafatası
lebky	kafatası
úseky	bölümleri
úseky	kısımlar
úseky	bölümler
priemyselná	endüstriyel
priemyselná	endüstri
priemyselná	sanayii
priemyselná	sanayi
pretekár	racer
pretekár	yarışçı
kras	karst
uhlie	kömür
uhlie	kömür
abeceda	alfabesi
komédie	komedi
komédie	komedi
kopa	yığın
duchovné	manevi
duchovné	ruhsal
duchovné	ruhani
extra	fazladan
extra	ekstra
extra	extra
nickelback	nickelback
udržanie	sürdürmek
vzdať	teslim
snahu	gayret
snahu	emek
snahu	çaba
nárok	iddia
chýb	hatalar
chýb	hataları
chýb	hatalar
chýb	böcekler
chýb	böcek
chýb	hatalar
medi	bakır
pokryté	kaplı
pokryté	örtülü
zavedený	tanıttı
zavedený	tanıştırdı
jednotlivcov	şahıslar
jednotlivcov	bireyler
archeológ	arkeolog
archeológ	arkeolog
organizmus	organizma
organizmus	organizmalar
junior	ufaklık
junior	junior
životy	yaşar
životy	hayatlar
frekvencie	frekansları
frekvencie	sıklık
frekvencie	frekans
autobus	otobüsle
autobus	otobüs
výrobcu	üretici
výrobcu	yapımcı
výrobcu	üretici
výrobcu	üreticisi
tisícročia	milenyum
prednášky	dersler
prednášky	konferans
prednášky	nutuk
prednášky	ders
ulrich	ulrich
akademický	akademik
návrhov	önerileri
návrhov	öneriler
návrhov	öneri
praktické	pratik
estadio	estadio
počasie	hava
nominácia	adaylığı
trio	üçlü
skúsenosť	deneyimi
skúsenosť	tecrübe
skúsenosť	deneyim
sklo	bardak
sklo	camlar
sklo	cam
preložené	çevrildi
preložené	çevrilmiş
disciplíne	disiplin
disciplíne	disiplini
disciplíne	disipline
disciplíne	disiplinli
wwe	wwe
elektrických	elektrikli
elektrických	elektrik
elektrických	elektrikli
elektrických	elektrik
adresy	adresleri
family	ailesi
family	family
family	aile
operáciu	ameliyat
operáciu	cerrahi
vzdialený	mesafeli
vzdialený	uzak
vzdialený	kumanda
vzdialený	uzak
naučil	öğrendim
naučil	öğrendi
naučil	öğrenmiş
naučil	öğretti
porasty	tarlalar
dmitrij	dmitri
dmitrij	dimitri
pohlavia	cinsiyeti
pohlavia	cinsiyet
pohlavia	seks
pohlavia	cinsellik
pohlavia	sex
wars	savaşları
wars	savaşlar
dallas	dallas
karibiku	karayip
karibiku	karayipler
broughton	broughton
timeaxis	timeaxis
zrýchlenie	hızlanma
core	çekirdek
core	çekirdeği
paralelne	paralel
challenger	challenger
bytov	flats
bytov	daireler
bytov	bayt
bytov	daire
bytov	daireler
centrálny	merkezi
centrálny	merkez
rodičmi	aileler
rodičmi	ebeveyn
rodičmi	ebeveynler
eddie	eddie
nymburk	nymburk
ross	ross
média	medya
média	basın
média	basında
média	ortam
fritz	fritz
afganistane	afganistan
prístupné	ulaşılabilir
prístupné	erişilebilir
rádia	radio
rádia	radyo
rádia	telsiz
afrických	afrika
afrických	afrikalı
terminál	terminal
výstupy	çıkışlar
výstupy	çıktılar
výstupy	sonuçlar
výstupy	sonuçları
bruins	bruins
armstrong	armstrong
lekára	hekim
lekára	doctor
lekára	doktor
shoemaker	shoemaker
projektom	projelerin
projektom	proje
projektom	projeleri
projektom	projeler
margaret	margaret
pridáva	ekler
pridáva	ekleme
pridáva	ekliyor
nebezpečné	tehlikeli
nebezpečné	tehlikelidir
pristáli	indi
škótsku	iskoçya
škótsku	iskoç
škótsku	viski
škótsku	scotch
berkeley	berkeley
outline	taslağı
outline	taslak
venovaná	adanmış
venovaná	adamış
platnosť	geçerli
platnosť	geçerlidir
platnosť	geçerliliği
výchovu	yetiştirilme
child	çocuk
child	çocuğum
child	cocuk
zostať	kalıyorum
zostať	kalmak
zostať	kalıyor
zostať	kalıyoruz
zostať	kalın
zostať	kal
polo	polo
sporné	kavgacı
sporné	tartışmalı
neba	cennet
baktérie	bakteri
baktérie	bakteriler
baktérie	mikroplar
baktérie	mikrop
main	main
main	ana
grafika	grafik
vodcov	liderleri
vodcov	liderler
estónsko	estonya
sodný	sodyum
schopností	yetenekler
schopností	yetenekleri
médium	medya
médium	basın
médium	basında
médium	ortam
médium	psişik
médium	medyum
médium	medyum
médium	ortam
médium	orta
vyhláška	emri
úteku	kaçış
úteku	kaçıyor
úteku	kaçak
geometrie	geometri
zachránil	kaydedilen
zachránil	kurtuldu
zachránil	kaydedilmiş
zachránil	kaydedildi
zachránil	kurtardı
pravdepodobnosť	olasılıklar
pravdepodobnosť	olasılık
guide	rehberlik
guide	rehberi
guide	kılavuzu
guide	rehber
guide	kılavuz
airbus	airbus
komentár	yorumda
komentár	yorumu
komentár	yorum
komentár	yoruma
komentár	yorumları
komentár	yorumlar
komentár	yorum
neskoro	gec
neskoro	geç
dokázať	ispat
vybraný	seçilmiş
vybraný	seçilen
vybraný	seçildi
vybraný	seçilmiş
vybraný	seçilen
vybraný	seçili
vybraný	seçildi
zvon	çan
zvon	zil
zvon	can
zvon	bell
kult	tarikat
kult	mezhep
usb	usb
veží	kuleler
veží	kuleleri
tajne	gizliden
tajne	gizlice
dodáva	ekler
dodáva	ekleme
dodáva	ekliyor
dodáva	sağlanan
kryštály	kristalleri
unit	birlik
unit	birim
unit	ünite
lightgrey	lightgrey
belfort	belfort
príbuzných	akrabalar
príbuzných	akrabaları
polomer	yarıçap
nákladné	kargo
nákladné	yük
nákladné	nakliye
nechce	istiyor
užitočné	yararlı
užitočné	kullanışlı
užitočné	faydalı
užitočné	yararlı
užitočné	yardımsever
užitočné	faydalı
športovcov	sporcular
športovcov	sporcular
dos	dos
terénu	arazi
plemena	cins
otázok	sorularınız
otázok	soruları
otázok	sorular
otázok	soru
kantónov	kantonlar
širokú	geniş
širokú	geniş
buffalo	bufalo
buffalo	buffalo
pripravený	hazır
pripravený	hazırız
pripravený	hazırım
pripravený	hazir
chemickej	kimyasal
chemickej	kimya
špecifikácie	özellikler
obnoviť	yenileme
obnoviť	yenile
obnoviť	özgeçmiş
ueda	ueda
vodiča	sürücüsü
vodiča	sürücü
vodiča	şoför
vodiča	şöför
vajíčka	yumurta
vajíčka	yumurtalar
zavedené	tanıttı
zavedené	tanıştırdı
odborník	uzman
odborník	uzman
bordeaux	bordeaux
sietí	nets
sietí	ağlar
sietí	ağları
sietí	ağlar
matematické	matematiksel
magazín	dergi
magazín	magazin
chápe	anlıyor
hrdinovia	kahramanlar
hrdinovia	kahraman
bloky	parçalar
bloky	engeller
bloky	blok
táborov	kampları
predkov	atalarımız
predkov	ataları
guinea	gine
ralph	ralph
dáma	lady
dáma	hanım
dáma	bayan
dáma	hanımefendi
populárna	popüler
populárna	sevilen
drámy	drama
drámy	dram
drámy	tiyatro
pavilón	pavilion
hospodárska	ekonomik
hodnotenia	değerlendirmeler
hodnotenia	değerlendirme
hodnotenia	yorumlar
hodnotenia	değerlendirmeleri
hodnotenia	reyting
hodnotenia	puanlar
hodnotenia	değerlendirmeler
robotník	işçi
robotník	emekçilerin
premena	dönüştürme
premena	dönüşüm
premena	metamorfoz
premena	değişim
premena	dönüşüm
vyriešiť	çözüm
vyriešiť	çöz
vyriešiť	çözmek
mobile	mobile
mobile	hareketli
mobile	mobil
živí	besliyor
živí	beslenir
živí	hayatta
živí	canlı
pietro	pietro
roland	roland
ignác	ignác
spracovania	işlenmesi
spracovania	işleme
spracovania	işlem
výslovnosť	telaffuz
priehrady	baraj
vydávanie	sorun
vydávanie	mesele
vydávanie	yayıncılık
vydávanie	yayınlama
vydávanie	yayın
autorka	yazar
autorka	yazarı
politikov	politikacılar
politikov	politikacı
politikov	siyasiler
uzavretá	kapalı
uzavretá	kapatılmış
uzavretá	kapatıldı
uzavretá	kapali
uzavretá	kapandı
jeruzalem	kudüs
stôp	ayakları
stôp	ayak
stôp	ayaklar
stôp	izleri
stôp	izler
kennedy	kennedy
pilotov	pilotlar
mhk	mhk
odráža	yansıyan
odráža	aynalı
odráža	yansıtıyor
spoločná	müşterek
spoločná	sarma
spoločná	eklem
dolu	down
dolu	aşağıya
dolu	aşağı
progress	ilerleme
progress	gelişme
progress	gelişim
obľúbené	favori
obľúbené	popüler
obľúbené	sevilen
obľúbené	favori
obľúbené	gözde
obľúbené	en
kino	kino
kino	sinema
značku	brand
značku	marka
značku	markası
bomba	bomba
aplikácia	uygulama
aplikácia	başvuru
aplikácia	uygulama
vyšetrenie	inceleme
vyšetrenie	sınav
vyšetrenie	muayene
uplatnenie	uygulanabilirliği
ázijské	asyalı
ázijské	asya
zástupcu	vekil
zástupcu	yardımcı
zástupcu	yardımcısı
štandardný	öntanımlı
štandardný	varsayılan
štandardný	standard
štandardný	standart
psychológie	psikolojisi
psychológie	psikoloji
zameranie	odaklanmak
zameranie	hedefleme
zameranie	odak
zameranie	odaklanma
meter	metre
meter	metre
príbehov	hikayeler
príbehov	öyküler
príbehov	masallar
príbehov	masalları
príbehov	hikâyeler
príbehov	haberler
príbehov	öyküler
príbehov	hikayeler
jevgenij	yevgeny
pozor	dikkat
pozor	dikkat
podrobnosti	detay
podrobnosti	detaylar
podrobnosti	ayrıntılar
podrobnosti	detayları
podrobnosti	ayrıntı
podrobnosti	detay
podrobnosti	ayrıntı
podrobnosti	detaylı
obnovenie	restorasyon
obnovenie	onarım
obnovenie	yenileme
obnovenie	yenileme
oldřich	oldřich
metódu	yöntemi
metódu	yöntem
malta	havan
malta	malta
uzol	düğümü
uzol	düğüm
uzol	düğüm
prednosť	öncelikli
prednosť	önceliği
prednosť	öncelik
prednosť	tercih
prednosť	tercihi
ean	ean
káder	ayetullah
menšiny	azınlık
menšiny	azınlık
menšiny	azınlıkların
prietok	akış
prietok	akışı
prietok	akar
prevzaté	alınmış
prevzaté	alındı
prevzaté	alınan
prevzaté	aldı
prevzaté	alınır
mŕtvy	ölüler
mŕtvy	öldü
mŕtvy	ölü
mŕtvy	dead
vyrábali	imal
vyrábali	üretilen
vyrábali	üretilmiş
leonard	leonard
algoritmus	algoritma
ovládanie	kontrol
ovládanie	control
ovládanie	kumanda
ovládanie	denetim
ovládanie	kontroller
ovládanie	kontrolleri
strieborná	gümüş
strieborná	silver
vchod	girişi
niesol	taşıdı
popravený	infaz
bel	bel
chicagu	şikago
chicagu	chicago
tvoj	sizin
tvoj	senin
tvoj	seninki
tvoj	sizinki
tvoj	sizin
tvoj	senin
sekundárne	ikincil
skok	atlama
skok	atla
zoskupenie	küme
zoskupenie	gruplama
gnu	gnu
obmedzenia	kısıtlamalar
obmedzenia	sınırlamalar
obmedzenia	kısıtlama
obmedzenia	kısıtlamaları
obmedzenia	kısıtlamalar
obmedzenia	sınırlar
obmedzenia	sınırları
obmedzenia	limit
obmedzenia	kısıtlamalar
reakciu	tepki
reakciu	reaksiyon
tisíce	binlerce
tisíce	binlercesi
pec	fırın
pec	pec
testovanie	test
testovanie	deneme
testovanie	testler
železníc	demiryolları
original	orijinal
original	özgün
original	orjinal
original	aslı
ekvivalent	eşdeğer
formáte	format
formáte	biçim
formáte	biçimi
formáte	formatı
kapitánom	yüzbaşı
kapitánom	kaptan
belo	belo
bejzbal	beysbol
bejzbal	beyzbol
križovatky	kavşak
križovatky	junction
križovatky	crossroads
hollywood	hollywood
obchodník	tüccar
vegas	vegas
ken	ken
chaos	kaos
chaos	karmaşa
chaos	kargaşa
viacej	daha
viacej	devamı
viacej	more
schneider	schneider
collins	collins
vysielač	verici
nominácie	adaylar
chýbajú	eksik
chýbajú	kayıp
alba	alba
sledovanie	takip
sledovanie	izleme
sledovanie	izlenmesi
sledovanie	izleme
sledovanie	gözlem
sledovanie	gözetim
sledovanie	gözetleme
sledovanie	follow
sledovanie	takip
scénu	sahne
scénu	sahnesi
bohatstvo	servet
bohatstvo	talih
bohatstvo	zenginlik
bohatstvo	servet
bohatstvo	zenginlik
bohatstvo	servet
titulok	başlık
titulok	manşet
titulok	başlık
titulok	açıklama
titulok	manşet
titulok	başlık
titulok	unvan
titulok	başlığı
titulok	ünvan
ovocie	meyve
ovocie	meyveler
ovocie	meyva
ovocie	meyve
ovocie	meyveler
ovocie	meyva
kamery	kameralar
observatórium	gözlemevi
proste	sadece
proste	just
minca	sikke
minca	para
označiť	etiketle
označiť	tag
označiť	etiket
označiť	işaretle
označiť	işaret
označiť	mark
videli	benekli
videli	görüldü
videli	fark
videli	görüldü
videli	görülen
videli	testere
baptiste	baptiste
náboženská	dindar
náboženská	dinsel
náboženská	dini
kvapaliny	sıvı
nápad	fikri
nápad	fikir
morgan	morgan
mhd	mhd
albánska	arnavut
albánska	arnavutluk
albánska	arnavutça
albánska	arnavutluk
hovoril	konuşulan
hovoril	söylenmiş
hovoril	konuştu
hovoril	konuştu
navrhnutá	tasarlanmış
navrhnutá	dizayn
navrhnutá	tasarlanan
navrhnutá	tasarlandı
miestnosť	oda
letel	uçtu
letel	uçtu
zásob	envanter
zásob	sayım
zásob	stok
zásob	hisse
zásob	stok
hole	delik
hole	çukur
dateformat	dateformat
brothers	kardeşlerim
brothers	kardeşler
tóth	tóth
vládcu	hükümdar
monika	monika
monika	monica
ovplyvnená	etkiledi
ovplyvnená	etkilendi
ovplyvnená	etkilenmiş
ovplyvnená	etkilenen
heineken	heineken
rozdelenia	dağıtımlar
presnosť	hassasiyeti
presnosť	hassasiyet
presnosť	hassas
presnosť	kesinlik
presnosť	doğruluğu
presnosť	doğruluk
jam	jam
jam	reçel
komplexné	kapsamlı
komplexné	karışık
komplexné	kompleks
komplexné	karmaşık
uložená	kaydedilen
uložená	kurtuldu
uložená	kaydedilmiş
uložená	kaydedildi
uložená	kurtardı
turecký	türk
turecký	türkçe
zemetrasenie	depremi
zemetrasenie	deprem
zemetrasenie	deprem
zemetrasenie	depremler
zemetrasenie	deprem
pochopiť	anlıyor
pochopiť	anla
pochopiť	anlamak
pochopiť	anlayın
pochopiť	anlama
pochopiť	anlamak
pochopiť	anlayışlı
pochopiť	anlayış
zväzkov	deste
efekty	etkileri
efekty	efekt
efekty	etkiler
zeppelin	zeppelin
plošina	platform
plošina	platformu
plošina	yaylası
myslel	düşünce
myslel	düşünerek
myslel	düşünmek
myslel	düşünme
myslel	düşünüyorum
myslel	düşünce
obmedzená	sınırlı
obmedzená	kısıtlı
obmedzená	sınırlıdır
obmedzená	kısıtlı
uverejnil	gönderildi
uverejnil	paylaşılan
uverejnil	paylaşıldı
uverejnil	paylaştı
beck	beck
obchody	mağazaları
obchody	dükkanlar
obchody	mağazalar
obchody	business
obchody	işletme
obchody	iş
obchody	ticaret
obchody	anlaşmalar
obchody	fırsatlar
obchody	dükkanlar
obchody	mağazalar
kentaur	centaur
realizácia	uygulama
realizácia	uygulanması
realizácia	idrak
realizácia	fark
realizácia	infaz
realizácia	idam
zachrániť	kaydet
zachrániť	kurtar
zachrániť	kurtarma
pohrebu	cenazesi
pohrebu	cenaze
rozpad	parçalanma
rozpad	çürüme
rozpad	çürük
apoštolov	havariler
apoštolov	peygamberler
houston	houston
slabé	zayıf
slabé	zayıflar
slabé	güçsüz
hercegovina	hersek
pearl	inci
pearl	pearl
priemerne	ortalama
alignbars	alignbars
kolesá	tekerlekler
kolesá	çark
kolesá	tekerlek
mississippi	mississippi
zajatcov	esirler
zajatcov	mahkumlar
zajatcov	tutsak
zajatcov	esirler
blog	blog
samec	erkek
ramená	omuzlar
ramená	omuzları
ramená	silahlar
ramená	kollar
ramená	kolları
libreto	libretto
western	batılı
western	western
western	batı
špecifický	spesifik
špecifický	belirli
trvalé	dayanıklı
trvalé	daimi
trvalé	kalıcı
trvalé	kalıcı
trvalé	ömürlü
baňa	benim
baňa	mine
baňa	benimki
gilbert	gilbert
double	ikili
double	çifte
double	çift
double	duble
dakota	dakota
očí	göz
očí	gözler
očí	gözleri
vrstvu	tabaka
vrstvu	katmanı
vrstvu	katman
formáty	formatları
baker	baker
baker	fırıncı
utiekol	kaçmış
utiekol	kaçtı
utiekol	kaçmış
utiekol	kaçtı
