majeurs	majors
intégrale	nedílnou
prime	bonus
prime	prémie
prime	bonusy
prime	příplatek
prime	prime
prime	prémie
prime	premium
occupent	obsadit
sonore	zvuk
classées	utajované
classées	tajné
oracle	oracle
oracle	vědma
oracle	věštec
age	stáří
age	věk
age	věku
melbourne	melbourne
polémique	kontroverzní
polémique	kontroverze
sauvages	divočina
sauvages	divoká
sauvages	divoké
sauvages	divoký
sauvages	divoši
vivants	bydlení
vivants	žijící
vivants	živá
vivants	živý
compréhension	porozumění
compréhension	pochopení
compréhension	chápání
tournées	výlety
tournées	prohlídky
tournées	turné
three	tři
bade	baden
catastrophe	pohroma
catastrophe	neštěstí
catastrophe	katastrofa
catastrophe	katastrofa
démonstration	demo
démonstration	demonstrace
démonstration	ukázku
démonstration	ukázka
démonstration	předvedení
démonstration	prokazování
réussite	úspěšnost
réussite	úspěch
citoyen	občan
citoyen	občana
thriller	thriller
configuration	nastavení
configuration	nastavit
configuration	konfigurace
configuration	nastavení
bleus	blue
bleus	modrý
bleus	modré
bleus	modrá
bleus	modře
bleus	blues
creuse	kopat
creuse	creuse
creuse	duté
creuse	hollow
greg	greg
nuits	noci
nuits	večery
nuits	nocí
lincoln	lincoln
lincoln	lincolna
cavaliers	jezdci
cavaliers	jezdci
cavaliers	jezdce
cavaliers	cavaliers
char	char
cardiaque	srdeční
volcan	vulkán
volcan	sopka
kent	kenta
kent	kent
parlant	povídání
parlant	mluvící
parlant	mluvení
parlant	mluvení
grille	síť
fernández	fernandez
fernández	fernández
marvel	marvel
voisines	sousedy
voisines	sousedé
voisines	sousedi
voisines	sousedy
voisines	sousedé
voisines	sousedi
voisines	sousední
voisines	sousedních
remarques	noty
remarques	poznámky
remarques	komentář
remarques	připomínky
remarques	komentáře
remarques	poznámky
remarques	poznámky
sofia	sofii
sofia	sofia
sofia	sofie
quête	výprava
hébreu	hebrejsky
inhumé	pohřbená
inhumé	pohřbené
inhumé	pohřbený
inhumé	pohřben
pat	pata
pat	pat
variables	proměnnou
variables	proměnná
variables	proměnné
variables	proměnných
variables	proměnné
vignoble	vinice
vignoble	vinic
vignoble	vinice
vignoble	vinařství
roue	kolo
roue	kolečko
autorisé	povolené
autorisé	povolená
autorisé	povoleno
autorisé	povolené
autorisé	povolena
autorisé	povolen
autorisé	povoleno
cavalier	jezdec
cavalier	jezdce
cavalier	kavalír
sierra	sierra
retenu	zachována
navigateur	navigátor
navigateur	prohlížeč
organes	orgánů
organes	orgány
organes	těl
organes	těla
originaires	pocházející
sylvain	sylvain
compétence	způsobilost
compétence	kompetence
compétence	příslušnost
compétence	jurisdikce
compétence	dovednost
compétence	dovednosti
compétence	způsobilost
compétence	kompetence
décerné	udělena
décerné	udělené
éliminer	eliminovat
usages	používá
fonctionnaires	činitelé
fonctionnaires	úředníků
fonctionnaires	představitelé
fonctionnaires	úředníci
démocrates	demokratů
démocrates	demokraty
démocrates	demokraté
démocrates	demokrat
bords	okraje
bords	hrany
directrice	režisér
directrice	řediteli
directrice	režie
directrice	ředitel
directrice	ředitelka
directrice	vedoucí
directrice	správce
directrice	manažer
espérance	espérance
espérance	naděje
espérance	hope
espérance	naději
espérance	doufám
espérance	doufat
fragments	úlomek
fragments	fragmenty
fragments	útržky
fragments	úlomky
seattle	seattle
seattle	seattlu
existant	existující
existant	stávající
bond	bonde
bond	kauce
bond	pouto
bond	bond
mulhouse	mulhouse
missiles	střely
missiles	rakety
missiles	střela
missiles	raketa
ordonné	nařídil
certifié	certifikované
chercheur	výzkumník
prépare	připravuje
prépare	připravit
innovation	inovaci
innovation	inovační
innovation	inovace
combiné	kombinovaný
combiné	kombinovaná
combiné	kombinované
ref	rozhodčí
amy	amy
turner	turner
turner	turnerová
turner	turnera
ardèche	ardèche
démissionne	odstoupí
alternatif	alternativa
alternatif	alternativní
écrites	psáno
écrites	napsané
écrites	písemná
écrites	písemné
écrites	napsáno
fortifications	opevnění
définitive	konečná
définitive	závěrečná
définitive	konečné
définitive	finále
définitive	konečný
définitive	definitivní
jaunes	žlutý
jaunes	žluté
jaunes	žlutá
burkina	burkina
évènement	událost
yonne	yonne
chargés	nabitá
chargés	nabitý
chargés	ládina
répression	potlačení
répression	represe
répression	potlačování
blé	pšenice
inaugurée	inaugurován
his	jeho
conrad	conrada
conrad	conrad
rousseau	rousseau
meyer	meyer
stable	stabilní
stable	stáj
stable	stabilní
correspondent	odpovídají
symphonique	symfonie
ecclésiastique	církevní
fonctionnaire	úředník
fonctionnaire	oficiální
fonctionnaire	úřední
catholicisme	katolictví
rayons	paprsky
rayons	paprsky
silva	silva
linéaire	lineární
commandé	zadal
commandé	zadané
commandé	nařídil
commandé	velel
bretonne	brittany
bretonne	breton
brevet	patent
brevet	patentu
mémorial	pomník
mémorial	památník
mémorial	memorial
mémorial	pamětní
mémorial	mémorial
engagée	najal
engagée	zasnoubená
engagée	zasnoubeni
engagée	zasnoubený
engagée	spáchal
propulsion	pohon
mythe	mýtus
mythe	mýty
mythe	mýtů
faso	faso
manger	stravování
manger	jíst
manger	sníst
manger	jíst
bouches	bouches
bouches	úst
mohammed	mohammed
mohammed	mohamed
prochaine	další
prochaine	dále
léonard	léonard
léonard	leonardo
léonard	leonarda
léonard	leonard
degrés	stupně
degrés	tituly
degrés	stupňů
flammarion	flammarion
extérieure	venkovní
extérieure	externí
extérieure	externích
extérieure	vnější
extérieure	vnější
philosophique	philosophique
philosophique	filozofické
philosophique	filozofii
philosophique	filosofie
philosophique	filozofie
styles	styly
europa	europa
doubs	doubs
nazis	nacista
nazis	nacistické
nazis	nacisté
nazis	nacisti
nazis	nacisty
guyane	guyana
esprits	destiláty
esprits	lihoviny
esprits	duchové
esprits	mysl
talk	mluv
elisabeth	alžběta
elisabeth	elisabeth
aude	aude
alexandra	alexandra
caméra	fotoaparát
caméra	foťák
caméra	kamera
caméra	kameru
assiste	asistence
assiste	asistencí
andreas	andreas
régulier	pravidelně
régulier	pravidelné
régulier	pravidelná
régulier	pravidelný
contiennent	obsahovat
contiennent	obsahují
mix	mix
grandeur	vznešenosti
sound	zvuk
immigration	imigrační
immigration	přistěhovalectví
immigration	imigrace
werner	werner
airlines	aerolinky
airlines	airlines
pollution	znečištění
garcia	garcia
fayard	fayard
marocain	marocké
accessibles	přístupné
accessibles	přístupná
accessibles	dostupné
accessibles	přístupný
attribuée	přidělené
hôte	moderátor
hôte	hostitel
hôte	hostitele
hôte	hostitelský
revers	nezdar
sergio	sergio
calme	tiše
calme	ticho
organe	tělo
organe	orgánu
organe	orgán
signification	myšleno
signification	význam
signification	smysl
signification	význam
todd	todd
duel	souboj
duel	duel
panama	panamě
poétique	poetické
enregistrements	záznamy
enregistrements	rekordy
enregistrements	desky
enregistrements	records
enregistrements	nahrávky
enregistrements	registrace
épaisseur	tloušťka
épaisseur	tloušťky
globale	celkově
globale	celková
globale	celkové
hunter	hunter
hunter	lovec
heureux	šťastný
heureux	radost
heureux	šťastná
heureux	happy
alaska	aljaška
alaska	aljašku
perdues	ztracený
perdues	ztraceno
perdues	ztratil
perdues	ztraceni
perdues	ztracen
perdues	ztracená
bébé	baby
bébé	zlato
bébé	dítě
bébé	miláček
bébé	zlato
bébé	kotě
entré	zadali
entré	zadané
entré	vstoupil
entré	vstoupila
moments	moments
moments	momenty
moments	okamžiky
moments	chvíle
illustrateur	ilustrátor
dépendant	závislé
dépendant	závislý
dépendant	závislá
dépendant	závislé
dépendant	závislí
perse	perské
perse	persie
diesel	diesel
diesel	nafta
phoenix	fénix
phoenix	phoenixu
phoenix	phoenix
valley	údolí
lópez	lópez
lópez	lopez
erik	eriku
erik	erik
comprennent	zahrnovat
comprennent	zahrnout
délai	zpoždění
délai	zdržení
délai	prodlení
délai	lhůty
délai	lhůta
délai	termín
délai	vypršení
délai	timeout
magic	magie
magic	magic
magic	čáry
magic	kouzlo
magic	kouzelné
solidarité	solidaritu
solidarité	solidarity
solidarité	solidarita
peugeot	peugeot
piémont	piedmont
chapeau	klobouky
chapeau	čepice
chapeau	klobouček
chapeau	čepice
chapeau	klobouk
chapeau	chapeau
vénus	venuši
vénus	venuše
régiments	pluky
portait	nosili
portait	nosila
portait	nosil
comptant	hotovosti
comptant	hotovost
comptant	cash
comptant	hotově
ted	ted
uniforme	uniformy
uniforme	dresy
uniforme	uniforma
uniforme	uniformu
uniforme	uniformy
serment	přísahu
serment	přísahou
serment	přísaha
libéraux	liberálů
libéraux	liberálové
libéraux	liberální
éliminé	odstraněno
disciplines	obory
disciplines	disciplíny
portugaise	portugalské
portugaise	portugalská
edition	edice
edition	vydání
supérieurs	nadřízený
supérieurs	nadřízené
supérieurs	nadřízení
scandale	skandální
scandale	skandál
scandale	skandály
débarquement	přístaviště
débarquement	přistání
festivals	festivaly
jésuites	jezuité
jésuites	jezuita
wta	wta
échoue	selže
sebastian	sebastian
sebastian	sebastiana
ducs	dukes
ducs	ducs
alphabétique	abecední
juliette	juliette
juliette	julie
juliette	juliet
attribution	příděl
attribution	přidělení
attribution	přidělování
attribution	přiřazení
harmattan	harmattan
protestants	protestanti
protestants	protestantské
arrestation	zatknout
arrestation	zatčení
cristal	crystal
cristal	křišťálové
cristal	krystal
cristal	cristal
combinaison	kombinaci
combinaison	kombinace
combinaison	combo
taxe	daně
taxe	daň
taxe	daňové
radar	radar
jouée	hrála
jouée	hrál
jouée	hráli
malaisie	malajsie
nominations	jmenování
nominations	schůzky
nominations	nominace
terminée	ukončena
terminée	ukončeno
terminée	ukončen
terminée	dokončeno
terminée	ukončeno
terminée	dokončené
terminée	dokončen
terminée	dokončena
terminée	dokončeno
terminée	dokončené
terminée	skončil
terminée	hotovo
insurrection	povstání
insurrection	povstání
insurrection	povstání
repas	stravování
repas	strava
repas	jídla
repas	moučka
repas	jídlo
éthique	etické
éthique	etický
éthique	etiku
éthique	etika
éthique	etický
hesse	hesensko
hesse	hesse
bâti	postavena
bâti	postavil
bâti	postavená
bâti	postaven
bâti	postavené
bâti	postaveno
halle	halle
luxe	luxusní
luxe	deluxe
luxe	luxus
luxe	luxusní
estimée	odhad
estimée	odhadované
estimée	odhadovaná
maîtresse	milenka
maîtresse	paní
lorenzo	lorenzo
grenade	grenada
grenade	granada
grenade	granát
rob	rob
rob	robe
casablanca	casablance
dennis	dennis
dennis	denis
mail	poštu
mail	mail
mail	pošta
mail	poštou
qualifier	oprávněných
qualifier	kvalifikace
qualifier	kvalifikovaný
mobilier	nábytek
compositeurs	skladatelů
artisans	řemeslníci
artisans	řemeslníky
cat	cat
cat	kocka
cat	kočka
cat	kocour
bourges	bourges
témoigne	svědčí
témoigne	dosvědčit
témoigne	svědčit
strictement	přísně
strictement	striktně
tâches	úkoly
tâches	úlohy
tâches	úkolů
impératrice	císařovna
soccer	fotbal
ressort	jarní
ressort	jaro
gère	spravuje
marquer	bodování
marquer	označit
marquer	značka
marquer	mark
marquer	skóre
chartres	chartres
décoré	vyznamenaný
humides	vlhká
humides	vlhké
humides	vlhký
humides	vlhko
humides	vlhká
humides	vlhké
humides	vlhko
humides	vlhký
humides	mokrý
humides	mokro
humides	vlhký
humides	mokré
humides	mokrá
léo	lea
léo	leo
hof	hof
condé	conde
condé	condé
contraintes	omezení
détective	detektiv
cohen	cohen
conçue	navrženo
conçue	navržený
conçue	konstruované
conçue	navrhl
conçue	navržené
sarkozy	sarkozy
sarkozy	sarkozyho
pole	tyč
pole	pól
pole	polák
pole	sloup
pole	pólu
wagner	wagner
mondes	světů
mondes	světy
wurtemberg	württembersko
truc	věc
truc	vec
salomon	salomon
salomon	solomon
barbe	vousy
allié	spojenecké
allié	legované
allié	spojence
allié	ally
allié	spojenec
prouver	prokázání
prouver	dokazování
prouver	dokázat
prouver	prokázat
prouver	dokažte
prouver	dokázat
dette	dluhy
dette	dluh
dette	zadlužení
dream	snít
dream	sen
dream	dream
moyennes	průměrný
moyennes	průměrné
moyennes	průměrná
moyennes	průměr
moyennes	středně
moyennes	střední
moyennes	médium
moyennes	průměry
meurthe	meurthe
bibliothèques	knihovny
cru	syrové
cru	raw
cru	surový
cru	surové
cru	cru
dessert	dezert
dessert	dezerty
dessert	dezerty
dessert	zákusky
blake	blake
nationaliste	nacionalistické
nationaliste	nacionalistické
peuplée	obydlených
expert	odborník
expert	odborná
expert	znalec
expert	expert
normand	normand
normand	norman
attache	atašé
lourde	těžká
lourde	těžké
lourde	těžký
holmes	holmes
holmes	holmese
renard	renard
renard	fox
renard	liška
esclavage	otroctví
esclavage	zotročení
esclavage	otroctví
video	video
magnétique	magnetický
magnétique	magnetické
magnétique	magnetická
mississippi	mississippi
collègues	kolegy
collègues	kolegové
collègues	kolegů
collègues	spolupracovníky
collègues	kolegy
collègues	spolupracovníci
collègues	kolegové
ille	ille
attire	přitahuje
attire	láká
attire	přitahují
attire	přilákat
attire	přitáhnout
graines	osiva
graines	semínka
graines	semena
graines	osivo
graines	osiva
graines	semena
graines	semeno
graines	osivo
rébellion	vzpoura
rébellion	povstání
républicaine	republikáni
républicaine	republikán
républicaine	republikánské
rtl	rtl
nova	novy
nova	nova
isolées	izolované
isolées	izolovaný
isolées	izolované
isolées	ojedinělé
isolées	izolovaný
percussions	bicí
fixé	stanovena
fixé	pevná
fixé	pevné
fixé	fixní
tueur	zabiják
tueur	vrah
envoyés	poslové
envoyés	vyslanci
envoyés	odesláno
envoyés	poslal
envoyés	posláno
galeries	galerie
galeries	galerie
galeries	fotogalerie
galeries	galerii
apparente	zjevná
apparente	zjevné
apparente	zřejmé
apparente	zřejmá
évident	zřejmý
évident	zjevné
évident	zřejmá
évident	zřejmé
évident	evidentní
coûts	nákladů
coûts	náklady
coûts	nákladů
coûts	cena
coûts	náklady
auxerre	auxerre
munitions	střeliva
munitions	munici
munitions	munice
munitions	střelivo
munitions	munici
munitions	munice
munitions	střelivo
munitions	munice
divine	božské
divine	božská
divine	božský
warren	warrena
warren	warren
observe	pozorovat
observe	podotýká
bouddhisme	buddhismus
bouddhisme	buddhistické
fraction	zlomek
fraction	frakce
présentés	předložené
présentés	předkládané
présentés	předložila
aidé	pomohli
aidé	pomáhal
aidé	pomohly
aidé	pomohl
aidé	pomohla
concepts	pojmy
concepts	koncepce
concepts	koncepty
harmonie	harmonie
harmonie	soulad
harmonie	harmony
harmonie	harmonii
révélé	odhaleno
révélé	prozradil
révélé	odhalen
révélé	odhalil
révélé	odhalena
parlementaires	poslanci
renseignements	informace
renseignements	informování
collins	collinsová
collins	collins
blocs	bloků
blocs	bloky
acheté	koupil
acheté	koupil
acheté	koupila
acheté	koupili
bolivie	bolivijské
bolivie	bolívie
bolivie	bolívie
coupé	řez
coupé	střih
coupé	coupé
coupé	kupé
coupé	coupe
#aaa	#aaa
législation	legislativa
immeubles	budov
immeubles	budovy
immeubles	stavby
localement	místně
localement	lokálně
cerf	cerf
cerf	jelen
cerf	jelení
cerf	jelen
cerf	jelena
courtes	krátké
courtes	krátká
courtes	krátký
révolutionnaires	revoluční
révolutionnaires	revolucionáři
proportion	podíl
palatinat	falcko
noces	noces
noces	svatba
noces	svatbu
noces	svatební
noces	svatby
poméranie	pomořansku
sylvie	sylvia
sylvie	sylvie
sylvie	davide
sylvie	david
sylvie	sylvie
sylvie	zuzana
sylvie	susan
posthume	posmrtné
wolfgang	wolfgang
reçoivent	obdržet
reçoivent	přijímat
bal	bal
bal	ples
câble	kabel
câble	kabely
câble	kabelová
câble	kabelové
mers	moře
lost	ztracený
lost	ztraceno
lost	ztratil
lost	ztraceni
lost	ztracen
lost	ztracená
johan	johan
cbs	cbs
reconstruit	rekonstruované
reconstruit	přestavěl
canaux	kanály
canaux	kanálů
canaux	kanály
figaro	figaro
exercer	cvičit
brièvement	stručně
brièvement	krátce
implantation	implantaci
irlandaise	irský
irlandaise	ir
irlandaise	irské
irlandaise	irská
boucle	spony
boucle	smyčka
boucle	smyčky
produisent	produkovat
escadre	letka
escadre	letky
escadre	wing
escadre	křídlo
slovénie	slovinsko
correctement	řádně
piliers	pilíře
piliers	pilířů
piliers	pilíře
piliers	sloup
piliers	pilíř
coordination	koordinační
coordination	koordinace
coordination	koordinaci
coordination	koordinační
coordination	koordinace
talents	talenty
talents	talent
talents	nadání
talents	talentu
talents	talent
talents	nadání
diplomatique	diplomatický
diplomatique	diplomatickou
diplomatique	diplomatické
diplomatique	diplomatická
doux	doux
doux	sladký
doux	sladká
doux	sladké
doux	sweet
doux	jemný
doux	mírné
doux	mírná
doux	mírný
doux	měkký
doux	měkká
doux	jemné
doux	měkké
pères	otců
pères	otcové
pères	pères
pères	otcové
capables	schopen
capables	schopná
capables	schopný
capables	schopného
capables	schopné
partagé	sdílený
partagé	sdílené
romaines	římské
romaines	roman
romaines	římská
romaines	romane
romaines	říman
achevé	dokončeno
achevé	ukončeno
achevé	dokončené
achevé	dokončen
achevé	dokončena
joint	kloub
joint	společné
joint	joint
joint	těsnění
vieil	vieil
syndicats	odbory
immédiate	okamžité
immédiate	bezprostřední
immédiate	okamžitá
immédiate	okamžitý
nigeria	nigérie
lou	lou
gaulois	gal
gaulois	galská
gaulois	galové
émilie	emilie
émilie	emily
convaincu	přesvědčen
convaincu	přesvědčil
nacional	nacional
malades	nemocná
malades	nemocné
malades	nemocný
leonard	leonarda
leonard	leonard
concession	koncese
hainaut	hainaut
inspirée	inspirovala
inspirée	inspiroval
dérive	drift
eurovision	eurovize
égyptien	egyptský
égyptien	egyptské
égyptien	egyptská
naturaliste	přírodovědec
tort	špatně
tort	nesprávné
juges	rozhodčí
juges	porotci
juges	soudců
juges	soudci
hms	hms
avantages	výhody
avantages	přednosti
avantages	přínosy
avantages	přínos
avantages	výhody
avantages	dávky
prévention	prevenci
prévention	prevence
keith	keith
dommages	poškození
dommages	škody
dommages	odškodné
dommages	škody
prononce	vyslovit
eglise	kostela
eglise	kostel
eglise	církev
organique	bio
organique	organický
organique	organická
organique	organické
organique	ekologické
impôt	daně
impôt	daň
impôt	daňové
impôt	daní
impôt	daně
vengeance	odplata
vengeance	pomsta
vengeance	pomstu
vengeance	pomsta
vengeance	odplata
bombardement	ostřelování
bombardement	bombardování
bombardement	bombardování
guadeloupe	guadeloupe
violoncelle	čelo
violoncelle	cello
impliqué	zapojen
impliqué	zapojena
ancêtre	předek
memorial	pomník
memorial	památník
memorial	memorial
memorial	pamětní
sfondo	sfondo
stage	stáž
stage	stáže
stage	praxe
bros	bros
demain	zítřek
demain	zítra
nasa	nasa
mensuel	měsíční
mensuel	měsíčně
équipée	namontováno
équipée	vybaveni
équipée	vybavené
équipée	vybavená
équipée	vybaveno
dakar	dakaru
souveraineté	suverenity
souveraineté	svrchovanosti
souveraineté	suverenitu
souveraineté	svrchovanost
profond	hluboká
profond	hluboké
profond	hluboko
profond	hluboký
spécialisés	specializované
spécialisés	specializované
continuité	kontinuity
continuité	kontinuitu
systématiquement	systematicky
systématiquement	systematické
systématiquement	systematicky
attend	čeká
intensité	intenzita
intensité	intenzitu
intensité	intenzity
protéines	protein
protéines	proteiny
protéines	bílkoviny
protéines	bílkovin
protéines	proteinů
protéines	bílkovin
protéines	proteiny
protéines	bílkoviny
récent	nedávno
récent	nedávný
récent	nedávné
récent	nedávná
accompagnée	doprovázen
hollandais	nizozemský
hollandais	dutch
attentats	útoky
attentats	bombardování
intéressé	zájem
intéressé	zajímá
intéressé	zajem
décrire	popište
décrire	popsat
sauveur	spasitel
sauveur	zachránce
sauveur	zachránce
sauveur	spasitel
sauveur	zachránce
sauveur	spasitele
éclairage	osvětlení
éclairage	osvětlení
betty	betty
haye	haagu
rochefort	rochefort
assurée	pojištěný
assurée	zajištěno
assurée	ujistil
vernaculaire	dialekt
martinique	martinik
esp	pil
esp	esp
mathématique	matematické
mathématique	matematický
mathématique	matematiku
mathématique	matematiky
mathématique	matice
mathématique	matematika
mathématique	matematiku
mathématique	matematiky
mathématique	matematika
ita	ita
baccalauréat	mládenec
gonzález	gonzález
gonzález	gonzalez
wikidata	wikidata
dialogues	dialogu
dialogues	dialogy
dialogues	dialog
dialogues	dialogy
appliquée	uplatňována
passes	míjí
passes	projde
atlético	atlético
mesurer	měřicí
mesurer	měření
mesurer	měření
mesurer	opatření
mesurer	změřit
joachim	joachim
sèvres	sèvres
gallois	welsh
jupiter	jupiter
protestante	protestantské
wwe	wwe
grace	grace
grace	milost
précipitations	srážek
précipitations	srážky
précipitations	srážek
précipitations	srážení
précipitations	srážky
marianne	mariano
marianne	mariana
marianne	marian
marianne	marianne
bohême	bohemia
bohême	čechy
bohême	čech
sidi	sidi
paire	dvojice
console	konzole
santos	santos
tombes	hroby
tombes	hrobky
tombes	hrobky
tombes	hrob
tombes	hrobku
tombes	hrobka
adolf	adolf
récents	nedávný
récents	nedávné
récents	nedávná
réservoir	tanku
réservoir	tank
réservoir	nádrž
réservoir	přehrada
réservoir	nádrž
approfondir	prohloubení
approfondir	prohloubit
approfondir	prohloubení
linda	linda
linda	lindu
linda	lindo
élevés	zvýšená
élevés	zvýšený
élevés	zvýšené
vocabulaire	slovník
missile	střela
missile	raketa
utiles	užitečná
utiles	užitečný
utiles	užitečné
utiles	užitečná
utiles	užitečný
utiles	užitečné
glasgow	glasgow
écoute	poslouchat
écoute	poslech
harrison	harrisona
harrison	harrison
wallonie	valonsko
représentés	představoval
anneaux	kroužky
anneaux	prsteny
anneaux	kruhy
anneaux	prstýnky
cyr	cyr
sentier	stopu
sentier	stezka
sentier	stopa
sentier	stezka
sentier	cesta
richelieu	richelieu
boxeur	boxer
boxeur	boxera
boxeur	bojovnice
boxeur	stíhačka
boxeur	bojovník
boxeur	zápasník
parisiens	pařížané
parisiens	parisiens
parisiens	pařížské
qualifiée	oprávněných
qualifiée	kvalifikace
qualifiée	kvalifikovaný
qualifiée	kvalifikovaný
qualifiée	kvalifikovaní
qualifiée	kvalifikovaných
qualifiée	kvalifikované
qualifiée	kvalifikovaná
fifa	fifa
finance	financování
finance	finance
finance	financovat
finance	finance
vedette	hvězda
vedette	star
vedette	doporučené
vedette	doporučeno
critère	kritérium
critère	kritéria
critère	kritérií
inédit	nezveřejněné
inédit	nepublikované
stanislas	stanislas
tensions	napětí
lucie	lucie
lucie	lucy
lucie	lucie
lucie	lucia
rica	rica
casse	přestávky
casse	rozbití
casse	loupež
bête	šelmy
bête	zvíře
bête	bestie
bête	bête
impôts	daně
impôts	daň
impôts	daňové
impôts	daní
impôts	daně
brigitte	bridget
brigitte	brigitte
fresques	fresky
pattes	nohy
pattes	nožičky
pattes	nožky
pattes	tlapky
économiste	ekonom
adapter	přizpůsobení
adapter	přizpůsobit
disparaître	mizející
disparaître	mizí
disparaître	zmizení
disparaître	zmizet
disparaître	zmizí
verbe	sloveso
bull	býk
bull	bull
reconstruite	rekonstruované
reconstruite	přestavěl
adopter	adoptovat
adopter	přijmout
craig	craig
évalué	posuzované
évalué	hodnocen
évalué	jmenovité
évalué	jmenovitý
évalué	hodnoceny
évalué	hodnocen
saintes	saintes
saintes	svatí
saintes	svatých
saintes	svaté
saintes	svatý
saintes	svaté
saintes	svatá
rond	kolo
rond	kulaté
rond	kulatá
rond	kulatý
rond	rond
bnf	bnf
rudolf	rudolf
pokémon	pokémon
pokémon	pokémonů
linux	linux
commandée	zadal
commandée	zadané
commandée	velel
commandée	nařídil
fabricant	výrobci
fabricant	výrobce
syntaxe	syntaxe
celtique	keltské
singapour	singapuru
singapour	singapur
michelle	michelle
joie	joy
joie	radosti
joie	radost
costume	kostýmy
costume	kostým
costume	oblek
puissants	mocná
puissants	mocný
puissants	mocní
hymne	hymna
hymne	hymnu
douleur	bolesti
douleur	bolest
restauré	obnovené
restauré	obnoven
restauré	obnovena
gay	teplá
gay	gayové
gay	gay
gay	teplý
mannequin	figurína
mannequin	model
mannequin	vzor
mannequin	modelka
mannequin	figurína
mannequin	modelování
mannequin	modeling
intense	intenzivní
intense	intenzivní
rendus	poskytnuté
rendus	rendus
appartiennent	patřit
vegas	vegas
chimiste	chemik
flash	blesk
flash	flash
flash	záblesk
pacte	pakt
pacte	paktu
pacte	pakt
pacte	kompaktní
analyses	analytics
analyses	analýz
analyses	analýzy
analyses	rozbor
analyses	analýza
analyses	analýzy
foire	fér
foire	spravedlivý
foire	férové
foire	spravedlivé
foire	veletrh
excellence	excelence
excellence	excelence
plateforme	plošina
plateforme	nástupiště
plateforme	platforma
plateforme	platformy
plateforme	platformu
stock	akcie
stock	skladem
fritz	fritz
corruption	úplatkářství
corruption	úplatky
corruption	korupce
corruption	korupci
dépenses	utrácení
dépenses	výdaje
dépenses	výdaje
dépenses	výdaj
dépenses	výdaje
dépenses	náklady
dépenses	výdaje
découpage	řezání
vampire	upíří
vampire	upír
vampire	upíří
vampire	upír
consultation	poradenství
consultation	konzultace
consultation	konzultaci
consultation	konzultace
consultation	konzultaci
comtés	okresů
comtés	kraje
platine	platiny
jeter	odhodit
jeter	zahodit
jeter	hoď
jeter	hod
jeter	hodit
jeter	jeter
perrin	perrin
remplacés	nahrazen
remplacés	nahrazeno
remplacés	nahrazena
pin	pine
pin	borovice
pin	špendlík
pin	brož
pin	pin
angelo	angelo
moreau	moreau
augmenté	zvýšený
augmenté	zvýšená
augmenté	zvýšení
augmenté	zvýšené
haïti	haiti
pédagogique	pedagogické
nécessairement	nutně
nécessairement	nezbytně
cécile	cecile
