mraz	ฟรอสท์
reagirati	ปฏิกิริยา
dokumentacija	เอกสาร
jiang	เจียง
dobrobit	สวัสดิการ
dobrobit	สวัสดิภาพ
judo	ยูโด
investicije	ลงทุน
marš	มีนาคม
marš	มาร์ช
marš	march
raspoloženje	อารมณ์
crow	อีกา
saga	saga
kasni	ดึก
kasni	ช้า
kasni	สาย
miša	เมาส์
stabilna	เสถียรภาพ
stabilna	มั่นคง
krevet	นอน
krevet	ที่นอน
krevet	เตียง
teta	ป้า
teta	ป้า
teta	ป้า
teta	น้า
hitno	ด่วน
hitno	ฉุกเฉิน
hitno	ภาวะฉุกเฉิน
bolestan	ป่วย
ograde	รั้ว
manuela	manuela
pseudonim	นามแฝง
pseudonim	นามแฝง
optuženi	จำเลย
korake	ฝีเท้า
geographic	ภูมิศาสตร์
virtualni	เสมือน
hiern	hiern
taktike	กลยุทธ์
taktike	ยุทธวิธี
cichlidae	cichlidae
kovanica	เหรียญ
kovanica	เหรียญ
kovanica	coin
kovanica	คลัง
komentarima	หมายเหตุ
komentarima	คอมเมนท์
specijalno	พิเศษ
spider	แมงมุม
platno	canvas
platno	ผ้าใบ
skrivena	ซ่อน
zorana	zoran
muslimane	มุสลิม
sjednice	เซสชั่น
sjednice	เซสชัน
ski	สกี
ideološki	ลัทธิ
rice	ข้าว
krajnja	ultimate
enciklopediju	สารานุกรม
rubra	rubra
prizori	ฉาก
zamjenice	สรรพนาม
zamjenice	สรรพนาม
kita	วาฬ
kita	ปลาวาฬ
kita	คิคิ
kita	คิ
kita	คิท
kita	คิต
yale	เยล
yale	yale
sub	ซับ
sub	ย่อย
sub	sub
ind	ind
corvus	corvus
plesačica	dancer
skupi	แพงๆ
skupi	แพง
sand	ทราย
zaboravio	ลืม
opisi	บรรยาย
opisi	อธิบาย
redovi	แถว
teen	teen
teen	ทีน
oda	ode
luda	บ้า
luda	เพี้ยน
acipenser	acipenser
trajna	ถาวร
trajna	ดัด
zatvorenici	นักโทษ
zatvorenici	เชลย
zatvorenici	cons
pamet	ประหยัด
ljubi	จุ๊บ
ljubi	จูบ
prihodi	รายรับ
obrazac	ฟอร์ม
zatraži	ขอ
zatraži	คำขอ
zatraži	ร้องขอ
teheranu	เตหะราน
bet	เบ็ธ
bet	เบ็ท
bet	เบ็ต
bet	เบธ
bet	พนัน
self	ตนเอง
kabina	กระท่อม
kabina	โดยสาร
pallidus	pallidus
eksperiment	ทดลอง
gaulle	โกล
rene	เรเน่
čeljust	กราม
čeljust	ราม
roem	roem
zoru	รุ่งอรุณ
merriam	merriam
plastične	พลาสติก
dubia	dubia
leptira	ผีเสื้อ
danijela	daniela
potencijalni	ศักยภาพ
protein	โปรตีน
kućište	ปลอก
čarolija	สะกด
čarolija	คาถา
čarolija	เวทมนตร์
čarolija	มนตร์
tha	ท่า
györgy	györgy
tonga	ตองกา
parade	แห่
parade	พาเหรด
yunnanensis	yunnanensis
rudnici	เหมือง
rotterdam	rotterdam
radosti	joy
radosti	จอย
vlažna	ชื้น
vlažna	เปียก
arheologiju	โบราณคดี
firered	firered
zaboravi	ลืม
standardi	มาตรฐาน
merkur	ปรอท
karavan	คาราวาน
grijehe	บาป
ego	อัตตา
dima	ควัน
derek	เดเร็ก
derek	เดเรก
gomila	พวง
laboratorija	แล็ป
laboratorija	แล็ป
laboratorija	แล็บ
laboratorija	แลป
medvjedi	หมี
iluzija	ภาพลวงตา
vilu	คฤหาสน์
uglu	มุม
leafgreen	leafgreen
vlakova	รถไฟ
battista	battista
holden	โฮลเด้น
dizanje	ยก
zadrži	เก็บ
zvučnika	ลำโพง
iskoristi	ใช้
fia	fia
nan	แนน
nan	น่าน
potomstvo	ทายาท
tomas	โธมัส
čileanski	ชิลี
proročanstvo	พยากรณ์
delti	เดลต้า
delti	delta
arene	สังเวียน
monopol	เศรษฐี
potražnja	อุปสงค์
potražnja	อุปทาน
gagnep	gagnep
pepela	แอช
pascal	pascal
prsima	อก
prsima	หน้าอก
prsima	หีบ
bei	ปี่
kronična	เรื้อรัง
križari	crusaders
predloženi	แนะ
predloženi	แนะนำ
uslugu	เอาใจ
uslugu	บุญ
uslugu	โปรดปราน
bambusa	bamboo
bambusa	ไผ่
bambusa	ไม้ไผ่
plaza	พลาซ่า
tate	เทท
tate	เทต
tate	เท็ท
tate	เท็ต
hrabro	กล้า
gao	เกา
mst	mst
holding	ถือ
holding	อุ้ม
blage	mild
blage	อ่อน
nemiri	จลาจล
nemiri	จลาจล
ronaldo	ronaldo
iskustvima	ประสบการณ์
kabinet	ตู้
lineata	lineata
poslovno	ธุรกิจ
poslovno	กิจการ
gotov	จบ
honda	honda
honda	ฮอนด้า
resursi	ทรัพยากร
masne	อ้วน
annandale	annandale
tank	แท็งค์
tank	ถัง
farme	farm
farme	ไร่
farme	ฟาร์ม
farme	ฟาร์ม
akutna	เฉียบพลัน
nišu	niche
android	android
beyer	beyer
ausf	ausf
glagol	กริยา
propisi	ระเบียบ
kristal	ใส
marijo	แมรี่
marijo	แมรี
jun	จุน
pictus	pictus
epa	epa
dijeljenje	แชร์
rufescens	rufescens
lave	ลาวา
hart	ฮาร์ท
hart	ฮาร์ต
kompletan	สมบูรณ์
kompletan	ครบ
brašna	แป้ง
tag	แท็ก
ras	ras
kćerke	ลูกสาว
kćerke	ธิดา
mdt	mdt
automatsko	อัตโนมัติ
petlje	ลูป
petlje	ลูป
petlje	วน
kingston	คิงสตัน
miho	โฮะ
grudi	อก
grudi	หน้าอก
grudi	หีบ
grudi	นม
grudi	หน้าอก
grudi	ทรวงอก
grudi	หน้าอก
grudi	อก
shen	เชิน
shen	สิม
slavan	ดัง
hank	แฮง
hank	แฮงค์
vhs	vhs
množina	พหูพจน์
množina	พจน์
logično	ตรรก
taktika	กลยุทธ์
taktika	ยุทธวิธี
fasada	ซุ้ม
biološka	ชีวภาพ
aria	เรีย
saab	ซ้าบ
saab	ซ้าน
saab	ซ้า
saab	saab
platformu	แพลตฟอร์ม
zainteresirani	สนใจ
dizajnirana	ออกแบบ
poljubac	จูบ
poljubac	kiss
dugme	กระดุม
dugme	ปุ่ม
zajedništvo	สาวก
zajedništvo	สัมพันธภาพ
okupljeni	ประกอบ
uključeno	รวม
fragilis	fragilis
okvire	กรอบ
okvire	เฟรม
ves	เวสส
ves	เวส
nejasno	คลุมเครือ
cementa	ปูน
šešir	หมวก
espn	espn
kompletna	สมบูรณ์
kompletna	ครบ
longirostris	longirostris
centro	centro
belize	เบลิซ
zarobljenici	นักโทษ
zarobljenici	เชลย
zero	ศูนย์
kirurški	ผ่าตัด
vidra	นาก
pavo	pavo
crtani	การ์ตูน
crtani	การ์ตูน
multi	หลาย
multi	มัลติ
stabilan	เสถียรภาพ
stabilan	มั่นคง
univerzalni	universal
univerzalni	สากล
colonia	colonia
bika	กระทิง
predvidjeti	ทำนาย
okrugli	กลม
okrugli	กลมๆ
okrugli	รอบ
ogledalo	กระจกเงา
ogledalo	กระจก
smijeh	หัวเราะ
smijeh	หัวเราะ
profit	กำไร
profit	กำไร
core	หลัก
core	แกน
lupus	ลูปัส
jiménez	jiménez
hrsg	hrsg
koze	แพะ
kirurg	ศัลยแพทย์
stadio	stadio
ids	id
azijske	เอเชีย
azijske	บอล
algi	สาหร่าย
ritual	พิธีกรรม
villarreal	villarreal
buka	เสียง
željama	ประสงค์
željama	ปรารถนา
hoc	hoc
istorija	ประวัติศาสตร์
istorija	ประวัติการ
istorija	ประวัติ
seljak	ชาวไร่
seljak	ชาวนา
seljak	เกษตรกร
seljak	ชาวไร่
seljak	ชาวนา
lavova	สิงโต
senatu	วุฒิสภา
hernández	hernández
unutrašnja	ภายใน
kape	หมวก
kape	caps
litice	หน้าผา
duméril	duméril
pulchra	pulchra
klanac	หุบเขา
kutna	เชิงมุม
wii	วี
wii	wii
bure	อวย
bure	ถัง
farmu	farm
farmu	ไร่
farmu	ฟาร์ม
nedavne	ล่าสุด
hood	hood
brevirostris	brevirostris
kuk	hip
kuk	ฮิป
kuk	ฮิบ
kuk	สะโพก
slatki	หวานๆ
slatki	หวาน
grom	ฟ้าร้อง
grom	ฟ้าผ่า
monaco	โมนาโก
amiga	amiga
jona	จอน
jona	jon
tempo	จังหวะ
okrugla	กลม
okrugla	กลมๆ
okrugla	รอบ
theobald	theobald
css	css
klanova	เผ่า
udarci	พัด
udarci	หมัด
montanus	montanus
podrum	ใต้ถุน
wai	หวาย
baseball	เบสบอล
miš	เมาส์
borneensis	borneensis
griseus	griseus
osjetljiva	บอบบาง
kršćanin	คริสเตียน
deutsch	deutsch
smanjene	ลด
rezervi	สำรอง
simpatije	เห็นใจ
artist	ศิลปิน
artist	จิตรกร
lateralis	lateralis
slama	ฟาง
slama	หลอด
higgins	higgins
rum	รัม
pope	โป๊ป
zvezde	ดวงดาว
zvezde	ดารา
zvezde	ดาว
omiljeni	ขวัญใจ
omiljeni	ชอบ
sveci	นักบุญ
pokrivena	ครอบคลุม
pokrivena	ปกคลุม
maldonado	maldonado
budistički	พระพุทธ
budistički	พุทธ
neutralni	ฉนวน
sala	ศาลา
sala	แซล
paola	เปาโล
paola	paola
baron	บารอน
žaba	คางคก
žaba	กบ
utorak	อังคาร
buda	พระพุทธเจ้า
karibima	แคริบเบียน
naslijediti	สืบทอด
navike	นิสัย
navike	นิสัย
masline	มะกอก
masline	มะกอก
vienna	เวียนนา
usporava	ชลอ
dodge	dodge
funta	ปอนด์
mat	matte
mat	พรม
maska	หน้ากาก
laosu	ลาว
gmt	gmt
mikroprocesor	microprocessor
kairu	ไคโร
burns	เบิร์น
citroën	citroën
blokirani	บล็อก
blokirani	บล็อค
poljak	เสา
nalog	หมาย
spremanje	ออม
subota	เสาร์
scrophulariaceae	scrophulariaceae
šipke	แท่ง
planirani	วางแผน
trajan	ทนทาน
nacionalista	ชาตินิยม
rubin	ทับทิม
kameru	กล้อง
sitni	จิ๋ว
pot	กระถาง
pot	หม้อ
pot	กัญชา
ponor	เหว
krause	krause
qing	ชิง
tretira	ปฏิบัติ
oduševljen	กระตือรือร้น
jill	จิล
spavanje	นอน
spavanje	หลับ
spavanje	นอน
hipoteze	hypotheses
osjeti	รู้สึก
radim	ทำงาน
testovi	ทดสอบ
prazna	ว่างๆ
prazna	ว่าง
letenje	ฟลาย
letenje	บิน
continental	ทวีป
parkovima	สวน
libreto	libretto
rca	rca
večera	ดินเนอร์
australopithecus	australopithecus
autobiografija	อัตชีวประวัติ
interwiki	interwiki
izolirana	ฉนวน
izolirana	แยก
temeljno	ละเอียด
dodaj	เพิ่ม
logički	ตรรก
logički	ตรรก
logički	ตรรกศาสตร์
logički	เหตุผล
nijemac	เยอรมัน
facebooku	facebook
satove	นาฬิกา
škotsku	สกอตแลนด์
clube	clube
splendens	splendens
suzy	susie
zagradama	วงเล็บ
plastika	พลาสติก
plastika	พลาสติก
realno	สมจริง
raspravljati	เถียง
kava	กาแฟ
pile	เจี๊ยบ
pile	ไก่
povraćanje	อาเจียน
povraćanje	อ้วก
povraćanje	อาเจียน
ika	ika
palm	palm
palm	ฝ่ามือ
palm	ปาล์ม
promo	โปรโมชัน
projektili	ขีปนาวุธ
vuna	ฝอย
trijumf	triumph
štrajk	strike
slomio	แตก
slomio	พัง
slomio	หัก
zaposleni	ลูกจ้าง
zaposleni	พนักงาน
tar	tar
napadnut	ทำร้าย
vale	เวลล์
raspoloženja	อารมณ์
raspoloženja	อารมณ์
dostojanstvo	ศักดิ์ศรี
gram	กรัม
redni	ordinal
cliff	หน้าผา
motors	มอเตอร์
hrabri	กล้า
masnih	อ้วน
playmaker	playmaker
hodati	เดิน
smjernica	guideline
habsburgovaca	habsburgs
slijepi	บอด
slijepi	ตาบอด
feniks	ฟีนิกซ์
slon	ช้าง
uspostava	ตำหนัก
uspostava	สถาปนา
pristanak	ยินยอม
satelitski	ดาวเทียม
izravna	ตรง
izravna	โดยตรง
izravna	direct
vježbanje	ฝึก
vježbanje	ซ้อม
vježbanje	ฝึกฝน
specijalizirani	เชี่ยวชาญ
pjege	กระ
ich	ich
sen	เซน
sen	เสน
sen	เซ็น
napredni	ก้าวหน้า
minimalne	minimal
minimalne	น้อย
zvjezdica	ดอกจัน
zvjezdica	ดวงดาว
zvjezdica	ดารา
zvjezdica	ดาว
demonstracija	สาธิต
demonstracija	สาธิต
paralelne	ขนาน
bmp	bmp
sine	ลูก
sine	บุตร
sine	ลูกชาย
čamci	เรือ
materija	สำคัญ
inflacije	เงินเฟ้อ
ying	ying
ying	อิง
praktična	ปฏิบัติ
sue	ซู
sue	sue
pravoslavlje	orthodoxy
papinski	สันตะปาปา
šezdeset	sixty
abba	abba
mer	เมอ
prijava	แอพพลิเคชัน
prijava	ล็อกอิน
gas	แก๊ส
gas	ก๊าซ
gas	น้ำมัน
psihologiju	จิตวิทยา
rem	rem
petrucci	petrucci
nitida	nitida
omiljeno	ขวัญใจ
omiljeno	ชอบ
silovanja	ข่มขืน
slano	เค็ม
munja	ฟ้าผ่า
munja	สายฟ้า
molly	molly
usb	usb
cis	cis
barijere	อุปสรรค
pretpostavio	สันนิษฐาน
opasni	อันตราย
marmoratus	marmoratus
moda	fashion
moda	แฟชั่น
ideal	อุดมคติ
potencijalna	ศักยภาพ
libanonu	เลบานอน
barker	barker
cinerea	cinerea
valentine	วาเลนไทน์
musculus	musculus
marginata	marginata
izvršenje	ประหาร
tragično	สลด
valladolid	valladolid
ukloni	ลบ
krokodila	จระเข้
gane	กานา
gane	กาน
čamac	เรือ
ravnomjerno	สม่ำเสมอ
havajima	ฮาวาย
odbaciti	ละทิ้ง
odbaciti	ทิ้ง
murat	murat
hystrix	hystrix
kapitalizam	ทุนนิยม
seljacima	ชาวนา
tajnica	เลขา
tajnica	รัฐมนตรี
tajnica	เลขาฯ
tajnica	เลขาธิการ
tajnica	เลขานุการ
dinosaur	ไดโนเสาร์
pick	เลือก
agresija	ก้าวร้าว
boginje	อีสุกอีใส
jakovljev	yakovlev
neto	ตาข่าย
neto	net
neto	สุทธิ
neto	เน็ต
neto	ถ้วน
kiš	kish
itunes	itunes
tottenham	tottenham
izvrši	ประหาร
učinkovit	ประสิทธิ์
učinkovit	ประสิทธิผล
obožavatelj	พัดลม
obožavatelj	fan
obožavatelj	แฟนๆ
obožavatelj	แฟน
diploma	ปริญญา
diploma	ประกาศนียบัตร
dijamant	diamond
dijamant	ไดมอนด์
dijamant	เพชร
zatvorenik	นักโทษ
zatvorenik	เชลย
odobren	อนุมัติ
analizira	วิเคราะห์
tamni	เข้ม
tamni	มืด
šala	มุข
šala	มุก
šala	ตลก
šala	อำ
brasil	บราซิล
vanellus	vanellus
sturm	sturm
eds	eds
curcuma	ขมิ้น
benzina	เบนซิน
benzina	น้ำมัน
efikasnost	ประสิทธิภาพ
efikasnost	ประสิทธิ์
saba	สะ
oman	โอมาน
fantasy	จินตนาการ
vrline	คุณธรรม
vrline	คุณธรรม
astronomiju	ดาราศาสตร์
kodovi	รหัส
posvećeno	ทุ่มเท
île	île
orbigny	orbigny
gusta	หนา
gusta	หนาๆ
spasa	ไถ่บาป
bunge	bunge
laž	โกหก
aga	aga
odredba	ชีพ
wiener	ไส้กรอก
plinije	pliny
uska	แคบ
kyle	ไค
kyle	ไคล
kyle	ไคล์
candy	ลูกอม
candy	candy
candy	ขนม
polovina	ครึ่ง
prijelom	แตกหัก
centimetra	เซนติเมตร
uae	uae
nekretnine	คุณสมบัติ
nekretnine	ทรัพย์สิน
nekretnine	ทรัพย์
najava	ประกาศ
argumenti	อาร์กิวเมนต์
károly	károly
obavještajna	ปัญญา
rolfe	rolfe
oštar	ชาร์ป
oštar	คม
oakland	oakland
satova	นาฬิกา
gomile	กอง
libertas	libertas
twitteru	twitter
grlo	คอ
probe	ซ้อม
slikanje	จิตรกรรม
planiran	วางแผน
mehanizmi	กลไก
hodanje	เดิน
eskadrila	ฝูงบิน
köhler	köhler
latino	ละติน
rakova	ปู
rakova	ปู
uspomena	memory
ustavne	รัฐธรรมนูญ
transfermarkt	transfermarkt
pokriven	ครอบคลุม
pokriven	ปกคลุม
neizravno	อ้อม
shu	ชุ
shu	ชู
ovalis	ovalis
hvatanje	จับ
minutu	นาที
uzorci	ตัวอย่าง
suša	แล้ง
plato	ที่ราบสูง
etiopski	เอธิโอเปีย
revolucionarna	ปฏิวัติ
zbogom	อำลา
zbogom	อำลา
zbogom	goodbye
zbogom	ลา
togo	โตโก
tranzistora	transistors
bisera	ไข่มุก
spinosus	spinosus
kristalna	ใส
daleka	ไกล
len	len
len	เลน
zauzet	ยุ่งๆ
zauzet	ยุ่ง
dijamanata	เพชร
hubble	ฮับเบิล
manu	มานู
manu	manu
patke	เป็ด
svjetova	โลก
titana	titan
superman	superman
poker	โป๊กเกอร์
skakač	ไนท์
skakač	อัศวิน
uložio	ลงทุน
irački	อิรัก
silovanje	ข่มขืน
humora	ขัน
rukavice	ถุงมือ
rukavice	ถุงมือ
zamah	แกว่ง
zamah	สวิง
zamah	เหวี่ยง
amonijak	แอมโมเนีย
strix	strix
zarez	จุลภาค
swainson	swainson
maksimum	สูงสุด
cura	สาว
diesel	ดีเซล
neutralna	ฉนวน
vittata	vittata
potpisivanje	เซ็น
mérite	mérite
plesač	dancer
briggs	บริกส์
dal	ดาล
ruralnim	ชนบท
haddad	haddad
slatka	หวานๆ
slatka	หวาน
proba	ซ้อม
proba	ทดสอบ
bone	กระดูก
cogn	cogn
tea	ชา
cho	โชว
cho	โชโช
cho	โช
argumenata	อาร์กิวเมนต์
tuberculata	tuberculata
solarni	สุริยะ
solarni	สุ
debelo	อ้วน
debelo	อ้วนๆ
universidad	universidad
centralno	เซ็นทรัล
tužitelj	โจทก์
tužitelj	โจทย์
tužitelj	โจทก์
tužitelj	อัยการ
thunberg	thunberg
hoteli	โรงแรม
bendova	วง
kreveta	ที่นอน
kreveta	เตียง
putevima	ถนน
odražavaju	ไตร่ตรอง
odražavaju	ใคร่ครวญ
otporan	ดื้อยา
bloom	บลูม
klip	คลิป
klip	clip
računati	จำนวนนับ
računati	นับ
simbolično	สัญลักษณ์
mikro	micro
mikro	ไมโคร
grafit	ไฟต์
iss	iss
sjedio	นั่ง
odabrani	เลือก
plakat	โปสเตอร์
cav	cav
egzilu	เนรเทศ
reticulatus	reticulatus
jaroslav	jaroslav
ogledala	กระจก
tvrdo	แรง
tvrdo	โหม
tvrdo	ลำบาก
tvrdo	หนัก
tvrdo	ฮาร์ด
tvrdo	ยาก
čarobni	ขลัง
čarobni	วิเศษ
kotačima	ล้อ
sophie	sophie
blokovi	บล็อก
zadovoljni	พอใจ
mariana	มาเรียนา
kutiju	box
kutiju	กล่อง
kutiju	ช่อง
tech	เทค
tech	เทคโนโลยี
čokolade	ช็อกโกแลต
parvula	parvula
magija	เวทมนตร์
magija	มนตร์
nike	nike
boce	ขวด
asa	asa
interakcija	กิริยา
interakcija	ปฏิสัมพันธ์
interakcija	ปฏิสัมพันธ์
kairo	ไคโร
žabe	กบ
elektronike	อิเล็กทรอนิกส์
diktatora	เผด็จการ
namirnice	เสบียง
namirnice	ของชำ
paragvaju	ปารากวัย
citata	คำคม
natrij	โซเดียม
maire	maire
virusi	ไวรัส
vishwanath	vishwanath
nsdap	nsdap
vrhove	peaks
žito	ธัญพืช
žito	เมล็ด
sportaši	นักกีฬา
špijun	สปาย
fasade	ซุ้ม
horde	กองพล
asocijacije	สมาคม
asocijacije	สมาคม
ssd	ssd
osjetljivi	งอน
patuljak	แคระ
gal	กอล
konzervativna	อนุรักษนิยม
protesta	ประท้วง
filter	กรอง
tres	tres
wehrmacht	wehrmacht
sportaš	นักกีฬา
sudar	คว่ำ
sudar	ตก
veteran	ทหารผ่านศึก
ser	เซอร์
puma	puma
internazionale	internazionale
moody	หงุดหงิด
kemikalija	เคมีภัณฑ์
kemikalija	เคมี
usmjereno	กำกับ
bibliju	ไบเบิ้ล
bibliju	ไบเบิล
majko	แม่
posuđe	จาน
svijeća	เทียน
svijeća	เทียนไข
financiranja	เงินผ่อน
financiranja	ไฟแนนซ์
financiranja	ทุน
balon	บอลลูน
balon	ลูกโป่ง
kunst	kunst
redaka	แถว
tkanina	เสื้อผ้า
tkanina	ผ้า
tkanina	ผ้า
kôd	รหัส
kôd	โค้ด
littoralis	littoralis
poreze	ภาษี
vilenjaci	เอลฟ์
satriani	satriani
preglednik	เบราว์เซอร์
sova	ฮูก
salisb	salisb
neue	neue
adi	อาทิ
momci	หนุ่มๆ
momci	พวก
portnoy	portnoy
waterhouse	waterhouse
zebra	ม้าลาย
terase	ระเบียง
mape	โฟลเดอร์
mape	maps
mape	แผนที่
biskupe	บิชอป
tara	ธาร
rivers	ลำน้ำ
rivers	แม่น้ำ
dassault	dassault
hridi	หน้าผา
vasilij	vasily
vrpca	โบว์
vrpca	ริบบิ้น
zdrav	สุขภาพ
potisak	ผลัก
spasenje	ไถ่บาป
kupanje	อ่างอาบน้ำ
kupanje	อาบ
kato	kato
espanyol	espanyol
jetra	ตับ
innsbruck	innsbruck
cristatus	cristatus
poštovani	นับถือ
krokodil	จระเข้
palac	ยกนิ้ว
rush	รัช
rush	รัส
obilazak	ทัวร์
grožđe	grape
grožđe	องุ่น
grožđe	องุ่น
legalno	กฎหมาย
seksa	เพศ
seksa	เซ็กซ์
seksa	sex
gigi	gigi
skupove	หล่า
skupove	หลวย
navika	นิสัย
maleziji	มาเลเซีย
napredna	ก้าวหน้า
napredna	ก้าวหน้า
odbojka	วอลเล่ย์
odbojka	วอลเลย์บอล
sedamdeset	seventy
kubanski	คิวบา
propagandu	โฆษณาชวนเชื่อ
meko	นิ่ม
meko	อ่อน
meko	นุ่ม
pacificus	pacificus
ubs	ubs
pokusi	ทดลอง
flickr	flickr
mrlja	คราบ
mrlja	เบลอ
roko	roko
vrlina	คุณธรรม
čelnici	ผู้นำ
riža	ข้าว
doi	ดอย
yahoo	yahoo
stepenice	บันได
kay	เคย์
cijenjeni	มูลค่า
ustavno	รัฐธรรมนูญ
detaljne	ละเอียด
dome	ดอม
dome	dom
erectus	erectus
mongolski	มองโกเลีย
kobe	โกเบ
izgradi	สร้าง
bratić	ญาติ
eros	eros
smart	ฉลาด
moses	โมเสส
marinci	นาวิก
ars	ars
kalcij	แคลเซียม
četvrtina	ไตรมาส
narasla	โต
luo	หลัว
komunicirati	สื่อสาร
procijeniti	ประเมิน
procijeniti	ประเมิน
wiedemann	wiedemann
posvećeni	ทุ่มเท
paralelni	ขนาน
strašno	สยอง
kočnice	เบรก
kočnice	เบรค
kočnice	เบรก
kočnice	เบรค
enzimi	เอนไซม์
daleke	ไกล
pjevajući	ร้อง
schulz	schulz
ponavljanja	ตัวแทน
diaz	diaz
microlepis	microlepis
kompletno	สมบูรณ์
popravio	ตายตัว
popravio	ซ่อมแซม
mos	mos
liječiti	ปฏิบัติ
liječiti	เลี้ยง
lago	lago
težiti	aspire
korijenje	รากฐาน
korijenje	ราก
kontra	เคาน์เตอร์
kontra	counter
alpina	alpina
arija	เรีย
zvijer	อสูร
zvijer	สู
fontane	น้ำพุ
razmatranje	พิจารณา
rječnici	พจนานุกรม
historiografija	historiography
krumpira	potato
brock	บร็อค
sirijski	ซีเรีย
viva	viva
ugodno	อบอุ่น
ugodno	สบาย
ugodno	สะดวก
ugodno	สบาย
ugodno	สบายใจ
ljubavnik	lover
mlado	ยัง
naga	นาคา
idealna	อุดมคติ
hormon	ฮอร์โมน
kopenhagenu	โคเปนเฮเกน
parr	parr
klizanje	เลื่อน
klizanje	สไลด์
fosil	ดึกดำบรรพ์
fosil	ฟอสซิล
fosil	ซากดึกดำบรรพ์
specijalizirana	เชี่ยวชาญ
specijalizirana	เชี่ยวชาญ
terasa	ระเบียง
parvus	parvus
jude	จู๊ด
bern	เบิร์น
plakata	โปสเตอร์
hsu	hsu
lauren	ลอว์เรน
lauren	ลอเรน
rts	rts
pulchella	pulchella
watts	วัตต์
obavijestio	แจ้ง
mainz	mainz
označeno	แท็ก
svijeće	เทียน
twist	บิด
pole	เสา
iskusni	ประสบ
pećini	ถ้ำ
brada	ชิน
brada	คาง
brada	เครา
divovski	ยักษ์
smola	เกด
ter	ter
ostavština	มรดก
angkor	นคร
tam	tam
tam	แทม
dugova	หนี้
havajski	ฮาวาย
frost	ฟรอสท์
smithii	smithii
atlantik	แอตแลนติก
sestrama	สองพี่น้อง
grofovi	earls
kocke	เต๋า
kocke	ลูกเต๋า
mev	mev
