freight	teretni
pipe	cijev
altered	izmijenio
budapest	budimpešta
designers	dizajnera
heir	nasljednik
heir	naslednika
advisor	savetnik
advisor	savjetnik
authorized	ovlaštena
authorized	odobren
hide	kriti
announcement	hadis
compact	compact
tissue	tkiva
tissue	tkivo
particles	čestice
refuses	odbija
refuses	odbije
receiver	prijemnik
civilians	civili
marsh	marsh
delayed	odložena
wednesday	srijeda
chilean	čileanski
hey	hej
chambers	komora
chambers	komore
demo	demo
santos	santos
paying	plaćanje
interpreted	protumačili
submit	dostaviti
followers	sljedbenici
followers	sljedbenika
observatory	opservatorija
springfield	springfield
kit	kit
burton	burton
monarch	monarh
observations	posmatranja
promised	obećao
palomar	palomar
cream	krem
cream	krema
potter	potter
favourite	favorit
transformation	transformacija
transformation	transformacije
transformation	transformaciju
mcdonald	mcdonald
bavaria	bavarska
kumar	kumara
browser	pregledač
browser	preglednik
endangered	ugrožena
endangered	ugrozili
mate	mate
mate	mat
everybody	svi
lyon	lyon
illustration	ilustracija
kyle	kyle
afl	afl
brook	brook
geometry	geometrija
ping	ping
variants	varijante
baroque	barok
iso	iso
integral	integral
jake	jake
hopes	nade
cornell	kornel
servant	sluga
hurt	bole
maker	proizvođač
inline	inline
carlo	carlo
lynn	lynn
stability	stabilnost
hoping	nadaju
imposed	nametnuta
imposed	uvedene
imposed	nametnuo
summaries	summaries
joel	joel
jets	jets
logos	logos
malcolm	malcolm
winnipeg	winnipeg
kilometers	kilometara
buddhism	budizam
nose	nos
respected	poštovana
respected	poštovali
respected	poštovan
respected	cijenjen
pace	tempo
thunder	grom
centered	centered
physicians	ljekari
bolivia	bolivija
forget	zaboravi
implies	implicira
implies	podrazumijeva
halifax	halifax
toll	danak
monk	monk
extraordinary	izuzetne
extraordinary	izvanredan
extraordinary	neuobičajena
lessons	časovi
lessons	lekcije
pub	pub
monte	monte
segments	segmentima
deer	jelen
wireless	bežični
wireless	bežično
mysterious	misteriozna
consultant	konsultant
consultant	konsultanta
fraser	fraserovo
formats	formats
jam	jam
chicken	kokoška
enable	omogućili
enable	omogući
enable	omogućiti
idol	idol
reid	reid
amazing	amazing
amazing	nevjerovatno
pet	pet
upset	uzrujana
loves	voli
stretch	trase
striker	napadač
accidentally	slučajno
hopkins	hopkins
eds	eds
goddess	božica
notion	pojam
voltage	napon
betty	betty
marion	marion
geology	geologija
consistently	dosljedno
cyclone	ciklon
export	izvoza
export	izvoz
lightning	munja
impressed	impresionirana
impressed	impresioniran
maintains	održava
logical	logično
logical	logičan
jin	jin
julie	julie
fbi	fbi
ludwig	ludwig
moments	trenutaka
moments	trenucima
lucky	lucky
lon	lon
prevented	spriječeno
toy	igračka
bicycle	bicikl
interactions	interakcije
fraud	prevaru
fraud	prevare
fraud	prevara
fraud	prijevara
lang	lang
arcade	arcade
lecture	predavanje
dragons	zmajevi
copa	copa
copa	kup
nurse	nurse
rivals	rivala
module	modul
supplement	dodatak
lens	objektiv
lens	leće
patron	pokrovitelj
commands	komande
commands	komanduje
trend	trend
gerald	gerald
rap	rep
geneva	ženeva
ash	pepeo
ash	ash
disappeared	nestao
predominantly	pretežno
committees	komiteti
loose	slobodi
boom	procvat
sailors	mornari
sailors	mornara
beaten	pretučen
smoke	dim
assassination	atentat
lancaster	lancaster
reynolds	reynolds
divorce	razvod
dust	prašine
dust	prašina
dust	prašinu
saxon	saxon
separately	odvojeno
grain	žita
grain	zrno
executives	rukovodioci
executives	rukovodiocima
translations	prevode
zimbabwe	zimbabve
cohen	cohen
puts	stavlja
diving	ronjenju
carroll	carroll
accounting	računovodstvo
mesa	meša
prussia	pruska
intelligent	intelligent
tobacco	duhan
tobacco	duhana
cleaned	cleaned
bench	klupi
bench	klupa
directions	pravci
directions	pravcima
directions	pravaca
ellen	ellen
ellen	elen
padding	padding
measurement	mjerenje
paradise	raj
witch	vještica
attraction	atrakcija
attraction	privlačnost
attraction	atrakciju
diana	diana
personalities	ličnosti
colleagues	kolege
busy	zaposlen
busy	zauzeta
busy	zauzet
cia	cia
screenwriter	scenariste
rankings	rang
commanders	komandanti
salem	salem
firms	firmi
firms	firme
sanctions	sankcija
sanctions	sankcije
americas	amerika
endings	završeci
instructor	predavač
nobility	plemstvo
varies	varira
tomorrow	sutra
manuscripts	rukopisi
manuscripts	rukopisa
unified	ujedinjene
clarify	pojasniti
investigations	istraga
silva	silva
derek	derek
provision	odredbom
provision	odredbu
provision	opskrba
humanity	čovječnosti
humanity	čovječanstvo
admit	priznati
admit	prizna
terror	teror
contestants	takmičarke
contestants	takmičari
trinidad	trinidad
distant	udaljenim
distant	udaljeni
distant	udaljene
distant	daleki
circles	krugovi
circles	krugova
circles	krugovima
assignment	zadatak
shrine	oltar
celebrate	slavi
celebrate	slave
sick	oboljele
associates	saradnici
heinrich	heinrich
ethiopia	etiopiji
flags	zastave
tel	tel
accomplished	ostvarena
autobiography	autobiografija
uprising	ustanak
edwin	edwin
velocity	brzina
terminology	terminologija
coordinates	koordinate
brighton	brighton
viola	viola
morrison	morrison
propulsion	pogon
boxer	bokser
finale	finale
shoulder	rame
disabled	disabled
div	div
tactics	taktike
ernst	ernst
rapper	reper
privacy	privatnost
boeing	boinga
boeing	boeing
cites	navodi
emmy	emi
indo	indo
rosa	rosa
thermal	toplotna
thermal	toplotne
thermal	toplotno
flute	flauta
marines	marinaca
feminist	feminist
sculptures	skulptura
bacteria	bakterije
introduce	uvesti
landmarks	znamenitosti
disorders	poremećaji
rivalry	rivalstvo
prevention	sprječavanje
prevention	prevenciju
prevention	prevenciji
healthy	zdrave
healthy	zdravi
healthy	zdrava
healthy	zdrav
circus	cirkus
speculation	špekulacije
speculation	špekulacija
burma	burmi
knee	knee
threw	bacio
hypothesis	hipoteza
referendum	referendum
travelling	putovanja
travelling	putovanju
estonian	estonski
sofia	sofija
tribune	tribune
lasting	trajnog
lasting	trajnu
permit	dozvola
permit	dozvolu
permit	dozvole
priority	prioritet
pounds	funti
cent	cent
consequence	posljedica
rica	rica
furniture	namještaj
macdonald	macdonald
honest	honest
innovative	inovativni
innovative	inovativnih
estimate	procjena
atp	atp
rotation	rotacija
syracuse	syracuse
lecturer	predavač
kosovo	kosovo
classics	klasike
julius	julije
naples	napulj
sebastian	sebastian
activated	aktivirala
activated	aktiviran
advised	savjetovao
barnes	barnes
acknowledged	priznao
exceptions	iznimke
exceptions	izuzetaka
exceptions	izuzeci
martha	martha
drawings	crtežima
drawings	crteži
barely	jedva
refuge	pješačko
refuge	utočište
maharashtra	maharashtra
elliott	elliott
diplomat	diplomata
searches	pretresa
brigadier	brigadni
particle	čestice
particle	čestica
thursday	četvrtak
icon	ikona
ulster	ulster
genes	geni
infinite	beskonačno
vale	vale
portraits	portreta
paste	paste
saxony	saksonija
convoy	konvoj
annie	eni
excessive	pretjeranom
believing	vjerujući
rhine	rajna
implement	provesti
implement	provoditi
surgeon	hirurg
badge	badge
charleston	charleston
clause	klauzula
infection	infekcija
electron	elektron
walt	walt
cnn	cnn
confederation	konfederacija
casino	kazino
aux	aux
guatemala	gvatemala
settings	postavke
settings	podešavanja
mask	maska
shelter	sklonište
hopefully	hopefully
elimination	eliminacijska
heath	heath
pregnant	trudna
richards	richards
theodore	theodore
theodore	teodor
delegates	delegati
delegates	delegata
blair	blair
fac	fac
phrases	fraze
janeiro	janeiro
concerto	concerto
bits	delići
unofficial	nezvanični
lighthouse	svjetionik
stan	stan
highland	highland
mascot	maskota
acceptance	prihvatanje
tight	uska
hub	čvorište
mess	mess
routine	rutinske
dubbed	nazvana
dubbed	nazvan
dozens	desetine
spotted	uočena
harmony	harmoniju
harmony	harmonije
harmony	harmonija
entrepreneur	preduzetnik
wwe	wwe
apollo	apolon
runway	pisti
naked	gol
naked	gola
anton	anton
moses	musa
legally	zakonski
legally	pravno
legally	legalno
fake	lažna
fake	lažne
fake	lažni
fake	lažno
biased	pristrasan
revolt	pobunu
revolt	pobuna
providence	providence
investors	investitori
reliability	pouzdanosti
tenor	tenor
fights	borbe
fights	borbama
pocket	džepu
pocket	džepa
sad	sadu
troy	troja
treasure	blago
ion	ion
transformed	transformirao
transformed	pretvorena
roberto	roberto
adoption	usvajanje
decrease	smanjenja
decrease	smanjenje
reserved	rezervisan
forgotten	zaboravili
lok	lok
licensing	licenciranje
advocacy	zagovaranja
collecting	prikupljanja
trumpet	truba
johnston	johnston
norton	norton
collector	kolektor
cluster	jato
dear	drage
dear	draga
dear	dragi
georges	georges
roller	roller
clothes	odjeća
clothes	odjeću
sovereign	suverena
enhanced	pojačan
compensation	kompenzacije
compensation	kompenzaciju
compensation	naknadu
compensation	naknade
consent	saglasnost
holdings	holdings
jorge	jorge
darkness	tami
darkness	tama
darkness	tame
penalties	kazne
bombers	bombardera
bombers	bombarderi
holes	rupe
holes	rupa
blow	udarac
measuring	mjerenje
lawsuit	tužbu
chip	čip
consciousness	svesti
consciousness	svijest
archaeology	arheologija
latvia	latvija
blogs	blogs
hardy	hardy
stamp	pečat
nat	net
nat	nat
fur	krzno
estimates	procjenama
estimates	procjene
lit	lit
lit	zapalio
ritual	ritualnim
trace	trag
trace	tragovi
marble	mramor
foundations	temeljima
foundations	temelja
foundations	temelji
foundations	temelje
politically	politički
nottingham	nottingham
derivative	derivacija
boxers	bokseri
dimension	dimenzija
dimension	dimenziju
touchdowns	polaganja
yugoslav	jugoslovenska
yugoslav	jugoslavenski
yugoslav	jugoslavenska
tanzania	tanzaniji
succeed	naslijediti
motto	moto
streak	ogreb
dirty	prljavi
hayes	hayes
xbox	xbox
likes	voli
genres	žanrova
galleries	galerijama
forbes	forbs
councils	vijeća
adequate	adekvatnih
adequate	adekvatno
brass	bras
bach	bacha
bach	bach
counsel	branilac
tough	teška
tough	težak
advertisement	oglas
trails	stazama
demanded	zahtijevao
claire	claire
mistakes	greške
bruno	bruno
dylan	dylan
bag	kesa
bag	bag
bag	kesica
throwing	bacanje
churchill	churchill
tan	tan
witnesses	svjedoci
thames	temza
kazakhstan	kazahstan
bots	bots
presenting	predstavljajući
highlights	osvjetljava
jumping	skakanje
prof	prof
slovak	slovački
skull	lobanja
missionaries	misionari
ordained	odredio
hoped	nadali
myth	mit
mandatory	obavezno
mandatory	obavezni
mandatory	obavezan
stern	stern
fees	naknada
fees	naknade
bet	ulog
bet	opkladu
monks	monasi
dancers	plesači
quantity	veličina
quantity	kvantitet
inventor	pronalazač
cairo	kairo
graves	grobovi
proximity	blizina
seemingly	naizgled
sue	tužiti
creatures	stvorenja
logan	logan
erik	erik
leicester	leicester
silence	tišina
jessica	jessica
plateau	platou
plateau	plato
finite	konačni
walsh	walsh
intensity	intenzitet
exterior	exterior
murders	ubistvima
murders	ubistava
murders	ubistva
costume	kostim
neighborhoods	naseljima
suffolk	suffolk
tin	kalaj
garcia	garsija
madagascar	madagaskar
cameras	kamere
ammunition	municija
ammunition	municiju
ammunition	municije
fires	požari
viewing	smatrajući
explore	istraživanje
explore	istraživanja
explore	istražuju
builder	graditelj
minneapolis	minneapolis
bullet	metak
kerry	kerry
subway	metro
arrow	strela
economist	ekonomista
bread	hljeb
lou	lu
lou	lou
strategies	strategije
strategies	strategija
rubber	guma
precise	tačna
rifles	pušaka
cognitive	kognitivno
cognitive	kognitivne
cognitive	kognitivna
nest	gnijezdo
slam	slam
portsmouth	portsmouth
convince	uvjeriti
audiences	publika
joshua	joshua
inhabited	naseljeno
casey	casey
attract	privlače
attract	privlačenje
attract	privući
pump	pumpa
feeding	dodavajući
prey	plen
ain	ain
mathematician	matematičar
diary	dnevnika
diary	dnevniku
diary	dnevnik
vulnerable	ranjive
vulnerable	ugrožene
dubai	dubai
michelle	michelle
lebanese	libanska
guided	upućen
guided	vođen
researcher	istraživač
della	della
baden	baden
demonstration	demonstracije
equality	jednakost
equality	ravnopravnost
equality	jednakosti
philosophers	filozofi
trap	zamku
clara	clara
invitation	poziv
marking	obilježavanje
marking	obilježavajući
admission	upis
admission	prijem
sacramento	sacramento
certification	certification
precisely	precizno
casting	casting
submarines	podmornice
prohibited	zabranjeno
supposedly	navodno
frog	žaba
vague	nejasna
mhz	mhz
secular	sekularnog
secular	sekularna
tracking	praćenje
tracking	praćenja
spa	banja
armoured	oklopnih
armoured	oklopno
gibraltar	gibraltara
renewed	obnovio
renewed	obnovljen
renewed	obnovljeni
reflects	odražava
fever	groznica
melody	melodija
supporter	pristalica
supporter	pomagač
elaborate	razrađene
jeffrey	jeffrey
useless	beskorisno
swift	swift
tuesday	utorak
empress	carica
capabilities	kapacitete
newman	newman
beatles	beatles
clergy	sveštenstvo
jacksonville	jacksonville
sara	sara
lifestyle	lifestyle
bee	pčela
holders	nosioci
baltic	baltička
czechoslovakia	čehoslovačka
brandon	brandon
loaded	napunjen
maya	maya
maya	maja
evangelical	evangelical
enterprises	preduzeća
imo	imo
mature	zrelu
physically	fizički
sequences	sekvenci
breast	dojke
beast	zvijeri
beast	zvijer
raja	raja
für	für
bang	bang
griffin	griffin
rhodes	rodos
preparing	priprema
proportion	proporcija
itv	itv
ana	ana
rainbow	duga
demon	demon
demon	demona
answered	odgovorio
answered	odgovorila
ist	ist
perception	percepcija
distributor	distributer
entities	entiteta
jackie	džeki
jackie	jackie
dynamics	dinamika
dynamics	dynamics
dynamics	dinamiku
fiji	fidži
algebra	algebra
homer	homer
limestone	krečnjak
johns	johns
chaos	haos
chang	chang
layers	slojeva
layers	slojevi
crater	krater
chad	čad
excess	višak
bombardment	bombardovanje
ashley	ashley
dot	tačka
gif	gif
translator	prevodilac
cowboys	cowboys
soprano	sopran
workshops	radionica
terrain	terenu
belarus	bjelorusija
console	konzola
teenage	teenage
vandal	vandal
graduates	diplomaca
jungle	džungla
ballot	glasačke
placement	plasman
fairy	vila
tourists	turisti
performs	nastupa
romans	rimljani
rpm	rpm
circa	circa
swan	labud
carpenter	carpenter
petition	peticiju
boris	boris
berry	berry
invention	izum
southampton	southampton
prairie	prerija
bend	yarra
app	app
app	aplikacija
app	aplikaciju
questioned	ispitivan
explicit	eksplicitni
draws	crta
governed	upravljaju
slight	blagi
slight	blagog
maxwell	maxwell
planes	avioni
oriental	orijentalna
coordinator	koordinator
bombs	bombe
mohammad	mohammad
superman	superman
colombian	kolumbijski
philippe	philippe
felix	felix
bengali	bengalski
greene	greene
voluntary	dobrovoljnoj
voluntary	dobrovoljnu
voluntary	dobrovoljne
voluntary	dobrovoljnog
sketch	crtež
mann	men
flooding	poplave
flooding	poplava
escort	pratnja
escort	eskort
dressed	dressed
astronomy	astronomija
sudden	iznenadnu
sudden	iznenadne
skiing	skijanje
timothy	timothy
cello	violončelo
rainfall	padavina
rafael	rafael
sphere	sfera
georg	georg
cinematography	kinematografija
canvas	platna
canvas	platno
chest	grudi
krishna	krishna
provider	provajder
provider	provajdera
frances	frances
poles	poljaci
cabin	kabine
cabin	kolibe
civilization	civilizacija
lisbon	lisabon
tongue	jezik
panels	tijela
darwin	darwin
cheese	sir
easter	vaskrs
easter	uskrs
rat	pacova
papua	papua
insert	ubacuje
descriptions	opise
descriptions	opisa
debates	debatama
informal	neformalne
informal	neformalni
castles	zamkovi
cry	cry
loyal	odan
loyal	lojalnih
nicolas	nicolas
institutes	instituta
humor	humor
madonna	madonna
worcester	worcester
substantially	znatno
trips	putovanja
winston	winston
introducing	uvodi
introducing	uvođenju
introducing	predstavljamo
introducing	uvođenje
llc	llc
drake	drake
lunar	lunarnog
lunar	lunar
fountain	fontana
fountain	česme
consulting	konsalting
patricia	patricia
ers	ers
garcía	garcía
maple	javor
aberdeen	aberdeen
verb	glagoli
illustrations	illustrations
mechanisms	mehanizmi
mechanisms	mehanizama
leipzig	leipzig
santo	santo
roland	roland
expelled	protjerala
evident	evidentno
telecommunications	telekomunikacije
strait	moreuz
nationals	državljane
nationals	državljani
nationals	državljanima
nationals	državljana
unanimous	jednoglasnom
unanimous	jednoglasno
sherman	sherman
stefan	stefan
sleeping	spavanje
alto	alto
crucial	presudno
crucial	presudni
crucial	presudan
crucial	presudna
thomson	thomson
prehistoric	prahistorijski
prehistoric	prahistorijsko
prehistoric	prahistorijska
communicate	komunikaciju
alphabet	abeceda
zagreb	zagreb
carnegie	carnegie
hostile	neprijateljski
hostile	neprijateljskog
prizes	nagrade
eighteen	osamnaest
shirt	dres
weird	čudno
loading	učitavanje
edges	rubovima
plantation	plantaža
vernon	vernon
acre	acre
wonderful	divno
wonderful	divan
missiles	rakete
missiles	projektila
missiles	projektile
guides	vodiča
guides	upućuje
finger	prst
technological	tehnološka
technological	tehnološki
technological	tehnoloških
shoes	shoes
climbing	penje
climbing	usponom
biographies	biographies
spite	inat
ham	ham
hon	hon
geoffrey	geoffrey
valve	zalistak
osaka	osaka
beck	bek
analog	analogni
monkey	majmun
listening	sluša
listening	slušanje
integrity	integritet
definitions	definicije
operas	operas
troop	trupa
objections	protivljenje
marina	marina
detection	detekciju
sixty	šezdeset
differential	diferencijalna
linguistic	jezičke
venus	venera
monarchy	monarhija
francesco	francesco
abortion	pobačaj
monica	monica
monica	monika
elephant	slon
polar	polarne
ton	tona
ton	ton
counting	broji
corn	kukuruza
trucks	kamione
trucks	kamioni
trucks	kamiona
sank	potonuo
deutsche	deutsche
absorbed	apsorbirala
tension	tenzije
tension	tenzija
pablo	pablo
aviv	aviv
cleaning	čišćenje
judgement	sud
physicist	fizičar
catalina	catalina
preventing	sprječavaju
preventing	sprečavanje
lesbian	lezbijka
rays	zraci
rays	zrake
withdrawal	povlačenje
janet	janet
tornado	tornado
aunt	tetka
genesis	geneza
shallow	plitkih
mentioning	spominjanja
floors	kata
floors	spratova
consolidated	consolidated
determining	utvrđivanje
determining	utvrđivanja
luther	luther
luther	luter
pleasure	zadovoljstvo
constructive	konstruktivnu
constructive	konstruktivnog
constructive	konstruktivni
constructive	konstruktivan
webb	webb
battalions	bataljoni
battalions	bataljona
alberto	alberto
magical	magično
magical	čarobni
deliberately	namjerno
sacrifice	žrtvuje
faction	frakcija
olive	maslina
corridor	koridor
compatible	kompatibilne
receptor	receptor
molecules	molekula
molecules	molekuli
molecules	molekule
kiev	kijev
vista	vista
castro	kastro
castro	castro
wei	wei
pleasant	ugodno
miscellaneous	razni
lineup	postava
ultra	ultra
bulletin	bulletin
clinic	klinika
itunes	itunes
patriots	patriots
pollution	zagađenje
pollution	zagađenost
herman	herman
questionable	upitna
sally	sali
rex	rex
mvp	mvp
stuck	zabio
openly	otvoreno
afghan	afganistanski
vatican	vatikana
vatican	vatikan
folklore	folklora
folklore	folklor
affiliation	pripadnost
cruiser	krstarica
silk	svile
agreements	sporazumi
trilogy	trilogija
armour	oklop
eng	eng
consumers	potrošači
consumers	potrošača
defines	definira
defines	definiše
cage	cage
vicinity	blizini
ferguson	ferguson
tehran	teheran
cheshire	cheshire
amanda	amanda
pos	pos
bye	baj
bye	bye
employer	poslodavaca
browns	browns
static	statike
tibetan	tibetanski
nixon	nixon
sociology	sociologija
capability	kapacitete
addressing	obraćajući
panthers	panthers
systematic	sistematskog
systematic	sistematsko
violated	prekršila
violated	prekršio
chocolate	čokolada
helsinki	helsinki
cambodia	kambodža
grandmother	nana
fitness	fitness
fitness	fitnes
midlands	midlands
jung	jung
libya	libija
angela	angela
creature	stvorenje
volcanic	vulkanske
volcanic	vulkanskog
volcanic	vulkanska
volcanic	vulkanskih
android	android
mentor	mentor
freeman	freeman
apartments	apartmana
apartments	stanova
carey	carey
sends	šalje
meyer	meyer
lima	lima
freeway	freeway
kirk	kirk
batteries	baterije
chains	lanaca
chains	lancima
ucla	ucla
recover	oporavak
ear	uho
decent	pristojan
cubs	mladunci
hawk	soko
hawk	hawk
contestant	takmičar
cumberland	cumberland
rational	racionalno
altar	altar
ufc	ufc
organize	organizuju
organize	organizovati
determination	odlučnost
chennai	chennai
threshold	praga
threshold	prag
proud	ponosna
proud	proud
proud	ponosni
custody	staranje
custody	pritvoru
surveillance	nadzor
threatening	prijeti
threatening	prijete
discharge	pražnjenja
discharge	otpuštanje
penny	peni
astronomical	astronomski
astronomical	astronomska
astronomical	astronomske
rector	rektor
petroleum	nafta
bug	bag
bug	buba
bug	bug
chapman	chapman
mud	blato
decree	dekretom
decree	dekret
regulatory	regulatorne
regulatory	regulatorni
regulatory	regulatorna
honey	med
diagram	dijagram
broadcaster	emitera
broadcaster	emiter
complexity	kompleksnosti
sponsor	sponzor
ira	ira
condemned	osudila
condemned	osudio
careers	karijere
haiti	haiti
wisdom	mudrost
pierce	pierce
alma	alma
alexandra	alexandra
alexandra	aleksandra
continuously	kontinuirano
shuttle	šatl
hampton	hampton
eva	eva
mickey	mickey
mickey	miki
atlético	atlético
yuan	juana
lynch	lynch
johannes	johannes
destroying	uništavanje
adolf	adolf
sharon	sharon
acquire	steći
theatres	pozorišta
theatres	teatara
gardner	gardner
mandate	mandat
locked	zaključana
mohammed	muhamed
mohammed	mohammed
mohammed	muhameda
dish	jelo
terrible	užasni
revived	oporavio
reagan	reagan
rebecca	rebeka
indefinitely	neodređeno
divide	podjele
divide	podijeli
recommendations	preporuka
recommendations	preporuke
alter	alter
ideology	ideologije
constantinople	konstantinopolj
fatal	fatalno
fatal	kobna
modeling	modeling
modeling	modeliranje
monsters	čudovišta
notified	obavijestila
bulls	bikova
bulls	bulls
censorship	cenzura
favorable	povoljan
inserted	uveo
inserted	ubačeni
yahoo	yahoo
ecology	ekologija
emirates	emiratima
emirates	emirates
emirates	emirata
neutrality	neutralnost
neutrality	neutralnosti
chronicles	hronika
chronicles	bilježe
deployment	raspoređivanje
blast	eksplozija
blast	blast
blast	eksplozije
jenkins	jenkins
omaha	omaha
attribution	attribution
bundesliga	bundeslige
overcome	prevazići
monarchs	kraljeva
facilitate	olakšavaju
hermann	hermann
morton	morton
roma	roma
roma	rome
roma	romi
roma	romska
accredited	akreditaciju
echo	jeka
bangkok	bangkok
achieving	postizanju
achieving	ostvarivanju
achieving	postizanje
bergen	bergen
hawks	hawks
availability	raspoloživost
organizing	organizuje
lung	pluća
andreas	andreas
stake	kolac
bankruptcy	stečaj
spirits	duhovi
torture	mučenja
torture	mučenju
torture	mučenje
toyota	toyota
wheat	pšenice
examined	ispitao
membrane	membrana
knockout	nokaut
coleman	coleman
homeland	domovina
maiden	djevojačka
dhaka	dhaka
christine	kristin
christine	christine
curious	curious
tucker	tucker
responsibilities	nadležnosti
responsibilities	odgovornosti
viscount	vikont
communists	komunisti
communists	komunista
fantastic	fantastični
fantastic	fantastične
ceremonies	svečanostima
loans	pozajmice
loans	krediti
loans	kredita
joey	joey
corporations	korporacija
corporations	korporacije
moss	mos
parody	parodija
yield	prinos
stuttgart	stuttgart
dialects	dialects
backup	backup
forbidden	zabranjeno
sanskrit	sanskrit
neill	neill
knife	nož
wade	wade
humanities	humanities
premiership	premiership
gonzález	gonzález
yesterday	jučer
yesterday	juče
percy	percy
transform	transformacija
transform	transformiše
vegetation	vegetacija
tickets	ulaznice
tickets	karte
adopt	usvoje
adopt	usvoji
adopt	usvojiti
braves	braves
plural	množina
pomeranian	pomeransko
habitats	staništa
sicily	sicilija
updates	ažurirane
updates	ažuriranja
replied	odgovorio
lin	lin
measurements	merenje
measurements	mjerenja
uttar	uttar
dynamo	dinamo
predicted	predvidio
charitable	dobrotvorne
poker	poker
promising	obećavajuća
promising	obećavši
promising	obećavajući
kane	kane
trevor	trevor
sidney	sidney
holidays	praznici
holidays	praznike
holidays	praznika
fletcher	fletcher
airways	airways
floyd	floyd
genocide	genocid
saga	saga
scots	škotski
kingdoms	kraljevstava
violating	kršenja
violating	kršenjem
fossils	fosila
buying	kupovinom
commissioners	povjerenika
commissioners	povjerenici
smoking	pušenje
enormous	ogromna
enormous	ogromne
enormous	ogromno
leather	koža
def	def
porto	porto
valencia	valencia
tracy	tracy
downloaded	preuzeta
downloaded	preuzeto
downloaded	preuzet
subspecies	podvrsta
andhra	andhra
mercy	milosti
mercy	milost
botanical	botanical
peaks	peaks
peaks	vrhova
ore	ruda
lone	lone
lone	usamljeni
bottle	boce
bottle	boca
tunisia	tunis
angola	angole
humanitarian	humanitarnih
humanitarian	humanitarnu
humanitarian	humanitarni
humanitarian	humanitarna
humanitarian	humanitarnog
decorations	odlikovanja
invalid	nevažeće
invalid	nevažeći
generating	generiše
trapped	zarobljeni
trapped	zarobljen
rao	rao
guru	guru
telescope	teleskop
dense	gusta
dense	gusto
satisfied	zadovoljan
criticised	kritizirao
criticised	kritiziran
coral	koralno
coral	korala
coral	koralni
obituary	obituary
helena	helena
anatomy	anatomija
binary	binarni
merchants	trgovci
controlling	kontroliše
controlling	kontrolisanje
wound	rana
conviction	osude
publishes	objavljuje
dixon	dixon
kuwait	kuvajt
suffer	pati
suffer	pate
nsw	nsw
nord	nord
regent	namjesnika
shane	shane
balanced	uravnotežen
fitzgerald	fitzgerald
highlight	isticanja
highlight	istaknuta
payments	plaćanje
payments	plaćanja
tendency	tendencija
lópez	lópez
joyce	joyce
lifted	ukinuta
davidson	davidson
rouge	rouge
rockets	rakete
cure	lijek
cure	lek
cure	lijeku
bolton	bolton
manning	manning
boyd	boyd
organisms	organizmi
organisms	organizme
paraguay	paragvaj
qatar	katar
import	uvoz
buddy	buddy
iucn	iucn
clare	clare
penguin	pingvin
rapids	rapids
exceptional	izuzetnim
exceptional	izuzetne
exceptional	izuzetno
exceptional	izuzetan
papal	papinska
providers	provajdera
beings	bića
beings	bićima
norwich	norwich
anthem	himna
anthem	himne
supervision	nadzorom
investigator	istražitelj
ming	ming
lease	najma
yours	tvoje
yours	tvoj
cecil	cecil
toys	igračke
toys	toys
conrad	conrad
conrad	konrad
buck	bak
italia	italia
dell	dell
irving	irving
tibet	tibet
composite	složeni
salary	plaće
salary	plate
salary	plaća
blacks	crnci
dropping	opada
fragments	fragmenti
fragments	fragmenata
objectives	ciljevi
caesar	cezar
tragedy	tragedija
