stavropolio	ставрополь
dirvožemį	ґрунту
dirvožemį	ґрунт
dirvožemį	земля
slyvų	слива
vadi	ваді
augmenijos	рослинність
turbina	турбіна
paviršiai	поверхонь
triukšmas	шум
makaronai	макарони
optika	оптика
kalifas	халіф
netinkamas	неправильна
netinkamas	невірно
netinkamas	неправильний
netinkamas	неправильне
netinkamas	некоректний
netinkamas	некоректна
netinkamas	неправильний
demonai	демони
džiaugsmas	радості
džiaugsmas	радість
višnaus	вішну
plaukikas	плавець
plaukikas	рятівник
švelnios	ніжний
maratonas	марафон
kibernetikos	кібернетика
coleoptera	coleoptera
skiemuo	склад
mozilla	mozilla
animatorius	аніматор
bora	бора
teleskopo	телескопа
teleskopo	телескоп
klestėjimas	процвітання
donatello	донателло
hermiona	герміона
cellspacing	cellspacing
postų	пости
postų	дописи
robotas	робот
galingi	потужний
galingi	потужно
minerva	мінерва
sprogstamosios	вибуховий
atsparumo	опору
atsparumo	опір
southampton	саутгемптон
paaukoti	пожертвувати
valyti	вдало
valyti	прибрали
valyti	прибрала
styga	акорд
styga	акорди
užtvankų	дамб
starta	вівсянка
granada	ґранада
turinas	плащаниця
diplomatinių	дипломатичних
nirvana	нірвана
centimetrų	сантиметрів
bandymą	експеримент
braun	браун
šalmus	шоломи
energijai	пробудження
energijai	rising
energijai	піднімається
dublinas	дублін
udo	удо
apvalkalas	оболонка
apvalkalas	оболонки
barrichello	барікелло
triplophysa	triplophysa
tikslumas	точність
tikslumas	точність
kremliaus	кремль
berger	бергер
elvis	елвіс
suprojektuota	розроблена
suprojektuota	розробив
suprojektuota	розроблено
mokymasis	навчання
blokų	блоки
blokų	блоків
svetimas	незнайомця
sprogsta	вибухає
sprogsta	вибухнув
ger	ger
šiaudų	крапля
diktatūros	диктатура
laguna	лагуна
paskiria	контакт
paskiria	контактна
aktyvistai	активістів
aktyvistai	активісти
turkmėnų	туркменська
katalonų	каталонська
adis	аддіс
puikų	відмінний
puikų	чудова
puikų	відмінно
mono	моно
pagerina	покращує
plėšrūnų	хижаків
plėšrūnų	хижаки
apgyvendinimo	проживання
dumblių	водорості
ursus	ursus
forum	форум
listclass	listclass
teologija	теології
paktas	пакт
citadelė	фортеці
citadelė	citadel
kaukazas	кавказ
marselio	марсель
brendan	брендан
tor	tor
nendrių	рід
kančia	страждання
kančia	мука
kančia	мучить
kančia	муки
cinkas	цинку
norimą	бажану
norimą	бажаного
laimingas	щаслива
laimingas	щасливі
laimingas	щасливе
laimingas	щасливий
laimingas	щасливим
kontaktas	контакт
kontaktas	контактна
sąjungas	союзи
bismarkas	бісмарк
sąsmauka	перешийок
oktavianas	октавіан
gegutės	зозуля
mileris	міллер
hunai	гуни
elzė	еліза
dal	dal
vakarienė	обід
vakarienė	вечеря
vakarienė	вечерю
elisabeth	єлизавета
kenkėjų	пешт
kenkėjų	шкідники
koridorius	коридори
koridorius	коридор
koridorius	коридору
dunojus	дунай
įkvėpti	надихають
lydiniai	сплави
milžinai	гіганти
charleroi	шарлеруа
viskio	віскі
viskio	віскі
priimtų	найважливіше
priimtų	підсвічування
priimtų	найголовніше
dinozaurai	динозаврів
spiritas	духи
spiritas	духів
šeštoji	шоста
šeštoji	шостий
šeštoji	шосте
egzamino	екзамен
finansiniai	фінанси
finansiniai	фінансові
finansiniai	фінансова
krantinės	ке
rūsys	льох
sakiniai	речення
sakiniai	речень
suaugusieji	дорослі
suaugusieji	дорослих
suaugusieji	доросла
suaugusieji	дорослі
suaugusieji	доросле
suaugusieji	дорослий
sophia	софія
coca	кока
konservantas	консерванти
austrai	австрійці
tinklinis	волейбол
battista	баттіста
cikas	cycas
rekomenduoja	рекомендує
rekomenduoja	порадити
rekomenduoja	рекомендувати
elachista	elachista
šviesus	яскраві
šviesus	яскраве
šviesus	яскрава
šviesus	зійшла
toras	тор
incidentas	інцидент
incidentas	дтп
lesa	линяння
dominavimo	панування
dominavimo	домінування
kaiser	кайзер
subprefektūra	субпрефектура
subprefektūra	округ
paskirstymas	виділення
paskirstymas	зриву
paskirstymas	розподіл
moses	мойсей
eritrėja	еритреї
meteoritas	метеорит
ruiz	руїс
derėtis	переговори
niufaundlando	ньюфаундленд
maserati	maserati
rainbow	райдуга
rainbow	веселка
persekiojami	переслідували
leto	лето
beata	беата
plikas	лиса
plikas	лисий
laikrodžiai	годинники
laikrodžiai	годинники
laikrodžiai	зацікавленість
laikrodžiai	спостерігає
krosnis	піч
krosnis	піч
malcolm	малкольм
bmg	bmg
wordpress	wordpress
kurilų	курило
burchard	бурхард
wow	вау
wow	вав
wow	ого
logiškai	логічно
diktatūra	диктатура
renato	ренато
dancigo	гданська
owen	оуен
direktoriai	директорів
karcinoma	карцинома
apyrankės	браслети
lynn	лінн
seminaras	workshop
seminaras	семінар
draugės	друзями
draugės	друзів
draugės	друзі
legionas	легіон
kerštas	помста
kerštas	помсти
kerštas	помста
tibetas	тибету
žiemgala	семигалії
miao	мяо
kalvis	коваль
kambodža	камбоджі
aldano	алданський
drąsiai	хоробро
romero	ромеро
stadio	стадіо
tokelau	токелау
konstantos	сталі
raiteliai	вершники
buitinių	двір
buitinių	муніципальна
buitinių	муніципальний
skylė	ями
skylė	лунка
skylė	дірка
skylė	діра
trajektorija	траєкторію
kardą	мечем
kardą	меч
warcraft	warcraft
guido	гвідо
viskonsino	вісконсин
rimta	серйозне
rimta	серйозно
rimta	серйозні
rimta	серйозна
rimta	серйозний
miko	міко
socializmas	соціалізм
stabilus	стабільна
stabilus	стійкий
nevis	невіс
pjemonto	piemonte
mesopotamija	межиріччя
gandras	лелека
netikras	фальшивий
netikras	підробка
grenlandija	ґренландії
skaičiavimus	обчислення
skaičiavimus	розрахунки
teo	тео
kor	kor
rodezijos	родезія
kaldera	кальдера
gijos	гілки
coloma	колома
grafinė	графічна
grafinė	графічні
eduard	едуард
varškės	котедж
varškės	курд
piper	piper
epa	epa
nerimą	надзвичайної
nerimą	хвилюватися
griežtą	ретельне
rogučių	следж
skersinis	поперечна
skatinimas	підвищення
skatinimas	просування
skatinimas	заохочення
gangsteris	гангстер
astrachanės	астрахань
sankryža	майдан
jutos	юта
mayer	маєр
baigtos	завершено
baigtos	завершені
baigtos	виконано
reguliuojamas	універсального
aronas	аарон
aronas	арон
antigva	антигуа
įkelti	перезавантаження
geografiniai	географічні
geografiniai	географічний
geografiniai	географічне
išdavimo	видачі
paša	паша
ziemi	ziemi
eksperimentus	експерименти
pasėlių	обрізання
pasėlių	обрізати
technikai	інженери
prieštaravimų	заперечень
sekretoriatas	секретаріат
dir	dir
saba	саба
saba	сава
kaupimo	обмін
kaupimo	поширення
slepia	ховає
slepia	приховує
linijinis	лінійна
linijinis	лінійний
žvejys	рибалка
juostele	stripe
niger	нігер
omega	омега
genomo	геном
jet	реактивний
pjovimo	вирізання
atlyginimas	зарплата
atlyginimas	зарплати
atlyginimas	зарплати
atlyginimas	винагорода
soma	сома
angų	дебютів
sutrikimą	плутанини
patarimų	порада
patarimų	пораду
patarimų	поради
būgnas	барабан
morena	морена
puškinas	пушкіна
skyrybos	розлучення
nuovargis	втома
borgo	борго
bethoveno	бетховен
genas	ген
genas	джин
vaikšto	ходити
vaikšto	прогулянка
vaikšto	прогулянки
vaikšto	прогулянок
vaikšto	ходить
šeimose	вхідна
vittorio	вітторіо
gipso	гіпс
cenzūra	цензура
urdu	урду
kroft	крофт
mega	мега
vožtuvų	клапан
ūkininkavimo	землеробства
diplomatinis	дипломатичних
lira	ліра
durst	дерст
palladio	палладіо
minios	натовпи
pelėnas	multiplex
aik	aik
šaudo	випускає
šaudo	стріляє
skydliaukės	щитоподібної
manas	mane
švenčia	відзначає
junano	юньнань
tamsa	темряву
tamsa	темрява
tamsa	темряви
taičio	таїті
vargas	варгас
plėšikai	розбійники
toma	тома
pilsudskis	пілсудський
martínez	мартінес
chloridas	хлорид
pažintis	підключення
parodija	пародія
android	android
puošnioji	арлекін
virvės	мотузку
virvės	нитка
virvės	мотузка
virvės	мотузки
virvės	мотузкою
dsc	дск
gleivių	слиз
šamanizmas	шаманізм
sil	сіль
camila	каміла
matricos	матриця
matricos	матриці
septintoji	сьомому
septintoji	сьомий
septintoji	сьома
trąšos	добрив
trąšos	добрива
trąšos	добрива
skaičiavimai	обчислення
skaičiavimai	розрахунки
mangrovių	мангрових
pagalbininkas	помічник
milošas	мілос
graf	граф
barzda	борода
priesagos	суфікси
stabdžių	брейк
hahn	ган
specializuota	спеціалізовані
specializuota	спеціалізована
blanco	бланко
vielos	дріт
vielos	дроту
franciskas	франсіско
franciskas	франциско
hinduizmas	індуїзм
atsakymai	відповідь
atsakymai	відповісти
atsakymai	відповіді
atsakymai	відповіді
dviratininkų	велосипедисти
panaikinimas	скасування
muitinė	митниця
muitinė	звичаї
pranašumas	перевагу
pranašumas	перевага
pranašumas	перевагою
geffen	geffen
drake	дрейк
libertas	лібертас
giulio	джуліо
geleris	геллер
vizualiai	візуально
druskingumas	засолення
mėsinga	товста
sugriuvo	згорнуто
kubica	кубіца
mielės	норман
mielės	дріжджі
salotos	салат
salotos	салат
salotos	салату
fašistų	фашист
formatavimo	форматування
fanai	фани
fanai	шанувальники
fanai	вболівальники
fanai	фанати
šiongnu	хунну
dovanos	благословення
dovanos	насолоди
pipirų	перець
cementas	закріпити
epic	епічний
taro	таро
andris	андріс
svarstyklės	вагу
svarstyklės	ваги
kreiseris	крейсер
nepatenkintas	незадоволений
kirgizija	киргизстану
reitingus	класи
hughes	хьюз
kiurasao	кюрасао
įsigijimo	збору
bartolomeo	бартоломео
judėjos	юдейська
sietlo	seattle
thomson	томсон
sutrumpintas	скоротили
rūkyti	курили
palankus	kinder
publika	глядачі
publika	аудиторії
atidėtas	відкладено
atidėtas	відкладено
aitvaras	шуліка
jautri	чутливі
jautri	урахуванням
osolinskis	оссолінський
res	рес
res	mes
bas	ба
feyenoord	феєнорд
pareigūnams	чиновники
pareigūnams	чиновників
kepenys	печінка
kepenys	печінки
magnum	magnum
kaltę	вини
zil	зіл
atsparumą	опору
atsparumą	опір
atsparumą	пружність
patarė	порадив
patarė	порадила
patogus	зручно
patogus	комфортний
patogus	зручні
patogus	зручне
patogus	зручний
patogus	затишний
karla	карла
dažniausi	популярні
dažniausi	популярне
dažniausi	популярна
dažniausi	популярний
stan	стан
stan	стен
svajonė	сон
svajonė	dream
svajonė	мрія
toros	toros
minkštimas	кримінальне
emigracija	еміграція
lėtinis	хронічне
kaltinimų	звинувачення
maestro	маестро
eden	едем
aiškinimo	інтерпретація
aiškinimo	тлумачення
dub	dub
mišiniai	сумішей
pašalinimas	зняття
vaškas	віск
kaiserslautern	кайзерслаутерн
halina	галина
laidai	кабелі
laidai	провід
aba	аба
užsiėmimai	сеанси
komplektas	кіт
komplektas	kit
išmintis	мудрості
išmintis	мудрість
nuotėkio	витоків
migruoti	мігрують
nascar	nascar
dniepropetrovsko	дніпропетровськ
ultra	ультра
ultra	ultra
siuzana	сьюзен
ost	ост
bambuko	бамбук
medėja	медея
goa	гоа
apribojimus	обмеження
luhansko	луганська
luhansko	луганськ
miami	miami
miami	маямі
vištos	годує
vištos	курей
vištos	кури
vištos	курка
vištos	курки
vištos	курча
vištos	курячий
žmoniją	людство
žmoniją	людяності
pasiūlymai	заявки
pasiūlymai	пропозиції
gabonas	габону
liejimo	приведення
liejimo	кастинг
bobo	бобо
bilietai	квитки
rijeka	рієка
adm	адм
darfūro	дарфур
įrengimas	встановлення
oneginas	онєгін
eukaliptų	евкаліпт
višnioveckis	вишневецький
apsikeitimo	місцями
pažįstamas	знайомі
melas	лежать
melas	брехня
melas	брешуть
greiti	швидко
greiti	швидкі
greiti	швидке
greiti	швидка
greiti	фаст
greiti	швидкий
jens	єнс
platinimas	розподіл
streikas	страйк
zinaida	зінаїда
yehuda	єгуда
neoficiali	неофіційна
aria	арія
krakmolas	крохмаль
lan	lan
bristolio	bristol
flores	флорес
grafinis	графіку
grafinis	графічні
prašau	please
prašau	прошу
panašumo	подібність
impulsų	імпульси
babilonas	вавилон
jautienos	яловичина
jautienos	яловичини
korėjiečiai	корейці
bronšteinas	бронштейн
benzino	бензиновий
pėdsakus	питань
dvikova	дуель
smuklė	таверни
vaistininkas	фармацевт
garantijų	гарантія
garantijų	гарантій
garantijų	гарантії
durklas	кинджал
timothy	тимофія
timothy	тімоті
giant	giant
giant	велетенська
giant	гігант
giant	велетень
fontana	фонтан
fontana	фонтана
wembley	уемблі
romų	roma
romų	роми
romų	рома
rao	рао
aloe	алое
aloe	aloe
kiaušinis	яйце
koši	коші
blauzdos	стегно
nojus	ной
nojus	ноя
karma	карма
karma	karma
aso	aso
instrumentinis	інструментальний
ficus	фікус
aura	аура
įsipareigoja	передачі
įsipareigoja	передача
dieter	дітер
mango	манго
mango	mango
tolerancijos	толерантність
kopros	копра
veidai	wade
veidai	облич
veidai	обличчя
žūklės	ловити
stovyklavietė	кемпінг
žiurkių	пацюки
žiurkių	щурі
žiurkių	щури
žiurkių	щурів
wang	ван
moralė	бойового
placebo	плацебо
pacientas	пацієнт
pacientas	пацієнта
kepti	смажені
derinimo	зневадження
derinimo	налагодження
derinimo	поправити
zamoiskis	замойський
šilingas	шилінг
lancia	lancia
linkolnas	лінкольн
ūdros	видри
hun	hun
grzegorz	гжегож
normanai	норман
akimirkos	moments
akimirkos	моменти
akimirkos	моментів
akimirkos	моментами
linkin	linkin
ilgumos	довгота
dario	даріо
kartagina	карфаген
išdėstymo	компонування
išdėstymo	розкладка
ashley	ешлі
nigeris	нігер
negalia	обмеженими
negalia	інвалідність
meditacija	медитація
tan	tan
tan	тан
tan	тань
unicef	unicef
auditorija	глядачі
auditorija	аудиторії
klientai	клієнти
klientai	клієнтів
klientai	клієнтами
naujovės	нововведення
naujovės	інновації
išmatuotas	вимірюється
jensen	дженсен
skersinės	поперечна
simbolinę	символічне
simbolinę	символічні
simbolinę	символічних
ave	ave
mariano	маріано
primatas	примат
liberalizmo	лібералізм
dviračiai	велосипеди
dviračiai	велосипедів
dviračiai	велосипеди
dviračiai	байки
lydeka	щука
lydeka	пайк
salvatore	сальваторе
oyama	ояма
akimirką	момент
akimirką	мить
titlestyle	titlestyle
papuošti	прикрасили
papuošti	нагороджений
transplantacijos	голови
suprojektuoti	розроблена
suprojektuoti	розробив
suprojektuoti	розроблено
ling	лін
agata	агата
filippo	філіппо
jodo	йод
plėšikas	пограбувала
margo	марго
torre	торре
leideno	лейден
rodrigo	родріго
dialogas	діалог
dialogas	діалог
karosai	лящ
burnley	бернлі
franklinas	франклін
ūminis	гостра
ūminis	гостре
riešo	крути
maršrutą	маршрутизації
arx	arx
uoga	беррі
uoga	ягода
drupal	drupal
ajutajos	аюттхая
plunksna	пера
plunksna	перо
myliu	любов
myliu	кохаю
myliu	кохання
gfdl	gfdl
marcelo	марсело
vale	долини
mic	мікрофона
kepimo	випікання
apeiti	обходити
apeiti	обійти
padangas	шини
padėjėjai	допоміжні
švente	святкування
investuotojas	інвестор
eile	вуличка
zeitung	zeitung
epitelis	епітелій
puna	пуна
bulių	бики
herodotas	геродот
naminė	aquila
žandarai	жандарми
krūtų	грудне
krūtų	груди
krūtų	грудей
niutonas	ньютон
bebrai	бобри
minaretas	мінарет
biotechnologijos	біотехнології
diplomatija	дипломатія
draugiškas	дружній
draugiškas	friendly
draugiškas	дружні
indukcijos	індукція
agentūrų	суглоби
sima	сима
sima	сіма
rūsiuose	підвал
gulbė	лебідь
opolės	ополе
antverpene	антверпен
eksportuoti	експорт
eksportuoti	експортувати
mėgstamiausia	улюблені
mėgstamiausia	улюблений
mėgstamiausia	улюблене
gks	гкс
misūrio	міссурі
kane	кейн
adeno	aden
farm	ферма
išpirkti	викупити
socialistai	соціалістів
sutikimas	згоду
sutikimas	згода
sutikimas	погодження
sutikimas	згоди
naujagimių	жовтяниця
francesca	франческа
tigrai	тигри
išskirtinės	винятковий
pensininkas	пенсіонер
burtininkas	майстер
burtininkas	чарівник
burtininkas	майстра
vampyrai	вампіри
vampyrai	вампірів
albino	альбіно
demokratinis	демократичні
demokratinis	демократичний
demokratinis	демократична
paneigti	негр
ovalios	овал
bakterijas	бактерії
kriketo	cricket
mosfilm	мосфільм
javascript	javascript
nepakankamumas	невдача
nepakankamumas	відмова
nepakankamumas	провал
nepakankamumas	помилка
sabina	сабіна
tiger	tiger
tiger	тигр
nea	ні
nea	неа
darkgrey	darkgrey
verneris	вернер
vestminsterio	вестмінстерський
telugų	телугу
räikkönen	ряйкконен
gimines	родичі
gimines	рідня
maldonado	мальдонадо
džimas	джим
investavo	вклав
investavo	вклала
dialogo	діалог
sunkvežimiai	вантажівки
sunkvežimiai	вантажівки
ropliai	рептилії
iššūkis	виклик
fidžis	фіджі
samara	самара
deimantas	diamond
deimantas	діамант
braga	брага
giancarlo	джанкарло
barenco	баренцове
jamato	ямато
lambert	ламберт
išpuolių	приступ
išpuolių	атакує
išpuolių	напади
išpuolių	атаки
konfederatų	конфедеративні
transliavimo	ефіри
transliavimo	трансляція
trumpalaikis	коротко
midi	midi
claudia	клаудія
investuotojai	інвестор
investuotojai	інвесторів
investuotojai	інвестори
indėlių	депозит
blokai	блоки
blokai	блоків
lil	lil
tapatybė	особа
tapatybė	особистість
tapatybė	профіль
tapatybė	ідентичність
surinamas	суринаму
gogo	гог
gogo	гога
malaga	малага
kolibris	колібрі
welt	welt
choreografija	хореографія
choreografija	хореографії
ritės	котушки
genetinis	генетичний
lst	lst
omanas	оману
garavimo	випаровування
parc	parc
sugebėjimą	навмисним
aušinimo	охолодження
susirinkimai	зустрічей
susirinkimai	зустрічі
kichotas	кіхот
diskriminacija	дискримінації
diskriminacija	дискримінація
tikslumo	точність
korteles	карт
korteles	карти
korteles	карток
korteles	картки
fiorentino	фьорентіно
neutralus	нейтральний
neutralus	нейтральна
balai	рахунку
įmontuotas	вбудований
įmontuotas	вбудована
įmontuotas	вбудованим
įmontuotas	вбудовані
konkurentai	виборола
konkurentai	конкуренти
konkurentai	конкурентів
konkurentai	конкурентів
excelsior	excelsior
sanskritas	санскрит
dai	дай
alexandre	александр
