פרוטוקול	protokol
נוחות	utjehu
אורז	pakiranje
אורז	pakovanje
אורז	rice
אורז	riža
השערות	hipoteze
השערות	hipoteza
השערות	dlake
השערות	vlasi
פלסטין	palestini
לנון	lennon
מתקבלת	zadobio
אלת	božica
אלת	boginja
מתמטי	matematički
מוקדש	posvećena
מוקדש	posvećeno
מוקדש	posvećen
מוקדש	posvećeni
מוקדש	posvetio
עוזב	ostavljajući
עוזב	odlazak
לאונרדו	leonardo
מבטא	akcent
מבטא	naglasak
הזמנה	rezervacije
הזמנה	rezervat
הזמנה	rezervacija
הזמנה	pozivnica
הזמנה	pozovite
הזמנה	narudžba
הזמנה	poredak
הזמנה	naruči
הזמנה	rezervacije
הזמנה	rezervacija
הזמנה	pozivnica
הזמנה	pozivnicu
הזמנה	poziv
מחברות	bilježnice
כיתה	učionica
כיתה	učionice
כיתה	učionici
כיתה	razred
כיתה	klase
כיתה	klasa
הקומוניסטים	komunisti
העיקרון	princip
העיקרון	načelo
העיקרון	načela
העיקרון	principi
אקדח	pištolj
אקדח	pištolj
אקדח	puška
נחמיה	nehemija
פיסול	skulptura
פיסול	skulpture
פיסול	kipar
נתפסו	uhvaćen
נתפסו	uhvaćena
נתפסו	uhvaćeni
נתפסו	uhvaćena
נתפסו	uhvaćeni
נתפסו	zarobljen
נתפסו	zarobljeni
מבטיח	obećava
מבטיח	obećavajuće
מבטיח	obećavajući
הגבלות	ograničenja
הגבלות	granice
הגבלות	ograničenja
הרייך	reich
קברים	grobnice
קברים	grobovi
קברים	graves
קברים	grobove
שהו	sho
הכה	udri
הכה	hit
דמוקרטי	demokratska
דמוקרטי	demokratske
דמוקרטי	demokratski
דמוקרטי	demokrata
מתחרים	trkači
מתחרים	natjecatelji
מתחרים	natjecatelji
מתחרים	natjecatelja
מתחרים	natjecati
אסד	assad
אסד	asad
ליברמן	lieberman
ספציפיים	specifično
ספציפיים	specifične
ספציפיים	specifičan
ספציפיים	specifična
חוקיים	pravni
חוקיים	pravna
חוקיים	pravno
חוקיים	legalno
האנס	hans
הזדמנויות	prilike
הבלקן	balkan
הבלקן	balkanu
חובות	dugovi
חובות	dugova
חובות	dugove
חובות	dužnosti
חובות	obaveze
כומר	velečasni
כומר	svećenik
קומית	komično
להתפטר	ostavku
להתפטר	ostavka
ערפאת	arafat
הוותיקן	vatikana
הוותיקן	vatikan
נמשכת	privukla
נמשכת	privukao
גרינברג	greenberg
צלילים	zvuci
צלילים	zvuči
צלילים	zvukovi
היופי	ljepota
היופי	ljepotica
היופי	ljepote
מורי	maury
מורי	mori
מורי	murray
לפגוש	susret
לפגוש	upoznati
לפגוש	upoznajte
סיקור	pokrivenost
פלילי	kriminalac
פלילי	kazneno
קומה	sprat
קומה	kat
לדחות	odgodi
לדחות	odgoditi
לייק	jezero
לייק	jezera
לייק	lake
המסמך	dokumenta
המסמך	dokument
חיסול	eliminaciju
חיסול	eliminacija
חיסול	eliminacije
שותפה	partner
שותפה	partnera
שותפה	partnerica
שותפה	partneru
שותפה	cimer
שותפה	cimerica
שותפה	suradnik
שותפה	suradnica
במימון	financira
נסיגה	povlačenje
פר	per
רפורמה	reforme
רפורמה	reforma
רפורמה	reformu
הומו	homo
הומו	gej
הומו	peder
הומו	gay
מעשים	djela
מעשים	postupci
מעשים	radnje
מעשים	akcije
מעשים	djela
אחסון	skladištenje
אחסון	spremište
אחסון	skladište
אובייקט	predmet
אובייקט	objekt
אובייקט	objekti
אובייקט	objekte
אובייקט	predmeti
ביג	velika
ביג	veliki
ביג	velike
ביג	veliko
גלן	glen
גלן	glen
גלן	glenn
הארט	hart
צנחנים	padobranci
תורמים	donatora
תורמים	suradnici
עוקב	praćenje
עוקב	pratim
עוקב	pratitelj
עוקב	sljedbenik
עוקב	pratitelja
עוקב	praćenje
מחווה	danak
מחווה	počast
מחווה	gesta
מושפע	pogođeni
פיק	pic
מוצאת	pronalazi
מוצאת	pronađe
מוצאת	nađe
גלילי	cilindrične
לאונרד	leonarda
לאונרד	leonard
מסורתיים	tradicionalna
מסורתיים	tradicionalni
מסורתיים	tradicionalno
מלאך	anđela
מלאך	angel
מלאך	anđeo
מהפכה	revoluciju
מהפכה	revolucija
צוואר	vrat
רול	roll
חשף	otkriveno
חשף	otkriven
חשף	otkrivena
מיטשל	mitchell
מייצגים	predstavljaju
מייצגים	zastupa
מייצגים	predstavljajući
מייצגים	predstavlja
הארבעים	četrdesete
לפתע	iznenada
לפתע	odjednom
קולומבוס	columbus
קולומבוס	kolumbo
מסים	porezi
מסים	poreze
מסים	porez
אמינות	pouzdan
אמינות	vjerodostojnost
אמינות	kredibilitet
אמינות	pouzdani
אמינות	pouzdana
אמינות	pouzdan
אמינות	pouzdano
אמינות	pouzdanost
אמינות	autentičnost
נוסחה	formula
נוסחה	formulu
קדושה	svetinja
קדושה	sveto
קדושה	sveta
קדושה	sveti
קדושה	sveto
קדושה	sveti
קדושה	svetac
קדושה	saint
קדושה	svetost
קדושה	svetosti
המלאכה	radionica
המלאכה	radionice
המלאכה	radionicu
נעורים	mladež
נעורים	mladost
נעורים	mladosti
דירה	stan
דירה	ravna
דירה	ravan
דירה	ravni
דירה	stan
דירה	apartman
מניחים	pretpostavi
מניחים	pretpostaviti
בקושי	jedva
בקושי	jedva
לאופולד	leopold
ולטר	walther
ולטר	walter
השחר	zore
השחר	zoru
השחר	svitanje
השחר	zora
תזונה	prehrana
תזונה	prehrane
ליב	liv
ליב	lib
השקעה	ulaganje
השקעה	investicija
השקעה	ulaganje
השקעה	investicije
השקעה	ulaganja
יוטיוב	youtube
אבירים	vitezovi
בבלי	babilonski
ממונה	nadređeni
פורה	produktivan
פורה	plodno
פורה	plodna
פורה	plodan
פורה	plodan
פורה	plodno
אלגברה	algebra
ראיונות	intervjue
ראיונות	intervjua
פטרוס	petre
פטרוס	peter
פטרוס	petra
פטרוס	petar
הווה	prisutan
הווה	sadašnjost
הווה	poklon
דלתות	vrata
סכר	brani
סכר	brane
סכר	brana
תעודה	certifikat
תעודה	potvrde
תעודה	potvrda
גולדמן	goldman
אוריאל	uriel
המלווה	suputnik
המלווה	pratitelj
המלווה	pratilac
אירוח	gostoljubivost
אירוח	gostoprimstvo
פרסומות	reklame
טורקית	tursko
טורקית	turski
הכרזה	objava
הכרזה	najava
ירה	upucao
ירה	otpušten
מדינאי	državnika
גרפי	grafički
החופים	plaze
החופים	plaže
חוש	osjetila
חוש	osjetilo
איירון	željezo
איירון	željeza
אנונימי	anonimno
אנונימי	anonimna
אנונימי	anonimni
דרווין	darwin
אולמות	dvorane
שרירים	mišići
שרירים	mišiće
שרירים	mišići
שרירים	mišić
שרירים	mišića
טובי	tobi
טובי	toby
מוג	moog
גבעות	brda
גבעות	hills
היידן	hayden
היידן	haydn
כתום	narančasta
כתום	orange
כתום	narančasto
כתום	naranče
הלוואי	želju
הלוואי	želja
פלוס	plus
האירוויזיון	euroviziji
דודה	teta
דודה	strina
דודה	tetka
דודה	teta
דודה	tetka
דודה	teta
דודה	strina
דודה	ujna
דודה	tetka
בלוג	blog
השלם	potpuna
השלם	kompletan
השלם	kompletna
מתמטיקאים	matematičari
להפיץ	distribuirati
מחליטה	odlučiti
מחליטה	odlučujući
מחליטה	odlučuje
ולנסיה	valenciji
ניגריה	nigeriji
מסייעת	pomaganje
מסייעת	pomaže
טורקי	tursko
טורקי	turski
פנייה	pena
פנייה	peña
מימד	dimenzija
מימד	dimenzije
ייל	yaleu
ייל	yale
פלישה	invazije
פלישה	invazija
פתאום	iznenada
פתאום	odjednom
טרנר	turner
דוחה	odvratno
דוחה	bruto
עמידה	stojimo
עמידה	stoji
עמידה	stojeći
עמידה	stajanje
עמידה	stojim
עמידה	stajalište
מימוש	provedbu
מימוש	provedba
ברברוסה	barbarossa
הנחות	popuste
הנחות	popusti
הנחות	pretpostavke
הנחות	pretpostavki
האורך	duljina
האורך	dužina
האורך	dužine
מרפא	lijek
השיח	diskurs
נייד	mobilni
נייד	mobitel
נייד	prijenosni
קשורות	povezano
מחפשים	traženje
חשבונות	račune
חשבונות	novčanice
חשבונות	računi
חשבונות	račune
חשבונות	računi
רכיבים	komponente
רכיבים	sastojci
איימי	amy
נרכש	nabavio
נרכש	stekao
נרכש	kupljen
נרכש	kupljeno
נרכש	kupljena
נבון	inteligentni
נבון	inteligentna
נבון	inteligentan
נבון	inteligentno
נבון	mudri
נבון	mudro
ונצואלה	venezuela
תפילות	molitve
אמנויות	umjetnosti
טכניים	tehnički
טכניים	tehnička
שומרים	stražari
שומרים	čuvari
הרקולס	herkul
הרקולס	hercules
הרקולס	herkula
גופות	leševi
גופות	trupla
גופות	tijela
שמורות	rezervirano
שמורות	rezervirana
שמורות	rezerviran
פלסטיק	plastika
פלסטיק	plastične
פלסטיק	plastika
צמצום	smanjenje
צמצום	uski
צמצום	uska
צמצום	uske
צמצום	usko
הזוכים	pobjednici
הזוכים	dobitnici
מנור	manor
בטח	naravno
קלט	unos
קלט	ulaz
חינם	slobodna
חינם	slobodni
חינם	slobodan
חינם	besplatno
חינם	free
ריגול	špijuniranje
ריגול	špijun
ריגול	špijunažu
ריגול	špijunaža
עשן	smoky
עשן	dim
עשן	dima
סדנאות	radionice
מקסים	divna
מקסים	divno
מקסים	neodoljivo
מקסים	maxim
מקסים	šarmantan
קסטיליה	kastilje
רעות	loše
רעות	bad
רעות	loša
רעות	lose
החלפה	prebaci
החלפה	razmjena
החלפה	zamjenu
החלפה	trgovina
חזן	cantor
העקרונות	principa
העקרונות	načela
העקרונות	principe
העקרונות	principi
פקודות	naredbe
פקודות	zapovijedi
פקודות	naredbe
פקודות	narudžbe
זיקה	afinitet
מינימלי	minimalno
מינימלי	minimalne
מינימלי	minimalni
מינימלי	minimalna
בודדות	usamljeno
בודדות	usamljeni
בודדות	usamljena
אונו	uno
חימום	toplina
חימום	vrućina
חימום	topline
חימום	grijanje
חימום	grijanje
מוכנה	spremni
וינסנט	vincent
המאמינים	vjernici
הקלטה	snimanje
להתנגד	odoljeti
לחסל	eliminirati
יפים	predivno
יפים	prelijepo
יפים	lijepa
יפים	prekrasna
יפים	predivna
קיצונית	radikalne
קיצונית	radikalno
קיצונית	radikalna
קיצונית	ekstremna
קיצונית	ekstremni
קיצונית	ekstremno
מולדת	domovine
מולדת	domovinska
מולדת	domovinu
מולדת	domovina
זוגי	parovi
זוגי	parove
זוגי	parova
זוגי	dvojno
דתות	religije
רוקח	ljekarnik
יוטה	utah
צאצאים	potomstvo
צאצאים	potomci
צאצאים	potomci
אצבעות	prste
אצבעות	prsti
אישורים	odobrenja
אישורים	dozvole
מקדוניה	makedoniju
מקדוניה	makedoniji
מקדוניה	makedonija
תוקן	popravljen
תוקן	popravio
תוקן	fiksna
תוקן	fiksne
תוקן	fiksni
תוקן	popravljen
תוקן	ispraviti
מתיישבים	kolonisti
מתיישבים	doseljenika
מתיישבים	doseljenici
רויאל	royal
רויאל	kraljevsko
רויאל	kraljevski
רויאל	kraljevska
נחיתה	slijetanja
נחיתה	iskrcavanje
נחיתה	slijetanje
גלם	sirova
גלם	sirov
גלם	sirovi
גלם	sirove
גלם	sirovo
יצרני	produktivan
יצרני	proizvođači
יוזמה	inicijativa
יוזמה	inicijative
יוזמה	inicijativu
ביולוגיה	biologiju
ביולוגיה	biologije
ביולוגיה	biologija
אבטחה	osiguranje
אבטחה	sigurnost
מתכנן	planiranja
מתכנן	planirati
מתכנן	planiram
מתכנן	planiranje
מתכנן	planira
מתכנן	planer
נשאו	nosio
הגה	kormilo
מרשימה	impresivno
מתוכנן	zakazan
מתוכנן	zakazani
מתוכנן	planirano
מתוכנן	zakazano
מתוכנן	planirana
מתוכנן	planirao
מתוכנן	planirani
מתוכנן	planirano
מתוכנן	planiran
מתוכנן	dizajnirana
מתוכנן	dizajnirani
מתוכנן	osmišljen
מתוכנן	dizajniran
מתוכנן	dizajnirao
הוחלפו	zamijenio
הוחלפו	zamijenjena
הוחלפו	zamijenjen
הוחלפו	zamijenio
הוחלפו	zamijenili
נדירה	rijetka
נדירה	rijetki
נדירה	rijetko
נדירה	retko
נדירה	rijetke
תחליף	zamjena
תחליף	zamjeni
תחליף	zamijeni
טרומן	truman
אינסוף	beskonačno
אינסוף	beskonačnosti
אינסוף	beskonačno
שוד	pljačka
שוד	pljačke
יוהנס	johannes
שליטי	vladari
זן	zen
זן	vrsta
זן	vrste
הריין	rajna
הידרו	hidro
ניירות	papiri
ניירות	dokumenti
המציא	izmišljen
המציא	izmislio
המציא	izumio
שנאה	mrzio
שנאה	mrzila
שנאה	mržnja
שנאה	mržnja
שנאה	mrzim
שנאה	hate
אפריקאי	afrički
אפריקאי	afrička
פרדי	freddie
פרדי	freddy
סחורות	dobara
סחורות	robe
סחורות	robu
סחורות	roba
טלסקופ	teleskop
אסי	asi
אסי	aces
קרניים	zrake
קרניים	rogovi
קרניים	rogova
קרניים	rogove
עומס	napuni
עומס	teret
עומס	opterećenje
עומס	preopterećenje
המחוקקת	zakonodavne
מעבורת	shuttle
מעבורת	šatl
מעבורת	trajektom
מעבורת	trajekt
אדיר	zakon
אדיר	super
האר	har
טומי	tomi
טומי	tommy
אום	umm
עותק	kopiraj
עותק	kopija
קיסרי	carska
קיסרי	carski
תקפה	valjan
תקפה	valjano
גופה	body
גופה	telo
גופה	tijelo
גופה	truplo
גופה	leš
אוהדי	ljubitelji
אוהדי	navijači
אוהדי	obožavatelji
אוהדי	fanovi
פיוטר	kositra
פיוטר	piotr
פיוטר	pjotr
משקה	piće
עממי	folk
ואחריו	slijedio
ואחריו	pratio
דיר	deir
תהילה	slava
תהילה	slave
תהילה	slavu
תהילה	slava
תהילה	slavu
תהילה	slave
אחורה	natrag
והלחין	skladanje
תעסוקה	zaposlenje
תעסוקה	zapošljavanje
הסוגים	vrste
הסוגים	tipovi
משלים	upotpuniti
משלים	komplementarne
אחרונים	zadnji
אחרונים	posljednje
אחרונים	zadnje
אחרונים	posljednja
אחרונים	posljednji
אחרונים	nedavne
אחרונים	nedavna
אחרונים	nedavno
אחרונים	nedavni
הדנובה	dunav
הדנובה	dunava
דרשה	propovijed
דרשה	propovijedi
דרשה	zahtijevao
ראשונית	preliminarni
ארנון	arnon
ספנסר	spencer
ספנסר	spenser
ספנסר	spenser
נור	baklja
נור	nur
נור	noor
דנים	danske
דנים	danski
דנים	danci
דנים	traper
בוגרת	odraslo
בוגרת	odrasli
בוגרת	zreo
בוגרת	zrela
בוגרת	zrele
בוגרת	zrelo
אחיינו	nećak
אחיינו	nećaka
שייכות	važnost
שייכות	pripadnosti
שייכות	pripadam
שייכות	pripadaju
טכנולוגית	tehnološki
טכנולוגית	tehnološki
הגלריה	galerija
הגלריה	galerije
הגלריה	galeriju
פאן	pana
פאן	pan
עונשין	kazna
עונשין	penal
קון	con
קני	kenny
סעיפים	broji
סעיפים	klauzule
הפער	jaz
הפער	gap
שהתגלה	otkriveno
שהתגלה	otkriven
שהתגלה	otkrio
שהתגלה	otkriveni
שהתגלה	otkrivena
להביס	poraz
להביס	porazi
להביס	poraza
אנטוניוס	antonije
אנטוניוס	antonija
אנטוניוס	antonius
חוט	žica
חוט	žicu
חוט	žice
חוט	konac
חוט	nit
עיתונאית	novinarka
עיתונאית	novinar
בלוך	bloch
מסוק	helikopter
מסוק	helikoptera
הרצועה	uzice
הרצועה	uzici
הרצועה	remen
הרישיון	dozvola
הרישיון	dozvolu
דשא	trava
דשא	travu
דשא	travi
דשא	trave
פרידה	raspad
פרידה	prekid
פרידה	zbogom
פרידה	rastanak
פרידה	frida
טונות	tona
טונות	tone
התמקד	fokusiran
התמקד	usredotočen
התמקד	fokusirana
מעצב	dizajner
סטטיסטיקה	statistika
סטטיסטיקה	statistike
סטטיסטיקה	statistika
סטטיסטיקה	statistike
סטטיסטיקה	statistika
מבצעית	operativne
מבצעית	operativna
דטרויט	detroita
דטרויט	detroitu
דטרויט	detroit
גלוי	vidljiv
גלוי	vidljiva
גלוי	vidljive
גלוי	vidljivo
גלוי	vidljivi
הקוונטים	kvantna
הסוחר	trgovac
נה	neh
דיגיטלי	digitalni
דיגיטלי	digitalno
דיגיטלי	digitalna
אסטרטגית	strateške
אסטרטגית	strateški
צירים	trudovi
צירים	kontrakcije
לכפות	nametati
תצפיות	viđenja
תצפיות	promatranja
תצפיות	opažanja
תצפיות	zapažanja
עוזרת	pomaganje
עוזרת	pomaže
עוזרת	pomoćnik
עוזרת	pomoćnica
עוזרת	asistent
התנדב	dobrovoljno
הוקי	hokej
הוקי	hokeju
בפנים	iznutra
בפנים	unutra
חרדה	nestrpljiv
חרדה	tjeskoba
חרדה	uznemirenost
חרדה	nervoza
חרדה	tjeskobe
פער	jaz
פער	gap
בסיני	sinai
טורים	kolone
טורים	stupovi
סבב	rotacija
שריד	relikvija
שמור	spremi
שמור	zadrži
עמותה	neprofitna
עמותה	asocijacije
עמותה	udruženje
עמותה	udruga
הדלת	vrata
טכניקה	tehnika
חוקרת	istraživač
חוקרת	istražuje
ארטילריה	artiljerija
ארטילריה	topništvo
עמיתים	kolege
עמיתים	kolegama
עמיתים	kolege
עמיתים	suradnici
שפר	schaeffer
טבעות	prstenje
ולמה	velma
בסיסים	baze
נגמר	preko
קרס	kuka
קרס	kuku
הבטן	trbuh
הבטן	želudac
הבטן	stomak
הוכח	dokazano
הוכח	dokazana
ציפורי	ptičice
ציפורי	ptičica
ציפורי	birdie
חירות	slobode
חירות	sloboda
חירות	slobodu
חירות	liberty
יונים	iona
יונים	golubovi
יונים	golubice
אוסטרים	austrijanci
קיטור	para
כריסטינה	christina
כריסטינה	kristina
כריסטינה	cristina
ממלכות	kraljevstva
בייקר	pekar
בייקר	baker
גרג	greg
תוניסיה	tunisu
הברכה	blagoslov
הגיב	reagirao
הגיב	reagirala
הגיב	komentirao
הגיב	odgovorila
מנהגים	mores
מינסוטה	minnesoti
גילברט	gilbert
בכור	prvorođeni
ביולוגי	biološko
ביולוגי	biološka
ביולוגי	biološki
שולט	dominira
האג	haagu
האג	haag
שועל	lisac
שועל	lisica
שועל	fox
מקרטני	mccartney
קרבי	borbeno
פירנצה	firenca
פירנצה	florence
חדה	oštar
חדה	oštri
חדה	oštro
חדה	oštra
חדה	sharp
פלילית	kriminalac
פלילית	kazneno
כנען	canaan
שן	shen
שן	zub
הגבלה	limit
הגבלה	ograničenje
הגבלה	granica
לוויינים	sateliti
לוויינים	satelite
צילם	snimio
צילם	snimljeno
צילם	uzeo
צילם	fotografirao
גופני	fizički
בסקי	baskijski
בסקי	skijanje
פגיעות	ranjivost
פגיעות	ozljede
פגיעות	ozlijede
פגיעות	povrede
רגשית	emocionalne
רגשית	emocionalno
רגשית	emocionalna
רגשית	emotivno
רגשית	emocionalno
רגשית	emotivno
אופציה	opcija
אופציה	mogućnost
ביקרו	posjetili
ביקרו	posjetio
נוספה	dodao
נוספה	dodali
פירס	pierce
אפלטון	platon
אפלטון	appleton
מרסל	marcela
מרסל	marcel
פינק	pink
פינק	ružičasta
פינק	roze
פינק	roza
פינק	fink
ברון	barone
ברון	barun
ברון	baron
ספריות	knjižnice
ספריות	biblioteke
ווטסון	watson
דאגה	brinuti
דאגה	zabrinjavajuće
דאגה	brini
דאגה	zabrinutost
נופש	odmaralište
נופש	odmor
נופש	odmarališta
טימור	timor
טימור	timur
הביולוגי	biološko
הביולוגי	biološka
הביולוגי	biološki
יריחו	jericho
אלמנט	element
הירידה	spuštanje
גומי	guma
גומי	gumene
גומי	gumeni
הארכיון	arhiv
הארכיון	arhiva
חוזים	ugovori
ריהאנה	rihanna
הכיוון	smjer
הכיוון	pravac
הכיוון	smjeru
משיח	mesija
ללבוש	nosi
ללבוש	obuci
משגר	lanser
משגר	pokretač
משגר	lansiranje
משגר	pokretanje
רייגן	regan
רייגן	regan
רייגן	reagan
סנטיאגו	santiago
אמיתיים	real
אמיתיים	pravi
נוב	nub
נוב	nob
דורה	dora
דורה	duru
ברן	bern
שינויי	izmjene
שינויי	promjene
סכסוכים	sukoba
סכסוכים	sukobi
סכסוכים	sporova
מונעת	vozio
מונעת	preventivne
אריות	lavovi
אריות	lavove
אריות	lavova
לאום	nacionalnosti
ורוד	pink
ורוד	ružičasta
ורוד	roze
ורוד	roza
דריה	daria
טנסי	tennessee
כפוף	podređeni
כפוף	savijena
בעלים	vlasnica
בעלים	vlasnika
בעלים	vlasnik
בעלים	muževe
בעלים	muževa
בעלים	muževi
בעלים	muževima
בעלים	vlasnici
