மற்றும்	og
முறை	metoden
முறை	metode
முறை	proceduren
முறை	fremgangsmåde
முறை	procedure
முறை	tilstand
முறை	mode
கோயில்	templet
கோயில்	tempel
கோயில்	temple
விருது	tilslag
விருது	award
விருது	tildeling
பொதுவாக	generelt
பொதுவாக	generel
பொதுவாக	generelle
பொதுவாக	almindelig
அக்டோபர்	oktober
அக்டோபர்	olt
செய்து	forpligtet
செய்து	begået
செய்து	engageret
செய்து	engagerede
செய்து	forpligtede
தன்	hans
தன்	kaster
தொடர்ந்து	behold
தொடர்ந்து	bevar
தொடர்ந்து	keep
இரண்டாம்	sekund
இரண்டாம்	andet
இரண்டாம்	anden
இரண்டாம்	sekundære
இரண்டாம்	sekundær
இரண்டாம்	sekundært
சென்னை	chennai
வரும்	kommer
வரும்	kommer
மே	may
மே	maj
மே	kan
ஒவ்வொரு	hver
ஒவ்வொரு	hver
மட்டுமே	kun
வரலாறு	historik
வரலாறு	historie
பகுதியில்	areal
பகுதியில்	område
நூல்கள்	bøger
பின்	nål
பின்	pinkode
பின்	pin
பின்	efter
பின்	retur
பின்	ryg
பின்	tilbage
இல்லை	ikke
இல்லை	not
இல்லை	ej
நவம்பர்	november
அதிக	høj
அதிக	højt
அதிக	høje
காலத்தில்	tidsrum
காலத்தில்	periode
காலத்தில்	perioden
மிக	meget
மிக	tandpine
நான்கு	fire
நான்கு	four
பிறகு	derefter
பிறகு	så
பிறகு	senere
பிறகு	efter
அரசியல்	politik
அரசியல்	politisk
பகுதி	partiel
பகுதி	delvist
பகுதி	delvise
பகுதி	delvis
பகுதி	areal
பகுதி	område
பகுதி	region
பகுதி	del
பகுதி	segment
பகுதி	indslag
பற்றி	om
பற்றி	omkring
ஆறு	seks
ஆறு	six
ஆறு	river
ஆறு	floden
ஆறு	flod
மீண்டும்	igen
இங்கிலாந்து	englands
இங்கிலாந்து	england
காலம்	årstid
காலம்	sæsonen
காலம்	sæson
காலம்	tidsrum
காலம்	periode
காலம்	perioden
காலம்	tid
காலம்	tidspunkt
காலம்	gang
காலம்	klokkeslæt
காலம்	tiden
நிலை	position
நிலை	stilling
நிலை	holdning
நிலை	stat
நிலை	state
நிலை	delstat
நிலை	tilstand
நிலை	niveau
நிலை	plan
நிலை	level
ஒரே	samme
போர்	krigen
போர்	krig
போர்	war
போர்	krige
காரணமாக	termin
காரணமாக	forfalder
காரணமாக	forfaldne
பொருள்	materiale
பொருள்	materiel
பொருள்	vare
பொருள்	produkt
பொருள்	produktet
பொருள்	genstand
பொருள்	objekt
பொருள்	synonymer
பொருள்	emne
பொருள்	emnet
அறிவியல்	naturvidenskab
அறிவியல்	videnskab
பேச்சு	tale
பேச்சு	indlæg
பேச்சு	talen
பேச்சு	tale
பேச்சு	snak
இதனால்	med
அனைத்து	alle
அனைத்து	alt
கல்வி	uddannelse
கல்வி	undervisning
ஏப்ரல்	apr
ஏப்ரல்	april
உலக	world
உலக	verden
உலக	global
உலக	globalt
உலக	globale
கே	bøsse
கே	homoseksuel
கே	bøsser
கே	gay
முடியும்	kan
முடியும்	can
கீழ்	down
கீழ்	ned
கீழ்	nede
கீழ்	lavere
கீழ்	sænk
கீழ்	nedre
கீழ்	under
கீழ்	bunden
கீழ்	forneden
கீழ்	nederst
கீழ்	bund
கீழ்	nederste
இடம்	stedet
இடம்	place
இடம்	sted
இடம்	plads
இடம்	lokalisering
இடம்	beliggenhed
இடம்	sted
இடம்	placering
இடம்	lokation
இடம்	rummet
இடம்	mellemrum
இடம்	plads
இடம்	rumforskning
இடம்	rum
செப்டம்பர்	september
பேர்	andre
பெரும்	fantastisk
பெரும்	fedt
பெரும்	stor
பெரும்	skønt
பெரும்	herligt
பெரும்	uforskammede
பெரும்	uforskammet
சி	chi
நாடுகள்	landene
நாடுகள்	lande
தொகுதி	album
தொகுதி	albummer
தொகுதி	systemet
தொகுதி	ordning
தொகுதி	system
தொகுதி	modul
தொகுதி	modulet
கிழக்கு	east
கிழக்கு	østpå
கிழக்கு	øst
கிழக்கு	orient
கிழக்கு	østlig
கிழக்கு	øst
கிழக்கு	østlige
அமைப்பு	opsætning
அமைப்பு	setup
அமைப்பு	systemet
அமைப்பு	ordning
அமைப்பு	system
அமைப்பு	indstilling
அமைப்பு	organisation
அமைப்பு	organisering
அமைப்பு	tilrettelæggelse
அமைப்பு	organisationen
அமைப்பு	strukturen
அமைப்பு	struktur
அமைப்பு	opbygning
அளவு	beløb
அளவு	mængde
அளவு	kvantitet
அளவு	mængde
அளவு	målestok
அளவு	skala
அளவு	størrelse
அளவு	størrelsen
அளவு	str
நகர்	nagar
மற்ற	andre
மற்ற	andet
இந்து	hindu
இவற்றையும்	disse
தற்போது	nu
தற்போது	aktuelt
பாடல்	sang
பாடல்	song
உண்டு	tilgængeligt
உண்டு	tilgængelige
உண்டு	tilgængelig
உண்டு	ledige
உண்டு	disponible
உண்டு	har
உண்டு	have
வாழும்	living
வாழும்	leve
வாழும்	levende
இருக்கிறது	tilgængeligt
இருக்கிறது	tilgængelige
இருக்கிறது	tilgængelig
இருக்கிறது	ledige
இருக்கிறது	disponible
நிறுவனம்	selskab
நிறுவனம்	firma
நிறுவனம்	kompagni
நிறுவனம்	virksomhed
நிறுவனம்	arbejdsgivere
நிறுவனம்	arbejdsgiver
நிறுவனம்	arbejdsgivers
நிறுவனம்	arbejdsgiveren
நிறுவனம்	organisation
நிறுவனம்	organisering
நிறுவனம்	tilrettelæggelse
நிறுவனம்	organisationen
நிறுவனம்	organisation
நிறுவனம்	tilrettelæggelse
நிறுவனம்	organisering
நிறுவனம்	organisationen
நபர்கள்	mennesker
நபர்கள்	personer
நபர்கள்	folk
நபர்கள்	people
துடுப்பாட்டக்காரர்	cricketspiller
காலனி	koloni
காலனி	kolonien
மேற்கு	west
மேற்கு	vest
மேற்கு	vestpå
மேற்கு	vestlig
மேற்கு	vest
மேற்கு	western
மேற்கு	vestligt
மேற்கு	vestlige
தலைவர்	præsidenten
தலைவர்	formand
தலைவர்	præsident
தலைவர்	leader
தலைவர்	leder
முதலில்	første
முதலில்	først
சார்ந்த	relativ
சார்ந்த	afhængighed
சார்ந்த	baseret
மேல்	øverst
மேல்	øverste
மேல்	top
மேல்	toppen
நாடு	landet
நாடு	land
நாடு	lande
மட்டும்	kun
அடிப்படையில்	grundlaget
அடிப்படையில்	grundlag
அடிப்படையில்	basis
எண்	tælling
எண்	tæller
எண்	optælling
எண்	greve
எண்	tælle
எண்	tal
எண்	antal
எண்	nummer
குறிப்பிட்ட	erklærede
குறிப்பிட்ட	specificerede
குறிப்பிட்ட	præciseret
குறிப்பிட்ட	angivet
குறிப்பிட்ட	specificeret
குறிப்பிட்ட	specifik
குறிப்பிட்ட	specifikt
குறிப்பிட்ட	specifikke
செய்ய	lav
செய்ய	foretag
செய்ய	lave
சிறிய	small
சிறிய	små
சிறிய	småt
சிறிய	lille
சிறிய	små
சிறிய	lille
வந்த	kom
வேறு	andre
வேறு	andet
மார்ச்	marts
மார்ச்	march
மார்ச்	marchere
நிலையில்	tilstand
நிலையில்	betingelse
நிலையில்	stand
நிலையில்	etape
நிலையில்	stadie
நிலையில்	scenen
நிலையில்	stage
நிலையில்	fase
பெண்	pigen
பெண்	girl
பெண்	tøs
பெண்	pige
பெண்	kvinden
பெண்	woman
பெண்	kvinde
பெண்	hunkøn
பெண்	kvindelig
பெண்	kvinde
பெண்	kvindelige
வெற்றி	succes
வெற்றி	vinder
வெற்றி	vinde
வெற்றி	vinder
வெற்றி	vindende
வெற்றி	vandt
வெற்றி	vundet
வெற்றி	sejre
வெற்றி	sejr
வெற்றி	sejren
வெற்றி	win
வெற்றி	vind
வெற்றி	vinder
வெற்றி	vinde
இணைப்பு	forbindelse
இணைப்பு	tilslutning
இணைப்பு	tilknytning
இணைப்பு	link
இணைப்பு	linket
இணைப்பு	udlæg
இணைப்பு	vedhæftet
இணைப்பு	fastgørelse
திரைப்படம்	movie
திரைப்படம்	film
திரைப்படம்	folie
திரைப்படம்	filme
திரைப்படம்	film
வகை	kategori
வகை	indtast
வகை	skriv
வகை	type
வகை	tilstand
வகை	mode
ஐந்து	fem
அதே	samme
சிறப்பு	udvalgte
சிறப்பு	udvalgt
சிறப்பு	særligt
சிறப்பு	særlige
சிறப்பு	speciel
சிறப்பு	specielle
சிறப்பு	særlig
தமிழர்	tamilerne
விட	end
சுமார்	om
சுமார்	omkring
கட்டுரைகள்	artikler
கட்டுரைகள்	genstande
கட்டுரைகள்	artiklerne
படி	læses
படி	læse
படி	læs
படி	læst
படி	skridt
படி	step
படி	trin
படி	træd
மனித	menneskeligt
மனித	menneskelige
மனித	menneskelig
மனித	menneske
பெரும்பாலும்	næsten
பெரும்பாலும்	tit
பெரும்பாலும்	ofte
கட்சி	party
கட்சி	fest
கட்சி	part
கட்சி	parti
பொது	almindelige
பொது	fælles
பொது	almindelig
பொது	offentlighed
பொது	offentligt
பொது	offentlige
பொது	offentligheden
பொது	offentlig
பொது	generelt
பொது	generel
பொது	generelle
பொது	almindelig
கல்லூரி	kollegium
கல்லூரி	college
இசை	music
இசை	musik
இசை	musikken
முறையில்	tilstand
முறையில்	mode
நாட்டின்	landet
நாட்டின்	land
நாட்டின்	lande
மத்திய	central
மத்திய	centralt
மில்லியன்	millioner
மில்லியன்	millioner
நகரம்	city
நகரம்	byen
நகரம்	storby
நகரம்	by
எந்த	hvilket
எந்த	hvilken
எந்த	hvilke
எனப்படும்	kaldt
எனப்படும்	ringet
எனப்படும்	kaldet
எனப்படும்	ringede
எனப்படும்	kaldte
நீர்	vand
செய்யும்	laver
இணைந்து	deltag
விக்கிப்பீடியா	wikipedia
சென்று	væk
சென்று	borte
பார்க்க	se
அணி	matrix
அணி	holdet
அணி	hold
அணி	teamet
அணி	team
எழுதிய	skriftlig
எழுதிய	skrevet
எழுதிய	skrev
நிலையம்	station
நிலையம்	stationen
தொடர்பான	relaterede
தொடர்பான	relateret
தொடர்பான	beslægtet
மீட்டர்	meter
மீட்டர்	målere
மீட்டர்	meter
மீட்டர்	meter
மீட்டர்	måler
இடத்தில்	stedet
இடத்தில்	place
இடத்தில்	sted
இடத்தில்	plads
கோவில்	templet
கோவில்	tempel
கோவில்	temple
மாதம்	måneder
மாதம்	måneden
மாதம்	måned
ஆய்வு	undersøgelse
ஆய்வு	studie
ஆய்வு	studier
ஆய்வு	forskning
வட	nordpå
வட	nordlige
வட	north
வட	nord
குறைந்த	lavest
குறைந்த	laveste
குறைந்த	lav
குறைந்த	lavt
குறைந்த	lave
குறைந்த	low
குறைந்த	færre
குறைந்த	mindre
டிசம்பர்	december
டிசம்பர்	dec
முன்	front
முன்	foran
முன்	forside
முன்	pre
முன்	præ
முன்	inden
முன்	før
வாழ்க்கை	liv
வாழ்க்கை	livet
வாழ்க்கை	livstid
வாழ்க்கை	life
சனவரி	januar
இரண்டாவது	sekund
இரண்டாவது	andet
இரண்டாவது	anden
இரண்டாவது	sekundære
இரண்டாவது	sekundær
இரண்டாவது	sekundært
ஆங்கிலம்	englændere
ஆங்கிலம்	engelske
ஆங்கிலம்	engelsk
ஆங்கிலம்	english
அங்கு	der
தொழில்	forretninger
தொழில்	forretning
தொழில்	erhvervslivet
தொழில்	business
தொழில்	virksomhed
தொழில்	industri
தொழில்	erhverv
தொழில்	industrien
தொழில்	erhverv
தொழில்	profession
பழைய	gammelt
பழைய	old
பழைய	gamle
பழைய	gammel
பழைய	ældre
ஆண்டுகள்	år
குறிப்பாக	særligt
குறிப்பாக	specielt
குறிப்பாக	især
குறிப்பாக	specielt
குறிப்பாக	især
குறிப்பாக	specifikt
குறிப்பாக	specielt
பார்க்கவும்	besøg
பார்க்கவும்	visit
பார்க்கவும்	besøge
பார்க்கவும்	se
துறை	afdeling
துறை	departement
துறை	afdelingen
துறை	havne
துறை	portvin
துறை	havn
துறை	port
குறிக்கும்	peger
குறிக்கும்	pegede
கடல்	marinesoldat
கடல்	marine
கடல்	søs
கடல்	sea
கடல்	hav
கடல்	havet
கடல்	havet
கடல்	hav
கடல்	ocean
போல	gerne
போல	like
இதற்கு	til
இதற்கு	for
சிறு	small
சிறு	små
சிறு	småt
சிறு	lille
சிறு	mindreårige
சிறு	mindreårig
சிறு	mindre
தென்	sydpå
தென்	sydlige
தென்	syd
உயர்	høj
உயர்	højt
உயர்	høje
உயர்	deluxe
வடக்கு	nordpå
வடக்கு	nordlige
வடக்கு	north
வடக்கு	nord
ஆட்சி	kongeriget
ஆட்சி	kongerige
ஆட்சி	regel
ஆட்சி	reglen
ஆட்சி	styreformer
ஆட்சி	regeringsførelse
ஆட்சி	ledelse
ஆட்சி	forvaltning
ஆட்சி	styring
ஆட்சி	regere
ஆட்சி	regeringstid
மக்களின்	mennesker
மக்களின்	personer
மக்களின்	folk
மக்களின்	people
நோய்	sygdom
நோய்	sygdomme
நோய்	sygdom
தேர்தல்	valg
உற்பத்தி	produktion
உற்பத்தி	fremstilling
உற்பத்தி	fremstilling
உற்பத்தி	fremstillingsvirksomhed
உற்பத்தி	fabrikation
ஆக	aug
வந்தது	ankom
வந்தது	ankommet
வந்தது	kom
கலை	arts
கலை	kunst
கலை	art
கலை	kunsten
கலை	kunst
தங்கள்	deres
சமூக	socialt
சமூக	social
போல்	bol
போல்	gerne
போல்	like
தர	kvalitet
தர	kvaliteten
நூற்றாண்டு	århundrede
அவருடைய	hans
உலகின்	verdener
அமெரிக்கா	america
அமெரிக்கா	amerika
அமெரிக்கா	usa
பகுதிகளில்	områder
பகுதிகளில்	arealer
வந்து	kom
பரிசு	præmie
பரிசு	gaven
பரிசு	gave
பிரிவு	kategori
பிரிவு	afdeling
பிரிவு	opdeling
பிரிவு	division
பிரிவு	hovedgruppe
பிரிவு	afdeling
பிரிவு	sektion
பிரிவு	afsnittet
பிரிவு	afsnit
உடல்	body
உடல்	lig
உடல்	kroppen
உடல்	krop
இவர்கள்	disse
கூட	selv
கூட	også
கூட	også
எழுத்தாளர்	forfatter
எழுத்தாளர்	skribent
குழு	gruppe
குழு	group
குழு	gruppen
இலக்கிய	litteratur
இலக்கிய	litteraturen
இலக்கிய	litterære
இலக்கிய	litterær
விளையாட்டு	gaming
விளையாட்டு	sports
விளையாட்டு	sport
விளையாட்டு	sportsgrene
விளையாட்டு	vildt
விளையாட்டு	spillet
விளையாட்டு	kamp
விளையாட்டு	spil
விளையாட்டு	leg
விளையாட்டு	idræt
விளையாட்டு	sport
விளையாட்டு	sporten
உறுப்பினர்கள்	medlemmer
உறுப்பினர்கள்	medlemmerne
இறப்பு	death
இறப்பு	død
இறப்பு	døden
இறப்பு	dødsfald
இறப்பு	dødelighed
இறப்பு	dødeligheden
இறப்பு	mortalitet
அடி	fod
அடி	fødderne
அடி	fødder
அடி	ramte
அடி	ramt
அடி	slå
அடி	hit
துணை	kompagnon
துணை	partner
துணை	samarbejdspartner
துணை	makker
துணை	understøttelse
துணை	support
துணை	støt
துணை	støtte
துணை	næstformand
துணை	vice
துணை	sub
துணை	assisterende
துணை	stedfortræder
துணை	vicesherif
துணை	stedfortrædende
பதிப்பு	udgaven
பதிப்பு	udgave
பதிப்பு	edition
பதிப்பு	version
பதிப்பு	versionen
பதிப்பு	udgave
சொல்	sig
சொல்	ord
சொல்	ordet
சொல்	word
சொல்	fortæl
தெற்கு	sydpå
தெற்கு	sydlige
தெற்கு	syd
கட்டுரை	essay
கட்டுரை	komposition
கட்டுரை	sammensætning
கட்டுரை	artikler
கட்டுரை	genstande
கட்டுரை	artiklerne
வட்டம்	cirkel
வட்டம்	kreds
சராசரி	gennemsnitlige
சராசரி	gennemsnitlig
சராசரி	gennemsnit
சராசரி	mener
சராசரி	middelværdi
தொலைக்காட்சி	tv
தொலைக்காட்சி	fjernsynet
தொலைக்காட்சி	fjernsyn
முன்னாள்	tidligere
எண்ணிக்கை	tælling
எண்ணிக்கை	tæller
எண்ணிக்கை	optælling
எண்ணிக்கை	greve
எண்ணிக்கை	tælle
எண்ணிக்கை	hyppighed
எண்ணிக்கை	frekvens
தவிர	udelukke
தவிர	undtagen
நடிகர்	skuespilleren
நடிகர்	skuespiller
நடிகர்	aktør
பாடல்கள்	sange
இன்று	idag
சட்டம்	rammen
சட்டம்	ramme
சட்டம்	jura
சட்டம்	lovgivning
சட்டம்	lov
சட்டம்	lovligt
சட்டம்	lovlige
சட்டம்	juridiske
சட்டம்	juridisk
சட்டம்	handle
சட்டம்	retsakt
சட்டம்	akt
சட்டம்	act
அருகில்	nær
அருகில்	nærheden
அருகில்	nærliggende
நேரம்	tid
நேரம்	tidspunkt
நேரம்	gang
நேரம்	klokkeslæt
நேரம்	tiden
முதலாவது	første
முதலாவது	først
நாம்	lader
மூலமாக	gennem
மூலமாக	via
மூலமாக	gennem
மூலமாக	igennem
உணவு	levnedsmidler
உணவு	mad
உணவு	fødevarer
குறித்து	om
குறித்து	omkring
பெப்ரவரி	februar
பகுதிகள்	segmenter
பகுதிகள்	bestanddel
பகுதிகள்	komponenten
பகுதிகள்	komponent
பகுதிகள்	regionerne
பகுதிகள்	regioner
பகுதிகள்	områder
பகுதிகள்	reservedele
பகுதிகள்	dele
பகுதிகள்	områder
பகுதிகள்	arealer
நிறுவனங்கள்	organisationer
நிறுவனங்கள்	organisationerne
நிறுவனங்கள்	selskaber
நிறுவனங்கள்	virksomheder
நிறுவனங்கள்	firmaer
ஜனவரி	januar
எழுத்தாளர்கள்	forfattere
நல்ல	god
நல்ல	gode
நல்ல	godt
அடுத்த	næste
படம்	billed
படம்	billede
படம்	foto
படம்	billede
படம்	photo
படம்	image
படம்	billede
படம்	billedet
பாதுகாப்பு	forsvar
பாதுகாப்பு	forsvaret
பாதுகாப்பு	sikre
பாதுகாப்பு	tryg
பாதுகாப்பு	safe
பாதுகாப்பு	sikker
பாதுகாப்பு	beskyttelse
பாதுகாப்பு	sikkerheden
பாதுகாப்பு	sikkerhed
பாதுகாப்பு	tryghed
பாதுகாப்பு	sikkerhed
தஞ்சாவூர்	thanjavur
தந்தை	far
தந்தை	fader
பங்கு	rolle
பார்க்கப்பட்ட	set
பயன்படுத்தி	bruger
அவர்களின்	deres
செய்த	made
செய்த	lavet
செய்த	foretaget
நியூ	niue
பதிவு	indtryk
பதிவு	visning
பதிவு	registrer
பதிவு	register
பதிவு	registret
பதிவு	plade
பதிவு	optag
பதிவு	record
பதிவு	rekord
பதிவு	registrering
பதிவு	tilmelding
பதிவு	indregistrering
பதிவு	indlæg
பதிவு	opslag
பதிவு	post
ஐரோப்பிய	europæisk
ஐரோப்பிய	europæiske
முழுவதும்	helt
முழுவதும்	fuldstændigt
முழுவதும்	fuldstændig
முழுவதும்	mæt
முழுவதும்	fuld
முழுவதும்	fuldt
முழுவதும்	fulde
முழுவதும்	full
முழுவதும்	udfyldes
முழுவதும்	fuldstændig
முழுவதும்	fuldført
முழுவதும்	komplet
பயனர்	brugeren
பயனர்	bruger
தொடர்	seriemorder
தொடர்	fortsæt
தொடர்	fortsætte
போன்றவை	etc
போன்றவை	mv
போன்றவை	osv
ஜூன்	jun
ஜூன்	juni
ஜூன்	june
வழியாக	gennem
வழியாக	via
உறுப்பினர்	medlem
உறுப்பினர்	medlemskab
உறுப்பினர்	medlemsskab
உறுப்பினர்	klienten
உறுப்பினர்	kunden
உறுப்பினர்	klient
உறுப்பினர்	kunde
ஆசிரியர்	chefredaktør
ஆசிரியர்	editor
ஆசிரியர்	redigering
ஆசிரியர்	redaktør
ஆசிரியர்	læreren
ஆசிரியர்	lærer
ஆசிரியர்	forfatteren
ஆசிரியர்	forfatter
ஆசிரியர்	forslagsstiller
ஆசிரியர்	ophavsmand
ஆஃப்	slukket
ஆஃப்	off
முக்கியமான	vigtig
முக்கியமான	vigtigt
முக்கியமான	vigtige
முக்கியமான	kritisk
முக்கியமான	kritiske
தொடர்பு	kontakt
தொடர்பு	henvendelse
செய்தார்	gjorde
ஜூலை	juli
ஆற்றல்	energi
கிலோ	kilo
வேலை	arbejder
வேலை	arbejd
வேலை	arbejde
வேலை	arbejdet
வேலை	jobbet
வேலை	job
இருக்கலாம்	måske
சமய	religiøst
சமய	religiøse
சமய	religiøs
பணி	jobbet
பணி	job
பணி	arbejder
பணி	arbejd
பணி	arbejde
பணி	arbejdet
பணி	arbejdsopgave
பணி	opgave
கதை	historien
கதை	story
கதை	historie
அதிகமாக	knap
இடையே	mellem
இடையே	imellem
பட்டம்	eksamen
பட்டம்	graduering
பட்டம்	grad
பட்டம்	drage
வழி	trail
வழி	sporet
வழி	vej
வழி	way
வழி	måde
அப்போது	derefter
அப்போது	så
விடுதலை	befrielse
விடுதலை	frigørelse
விடுதலை	freedom
விடுதலை	frihed
விடுதலை	friheden
ஆகஸ்ட்	august
தேதி	date
தேதி	dato
பிறந்த	fødsler
பிறந்த	fødsel
பிறந்த	fødslen
இன்னும்	og
இன்னும்	stadig
இன்னும்	stadigvæk
ஜான்	johannes
ஜான்	john
ஜான்	harald
ஜான்	jon
ஜான்	jaan
அடுத்து	næste
சேவை	betjening
சேவை	forkyndelse
சேவை	tjenesteydelse
சேவை	tjeneste
சேவை	service
கருத்து	kommentere
கருத்து	bemærkning
கருத்து	kommentar
கருத்து	tilbagemelding
கருத்து	feedback
கருத்து	tilbagemeldinger
கருத்து	emne
கருத்து	tema
காரணம்	grund
காரணம்	begrundelse
காரணம்	årsag
காரணம்	årsag
காரணம்	årsagen
தனி	privat
தனி	private
தனி	separat
தனி	særskilt
தனி	adskilt
தனி	separate
அவருக்கு	ham
நீண்ட	boing
நீண்ட	lang
நீண்ட	lange
நீண்ட	længe
பள்ளி	skolen
பள்ளி	school
பள்ளி	skole
மகன்	søn
சர்வதேச	international
சர்வதேச	internationalt
சர்வதேச	internationale
எல்லா	alle
எல்லா	alt
பொருட்கள்	genstande
பொருட்கள்	objekter
பொருட்கள்	punkterne
