bosna	bosna
zahraničné	stranim
stuttgart	stuttgart
kovy	metal
kovy	metale
kovy	metali
hamburg	hamburg
oslobodenie	oslobodilački
oslobodenie	oslobođenje
oslobodenie	olakšanje
bydlisko	stanovnik
bydlisko	boravka
mag	mag
bobby	bobi
bobby	bobby
náhodou	slučajno
napísali	pisani
napísali	napisano
napísali	zapisano
napísali	napisao
napísali	pisan
napísali	pisao
napísali	pisala
napísali	napisao
napísali	pisao
tiger	tigar
nadácie	temeljima
nadácie	temelja
nadácie	temelji
nadácie	temelje
detaily	opširnije
detaily	detalje
detaily	detalji
kolektív	collective
kolektív	kolektivni
kolektív	kolektivna
kolektív	kolektiv
philippe	philippe
ľad	led
lese	woods
mostov	mostove
mostov	mostovi
mostov	mostova
jadrovej	nuklearno
jadrovej	nuklearni
jadrovej	nuklearna
rap	rep
odolnosť	otpor
odolnosť	otpornost
odolnosť	otpornosti
jay	jay
podobnú	slični
podobnú	slične
podobnú	sličan
podobnú	slična
podobnú	sličnim
teórií	teorije
čou	zhoua
záhreb	zagreb
leonardo	leonardo
sľuby	obećava
sľuby	obećanja
vertebrata	vertebrata
súčet	sum
súčet	suma
umiestnenia	plasman
umiestnenia	lokacija
umiestnenia	lokacijama
umiestnenia	lokacije
umiestnenia	lokacija
formátu	formatu
formátu	formata
formátu	format
záhrade	bašti
záhrade	bašte
záhrade	bašta
záhrade	džennet
záujmov	interesa
záujmov	interese
záujmov	interesi
záujmov	interesima
derby	derbi
teréne	terenu
robinson	robinson
zubov	zube
zubov	zuba
zubov	zubi
zubov	zubima
bela	bela
sierra	sierra
prusko	pruska
portugalský	portugalski
case	slučaj
vlakov	vozove
vlakov	vozovi
vlakov	vozova
soľ	so
castle	dvorac
zjednotenie	ujedinjenje
väzba	obavezujuća
väzba	staranje
väzba	pritvoru
väzba	bondu
tradícia	tradicija
povesti	glasine
nástupcu	nasljednik
nástupcu	nasljednika
nástupcu	nasljednica
aktuálny	trenutna
katalóg	katalog
katalóg	katalog
nelson	nelson
rastú	rastu
rastú	rasti
sčítanie	popis
výklad	tumačenje
výklad	tumače
znamenal	značilo
pozemné	terenu
pozemné	tlo
pozemné	kopnena
pozemné	tlu
pozemné	ground
pohľady	okretati
pohľady	pogledi
pohľady	poglede
cestná	put
zásah	miješanja
zásah	intervencija
zásah	intervencije
warner	warner
zdravotné	medicinska
zdravotné	medicinski
zdravotné	medical
zdravotné	zdravlje
chybu	grešku
chybu	greška
založiť	baza
jules	jules
prúdov	tokove
komédia	komedija
watanabe	watanabe
kresťanov	hrišćani
angel	anđeo
faktor	faktor
litva	litvanija
zavraždený	ubila
zavraždený	ubio
zavraždený	ubijena
zavraždený	ubijen
phil	phil
rob	rob
zastúpené	zastupljena
zastúpené	predstavljao
zastúpené	predstavljena
spôsobujú	izazivaju
spôsobujú	uzrokujući
ponúkol	ponudio
ponúkol	ponudila
presun	transfer
presun	prijenos
presun	move
presun	potez
presun	pokret
presun	pokret
carter	carter
poistenie	osiguranje
poistenie	osiguranja
finančne	finansijski
kroky	koraka
kroky	koraci
kroky	tragovima
zmazať	izbrisati
bohatý	bogata
bohatý	bogato
bohatý	bogati
bohatý	bogatim
bohatý	bogat
erich	erich
informatiky	informatika
suchá	suha
suchá	suho
poddruh	podvrsta
slnečná	solarni
slnečná	sunčev
slnečná	solarne
infraštruktúra	infrastruktura
svetom	world
svetom	svjetski
svetom	svijet
nahrávanie	opremanje
nahrávanie	upload
nahrávanie	snimanje
nahrávanie	rekord
nahrávanie	rekordno
nahrávanie	bilježe
nahrávanie	rekordnih
čítať	čita
záchranu	spašavanja
záchranu	spašavanje
wood	drva
wood	drvo
klavirista	pijanist
dutiny	šupljina
mer	mer
organické	organska
portálu	portal
vyvinuli	razvio
vyvinuli	evoluirala
vyvinuli	evoluirao
vyvinuli	evoluirali
vyvinuli	razvijen
skutočné	real
skutočné	pravi
skutočné	stvarni
skutočné	stvarne
domény	domena
návštevy	posjetioci
návštevy	posjetu
návštevy	posjeta
návštevy	posjeta
predstaviť	uvesti
predstaviť	zamisli
citát	citat
citát	navodom
odborov	sindikati
štvrté	četvrta
štvrté	četvrti
štvrté	četvrto
štvrté	četvrtog
štvrté	četvrtom
jonas	jonas
barry	barry
equus	equus
licencie	dozvole
licencie	licence
licencie	licenciranje
nákladu	cargo
nákladu	teretni
budovať	izgradnji
budovať	gradi
budovať	grade
budovať	graditi
budovať	sagraditi
hlboké	duboka
hlboké	duboke
hlboké	duboko
hlboké	dubok
hlboké	deep
odhad	procjenjuje
odhad	procjena
vojnový	rat
vojnový	ratu
folk	folk
koalície	koalicija
charakteristiky	specifičnosti
charakteristiky	karakteristike
briti	britanski
briti	britansko
briti	britanska
briti	britanske
briti	britanci
čínske	kineski
mama	mama
mama	mama
mama	majka
mama	mum
zisku	profit
zisku	dobit
zaznamenané	snimila
zaznamenané	snimljene
zaznamenané	snimljen
zaznamenané	snimio
zaznamenané	zapaža
zaznamenané	ukazao
zaznamenané	naglašeno
prepustený	objavljeni
prepustený	pušten
prepustený	pušteni
prepustený	otpušten
prepustený	puštene
venuša	venera
väzení	zatvor
centrálne	central
centrálne	centralni
centrálne	centralna
porážku	poraz
porážku	poraza
budúci	sljedeći
budúci	narednu
budúci	sledeći
budúci	slijedeći
harvard	harvard
olympic	olimpijski
nepriateľov	neprijateljima
nepriateľov	neprijatelji
nepriateľov	neprijatelja
geometria	geometrija
reprezentácia	zastupljenost
reprezentácia	predstavništvo
reprezentácia	predstavljanja
priatelia	prijatelji
priatelia	friends
verše	ajeti
verše	ajeta
socialistická	socijalistička
prince	princ
prince	prince
vrtuľníky	helikoptera
titan	titan
cook	cook
diely	dijela
diely	dijelovi
diely	delovi
diely	dijelove
diely	rezovi
diely	rezova
diely	rezove
charlotte	charlotte
počuť	čuti
počuť	čujem
počuť	hear
počuť	čuju
chemicky	hemijski
matthew	matthew
emanuel	emanuel
oskar	oskar
oskar	oskar
oskar	oscar
predstavenie	nastup
predstavenie	show
predstavenie	emisiju
predstavenie	nastup
predstavenie	šou
predstavenie	sou
bohato	bogato
vraždy	ubistva
vraždy	ubistvo
vraždy	ubistvima
vraždy	ubistava
vraždy	ubistva
podvozok	šasije
zavedená	uvedeno
zavedená	uveo
zavedená	uveden
zavedená	uvedena
ensign	zastavnik
lisa	lisa
vybrať	odabrao
vybrať	biraju
vybrať	birati
vybrať	izabere
vybrať	izabrao
vybrať	biraju
vybrať	odabir
činiteľ	faktor
fred	fred
adrian	adrian
dvořák	dvořák
štandardy	standardi
štandardy	standarde
štandardy	standarda
planéte	planeta
čisté	neto
čisté	net
čisté	čisti
čisté	čisto
čisté	čista
čisté	čistu
čisté	čistim
čisté	čista
čisté	čist
čisté	čistom
ukončený	ukinut
súbežne	istovremeno
súbežne	paralelnost
súbežne	paralelna
súbežne	paralelnih
súbežne	paralelne
súbežne	paralelni
súbežne	paralelno
tvrdenia	tvrdnje
tvrdenia	tvrdi
tvrdenia	navode
tvrdenia	argumente
tvrdenia	argumenti
alois	alois
ručne	ručno
súkromný	privatno
súkromný	privatne
súkromný	privatni
súkromný	privatna
scaleminor	scaleminor
plody	plod
plody	voće
plody	plod
fórum	forumima
fórum	forum
pestovanie	rastući
pestovanie	rastuća
pestovanie	raste
pestovanie	rastuće
pestovanie	podmetanja
pestovanie	kultivacije
relácia	sjednicu
relácia	sjednici
relácia	sjednica
relácia	odnosu
cooper	cooper
nahradená	zamijenio
nahradená	zamijenjeni
logiky	logika
pohyby	kretanje
pohyby	pokreti
pohyby	poteza
psychológ	psiholog
slávnosti	festival
terminológia	terminologija
bytosti	bića
bytosti	bićima
bytosti	stvorenja
samice	ženke
samice	ženka
súradnice	koordinaciju
súradnice	koordinate
senátu	senat
grafický	grafički
grafický	grafički
plukovník	pukovnik
joj	joj
michelangelo	michelangelo
potomkov	potomaka
potomkov	potomci
melbourne	melbourne
korunu	kruna
korunu	krunu
agent	agens
agent	agent
tém	teme
kapitola	poglavlje
železo	željezo
labe	laba
konečný	finale
konečný	završni
konečný	konačni
efektívne	efikasno
efektívne	efikasnom
efektívne	efikasan
efektívne	efikasna
efektívne	faktički
efektívne	efikasan
efektívne	efikasno
efektívne	efikasno
najnovšie	nedavne
najnovšie	nedavni
najnovšie	nedavna
najnovšie	nedavnim
najnovšie	najnovije
najnovšie	najnoviji
najnovšie	najnovija
najnovšie	najnovije
poľnohospodárske	poljoprivredni
dramaturg	dramaturg
dolní	dolní
kaplnke	kapela
sasko	saksonija
modra	plava
jadrom	jezgro
jadrom	jezgra
papiera	papir
spol	saradnici
hlasovať	glasanje
liverpool	liverpool
opravy	korekcija
opravy	fixes
opravy	popravke
dia	dija
mačky	mačke
mačky	cats
mačky	mačaka
trestné	krivično
trestné	krivičnog
brigády	brigade
brigády	brigada
teológia	teologije
varšave	varšava
následné	naknadna
ľudský	čovjek
potrieb	treba
útek	bijeg
útek	pobjegne
zaťaženie	učitavanje
zaťaženie	teret
zaťaženie	učitavanje
tal	tal
tal	talj
vlastnil	vlasništvu
sarah	sarah
sarah	sara
venované	klanjao
československo	čehoslovačka
spolupracovať	sarađivati
spolupracovať	sarađivao
spolupracovať	sarađuje
vyhlásenia	izjave
vyhlásenia	najavama
sebastian	sebastian
klaus	klaus
obsahujúce	nalazili
dôsledky	implikacijama
dôsledky	implikacija
dôsledky	posljedice
dôsledky	posledica
váhy	vaga
váhy	tegove
zámer	namjera
zámer	namjeru
zámer	namjerom
zámer	namjera
zámer	namjere
hladina	nivo
iniciatívy	inicijativa
symbolov	simboli
symbolov	simbola
mons	mons
empire	carstvo
vietname	vijetnam
piatok	petak
používateľ	korisnički
používateľ	korisnik
made	made
made	napravio
made	napravljena
made	napravljen
made	napravila
etapy	etapa
etapy	stadijuma
pristál	sletio
rozširuje	proširuje
osád	naselja
žltý	žuta
abd	abd
odmietli	odbio
novšie	noviji
novšie	novije
jamie	jamie
náčelník	načelnik
náčelník	glavni
náčelník	šef
sociálny	društvena
sociálny	društvene
sociálny	društvenu
sociálny	socijalna
porto	porto
rozdielne	drugačija
rozdielne	drugačije
rozdielne	različita
rozdielne	različito
rozdielne	različiti
rozdielne	različitih
rozdielne	divergentna
deutsche	deutsche
adresu	adresa
rumunský	rumunski
lebky	lobanja
úseky	sekcije
priemyselná	industrijske
priemyselná	industrijska
priemyselná	industrijski
kras	kraške
uhlie	ugalj
uhlie	ugalj
uhlie	uglja
abeceda	abeceda
komédie	komedija
kopa	gomilu
duchovné	duhovne
duchovné	duhovni
duchovné	duhovnih
duchovné	duhovno
duchovné	duhovnog
duchovné	duhovnu
extra	dodatni
vzdať	predaju
vzdať	>>
vzdať	predaja
snahu	napor
snahu	trud
nárok	tvrde
nárok	tvrdnju
chýb	greške
chýb	grešaka
chýb	greške
chýb	baje
medi	bakar
pokryté	pokriveni
pokryté	pokrivena
pokryté	pokrivene
poskytnúť	obezbijedi
poskytnúť	obezbijediti
zavedený	uvedeno
zavedený	uveo
zavedený	uveden
zavedený	uvedena
jednotlivcov	pojedinci
archeológ	arheolog
archeológ	arheolog
organizmus	organizam
organizmus	organizma
junior	juniorsko
junior	juniorska
junior	junior
junior	mlađi
životy	živi
životy	živote
frekvencie	frekvencije
frekvencie	frekvencija
autobus	autobus
výrobcu	producent
výrobcu	proizvođač
tisícročia	milenij
prednášky	predavanja
prednášky	predavanje
ulrich	ulrich
akademický	akademik
akademický	akademska
akademický	akademske
návrhov	prijedlozima
praktické	praktične
praktické	praktična
praktické	praktični
estadio	stadion
počasie	vremenska
nominácia	nominaciju
nominácia	nominacija
trio	trio
skúsenosť	iskustva
skúsenosť	iskustvo
najmladší	najmlađe
najmladší	najmlađi
sklo	staklo
preložené	prevedene
preložené	preveden
preložené	prevedena
disciplíne	discipline
wwe	wwe
elektrických	električne
elektrických	električna
elektrických	električni
elektrických	električna
elektrických	električni
adresy	adrese
adresy	obraća
family	porodica
family	porodično
operáciu	hirurgija
vzdialený	udaljenim
vzdialený	udaljeni
vzdialený	udaljene
vzdialený	daleki
vzdialený	udaljeni
vzdialený	udaljene
naučil	naučila
naučil	naučili
naučil	saznao
naučil	naučio
naučil	učio
naučil	učili
existoval	postojala
existoval	postojalo
existoval	postojao
existoval	postojale
porasty	plantaže
dmitrij	dmitrij
pohlavia	spol
pohlavia	spol
wars	ratovi
dallas	dallas
karibiku	karipsko
karibiku	karipska
karibiku	kariba
broughton	broughton
timeaxis	timeaxis
zrýchlenie	ubrzanje
core	jezgro
core	jezgra
paralelne	paralelnost
paralelne	paralelna
paralelne	paralelnih
paralelne	paralelne
paralelne	paralelni
paralelne	paralelno
lipa	lipa
challenger	izazivač
bytov	stanova
bytov	bajtova
bytov	apartmana
bytov	stanova
centrálny	central
centrálny	centralni
centrálny	centralna
rodičmi	roditelji
eddie	eddie
eddie	edi
nymburk	nymburk
ross	ros
ross	ross
média	media
média	mediji
fritz	fritz
afganistane	afganistan
rádia	radio
afrických	afrički
afrických	afričke
afrických	afričkih
afrických	afrička
terminál	terminal
memoriam	memoriam
konstantin	konstantin
armstrong	armstrong
lekára	ljekar
lekára	doktor
rukopis	rukopis
shoemaker	shoemaker
projektom	projekti
projektom	projekata
prózy	proza
margaret	margaret
pridáva	dodaje
nebezpečné	opasnu
nebezpečné	opasna
nebezpečné	opasne
nebezpečné	opasan
nebezpečné	opasni
nebezpečné	opasno
nebezpečné	opasni
pristáli	sletio
škótsku	škotska
berkeley	berkeley
venovaná	posvetio
venovaná	posvećen
platnosť	važeći
platnosť	validnost
výchovu	odgoja
výchovu	odgoj
child	dijete
zostať	ostala
zostať	ostati
zostať	ostanu
zostať	boravka
polo	polo
sporné	upitna
neba	nebo
baktérie	bakterije
baktérie	mikrobe
main	glavne
main	glavna
main	glavno
main	glavni
grafika	grafika
vodcov	lideri
estónsko	estonija
sodný	natrijum
sodný	natrij
schopností	sposobnosti
medzinárodne	međunarodno
médium	media
médium	mediji
médium	psihičke
médium	medium
médium	srednji
médium	srednjim
médium	srednje
médium	srednja
vyhláška	uredba
vyhláška	propis
vyhláška	dekretom
vyhláška	dekret
geometrie	geometrija
fakticky	činjenično
zachránil	spasio
pravdepodobnosť	šanse
pravdepodobnosť	vjerovatnoća
guide	vodič
airbus	airbus
komentár	komentara
komentár	komentar
komentár	komentari
komentár	komentarima
neskoro	kasni
neskoro	kasno
dokázať	demonstriraju
dokázať	dokaže
dokázať	dokazati
dokázať	dokazali
dokázať	dokazuju
vybraný	odabrane
vybraný	izabrao
vybraný	izabranim
vybraný	odabran
vybraný	odabrano
vybraný	odabrane
vybraný	odabrana
zvon	bell
kult	kult
usb	usb
veží	kule
tajne	tajno
dodáva	dodaje
kryštály	kristali
unit	jedinica
lightgrey	lightgrey
belfort	belfort
príbuzných	rodbina
polomer	poluprečnik
nákladné	teretni
nechce	želi
užitočné	koristan
užitočné	saradnici
užitočné	korisno
užitočné	korisni
užitočné	korisne
užitočné	korisna
užitočné	korisni
športovcov	sportista
športovcov	sportisti
dos	dos
terénu	terenu
otázok	pitanja
kantónov	kantona
kantónov	kantoni
širokú	široka
širokú	široki
širokú	širokog
širokú	široku
širokú	široke
širokú	wide
širokú	široki
širokú	široko
širokú	široka
buffalo	buffalo
pripravený	spremno
pripravený	spreman
pripravený	spremni
chemickej	hemijska
chemickej	hemikalija
chemickej	hemijsko
chemickej	hemijski
špecifikácie	specifikacije
obnoviť	reset
obnoviť	vraćanje
vodiča	vozač
vodiča	vozača
vajíčka	jaja
zavedené	uvedeno
zavedené	uveo
zavedené	uveden
zavedené	uvedena
zavedené	provela
zavedené	sprovedene
odborník	stručna
odborník	ekspertni
odborník	stručni
odborník	stručnjak
odborník	ekspert
odborník	specijalista
odborník	stručnjak
sietí	nets
sietí	mreže
sietí	mreža
matematické	matematički
matematické	matematička
magazín	magazin
chápe	razumije
hrdinovia	heroji
bloky	blokovi
táborov	logori
táborov	logora
táborov	logore
táborov	logorima
predkov	preci
predkov	predaka
guinea	gvineja
ralph	ralph
dáma	ledi
dáma	dami
dáma	dama
dáma	lady
populárna	popularna
populárna	popularan
populárna	popularni
drámy	drama
hospodárska	ekonomske
hospodárska	ekonomska
hospodárska	ekonomski
hodnotenia	rejting
robotník	radnik
premena	pretvaranje
premena	metamorfoza
premena	transformacija
premena	transformacije
premena	transformaciju
vyriešiť	rješavanjem
vyriešiť	rješavanja
vyriešiť	riješiti
vyriešiť	riješi
vyriešiť	rješavanje
mobile	mobilni
mobile	mobilne
živí	hrani
živí	živa
pietro	pietro
roland	roland
spracovania	obrade
spracovania	obradu
spracovania	obradi
výslovnosť	pronunciation
vydávanie	izdavanje
vydávanie	izdavanje
vydávanie	izdavačka
vydávanie	izdavačke
vydávanie	izdavačkom
autorka	autor
politikov	političari
uzavretá	zatvorena
uzavretá	zatvoreno
uzavretá	zatvorio
jeruzalem	jerusalem
stôp	stopala
stôp	stopa
stôp	tragovi
kennedy	kenedi
kennedy	kennedy
pilotov	piloti
pilotov	pilota
odráža	ogleda
odráža	odražava
spoločná	zajedničke
dolu	down
dolu	oboren
dolu	dole
progress	napredak
obľúbené	favorit
obľúbené	popularna
obľúbené	popularan
obľúbené	popularni
obľúbené	favoriti
obľúbené	miljenika
obľúbené	omiljeni
obľúbené	miljenik
obľúbené	omiljeno
obľúbené	favoriti
kino	kino
kino	kino
kino	kinematografija
kino	cinema
značku	marka
bomba	bomba
aplikácia	primjenu
aplikácia	aplikacija
aplikácia	prijavu
aplikácia	prijavi
aplikácia	aplikativni
aplikácia	prijave
aplikácia	app
aplikácia	aplikacija
aplikácia	aplikaciju
ázijské	azijsko
ázijské	azijski
ázijské	azijske
ázijské	azijska
zástupcu	zamjenik
štandardný	default
štandardný	uobičajeni
štandardný	uobičajena
štandardný	standardni
psychológie	psihologija
zameranie	fokusirajući
zameranie	fokusu
zameranie	fokus
meter	metar
meter	metra
príbehov	priče
príbehov	priče
príbehov	price
jevgenij	yevgeny
pozor	pažnja
podrobnosti	opširnije
podrobnosti	detalje
podrobnosti	detalji
podrobnosti	detalj
obnovenie	obnovu
obnovenie	obnavljanje
obnovenie	obnova
obnovenie	obnove
obnovenie	obnovu
oldřich	oldřich
metódu	metod
malta	malta
uzol	čvor
uzol	čvor
prednosť	prioritet
prednosť	precedence
ean	ean
menšiny	manjina
menšiny	manjinska
menšiny	manjinu
menšiny	manjine
prietok	protoka
prietok	protok
prietok	flow
prietok	strujanje
prietok	teku
prevzaté	odveden
prevzaté	uzeo
prevzaté	donesena
mŕtvy	mrtva
mŕtvy	mrtvi
mŕtvy	mrtvo
mŕtvy	mrtav
vyrábali	proizvedena
leonard	leonard
menšiu	manji
menšiu	manja
algoritmus	algoritam
ovládanie	kontrolisanje
ovládanie	kontrolisati
ovládanie	kontroliše
ovládanie	kontroli
ovládanie	kontrola
ovládanie	kontroliše
ovládanie	kontrolira
strieborná	srebro
vchod	ulaz
niesol	nosili
popravený	pogubljen
bel	bel
neoficiálne	nezvanični
neoficiálne	nezvanično
chicagu	chicago
tvoj	vaš
tvoj	tvoje
tvoj	your
tvoj	tvoje
tvoj	tvoj
sekundárne	sekundarna
sekundárne	sekundarni
sekundárne	srednjih
sekundárne	srednje
skok	jump
skok	skok
zoskupenie	jato
gnu	gnu
obmedzenia	ograničenja
obmedzenia	ograničenjima
obmedzenia	ograničenja
obmedzenia	ograničenja
reakciu	reakcija
tisíce	hiljade
pec	peć
pec	peć
pec	pec
pec	peć
testovanie	testiranje
železníc	željeznice
železníc	željeznica
otvorene	otvoreno
original	originalni
original	originalna
original	prvobitni
original	originalne
original	original
ekvivalent	ekvivalentni
ekvivalent	ekvivalent
formáte	formatu
formáte	formata
formáte	format
kapitánom	kapiten
kapitánom	kapetan
belo	belo
šľachtic	plemić
bejzbal	bejzbol
križovatky	raskrsnica
križovatky	čvorište
križovatky	prelazaka
križovatky	prijelaza
križovatky	raskrsnice
križovatky	raskrsnica
hollywood	hollywood
obchodník	trgovac
vegas	vegas
široko	generalno
rekonštrukcie	rekonstrukcije
rekonštrukcie	rekonstrukcija
rekonštrukcie	obnova
rekonštrukcie	rekonstrukciju
rekonštrukcie	reconstruction
ken	ken
žiadal	ustvrdio
žiadal	preuzela
žiadal	tvrdili
žiadal	tvrdio
chaos	haos
viacej	više
schneider	schneider
collins	collins
vysielač	predajnika
symbolizuje	simbolizira
nominácie	nominacije
chýbajú	nestala
chýbajú	nestale
chýbajú	missing
chýbajú	nestao
chýbajú	nestali
chýbajú	nedostaje
alba	alba
sledovanie	praćenje
sledovanie	praćenja
sledovanie	praćenje
sledovanie	monitoring
sledovanie	nadzor
sledovanie	povode
sledovanie	slijede
sledovanie	slijedi
scénu	scena
bohatstvo	bogatstvo
bohatstvo	bogatstvo
bohatstvo	bogatstvo
titulok	headline
titulok	caption
titulok	titula
ovocie	plod
ovocie	voće
ovocie	plod
kamery	kamere
observatórium	opservatorija
proste	samo
minca	novčić
minca	novčića
označiť	tag
označiť	marka
označiť	mark
videli	uočena
videli	vidjeli
videli	viđena
videli	vidio
videli	viđen
videli	vidio
baptiste	baptiste
náboženská	vjerski
náboženská	vjersko
náboženská	vjerskim
náboženská	vjerska
náboženská	vjerskih
náboženská	vjerske
kvapaliny	tečnosti
nápad	ideja
morgan	morgan
albánska	albanski
albánska	albanija
hovoril	govornom
hovoril	pričao
hovoril	govorio
hovoril	razgovarao
navrhnutá	dizajniran
miestnosť	sobu
miestnosť	soba
miestnosť	sobe
letel	letio
zásob	berze
zásob	dionica
zásob	deonice
zásob	dionice
hole	rupa
dateformat	dateformat
brothers	braće
brothers	braća
tóth	tóth
vládcu	vladar
monika	monika
monika	monica
monika	monika
ovplyvnená	uticala
ovplyvnená	uticali
ovplyvnená	uticao
ovplyvnená	pogođeni
ovplyvnená	pogođenih
ovplyvnená	pogođena
ovplyvnená	uticalo
heineken	heineken
presnosť	tačnost
presnosť	preciznost
presnosť	preciznosti
presnosť	tačnost
presnosť	preciznost
jam	jam
komplexné	sveobuhvatan
komplexné	sveobuhvatna
komplexné	kompleksan
komplexné	kompleks
komplexné	kompleksna
uložená	spasio
turecký	turski
zemetrasenie	potres
zemetrasenie	potres
zemetrasenie	zemljotresi
pochopiť	razumiju
pochopiť	razumije
pochopiť	shvati
pochopiť	shvatanje
pochopiť	razumijevanje
efekty	uticaji
efekty	efekti
doložené	dokazana
zeppelin	cepelin
plošina	platforma
plošina	platformi
plošina	platformu
plošina	platforme
plošina	platou
plošina	plato
myslel	misao
myslel	misleći
obmedzená	ograničene
obmedzená	ograničena
obmedzená	ograničen
obmedzená	zabranjen
uverejnil	postavljenim
beck	bek
obchody	radnje
obchody	prodavnice
obchody	poslovni
obchody	poslovanje
obchody	sporazumi
obchody	bavi
obchody	dila
obchody	ugovori
obchody	sporazume
obchody	prodavnice
kentaur	kentaur
realizácia	realizaciju
realizácia	realizaciji
realizácia	realizacija
realizácia	implementaciju
realizácia	shvatanje
realizácia	realizacija
realizácia	pogubljenje
zachrániť	spasi
zachrániť	spašavanja
zachrániť	spašavanje
pohrebu	sahrane
slabo	loše
dosiahne	dostiže
dosiahne	dostigne
rozpad	raspada
rozpad	propadanja
apoštolov	poslanike
apoštolov	poslanici
houston	houston
slabé	slabi
slabé	slaba
slabé	slab
hercegovina	hercegovina
pearl	pearl
pearl	biser
priemerne	prosječno
priemerne	prosječne
priemerne	prosječnom
priemerne	prosjek
alignbars	alignbars
presadiť	provođenje
kolesá	točkove
prichádzajú	stiže
zajatcov	zarobljenike
zajatcov	zatvorenici
blog	blog
samec	mužjak
ramená	ramena
ramená	oružje
plní	nastupa
western	zapadu
western	zapadna
western	zapadnim
western	zapadne
western	zapadni
vedené	upućen
vedené	vođen
špecifický	specifične
špecifický	konkretne
špecifický	specifična
trvalé	trajni
trvalé	trajnim
trvalé	stalna
trvalé	stalne
trvalé	trajnog
trvalé	trajnu
baňa	rudniku
baňa	moje
baňa	rudnik
fci	fci
gilbert	gilbert
double	dvostruki
double	dupla
double	dvostruko
double	dvostruke
dakota	dakota
očí	eyes
očí	očima
očí	oči
vrstvu	sloj
formáty	formats
baker	baker
utiekol	pobjegla
utiekol	pobjegao
utiekol	pobjegao
mini	mini
pracovníci	radnici
pracovníci	radnika
kolumbii	kolumbija
zoskupenia	jato
zoskupenia	skupovi
zoskupenia	skupova
urobila	jeste
ovplyvnené	uticala
ovplyvnené	uticali
ovplyvnené	uticao
ovplyvnené	pogođeni
ovplyvnené	pogođenih
ovplyvnené	pogođena
ovplyvnené	uticalo
existovalo	postojala
existovalo	postojalo
existovalo	postojao
existovalo	postojale
kansas	kansas
ľudská	čovjek
šťastný	sretan
šťastný	sretna
šťastný	happy
konfliktov	sukobi
trek	trek
breh	obalu
breh	shore
breh	obala
mladí	mladi
mladí	mlada
mladí	young
mladí	mladić
povinný	obavezno
povinný	obavezni
povinný	obavezan
povinný	obaveznog
povinný	obavezno
graz	graz
krásne	lijepe
krásne	lijepa
známky	ocjene
rektor	rektor
predal	prodala
predal	prodat
predal	prodao
obor	div
prekonať	prevazići
predpokladu	pretpostavka
prezidentských	predsjednički
ira	ira
brániť	brani
brániť	brane
brániť	odbraniti
brániť	braniti
brániť	odbrani
bohatá	bogata
bohatá	bogato
bohatá	bogati
bohatá	bogatim
bohatá	bogat
turecká	turski
site	sajtu
site	sajt
martín	martín
maxim	maksim
príbuzné	rodbina
príbuzné	vezani
príbuzné	vezane
rozmer	dimenzija
rozmer	dimenziju
primátor	gradonačelnik
jordan	jordan
rozpočet	budžet
darkgrey	darkgrey
philipp	philipp
franklin	franklin
batérie	baterija
batérie	baterije
neplatný	nevažeće
neplatný	nevažeći
academia	academia
npr	nrp
knižnici	biblioteka
