for	for
italiensk	イタリアン
versjon	バージョン
inntil	until
inntil	まで
fast	固定
fast	固定された
informasjon	情報
informasjon	情報
tross	にもかかわらず
gjelder	応募
gjelder	適用
roma	ローマ
roma	ロマ
roma	ローマ
sentrum	下町
sentrum	センター
sentrum	中央
sentrum	中心
bok	書物
bok	ブック
eldste	長子
offisielle	公式
offisielle	職員
red	赤い
red	赤色
red	レッド
sanger	シンガー
sanger	サンガー
sanger	ソング
band	band
band	バンド
band	バンド
hovedsakelig	主に
åtte	eight
åtte	エイト
bøker	書物
bøker	帳簿
bøker	書籍
press	プッシュ
press	押す
press	気圧
press	圧力
press	プレス
søndag	日曜日
saint	セイント
saint	聖人
san	san
san	サン
lokale	ローカル
lokale	地元
lokale	地元
lokale	地元民
resultater	パフォーマンス
resultater	性能
resultater	興行
resultater	結果
india	インド
livet	生活
livet	生命
livet	人生
livet	ライフ
inkludert	含む
angrep	攻撃
angrep	攻撃
angrep	進撃
angrep	襲撃
omfatter	含む
vise	ショー
vise	ディスプレイ
område	面積
område	領域
område	エリア
københavn	コペンハーゲン
befolkningen	人口
regjeringen	内閣
regjeringen	キャビネット
produsert	製造
nordlige	ノーザン
nordlige	北方
nordlige	北部
sterkt	強い
sterkt	濃い
sesong	季節
sesong	シーズン
tekst	テキスト
serie	シリーズ
nåværende	現在
nåværende	現在
nåværende	present
nåværende	プレゼント
los	los
lars	ラース
betydning	意味
oss	oss
skrive	書き込み
skrive	書く
skrive	書き込む
elven	河川
lenger	さらに
ellers	さもなければ
ole	ole
united	ユナイテッド
sier	say
sier	セイ
fall	落ちる
fall	落下
karriere	経歴
karriere	キャリア
karriere	キャリア
karriere	求人
posisjon	位置
posisjon	ポジション
posisjon	役職
posisjon	所在地
posisjon	ロケーション
posisjon	場所
gate	ゲート
gate	ストリート
gate	通り
island	アイスランド
stadion	スタジアム
holder	ホルダー
holder	持株
unge	若い
unge	ヤング
kilometer	キロメートル
kilometer	キロメートル
kilometer	キロ
kilometer	キロメートル
høy	ハイ
høy	高い
høy	高い
alltid	常に
alltid	いつも
skip	船舶
skip	艦船
skip	船舶
hus	ハウス
hus	家屋
byer	都市
farge	カラー
farge	カラー
klart	クリア
international	インターナショナル
international	国際
sørlige	サザン
sørlige	南部
hjemmeside	ホームページ
slo	ノック
slo	slo
slo	hit
slo	ヒット
høsten	落ちる
høsten	落下
krig	戦争
oppdaget	検知
endret	変更された
midten	真ん中
midten	ミドル
midten	mid
ferdig	終了
maria	マリア
maria	マリヤ
teksten	テキスト
data	データ
indre	内側
indre	インナー
indre	内面
charles	シャルル
sto	sto
person	人物
grand	グランド
live	ライブ
live	生きる
feil	エラー
vanskelig	一生懸命
vanskelig	ハード
vanskelig	難しい
vanskelig	難しい
solid	固体
følger	フォロー
følger	フォロワー
følger	フォロー
aktiv	アクティブ
general	全般
general	一般
general	将軍
lett	イージー
lett	易しい
lett	やさしい
lett	簡単
harald	ハーラル
richard	リチャード
richard	リヒャルト
lage	メイキング
lage	メイク
lage	make
national	国民
national	ナショナル
asia	アジア
anne	アン
ønsket	wanted
ønsket	求む
fly	fly
fly	ハエ
fly	フライ
fly	飛ぶ
fly	飛行機
fly	航空機
fly	飛行機
sommeren	summer
sommeren	サマー
mester	チャンプ
mester	マスター
mester	チャンピオン
par	ペア
par	カップル
par	カップル
par	ペア
saken	ケース
runde	ラウンド
runde	round
runde	丸い
lov	法律
lov	法学
holde	ホールド
holde	キープ
mexico	メキシコ
bror	兄弟
bror	ブラザー
lørdag	土曜日
nederland	オランダ
dagen	day
dagen	一日
lengre	さらに
ting	ティン
ting	モノ
ting	物事
ting	もの
militære	軍事
militære	軍隊
fri	フリー
fri	無料
fri	自由
ønsker	wish
ønsker	ウィッシュ
ønsker	願いごと
ønsker	欲しい
dommer	ジャッジ
dommer	裁判官
dommer	審判員
rock	ロック
voksne	大人
voksne	成人
voksne	大人
tapte	ロスト
produsent	プロデューサー
produsent	製造業者
produsent	メーカー
maler	テンプレート
maler	画家
maler	塗料
maler	絵の具
arena	アレーナ
arena	アリーナ
felles	相互
felles	共通
egentlig	本当に
raskt	クイック
raskt	速い
raskt	高速
klasse	階級
klasse	クラス
solgt	落札
oppkalt	named
opprinnelige	オリジナル
status	近況
status	ステータス
vokal	母音
vokal	母音
kultur	文化
kultur	カルチャー
biller	ビートル
deg	あなた
enkelt	シンプル
enkelt	簡単
enkelt	単純
enkelt	イージー
enkelt	易しい
enkelt	やさしい
enkelt	簡単
korea	朝鮮
korea	韓国
kroppen	本文
kroppen	身体
kroppen	本体
kroppen	ボディ
california	カリフォルニア
klubber	クラブ
trolig	おそらく
die	die
die	死ぬ
park	パーク
park	公園
league	リーグ
records	レコード
life	生活
life	生命
life	人生
life	ライフ
profil	プロフィール
profil	プロファイル
samarbeid	コラボレーション
samarbeid	コラボ
samarbeid	チームワーク
samarbeid	協力
østerrike	オーストリア
grenser	境界
grenser	制限
grenser	リミット
grenser	限界
www	www
utvikling	発達
utvikling	開発
diverse	盛り合わせ
knut	クヌート
spillere	選手
spillere	プレイヤー
spillere	ゲーマー
oversikt	概要
oversikt	概観
till	まで
skriver	執筆
skriver	書き込み
skriver	筆記
skriver	タイピング
mandag	月曜日
fremdeles	スティル
fremdeles	それでも
fremdeles	まだ
krav	債権
krav	主張
krav	取得
krav	要件
krav	要求
rapport	レポート
rapport	報告
tom	空っぽ
black	黒い
black	ブラック
lufthavn	空港
vunnet	ウォン
vunnet	won
mor	ママ
mor	おかあさん
mor	母親
havet	sea
forsøk	try
forsøk	試す
forsøk	トライ
forsøk	未遂
forsøk	試み
forsøk	未遂
angeles	angeles
polen	ポーランド
jean	ジャン
jean	ジーン
relativt	相対
relativt	親戚
relativt	比較的
regjering	内閣
regjering	キャビネット
regjering	政府
dårlig	バッド
dårlig	悪い
staten	都道府県
staten	状態
soldater	兵士
problemer	トラブル
problemer	問題
problemer	問題
arbeider	働く
arbeider	作業
hvite	白目
hvite	白い
hvite	ホワイト
filmer	映画
filmer	撮影
skottland	スコットランド
sist	最終
sist	ラスト
sist	最後
listen	リスト
dyr	動物
dyr	アニマル
dyr	動物
hjem	自宅
hjem	ホーム
hjem	帰宅
skipet	船舶
litteratur	文学
litteratur	文芸
trommer	ドラム
trommer	太鼓
oppført	上場
grensen	ボーダー
grensen	国境
vestlige	ウェスタン
vestlige	ウエスタン
system	システム
system	システム
system	システムズ
bind	引き分け
bind	ネクタイ
love	ラヴ
love	ラブ
bass	バス
bass	ベース
offentlig	公衆
offentlig	公開
offentlig	パブリック
huset	ハウス
hvem	who
oldid	oldid
årlig	年次
bjørn	ビヨーン
bjørn	クマ
trenger	ニーズ
enda	yet
brukere	ユーザー
brukere	ユーザ
hæren	アーミー
hæren	軍隊
hæren	陸軍
utvalg	サンプリング
utvalg	サンプル
utvalg	選考
utvalg	セレクション
utvalg	選択
utvalg	選択
fjell	マウンテン
fjell	山地
fjell	山脈
måneder	ヶ月
måneder	months
nettsted	ウェブサイト
nettsted	サイト
nettsted	敷地
århundre	世紀
århundre	センチュリー
prosent	割合
prosent	パーセンテージ
prosent	パーセント
prosent	割合
prosent	パーセント
irland	アイルランド
henry	ヘンリー
biskop	ビショップ
offisielt	公式
offisielt	職員
offentlige	公衆
offentlige	公開
offentlige	パブリック
svarte	黒い
svarte	ブラック
stortinget	議会
stortinget	国会
lille	リトル
lille	小さい
beijing	北京市
beijing	北京
beijing	北京
johannes	ヨハネス
delvis	一部
sørøst	東南
sørøst	南東
utvidet	拡張
utvidet	延長
tour	ツアー
sveits	スイス
forskning	研究
forskning	リサーチ
produksjon	製造業
produksjon	製作
produksjon	生産
produksjon	プロダクション
produksjon	製造業
linje	直線
linje	ライン
lys	軽い
lys	明るい
lys	ライト
lys	ろうそく
lys	キャンドル
lys	蝋燭
redaktør	エディタ
redaktør	エディター
stasjon	ステーション
kunst	art
kunst	アート
kunst	芸術
kunst	美術
universitet	大学
seier	勝利
radio	ラジオ
fredag	金曜日
fredag	フライデー
direktør	監督
direktør	ディレクター
direktør	取締役
direktør	ceo
grupper	グループ
enig	同意
enig	合意
enig	賛成
damer	婦人
damer	レディース
kontroll	コントロール
history	履歴
history	由緒
history	歴史
history	沿革
keiser	エンペラー
keiser	皇帝
keiser	天皇
ytterligere	さらに
møtte	met
bra	良い
bra	グッド
gangen	廊下
rike	金持ち
rike	リッチ
egypt	エジプト
tap	損失
tap	喪失
tap	損失
onsdag	水曜
onsdag	水曜日
musiker	音楽家
musiker	ミュージシャン
biografi	バイオ
biografi	伝記
politikk	政治
politikk	ポリシー
politikk	施策
politikk	方針
trakk	ドリュー
harry	ハリー
tilfeller	事例
tilfeller	ケース
nevnt	言及
syv	seven
syv	セブン
ansatte	社員
italienske	イタリアン
nivå	レベル
dato	デート
dato	日付
dato	日付
bakgrunn	背景
bakgrunn	バックグラウンド
bygge	建物
bygge	構築
time	時間
hodet	head
hodet	ヘッド
hodet	頭部
bidrag	募金
bidrag	寄付
bidrag	募金
bidrag	寄付
bidrag	寄与
bidrag	貢献
bidrag	出資
bidrag	貢献
lenke	リンク
referanser	参考文献
referanser	参照
referanser	リファレンス
tromsø	トロムソ
andreas	アンドレアス
valget	選任
valget	選挙
journalist	ジャーナリスト
utgave	edition
utgave	エディション
kristne	キリスト教徒
kraftig	重い
kraftig	ヘビー
kraftig	重度
kraftig	パワフル
kategorien	カテゴリー
kategorien	区分
kategorien	カテゴリ
kategorien	分類
kategorien	タブ
fører	総統
ansatt	社員
ansatt	職員
løp	run
løp	ラン
løp	走り
løp	走る
torsdag	木曜日
torsdag	木曜
styrke	体力
styrke	強度
sentral	中央
sentral	セントラル
air	空気
air	航空
air	エア
marie	マリー
etablerte	設立
aktive	アクティブ
music	ミュージック
music	音楽
smith	スミス
distriktet	地区
distriktet	ディストリクト
kroner	sek
stemmer	投票
royal	ロイヤル
louis	ルイス
louis	ルイ
college	カレッジ
college	大学
forening	社団
forening	協会
forening	アソシエーション
spørsmål	質問
spørsmål	疑問
spørsmål	質問
inne	インサイド
bort	away
bort	アウェイ
sterk	強い
sterk	濃い
svart	黒い
svart	ブラック
høyt	ハイ
høyt	高い
mottok	受け取り
mottok	受信
les	読み
les	読み込み
les	読み取り
les	読む
les	les
tittel	肩書
tittel	称号
tittel	タイトル
endringer	編集
endringer	変更
joseph	ヨセフ
lærer	教員
lærer	教師
lærer	先生
lærer	学習
lærer	ラーニング
lærer	学問
pave	教皇
komponist	作曲家
kart	地図
kart	マップ
kart	地図
kart	マップ
suksess	サクセス
suksess	成功
kongelige	王族
kongelige	ロイヤル
latin	ラテン語
latin	ラテン
valg	選択肢
valg	選挙
valg	選択
valg	チョイス
belgia	ベルギー
tirsdag	火曜日
kysten	海岸
ytre	外側
ytre	アウター
kategori	カテゴリー
kategori	区分
kategori	カテゴリ
kategori	分類
israel	イスラエル
georg	ジョージ
georg	ゲオルク
skjer	ハプニング
slett	消去
slett	削除
alexander	アレクサンドロス
alexander	アレクサンダー
alexander	アレキサンダー
mistet	ロスト
west	ウエスト
west	西部
west	ウェスト
moskva	モスクワ
stil	スタイル
dronning	女王
dronning	クイーン
bygninger	建物
bygninger	建築物
bildet	画像
bildet	写真
bildet	画像
bildet	イメージ
tegnet	ドリュー
stein	シュタイン
stein	ロック
oscar	オスカー
oscar	オスカル
anna	アナ
anna	アンナ
reise	旅行
reise	旅行
reise	journey
reise	旅行
interesse	利子
interesse	利息
top	top
top	上部
top	トップ
cup	カップ
cup	コップ
cup	cup
ledelse	指導
ledelse	ガイダンス
ledelse	経営
ledelse	マネジメント
ledelse	マネージメント
ledelse	管理
flagg	フラグ
flagg	国旗
flagg	フラグ
flagg	国旗
wilhelm	ヴィルヘルム
ungarn	ハンガリー
fjellet	マウンテン
plassering	配置
plassering	所在地
plassering	ロケーション
plassering	場所
olsen	オルセン
ordfører	町長
ordfører	市長
ukjent	不明
toppen	top
toppen	上部
toppen	トップ
stand	スタンド
stand	状態
stand	条件
hellas	ギリシャ
snart	soon
snart	まもなく
snart	もうすぐ
org	org
ngc	ngc
spor	トラック
spor	トラック
generelt	全般
generelt	一般
generelt	将軍
organisasjonen	団体
organisasjonen	組織
organisasjonen	組織
forsøkte	未遂
nordøst	北東
nordvest	北西
praksis	練習
priser	価格
priser	受賞
priser	表彰
friidrettsutøver	アスリート
fordelt	分散
mark	マーク
mark	マルク
klassen	階級
klassen	クラス
jens	イェンス
fort	フォート
fort	要塞
fort	速い
fort	高速
formann	会長
formann	議長
metal	メタル
metal	金属
tjeneste	サービス
local	ローカル
local	地元
sluttet	辞める
sluttet	終了
teater	劇場
teater	シアター
teater	演劇
teater	演劇
teater	劇場
tro	信仰
tro	信念
tro	フェイス
tro	信じる
tro	believe
tro	信ずる
magnus	マグナス
tall	番号
tall	数値
tall	ナンバー
tall	数字
tall	数値
hovedstad	資本
hovedstad	首都
hovedstad	キャピタル
renner	ジョギング
avdeling	部署
avdeling	学科
avdeling	部門
avdeling	分隊
insekter	昆虫
insekter	バグ
insekter	不具合
handler	ハンドラー
handler	ハンドラ
korte	短い
korte	ショート
hendelser	記事
hendelser	ストーリー
hendelser	イベント
hendelser	行事
systemet	システム
internasjonal	インターナショナル
internasjonal	国際
trener	トレーナー
trener	コーチ
trener	コーチング
våpen	武器
våpen	兵器
forslag	おすすめ
forslag	提案
forslag	提案
forslag	暗示
møte	meet
møte	会う
møte	ミーティング
møte	会議
personlig	パーソナル
personlig	個人
alder	age
alder	年齢
berg	ベルク
legger	追加
legger	put
yngre	若い
uansett	とにかく
makt	権力
makt	パワー
uavhengig	独立
uavhengig	インディペンデント
institutt	研究所
otto	オットー
angrepet	攻撃
angrepet	進撃
angrepet	襲撃
våren	スプリング
andersen	アンデルセン
uker	週間
kor	コーラス
gud	ゴッド
don	ドン
gunnar	グンナー
nils	ニルス
american	アメリカン
riktig	正解
riktig	正しい
daniel	ダニエル
full	いっぱい
full	フル
full	酔っぱらい
regel	ルール
utover	ビヨンド
personlige	パーソナル
personlige	個人
frank	フランク
sørvest	南西
bygningen	建物
slag	ストローク
nærmere	近い
kraft	クラフト
kraft	フォース
kraft	権力
kraft	パワー
stå	スタンド
geografi	地理
kvinne	女性
kvinne	女性
eksempler	用例
eksempler	実例
offisiell	公式
offisiell	職員
normalt	通常
normalt	普通
normalt	ノーマル
retning	方向
region	リージョン
region	地域
studier	研究
jorden	地球
jorden	アース
stilling	位置
stilling	ポジション
stilling	役職
ute	アウト
typer	種類
hvorfor	なぜ
hvorfor	why
pris	プライス
pris	対価
pris	値段
pris	価格
naturlig	自然
naturlig	ナチュラル
larsen	ラーセン
münchen	ミュンヘン
romersk	ローマン
romersk	ロマン
romersk	ローマ
avsluttet	終了
junior	ジュニア
lee	リー
samling	コレクション
penger	お金
penger	貨幣
penger	マネー
penger	金銭
washington	ワシントン
lik	本文
lik	身体
lik	本体
lik	ボディ
lik	死体
vis	表示
vis	見る
vis	ビュー
vis	ディスプレイ
vis	ショー
ført	led
populære	人気
populære	ポピュラー
populære	トレンド
nasjonalitet	国籍
delta	デルタ
one	一つ
one	one
one	一人
one	ワン
størrelse	サイズ
opprinnelse	原点
opprinnelse	語源
opprinnelse	由来
opprinnelse	起源
vinner	勝利
vinner	win
vinner	勝利
vinner	勝ち
vinner	勝つ
vinner	勝者
vinner	ウィナー
vinner	優勝
vinner	勝利
club	クラブ
club	棍棒
håndball	ハンドボール
republikken	共和制
republikken	共和国
kontakt	コンタクト
eier	オーナー
eier	所有者
sju	seven
sju	セブン
blå	青い
blå	ブルー
blå	青色
sannsynligvis	おそらく
stat	都道府県
stat	状態
standard	デフォルト
standard	基準
standard	スタンダード
standard	標準
driver	ジョギング
japansk	日本人
japansk	ジャパニーズ
japansk	日本語
føre	リード
befolkning	人口
