lokalizacji	местоположения
centralne	централно
centralne	централен
centralne	централа
centralne	централни
centralne	централна
porsche	порше
emilia	емилия
emilia	емили
powiązane	асоциирани
powiązane	свързани
powiązane	свързан
powiązane	свързани
powiązane	свързан
powiązane	свързано
powiązane	свързана
powiązane	свързани
powiązane	свързани
powiązane	свързан
powiązane	свързана
powiązane	свързано
katolicyzm	католицизма
bolszewików	болшевики
bolszewików	болшевиките
milion	милион
krążowniki	крайцери
etiopii	етиопия
etiopii	етиопски
doświadczeń	преживявания
projektant	дизайнерски
projektant	дизайнер
otwór	отвор
otwór	дупка
otwór	дупката
justyna	джъстин
justyna	джъстин
propagandy	пропаганда
odpowiedzialność	пасив
odpowiedzialność	отговорност
odpowiedzialność	отговорности
odpowiedzialność	отговорността
odpowiedzialność	отговорност
odpowiedzialność	отчетност
police	полиция
bundesligi	бундеслига
dysku	диск
dysku	диска
hokej	хокей
liu	лиу
liu	лю
odkryty	открито
odkryty	външен
wyjaśnienia	обяснения
wyjaśnienia	обяснение
wyjaśnienia	разяснения
wyjaśnienia	обяснения
wyjaśnienia	разяснения
wyjaśnienia	изясняване
wyjaśnienia	пояснение
wyjaśnienia	разяснение
wyjaśnienia	разяснения
ołeksandr	олександър
okrążenia	обиколки
okrążenia	обиколка
okrążenia	скута
hop	хоп
współrzędnych	координатите
współrzędnych	координати
marynarzy	моряците
marynarzy	моряци
marynarzy	моряците
marynarzy	моряци
avenue	авеню
gustav	густав
mobile	мобилни
mobile	мобилен
mobile	мобилно
mobile	мобилна
filadelfii	фили
filadelfii	филаделфия
filadelfii	филаделфия
oddziaływania	въздействия
kadencja	срок
kadencja	термин
kadencja	мандат
kadencja	мандат
poczta	mail
poczta	поща
poczta	post
poczta	публикация
poczta	публикуване
poczta	пост
wenus	венера
graf	граф
zapraszam	заповядайте
cosworth	косуърт
funduszu	фонд
funduszu	фондове
felipe	фелипе
zasług	заслуга
zasług	заслуги
wyemigrował	емигрира
wyróżnić	подчертая
wyróżnić	осветяване
zurychu	цюрих
pasażerski	пътнически
pasażerski	пътник
pasażerski	пътника
cia	цру
cia	цру
pojedynczy	необвързан
pojedynczy	единична
pojedynczy	сингъл
pojedynczy	необвързана
pojedynczy	единичен
sprinter	спринтьор
ból	болката
ból	болки
ból	болка
rgb	rgb
pierwotne	първична
pierwotne	първично
pierwotne	първична
pierwotne	първични
pierwotne	първичен
pierwotne	първично
działało	работил
grobu	гроб
więzienie	затвор
więzienie	затворът
więzienie	затвор
więzienie	затвора
kupił	купена
kupił	купих
kupił	купил
kupił	купен
wycofany	оттеглено
wycofany	отменено
wycofany	изтеглени
justin	джъстин
beck	бек
true	истина
true	верни
true	вярно
ginie	джина
indianapolis	индианаполис
kadetów	кадети
sprawdzone	проверено
sprawdzone	проверен
sprawdzone	проверени
sprawdzone	проверих
sprawdzone	потвърдено
sprawdzone	проверено
sprawdzone	проверен
sprawdzone	проверена
sprawdzone	проверени
sprawdzone	изпитва
sprawdzone	тествани
sprawdzone	изпитани
rzymskie	римски
rzymskie	римлянин
rzymskie	роман
rzymskie	римска
godło	герб
godło	емблема
hampshire	хемпшир
motywy	теми
motywy	темите
motywy	съображения
motywy	мотивите
motywy	мотиви
tras	маршрутите
tras	пътища
tras	маршрути
rakieta	ракетата
rakieta	ракета
rakieta	ракета
hart	харт
khan	кхан
khan	хан
khan	кан
podanie	кандидатстване
podanie	молба
podanie	приложение
podanie	прилагане
podanie	заявление
podanie	пропуск
podanie	мине
podanie	пас
podanie	преминаване
luca	лука
akademickie	академик
akademickie	академични
akademickie	академична
szt	бр
dialogi	диалози
aparatu	камера
aparatu	фотоапарат
aparatu	камерата
przyszedł	дойде
przywilej	привилегии
przywilej	привилегия
przywilej	привилегии
sri	шри
lekki	светло
lekki	светлина
lekki	светлината
lekki	леки
karaibów	карибите
konserwatorium	консерваторията
basen	басейн
basen	пул
basen	билярд
roll	рол
roll	ролка
uchodźców	бежанец
uchodźców	бежанци
uchodźców	бежанците
uchodźców	бегълци
owoc	плодове
owoc	плод
empire	империята
empire	емпайър
empire	империя
pióra	писалки
pióra	химикали
pióra	перата
pióra	пера
ski	ски
okręgów	райони
okręgów	области
okręgów	квартали
regularne	редовно
regularne	редовен
regularne	редовни
regularne	редовна
break	прекъсване
break	почивка
druku	печат
druku	печатане
druku	отпечатване
zasoby	ресурс
zasoby	ресурси
zasoby	ресурси
zasoby	акциите
zasoby	наличност
ran	раната
ran	рани
ran	рана
ran	рани
ran	раните
objętości	обем
objętości	обеми
czystości	чистотата
czystości	чистота
oskar	оскар
oskar	оскар
szczęścia	късмет
szczęścia	късметът
szczęścia	късмета
szczęścia	щастие
szczęścia	щастието
modlitwa	молитви
modlitwa	молитвите
modlitwa	молитва
modlitwa	молитва
marine	морски
marine	пехотинец
marine	морска
rasa	порода
rasa	надпревара
rasa	надбягване
rasa	състезание
rasa	раса
tymczasowy	временна
tymczasowy	временни
tymczasowy	временен
tymczasowy	временно
tymczasowy	междинен
tymczasowy	междинно
tymczasowy	временни
satelita	спътник
satelita	сателитно
satelita	сателит
satelita	сателитен
satelita	сателитна
przykładów	примери
era	епоха
era	епоха
era	ерата
era	ера
lang	ланг
królowie	царе
królowie	кингс
królowie	кралете
królowie	крале
pascal	паскал
szóste	шесто
szóste	шести
szóste	шеста
pomógł	помогнал
gridcolor	gridcolor
teatrów	театри
teatrów	кината
teatrów	театри
dyskografia	дискография
koń	конче
koń	кон
pacjenta	пациентът
pacjenta	пациентка
pacjenta	търпелив
pacjenta	пациент
potrzebna	необходимост
potrzebna	нужда
potrzebna	потребност
proponuje	предлага
uderzenie	влияние
uderzenie	сблъсък
uderzenie	въздействие
uderzenie	удар
uderzenie	удари
uderzenie	хит
popełnił	отдадена
popełnił	извършено
popełnił	извършени
popełnił	обвързан
popełnił	ангажиран
piaski	пясък
piaski	сандс
piaski	пясъци
annie	ани
secret	секретно
secret	тайна
secret	таен
secret	тайната
secret	тайно
zmniejsza	намалява
zmniejsza	намалява
polecenia	команди
polecenia	командите
polecenia	командване
polecenia	команда
polecenia	командата
fortu	форт
aleksandrii	александрия
praktyka	стаж
praktyka	тренировка
praktyka	практика
środowisk	среди
ska	ска
zaangażowany	замесена
zaangażowany	замесен
zaangażowany	отдадена
zaangażowany	извършено
zaangażowany	извършени
zaangażowany	обвързан
zaangażowany	ангажиран
zakończony	прекъсната
zakończony	прекратен
zakończony	прекратена
zakończony	прекратено
pomiarów	измервания
pomiarów	измерванията
renesansu	ренесанса
renesansu	възраждане
renesansu	ренесанс
częste	обща
częste	общ
częste	общи
częste	чести
jelita	черва
jelita	черва
jelita	черво
jelita	червата
jelita	черва
jelita	черво
jelita	чревни
jelita	черва
jelita	вътрешности
jelita	червата
zdrowie	здраве
zdrowie	здравеопазване
zdrowie	здравето
cbs	cbs
rolnicze	селскостопански
rolnicze	селскостопанска
rolnicze	земеделски
charakteryzują	характеризират
partnerem	съдружник
partnerem	партньор
przedstawiono	представени
przedstawiono	представено
przedstawiono	представена
przedstawiono	представен
honoru	чест
honoru	честта
honoru	чест
honoru	честта
square	квадратна
square	квадратни
square	квадратен
square	квадрат
square	площад
odrębne	отделни
odrębne	разделени
odrębne	отделно
odrębne	отделна
odrębne	отделен
odrębne	отделени
obydwa	двете
czaszki	черепите
czaszki	черепи
czaszki	черепът
czaszki	череп
czaszki	черепа
fischer	фишер
fischer	фишър
białek	протеини
białek	протеините
publiczny	публично
publiczny	публични
publiczny	публична
publiczny	обществено
publiczny	публичен
publiczny	обществени
mail	mail
mail	поща
tronie	тронът
tronie	трон
tronie	трона
tronie	престол
kogo	кой
francuz	французина
francuz	французин
heaven	рай
heaven	раят
heaven	рая
heaven	небето
cen	cen
rozkładu	разлагане
piła	пиене
piła	пиеш
piła	пия
piła	пиенето
piła	пие
piła	трион
piła	видях
śniegu	сняг
śniegu	снежна
damian	деймиън
damian	дамян
istoty	същества
istoty	твари
istoty	създания
istoty	същества
ołtarzu	олтар
ołtarzu	олтара
policjant	полицай
policjant	ченге
policjant	ченгето
policjant	полицай
toledo	толедо
cannes	кан
informacyjny	информативно
gospodarstwo	фермата
gospodarstwo	ферма
gospodarstwo	стопанство
gospodarstwo	държане
gospodarstwo	стопанство
gospodarstwo	задържане
gospodarstwo	холдинг
czwartego	четвърта
czwartego	четвърто
czwartego	четвърти
wiosce	село
teologiczne	теологични
ograniczona	ограничено
ograniczona	ограничена
ograniczona	limited
ograniczona	ограничен
ograniczona	ограничени
ograniczona	ограничено
ograniczona	ограничена
ograniczona	ограничен
ograniczona	ограничени
kontynuować	продължи
dem	dem
potwierdzenie	потвърждение
potwierdzenie	потвърждаване
management	мениджмънт
management	управление
split	разделим
split	разделен
split	сплит
split	разделяне
kenneth	кенет
przeżył	оцелял
przeżył	оцеля
przeżył	оцеляла
sosna	пайн
sosna	бор
paragwaju	парагвай
bunt	бунт
bunt	въстание
bunt	бунт
bunt	бунт
bunt	въстание
pete	пийт
pete	пит
suche	суха
suche	сухи
suche	сухо
suche	сух
ward	уорд
baz	баз
owłosione	космати
owłosione	космат
promieniowanie	лъчение
promieniowanie	радиация
promieniowanie	облъчване
struga	струга
eduardo	едуардо
sweet	сладък
sweet	мило
sweet	сладко
sweet	сладки
sweet	сладка
skierowane	насочено
skierowane	насочени
kolorów	цветове
rycerz	найт
rycerz	рицар
zapewnienia	гарантиране
zapewnienia	уверения
watson	уотсън
wyraża	изразява
wprowadzona	въведен
wprowadzona	въведено
wprowadzona	въведена
wprowadzona	въведени
zwrot	възстановяване
zwrot	връщане
zwrot	завръщане
zwrot	погасяване
zwrot	отплата
zwrot	възстановяване
zwrot	изплащане
funkcjonowanie	операцията
funkcjonowanie	експлоатация
funkcjonowanie	функциониране
funkcjonowanie	операция
funkcjonowanie	функциониране
funkcjonowanie	функциониращи
funkcjonowanie	функциониращ
funkcjonowanie	функционираща
białoruś	беларус
socjalistyczna	социалист
socjalistyczna	социалистическа
czołg	резервоар
czołg	танк
czołg	цистерна
egzemplarze	копия
zboczach	склонове
słowackiej	словашки
widział	трион
widział	видях
patrol	патрул
litera	писмо
litera	буква
oznaczony	маркирани
oznaczony	маркиран
oznaczony	отбелязани
oznaczony	отбелязан
oznaczony	маркирани
oznaczony	маркирана
oznaczony	белязани
oznaczony	маркиран
oznaczony	белязан
control	контролиране
control	контрол
chóru	хор
chóru	хор
starcia	сблъсъци
maroka	марокански
athletic	атлетичен
aresztowania	арестувани
aresztowania	арести
okien	windows
okien	прозорци
okien	прозорците
karen	карен
karen	керън
karen	карън
reorganizacji	реорганизация
odpowiedni	подходящ
odpowiedni	подходяща
odpowiedni	уместно
odpowiedni	подходящи
odpowiedni	подходящо
odpowiedni	подходящ
odpowiedni	подходяща
odpowiedni	подходящи
odpowiedni	подходящо
śledztwo	разследването
śledztwo	разследван
śledztwo	разследване
enwiki	enwiki
wrc	wrc
względnie	сравнително
względnie	относително
praktyczny	практично
praktyczny	практичен
praktyczny	практически
praktyczny	практическо
praktyczny	практична
ograniczony	ограничено
ograniczony	ограничена
ograniczony	limited
ograniczony	ограничен
ograniczony	ограничени
ograniczony	ограничено
ograniczony	ограничена
ograniczony	ограничен
ograniczony	ограничени
arabskie	арабин
arabskie	арабски
arabskie	арабска
arabskie	арабски
arabskie	арабска
arabskie	арабски
arabskie	арабска
lewo	ляво
lewo	ляв
lewo	наляво
dno	дъното
dno	отдолу
dno	дъно
kopenhadze	копенхаген
wyścigi	надбягвания
wyścigi	състезания
wyścigi	раси
wyścigi	състезателни
wyścigi	надбягвания
wyścigi	състезания
gracze	играчи
holland	холандия
holland	холанд
halle	хали
dotarły	пристигнал
dotarły	пристигна
sumy	сума
sumy	сумата
sumy	sum
sumy	сбор
sumy	сум
sumy	суми
bractwa	братствата
bractwa	братство
bractwa	братство
bractwa	братството
tajemnica	мистерия
tajemnica	мистерията
tajemnica	загадка
tajemnica	секретно
tajemnica	тайна
tajemnica	таен
tajemnica	тайната
tajemnica	тайно
targ	пазар
targ	пазарна
targ	пазар
targ	пазарен
połączony	свързани
połączony	свързан
połączony	свързано
połączony	свързана
kraina	земи
kraina	земя
szeregi	редиците
szeregi	редици
szeregi	серия
szeregi	поредица
szeregi	сериал
szeregi	серии
potrzebny	необходимост
potrzebny	нужда
potrzebny	потребност
mig	миг
oryginalna	оригинални
oryginalna	оригинал
oryginalna	оригинално
oryginalna	оригинална
oryginalna	оригинален
kanały	канали
kanały	канал
kanały	каналът
inicjatorem	инициатор
konklawe	конклава
boczny	странично
boczny	страничен
zoo	зоопарковете
zoo	зоопарк
zoo	зоопарка
pokryta	покрито
pokryta	обхванат
pokryta	покрит
pokryta	покрити
pokryta	покрита
turner	търнър
ambasady	посолства
ambasady	посолство
ambasady	посолството
jefferson	джеферсън
spartak	спартак
partner	съдружник
partner	партньор
partner	филиал
transmisji	трансмисия
transmisji	предаване
transmisji	пренос
transmisji	излъчване
teodora	теодора
właściciele	притежатели
właściciele	собственици
właściciele	собствениците
albrecht	албрехт
kolonie	колонии
joão	жоао
heinz	хайнц
wygrana	победи
wygrana	печеля
wygrana	спечели
wygrana	печелиш
wygrana	победа
lekkie	леки
regulamin	регламент
regulamin	регулация
regulamin	регулиране
que	que
rachel	рейчъл
flotylli	флотилия
wenecja	венеция
idee	идеи
sierżant	сержант
wynalazca	изобретател
skarb	ценно
skarb	скъпоценен
skarb	безценни
skarb	скъпоценни
skarb	безценно
skarb	съкровища
skarb	съкровище
ogrody	гардънс
ogrody	градините
ogrody	градини
prokurator	прокурор
piąta	пети
