leberecht	leberecht
namjera	forsett
mohammed	mohammed
poslati	sende
poslati	send
patuljak	dverg
proza	prosa
obilježen	markert
obilježen	merket
sol	sol
turistička	turist
brodovima	skip
brodovima	skuter
smatrajući	visning
napisano	skriftlige
napisano	skrevet
platforme	plattformen
platforme	plattform
manjine	minoriteter
vještica	heks
vještica	witch
neuspjeh	svikt
neuspjeh	fiasko
podne	noon
bacio	kasta
bacio	kastet
leipzig	leipzig
izraelski	israelske
izraelski	israelsk
gerhard	gerhard
rub	gni
kairo	kairo
kairo	cairo
sean	sean
slogan	slagord
slogan	parolen
digitalni	digitalt
digitalni	digitale
digitalni	digital
lara	lara
protivnici	motstandere
protivnici	motstanderne
lisa	lisa
pumpe	pumper
pumpe	pumpene
uspješne	vellykket
uspješne	vellykkede
jusuf	yusuf
jusuf	jusuf
oporavak	gjenopprett
oporavak	gjenopprette
oporavak	gjenoppretting
oporavak	restitusjon
oporavak	bedring
odabir	velge
odabir	velg
odabir	velger
golf	golf
časti	ære
felipe	felipe
izložba	utstillingen
izložba	utstilling
izložba	utstillingen
izložba	utstilling
ubice	mordere
ubice	drapsmenn
ulicama	gater
ulicama	gatene
ulicama	streets
ulicama	gatelangs
digimon	digimon
trim	trimme
trim	trim
trim	klipp
trim	stuss
rupa	hull
rupa	hole
rupa	hull
rupa	huller
toro	toro
vels	wales
vels	brønner
vels	wells
pozitivni	positivt
pozitivni	positive
pozitivni	positiv
zenit	zenit
uni	uni
hogwarts	galtvort
tumor	svulst
abba	abba
razmnožavanje	reproduksjon
razmnožavanje	formering
niger	niger
beli	whitey
janko	janko
aga	aga
kvadrata	squares
kvadrata	firkanter
akt	nude
akt	akt
akt	handle
akt	act
rezolucija	oppløsning
rezolucija	resolusjon
pokrenut	påbegynte
pokrenut	påbegynt
pokrenut	innviet
pokrenut	lanserte
pokrenut	lansert
pokrenut	sjøsatt
privlači	tiltrekker
privlači	tiltrekke
privlači	tiltrekker
laugardalsvöllur	laugardalsvöllur
pljevlja	pljevlja
tvrdeći	krangling
tvrdeći	krangler
tvrdeći	påstår
tvrdeći	hevder
duhana	tobakk
fenotip	fenotype
vraćen	returnerte
vraćen	returnert
prilikama	anledninger
počev	starter
počev	begynner
slabi	svak
slabi	svakt
slabi	svake
pat	patt
pat	pat
malmö	malmø
malmö	malmö
sekundarna	sekundær
pedeset	femti
pedeset	fifty
podvrsta	underart
terapije	behandlingene
bloka	bloc
setu	set
setu	satt
setu	angi
setu	sett
setu	angitt
najniži	lavest
najniži	dårligst
najniži	laveste
anderlecht	anderlecht
bremen	bremen
zidine	murer
zidine	vegger
jedu	spis
jedu	eter
jedu	spises
jedu	spise
jedu	ete
jedu	eat
uživa	nyter
uživa	koser
navijači	fans
navijači	tilhengere
navijači	støttespillere
navijači	supportere
navijači	tilhengere
potencijalno	potensielt
proširena	utvidet
graditi	bygge
graditi	bygg
ogledala	speil
drveće	trær
drveće	trærne
odmor	ferie
povezati	tilkobling
povezati	koble
povezati	connect
čuvar	keeper
čuvar	vokter
najduža	lengste
genetičko	genetisk
sobe	rommet
sobe	værelse
sobe	rom
sobe	room
sobe	rom
broz	broz
spolni	seksuelt
spolni	seksuell
kobilica	carina
slabost	svakhet
brza	kjapp
brza	raskt
brza	rask
brza	hurtig
brza	raske
brza	fort
čeka	venter
čeka	avventer
čeka	waiting
čeka	venting
scenariju	scenario
boys	boys
boys	gutter
boys	guttene
preuzimanje	nedlasting
preuzimanje	tar
preuzimanje	nedlasting
kimi	kimi
dvorište	gårdsplassen
najjači	sterkeste
najjači	sterkest
pretpostavka	antakelse
pretpostavka	premiss
benfica	benfica
zaključka	konklusjon
zaključka	konklusjonen
sastojak	ingrediens
solna	solna
uši	ørene
uši	ører
spartak	spartacus
spartak	spartak
universal	universal
universal	universell
sestara	sykepleiere
slavenska	slav
slavenska	slaviske
donald	donald
apsolutni	absolutte
apsolutni	absolutt
ronnie	ronnie
bitaka	slagene
bitaka	kamper
dešavanja	hendelser
dešavanja	arrangementer
dešavanja	hendingar
jugozapadnom	sørvest
jugozapadnom	sydvest
vojislav	vojislav
mačka	tamkatt
mačka	katt
mačka	cat
skokova	hopper
neophodna	nødvendig
neophodna	nødvendige
ravne	flat
ravne	flatt
ravne	flate
luca	luca
colin	colin
izvođač	artist
vijećnica	hall
zadrži	holde
zadrži	behold
zadrži	hold
zadrži	keep
monroe	monroe
bara	bara
rama	rama
gudački	streng
mirno	fredelig
građevinski	bygging
građevinski	konstruksjon
diskovi	disker
aspekt	aspekt
addclass	addclass
čulo	forstand
čulo	vett
čulo	fornuft
zvijeri	beist
zvijeri	beast
zvijeri	beistet
zvijeri	udyr
zvijeri	beist
odražava	reflekterende
odražava	speiler
odražava	gjenspeiler
moral	moralen
moral	moral
dovoljan	nok
dovoljan	tilstrekkelig
antonije	antony
antonije	antonius
prefiks	prefiks
česti	hyppige
česti	hyppig
zvan	henvist
zvan	henviste
zvan	referert
namjeru	hensikt
namjeru	intensjon
ers	ers
prikupljanje	samler
prikupljanje	samle
prikupljanje	sanke
maya	maya
odredbe	proviant
odredbe	bestemmelser
bis	bis
zločini	forbrytelser
zločini	forbrytelsene
stalna	permanente
stalna	permanent
dlaka	hår
dlaka	håret
prijateljstvo	vennskap
raja	raja
hansen	hansen
hansen	hansens
antropologija	antropologi
svečano	seremoni
svečano	høytidelig
napoli	napoli
koalicija	koalisjon
koalicija	koalisjonen
ricardo	ricardo
dobrovoljno	frivillig
dobrovoljno	frivillige
dobrovoljno	frivillig
rtb	rtb
markt	markt
povjerenje	tillit
povjerenje	fortrolighet
povjerenje	selvtillit
povjerenje	tillit
povjerenje	trust
oblak	skyen
oblak	sky
oblak	cloud
auf	auf
škoda	skoda
škoda	škoda
žica	vaier
žica	ledning
žica	wire
korisno	nyttige
korisno	nyttig
korisno	brukbart
mentalno	mental
mentalno	mentale
mentalno	psykisk
mentalno	mentalt
mentalno	psykisk
skala	skalaen
skala	målestokk
skala	skala
ruševine	ruiner
donesena	tatt
stevens	stevens
proglašenja	forkynnelsen
proglašenja	erklærer
patuljasta	dverg
sličnost	likhet
sličnost	likheten
trgovac	handelsmann
jennifer	jennifer
preuzimanja	overtakelse
jonas	jonas
prunus	prunus
away	away
away	bort
away	unna
away	borte
away	vekk
svjedok	vitne
partnera	partner
partnera	partneren
partnera	kompanjong
troškovi	utgifter
troškovi	kostnader
troškovi	koster
bosanci	bosniere
rpm	rpm
višak	overskudd
višak	overflod
višak	overflødig
višak	overkant
nob	nob
prazan	tomme
prazan	tomt
prazan	tom
mayer	mayer
zabranjena	forbudte
zabranjena	bannlyst
zabranjena	utestengt
zabranjena	forbudt
zabranjena	forbød
intelektualaca	intellektuelle
dimitrije	dmitrij
krive	klandre
tačna	presis
tačna	presise
tačna	presist
tačna	ekte
tačna	sant
tačna	true
tačna	sanne
räikkönen	räikkönen
rick	rick
sive	grå
sive	grey
bilje	urter
živote	lives
vojvodina	vojvodina
neophodan	nødvendig
neophodan	nødvendige
okus	smak
okus	smakebit
okus	smake
konjanika	ryttere
konjanika	rytterne
darije	darius
darije	dareios
ubila	myrdet
ubila	drept
ubila	drepte
ubila	drept
brine	bekymringer
opremljena	utrustet
opremljena	utstyrt
bitan	viktig
prihvati	omfavne
prihvati	godtar
prihvati	godta
prihvati	akseptere
prihvati	aksepter
prihvati	aksepterer
stafa	stafa
ruta	route
ruta	ruta
ruta	rute
ruta	ruten
bilten	nyhetsbrev
nina	nina
nsdap	nsdap
sima	sima
invazija	invasjon
gosti	gjester
gosti	gjestene
smještaj	husrom
smještaj	innkvartering
malezija	malaysia
afričkih	afrikanske
afričkih	afrikansk
kovanica	mynter
droga	stoff
droga	dop
droga	narkotika
droga	narko
droga	rusmiddel
efikasno	effektive
efikasno	effektiv
efikasno	effektivt
efikasno	effektive
efikasno	effektiv
efikasno	effektivt
efikasno	effektivt
istraživača	oppdagere
istraživača	oppdagelsesreisende
kontroli	control
kontroli	kontroll
kontroli	kontroller
kontroli	kontrollere
testovi	tester
kontinent	kontinent
obnova	fornyelse
pristalica	supporter
pristalica	tilhenger
pristalica	støttespillere
pristalica	supportere
pristalica	tilhengere
stoney	stoney
pregovori	forhandlinger
pregovori	forhandling
pregovori	forhandlinger
pregovori	forhandlingene
rizika	risikoer
rizika	sjanser
rizika	risiko
dnf	dnf
tumačenje	tolkning
prijeti	truende
prijeti	truer
plaća	lønn
stranim	utenlandske
stranim	utenlandsk
remek	mesterverk
remek	mesterverket
kal	kal
platiti	betale
platiti	betal
emma	emma
dobara	varer
dobara	godbiter
ekologija	økologi
izbjeći	unngå
referendum	folkeavstemning
izazvala	forårsaket
odjednom	plutselig
odjednom	brått
jin	jin
grofica	grevinnen
grofica	grevinne
made	lagd
made	made
made	laget
muzičari	musikere
odredi	avgjør
odredi	avgjøre
odredi	fastslå
odredi	bestem
odredi	bestemme
vlasnici	eiere
angažman	engasjement
angažman	forlovelse
punom	full
punom	fullt
punom	fult
punom	mett
klement	klemens
klement	clement
mon	mon
metak	kule
rupe	hull
rupe	huller
hemijsku	penn
osiguranja	forsikring
osiguranja	forsikringer
futsal	futsal
ivanov	ivanov
gana	ghana
gana	ghanas
express	express
sane	tilregnelig
pozicijama	posisjoner
pozicijama	stillinger
divlji	wild
divlji	vill
divlji	vilt
polazi	løv
polazi	blader
skali	scully
litara	liter
bratstvo	brorskap
bratstvo	studentforening
bratstvo	brorskap
bratstvo	broderskap
bratstvo	brorskapet
plamen	flamme
sna	drømmen
sna	drømme
sna	dream
sna	drøm
bafta	bafta
jarac	steinbukk
čudo	mirakelet
čudo	mirakel
krk	krk
doyle	doyle
dobit	profitt
dobit	fortjeneste
rommel	rommel
napadača	angripere
napadača	angriperne
duboka	dype
duboka	dyp
duboka	dypt
duboka	deep
weber	weber
weber	webber
thomson	thomson
režnja	fliker
zatvaranje	stenging
zatvaranje	lukker
zatvaranje	lukking
zatvaranje	stenger
zatvaranje	avsluttende
zaštitnik	beskytter
étienne	étienne
profesionalna	profesjonell
profesionalna	profesjonelle
mjuzikl	musical
mjuzikl	musikal
mjuzikl	musikalsk
mačke	cats
mačke	katter
mačke	kattene
campbell	campbell
azijski	asiatisk
azijski	asian
azijski	asiatiske
romeo	romeo
dometa	range
dometa	rekkevidde
dometa	spekter
sirija	syria
egipatska	egyptisk
pijeska	sand
wta	wta
ward	ward
arhipelag	skjærgården
arhipelag	skjærgård
coli	coli
pozadina	bakgrunnen
pozadina	bakgrunn
pogubljen	henrettet
razdvajanje	atskillelse
pečat	stamp
pečat	stempel
pečat	frimerke
pečat	segl
pečat	sel
pečat	seglet
pečat	seal
programima	programmer
programima	programmer
franco	franco
celtic	keltisk
celtic	celtic
inspiracija	inspirasjon
odobrenje	godkjenning
odobrenje	godkjennelse
odobrenje	klarering
odobrenje	klaring
palata	palass
palata	slott
palata	palass
palata	palasset
palata	palace
koristan	nyttige
koristan	nyttig
koristan	brukbart
najraniji	tidligst
najraniji	tidligste
primati	primater
fleming	fleming
mol	muldvarp
mol	mol
staklo	glass
povreda	skade
sisari	pattedyr
sisari	pattedyr
barthel	barthel
uređajima	enheter
posthumno	posthumt
automobili	cars
automobili	biler
distribuciju	distribusjon
distribuciju	fordeling
obilježena	markert
obilježena	merket
brennan	brennan
resursi	ressurser
resursi	ressursene
davies	davies
zastupnik	representativt
zastupnik	representant
vezir	vesir
bonus	bonus
plaža	beach
plaža	stranda
plaža	strand
lucy	lucy
lokacijama	posisjoner
lokacijama	plasseringer
lokacijama	steder
lokacijama	arenaer
specijalno	spesielt
specijalno	spesielt
specijalno	special
specijalno	spesiell
specijalno	spesielle
specijalno	spesial
ateizam	ateisme
drevne	eldgammelt
drevne	antikkens
drevne	eldgammel
drevne	oldtidens
parma	parma
rejting	vurdering
rejting	rating
rejting	seertall
rejting	vurderinger
lipa	lipa
konji	hester
babić	babić
mhz	mhz
peći	ovner
phillips	phillips
lars	lars
donijeti	bring
donijeti	bringe
peto	femte
peto	fifth
označeni	tagget
lazar	lazar
kupiti	kjøpe
kupiti	buy
kupiti	kjøp
foto	photo
foto	foto
foto	bilete
foto	bilde
foto	biletet
minimum	minimum
shu	isolat
shu	shu
nadzor	overvåkning
nadzor	overvåking
kora	bark
kora	skorpe
kora	cora
norma	norma
norma	norm
kuka	hook
kuka	krok
hana	hannah
hana	hana
paralelne	parallell
uspona	ups
uspona	oppturer
piero	piero
hitchcock	hitchcock
crkava	kirker
tokio	tokyo
gibson	gibson
himne	anthem
himne	hymne
kraća	kortere
zakletvu	sverget
kepler	kepler
primaju	motta
primaju	mottar
ole	ole
vjerovatnoća	sannsynlighet
concat	concat
krilima	vingene
krilima	vinger
krilima	wings
lakši	enklere
lakši	lettere
uništava	utsletter
vozi	kjøre
vozi	drive
vozi	kjør
rado	gjerne
rado	gladelig
rado	rado
disney	disney
meti	målrettet
tehnološki	teknologiske
tehnološki	teknologisk
poglavlja	kapitler
slo	slo
napulj	napoli
napetosti	bestand
bonaparte	bonaparte
ahmet	ahmet
prijem	innrømmelse
prijem	mottakelse
prijem	resepsjonen
prijem	resepsjon
prijem	mottak
rekli	sakt
rekli	sa
rekli	said
rekli	sagt
gilles	gilles
blato	mud
blato	sølen
blato	søle
blato	gjørme
stavi	legger
stavi	put
stavi	putt
stavi	legg
pravna	juridiske
pravna	juridisk
pravna	lovlig
postanu	blitt
postanu	bli
radoslav	radoslav
detektiv	detective
detektiv	detektiv
detektiv	kriminalbetjent
italia	italia
norme	norm
obnovljen	fornyet
administrator	administrator
javier	javier
proizvoditi	produserer
proizvoditi	produsere
povod	anledning
povod	anledningen
društava	samfunn
bek	beck
bek	bek
aljehin	alekhins
depresija	depresjon
uzorka	utvalg
uzorka	prøve
uzorka	eksempel
senna	senna
nih	nih
španci	spanjoler
maksimum	maksimum
maksimum	maksimalt
maksimum	maks
maksimum	maksimal
mok	mok
dec	dec
pješak	fotgjenger
hronološki	kronologisk
imajući	peiling
imajući	beholder
nou	nou
zubi	tenner
ted	ted
formirane	formet
formirane	dannet
opticaju	sirkulasjon
opticaju	omløp
opticaju	blodsirkulasjonen
opticaju	opplag
brad	brad
obroncima	bakkene
tunela	tunnelene
tunela	tunneler
posmatra	observerer
posmatra	klokker
posmatra	armbåndsur
posmatra	ser
laurie	laurie
zabrana	ban
zabrana	forby
zabrana	forbud
suárez	suárez
komunistička	kommunist
komunistička	kommunistisk
srb	srb
ukr	ukr
znamenitosti	landemerker
markus	markus
nezadovoljstvo	misnøye
nezadovoljstvo	misnøye
talas	vink
talas	bølge
sierra	sierra
bush	busk
bush	bush
bush	busken
upada	razzia
upada	raid
upada	raidet
pjevao	sang
slab	svak
slab	svakt
slab	svake
hitovi	fulltreffere
hitovi	hits
alexis	alexis
banda	gjeng
banda	gjengen
krista	krista
pilota	piloter
hiv	hiv
koplja	spyd
bra	bh
lakers	lakers
pušenje	røyking
pušenje	røyker
ilirska	illyriske
churchill	churchill
direktan	direkte
direktan	direct
mergedrow	mergedrow
allahu	gud
théâtre	théâtre
boli	verker
sdp	sosialdemokratiet
otkrije	avsløre
otkrije	oppdager
otkrije	oppdage
otkrije	oppdag
jakih	styrker
kum	gudfar
kum	gudfaren
papua	papua
hamza	hamza
stepa	steppe
pijanist	pianist
misty	misty
iznose	beløpene
iznose	mengder
administracija	administrasjonen
administracija	administrasjon
čarobnjak	veiviseren
čarobnjak	trollmann
suđenja	rettssaker
suđenja	prøvelser
tragovima	ledetråder
tragovima	fotspor
upravljaju	styrt
theodor	theodor
udp	udp
paz	paz
ikona	ikonet
ikona	ikon
glad	hungersnød
glad	sult
glad	hunger
francuza	franskmannen
francuza	franskmann
parc	parc
planirana	planlagt
access	adgang
access	tilgang
emitira	kringkaster
emitira	sendinger
stalnih	iherdig
stalnih	vedvarende
stalnih	nonstop
proizlazi	oppstår
principi	prinsipper
principi	prinsipp
izgubi	taper
izgubi	taper
izgubi	tape
izgubi	miste
homer	homer
republikanska	republikanske
republikanska	republikaner
republikanska	republikansk
gan	gunn
bruto	ekkel
classic	klassisk
classic	klassiker
classic	klassiske
classic	classic
alel	allel
gandhi	gandhi
jednaki	likestilt
jednaki	like
jednaki	likeverdig
izdavanje	utstedelse
hubble	hubble
einstein	einstein
civilna	sivil
civilna	sivilist
schalke	schalke
mine	gruvene
mine	miner
stabilan	stabil
stabilan	stall
stabilan	stabilt
stabilan	stabile
emily	emily
ferenc	ferenc
nosača	operatør
kuna	kuna
dođu	come
dođu	kom
attr	attr
operacijama	operasjoner
drina	drina
hepburn	hepburn
ribolov	fisking
ribolov	fiske
naboj	ladning
naboj	belastning
siva	gray
siva	grå
siva	grått
siva	grå
siva	grey
kane	kane
šupljina	hulrom
pokrivaju	dekke
pokrivaju	cover
pokrivaju	deksel
pokrivaju	dekk
osmi	eighth
osmi	åttende
hamlet	hamlet
bekr	bakr
wimbledon	wimbledon
udata	gift
skladištenje	lagring
skladištenje	lagringsplass
skladištenje	oppbevaring
idejama	ideer
idejama	idéer
obnovio	fornyet
ponuda	tilbudet
ponuda	tilby
ponuda	tilbud
ekspedicija	ekspedisjon
rumunski	rumensk
tvorac	skaper
tvorac	skaperen
studijama	studier
upravnik	fengselsdirektør
budizam	buddhisme
čovječnosti	menneskelighet
čovječnosti	menneskeheten
potpuna	komplett
potpuna	fullføre
potpuna	fullført
kasiopeja	kassiopeia
logos	logoer
princeton	princeton
izdavačke	publisering
izdavačke	publiserer
izdavačke	publisere
arheološka	arkeologisk
levi	levi
mečeva	fyrstikkene
mečeva	fyrstikker
mečeva	kamper
mečeva	treff
brz	kjapp
brz	raskt
brz	rask
brz	hurtig
brz	raske
brz	fort
leslie	leslie
uzorak	utvalg
uzorak	prøve
uzorak	eksempel
melbourne	melbourne
vjerskim	religiøst
vjerskim	religiøse
vjerskim	religiøs
govornika	talere
govornika	høyttalere
odabran	valgt
odabran	utvalgte
odabran	utvalgt
odabran	valgte
uporište	fotfeste
izvrši	henrette
izloženi	eksponert
izloženi	utsatt
izloženi	avslørt
basic	grunnleggende
basic	basic
wallis	wallis
držala	held
držala	holdt
držala	avholdt
ograničeni	avgrenset
gómez	gómez
kornjača	turtle
kornjača	skilpadde
čeljusti	klør
jabuke	epler
jedinstveno	unik
jedinstveno	unikt
jedinstveno	unike
uzimajući	tar
ravnoteža	likevekt
jutro	morgon
jutro	morgen
jutro	formiddag
jutro	morning
ostvaruju	forfølge
roosevelt	roosevelt
arg	arg
pokrenuta	lanserte
pokrenuta	lansert
pokrenuta	sjøsatt
deutsche	deutsche
auguste	auguste
roberts	roberts
vista	vista
kontinentalno	innover
jednakost	likeverd
jednakost	likhet
jednakost	likestilling
advokat	jurist
advokat	advokat
shell	shell
shell	skall
mehanika	mekanikk
fer	fer
fer	rettferdig
fer	fair
prolaza	midtgangen
ltd	ltd
carlsen	carlsen
nazvane	navngitt
nazvane	oppkalt
objavljivanje	publisering
objavljivanje	utgivelse
sony	sony
avanture	adventures
avanture	eventyr
bros	bros
organska	organisk
organska	økologisk
trend	trend
trend	trenden
bogovima	gudene
bogovima	guder
pažljivo	nøye
pažljivo	omhyggelig
uništenja	ødeleggelse
uništenja	tilintetgjørelse
ramos	ramos
baka	baka
baka	farmor
baka	mormor
baka	bestemor
josy	josy
vjerska	religiøst
vjerska	religiøse
vjerska	religiøs
utvrđenje	fort
zagradi	parentes
dominantni	dominerende
logika	logikk
wesley	wesley
proizvedena	fremstilt
proizvedena	produsert
ubijena	myrdet
ubijena	drept
ubijena	drepte
ubijena	drept
vene	årer
rastao	vokste
moldavija	moldovas
moldavija	moldova
ogromna	enorm
ogromna	enorme
relacija	ekvivalens
misle	tror
olympique	olympique
vlažnost	luftfuktighet
vlažnost	fuktighet
šalju	sende
šalju	send
alge	alger
hebrejski	hebraisk
rect	rect
augustin	augustin
pivo	ølen
pivo	pils
pivo	beer
pivo	øl
enciklopedije	encyclopaedia
granate	skjell
šerif	lensmann
šerif	sheriff
smallville	smallville
ograničenje	grense
iupac	iupac
turner	turner
psihologija	psykologi
geometrija	geometri
alfons	alfonso
kut	kut
libija	libyas
libija	libya
klarinet	klarinett
pagename	pagename
prebačen	overført
zadatke	oppdragene
zadatke	oppgaver
ostavi	permisjon
ostavi	forlate
ostavi	forlat
ostavi	leave
einar	einar
nog	nog
sistematski	systematisk
jamie	jamie
izložena	eksponert
izložena	utsatt
izložena	avslørt
specifičnosti	kjennetegn
specifičnosti	egenskaper
nafta	petroleum
nafta	nafta
željeznički	rail
željeznički	railway
luz	luz
šesnaest	sixteen
šesnaest	seksten
sarađivao	samarbeidet
sarađivao	samarbeide
bomba	bombe
lloyd	lloyd
stop	stopp
kuba	kuba
kuba	cuba
elektronska	elektroniske
elektronska	elektronisk
hrv	hrv
dole	down
dole	ned
dole	nedover
dole	nede
dole	nede
dole	nedenunder
instrumente	instrumenter
instrumente	virkemidler
navare	viana
poručnik	løytnant
poručnik	førstebetjent
iure	jure
zaustavlja	stopp
nestala	manglende
nestala	savnet
nestala	forsvunnet
nestala	mangler
odsustvo	fravær
tragova	fotavtrykk
tragova	fotspor
slobodi	løs
okružena	omringet
okružena	omgitt
spomenut	nevnte
spomenut	nevnt
spomenut	nevnes
ponedjeljak	mandag
arhitektonski	arkitektonisk
zvonimir	zvonimir
ofanziva	offensiv
ofanziva	støtende
geometrijski	geometrisk
postotak	prosent
postotak	prosentandel
panama	panama
spriječi	forebygger
spriječi	forhindre
spriječi	hindre
spriječi	forebygge
datumi	datoer
datumi	dato
datumi	stevnemøter
interese	interesser
interese	interessene
tajvan	taiwan
panzer	panzer
izložen	eksponert
izložen	utsatt
izložen	avslørt
kenneth	kenneth
izdavača	forlag
izdavača	utgivere
izdavača	utgiver
carska	keiserlige
carska	imperial
tame	mørke
tame	darkness
tame	mørket
tame	tam
tame	tamme
počast	ære
počast	hyllest
počast	tribute
počast	tributt
ozbiljne	alvorlig
ozbiljne	alvorlige
ozbiljne	alvor
ozbiljne	seriøs
vice	vice
franaka	franc
nuklearni	kjernefysisk
prisiljeni	tvungen
prisiljeni	tvang
hronika	krønikene
hronika	kronikk
hronika	krønike
hronika	krøniken
hronika	chronicle
prezentacija	presentasjon
metan	metan
dubai	dubai
friends	vennene
friends	vener
friends	venner
kancelar	kansler
britannica	britannica
born	born
born	født
poplave	oversvømmelse
ukrajinci	ukrainere
demokratija	demokrati
vivo	vivo
schmidt	schmidt
reforma	reform
usmjeren	regissert
profesionalne	profesjonell
profesionalne	profesjonelle
andersson	andersson
doors	dører
doors	dørene
znajući	vitende
talasi	bølger
jože	jože
pobunjenika	opprørere
pobunjenika	rebeller
pobunjenika	opprørerne
pobunjenika	rebell
pobunjenika	opprører
pobunjenika	rebel
hronologija	tidslinjen
hronologija	tidslinje
lane	lane
nowrap	nowrap
sljedbenici	følgere
sljedbenici	followers
sljedbenici	tilhengere
zalihe	forsyninger
baterije	batterier
delfin	delfin
delfin	dolphin
delfin	delfinen
crtež	skisse
crtež	tegning
crtež	trekning
crtež	tegner
crtež	tegne
grah	bean
grah	bønne
grah	bønner
plata	plata
darwin	darwin
inteligencija	intelligence
inteligencija	intelligens
inteligencija	etterretning
hassan	hassan
memorija	minnet
memorija	hukommelse
memorija	minne
memorija	memory
dizel	diesel
izgubiti	taper
izgubiti	tape
izgubiti	miste
strategije	strategier
noviji	nyere
trave	grass
trave	gress
sirius	sirius
karbonat	karbonat
unix	unix
romi	roma
ključanja	koking
ključanja	kokende
ključanja	koker
planova	planlegger
planova	planene
planova	planer
laboratorija	labs
laboratorija	laboratorier
laboratorija	laboratoriene
laboratorija	laboratorium
laboratorija	laboratorium
laboratorija	lab
doza	doser
doza	dose
robovi	slaver
din	dekanus
din	dean
svuda	overalt
predaja	overgi
predaja	overgivelse
predaja	kapitulasjon
obnovu	fornyelse
obnovu	restaurering
obnovu	restaurasjonen
obnovu	rehabilitering
ključa	nøkler
ključa	keys
ključa	nøklene
senegal	senegal
receptore	reseptorene
chase	chase
predviđa	forutsier
nadh	nadh
sergei	sergei
sergei	sergej
otrov	gifta
otrov	gift
sutra	imorgen
sutra	morgendagen
sutra	tomorrow
pogodan	passende
pogodan	passende
pogodan	egnet
konzul	konsul
autorska	opphavsrett
diane	diane
zahtjevi	forespørsler
zahtjevi	henvendelser
zahtjevi	krav
zahtjevi	kravene
zahtjevi	krav
mostovi	bridges
mostovi	broer
mostovi	broene
mostovi	bruer
opremljen	utrustet
opremljen	utstyrt
povuče	trekke
bon	bon
nasilje	vold
povećane	økt
nekako	snill
nekako	kind
poljaci	polakker
poljaci	polene
tehnička	teknisk
tehnička	tekniske
beskonačno	uendelig
beskonačno	uendelige
beskonačno	endeløst
beskonačno	uendelige
ljubomir	ljubomir
everton	everton
adp	adp
wells	brønner
wells	wells
fran	fran
dalmacija	dalmatia
legio	legio
fragmenti	fragmenter
završenog	fullfører
završenog	fullføre
kate	kate
abo	abo
procjenu	vurdering
move	flytte
move	flytt
baterija	batteri
