שניתנו	与えられた
משקעים	沈殿
יהלום	ダイヤモンド
יהלום	ダイアモンド
יהלום	ダイヤモンド
ורן	ヴェルヌ
ורן	レン
ורן	ヴァーン
מיוצר	製造
דורטמונד	ドルトムント
גמישות	柔軟
גמישות	柔軟性
גמישות	弾性
קירור	冷却
קירור	冷蔵
קירור	冷却
מרוצה	満足
מרוצה	ハッピー
מרוצה	幸せ
אוסטין	オースチン
פאי	パイ
פאוול	パウエル
אייזק	アイザック
אייזק	イサク
עגול	ラウンド
עגול	round
עגול	丸い
צלעות	リブ
הליבה	コア
הליבה	core
התגובות	コメント
אראגון	エラゴン
טיולים	旅行
טיולים	ハイキング
התמוטטות	内訳
התמוטטות	崩壊
התמוטטות	たたむ
מלזיה	マレーシア
קמפוס	カンポス
קמפוס	キャンパス
אומן	オマーン
אומן	職人
אומן	職人
אומן	芸術家
אומן	アーティスト
שליטים	ルーラー
שליטים	定規
שנתית	年次
שחיתות	汚職
טרום	pre
קמח	粉末
קמח	小麦粉
ידיד	友人
ידיד	友だち
ידיד	フレンド
ידיד	友達
לגיטימי	合法
וורד	ウォード
נמכרה	落札
הבחין	斑点
מוסטפא	ムスタファ
תיאום	連携
תיאום	調整
תיאום	コーディネート
הוספה	追加
הוספה	加算
לונג	長い
לונג	ロング
מטבח	料理
מטבח	キッチン
מטבח	台所
נענע	ナナ
נענע	ミント
מעטפת	シェル
מעטפת	封筒
הביוגרפיה	伝記
תרזה	テレサ
תרזה	テレサ
מקרוב	マカロフ
אתלטיקה	アスレチックス
חכמה	賢い
חכמה	英明
חכמה	賢い
חכמה	スマート
חכמה	知恵
חתולים	キャッツ
חתולים	ネコ
פרגוואי	パラグアイ
תיאודור	テオドール
ההבנה	実現
ההבנה	換価
ההבנה	理解
מפרט	仕様
מפרט	スペック
מפרט	仕様
מפרט	スペック
מפרט	spec
לוגי	論理
זוחלים	爬虫類
זוחלים	爬虫類
הגדר	集合
הגדר	セット
הגדר	configure
הגדר	設定
הגדר	フェンス
הגדר	定義
הגדר	define
הפצה	分布
הפצה	流通
הפצה	配当
הפצה	普及
כופר	身代金
טיילר	タイラー
מאסטר	マスター
אינסופי	インフィニット
אלופה	チャンプ
אלופה	チャンピオン
שטרלינג	スターリング
בט	ベット
זבל	ジャンク
זבל	ごみ箱
זבל	ゴミ箱
זבל	ごみ
זבל	ゴミ
זבל	ごみ
מתוכננת	予定
מתוכננת	計画
אונייה	船舶
מולי	モリー
אללה	アッラーフ
אללה	アラー
התשלום	支払
התשלום	決済
התשלום	支払い
מפרסם	投稿
מפרסם	掲示
מפרסם	出版
מפרסם	パブリッシャー
מפרסם	出版社
ניקוי	クリーニング
ניקוי	洗浄
ניקוי	清掃
ניקוי	掃除
ניקוי	クレンジング
פסול	欠格
מחזורי	サイクル
אגודות	組合
משוואה	方程式
שניידר	シュナイダー
שניידר	スナイダー
פורטו	ポルト
הרך	やわらかい
הרך	柔らかい
הרך	ソフト
נעצרה	逮捕
הנשמה	ソウル
הנשמה	霊魂
הסיעה	派閥
סופו	終了
סופו	エンド
מנגנוני	メカニズム
בנקים	バンクス
חמד	ハマド
קתולים	カトリック
מוכשר	才能
ברט	バート
ברט	ブレット
ברט	ブレット
ברט	バート
סורי	シリア
חומרה	金物
חומרה	ハードウェア
אלטרנטיבי	オルタナティブ
אלטרנטיבי	代替
אלטרנטיבי	交互
גרנד	グランド
השקיעה	夕焼け
השקיעה	日没
קוני	コニー
מוזס	モーゼ
מוזס	モーゼス
ענקית	巨大
ענקית	巨人
ענקית	ジャイアント
ענקית	巨大
חללים	スペース
ואט	ワット
ואט	ワット
ואט	vat
הילה	オーラ
הילה	halo
עוצר	停車駅
עוצר	門限
תהילים	詩篇
תהילים	詩篇
שעשועים	アミューズメント
שעשועים	娯楽
סמינר	セミナー
ווסט	ウエスト
ווסט	西部
ווסט	ウェスト
ללכוד	キャプチャー
ללכוד	キャプチャ
ללכוד	攻略
מטריצה	行列
מטריצה	マトリックス
סרי	sri
סקס	性別
סקס	セックス
סיר	ポット
מזכירה	秘書
הגלקסיה	銀河
הגלקסיה	銀河系
האחוזה	マンション
האצילים	貴族
אבד	ロスト
הצהרה	ステートメント
הצהרה	声明
אנדרסן	アンデルセン
בהריון	妊娠
אייאקס	アイアース
מיסטר	ミスター
תביעות	債権
תביעות	訴訟
הארכיבישוף	大主教
לוחמת	戦士
לוחמת	ファイター
אסלאם	イスラム教
הלסינקי	ヘルシンキ
גיטריסט	ギタリスト
התוקף	アタッカー
סכין	ナイフ
כפל	乗算
כפל	乗法
פיני	フィニー
דרישת	要件
משולם	有料
פג	ペグ
חוויה	エクスペリエンス
חוויה	体験
חוויה	経験
האוס	ハウス
סיירות	巡洋艦
מסתובב	回転
מסתובב	紡績
ריבית	利子
ריבית	利息
מלכותי	マジェスティック
מלכותי	ロイヤル
אובייקטים	オブジェクト
קלאודיוס	クラウディウス
רשומות	レコード
רשומות	エントリー
רשומות	項目
רשומות	エントリ
הלוואות	ローン
הלוואות	融資
פלויד	フロイド
רלוונטית	関連
מגמת	専攻
קונה	バイヤー
קונה	買い手
קונה	購入
המוקד	派遣
המוקד	発送
הדפדפן	ブラウザー
הדפדפן	ブラウザ
רחבות	広い
תנין	アリゲーター
תנין	クロコダイル
תנין	ワニ
מותג	ブランド
מותג	銘柄
שין	シン
ביקורתית	クリティカル
נהיגה	運転
סרג	セルジュ
עיצורים	子音
עיצורים	子音
פציעות	怪我
פלאש	flash
פלאש	フラッシュ
מצויין	優れた
משולבת	統合
סגולה	パープル
מלאי	在庫
מלאי	棚卸
מלאי	株式
מלאי	ストック
סדנה	ワークショップ
סדנה	作業場
אלברטו	アルベルト
ליר	リア
לילות	ナイツ
חמישיית	クインテット
בובה	ベイビー
בובה	赤ちゃん
בובה	パペット
בובה	人形
מארס	マーズ
מארס	火星
דיאלוג	台詞
אינטרס	利子
אינטרס	利息
סייד	サイド
חריגה	珍しい
חריגה	例外
שריפת	燃える
שריפת	バーニング
השמדה	壊滅
דאון	ダウン
דאון	明け方
דאון	夜明け
דאון	ドーン
דאון	グライダー
לינארי	リニア
לינארי	線形
מזמור	聖歌
מזמור	チャント
מזמור	詩篇
זאוס	ゼウス
הלורדים	諸侯
רולינג	ローリング
הלר	ヘラー
קונסטנטינופול	コンスタンティノープル
הקיסרים	皇帝
מקבלי	宛先
החוזר	リプレイ
טרנס	テレンス
טרנס	トランス
טרנס	テレンス
הכלה	花嫁
אכפת	mind
אכפת	マインド
אכפת	ケア
אכפת	介護
ואלי	バレー
ואלי	谷間
מקסוול	マックスウェル
מקסוול	マクスウェル
הקוראן	クルアーン
הקוראן	コーラン
אנדרטאות	モニュメント
אנדרטאות	記念碑
שתייה	飲む
שתייה	飲み物
שתייה	ドリンク
שתייה	飲む
שתייה	飲み物
שתייה	ドリンク
יארד	ヤード
וריאציות	バリエーション
וריאציות	変奏曲
פלא	ワンダー
שימושית	役に立つ
מתוק	スウィート
מתוק	甘い
לובלין	ルブリン
וילי	ウィリー
נספח	付録
ריבוע	正方形
ריבוע	四角
ריבוע	広場
מוסלמית	イスラム教
מוסלמית	ムスリム
מעטות	少数
קזחסטן	カザフスタン
עימותים	紛争
עימותים	コンフリクト
אנני	アニ
אנני	アニー
הנעורים	青年
הנעורים	若者
הנעורים	ユース
הנעורים	青春
גרסיה	ガルシア
מזבח	祭壇
הארכה	残業
הארכה	延長
הארכה	内線
זמיר	ナイチンゲール
טוטנהאם	トッテナム
חמורות	重度
קציר	収穫
יריות	ショット
מדידות	測定
עיגול	サークル
מעניינים	興味深い
מעניינים	おもしろい
מעניינים	面白い
מלבורן	メルボルン
מישהי	誰か
דרקון	ドラゴン
הפחד	恐怖
הפחד	恐れ
הכמות	数量
הצטרפות	参加
נתרן	ナトリウム
מקצועיות	プロフェッショナル
מקצועיות	プロフェッショナル
נשמה	ソウル
נשמה	霊魂
שטוח	フラット
תבוסה	敗北
הימנעות	否認
קדמי	フロント
קדמי	表側
קדמי	前面
קדמי	宣伝
קדמי	宣伝
חובבים	アマチュア
חובבים	アマチュア
צפיות	ビュー
בגד	衣類
פלדמן	フェルドマン
ההקשר	コンテクスト
ההקשר	コンテキスト
ההקשר	context
קולין	コリーン
קולין	コリン
קולין	コリン
טדי	テディ
לישון	睡眠
לישון	眠る
לישון	スリープ
רלוונטיים	関連
לרכב	乗る
לרכב	配車
שמידט	シュミット
פגם	欠陥
פגם	瑕疵
פגם	欠陥
משרות	ジョブ
משרות	求人
יומית	デイリー
אשמה	責め
אשמה	有罪
אשמה	guilty
רובו	ロボ
האלפבית	アルファベット
וייל	ヴェイル
הבריאה	創造
הבריאה	作成
בלוק	ブロック
אירית	アイリッシュ
טיעונים	論証
טיעונים	引数
ברודוויי	ブロードウェイ
תביא	持ち込み
תביא	ブリング
תביא	フェッチ
תביא	取得
מעידה	失効
מעידה	消滅
מעידה	証言
מרתה	マーサ
הנפה	エレベーター
הנפה	リフト
הנפה	スウィング
הנפה	スイング
קוראת	読書
ראי	見る
ראי	ライ
ראי	rai
ראי	ミラー
שמעבר	ビヨンド
תירס	トウモロコシ
תירס	コーン
תירס	トウモロコシ
תירס	とうもろこし
נטש	放棄された
ויטמין	ビタミン
ויטמין	ビタミン
גנדלף	ガンダルフ
לאנג	lang
לאנג	ラング
מצוקה	遭難
מצוקה	逆境
קילוגרם	キログラム
קילוגרם	ポンド
אמונות	信念
צוללת	潜水艦
הצוואר	ネック
לגבש	統合
פסקל	パスカル
אציל	尊い
מילימטר	ミリメートル
לנג	lang
לנג	ラング
לנג	ランゲ
צער	悲しみ
צער	悲しみ
איכותי	品質
איכותי	クオリティ
איכותי	画質
איכותי	quality
שק	バッグ
שק	かばん
ויכוחים	論証
ויכוחים	引数
נאמנים	忠実
רוט	ロート
רוט	root
רוט	ルート
עזים	ヤギ
מדיסון	マディソン
מאדאם	マダム
מאדאם	マダム
מעגלים	サークル
טוד	tod
טוד	トッド
רייך	ライヒ
סביליה	セビリア
סביליה	セビージャ
הריון	妊娠
שרות	サービス
ריקי	リッキー
משוב	フィードバック
הריסון	ハリソン
תפארת	グローリー
אולגה	オルガ
היציבות	安定
היציבות	安定性
עכשווית	現代
המפטון	ハンプトン
הכין	made
מקו	マコ
קריאות	通話
מחויבות	コミットメント
מחויבות	収容
ביולוגית	生物
מסילה	トラック
שכנע	説得
אלומיניום	アルミニウム
אלומיניום	アルミ
אלומיניום	アルミニウム
דז	des
גירוי	刺激
קלאוס	クラウス
שאה	シャー
לחזות	予測
מועיל	役に立つ
מועיל	役立つ
פטנט	特許
לינדה	linda
לינדה	リンダ
חידות	なぞなぞ
מסעדת	レストラン
מסעדת	飲食店
מדונה	マドンナ
סילון	ジェット機
סילון	ジェット
מיהו	美穂
מיהו	美保
מחזיקים	持株
כידון	銃剣
גו	グー
נכות	障害
ורסאי	ヴェルサイユ
לדכא	弾圧
מיסים	税金
שטרות	紙幣
שטרות	紙幣
פריחה	発疹
פריחה	発疹
מעגלי	円形
השתנו	変更された
זרועות	触手
זרועות	アームス
עניים	かわいそう
הנבואה	予言
הנבואה	預言
סוקולוב	ソコロフ
קייל	カイル
החשמלית	トラム
חנינה	恩赦
חנינה	赦免
חנינה	恩赦
אקוודור	エクアドル
אקוודור	エクアドル
מטופלים	患者
לינה	レナ
לינה	宿泊
לינה	リナ
לינה	宿泊
מוניקה	モニカ
חתונה	結婚
חתונה	婚姻
חתונה	ウェディング
חתונה	結婚式
איזבל	イサベル
אלכסיי	アレクセイ
אלכסיי	アレクセイ
מדברת	トーキング
להתפלל	祈り
להתפלל	祈る
כותרות	ヘッダ
כותרות	ヘッダー
כותרות	見出し
כותרות	役職
כותרות	称号
כותרות	タイトル
אקספרס	エクスプレス
אקספרס	急行
דמו	デモ
הרחם	子宮
רומנטי	ロマンチック
מלאכים	エンジェルス
מלאכים	天使
מסוכנת	危険
צדדים	両側
ברקלי	バークリー
הומצא	発明
ישרים	正直
משאית	トラック
משאית	トラック
השגריר	大使
השגריר	アンバサダー
נזיר	隠者
נזיר	モンク
נזיר	ナジール
המנוח	故人
מרובות	倍数
מרובות	複数
לגנוב	盗む
אודסה	オデッサ
פיג	ブタ
תן	ジャッカル
תן	let
תן	レット
תן	与える
תן	give
המייסד	創始者
המייסד	開祖
ניתוק	切断
בקבוק	ボトル
הלם	ショック
הלם	衝撃
ערעור	アピール
ערעור	抗告
ערעור	上告
המתופף	ドラマー
דורותי	ドロシー
גראנד	グランド
אליאס	エリアス
אליאס	イライアス
נערות	ガールズ
הסיכויים	確率
הקרבה	犠牲
הקרבה	生贄
הקרבה	親族
טבעיות	自然
טבעיות	ナチュラル
מקדשים	神社
מקדשים	寺院
ברווז	カモ
ברווז	アヒル
ברווז	ダック
הדוד	叔父
הדוד	伯父
הדוד	おじさん
הדוד	おじ
הדוד	アンクル
מרילנד	メリーランド
קורי	コーリー
קורי	コーリー
עוני	貧困
גס	ラフ
גס	乱暴
גס	無礼
זעיר	タイニー
זעיר	ちっちゃい
זעיר	ちび
זעיר	小さい
פוינט	ポイント
שלישיית	トリオ
בינונית	ミディアム
בינונית	メディア
אורגנית	有機
פרדוקס	パラドックス
התקנים	デバイス
התקנים	機器
התקנים	基準
התקנים	規格
לנינגרד	レニングラード
טורינו	トリノ
האוהדים	ファン
פיניקס	フェニックス
הקומנדו	sas
הקומנדו	コマンドー
נמר	トラ
נמר	タイガー
נמר	ヒョウ
נייטרלי	中性
נייטרלי	ニュートラル
הובר	フーヴァー
טכניות	テクニカル
מהלכים	moves
בסיסיות	基本
בסיסיות	ベーシック
בסיסיות	basic
אבולוציה	進化
אבולוציה	evolution
סיירה	シエラ
החנות	店舗
החנות	ストア
קנת	ケネス
סוהר	刑務所
סוהר	監獄
אירח	主催
חלופית	交互
קופנהגן	コペンハーゲン
ליקוי	eclipse
ביצות	沼地
ביצות	湿地
מסעדה	レストラン
מסעדה	飲食店
כשיר	主務
אורלי	オルリー
איוב	職業
איוב	仕事
איוב	ジョブ
התיעוד	ドキュメント
התיעוד	ドキュメンテーション
גוונים	見どころ
גוונים	ハイライト
סילבה	シルバ
מושבת	無効
המחירים	価格
גידי	クラクラ
משקפת	双眼鏡
הסכמים	協定
לאס	ラス
לאס	las
חלופי	交互
נצח	永遠
נצח	フォーエバー
נעדר	不在
נעדר	欠席
המאמצים	取り組み
המאמצים	努力
דוגמנית	モデル
דוגמנית	モデル
שטיין	シュタイン
הכבישים	道路
סצנה	現場
סצנה	シーン
סצנה	場面
טכניקת	テクニック
טכניקת	技法
פגזים	シェル
פגזים	貝殻
רובים	小銃
עקבות	トラック
עקבות	トレース
עקבות	足跡
חילוני	世俗
איה	あや
איה	aya
מורחב	拡張
מורחב	延長
חמישית	フィフス
החלון	ウィンドウ
מונטה	モンテ
פריט	アイテム
פריט	品物
נקמה	復讐
נקמה	報復
נקמה	復讐
נקמה	リベンジ
נקמה	報復
לימון	レモン
שיפוט	判断
שיפוט	審判
שיפוט	管轄
שיפוט	判断
שיפוט	判決
גלויה	はがき
גלויה	ハガキ
גלויה	可視
מוסא	ムサ
מלווים	シャペロン
התקרב	ズーム
גלויות	はがき
רמזים	ヒント
רמזים	手がかり
אסטרטגיות	戦略
שוער	コンシェルジュ
שוער	ゴールキーパー
שורשי	ルーツ
הדפסה	印刷
הדפסה	印刷
אורגון	オレゴン
דוח	レポート
דוח	報告
וירוס	ウィルス
וירוס	ウイルス
כנפי	ウイングス
חשוף	露出
שקוף	透明
מטעמים	goodies
אלסקה	アラスカ
נק	ネック
הצל	シャドー
הצל	シャドウ
מרצון	任意
זיגמונד	ジークムント
לידיה	リュディア
לידיה	リディア
לטיני	ラテン語
לטיני	ラテン
חימר	クレイ
חימר	粘土
מפותחת	早熟
אורלנדו	オーランドー
אורלנדו	オーランド
אורלנדו	オルランド
ארס	アルス
ארס	アレス
מתון	軽度
מתון	中道
ברזילאי	ブラジル
קרמר	クレイマー
מקוונת	オンライン
משאיות	トラック
הזדהות	共感
הזדהות	同定
הזדהות	識別
הזדהות	連帯
גאומטריה	ジオメトリ
גאומטריה	図形
עירום	ヌード
עירום	全裸
עירום	ヌード
עירום	ヌード
פאונד	パウンド
פאונד	ポンド
פאונד	ポンド
מחירים	価格
אסונות	災害
הדוכסות	公爵
בחורה	ガール
בחורה	少女
בחורה	女の子
טומאה	穢れ
שומרת	ガーディアン
שומרת	後見人
קרבן	犠牲
קרבן	生贄
בטוחים	セーフ
בטוחים	金庫
בטוחים	安全
דרג	レート
דרג	評価
לואיזיאנה	ルイジアナ
הסתברות	確率
הושגה	達成
אוריון	オライオン
אוריון	オリオン
ליברלית	リベラル
האובייקט	オブジェクト
סאלי	サリー
מארה	マーラ
ריס	リス
סדום	ソドム
בריו	リオ
סיד	シド
סיד	cid
סיד	シド
סיד	sid
מפחד	怖がる
מפחד	怖い
הבוחר	有権者
תורן	マスト
לשלול	撤回
לשלול	取り消す
תדמית	画像
תדמית	イメージ
זולה	ゾラ
זולה	安い
הישרדות	サバイバル
הישרדות	サバイバー
חסימות	ブロック
פריי	フライ
פריי	フレイ
מיועדים	朝貢
מיזורי	ミズーリ
הצריכה	消費
תפוחי	ポテト
תפוחי	ジャガイモ
תפוחי	じゃがいも
ניתוחים	analytics
ניתוחים	解析
ניתוחים	手術
נרות	ろうそく
נרות	キャンドル
נרות	蝋燭
עמל	労苦
גינה	庭園
האיראני	イラン
נחלים	ストリーム
גבינה	チーズ
כיוונים	方向
כיוונים	道順
תכלת	シアン
מון	ムーン
טבק	タバコ
טבק	たばこ
צלמים	カメラマン
סלטיקס	セルティックス
צבעוני	チューリップ
צבעוני	カラフル
צבעוני	カラフル
קוויבק	ケベック
להתקין	インストール
דוג	イヌ
באס	バス
באס	ベース
נעלמה	失踪
דבלין	ダブリン
הנשיאות	総裁
אויר	空気
אויר	航空
אויר	エア
קנזס	カンザス
פרייס	プライス
פרייס	対価
פרייס	値段
פרייס	価格
דולפין	ドルフィン
דולפין	イルカ
זוהה	斑点
זוהה	検知
גולדן	ゴールデン
גולדן	黄金
אוספים	コレクション
וולברין	ウルヴァリン
סיורים	ツアー
סיורים	トゥール
מיתולוגיה	神話
מיתולוגיה	神話
מוריץ	モーリッツ
אדינבורו	エディンバラ
הרכיב	コンポーネント
קלאב	クラブ
קלאב	棍棒
דייויד	デイヴィッド
דייויד	ダビデ
דייויד	デビッド
דייויד	デヴィッド
בוץ	マッド
לייפציג	ライプツィヒ
שטוטגרט	シュトゥットガルト
היפ	股関節
היפ	ヒップ
ריפוי	ヒーリング
לעקוף	追い越し
לעקוף	上書き
העדפה	好み
אלינור	エレノア
ויסקונסין	ウィスコンシン
פורשה	ポルシェ
להתחבר	コネクト
להתחבר	接続
צרות	トラブル
צרות	トラブル
צרות	悩み
תאונה	アクシデント
תאונה	事故
תאונה	事故
מעבדות	labs
אוון	オーウェン
אוון	オーエン
אוון	エヴァン
אוון	エバン
ניקס	nyx
ניקס	ニックス
ניקס	ニックス
ההבחנה	区別
שיבוש	妨害
ירייה	銃声
ירייה	ショット
ליטל	リトル
ליטל	小さい
בריכות	プール
השיירה	キャラバン
מתמחה	住民
מתמחה	インターン
נורמלי	普通
נורמלי	ノーマル
רכיבה	乗馬
רכיבה	サイクリング
רכיבה	サイクリング
רכיבה	馬術
אסורים	禁止
ראלף	ラルフ
אנליזה	分析
אנליזה	解析
ניצבים	エクストラ
ניצבים	オマケ
רוטב	肉汁
רוטב	ソース
רוטב	ドレッシング
סוכנים	エージェント
חקירות	取調べ
חקירות	問い合わせ
תקנה	買う
תקנה	購入
אומה	ネーション
אומה	国民
מונטגומרי	モンゴメリー
קסטרו	カストロ
חוויות	エクスペリエンス
יפות	美しい
יפות	ビューティフル
היגיון	論理
יצרנית	メーカー
טקסטיל	繊維
טקסטיל	織物
טקסטיל	テキスタイル
טקסטיל	織物
מתנה	現在
מתנה	present
מתנה	プレゼント
מתנה	ギフト
מתנה	贈り物
בזלת	玄武岩
שליחת	送信
יקרים	dear
יקרים	ディア
יקרים	尊い
יקרים	precious
יקרים	貴重
יקרים	高い
יקרים	高額
גלילאו	ガリレオ
רשומה	エントリー
רשומה	エントリ
רשומה	上場
לגעת	タッチ
לגעת	touch
לגעת	触る
חפירה	掘る
מצודה	松田
בחינות	試験
סיכונים	リスク
עושר	金持ち
עושר	リッチ
המלט	ハムレット
רעים	バッド
רעים	悪い
אתלטים	選手
אתלטים	アスリート
אלכסנדרה	アレクサンドラ
לפרטים	詳細
ריגה	リガ
ובכן	まあ
טורי	トリ
להרכיב	集まる
להרכיב	組み立てる
גאנה	ガーナ
מפואר	雄大
מפואר	栄光
מפואר	ファンシー
מפואר	空想
פורייה	フーリエ
קרבה	関係
קרבה	親族
אלקטרון	電子
פנינה	真珠
פנינה	gem
נסיון	未遂
נסיון	エクスペリエンス
נסיון	体験
נסיון	経験
לתקשר	コミュニケーション
גזעי	purebred
גאה	誇らしい
גאה	自慢
גאה	誇り
הארווי	ハービー
הארווי	ハーヴィー
הארווי	ハーヴェイ
אוסר	禁じる
לורה	ローラ
מושבי	座席
אוהדים	ファン
ליעד	行き先
ליעד	目的地
ליעד	宛先
טרף	捕食
מכרות	地雷
חילוף	スペア
חילוף	置換
עישון	喫煙
התרחבות	膨張
רקמות	ティッシュ
ארל	アール
גאיוס	ガイウス
קאסל	キャッスル
חבילות	バンドル
חבילות	パッケージ
חבילות	パケット
חבילות	パック
יוניברסל	ユニバーサル
תמצא	find
רובוט	ロボット
כתם	しみ
כתם	シミ
בולס	ブルズ
וולאס	ウォレス
מקוון	オンライン
סאונד	サウンド
להאריך	延長
לעצמי	自分
לעצמי	myself
סטיבנס	スティーヴンス
התקף	攻撃
התקף	進撃
התקף	差押え
התקף	押収
גלות	exile
גלות	流罪
גלות	亡命
קנס	ペナルティ
חיוב	チャージ
חיוב	課金
חיוב	充電
חיוב	請求
גנב	ストール
גנב	泥棒
הזכיר	言及
עבדול	アブドゥル
ברונזה	青銅
ברונזה	ブロンズ
הצפיפות	密度
יוליה	ジュリア
יוליה	ユリア
יוליה	ジュリエット
דיפלומט	外交官
רציונלי	rational
בוז	軽蔑
בוז	ブー
בוז	boo
פסנתרן	ピアニスト
קליפים	クリップ
חורבות	廃墟
חורבות	遺跡
אורניום	ウラン
סיגל	ジーゲル
בלאס	bellas
שוודי	スウェード
גורש	退学
מסמן	マーキング
מכתש	クレーター
מרינה	marina
מרינה	マリーナ
עלית	エリート
אולטרה	ultra
אולטרה	ウルトラ
מלים	言葉
מלים	単語
שירלי	シャーリー
קריסטל	crystal
קריסטל	結晶
קריסטל	クリスタル
מטפל	セラピスト
מטפל	介護
הבהרה	釈明
ענבים	ぶどう
ענבים	ブドウ
ענבים	ブドウ
ענבים	ぶどう
חולות	サンズ
ריכטר	リヒター
מיתוס	神話
טרה	タラ
טרה	テラ
חרוט	円錐
חרוט	コーン
ניקול	ニコル
נאמנה	忠実
לאמת	認証
לאמת	検証
שבור	壊れた
תלונה	クレーム
תלונה	苦情
תלונה	苦情
תלונה	クレーム
עשב	grass
עשב	雑草
האחדות	統一
הכובש	征服者
העכבר	ねずみ
העכבר	マウス
שבועי	毎週
שבועי	週間
שבועי	週刊
שבועי	ウィークリー
הושג	後天性
הושג	達成
הירך	股関節
הירך	ヒップ
הירך	太もも
אנטואן	アントワーヌ
צנזורה	検閲
קניות	購入
קניות	ショッピング
קניות	買い物
קניות	買物
ארגז	ボックス
ארגז	クレート
ארגז	トランク
פריס	パリス
פריס	パリ
נשואים	既婚
המכירה	セール
ישויות	エンティティ
הגורל	運命
הגורל	運命
נוקשה	厳重
נוקשה	厳しい
נורמלית	普通
נורמלית	ノーマル
גאוס	ガウス
קרמיקה	セラミック
קרמיקה	陶磁器
התנקשות	暗殺
דינוזאורים	恐竜
דינוזאורים	恐竜
מדגסקר	マダガスカル
אמרי	エメリー
לכסות	表紙
לכסות	被覆
לכסות	カバー
לכסות	cover
הקמפוס	キャンパス
כרום	クローム
כרום	クロム
כרום	クロム
מורחבת	拡張
מורחבת	延長
אגמים	湖沼
בגידה	裏切り
בגידה	カンニング
בגידה	浮気
בגידה	裏切り
בגידה	反逆
גולשים	スライダー
צום	断食
דחוף	緊急
המתנה	スタンバイ
פלה	ペレ
מפרקים	関節
שארלוט	シャルロット
אלטרנטיבית	オルタナティブ
אלטרנטיבית	代替
לופז	ロペス
הראפר	ラッパー
מפורטים	詳細
הרגיש	フェルト
כרונית	慢性
כרונית	持病
מחרוזת	ストリング
סיבים	繊維
סיבים	ファイバ
סיבים	繊維
סיבים	繊維
סיבים	繊維
פרקר	パーカー
מנו	マヌ
פמיניסטית	フェミニズム
פמיניסטית	フェミニスト
אבחזיה	アブハジア
ניוקאסל	ニューカッスル
מערכי	アレイ
מערכי	配列
