relativity	relativnost
najdlhšie	najdlje
najdlhšie	najdaljši
najdlhšie	najdaljša
najdlhšie	najdaljše
prezývku	vzdevek
vráti	vračanje
vráti	vrne
miss	gospodična
miss	miss
kuba	kubo
kuba	kubi
kuba	kuba
bolesti	bolečine
bolesti	bolečino
bolesti	bolečina
opereta	opereto
stanovisko	mnenje
stanovisko	mnenja
alojz	alojz
pečať	pečat
imagesize	imagesize
pekingu	peking
pekingu	pekingu
pekingu	peking
faktorov	faktorji
faktorov	dejavniki
ostáva	ostanke
ostáva	ostaja
ostáva	ostane
nevyhnutné	potrebno
nevyhnutné	neizbežno
nevyhnutné	neizogibno
nevyhnutné	neizbežno
nevyhnutné	neizogibno
nevyhnutné	bistveno
nevyhnutné	bistvene
nevyhnutné	bistvena
zatknutý	aretacije
zatknutý	aretacija
zatknutý	aretiran
zatknutý	prijetje
zatknutý	aretirani
zatknutý	aretirali
zatknutý	aretirana
zatknutý	aretiran
scalemajor	scalemajor
vonkajší	zunanji
vonkajší	zunanja
vonkajší	zunanji
vonkajší	zunanja
vonkajší	zunanji
vonkajší	zunanja
vonkajší	zunanje
aplikácií	vloge
aplikácií	prošnje
aplikácií	prijave
aplikácií	aplikacije
aplikácií	aplikacije
molekúl	molekul
molekúl	molekule
jedine	le
jedine	samo
večné	večna
večné	večno
večné	večen
večné	večni
večné	večna
nic	nič
nic	nic
nástroja	inštrument
nástroja	instrument
nástroja	orodje
konštruktér	konstruktor
tennessee	tennessee
techniku	tehnika
techniku	tehniko
raymond	raymond
cicavcov	sesalcev
cicavcov	sesalce
cicavcov	sesalci
cicavcov	sesalec
public	javnosti
public	javna
public	javnost
public	javno
príznaky	simptomi
príznaky	znamenja
príznaky	znake
príznaky	znaki
príznaky	znakov
prijatá	prejeto
prijatá	prejeti
prijatá	prejeta
prijatá	sprejeta
prijatá	sprejete
prijatá	sprejet
prijatá	sprejeto
prijatá	sprejet
prijatá	sprejeta
prijatá	sprejet
prijatá	sprejeto
joan	joan
rozhodnuté	rešen
rozhodnuté	rešeno
rozhodnuté	rešena
rozhodnuté	odločeno
rozhodnuté	odločil
rozhodnuté	odločila
rozhodnuté	odločili
patriarcha	patriarh
dunaji	donavi
múr	obzidje
múr	zid
múr	stena
múr	steno
manhattan	manhattan
texase	teksas
texase	texas
stráže	straža
stráže	čuvaji
stráže	pazniki
stráže	stražarji
kristus	kristus
rozsiahly	obsežna
rozsiahly	obširno
rozsiahly	obsežno
rozsiahly	obsežne
aristoteles	aristotel
edwards	edwards
financie	finance
financie	financiranje
financie	finance
plotarea	plotarea
nedeľu	nedeljsko
nedeľu	nedeljo
nedeľu	nedelje
nedeľu	nedeljski
nedeľu	nedelja
pomocný	pomožni
pomocný	pomožno
pomocný	pomožna
pomocný	pomožne
maďarov	madžari
ibm	ibm
kľúč	ključ
kľúč	ključno
ochorenie	bolezen
ochorenie	bolezni
ochorenie	bolezen
ochorenie	bolezni
ochorenie	bolezen
ochorenie	bolezni
kostolov	cerkva
kostolov	cerkve
nadal	nadal
jacob	jakob
jacob	jacob
ťažba	ekstrakcijo
ťažba	ekstrakcija
ťažba	pridobivanje
ťažba	črpanje
ťažba	rudarstvo
ťažba	sečnja
ťažba	beleženje
lesné	gozda
lesné	gozd
lesné	gozdni
lesné	gozdovi
centrá	središča
centrá	centri
centrá	centre
centrá	središča
centrá	centrov
centrá	centri
centrá	centre
indonézie	indonezije
indonézie	indonezija
bytia	počutje
vlastná	lastno
vlastná	lastne
vlastná	lastna
vlastná	lastni
vlastná	običaj
ministrov	ministri
ministrov	ministrski
múzeá	muzeje
kováč	kovač
šírenie	širjenje
šírenie	širjenje
šírenie	razširjanje
šírenie	razširi
šírenie	širjenje
obnovená	obnovljen
obnovená	obnovljena
obnovená	obnovljeno
obnovená	prenovljeno
obnovená	obnovljeno
obnovená	obnovljen
obnovená	obnovljena
botanik	botanik
kyselín	kisline
benz	benz
zeman	zeman
phoenix	phoenix
gilmour	gilmour
rozvíjať	razviti
populárny	priljubljene
populárny	priljubljena
populárny	priljubljeno
populárny	priljubljeni
populárny	priljubljen
metre	metrov
metre	podzemna
metre	podzemni
metre	podzemno
metre	metrov
rak	raku
rak	rak
rak	raka
obavy	strahove
obavy	strahovi
obavy	pomisleki
obavy	zaskrbljenost
obavy	skrb
obavy	zaskrbljenost
verlag	verlag
cit	cit
dlhší	dlje
dlhší	daljše
dlhší	daljši
dlhší	daljša
frekvencia	frekvenca
frekvencia	pogostost
frekvencia	pogostnost
minútu	minuta
minútu	minuto
register	registrira
register	register
register	evidenca
register	register
register	registra
bosna	bosna
tvoje	tvoje
tvoje	tvoji
tvoje	vaš
tvoje	tvoj
tvoje	tvoja
tvoje	vaša
tvoje	tvojo
tvoje	tvoje
tvoje	tvoj
tvoje	tvoji
tvoje	tvoja
maximum	maksimum
maximum	največja
coa	coa
cas	cas
cas	cass
prijaté	slikano
prijaté	vzet
prijaté	prejeto
prijaté	prejeti
prijaté	prejeta
prijaté	sprejeta
prijaté	sprejete
prijaté	sprejet
prijaté	sprejeto
prijaté	sprejet
prijaté	sprejeta
prijaté	sprejet
prijaté	sprejeto
dno	dno
dno	spodaj
voz	vagon
voz	voz
dôstojníkov	častniki
dôstojníkov	policisti
dôstojníkov	oficirji
američania	američani
frederick	frederick
oheň	ogenj
oheň	požar
garcía	garcía
ložiská	ležaji
zrážky	trčenje
zrážky	trk
zrážky	padavin
zrážky	padavine
alberto	alberto
byzantský	bizantinski
russell	russell
kopca	navzgor
kopca	hrib
kopca	grič
kopca	hill
kritici	kritiki
kritici	kritike
demokracia	demokracija
autorstvo	avtorstva
kus	kos
kus	delček
kus	košček
kus	kosa
možná	možen
možná	možna
možná	možne
možná	možni
možná	možno
slávny	slavni
slávny	slaven
slávny	znana
slávny	znani
slávny	znan
turbo	turbo
brazílie	brazilija
nezávislých	neodvisen
nezávislých	samostojna
nezávislých	samostojno
nezávislých	neodvisni
nezávislých	neodvisno
nezávislých	neodvisna
planétu	planet
planétu	planeta
spoločenský	družabna
spoločenský	družaben
spoločenský	družabno
spoločenský	socialno
spoločenský	družabni
spoločenský	družabno
spoločenský	socialne
spoločenský	socialna
spoločenský	družbena
postupnosť	zaporedje
arnold	arnold
ľahšie	lažje
ľahšie	lažji
ľahšie	enostavneje
ľahšie	lažja
reaguje	reagira
reaguje	odzivnost
harold	harold
studio	atelje
studio	studio
teoreticky	teoretično
bohuslav	bohuslav
černych	černih
kódy	kode
kódy	šifre
podporovať	podporo
podporovať	podpore
podporovať	podpora
podporovať	spodbudi
podporovať	spodbujati
koryto	strugi
ľudmila	ljudmila
akt	akp
akt	dejanje
akt	akt
sultán	sultan
nepriamo	posredne
nepriamo	posredno
nepriamo	posredna
nepriamo	posredno
pápeži	papežev
povedomia	ozaveščenost
povedomia	zavedanje
povedomia	zavest
modelka	model
modelka	vzorec
modelka	maneken
občianskeho	državljanska
občianskeho	civic
blízkom	sredina
blízkom	srednji
blízkom	srednja
vlk	volka
vlk	wolf
vlk	volčji
vlk	volk
volkswagen	volkswagen
sociológ	sociolog
chemická	kemikalija
chemická	kemična
chemická	kemijsko
chemická	kemično
zur	zur
kongresu	kongres
kongresu	kongresu
lászló	lászló
robot	bota
robot	bot
robot	robota
robot	robot
námornej	pomorski
námornej	pomorsko
námornej	pomorske
pevný	trdna
pevný	trdni
pevný	trdne
pevný	trden
pevný	trdno
zahraničné	tuje
zahraničné	tuja
zahraničné	tuji
stuttgart	stuttgart
kovy	kovinska
kovy	kovine
kovy	kovina
kovy	kovinsko
kovy	kovinski
kovy	kovin
kovy	kovine
kovy	kovin
hamburg	hamburg
oslobodenie	oprostitev
oslobodenie	izjema
oslobodenie	izjeme
oslobodenie	osvoboditev
oslobodenie	osvoboditve
oslobodenie	lajšanje
oslobodenie	oprostitev
oslobodenie	olajšanje
bydlisko	prebivalec
bydlisko	prebivanje
bydlisko	bivališče
bydlisko	bivanje
bydlisko	rezidenca
bydlisko	prebivališče
bydlisko	bivališče
bydlisko	domicil
bydlisko	prebivališče
mag	nabojnik
mag	mag
bobby	bobi
bobby	bobby
náhodou	ponesreči
napísali	pisno
napísali	napisano
napísali	napisana
napísali	pisna
napísali	zapisano
napísali	napisal
napísali	pisal
napísali	napisala
napísali	zapisal
tiger	tiger
nadácie	fundacije
nadácie	temelje
nadácie	temelji
detaily	detajli
detaily	podrobnosti
kolektív	kolektivna
kolektív	kolektivno
kolektív	kolektiv
automobilový	avtomobilski
automobilový	avtomobilsko
automobilový	avtomobilska
philippe	philippe
ľad	led
ľad	ice
ľad	ledom
lese	gozdovi
lese	gozda
lese	woods
lese	gozd
mostov	mostove
mostov	mostov
mostov	mostovi
jadrovej	jedrska
jadrovej	jedrski
rap	rap
výraznejšie	ostrejši
odolnosť	trdnost
odolnosť	upor
odolnosť	odpornost
odolnosť	odpor
odolnosť	upiranje
odolnosť	odpornost
jay	jay
podobnú	podobni
podobnú	podoben
podobnú	podobna
podobnú	podobne
podobnú	podobnih
podobnú	podobno
teórií	teorije
teórií	teorij
čou	zhou
záhreb	zagreb
leonardo	leonardo
sľuby	obljube
sľuby	obljub
sľuby	zaobljuba
sľuby	zaobljube
prepojenie	povezovanje
vertebrata	vertebrata
súčet	vsota
súčet	seštevek
umiestnenia	postavitev
umiestnenia	lokacij
umiestnenia	lokacije
umiestnenia	umestitve
umiestnenia	lokacija
umiestnenia	lokacijo
formátu	oblika
formátu	format
záhrade	garden
záhrade	vrt
záujmov	interesi
derby	derbi
teréne	teren
robinson	robinson
zubov	zobe
zubov	zobje
bela	bela
sierra	sierra
prusko	prusija
portugalský	portugalski
portugalský	portugalsko
portugalský	portugalska
case	case
case	zaboj
case	primer
vlakov	vlaki
vlakov	vlake
soľ	sol
soľ	soli
miestni	domačini
castle	castle
castle	grad
castle	dvorec
väzba	vezava
väzba	zavezujoča
väzba	vezave
väzba	zavezujoče
väzba	druženja
väzba	skrbništvo
väzba	vez
väzba	bond
tradícia	tradicije
tradícia	tradicijo
tradícia	tradicija
povesti	govorice
nástupcu	naslednika
nástupcu	naslednica
nástupcu	naslednik
aktuálny	tok
aktuálny	trenutni
aktuálny	trenutna
aktuálny	sedanji
aktuálny	aktualna
aktuálny	aktualno
katalóg	katalog
katalóg	katalog
katalóg	kataloga
nelson	nelson
rastú	rastejo
rastú	rasti
rastú	gojil
rastú	zrasti
výklad	razlago
výklad	tolmačenje
výklad	razlaga
znamenal	pomenilo
znamenal	mišljeno
výzbroje	oborožitev
pozemné	kopenski
pozemné	kopenske
pozemné	kopenskih
pozemné	tla
pozemné	tleh
ondřejov	ondřejov
pohľady	znamenitosti
pohľady	ogledov
pohľady	mnenja
pohľady	stališča
pohľady	pogledi
cestná	pot
cestná	cesta
zásah	vmešavanje
zásah	motnja
zásah	vmešavanja
zásah	motnje
zásah	intervencija
zásah	intervencijo
zásah	posredovanje
zásah	intervencije
warner	warner
zdravotné	medicinski
zdravotné	medicinsko
zdravotné	zdravje
zdravotné	zdravja
chybu	pomota
založiť	baza
založiť	osnova
založiť	oporišče
jules	jules
prúdov	tokov
komédia	komedijo
komédia	komedija
watanabe	watanabe
kresťanov	kristjane
kresťanov	kristjani
kresťanov	kristjanov
angel	angelček
angel	angel
továrne	tovarn
továrne	tovarne
faktor	dejavnik
faktor	faktor
litva	litva
litva	litvi
litva	litvo
zavraždený	umorili
zavraždený	umorjen
zavraždený	umorjena
zavraždený	umorjeni
zavraždený	umorjen
phil	phil
rob	rob
zastúpené	zastopane
zastúpené	zastopani
zastúpené	predstavljal
výkonný	izvršni
výkonný	izvršilni
ponúkol	ponujena
ponúkol	ponujenih
ponúkol	ponujene
ponúkol	ponujeni
ponúkol	ponujeno
ponúkol	ponudil
presun	premestitev
presun	prenos
presun	selitev
presun	premikanje
presun	premiki
presun	gibanja
presun	premikanje
presun	gibanje
carter	carter
carter	carterjeva
poistenie	zavarovanja
poistenie	zavarovanje
finančne	finančno
kroky	stopnice
kroky	koraki
kroky	stopinje
kroky	koraki
zmazať	izbris
zmazať	brisanje
bohatý	bogato
bohatý	bogati
bohatý	rich
bohatý	bogat
bohatý	bogata
erich	erich
informatiky	informatike
suchá	suha
suchá	suhi
suchá	suhe
suchá	posuši
suchá	suho
poddruh	podvrste
slnečná	sončna
slnečná	sončni
slnečná	sončne
slnečná	sončno
infraštruktúra	infrastrukturo
infraštruktúra	infrastruktura
svetom	svet
svetom	svetovna
svetom	svetovno
svetom	world
nahrávanie	nalaganje
nahrávanie	naloži
nahrávanie	nalaganje
nahrávanie	evidentiranje
nahrávanie	zapisovanje
nahrávanie	snemanje
nahrávanie	plošča
nahrávanie	rekord
nahrávanie	zapis
čítať	branje
čítať	preberite
čítať	preberi
záchranu	reševalna
záchranu	reševanje
wood	les
wood	wood
wood	lesena
wood	lesa
wood	lesni
wood	leseno
klavirista	pianist
kabíny	kabine
kabíny	koče
kabíny	kabin
dutiny	sinuse
dutiny	votline
mer	mer
organické	organsko
organické	organska
organické	organski
organické	ekološko
rybníky	ribniki
portálu	portal
orientačné	okvirne
orientačné	okvirno
orientačné	okvirni
orientačné	okvirna
vyvinuli	razvil
vyvinuli	razvila
skutočné	resničen
skutočné	resnično
skutočné	resnična
skutočné	prava
skutočné	realno
skutočné	pristno
skutočné	pristna
skutočné	pristen
skutočné	dejanske
skutočné	dejanski
skutočné	dejanska
domény	področja
návštevy	obiskovalce
návštevy	obiskovalci
návštevy	obisk
návštevy	obiščite
návštevy	obiske
návštevy	obiski
návštevy	obiskov
predstaviť	uvesti
citát	citat
citát	citat
odborov	sindikatov
odborov	sindikati
štvrté	četrto
štvrté	četrta
štvrté	četrtič
štvrté	četrti
jonas	jonas
barry	barry
equus	equus
licencie	licenc
licencie	dovoljenja
licencie	licence
licencie	licence
licencie	dovoljenje
licencie	licenco
licencie	licenca
licencie	licenciranje
nákladu	tovor
budovať	zgradi
budovať	zgraditi
budovať	zgradil
hlboké	globoka
hlboké	globoko
hlboké	globok
odhad	ocenjeno
odhad	ocenjen
odhad	ocenjeni
odhad	ocenjena
odhad	ocena
odhad	ocena
vojnový	vojno
vojnový	vojne
vojnový	vojna
folk	folk
koalície	koalicijo
charakteristiky	lastnosti
charakteristiky	značilnosti
charakteristiky	lastnosti
charakteristiky	značilnosti
briti	britanci
briti	britanski
briti	britanci
briti	britansko
briti	britanci
čínske	kitajske
čínske	kitajski
čínske	kitajsko
čínske	kitajska
čínske	kitajci
mama	mama
mama	mami
mama	mama
mama	mamo
mama	mater
mama	mamo
mama	mati
mama	mami
mama	mama
zisku	dobiček
zaznamenané	posnet
zaznamenané	posneto
zaznamenané	zabeleži
zaznamenané	zabeleženo
zaznamenané	zabeležena
zaznamenané	zabeleženo
prepustený	sproščeno
prepustený	izpuščeni
prepustený	izpuščen
prepustený	izpuščena
prepustený	odpuščen
venuša	venera
väzení	zapora
väzení	zapor
centrálne	osrednje
centrálne	centralne
centrálne	centralno
centrálne	osrednji
centrálne	centralni
centrálne	centralno
porážku	poraz
porážku	porazi
budúci	naslednji
budúci	naslednja
harvard	harvardu
harvard	harvard
olympic	olimpijski
olympic	olympic
nepriateľov	sovražniki
nepriateľov	sovražnike
nepriateľov	sovražnikov
geometria	geometrija
reprezentácia	zastopanje
reprezentácia	ponazoritev
reprezentácia	predstavništvo
priatelia	prijateljev
priatelia	prijatelji
priatelia	friends
priatelia	prijatelje
verše	kitic
socialistická	socialdemokratov
prince	princa
prince	prince
prince	knez
prince	princ
vrtuľníky	helikopterje
vrtuľníky	helikopterji
titan	titan
cook	kuhar
cook	cook
cook	kuharica
diely	deli
diely	rezi
diely	kosi
charlotte	charlotte
veciach	zadeve
chemicky	kemično
chemicky	kemijsko
matthew	matthew
matthew	matej
emanuel	emanuel
oskar	oskar
oskar	oscarja
oskar	oscar
oskar	oskarja
oskar	oskar
predstavenie	nastop
predstavenie	zmogljivost
predstavenie	uspešnost
predstavenie	uspešnosti
predstavenie	pokaži
predstavenie	prikaži
predstavenie	oddaja
vraždy	umor
vraždy	umori
vraždy	umor
vraždy	umorov
vraždy	umori
podvozok	podvozje
podvozok	šasije
zavedená	uvedeno
zavedená	uveden
zavedená	uvedeni
zavedená	uvedene
zavedená	uvedena
ensign	praporščak
lisa	lisa
lisa	liso
vybrať	izberi
vybrať	izberi
činiteľ	dejavnik
činiteľ	faktor
premenné	spremenljivka
premenné	spremenljivo
premenné	spremenljiva
premenné	spremenljivke
fred	fred
adrian	adrian
dvořák	dvořák
štandardy	standarde
štandardy	standardi
planéte	planet
planéte	planeta
čisté	neto
čisté	net
čisté	čisti
čisté	čist
čisté	čista
čisté	cist
čisté	čist
súbežne	istočasno
súbežne	sočasno
súbežne	hkrati
súbežne	vzporedno
súbežne	vzporedni
súbežne	vzporedna
tvrdenia	trditve
tvrdenia	terjatve
tvrdenia	trditve
tvrdenia	trditve
tvrdenia	utemeljitve
tvrdenia	argumenti
tvrdenia	trditve
alois	alois
ručne	ročno
súkromný	zasebno
súkromný	privat
súkromný	zasebna
súkromný	zasebnega
súkromný	zasebni
scaleminor	scaleminor
plody	sadje
plody	sadeži
plody	sadje
plody	plodovi
fórum	forumih
fórum	forum
pestovanie	raste
pestovanie	rastoče
pestovanie	gojenje
pestovanie	sajenje
pestovanie	obdelovanje
pestovanie	gojenje
relácia	zasedanje
relácia	sejo
relácia	zasedanju
relácia	seja
cooper	cooper
nahradená	zamenjana
nahradená	nadomeščen
logiky	logika
logiky	logiko
pohyby	premiki
pohyby	gibanja
pohyby	poteze
pohyby	gibe
pohyby	gibi
psychológ	psiholog
psychológ	psihologinja
slávnosti	festival
slávnosti	praznik
slávnosti	praznovanje
terminológia	terminologije
bytosti	bitja
bytosti	stvori
bytosti	bitja
samice	samice
samice	ženska
samice	ženski
samice	samica
samice	žensko
súradnice	koordinate
senátu	senat
grafický	grafično
grafický	grafični
grafický	grafično
plukovník	polkovnik
michelangelo	michelangelo
potomkov	potomcev
potomkov	potomec
potomkov	potomce
potomkov	potomci
potomkov	potomci
melbourne	melbourne
korunu	krona
korunu	krono
agent	agentka
agent	zastopnik
agent	agent
tém	teme
kapitola	poglavje
železo	železo
železo	železov
železo	železna
železo	železa
spisy	pisanja
konečný	končna
konečný	končni
efektívne	učinkoviti
efektívne	učinkovita
efektívne	učinkovit
efektívne	učinkovito
efektívne	učinkovito
efektívne	učinkoviti
efektívne	učinkovita
efektívne	učinkovit
efektívne	učinkovito
najnovšie	nedavne
najnovšie	nedavno
najnovšie	nedavna
najnovšie	najnovejši
najnovšie	najnovejše
najnovšie	najnovejša
najnovšie	najnovejši
najnovšie	najnovejše
poľnohospodárske	kmetijska
poľnohospodárske	kmetijske
poľnohospodárske	kmetijsko
poľnohospodárske	kmetijski
kaplnke	kapelo
kaplnke	kapela
sasko	saška
modra	modro
modra	modre
modra	modri
modra	modra
jadrom	jedro
papiera	papirja
papiera	papir
platňa	plošča
platňa	krožnik
platňa	tablica
spol	sodelavci
hlasovať	glasovanje
hlasovať	glasujte
hlasovať	glasovanje
liverpool	liverpool
opravy	popravkov
opravy	popravki
opravy	popravila
opravy	popravki
opravy	popravila
opravy	popravilo
dia	dia
mačky	mačke
mačky	mačk
mačky	mački
trestné	kriminalno
trestné	kazensko
trestné	kriminalec
trestné	kazenskih
trestné	kazenski
brigády	brigad
brigády	brigade
brigády	brigada
brigády	brigade
teológia	teologijo
varšave	varšavi
následné	naknadni
ľudský	človeško
ľudský	človeška
ľudský	človeški
potrieb	rabi
potrieb	potrebe
potrieb	potrebuje
potrieb	potreb
útek	pobeg
útek	beg
útek	pobeg
útek	beg
zaťaženie	obremenitve
zaťaženie	naloži
zaťaženie	obremenitev
zaťaženie	obremenitve
zaťaženie	natovarjanje
zaťaženie	obremenitev
zaťaženie	nalaganje
zaťaženie	nakladanje
tal	tal
sarah	sarah
sarah	sara
venované	vdan
venované	predan
československo	češkoslovaško
vyhlásenia	izjave
vyhlásenia	izjavi
vyhlásenia	deklaracije
vyhlásenia	izjave
sebastian	sebastian
sebastian	sebastiana
klaus	klaus
dôsledky	posledice
chomutov	chomutov
váhy	luske
váhy	tehtnice
váhy	tehtnica
váhy	lestvice
váhy	tehtnica
váhy	uteži
zámer	namera
zámer	namen
zámer	namera
hladina	nivo
hladina	stopnja
hladina	raven
čreva	črevo
čreva	črevesje
hkm	hkm
iniciatívy	pobude
iniciatívy	pobuda
iniciatívy	pobudo
symbolov	simboli
symbolov	simbole
mons	mons
empire	empire
empire	imperij
empire	cesarstvo
vietname	vietnam
piatok	petek
tvarov	oblike
štúdiá	studios
používateľ	uporabnika
používateľ	uporabnik
made	narejena
made	narejeni
made	narejen
made	narejeno
letci	letalci
etapy	faze
etapy	stopnje
etapy	fazah
pristál	pristalo
pristál	pristal
pristál	pristali
rozširuje	razširja
osád	naselja
osád	poravnave
žltý	rumena
žltý	rumeni
žltý	rumene
žltý	rumen
žltý	rumeno
abd	abd
odmietli	odklonil
odmietli	zavrnjena
novšie	novejše
novšie	novejši
jamie	jamie
náčelník	poglavar
náčelník	načelnik
sociálny	socialno
sociálny	družabni
sociálny	družabno
sociálny	socialne
sociálny	socialna
sociálny	družbena
porto	porto
rozdielne	drugačna
rozdielne	drugačen
rozdielne	drugačni
rozdielne	drugačno
deutsche	deutsche
adresu	naslov
rumunský	romunski
lebky	lobanje
lebky	lobanjo
lebky	lobanje
lebky	lobanja
úseky	poglavji
úseky	oddelki
priemyselná	industrijsko
priemyselná	industrijska
priemyselná	industrijske
priemyselná	industrijski
pretekár	racer
pretekár	dirkač
kras	kraški
kras	kras
uhlie	premog
uhlie	oglja
uhlie	oglje
abeceda	abeceda
komédie	komedijo
komédie	komedija
komédie	komedije
vrh	leglo
vrh	legla
kopa	kupček
kopa	kupu
kopa	kup
duchovné	duhovna
duchovné	duhovni
duchovné	duhovnega
duchovné	duhovne
duchovné	duhovno
extra	dodatno
extra	dodaten
extra	ekstra
extra	extra
vzdať	predajo
vzdať	predaje
vzdať	predaja
snahu	prizadevanja
snahu	napora
snahu	napor
snahu	trud
snahu	prizadevanje
nárok	zahtevek
nárok	terjatev
nárok	trditev
nárok	upravičenost
chýb	napake
chýb	napake
chýb	hrošče
chýb	žuželke
chýb	hrošči
medi	bakrene
medi	baker
medi	bakra
pokryté	pokrito
pokryté	pokrit
pokryté	pokrita
pokryté	pokrite
zavedený	uvedeno
zavedený	uveden
zavedený	uvedeni
zavedený	uvedene
zavedený	uvedena
jednotlivcov	posamezniki
jednotlivcov	posameznike
jednotlivcov	posameznikov
archeológ	arheolog
archeológ	arheolog
organizmus	organizem
junior	mlajši
junior	junior
životy	živi
životy	življenja
frekvencie	pogostnosti
frekvencie	frekvence
frekvencie	pogostost
frekvencie	frekvenca
frekvencie	pogostost
frekvencie	pogostnost
autobus	bus
autobus	avtobus
autobus	avtobusna
výrobcu	proizvajalec
výrobcu	producent
výrobcu	proizvajalec
výrobcu	proizvajalca
výrobcu	izdelovalec
tisícročia	tisočletja
tisícročia	tisočletje
prednášky	predavanja
prednášky	predavanj
prednášky	predavanje
ulrich	ulrich
akademický	akademske
akademický	akademsko
akademický	akademski
návrhov	predloge
návrhov	predlogi
praktické	praktično
praktické	praktične
praktické	praktičen
praktické	praktična
estadio	estadio
počasie	vreme
nominácia	nominacijo
trio	trio
skúsenosť	doživetje
skúsenosť	izkušnja
skúsenosť	izkušenj
skúsenosť	izkušnje
najmladší	najmlajše
najmladší	najmlajša
najmladší	najmlajši
sklo	steklo
sklo	stekla
sklo	kozarec
sklo	steklena
disciplíne	discipline
disciplíne	disciplino
disciplíne	disciplina
nešpecifikovaná	nedoločen
elektrických	električno
elektrických	električni
elektrických	električno
elektrických	električna
elektrických	električni
adresy	naslovi
family	druzina
family	družina
operáciu	operacijo
operáciu	kirurgija
operáciu	operacija
vzdialený	oddaljen
vzdialený	oddaljeno
vzdialený	oddaljeni
vzdialený	oddaljena
vzdialený	oddaljen
vzdialený	oddaljeno
vzdialený	oddaljeni
vzdialený	oddaljenih
vzdialený	oddaljena
naučil	naučil
naučil	naučil
existoval	obstajal
existoval	obstajala
existoval	obstajali
porasty	nasadi
dmitrij	dmitri
dmitrij	dimitrij
pohlavia	spol
pohlavia	seks
pohlavia	spol
pohlavia	sex
wars	vojne
wars	vojn
dallas	dallas
karibiku	karibih
broughton	broughton
timeaxis	timeaxis
zrýchlenie	pospešitev
zrýchlenie	pospešek
zrýchlenie	pospeševanje
core	jedro
paralelne	vzporedno
paralelne	vzporedni
paralelne	vzporedna
lipa	lipa
challenger	challenger
bytov	flats
bytov	bajtov
bytov	apartmaji
bytov	stanovanja
centrálny	osrednje
centrálny	centralne
centrálny	centralno
centrálny	osrednji
centrálny	centralni
rodičmi	starše
rodičmi	starša
rodičmi	starši
eddie	eddie
ross	rossa
ross	ross
média	medijev
média	mediji
média	media
fritz	fritz
afganistane	afganistan
afganistane	afganistanu
prístupné	dostopna
prístupné	dostopno
prístupné	dostopni
prístupné	dostopen
rádia	radia
rádia	radio
afrických	afriški
afrických	afriška
afrických	afriške
afrických	afriško
terminál	terminal
terminál	terminalu
konstantin	konstantin
výstupy	izidi
bruins	bruins
armstrong	armstrong
lekára	zdravnik
lekára	zdravnika
lekára	zdravnik
lekára	zdravnika
lekára	zdravnica
lekára	doktor
rukopis	rokopis
shoemaker	shoemaker
projektom	projekte
projektom	projektov
projektom	projekti
prózy	proza
margaret	margaret
samostatnú	samostojna
samostatnú	samostojno
pridáva	doda
nebezpečné	nevarno
nebezpečné	nevaren
nebezpečné	nevarne
nebezpečné	nevarni
nebezpečné	nevarna
nebezpečné	nevarni
nebezpečné	nevarne
