panel	چھاج.
pociągiem	مصاحبین
pociągiem	پیرو
pociągiem	لبھانا.
przycisk	ٹانکنا-
przycisk	تکمہ
przycisk	شمشیرزنی
przycisk	ٹانکنا-
przycisk	تکمہ
przycisk	بٹن
przycisk	شمشیرزنی
utrzymywać	سہارنا
utrzymywać	سنبھالنا
utrzymywać	مشین
cynku	جست
almanach	تقویم.
almanach	تقویم.
almanach	جنتری
wymóg	مانگ
wymóg	طلب
częściowe	متعصب
częściowe	جزوی.
częściowe	نامکمل
częściowe	جانبدار
częściowe	دلدادہ.
ułatwienia	معاونت
ułatwienia	آسانی
ułatwienia	تسہیل
ułatwienia	معاونت
ułatwienia	آسانی
ułatwienia	سہل
ułatwienia	رکاوٹ
gorące	مشتاقانہ.
gorące	برانگیختہ
gorące	ُپرجوش
gorące	ضرب
gorące	جذباتی.
gorące	سرگرم
gorące	درشتی
gorące	گرمانا.
gorące	سختی
kradzieży	سرقہ.
kradzieży	چوری
kradzieży	سرقہ.
przybrzeżnych	ساحلی
sprzedawca	بائع
sprzedawca	تاجر
wieniec	آرائشی
cloud	ابہام
cloud	تاریکی.
cloud	غول.
cloud	دُھندلانا
cloud	سایہ.
cloud	ابہام
cloud	ابر
cloud	تاریکی.
cloud	غول.
cloud	بادل
cloud	دُھندلانا
cloud	سایہ.
metabolizm	استحالہ
metabolizm	تحوّل
przyroda	حالت
przyroda	حیوانات
przyroda	نوع.
przyroda	قسم
niewydolność	برپا
niewydolność	منعقد
niewydolność	دیوالہ
niewydolność	سقوط
niewydolność	خرابی
niewydolność	بربادی.
niewydolność	بگاڑ
niewydolność	تباہی
niewydolność	برپا
niewydolność	منعقد
niewydolność	دیوالہ
niewydolność	سقوط
niewydolność	ناکامی
niewydolność	خرابی
niewydolność	بربادی.
niewydolność	بگاڑ
niewydolność	تباہی
prime	پہلا
prime	اساسی.
prime	عروج
prime	بنیادی
prime	اقبال
prime	شباب.
tempa	چال.
tempa	حرکت
tempa	رفتارعمل
obserwacja	مشاہدہ
obserwacja	تبصرہ
obserwacja	ادراک
bandy	ٹیڑھی
bandy	بینڈی
ciemno	ناخواندہ
ciemno	تاریکی.
ciemno	جہالت.
ciemno	غصیل
ciemno	منحوس
ciemno	خفیہ
ciemno	افسردہ
ciemno	رنجیدہ
ciemno	نامعلوم
ciemno	ظلمت
ciemno	فاسد
ciemno	رات
ciemno	بپھرا
ciemno	بگڑا
ciemno	سیاہی
ciemno	بد
ciemno	نابلد
ciemno	غضبناک
ciemno	پراسرار
ciemno	تاریکی
ciemno	بعید
automatyczny	(آلہ
automatyczny	مشین
terytorialna	عملداری.
strike	پانا
strike	(بعدہ
strike	سوجھنا-
strike	ٹکرانا
reaguje	مقابل.
rozbieżności	فرق
rozbieżności	اختلاف
bydło	بیوقوف
radialna	شعاعی.
ulec	مرنا
ulec	دبنا
różnorodności	تنوع
różnorodności	مختلف
motyle	اڑانے
bariery	حائل
duszę	روح
trance	سرمستی.
gong	بِلّا.
gong	تمغا
oryginał	فطری.
oryginał	تخلیقی
oryginał	نیا
oryginał	انوکھا
oryginał	بدیعی
postępy	ترقی
bóstwo	اُلوہیت
bóstwo	خدا.
ręczne	جسمانی
ręczne	جسمانی
ręczne	دستی
rozróżnienie	تفریق
rozróżnienie	امتیاز
rozróżnienie	خطاب
rozróżnienie	عظمت
rozróżnienie	برتری
rozróżnienie	امتیاز.
rozróżnienie	عرفیت
rozróżnienie	نام
rozróżnienie	بڑائی
rozróżnienie	خطاب
rozróżnienie	عظمت
rozróżnienie	برتری
rozróżnienie	امتیاز.
rozróżnienie	عرفیت
rozróżnienie	نام
rozróżnienie	بڑائی
rozróżnienie	فرق
czaszka	کھوپڑی
czaszka	سر
czaszka	کھوپڑی
wierności	وثوق
zatrzymanie	تحویل
zatrzymanie	حراست.
zatrzymanie	روکنے
okaz	پیشاب.
okaz	پیشاب.
okaz	نمونہ
korzeń	دانت
korzeń	in
korzeń	out
korzeń	پختہ-
korzeń	قائم
korzeń	(بعدہ
korzeń	تہ.
korzeń	تلپٹ
korzeń	دانت
korzeń	مُول
korzeń	in
korzeń	out
korzeń	پختہ-
korzeń	قائم
korzeń	(بعدہ
korzeń	تہ.
korzeń	اصل
korzeń	تلپٹ
botaniki	ملینہ
botaniki	مرینہ
botaniki	تولید
botaniki	تقسیم
botaniki	ماحول
botaniki	نباتیات
botaniki	تولید
botaniki	تقسیم
botaniki	ماحول
rzuca	افسردگی
rzuca	الکساہٹ
rzuca	ماندگی
refleksji	عکس.
refleksji	اشعاع
refleksji	upon
refleksji	پرتو
refleksji	انعکاس
modyfikacja	تبدّل.
modyfikacja	تعدیل.
modyfikacja	تبدّل.
modyfikacja	تعدیل.
modyfikacja	ترمیم
czuję	احساس
czuję	سوچنا
zarzutu	التماس.
zarzutu	استدعا
zarzutu	عرضداشت
współpracować	غداری
wapiennych	آہکی.
vice	شکنجہ.
vice	فسق
vice	عیب
vice	وغیرہ.
vice	بدی
naprawa	پہنچ.
naprawa	شہرت
naprawa	چرچا.
naprawa	سدھارنا
naprawa	رجوع
naprawa	رسائی
naprawa	مرجع
naprawa	مقبولیت
pragnienie	ہوس.
pragnienie	تمنا
pragnienie	ہوس.
pragnienie	درخواست
pragnienie	تمنا
pragnienie	خواہش
pragnienie	تشنہ.
pragnienie	سوکھا
pragnienie	تشنہ.
pragnienie	پیاسا
pragnienie	سوکھا
pragnienie	تشنگی.
pragnienie	ہوس.
pragnienie	پیاس
pragnienie	تشنگی.
pragnienie	ہوس.
pragnienie	ہُڑک
pragnienie	طلب.
skłonność	رجحان
skłonność	میلان.
skłonność	اُریبی.
skłonność	ڈھالو
opóźnienia	تاخیرکرنا
opóźnienia	التوا.
opóźnienia	رکاوٹ.
opóźnienia	تاخیرکرنا
opóźnienia	دیر
opóźnienia	التوا.
opóźnienia	رکاوٹ.
opóźnienia	تعویق
opóźnienia	تاخیر
roszczenia	اعلان
roszczenia	اعلان
roszczenia	اِدّعا
roszczenia	دعویٰ
afera	غیبت.
afera	آشنائی.
afera	حالات-
afera	معاملہ
afera	آشنائی.
afera	بات
afera	حالات-
afera	امر
afera	معاملہ
morale	تنظیم
morale	حوصلے
grozy	کپکپی
grozy	لرزہ.
grozy	افسردگی
duchowej	شائستہ
duchowej	حسّاس
duchowej	وہبی.
duchowej	قلبی
duchowej	مذہبی
duchowej	مقدّس
meteoryt	شہابیہ
sekretarka	معتمد
sekretarka	دبیر.
dłoń	ہتھیلی
dłoń	کارخانے
dłoń	مزدور
dłoń	to
dłoń	عقرب.
dłoń	پکڑانا
dłoń	قبضہ
dłoń	اقرار.
dłoń	وسیلہ
gospel	انجیل.
podnieść	off
podnieść	(بادل
podnieść	اٹھنے
podnieść	ابھرنے
podnieść	موافق
podnieść	ابھرنا
podnieść	مقدار
podnieść	جگانا
podnieść	اٹھانا.
podnieść	اٹھانا
podnieść	اگانا-
podnieść	اگھانا
podnieść	(بعدہ
tłumacza	مترجم
tłumacza	ترجمان
płodu	جنینی
płodu	جنین
wiarygodności	شہرت
wiarygodności	مرتبہ
wiarygodności	معتبر
wiarygodności	اعتبار
ilustrator	نقّاش
wtórne	ثانوی
interfejsu	ملانا.
dziura	رستہ
dziura	کٹیا
dziura	تکیہ
dziura	سوراخ.
dziura	پیالی
dziura	سوراخ
dziura	کٹھڑیا.
dziura	نالی
dziura	چھید
dziura	رستہ
dziura	کٹیا
dziura	تکیہ
dziura	سوراخ.
dziura	پیالی
dziura	سوراخ
dziura	کٹھڑیا.
dziura	نالی
inicjator	خالق
inicjator	بانی
dojrzałość	پختگی
dojrzałość	بلوغ
dojrzałość	پختگی
dojrzałość	بلوغ
dojrzałość	رسیدگی
apokalipsy	القا
apokalipsy	وحی
zaznaczone	نمایاں.
profit	بھلائی
profit	سود.
profit	بھلائی
profit	فائدہ
profit	یافت
profit	نفع
profit	سود.
zmierzchu	انحطاط
zmierzchu	جُھٹپٹا
zmierzchu	زوال
zmierzchu	تباہی.
zmierzchu	اندھیرا.
zmierzchu	سایہ
tłuszczu	تیلیا
tłuszczu	قلیل
tłuszczu	روغنی
tłuszczu	چرب.
tłuszczu	چربیلا.
tłuszczu	زرخیز
tłuszczu	چکنا
tłuszczu	فراواں
tłuszczu	مقتدر
tłuszczu	موٹا
tłuszczu	تیلیا
tłuszczu	قلیل
tłuszczu	روغنی
tłuszczu	چرب.
tłuszczu	فربہ
tłuszczu	چربیلا.
tłuszczu	زرخیز
tłuszczu	چکنا
tłuszczu	فراواں
tłuszczu	مقتدر
tłuszczu	چربی
następstwa	ماحاصل
następstwa	شاخسانہ-
następstwa	نتائج
krytyczny	نقاد
krytyczny	تنقیدی.
krytyczny	مبصّرانہ
degradacji	تنّزل
degradacji	تذلیل
degradacji	تنّزل
dona	محبوبہ.
dona	عورت
zapłacić	انعام
zapłacić	چکانا.
zapłacić	انعام
zapłacić	چکانا.
zapłacić	تنخواہ
opanowanie	حاکمی.
opanowanie	قدرت.
opanowanie	راج
opanowanie	ریاست
opanowanie	ٹھہرائو.
opanowanie	اعتدال
łagodne	کمزور
łagodne	جوش
łagodne	سزا
łagodne	بردبار.
łagodne	بیماری
łagodne	دبّو
łagodne	ٹھس
łagodne	کمزور
łagodne	جوش
łagodne	ہلکا
łagodne	سزا
łagodne	بردبار.
łagodne	بیماری
łagodne	دبّو
łagodne	ٹھس
łagodne	(مرض
łagodne	موافق
łagodne	شفیق.
łagodne	حلیم
łagodne	مفید.
łagodne	مبارک
sap	توانائی
sap	سونٹا
sap	سنٹی
koordynacji	مطابقت
koordynacji	تطبیق
przewoźnika	ڈھونے
przewoźnika	واسطہ.
przewoźnika	باردار
przewoźnika	حمّال.
przewoźnika	حامل
przewoźnika	aircraft-carrier
wesoła	آمادہ
wesoła	شادمان
przełyku	حلق.
minus	نقصان.
minus	بدون
minus	تفریقی.
minus	بغیر
minus	گھاٹا
minus	خسارہ
minus	نقصان.
minus	بدون
minus	تفریقی.
minus	بغیر
minus	گھاٹا
minus	منفی
minus	خسارہ
lecznicze	مادّہ)
lecznicze	شفائی
organizatora	بستہ
daisy	مثالی.
daisy	منتخب
kobiecy	نسائی
kobiecy	زنانہ
kobiecy	نسائی
streszczenie	رسمی
woo	(شہرت
akcent	بل
akcent	رجحان
akcent	بل
akcent	رجحان
akcent	نبرہ
miś	ریچھ
miś	بھالو
miś	موجب
miś	بوجھ
miś	جننا
miś	ریچھ
miś	بھالو
miś	بھوگنا
miś	موجب
miś	بوجھ
senna	سنا
schron	تحفظ
schron	خطرے
schron	آڑ
schron	بچاؤ
schron	پناہ
schron	تحفظ
schron	خطرے
schron	آڑ
schron	بچاؤ
wahania	تأمّل
wahania	تغیرتبدل
nerki	کلوی.
nerki	گُردہ.
nerki	طبیعت
nerki	مزاج
nerki	کردار
maszt	بتولا
maszt	اسطوانہ.
dyrektywy	ہدایتی
guz	سلعہ.
guz	رسولی
uczestnika	شریک
kręgowców	خزندے
kręgowców	فقاری
kręgowców	فقاریہ
kręgowców	خزندے
kręgowców	فقاری
myśleć	افکار.
wan	دُھندلا.
wan	(رات
wan	فق
alternatywna	متبادل
dziwny	جادوئی
dziwny	نصیب.
dziwny	طلسماتی
dziwny	نرالا
dziwny	جادوئی
dziwny	نصیب.
dziwny	طلسماتی
dziwny	نرالا
dziwny	عجیب
dziwny	غیر
dziwny	کسمساتا-
dziwny	نرالا
dziwny	نامانوس
dziwny	انجانا.
dziwny	غیر
dziwny	کسمساتا-
dziwny	نرالا
dziwny	نامانوس
dziwny	انجانا.
dziwny	عجیب
różowy	سجانا.
różowy	سنوارنا
różowy	گلابی
różowy	سرخا.
infrastrukturę	پل
jedzenie	خوراک
jedzenie	آہار.
jedzenie	غذا
zgodność	لچک
zgodność	لچک
zgodność	تعمیل
zgodność	مشابہت
zgodność	تقلید.
zgodność	مطابقت.
zgodność	موافقت
zgodność	مطابقت
noble	عمدہ
noble	عظیم
noble	خوب
wstecz	سابقہ
wstecz	پچھلا
wstecz	دھکیلنا
wstecz	سابقہ
wstecz	پچھلا
wstecz	دھکیلنا
wstecz	کمر
wstecz	شرمیلا
wstecz	جھجکتا
wstecz	دبّو
wstecz	منقلب
umiarkowany	درمیانہ.
umiarkowany	محترز
umiarkowany	معقول
suwerenności	برتری
suwerenności	اقتدار
suwerenności	غلبہ.
rozpoznać	(بعدہ
rozpoznać	for
tajna	معلومات)
konsultant	مشیر
metr	چَھند.
metr	parking-meter
wir	لہریے
wir	گردباد.
wir	بگولا
wir	گھومنے
wir	بل
wir	بادگرد.
wir	گرداب
wir	پیشہ
wir	بادگرد.
wir	گرداب
wir	ورطہ
wir	پیشہ
wir	گرداب
wir	بھنور
wir	گرداب
tora	طومار.
użytkowanie	برتاؤ.
użytkowanie	رواج
obrażenia	چوٹ
robię	ڈانٹ
robię	جہد
robię	کام
robię	مار.
stalowe	مضبوطی
stalowe	آہنی
stalowe	فولاد
stalowe	سختانا
stalowe	فولادی.
sterling	معتبر
sterling	معیاری
sterling	کھرا
podejrzenie	شبہ
podejrzenie	شبہ
podejrzenie	شک
cieśnina	تنک
cieśnina	تنگ
cieśnina	آزمائش-
cieśnina	مصیبت
żyd	اسرائیلی.
żyd	کنجوس
przedstawicielstwa	مورت
przedstawicielstwa	شبیہہ
przedstawicielstwa	نمائندگی
kozak	قزاق.
wynalazek	اختراعیت.
pszenicy	گیہوں
pszenicy	گندم.
początkowy	ابتدائی.
harmonii	اتفاق.
harmonii	آہنگ
harmonii	اتفاق.
obejmować	ملفوف.
wysiłek	سعی
wysiłek	محنت
wysiłek	جہد
wysiłek	سعی
wysiłek	محنت
wysiłek	کارنامہ
wysiłek	کارنامہ
wysiłek	کوشش
skuteczny	نافذ
daleki	دورتر
daleki	مرتبے
daleki	بھٹکا
daleki	حیثیت
daleki	مبہم
daleki	خفیف
daleki	متفاوت
daleki	مرتبے
daleki	بھٹکا
daleki	حیثیت
daleki	مبہم
daleki	خفیف
daleki	متفاوت
daleki	دُور
daleki	بعید
nowoczesna	رائج
nowoczesna	رواں
nerw	مچھلی.
nerw	عضلہ
nerw	بہادری
nerw	رگ
nerw	مچھلی.
nerw	عضلہ
nerw	بہادری
sequel	ناول
sequel	مآل.
sequel	انجام
kochanek	عاشق
kochanek	شیدا.
tank	حوض
tank	جوہڑ.
cherry	بکارت
cherry	دوشیزہ
cherry	دوشیزگی
poprawna	بجا.
poprawna	مناسب
poprawna	کردار
poprawna	درست.
poprawna	بجا.
poprawna	مناسب
poprawna	صحیح
poprawna	کردار
poprawna	درست.
należeć	حصّہ
należeć	حق
wieloletnich	سوتا)
niezadowolenie	بددلی
niezadowolenie	اضطراب
niezadowolenie	نامطمئن
tara	اہنڈا
tara	اڑھایا.
tara	جنگلی
frakcja	جتھا.
frakcja	فلم
frakcja	ناموافق
frakcja	فرقہ
frakcja	جتھا.
frakcja	فلم
frakcja	ناموافق
frakcja	دھڑا
frakcja	فرقہ
magazynek	کیمرے
magazynek	فرّاٹا.
magazynek	(clipped
magazynek	فرّاٹا.
magazynek	کاٹنا
magazynek	(clipped
przodkowie	جدّ
przymiotnik	صفت
nana	احمق.
stabilizacji	توازن
stabilizacji	ٹھہرائو
znacząca	اہم
aresztowanie	گرفتاری
aresztowanie	روکنا
aresztowanie	بندش
aresztowanie	رکاوٹ
lina	down
lina	جکڑنا.
lina	لہاس
lina	(بعدہ
lina	(عموماًبعدہ
lina	سوت
lina	down
lina	جکڑنا.
lina	لہاس
lina	(بعدہ
lina	(عموماًبعدہ
lina	ریسمان
lina	سوت
oczywisty	آشکار
oczywisty	بیّن
oczywisty	جلی.
oczywisty	واضح
oczywisty	آشکار
oczywisty	بیّن
oczywisty	جلی.
oczywisty	عیاں
oczywisty	واضح
starożytny	قدیم
progress	ترقی
zieleń	کچّا
zieleń	ہلکا
zieleń	نیا
zieleń	ترکاری
zieleń	نقدی.
zieleń	فریب
zieleń	جوانی
zieleń	رقم
zieleń	توانا
zieleń	چونچال.
zieleń	کا
zieleń	نوجوان
zieleń	نارسیدہ
zieleń	ہرا
zieleń	کچّا
zieleń	ہلکا
zieleń	نیا
zieleń	ترکاری
zieleń	نقدی.
zieleń	فریب
zieleń	جوانی
zieleń	رقم
zieleń	توانا
zieleń	چونچال.
zieleń	کا
zieleń	نوجوان
zieleń	نارسیدہ
zieleń	تازہ
pięknie	دلکش
pięknie	عمدہ
pięknie	نفیس
pięknie	اعلیٰ
pięknie	خوبصورت
ekologiczne	ماحولیاتی
ekologiczne	منظم
ekologiczne	بنیادی.
ekologiczne	موروثی
ekologiczne	(الف)جسمانی
ekologiczne	آئینی
ekologiczne	مربوط
ciężarówki	معاملت
ciężarówki	چلنا
ciężarówki	ٹہلنا.
decydujący	چُکانے
decydujący	حتمی
decydujący	فوری
kompletne	انتہائی
kompletne	پورا
kompletne	نپٹ
kompletne	ختم
kompletne	تفصیلات
kompletne	نہایت
kompletne	ماہر
kompletne	مکمّل
kompletne	انتہائی
kompletne	پورا
kompletne	نپٹ
kompletne	ختم
kompletne	تفصیلات
kompletne	نہایت
kompletne	ماہر
kompletne	مکمّل
kompletne	تمام
wezwania	پہنچانا.
wezwania	رسمی
wezwania	بلاوا.
niebezpiecznych	خطرناک
złamał	مفلس
inteligencja	ذہین
inteligencja	خبر.
inteligencja	ذہین
inteligencja	خبر.
inteligencja	فہم
prorok	محرک.
łagodny	معتدل
łagodny	پُرسکون
łagodny	حشرہ
łagodny	پُرتپاک.
łagodny	سدھانا
łagodny	پیشہ
łagodny	باعزت
łagodny	کیڑا
łagodny	بالحاظ
łagodny	شریفانہ
łagodny	شائستہ
łagodny	معتدل
łagodny	پُرسکون
łagodny	حشرہ
łagodny	پُرتپاک.
łagodny	سدھانا
łagodny	پیشہ
łagodny	باعزت
łagodny	کیڑا
łagodny	بالحاظ
łagodny	شریفانہ
łagodny	کمزور
łagodny	جوش
łagodny	سزا
łagodny	بردبار.
łagodny	بیماری
łagodny	دبّو
łagodny	ٹھس
łagodny	کمزور
łagodny	جوش
łagodny	ہلکا
łagodny	سزا
łagodny	بردبار.
łagodny	بیماری
łagodny	دبّو
łagodny	ٹھس
łagodny	پُرکیف.
łagodny	پختہ
łagodny	حلیم
łagodny	پُرکیف
łagodny	رسیدہ
łagodny	بالیدہ
łagodny	لطیف
łagodny	سہانا
łagodny	(مرض
łagodny	موافق
łagodny	شفیق.
łagodny	حلیم
łagodny	مفید.
łagodny	مبارک
wąwóz	دعوت
wąwóz	گھاٹی
wąwóz	ہبوڑنا.
przemoc	زیادتی
przemoc	تشدّد.
chwała	فراخی
chwała	برتری
chwała	مناجات
chwała	حمد
chwała	شکوہ
chwała	توصیف
chwała	تعریف
chwała	توصیف
chwała	سراہنا
chwała	پتھروں
chwała	اولے
chwała	تسلیم
chwała	برسنا.
chwała	حملہ
chwała	تحسین
chwała	ژالہ.
chwała	کورنش.
chwała	سلام
komórkowe	چھدرا.
buck	طرحدار
buck	خرگوش.
buck	ڈالر.
wykres	نقشہ
wykres	ترسیم.
wykres	ترسیم
wykres	تصویر
przestępstwo	پاپ
manifestacji	ظہور
manifestacji	نمود
zabójca	نادر
zabójca	خونی.
pali	کھلا
pali	شدید
pali	نہایت
pali	ظاہر
przemiana	تبادل
przemiana	تقلیب.
przemiana	عبور
przemiana	تحوّل
przemiana	تقلیب.
tymczasowa	عبوری
tymczasowa	وقتی
tymczasowa	عارضی
male	خفیف.
male	اوچھا.
male	عامی.
male	سرسری.
male	صغیر.
male	لاغر.
male	کوچک
male	نادان
male	چھوٹا
male	ادنیٰ
male	خفیف.
male	اوچھا.
male	عامی.
male	سرسری.
male	صغیر.
male	خفیف
male	لاغر.
male	کوچک
male	نادان
brutto	پھپّس-
brutto	غبی
brutto	گرس.
brutto	ٹھوس.
brutto	مجموعی
brutto	گاڑھا
brutto	جملہ
brutto	گرز
brutto	کل
brutto	موٹا
brutto	پھپّس-
brutto	غبی
brutto	گرس.
brutto	ٹھوس.
brutto	مجموعی
brutto	گاڑھا
brutto	جملہ
brutto	گرز
brutto	کل
wakacji	چھٹی.
wakacji	منانا.
wakacji	تعطیلات
zapowiedź	اعلان
czarownica	لبھالینا.
czarownica	ڈھڈو.
pościgu	روزگار.
pościgu	مشغلہ
pościgu	مصروفیت
pościgu	روزگار.
pościgu	مشغلہ
pościgu	تعاقب
pościgu	مصروفیت
garland	امتیاز
garland	انعام.
płata	نرمہ.
płata	فص
płata	گوشہ
mutacji	تبدیلی
gangu	جانا.
pinto	چتکبرا
telefony	صوتیہ
joint	جوڑوں
joint	مفصلہ
joint	گرہ
joint	اڈا.
jednoznaczne	واضح.
extra	اضافی
extra	ذیلی
extra	زائد
extra	مزید
geny	ابتدا
geny	کونیات
geny	جین
geny	نسبہ.
naczelnych	میمون
naczelnych	لیمور
psalm	حمد
psalm	مناجات.
budowanie	کارخانہ
budowanie	اسکول
budowanie	اصطبل)-
budowanie	جوڑنا
budowanie	بڑھانا
budowanie	بھٹی
budowanie	ہاڑ
budowanie	گاڑی
budowanie	ساخت
budowanie	سڑک
budowanie	جوڑنا
budowanie	بڑھانا
budowanie	بھٹی
budowanie	ہاڑ
budowanie	گاڑی
budowanie	ساخت
budowanie	بنانا
budowanie	سڑک
