американци	미국인
оттегляне	인출
оттегляне	철수
оттегляне	금단
клане	학살
симпсън	심슨
образователна	교육
качва	업로드
детектив	형사
детектив	탐정
албанско	알바니아
албанско	알바니아인
албанско	알바니아어
приключенията	어드벤처
приключенията	모험
редове	라인
предимства	혜택
предимства	이득
предимства	특전
предимства	장점
римляни	로마인
некропол	네크로폴리스
еоод	ltd
формати	형식
формати	포맷
отворено	오픈
отворено	열기
квалификации	평가
квалификации	평점
квалификации	자격
квалификации	자격증
печалба	이익
печалба	이익
печалба	수익
одобрение	승인
демокрацията	민주주의
демокрацията	민주화
фиат	피아트
блейк	블레이크
еврейско	유대인
еврейско	유대교
антична	골동품
ахил	아킬레스
четвъртък	목요일
романтични	낭만
романтични	낭만주의
романтични	로맨틱
романтични	낭만적
алгоритъм	알고리즘
партньорство	파트너십
партньорство	파트너쉽
партньорство	파트너십
стрийт	거리가
стрийт	스트리트
стрийт	거리
стрийт	길거리
пето	fifth
пето	다섯번째
геология	지질학
наема	임대료
наема	월세
наема	임대
наема	렌트
конфедерация	연맹
конфедерация	연방
микеланджело	미켈란젤로
бахамски	바하마
инвазия	침략
инвазия	침공
местообитания	서식지
местообитания	서식지
строител	빌더
глина	클레이
чисти	청소
чисти	깨끗한
чисти	깨끗하다
облаци	구름
облаци	클라우드
облаци	구름
олтар	신사
бригадата	여단
седма	세븐
седма	일곱
седма	일곱번째
козината	모피
вале	젝스키스
вале	베일
арменци	아르메니아인
арменци	아르메니아어
арменци	아르메니아
арменци	아르메니아인
предложен	추천
лил	lil
торпеда	어뢰
историография	역사학
панаир	사육제
панаир	카니발
панаир	공정
панаир	박람회
панаир	페어
психиатър	축소
конете	말들
травма	부상
травма	트라우마
травма	외상
университетите	대학
смъртност	사망률
ленти	테이프
псевдоними	alias
псевдоними	별칭
псевдоними	별명
рамки	프레임
кабо	케이프
регулиране	규제
регулиране	규정
регулиране	조정
регулиране	규제
есе	세이
есе	에세이
процесор	cpu
процесор	프로세서
трудни	어려운
трудни	어려움
трудни	어려워
справедливост	정의
вар	라임
доставка	게재
доставка	배송
доставка	배달
доставка	배송
доставка	발송
доставка	공급
влага	습기
влага	수분
влага	습도
влага	습기
странно	이상한
странно	이상한
странно	이상하다
странно	odd
хага	헤이그
оцветяване	색칠
оцветяване	컬러링
оцветяване	염색
оцветяване	색칠
кит	고래
кит	키트
кит	kit
форест	포레스트
клиника	클리닉
клиника	진료소
учебник	교과서
пиза	피사
жълта	황색
жълта	노랑색
жълта	노란색
жълта	노랑
унищожен	파괴됨
инструктор	강사
таланти	재능
таланти	탤런트
таланти	재능
таланти	탤런트
дюселдорф	뒤셀도르프
дюселдорф	뒤셀도르프
обичай	커스텀
обичай	맞춤
сива	회색
сива	그레이
сива	회색
сива	그레이
изкопаеми	화석
отзиви	리뷰
рожден	생일
роджърс	로저스
роджърс	로저스
скрити	숨김
скрити	숨겨져
скрити	숨겨진
съхраняване	저장소
съхраняване	스토리지
съхраняване	저장
модула	랜더
телескоп	망원경
назначение	할당
отговорни	책임
отговорни	책임감
осетия	오세티야
ангели	천사
ангели	천사들
кантон	캔턴
насекомо	곤충
адреси	주소
адреси	url
благородници	귀족
рамо	어깨
билборд	간판
билборд	빌보드
нюкасъл	뉴캐슬
европейците	유럽인
доставя	배달
сбор	합계
мек	부드러워
мек	청량
мек	부드럽게
мек	부드러운
мек	소프트
модернизация	업그레이드
избрано	선정
отрасли	업종
отрасли	산업
отрасли	섹터
чувствата	감정
упадък	거절
упадък	거부
упадък	쇠퇴
неутрална	중성
неутрална	중립성
неутрална	중립
родригес	로드리게스
родригес	로드리게즈
дъщерите	딸들
лозя	포도밭
лозя	포도
лозя	포도밭
лозя	포도
поли	폴리
поли	폴리
поли	치마
поли	폴리
гнездо	둥지
провери	체크
провери	확인
провери	점검
лиза	리사
лиза	리자
чужда	외국인
тестване	테스트
тестване	검사
тестване	시험
авиацията	항공
мичъл	미첼
виното	와인
виното	포도주
точна	정확한
точна	정확도
вулкани	화산
чешката	체코
чешката	체코어
линейни	직선형
линейни	선형
временен	임시
временен	일시적
временен	임시
временен	체온
временен	온도
графичен	그래픽
графичен	그래픽
графичен	그래픽스
водачите	운전자
водачите	드라이버
водачите	운전사
вариации	변수
полу	세미
нба	nba
разход	비용
разход	비용
атома	원자
атома	아톰
преместена	감동
клипове	클립
клипове	동영상
клипове	비디오
недостиг	부족
земетресението	지진
земетресението	대지진
алба	알바
логически	논리적
логически	논리학
логически	논리
пионер	파이어니어
пионер	파이오니아
лео	리오
лео	사자자리
лео	레오
заем	융자
заем	대출
хенриета	헨리에타
цру	cia
мартинес	마르티네스
мартинес	마르티네즈
мой	광산
извънредно	극도로
наблюдавани	모니터링
решетка	그릴
решетка	격자
решетка	눈금
решетка	그리드
решетка	격자
читатели	리더
читатели	독자
корупция	부정부패
корупция	부패
марсел	마르셀
симптомите	증상
симптомите	증세
заводи	식물
заводи	식물학
композира	작성
композира	쓰기
композира	작성하기
предотвратяване	방지
предотвратяване	예방
предотвратяване	방지
предотвратяване	예방
геоложки	지질학
геоложки	지질
геоложки	지질학
геоложки	지질
антични	골동품
политики	정책
печатни	인쇄물
печатни	인쇄
максимален	최대
клей	클레이
грубо	무례한
грубо	무례하게
географ	지리학자
франки	프랑키
франки	프랭키
жозе	조제
хармония	하모니
хармония	조화
хармония	화합
бъдещ	미래
бъдещ	퓨처
декоративни	장식
загубите	손해
загубите	손실
уокър	워커
регистриран	등기
регистриран	등록
предпоставка	전제
гущери	도마뱀과
гущери	도마뱀
единбург	에든버러
горене	불타는
пушкин	푸시킨
измислен	발명
измислен	허구
фасадата	파사드
тежест	부담
тежест	무게
тежест	몸무게
тежест	몸무게가
тежест	체중
репутация	평판
репутация	평판
репутация	명성
репутация	친선
споменаване	언급
споменаване	언급하기
автобус	버스
олимпия	올림피아
разследването	조사
разследването	수사
вторник	화보
вторник	화이팅
омар	바닷가재
омар	오마르
изпит	시험
изпит	시험
мечта	드림
диплома	디플로마
диплома	수료
комикси	코믹스
комикси	만화
комикси	만화가
комикси	만화
комикси	만화가
комикси	코믹
събрания	회의
събрания	미팅
събрания	어셈블리
истинско	진짜
истинско	리얼
истинско	레알
разходка	걷고
разходка	워킹
разходка	걷는다
разходка	걷기
разходка	산책
разходка	걷기
установен	설립
ферма	농장
ферма	농장이
ферма	페르마
троя	트로이아
троя	트로이
благородник	귀족
благородник	노블
перес	페레스
перес	페레즈
укрепване	강화
таен	시크릿
таен	비밀
спин	에이즈
окръжност	서클
окръжност	circle
частица	입자
олимп	올림푸스
олимп	올림포스
гробището	묘지
гробището	묘지
хотели	호텔
пистолет	권총
пистолет	피스톨
арест	체포
ресурс	자원
ресурс	리소스
реалността	리얼리티
реалността	현실
преценка	심판
преценка	판단
преценка	판결
преценка	판단력
преценка	심판
преценка	판단
оформление	배치
оформление	layout
оформление	레이아웃
пода	바닥
фараон	파라오
легиона	레지옹
линда	린다
демонстрация	시위
демонстрация	시연
шарлот	샬럿
шарлот	샬롯
анимация	애니메이션
внос	가져오기
внос	불러오기
внос	수입
внос	가져오기
внос	수입
внос	가져온
внос	가져옴
внос	수입
регионите	지역
централни	중부
централни	센트럴
куб	정육면체
куб	큐브
вината	죄책감
автомобилна	자동차
дебела	두껍게
дебела	두꺼운
дебела	뚱뚱한
дебела	지방
дебела	살찐
моряци	선원
месечна	월간
месечна	매달
месечна	매월
покер	포커
отзад	후방
мит	mit
мит	신화
хубава	예뻐
хубава	나이스
съставки	재료
съставки	성분
робинсън	로빈슨
убеждения	신념
убеждения	믿음
убеждения	종교
урал	우랄
хъдсън	허드슨
кент	켄트
ценен	가치
правен	법률
правен	합법적인
дискриминация	차별
дискриминация	차별
занаяти	공예
монца	몬차
драмата	드라마
харт	하트
индивид	개별
индивид	개인
позволено	허용
работен	일하기
филипс	필립스
филипс	필립스
тъмен	어둡게
тъмен	다크
тъмен	어두운
тъмен	어둠
антигуа	앤티가
прозорци	윈도우
полицай	경찰
полицай	캅카스
полицай	책임자
полицай	경관
полицай	경찰관
полицай	장교
полицай	경찰관
бисмарк	비스마르크
бомбардировки	포격
бомбардировки	폭격
бомбардировки	폭파
одобрен	승인
монархията	군주제
монархията	군주
упражнения	운동
свине	돼지
свине	돼지
цивилизации	문명의
цивилизации	문명
алонсо	알론소
худ	후드
отстъпление	후퇴
монтаж	설치
монтаж	장착
монтаж	편집
монтаж	수정
мастърс	마스터즈
мастърс	마스터스
плати	지불
плати	결제
квадрат	제곱
квадрат	스퀘어
квадрат	광장
квадрат	사각형
квадрат	정사각형
ауди	아우디
популации	인구
хорхе	호르헤
субект	주제
субект	제목
монарх	군주
монарх	모나크
нападнат	습격
собствениците	소유자
гласна	모음
обитатели	레지던트
обитатели	주민들
обитатели	거주자
хермес	헤르메스
труден	힘든
труден	터프
труден	어려운
труден	어려움
труден	어려워
преобразуване	변환
преобразуване	전환
преобразуване	변환
преобразуване	전환
преобразуване	변신
преобразуване	변환
преобразуване	변형
преобразуване	변환
преобразуване	변신
преобразуване	변형
телефони	전화
телефони	전화기
корема	복부
следващо	다음
следващо	넥스트
предварителен	예비
розово	분홍색
розово	분홍
розово	핑크
каспийско	카스피
месина	메시나
ерата	era
ерата	시대
албърт	알베르트
албърт	앨버트
електрони	전자
камерата	사진기
камерата	카메라
марцел	마르첼로
изненада	서프라이즈
елени	사슴
елени	순록
хипотези	가설
норман	노르만
норман	노먼
салерно	살레르노
бордо	보르도
концертите	연주회
концертите	콘서트
фауст	파우스트
фейсбук	facebook
фейсбук	페이스북
грижа	케어
никол	니콜
приготвяне	준비
отклонение	편차
братовчедка	사촌
братовчедка	사촌동생
спазване	준수
пазарна	마켓
пазарна	시장
джейми	제이미
спомен	추억
спомен	기억력
спомен	메모리
спомен	기억
чаша	잔다
чаша	유리
чаша	글래스
чаша	cup
костенурка	거북
костенурка	거북이
искания	요청
напитка	음료
напитка	음료수
динамика	동역학
динамика	역학
динамика	다이내믹스
динамика	동적
динамика	다이내믹
участвала	참가
меко	부드러워
меко	청량
меко	부드럽게
меко	부드러운
меко	소프트
саманта	사만다
победени	패배
соня	소니아
дребен	작아
дребен	소작
изследователите	연구자
изследователите	연구원
изгрев	일출
вертикално	수직
вертикално	수직으로
вертикално	수직
вертикално	세로로
вертикално	세로
акцент	말투
акцент	강조
наруто	나루토
сделка	거래
сделка	트랜잭션
сделка	거래
вдъхновение	영감
вдъхновение	영감을
разширена	확장
разширена	연장
главите	원수
люис	루이스
инициативи	이니셔티브
концепции	컨셉
концепции	개념
концепции	concepts
положителен	긍정
положителен	양수
положителен	긍정적
положителен	긍정적인
неофициален	비공식
неофициален	비공식
руди	루디
посетителите	방문자
посетителите	방문객
национализъм	내셔널리즘
национализъм	국민주의
национализъм	민족주의
капела	카펠라
капела	채플
капела	예배당
откритие	디스커버리
откритие	발견
специализация	레지던트
недостатък	결함
недостатък	단점
рани	상처
рани	부상
рани	상처
вот	투표
вот	득표
вот	투표
пипин	피핀
ислямски	이슬람
кандидатурата	입찰
алтернативни	대안
алтернативни	얼터너티브
падане	떨어지고
падане	falling
падане	떨어지는
падане	떨어지지
падане	떨어지는
падане	떨어짐
фактите	팩트
фактите	사실
дей	데이
свидетели	증인
свидетели	목격자
свидетели	목격자
свидетели	증인
свидетели	증언
поръчки	계약
поръчки	계약서
поръчки	조달
поръчки	심부름
поръчки	주문
лари	래리
терористи	테러리스트
пациентите	환자
пациентите	환자들
засегнати	영향받음
засегнати	영향권
трагедия	비극적
трагедия	비극
трагедия	비극
съжалявам	미안
фондове	기금
фондове	자금
фондове	펀드
фондове	기금
фондове	펀드
подарък	현재
подарък	선물
подарък	선물
електроенергия	전력
електроенергия	전기
регистрирана	등기
регистрирана	등록
регистрирано	등기
регистрирано	등록
клинтън	클린턴
модули	모듈
изпълнено	이행
жестоко	잔혹한
жестоко	잔인한
гостите	손님
гостите	게스트
гостите	참석자
гостите	손님들
вируси	바이러스
вируси	바이러스
стенопис	벽화
кафяво	갈색
кафяво	브라운
изолирани	고립
потъва	침몰
маска	마스크
изразени	표명
зрялост	성숙
зрялост	성숙도
зелените	녹색당
гийом	기욤
сексуално	성적
намерена	찾았다
намерена	찾았습니다
намерена	발견됨
пеперуда	나비
отделени	분리됨
отделени	별거
отделени	분리
отделени	따로따로
отделени	따로
сектори	섹터
проектирането	설계
оцелява	생존
оцелява	살아남기
берн	베른
стандартен	스탠더드
стандартен	표준
превъзходство	우월주의
превъзходство	우월한
превъзходство	우월
тулуза	툴루즈
съкращение	약어
съкращение	약자
съкращение	두문자어
двойни	더블
двойни	복식
водород	수소
алгоритми	알고리즘
библейски	성경
картите	카드
картите	지도
активи	자산
активи	자산
сек	sec
постановление	법령
постановление	판결
флак	플랙
ъгли	모서리
ъгли	앵글
писти	트랙
недостатъчно	부족함
развитите	선진
ърнест	어니스트
изоставен	버림
слънчев	써니
слънчев	화창한
слънчев	맑음
студия	스튜디오스
студия	스튜디오
заплащане	지불
заплащане	결제
заплащане	송금
заплащане	지불
заплащане	결제
поклонение	순례
поклонение	순례지
корпорация	코퍼레이션
корпорация	주식회사
средиземноморски	지중해
проби	견본
проби	샘플
премахнат	삭제됨
премахнат	삭제되었습니다
акра	에이커
бронз	청동기
бронз	청동
хигинс	히긴스
завършено	완료
завършено	완료되었습니다
завършено	완료
завършено	완성
възнесение	어센션
възнесение	승천
широколистни	낙엽성
колонизация	식민지화
камерън	캐머런
камерън	카메론
ата	ata
разрешаване	인증
разрешаване	해결
разрешаване	풀기
разрешаване	해결
санскрит	산스크리트어
пиаченца	피아첸차
оксид	산화물
оксид	산화
ензими	효소
ензими	효소
летища	공항
диаманти	다이아몬드
диаманти	diamonds
лама	라마
сценарии	시나리오
сценарии	스크립트
сценарии	문자
сценарии	스크립트
постигнато	도달
постигнато	달성
ефективни	효과적
маршрути	경로
маршрути	노선
лимасол	리마솔
творческа	크리에이티브
изразена	표명
барбадос	바베이도스
управляващата	판결
абсолютна	절대
абсолютна	절대적
претендент	챌린저
склад	창고
склад	웨어하우스
склад	저장소
склад	스토리지
склад	저장
видимо	표시
видимо	표시됨
видимо	겉보기
компютрите	컴퓨터
чука	망치
чука	해머
аналог	아날로그
любляна	류블랴나
яйце	계란
яйце	달걀
меркурий	수성은
меркурий	수성
меркурий	머큐리
рейтинг	평가
рейтинг	평가하기
рейтинг	별점
рейтинг	평점
рейтинг	평가
рейтинг	평점
предшественици	조상
водорасли	녹조류
водорасли	조류
водорасли	미역
атом	원자
атом	아톰
желания	욕망
желания	욕구
желания	소망
желания	소원
настилка	도로
корупцията	부정부패
корупцията	부패
спасяване	저장하기
спасяване	저장
спасяване	절약
спасяване	저장
спасяване	구출
спасяване	구조
железница	철도
железница	레일
железница	철도
геолог	지질학
геолог	지질학자
морал	도덕
морал	도덕
морал	도덕성
морал	도덕
енергетика	에너지
абруцо	아브루초
бернар	베르나르드
бернар	버나드
бернар	베르나르
харков	하리코프
метрото	지하철
метрото	메트로
метрото	지하철
хокей	하키
разбиване	깨짐
разбиване	브레이킹
разбиване	스맥다운
шефилд	셰필드
единадесет	일레븐
механични	기계
омир	호머
експрес	익스프레스
прозореца	창문
слепи	블라인드
пиърс	피어스
пиърс	pearce
пиърс	피어스
дикинсън	디킨슨
спрян	중단됨
йерархия	계층
законодателна	입법
огледало	거울
огледало	미러
августин	아우구스틴
рнк	rna
рут	루스
пръстите	발가락
пръстите	손가락
дробове	폐지
пикет	피켓
съдията	판단
съдията	판사
кат	고양이
кат	kat
престъпност	범죄
автобиография	자서전
азот	질소
пит	피터
пит	피트
диас	디아즈
диас	디아스
гранична	국경
гранична	경계
гранична	경계선
гранична	테두리
носещи	베어링
уолъс	월리스
намиране	찾기
намиране	찾기
кандидатите	후보
кандидатите	후보자
кандидатите	지원자
луда	미쳐
луда	미친
луда	mad
индустриални	공업
индустриални	산업
джудже	난쟁이
джудже	왜소은하
мики	미키
мики	미키
козина	모피
усещане	느낌이
усещане	기분
усещане	느낌
усещане	감각
затвори	교도소
затвори	감옥
столетия	세기
отава	오타와
въже	로프
въже	밧줄
въже	줄넘기
противоречие	모순
емоции	정서
емоции	감정
емоции	감정
теология	신학
литъл	리틀
вечно	영원
вечно	영원히
вечно	forever
вечно	영원한
опасно	위험한
опасно	위험하다
опасно	위험
пан	냄비
стомаха	위장
признаване	인식
директен	직접
директен	직통
директен	direct
директен	다이렉트
ричи	리치
ричи	리치
ричи	리치
наш	내시
оригинална	원본
оригинална	오리지널
литовски	리투아니아어
литовски	리투아니아
техеран	테헤란
влажност	습기
влажност	수분
влажност	습도
влажност	습기
протоколи	프로토콜
протоколи	의정서
сечение	섹션
вещи	소지품
добавена	추가되었습니다
добавена	추가됨
насоченост	오리엔테이션
насоченост	방향
насоченост	지향
дявола	악마
добавки	보충제
добавки	첨가물
ловец	사냥꾼
ловец	헌터
едуардо	에두아르도
небраска	네브라스카
небраска	네브래스카
кавалерията	기병대
кавалерията	기병
ресторанти	음식점
ресторанти	레스토랑
ресторанти	식당
красиво	아름다운
красиво	아름다워
красиво	아름답다
съобщението	메시지
съобщението	메세지
кана	주전자
кана	물병
патрона	카트리지
лестър	leicester
лестър	레스터
лестър	레스터
интернешънъл	국제
интернешънъл	인터내셔널
изразяване	표현
изразяване	표현식
изразяване	표현
изразяване	표현식
крийк	크리크
болки	통증
болки	통증이
болки	고통
болки	통증
акциите	주식
акциите	재고
погребение	매장
погребение	장례
погребение	장례식장
погребение	장례식
погребение	장례
квантовата	양자
фреди	프레디
фреди	프레디
заточен	추방
мебели	가구
мотив	동기
взаимодействието	상호작용
доставки	공급
доставки	배달
доставки	용품
доставки	공급
ловци	사냥꾼
ловци	헌터
сянката	섀도우
сянката	섀도
сянката	그림자
спогодба	규약
инициатор	개시
засада	매복
засада	오프사이드
лойд	로이드
поиска	요청함
милиция	민병대
детайл	상세
детайл	자세히
детайл	세부사항
голи	누드
голи	nude
изстрел	총상
гринуич	그리니치
фраза	어구
фраза	구문
новак	초보
новак	초보자
зрение	시력
зрение	비전
зрение	시력
зрение	시각
оценяване	평가
оценяване	측정
дървесина	나무
дървесина	우드
дървесина	목재
нормални	정규
нормални	보통
нормални	평범
нормални	정상
вълци	늑대
вълци	늑대들
насърчаване	격려
насърчаване	홍보
насърчаване	홍보
насърчаване	프로모션
насърчаване	승진
насърчаване	홍보
насърчаване	홍보하기
бери	베리베리
бери	베리
необичайно	특이한
необичайно	unusual
необичайно	비정상적인
необичайно	비정상
необичайно	비정상적
спенсър	스펜서
ръб	엣지
ръб	모서리
ръб	edge
бъртън	버튼
здравеопазване	체력
здравеопазване	헬스
здравеопазване	건강
здравеопазване	보건
здравеопазване	의료
насаждения	농작물이
насаждения	농작물
насаждения	곡물
полицаи	장교
температурите	기온
температурите	온도
дневен	일일
дневен	데일리
дневен	일간
дневен	일상
версиите	버전
самюъл	새뮤얼
самюъл	사무엘
излитане	이륙
враговете	적들
разписание	일정
разписание	스케줄
разписание	예약
разписание	시간표
джийн	유전자
покрайнините	교외
здрав	건강하게
здрав	건강
здрав	건강한
мое	광산
сиатъл	시애틀
подземни	지하
подземни	언더그라운드
преживявания	경험
преживявания	체험
премахнати	삭제됨
премахнати	삭제되었습니다
стайлс	스타일스
стайлс	스타일
стачка	파업
стачка	스트라이크
пипер	후추
пипер	고추
пипер	페퍼
превоз	마차
превоз	교통수단
превоз	운송
превоз	교통
превоз	교통수단
превоз	운송
превоз	수송
превоз	교통
полите	치마
задължение	듀티
задължение	의무
задължение	헌신
задължение	의무
сектора	섹터
сектора	부문
ястие	요리
ястие	접시
ястие	식사
новела	소설
брашно	밀가루
брашно	식사
платформи	플랫폼
златно	황금
златно	골든
златно	골드
златно	황금
разбити	깨짐
разбити	부러진
разбити	깨진
режими	모드
повишена	증가
гваделупа	과들루프
гваделупа	과달루페
приоритет	우선순위
племенника	조카
импулс	맥박
импулс	펄스
импулс	충동
импулс	임펄스
репутацията	평판
репутацията	평판
репутацията	명성
диагноза	진단
руини	폐허
имение	맨션
имение	저택
проста	단순
проста	간단
проста	심플
проста	단순한
проста	간단하다
проста	간단한
флейта	플룻
флейта	플루트
санто	산토
девойки	소녀
девойки	소녀들
девойки	걸스
комбинации	조합
академични	학문
академични	학업
академични	학술
графични	그래픽
войводина	보이보디나
конфедерацията	연맹
конфедерацията	연방
плаж	바닷가
плаж	해변
плаж	비치
пафос	파포스
лиса	리사
получен	받았습니다
получен	받은
получен	받음
колумб	콜롬버스
колумб	콜럼버스
течности	음료
течности	액체
течности	액체
течности	수분
страст	열정
сериен	직렬
сериен	시리얼
херкулес	허큘리스
херкулес	헤라클레스
радиация	방사능
радиация	방사
радиация	방사선
радиация	방사성
хюз	휴스
хюз	휴즈
валентина	발렌티노
валентина	발렌티나
вирус	바이러스
измама	사기
измама	사기꾼
измама	사기
измама	속임수
спорни	논란이
спорни	논란
монтевидео	몬테비데오
едисън	에디슨
див	와일드
див	야생
алтернативна	대안
алтернативна	얼터너티브
алтернативна	대체
игрище	놀이터
данъците	세금
лабораторията	lab
лабораторията	연구실
лабораторията	실험실
дворци	궁전
воин	전사
воин	워리어
колелото	바퀴
колелото	자전거
спиро	스피로
нептун	해왕성
нептун	넵튠
общинска	시영
кристин	크리스틴
бик	bic
бик	황소
мишка	생쥐
мишка	마우스
убита	살해
убита	살인
топло	따뜻하다
моят	광산
удине	우디네
мелодия	melody
мелодия	멜로디
дипломация	외교
наблюдател	옵저버
наблюдател	관찰자
наблюдател	옵서버
наблюдател	감시
наблюдател	감시자
репортер	기자
репортер	리포터
плоски	평평한
плоски	플랫
емануел	이매뉴얼
допълва	보완
гренада	그레나다
гренада	그레나다의
предателство	배반
предателство	배신
предателство	배신
предателство	반역죄
предателство	반역
фелипе	펠리페
мъченик	순교
мъченик	순교자
реформите	개혁개방
реформите	개혁
кенет	케네스
китайско	중국인
китайско	중국어
босненски	보스니아
босненски	보스니아인
босненски	보스니아어
босненски	보스니아인
специализиран	전문
демонстрации	시위
демонстрации	시연
демонстрации	시위
изтриването	삭제
писмено	서면
яде	먹기
окачване	서스펜션
окачване	현수막
окачване	현수
декорация	장식
фбр	fbi
работещ	일하기
коментира	댓글
усеща	느낌
алея	골목길
алея	골목
алея	앨리
аугуст	아우구스트
ходове	moves
ходове	움직임
райли	라일리
придобиване	인수
придобиване	습득
придобиване	획득
придобиване	인수
придобиване	수집
терени	지형
проникване	침투
проникване	침입
наводнения	홍수
наводнения	홍수
наводнения	대홍수
наводнения	홍수
екология	생태주의
екология	생태학
барбуда	바부다
едуардс	에드워즈
жертвата	희생자
жертвата	피해자
специфично	구체적
специфично	특정
специфично	구체
ремикс	리믹스
свалени	다운로드
бури	폭풍
костюми	양복
костюми	정장
сряда	수요일
меки	부드러워
меки	청량
меки	부드럽게
меки	부드러운
меки	소프트
цензура	검열
цензура	검열
публикуване	게시
публикуване	출판
публикуване	발행
публикуване	게시
публикуване	출판
публикуване	게시
публикуване	게시글
публикуване	포스트
публикуване	게시물
публикуване	출판물
публикуване	출판
временна	임시
временна	일시적
грег	그레그
грег	그렉
разрешено	허용
ферми	농장
ферми	농사
ферми	페르미
защитни	보호
планирано	예정된
планирано	계획
носеща	베어링
мускулите	근육
псв	psv
жермен	제르맹
жермен	생제르맹
въглерод	탄소
отбелязан	태그
произведена	제조
произведена	제작
вилнюс	빌뉴스
типична	전형적
типична	전형
типична	전형적인
терор	테러리즘
терор	공포
терор	테러
мартиника	마르티니크
цепелин	체펠린
крайбрежните	연안
крайбрежните	해안
забранена	금지
забранена	금지
забранена	차단됨
джорджо	조르지오
използвайте	이용하기
използвайте	사용하기
използвайте	사용
използвайте	이용
използвайте	사용하다
тълкуване	해석
гърлото	목구멍
гърлото	목이
дневно	일일
дневно	데일리
дневно	일간
дневно	일상
разширения	확장자
кордоба	코르도바
кордоба	코르도바
плава	수레
лекарите	의사
разшири	연장
разшири	확장
разшири	확대
разшири	확장하기
разшири	펼치기
трудна	어려운
трудна	어려움
трудна	어려워
насилствено	폭력적인
насилствено	폭력적
воини	전사
воини	워리어스
стандартна	스탠더드
стандартна	표준
корал	산호
белег	흉터
кош	바스켓
кош	바구니
ария	aria
ария	아리아
животното	애니멀
животното	동물
животното	동물학
волф	울프
волф	늑대
волф	볼프
волф	울프
тура	뒷면
тура	꼬리
андора	안도라
дек	적위
трофей	트로피
гибралтар	지브롤터
котли	보일러
делхи	델리
минимална	최소
минимална	최소
ефективна	효율적
ефективна	효과적
свойство	자산
свойство	재산권
свойство	속성
свойство	재산
общуване	의사소통
общуване	커뮤니케이션
общуване	소통
общуване	통신
общуване	소통
общуване	소통
съвместен	관절
болници	병원
грегъри	그레고리
грегъри	그레고리우스
обсег	범위
стефани	스테파니
стефани	스테퍼니
стефани	스테파니
бътлър	버틀러
оуен	오웬
домашно	숙제
контузии	부상
зъбите	이빨
зъбите	치아
занимания	활동
спускане	출시
спускане	런칭
стълба	사다리
астън	애스턴
николас	니컬러스
николас	니콜라스
