和歌	waka
決済	plati
決済	decontarea
決済	decontare
決済	asezare
決済	plata
決済	plata
サニー	soare
サニー	insorita
サニー	insorit
サニー	sunny
嫉妬	geloasa
嫉妬	geloasa
嫉妬	gelos
嫉妬	gelozie
嫉妬	gelozia
なつみ	natsumi
ディスコ	discoteca
ディスコ	discoteca
ディスコ	disco
ブタ	porcilor
ブタ	porcii
ブタ	porci
ブタ	porcine
ブタ	purcel
ブタ	porc
ノーマン	norman
尾翼	coada
尾翼	coada
退却	retragere
退却	retragerea
大場	oba
悪意	rautacioase
悪意	rautate
オタク	tocilar
オタク	tocilar
伝導	conductivitate
受け取る	primi
受け取る	primeste
アーロン	aaron
アンチ	anti
ベストセラー	bestseller
ピコ	pico
タックル	aborda
ステンレス	inox
ステンレス	inoxidabil
壁画	murala
エンブレム	embleme
エンブレム	emblema
エンブレム	emblema
素敵	nice
素敵	frumos
思想家	ganditori
ピクセル	pixel
ピクセル	pixeli
コントローラ	controlorii
コントローラ	controlor
たまに	ocazional
外科医	chirurg
外科医	chirurgul
伝送	transmitere
伝送	transmisie
伝送	transmiterea
伝送	transmisiune
木戸	kido
トロイ	troy
トロイ	troia
翔子	shoko
タンカー	cisterna
タンカー	cisterna
気体	gaze
気体	gaz
気体	gazele
気体	gaze
処罰	pedepsi
処罰	pedeapsa
処罰	pedeapsa
ロータス	lotus
キャンセル	anula
キャンセル	anuleaza
キャンセル	renunta
キャンセル	anulate
キャンセル	anulata
キャンセル	anulat
キャンセル	anulate
キャンセル	anulata
キャンセル	anulat
キャンセル	anularea
キャンセル	anulare
不完全	imperfect
ウィキ	wiki
リスボン	lisabona
リスボン	lisbon
掘削	excavare
掘削	forare
掘削	foraj
ボリビア	bolivian
ボリビア	bolivia
棄却	concedierea
棄却	demiterea
棄却	concediere
幼虫	larvele
幼虫	larve
悪夢	cosmar
悪夢	cosmar
演目	programe
演目	programele
標準化	standardizare
標準化	standardizarea
チェルシー	chelsea
ナンシー	nancy
カタール	qatar
解読	descifra
解読	decodare
ゲイリー	gary
やまと	yamato
出血	sangerare
出血	sangerari
出血	hemoragie
出血	hemoragie
タンゴ	tango
濡れ	ud
濡れ	umed
濡れ	ude
濡れ	umeda
濡れ	uda
ロンド	rondo
キックボクシング	kickboxing
台北市	taipei
諮問	consultarea
諮問	consultare
火事	focul
火事	incendiu
火事	foc
慎太郎	shintaro
正夫	masao
ジュリエット	julieta
ジュリエット	juliet
マクラーレン	mclaren
プファルツ	pfalz
オアシス	oaza
オアシス	oaza
赤道	ecuator
クウェート	kuweit
クウェート	kuweitian
クウェート	kuweit
疲労	obositor
疲労	oboseala
疲労	oboseala
疲労	oboseala
疲労	epuizare
疲労	epuizarea
平壌	pyongyang
国々	tari
国々	tarile
国々	tarile
国々	tari
ディー	dee
内訳	detaliere
ジャイアント	gigant
ジャイアント	urias
バディ	amice
出願	aplicarea
出願	aplicatie
出願	cerere
ウォーレン	warren
銃弾	glont
銃弾	bullet
妥協	compromis
妥協	compromisuri
妥協	compromisul
ピストン	piston
ピストン	pistonul
鉄拳	tekken
雅美	masami
グラミー	grammy
抗体	anticorpi
抗体	anticorpii
抗体	anticorpi
トモ	tomo
風船	balonul
風船	balon
風船	baloane
おばさん	matusa
リターン	retur
リターン	intoarcere
ユーラシア	eurasiatice
安定性	stabilitate
安定性	stabilitatea
コメディアン	comediant
コメディアン	comici
フェリックス	felix
副官	adjutant
エレクトロニクス	electronica
エレクトロニクス	electronica
エレクトロニクス	electronice
パトロール	patrula
パトロール	patrula
パトロール	patrulare
クレーター	cratere
クレーター	craterul
クレーター	crater
キャピタル	capitala
キャピタル	capitala
キャピタル	capital
チャット	chat
高句麗	goguryeo
糖尿病	diabetul
糖尿病	diabet
ディズニーランド	disneyland
エルフ	elf
エルフ	elfi
エルフ	elfii
エルフ	elfilor
バーガー	burger
カリウム	potasiu
サバイバル	supravietuire
サバイバル	supravietuire
シックス	sase
シックス	six
シックス	sase
シックス	sase
蛍光	fluorescente
蛍光	fluorescenta
可愛い	draguta
可愛い	dragut
可愛い	dragut
可愛い	frumusica
スピリット	spiritul
スピリット	spirit
グアム	guam
側室	concubina
側室	concubine
ルター	luther
ジュリアン	julian
受領	primire
受領	primirea
チャーチル	churchill
ロフト	loft
ロフト	mansarde
湯川	yukawa
及川	oikawa
シャム	siamezi
シャム	sham
帰属	atribuirea
帰属	atribuire
モモ	piersici
モモ	momo
モモ	piersici
モモ	piersica
モモ	piersica
モモ	peach
コンボ	combo
デンバー	denver
感度	sensibilitate
感度	sensibilitatea
大師	daishi
正午	amiaza
正午	amiaza
ハント	vanatoare
ハント	hunt
ハント	vaneaza
ドレスデン	dresda
欠席	absent
欠席	absenta
欠席	absenta
欠席	absenta
口座	cont
口座	contul
批准	ratificarea
批准	ratificare
説教	predicile
説教	predici
説教	predica
説教	predica
説教	predici
説教	predica
説教	predica
連想	asociative
フルーツ	fructul
フルーツ	fructe
フルーツ	fructele
フルーツ	fruct
フルーツ	fructe
フルーツ	fructele
著しい	remarcabila
著しい	remarcabile
著しい	remarcabila
著しい	remarcabil
カウンティ	judetul
カウンティ	comitatul
カウンティ	judetul
カウンティ	comitate
返済	rambursare
返済	rambursarea
チャネル	canalele
チャネル	canale
チャネル	canal
チャネル	canalul
チャネル	channel
淳子	junko
尾根	ridge
尾根	creasta
尾根	culmea
尾根	creasta
尾根	culme
ウェスタン	occidental
ウェスタン	vest
ウェスタン	western
スキャン	scanez
スキャン	scanarea
スキャン	scanare
スキャン	scaneaza
スキャン	scanare
敬意	respectul
敬意	respect
オリエンタル	orientale
オリエンタル	oriental
オリエンタル	orientala
鋭い	sharp
お茶	tea
お茶	ceai
お茶	ceaiul
クローズ	inchide
クローズ	inchide
ワープ	warp
正一	shoichi
ダイナマイト	dinamita
ダイナマイト	dinamita
コリンズ	collins
飲む	baut
飲む	bea
飲む	bautura
オークション	licitatie
オークション	licitatie
オークション	licitatii
ポータブル	portabil
ポータブル	portabile
ポータブル	portabilitate
モンロー	monroe
芥川	akutagawa
トラップ	capcana
トラップ	trap
トラップ	capcana
トラップ	capcane
トラップ	capcanele
同値	echivalenta
ローテーション	rotire
ローテーション	rotatie
プリズム	prism
プリズム	prisma
フェアリー	zana
フェアリー	zana
フェアリー	zana
フェアリー	fairey
ポット	potul
ポット	oala
ポット	oala
マッカーサー	macarthur
ハチ	viespea
ハチ	viespe
ハチ	albinele
ハチ	albinelor
ハチ	albine
ハチ	viespi
ミッチェル	mitchell
カルト	cult
カルト	cultul
カルト	secta
家事	menajera
家事	menaj
消える	dispar
消える	disparand
消える	dispar
テンション	tensiuni
テンション	tensiune
テンション	tensiunea
個別に	individual
ジャスト	doar
フォーカス	focalizare
ナムコ	namco
分化	diferentiere
ウエスタン	occidental
ウエスタン	vest
ウエスタン	western
ラトビア	letoniei
ラトビア	letonia
ラトビア	letona
酢酸	acetat
スタンプ	timbru
スタンプ	stampila
スタンプ	ciot
発令	emitere
発令	emiterea
激戦	fioros
激戦	acerba
激戦	feroce
おいしい	delicios
おいしい	delicioasa
おいしい	delicios
おいしい	delicioase
停滞	stagnare
停滞	stationare
臼井	usui
スリップ	alunecare
茂雄	shigeo
照射	iradiere
照射	expunere
照射	expunerea
江藤	eto
アーカンソー	arkansas
パッド	pad
板垣	itagaki
マナー	manierele
マナー	maniere
バットマン	batman
相沢	aizawa
裁定	guvernamant
タイル	gresie
タイル	placi
螺旋	helix
ホフマン	hoffmann
ホフマン	hoffman
ホフマン	hofmann
レジスタ	registre
レジスタ	registrele
レジスタ	registru
レジスタ	inregistreaza
レジスタ	inregistrare
ピュア	pura
ピュア	pura
ピュア	pure
ピュア	pur
蒸留	distilarea
蒸留	distilare
蒸留	distilat
蒸留	distilata
フレイ	frey
ミッドフィールダー	mijlocas
墨田	sumida
ブーツ	boot
ブーツ	cizma
ブーツ	cizma
ブーツ	cizme
ブーツ	bocanci
ブーツ	ghete
出版物	publicatii
出版物	publicare
出版物	publicarea
ヒューズ	hughes
ヒューズ	fitil
問い合わせ	interogare
問い合わせ	anchete
連帯	solidaritate
連帯	solidaritatea
ポーター	porter
帰宅	acasa
帰宅	casa
帰宅	acasa
帰宅	home
千鳥	chidori
メイキング	efectuarea
メイキング	luare
エフェクト	efectele
エフェクト	efecte
エフェクト	efect
エフェクト	efectul
野間	noma
デス	deces
デス	moartea
デス	moarte
バター	untul
バター	unt
教職員	facultatea
教職員	facultate
結核	tuberculoza
結核	tuberculoza
ヨルダン	iordanian
ヨルダン	jordan
ヨルダン	iordania
恵那	ena
コバルト	cobalt
ソフトボール	softball
アルビレックス	albirex
起業	antreprenor
起業	intreprinzator
起業	antreprenoriat
欠陥	defect
欠陥	defect
未完	neterminat
未完	neterminate
未完	neterminata
コブラ	cobra
シスター	sora
シスター	sora
グリル	grill
グリル	gratar
脂肪	grasa
脂肪	grasa
脂肪	grasime
脂肪	gras
回顧	retrospectiva
回顧	retrospectiv
アーネスト	ernest
眠る	dormi
眠る	somn
天台宗	tendai
植村	uemura
アスレチック	atletic
彼氏	iubit
彼氏	iubitul
エミー	amy
迫害	persecutat
左近	sakon
手数料	comisiei
手数料	comisia
手数料	comisie
手数料	comision
手数料	taxa
手数料	taxa
手数料	onorariu
手数料	comision
手数料	taxe
手数料	comisioane
バドミントン	badminton
ザック	zac
陶器	ceramica
陶器	ceramica
スクリプト	scripturi
スクリプト	scenariul
スクリプト	scenariu
スクリプト	script
トライアングル	triunghi
トライアングル	triunghiul
溶岩	lava
溶岩	lava
フィニッシュ	termina
フィニッシュ	finalizeaza
異端	erezie
異端	eretic
異端	eretice
真似	imita
真似	imita
真似	imita
フン	hun
ハス	lotus
メグ	meg
トッド	todd
入浴	scaldat
入浴	baie
入浴	bath
ハング	hung
ハング	spanzurat
ハング	atarna
流体	fluide
流体	fluid
流体	lichid
流体	lichide
流体	fluide
流体	fluidele
ジュネーヴ	geneva
ハーバート	herbert
お菓子	dulciuri
未完成	neterminat
未完成	neterminate
未完成	neterminata
未完成	incompleta
未完成	incomplet
未完成	incomplete
圭介	keisuke
ブレーメン	bremen
共生	simbiotica
宮澤	miyazawa
チューブ	tub
チューブ	tubul
ヒゲ	barbi
林業	forestiere
林業	silvicultura
変装	deghizarea
変装	deghizare
変装	deghizata
変装	deghizat
変装	deghizari
祐介	yusuke
軍需	armamentul
軍需	armament
シグナル	semnale
シグナル	semnalele
シグナル	semnal
シグナル	semnalizeaza
シグナル	semnalul
オリーブ	olive
オリーブ	masline
面接	interviu
面接	interviul
ダイエット	dieta
ダイエット	dieta
ダイエット	dieta
ダブリン	dublin
信念	credinta
信念	faith
信念	credinta
信念	credinta
信念	credinta
信念	convingerile
信念	convingeri
スチュアート	stuart
ワイヤー	fir
ワイヤー	sarma
ワイヤー	sarma
ワイヤー	fire
アルブレヒト	albrecht
バレル	butoi
サンティアゴ	santiago
雅人	masato
碑文	inscriptie
ブルターニュ	brittany
審判員	arbitru
審判員	arbitrul
審判員	arbitri
審判員	arbitrii
さゆり	sayuri
スレッド	conversatie
スレッド	conversatie
スレッド	fire
スレッド	fir
スレッド	firul
スレッド	conversatii
正和	shōwa
麻布	azabu
ドラキュラ	dracula
ルネ	rené
ルネ	rene
ルネ	rené
ルネ	rene
桟橋	dig
桟橋	pier
亜鉛	zinc
グラハム	graham
正博	masahiro
デューク	duce
デューク	ducele
デューク	duke
語彙	vocabular
語彙	vocabularul
コーディネーター	coordonator
ソナー	sonar
充電	incarcare
充電	reincarcare
充電	reincarca
グラブ	apuca
グラブ	apuca
バーミンガム	birmingham
マイヤー	meyer
守谷	moriya
リリー	crin
リリー	lily
大工	carpenter
大工	tamplar
大工	tamplari
隠岐	oki
チャイ	chai
ワクチン	vaccinurile
ワクチン	vaccinuri
ワクチン	vaccin
ワクチン	vaccinuri
ワクチン	vaccinul
監獄	inchisoare
監獄	inchisoare
監獄	inchisoarea
監獄	inchisoarea
監獄	inchisorile
監獄	inchisori
デラウェア	delaware
売る	vand
売る	vinde
売る	vand
売る	vind
破片	resturi
夜叉	yasha
ペーター	petru
ペーター	peter
買い物	cumparaturi
買い物	shopping
買い物	cumparaturile
既婚	casatorita
既婚	maritata
既婚	casatorit
既婚	casatorit
陽性	pozitiv
陽性	pozitiva
陽性	pozitive
チョーク	creta
チョーク	creta
チョーク	sufoca
チョーク	sufoca
四十	forty
四十	patruzeci
エコー	ecou
エコー	ecoul
エコー	echo
同調	conformitatea
同調	conformitate
スイング	leagan
スイング	leagana
スイング	swing
コミュニティー	comunitate
コミュニティー	comunitatea
施策	politicile
施策	politici
トラクター	tractoare
トラクター	tractoarele
トラクター	tractor
トラクター	tractorul
カリスマ	carisma
カリスマ	carismatic
吹く	lovituri
下着	lenjerie
ドキドキ	interesant
ドキドキ	incitant
驚き	surpriza
驚き	surpriza
ジェフリー	jeffrey
廃墟	ruina
廃墟	ruina
廃墟	ruinele
廃墟	ruine
廃墟	ruina
深度	adancime
深度	adancimea
深度	adancime
深度	profunzime
配当	dividende
配当	distributie
配当	distributia
配当	distributia
配当	distribuire
配当	distributie
配当	dividende
故意	deliberata
故意	deliberat
故意	intentionat
故意	intentionat
故意	intentionat
ニコ	nico
ニコ	niko
クロム	chrome
クロム	crom
クロム	crom
掲示	postarea
掲示	buletinul
パスポート	pasaport
カロリー	calorii
消化	digestie
ヘビ	sarpele
ヘビ	sarpe
ヘビ	sarpe
ヘビ	snake
ヘビ	serpi
膨張	expansiune
膨張	extinderea
膨張	expansiunea
膨張	extindere
バッジ	insigna
バッジ	ecuson
バッジ	insigna
バッジ	insigne
バッジ	insignele
残酷	crude
残酷	crud
残酷	cruda
ペナルティ	penalty
ペナルティ	pedeapsa
ペナルティ	pedeapsa
ペナルティ	penalizare
フェンス	gard
フェンス	gardul
浪速	naniwa
船員	sailor
船員	marinar
フォレスト	forrest
フォレスト	forest
フォレスト	padurea
フォレスト	padure
フォレスト	padure
クラッチ	ambreiaj
クラッチ	ambreiajul
見習い	ucenici
見習い	ucenicii
見習い	ucenicul
見習い	ucenic
見習い	stagiar
黙示録	apocalipsa
黙示録	apocalipsa
枢機卿	cardinale
枢機卿	cardinal
枢機卿	cardinalul
メソッド	metoda
メソッド	metoda
メソッド	metodele
メソッド	metode
スチュワート	stewart
スギ	cedar
コップ	cupa
コップ	cupa
コップ	ceasca
母国	patria
視界	vizibilitate
視界	vizibilitatea
ニッケル	nichel
反響	ecou
反響	ecou
反響	ecoul
反響	echo
プラットホーム	platforma
プラットホーム	platforma
カルチョ	calcio
スーザン	susan
ハイチ	haiti
ハイチ	haitian
洗浄	spalarea
洗浄	spalare
洗浄	spalare
洗浄	curatenie
洗浄	curatarea
洗浄	curatare
洗浄	curatenie
不祥事	scandalul
不祥事	scandal
不祥事	scandaluri
委任	delegatia
委任	delegarea
委任	delegare
委任	mandatului
委任	mandat
委任	mandatul
祭壇	altarul
祭壇	altar
スライダー	slider
