домейн	डोमेन
трансфер	ट्रांसफर
трансфер	स्थानांतरण
трансфер	हस्तांतरण
трансфер	ट्रांसफ़र
пивоварна	ब्रेवरी
офанзива	आपत्तिजनक
офанзива	अप्रिय
вдига	उठाता
куинсланд	क्वींसलैंड
споменато	उल्लेखित
баскетбол	बास्केटबॉल
баскетбол	बास्केट
характеризират	दुहराते
бирмингам	बर्मिंघम
кралици	मोहरे
кралици	queens
взрив	बैंग
взрив	धमाके
взрив	बंग
взрив	ब्लास्ट
взрив	धमाका
взрив	विस्फोटक
взрив	विस्फोट
уникална	अनोखा
уникална	अनूठा
уникална	बेजोड़
уникална	अद्वितीय
оръдието	तोपें
оръдието	तोप
оръдието	तोपों
недостатъци	गुनाहों
недостатъци	कमियां
недостатъци	त्रुटियां
недостатъци	कमियां
недостатъци	त्रुटियां
недостатъци	खामियां
недостатъци	दोषों
предложи	ऑफर
предложи	प्रस्ताव
посещения	विज़िट
зърно	अनाज
запаси	स्टॉक्स
здравословни	स्वास्थ्यवर्धक
здравословни	स्वस्थ
противоречия	अंतर्विरोधों
противоречия	विवाद
съперник	प्रतिद्वंद्वी
съперник	प्रतिद्वंद्वी
съперник	प्रतिद्वन्दी
поетът	कवि
съгласието	सहमति
верен	वफ़ादार
верен	ईमानवालों
верен	वफादार
антоан	एंटोनी
руси	सुनहरे
палубата	डेक
господ	अल्लाह
господ	ईश्वर
господ	भगवान
господ	परमेश्वर
аякс	अजाक्स
нервна	घबरा
нервна	बेचैन
руда	अयस्क
готите	गोथ
скоби	स्टेपल्स
скоби	कोष्ठक
фрази	वाक्यांश
тунел	सुरंग
тунел	टनल
картофи	आलू
картофи	आलू
уолис	वालिस
изхода	आउटलेट
бройки	टुकड़ो
бройки	टुकड़े
еквивалент	समतुल्य
експеримент	प्रयोग
върхът	टॉपर
арабска	अरब
арабска	अरबी
ислям	इस्लाम
ислям	islam
риска	जोखिम
риска	ख़तरा
риска	रिस्क
замени	बदलें
ярко	उज्ज्वल
ярко	उज्जवल
агенции	एजेंसी
агенции	एजेंसियों
иврит	हिब्रू
иврит	यहूदी
петдесет	पचास
джефри	जेफरी
номинирана	मनोनीत
иконата	चिह्न
иконата	आइकन
иконата	प्रतीक
епидемия	महामारी
кореспонденция	पत्राचार
крус	क्रूज़
търпи	सहे
племенница	भतीजी
племенница	भांजी
кристоф	क्रिस्टोफ
гьоте	गेटे
селекция	चयन
предадени	विश्वासघात
предадени	गद्दारी
отпред	अग्र
отпред	सामने
джесика	जेसिका
близостта	निकटता
пътувания	यात्राएं
пътувания	यात्रा
пътувания	सफर
пътувания	यात्राएँ
бай	बाई
толстой	टालस्टाय
ибрахим	इब्राहिम
ибрахим	इबराहीम
ибрахим	इब्राहीम
постановка	सेटअप
постановка	मंचन
постановка	स्टेजिंग
плуване	तैर
плуване	तैरने
плуване	तैरना
плуване	स्विमिंग
плуване	तैरना
плуване	तैराकी
ъгъла	कॉर्नर
ъгъла	कोना
ъгъла	कोने
астрономически	खगोलीय
ръба	किनारा
ръба	किनारे
лири	रुपये
лири	लीरा
лири	पाउंड
жозеф	जोसफ
жозеф	यूसुफ
жозеф	जोसेफ
науру	नाउरू
науру	प्रकृति
нож	चाकू
изключителни	एक्सक्लूसिव
изключителни	exclusive
изключителни	अनन्य
изключителни	विशेष
изключителни	असाधारण
стадий	चरण
стадий	स्टेज
арка	चाप
арка	मेहराब
феномен	घटना
пакет	बंडल
пакет	पैकेज
дружба	मित्रता
дружба	दोस्ती
гигантски	दैत्य
гигантски	दानव
означение	संकेतन
означение	नामांकन
сюзън	सुसान
наследниците	वारिस
сеул	सियोल
фламандски	फ्लेमिश
традиционна	पारम्परिक
традиционна	पारंपरिक
традиционна	परंपरागत
следите	ट्रैक
следите	ट्रैक्स
борса	विनिमय
борса	एक्सचेंज
обичам	प्यार
обичам	मोहब्बत
обичам	प्रेम
психоанализа	मनोविश्लेषण
погребани	दफन
погребани	दफ़न
погребани	दफ्न
тор	उर्वरक
тор	खाद
тор	tor
тор	तूर
тор	तोर
тор	थोर
мита	मिथक
мита	कर्तव्य
доказано	सिद्ध
клонове	शाखाएं
клонове	शाखाएँ
клонове	शाखा
клонове	शाखाओं
витамин	विटामिन
плажове	समुद्रतट
духове	भूत
духове	स्पिरिट
духове	आत्माओं
спад	अस्वीकार
спад	मनाही
обвивка	म्यान
обвивка	शेल
приключване	समाप्ति
приключване	पूर्णता
публична	सार्वजनिक
публична	जनता
публична	लोक
публична	पब्लिक
вулкан	ज्वालामुखी
бунтове	दंगों
бунтове	दंगे
бежанците	शरणार्थी
бежанците	शरणार्थियों
собственици	मालिकों
собственици	स्वामी
повторение	आवृत्ति
повторение	पुनरावृत्ति
повторение	रिप्ले
дъблин	डबलिन
парламентът	संसद
парламентът	लोकसभा
парламентът	पार्लियामेंट
кодове	कोड
ренесанс	पुनर्जागरण
зигфрид	siegfried
шеста	छठी
шеста	छठा
шеста	छठे
керамични	सिरेमिक
мощен	शक्तिशाली
равнини	मैदान
пътуват	यात्रा
пътуват	सफर
градината	बगीचा
градината	बगीचे
градината	बाग
градината	गार्डन
марш	दलदल
търнър	टर्नर
матиас	मैथियास
симфония	सिंफनी
провал	असफल
провал	नाकामी
провал	असफलता
провал	विफलता
сухо	सूखा
сухо	सूख
сухо	सूखी
сухо	शुष्क
предна	अग्र
предна	सामने
автобуси	बसों
автобуси	बसें
свазиленд	स्वाज़ीलैंड
дъга	इंद्रधनुष
дъга	सतरंगी
дъга	इन्द्रधनुष
дъга	रेनबो
дъга	आर्क
дъга	चाप
удобно	सुविधाजनक
удобно	सहज
удобно	आरामदायक
двойна	दोहरा
двойна	डबल
двойна	दोगुना
постигането	उपलब्धियाँ
постигането	उपलब्धि
команди	कमांड्स
команди	कमांड
привлече	आकर्षित
мъртви	मर
мъртви	मुर्दे
телефон	फ़ोन
телефон	फोन
телефон	टेलिफोन
телефон	टेलीफ़ोन
телефон	दूरभाष
телефон	टेलीफोन
фокус	फोकस
фокус	फ़ोकस
редиците	बाँधने
чести	कॉमन
чести	सामान्य
чести	आम
дион	डायोन
ела	आईये
ела	आइये
армстронг	आर्मस्ट्रांग
манхатън	मैनहटन
клиентите	ग्राहक
томпсън	थॉम्पसन
записки	नोट्स
записки	नोट
записки	टिप्पणी
записки	टीप
пепел	राख
пепел	ash
пепел	ऐश
пепел	राख
легиони	सेनाएँ
репресии	दमन
изстрелян	शुभारम्भ
инфекция	संक्रमण
влечуги	सरीसृपों
синдром	सिंड्रोम
приемник	मेज़बान
приемник	होस्ट
приемник	मेजबान
банда	band
банда	बैंड
банда	गैंग
банда	gang
банда	गिरोह
конкуренция	प्रतिस्पर्धा
конкуренция	प्रतियोगिता
променлива	चर
променлива	परिवर्तनशील
променлива	परिवर्तनीय
чудо	आश्चर्य
чудо	चमत्कारी
чудо	चमत्कार
чудо	ताज्जुब
чудо	आश्चर्य
чудо	अचरज
кобург	coburg
багдад	बगदाद
променено	परिवर्तित
променено	बदला
променено	परिवर्तित
променено	संशोधित
променено	परिवर्धित
чума	प्लेग
борд	बोर्ड
борд	बिसात
борд	फलक
консумация	उपभोग
консумация	खपत
дракон	ड्रैगन
посочен	उल्लेखित
посочен	निर्दिष्ट
лук	प्याज
лук	प्याज़
лук	प्याज
младежта	जवानी
младежта	युवा
младежта	युवाओं
младежта	युवावस्था
крилете	पंखों
крилете	पंख
крилете	विंग्स
арканзас	अरकंसास
електричество	बिजली
електричество	विद्युत
електричество	विद्युत
електричество	इलेक्ट्रिक
институти	संस्थान
привилегии	विशेषाधिकार
седмицата	हफ्ते
седмицата	सप्ताह
хюсеин	हुसैन
батман	बैटमैन
чужденци	विदेशियों
кафяв	ब्राउन
кафяв	भूरा
предполагат	सुझाएँ
фотографии	छायाचित्र
включено	सक्षम
включено	सक्रिय
включено	शामिल
пръстените	छल्ले
пръстените	बजती
напредък	प्रगति
напредък	उन्नति
вековете	सदियों
вековете	सदियां
рейчъл	रेचल
ниши	निशि
роуз	गुलाब
роуз	रोज
роуз	रोज़
увреждания	अक्षम
увреждания	विकलांग
увреждания	निष्क्रिय
увреждания	अक्षमता
увреждания	विकलांगता
съществена	अनिवार्य
колинс	कॉलिन्स
дарвин	डार्विन
снаряди	गोले
снаряди	शेल
нели	नेली
нели	नेल
отмъщение	प्रतिशोध
отмъщение	बदला
повреди	नुक्सान
повреди	नुकसान
повреди	क्षति
президентски	अध्यक्षीय
екипировка	उपकरण
стабилност	स्थिरता
бедни	बेचारी
бедни	बेचारे
бедни	गरीब
бедни	बेचारा
бедни	ग़रीब
бюрото	ब्यूरो
словашки	स्लोवाक
царуването	शासन
царуването	शासनकाल
тръба	पाइप
тръба	नलिका
тръба	ट्यूब
месото	गोश्त
месото	माँस
месото	मांस
такси	टैक्सी
такси	टैक्सी
такси	फीस
такси	शुल्क
албумите	एलबम
албумите	एल्बम
лош	खराब
лош	ख़राब
докторат	डॉक्टरेट
разработване	विकास
разработване	उद्गम
разработване	विकासशील
документа	दस्तावेज
документа	दस्तावेज़
запазено	आरक्षित
запазено	सुरक्षित
статуи	मूर्ति
статуи	मूर्तियाँ
математическа	गणितीय
айнщайн	आइंस्टीन
коридор	दालान
лора	लौरा
слухове	अफवाहें
слухове	अफवाहों
слухове	अफवाह
плячка	शिकार
плячка	बूटी
параклиса	चैपल
противниците	प्रतिद्वंद्वी
противниците	विरोधियों
противниците	प्रतिद्वंद्वियों
кореспонденти	संवाददाताओं
лоша	खराब
лоша	ख़राब
закрито	इंडोर
закрито	अंदर
зигмунд	सिग्मुंड
петрол	पेट्रोल
петрол	तेल
петрол	ऑयल
петрол	आयल
петрол	पेट्रोलियम
суматра	सुमात्रा
оператори	ऑपरेटर
слива	प्लम
кадафи	गद्दाफी
зареждане	लोड
зареждане	प्रभार
зареждане	चार्ज
зареждане	लोडिंग
зареждане	लदान
зареждане	चार्जिंग
харисън	हैरिसन
добавка	अलावा
добавка	जोड़
добавка	जोड
добавка	अनुपूरक
добавка	संपूरक
добавка	योगात्मक
рап	रैप
интервал	अंतराल
лингвистика	भाषाविज्ञान
моделите	मॉडल
панорама	परिदृश्य
лидия	लीडिया
възможен	संभव
възможен	संभावित
пелопонес	पेलोपोनीज़
миграция	प्रवास
миграция	माइग्रेशन
митове	मिथकों
мюзикъл	संगीतमय
мюзикъл	musical
работилница	वर्कशॉप
работилница	कार्यशाला
галактика	गैलेक्सी
галактика	आकाशगंगा
кавалерия	प्यादे
клиент	ग्राहक
клиент	ग्राहक
клиент	क्लाइंट
клиент	क्लाएंट
завой	मोड़ना
завой	बारी
завой	फेरे
завой	बेंड
речи	भाषणों
емили	एमिली
светкавица	बिजली
светкавица	फ़्लैश
светкавица	फ्लैश
светкавица	बिजली
мазнини	वसा
мазнини	वसा
мазнини	मोटी
мазнини	स्थूल
мазнини	मोटा
мазнини	मोटे
самоубийство	आत्महत्या
завършила	स्नातक
завършила	ग्रैजुएट
достигане	पहुँच
достигане	पहुँचें
крайни	चरम
смесена	मिश्रित
соломон	सालमन
соломон	सोलोमन
соломон	सुलेमान
екрана	परदा
екрана	स्क्रीन
джеси	जेस्सी
джеси	जेसी
джеси	जेसी
гласни	स्वर
глазгоу	ग्लासगो
съкровище	जानेमन
съкровище	खजाना
астероид	क्षुद्रग्रह
кейн	कैन
кейн	केन
унищожена	नष्ट
положително	सकारात्मक
положително	धनात्मक
заплата	वेतन
заплата	सैलरी
страбон	स्ट्रैबो
антропология	मानवशास्त्र
американци	अमेरिकी
ренесанса	पुनर्जागरण
богатството	दौलत
богатството	माल
кръгли	दौर
кръгли	गोल
кръгли	राउंड
кръгли	गोलाकार
лена	lena
лена	लेना
фасада	मुखाग्र
ограничаване	प्रतिबंध
ограничаване	सीमा
конник	राइडर
конник	सवार
доза	खुराक
хендрикс	हेंड्रिक्स
измервания	माप
измервания	मूल्यांकन
измервания	माप
измервания	मापन
петра	पीट्रा
мускул	पेशी
мускул	मांसपेशी
тбилиси	tbilisi
разкрити	नाज़िल
колонията	उपनिवेशों
колонията	उपनिवेशवाद
колонията	कॉलोनी
колонията	उपनिवेश
сиви	ग्रे
сиви	धूसर
сиви	सलेटी
сиви	ग्रे
сиви	धूसर
полезна	उपयोगी
полезна	उपयोगी
полезна	सहायक
показани	प्रदर्शित
размножаване	प्रजनन
размножаване	जनन
статуята	प्रतिमा
верни	वफ़ादार
верни	सच
верни	सही
верни	सच्चा
верни	ईमानवालों
верни	वफादार
алпите	ऐल्प्स
демо	डेमो
архиви	रिकॉर्ड
архиви	अभिलेखागार
архиви	अभिलेख
архиви	संग्रह
архиви	अभिलेखागार
архиви	अभिलेख
документите	दस्तावेज
документите	दस्तावेज़
вечеря	डिनर
вечеря	भोजन
анализи	विश्लेषण
анализи	इनसाइट
анализи	अंतर्दृष्टि
бедствия	आपदाओं
бедствия	आपदा
бедствия	विपत्ति
производни	डेरिवेटिव
влажни	नम
влажни	नम
подводница	पनडुब्बी
подводница	उप
подводница	sub
перо	पंख
перо	बट्टे
перо	पेरो
арктика	आर्कटिक
въведение	प्रस्तावना
въведение	भूमिका
въведение	परिचय
въведение	परिचय
известия	अधिसूचना
известия	सूचनाएँ
известия	सूचनाएं
бара	बारा
важност	अहमियत
важност	महत्ता
важност	महत्व
удря	हिट
удря	हिट्स
конан	कोनन
шрифт	फ़ॉन्ट
бюст	क्लीवेज
бюст	बस्ट
пустиня	रेगिस्तान
пустиня	मरुस्थल
локомотиви	इंजनों
намален	घटाया
зърна	अनाज
зърна	लहरें
зърна	दाने
сенат	सीनेट
апогей	apogee
утре	कल
авторитет	प्राधिकरण
авторитет	प्राधिकार
японско	जापानी
полуфинала	सेमीफाइनल
преки	डायरेक्ट
преки	प्रत्यक्ष
преки	direct
преки	सीधा
шведска	स्वीडिश
цин	चिंग
атланта	अटलांटा
рита	रीता
директорите	निर्देशकों
рон	रॉन
стратегическо	सामरिक
стратегическо	रणनीतिक
темите	प्रसंग
темите	थीम
темите	विषयवस्तु
темите	विषयों
темите	विषय
паскал	पास्कल
трио	तिकड़ी
указания	निर्देश
трагедията	त्रासदी
бунтовниците	विद्रोही
малцинства	अल्पसंख्यक
малцинства	अल्पसंख्यकों
фред	फ्रेड
готово	सम्पन्न
готово	किया
грозни	बदसूरत
грозни	भद्दा
железни	लोहा
железни	लोहे
железни	लौह
железни	आयरन
близнаци	जुड़वां
близнаци	जुड़वा
близнаци	मिथुन
близнаци	जुड़वां
близнаци	जुड़वा
бомбардировачи	बमवर्षक
совалка	शटल
тигър	टाइगर
тигър	बाघों
тигър	बाघ
видя	देख
видя	देखें
видя	देखिए
имигранти	प्रवासियों
имигранти	आप्रवासियों
имигранти	अप्रवासी
вкъщи	मुखपृष्ठ
вкъщи	गृह
вкъщи	होम
вкъщи	घर
обсерватория	वेधशाला
грама	ग्राम
грама	गामा
азаренка	अज़ारेन्का
виолета	बैंगनी
механик	मैकेनिक
младост	जवानी
младост	युवा
младост	युवाओं
младост	युवावस्था
поддръжници	समर्थक
познато	परिचित
изолация	इन्सुलेशन
изолация	अलगाव
гробища	कब्रिस्तान
гробища	कब्रिस्तान
унищожи	नष्ट
успее	सफल
съвместни	संयुक्त
момичетата	लड़कियां
момичетата	लड़कियाँ
момичетата	girls
момичетата	लड़कियों
придвижване	आन्दोलन
придвижване	आंदोलन
придвижване	गति
далас	डलास
съставна	घटक
съставна	कम्पोजिट
съставна	समग्र
съставна	कुल
мода	फैशन
мода	फ़ैशन
пие	पीना
пие	पीने
пие	पेय
верде	वर्डे
управляващ	प्रबंध
управляващ	मैनेजिंग
смях	हंसते
смях	हंसी
смях	हँसी
смях	हँसते
смях	हँस
смях	लाफ
смях	हंसना
смях	हँसो
компилация	संकलन
оттегляне	वापसी
клане	नरसंहार
клане	वध
симпсън	सिम्पसन्स
симпсън	सिम्पसन
образователна	शैक्षिक
образователна	शैक्षणिक
качва	अपलोड
детектив	जासूस
албанско	अल्बानियाई
редове	पंक्तियां
редове	पंक्तियाँ
редове	पंक्ति
редове	पंक्तियां
редове	पंक्तियाँ
редове	रेखाएं
редове	लकीरें
редове	लाइनों
предимства	फायदे
предимства	लाभ
предимства	लाभ
некропол	क़ब्रिस्तान
формати	फ़ॉर्मेट
формати	स्वरुप
отворено	खुला
отворено	ओपन
отворено	खोलें
квалификации	रेटिंग
квалификации	दरजा
квалификации	योग्यता
квалификации	योग्यता
печалба	लाभ
одобрение	अनुमोदन
одобрение	स्वीकृति
демокрацията	लोकतंत्र
блейк	ब्लेक
еврейско	यहूदी
антична	पुरातन
русо	रूसो
памук	सूत
памук	कपास
четвъртък	गुरूवार
четвъртък	गुरुवार
романтични	रोमांटिक
батальона	बटालियन
алгоритъм	एल्गोरिदम
алгоритъм	एल्गोरिथ्म
партньорство	भागीदारी
партньорство	साझेदारी
дин	दीन
стрийт	सड़क
стрийт	गली
пето	पंचम
пето	पाँचवा
пето	पांचवा
пето	पांचवां
геология	भूविज्ञान
наема	किराए
наема	किराया
конфедерация	परिसंघ
конфедерация	परिषद
конфедерация	कनफेडरेशन
юнг	जुंग
юнг	जंग
инвазия	आक्रमण
местообитания	आवास
строител	बिल्डर
глина	मिट्टी
чисти	साफ
облаци	बादलों
облаци	बादल
облаци	मेघ
облаци	बादल
олтар	वेदी
биг	बड़े
биг	बड़ा
биг	बड़ी
биг	बिग
бригадата	ब्रिगेड
седма	सात
седма	सातवीं
седма	सातवाँ
козината	फर
вале	valle
вале	जैक
вале	जोकर
вале	वेल
свещена	पवित्र
смъртни	नश्वर
арменци	अर्मेनियाई
предложен	सुझाया
предложен	प्रस्तावित
лил	lil
лил	लील
казимир	कासिमिर
панаир	कार्निवाल
панаир	कार्निवल
панаир	मेले
панаир	फेयर
панаир	उचित
панаир	मेला
психиатър	मनोचिकित्सक
мембрана	झिल्ली
конете	घोड़ों
конете	घोडे
конете	घोड़े
травма	चोट
травма	आघात
намерението	इरादा
намерението	इरादे
университетите	विश्वविद्यालय
университетите	विश्वविद्यालयों
смъртност	मृत्यु
ленти	स्ट्रिप्स
ленти	टेपों
ленти	पटी
ленти	स्ट्रिप
рамки	ढांचा
рамки	फ्रेम
рамки	फ़्रेम
рамки	गठन
рамки	फ्रेम्स
вратите	दरवाजे
вратите	दरवाजों
вратите	द्वार
кабо	केप
кабо	काबो
регулиране	नियमन
регулиране	विनियम
регулиране	विनियमन
регулиране	समायोजन
регулиране	विनियमित
скъпи	dear
скъпи	डियर
скъпи	प्रिय
скъпи	डिअर
есе	निबंध
есе	निबन्ध
потомък	उत्तराधिकारी
потомък	वंशज
процесор	सीपीयू
процесор	cpu
процесор	प्रोसेसर
трудни	कठिन
трудни	मुश्किल
справедливост	न्याय
справедливост	इंसाफ
вар	लाइम
доставка	वितरण
доставка	डिलीवरी
доставка	शिपिंग
доставка	आपूर्ति
доставка	सप्लाई
бенд	बेंड
влага	नमी
влага	आर्द्रता
странно	अजीब
странно	अजीब
странно	विषम
уста	मुख
уста	मुह
уста	मुंह
уста	मुँह
фил	फिल
хага	हेग
кит	व्हेल
кит	किट
кит	kit
форест	फॉरेस्ट
форест	जंगल
форест	वनों
форест	वन
футуна	फ़्यूचूना
клиника	क्लीनिक
клиника	क्लिनिक
пиза	पीसा
бин	bin
бин	बिन
жълта	पीला
унищожен	नष्ट
тито	टीटो
готовност	तत्परता
мил	मिल
инструктор	शिक्षक
инструктор	प्रशिक्षक
таланти	प्रतिभा
таланти	हुनर
обичай	अनुकूलित
обичай	मनपसंद
обичай	कस्टम
констанций	constantius
сива	ग्रे
сива	धूसर
сива	सलेटी
сива	ग्रे
сива	धूसर
изкопаеми	खनिज
изкопаеми	जीवाश्म
изкопаеми	चट्टान
отзиви	समीक्षा
отзиви	समीक्षाएँ
рожден	बर्थडे
рожден	जन्मदिन
рожден	जन्मदिवस
роджърс	रोजर्स
роджърс	रोजर्स
скрити	छुपा
съхраняване	भंडारण
съхраняване	स्टोरेज
съхраняване	संग्रहण
съхраняване	भंडार
модула	lander
телескоп	दूरदर्शी
назначение	असाइनमेंट
назначение	कार्यभार
отговорни	ज़िम्मेदार
отговорни	उत्तरदायी
отговорни	जिम्मेदार
осетия	ओसेतिया
ангели	फ़रिश्तों
ангели	परियां
ангели	परियों
ангели	फ़रिश्ते
толкин	tolkien
кантон	कैण्टन
насекомо	कीट
адреси	पते
адреси	पता
адреси	url
адреси	यूआरएल
рамо	कंधा
рамо	कंधे
фабрики	कारखानों
билборд	बिलबोर्ड
нюкасъл	न्यूकैसल
изненадващо	आश्चर्यजनक
жлеза	ग्रंथि
доставя	उद्धार
сбор	योग
газа	गाजा
мек	नर्म
мек	सॉफ्ट
мек	मुलायम
мек	नरम
модернизация	आधुनिकीकरण
избрано	चुनी
избрано	चयनित
отрасли	उद्योगों
отрасли	उद्योग
отрасли	सेक्टर
чувствата	भावनाएं
чувствата	भावनाएँ
чувствата	जज्बात
упадък	अस्वीकार
упадък	मनाही
неутрална	निष्पक्ष
неутрална	तटस्थ
неутрална	न्यूट्रल
родригес	रोड्रिगेज
родригес	रोड्रिग्स
дъщерите	बेटियों
дъщерите	बेटियाँ
дъщерите	बेटियां
райна	रैना
райна	raina
лозя	बेलें
лозя	अंगूरों
поли	पॉली
поли	स्कर्ट
поли	पोली
поли	पॉली
поли	बहु
гнездо	घोसला
гнездо	घोंसला
провери	जाँचें
провери	जाँच
лиза	लीज़ा
лиза	लिसा
чужда	विदेश
чужда	विदेशी
тестване	परीक्षण
авиацията	विमानों
авиацията	विमान
авиацията	विमानन
мичъл	मिशेल
виното	शराब
виното	वाइन
точна	सटीक
вулкани	ज्वालामुखी
чешката	चेक
психолози	psychologists
линейни	रेखीय
линейни	लीनियर
линейни	रैखिक
временен	अस्थायी
временен	अस्थाई
временен	अस्थायी
графичен	ग्राफ़िक
графичен	ग्राफिक
графичен	आलेखीय
графичен	ग्राफिक्स
водачите	चालक
водачите	ड्राइवर
ядрено	परमाणु
ядрено	न्यूक्लियर
ядрено	नाभिकीय
вариации	विसंगतियाँ
полу	अर्ध
полу	अर्द्ध
полу	सेमी
нба	एनबीए
разход	लागत
разход	व्यय
разход	व्यय
атома	परमाणु
атома	अणु
преместена	स्थानांतरित
клипове	क्लिप्स
клипове	वीडियोज़
клипове	वीडियो
искра	चिंगारी
недостиг	कमियां
недостиг	किल्लत
земетресението	भूकम्प
земетресението	भूकंप
алба	अल्बा
логически	तार्किक
логически	लॉजिकल
логически	तर्क
логически	लॉजिक
пионер	अग्रगामी
пионер	पायोनियर
лео	सिंह
лео	leo
заем	ऋण
цру	cia
цру	सीआईए
цру	cla
мартинес	मार्टिनेज
мой	मेरा
извънредно	ओवरटाइम
извънредно	बेहद
извънредно	अत्यंत
извънредно	अत्यधिक
наблюдавани	देखा
наблюдавани	देखी
решетка	ग्रिल
решетка	ग्रिड
решетка	जाली
пабло	पाब्लो
читатели	पाठकों
читатели	पाठक
корупция	भ्रष्टाचार
марсел	मार्सल
симптомите	लक्षण
заводи	पौधे
заводи	कारखानों
композира	लिखें
предотвратяване	बचाव
предотвратяване	निवारण
предотвратяване	रोकथाम
геоложки	भूगर्भिक
антични	पुरातन
коалицията	गठबन्धन
политики	नीतियां
политики	नीतियाँ
политики	नीतियों
печатни	मुद्रित
максимален	अधिकतम
клей	मिट्टी
грубо	रफ
грубо	रूखी
грубо	अशिष्ट
грубо	अशिष्ट
грубо	rude
грубо	असभ्य
франки	फ्रेंकी
жозе	जोस
жозе	जोस
хармония	सद्भाव
хармония	समरसता
хармония	सदभावना
хармония	सामंजस्य
бъдещ	भविष्य
декоративни	सजावटी
декоративни	शोभायमान
загубите	नुकसान
уокър	वॉकर
уокър	वाकर
регистриран	पंजीकृत
предпоставка	आधार
оверн	auvergne
единбург	एडिनबर्ग
горене	दहन
пушкин	पूश्किन
отровни	जहरीली
отровни	जहरीला
фасадата	मुखाग्र
тежест	बोझ
тежест	भार
тежест	वजन
тежест	वज़न
тежест	गंभीरता
репутация	प्रतिष्ठा
репутация	साख
споменаване	उल्लेख
споменаване	जिक्र
автобус	bus
автобус	बस
олимпия	ओलंपिया
разследването	जांच
разследването	छानबीन
вторник	मंगलवार
омар	झींगा
омар	उमर
омар	ओमर
изпит	परीक्षा
изпит	एग्जाम
изпит	exam
изпит	परीक्षा
изпит	exams
изпит	परीक्षाएं
мечта	ड्रीम
мечта	सपने
мечта	ख्वाब
мечта	स्वप्न
мечта	सपना
диплома	डिप्लोमा
диплома	diploma
комикси	कॉमिक्स
комикси	कॉमिक
събрания	मुलाकातें
събрания	बैठकों
събрания	बैठक
събрания	सभाओं
истинско	असली
истинско	यथार्थ
истинско	रीयल
истинско	वास्तविक
истинско	रियल
разходка	चलना
разходка	सैर
разходка	चलना
установен	स्थापित
ферма	खेत
ферма	फ़ार्म
ферма	फार्म
ферма	फर्मा
троя	ट्रॉय
