parme	پارما
matrice	ماتریکس
matrice	ماتریس
nfl	nfl
sardaigne	ساردینیا
escrime	شمشیربازی
perception	ادراک
charleroi	شارلروآ
axes	محورها
axes	محور
significations	معانی
descendance	فرزندانی
descendance	اولاد
descendance	فرزند
descendance	زاد
descendance	نوادگان
mayer	مایر
électroniques	electronic
électroniques	الکترونیکی
électroniques	الکترونیک
appartenance	وابستگی
gregory	گریگوری
gregory	گرگوری
arménien	ارمنیان
arménien	ارمنی
domestique	اهلی
plongée	غواصی
plongée	شیرجه
plongée	غواصی
plongée	شیرجه
composants	قطعات
composants	اجزای
rival	رقیب
patriarche	ایلخانی
chair	گوشتی
chair	جسم
chair	گوشت
dominant	غالب
dominant	غالب
julian	جولیان
julian	جولین
carburant	سوخت
téléchargement	بارگیری
téléchargement	دانلود
téléchargement	بارگیری
voler	پرواز
voler	پروازی
voler	پرواز
voler	دزدیدن
sigle	سرنام
kilomètre	کیلومتر
kilomètre	کیلومتر
kilomètre	کیلومتر
capturé	دستگیر
capturé	اسیر
jet	جت
riz	برنجی
riz	پلو
riz	رایس
riz	برنج
riz	ریز
constance	کنستانس
ème	ème
affichage	نما
affichage	نمای
guatemala	گواتمالا
chan	چان
chan	chan
urbains	شهری
urbains	urban
urbains	اوربان
postérité	آیندگان
médicis	مدیچی
trajet	مسیر
doyen	دین
extérieurs	خارجی
extérieurs	خارجی
extérieurs	بیرونی
bridge	پل
bridge	پلی
décédée	مرحوم
créatures	موجودات
créatures	مخلوقات
créatures	بندگان
otan	ناتو
patinage	اسکیت
patinage	پاتیناژ
patinage	اسکیت
indispensable	ضروری
révision	مرور
révision	بازبینی
révision	بازدید
révision	بازبینی
const	const
préliminaire	مقدماتی
bulle	حباب
bulle	حباب
alessandro	الساندرو
alessandro	آلساندرو
israélien	اسرائیلی
israélien	اسراییل
israélien	اسرائیل
israélien	اسرائیلیها
modifiée	تغییریافته
médicaments	دارو
médicaments	تداوی
cricket	کریکت
ancêtres	پدرانشان
ancêtres	اجداد
ancêtres	پدران
ancêtres	نیاکان
olga	اولگا
touristes	توریست
touristes	توریستهای
blood	خونی
blood	خون
indépendantes	مستقل
demandant	پرسیدن
hilaire	ایلر
barrière	برزخی
barrière	مانع
barrière	پرچین
barrière	نرده
barrière	حصار
barrière	حصاری
barrière	باریر
soie	سیلک
soie	ابریشم
soie	پرنیان
soie	ابریشمی
soie	حریر
essayé	تلاش
essayé	آزموده
acoustique	آکوستیک
acoustique	صدا
acoustique	آکوستیک
colonial	استعماری
marches	مارکه
marches	گامهای
intellectuelle	روشنفکری
intellectuelle	عقلانی
intellectuelle	روشنفکر
intellectuelle	فکری
aluminium	آلومینیوم
aluminium	آلومینیوم
composées	متشکل
composées	سروده
piège	دام
piège	دامی
piège	تله
biélorussie	بلاروس
doc	داک
policière	پولیس
policière	پلیس
écho	پژواک
écho	اکو
industrielles	صنعتی
tragédie	تراژدی
mozart	موتسارت
excellent	عالی
hart	هارت
hôtels	هتلهای
hôtels	هتلها
arras	اراس
diminution	کاهش
horizon	افق
gorge	گلو
gorge	گلوی
gorge	گلوگاه
librement	آزادانه
silver	نقره
silver	سیمین
silver	سیلور
pauline	پائولین
offrant	پیشکش
offrant	تعارف
offrant	پیشنهاد
amphibiens	دوزیستان
durand	دورند
kenya	کنیا
pilier	ستون
pilier	رکن
pilier	ستونی
pilier	ارکان
diamant	الماس
diamant	دیاموند
diamant	الماسی
diamant	دایموند
diamant	الماس
diamant	الماسها
diamant	خشت
diamant	الماسهای
quinzaine	پانزده
quinzaine	دوهفته
drogue	مواد
drogue	دارو
soutenue	وارده
soutenue	پشتیبانی
derby	دربی
derby	داربی
libertés	آزادیهای
tennessee	تنسی
chaos	آشفتگی
chaos	آشوب
chanter	بخون
chanter	بخونید
chanter	آواز
chanter	خوانندگی
fusil	تفنگ
fusil	تفنگی
fusil	اسلحه
fusil	تفنگ
serbes	صرب
serbes	صربها
serbes	صرب
serbes	صربی
marx	مارکس
roberts	رابرتس
roberts	رابرتز
roumaine	رومانیایی
roumaine	رومانی
broadway	برادوی
législatif	قانونگذاری
rotterdam	روتردام
salaire	حقوق
salaire	اجرت
salaire	دستمزد
salaire	اجر
salaire	مزد
salaire	درآمد
rappeur	رپر
rappeur	rap
rappeur	رپ
plaines	دشتی
plaines	دشتهای
watson	واتسون
préféré	محبوب
ingénierie	مهندسی
bayonne	بایون
asiatiques	آسیایی
asiatiques	آسیا
clara	کلارا
magistrat	داوری
magistrat	قاضی
magistrat	دادرس
chanteurs	خوانندگان
admissible	انتخابش
admissible	روا
ethnique	قومیت
ethnique	قومی
ethnique	نژادی
haies	هجز
haies	بامانع
haies	پرچین
flanc	جناح
flanc	پهلوها
vignes	تاکستان
vignes	تاکستان
contrainte	استرس
contrainte	تنش
contrainte	قید
contrainte	اجبار
contrainte	اجبار
portails	گیت
portails	گیتس
billets	بلیط
billets	بلیت
apogée	اوج
apogée	اوج
apogée	قله
antarctique	جنوبگان
antarctique	جنوبگان
contenir	حاوی
conducteur	رانندگان
conducteur	راننده
conducteur	گرداننده
conducteur	رسانا
conducteur	راهبر
étendu	گسترده
étendu	گسترده
interdite	ممنوعه
interdite	ممنوع
interdite	حرام
interdite	نهی
interdite	ممنوع
interdite	حرام
interdite	ممنوع
sphère	کرهای
libye	لیبی
libye	لیبی
choisie	برگزیده
chirurgie	جراحی
chirurgie	جراحی
sent	بوی
grammaire	گرامر
yann	jan
yann	یان
mineure	کوچک
mineure	خردسال
mineure	کوچکی
tigre	ببر
tigre	ببری
tigre	تایگر
tigre	پلنگ
tigre	تیگره
compromis	سازش
compromis	مصالحه
compromis	توافق
horloge	کلاک
horloge	ساعت
middle	وسطی
middle	میدل
middle	میانی
middle	میانه
middle	وسط
chaine	زنجیری
chaine	زنجیره
chaine	زنجیر
chaine	زنجیرهای
séoul	سئول
parts	سهم
parts	اشتراک
parts	سهام
partager	اشتراک
pluriel	جمع
omar	عمر
monica	مونیکا
dépôts	سپرده
michèle	میشل
pommes	سیب
pommes	سیب
pommes	apple
pommes	اپل
vannes	گیت
vannes	گیتس
haine	کینه
haine	بغض
haine	عداوت
haine	نفرت
haine	متنفر
haine	متنفرم
haine	تنفر
haine	نفرت
picard	پیکارد
nommer	بتابد
nommer	نامگذاری
nommer	نام
lettonie	لتونی
lettonie	لتونی
alerte	اخطار
alerte	هشدار
alerte	هشدار
fermes	مزرعه
fermes	فارم
fermes	مزارع
tunisienne	تونس
tunisienne	تونس
restaurer	بازگردانی
restaurer	بازگرداندن
restaurer	برگرداندن
restaurer	بازیابی
restaurer	بازگرداندن
edwards	ادواردز
raid	هجوم
distances	فواصل
distances	مسافت
distances	فاصله
gardiens	نگهبانان
gardiens	گارد
gardiens	نگهبانان
plafond	سقفی
plafond	سقفش
plafond	سقف
piscine	بیلیارد
piscine	استخری
piscine	استخر
minorité	اقلیت
ronald	رونالد
charité	صدقه
charité	زکات
charité	صدقه
charité	خیریه
exceptionnelle	استثنایی
exceptionnelle	استثنائی
allée	راهروی
allée	کوچه
allée	اتوبان
sienne	سینا
emily	امیلی
explications	شرح
abel	ابل
abel	آبل
extérieures	خارجی
extérieures	بیرونی
cave	سرداب
cave	دخمه
cave	غار
cave	غاری
cave	زیرزمین
acquérir	کسب
graphe	گراف
passés	past
passés	گذشته
recommandations	توصیه
plainte	شکایتی
plainte	شکایت
plainte	شکایات
plainte	دادخواهی
plainte	شکایتی
plainte	شکایت
hippolyte	ایپولیت
activement	فعالانه
doubles	دابل
doubles	دونفره
égyptienne	مصر
égyptienne	مصری
idéologie	ایدئولوژی
idéologie	ایدئولوژیک
cage	قفسی
cage	کیج
cage	قفس
préserver	حفظ
tronçon	کشش
tronçon	دراز
banc	نیمکت
souverains	فرمانروایان
souverains	حاکمان
souverains	دایملر
martine	مارتینا
martine	مارتن
martine	مارتین
indochine	هندوچین
ménages	خانوار
ménages	خانوار
captain	کاپیتان
captain	سروان
captain	ناخدا
buffalo	بوفالو
italiennes	ایتالیایی
italiennes	ایتالیا
juriste	وکیل
enlever	حذف
sonate	سوناتا
asiatique	آسیایی
asiatique	آسیایی
asiatique	آسیا
regarde	نگاهی
regarde	ببین
suffixe	پسوند
corde	طناب
corde	طنابی
corde	کورد
oklahoma	اکلاهما
documentaires	مستند
sep	اسپ
sep	sep
pâte	خمیر
pâte	چسباندن
pâte	خمیر
pâte	پالپ
papa	بابا
papa	پدر
papa	بابایی
papa	پاپا
florent	فلوران
ordinateurs	رایانه
ordinateurs	کامپیوتر
ordinateurs	کامپیوترها
ordinateurs	رایانه
ordinateurs	کامپیوتر
tables	میزهای
bassiste	بیسیست
bassiste	بیس
bassiste	باس
jessica	جسیکا
gang	گنگ
martial	رزمی
bouton	دکمه
toucher	لمس
toucher	تاچ
toucher	لمس
now	اکنون
now	الان
now	حالا
aoste	ائوستا
combattant	رزمنده
combattant	جنگنده
combattant	مبارز
combattant	مبارزان
tropicale	گرمسیری
fossiles	فسیلی
fossiles	فسیل
citadelle	ارگ
plastique	پلاستیک
plastique	پلاستیکی
décider	تصمیم
menaces	تهدید
menaces	تهدیدات
menaces	تهدیدها
menaces	تهدیدهای
menaces	تحدید
menaces	تهدید
ventre	شکم
ventre	بلی
ventre	شکمش
ventre	شکم
ventre	معده
forestier	جنگلداری
forestier	فارست
forestier	جنگل
forestier	جنگلی
identiques	همسان
identiques	منطبق
mécaniques	مکانیک
mécaniques	مکانیک
mécaniques	mechanical
mécaniques	مکانیکی
plages	بیچ
plages	ساحل
plages	سواحل
mayence	ماینتس
intérim	موقت
intérim	موقت
intérim	موقتی
prestige	حیثیت
missionnaire	دینیه
rico	ریکو
protestant	پروتستان
spirituel	معنوی
spirituel	روحانی
priorité	اولویت
constitutionnelle	مشروطه
rivalité	رقابت
valentin	والنتین
valentin	والنتاین
valentin	ولنتاین
problématique	مشکل
problématique	مسئله
problématique	مشکلی
danseuse	رقصنده
danseuse	dancer
danseuse	رقاص
earth	زمین
violent	خشن
violent	خشونت
démon	شیطان
démon	خبیث
démon	اهریمن
constructeurs	سازندگان
constructeurs	بنّا
constructeurs	تولیدکنندگان
constructeurs	سازندگان
arcades	آرکید
madonna	مدونا
sourire	لبخند
sourire	تبسم
sourire	بخند
sourire	لبخند
sourire	لبخندهای
carrés	مربع
carrés	میدان
sommeil	خوابم
sommeil	خواب
sommeil	خوابیدن
sommeil	خفته
sommeil	خواب
digne	باوقار
digne	لایق
digne	شایسته
saoudite	عربستان
contenus	محتویات
contenus	رضایت
contenus	خرسند
contenus	محتوای
contenus	محتوا
contenus	محتویات
chirurgien	جراح
défi	چالش
consulat	کنسولگری
schmidt	اشمیت
indigènes	بومی
indigènes	بومی
cinéaste	فیلمساز
magnifique	زیباست
magnifique	زیبا
magnifique	خوشگل
magnifique	قشنگ
magnifique	باشکوه
magnifique	تنش
magnifique	خوشگله
magnifique	مجلل
classic	کلاسیک
classic	classic
chances	احتمال
chances	احتمالات
hôpitaux	بیمارستان
hôpitaux	بیمارستانی
hôpitaux	بیمارستان
hôpitaux	بیمارستانها
ukrainien	اوکراینی
amanda	آماندا
afro	افرو
tigers	ببرهای
tigers	ببرها
démontrer	تظاهرات
intellectuels	روشنفکران
intellectuels	روشنفکری
intellectuels	عقلانی
intellectuels	روشنفکر
intellectuels	فکری
périodique	دورهای
périodique	متناوب
périodique	گاهنامه
entente	کارتل
stevens	استیونس
stevens	استیونز
précieux	گرانبها
précieux	ارزشمند
indication	نشانه
installent	نصب
danube	دانوب
centenaire	صدساله
centenaire	سنتنیال
centenaire	صدساله
donjon	سیاهچال
donjon	سیاهچال
croissant	رشد
croissant	صعودی
croissant	عروج
jul	jul
animée	پویانمایی
animée	کارتونی
animée	انیمیشن
amant	lover
légal	مجاز
légal	قانونی
légal	حقوقی
incapable	ناتوان
batman	بتمن
tibétain	تبتی
tibétain	تبت
carmen	کارمن
jungle	جنگل
jungle	جنگلی
assomption	فرض
assomption	پندار
assomption	گمان
condamnation	محکومیت
condamnation	اعتقاداتش
condamnation	محکومیت
condamnation	راسخ
légitime	مشروع
légitime	قانونی
let	بزار
biodiversité	زیستی
lys	لیلی
lys	لیس
rail	ریل
cou	نک
cou	گردن
accidents	تصادفات
accidents	حوادث
blois	بلوآ
kazakhstan	قزاقستان
spectre	طیف
spectre	اسپکتر
transcription	رونویسی
nouvellement	جدیداً
violoniste	گنبدی
achille	آکیله
achille	آشیل
tag	برچسب
tag	تگ
publicitaire	تبلیغات
publicitaire	تبلیغاتی
publicitaire	آگهی
sandra	ساندرا
hésite	تامل
hésite	مردد
datée	مورخ
élémentaire	پایه
élémentaire	پکیج
élémentaire	بیسیک
élémentaire	ابتدایی
élémentaire	مقدماتی
rohan	روهان
procédures	روشها
terminal	ترمینال
terminal	پایانه
explorer	اکتشاف
explorer	کاوش
explorer	کاوش
explorer	کاوشگر
explorer	اکسپلورر
partition	پارتیشن
partition	افراز
partition	نمره
partition	امتیاز
couples	زوجهای
considérant	خوانی
ana	ana
reconnus	تصدیق
plastiques	پلاستیک
plastiques	پلاستیکی
violation	تخلف
violation	نقض
violation	رخنه
violation	نقض
rappel	یادآوری
rappel	پند
rappel	تذکر
rappel	یادآور
plats	مسطح
plats	فلت
plats	ظرفها
plats	ظروف
plats	غذاهای
neuchâtel	نوشاتل
cameron	کمرون
miracle	معجزه
gène	ژنها
gène	ژن
gène	ژنی
formés	تشکیل
cfa	cfa
deutsche	دویچه
anarchiste	آنارشیست
indo	ساسانیان
graphiques	گرافهای
graphiques	نگاره
graphiques	graphic
graphiques	نگارهای
graphiques	گرافیک
graphiques	گرافیکی
monétaire	پولی
charlemagne	شارلمانی
monique	مونیک
parallèles	موازی
créature	موجودی
créature	مخلوق
créature	جانوری
accusations	اتهام
accusations	اتهامات
accusations	اتهام
accusations	اتهاماتی
apporté	آورده
apporté	آوردن
négatif	نگاتیو
négatif	منفی
juger	داوری
juger	قاضی
résidents	مقیم
résidents	ساکن
résidents	رزیدنت
résidents	اقامت
résidents	ساکنین
résidents	یاران
provoqué	تحریک
opérateurs	تکمیلی
toiles	پارچه
toiles	نقاشیهای
martínez	مارتینز
albanie	آلبانی
thé	چای
thé	چایی
unit	یگان
unit	یکای
unit	واحد
unit	یکا
connexion	اتصال
connexion	ارتباط
connexion	اتصال
connexion	وصل
connexion	اتصال
connexion	متصل
briques	آجرهای
briques	آجر
briques	بریک
briques	آجر
briques	آجری
opinions	نظرات
opinions	عقاید
opinions	عقیده
tranche	برش
brothers	برادرهای
brothers	برادران
brothers	برادرها
bonnet	بونه
bonnet	کاپوت
partisan	پارتیزان
partisan	یاور
dumas	دوما
coque	هال
coque	بدنه
cloud	ابری
cloud	ابر
boutique	فروشگاه
boutique	خرید
boutique	فروشی
boutique	مغازه
boutique	shop
boutique	بوتیک
boutique	دکان
boutique	فروشگاه
boutique	ذخیره
knight	شوالیه
knight	نایت
colloque	سمپوزیوم
suspendu	تعلیق
suspendu	معلق
suspendu	معلق
felix	فلیکس
felix	فیلیکس
under	تحت
under	زیر
mare	ماره
mare	دریای
mare	مره
exigences	نیازها
exigences	نیازهای
exigences	خاسته
exigences	تقاضا
homonyme	همنام
castro	کاسترو
inventé	اختراع
sidney	سیدنی
ténor	تنور
aveugle	کور
aveugle	نابینا
ferry	فری
ferry	معبر
ferry	گذرگاه
espionnage	جاسوسی
espionnage	جاسوس
segment	قطعه
roulant	غلتان
roulant	رولینگ
tabac	دخانیات
tabac	تنباکو
tabac	توتون
scalemajor	scalemajor
palace	کاخ
palace	قصر
libérale	لیبرال
libérale	آزادیخواه
timeaxis	timeaxis
étendre	گسترش
étendre	جفا
étendre	بسط
monarque	مونارچ
réunions	جلسات
nbc	nbc
butler	باتلر
tissus	پارچه
tissus	پارچه
spencer	اسپنسر
connecticut	کنتیکت
afficher	نمایش
afficher	نما
afficher	نمای
dominante	غالب
dominante	سلطه
dominante	تسلط
sélectionnés	برگزیده
pensez	فکر
forcé	اجباری
forcé	اجبار
solde	میزان
solde	تعادل
solde	توازن
solde	موازنه
récolte	برداشت
récolte	خرمن
récolte	برش
gustav	گوستاو
oregon	اورگان
oregon	اورگن
apprécié	دوست
apprécié	پسندید
apprécié	ارج
apprécié	ارز
apprécié	مقبول
cape	کیپ
cape	شنل
cape	دماغه
diff	تفاوت
infos	اطلاعات
infos	اطلاعات
infos	معلومات
artificielle	مصنوعی
voyageur	سرنشین
voyageur	مسافر
voyageur	مسافری
voyageur	رهگذران
voyageur	مسافر
traitements	درمانهای
leslie	لزلی
leslie	لسلی
serpents	مارهای
serpents	مارها
serpents	ماره
serpents	مار
entourage	همراهان
entourage	دارودسته
cuir	چرمی
cuir	چرم
reporter	گزارشگر
imagesize	imagesize
utah	یوتا
serie	سری
carnaval	کارناوال
location	اقساط
condamnés	محکوم
condamnés	محکوم
cacher	پنهان
come	بیا
come	بیاید
intrigue	دسیسه
plotarea	plotarea
kentucky	کنتاکی
schneider	اشنایدر
ned	ند
probabilité	احتمال
probabilité	احتمال
probabilité	احتمالات
académique	دانشگاهی
académique	آکادمیک
académique	تحصیلی
roll	رول
accusation	اتهام
accusation	کیفرخواست
accusation	پیگرد
châssis	اسکلت
châssis	شاسی
responsabilités	مسولیت
responsabilités	مسئولیتی
responsabilités	مسئولیت
responsabilités	مسولیت
responsabilités	مسئولیتی
responsabilités	مسئولیت
lyrique	lyric
lyrique	غزلی
lyrique	شعر
lyrique	شعرای
gain	منفعت
laser	لیزر
laser	لیزری
minimale	کمترین
minimale	کمینه
minimale	کمترین
minimale	کمینه
noté	میزان
sauvetage	نجات
nina	نینا
doigts	انگشتان
doigts	انگشت
doigts	انگشتش
doigts	انگشت
doigts	فینگر
convoi	کاروان
atterrissage	فرود
blaise	بلز
encre	جوهر
encre	مرکب
progressiste	پیشرو
invitation	دعوت
invitation	دعوت
invitation	دعوتنامه
technologique	فناوری
technologique	تکنولوژی
souffre	رنج
cercles	دایره
arche	آرخه
arche	آرک
arche	آرچ
arche	arch
arche	طاق
collaborateurs	همدستان
collaborateurs	کارمندان
collaborateurs	کارکنان
collaborateurs	کارمند
viaduc	بولوزون
viaduc	viaduc
gravures	حکاکی
gravures	حک
émergence	ظهور
émergence	پیدایش
gratuit	free
gratuit	آزادی
gratuit	رایگان
gratuit	آزاده
gratuit	آزاد
alabama	آلاباما
stan	استن
holstein	هولشتاین
escalade	صعود
claudia	کلودیا
allusion	تلمیح
allusion	اشاره
allusion	راهنمایی
alla	آلا
mécanismes	مکانیسم
mathilde	ماتیلدا
mathilde	ماتیلدا
oslo	اسلو
bombardements	گذاری
bombardements	بمباران
bombardements	بمبگذاری
bombardements	بمباران
ice	یخ
ice	یخی
ice	یخبندان
ice	آیس
foncé	دارک
foncé	تاریک
foncé	تیره
wendy	وندی
hôtes	میهمانان
hôtes	میهمان
hôtes	مهمانان
ricardo	ریکاردو
rhodes	رودز
caché	پنهان
caché	مخفی
klein	کلین
klein	کلاین
mrc	rcm
mrc	mrc
cincinnati	سینسیناتی
ltd	ltd
cyril	سیریل
judith	جودیت
carol	کرول
carol	کارول
rita	ریتا
établis	تمکین
dupont	دوپونت
massive	مسیو
massive	حجیم
online	online
online	برخط
online	آنلاین
visites	برسد
visites	بازدید
visites	تور
visites	تورهای
albanais	آلبانیایی
head	هد
head	سر
pub	میخانه
pub	میکده
portland	پورتلند
acceptée	پذیرفت
acceptée	پذیرفته
julius	جولیوس
julius	ژولیوس
mitterrand	میتران
sacrifice	قربانی
sacrifice	فدا
sacrifice	ذبح
sacrifice	فداکاری
socialisme	سوسیالیسم
impasse	بلاتکلیفی
adrian	ادرین
adrian	آدریان
adrian	آدرین
dialecte	گویش
dialecte	ایرونی
dialecte	گویشهای
juventus	یوونتوس
juventus	juventus
genèse	پیدایش
genèse	جنسیس
guerriers	جنگجویان
réservée	رزرو
sabre	سیبر
sabre	سایبر
sabre	سایبر
sabre	صابر
sabre	شمشیر
offert	امانت
loups	گرگها
loups	گرگ
loups	وولف
loups	گرگه
loups	ولف
damien	دیمین
damien	دامین
damien	دامیان
frise	فریسلاند
itinéraire	جهت
itinéraire	مسیرها
itinéraire	مسیر
itinéraire	سفرنامه
pertinence	اقتضاء
complexité	پیچیدگی
zhang	ژانگ
zhang	شانگ
rechercher	جستجو
fondations	پایه
fondations	پایه
fondations	بنیاد
béatrice	بئاتریس
jonas	جوناس
jonas	یونس
natal	ناتال
antoinette	آنتوانت
distinctes	متمایز
hector	هکتور
exacte	دقیق
exacte	دقیق
casa	کاسا
shaw	شا
shaw	شاو
accompagner	همراهی
accompagner	همراه
papiers	کاغذ
papiers	کاغذها
papiers	اسناد
papiers	کاغذ
pêcheurs	ماهیگیر
pêcheurs	ماهیگیران
pêcheurs	ماهیگیر
vecteur	بردار
créent	ایجاد
grange	گرینج
grange	انبار
grange	طویله
break	بشکند
break	استراحت
break	شکستن
choisis	برگزیده
choisis	انتخاب
statuts	احکام
statuts	اساسنامه
malcolm	مالکوم
fonda	فوندا
dommage	ترحم
dommage	افسوس
dommage	شرم
dommage	رسوا
dommage	خجالت
dommage	صدمه
dommage	آسیب
slovaque	اسلواکی
moldavie	مولدووا
moldavie	مولداوی
armés	مسلح
armés	مجهز
script	دستنوشته
détention	بازداشت
ward	وارد
bastia	باستیا
matthieu	ماتیو
matthieu	متیو
matthieu	مَت
chaux	chaux
chaux	آهک
chaux	لایم
crête	ریج
crête	اوج
crête	قله
crête	کرست
textile	پارچه
planche	الوار
planche	پلانک
planche	بورد
planche	تخته
pionnier	پیشگام
pionnier	پایونیر
assise	نشستن
assise	نشسته
assise	آسیزی
assise	نشسته
assise	نشستم
assise	نشست
assise	نشستند
assise	بلندای
perche	لوتی
perche	پرچ
wehrmacht	ورماخت
sables	شن
sables	سند
sables	ماسه
sables	شنی
sables	سندز
mystique	مرموز
mystique	عرفانی
mystique	اسرارآمیز
mystique	صوفی
mystique	میستیک
proposés	خواستگاری
proposés	پیشنهادی
dirigées	جهتدار
dirigées	هدایتی
lotus	لوتوس
lotus	نیلوفر
fischer	فیشر
innocent	بیگناهی
innocent	بیگناه
innocent	معصوم
parking	پارکینگ
leclerc	لکلر
boule	بال
boule	توپ
comportements	رفتارها
comportements	رفتاری
comportements	سیرت
comportements	رفتار
leçons	درسهای
leçons	دروس
leçons	درس
locomotives	locomotives
locomotives	محرکه
locomotives	لوکوموتیو
paraguay	پاراگوئه
oran	اوران
rodríguez	رودریگز
rodríguez	رودریگز
ruth	روت
ruth	روث
expressions	عبارتهای
expressions	عبارتهای
tactique	تاکتیکهای
tactique	تاکتیک
tactique	رزم
tactique	تاکتیک
tactique	تاکتیکی
fondamentale	بنیادی
fondamentale	اساسی
balzac	بالزاک
originaux	اصیل
originaux	اصلی
originaux	اوریجینال
vera	ورا
nocturne	نوکتورن
boeing	بوئینگ
newton	نیوتون
newton	نیوتن
armstrong	آرمسترانگ
alonso	آلونسو
phrases	عبارتهای
phrases	جملات
jambes	پاهایش
jambes	نوازش
jambes	پاها
jambes	پا
jambes	پای
jambes	پاش
jambes	ساق
jambes	پا
cracovie	کراکوف
dissoute	منحل
transit	گذر
transit	عبور
transit	عبوری
sensibilité	حساسیت
épidémie	شیوع
soulèvement	خیزش
atomique	اتمی
oreille	خوشه
gil	گیل
défenseurs	مدافعان
ambiance	اتمسفر
ambiance	حالت
ambiance	حوصله
ambiance	امبینت
céréales	حبوبات
céréales	غلات
pts	pts
confirmer	مصدق
confirmer	تصدیق
confirmer	تایید
confirmer	تأیید
confirmer	تصدیق
diminuer	کاهش
diminuer	کاهشی
coréenne	کره
coréenne	کرهای
coréenne	کره
intermédiaires	میانجی
intermédiaires	واسطه
intermédiaires	میانی
intermédiaires	واسطه
obstacles	موانع
obstacles	موانعی
obstacles	موانع
délégués	محول
délégués	نمایندگان
délégués	واگذاری
délégués	نماینده
cherbourg	شربورگ
habsbourg	هابسبورگ
équipés	مجهز
voté	رای
voté	رأی
chalon	شلون
anatomie	تشریح
anatomie	آناتومی
voltaire	ولتر
rogers	راجرز
occurrence	رخداد
santo	سانتو
vérification	حسابرسی
vérification	وارسی
vérification	تصدیق
renouvellement	نوسازی
renouvellement	بازسازی
renouvellement	تجدید
corrèze	کورز
plumes	پر
plumes	پرم
plumes	پر
plumes	پرهای
entrepreneur	کارآفرین
entrepreneur	پیمانکاری
entrepreneur	پیمانکار
martín	مارتن
martín	مارتین
municipaux	شهری
généalogie	genealogical
généalogie	تبارشناسی
oricon	oricon
jung	جونگ
jung	یونگ
jamie	جمی
psychanalyse	روانکاوان
psychanalyse	روانکاوی
vagues	موجی
vagues	امواج
vagues	موجها
népal	نپال
cérémonies	مراسمی
cérémonies	تشریفات
martyr	شهید
assassin	آدمکش
conversation	گفتگو
conversation	مکالمه
conversation	گفتگوی
associées	مرتبط
associées	وابسته
bactéries	باکتریهای
bactéries	باکتری
bactéries	باکتریها
véronique	ورونیکا
biographies	بیوگرافی
biographies	بایوس
chuck	چاک
faillite	ورشکستگی
faillite	ورشکسته
faillite	ورشکستگی
kyoto	کیوتو
invisible	نامریی
invisible	نامرئی
invisible	غیب
invisible	ناپیدا
cambodge	کامبوج
réacteur	راکتور
réacteur	رآکتور
légumes	سبزیجات
légumes	سبزیجات
niger	نیجر
prose	نثر
vain	بیهوده
caserne	سربازخانه
caserne	آتشنشانی
mexicaine	مکزیک
mexicaine	مکزیکی
weber	وبر
cédric	سدریک
intervalle	فاصله
quarantaine	قرنطینه
concurrents	رقیب
symptômes	علائم
estimations	برآورد
estimations	تخمین
estimations	برآورد
estimations	برآورد
estimations	تخمین
