хлеб	roti
домашнее	homemade
лесных	hutan
лесных	forest
никитин	nikitin
поколений	generasi
поколений	generations
македония	makedonia
кондратьев	kondratiev
утверждено	disetujui
волос	hair
волос	rambut
создатели	pembuat
покрытия	sampul
покрытия	cover
покрытия	penutup
покрытия	tutupi
покрытия	coating
ферма	farm
ферма	perkebunan
ферма	peternakan
ферма	ladang
ферма	pertanian
произносится	diucapkan
грозный	grozny
условие	syarat
условие	kondisi
объединять	gabungkan
объединять	menggabungkan
португальский	portugis
низкий	rendah
низкий	low
никуда	nowhere
древесины	kayu
древесины	wood
уменьшить	kurangi
уменьшить	mengurangi
уменьшить	kurangi
уменьшить	mengurangi
уменьшить	menurun
уменьшить	berkurang
уменьшить	penurunan
уменьшить	mengecilkan
уменьшить	menyusut
типичный	khas
типичный	tipikal
геолог	geologis
мобильных	mobile
мобильных	seluler
мобильных	ponsel
мобильных	handphone
получены	diterima
азота	nitrogen
усовершенствования	perbaikan
усовершенствования	penyempurnaan
дань	upeti
мозг	otak
мозг	otak
поднял	dibesarkan
поднял	mengangkat
поднял	dibangkitkan
бред	brad
бред	delirium
бред	delusional
бред	berkhayal
бред	delusi
дэнни	dimas
дэнни	danny
секция	daerah
секция	bagian
секция	seksi
десятка	ten
десятка	sepuluh
десятка	lusin
десятка	lusinan
десятка	selusin
десятка	belasan
нацистской	nazi
господин	mister
господин	dominus
богатых	rich
богатых	kaya
сау	sau
биология	biologi
акулы	hiu
акулы	hiu
диалектов	dialek
сложность	kesukaran
сложность	kesempitan
сложность	kesusahan
сложность	kesulitan
сложность	kerumitan
сложность	kompleksitas
прибытия	kedatangan
осло	oslo
расписание	jadwal
расписание	jadwal
введено	diperkenalkan
введено	memperkenalkan
введено	dikenalkan
квантовой	quantum
квантовой	kuantum
джонатан	jonathan
снималась	berbintang
снималась	membintangi
оперативного	sigap
оперативного	prompt
разрыв	putus
разрыв	kesenjangan
разрыв	celah
разрыв	gap
греки	yunani
греки	greek
греки	yunani
проявления	manifestasi
проявления	manifestasi
богослов	teolog
эволюция	evolusi
эволюция	evolution
подписания	menandatangani
подписания	penandatanganan
подписания	tandatangan
подписания	signature
леонардо	leonardo
сеньор	senor
сеньор	señor
сеньор	signor
сеньор	senor
сеньор	señor
водитель	supir
водитель	sopir
водитель	penggerak
водитель	driver
водитель	pengemudi
постоянная	permanen
постоянная	permanent
постоянная	constant
постоянная	konstanta
постоянная	konstan
монахов	biksu
монахов	biarawan
паоло	paolo
завоевать	taklukkan
завоевать	menaklukkan
вино	arak
вино	anggur
вино	wine
бокс	tinju
бокс	boxing
бокс	bertinju
рабов	budak
формируется	membentuk
боливии	bolivia
боливии	bolivia
комсомольская	komsomolskaya
популярная	populer
фрегезия	freguesia
желающие	berharap
желающие	pengambil
шейх	sheikh
шейх	syekh
шейх	syaikh
шейх	sheik
шейх	sheikh
шейх	syeikh
шейх	sheik
охлаждения	pendingin
охлаждения	pendinginan
охлаждения	mendinginkan
охлаждения	pendingin
охлаждения	pendinginan
путешественник	pengembara
путешественник	wisatawan
путешественник	musafir
путешественник	traveler
путешественник	pelancong
путешественник	wisatawan
путешественник	traveller
путешественник	musafir
гаити	haiti
арсенал	arsenal
отбор	seleksi
отбор	pemilihan
заменена	tergantikan
заменена	digantikan
заменена	diganti
автономии	otonomi
мадам	nyonya
мадам	madam
мадам	madame
молока	susu
молока	susunya
специалиста	spesialis
словари	kamus
длительность	durasi
окончательный	final
мера	ukur
мера	mengukur
департаменты	departemen
рекорды	catatan
рекорды	rekor
рекорды	records
меню	menu
меню	menunya
меню	menu
меню	enu
белград	belgrade
вилли	willy
вилли	willi
вилли	willie
хлеба	roti
куча	tumpukan
куча	timbunan
владельцев	pemilik
владельцев	pemiliknya
археологических	arkeologi
археологических	purbakala
сорока	forty
сорока	jalak
сорока	murai
сорока	magpie
соблюдать	amati
наталия	natalia
инициатором	inisiator
дерби	derby
глеб	gleb
голода	kelaparan
голода	lapar
голода	hunger
испанию	spanyol
ассамблеи	majelis
ассамблеи	assembly
ассамблеи	perakitan
ассамблеи	majelis
фернандес	fernandez
фернандес	fernández
фернандес	fernandes
снаружи	luar
снаружи	diluar
археолог	arkeolog
отмечена	ditandai
отмечена	ditandai
баскетбол	basket
баскетбол	basketball
константинополь	konstantinopel
гектаров	hektar
предпочтение	preferensi
предпочтение	mengistimewakan
предпочтение	disukai
предпочтение	diutamakan
общение	komunikasi
общение	berkomunikasi
встретились	met
встретились	bertemu
джефф	geoff
джефф	jeff
абд	abd
луч	beam
луч	balok
луч	sinar
противоречия	kontradiksi
противоречия	kontradiksi
аст	ast
амстердам	amsterdam
эми	amy
эми	adinda
эми	airlangga
антуан	antoine
цветок	bunga
цветок	flower
философские	filosofis
частная	swasta
частная	privat
частная	private
частная	pribadi
цру	cia
цру	pkb
цру	cia
цру	cla
калия	kalium
ленте	pakan
ленте	feed
ленте	kabar
ленте	umpan
морган	morgan
прокурор	jaksa
мигель	miguel
равных	sama
равных	setara
равных	sederajat
равных	setara
равных	sederajat
коммуне	komune
сомали	somalia
сомали	somalia
арк	arc
арк	busur
арк	ark
арк	bahtera
арк	tabut
чай	teh
чай	tea
этапы	tahapan
этапы	langkah
этапы	tonggak
родственники	kerabat
доверие	keyakinan
доверие	percayai
доверие	kepercayaan
доверие	trust
доверие	percaya
интерьер	interior
уничтожено	dihancurkan
уничтожено	hancur
уничтожено	dimusnahkan
уничтожено	menghancurkan
мэтт	matt
блоки	blok
блоки	pemblokiran
блоки	blokir
михаэль	michael
михаэль	mikail
аргентинский	argentina
хью	hugh
леопольд	leopold
склоне	kemiringan
склоне	lereng
сер	sir
сер	pak
сер	tuan
нормальная	biasa
нормальная	normal
нос	hidung
нос	nose
произношение	pengucapan
наследника	pewaris
наследника	waris
пит	pete
пит	piet
адама	adam
адама	adama
ионизации	ionisasi
уверенно	yakin
абрамович	abramovich
кукол	boneka
луций	lucius
зерна	gandum
зерна	bijian
марг	marg
еврейские	yahudi
габриэль	gabriel
габриэль	jibril
габриэль	gabrielle
дракон	dragon
дракон	naga
тенденции	trend
тенденции	kecenderungan
тенденции	tren
монархии	monarki
пекин	beijing
девочек	cewek
девочек	girls
девочек	gadis
дарья	darya
дарья	daria
жозе	jose
жозе	josé
жозе	josé
поставки	pasokan
поставки	suplai
поставки	memasok
поставки	supply
поставки	pengiriman
поставки	pasokan
поставки	perlengkapan
поставки	persediaan
грудь	chest
грудь	dada
грудь	payudara
грудь	dada
грудь	breast
грудь	payudara
грудь	dada
новиков	novikov
интересует	tertarik
интересует	berminat
интересует	minat
бросил	terbengkalai
бросил	ditinggalkan
бросил	ditelantarkan
бросил	dicampakkan
самолет	pesawat
самолет	aircraft
самолет	pesawat
самолет	plane
самолет	pesawat
картер	carter
противостояние	konfrontasi
противостояние	oposisi
противостояние	penyanderaan
противостояние	kebuntuan
изабелла	isabel
изабелла	isabella
союзники	sekutu
заговора	persekongkolan
заговора	konspirasi
противники	lawan
противники	lawannya
тула	tula
грузинская	georgia
расчёт	kalkulasi
расчёт	perhitungan
расчёт	penghitungan
расчёт	hitung
расчёт	menghitung
расчёт	perhitungkan
хотела	buronan
хотела	diinginkan
хотела	dicari
хотела	wanted
чудо	marvel
чудо	mukjizat
чудо	miracle
чудо	keajaiban
чудо	heran
чудо	wonder
юристы	pengacara
четвёртая	keempat
рак	kanker
редкие	langka
редкие	rare
редкие	jarang
доходы	pendapatan
доходы	pendapatan
доходы	penghasilan
доходы	pemasukan
доходы	income
миссури	missouri
алматы	almaty
первоначальный	inisial
поддерживается	didukung
поддерживается	mendukung
потребления	konsumsi
женское	feminim
женское	feminin
женское	kewanitaan
женское	permpuan
женское	female
женское	betina
женское	perempuan
университеты	universitas
вместимость	kapasitas
венесуэла	venezuela
заговор	plot
заговор	alur
заговор	makar
заговор	persekongkolan
заговор	konspirasi
добавлен	menambahkan
добавлен	ditambahkan
монтаж	montase
монтаж	mengaitkan
монтаж	mengait
монтаж	menyunting
монтаж	editing
монтаж	penyuntingan
монтаж	mengedit
программирование	programming
программирование	pemrograman
защищал	dipertahankan
священников	imam
вселенная	universe
вселенная	semesta
панели	panel
панели	dasbor
панели	dashboard
панели	dpa
панели	panel
бизнесмен	pebisnis
бизнесмен	pengusaha
резерва	reservasi
зимние	winter
бич	beech
бич	beach
бич	pantai
оливер	oliver
слышал	mendengar
слышал	heard
слышал	didengar
макаров	makarov
сун	mentari
сун	matahari
сун	sun
горький	gorky
горький	pahit
горький	dongkol
горький	kepahitan
удобно	nyaman
удобно	nyaman
удобно	nyaman
удобно	handy
удобно	berguna
лёгкие	paru
лёгкие	lung
лёгкие	paru
послание	pesan
препарат	obat
препарат	narkoba
произведено	dihasilkan
произведено	diproduksi
океании	oseania
скрипка	violin
скрипка	biola
избежание	menghindari
избежание	penghindaran
молекулы	molekul
молекулы	molekul
скрипач	fiddler
азербайджанская	azerbaijan
допускается	diizinkan
допускается	diijinkan
допускается	diperbolehkan
допускается	diizinkan
допускается	diijinkan
романович	romanovich
формах	formulir
формах	forms
формах	form
формах	bentuk
собраний	majelis
померания	pomerania
терминологии	terminologi
монреаль	montreal
вены	pembuluh
вены	urat
вены	vena
вены	wina
бонус	bonus
бонус	bonusnya
ирак	irak
стамбул	istanbul
кнессета	knesset
гнездо	sarang
гнездо	nest
индию	india
стратегия	strategi
специальность	spesialisasi
специальность	khusus
специальность	spesialisasi
важная	jga
важная	penting
холокоста	holocaust
никарагуа	nikaragua
массе	mass
массе	massa
массе	misa
представительство	perwakilan
представительство	representasi
местная	local
местная	lokal
порты	pelabuhan
порты	port
сообщили	dilaporkan
сообщили	melaporkan
перес	peres
перес	perez
перес	pérez
реагирует	bereaksi
маркус	marcus
маркус	markus
адъютант	ajudan
энрике	enrique
энрике	henrique
уничтожен	dihancurkan
уничтожен	hancur
уничтожен	dimusnahkan
уничтожен	menghancurkan
розы	roses
розы	mawar
национальностей	kewarganegaraan
национальностей	kebangsaan
батарей	baterai
визит	kunjungi
визит	kunjungan
визит	mengunjungi
празднования	perayaan
уругвай	uruguay
готова	ready
готова	siap
виконт	vicomte
виконт	viscount
трактат	treatise
индиана	indiana
зайцев	zaitsev
пабло	pablo
канзас	kansas
цветной	berwarna
самолета	pesawat
самолета	aircraft
конференций	konferensi
разрушение	penghancuran
разрушение	pembongkaran
разрушение	penghancuran
разрушение	pengrusakan
разрушение	kehancuran
дина	deena
дина	dinah
дина	dina
дина	dina
обновления	pembaruan
обновления	update
