batalioni	گردان
jennifer	جنیفر
sferike	کروی
deutsche	دویچه
qëndresa	مقاومت
qëndresa	مقاومتی
qëndresa	مخالفان
mesazhet	پیامها
mesazhet	پیام
sicili	سیسیل
promovuar	ترفیع
ekzekutuar	اجرا
ekzekutuar	اعدام
mohuesit	کفار
sundimtari	حاکم
lehtësi	سهولت
lehtësi	آسانی
lehtësi	گشایش
fildishtë	عاج
bagëti	احشام
bagëti	چهارپایان
bagëti	گله
bronzi	برنز
bronzi	برنزی
bronzi	لرستان
alessandro	الساندرو
alessandro	آلساندرو
vitamina	ویتامینهای
vitamina	ویتامین
vitamina	ویتامین
vlefshëm	معتبری
vlefshëm	معتبر
ansambli	همای
dervishi	درویش
minierave	معدن
sql	sql
vizita	آباد
vizita	ملاقات
vizita	عیادت
vizita	بازدید
vizita	برسد
vizita	بازدید
ambasadori	سفیر
ambasadori	کبیری
mijëvjeçarit	هزاره
biologjik	زیستی
këngëtari	singer
këngëtari	خواننده
kokrra	حبوبات
kokrra	دانه
kokrra	گندم
abraham	آبراهام
abraham	قصّه
abraham	ابراهیم
gif	gif
gif	گیف
hollësi	جزئیات
hollësi	جزئیات
hollësi	جزییات
kornizë	چارچوب
kornizë	چهارچوب
kornizë	قاب
kornizë	چارچوب
kornizë	فریم
shkëlqyeshëm	عالی
shifër	شکل
zgjerim	گسترش
zgjerim	انبساط
zgjerim	بسط
zgjerim	تقویت
varreza	قبرستان
varreza	گورستان
varreza	قبرستان
dhjetori	دسامبر
sinjale	سیگنالهای
akuza	اتهامی
akuza	اتهامات
akuza	اتهام
akuza	اتهاماتی
akuza	پیگرد
pasurit	ثروتمند
pasurit	ثروتمندان
pasurit	پولدار
pasurit	پولداری
pasurit	غنی
pasurit	ریچ
kampet	اردوگاه
grimca	ذرات
grimca	ذرات
grimca	ذره
buke	نان
buke	نون
teme	مبحث
teme	موضوع
teme	چهره
teme	چهرۀ
teme	تم
historitë	داستان
historitë	داستانها
qëndruan	ماند
qëndruan	درنگ
federico	فدریکو
diplomë	زینه
diplomë	درجه
warren	وارن
përgatitje	آمادگی
përgatitje	تدارک
mbështeti	پشتیبانی
elementët	موارد
portugeze	پرتغال
portugeze	پرتغالی
portugeze	پرتقالی
nowrap	nowrap
faleminderit	تشکر
faleminderit	سپاس
faleminderit	ممنون
veprimtaritë	فعالیتها
aplikohet	کاربردی
aplikohet	صفت
eksperiencë	تجربه
vom	vom
paraqitën	عرضه
disiplina	انضباط
roza	رز
roza	رُز
roza	روسا
roza	روزا
roza	رز
roza	رزا
facto	facto
falur	بخشیده
falur	عفو
nota	مراتب
nota	نمره
ndezur	گرم
violinë	ویولون
violinë	ویلن
violinë	ویولن
posti	پست
posti	پستی
posti	post
gjenevë	ژنو
polar	قطبی
motivet	انگیزش
led	led
led	رفاقت
ajax	آژاکس
produkti	فرآورده
produkti	محصول
produkti	ضرب
produkti	حاصل
shoqatë	انجمن
kara	کارا
sekondë	دوم
sekondë	ثانیه
sekondë	دومی
nam	نم
nam	nam
absolut	خاست
absolut	ستمگر
absolut	مطلق
tregjet	بازارها
tregjet	بازارهای
meksikane	مکزیک
meksikane	مکزیکی
prokurorisë	پیگرد
londra	لندن
londra	london
mbërriti	رسیدن
mbërriti	آمد
mbërriti	رسید
ishe	بودند
monarkisë	شهریاری
mesatarja	متوسط
mesatarja	میانگین
zëvëndësues	جایگزینی
zëvëndësues	جایگزین
verbër	کور
verbër	نابینا
palëve	پهلو
marka	براند
marka	برند
mbiemër	وابسته
mbiemër	صفت
russell	راسل
dave	دیو
maha	ماها
mig	میگ
ilustruar	مثلی
vreshta	تاکستان
përshtatje	تنظیم
përshtatje	تعدیل
përshtatje	اقتباس
përshtatje	سازگاری
sugjerojnë	پیشنهاد
hondurasi	هندوراس
urtë	خردمند
urtë	حکیمی
urtë	حکیم
urtë	فرزانه
jehonë	پژواک
jehonë	پژواک
jehonë	اکو
krijim	آفرینش
krijim	ایجاد
krijim	خلقت
nelson	نلسون
formacion	تشکیل
dhënien	اهدا
shpëtimi	نجات
shpëtimi	رستگاری
gamë	گستره
gamë	گسترۀ
luka	لوکا
strukturore	ساختاری
strukturore	سازهای
ngrirë	منجمد
rheinland	راینلاند
valid	ولید
zhytur	افتد
malli	مادۀ
malli	دلخواه
tcp	tcp
dëgjon	شنود
autorizuar	مجاز
autorizuar	مجاز
oksigjen	اکسیژن
lagja	همسایه
lagja	همسایگی
lagja	محله
lagja	هود
pazari	بازار
pazari	بازار
pazari	shopping
pazari	خرید
mbretëreshë	queen
mbretëreshë	ملکه
mbretëreshë	بیبی
vale	واله
vale	موج
vale	موجی
budist	بودایی
gsub	gsub
vrimë	سوراخ
vrimë	حفره
vrimë	گودال
drejtuesi	بلندگو
drejtuesi	سخنگوی
drejtuesi	اسپیکر
drejtuesi	سخنگو
islandë	ایسلند
sovran	دایملر
oklahoma	اکلاهما
kopshti	مهدکودک
kopshti	کودکستان
kopshti	مهدکودک
kopshti	باغچه
kopshti	باغ
kopshti	گاردن
kopshti	بهشت
sulmuesit	حمه
festat	تعطیلات
festat	اعیاد
femijet	کودکان
femijet	فرزندان
femijet	اطفال
enrique	انریکه
junior	جونیور
stambolli	استانبول
aleancës	ائتلاف
aleancës	وصلت
aleancës	اتحاد
kontekstin	متن
debate	مناظره
asllan	اصلان
asllan	aslan
kontinentin	قاره
dhelpra	فاکس
dhelpra	روباه
aeroport	فرودگاه
neolitike	نوسنگی
mësimdhënies	تدریس
mësimdhënies	آموزش
dyqan	فروشگاه
dyqan	خرید
dyqan	فروشی
dyqan	مغازه
dyqan	shop
dyqan	فروشگاه
dyqan	ذخیره
pemët	درخت
pemët	درختان
pemët	درختها
andy	اندی
bundesliga	بوندسلیگا
qafën	نک
qafën	گردن
integrim	یکپارچگی
zanetti	زانتی
portat	گیت
portat	گیتس
rrethuese	اطراف
rrethuese	احاطه
rrethuese	پیرامون
trazirave	شورش
halit	هالیت
guetta	گتا
banim	مقیم
kabinetit	کابینه
kabinetit	کابینت
disiplinë	انضباط
danez	دانمارکی
danez	دانمارک
këshill	شورای
këshill	شورا
këshill	انجمن
pllakë	پلاک
pllakë	لوح
jusufi	یوسف
jusufi	یوزف
jusufi	ژوزف
jusufi	جوزف
ernesto	ارنستو
braktis	رها
pole	قطب
pole	تیرک
mermeri	مرمر
mermeri	تیله
futja	معرفی
futja	مقدمه
futja	اشنایی
futja	آشنایی
futja	معرفی
vala	والا
vala	ولا
vala	موج
vala	موجی
dëmshme	مضر
ndryshueshme	متغیر
ndryshueshme	متغیرها
danubit	دانوب
ble	خریدار
ble	خریداری
kebek	کبک
kebek	کبک
derri	خوک
chi	خی
chi	chi
besën	عهد
besën	پیمان
drejtësia	عدالت
drejtësia	عدل
motörhead	موتورهد
konkret	بتون
konkret	بتن
metali	متال
metali	فلز
metali	فلزی
mëkat	گناه
mëkat	sin
mëkat	گناهی
integrimi	یکپارچگی
aplikimi	کاربردی
aplikimi	کاربرد
kalit	اسب
mbetje	مانده
malmö	مالمو
tipar	ویژگی
maximilian	ماکسیمیلیان
athina	آتن
nderim	وطنم
nderim	خراج
balli	پیشانی
balli	پیشونی
balli	پیشانیش
bindje	محکومیت
bindje	راسخ
protokoll	قرارداد
protokoll	پروتکل
protokoll	قراردادهای
protokoll	قراردادها
skocia	اسکاتلند
kinematografisë	فیلمبرداری
opozitës	اپوزیسیون
opozitës	مخالف
opozitës	مخالفین
opozitës	مخالفت
momentet	لحظاتی
momentet	لحظات
trasha	ضخیم
trasha	کلفت
këmbës	قوزک
louise	لوئیز
louise	لوییز
vuan	رنج
shalë	زین
jeff	جف
alla	آلا
lan	لان
gjeorgjia	گرجستان
gjeorgjia	جورجیا
kartela	پوشه
tezën	تز
përgatiti	مهیا
mrekullitë	معجزات
mrekullitë	معجزه
mrekullitë	شگفتیهای
mrekullitë	عجایب
sfera	کرهای
sfera	گوی
sfera	اورب
skenar	احداث
skenar	سناریوی
skenar	سناریو
skenar	دستنوشته
arkansas	آرکانزاس
ann	ان
komercial	الاهلی
komercial	تجاری
pretendon	ادعا
pretendon	تظاهر
nigeri	نیجر
nigeri	نیجریه
interesa	علایق
interesa	دلبستگی
interesa	منافع
isère	ایزر
gjashtëmbëdhjetë	sixteen
gjashtëmbëdhjetë	شانزده
ema	اِما
shpikur	اختراع
pazakontë	غیرعادی
kompjuterin	رایانه
kompjuterin	کامپیوتر
miqësi	دوستی
miqësi	رفاقت
umar	عمر
strehë	پناهگاه
strehë	پناه
strehë	پناهگاه
strehë	محراب
strehë	حرم
strehë	هاون
strehë	هون
strehë	هیون
pronarët	صاحبان
rini	جوانی
rini	جوانان
rini	lag
benz	بنز
benz	benz
nebraska	نبراسکا
aisne	ازن
koment	توضیح
koment	نظر
modifikuar	تغییریافته
shprehin	اکسپرس
bernardo	برناردو
mundesi	شانس
mundesi	فرصت
kuaj	اسبان
kuaj	اسب
kuaj	اسبها
koalicionit	ائتلاف
spitali	بیمارستان
spitali	بیمارستانی
ndalur	مکث
ndalur	ایستاد
sergio	سرجیو
sergio	سرخیو
sllovakia	اسلواکی
larry	لری
larry	لاری
maji	می
maji	مه
maji	تا
maji	انداختند
maji	شاهکار
atomi	اتم
boshnjake	بوسنی
zbulohet	کشف
zbulohet	رونمایی
dialog	محاوره
dialog	محاوره
dekorative	تزئینی
dekorative	زینتی
ser	سِر
misri	ذرت
misri	میخچه
misri	حبوبات
carmen	کارمن
rrotullohet	چرخیدن
rrotullohet	چرخان
lagësht	مرطوب
lagësht	مرطوب
lagësht	خیس
frymëzim	الهام
aziatike	آسیایی
aziatike	آسیا
sjelljet	رفتارها
sjelljet	آداب
sjelljet	ادب
aristoteli	ارسطو
mbledh	جمع
syrin	چشم
syrin	چشمی
agimi	داون
agimi	طلوع
agimi	سحرگاه
agimi	سپیده
trimëri	دلیری
trimëri	دلاوری
paraardhësi	اسبق
paraardhësi	جد
paraardhësi	اجداد
paraardhësi	نیاکان
mises	میزس
siperfaqe	سطح
siperfaqe	سطحی
dollari	دلار
dollari	دالر
que	que
fleta	لغزش
fleta	کتیبه
fleta	طومار
fleta	ملافه
pajisja	دستگاهی
pajisja	دستگاهها
pajisja	وسیله
pajisja	دستگاه
laike	سکولار
fronit	دافین
buda	بودا
buda	بودا
fragment	برگزیده
senator	سناتور
dimensione	ابعاد
vula	مهر
vula	بکوب
vula	تمبر
vula	پایت
vula	مُهر
vula	مهر
vula	مهری
ankara	آنکارا
tamil	تامیل
vittorio	ویتوریو
buta	ملایم
buta	نرمه
buta	نرمی
buta	سافت
buta	نرم
jasht	بیرون
jasht	برون
vrasin	بکش
vrasin	بکشی
vrasin	بکشم
vrasin	کشتن
përqëndruar	متمرکز
përqëndruar	متمرکز
përqëndruar	تمرکز
vita	vita
kronikë	کرونیکل
arra	آجیل
arra	گردو
prilli	اپریل
prilli	آوریل
lepuri	خرگوشی
lepuri	خرگوش
karta	کارتها
karta	ورق
karta	کارتهای
karta	منشور
karta	چارتر
karta	کارت
karta	ورق
gruri	گندم
vehbi	وهب
komedian	کمدین
pafajshëm	بیگناهی
pafajshëm	بیگناه
pafajshëm	معصوم
liberal	لیبرال
liberal	آزادیخواه
fetë	ادیان
fetë	مذاهب
flori	طلای
flori	gold
flori	طلا
flori	طلایی
flori	گلد
flori	زرین
mushkërive	ریه
mushkërive	لونگ
mushkërive	لانگ
buffon	بوفون
zvogëlohet	خواص
komision	تصدی
komision	کمیسیون
talenti	استعداد
talenti	استعدادها
talenti	استعداد
talenti	ذکاوت
talenti	استعدادها
oskar	اسکار
oskar	اسکار
pluhur	باروت
pluhur	پودر
pluhur	غبار
pluhur	خاک
hamza	حمزه
vrasjet	قتلهای
mbushura	پرشده
rrushi	انگور
rrushi	انگور
rrushi	انگوری
qajar	قاجار
strategjik	راهبردی
strategjik	استراتژیک
argjentinas	آرژانتین
argjentinas	آرژانتینی
xml	xml
pacientët	بیمارها
pacientët	بیماران
zyrtarët	افسران
zyrtarët	مقامات
kontaktet	مخاطبین
domate	گوجه
zhdukjen	انقراض
pronari	مالک
pronari	صاحب
pronari	صاحبش
pronari	مالکش
papua	پاپوآ
pjes	جزء
pjes	قسمت
pjes	پارت
performanca	عملکرد
performanca	اجرا
performanca	کارایی
vizitohet	بازدید
zhvillimeve	تحولات
catherine	کاترین
kristian	کریستین
kristian	کریستیان
kristian	مسیحی
kristian	کریستن
nilit	نیل
roshi	روشی
troje	تروجان
fra	فرا
binar	دوتایی
binar	دودویی
destinacion	مقصد
detyrimeve	تعهدات
detyrimeve	قراردادها
kapituj	سوره
kapituj	فصلها
përafërt	تقریبی
bursa	بورسا
bursa	داسی
sundues	فرمانروایان
sundues	حاکمان
heshtur	صامت
heshtur	سایلنت
heshtur	خاموش
heshtur	خموش
mbeturina	زباله
komik	کمدی
komik	کمیک
komik	مصور
rituale	مناسک
qershori	ژوئن
qershori	june
zëvendësohet	جایگزین
ieee	ieee
adresën	آدرس
adresën	نشانی
armiq	دشمنان
namaz	نماز
namaz	دعا
roje	نگهبانان
roje	گارد
roje	نگهبانی
roje	گارد
ujku	گرگ
ujku	وولف
ujku	گرگه
ujku	ولف
odiseu	اودیسه
blerjen	خریدار
blerjen	خرید
blerjen	خریداری
deklaratën	اعلام
deklaratën	اعلان
toma	توما
walker	واکر
walker	والکر
qelizë	سلول
qelizë	یاخته
jahja	یحیی
unix	یونیکس
prerje	قطع
prerje	برش
prerje	کات
prerje	بریدگی
nice	خوبی
nice	قشنگ
nice	قشنگه
atmosfera	اتمسفر
pranimin	پذیرفتن
pranimin	پذیرش
pranimin	قبولی
pranimin	پذیرش
pranimin	پذیرفتن
pranimin	پذیرش
macedonia	مقدونیه
nigeria	نیجریه
nigeria	نیجر
aksionet	انبارها
aksionet	سهام
aksionet	سهم
aksionet	اشتراک
aksionet	سهام
nguyễn	نگوین
telegram	تلگرام
hija	سایه
hija	شادو
kolonia	کلونی
kolonia	مستعمره
rrënja	ریشه
rrënja	ریشه
rroba	لباسها
rroba	لباس
rroba	لباسهای
gas	گاس
gas	گس
gas	گاز
harku	آرچ
harku	arch
harku	طاق
harku	تعظیم
harku	سجده
harku	کمان
harku	باو
virtuale	مجازی
gjuhëtar	زبانشناس
mistike	مرموز
mistike	عرفانی
mistike	اسرارآمیز
mistike	صوفی
mistike	میستیک
bankë	بنک
bankë	بانک
harqe	کمان
mbrenda	داخل
mbrenda	درون
mbrenda	درونت
nënshkrimi	امضا
nënshkrimi	امضای
nënshkrimi	امضا
internacionale	اینترنشنال
internacionale	بینالمللی
internacionale	جهانی
bishti	تیل
bishti	دم
bishti	دمش
vezët	تخم
mio	میو
shtrirjes	تراز
charlie	چارلی
çaji	چای
çaji	چایی
murcia	مورسیا
duhani	دخانیات
duhani	تنباکو
duhani	توتون
dhomat	چمبرز
dhomat	اتاقها
dhomat	اتاقهای
dhomat	اتاق
mjeti	ابزار
mjeti	خودرو
mjeti	ماشین
duheshin	لازم
duheshin	نیاز
pragë	پراگ
pranimi	پذیرش
pranimi	پذیرفتن
pranimi	پذیرش
pranimi	قبولی
pranimi	الحاق
rekordi	ضبط
dikë	یکی
dikë	کسی
xhepa	جیب
krenari	پراید
krenari	غرور
krenari	تکبر
limit	حد
limit	محدود
limit	محدودیت
efektiv	مؤثر
efektiv	موثر
ulje	تخفیف
ulje	کاهش
ulje	فرود
doc	داک
substancë	مادهای
substancë	اموال
bisedime	مذاکره
matt	مَت
lehtësuar	برطرف
baltë	گِل
baltë	ماد
baltë	خاکه
baltë	خاکی
baltë	خاک
ndjekësit	پیروان
tur	طور
tur	تور
tur	tour
sofje	سوفیا
zall	شن
zall	سند
zall	ماسه
zall	شنی
maliq	مالک
hrsg	hrsg
alberta	آلبرتا
hotspur	هاتسپر
virus	ویروس
kuptuarit	عقل
asim	عاصم
çek	چک
çek	چکی
territorial	ارضی
portokalli	پرتقال
portokalli	نارنجی
portokalli	اورنج
antigua	آنتیگوا
utype	utype
margarita	مارگاریتا
margarita	مارگاریتا
rrotullimi	چرخش
bisedë	گفتگو
bisedë	مکالمه
bisedë	گفتگوی
bisedë	گپ
bisedë	گپی
dekorata	تزئین
dekorata	جوایز
xhon	جان
xhon	یوحنا
detajet	جزئیات
djathë	پنیر
mëkatet	گناهان
angazhimin	تعهد
angazhimin	التزام
balkan	بالکان
protesta	تظاهرات
protesta	اعتراض
protesta	اعتراضات
protesta	اعتراضی
protesta	اعتراضات
qeramikës	سرامیک
dobishëm	مفید
oferta	بید
oferta	توجیه
oferta	پیشکش
oferta	پیشنهاد
oferta	تقدیم
level	تراز
level	لول
level	سطح
hekurudha	ریل
host	میزبان
operacion	عملیات
operacion	عمل
operacion	جراحی
shkretëtira	کویر
shkretëtira	بیابان
shkretëtira	بیابانی
shkretëtira	صحرا
shkretëtira	اعراب
faisal	فیصل
salihu	صالح
salihu	صالح
sinonim	مترادف
mubarak	مبارک
mubarak	mubarak
kujtesa	خاطره
kujtesa	حافظه
kujtesa	حافظۀ
biografinë	بیوگرافی
biografinë	تذکره
biografinë	زندگینامه
argjend	نقره
argjend	سیمین
argjend	سیلور
giulio	جولیو
robinson	رابینسون
transformimi	تبدیل
transformimi	دگرگونی
përmbi	فراز
krim	جرم
krim	جرم
krim	جنایت
krim	جرایم
krim	جُرم
psikologjia	روانشناسی
plotësojnë	مکمل
plotësojnë	متمم
rrobat	رختشویی
rrobat	رخت
rrobat	لباسشویی
rrobat	لباسها
rrobat	لباس
rrobat	لباسهای
gëzimi	مسرت
gëzimi	شادی
gëzimi	جوی
gëzimi	شادمانی
gëzimi	خوشی
informuar	مطلع
informuar	آگاه
bibliotekë	کتابخانه
idea	ایده
portet	بنادر
analizuar	تحلیل
kalorësit	سواران
miti	افسانه
miti	اسطوره
zbulime	کشفیات
zbulime	اکتشافات
ice	یخ
ice	یخی
ice	یخبندان
ice	آیس
tvsh	خمره
identiteti	همانی
identiteti	هویت
padukshme	نامریی
padukshme	نامرئی
kurorën	کرون
kurorën	کراون
kurorën	تاج
tragjedi	تراژدی
botticelli	بوتیچلی
donatello	دوناتلو
udhëtime	مسافرت
udhëtime	travel
udhëtime	سفر
udhëtime	سفرها
udhëtime	سفر
udhëtime	مسافرت
antarë	اعضای
antarë	اعضا
dodona	دودونا
zbulim	اکتشاف
zbulim	دیسکاوری
zbulim	کشف
simboleve	نمادهای
simboleve	نمادها
uria	قحطی
uria	خشکسالی
uria	گرسنگی
nëntëmbëdhjetë	نوزده
nëntëmbëdhjetë	nineteen
primar	ابتدایی
primar	اصلی
primar	اولیه
saud	سعود
gard	گار
gjueti	شکار
vartësi	وابستگی
nokia	نوکیا
carrara	کارارا
mallra	کالاهای
mallra	کالا
mallra	اجناس
mallra	کالاها
dëshmorë	شهدا
dëshmorë	شهیدان
luna	لونا
fokusuar	متمرکز
fokusuar	تمرکز
shpërthim	انفجاری
shpërthim	انفجار
shpërthim	بلاست
shpërthim	دمیدن
shpërthim	خروش
shpërthim	انفجار
dele	گوسفند
dele	گوسفندی
pyetja	سؤال
pyetja	سوال
pyetja	پرسش
efikase	کارآمد
shpërthimi	بلاست
shpërthimi	دمیدن
shpërthimi	خروش
shpërthimi	انفجار
shpërthimi	انفجاری
shpërthimi	انفجار
angelo	آنجلو
hebrenj	یهود
hebrenj	یهودیان
hebrenj	یهودی
ngjeshur	فشرده
ftohet	سرما
ftohet	سرد
ftohet	سرماخوردگی
ndershëm	راستگو
ndershëm	صادقانه
ndershëm	صادق
ndershëm	صادقی
ndershëm	امین
ming	مینگ
armene	ارمنیان
armene	ارمنی
alejandro	آلخاندرو
ekzistues	موجود
lidhi	پیوند
ekologjike	اکولوژیکی
luli	لولی
rërë	شن
rërë	سند
rërë	ماسه
rërë	شنی
lutjet	پوزش
lutjet	دعا
lutjet	نماز
lutjet	نیایش
lutjet	دعایی
bello	بیو
mençur	باهوش
mençur	اسمارت
mençur	زرنگی
mençur	هوشمند
mençur	زرنگ
mençur	هوشمندانه
vullnet	ویل
funksional	تابعی
benito	بنیتو
sinqertë	اخلاص
sinqertë	خالص
sinqertë	مخلص
sinqertë	خواهانم
sinqertë	راستگو
sinqertë	صادقانه
sinqertë	صادق
sinqertë	صادقی
sinqertë	امین
trans	trans
trans	ترانس
demografike	جمعیتی
gjalle	زنده
podgoricës	پودگوریتسا
mposht	شکست
peshkimi	ماهیگیری
ala	آلا
ala	الا
ala	ala
sarah	ساره
tokyo	توکیو
utah	یوتا
duhan	دخانیات
duhan	تنباکو
duhan	توتون
mouse	موش
mouse	موشی
mouse	ماوس
dëshmitar	ناظر
dëshmitar	شهادت
dëshmitar	شاهد
dëshmitar	شاهدی
dëshmitar	گواه
mbajtja	نگهداشتن
mbajtja	نگهداری
mbajtja	حفظ
opinion	نظر
opinion	پندار
opinion	گمان
burgjet	زندانهای
burgjet	زندانهای
burgjet	زندانها
murgjit	راهبان
vrasës	قاتل
vrasës	آدمکش
kinematografi	فیلمبردار
shtypura	سرکوب
episodi	قسمت
episodi	اپیزود
ekspert	متخصص
ekspert	کارشناس
ekspert	expert
yndyrë	چاقی
yndyrë	چربی
yndyrë	fat
yndyrë	چاق
yndyrë	تپل
kosto	هزینه
sha	شا
sha	sha
frymëmarrjes	تنفسی
letonia	لتونی
mahmut	محمود
zërat	صداها
zërat	صداهایی
zërat	صداهای
zërat	آوازها
normë	نرخ
rurouni	رورونی
trashëgimtar	وارث
kufizimet	محدودیتهای
kufizimet	محدودیتها
kufizimet	محدودیت
kufizimet	محدودیتهای
kufizimet	محدودیتهای
kufizimet	محدودیتها
kufizimet	محدودیت
gjykim	داوری
gjykim	قضاوت
gjykim	حکم
gjykim	حاکمیت
gjykim	قضاوت
gjykim	حکم
gjykim	قضاوتی
gjykim	داوری
procedurat	روشها
wie	wie
dhuna	خشونت
furrë	نانوایی
furrë	قنادی
furrë	کوره
furrë	فر
furrë	فره
furrë	اجاق
furrë	تنور
gana	غنا
kopshte	باغها
kopshte	باغ
kopshte	بوستان
kopshte	باغها
madhor	بزرگسالی
