heller	heller
camp	laager
camp	laagris
gefecht	lahing
campbell	campbell
mind	meel
mind	meele
mind	mõistus
mind	min
beine	jalad
anführer	liider
anführer	juht
anführer	leader
anführer	liidrid
anführer	juhid
techniken	tehnika
techniken	tehnikad
techniken	tehnikaid
asteroiden	asteroid
asteroiden	asteroidid
woher	kuidas
franco	franco
betrachtung	kontemplatsioon
überprüfung	läbivaatamine
überprüfung	ülevaatus
überprüfung	läbivaatus
überprüfung	kontrollimine
überprüfung	tõendamine
böden	muld
böden	põrandad
böden	mulla
böden	pinnas
böden	muld
option	variant
option	võimalus
option	valik
ägyptischen	egiptuse
lukas	luke
lukas	lucas
morgan	morgan
ständigen	alalise
ständigen	alalised
ständigen	alaline
ständigen	püsiv
bühnen	platvormide
bühnen	etapid
bühnen	lava
bühnen	staadium
bühnen	etapp
porsche	porsche
vermehrt	paljundatud
beurteilung	hindamine
beurteilung	hinnang
beurteilung	hindamine
beurteilung	hinnang
abgehalten	hoitud
flecken	plekid
flecken	paigad
flecken	täpid
japanisch	jaapani
japanisch	jaapanlased
sat	istusid
sat	istus
sat	sat
fliehen	põgenemine
fliehen	põgene
fliehen	põgenemine
stoffe	riie
stoffe	ained
erkenntnis	realiseerimise
erkenntnis	ettekujutus
erkenntnis	taju
château	château
fraglich	küsitav
fraglich	kahtlane
fraglich	kaheldav
steven	steven
parker	parker
empfangen	saadi
empfangen	saadud
empfangen	laekunud
empfangen	vastuvõtmine
bruders	vend
bruders	venna
diff	diff
pflicht	tollimaks
pflicht	kohustuslik
pflicht	kohustus
pflicht	kohustuslikud
pflicht	kohustuslik
pflicht	kohustuslikud
pflicht	kohustuslik
talent	anded
talent	andeid
talent	talent
talent	ande
talent	annet
fire	tuli
fire	tulekahju
fire	tuld
türkisch	türgi
nummern	numbrid
passagiere	reisijad
passagiere	reisija
passagiere	sõitja
passagiere	reisijate
generalsekretär	sekretär
schnellen	kiire
schnellen	kiiresti
wusste	teadis
wusste	teadsid
wusste	teadsin
bahnen	raudteed
bahnen	raudteede
bahnen	rajad
bahnen	rongid
theologische	teoloogilisi
theologische	teoloogia
thompson	thompson
konstantinopel	konstantinoopol
konstantinopel	istanbuli
henriette	henrietta
four	neli
dichtung	luule
dichtung	pitser
dichtung	pitsat
hinreichend	piisav
hinreichend	piisavad
hinreichend	adekvaatselt
theoretisch	teoreetiline
theoretisch	teoreetiliselt
theoretisch	teooria
robinson	robinson
decken	laed
decken	tekke
decken	tekid
decken	kata
decken	katke
decken	katta
decken	katma
hop	hop
legend	legend
legend	legendi
persönlicher	isiklik
persönlicher	isiklikud
wünsche	sooviks
wünsche	soov
wünsche	soovi
wünsche	soovib
wünsche	soove
wünsche	soovides
dennis	dennis
nachbarn	naabrid
nachbarn	naaber
nachbarn	naabrid
nachbarn	naaber
ernährung	toitumine
ernährung	toitumise
ernährung	dieet
ernährung	toitumine
bologna	bologna
vergleichen	võrdlusi
vergleichen	võrdlemine
vergleichen	võrdle
vergleichen	diff
vergleichen	võrdlemine
vergleichen	võrdlemine
vergleichen	võrdlus
björn	björn
björn	björn
lebensweise	elustiil
gestrichen	kustutatud
gestrichen	kustutanud
gestrichen	tühistatud
gestrichen	katkestatud
gestrichen	värvitud
gestrichen	maalitud
gestrichen	kaotati
gestrichen	tühistatud
gestrichen	katkestatud
kolumbien	columbia
kolumbien	kolumbia
kolumbien	colombia
verabschiedet	lapsendatud
verabschiedet	vastuvõetud
verabschiedet	adopteeritud
geistliche	preester
geistliche	vaimne
geistliche	hingeline
geistliche	preestrid
geistliche	vaimulikud
download	allalaadimine
dublin	dublini
dublin	dublinis
gabriele	gabriele
fantasy	fantaasia
anerkannte	tunnustatud
anerkannte	tunnustatud
anerkannte	tunnistas
anerkannte	tunnustatud
springen	hüpe
springen	hüpe
springen	hüppavad
springen	hüppamine
interessierte	huvilistel
interessierte	huvitatud
aktivität	tegevus
aktivität	aktiivsus
ära	ajastu
ära	era
luigi	luigi
annehmen	eeldada
annehmen	eeldame
annehmen	lepi
annehmen	nõustu
annehmen	nõus
genügt	piisab
gedruckt	trükitud
abteilungen	osakonnad
abteilungen	rajoonid
abteilungen	vaheseinad
abteilungen	osakonnad
störungen	rikked
störungen	sekkumine
störungen	häired
ken	ken
sportarten	sportlik
sportarten	sport
sportarten	spordiala
sportarten	sport
sportarten	spordi
halbe	pool
louisiana	louisiana
erläutert	selgitas
erläutert	selgitati
erläutert	selgitatud
erläutert	selgitab
erläutert	seletab
zeitlich	ajastatud
nachweisbar	tõendatav
taiwan	taiwan
taiwan	taiwanis
taiwan	taiwani
kritischen	kriitiline
kritischen	kriitilised
obergeschoss	ülakorrusel
obergeschoss	üleval
vorzeitig	enneaegselt
vorzeitig	enneaegne
sturz	kukutada
sturz	kukub
sturz	falls
sturz	langeb
sturz	kukkumine
sturz	kuku
erweiterten	suurenenud
erweiterten	laienenud
aufzeichnungen	records
aufzeichnungen	salvestisi
aufzeichnungen	salvestused
amazon	amazon
teilgenommen	osales
teilgenommen	osalenud
teilgenommen	osales
teilgenommen	osalesid
befestigt	lisatud
administrative	haldus
shakespeare	shakespeare
forst	metsanduse
forst	metsandus
forst	mets
forst	metsa
hang	kalle
hang	riputada
stadtmauer	seinad
beantwortet	vastas
beantwortet	vastasid
beantwortet	vastasid
beantwortet	vastatud
labor	laborid
labor	laboratoorsed
labor	laboratooriumi
labor	labor
labor	laboratoorium
labor	lab
labor	labor
samstag	laupäev
samstag	laupäeval
samstag	laupäeviti
lehmann	lehmann
classic	klassika
classic	klassikalised
classic	classic
classic	klassikaline
wirtschafts	majanduslik
hiermit	käesolevaga
herausragende	väljapaistev
herausragende	silmapaistev
herausragende	tasumata
med	med
oberste	ülim
schwäbisch	schwäbisch
berühmt	kuulsad
berühmt	kuulus
berühmt	kuulsus
berühmt	kuulsus
restaurierung	taastamine
restaurierung	renoveerimine
restaurierung	taastamine
jonas	jonas
jonas	joonas
jonas	jonah
umzug	ümberpaigutamine
umzug	liigutamine
umzug	liigub
umzug	kolimine
umzug	paraadi
umzug	paraad
umzug	eemaldamine
umzug	kõrvaldamine
niedrigen	madal
niedrigen	madala
niedrigen	madalad
ski	suusa
weichen	lülitid
ansprechen	vastus
ansprechen	reageering
ansprechen	reageerimine
gezielt	suunatud
gezielt	sihikindlalt
held	hero
held	kangelane
erhöhung	suurenemine
erhöhung	suurendamine
erhöhung	suurenda
erhöhung	kõrgus
erhöhung	reljeefi
wüste	kõrb
wüste	kõrbed
verkauften	müüdud
adolph	adolph
polizisten	politseinikud
polizisten	politsei
polizisten	ohvitserid
polizisten	politseinik
mhz	mhz
uci	uci
carter	carter
princeton	princetoni
latein	ladina
tschechische	tšehhi
fortgesetzt	jätkamine
fortgesetzt	jätkub
fortgesetzt	jätkati
fortgesetzt	jätkus
fortgesetzt	jätkuv
fortgesetzt	jätkas
politisches	poliitilised
politisches	poliitiline
atlanta	atlanta
atlanta	atlantas
hip	hip
hip	puus
hip	puusa
antwerpen	antwerpeni
kaiserslautern	kaiserslautern
invasion	sissetungi
invasion	sissetung
antonius	anthony
antonius	antonius
muhammad	muhammad
gegenwärtig	hetkel
gegenwärtig	praegu
northern	põhja
julian	julian
nil	niiluse
selbständige	sõltumatud
selbständige	iseseisev
selbständige	sõltumatu
selbständige	sõltumatud
güterverkehr	kaubavedu
alternativen	alternatiiv
alternativen	alternatiive
alternativen	alternatiivid
sant	sant
altenburg	altenburgi
abc	abc
schaffung	loomine
schaffung	looming
flachen	madal
flachen	madalad
bestritten	vaidlustatud
kiew	kyiv
kiew	kiievi
hard	raske
hard	kõva
faust	faust
faust	rusikas
vita	vita
unverändert	muutumatu
unverändert	muutmata
evans	evans
interessante	huvitav
holding	hoidmine
ausserdem	samuti
ausserdem	ka
apple	õun
apple	apple
apple	õuna
schlage	soovita
schwanz	kiri
schwanz	sabad
schwanz	saba
schwanz	munn
schwanz	dick
schwanz	kukk
schwanz	riist
fisch	kalad
fisch	kala
fisch	kalad
thron	troon
thron	trooni
rapper	räpparid
rapper	räppar
ozean	ookeanide
ozean	ookeanid
ozean	ookean
konservatorium	konservatoorium
beteiligen	osale
beteiligen	osalema
untergrund	substraat
redundanz	koondamise
redundanz	koondamine
senior	vanem
cooper	cooper
rechner	kalkulaator
rechner	arvutid
rechner	peremees
rechner	võõrustaja
rechner	vastuvõtva
rechner	saatejuht
rechner	arvuti
rechner	kalkulaatorid
schubert	schubert
brigitte	brigitte
barry	barry
bahnhöfe	jaamade
bahnhöfe	jaamad
brüdern	vennad
patent	patent
patent	patentide
webseiten	koduleht
webseiten	veebileht
webseiten	veebisait
webseiten	kodulehekülg
webseiten	veebi
webseiten	alade
knochen	kondid
knochen	luud
knochen	luude
knochen	luud
knochen	kont
knochen	luu
knochen	luude
veb	veb
posen	poznańi
posen	posen
rechtlich	juriidiliselt
rechtlich	legaalselt
rechtlich	seaduslikult
rechtlich	õiguslikult
pionier	pioneer
pionier	pioneerid
type	tüüp
blütezeit	õitsemist
blütezeit	õitsevad
blütezeit	bloom
rumänischen	rumeenia
metz	metz
harold	harold
brothers	vennad
tests	katsetused
tests	katsed
tests	testid
tests	katsed
tests	testimine
tests	katsetamine
entfernten	pult
ausgehen	kohtamas
ausgehen	kohtamine
ausgehen	käimine
ausgehen	välja
ausgehen	väljas
ausgehen	out
lebenslauf	õppekava
lebenslauf	elulugu
lebenslauf	jätka
sorgt	kindlustab
sorgt	tagab
sorgt	hoolib
läßt	tunnistab
staffeln	hooaega
alkohol	alkohol
alkohol	alkoholi
gene	gene
gene	geen
gene	geeni
gene	geenid
trasse	asukoht
trasse	rada
rechnen	aritmeetiline
rechnen	matemaatika
silva	silva
bemerkenswert	märkimisväärselt
bemerkenswert	märkimisväärne
bemerkenswert	märgatav
bemerkenswert	märkimisväärne
bemerkenswert	tähelepanuväärne
bemerkenswert	märkimisväärne
deutlicher	selgemaks
menschheit	inimlikkus
menschheit	inimkonna
menschheit	inimkond
menschheit	inimkond
ehre	au
ehre	au
ehre	hiilgus
öffentlicher	avalikkus
öffentlicher	avalik
öffentlicher	avalikud
toll	suure
toll	toll
christ	christian
christ	kristlane
christ	kristus
vorwort	eessõna
vorwort	eessõna
vergrößert	suurenenud
vergrößert	laienenud
tropischen	troopiline
miami	miami
shanghai	shanghai
mexico	mehhiko
bischofs	oda
bischofs	bishop
bischofs	piiskop
vertretung	esindus
vertretung	esindatus
vertretung	rep
vertretung	esindaja
fauna	fauna
fauna	metsloomade
abriss	lammutamine
protokoll	minutid
protokoll	protokoll
protokoll	log
protokoll	logi
protokoll	palke
athleten	sportlane
athleten	sportlased
lahn	lahn
teilnehmern	osalejad
teilnehmern	osalejaid
teilnehmern	osalejad
baker	pagar
baker	baker
ethnischen	etniline
copa	copa
konzipiert	kujundatud
konzipiert	disainitud
konzipiert	projekteeritud
konzipiert	kavandatud
breiter	laiemalt
breiter	laiem
breiter	laiema
breiter	laia
breiter	laiad
breiter	lai
breiter	laia
breiter	laiem
breiter	laiema
udo	udo
steuerung	kontroll
steuerung	tõrje
steuerung	kontroller
steuerung	valitsemine
steuerung	juhtimine
vortrag	loeng
vortrag	sõnavõtt
vortrag	kõne
vortrag	tutvustus
vortrag	esitus
vortrag	esitlus
vortrag	esitluse
vortrag	esitusviis
vortrag	räägi
vortrag	jutt
prinzipien	põhimõtted
dienstleistungen	teenused
lehrbuch	õpiku
comedy	komöödia
basketballspieler	korvpall
hansen	hansen
catherine	catherine
catherine	katariina
standorte	asukoht
standorte	asukohad
standorte	alade
aufteilung	jaotamine
aufteilung	eraldamine
aufteilung	jaotus
aufteilung	jaotamine
aufteilung	jaotus
aufteilung	jaotumine
aufteilung	jagamine
erwachsene	kasvanud
erwachsene	kasvatatud
erwachsene	täiskasvanud
erwachsene	täiskasvanu
erwachsene	täiskasvanud
werfen	viskamine
werfen	valatud
werfen	viska
werfen	visata
erfunden	leiutatud
erfunden	leiutas
mexikanischen	mehhiko
mexikanischen	mehhiklane
philosophen	filosoofid
philosophen	filosoof
frag	küsi
frag	küsige
dicke	paksud
dicke	paks
dicke	paksus
bodensee	bodensee
irischen	iiri
irischen	iirlased
ländlichen	maaelu
han	hani
han	han
vielfalt	mitmekesisust
vielfalt	mitmekesisuse
vielfalt	mitmekesisus
vielfalt	sort
vielfalt	sordi
wettbewerbe	võistlustel
wettbewerbe	võistlused
wettbewerbe	võistlused
wettbewerbe	võistlus
wettbewerbe	konkurss
heiraten	abielluda
heiraten	abiellu
heiraten	abielu
heiraten	pulm
heiraten	laulatus
heiraten	pulma
heiraten	pulmad
murray	murray
archäologe	arheoloog
austin	austin
stellungnahme	arvamus
zelle	rakk
zelle	lahter
zelle	rakkude
zelle	raku
zelle	lahtri
zelle	rakke
zelle	rakud
wälder	mets
wälder	woods
wälder	metsamaa
wälder	metsad
wälder	mets
wälder	metsa
schließung	sulgemine
schließung	lõpetamine
schließung	sulgemine
hierher	siin
ausgelöst	käivitatud
maßnahme	tegevus
maßnahme	võte
maßnahme	toiming
maßnahme	mõõt
maßnahme	abinõu
maßnahme	meede
chief	ülemus
chief	pealik
chief	ülem
echo	kaja
grundlegende	põhitõed
grundlegende	põhi
grundlegende	põhiline
professoren	professorid
geschmack	maitsed
geschmack	maitse
geschmack	maitse
geschmack	maitseb
porto	porto
konzentration	kontsentratsioonid
konzentration	kontsentratsioon
konzentration	koondumine
konzentration	keskendumine
konzentration	kontsentratsioon
interviews	vestlused
interviews	intervjuud
ansprüche	õigused
ansprüche	nõuded
ansprüche	väited
wiedervereinigung	kokkutulek
kabel	kaablid
kabel	kaabel
berner	bern
berner	berni
konzentrierte	koondunud
konzentrierte	kontsentreeritud
konzentrierte	keskendunud
keramik	keraamika
keramik	keraamilised
keramik	keraamika
keramik	keraamika
bismarck	bismarck
monika	monica
monika	monika
flensburg	flensburgi
pakistan	pakistan
pakistan	pakistani
grant	grant
angemeldet	teavitatud
angemeldet	teatatud
brasilianischen	brasiilia
löwe	lõvi
löwe	leo
gerechtfertigt	põhjendatud
gerechtfertigt	õigustatud
gerechtfertigt	õigustatud
melodie	meloodia
melodie	melody
melodie	viisi
canadian	kanada
beratung	nõuanded
beratung	nõuanne
beratung	nõu
beratung	nõustamise
beratung	konsulteerimine
beratung	nõustamine
beratung	nõustamine
bäumen	puid
bäumen	puud
boeing	boeing
beschäftigung	tööhõive
externe	välised
externe	välise
externe	väline
orientierung	orientatsiooni
prinzen	printsid
prinzen	vürst
prinzen	prints
prinzen	prince
mängel	puudused
mängel	puudujäägid
mängel	puudused
mängel	nõrkused
mängel	puudused
medal	medal
portrait	portree
challenge	väljakutse
werten	väärtused
elektronischen	elektroonilised
elektronischen	elektrooniline
elektronischen	elektroonilisel
fachzeitschrift	päevik
salvador	salvador
saarland	saarimaa
saarland	saar
dakota	dakota
untergang	häda
untergang	doom
rache	kättemaks
rache	kättemaks
rache	kättemaks
dutzend	kümneid
dutzend	kümned
dutzend	tosinaid
dutzend	kümmekond
dutzend	tosin
egon	egon
control	kontroll
control	tõrje
südwest	edela
südwest	edela
vorwürfe	süüdistusi
vorwürfe	süüdistused
tiger	tiger
tiger	tiiger
finanziell	rahaliselt
finanziell	rahaline
finanziell	finants
finanziell	rahalised
finanziell	rahandus
beamter	ametlik
beamter	ametnik
beamter	ametnikud
beamter	politseinik
beamter	ohvitser
tiroler	tyrolean
allgemeines	üldine
allgemeines	kindral
allgemeines	üldist
allgemeines	üldised
wang	wang
liverpool	liverpooli
ringer	maadlejad
ringer	maadlus
ringer	maadleja
identifiziert	tuvastati
identifiziert	tuvastatud
identifiziert	identifitseeritud
behauptungen	nõuded
behauptungen	väited
behauptungen	väide
gerecht	õiglane
gerecht	aus
gerecht	laat
roll	rulli
roll	veere
broadway	broadway
zerstörte	hävinenud
zerstörte	hävitatud
zerstörte	hävinud
materie	mateeria
jason	jason
alaska	alaska
lies	loe
lies	lugemine
lies	loetud
soul	hinge
soul	hing
schaut	vaata
schaut	vaadake
naturwissenschaften	teadus
naturwissenschaften	teadust
barocke	barokk
vermitteln	suhtlemine
vermitteln	vahendada
matthew	matthew
argentinischer	argentina
argentinischer	argentiina
positiven	positiivsed
positiven	positiivse
positiven	positiivne
dunkle	tume
floh	põgenes
helene	helene
helene	helen
vogt	vogt
vogt	kohtutäitur
angela	angela
margarete	margaret
deutet	osutab
syn	syn
ruprecht	rupert
religionen	religioonid
religionen	usklik
religionen	religioosne
religionen	religioon
mitwirkung	kaasamine
mitwirkung	kaasatus
mitwirkung	osalus
mitwirkung	osalemine
freigegeben	vabanenud
freigegeben	vabastatud
freigegeben	puhastatud
head	pea
leonard	leonard
disney	disney
helm	tüüri
helm	kiiver
ruinen	varemed
entscheidenden	otsustav
weißer	kaukaasia
orientierte	orienteeritud
sky	sky
sky	taevas
afrikanischen	aafrika
köhler	köhler
zeitalter	vanused
zeitalter	ajastu
zeitalter	era
externen	välised
externen	välise
externen	väline
vision	nägemus
vision	visioon
vision	nägemine
auswertung	tõlgendus
auswertung	tõlgendamine
auswertung	hindamine
auswertung	hinnang
auswertung	analüüsi
auswertung	analüüs
jorge	jorge
kilogramm	kilogrammides
kilogramm	kilogrammi
kilogramm	kilogrammi
kilogramm	kilo
rumänischer	rumeenia
messung	mõõtmine
messung	mõõte
messung	mõõtmine
bassist	bass
schwert	blade
schwert	tera
schwert	mõõgad
schwert	mõõk
elsass	alsace
schlagen	peksa
schlagen	löömine
schlagen	peksmine
schlagen	peksmise
phoenix	phoenix
italia	italia
eisenach	eisenach
glaubens	faith
glaubens	usk
glaubens	usku
gewerkschaft	liit
gewerkschaft	liidu
gewerkschaft	ametiühingud
gewerkschaft	liidud
touristen	turistid
touristen	turist
vermute	oletada
oregon	oregoni
christina	christina
normen	normid
normen	standardid
ansässig	resident
ansässig	elanik
erkrankungen	haigused
erkrankungen	haigus
erkrankungen	haigused
erkrankungen	häired
agentur	agentuur
agentur	agentuuri
agentur	amet
agentur	emea
iwan	ivan
schreiber	kirjutaja
schreiber	schreiber
blüte	õis
blüte	õitsemist
blüte	lill
blüte	õis
blüte	lilleke
blüte	õitsevad
blüte	bloom
blüte	õitsev
punk	punk
ausländische	välismaised
ausländische	välismaa
dell	dell
digitalen	digitaalse
digitalen	digitaalne
joan	joan
enger	lähemale
enger	lähemal
enger	lähemalt
bremerhaven	bremerhaven
tabellen	lauad
tabellen	tabelid
überprüft	kontrollitud
überprüft	kontrollitud
überprüft	tõendatud
wahlperiode	seadusandlik
wahlperiode	seadusandja
einladung	kutsu
einladung	kutse
einladung	kutse
stadtverwaltung	omavalitsus
stadtverwaltung	vald
stadtverwaltung	omavalitsuste
legislaturperiode	seadusandlik
legislaturperiode	seadusandja
slowenien	sloveenia
disziplinen	distsipliini
disziplinen	distsipliin
disziplinen	distsipliinide
finnischer	soome
alltag	igapäevane
ausländischen	välismaised
ausländischen	välismaa
gesungen	laulis
gesungen	sang
gesungen	laulsid
gesungen	laulmine
gesungen	sung
jerry	jerry
türken	turk
türken	türklased
hawaii	hawaii
hawaii	havai
zeitweilig	ajutiselt
zeitweilig	ajutised
zeitweilig	ajutine
jules	jules
jährlichen	aastane
jährlichen	aastas
jährlichen	aastane
jährlichen	aastased
akademische	akadeemiline
akademische	akadeemilise
gelehrten	õpetlased
gelehrten	õpetlane
mine	minu
fachhochschule	polütehnikumis
überleben	ellujäämise
überleben	ellujäämine
überleben	ellujäämine
stimmung	meeleolu
stimmung	tuju
stimmung	häälestus
anpassung	kohandused
anpassung	korrigeerimine
anpassung	korrigeerimine
anpassung	kohandamine
anpassung	kohandus
anpassung	reguleerimine
anpassung	kohandamine
anpassung	kohandus
anpassung	kohanemine
flach	tasane
flach	lame
flach	madal
flach	madalad
entwickler	arendajad
entwickler	arendaja
schwedisch	rootsi
kostenlos	vabad
kostenlos	vaba
kostenlos	free
kostenlos	tasuta
under	all
individuen	üksikisikute
individuen	üksikisikud
tausende	tuhanded
tausende	tuhandetes
tausende	tuhandeid
anwesenheit	osalemine
anwesenheit	osavõtt
anwesenheit	kohalolek
anwesenheit	kohalolu
liedern	laulud
liedern	laule
israelischen	iisraeli
israelischen	iisrael
freude	nauding
freude	joy
freude	rõõmu
freude	rõõm
freude	õnn
freude	õnne
freude	rõõm
freude	nauding
prototyp	prototüüp
rotterdam	rotterdami
unterzeichnete	allkirjastatud
unterzeichnete	allkirjastanud
effekte	mõjud
effekte	mõju
effekte	toime
effekte	efekt
effekte	mõju
effekte	toime
gletscher	liustik
gletscher	liustikud
indische	india
indische	indiaanlane
erzähler	jutustaja
erzähler	jutuvestja
essay	essee
operationen	toimingud
operationen	operatsioonid
operationen	kirurgia
operationen	lõikus
operationen	operatsioon
haute	haute
homburg	homburg
montana	montana
kleinste	väikseim
kontinuierlich	pidevalt
kontinuierlich	pidev
kontinuierlich	pideva
wayne	wayne
gleise	platvormide
gleise	jäljed
gleise	rajad
erobert	vallutanud
erobert	vallutatud
erobert	vallutama
erobert	vallutada
klöster	kloostri
klöster	klooster
klöster	kloostrid
anfänge	algused
kaiserin	keisrinna
meier	meier
morris	morris
gertrud	gertrude
gertrud	gertrud
malte	värvitud
malte	maalitud
hitlers	hitler
pkw	autosid
pkw	autod
pkw	auto
pkw	car
größen	suurused
geographischen	geograafiline
geographischen	geograafilised
dnb	dnb
öffnung	avatus
öffnung	avamine
petra	petra
lateinisch	ladina
geschlossene	kinnine
geschlossene	suletud
betreuung	toetus
betreuung	tugi
betreuung	toetamine
betreuung	juhendamise
betreuung	järelevalve
betreuung	hooli
lebensmittel	toit
lebensmittel	toitu
lebensmittel	söök
lebensmittel	toidud
lebensmittel	toidukaubad
lebensmittel	toiduained
objektiv	objektiivi
objektiv	läätsed
objektiv	eesmärk
objektiv	läätsed
objektiv	objektiivselt
personenverkehr	reisija
personenverkehr	sõitja
personenverkehr	reisijate
geometrie	geomeetria
geometrie	geomeetriline
geometrie	geomeetria
bosnien	bosnia
now	nyyd
now	nüüd
zerstörer	hävitaja
wright	wright
sergei	sergei
sergei	sergei
wohnsitz	resident
wohnsitz	elanik
wohnsitz	elukoht
wohnsitz	elukoha
wohnsitz	elamine
alpha	alpha
alpha	alfa
studiert	uuritud
berkeley	berkeley
illustrationen	illustratsioonid
richtungen	suunad
richtungen	juhised
schnee	lumesadu
schnee	lumi
gerald	gerald
angel	angel
angel	ingel
vorgeschichte	tausta
vorgeschichte	taust
hartmut	doreen
funk	funk
troll	troll
troll	trollid
mythos	müüdi
mythos	müüt
schumacher	schumacher
schmalen	kitsas
schmalen	kitsad
schmalen	slim
stausee	tamm
stausee	järve
stausee	järv
stausee	lake
stausee	veehoidla
tenor	tenor
befehlshaber	komandant
befehlshaber	komandörid
befehlshaber	komandör
hochladen	üleslaadimine
hochladen	üleslaadimise
hochladen	üleslaadimine
sin	patu
sin	patt
begangen	pühendunud
ansätze	lähenemisviise
designer	disainer
wirft	tõstab
wirft	viskab
möge	mai
verstand	meel
verstand	meele
verstand	mõistus
fühlt	tundub
fühlt	tunneb
türen	väravad
türen	gates
türen	uksed
valentin	valentin
valentin	valentine
brandt	brandt
oklahoma	oklahoma
gerettet	päästetud
gerettet	päästetud
gerettet	salvestatud
gerettet	päästis
ignoriert	eiramine
ignoriert	ignoreeritakse
ignoriert	eirata
ignoriert	eiratakse
ignoriert	ignoreeritakse
überwachung	järelvalve
überwachung	järelevalve
überwachung	järelevalve
überwachung	jälgimine
überwachung	seire
überwachung	monitor
überwachung	monitori
überwachung	jälgida
überwachung	jälgija
überwachung	järelevalve
überwachung	järelevalve
achter	kaheksas
chinesisch	hiina
chinesisch	hiinlased
gerechtigkeit	õiglus
gerechtigkeit	õigusemõistmine
gerechtigkeit	õiglus
gerechtigkeit	omakapital
gerechtigkeit	omakapitali
folglich	järelikult
folglich	seetõttu
folglich	seepärast
bett	voodid
bett	voodi
vorarlberg	vorarlberg
verlangen	iha
verlangen	soov
verlangen	soovi
verlangen	nõudlik
schreibe	kirjutada
schreibe	kirjuta
schreibe	kirjutage
schreibe	kirjutamine
schreibe	kirjutamine
angemessen	sobiv
angemessen	asjakohane
angemessen	kohane
angemessen	sobilik
angemessen	piisav
angemessen	piisavad
angemessen	adekvaatne
angemessen	adekvaatselt
angemessen	mõistlik
angemessen	mõistlikud
dynamo	dünamo
drehen	pööre
drehen	pööra
drehen	pööramine
drehen	pöörleva
drehen	pööre
drehen	pööra
drehen	keera
angeben	täpsustada
dazwischen	vahel
venezuela	venezuela
experiment	eksperiment
astronom	astronoomid
astronom	astronoom
nina	nina
theoretische	teoreetiline
ingrid	ingrid
industriellen	tööstusliku
industriellen	tööstus
industriellen	tööstuslik
industriellen	tööstur
krüger	kruger
krüger	krüger
krüger	krueger
gerichtet	suunatud
gerichtet	adresseeritud
rechtswissenschaft	seadus
rechtswissenschaft	seadused
rechtswissenschaft	kohtupraktika
umwandlung	teisendamine
umwandlung	muundamise
umwandlung	teisendamine
umwandlung	ümberkujundamine
