luchador	lluitador
nominada	nominat
nominada	nominada
denuncia	informe
denuncia	denúncia
denuncia	queixa
decidir	decidint
decidir	decidir
frutas	fruit
frutas	fruita
frutas	fruites
frutas	fruits
periodos	períodes
obtenidos	obtingut
obtenidos	obtingudes
obtenidos	obtinguda
obtenidos	obtinguts
graham	graham
duquesa	duquessa
delito	crim
preocupación	inquietuds
preocupación	preocupació
metales	metall
metales	metal
metales	metalls
sufrir	patir
renfe	renfe
golf	golf
asistencias	assistències
creencias	creences
creencias	creença
baltimore	baltimore
stars	estels
stars	estrelles
reputación	reputació
party	party
party	partit
party	festa
norman	norman
humberto	humberto
humberto	humbert
humberto	umberto
humberto	hubert
participante	participant
conexiones	connexions
cumplimiento	acompliment
cumplimiento	compliment
aurora	aurora
quedarse	quedant
htm	htm
ámsterdam	amsterdam
potosí	potosí
efectiva	efectiu
constituyente	constituent
convertir	converteix
convertir	convertint
llanura	plain
levantamiento	aixecament
levantamiento	aixecant
hebreo	hebreu
propaganda	propaganda
desea	desig
desea	desitjos
thompson	thompson
jay	jay
secuela	seqüela
tributo	homenatge
placas	matrícules
placas	plaques
placas	distintius
placas	placa
estructural	estructurals
estructural	estructural
culpa	culpa
culpa	culpabilitat
concejales	regidors
singapur	singapur
singapur	singapore
secreta	secret
comerciantes	comerciants
comerciantes	concessionaris
bank	bank
bank	banc
meseta	altiplà
hamburgo	hamburg
ordenado	ordenat
ordenado	ordenat
ordenado	ordenada
pereira	pereira
proporción	proporció
proporción	ràtio
proporción	proporció
asociada	associada
asociada	associades
asociada	associat
interfaz	interfície
poniendo	posant
correa	corretja
correa	correa
correa	corretja
secretaria	secretària
secretaria	secretari
circuitos	circuits
circuitos	circuit
distribuye	distribueix
concacaf	concacaf
auxiliar	assistent
auxiliar	ajudant
auxiliar	auxiliar
auxiliar	auxiliars
minería	mineria
corteza	escorça
verso	vers
anónimo	anònim
anónimo	anonymous
anónimo	anònims
auge	llamps
auge	boom
encargo	encarregat
encargo	orde
encargo	ordre
sensación	sentiment
afluentes	afluents
afluentes	tributaris
suave	suau
suave	suaus
suave	soft
suave	suau
suave	lleus
suave	lleu
suave	gentil
constantes	constant
constantes	constants
viaja	viatja
cbs	cbs
suizo	suís
jamaica	jamaica
jamaica	jamaicà
sencilla	simple
sencilla	senzill
sencilla	fàcil
censura	censors
censura	censor
censura	censurar
censura	censura
rebelde	rebel
roll	rotllo
roll	roll
roll	rotlle
paco	paco
matías	mathias
matías	matías
matías	maties
matías	matthias
marítima	marítim
crimea	crimea
liberado	estrenat
liberado	estrenats
liberado	alliberat
liberado	alliberades
liberado	alliberada
narrativa	narració
narrativa	narrativa
narrativa	narració
gerente	gestor
encuesta	survey
encuesta	enquesta
encuesta	enquesta
encuesta	poll
afecta	afecta
afecta	afecten
afecta	afectar
enciclopédico	enciclopèdic
pokémon	pokémon
libertador	alliberador
generalidad	generalitat
generalidad	generalitat
efectivamente	efectivament
virreinato	virregnat
seca	secà
seca	seques
medir	mesura
asume	assumir
asume	assumeix
dieta	dieta
aparente	aparents
aparente	aparent
discusiones	discussions
discusiones	debats
discusiones	debat
discusiones	discussió
discusiones	arguments
stanley	stanley
panorama	panorama
realistas	realista
realistas	realistes
rin	rin
animada	animades
animada	animat
nativa	nadiu
nativa	natiu
intensa	intens
duelo	duel
legend	llegenda
legend	legend
seattle	seattle
rectangular	rectangular
acústica	acústica
acústica	acústic
innovación	innovació
hueso	os
administrativas	administratiu
administrativas	administratius
donald	donald
rincón	racó
rincón	cantonada
rincón	rincon
rincón	rincón
jacob	jacob
ordenador	ordinador
baño	vàter
baño	bany
seguros	assegurança
seguros	assegurances
correr	funcionant
correr	executa
correr	córrer
hms	hms
telecomunicaciones	telecom
telecomunicaciones	telecomunicacions
telecomunicaciones	telecomunicació
arequipa	arequipa
iris	iris
eventualmente	eventualment
maldonado	maldonado
ocupando	ocupant
cantando	cant
cantando	cantant
examen	revisió
examen	revisa
examen	examen
depósitos	magatzems
depósitos	embassaments
depósitos	dipòsits
depósitos	dipòsit
ocasionalmente	ocasional
ocasionalmente	ocasionalment
invitada	convidat
invitada	convidada
gov	gov
homer	homer
liverpool	liverpool
rap	rap
respondió	respost
respondió	respost
respondió	contestat
respondió	contestada
asistir	coadjuvar
asistir	assisteixen
asistir	assistir
turistas	turistes
turistas	turista
darío	darío
imdb	imdb
autobús	bus
autobús	autobús
actuando	actuant
anuncia	anunciar
confusión	confusió
lituania	lituà
lituania	lituània
tendencias	tendència
tendencias	tendències
tendencias	trending
secretos	secrets
secretos	secret
tommy	tommy
probabilidad	probabilitat
exhibición	exposició
provinciales	provincial
amistoso	simpàtica
amistoso	amistós
convenio	pacte
convenio	conveni
convenio	convenció
elaborado	elaborades
elaborado	elaborada
entretenimiento	entreteniment
entretenimiento	entertainment
temprano	primerenc
euphorbia	euphorbia
direcciones	indicacions
direcciones	direccions
direcciones	adreces
direcciones	adreça
soprano	soprano
now	ara
delitos	ofenses
delitos	crims
delitos	delictes
atletas	esportistes
atletas	atletes
sonic	sonic
semifinal	semifinals
semifinal	semifinal
asumir	assumir
espectro	wraith
espectro	espectre
espectro	spectre
serio	greus
serio	seriós
conducción	conducció
gobernantes	regles
gobernantes	governants
capacidades	habilitats
capacidades	capacitats
inteligente	smart
introducido	entrat
introducido	introduïdes
introducido	introduït
introducido	introduïda
introducido	introduïts
ficticio	fictici
manhattan	manhattan
concursos	concursos
concursos	competicions
concursos	concursos
cia	cia
cia	cia
abundantes	abundant
abundantes	abundants
dosis	dosificació
dosis	dosi
conocía	sabia
cubrir	portada
cubrir	caràtula
antártida	antàrtida
antártida	antàrtic
citas	cotitzacions
citas	nomenaments
citas	datació
aprobada	aprovades
aprobada	aprovat
aprobada	aprovada
aprobada	aprovats
investigar	investigar
filadelfia	filadèlfia
filadelfia	philadelphia
decidido	decidit
decidido	determinat
decidido	determinada
baden	baden
falso	fals
falso	false
falso	falses
falso	fals
falso	fake
jesuitas	jesuïta
enfrenta	confronta
humedad	humitat
atracción	atracció
jurídico	jurídic
jurídico	legal
jurídico	legals
tabasco	tabasco
formaciones	formacions
destruida	destruït
destruida	destruïda
testigo	testimoni
afluente	afluent
seguida	seguí
seguida	seguit
bros	bros
kilómetro	kilòmetre
kilómetro	milla
kilómetro	quilòmetre
bobby	bobby
lugo	lugo
reptiles	rèptil
reptiles	rèptils
logo	logotip
sustancia	substància
turística	turista
holandés	neerlandès
holandés	holandès
plus	plus
estocolmo	estocolm
estocolmo	stockholm
nasa	nasa
viendo	veient
viendo	mirant
mercurio	mercuri
mercurio	mercury
gilbert	gilbert
escobar	escobar
moléculas	molècules
regulación	regulació
regulación	reglament
regulación	reglamentació
sargento	sergent
alturas	alçàries
alturas	altures
alturas	alçades
creencia	creença
aterrizaje	aterratge
campbell	campbell
danny	danny
ventajas	prestacions
ventajas	beneficis
ventajas	gratificacions
ventajas	avantatges
martes	dimarts
requieren	exigeixen
requieren	requereixen
pretendía	destina
arsenal	arsenal
sociología	sociologia
nigeria	nigerià
nigeria	nigèria
constantinopla	constantinoble
extrema	extrem
extrema	extrema
extrema	extreme
gibraltar	gibraltar
consola	consola
sentimiento	sentiment
cargas	càrrecs
cargas	pujades
cargas	càrregues
complutense	complutense
trato	pacten
trato	ganga
trato	reparteix
trato	tracte
suficientes	prou
suficientes	suficient
when	quan
márquez	marquez
márquez	márquez
flash	flash
flash	flaix
place	lloc
place	place
proclamó	proclamat
proclamó	proclamada
proclamó	proclamades
proclamó	proclamats
non	non
reality	realitat
castillos	castells
fuga	fuga
fuga	escapar
fuga	fugida
fuga	fuga
fuga	escape
cleveland	cleveland
dorada	golden
dorada	or
dorada	gold
abuela	àvia
experto	perit
experto	expert
frontal	front
frontal	frontals
considerablemente	considerablement
borgoña	borgonya
huevo	ous
huevo	ou
tragedia	tràgic
tragedia	tragèdia
lagunas	llacunes
lagunas	buits
beta	beta
contaminación	contaminació
costera	costera
costera	costaneres
charlotte	charlotte
charlotte	carlota
azteca	azteca
azteca	asteca
patrones	pautes
patrones	patrons
patrones	mecenes
patrones	patró
boeing	boeing
transmisiones	transmissions
aliado	alió
aliado	aliat
enfrentar	confronten
ama	ama
ama	estima
ama	loves
literarios	literari
literarios	literària
literarios	literàries
luchó	lluitat
viejos	antic
mediodía	migdia
traducciones	traducció
traducciones	traduccions
pulgadas	polzada
pulgadas	polzades
arnold	arnold
ladrillo	maó
calvo	calvo
calvo	calvo
barbara	bàrbara
barbara	barbara
creer	creure
creer	estimant
compartir	compartint
compartir	compartir
compartir	compartició
compartir	comparteix
niñas	xiques
niñas	nenes
niñas	noies
niñas	girls
dependencia	dependència
detective	detectiu
probar	prova
probar	test
probar	prova
mónica	mònica
mónica	monica
mónica	mónica
arroyos	fluxos
arroyos	brooks
volante	flyer
sabio	sage
sabio	savis
sabio	savi
sabio	sàvia
budapest	budapest
beca	beca
cráneo	crani
velocidades	velocitats
gobernante	regle
gobernante	governant
madison	madison
caridad	benèfiques
caridad	caritat
leftarm	leftarm
llave	tecla
llave	clau
exclusiva	exclusiu
exclusiva	exclusiva
armados	armat
armados	armats
manuscritos	manuscrits
manuscritos	manuscrit
rivas	rivas
major	major
necesariamente	necessàriament
tve	tve
demonio	dimoni
demonio	devil
demonio	diable
demonio	dimoni
note	nota
carrillo	carrillo
reside	residir
reside	resideix
nazis	nazi
nazis	nazis
valdivia	valdivia
luisiana	louisiana
televisa	televisa
malo	bad
materias	materials
materias	matèries
materias	assignatures
urbanas	urban
estándares	estàndards
básicas	bàsic
básicas	bàsics
básicas	bàsiques
básicas	basic
gases	gas
gases	gasos
festividad	festivitat
ferroviario	ferrocarril
boletín	butlletí
boletín	newsletter
boletín	butlletí
potencias	atribucions
potencias	competències
potencias	poders
ejemplar	còpia
separadas	separat
separadas	separats
express	expressi
express	express
express	expressar
portugueses	portuguès
normales	normal
normales	normals
basket	cistell
basket	cistella
estelar	estel
estelar	estrella
montaje	muntar
montaje	muntatge
montaje	assemblea
montaje	edició
demo	demostració
demo	demo
considerando	considerant
considerando	recital
enviados	enviats
enviados	enviat
enviados	missatgers
enviados	messengers
fotógrafo	fotògraf
fotógrafo	fotògrafa
kent	kent
larry	larry
porción	porció
asesinados	matat
combatientes	combatents
combatientes	lluitadors
oponente	oponent
oponente	adversari
prince	príncep
prince	prince
activamente	activament
giuseppe	giuseppe
pura	purs
pura	pura
pura	pur
forestal	forestal
forestal	bosc
viola	viola
track	pista
track	peça
parodia	paròdia
evangelio	evangeli
honda	tirador
honda	honda
loira	loira
loira	loire
esfera	esfera
esfera	orbe
muertes	defuncions
román	roman
román	romà
román	román
intenso	intensius
intenso	intensiva
intenso	intensiu
intenso	intens
vaya	ostres
alvarado	alvarado
ibáñez	ibáñez
litros	bidó
litros	litre
penales	criminal
penales	penals
penales	penal
shows	espectacles
name	nom
name	denominació
consulado	consolats
consulado	consolat
consulado	consulat
ingresar	introdueix
autorización	permís
autorización	autorització
autorización	autorització
belén	betlem
belén	belen
próximos	pròximes
próximos	propers
próximos	properes
editada	editada
editada	editat
discografía	discografia
rangers	rangers
esquí	esquí
prisionero	presoner
disparo	tret
disparo	rodatge
disparo	tiroteig
disparo	disparat
teorema	teorema
extenso	extens
extenso	extensa
golpes	pulsacions
golpes	bufa
mega	mega
atacó	atacat
herbert	herbert
dinosaurios	dinosaures
dinosaurios	dinosaure
brevemente	breument
preparar	prepari
preparar	preparar
preparar	prepareu
extranjera	estranger
extranjera	exteriors
caña	reed
caña	canya
caña	rod
ética	ètic
ética	ètica
arquitectónico	arquitectòniques
encontrados	trobat
correspondencia	correspondència
correspondencia	correu
formatos	formatat
formatos	formatació
formatos	formats
vaticano	vaticà
bombardeo	desgranar
bombardeo	bombardeig
respuestas	respostes
respuestas	respostes
respuestas	respostes
cooper	cooper
duero	douro
duero	duero
august	agost
cambiando	canviant
cambiando	commutació
típicos	típica
típicos	típic
lento	slow
lento	lent
summer	estiu
dramaturgo	dramaturg
seudónimo	pseudònim
apoyado	subvencionat
apoyado	recolzada
independientemente	independentment
astronómico	astronòmic
col	col
col	col
ludwig	ludwig
líbano	libanesos
líbano	líban
túnez	tunísia
túnez	tunis
cena	sopar
cena	sopar
incluidas	inclòs
four	four
four	quatre
pescado	peixos
pescado	peix
republicanos	republicà
republicanos	republicans
magic	màgia
artísticas	artístic
artísticas	artística
artísticas	artístics
lujo	deluxe
lujo	luxe
electrones	electró
electrones	electrons
wood	fusta
avances	avançaments
avances	avançaments
avances	progrés
vacaciones	holiday
vacaciones	festiu
vacaciones	vacances
vacaciones	festes
vacaciones	festius
vacaciones	vacances
aerolínea	aerolínia
murallas	paret
murallas	mur
murallas	murs
murallas	parets
sainte	sainte
eta	eta
cóndor	còndor
reduce	redueix
coronado	coronat
coronado	coronada
esperando	esperant
específicas	específics
específicas	específic
manifestación	demostració
manifestación	manifestació
robles	alzines
robles	robles
trajo	portat
bienestar	benestar
bienestar	benestar
mansión	mansió
mansión	manor
suplente	suplent
suplente	alternatiu
suplente	substitut
sueca	suec
convencional	convencionals
convencional	convencional
philippe	philippe
asesinatos	atemptat
asesinatos	assassinat
asesinatos	assassinats
fieles	fidels
fieles	lleials
fieles	fidel
concha	concha
concha	shell
implementación	implementació
correctamente	adequadament
perdida	pèrdua
perdida	perduda
perdida	perduts
perdida	lost
perdida	perdut
ciudadanía	ciutadania
significativo	significativa
significativo	significatiu
significativo	significatives
significativo	significatius
desastre	desastre
protagonizó	protagonitzar
warren	warren
elías	elías
elías	elies
elías	elijah
elías	elias
ltd	ltd
identificado	identificat
identificado	identificada
identificado	identificats
ejecutar	executa
ejecutar	executa
ejecutar	córrer
studio	studio
studio	estudi
calificación	qualificació
calificación	puntuació
calificación	habilitació
calificación	titulació
dramática	drama
dramática	dramàtica
antoine	antoine
plástico	plàstics
plástico	plàstic
armadura	armadura
armadura	armadura
guipúzcoa	guipúzcoa
espaciales	espai
dedicados	dedicat
dedicados	dedicada
bebé	baby
bebé	nadó
tenor	tenor
mortal	mortal
mortal	mortal
reconocimientos	reconnaissance
reconocimientos	reconeixement
tallos	aguaita
tallos	tiges
casino	casino
vencedor	guanyador
vencedor	guanyadora
vencedor	víctor
vencedor	victor
leipzig	leipzig
delegado	delegat
adoptado	adoptats
adoptado	adoptat
colinas	turons
extranjeras	exteriors
apolo	apollo
membrana	membranes
membrana	membrana
etnia	etnicitat
etnia	ètnica
ruido	soroll
ricos	ric
ricos	rich
ricos	rics
radar	radar
wagner	wagner
television	televisió
teatros	teatres
teatros	theater
teatros	teatre
añadido	afegits
añadido	afegit
fabricantes	fabricant
fabricantes	fabricants
finca	granja
finca	finca
pilares	pilars
guarnición	guarnició
edwards	edwards
fábricas	fàbriques
fábricas	mills
fábricas	fàbrica
roman	roman
roman	romà
oliva	oliva
conservadores	tories
conservadores	conservador
conservadores	conservadors
contener	contenir
contener	contenen
secos	secà
secos	seques
escape	escapar
escape	fugida
escape	fuga
escape	escape
shakespeare	shakespeare
marín	marin
marín	marín
für	für
under	arres
eugenia	eugenia
eugenia	eugènia
cap	gorra
desarrollados	desenvolupat
desarrollados	desenvolupats
baños	sanitaris
baños	vàters
baños	lavabos
baños	banys
baños	banys
alternativas	alternatives
logro	consecució
logro	assoliment
entiende	entén
entiende	entendre
extracción	extracció
profundamente	profundament
fresco	fresc
fresco	fresques
fresco	fresca
fresco	frescos
nacionalismo	nacionalisme
adulto	adult
disciplinas	disciplines
geográficas	geogràfic
responder	contestant
responder	resposta
responder	respon
electrónicos	electrònica
electrónicos	electronic
galaxia	galàxia
age	edat
cubiertas	cobert
cubiertas	cobertes
cubiertas	abasta
cubiertas	caràtules
cubiertas	fundes
cubiertas	cobertes
existió	existia
existió	existit
existió	existien
trasladar	reubicar
dependencias	dependències
produciendo	productores
produciendo	produint
abu	abu
bola	pilota
lázaro	lázaro
lázaro	llàtzer
wolf	llop
wolf	wolf
certificado	certificat
rita	rita
uss	uss
escándalo	escàndol
escándalo	escàndols
tanque	tanc
sólido	sòlid
kiev	kíev
serpiente	serp
serpiente	serpent
testigos	testimonis
testigos	testimoni
economista	economista
submarino	submarí
submarino	sub
submarino	subaquàtiques
códigos	codi
códigos	codis
prevención	prevenció
descubierta	descobert
solares	solar
progresivo	progressiu
progresivo	progressiva
progresivo	progressista
estudia	estudi
paloma	colom
folk	folk
ira	colera
ira	ira
atractivo	atracció
atractivo	atractiva
atractivo	recurs
volar	fly
volar	volant
recta	recta
recta	rectes
ecuatoriano	ecuatoriana
entregado	entregat
entregado	lliurat
entregado	rendit
etiopía	etiòpia
etiopía	etíop
dick	dick
jefferson	jefferson
celeste	celeste
palermo	palerm
asientos	seients
asientos	assentaments
dominios	dominis
dominios	domini
falsa	fals
falsa	false
falsa	falses
falsa	fals
falsa	fake
tribunales	cort
tribunales	tribunal
tribunales	tribunals
bond	vincle
bond	lligam
cerdo	porcina
cerdo	porc
dorsal	dorsal
blood	sang
danés	danès
cajas	caixes
ring	anell
fiebre	febre
geometría	geometria
geometría	geomètric
geometría	geomètrica
pink	pink
pink	rosa
doblaje	doblatge
hoteles	hotel
hoteles	hosteleria
hoteles	hotels
blas	bert
blas	blas
bull	bull
ayala	ayala
derrotas	derrota
derrotas	derrotes
macizo	sòlid
macizo	massís
sacramento	sagrament
neil	neil
documentales	documental
documentales	documentals
libia	líbia
canciller	canceller
collins	collins
aldeas	viles
silvia	sylvie
silvia	silvia
silvia	sílvia
inmaculada	immaculada
conjuntamente	conjuntament
potente	poderós
potente	poderosos
potente	potent
potente	poderosa
potente	poderoses
desafío	challenge
desafío	repte
desafío	desafiament
respectivos	respectives
respectivos	respectius
respectivos	respectiva
respectivos	respectiu
determinados	certes
determinados	determinats
soberano	sobirana
emi	emi
normandía	normandie
normandía	normandia
temporalmente	transitòriament
temporalmente	temporalment
temporalmente	temporal
ánimo	humor
divina	divina
acusaciones	càrrecs
acusaciones	acusacions
prieto	prieto
oso	ós
cruzada	croada
teruel	terol
teruel	teruel
nat	nat
mostrado	mostrat
mostrado	mostrat
via	via
excentricidad	excentricitat
camp	campament
camp	camp
rivadavia	rivadavia
levante	levante
levante	llevant
reunir	reunir
aproximación	aproximació
aproximación	plantejament
aproximación	enfocament
mirada	mirada
mirada	mira
mirada	look
marquesado	marquesat
sri	sri
poblados	viles
departamental	departamentals
departamental	departamental
plumas	pens
plumas	corrals
plumas	plomes
consideración	consideració
consideración	contraprestació
cerrar	tanca
molino	almàssera
molino	mill
molino	molí
tronco	bitàcola
tronco	tronc
cuarteto	quartet
nativo	nadiu
nativo	natiu
cook	cook
cook	cuiner
eeuu	usa
marquesa	marquesa
reducida	reduït
reducida	reduïda
anatomía	anatomia
monstruo	monster
monstruo	monstre
escribiendo	mecanografia
escribiendo	escrivint
escribiendo	escriptura
dedos	dits
pasaje	bitllet
pasaje	passatge
denis	denis
anunciado	anunciada
anunciado	anunciat
mató	matat
futbol	soccer
futbol	futbol
vitoria	vitoria
estonia	estonià
estonia	estònia
bacterias	bacteris
ortodoxa	ortodox
extendido	generalitzat
extendido	generalitzada
extendido	prorrogat
extendido	ampliat
apóstol	apòstol
ejecutado	executat
ejecutado	executada
denominados	denominats
escocés	scotsman
escocés	escocès
crecer	creixent
sismo	terratrèmol
luchas	baralles
luchas	lluites
helena	helena
helena	helen
trasera	posterior
apreciar	apreciava
discutir	debatre
conducido	impulsada
conducido	impulsat
conducido	impulsades
gabriela	gabriella
gabriela	gabriela
radios	ràdio
radios	radio
radios	ràdios
coordinador	coordinador
coordinador	coordinadora
miércoles	dimecres
poseer	posseir
poseer	posseir
terrorismo	terror
terrorismo	terrorisme
terrorismo	terrorista
side	side
side	costat
poderosa	poderós
poderosa	poderós
poderosa	poderosos
poderosa	potent
poderosa	poderosa
poderosa	poderoses
lunar	lunar
precipitaciones	precipitacions
precipitaciones	precipitació
capturar	captura
capturar	capturant
adquiere	adquirir
adquiere	adquireix
dame	gimme
defecto	predeterminat
defecto	defecte
marcada	marcat
sud	lds
viajeros	viatgers
sobrevivir	sobreviure
sobrevivir	supervivència
sobrevivir	sobreviure
ferrari	ferrari
experimento	experiment
románico	romànic
consideradas	considerades
consideradas	considerat
escasos	escàs
escasos	escassos
escasos	escasses
escasos	sparse
adolescentes	teen
adolescentes	adolescents
adolescentes	teens
adolescentes	adolescents
callao	callao
confirmado	confirmat
habituales	habitual
habituales	usual
brooklyn	brooklyn
comunica	comunica
lienzo	llenç
taekwondo	taekwondo
solidaridad	solidaritat
evans	evans
accesible	accessible
accesible	assequibles
accesible	assequible
aporte	input
aporte	aportació
aporte	aportació
georg	georg
aproximada	aproximat
certificados	certificats
castigo	càstig
complejidad	complexitat
renacentista	renaixement
adrián	adrian
head	head
head	capçal
gallo	gallo
gallo	gall
ivan	ivan
matthew	matthew
matthew	mateu
parlamentarias	mps
parlamentarias	parlamentaris
salomón	salomon
salomón	salomó
salomón	solomon
nbc	nbc
exportación	exportacions
exportación	exportació
exportación	exportació
exportación	exportant
susana	susannah
susana	susana
susana	suzanne
susana	susanna
susana	susan
hambre	gana
hambre	fam
residuos	residus
socialismo	socialisme
américas	amèrica
directorio	directori
square	quadrat
square	plaça
leones	lions
leones	lleons
amy	amy
prohibición	veta
prohibición	ban
prohibición	prohibició
autovía	autopista
dean	degà
dean	dean
dean	vicedegà
dean	degana
leonor	eleanor
leonor	elionor
leonor	leonor
habitan	habitar
irregular	desigual
irregular	irregulars
irregular	irregular
consecutivos	consecutives
consecutivos	consecutius
consecutivos	consecutiva
escudos	escuts
operar	operar
films	films
terapia	teràpia
famosas	famós
famosas	famosos
fallo	fracàs
barro	argila
banca	banca
banca	banca
banca	banker
banca	bank
banca	banc
únicas	úniques
únicas	únic
acompañada	acompanyats
acompañada	acompanyat
luchadores	lluitadors
stuttgart	stuttgart
edificación	edifici
edificación	edificació
relata	relata
riesgos	riscos
riesgos	risc
eco	eco
eco	ressó
eco	echo
acosta	acosta
seguramente	segurament
never	mai
apellidos	cognoms
apellidos	cognoms
apellidos	cognom
polaca	polonès
class	classe
presentadora	presentador
presentadora	presentadora
comisario	comissionat
comisario	comissari
comisario	sheriff
comisario	xèrif
comisario	inspector
comisario	mariscal
decenas	desenes
decenas	dotzenes
campana	bell
campana	timbre
campana	campana
pib	pib
tía	tieta
tía	tieta
tía	tia
húmedo	humits
húmedo	humida
húmedo	mullat
embajadores	ambaixadors
hospitales	hospital
hospitales	hospitals
morelos	morelos
astronomía	astronomia
leal	fidels
leal	lleials
terroristas	terrorista
terroristas	terroristes
visuales	visual
establecimientos	establiments
recopilación	compilació
recopilación	recopilatori
guido	guido
comisiones	comissions
comisiones	comitès
comisiones	comissions
detención	arrest
detención	detenció
detención	detenció
algoritmo	algorisme
algoritmo	algoritme
inversiones	inversions
inversiones	inversió
criaturas	critters
lloyd	lloyd
mercancías	mercaderies
mercancías	béns
mercancías	mercaderies
mercancías	mercaderia
construye	construir
ten	deu
jennifer	jennifer
agregar	sumant
agregar	afegir
agregar	afegeix
marinas	marine
tela	tela
tela	teixit
ataca	atacs
ataca	atac
lorca	lorca
serra	serra
refugiados	refugiat
refugiados	refugiats
cantera	pedrera
marcel	marcel
mancomunidad	mancomunitat
dylan	dylan
harold	harold
énfasis	èmfasi
combinado	combinats
combinado	combinada
combinado	combinades
combinado	combinat
almagro	almagro
revisar	revisió
revisar	revisa
brothers	germans
potter	potter
circo	cirque
circo	circ
robo	robatori
robo	furt
robo	robo
robo	robatori
robo	robar
robo	roben
vecina	veí
vecina	veí
vecina	veïna
modificado	modificats
modificado	modificades
modificado	modificat
radial	radial
angola	angola
contactos	contacte
contactos	contactes
conservado	conservats
conservado	conservat
exploradores	exploradors
hudson	hudson
flauta	flauta
hormigón	formigó
autoría	autoria
autoría	authoring
pinto	pinto
jugaron	jugat
jugaron	tocava
odio	odi
odio	odi
cauca	cauca
nocturno	nit
celta	celta
celta	celtic
celta	celtes
consultas	consultes
consultas	consulta
comprobar	comprovació
prosa	prosa
radicales	radicals
radicales	radical
condena	condemna
condena	condemna
connecticut	connecticut
discípulo	deixeble
saboya	savoy
saboya	savoia
juzgado	jutjat
juzgado	cort
juzgado	tribunal
religiones	religions
religiones	religió
lealtad	lleialtat
lealtad	fidelització
compañera	acompanyant
compañera	companya
morris	morris
paolo	paolo
start	inici
start	comença
funcional	funcionals
funcional	funcional
guevara	guevara
compostela	compostela
disparos	tirotejos
disparos	trets
disparos	preses
disparos	trets
disparos	rasants
disparos	rodatge
disparos	tiroteig
cayo	cayo
melbourne	melbourne
máscara	màscara
activista	activista
michelle	michelle
galardonado	adjudicat
avanzar	antelació
avanzar	bestreta
puro	cigar
puro	purs
puro	pura
puro	pur
tomas	tomas
tomas	thomas
tomas	tomàs
tomas	preses
tomas	trets
tomas	rasants
separada	separat
separada	separats
comprensión	enteniment
comprensión	comprensió
comprensión	entesa
comprensión	entenent
dándole	donant
blake	blake
mónaco	mònaco
mónaco	monaco
medicinales	medicinal
distinguir	distingint
distinguir	distingir
expediciones	expedicions
rodeada	rodejats
rodeada	envoltades
rodeada	rodejat
compleja	complexes
compleja	complex
ontario	ontario
trilogía	trilogia
concejal	regidor
concejal	regidor
concejal	regidora
chocolate	xocolata
calzada	calçada
suya	teva
suya	teu
terminada	acabada
terminada	finalitzat
terminada	acabat
tumbas	tombs
tumbas	tombes
conservar	preserva
conservar	preservar
conservar	mantén
inmediata	immediata
inmediata	immediat
riego	regadiu
riego	reg
riego	regs
riego	regar
jacobo	jacob
jacobo	james
jacobo	jaume
jacobo	jacobo
piernas	cames
típicamente	típicament
dramático	drama
dramático	dramàtica
músculo	músculs
