ρότερνταμ	ロッテルダム
κεφάλια	ヘッド
κάρι	カレー
δένδρο	ツリー
ιρλανδική	アイリッシュ
ναμίμπια	ナミビア
πλατύ	ワイド
ξύλινη	木造
ξύλινη	木製
τόξα	矢印
τόξα	アロウズ
ππ	fps
ραλφ	ラルフ
παρατηρητήριο	天文台
καύκασο	コーカサス
εγγονή	孫娘
ορθογραφία	つづり
ορθογραφία	スペル
ορθογραφία	スペリング
διεκδίκηση	債権
διεκδίκηση	主張
διεκδίκηση	取得
ασφαλής	セーフ
ασφαλής	金庫
ασφαλής	安全
ασφαλής	セキュア
αιθυλο	エチル
κινέζοι	中国語
κινέζοι	中国人
δράκος	ドラゴン
βλέπεις	見る
χαβάης	ハワイアン
συμπλοκή	乱闘
συμπλοκή	フレイ
συμπλοκή	遭遇
συμπλοκή	出会い
μάρθα	マーサ
ρομά	ロマ
ρομά	ローマ
μπέτι	ベティ
ταξί	タクシー
επικοινωνίες	通信
επικοινωνίες	コミュニケーション
υποψίες	疑惑
υποψίες	断崖
υπάρχουσα	既存
ισμαήλ	イスマーイール
πρόξενος	領事
πρόξενος	執政官
μπακ	バック
μπακ	bac
εμβαδόν	面積
εμβαδόν	領域
εμβαδόν	エリア
μεθοδολογία	方法論
ημερήσια	デイリー
σουέζ	スエズ
μανδύα	クローク
μανδύα	マントル
ρώτησε	ask
ρώτησε	尋ねる
εξαρτήματα	アクセサリ
εξαρτήματα	アクセサリー
εξαρτήματα	コンポーネント
βασιλιάδες	キングス
υπομονή	我慢
υπομονή	忍耐
υπομονή	根気
βασίλισσες	クイーンズ
βούλα	ドット
βούλα	dot
άστον	アシュトン
πληροφόρηση	情報
διάβαση	クロッシング
διάβαση	跨線橋
μνήμες	思い出
μνήμες	メモリ
μνήμες	メモリー
μνήμες	記憶
τρομοκρατία	テロリズム
τρομοκρατία	テロ
χρόνοι	タイムズ
ικανοποίηση	満足
μόργκαν	モルガン
εκτύπωση	印刷
εκτύπωση	印刷
αναφορών	請願
διαδήλωση	抗議
διαδήλωση	デモンストレーション
διαδήλωση	実演
διαδήλωση	デモ
κανονισμός	規制
παίχτης	プレイヤー
παίχτης	プレーヤー
μαλαισίας	マレーシア
μαλαισίας	マレーシア
αδριανούπολη	エディルネ
ανέκδοτα	ジョーク
ανέκδοτα	逸話
χαμένη	ロスト
νικαράγουα	ニカラグア
ασταθής	unstable
βίκυ	ヴィッキー
τιμόνι	ホイール
τιμόνι	車輪
ωκεανός	大洋
αναδιοργάνωση	更生
μετατρέψει	変換
μετατρέψει	変形
κρίκετ	クリケット
κρίκετ	コオロギ
σύσκεψη	カンファレンス
σύσκεψη	会議
σύσκεψη	ミーティング
σύσκεψη	会議
εγκατάλειψη	廃棄
εγκατάλειψη	中断
εγκατάλειψη	中止
ταγματάρχη	少佐
ταγματάρχη	メジャー
ταγματάρχη	専攻
νορμανδία	ノルマンディー
τόμι	トミー
σύναψη	結論
σύναψη	エンディング
φρίντμαν	フリードマン
στολές	ユニフォーム
στολές	コスチューム
στολές	衣装
στολές	装束
στολές	スーツ
φίλτρα	フィルタ
φίλτρα	フィルター
θαυμαστές	ファン
γκλόβερ	グローヴァー
γκλόβερ	グラヴァー
μπακού	バクー
κελί	セル
συνιστάται	おすすめ
συνιστάται	推奨
λύκος	ウルフ
λύκος	オオカミ
σήραγγα	トンネル
ντάλας	ダラス
σουβόροφ	スヴォーロフ
ακελ	akel
μεσάνυχτα	ミッドナイト
μεσάνυχτα	真夜中
καταγγελίες	クレーム
καταγγελίες	苦情
μπιλμπάο	ビルバオ
υφάσματα	生地
υφάσματα	テキスタイル
υφάσματα	織物
τόνος	マグロ
τόνος	ツナ
τόνος	トーン
ιρλανδός	アイリッシュ
σπήλαια	洞窟
μπελίζ	ベリーズ
νέφος	スモッグ
προοπτικές	outlook
προοπτικές	視点
παράβαση	侵害
έξτρα	エクストラ
έξτρα	オマケ
έξτρα	エクストラ
ταχυδρομείο	郵便
ταχυδρομείο	メール
τένις	テニス
μάρκετινγκ	マーケティング
πιάτο	ディッシュ
πιάτο	プレート
αποχή	棄権
αποχή	禁欲
αξιοθέατο	アトラクション
διακύμανση	バリエーション
διακύμανση	分散
επιβεβαίωση	確認
επιβεβαίωση	確認
μονομαχία	決闘
αναπαράγεται	再現
πνευμονία	肺炎
τσουνάμι	津波
τσουνάμι	津波
φλάουτο	フルート
συντεχνία	ギルド
αναίρεση	アピール
αναίρεση	抗告
αναίρεση	上告
αναίρεση	取り消し
αναίρεση	取り消す
ξηρό	辛口
ξηρό	ドライ
ξηρό	乾燥
εναλλαγή	切り替え
εναλλαγή	スイッチ
εναλλαγή	トグル
εναλλαγή	切り替え
εναλλαγή	スワップ
φιλμογραφία	filmography
εξήντα	sixty
ανάθεση	譲渡
ανάθεση	代入
ανάθεση	割り当て
ανάθεση	委任
ανάθεση	委嘱
κεραμικά	陶芸
κεραμικά	陶器
κεραμικά	セラミック
κεραμικά	陶磁器
λη	リー
οδηγούς	ドライバ
οδηγούς	ドライバー
οδηγούς	ガイド
γέννα	誕生
γέννα	分娩
γέννα	出産
μπάτλερ	バトラー
φυσιολογικό	普通
φυσιολογικό	ノーマル
σορτς	ショーツ
πάρμα	パルマ
εμπλέκεται	連座
λογικές	論理
πωλήθηκε	落札
τόνισε	ハイライト
τόνισε	ストレス
ρόναλντ	ロナルド
σάλτσμπουργκ	ザルツブルク
φιλελεύθερη	リベラル
διαιτητές	審判員
μίξη	mix
μίξη	ミックス
μίξη	混ぜる
αλγόριθμο	アルゴリズム
επισημαίνει	見どころ
επισημαίνει	ハイライト
αυτόνομες	自律
βελτιωμένη	改良
παραγουάη	パラグアイ
εκτελεστικό	エグゼクティブ
βάρκα	ボート
ρόλοι	役割
παχύ	厚い
παχύ	太い
άγχος	ストレス
άγχος	不安
βέρα	ヴェラ
πάουελ	パウエル
ιστός	web
ιστός	ウェブ
ιστός	ティッシュ
ντικ	ディック
αιμορραγία	出血
αιμορραγία	出血
καράβι	船舶
καράβι	ボート
φινάλε	フィナーレ
πέμπτος	フィフス
οχι	not
ονδούρα	ホンジュラス
δανεισμού	借用
ορισμοί	定義
ελάχιστοι	少数
δόγματα	ドクトリン
πολυώνυμο	多項式
αντισώματα	抗体
μαγνήσιο	マグネシウム
μέι	メイ
μέι	五月
υπόμνημα	メモ
υπόμνημα	覚書
τραγωδίες	悲劇
θαύματα	奇跡
θαύματα	驚異
καθολικός	カトリック
σινεμά	映画
σινεμά	シネマ
κενού	バキューム
κενού	真空
ποσειδώνας	海王星
ποσειδώνας	ネプチューン
ίντσες	インチ
ερπετά	爬虫類
ερπετά	爬虫類
ψευδαργύρου	亜鉛
κόλινς	コリンズ
ιδανικά	理想
ιδανικά	理想
φίδι	ヘビ
φίδι	サーペント
τρίχες	ヘアー
τρίχες	髪の毛
τρίχες	ヘア
τρίχες	毛髪
υποδομή	インフラストラクチャー
βιταμίνη	ビタミン
γκρεγκ	グレッグ
σκόπια	スコピエ
σκόπια	マケドニア
παράξενο	オッド
παράξενο	奇数
κελιά	セル
έμμα	エマ
αφηρημένη	抽象
συναγωγή	シナゴーグ
τεχνητό	人工
λεμεσό	リマソール
προσδοκίες	期待
καταδίωξη	ストーカー
καταδίωξη	追跡
καταδίωξη	追求
καταδίωξη	チェイス
νικόλα	ニコラ
επεξεργαστής	cpu
επεξεργαστής	エディタ
επεξεργαστής	エディター
επεξεργαστής	プロセッサ
διακυμάνσεις	変動
διακυμάνσεις	バリエーション
διακυμάνσεις	変奏曲
αφίσα	ポスター
μάσκα	仮面
μάσκα	マスク
μαραθώνιος	マラソン
ένοχος	有罪
ένοχος	guilty
κυρά	嫁さん
κυρά	愛人
κυρά	レディ
τζούντο	柔道
ταύρος	ブル
κρουζ	クルス
εξόρυξης	鉱業
οδοί	道路
τοπογραφία	地形
τοπογραφία	地誌
σχεδιαστή	デザイナー
χειμώνες	ウィンタース
ένθετο	挿入
τουλούζ	トゥールーズ
μούσα	ムサ
μούσα	ムーサ
μούσα	ミューズ
μούσα	muse
καταβολή	支払
καταβολή	決済
καταβολή	支払い
σχολίασε	コメント
κατασκευαστή	製造業者
κατασκευαστή	メーカー
κουτιά	ボックス
κουτιά	カートン
επικίνδυνες	危険
γίγαντες	巨人
γίγαντες	ジャイアンツ
σταθερός	安定
μαντάμ	マダム
κρίσιμο	クリティカル
χορούς	踊り
πύραυλο	ロケット
κατάστρωμα	甲板
κατάστρωμα	デッキ
λιβάδι	草地
ημερολόγια	日記
ημερολόγια	カレンダー
ημερολόγια	日記
εξαγορά	買収
εξαγορά	買収
ρώσικα	ロシア
φίδια	ヘビ
θέρετρο	リゾート
ελιές	オリーブ
οπτικές	光学
στίγμα	位置
στίγμα	ポジション
στίγμα	役職
στίγμα	スティグマ
βάθρο	表彰台
βάθρο	台座
διογένης	ディオゲネス
αυτόνομα	自律
ιδιωτικός	非公開
ιδιωτικός	プライベート
αίτιο	原因
έλιοτ	エリオット
έλιοτ	エリオット
κουμπί	ボタン
εμπορευμάτων	商品
εμπορευμάτων	貨物
εμπορευμάτων	物品
μοζαμβίκη	モザンビーク
ταξιδεύουν	旅行
άρωμα	アロマ
άρωμα	香り
άρωμα	香り
άρωμα	香水
αυθαίρετα	任意
φόρος	租税
φόρος	税金
κοινοπολιτεία	コモンウェルス
αντιδρούν	リアクション
απαρχή	インセプション
ερασιτέχνες	アマチュア
κλίβελαντ	クリーブランド
επιλέγουν	opt
επιτεύχθηκε	達成
διαιτητή	審判員
ιδίωμα	熟語
χαλ	hal
υφή	テクスチャー
υφή	テクスチャ
αρκούδα	クマ
υπάρχουσες	既存
ακρωτήρι	ケープ
βυθό	海底
βυθό	ボトム
πυρετός	発熱
φωνητική	ボーカル
παρουσιάσεις	プレゼン
παρουσιάσεις	プレゼンテーション
διευθύντρια	監督
διευθύντρια	ディレクター
διευθύντρια	取締役
γραφικό	グラフィック
έφηβος	teen
έφηβος	十代
έφηβος	ティーン
έφηβος	ティーンエイジャー
εθελοντής	ボランティア
ηπείρους	大陸
μπρουνέι	ブルネイ
ήπαρ	レバー
ήπαρ	肝臓
εθελοντικά	ボランティア
άσχημη	醜い
άσχημη	みにくい
ανωμαλίες	異常
ανωμαλίες	異常
φιλιππίνων	フィリピン
δημοσιογράφους	ジャーナリスト
δημοσιογράφους	リポーター
ρινγκ	リング
ρινγκ	指輪
ψυχές	霊魂
κωδικοποίηση	コーディング
καταστήσει	レンダリング
κατάθεση	預金
κατάθεση	デポジット
κατάθεση	証言
βέρντι	ヴェルディ
παράνομο	違法
διαπραγματεύσεων	交渉
πλαστικό	ビニール
πλαστικό	プラスチック
πλαστικό	プラスティック
νεβάδα	ネバダ
αναμενόμενη	期待
σεισμούς	地震
σάρκα	肉体
θραύση	骨折
θραύση	破壊
θραύση	破損
ανακοινώσεις	記事
ανακοινώσεις	ストーリー
ανακοινώσεις	アナウンス
ανακοινώσεις	発表
αυθεντικό	オリジナル
σιντ	シド
σιντ	シド
σιντ	sid
δασκάλα	教員
δασκάλα	教師
δασκάλα	先生
μαριονέτα	パペット
φόρεσε	着る
φόρεσε	摩耗
μαγικό	magic
μαγικό	魔法
μαγικό	マジック
μαγικό	マジカル
σπένσερ	スペンサー
βίβλος	聖書
άδη	ハーデース
τζόρνταν	ヨルダン
τζόρνταν	ジョーダン
ερωτικές	エロ
τραύμα	傷口
τραύμα	怪我
τραύμα	外傷
τραύμα	トラウマ
τραύμα	外傷
ρίτα	リタ
ανακαίνιση	リフォーム
ανακαίνιση	リフォーム
δίκες	トライアル
δίκες	試練
προσκύνημα	巡礼
ορατός	可視
γκαίτε	ゲーテ
εφέσου	エフェソス
γυρίζει	紡績
διαμαρτυρία	抗議
τριπλό	トリプル
αδόλφος	アドルフ
αδόλφος	アドルフ
τζένη	ジェニー
γονίδιο	遺伝子
γονίδιο	ジーン
πουατιέ	ポワティエ
αντρέας	アンドレアス
ακτογραμμή	海岸線
τζόαν	ジョーン
πυγμάχος	ボクサー
πυγμάχος	ファイター
πλάσματα	生き物
παράνομα	違法
σαραγόσα	サラゴサ
σιένα	シエナ
σιένα	シエナ
αναρρίχηση	登山
αναρρίχηση	クライミング
αναρρίχηση	登る
καίσαρας	シーザー
κάνσας	カンザス
αισθάνεται	感じ
προαιρετικά	オプション
γουάτσον	ワトソン
βωμό	祭壇
γονιδίων	遺伝子
γεύμα	昼食
γεύμα	ランチ
γεύμα	食事
ίππους	馬力
διευθυντές	取締役
διευθυντές	マネージャー
διευθυντές	マネージャ
σεντάν	セダン
βάρη	重み
αλκιβιάδης	アルキビアデス
διαγράφονται	削除
μανιφέστο	マニフェスト
θραύσματα	断片
θραύσματα	フラグメント
θραύσματα	破片
θραύσματα	瓦礫
θραύσματα	スクラップ
λύτρα	身代金
εξήγησε	説明
φλεγμονή	炎症
ορυχείο	鉱山
ψηφοφόρων	有権者
παραμόρφωση	歪み
αβγά	エッグ
ορφέα	オルフェウス
ορφέα	オルペウス
αποδόσεις	出来上がり
ντάνι	ダニー
βαμβάκι	木綿
βαμβάκι	コットン
διαλύτη	溶剤
βερν	ヴェルヌ
βερν	ヴァーン
κήποι	庭園
λανς	ランス
προσαρμοστεί	適応
άσχετο	無関係
εγχείρηση	運行
εγχείρηση	作戦
εγχείρηση	運営
εγχείρηση	操作
εγχείρηση	オペレーション
εγχείρηση	手術
οἱ	これらの
οἱ	これら
τίγρη	トラ
τίγρη	タイガー
επικρατούσα	主流
βολιβίας	ボリビア
τραγική	悲惨
κονσταντίν	コンスタンチン
προνύμφες	幼虫
βλέμμα	視線
βλέμμα	凝視
υπάρχον	既存
μάγος	魔法使い
μάγος	ウィザード
ανίχνευσης	検知
ανίχνευσης	検出
μιρ	ミール
αναταραχή	擾乱
αναταραχή	騒乱
αναταραχή	乱れ
ασυνήθιστη	珍しい
παγίδα	トラップ
κοπεγχάγης	コペンハーゲン
γλυκιά	スウィート
γλυκιά	甘い
πάνελ	パネル
πάνελ	パネル
τρούμαν	トルーマン
ενθαρρύνει	すすめる
εμπνευσμένο	インスパイア
χτυπήματα	吹く
χτυπήματα	ヒット
βοστώνη	ボストン
ακόλουθος	フォロワー
ντανιέλ	ダニエル
κληρονόμος	相続
ελβετική	スイス
κάλυμμα	表紙
κάλυμμα	被覆
κάλυμμα	カバー
κάλυμμα	cover
προσόντα	資格
προσόντα	資格
υποσημειώσεις	脚注
λεγεώνα	レギオン
κράτησης	拘禁
κράτησης	勾留
κράτησης	留置
κράτησης	収容
κέρμα	硬貨
κέρμα	コイン
δικηγόρο	弁護士
βαθμίδες	歩数
βαθμίδες	手順
βαθμίδες	ステップ
τέρνερ	ターナー
λισαβόνα	リスボン
παρέλαση	パレード
ταμπλό	ダッシュボード
καζίνο	カジノ
καζίνο	カジノ
μεσολάβηση	あっせん
μεσολάβηση	調停
γραπτές	筆記
δυνατός	強い
δυνατός	濃い
άλι	アリー
άλι	アライ
άλι	アリー
άλι	アリー
άλι	アリ
άλι	ali
δάσκαλοι	教員
δάσκαλοι	教師
χορεύτρια	ダンサー
χάσμα	分ける
χάσμα	割る
χάσμα	除算
χάσμα	ギャップ
χάσμα	gap
πίστα	トラック
σιν	シン
σιν	シン
σιν	sin
συναλλαγή	取引
συναλλαγή	トランザクション
συλλήψεις	逮捕
θάφτηκε	埋葬
κύλινδρο	円柱
κύλινδρο	シリンダー
βάσκων	バスク
λέιζερ	レーザー
μιζούρι	ミズーリ
ελλείψεις	不足
ανεπίσημη	略式
ανεπίσημη	非公式
ανεπίσημη	非公式
ελαφρών	ライトウェイト
γενεαλογία	系図
γενεαλογία	系譜
πολύτιμη	尊い
πολύτιμη	precious
πολύτιμη	貴重
αστυνομικοί	警察官
αστυνομικοί	役員
γκουάμ	グアム
πάρτι	パーティ
πάρτι	パーティー
θόλο	天蓋
θόλο	ドーム
φάουλ	ファウル
φάουλ	ファール
αδιέξοδο	行き詰まり
αδιέξοδο	デッドロック
αδιέξοδο	ステイルメイト
μεσογειακή	地中海
ζανζιβάρη	ザンジバル
δεκ	dec
δεκ	ecj
ελευθερίες	自由
εθελοντική	任意
φορτηγά	トラック
ανταρκτικής	南極
άνδεων	アンデス
μέιν	メイン
φόρεστ	フォレスト
κοσμικό	世俗
κλείδωμα	ロック
κλείδωμα	錠前
αρτηρία	動脈
ταϊπέι	台北市
ταϊπέι	台北
βράχια	岩石
βράχια	ロックス
αγνή	ピュア
αγνή	純粋
αγνή	アグネス
ορθογώνια	四角形
ορθογώνια	長方形
εβδομάδων	週間
παράγραφος	段落
νούμερα	数字
νούμερα	数値
αισθητήρες	センサ
αισθητήρες	センサー
τζένιφερ	ジェニファー
οδησσό	オデッサ
υποτελείς	家臣
λίζα	リサ
απάτη	詐欺
απάτη	欺瞞
πλάνο	計画
πλάνο	プラン
αστείο	面白い
αστείο	ジョーク
αστείο	冗談
όρθια	スタンディング
συνθετικά	合成
ενεργεί	演技
εξαγωγές	輸出
εξαγωγές	エクスポート
εξαγωγές	輸出
εξαγωγές	エクスポート
ρότζερς	ロジャース
ρότζερς	ロジャース
νυρεμβέργη	ニュルンベルク
φακό	レンズ
φακό	トーチ
φακό	たいまつ
θαυμασμό	感嘆
θαυμασμό	賞賛
λίβανος	レバノン
πολλαπλασιασμό	乗算
πολλαπλασιασμό	乗法
φράγκο	フラン
δαμασκό	ダマスカス
μέρλιν	マーリン
πάτωμα	フロア
κινητό	モバイル
μαλακό	やわらかい
μαλακό	柔らかい
μαλακό	ソフト
κάλεσμα	コーリング
θεατή	ビューア
νικαράγουας	ニカラグア
συνοχή	一貫性
εντοπίστηκε	斑点
εντοπίστηκε	検知
αποκαταστήσει	復元
ισχυρισμός	債権
ισχυρισμός	主張
ισχυρισμός	取得
ισχυρισμός	主張
αναπαραγωγική	生殖
εδιμβούργου	エディンバラ
πολεμιστής	戦士
δέσμευση	コミットメント
δέσμευση	収容
εκκένωση	避難
εκκένωση	避難
μετατροπής	変換
μπρούκλιν	ブルックリン
θησέα	テーセウス
μάρεϊ	マレー
ταγματάρχης	少佐
ταγματάρχης	メジャー
ταγματάρχης	専攻
χόλυγουντ	ハリウッド
λειτουργικότητα	機能
άγριο	ワイルド
άγριο	野生
λεξικά	辞書
λεξικά	辞典
λάσπη	マッド
απολογία	謝罪
μπόρις	ボリス
πλάτα	plata
διευκόλυνση	施設
φίλιπς	フィリップス
φίλιπς	フィリップス
πέιτζ	ペイジ
αλουμινίου	アルミニウム
λέοναρντ	レナード
κράνος	ヘルメット
διακοσμητικά	装飾
διακοσμητικά	デコレーション
πομπή	行進
κυνηγός	狩人
κυνηγός	ハンター
κυνηγός	捕食
κυνηγός	ストーカー
φιλοδοξίες	願望
φιλοδοξίες	野心
φιλοδοξίες	野望
φιλοδοξίες	野心
συνδυασμούς	組み合わせ
βράχους	岩石
βράχους	ロックス
βραδιά	ナイト
ισοδύναμα	同等
βραχίονα	arm
λεύκωμα	スクラップブック
εξπρές	エクスプレス
εξπρές	急行
γνώμες	意見
ράδιο	ラジオ
ντετέκτιβ	刑事
καταναλωτές	消費者
καπέλο	ハット
καπέλο	帽子
ντιτρόιτ	デトロイト
γιορτάζει	お祝い
τραπεζούντα	トラブゾン
τροπικά	トロピカル
τροπικά	熱帯
προμήθειες	コミッション
άμμου	砂塵
αναχώρηση	出発
αναχώρηση	出発
πολλαπλή	倍数
πολλαπλή	複数
κατασκευασμένα	製造
δείπνο	ディナー
δείπνο	夕食
σύνθετα	コンポジット
σύνθετα	複合
σύνθετα	コンプレックス
σύνθετα	錯体
σύνθετα	複雑
μόρισον	モリソン
γκίνες	ギネス
ειρηνική	平和
μάξγουελ	マックスウェル
μάξγουελ	マクスウェル
διάλεξη	講義
διάλεξη	教本
διάλεξη	講演
ζεστό	熱い
ζεστό	ホット
ζεστό	暑い
ζεστό	あったかい
ζεστό	暖かい
ζεστό	温かい
δίκαια	フェア
λεξιλόγιο	語彙
πρίσμα	プリズム
συρακούσες	シラキュース
λεηλασία	略奪
τηλέφωνα	電話機
κεν	ケン
κέιτ	kate
κέιτ	ケイト
μίλλερ	ミラー
γκούσταβ	グスタフ
καρχαρίες	サメ
σκλάβοι	奴隷
χάντμπολ	ハンドボール
λογαριασμός	口座
λογαριασμός	アカウント
τρέχον	現在
γκρέι	灰色
γκρέι	グレイ
γκρέι	グレー
γκρέι	灰色
γκρέι	グレイ
γκρέι	グレー
επισκευή	修理
επισκευή	修理
σωλήνες	パイプ
σωλήνες	パイプス
λιβερία	リベリア
αναλογικά	比例
αναλογικά	アナログ
αναλογικά	アナログ
αφιερώματα	朝貢
βέλγος	ベルギー
θλίψη	悲しみ
θλίψη	悲しみ
θλίψη	悲しみ
κιθαρίστες	ギタリスト
καταργηθεί	廃止
βόλτα	散歩
βόλτα	乗る
βόλτα	配車
βόλτα	歩き
βόλτα	ウォーク
βόλτα	歩行
βόλτα	歩く
βόλτα	徒歩
βόλτα	散策
τροφές	食べ物
τροφές	料理
τροφές	食品
κράτηση	拘禁
κράτηση	勾留
κράτηση	留置
κράτηση	収容
κράτηση	留保
κράτηση	予約
κράτηση	予約
σαββατοκύριακο	週末
καναδική	カナダ
καναδική	カナディアン
καλώδια	ワイヤー
καλώδια	ケーブル
καλώδια	電線
καλώδια	ケーブル
συνεδριάσεις	ミーティング
συνεδριάσεις	会議
αδύνατον	インポッシブル
αδύνατον	不可能
μύες	筋肉
μύες	マッスル
μύες	筋肉
ζοζέ	ホセ
κάθοδο	降下
κάθοδο	カソード
αναγκαιότητα	必要性
ματιών	メッシュ
τόνυ	トニー
πριγκίπισσες	皇女
πριγκίπισσες	プリンセス
τζόρτζιο	ジョルジョ
ιστ	イースト
ιστ	東部
εκμάθηση	学習
εκμάθηση	ラーニング
εκμάθηση	学問
παρόντες	現在
παρόντες	present
παρόντες	プレゼント
κομήτες	彗星
δίαιτα	ダイエット
δίαιτα	ダイエット
δίαιτα	献立
δίαιτα	国会
σταθεί	スタンド
ουρανίου	ウラン
τεχνητά	人工
αποβολή	除名
αποβολή	退学
αποβολή	流産
αποβολή	除去
προϋπολογισμός	予算
υποτελής	家臣
σκηνικά	風景
σκηνικά	景色
σκηνικά	小道具
περιθώρια	余白
σίντνεϊ	シドニー
σίντνεϊ	シドニー
εργαζόμενος	社員
εργαζόμενος	職員
εμβλήματα	シンボルマーク
εμβλήματα	エンブレム
διάλειμμα	休憩
διάλειμμα	ブレーク
διάλειμμα	区切り
διάλειμμα	休憩
μινεσότα	ミネソタ
ορίζοντας	地平線
ορίζοντας	ホライズン
ορίζοντας	水平線
κειμήλια	遺物
κάλτσες	ストッキング
κάλτσες	ソックス
κάλτσες	靴下
κάλτσες	socks
επιτυχημένος	成功
αλιείας	漁業
αλιείας	釣り
αλιείας	魚釣り
χορευτές	ダンサー
χορευτές	踊り子
αλουμίνιο	アルミニウム
αλουμίνιο	アルミ
αλουμίνιο	アルミニウム
εκκίνηση	開始
εκκίνηση	始める
εκκίνηση	スタート
εκκίνηση	起動
αφοσίωση	献身
αφοσίωση	奉納
αφοσίωση	献身
ανώνυμο	アノニマス
ανώνυμο	匿名
δομινικανή	ドミニカ
αλκοόλη	アルコール
απογοήτευση	失望
απογοήτευση	がっかり
τρολ	トロール
τρολ	トロール
εξέδρα	プラットフォーム
εξέδρα	プラットホーム
