заслуговує	প্রাপ্য
збираються	সমাবেশ
збираються	জমায়েত
видати	ডিসচার্জ
привілеї	অধিকার
фраза	শব্দসমষ্টি
фольклор	লোক
фольклор	লোকাচার
скарби	ভান
скарби	কোষাগার
рання	প্রারম্ভিক
рання	তাড়াতাড়ি
джейсон	জ্যাসন
джейсон	জেসন
комерційного	বানিজ্যিক
комерційного	বাণিজ্যিক
анатомія	এনাটমি
федеральний	ফেডারেল
тед	টেড
польщу	পোল্যান্ড
керрі	কেরি
страйк	ধর্মঘট
страйк	হরতাল
віддали	দিলেন
платівки	রেকর্ড
платівки	রেকর্ডের
рибу	মাছের
рибу	মাছ
оригінал	মূল
оригінал	প্রকৃত
оригінал	আসল
підвищує	বাড়ায়
тихий	প্রশান্ত
тихий	প্যাসিফিক
відмова	ব্যর্থ
відмова	ব্যর্থতা
камер	ক্যামেরা
себастьян	সেবাস্তিয়ান
себастьян	সেবাস্টিয়ান
себастьян	সেবাস্তিয়ান
стелі	ছাদ
стелі	সিলিং
постійна	কনস্ট্যান্ট
постійна	ধ্রুবক
євгеній	ইউজিন
хоп	হপ
підвищити	বৃদ্ধি
змії	সাপ
змії	সাপ
безпосередній	তাৎক্ষণিক
провідник	নির্দেশিকা
провідник	নির্দেশ
провідник	গাইড
провідник	কন্ডাক্টর
провідник	পরিবাহী
партизан	গেরিলাদের
ютери	মেশিন
мільярдів	বিলিয়ন
протести	প্রতিবাদ
протести	বিক্ষোভ
шеф	রাঁধুনি
шеф	বাবুর্চি
шеф	সেফ
шеф	শেফ
шеф	প্রধান
шеф	নেতা
завтра	আগামীকাল
боксери	মুষ্টিযোদ্ধা
боксери	বক্সার
жозеф	ইউসুফ
жозеф	জোসেফ
зупинка	বাঁধন
зупинка	বন্ধ
зупинка	স্থগিত
дзвін	বেল
дзвін	ঘণ্টা
холодний	ঠান্ডা
холодний	ঠাণ্ডা
холодний	কোল্ড
сорок	চল্লিশ
вантажний	মালবাহী
епізоди	অঙ্ক
відпочинок	চিত্তবিনোদন
відпочинок	বিশ্রাম
відпочинок	রেস্ট
автомат	মেশিন
автомат	যন্ত্র
апостол	রসূল
апостол	রাসূল
апостол	রসূলের
калію	পটাশিয়াম
калію	পটাসিয়াম
цифр	অংক
змінився	পরিবর্তিত
пів	অর্ধ
пів	অর্ধেক
подвійний	দ্বিগুণ
подвійний	ডাবল
подвійний	দ্বৈত
подвійний	ডুয়েল
вирішують	মীমাংসা
нараховується	ভূষিত
сортування	সাজানো
сортування	সাজাও
сортування	ক্রমবিন্যাস
сортування	সজ্জা
сортування	বাছাই
організми	প্রাণীতে
десант	হামলা
путін	পুতিন
юридичні	লিগাল
юридичні	আইনি
юридичні	আইনী
труси	প্যান্টি
труси	মুষ্টিযোদ্ধা
труси	বক্সার
пишеться	বানান
виняток	ব্যতিক্রম
виняток	এক্সেপশন
колу	কোক
павільйон	প্যাভিলিয়ন
подарунок	গিফট
подарунок	উপহার
подарунок	বর্তমান
подарунок	উপস্থিত
блиск	উজ্জ্বল
блиск	চকচক
блиск	জ্বলতে
блиск	জ্বলে
продати	বিক্রি
продати	বিক্রয়
помічника	সহকারী
помічника	সহায়ক
стамбул	ইস্তানবুল
рівність	সমতা
іноземців	বিদেশীদের
іноземців	বিদেশীরা
захоплено	ধারণকৃত
фаза	দশা
фаза	ফেজ
фаза	পর্যায়
прочитати	পড়ে
прочитати	পড়ার
прочитати	পড়ুন
прочитати	পড়বেন
мовознавство	ভাষাবিজ্ঞান
електроніка	ইলেকট্রনিক্স
електроніка	ইলেকট্রনিক
електроніка	ইলেক্ট্রনিক্স
електроніка	ইলেকট্রনিক
електроніка	ইলেক্ট্রনিক
зімбабве	জিম্বাবুয়ে
зварювання	ঢালাই
зварювання	ওয়েল্ডিং
ескадрильї	স্কোয়াড্রন
дизайнер	ডিজাইনার
партнерів	সাথীরা
партнерів	সাথি
дощів	বৃষ্টিস্নাত
дощів	বৃষ্টির
узагальнення	generalization
комуністи	কমিউনিস্টদের
комуністи	কমিউনিস্ট
судові	কোর্ট
судові	আদালতের
судові	আদালত
ленін	লেনিন
болгарський	বুলগেরিয়ান
фрукти	ফল
фрукти	ফলের
промені	রশ্মি
партнер	সহযোগী
партнер	সঙ্গী
партнер	সহযাত্রী
партнер	পার্টনার
партнер	অংশীদার
дельта	ডেল্টা
чудовий	অপূর্ব
очікування	অপেক্ষারত
очікування	অপেক্ষা
очікування	অপেক্ষায়
налаштування	প্রস্তুতি
налаштування	বৈশিষ্ট্য
налаштування	ব্যবস্থাপনা
налаштування	সেটআপ
налаштування	কনফিগারেশন
налаштування	বৈশিষ্ট্যাবলী
налаштування	পছন্দ
налаштування	পছন্দসমূহ
налаштування	সেটিংস
налаштування	বৈশিষ্ট্য
рушій	ইঞ্জিন
старші	পুরোনো
старші	পুরানো
старші	পুরাতন
навички	দক্ষতা
рядовий	প্রাইভেট
зустрічей	সাক্ষাৎকার
зустрічей	সাক্ষাত্কার
зустрічей	সভা
діалог	অনুসন্ধান
діалог	সংলাপ
діалог	ডায়লগ
діалог	ডায়ালগ
діалог	ডায়লগ
діалог	ডায়ালগ
едо	এডো
лівих	বামপন্থীরা
купити	ক্রয়
купити	কিনে
купити	ক্রয়
купити	কিনতে
купити	কেনার
геральдика	heraldry
цивільний	সিভিল
цивільний	বেসামরিক
потяги	ট্রেন
принцеси	রাজকুমারী
доставки	পাঠানো
доставки	শিপিং
практичне	বাস্তব
практичне	ব্যবহারিক
завершується	পরিসমাপ্তি
редакторів	এডিটর
організаціях	এনজিও
шини	বেড়
шини	টায়ার
шини	বাসে
шини	বাসের
шини	বাস
продовжили	পলায়ন
дане	ডেন
житель	সিটিজেন
житель	নাগরিক
брокгауза	এফ্রন
демократичний	গণতান্ত্রিক
демократичний	ডেমোক্র্যাট
сирія	সিরিয়া
сирія	সিরিয়ায়
індіана	ইন্ডিয়ানা
боже	ভগবান
боже	আল্লাহ্
боже	ভগবান
боже	আল্লাহ
боже	ঈশ্বর
прикрашені	সুশোভিত
зараження	আক্রান্ত
зараження	সংক্রমিত
форд	ফোর্ড
фірмі	শক্ত
фірмі	মজবুত
фірмі	দৃঢ়
фірмі	অনড়
фірмі	ফার্ম
лід	নেতৃত্ব
лід	লিড
лід	সীসা
лід	বরফের
лід	বরফ
соціалістів	socialists
демо	নমুনা
демо	ডেমো
палаті	ওয়ার্ডে
палаті	ward
палаті	ওয়ার্ড
нагірно	nagorno
темний	গাঢ়
темний	কালো
темний	অন্ধকার
темний	আঁধার
мусульмани	মুসলমান
мусульмани	মুসলমানের
мусульмани	মুসলিম
мусульмани	muslim
мусульмани	মুসলমানেরা
мусульмани	মুসলিমরা
мусульмани	মুসলমান
мусульмани	মুসলিম
мусульмани	মুসলমানরা
мусульмани	মুসলমানদের
видобування	নিষ্কাশন
видобування	আহরণ
видобування	সম্প্রসারণ
видобування	গির্জাটি
облога	অবরোধ
ходів	চাল
ніколас	নিকোলাস
ніколас	নিকোলাস
брами	দরজা
брами	গেটস
фішер	ফিশার
фішер	ফিশার
додаткова	অতিরিক্ত
припинено	পরিত্যাক্ত
припинено	পরিত্যক্ত
претендентів	জমা
гарно	সুন্দর
гарно	চমৎকার
гарно	নাইস
гарно	nice
перетворено	রূপান্তরিত
геологічних	ভূতাত্ত্বিক
перекласти	অনুবাদ
корі	কোরে
корі	কোরি
корі	কোরি
трудові	শ্রমিক
трудові	শ্রম
перемагає	বিজয়ী
груди	বুক
груди	বুকে
груди	বুকের
груди	স্তন
чекати	অপেক্ষা
вченим	পণ্ডিত
птаха	পাখি
стадія	স্টেজ
стадія	মঞ্চ
стадія	পর্যায়
повідомили	অবগত
повідомили	ওয়াকিবহাল
ззовні	বাহ্যিকভাবে
ззовні	বাহিরে
ззовні	বাইরে
ззовні	বাইরের
рейд	raid
автоматична	স্বয়ংক্রিয়
партизани	গেরিলাদের
отвори	গর্ত
сухі	শুকনো
сухі	ড্রাই
сухі	শুকিয়ে
сухі	শুষ্ক
сухі	শুকাতে
поповнення	সৈন্য
розіграш	র্যা
розіграш	বিতরণ
жива	বেঁচে
жива	বেচে
жива	জীবিত
жива	জীবন্ত
фасо	ফাসো
фізично	শারীরিক
фізично	শারীরিকভাবে
дивитися	দেখবেন
дивитися	দেখুন
дивитися	দেখছি
дивитися	দেখছেন
дивитися	দেখছে
ставлять	প্রজাতি
таємниця	রহস্য
таємниця	গোপন
таємниця	গোপনীয়
творців	নির্মাতারা
застосувати	প্রয়োগ
застосувати	আবেদন
коротко	সংক্ষিপ্ত
вагон	ওয়াগন
тяжко	কঠিন
тяжко	নার্সিং
тяжко	পরিচর্যা
нагляду	তত্ত্বাবধান
нагляду	তত্ত্বাবধানে
нагляду	তদারকি
ректора	রেক্টর
молодша	যুবতী
куб	কিউব
куб	ঘনক
напали	আক্রান্ত
універсальний	ইউনিফাইড
універсальний	সার্বজনীন
універсальний	ইউনিভার্সাল
універсальний	বিশ্বময়
подивитися	দেখি
подивитися	দেখুন
подивитися	দেখবে
подивитися	দেখে
подивитися	দেখবেন
подивитися	দেখুন
подивитися	দেখ
подивитися	চেহারা
подивитися	দেখো
процесори	প্রসেসর
очікується	প্রত্যাশিত
очікується	অপেক্ষায়
очікується	অপেক্ষারত
очікується	অপেক্ষমান
очікується	অসমাপ্ত
матвій	ম্যাথু
матвій	ম্যাথিউ
печерської	fortification
членство	সদস্যপদ
членство	সদস্যতা
оригінальне	মূল
оригінальне	প্রকৃত
оригінальне	আসল
повітряна	বায়ু
повітряна	এয়ার
битв	যুদ্ধক্ষেত্র
ірак	ইরাক
пострілів	শট
тінь	ছায়া
переглянути	পর্যালোচনা
переглянути	দেখি
переглянути	দেখুন
переглянути	দেখবে
переглянути	দেখে
переглянути	প্রদর্শন
переглянути	দেখুন
переглянути	ভিউ
інтенсивність	তীব্রতা
інтенсивність	ক্ষমতা
інтенсивність	শক্তি
інтенсивність	রাস্তা
християни	খ্রিষ্টান
християни	খ্রিস্টান
християни	ক্রিশ্চিয়ান
християни	খ্রীষ্টান
християни	ক্রিস্টিয়ান
християни	খ্রিস্টান
християни	খ্রীষ্টান
паша	পাশা
простіше	সহজতর
сусідів	রুমমেট
олівер	অলিভার
фундамент	ফাউন্ডেশন
окреме	আলাদা
окреме	পৃথক
позов	মামলা
нагляд	তত্ত্বাবধান
нагляд	তত্ত্বাবধানে
нагляд	তদারকি
ходити	হেটে
ходити	হাঁটা
ходити	হেঁটে
заборонені	নিষিদ্ধ
хоккайдо	হোক্কাইডো
ключі	কি
ключі	টোকেন
салоні	কেবিন
землеробство	কৃষি
бак	bak
самка	নারী
самка	মহিলা
самка	স্ত্রী
гарольд	হ্যারল্ড
скрізь	সর্বত্র
меблі	আসবাবপত্র
платон	প্লেটো
чия	কার
чия	যার
чия	যাদের
грудей	স্তন
збережені	সংরক্ষিত
сенатор	সিনেটর
буш	বুশ
глибокий	ডীপ
глибокий	গভীর
глибокий	ডিপ
просте	সহজ
просте	সরল
просте	সাধারণ
просте	সাধারন
хутро	পশম
зареєстрований	নিবন্ধিত
чеської	নরওয়েজীয়
чеської	চেক
дано	দেয়া
дано	দেওয়া
дано	প্রদত্ত
посадку	ল্যান্ডিং
посадку	অবতরণ
поліпшити	লক্ষণীয়
скандал	কলঙ্ক
скандал	কেলেঙ্কারি
скандал	অপবাদ
арабські	আরবী
арабські	আরবি
кей	কায়
реп	রেপ
астронавти	মহাকাশচারী
референдум	গণভোট
референдум	গণভোটের
патент	পেটেন্ট
супер	সুপার
супер	super
їсти	খাচ্ছে
їсти	খাওয়া
їсти	খাওয়ার
їсти	খাই
їсти	খেতে
їсти	খাবে
їсти	খাও
їсти	খাবো
зручності	সুবিধার
зручності	সুবিধা
зручності	যাতায়াত
прихід	আগমনের
прихід	আগমন
прихід	onset
строго	কঠোরভাবে
чверть	চতুর্থাংশ
чверть	কোয়ার্টার
протест	আপত্তি
протест	প্রতিবাদ
протест	বিক্ষোভ
фермі	ফার্মি
інтенсивно	তীব্র
меню	মেনু
брюссель	ব্রাসেলস
яйце	ডিম
боснія	বসনিয়া
турецькі	তুর্কী
турецькі	তুর্কি
побачила	দেখলাম
побачила	দেখেছিলাম
складна	কঠিন
владимир	ভ্লাদিমির
сир	cheese
сир	চিজ
трилер	থ্রিলার
путіна	পুতিন
всесвітньо	প্রখ্যাত
сніг	তুষারপাত
сніг	বরফ
сніг	তুষার
необхідним	প্রয়োজনীয়
дейв	ডেভ
вілен	vilaine
чинний	বৈধ
чинний	কার্যকর
чинний	বৈধতা
напої	পানীয়
напої	পান
напої	পানীয়
напої	পানীয়
співає	গাওয়া
діалектів	উপভাষা
попередніми	প্রিপেইড
альфонсо	আলফন্সো
класичні	ক্লাসিক
співав	গেয়েছিলেন
жук	বিটল
надані	প্রদত্ত
ведмідь	বহন
ведмідь	ভালুক
ведмідь	ভাল্লুক
сьомий	সপ্তম
протока	প্রণালী
імператриця	সম্রাজ্ঞী
контролює	নিয়ন্ত্রণ
ісландія	আইসল্যান্ড
компаніями	ব্যবসা
компаніями	বাণিজ্য
компаніями	কোম্পানিগুলি
компаніями	সংস্থাগুলি
компаніями	কোম্পানিগুলো
вітри	বায়ু
вітри	বাতাস
анджей	andrzej
вдова	বিধবা
кан	কাং
кан	কান
ботаніка	উদ্ভিদবিজ্ঞান
надійності	নির্ভরযোগ্যতা
фрази	বাক্যাংশ
суха	শুকনো
суха	ড্রাই
суха	শুকিয়ে
суха	শুষ্ক
суха	শুকাতে
нормандії	normandie
гая	গাইয়া
негативний	নেগেটিভ
негативний	নেতিবাচক
негативний	ঋণাত্মক
вказівки	হেদায়েত
вказівки	পথনির্দেশ
вказівки	নির্দেশিকা
вказівки	নির্দেশাবলী
вказівки	নির্দেশ
здобич	প্রে
благодійний	দাতব্য
благодійний	দান
благодійний	যাকাত
цезар	সিজার
географ	ভূগোলবিদ
інна	ইন্না
боббі	ববি
боббі	ববি
організовані	সংগঠিত
організовані	আয়োজিত
номера	সংখ্যা
номера	নাম্বার
номера	নম্বর
озброєні	সশস্ত্র
анголи	অ্যাঙ্গোলা
приймав	কর্মী
вінсент	ভিনসেন্ট
графи	গ্রাফ
нікола	নিকোলা
нікола	নিকোলা
традиційне	প্রথাগত
традиційне	সনাতন
підземний	ভূগর্ভস্থ
підземний	underworld
голосувати	ভোট
юра	jura
домашній	গৃহ
домашній	বাড়ি
домашній	বাসায়
домашній	হোম
різноманіття	বৈচিত্র্য
кримінальний	অপরাধীর
кримінальний	অপরাধী
кримінальний	ক্রিমিনাল
запиту	অনুসন্ধান
соціальне	সামাজিক
соціальне	সোশ্যাল
практичні	বাস্তব
практичні	ব্যবহারিক
готовність	তৈরী
готовність	তৈরি
готовність	প্রস্তুত
узбекистан	উজবেকিস্তান
залишиться	থাকে
черепа	খুলি
геометрія	জ্যামিতি
учасникам	অংশগ্রহণকারী
учасникам	অংশগ্রহণকারীদের
учасникам	অংশগ্রহণকারীরা
учасникам	অংশগ্রহনকারী
християнська	খ্রিষ্টান
християнська	খ্রিস্টান
християнська	ক্রিশ্চিয়ান
християнська	খ্রীষ্টান
християнська	ক্রিস্টিয়ান
справжня	বাস্তব
справжня	আসল
справжня	সত্যিকারের
справжня	প্রকৃত
справжня	রিয়েল
шум	কোলাহল
шум	শোরগোল
віа	ভায়া
віа	মারফত
віа	মাধ্যমে
релігій	ধর্মের
конвенція	কনভেনশন
конвенція	সম্মেলন
архіпелаг	archipelago
маркетинг	বিপণন
маркетинг	ব্যবসায়িক
маркетинг	মার্কেটিং
джоан	জোয়ান
інвестиції	বিনিয়োগ
альберто	আলবার্তো
муніципальний	পৌর
футів	পা
футів	ফুট
футів	পায়ের
буріння	ড্রিল
пейзажі	landscapes
рекорди	রেকর্ড
рекорди	রেকর্ডের
дикі	বন্য
дикі	বুনো
дикі	ওয়াইল্ড
нести	বহন
їжа	খাদ্য
їжа	খাবার
християнський	খ্রিষ্টান
християнський	খ্রিস্টান
християнський	ক্রিশ্চিয়ান
християнський	খ্রীষ্টান
християнський	ক্রিস্টিয়ান
морально	নৈতিকভাবে
чеська	নরওয়েজীয়
чеська	চেক
показані	দেখানো
показані	প্রদর্শিত
показані	প্রদর্শিত
думав	ভেবেছিলাম
думав	ভাবলাম
думав	ভেবে
громадське	সার্বজনীন
громадське	পাবলিক
громадське	সর্বজনীন
гарний	সুদর্শন
перевал	পাসে
перевал	পাস
перевал	পাশ
білок	প্রোটিন
гвинтівка	রাইফেল
юнацтва	যৌবন
юнацтва	যুব
юнацтва	যুবতী
злочинців	অপরাধীরা
злочинців	অপরাধী
злочинців	অপরাধীদের
вопросы	প্রশ্নগুলি
рідина	তরল
рідина	তরল
натхнення	অনুপ্রেরণা
репутацію	খ্যাতি
репутацію	সুনাম
чимось	কিছু
надійність	নির্ভরযোগ্যতা
надійність	বিশ্বস্ত
джеррі	জেরি
грузинська	জর্জিয়ান
грузинська	জর্জীয়
знімати	চিত্রগ্রহণ
випадкових	যথেচ্ছ
випадкових	এলোমেলো
персональний	ব্যক্তিগত
землетрус	ভুমিকম্প
землетрус	ভূমিকম্প
богу	আল্লাহ্
богу	ভগবান
богу	আল্লাহ
богу	ঈশ্বর
невідоме	অজ্ঞাত
невідоме	অজানা
регулярний	সাধারণ
регулярний	নিয়মিত
покращити	উন্নতি
робітника	কর্মী
мюллер	মুলার
мюллер	muller
рой	রয়
рой	রায়
еріка	এরিকা
еріка	এরিকা
клієнта	ক্লায়েন্ট
чесно	সত্যি
найближча	নিকটতম
запах	সুগন্ধী
запах	ঘ্রাণ
запах	সুগন্ধ
запах	গন্ধ
гострий	ধারালো
гострий	তীক্ষ্ণ
деніел	ড্যানিয়েল
деніел	ডেনিয়েল
стануть	হয়ে
експерт	অভিজ্ঞ
експерт	এক্সপার্ট
експерт	বিশেষজ্ঞ
гетто	ঘেটো
голуб	কবুতর
маркус	লোকোমোটিভ
маркус	মার্কাস
монгольська	মঙ্গোলিয়ান
брюсселі	ব্রাসেলস
пальці	ফিঙ্গার
пальці	আঙ্গুল
пальці	আঙুল
явка	leech
плита	প্লেট
плита	প্লেটে
плита	চুলা
присягу	শপথ
ініціатива	উদ্যোগ
ініціатива	উদ্যোগী
ініціатива	ইনিশিয়েটিভ
саундтрек	সাউন্ডট্র্যাক
робот	রোবট
визначати	ব্যাখ্যা
цифра	সংখ্যা
сусіднього	সন্নিহিত
фред	ফ্রেড
зворотний	বিপরীত
вузькі	সংকীর্ণ
вузькі	সরু
професорів	অধ্যাপক
лоуренс	লরেন্স
глибокі	গভীরতম
дощ	বৃষ
дощ	বৃষ্টি
навігації	পরিভ্রমণ
навігації	ন্যাভিগেশন
навігації	পরিদর্শন
навігації	নেভিগেশন
балет	ব্যালে
джин	জিন
джин	জিন
джин	জঁ
джин	জিন
ліжок	শয্যা
маямі	মায়ামি
плакат	পোস্টার
виставку	প্রদর্শনী
увійти	লিখুন
залишилось	অবশিষ্ট
плату	ফি
ранок	সকালের
ранок	সকাল
ранок	সকালে
освітні	শিক্ষাগত
аллен	অ্যালেন
презентації	উপস্থাপনা
отруєння	বিষক্রিয়া
вайт	সাদা
гвардія	হেফাজত
гвардія	গার্ড
овочі	সবজি
овочі	সবজির
овочі	সবজি
неаполь	নেপলস
альє	allier
абсолютний	সুনিশ্চিত
абсолютний	সুনির্দিষ্ট
абсолютний	পরম
ахмед	আহমেদ
стажування	ইন্টার্নশিপ
вимагати	দাবির
вимагати	দাবি
вимагати	দাবী
політично	রাজনৈতিকভাবে
пагорб	হিল
танкові	আর্মার্ড
рейси	ফ্লাইট
бін	বিন
бін	শিম
корону	ক্রাউন
корону	মুকুট
росс	রস
темна	গাঢ়
темна	কালো
темна	অন্ধকার
темна	আঁধার
ернест	আর্নেস্ট
певне	সুনির্দিষ্ট
певне	নির্দিষ্ট
канзас	কানসাস
нбу	nbu
майбутні	আসন্ন
майбутні	আগত
подорожей	ট্রাভেলস
леві	লেভি
леві	লেভি
консенсусу	ঐকমত্য
заповнення	প্যাডিং
заповнення	ফিলিং
заповнення	পূরন
заповнення	পূরণ
кваліфікація	যোগ্যতা
лініями	লাইন
лініями	পংক্তি
лініями	রেখা
приріст	বৃদ্ধি
нікарагуа	নিকারাগুয়া
відвідати	পরিদর্শনে
митець	শিল্পী
алея	মল
алея	মলে
алея	গলিতে
змінної	ভেরিয়েবল
космонавт	নভোচারী
вогні	বাতি
вогні	লাইট
обладнанням	হার্ডওয়্যার
заколот	বিদ্রোহ
напій	পান
напій	পানীয়
сумніву	সন্দেহ
сумніву	সংশয়
далекий	দূরে
далекий	দূর
далекий	ফার
александер	আলেকজান্ডার
александер	অ্যালেকজান্ডার
мінор	নাবালক
мінор	গৌণ
мінор	মাইনর
кілометри	কিলোমিটার
оплати	অর্থপ্রদান
оплати	পেমেন্ট
джонатан	জনাথন
джонатан	জোনাথন
конкакаф	কনকাকাফ
безвісти	মিয়া
ном	নম
товар	পণ্য
товар	পণ্যদ্রব্য
невже	সত্যিই
невже	আসলেই
невже	সত্যি
гострі	ধারালো
гострі	তীক্ষ্ণ
дозвілля	অবকাশ
дозвілля	অবসর
франсіско	ফ্রান্সিস্কো
франсіско	ফ্রান্সিসকো
видала	প্রদানকারী
забрали	নিয়েছি
оае	ইউএই
конкуренції	প্রতিযোগিতামূলক
відповідали	মিলেছে
проїзд	রাইডের
проїзд	রাইড
проїзд	চালাবেন
проїзд	গমন
проїзд	passage
рококо	রকোকো
хотіла	চেয়েছিলেন
хотіла	চেয়েছি
хотіла	চাইছিল
хотіла	চেয়েছিল
хотіла	চেয়েছিলাম
математична	গাণিতিক
математична	অঙ্ক
факто	ফ্যাক্টো
живим	বেঁচে
живим	বেচে
живим	জীবিত
живим	জীবন্ত
бабуся	দাদি
бабуся	ঠাকুমা
бабуся	ঠাকুরমা
навчальна	শিক্ষাগত
сигізмунд	sigismund
кішки	বিড়াল
кішки	বেড়াল
кішки	ক্যালিকো
катастрофа	দুর্যোগের
катастрофа	বিপর্যয়
катастрофа	বিপর্যয়ের
катастрофа	দুর্যোগ
катастрофа	বিপর্যয়
різноманітність	বৈচিত্র্য
тонкий	শী
тонкий	পাতলা
тонкий	চিকন
христина	ক্রিস্টিনা
христина	ক্রিস্টিন
крісті	কৃষ্টি
крісті	ক্রিস্টি
крісті	ক্রিস্টি
анти	এন্টি
анти	অ্যান্টি
бал	বাল
бал	বল
бал	গ্রেডিং
ралі	সমাবেশ
темп	টেম্পো
дружині	বউ
дружині	বউকে
дружині	বউয়ের
дружині	স্ত্রী
пережив	বেঁচে
павел	পাভেল
переїхали	সরানো
бізнесмен	ব্যবসায়ী
верде	ভার্ডি
верде	ভার্দে
підкорення	বিজয়
підкорення	জমা
заєць	হরে
цвіте	ফোটে
цвіте	ফুটে
акцент	উচ্চারণ
акцент	ঝোঁক
жертва	কোরবানী
жертва	ত্যাগের
жертва	ত্যাগ
жертва	বলিদান
жертва	বিসর্জন
жертва	শিকার
туркменістану	তুর্কমেনিস্তান
надруковано	মুদ্রিত
назовні	বের
назовні	বাহিরে
назовні	আউট
фехтування	ফেন্সিং
креслення	প্লট
креслення	পরিকল্পনাকারী
креслення	অংকন
креслення	অঙ্কন
креслення	অঙ্কন
сорт	cultivar
складчастість	orogeny
японці	জাপানি
японці	জাপানী
заслужена	প্রাপ্য
націоналізм	জাতীয়তাবাদ
лівану	লেবানন
моніторинг	মনিটরিং
моніторинг	পর্যবেক্ষণ
ангел	পরি
ангел	দেবদূত
організатори	আয়োজকদের
юнайтед	ইউনাইটেড
юнайтед	ঐক্যবদ্ধ
успішний	সফল
кроків	ধাপ
кроків	ধাপগুলি
кроків	পদক্ষেপ
данте	দান্তে
снаряд	গোলাবারুদ
біблія	বাইবেল
гамільтон	হ্যামিলটন
масиві	অ্যারে
подавати	এবাদত
подавати	পরিবেশন
юань	ইউয়ান
ресурсу	রিসোর্স
рейс	ফ্লাইট
рейс	উড্ডয়ন
рейс	উড়ান
рейс	রীস
рейс	reis
вимога	বাধ্যবাধকতা
круглий	গোলাকার
круглий	রাউন্ড
круглий	সার্কুলার
киргизстану	কিরগিজস্তান
ніколя	নিকোলা
ніколя	নিকোলাস
типова	ডিফল্ট
типова	পূর্বনির্ধারিত
типова	গতানুগতিক
дракон	ড্রাগন
звірі	প্রাণী
звірі	জীবজন্তু
ногу	পা
ногу	পায়ের
ногу	লেগ
фінська	ফিনিশ
уважно	সাবধানে
сек	সেকেন্ড
сек	সেকেন্ড
колін	কলিন
пляж	বিচ
пляж	বীচ
пляж	সৈকত
базова	বেস
базова	ন্যূনতম
базова	ভিত্তি
заплановано	পরিকল্পিত
резонанс	অনুরণন
перешкоди	বাধা
перешкоди	বাধার
перешкоди	প্রতিবন্ধকতা
яскраві	উজ্জ্বল
кімнат	রুম
кук	কুক
кук	cooke
розрахунки	গণনা
канадська	কানাডিয়ান
інтернат	এতিমখানা
домашня	ঘরোয়া
домашня	গার্হস্থ্য
піт	পিট
канцлер	চ্যান্সেলর
даллас	ডালাস
оболонка	শেল
оболонка	ত্বকের
оболонка	ত্বক
оболонка	চামড়া
рекламу	বিজ্ঞাপন
рекламу	বিজ্ঞাপন
ємність	ধারকত্ব
телескопа	দূরবীন
готова	তৈরী
готова	তৈরি
готова	প্রস্তুত
скрипка	বেহালা
ключа	টোকেন
тех	টেক
мінімальна	সর্বনিম্ন
мінімальна	ন্যুনতম
боєць	লড়াকু
боєць	জঙ্গী
боєць	ফাইটার
пейдж	পেইজ
пейдж	পৃষ্ঠা
пейдж	পাতা
юність	যৌবন
юність	যুব
юність	যুবতী
джеффрі	জিওফ্রে
втрату	ক্ষতি
втрату	লোপ
сонячний	রৌদ্রোজ্জ্বল
сонячний	সানি
