wolf	вовк
missiles	ракет
missiles	ракети
missiles	ракета
ordonné	замовила
ordonné	замовив
ordonné	замовили
ordonné	замовляв
ordonné	замовляли
certifié	сертифікований
chercheur	дослідників
prépare	готується
prépare	підготувати
innovation	нововведення
innovation	інновації
combiné	комбінований
ref	суддя
amy	емі
turner	тернер
ardèche	ардеш
alternatif	альтернатива
alternatif	варіант
alternatif	альтернативне
alternatif	альтернативні
alternatif	альтернативна
alternatif	альтернативний
écrites	писав
écrites	записано
écrites	написано
écrites	записані
fortifications	укріплення
définitive	фінал
définitive	остаточний
définitive	final
définitive	definitive
jaunes	жовте
jaunes	жовтого
jaunes	жовті
jaunes	жовтий
burkina	буркіна
évènement	подію
évènement	події
évènement	подією
évènement	подія
yonne	іонн
sachant	відмітили
sachant	знаючи
sachant	знати
chargés	завантажені
chargés	завантажено
chargés	ладен
assisté	усуненням
effectifs	кадрами
devraient	повинен
devraient	слід
devraient	повинно
devraient	should
répression	репресії
blé	пшениці
blé	житом
his	його
conrad	конрад
rousseau	руссо
meyer	меєр
meyer	маєр
stable	стабільний
stable	рівно
stable	стабільна
stable	стійкий
symphonique	симфонічний
symphonique	симфонія
symphonique	симфонічний
ecclésiastique	церковної
fonctionnaire	офіційні
fonctionnaire	офіційна
fonctionnaire	офіційний
fonctionnaire	офіційне
catholicisme	католицтво
rayons	проміння
rayons	промені
rayons	розділяла
silva	сілва
linéaire	лінійна
linéaire	лінійний
commandé	замовила
commandé	замовив
commandé	замовили
commandé	замовляв
commandé	замовляли
bretonne	бріттані
bretonne	бретонська
brevet	патент
mémorial	меморіал
mémorial	mémorial
engagée	найняв
engagée	заручена
engagée	вивели
engagée	вчинив
engagée	скоїв
mythe	міф
mythe	міфи
mythe	міфів
faso	фасо
manger	їли
manger	їм
manger	їсти
manger	їж
manger	їсти
bouches	роті
bouches	рот
bouches	устами
mohammed	мухаммед
mohammed	мохаммед
prochaine	наступний
prochaine	наступна
prochaine	next
prochaine	наступне
prochaine	далі
léonard	леонар
léonard	леонардо
léonard	леонард
degrés	градуси
degrés	градусів
flammarion	фламмаріон
extérieure	надворі
extérieure	зовнішнє
extérieure	зовнішні
extérieure	зовнішній
extérieure	зовнішня
extérieure	зовнішня
philosophique	philosophique
philosophique	філософська
philosophique	філософія
styles	стилів
styles	стилі
europa	europa
europa	уєфа
doubs	ду
nazis	нацистів
nazis	нацистам
nazis	нацисти
guyane	гвіани
guyane	гаяни
rappeler	пригадую
esprits	духи
esprits	духів
esprits	спеціалістами
esprits	свідомість
talk	поговоримо
talk	розмова
talk	talk
talk	говорити
elisabeth	єлизавета
aude	од
alexandra	олександра
alexandra	александра
caméra	камера
caméra	фотоапарат
caméra	камери
andreas	андреас
régulier	формальні
régulier	регулярний
régulier	звичайний
régulier	формальний
contiennent	містити
contiennent	містить
contiennent	міститься
contiennent	містять
mix	мікс
mix	суміші
mix	суміш
grandeur	величина
grandeur	велич
grandeur	величі
sound	sound
sound	звук
immigration	імміграція
werner	вернер
airlines	антонова
airlines	авіалінії
airlines	airlines
pollution	забруднення
garcia	гарсія
fayard	fayard
marocain	марокканська
accessibles	доступний
hôte	вузол
hôte	ведуча
sergio	серхіо
calme	спокійний
calme	спокій
calme	спокійні
calme	мовчать
calme	тихо
organe	тіло
organe	тіла
organe	орган
signification	сенс
signification	значення
signification	значущість
todd	тодд
todd	тод
duel	дуель
panama	панами
poétique	поетичний
enregistrements	рекорди
enregistrements	records
enregistrements	платівки
enregistrements	recordings
enregistrements	реєстрації
épaisseur	товщина
globale	загальна
globale	загальний
hunter	мисливець
heureux	щаслива
heureux	щасливі
heureux	щасливе
heureux	щасливий
heureux	щасливим
alaska	аляска
perdues	втрачений
perdues	програв
perdues	lost
bébé	немовля
bébé	малятко
bébé	дитина
bébé	кохана
bébé	дітки
entré	ввели
entré	введений
entré	введено
entré	введена
entré	увійшов
moments	moments
moments	моменти
moments	моментів
moments	моментами
illustrateur	ілюстратор
dépendant	залежні
dépendant	залежних
perse	перська
perse	persia
perse	перс
diesel	дизель
phoenix	фенікс
valley	долина
lópez	лопес
lópez	лопес
erik	еріку
erik	ерік
comprennent	включення
comprennent	включити
comprennent	включати
délai	затримка
magic	чарівна
magic	магія
magic	magic
solidarité	солідарності
solidarité	солідарність
peugeot	peugeot
détient	тримає
détient	містить
chapeau	капелюхи
chapeau	шапочки
chapeau	шапка
chapeau	капелюх
vraisemblablement	імовірно
vénus	венера
portait	носив
portait	одягнений
comptant	грошовий
comptant	готівки
ted	ted
ted	тед
uniforme	уніформа
uniforme	форма
serment	присягу
serment	присягнувся
libéraux	лібералів
libéraux	ліберальна
éliminé	позбулися
disciplines	дисциплін
portugaise	португальська
edition	редакція
edition	видання
supérieurs	начальство
supérieurs	керівництвом
supérieurs	командири
scandale	скандал
débarquement	посадка
débarquement	посадку
festivals	фестивалів
jésuites	єзуїтів
jésuites	єзуїтський
wta	wta
échoue	невдало
échoue	підводить
isle	острів
isle	іль
sebastian	себастьян
ducs	герцогів
juliette	джульєтта
attribution	виділення
protestants	протестантська
arrestation	арешт
daté	датоване
cristal	ясні
cristal	кристал
cristal	крістал
combinaison	комбінезон
combinaison	поєднання
combinaison	комбінація
combinaison	combo
taxe	податкова
taxe	податки
taxe	податок
radar	radar
jouée	грали
jouée	грала
jouée	грав
malaisie	малайзії
malaisie	мала
nominations	зустрічі
nominations	зустрічей
nominations	номінаціях
terminée	завершилась
terminée	завершено
terminée	завершені
terminée	виконано
terminée	завершено
terminée	завершені
terminée	закінчено
terminée	закінчиться
terminée	закінчив
insurrection	повстання
repas	харчування
repas	борошно
éthique	етичних
éthique	етика
hesse	гессе
hesse	гессен
bâti	побудовано
bâti	побудували
bâti	зібрано
halle	галле
luxe	люкс
luxe	deluxe
luxe	розкішний
luxe	розкішні
luxe	розкіш
luxe	luxury
estimée	орієнтовний
estimée	приблизна
lorenzo	лоренцо
grenade	гренада
grenade	гранат
grenade	ґранада
grenade	граната
grenade	гранату
rob	роб
casablanca	касабланці
dennis	деніс
dennis	денис
dennis	денніс
mail	мейл
mail	пошта
mail	поштою
qualifier	qualifier
mobilier	обстановка
mobilier	меблі
compositeurs	композиторів
artisans	ремісники
cat	кіт
cat	кішка
bourges	бурж
témoigne	свідчити
strictement	суворо
strictement	строго
tâches	завдання
tâches	задачі
impératrice	імператриця
soccer	футбол
ressort	весняна
ressort	весна
ressort	весняний
ressort	весняні
gère	вдасться
gère	влаштує
marquer	оцінок
marquer	оцінювання
marquer	кропивницький
marquer	рахунок
marquer	результат
marquer	оцінка
chartres	шартр
décoré	прикрасили
décoré	нагороджений
humides	вологе
humides	волога
humides	вологого
humides	школярем
humides	мокра
humides	мокрий
léo	лео
léo	лев
hof	гоф
condé	конде
condé	конде
contraintes	обмеження
détective	детектив
cohen	коен
conçue	запропонувала
conçue	розроблена
conçue	розробив
conçue	розроблено
sarkozy	саркозі
pole	поле
pole	полюс
wagner	вагнер
devenus	став
devenus	стали
devenus	стало
mondes	світи
wurtemberg	вюртемберг
truc	фішка
truc	річ
truc	затори
salomon	саломон
salomon	соломон
salomon	соломона
barbe	борода
prouver	довести
dette	борг
dette	боргу
dream	сон
dream	dream
dream	мрія
moyennes	середній
moyennes	середнє
moyennes	середня
moyennes	середнього
moyennes	середній
moyennes	носій
moyennes	середня
moyennes	середні
meurthe	мерт
bibliothèques	бібліотек
bibliothèques	бібліотеки
bibliothèques	бібліотеках
cru	raw
cru	крю
dessert	десерт
dessert	десерти
blake	блейк
nationaliste	націоналістична
nationaliste	націоналістичну
peuplée	населеному
expert	експертні
expert	експерт
normand	норманд
normand	норман
lourde	heavy
lourde	важкий
lourde	сильний
holmes	холмс
renard	ренар
renard	фокс
renard	лисиця
esclavage	рабство
esclavage	рабства
video	відео
video	відеозапис
magnétique	магнітний
magnétique	магнітна
mississippi	міссісіпі
collègues	колеги
collègues	співробітники
attire	притягує
attire	приваблює
attire	знайдуться
attire	співом
attire	зацікавити
graines	насіння
graines	насіння
graines	потомство
rébellion	бунт
rébellion	повстання
républicaine	республіканська
rtl	rtl
nova	нова
isolées	облаштовано
isolées	самостійні
isolées	ізольовані
percussions	ударних
fixé	фіксована
fixé	виправлено
fixé	фіксований
tueur	убивця
tueur	вбивця
envoyés	надіслано
envoyés	надіслані
galeries	галереях
galeries	галереї
galeries	галерея
galeries	галерею
galeries	галереї
galeries	gallery
apparente	видимі
provincial	провінційний
évident	очевидно
évident	очевидне
évident	банально
évident	очевидна
coûts	кошти
coûts	коштує
coûts	вартість
auxerre	осер
munitions	снаряд
munitions	боєприпаси
munitions	боєприпасів
munitions	боєприпаси
munitions	боєприпаси
divine	божественна
divine	служба
warren	воррен
observe	спостерігати
bouddhisme	буддизм
bouddhisme	буддійський
fraction	частка
fraction	дріб
fraction	точність
fraction	дробів
présentés	представили
présentés	презентували
présentés	представлена
présentés	презентувала
aidé	допоміг
aidé	допомагали
aidé	допомогла
aidé	допомагав
aidé	допомогли
aidé	усуненням
concepts	концепції
concepts	принципи
harmonie	гармонія
harmonie	harmony
magnus	магнус
révélé	названо
révélé	відкрив
parlementaires	mps
renseignements	відомості
renseignements	інформація
collins	коллінз
blocs	блоки
blocs	блоків
acheté	платні
acheté	придбаний
acheté	купили
acheté	купила
acheté	купив
bolivie	болівійський
bolivie	болівії
coupé	різати
coupé	вирізати
coupé	coupé
coupé	кубок
coupé	coupe
législation	законодавства
législation	законодавство
immeubles	будівлі
immeubles	будівель
localement	локально
cerf	серф
cerf	олень
cerf	олень
cerf	олені
cerf	оленя
courtes	short
courtes	короткий
courtes	коротка
courtes	скорочено
courtes	коротке
courtes	короткі
révolutionnaires	революційний
proportion	пропорція
proportion	співвідношення
palatinat	пфальц
noces	весілля
poméranie	поморське
poméranie	померанія
sylvie	сільвія
sylvie	давід
sylvie	девід
sylvie	давид
sylvie	сільві
sylvie	сьюзен
wolfgang	вольфганг
reçoivent	отримувати
bal	бал
bal	prom
câble	дріт
câble	кабель
mers	моря
mers	морів
lost	втрачений
lost	програв
lost	lost
johan	йоган
cbs	cbs
reconstruit	перебудовано
reconstruit	відбудувати
canaux	канали
canaux	канали
figaro	фігаро
exercer	тренування
exercer	вправ
brièvement	коротко
implantation	імплантація
irlandaise	ірландський
irlandaise	irish
irlandaise	ірландська
boucle	положення
boucle	циклу
produisent	виготовлення
produisent	виробляють
escadre	ескадрильї
escadre	крилом
escadre	крило
maçonnerie	кладка
chevet	chevet
slovénie	словенії
slovénie	словенія
correctement	належно
correctement	коректно
correctement	правильно
piliers	колони
piliers	стовпи
piliers	стовп
coordination	координації
coordination	координацію
coordination	комплексні
coordination	координаційної
coordination	координація
talents	таланти
talents	талант
diplomatique	дипломатичних
doux	солодка
doux	солодкі
doux	солодкий
doux	ніжний
doux	soft
doux	ніжні
pères	отці
pères	батьки
capables	здатний
capables	здатен
partagé	спільну
partagé	поширив
partagé	спільні
partagé	поширили
partagé	спільний
romaines	роман
achevé	завершено
achevé	завершені
achevé	виконано
joint	спільна
joint	спільне
syndicats	профспілки
syndicats	профспілок
immédiate	негайно
immédiate	негайного
immédiate	безпосередній
nigeria	нігерія
nigeria	нігерії
lou	лу
gaulois	галлія
gaulois	галльська
émilie	емілі
convaincu	переконані
convaincu	переконали
nacional	насьйональ
malades	зле
malades	хворий
malades	хворим
malades	хворі
malades	хвора
malades	хворий
malades	захворіла
leonard	леонард
concession	виголосив
concession	представництво
hainaut	ено
inspirée	натхненно
inspirée	надихали
dérive	пропала
eurovision	євробаченні
eurovision	eurovision
eurovision	пісенний
égyptien	єгипетський
égyptien	єгипетська
naturaliste	натураліст
tort	неправильна
tort	неправильно
tort	неправильний
juges	судді
juges	суддів
hms	hms
avantages	переваги
avantages	плюси
avantages	переваги
avantages	вигоди
prévention	запобігання
prévention	профілактика
dommages	ламати
dommages	пошкодження
dommages	сутичка
dommages	збитки
eglise	церква
eglise	костел
organique	органічні
organique	органічне
impôt	податкова
impôt	податки
impôt	податок
impôt	податки
vengeance	розплата
vengeance	помста
vengeance	помсти
vengeance	помста
bombardement	обстрілу
bombardement	обстріл
bombardement	бомбардування
bombardement	бомбардування
guadeloupe	гваделупи
violoncelle	віолончель
impliqué	звинувачували
impliqué	звязок
ancêtre	пращур
memorial	меморіал
sfondo	sfondo
stage	стажування
bros	bros
demain	завтра
demain	tomorrow
nasa	наса
nasa	nasa
mensuel	щомісяця
mensuel	місячного
mensuel	місячний
équipée	придатний
équipée	обладнаний
dakar	дакар
souveraineté	суверенітет
souveraineté	суверенітету
profond	глибока
profond	deep
profond	глибоко
profond	глибокий
profond	сильно
occitan	окситанська
spécialisés	спеціалізовані
spécialisés	спеціалізована
continuité	неперервність
systématiquement	систематично
systématiquement	systematic
attend	чекає
intensité	інтенсивність
protéines	білок
protéines	білки
protéines	білку
récent	недавно
récent	нещодавно
récent	недавні
récent	нещодавні
hollandais	нідерландська
hollandais	голландська
attentats	приступ
attentats	атакує
attentats	напади
attentats	атаки
attentats	висаджувати
intéressé	цікавиться
intéressé	зацікавлений
intéressé	зацікавило
intéressé	цікаво
intéressé	цікавить
intéressé	цікавляться
décrire	описати
sauveur	спас
sauveur	спаситель
éclairage	освітленості
éclairage	освітлення
betty	бетті
haye	гаазі
haye	гаага
rochefort	рошфор
assurée	гарантована
martinique	мартиніки
esp	esp
mathématique	математична
mathématique	математичних
mathématique	математичний
mathématique	математичні
mathématique	математика
mathématique	математичний
mathématique	математичні
mathématique	математики
mathématique	математика
ita	іта
halte	відмінити
halte	зупинка
baccalauréat	холостяк
baccalauréat	бакалавр
baccalauréat	бакалаврат
gonzález	гонсалес
wikidata	вікідані
dialogues	діалог
appliquée	застосування
appliquée	застосовано
appliquée	звернулася
passes	минає
passes	мине
passes	завершилися
atlético	атлетіко
mesurer	вимірювання
mesurer	вимірювання
mesurer	вимірювання
mesurer	міру
mesurer	міра
joachim	йоахім
sèvres	мануфактура
gallois	валлійська
jupiter	юпітер
protestante	протестантська
wwe	wwe
grace	благодать
grace	милість
précipitations	опадами
précipitations	опадів
marianne	маріан
marianne	маріанна
bohême	bohemia
bohême	чеський
bohême	чеському
sidi	сіді
paire	пара
paire	пари
console	консолі
console	консоль
santos	сантос
tombes	могили
tombes	могила
tombes	гробниця
tombes	господній
tombes	могили
adolf	адольф
récents	недавні
récents	нещодавні
réservoir	танк
réservoir	водосховище
approfondir	поглибити
transformée	перетворились
linda	лінда
élevés	підвищеними
vocabulaire	словник
vocabulaire	словника
missile	ракета
utiles	корисне
utiles	корисні
utiles	корисна
utiles	корисно
utiles	корисний
utiles	корисні
utiles	корисно
utiles	корисна
utiles	корисний
glasgow	glasgow
écoute	слухаю
écoute	слухання
écoute	слухайте
écoute	прослухати
écoute	слухати
écoute	слухай
harrison	гаррісон
wallonie	валлонія
transept	трансепт
représentés	представлено
anneaux	кільця
anneaux	обручки
cyr	сір
fuir	тікають
fuir	продовжили
sentier	стежка
sentier	сліди
sentier	контур
sentier	шлях
richelieu	рішельє
croisade	crusade
boxeur	боксера
boxeur	боксер
boxeur	боєць
boxeur	винищувач
fifa	fifa
fifa	фіфа
finance	фінанси
finance	фінанси
vedette	зоря
vedette	зірочки
vedette	зоряні
vedette	зірка
vedette	обрані
critère	критерій
critère	критерії
critère	критерій
inédit	неопубліковані
inédit	unreleased
tensions	напругу
tensions	напруга
tensions	заворушення
lucie	люсі
rica	рики
casse	перерв
casse	рветься
casse	настає
bête	звір
impôts	податкова
impôts	податки
impôts	податок
impôts	податки
brigitte	бріджит
brigitte	brigitte
fresques	капели
pattes	ніжки
pattes	ноги
pattes	лапи
économiste	economist
adapter	адаптувати
disparaître	довгій
disparaître	зникають
disparaître	сховався
disparaître	пропаде
disparaître	зникнути
disparaître	зникають
verbe	дієслово
bull	бик
bull	бул
bull	бика
bull	булл
reconstruite	перебудовано
reconstruite	відбудувати
craig	крейг
évalué	обстеження
saintes	сент
saintes	святі
saintes	святі
saintes	святе
saintes	свята
saintes	священні
saintes	святий
rond	кругла
rond	круглий
rond	round
rond	раунд
rond	rond
bnf	bnf
rudolf	рудольф
pokémon	pokémon
linux	linux
commandée	замовила
commandée	замовив
commandée	замовили
commandée	замовляв
commandée	замовляли
retable	retable
fabricant	виробник
syntaxe	синтаксис
syntaxe	синтаксису
logis	logis
celtique	кельтські
singapour	сінгапурі
singapour	сінгапуру
michelle	мішель
joie	радості
joie	радість
costume	костюм
costume	костюм
puissants	потужний
puissants	потужно
hymne	гімн
hymne	гімн
douleur	біль
restauré	відновлено
gay	геї
gay	голубий
gay	гей
mannequin	макет
mannequin	модель
mannequin	моделі
mannequin	манекен
mannequin	моделювання
intense	інтенсивне
intense	інтенсивний
intense	інтенсивно
rendus	відтворено
rendus	rendus
appartiennent	належать
vegas	вегасі
vegas	вегас
chimiste	хімік
flash	флеш
flash	flash
flash	спалах
pacte	пакт
pacte	угода
pacte	компактний
pacte	стислий
analyses	аналітика
analyses	аналітики
analyses	вивчено
analyses	аналіз
foire	ярмарок
foire	справедливо
foire	справедлива
foire	справедливий
excellence	майстерність
plateforme	платформи
plateforme	платформу
plateforme	платформа
stock	акція
stock	капітал
traversé	перетнув
fritz	фріц
corruption	хабарництво
corruption	корупція
dépenses	витрати
dépenses	видатки
dépenses	витратами
dépenses	зняття
dépenses	витрати
découpage	вирізання
vampire	вампір
vampire	вампіри
consultation	консультант
consultation	консалтинг
consultation	консультування
consultation	консультацій
consultation	консультацію
consultation	консультація
consultation	консультації
platine	platinum
jeter	відхилити
jeter	скасувати
jeter	відкинути
jeter	викидати
jeter	молота
jeter	кинути
perrin	перрен
remplacés	замінено
remplacés	замінили
remplacés	замінила
pin	сосна
pin	pin
pin	закріпити
pin	пен
angelo	анджело
moreau	моро
augmenté	зросли
augmenté	збільшили
augmenté	доповнена
haïti	гаїті
pédagogique	педагогічних
pédagogique	педагогічний
cécile	сесіль
loge	лож
tissu	тканина
tissu	тканину
tissu	тканина
continu	продовження
rire	сміються
rire	сміявся
rire	сміється
rire	сміх
rire	сміятися
rire	сміх
coupable	винен
coupable	винним
coupable	винний
report	відстрочки
channel	канал
channel	каналом
channel	channel
channel	каналу
cylindres	циліндр
cylindres	циліндри
cylindres	rolls
vif	яскравий
quais	набережною
quais	панелі
monténégro	чорногорія
monténégro	чорногорії
terreur	жах
terreur	терор
temporaire	тимчасове
temporaire	тимчасові
temporaire	тимчасова
temporaire	тимчасово
temporaire	тимчасовий
verlag	verlag
wang	ван
brooklyn	бруклін
ultra	ультра
ultra	ultra
fourni	надані
fourni	надано
fourni	вказано
fourni	надано
sonde	зонд
tante	тітка
tante	тьотя
baltimore	балтимор
assurances	страхування
vélo	велосипед
vélo	велосипедом
vélo	велосипед
vélo	велосипеда
vélo	ровер
vélo	велоспорт
cloche	дзвінка
cloche	bell
cloche	белл
cloche	дзвін
cloche	дзвінок
stabilité	стабільність
stabilité	стабільна
stabilité	стійкий
rabbin	рабин
marketing	маркетинг
dotée	наділені
simultanément	одночасних
simultanément	одночасно
essonne	ессонн
touché	удар
touché	хіт
touché	влучити
touché	зачепив
touché	вдарив
touché	відчували
touché	задіяні
touché	ураження
nicholas	миколай
nicholas	ніколас
nicholas	миколая
globalement	всюди
globalement	глобально
globalement	загальна
globalement	загальний
attirer	привабливості
attirer	атракціон
attirer	притягнення
attirer	знайдуться
attirer	співом
attirer	зацікавити
attirer	привернути
exploitant	оператор
végétation	рослинність
souffle	подих
souffle	захоплюючий
souffle	фсб
pol	пол
diagnostic	діагностичний
diagnostic	діагноз
diagnostic	діагностика
diagnostic	діагностики
diagnostic	діагностика
conservés	збереглося
conservés	зберегла
conservés	зберігав
caraïbes	caribbean
sacrée	святе
sacrée	священна
sacrée	священні
casino	казино
musulman	ісламський
musulman	мусульмани
musulman	мусульманин
musulman	мусульмани
amené	привезли
amené	принесли
amené	приніс
observé	спостерігала
serre	оранжерея
architectural	архітектурний
complot	креслення
complot	графіка
complot	графік
complot	змова
appris	вивчили
appris	навчився
appris	вивчив
appris	навчилися
appris	навчили
appris	вчили
appris	навчила
appris	викладав
appris	навчив
fan	прихильник
fan	фан
fan	шанувальник
fan	шанувальників
fan	вентилятор
sara	сара
remarqué	зауважимо
remarqué	зауважити
remarqué	помітив
remarqué	помітила
remarqué	помітили
taïwan	тайвань
taïwan	тайванська
faces	облич
faces	обличчя
müller	мюллер
müller	мюллер
mammifères	ссавців
funéraire	похорони
funéraire	похорон
potter	гончар
potter	поттер
doré	золотий
doré	голден
doré	золоті
doré	золоте
doré	золота
doré	gold
doré	золоті
doré	золото
doré	доре
toscane	тосканський
toscane	тоскана
bain	ванна
bain	ванни
rêves	сон
rêves	dream
rêves	мрія
rêves	сни
rêves	снів
rêves	мрій
rêves	мрії
rêves	dreams
chômage	безробіття
signaler	повідомити
signaler	скарга
signaler	звіт
signaler	звітності
signaler	звітування
écrivit	написав
écrivit	написала
écrivit	писав
marina	марина
marina	маріна
temples	храмів
temples	храми
antilles	caribbean
survivants	survivors
survivants	вижили
étroite	вузький
étroite	вузькі
métallique	метали
métallique	металевий
métallique	метал
métallique	металічний
xbox	xbox
géographiques	географічні
géographiques	географічне
renseignement	інтелект
renseignement	розвідка
entourée	оточують
entourée	оточили
contacts	контакти
poudre	порошку
poudre	опіків
avertissement	попередження
avertissement	увага
avertissement	достовірність
continental	continental
prolongement	суфікс
prolongement	розширення
abandonnée	покинуті
abandonnée	відмовилися
frederick	фредерік
géré	переживали
géré	худоби
géré	вдалося
géré	зуміли
géré	керується
théologien	богослов
lever	важіль
lever	світанок
lever	піднімати
algorithme	алгоритми
algorithme	алгоритм
minuit	опівночі
minuit	північ
buste	розірвала
humide	вологе
humide	волога
humide	школярем
humide	вологого
humide	мокра
humide	мокрий
catalan	каталонська
contrats	контракти
censure	цензура
parade	парад
ménage	прибирання
ménage	двір
ménage	очищення
bush	буш
marathon	марафон
solitaire	одинокий
solitaire	самотнім
solitaire	самотня
solitaire	самотні
solitaire	самотньо
algérienne	алжирська
lazare	лазар
lazare	лазаря
lazare	лазар
aveyron	аверон
justifier	вирівняти
justifier	виправдовує
baies	ягід
baies	ягода
baies	беррі
baies	ягода
beauvais	бове
avr	apr
avr	avr
perpignan	перпіньян
peste	пешт
peste	зараза
peste	чума
wallace	воллес
instructions	інструкції
instructions	настанови
instructions	вказівки
controverse	фасаді
controverse	спір
tiens	затримати
tiens	тримай
musulmane	мусульмани
musulmane	мусульманин
angles	кути
angles	кути
aaron	аарон
aaron	арон
soudan	судан
soudan	судану
regarder	дивитися
regarder	подивитися
regarder	дивіться
regarder	дивися
regarder	спостерігати
regarder	дивиться
regarder	дивитися
regarder	дивлюсь
lama	лама
détenu	засуджений
détenu	затриманих
détenu	заарештовані
murphy	мерфі
purement	поїде
divorce	розлучення
divorce	розлучена
cook	готувати
cook	кухаря
cook	кук
cook	повар
cook	кухар
arrêtés	затримала
arrêtés	заарештовано
manhattan	манхеттен
hardy	гарді
parme	парма
paiement	сплати
paiement	платежі
paiement	сплата
paiement	оплати
paiement	оплата
paiement	платіж
paiement	сплати
imposant	застосування
systématique	systematic
rémy	ремі
rémy	ремі
prochain	наступний
prochain	наступна
prochain	next
prochain	наступне
prochain	далі
morris	морріс
fût	бочку
fût	бочка
fût	барабан
survie	виживання
collégiale	collégiale
hydrogène	водню
provoquer	спровокувати
igor	ігор
igor	ігоре
métaux	метали
métaux	металевий
métaux	метал
métaux	метали
parrain	хрещеним
parrain	спонсора
parrain	заплатила
km²	km²
parent	відносно
parent	відносна
parent	відносний
parent	батьківські
parent	батьки
parent	батьківського
parent	батьківський
révélation	одкровення
hudson	хадсон
avoue	зізнатися
avoue	зізнається
fabrice	фабріціо
fabrice	фабріс
gravité	гравітація
gravité	тяжіння
gravité	важливість
valérie	валері
groupement	групування
belfort	бельфор
pente	схил
pente	схилу
pente	градієнт
multi	multi
adhésion	вступу
adhésion	членство
adhésion	accession
apple	яблуко
apple	apple
apple	яблучко
karen	карен
drôme	дром
nazi	нацистів
moral	бойового
moral	мораль
inscrire	зареєструвати
inscrire	поступити
complément	доповнення
complément	добавки
futurs	майбутнє
traverser	перехресті
traverser	traverse
traverser	хрест
traverser	хрестик
traverser	крос
dons	пожертва
dons	пожертву
dons	пожертвувати
dons	пожертви
ignore	ігнорувати
ignore	ігнорування
ignore	ігнорує
patrie	вітчизна
patrie	вітчизну
patrie	вітчизни
patrie	вітчизна
patrie	батьківщина
patrie	батьківщина
malo	мало
sèche	сухий
sèche	суха
sèche	сухо
sèche	сухе
sèche	сухі
oxygène	киснем
oxygène	кисень
