категорија	категория
познати	известен
жители	обитатели
жители	жители
жители	пребиваващи
жители	обитатели
жители	жители
бидејќи	защото
треба	необходимост
треба	нужда
треба	потребност
мини	мини
мини	мините
мини	мини
мини	мини
против	срещу
против	против
голем	голямо
голем	големи
голем	голям
голем	голяма
голем	биг
голем	голямо
голем	големи
голем	голям
голем	голяма
период	период
луѓе	мъжете
луѓе	men
луѓе	мъже
луѓе	народ
луѓе	хора
луѓе	хората
војна	войната
војна	война
сад	сащ
сад	usa
скопје	скопие
република	република
три	три
три	трима
без	без
помош	помощ
поделба	участък
поделба	разделение
поделба	дивизия
поделба	деление
поделба	дял
поделба	разделяне
поделба	разделение
поделба	раздели
поделба	разделяй
поделба	разделяне
космос	космос
космос	космоса
освен	освен
над	над
над	над
над	отгоре
неговите	неговият
неговите	неговата
неговите	му
неговите	неговия
иако	макар
иако	макар
низ	чрез
низ	през
низ	коритото
села	селата
села	селища
села	села
пример	примерна
пример	пример
јазици	езиците
јазици	езици
потоа	тогава
денес	днеска
денес	днес
видот	зрение
начин	начин
два	двама
два	две
точка	дот
точка	точка
заедно	заедно
литература	литература
пак	отново
пак	пак
него	него
сепак	още
смета	счита
постојат	съществуват
објект	предмет
објект	обект
објект	съоръжение
јануари	януари
систем	система
систем	системата
систем	системни
име	името
име	наименование
име	име
десно	правилно
основни	съществени
основни	съществена
основни	съществено
основни	основна
основни	основни
основни	основен
сателитот	спътник
сателитот	сателитно
сателитот	сателит
сателитот	сателитен
сателитот	сателитна
можат	могат
можат	can
користи	използване
користи	употреба
користи	използвайте
нив	ги
нив	тях
класификација	класифициране
класификација	класиране
класификација	класификация
група	група
група	групово
група	групиране
група	групова
истражувања	проучвания
истражувања	проучване
истражувања	проучвания
истражувања	изследване
истражувања	изследвания
европа	европа
прв	първи
прв	първо
држави	държави
држави	щати
држави	държави
држави	страни
откриен	засечен
откриен	разкрита
откриен	разкрито
откриен	разкрити
откриен	разкриха
откриен	разкрит
откриен	разкри
проучување	учене
проучување	уча
проучување	изучаване
проучување	учим
проучување	учене
проучување	учи
проучување	проучване
проучување	изучаване
проучување	изследване
пат	пат
пат	пътят
пат	път
пат	road
пат	пътя
галаксии	галактиките
галаксии	галактики
август	август
август	аугуст
вклучен	замесена
вклучен	замесен
вклучен	сгодени
вклучен	ангажирани
вклучен	сгоден
вклучен	сгодена
предмет	точка
предмет	елемент
предмет	артикул
предмет	предмет
предмет	обект
предмет	субект
предмет	обект
астрономски	астрономически
соѕвездие	съзвездие
набљудување	наблюдение
набљудување	наблюдения
мај	май
истражувачи	изследователи
истражувачи	изследователите
истражувачи	изследователи
критериуми	критерии
март	март
користена	използвано
користена	използван
користена	използвани
користена	използвана
ѕвезди	звездички
ѕвезди	звездите
ѕвезди	звезди
голема	голямо
голема	големи
голема	голям
голема	голяма
голема	биг
голема	голямо
голема	големи
голема	голям
голема	голяма
секој	всеки
секој	всяка
секој	всеки
секој	всяко
цел	цел
цел	гол
поделби	разделения
поделби	участъци
поделби	разделение
поделби	дивизии
оние	тези
јули	юли
америка	америка
цар	цар
цар	императорът
цар	император
цар	императора
често	често
поправени	фиксирани
поправени	фиксирана
поправени	поправен
поправени	фиксиран
поправени	поправено
поправени	поправен
поправени	поправена
припаѓа	принадлежи
истражување	проучване
истражување	анкета
истражување	изследване
истражување	проучване
истражување	проучвания
истражување	изследване
истражување	изследвания
работи	неща
работи	нещата
работи	работи
работи	произведения
работи	работещ
работи	работен
работи	работим
работи	неща
градови	градове
градови	градовете
градови	градчета
градови	градове
градови	градовете
места	места
места	петна
места	седалки
места	места
места	седалките
места	слотове
април	ейприл
април	април
роден	родени
роден	роден
роден	родена
октомври	октомври
земја	държава
земја	страна
земја	земно
земја	земята
земја	земен
земја	земя
повторно	отново
повторно	пак
око	окото
око	око
франција	франция
димензии	размери
округот	окръг
округот	графство
округот	графство
округот	графството
позната	позната
позната	известни
позната	познат
позната	известна
позната	известен
позната	прочут
позната	известни
позната	прочута
позната	известна
позната	известен
позната	позната
позната	познати
позната	познат
позната	познато
позната	запознат
нивните	тяхното
нивните	тяхната
нивните	техните
нивните	техният
галаксија	галактика
галаксија	галактиката
игри	игри
историја	историята
историја	история
откако	след
ноември	ноември
јуни	джун
јуни	юни
лакот	поклон
живот	живот
живот	живота
живот	life
живот	лайф
живот	животът
северна	северни
северна	северен
северна	северна
настани	събития
настани	мероприятия
настани	случки
ширина	широчина
ширина	ширина
култура	култура
пласман	класиране
центар	център
центар	център
втората	второ
втората	втора
втората	втори
население	популация
население	население
декември	декември
мери	мери
дела	работи
дела	произведения
дела	дела
дела	дела
ден	денят
ден	ден
состојба	щат
состојба	държава
состојба	държавно
состојба	състояние
состојба	състоянието
состојба	условие
дијаметар	диаметър
рим	рим
особено	особено
особено	особено
означена	маркирани
означена	маркиран
означена	отбелязани
означена	отбелязан
италија	italia
италија	италия
тогаш	тогава
реката	ривър
реката	река
реката	реката
леќа	леща
леќа	лещи
земји	държави
земји	страни
шаблон	шаблон
член	член
член	статия
член	член
беа	бяха
познат	позната
познат	известни
познат	познат
познат	известна
познат	известен
познат	прочут
познат	известни
познат	прочута
познат	известна
познат	известен
округ	окръг
округ	графство
округ	окръг
округ	област
округ	район
затоа	затуй
затоа	следователно
американски	американска
американски	американско
американски	американски
американски	американец
област	област
област	зона
област	площ
област	област
област	район
јужна	южен
јужна	южни
јужна	южна
јужна	южно
јужна	южен
јужна	юг
јужна	южна
едно	една
едно	един
едно	едно
етапа	стадий
етапа	сцена
етапа	етап
етапа	сцената
забележан	забелязан
износ	сума
износ	количество
филмови	филми
филмови	филми
англиски	английски
англиски	bulgarian
англиски	англичани
бугарија	българия
првенство	първенство
првенство	шампионат
опсерваторија	обсерватория
опсерваторија	обсерваторията
дури	дори
дури	даже
грција	гърция
однос	сношение
однос	връзка
однос	взаимоотношения
однос	отношения
содржи	съдържа
спроведено	проведен
спроведено	проведени
спроведено	проведена
спроведено	проведено
милиони	милион
милиони	милиони
збор	дума
нивната	тяхното
нивната	тяхната
нивната	техните
нивната	техният
февруари	февруари
работа	работа
работа	йов
работа	работа
работа	труд
работа	работи
функција	функция
функција	длъжност
функција	функциониране
функција	функции
држава	държава
држава	страна
држава	щат
држава	държава
држава	държавно
календари	календари
секоја	всяка
секоја	всеки
секоја	всяко
секоја	всяка
секоја	всеки
русија	русия
постои	съществува
метри	метра
метри	метри
метри	метри
нејзината	нея
големи	голямо
големи	големи
големи	голям
големи	голяма
големи	биг
големи	голямо
големи	големи
големи	голям
големи	голяма
четири	четири
четири	четирима
џон	джон
џон	йоан
олимписки	олимпик
олимписки	олимпийски
делови	части
политика	политиката
политика	полица
политика	политика
политика	политици
политика	политиката
политика	политика
видови	сортове
видови	сортовете
видови	видове
видови	вид
империја	империята
империја	емпайър
империја	империя
главен	шефе
главен	началник
главен	основни
главен	основна
главен	главна
главен	главен
главен	главни
врска	връзка
врска	линк
врска	връзка
врска	взаимоотношения
врска	отношения
врска	бонд
свети	блести
свети	свято
свети	свещено
свети	свещена
свети	свещени
свети	свещен
свети	сейнт
свети	свети
свети	светица
свети	светец
свети	светят
свети	сияние
вклучувајќи	включително
телескоп	телескопа
телескоп	телескопи
телескоп	телескоп
групи	групи
најчесто	предимно
најчесто	главно
награда	награда
награда	награда
награда	възлагане
награда	награда
значи	означава
разговор	разговор
разговор	разговори
разговор	беседа
разговор	чата
разговор	чат
филм	филмова
филм	филм
филм	филм
филм	лента
википедија	уикипедия
крај	край
вода	вода
вода	водата
резултат	резултат
резултат	резултат
резултат	резултата
улога	роля
претседател	президентът
претседател	президент
претседател	председател
училиште	училището
училиште	школа
училиште	училище
страница	страница
страница	страницата
страница	page
западна	западна
западна	западни
западна	западен
западна	западните
западна	уестърн
западна	western
нови	ню
нови	ново
нови	нов
нови	нови
нови	нова
песни	мелодии
песни	песните
песни	песни
организација	организация
организација	организация
лидери	ръководители
лидери	лидерите
лидери	лидери
лидери	водачи
познато	позната
познато	познати
познато	познат
познато	познато
познато	запознат
случај	случай
случај	дело
случај	кейс
случај	случаят
случај	каса
редослед	ред
редослед	поръчка
сезона	сезон
сезона	сезона
игра	мач
игра	гейм
игра	играта
игра	игра
веќе	вече
основа	основание
основа	основания
основа	основа
основа	основание
основа	база
населба	сетълмент
населба	уреждане
населба	селище
населба	квартал
населба	съседство
сили	сили
обично	обикновенно
обично	обикновено
обично	нормално
обично	обикновено
обично	обичайно
обично	обичайното
подредени	подчинени
бројни	многобройни
промени	промени
промени	промените
промени	изменения
промени	промени
промени	смяна
промени	промяна
разлика	разграничение
разлика	разграничаване
разлика	разлики
разлика	разлика
разлика	разликата
разлика	разлика
употреба	използване
употреба	употреба
употреба	използване
употреба	употреба
употреба	използвайте
форма	формата
форма	форма
форма	формуляр
форма	форма
договор	сделка
договор	съгласие
договор	споразумение
договор	договор
договор	договор
изграден	построени
изграден	изградена
изграден	построена
изграден	построено
изграден	построен
изграден	построени
изграден	конструирани
изграден	изградено
некој	всеки
некој	някой
некој	някой
лига	лигата
лига	лига
лига	лига
влијание	влияние
влијание	сблъсък
влијание	въздействие
влијание	удар
влијание	влияние
друга	друг
членови	членове
членови	членовете
починал	умрял
починал	умряла
површина	повърхност
површина	повърхността
површина	desktop
неа	нея
неа	неа
после	след
фудбалери	футболисти
фудбалери	футболистите
острови	острови
острови	островите
острови	острови
острови	айлс
вештачки	изкуствено
вештачки	изкуствен
вештачки	изкуствена
вештачки	изкуствени
вештачки	изкуствено
ред	ред
ред	поръчка
ред	ред
лица	лица
лица	лицата
лица	лица
друг	друг
почеток	начало
почеток	старт
почеток	започнете
почеток	стартиране
почеток	начало
народи	народите
народи	народи
син	синко
син	сине
син	син
албум	албум
никола	никола
никола	никола
македонска	македонска
македонска	македонски
нова	ню
нова	ново
нова	нов
нова	нови
нова	нова
австралија	австралия
тур	турне
тур	обиколка
тур	тур
повеќето	повечето
александар	александър
александар	александър
вилијам	уилям
татко	татко
татко	баща
татко	татко
движење	движение
движење	местене
движење	преместване
движење	придвижване
движење	движение
дело	работа
дело	труд
дело	работи
дело	delo
власт	авторитет
власт	орган
власт	правомощия
власт	мощност
власт	сила
власт	власт
власт	мощ
прва	първи
прва	първо
англија	англия
развој	развитие
развој	разработване
развој	разработка
развој	разработване
развој	развиване
деца	деца
деца	децата
деца	деца
лево	ляво
лево	ляв
лево	наляво
главно	основно
главно	предимно
главно	главно
главно	предимно
главно	главно
србија	сърбия
сега	сега
кариера	кариера
кариера	кариери
кариера	кариера
општини	общините
општини	общини
храм	темпъл
храм	храмът
храм	храм
ниво	равнище
ниво	ниво
облик	формата
облик	форма
тим	тим
тим	тийм
тим	отбор
тим	отбора
тим	екип
тим	team
сателити	спътници
сателити	сателитите
сателити	сателити
ера	епоха
ера	ерата
ера	ера
музика	music
музика	музиката
музика	музика
германски	германец
германски	германски
германски	немски
германски	немска
германски	германска
видете	видя
видете	вижте
видете	виж
археолошки	археологически
археолошки	археологически
близина	наблизо
универзитет	университет
универзитет	university
универзитет	университета
море	море
море	морето
пати	пъти
пати	времена
пати	таймс
пати	times
пет	пет
париз	парис
париз	париж
целосно	напълно
целосно	изцяло
целосно	напълно
целосно	напълно
поле	полето
поле	поле
минути	минути
листа	списък
мала	малка
мала	малки
мала	малък
мала	дребен
мала	малка
мала	малки
мала	малък
мала	литъл
мала	малко
вредност	стойност
поделени	разделена
поделени	разделено
поделени	разделени
поделени	разделен
британија	британия
британија	великобритания
поврзани	свързани
поврзани	свързан
поврзани	свързано
поврзани	свързана
поврзани	свързани
поврзани	свързани
поврзани	свързан
поврзани	свързана
поврзани	свързано
саксонија	саксония
свет	свят
свет	света
потекло	произход
потекло	слизане
потекло	спускане
потекло	произход
владетел	владетел
шпанија	испания
спорт	спорт
спорт	спортен
спорт	спортни
спорт	спортен
спорт	спорт
спорт	спортно
спорт	спортове
програма	програмата
програма	програма
програма	програма
мали	малка
мали	малки
мали	малък
мали	дребен
мали	малка
мали	малки
мали	малък
мали	литъл
мали	малко
мали	мали
куќа	house
куќа	къща
куќа	къщата
куќа	хаус
институции	институциите
институции	институции
буда	буда
трка	надпревара
трка	надбягване
трка	състезание
трка	раса
крал	крал
крал	кинг
крал	кралят
крал	цар
крал	краля
таму	там
слика	снимка
слика	картинка
слика	имидж
слика	картинка
слика	образ
слика	изображение
слика	рисуване
слика	живопис
слика	картина
слика	боядисване
статија	статия
статија	член
ссср	ссср
статии	изделия
статии	статии
статии	артикули
евреите	евреите
евреите	евреи
француски	френско
француски	французи
француски	френска
француски	френски
француски	французин
партија	парти
партија	party
партија	купон
партија	партия
природни	натурални
природни	естествени
природни	естествена
природни	естествен
кралство	кралство
кралство	царство
државите	държави
државите	щати
река	ривър
река	река
река	реката
политички	политически
политички	политическа
политички	политически
политички	политическо
области	райони
области	области
области	квартали
области	райони
области	зони
области	площи
области	области
право	правилно
серија	серия
серија	поредица
серија	сериал
серија	серии
серија	серия
енергија	енергия
енергија	energy
енергија	енергетика
значајни	значителен
значајни	значително
значајни	значителни
значајни	значим
значајни	значителна
значајни	смислен
значајни	смислено
островот	острова
островот	island
островот	остров
островот	островът
островот	айлънд
образование	обучение
образование	образование
образование	възпитание
дена	дни
дена	дена
добро	добър
добро	добро
добро	добре
извршување	изпълняване
извршување	екзекутират
извршување	екзекуция
извршување	изпълнение
негово	неговият
негово	неговата
негово	му
негово	неговия
наведени	изброени
тука	тук
смртта	смърт
смртта	смъртта
римјаните	римляни
римјаните	римляните
родени	родени
родени	роден
родени	родена
натпревари	кибрит
натпревари	съвпада
натпревари	мачове
натпревари	съвпадения
натпревари	състезания
натпревари	конкурси
натпревари	конкурси
егејска	егейско
албанија	албания
книга	тефтер
книга	книга
речиси	почти
азија	азия
песна	коловоз
песна	писта
песна	пистата
песна	песен
песна	песничка
всушност	всъщност
боја	цветове
боја	цвят
боја	цветен
боја	цветно
боја	боя
боја	бои
боја	боядисване
боја	цветна
боја	цветове
боја	цвят
боја	цветен
боја	цветно
прави	правейки
понекогаш	понякога
води	води
води	води
води	уотърс
води	водите
води	води
води	олово
поглед	изглед
поглед	гледка
поглед	оглед
поглед	преглед
заедница	общност
заедница	общността
стил	стил
рок	скала
рок	rock
рок	рок
рок	скали
рок	камък
мухамед	мухамед
мухамед	мохамед
мухамед	мохамед
комитет	комитет
комитет	комисия
африка	африка
населени	населено
населени	населен
населени	населена
населени	населени
континент	континент
континент	континента
животот	живот
животот	живота
животот	life
животот	лайф
животот	животът
регион	район
регион	регион
регион	област
моќ	мощност
моќ	сила
моќ	власт
моќ	мощ
сила	сила
сила	мощ
сила	якост
сила	сила
исток	източно
исток	изток
извештај	докладване
извештај	доклад
лондон	london
лондон	лондон
македонци	македонците
македонци	македонци
кина	порцелан
кина	китай
кина	чайна
права	права
елементи	елементи
елементи	вписвания
елементи	записи
теорија	теорията
теорија	теория
значење	смисъл
значење	значимост
орбита	орбитален
орбита	орбита
орбита	орбитата
езеро	езерото
езеро	лейк
езеро	езеро
руски	руснак
руски	руски
руски	руснаци
руски	руска
руски	руско
битола	битоля
соодветната	съответстващ
соодветната	съответстващи
соодветната	съответстваща
соодветната	съответен
соодветната	съответстващо
нешто	нещо
црна	черни
црна	черно
црна	черна
црна	черен
натпревар	конкуренция
натпревар	конкурс
натпревар	състезание
натпревар	мач
натпревар	съвпадение
натпревар	конкурс
натпревар	състезание
смрт	смърт
смрт	смъртта
мислења	мнение
мислења	становища
мислења	мнения
културни	културни
културни	културен
културни	културно
културни	културна
милениум	хилядолетие
милениум	милениум
пари	пари
пари	парите
средината	средата
наместо	вместо
веб	web
веб	уеб
петар	петър
петар	питър
петар	петер
петар	петър
царство	кралство
царство	царство
царство	империята
царство	емпайър
царство	империя
влада	правителство
јазикот	език
човек	човешка
човек	човешко
човек	човек
човек	човешки
човек	човече
човек	човек
човек	мъж
направи	направи
направи	направена
направи	направено
направи	направен
направи	направени
мека	мека
мека	меко
мека	мек
мека	меки
мека	нежна
мека	мека
мал	малка
мал	малки
мал	малък
мал	дребен
мал	малка
мал	малки
мал	малък
мал	литъл
мал	малко
мал	мал
изградена	построени
изградена	изградена
изградена	построена
изградена	построено
изградена	построен
системи	системи
семејство	семейство
семејство	семейството
услови	изисквания
услови	състояния
услови	условията
услови	условия
услови	термини
услови	условия
пол	пол
пол	пола
пол	пол
пол	паул
кралот	крал
кралот	кинг
кралот	кралят
кралот	цар
кралот	краля
заштита	защита
заштита	закрила
сан	сан
лав	лъв
лав	лъв
лав	лео
општествени	социално
општествени	социален
општествени	социални
општествени	социална
турција	турция
турција	пуйка
најмногу	повечето
најмногу	предимно
најмногу	главно
победа	победи
победа	печеля
победа	спечели
победа	печелиш
победа	победа
победа	победа
мајка	мамо
мајка	мама
мајка	майка
мајка	майко
малку	малка
малку	малки
малку	малък
малку	литъл
малку	малко
разни	различни
дава	дава
надвор	отвън
надвор	навън
надвор	вън
надвор	навън
клуб	club
клуб	клуб
клуб	клубът
слики	изображения
слики	образи
слики	снимки
слики	картинки
слики	картини
слики	снимки
слики	снимките
војска	военно
војска	военен
војска	военна
војска	военни
војска	армията
војска	армеец
војска	армия
војска	армейски
уметност	изкуства
уметност	изкуствата
уметност	изкуство
уметност	арт
уметност	изкуството
уметност	art
уметност	изкуство
географија	география
ниту	нито
растојание	дистанция
растојание	разстояние
растојание	отстояние
растојание	компенсиране
растојание	компенсира
втор	второ
втор	втора
втор	втори
покраина	провинцията
покраина	провинция
медина	медина
височина	височина
рем	ремус
рем	рем
јован	йован
јован	джон
јован	йоан
извори	източници
жени	жени
жени	жените
должина	дължина
големо	биг
големо	голямо
големо	големи
големо	голям
големо	голяма
знаме	флаг
знаме	знамето
знаме	знаме
живи	живи
живи	жива
живи	жив
избран	избрана
избран	избрано
избран	избрани
избран	избран
избран	избрана
избран	избрано
избран	избрани
избран	избран
функции	функции
нирвана	нирвана
вели	казва
вели	вели
секогаш	винаги
она	тя
вкупно	общо
вкупно	общ
вкупно	обща
прво	първи
прво	първо
вклучува	включват
вклучува	включва
факултет	колежа
факултет	колежът
факултет	колеж
факултет	преподаватели
факултет	факултета
факултет	факултет
тип	гай
тип	вид
тип	тип
половина	наполовина
половина	половината
софија	софия
софија	софия
месеци	месеца
месеци	месеци
месеци	месеците
знаменитости	забележителности
знаменитости	гледки
знаменитости	забележителности
жена	жената
жена	жена
жена	жена
жена	съпруга
жена	съпругата
проблеми	беля
проблеми	неприятности
проблеми	беда
проблеми	проблем
проблеми	проблеми
проблеми	проблеми
проблеми	проблемите
претходно	досега
претходно	предишна
претходно	предишни
претходно	предишен
претходно	предишно
контрола	контролиране
контрола	контрол
училишта	училища
училишта	школи
училишта	училищата
север	северно
север	север
север	северна
север	севър
простор	отстояние
простор	пространство
простор	космос
простор	космоса
војни	войните
војни	войни
доаѓа	входящи
доаѓа	входящ
доаѓа	входящо
доаѓа	идва
доаѓа	очаквайте
доаѓа	идва
доаѓа	идвам
добива	получава
нивното	тяхното
нивното	тяхната
нивното	техните
нивното	техният
сојуз	союз
сојуз	алианса
сојуз	алианс
сојуз	съюз
ниска	долно
ниска	ниско
ниска	ниски
ниска	нисък
ниска	ниска
источна	източна
источна	източно
источна	източни
источна	изток
источна	източен
шест	шестима
шест	шест
никогаш	никога
линија	реплика
линија	линия
види	видя
види	вижте
види	виж
види	виж
орбитата	орбита
орбитата	орбитата
верзија	версия
тело	тялото
тело	тяло
тело	телесно
историски	историческа
историски	исторически
историски	историческо
историски	исторически
историски	историческа
историски	исторически
историски	историческо
книги	книгите
книги	книги
процес	процес
дом	дом
дом	домашен
дом	вкъщи
дом	дом
индија	индия
исламска	ислямска
исламска	ислямски
главна	основни
главна	основна
главна	главна
главна	главен
главна	главни
јапонија	япония
советски	съветска
советски	съветски
грчки	гръцки
грчки	гръцко
грчки	грък
грчки	гръцка
возраст	възраст
југ	южно
југ	южен
југ	юг
југ	южна
музеј	музей
запад	запад
запад	западно
запад	западна
запад	западен
запад	уест
писател	писателка
писател	сценарист
писател	писател
поп	поп
поп	pop
награди	награди
награди	награди
награди	награди
зборови	думите
зборови	думи
официјално	официален
официјално	официално
официјално	официална
официјално	официално
музички	музикален
музички	музикално
