maryland	maryland
zalecenia	preporukom
zalecenia	preporuka
zalecenia	preporuke
zalecenia	preporuka
zalecenia	preporuke
roberts	roberts
róża	ruža
róża	rosa
armaty	top
jung	jung
dowody	dokaz
dowody	dokazi
zachowany	zadržala
zachowany	proučena
amerykanie	amerikanaca
amerykanie	amerikanci
ósemka	osam
obsługiwane	podržao
obsługiwane	podržali
kwitnie	cveta
notowania	quotations
notowania	navodom
impreza	stranka
impreza	partija
uszkodzony	oštećeni
uszkodzony	oštećeno
uszkodzony	oštećen
administratorem	admin
administratorem	administrator
kierunki	pravci
kierunki	pravcima
kierunki	pravaca
airways	airways
trofeum	trophy
trofeum	trofej
mandatu	mandat
legia	legija
legia	legiji
legia	legije
legia	legia
gabinet	kabinet
zniszczenie	uništavanje
zniszczenie	uništenja
zniszczenie	uništenje
libertadores	libertadores
umieścić	stavi
umieścić	stavila
umieścić	staviti
umieścić	stavio
umieścić	stavljen
pfalz	pfalz
zabrze	zabrze
iran	iran
icao	icao
han	han
dekret	dekretom
dekret	dekret
pisanie	typing
pisanie	pisanje
olympic	olimpijski
słownika	rječnik
dochód	prihoda
dochód	prihodi
dochód	prihode
dochód	prihod
winter	zima
poprawki	korekcija
poprawki	amandmani
poprawki	amandmane
samolotem	avion
samolotem	avion
samolotem	aeroplane
zhang	zhang
anioł	anđeo
seattle	seattle
nadawania	emitiranje
łączna	kumulativni
zbędne	nepotreban
zawartych	zaključila
zawartych	zaključio
dzieciństwie	djetinjstvo
santo	santo
bristol	bristol
centralna	central
centralna	centralni
centralna	centralna
mosty	mostove
mosty	mostovi
mosty	mostova
traci	traci
traci	gubi
traci	izgubi
działki	crteža
działki	zavjera
krajowym	domaće
krajowym	domaćem
krajowym	domaća
krajowym	domaći
nazwane	nazvana
nazwane	nazvane
nazwane	nazvan
nazwane	proglašen
autorskie	autorska
autorskie	copyright
gilbert	gilbert
równanie	jednačina
davisa	davis
rzekomo	navodno
więzień	zatvorenik
więzień	zatvorenik
więzień	zatvora
poinformował	obavijestio
poinformował	izvijestio
telefon	telefon
telefon	telefon
jasno	bright
jasno	bistra
kuba	kuba
utc	utc
felix	felix
aktualne	trenutna
franka	frank
ujednoznacznienie	čvor
dachau	dachau
przemiany	transformacija
przemiany	transformacije
przemiany	transformaciju
dziwne	čudno
dziwne	čudno
gerard	gérard
gerard	gerard
zagraniczne	stranih
zagraniczne	strani
zagraniczne	stranim
wyrzutni	pokretač
turynie	torino
brzegi	rubovima
urban	urban
urban	urbani
urban	urbano
urban	urbana
urban	urbane
fotograf	fotografa
zaatakował	napadnuta
zaatakował	napali
zaatakował	napao
turystyczna	turistička
turystyczna	turističkih
symboli	simboli
symboli	simbola
podania	aplikacije
podania	prijave
zabił	ubila
zabił	ubili
zabił	ubio
zabił	ubijena
zabił	ubijen
zabił	ubijeni
rzeczywistość	stvarnost
korporacji	korporacija
korporacji	korporacije
korporacji	korporacija
ludzkości	čovječnosti
ludzkości	čovječanstvo
ludzkości	čovječanstva
twierdza	tvrđava
obserwacje	posmatranja
obserwacje	posmatranje
satelity	sateliti
satelity	satelita
satelity	sateliti
szyi	vrat
młodzi	mladi
młodzi	mlada
młodzi	young
młodzi	mladić
akademickich	akademik
akademickich	akademska
akademickich	akademske
ligue	ligue
stalina	staljin
borys	boris
uznana	priznat
uznana	priznala
uznana	priznata
tożsamość	identitet
tożsamość	identiteta
machine	mašina
składników	sastojci
sławy	slavnih
sławy	fame
wykonawcy	umjetnici
wykonawcy	izvođači
beta	beta
rodríguez	rodriguez
rodríguez	rodríguez
zysk	profit
zysk	dobit
zysk	stekne
zysk	dobiti
zysk	gain
zysk	profit
ring	ring
ring	prsten
instruktor	predavač
iata	iata
ludzkie	čovjek
wykonywanie	nastupa
zagrożony	ugrožena
zagrożony	ugrozili
zagrożony	zaprijetio
martínez	martínez
dzieciństwa	djetinjstvo
nicholas	nicholas
mateusza	matthew
punk	pank
brać	preuzeti
brać	uzeti
brać	take
brać	preuzme
specjalistów	specijalisti
specjalistów	profesionalci
specjalistów	profesionalaca
spencer	spencer
wiatru	vjetar
ósmy	osmi
ósmy	osmo
syberii	sibira
tarcza	štita
tarcza	štit
przedstawiciela	zastupnik
przedstawiciela	predstavnik
piwo	pivo
kultur	kultura
willi	willi
willi	vile
willi	villas
komenda	naredba
komenda	komandu
komenda	komanda
atlantic	atlantski
atlantic	atlantika
atlantic	atlantska
uni	uni
pokonać	pobijedio
pokonać	pobedi
pokonać	prevazići
pokonać	poraz
pokonać	poraza
age	uzrast
age	godište
age	doba
age	age
age	starost
rysunek	slika
rysunek	crtež
rysunek	figura
rysunek	cifra
rysunek	figure
rysunek	umjetničko
rysunek	crtež
urzędnicy	službenike
urzędnicy	zvaničnici
panorama	panorama
gitarze	gitara
karne	penala
karne	kazna
karne	krivičnog
dole	dno
marsa	mars
podpis	caption
podpis	potpis
znajomości	veze
nigerii	nigerija
posiadać	imaju
potencjał	potencijal
włoskie	italijanski
xbox	xbox
boeing	boinga
boeing	boeing
niespodziewanie	iznenađujuće
wirginia	virginia
dick	dick
konie	konjima
konie	konji
konie	konj
agresji	agresija
kiss	poljubac
kiss	kiss
rezerw	rezervi
rezerw	rezerve
kolejność	naređenje
kolejność	naredbu
kolejność	reda
kolejność	red
kolejność	niz
imigrantów	imigranti
imigrantów	imigranata
imigrantów	imigrant
pogrzeb	sahrane
pogrzeb	ukop
pogrzeb	sahrane
angelo	angelo
mostów	mostove
mostów	mostovi
mostów	mostova
petra	petra
bułgaria	bugarska
straße	straße
lekkoatletyka	atletici
kopia	kopija
kopia	copy
kopia	kopiju
podróżnik	putnik
podróżnik	putopisac
bogate	bogata
bogate	bogato
bogate	bogati
bogate	bogatim
bogate	bogat
odziedziczył	naslijedio
delegacji	delegacija
delegacji	delegacije
ems	ems
chelsea	chelsea
zwolennicy	navijači
zwolennicy	pristalica
zwolennicy	pristalice
wątek	nit
związani	vezan
ograniczone	ograničene
ograniczone	ograničena
ograniczone	ograničen
ograniczone	zabranjen
kowalczyk	kowalczyk
amerykanów	amerikanaca
amerykanów	amerikanci
dowolny	bilo
sosnowiec	sosnowiec
alfons	alfons
alfons	alfonsa
alfons	pimp
właściwy	nadležne
amerykanin	američki
amerykanin	amerikanac
linux	linux
teorie	teorija
teorie	teorije
hierarchii	hijerarhija
centralne	central
centralne	centralni
centralne	centralna
porsche	porsche
emilia	emilia
emilia	emilie
powiązane	povezani
powiązane	povezana
powiązane	povezano
powiązane	povezani
powiązane	povezane
powiązane	povezana
powiązane	vezani
powiązane	vezane
milion	milion
etiopii	etiopiji
etiopii	etiopski
doświadczeń	iskustava
doświadczeń	iskustva
projektant	dizajner
otwór	aperture
otwór	rupa
justyna	justin
propagandy	propaganda
odpowiedzialność	odgovornost
odpowiedzialność	nadležnosti
odpowiedzialność	odgovornosti
odpowiedzialność	odgovornost
police	policija
bundesligi	bundeslige
dysku	diska
dysku	disk
dysku	disku
hokej	hokej
liu	liu
wyjaśnienia	objašnjenje
wyjaśnienia	objašnjenja
wyjaśnienia	pojašnjenje
ołeksandr	oleksandr
okrążenia	lap
wyższy	viša
wyższy	višem
hop	hop
współrzędnych	koordinate
marynarzy	mornari
marynarzy	mornara
avenue	avenue
gustav	gustav
mobile	mobilni
mobile	mobilne
filadelfii	philadelphia
oddziaływania	uticaji
kadencja	mandat
kadencja	izraz
kadencja	termin
poczta	mail
poczta	post
wenus	venera
graf	graf
zapraszam	dobrodošli
cosworth	cosworth
funduszu	fond
felipe	felipe
zasług	zasluge
wyemigrował	iseljavaju
wyróżnić	isticanja
wyróżnić	istaknuta
zurychu	cirih
zurychu	zürich
pasażerski	putnik
cia	cia
cia	cia
cia	cla
pojedynczy	single
sprinter	sprintera
ból	bol
rgb	rgb
pierwotne	primarna
pierwotne	primarni
działało	radio
grobu	grob
martín	martín
więzienie	zatvor
więzienie	zatvor
kupił	kupio
wycofany	povukao
justin	justin
beck	bek
true	istina
true	tačna
ginie	gina
ginie	gine
collegium	collegium
indianapolis	indianapolis
kadetów	kadeta
sprawdzone	testirali
sprawdzone	ispitana
żużlu	speedway
rzymskie	rimski
rzymskie	rimsko
rzymskie	roman
godło	amblem
hampshire	hampshire
motywy	teme
motywy	motive
motywy	motivi
tras	pravci
tras	pravaca
rakieta	raketa
rakieta	projektil
rakieta	raketa
hart	hart
hart	rp
khan	khan
khan	kan
podanie	primjenu
podanie	aplikacija
podanie	prijavu
podanie	prijavi
podanie	aplikativni
podanie	prijave
podanie	proći
podanie	pass
luca	luca
akademickie	akademik
akademickie	akademska
akademickie	akademske
akademickie	academia
szt	pcs
aparatu	kamera
przyszedł	došao
przyszedł	došla
przywilej	privilegija
przywilej	privilegije
sri	šri
lekki	svjetlost
lekki	lagan
karaibów	karipsko
karaibów	karipska
karaibów	kariba
konserwatorium	conservatory
łatwiej	lakši
łatwiej	lakše
basen	bazen
roll	roll
uchodźców	izbjeglica
uchodźców	izbjeglica
uchodźców	izbjeglice
owoc	plod
empire	carstvo
pióra	pera
ski	ski
okręgów	okruzi
okręgów	okruga
regularne	redovni
regularne	redovnog
regularne	redovan
regularne	redovna
regularne	redovnom
regularne	redovnim
break	brejk
druku	štampanje
zasoby	resurs
zasoby	resursi
zasoby	resurse
zasoby	berze
zasoby	dionica
zasoby	deonice
zasoby	dionice
ran	rana
ran	rane
ran	rana
objętości	volumen
objętości	tomova
radosław	radosław
oskar	oskar
oskar	oscar
oskar	oskar
szczęścia	sreću
szczęścia	sreća
szczęścia	sreća
modlitwa	mole
modlitwa	molitvi
modlitwa	molitve
modlitwa	namaz
modlitwa	molitva
marine	morskih
marine	morski
marine	marine
rasa	trka
rasa	rasa
tymczasowy	privremeno
tymczasowy	privremenu
tymczasowy	privremene
satelita	sateliti
pérez	pérez
przykładów	primjeri
era	epohe
era	epoha
era	eru
era	ere
era	era
lang	lang
królowie	kraljevi
pascal	pascal
szóste	šesti
szóste	šestom
pomógł	pomogla
pomógł	pomogao
gridcolor	gridcolor
teatrów	pozorišta
teatrów	teatara
koń	konj
pacjenta	pacijent
potrzebna	treba
potrzebna	potrebni
potrzebna	potrebno
potrzebna	potrebna
potrzebna	potreban
potrzebna	potrebne
proponuje	predlaže
uderzenie	utjecaj
uderzenie	udar
uderzenie	hit
uderzenie	pogođena
uderzenie	udario
uderzenie	pogodio
popełnił	počinjenih
popełnił	počinjenim
popełnił	počinila
popełnił	izvršio
popełnił	počinio
popełnił	počinili
annie	eni
secret	tajna
zmniejsza	smanjuje
polecenia	komande
polecenia	komanduje
polecenia	naredba
polecenia	komandu
polecenia	komanda
fortu	utvrđenje
fortu	fort
praktyka	praksu
praktyka	praksi
praktyka	praksom
praktyka	praksa
sainte	sainte
ska	ska
zaangażowany	uključen
zaangażowany	počinjenih
zaangażowany	počinjenim
zaangażowany	počinila
zaangażowany	izvršio
zaangażowany	počinio
zaangażowany	počinili
zakończony	ukinut
pomiarów	merenje
pomiarów	mjerenja
renesansu	renesansa
częste	zajednički
częste	zajedničkim
częste	zajedničku
częste	česti
jelita	crijevo
zdrowie	zdravlje
cbs	cbs
rolnicze	poljoprivredni
charakteryzują	okarakterizirati
partnerem	partnera
partnerem	partner
przedstawiono	predstavila
przedstawiono	predstavljena
przedstawiono	predstavljen
przedstawiono	predstavilo
przedstawiono	predstavio
honoru	počast
honoru	čast
honoru	časti
honoru	čast
square	kvadrat
odrębne	specifičan
odrębne	odvojenih
odrębne	odvojene
odrębne	odvojiti
obydwa	oboje
czaszki	lobanja
fischer	fischer
białek	proteine
białek	proteinima
białek	proteini
publiczny	javni
publiczny	javnost
publiczny	javna
publiczny	javno
mail	mail
tronie	prijesto
tronie	arš
tronie	tronu
tronie	tron
tronie	trona
kogo	ko
kogo	koji
francuz	francuza
francuz	francuz
heaven	nebo
cen	cen
piła	piju
piła	pio
piła	piće
piła	vidio
śniegu	snijeg
damian	damian
istoty	bića
istoty	bićima
istoty	stvorenja
ołtarzu	altar
policjant	policajca
policjant	policajac
policjant	policajac
cannes	kanu
cannes	kanski
informacyjny	informativni
informacyjny	informativno
geschichte	geschichte
gospodarstwo	farma
gospodarstwo	drže
gospodarstwo	holding
czwartego	četvrta
czwartego	četvrti
czwartego	četvrto
czwartego	četvrtog
czwartego	četvrtom
wiosce	selo
ograniczona	ograničene
ograniczona	ograničena
ograniczona	ograničen
ograniczona	zabranjen
kontynuować	nastavljaju
dem	dem
potwierdzenie	potvrda
management	menadžment
split	splitsko
split	split
split	splitska
kenneth	kenneth
przeżył	preživjeli
sosna	bor
sosna	pine
paragwaju	paragvaj
bunt	pobunu
bunt	pobuna
bunt	pobuna
bunt	pobunu
bunt	pobuni
bunt	pobune
pete	pete
suche	suha
suche	suho
ward	ward
ward	odjeljenju
baz	baz
promieniowanie	zračenje
promieniowanie	radijacija
struga	struga
eduardo	eduardo
sweet	slatko
skierowane	usmjeren
skierowane	režija
skierowane	režirao
kolorów	boje
fernández	fernández
rycerz	vitez
rycerz	skakač
rycerz	viteza
zapewnienia	osigurati
zapewnienia	osigurali
zapewnienia	osigura
zapewnienia	uvjeravanja
zapewnienia	uvjeravanja
watson	watson
wyraża	izražava
wprowadzona	uvedeno
wprowadzona	uveo
wprowadzona	uveden
wprowadzona	uvedena
zwrot	povratka
zwrot	povratak
funkcjonowanie	operacija
funkcjonowanie	funkcionisanje
białoruś	bjelorusija
socjalistyczna	socijalistička
czołg	tenk
egzemplarze	kopija
egzemplarze	kopije
zboczach	padine
zboczach	obroncima
słowackiej	slovački
widział	vidio
połączona	spojeni
połączona	spojena
patrol	patrola
patrol	patrolni
litera	pismo
litera	slovo
oznaczony	označeni
oznaczony	obilježene
oznaczony	obilježena
oznaczony	obilježio
oznaczony	obilježen
control	kontrolisanje
control	kontrolisati
control	kontroliše
control	kontroli
control	kontrola
chóru	hor
chóru	hor
starcia	sukobi
stacjonował	stacioniranih
maroka	marokanski
athletic	atletski
athletic	athletic
aresztowania	hapšenja
okien	windows
bogato	bogato
odpowiedni	pogodan
odpowiedni	pogodna
śledztwo	istraga
enwiki	enwiki
wrc	wrc
względnie	relativno
praktyczny	praktične
praktyczny	praktična
praktyczny	praktični
ograniczony	ograničene
ograniczony	ograničena
ograniczony	ograničen
ograniczony	zabranjen
arabskie	arab
arabskie	arapsko
arabskie	arapskih
arabskie	arapska
arabskie	arapski
arabskie	arapsko
lewo	lijevo
dno	dno
kopenhadze	kopenhagen
wyścigi	trkama
wyścigi	rasa
wyścigi	utrka
wyścigi	utrke
wyścigi	racing
gracze	igrači
gracze	takmičilo
holland	holandija
halle	halle
dotarły	stigao
dotarły	stigli
dotarły	stigla
sumy	sum
sumy	suma
bractwa	bratstvo
bractwa	bratstvo
tajemnica	misterija
tajemnica	tajna
targ	pijaci
targ	tržište
targ	tržišta
połączony	povezani
połączony	povezana
kraina	land
kraina	kopnena
kraina	zemlja
szeregi	redove
szeregi	serija
szeregi	seriji
potrzebny	treba
potrzebny	potrebni
potrzebny	potrebno
potrzebny	potrebna
potrzebny	potreban
potrzebny	potrebne
mig	mig
oryginalna	originalni
oryginalna	originalna
oryginalna	prvobitni
oryginalna	originalne
oryginalna	original
kanały	kanali
kanały	kanala
kanały	kanale
kanały	kanalima
kanały	kanal
kanały	kanalu
kanały	channel
inicjatorem	inicijator
pokryta	pokriveni
pokryta	pokrivena
pokryta	pokrivene
turner	turner
ambasady	ambasada
jefferson	jefferson
spartak	spartak
partner	partnera
partner	partner
transmisji	prenos
transmisji	emitovanje
transmisji	emitovati
teodora	teodora
właściciele	vlasnici
właściciele	vlasnike
albrecht	albrecht
kolonie	kolonije
kolonie	kolonija
joão	joao
heinz	heinz
wygrana	pobjeda
wygrana	pobijedi
wygrana	osvoji
wygrana	osvojivši
wygrana	pobjednički
wygrana	dobijanje
lekkie	lagan
regulamin	propis
que	que
rachel	rachel
wenecja	venecija
idee	ideja
idee	idejama
idee	ideje
sierżant	narednik
wynalazca	pronalazač
bei	bei
skarb	plemenite
skarb	blago
ogrody	bašče
ogrody	bašti
prokurator	tužilac
piąta	petom
piąta	peta
piąta	peto
piąta	peti
potwierdza	potvrđuje
pamiętnik	žurnal
pamiętnik	dnevnika
pamiętnik	dnevniku
pamiętnik	dnevnik
przewodnictwem	predsjedavanja
przewodnictwem	predsjedavanje
procedury	procedura
procedury	procedure
procedury	postupak
procedury	procedura
disco	disko
barona	baron
sumę	sum
sumę	suma
uczestniczyło	učestvovalo
uczestniczyło	učestvovali
uczestniczyło	učestvovao
uczestniczyło	učestvovala
dostaje	dobiva
dostaje	dobija
prawny	legalno
prawny	pravna
prawny	pravne
prawny	pravni
prawny	pravnih
cząsteczki	čestice
cząsteczki	molekula
cząsteczki	molekuli
cząsteczki	molekule
cząsteczki	čestice
cząsteczki	čestica
fair	fer
fair	sajam
wstawić	ubacuje
czysto	jasni
czysto	jasnih
czysto	jasno
czysto	jasna
czysto	jasan
urzędy	kancelarije
urzędy	urede
objęcia	prihvati
plemiona	plemena
nadzwyczajny	izuzetne
nadzwyczajny	izvanredan
nadzwyczajny	neuobičajena
linda	linda
musical	muzičkim
musical	muzičke
musical	muzički
musical	muzička
musical	mjuzikl
musical	musical
zawodowo	profesionalno
virginia	virginia
mistrzowie	masters
mistrzowie	šampioni
drewno	drva
drewno	drvo
salvador	salvador
islam	islam
bloków	blokovi
prasa	press
prasa	štampa
łańcuch	gudački
łańcuch	string
łańcuch	lanac
eso	eso
stevens	stevens
kapitał	kapital
monica	monica
monica	monika
galaktyki	galaksija
aktualny	trenutna
kontrola	kontrolisanje
kontrola	kontrolisati
kontrola	kontroliše
kontrola	kontroli
kontrola	kontrola
kontrola	revizija
kontrola	inspekcija
mieszane	mješovite
mieszane	mješovita
dodaje	dodaje
typowo	tipično
typowo	tipičan
warunek	uslovom
warunek	uslov
warunek	stanje
zawieszenia	obustave
naftowej	sirove
koleje	željeznice
koleje	željeznica
koleje	željeznice
stowarzyszeń	udruženja
regina	regina
zagrożonych	ugrožena
zagrożonych	ugrozili
sokół	soko
działka	zavjera
rozwiązany	riješen
rozwiązany	riješiti
rozwiązany	riješen
rozwiązany	riješile
rozwiązany	riješiti
znaczny	značajne
znaczny	značajni
znaczny	značajne
znaczny	značajnom
znaczny	značajna
znaczny	značajan
znaczny	značajno
znaczny	značajnu
floryda	florida
księżnej	vojvotkinja
obniżenie	snižavanje
geograficzny	geografske
geograficzny	geografska
geograficzny	geografski
autobus	autobus
wirnika	rotor
właścicielami	vlasnici
właścicielami	vlasnike
wewnętrzny	unutrašnje
wewnętrzny	unutrašnja
wewnętrzny	unutrašnji
wewnętrzny	unutrašnji
wewnętrzny	unutrašnja
jeana	jean
sex	spol
samców	mužjaci
zbrodnie	zločini
zbrodnie	zločine
zbrodnie	kriminal
filharmonii	filharmonija
dar	dar
dar	poklon
row	redom
wewnętrzna	unutrašnje
wewnętrzna	unutrašnja
wewnętrzna	unutrašnji
wewnętrzna	unutrašnji
wewnętrzna	unutrašnja
podróże	putovanje
podróże	putovanja
podróże	putovanju
podróże	putujući
pokrywy	pokriva
pokrywy	obuhvata
lewandowski	lewandowski
umieszczenie	plasman
grabowski	grabowski
kapłan	sveštenik
kapłan	sveštenika
aktów	dela
aktów	akte
aktów	akti
aktów	akata
twierdzenia	tvrdnje
twierdzenia	tvrdi
pokrewne	vezani
pokrewne	vezane
artystyczna	umjetnička
artystyczna	umjetničko
artystyczna	umjetničkim
artystyczna	umjetnički
orlando	orlando
opinia	mišljenje
opinia	feedback
alessandro	alessandro
pogoń	chase
postawy	stav
postawy	stava
postawy	stavovi
postawy	držanje
kasy	novac
kasy	novac
klaus	klaus
studenci	studenti
studenci	učenici
studenci	student
zęby	zube
zęby	zuba
zęby	zubi
zęby	zubima
duszy	duša
przeznaczeniem	destiny
przeznaczeniem	sudbina
przeznaczeniem	sudbinu
finały	finale
obywatel	građanin
irlandia	irska
osobno	odvojeno
zeszyt	notebook
ferdinand	ferdinand
act	ponašaju
act	čin
act	akt
nationale	nationale
skała	rok
skała	rock
leonarda	leonard
łaski	milosti
łaski	milost
łaski	grace
wykorzystane	korištene
wykorzystane	koristi
wykorzystane	korišteno
wykorzystane	korišten
nina	nina
wyświęcony	odredio
montana	montana
hansen	hansen
parametr	parameter
narciarstwo	skijanje
eyes	eyes
eyes	očima
eyes	oči
terytoriów	teritorije
terytoriów	teritorija
ochotników	dobrovoljaca
ochotników	volonteri
pojęć	koncepti
circle	kružnica
otoczone	okruženo
otoczone	okružen
otoczone	okružena
absolwentów	diplomaca
dłuższe	duže
auf	auf
uruchomienie	pokretanje
uruchomienie	pokrenuti
uruchomienie	pokretanje
imdb	imdb
gilles	gilles
diana	diana
senat	senat
zaproszenie	pozvati
zaproszenie	pozivamo
zaproszenie	poziv
zamiar	namjera
zamiar	namjeru
zamiar	namjerom
zamiar	namjera
zamiar	namjere
podwozie	šasije
iranie	iran
lane	lane
minas	minas
reggae	reggae
blog	blog
zębów	zube
zębów	zuba
zębów	zubi
zębów	zubima
dziesiątki	desetine
dziesiątki	desetine
orbicie	orbitu
orbicie	orbiti
aten	atene
aten	atina
lars	lars
ter	ter
fikcyjna	izmišljen
full	pun
full	full
full	puna
full	punom
full	puni
full	punu
odra	boginje
afryka	afrika
afryka	afrički
afryka	afričke
afryka	afričkih
afryka	afrička
opublikowano	postavljenim
opublikowano	objavljenog
opublikowano	objavljen
opublikowano	objavljene
opublikowano	objavljeni
opublikowano	objavljena
monet	novčiće
monet	kovanica
lufy	barela
kosmiczny	kosmičke
kosmiczny	kosmičkim
kosmiczny	kosmička
kosmiczny	kosmičkih
money	novac
korzyść	korist
korzyść	prednost
calgary	calgary
szybciej	brži
szybciej	brže
bakterii	bakterijske
bakterii	bakterijskih
bakterii	bakterije
gospodarcza	ekonomske
gospodarcza	ekonomska
gospodarcza	ekonomski
przełom	proboj
przełom	iskorak
texas	texas
heavy	heavy
heavy	teški
heavy	težak
heavy	teška
heavy	teške
słowian	slaveni
rysunki	crtežima
rysunki	crteži
jake	jake
historycy	historičari
portland	portland
terytoria	teritorije
terytoria	teritorija
terytoria	teritorije
terytoria	teritorija
algorytm	algoritam
koronę	kruna
koronę	krunu
wróć	povratka
wróć	povratak
kamienie	kamenova
kamienie	kamenje
kamienie	stone
kamienie	kamen
kamienie	kameno
kamienie	kameni
kamienie	stijene
kamienie	stijena
kamienie	stijenama
honor	počast
honor	čast
honor	časti
honor	čast
konkretnie	konkretno
konkretnie	tačnije
umiera	umire
umiera	umre
umiera	umire
umiera	umiru
przemysłowe	industrijske
przemysłowe	industrijska
przemysłowe	industrijski
tunel	tunel
niewątpliwie	nesumnjivo
zbiorniki	tenkova
zbiorniki	tenkovi
niewielu	par
niewielu	nekoliko
sprzedano	prodala
sprzedano	prodat
sprzedano	prodao
chen	cen
konkursy	takmičenjima
tygodniach	sedmica
zen	zen
ewakuacji	evakuaciju
jürgen	jürgen
wymiar	dimenzija
wymiar	dimenziju
bonus	bonus
sncf	sncf
web	web
connecticut	connecticut
rolnictwo	poljoprivredni
rolnictwo	poljoprivreda
rolnictwo	poljoprivreda
zmieniona	izmijenio
simone	simone
juniors	juniors
poezja	poezija
litwa	litvanija
sprzeciw	opozicioni
sprzeciw	protivljenje
sprzeciw	opozicija
atlanta	atlanta
sól	so
kolonię	kolonija
opady	padavina
opady	padavina
słowacja	slovačka
odchodzi	odlazak
odchodzi	napušta
odchodzi	ostavljajući
odchodzi	napuštanje
odchodzi	ostavivši
usuwanie	uklanjanjem
usuwanie	uklanjanje
usuwanie	brisanje
usuwanie	delecija
usuwanie	otklanjanje
usuwanie	uklanjanje
klein	klein
poczucie	čulo
odwrót	povlači
rany	rana
rany	rane
rany	rana
substancje	supstanca
substancje	materija
substancje	supstance
substancje	supstanci
substancje	supstance
publikowane	objavljenog
publikowane	objavljen
publikowane	objavljene
publikowane	objavljeni
publikowane	objavljena
pływak	plivačica
pływak	plivač
ogromny	ogromni
ogromny	masivne
ogromny	masivan
ogromny	masivna
ogromny	masivni
ogromny	ogromna
ogromny	ogromne
ogromny	ogromno
nagrodzony	nagrađeni
schemat	dijagram
schemat	šema
schemat	šeme
oczywiste	očigledno
oczywiste	očigledni
oczywiste	očigledan
fotografia	foto
fotografia	fotografija
fotografia	fotografija
teoretycznie	teoretski
gmt	gmt
przekierowanie	preusmjeravanja
krajobraz	pejzaž
ted	ted
tramwaj	tram
tramwaj	streetcar
zdecydowała	odlučili
zdecydowała	odlučilo
zdecydowała	odlučila
zdecydowała	odlučio
przekonać	uvjeriti
przekonać	uvjere
belgradzie	beograd
tkanki	tkiva
tkanki	tkivo
tkanki	tkiva
tkanki	tkivu
podstawowego	basic
skuteczność	nastup
skuteczność	djelotvornost
skuteczność	efikasnost
przypadkowo	slučajno
erich	erich
dama	ledi
dama	dami
dama	dama
dama	lady
władcą	vladar
ślad	trag
ślad	trag
ślad	tragovi
przyjęte	prihvatio
przyjęte	prihvaćena
przyjęte	primljeni
przyjęte	primljen
przyjęte	prihvatili
przyjęte	usvojen
przyjęte	usvojena
bloki	blokovi
niska	niski
niska	nizak
niska	low
twierdzą	tvrde
twierdzą	tvrdnju
testament	testament
testament	zavjet
berg	berg
anhalt	anhalt
podobieństwo	sličnost
mitsubishi	mitsubishi
zatrudnienie	zaposlenje
horror	horor
technologia	tehnologija
oklahoma	oklahoma
konkretne	specifične
