kohtuullisen	そこそこ
häiriö	騒乱
häiriö	無秩序
alaskassa	アラスカ
tobias	トバイアス
papit	司祭
saadut	受け取り
saadut	受信
tunnelin	トンネル
hankkinut	後天性
kapinaa	反乱
vita	ヴィータ
jatkuvat	連続
jatkuvat	継続
henkilökunta	人材
henkilökunta	職員
henkilökunta	スタッフ
pensaita	低木
ignatius	イグナティウス
aron	アロン
dracula	ドラキュラ
vala	ヴァラ
vala	宣誓
rikkomisesta	侵害
ara	ara
ara	コンゴウインコ
adler	アドラー
becker	ベッカー
lanka	ワイヤ
lanka	針金
lanka	ワイヤー
lanka	スレッド
lanka	毛糸
thomson	トムソン
java	java
kokeita	実験
toimenpide	運行
toimenpide	作戦
toimenpide	運営
toimenpide	操作
toimenpide	オペレーション
toimenpide	プロシージャ
toimenpide	手順
toimenpide	手続き
toimenpide	計測
toimenpide	測定
marokko	モロッコ
saga	サガ
saga	佐賀
kartat	地図
kartat	マップ
kartat	チャート
kartat	グラフ
todisteet	証明
todisteet	プルーフ
todisteet	証拠
todisteet	証拠
harrisin	ハリス
veistoksia	彫刻
ham	ハム
ulospäin	外側
gardner	ガードナー
aukon	絞り
garcia	ガルシア
titanic	タイタニック
rotua	品種
cha	チャ
cha	チャカ
bolivian	ボリビア
bolivian	ボリビア
livenä	ライブ
livenä	生きる
syytettynä	被告人
forbes	フォーブス
floyd	フロイド
allekirjoitus	署名
allekirjoitus	調印
allekirjoitus	サイン
allekirjoitus	記号
allekirjoitus	署名
allekirjoitus	署名
alpit	アルプス山脈
alpit	アルプス
näytös	アクト
näytös	act
saattue	船団
saattue	エスコート
saattue	護送
aineisto	素材
aineisto	材料
aineisto	マテリアル
entsyymi	酵素
otus	生き物
karjaa	家畜
karjaa	ウシ
kotimainen	住民
kotimainen	国内
kotimainen	先住民
bruins	ブルーインズ
kommenttia	コメント
täydellistä	パーフェクト
täydellistä	完璧
lähetys	放送
lähetys	配信
lähetys	ブロードキャスト
lähetys	伝送
lähetys	出荷
futsal	フットサル
rautatiet	鉄道
rautatiet	鉄道
elektroninen	エレクトロニック
emmanuel	エマニュエル
oppimisen	学習
oppimisen	ラーニング
oppimisen	学問
asiakkaiden	カスタマー
asiakkaiden	クライアント
hiekkaa	砂塵
latinalainen	ラテン語
latinalainen	ラテン
shah	シャー
iltapäivällä	午後
kalastaja	漁師
myyntiä	販売
myyntiä	売り上げ
myyntiä	セールス
myyntiä	売上
kanavat	チャネル
kanavat	チャンネル
kanavat	運河
sinistä	青い
sinistä	ブルー
sinistä	青色
teddy	テディ
bibliografia	参考文献
lauren	ローレン
tulva	洪水
tulva	洪水
julistus	布告
julistus	宣言
julistus	申告
muinaiset	古代
katsojan	ビューア
tiedostojen	ファイル
keskimmäinen	真ん中
keskimmäinen	ミドル
maaperä	土壌
iowa	アイオワ
jännite	緊張
jännite	テンション
jännite	電圧
sano	say
sano	セイ
claudius	クラウディウス
rakenteiden	構造
norma	ノーマ
sopimukset	契約
sopimukset	条約
sopimukset	協定
novak	ノヴァク
terävä	シャープ
terävä	鋭い
hbo	hbo
junien	電車
junien	列車
vartalon	胴体
menetelmät	メソッド
menetelmät	方法論
menetelmät	手続
menetelmät	プロシージャ
menetelmät	手順
menetelmät	手続き
kallis	高い
kallis	高額
hassan	ハサン
hassan	ハッサン
elintarvikkeiden	食材
lunta	スノー
lunta	snow
mosambikin	モザンビーク
turva	セキュリティ
turva	セキュリティー
smash	スマッシュ
kylmää	風邪
kylmää	コールド
kylmää	冷たい
kylmää	寒い
pyörii	ローリング
pyörii	紡績
terminaali	端末
terminaali	ターミナル
rakas	dear
rakas	ディア
zeppelin	ツェッペリン
teatteria	演劇
teatteria	劇場
aero	エアロ
hussein	フセイン
enrique	エンリケ
gnu	gnu
singer	シンガー
joutsen	白鳥
joutsen	スワン
kirjeet	手紙
piipun	マズル
toivoa	ホープ
toivoa	希望
ulkoinen	外部
ulkoinen	外側
mandoliini	マンドリン
järjestelmät	スキーム
järjestelmät	システム
järjestelmät	システムズ
materiaaleja	材料
materiaaleja	素材
syksy	落ちる
syksy	落下
bulgariassa	ブルガリア
andien	アンデス
andien	アンデス
vastauksia	レスポンス
vastauksia	回答
vastauksia	回答
vastauksia	返信
pehmeä	やわらかい
pehmeä	柔らかい
pehmeä	ソフト
yhteisöt	コミュニティ
yhteisöt	エンティティ
luuli	思考
tracy	トレイシー
lahja	現在
lahja	present
lahja	プレゼント
lahja	ギフト
lahja	贈り物
par	パー
schneider	シュナイダー
berkeley	バークリー
ovi	ドア
piha	中庭
piha	ヤード
frances	フランセス
kuolan	コーラ
huhti	apr
huhti	四月
huhti	エイプリル
kirkas	クリア
kirkas	ブライト
kirkas	明るい
ainutlaatuinen	ユニーク
ainutlaatuinen	独特
usb	usb
kursseja	コース
muistin	メモリ
muistin	メモリー
muistin	記憶
lentoja	フライト
rice	ご飯
rice	ライス
smp	smp
kuuba	キューバ
periaatteet	原則
periaatteet	原理
visa	visa
visa	ビザ
visa	査証
malta	マルタ
malta	マルタ
ajoneuvojen	乗り物
ajoneuvojen	車両
viihde	エンターテイメント
viihde	娯楽
viihde	エンターテインメント
twin	ツイン
twin	双生児
twin	双子
hylätä	拒否
sali	体育館
sali	ジム
sali	ホール
pariskunnan	カップル
lasi	グラス
lasi	ガラス
enkelit	エンジェルス
enkelit	天使
upseerit	役員
wing	ウイング
tahto	ウィル
tahto	遺言
hyöty	給付
hyöty	利益
hyöty	福利
hyöty	効用
hyöty	ユーティリティー
hyöty	ユーティリティ
perua	取り消し
perua	キャンセル
perua	取り消す
keikka	ギグ
ola	オラ
kaksoset	双子
kamppailu	闘争
kamppailu	格闘
chase	チェイス
kukko	コック
kukko	雄鶏
lisenssi	ライセンス
lisenssi	ライセンス
lisenssi	免許
lisenssi	ライセンス
mielenkiintoista	興味深い
mielenkiintoista	おもしろい
mielenkiintoista	面白い
islanders	島民
virtaus	フロー
virtaus	流れ
vyöhyke	ゾーン
vyöhyke	zone
monimutkainen	コンプレックス
monimutkainen	錯体
monimutkainen	複雑
monimutkainen	複雑
saapuneet	到着
räjähdyksen	爆発
kasvillisuuden	植生
sotamies	非公開
sotamies	プライベート
kellon	クロック
kellon	時計
varusteet	道具
varusteet	装備
varusteet	機器
varusteet	機材
varusteet	歯車
varusteet	ギア
bauer	バウアー
asterix	アステリックス
käyttötarkoitus	目的
victorian	ビクトリア
victorian	ヴィクトリア
luxemburg	ルクセンブルク
veneet	ボート
emäntä	愛人
emäntä	ホステス
opiskelu	勉強
opiskelu	勉強
opiskelu	学習
opiskelu	ラーニング
opiskelu	学問
kolmekymmentä	三十
kolmekymmentä	thirty
bowl	ボウル
hauska	楽しい
hauska	面白い
obi	オビ
bostonissa	ボストン
terästä	スチール
terästä	鋼鉄
myrkyllisiä	毒性
vetäytyä	引き出す
vickers	ヴィッカース
meta	メタ
drew	ドリュー
burke	バーク
hotellissa	ホテル
estä	ブロック
dans	dans
salaman	ライトニング
odotettiin	期待
ecuadorin	エクアドル
hyödyllistä	有益
hyödyllistä	役に立つ
hyödyllistä	役立つ
ravintoloita	レストラン
termit	規約
termit	用語
termit	用語
valtuuskunnan	委任
valtuuskunnan	委嘱
määrittely	定義
kukoisti	栄え
leader	リーダー
dokumentteja	ドキュメンタリー
osastot	役職
osastot	称号
osastot	タイトル
osastot	学科
tiikeri	トラ
tiikeri	タイガー
taustan	背景
taustan	バックグラウンド
piper	パイパー
pysähtyy	停車駅
korkki	cap
korkki	キャップ
korkki	コルク
korkki	コーク
calder	カルダー
yksityiset	非公開
yksityiset	プライベート
huolissaan	心配
muslimeja	イスラム教
muslimeja	ムスリム
millerin	ミラー
tutkiminen	探検
tutkiminen	審査
tutkiminen	試験
tutkiminen	検査
tutkiminen	取調べ
dana	ダナ
seth	セス
kadut	ストリート
hannibal	ハンニバル
tilastojen	統計
cliff	クリフ
trinity	三位一体
ikää	age
ikää	年齢
persoona	ペルソナ
persoona	個性
persoona	人柄
persoona	性格
persoona	人格
persoona	パーソナリティ
kortit	カード
juniorit	後輩
kiinteän	固定
kiinteän	固定された
solmua	ノット
solmua	結び目
työnantaja	事業主
jäätikkö	氷河
viisitoista	fifteen
viisitoista	十五
diogenes	ディオゲネス
leiri	camp
leiri	キャンプ
ilmiöt	現象
samurai	サムライ
samurai	武士
santo	サント
pate	パテ
viljely	栽培
lämpö	ヒート
osoitteen	アドレス
osoitteen	住所
velvollisuus	義務
velvollisuus	責任
velvollisuus	責務
velvollisuus	義務
velvollisuus	債務
taivaaseen	天国
cash	現金
etenemisen	progression
kielto	禁酒
kielto	禁止
kielto	禁酒令
luonnollista	自然
luonnollista	ナチュラル
ibrahim	イブラヒム
walsh	ウォルシュ
hyödyllisiä	役に立つ
hyödyllisiä	役立つ
kauppiaat	商人
siviili	文官
jordanian	ヨルダン
jordanian	ヨルダン
jordanian	ジョーダン
seikkailuja	冒険
seikkailuja	アドベンチャー
seikkailuja	冒険
arizonan	アリゾナ
autonomian	自治
selma	セルマ
poikkeava	異常
poikkeava	逸脱
liikkeellä	引越し
liikkeellä	移動
totuutta	真実
totuutta	真理
kuvastaa	反映
johtaneet	led
junalla	電車
junalla	列車
junalla	トレイン
ich	ich
harvat	少数
eemeli	エミル
wells	ウェルズ
rantaa	ビーチ
rantaa	砂浜
willem	ウィレム
abdullah	アブドゥッラー
avataan	開く
avataan	オープニング
asteittain	徐々に
asteittain	プログレッシブ
vuosisatoja	世紀
fraser	フレーザー
derby	ダービー
rytmi	リズム
vedyn	水素
hilkka	ボンネット
lucia	ルチア
lucia	ルシア
sisäpuolella	インサイド
chili	チリ
opiskelijoille	生徒
opiskelijoille	学生
positiivista	陽性
positiivista	ポジティブ
jälkeläinen	子孫
jälkeläinen	子孫
hankittu	後天性
dakota	ダコタ
vampyyri	ヴァンパイア
vampyyri	吸血鬼
karjan	家畜
kopioida	重複
kopioida	複製
natalie	ナタリー
fyysistä	フィジカル
fyysistä	物理
jalkojen	フィート
jalkojen	両足
yksinkertaista	シンプル
yksinkertaista	簡単
yksinkertaista	単純
risteyksessä	交差点
risteyksessä	十字路
kulman	コーナー
leipzigin	ライプツィヒ
ikkunat	windows
eagles	イーグルス
muistoja	思い出
laitetta	デバイス
laitetta	機器
putki	パイプ
putki	チューブ
shirley	シャーリー
kunto	状態
kunto	条件
puhujia	スピーカー
rico	リコ
vartija	キーパー
vartija	ガーディアン
vartija	後見人
vartija	ガード
väline	計器
väline	道具
väline	楽器
väline	ツール
väline	工具
väline	道具
marcos	マルコス
identiteetin	アイデンティティー
identiteetin	アイデンティティ
robotti	ロボット
whitney	ホイットニー
petit	プチ
pala	ピース
pala	焼き
pala	火傷
pala	やけど
pala	burn
mongolien	モンゴル
saapumista	到着
basel	バーゼル
lähemmäs	近い
sovelluksia	アプリケーション
sovelluksia	アプリ
piirustukset	図面
ehdokkaan	候補者
ehdokkaan	候補
dresden	ドレスデン
chang	チャン
edellytykset	条件
hengellinen	スピリチュアル
alejandro	アレハンドロ
enterprise	エンタープライズ
enterprise	企業
leikkauksen	手術
neuvottelujen	ネゴシエーション
neuvottelujen	交渉
viisas	英明
viisas	賢い
viisas	スマート
martina	マルティナ
lähetykset	放送
lähetykset	ブロードキャスト
isänmaan	祖国
alfredo	アルフレード
lund	ルンド
idol	アイドル
piilossa	隠し
jatketaan	継続
bernin	ベルヌ
löytöjä	ディスカバリー
löytöjä	発見
joshua	ヨシュア
halen	ヘイレン
akun	電池
akun	バッテリー
akun	バッテリ
sokea	ブラインド
sokea	盲人
korkeuden	身長
galileo	ガリレオ
asiakkaita	カスタマー
asiakkaita	クライアント
tunnustuksen	懺悔
tunnustuksen	自白
ehdotettiin	おすすめ
opettajat	教員
opettajat	教師
dome	ドーム
alexis	アレクシス
kipua	痛み
kipua	疼痛
kipua	ペイン
matalalla	低い
brett	ブレット
soturi	戦士
taipumus	傾向
lance	ランス
myöskin	also
myöskin	また
maatilan	農場
maatilan	ファーム
viruksen	バイラル
viruksen	ウィルス
viruksen	ウイルス
kuivaa	辛口
kuivaa	ドライ
kuivaa	乾燥
kirjaimia	手紙
aikaisin	アーリー
aikaisin	早い
singaporessa	シンガポール
etua	利子
etua	利息
viini	ワイン
havaijin	ハワイアン
lausunnon	意見
elton	エルトン
kertynyt	蓄積
katsojia	観客
kara	カラ
julien	ジュリー
magdalena	マグダレナ
magdalena	マグダレーナ
messier	メシエ
osuudet	貢献
osuudet	株式
osuudet	シェア
yksittäin	個別
yksittäin	個別に
kortteja	カード
kansallisten	国民
kansallisten	ナショナル
sirius	シリウス
sul	スル
selitykset	説明
selitykset	解説
selitykset	解説
järkevä	分別
järkevä	rational
säästää	保存
seuraukset	エフェクト
seuraukset	効果
kettu	キツネ
algeria	アルジェリア
algeria	アルジェリア
bergen	ベルゲン
vahvin	最強
vankia	捕虜
vankia	囚人
paramount	パラマウント
teresa	テレサ
osaka	大阪
korvataan	置換
korvataan	置換
kana	鶏肉
kana	ニワトリ
kana	チキン
kana	カナ
kana	仮名
kehottaa	衝動
vaihtelua	バリエーション
iommi	iommi
elintarvike	食材
vaaraa	危険
eilen	きのう
eilen	昨日
jerome	ヒエロニムス
jerome	ジェローム
happi	酸素
logiikka	論理
sukupuoli	性別
sukupuoli	ジェンダー
sukupuoli	性的
sukupuoli	性別
sukupuoli	セックス
neo	ネオ
tavat	マナー
taiwanin	中華民国
taiwanin	台湾
japanista	日本
andrews	アンドリュース
hirvi	ムース
hirvi	シカ
hirvi	シカ
memphis	メンフィス
gates	ゲイツ
oletettu	推定
kankaan	布地
kankaan	生地
kankaan	織物
molly	モリー
lissabonin	リスボン
filippiinit	フィリピン
glee	グリー
gottfried	ゴットフリート
todellisuus	リアリティ
todellisuus	現実
muovi	プラスチック
muovi	合成樹脂
muovi	ビニール
muovi	プラスチック
muovi	プラスティック
tiivis	コンパクト
tiivis	簡潔
gaala	ガーラ
germain	ジェルマン
joosef	ヨセフ
bmg	bmg
vista	vista
vista	ビスタ
