och	in
växer	raste
växer	zraste
många	številni
många	mnogi
många	veliko
efter	po
nära	zapri
nära	blizu
väster	zahodna
väster	zahod
väster	zahodno
provins	pokrajina
provins	provinca
öster	vzhodni
öster	vzhod
öster	vzhodna
öster	vzhodno
först	prva
först	prvo
först	prvi
först	najprej
berg	gora
berg	gorsko
berg	gorski
berg	planina
berg	goro
berg	berg
berg	hribi
berg	planine
berg	gore
berg	gorovje
indonesien	indonezije
indonesien	indonezija
usa	zda
usa	usa
mars	marec
mars	marca
mars	pohod
mars	mars
mindre	manjše
mindre	manjše
mindre	manjša
mindre	manjši
mindre	manjše
mindre	manjši
mindre	manjša
mindre	manj
norr	severna
norr	severni
norr	severno
norr	sever
oktober	oktobra
oktober	oktober
man	moški
man	mož
man	človek
september	september
september	septembra
större	major
större	večja
större	večji
större	večje
större	večja
större	večje
större	večja
större	večji
större	večje
centrala	osrednje
centrala	centralne
centrala	centralno
centrala	osrednji
centrala	centralni
nordväst	severozahodni
nordväst	sz
nordväst	severozahodno
blev	postala
blev	postal
andra	drugi
andra	drugo
andra	druga
andra	druge
andra	drugi
andra	drugih
andra	druge
hade	imelo
hade	imeli
hade	imel
hade	imela
där	tam
där	kjer
där	kje
nordost	severovzhodno
county	okrožni
county	okrožje
county	okraj
county	okrožju
nog	dovolj
huvudsakligen	predvsem
huvudsakligen	pretežno
huvudsakligen	večinoma
huvudsakligen	primarno
huvudsakligen	predvsem
ovanligt	nenavaden
ovanligt	nenavadna
ovanligt	neobičajno
ovanligt	nenavadno
ovanligt	nenavadne
ovanligt	občasno
ovanligt	občasni
namngivna	poimenovana
söder	južno
söder	jug
söder	južna
mycket	zelo
mycket	much
mycket	veliko
jpg	jpg
regionen	regiji
regionen	regija
ottawa	ottawi
creek	potok
creek	creek
ganska	dokaj
närmaste	najbližji
närmaste	najbližja
närmaste	najbližje
närmaste	najbliže
närmaste	najbližji
närmaste	najbližja
närmaste	najbližje
november	november
november	novembra
maj	maj
maj	maja
maj	maj
platt	platt
platt	ravna
platt	stanovanje
född	rojen
född	rojena
född	rojene
född	rojeni
född	rodil
finland	finska
samhälle	družbo
samhälle	društvo
samhälle	družba
samhälle	skupnost
samhälle	skupnosti
hon	ona
består	sestavljeno
platser	sedeže
platser	sedeži
platser	lokacij
platser	lokacije
platser	kraji
första	prva
första	prvo
första	prvi
första	najprej
fick	dobil
fick	got
fick	prejeto
fick	prejeti
fick	prejeta
sydväst	jugozahodno
sydväst	jz
området	območje
området	površina
området	področje
australien	avstralijo
australien	avstralije
australien	avstraliji
australien	avstralija
sydöstra	jugovzhodno
sydöstra	jugovzhodni
sydöstra	jugovzhodno
april	april
april	aprila
bar	bar
sydost	jugovzhodno
sydost	jugovzhodni
hans	hans
hans	njegovo
hans	njegove
hans	njegov
hans	njegova
södra	južna
södra	južno
södra	južni
södra	južno
södra	jug
södra	južna
toppen	super
toppen	odlično
toppen	top
toppen	vrh
sverige	švedska
sedan	potem
östra	vzhodni
östra	vzhod
östra	vzhodna
östra	vzhodno
östra	vzhodni
östra	vzhodna
östra	vzhodno
cet	cet
genom	skoz
genom	skozi
sitt	sedi
kilometer	kilometre
kilometer	kilometrov
kilometer	kilometri
kilometer	kilometer
kilometer	kilometre
kilometer	kilometrov
kilometer	kilometri
norra	severna
norra	severni
norra	severno
norra	sever
norra	severna
norra	severno
norra	severni
norra	severne
också	tudi
också	preveč
talet	govor
detta	to
detta	ta
detta	tole
detta	tega
mot	proti
mot	zoper
mot	mot
västra	zahodna
västra	zahod
västra	zahodno
västra	zahodna
västra	zahodni
västra	western
västra	zahodno
del	delno
del	del
del	del
riktning	smer
namn	ime
namn	imena
namn	imen
vilket	katero
vilket	kateri
vilket	katere
vilket	katerih
vilket	ki
vilket	katerega
svenska	švedska
svenska	švedsko
svenska	švedski
svenska	svenska
mellan	med
svensk	švedska
svensk	švedsko
svensk	švedski
svensk	šved
när	kadar
när	ko
när	kdaj
cerro	cerro
frankrike	francijo
frankrike	francija
frankrike	france
död	smrt
död	mrtev
kulle	hrib
kulle	grič
kulle	hill
kina	porcelan
kina	kitajski
kina	kitajsko
kina	kitajska
kommunen	občina
klimatet	podnebje
est	est
text	besedilo
lista	spisek
lista	seznam
annat	drugi
annat	drugo
annat	druga
annat	druge
största	največji
största	največja
största	največje
skulle	bi
inom	znotraj
departementet	oddelek
denna	to
denna	ta
denna	tole
denna	tega
from	pobožna
tropiskt	tropske
tropiskt	tropski
tropiskt	tropskih
park	parkiraj
park	park
hill	hrib
hill	grič
hill	hill
flera	večkratno
flera	večkratni
periodiskt	periodično
periodiskt	periodično
nord	severna
nord	severni
nord	severno
nord	sever
nord	nord
stockholm	stockholm
alla	vsi
alla	vsem
alla	vse
alla	vseh
alla	vsi
samma	ista
samma	enaka
samma	enako
samma	isto
senare	pozneje
senare	kasneje
olika	drugačna
olika	drugačen
olika	drugačni
olika	drugačno
olika	različni
olika	različne
olika	razne
point	točka
point	point
point	točko
ort	city
ort	mesto
ort	mestu
nya	novo
nya	nov
nya	novi
nya	nove
nya	nova
island	islandija
island	islandijo
island	islandije
dock	kakorkoli
sjön	jezero
sjön	lake
sjön	jezera
tidigare	predhodno
tidigare	prej
tidigare	prej
tidigare	nekdanje
tidigare	nekdanja
tidigare	nekdanji
tidigare	predhodna
tidigare	prejšnja
tidigare	predhodni
tidigare	prejšnji
tidigare	predhodno
brasilien	brazilija
colombia	columbia
colombia	kolumbijo
colombia	kolumbiji
utan	brez
socken	župnijo
sina	njihovi
sina	njihov
sina	njihovo
sina	njuna
sina	njihova
sina	njihove
score	zadetek
score	rezultat
spanien	španija
boreala	borealni
mount	priklop
mount	mount
kom	pridi
kom	prišlo
kom	prišel
stora	velika
stora	velike
stora	velika
stora	veliki
stora	velike
stora	velik
omgivande	okoliških
omgivande	obdaja
basen	baza
basen	osnova
basen	oporišče
tre	tre
tre	tri
tre	trije
tre	tremi
tre	three
shift	izmeno
shift	premik
algeriet	alžirija
dessa	teh
dessa	te
dessa	tele
dessa	tiste
chile	čilu
chile	čile
chile	čila
växtlighet	vegetacije
mer	več
mer	bolj
här	tukaj
kongo	kongo
öst	vzhodni
öst	vzhod
öst	vzhodna
öst	vzhodno
öst	vzhodni
öst	vzhodna
öst	vzhodno
region	regiji
region	regija
von	von
wat	wat
file	datoteka
file	datoteko
släkte	generacija
släkte	generacije
släkte	ustvarjanje
släkte	generacijo
släkte	pasme
släkte	rodov
släkte	rodu
släkte	rod
sydlig	južna
sydlig	južno
sydlig	južni
västlig	zahodna
västlig	zahodni
västlig	western
västlig	zahodno
blir	postane
sydvästra	jugozahodno
sydvästra	jz
tillsammans	skupaj
samhällen	skupnostim
samhällen	skupnosti
samhällen	družbe
samhällen	društva
lite	lite
republiken	republike
republiken	republiko
republiken	republika
öppet	odpri
öppet	odprto
öppet	pregledno
öppet	pregledna
öppet	pregleden
öppet	prozorna
delstat	stanje
delstat	država
delstat	državno
innan	pred
innan	preden
innan	prej
fram	fronta
fram	spredaj
canberra	canberra
mål	cilji
mål	cilji
mål	gol
mål	cilj
län	okrožni
län	okrožje
län	okraj
län	okrožju
län	pokrajina
län	provinca
län	okrožjih
län	okrožja
bosnien	bosna
afghanistan	afganistan
afghanistan	afganistanu
john	john
john	janez
john	janeza
hercegovina	hercegovine
hercegovina	hercegovino
hercegovina	hercegovina
administrativ	upravne
administrativ	administrativna
administrativ	upravna
nordöstra	northeastern
nordöstra	severovzhodno
bara	le
bara	samo
bara	le
bara	samo
ska	ska
ontario	ontario
plats	plac
plats	kraj
plats	lokacija
plats	lokacijo
carl	carl
församling	župnijo
församling	kongregacija
församling	skupščina
församling	sklop
församling	sestavljanje
församling	sestav
land	dežela
land	država
land	državo
land	zemljišča
land	dežela
land	kopno
land	zemljišče
land	zemljo
dess	its
amerikansk	ameriške
amerikansk	ameriško
amerikansk	ameriški
amerikansk	ameriška
helsingfors	helsinkih
tid	čas
tid	časa
ofta	pogosto
ofta	pogosto
tog	vzela
tog	vzel
några	nekatere
några	nekaterim
några	nekateri
några	nekaj
några	neki
kommer	will
kommer	bo
kommer	volja
kommer	pridi
kommer	prihaja
exempel	zgled
exempel	primer
exempel	primeri
någon	kogarkoli
någon	kdorkoli
någon	nekdo
någon	nekdo
någon	katerekoli
någon	katerokoli
någon	katerikoli
gräsmarker	travišča
saint	sveti
saint	svetnik
saint	svetnica
saint	saint
något	nekoliko
något	rahlo
något	nekaj
san	san
stor	velika
stor	velike
stor	velika
stor	veliki
stor	velike
stor	velik
ingen	nobene
ingen	nobenega
ingen	noben
ingen	nobena
ingen	nihče
desa	desa
staden	mestu
staden	mesto
staden	city
staden	mesto
staden	mestu
kallt	mraz
kallt	mrzlo
kallt	hladno
kallt	mrzla
kallt	mrzel
jawa	jawa
varit	bil
varit	bila
får	ovca
får	ovco
får	ovce
naturlig	naravnega
naturlig	naravni
naturlig	naraven
naturlig	naravno
naturlig	naravna
naturlig	naravne
mest	večina
mest	večini
mest	največ
mest	najbolj
mest	večinoma
mest	največkrat
ger	dajanje
ger	ger
ger	daje
mosaik	mozaik
team	ekip
team	ekipe
team	moštva
team	ekipno
team	ekipa
team	team
började	začel
började	začela
hela	zaceli
hela	ozdravi
hela	cele
hela	cel
hela	cela
hela	celotno
gör	naredi
honom	njega
honom	ga
gick	hodil
kyrka	cerkev
nordvästra	severozahodni
nordvästra	northwestern
nordvästra	severozahodni
nordvästra	sz
nordvästra	severozahodno
angola	angola
vad	kaj
columbia	columbia
tyskland	nemčija
svg	svg
distrikt	okrožij
distrikt	okrožja
distrikt	okrožje
fuktigt	vlažno
fuktigt	vlažno
fuktigt	vlažno
fuktigt	vlažen
fuktigt	vlažne
fuktigt	vlažna
fyra	four
fyra	štirje
fyra	štiri
eftersom	ker
mexiko	mehika
london	london
används	uporabljen
används	uporabljena
används	uporabljeno
används	uporabljene
används	uporabljeni
början	začetek
början	začetki
vann	zmagali
vann	zmagala
vann	zmagal
går	gre
hur	kako
bay	zaliv
bay	bay
barn	otroci
barn	otroci
barn	otrok
ekonomiska	ekonomski
ekonomiska	gospodarski
ekonomiska	gospodarsko
ekonomiska	ekonomske
ekonomiska	ekonomska
kunde	lahko
dem	njimi
dem	jih
dem	njih
både	obe
både	oba
övrigt	drugi
övrigt	drugo
övrigt	druga
övrigt	druge
övrigt	razno
övrigt	razni
artikel	članek
artikel	člena
artikel	člen
artikel	izdelek
gunung	gunung
england	anglija
england	england
england	angliji
england	anglije
england	anglijo
hennes	njene
hennes	njen
hennes	njena
hennes	njeno
hennes	njeni
hennes	njej
hennes	njo
hennes	njen
hennes	her
hennes	njena
argentina	argentina
argentina	argentino
mountain	gora
mountain	gorsko
mountain	gorski
mountain	planina
mountain	goro
grund	osnova
grund	podlaga
grekland	grčija
deras	njihovi
deras	njihov
deras	njihovo
deras	njuna
deras	njihova
deras	njihove
deras	njihovi
deras	njuna
deras	njihova
förekommer	nastopi
distriktet	okrožje
dam	jez
dam	gospa
dam	dama
dam	lady
karl	karel
karl	charles
karl	karl
idag	danes
skådespelare	igralci
skådespelare	akterji
skådespelare	igralec
personer	oseb
personer	osebe
personer	ljudje
personer	ljudstvo
personer	osebe
personer	ljudi
fanns	obstajal
fanns	obstajala
fanns	obstajali
spelade	igral
spelade	igrala
spelade	igralo
endast	le
endast	samo
öar	otočje
öar	otoki
öar	otoke
danmark	dansko
danmark	danski
danmark	danska
danmark	danmark
son	sinko
son	sine
son	sin
son	son
österrike	avstrijo
österrike	avstrija
river	reka
river	reki
river	river
river	reke
helt	popolnoma
helt	totalno
helt	popolnoma
artiklar	členi
artiklar	članki
artiklar	izdelki
därefter	naknadno
jean	jean
redan	ze
redan	že
cirka	približno
före	pred
före	preden
före	prej
william	william
känd	znana
känd	znane
känd	znan
känd	znani
känd	znano
känd	poznan
känd	slavni
känd	slaven
känd	znana
känd	znani
känd	znan
engelska	angleško
engelska	angleščina
engelska	angleži
engelska	angleški
departement	oddelek
departement	ministrstva
departement	oddelki
departement	ministrstvo
antal	štetje
antal	grof
antal	številka
antal	število
vill	hoče
vill	želi
vill	želiš
des	des
författare	avtorji
författare	pisec
författare	pisateljica
författare	pisatelj
författare	pisateljev
författare	pisatelji
författare	avtor
wikipedia	wikipedia
los	los
vissa	nekatere
vissa	nekaterim
vissa	nekateri
vissa	nekaj
vissa	neki
cst	cst
äldre	starešina
äldre	starejših
äldre	starejši
äldre	starejše
äldre	starejša
äldre	starejši
äldre	starejše
gamla	stare
gamla	star
gamla	staro
gamla	stara
gamla	stari
allt	vse
allt	vsi
allt	vsem
allt	vse
allt	vseh
lag	ekipno
lag	ekipa
lag	team
lag	pravo
lag	zakon
lag	ekip
lag	ekipe
lag	moštva
brt	brt
johan	john
johan	janez
johan	janeza
johan	johan
innebär	pomeni
diskussion	debata
diskussion	razpravo
diskussion	razprava
diskussion	razprave
diskussion	pogovor
vidare	nadalje
vidare	nadaljnje
kommuner	občin
kommuner	občin
kommuner	občine
kyrkan	cerkev
punta	punta
eet	eet
iucn	iucn
kullar	zarod
kullar	hribi
kullar	hills
black	črno
black	črne
black	črn
black	črni
black	črna
asien	azija
varje	vsak
varje	vsaka
varje	vsako
varje	vsak
varje	vsaka
bild	sliko
bild	slika
bild	sliko
bild	podoba
bild	slika
france	francijo
france	francija
france	france
vik	krat
vik	vik
politiker	politika
politiker	politiki
politiker	politiko
politiker	politike
politiker	politikov
politiker	politiki
politiker	politik
göra	naredi
left	levica
left	levi
left	levo
left	leva
band	trakovi
band	kasete
band	trakove
band	trakovi
band	band
band	bend
band	ansambel
band	trak
band	kaseta
band	trak
rio	rio
rock	skalo
rock	rock
rock	kamen
rock	skala
söderut	južno
söderut	jug
söderut	južna
sista	zadnji
sista	nazadnje
sista	poslednje
sista	zadnje
sista	zadnja
sista	končna
sista	končni
inåt	navznoter
inåt	navznoter
george	george
delar	deljenje
delar	delitev
delar	deli
delar	delnice
delar	deleži
auto	samodejno
auto	samodejna
auto	auto
hett	vroče
hett	vroč
hett	vroča
norrut	severna
norrut	severni
norrut	severno
norrut	sever
själv	self
åren	leta
åren	letih
åren	let
höjd	višina
höjd	višina
höjd	višine
säsongen	sezono
säsongen	sezona
poäng	točki
poäng	točk
poäng	točke
poäng	zadetek
poäng	rezultat
poäng	točka
poäng	point
poäng	točko
istället	namesto
arroyo	arroyo
peking	peking
peking	pekingu
peking	peking
tyska	nemško
tyska	nemec
tyska	nemška
tyska	nemščina
tyska	nemški
sätt	načine
sätt	načini
sätt	pot
sätt	način
egypten	egipt
wadi	wadi
stad	mestu
stad	mesto
stad	city
stad	mesto
stad	mestu
norge	norge
norge	norveško
norge	norveška
area	območje
area	površina
area	področje
loma	loma
york	yorku
york	york
york	yorka
därför	zato
därför	zatorej
makedonien	makedonijo
makedonien	makedonija
peter	peter
peter	petra
franska	francosko
franska	francoska
franska	francoščina
franska	francoski
vilken	katero
vilken	kateri
vilken	katere
vilken	katerih
vilken	ki
vilken	katerega
dominikanska	dominikanski
västerut	zahodna
västerut	zahod
västerut	zahodno
kallas	poklical
österut	vzhodni
österut	vzhod
österut	vzhodna
österut	vzhodno
omkring	naokrog
omkring	okoli
omkring	okrog
göteborg	göteborgu
schweiz	švico
schweiz	švici
schweiz	švice
schweiz	švica
fall	case
fall	zaboj
fall	primer
fall	primeri
fall	primerov
fall	padlo
fall	jesen
fall	padec
fall	padel
tiden	čas
tiden	časa
bästa	najboljša
bästa	najboljši
bästa	best
bästa	najboljše
style	stil
style	slog
artikeln	članek
artikeln	člena
artikeln	člen
artikeln	izdelek
fil	datoteka
fil	datoteko
brasília	brasilia
främst	predvsem
främst	pretežno
främst	večinoma
främst	primarno
främst	predvsem
källa	vir
båda	obe
båda	oba
kabul	kabulu
malmö	malmö
delas	skupna
delas	deljeno
delas	deljena
slutet	konec
olympiska	olimpijski
olympiska	olympic
olympiska	olimpijsko
ast	ast
annan	drugi
annan	drugo
annan	druga
annan	druge
uppsala	uppsala
isbn	isbn
mätare	metrov
mätare	meter
mätare	merilnik
madrid	madrid
måste	mora
antarktis	antarktiki
antarktis	antarktiko
erik	erik
erik	eric
erik	erik
paul	paul
paul	pavel
skrev	napisal
skrev	pisal
skrev	napisala
skrev	zapisal
film	film
film	film
robert	robert
serien	serijo
serien	serije
serien	serija
bra	pridni
bra	pridna
bra	dober
fem	fem
fem	pet
fem	five
ryssland	rusija
ryssland	rusijo
thomas	thomas
thomas	tomaž
santiago	santiago
deltog	udeležili
deltog	sodelovala
deltog	sodeloval
deltog	sodelovali
deltog	sodelovalo
tysk	nemško
tysk	nemec
tysk	nemška
tysk	nemščina
tysk	nemški
vilka	ki
vilka	kdo
vilka	katero
vilka	kateri
vilka	katere
vilka	katerih
vilka	ki
vilka	katerega
språk	jezike
språk	jeziki
språk	jezikovno
språk	jezikovna
språk	jezik
kinesiska	kitajske
kinesiska	kitajski
kinesiska	kitajsko
kinesiska	kitajska
kinesiska	kitajci
lappland	laponske
nuvarande	tok
nuvarande	trenutni
nuvarande	trenutna
nuvarande	sedanji
nuvarande	prisotna
nuvarande	prisotni
nuvarande	prisotno
nuvarande	sedanjost
nuvarande	prisoten
officiell	uradnik
officiell	uradna
officiell	uradno
officiell	uradni
källor	vire
källor	viri
stort	velika
stort	velike
stort	velika
stort	veliki
stort	velike
stort	velik
sång	vokal
sång	pojem
sång	petje
sång	poje
sång	petja
sång	pesem
amerikanska	ameriške
amerikanska	ameriško
amerikanska	ameriški
amerikanska	ameriška
samband	priključitev
samband	povezava
samband	korelacijo
globalt	globalno
globalt	svetovna
globalt	globalni
globalt	globalno
globalt	svetovno
kroatien	hrvaška
egen	lastno
egen	lastne
egen	lastna
egen	lastni
egen	običaj
pst	pst
pdt	pdt
utanför	zunaj
mestadels	večinoma
mestadels	največkrat
kvinnor	samice
kvinnor	ženskam
kvinnor	žensk
kvinnor	ženske
tredje	tretje
tredje	tretji
tredje	tretja
charles	karel
charles	charles
art	umetnost
art	umetnosti
art	art
art	vrsta
art	vrste
riket	rajh
wales	wales
david	david
com	com
sidan	stran
resultat	nastop
resultat	zmogljivost
resultat	uspešnost
resultat	uspešnosti
resultat	rezultati
resultat	izidi
resultat	rezultat
resultat	izid
gav	dal
gav	dau
gav	dala
når	doseže
ibland	včasih
ibland	občasno
dessutom	dodatno
enda	enotnega
enda	single
enda	samski
enda	samska
jabal	jabal
kända	znana
kända	znane
kända	znan
kända	znani
kända	znano
kända	poznan
kända	slavni
kända	slaven
kända	znana
kända	znani
kända	znan
universitet	univerze
universitet	univerz
universitet	univerzami
universitet	univerza
rgb	rgb
libanon	libanon
paris	paris
paris	pariz
paris	pariški
kamerun	kamerun
border	meja
border	mejo
border	meje
border	meji
musik	glasba
musik	muzika
musik	glasbo
maria	marija
maria	mary
maria	marijo
maria	marija
maria	maria
tillbaka	zadaj
tillbaka	hrbet
tillbaka	nazaj
kung	king
kung	kralj
barat	barat
form	oblika
form	oblike
form	forme
form	obliko
form	oblika
form	obrazec
form	obliko
der	der
fått	prejeto
fått	prejeti
fått	prejeta
historia	zgodba
historia	zgodbo
historia	zgodovina
historia	zgodovino
nova	nova
dal	dal
dal	dolini
dal	valley
dal	dolina
dal	dolino
dal	doline
låten	pesem
fiji	fidži
tjeckien	češka
tjeckien	češki
james	james
albumet	album
albumet	albuma
samtidigt	istočasno
samtidigt	sočasno
samtidigt	hkrati
kring	naokrog
kring	okoli
kring	okrog
män	samci
män	moške
män	možje
män	men
män	moški
män	moška
lång	visoki
lång	visok
lång	visoka
lång	dolge
lång	dolg
lång	dolgo
lång	dolgi
lång	dolga
alger	alžiru
alger	alg
alger	alge
gift	strup
gift	poročeni
gift	poročen
gift	poročena
gift	strup
album	album
album	albuma
album	albume
album	albumov
ner	dol
ner	navzdol
innehåller	vsebuje
innehåller	vsebujejo
innehåller	vsebovati
innehåller	vsebuje
disk	disk
räknas	šteje
little	male
little	mali
wilhelm	wilhelm
gånger	krat
gånger	časi
gånger	times
brook	potok
brook	brook
övriga	drugi
övriga	drugo
övriga	druga
övriga	druge
övriga	drugi
övriga	drugih
övriga	druge
professor	profesorica
professor	profesor
professor	profesorja
km²	km²
las	las
division	razdelek
division	delitev
division	deljenje
division	oddelek
division	divizija
martin	martina
martin	martin
urval	izbira
urval	izbor
urval	izbiranje
urval	vzorec
city	city
city	mesto
city	mestu
totalt	skupaj
totalt	skupno
totalt	splošno
alexander	aleksandra
alexander	aleksander
alexander	alexander
arena	arena
arena	areni
arena	areno
period	obdobje
utc	utc
grönland	grenlandijo
grönland	grenlandije
dag	dag
dag	dan
dag	day
låg	nizki
låg	nizka
låg	nizko
låg	nizek
låg	nizke
bogotá	bogoti
året	leto
året	letnica
timur	timur
europa	europe
europa	evropa
europa	evropo
europa	evropi
europa	europa
kalifornien	california
kalifornien	kalifornija
aldrig	nikdar
aldrig	nikoli
gruppen	skupino
gruppen	skupinsko
gruppen	skupinski
gruppen	skupinska
gruppen	skupina
miljoner	milijon
miljoner	milijoni
miljoner	milijonov
miljoner	miljon
miljoner	milijoni
henry	gašper
henry	henry
växter	rastline
växter	rastlin
växter	rastline
växter	rastlina
växter	obrat
står	stoji
står	stoji
står	stojala
seed	semenski
seed	seme
seed	semena
sex	šest
sex	six
sex	seks
sex	spol
sex	sex
spelar	predvaja
spelar	igra
spelar	igrajo
spelar	predvajanje
spelar	igranje
peak	vrh
bort	stran
ser	zgleda
ser	ser
ledamot	članica
ledamot	član
ledamot	poslanec
orkidéer	orhideje
särskilt	posebej
särskilt	zlasti
friedrich	friedrich
liv	zivljenje
liv	life
liv	življenje
liv	liv
queensland	queensland
bildades	oblikovane
bildades	oblikovani
kvar	levica
kvar	levi
kvar	levo
kvar	leva
medlemmar	člane
medlemmar	poslanci
medlemmar	članice
medlemmar	člani
sida	stran
längre	višji
längre	višja
längre	dlje
längre	daljše
längre	daljši
längre	daljša
område	območje
område	površina
område	področje
gustaf	gustaf
gustaf	garfield
anders	anders
fortfarande	vseeno
fortfarande	še
min	moj
min	moja
min	rudnik
min	moje
min	min
airport	letališče
befolkningen	prebivalstvo
befolkningen	populacija
översättning	prevajanje
översättning	prevod
louis	louis
louis	ludvik
ordförande	predsednik
ordförande	predsednica
ordförande	predsednik
http	http
joseph	joseph
joseph	jožef
kanske	mogoče
kanske	morda
kanske	mogoče
kanske	mogoce
kanske	morda
numera	dandanes
smith	smith
världen	svet
världen	svetovna
världen	svetovno
världen	world
användare	uporabnika
användare	uporabnik
användare	uporabniki
varierad	raznolike
tar	jemanje
tar	vzame
tar	jemlje
far	oče
honduras	hondurasu
bolivia	boliviji
länder	države
ytterligare	nadalje
ytterligare	nadaljnje
ytterligare	dodatna
ytterligare	dodatno
ytterligare	dodatni
guld	zlat
guld	zlato
guld	zlate
guld	zlati
guld	zlata
kuba	kubo
kuba	kubi
kuba	kuba
center	središče
center	center
dotter	hčerka
dotter	hči
god	pridni
god	pridna
god	dober
grupp	skupino
grupp	skupinsko
grupp	skupinski
grupp	skupinska
grupp	skupina
väl	no
bandet	trak
lars	lars
rätt	desno
rätt	right
rätt	pravica
rätt	prav
rätt	pravilno
rätt	pravilna
rätt	pravilen
rätt	pravilni
roll	vloga
svampar	gobe
svampar	gobice
svampar	spužve
svampar	gobice
svampar	goba
svampar	gobe
svampar	glive
svampar	glivice
ryska	ruska
ryska	rus
ryska	ruski
ryska	rusko
henne	njej
henne	njo
henne	njen
henne	her
henne	njena
wien	dunaj
wien	dunajski
via	via
laguna	laguna
italien	italija
syrien	sirija
syrien	sirijo
syrien	siriji
syrien	sirije
matcher	vžigalice
matcher	tekme
matcher	igre
matcher	igrah
matcher	igrice
matcher	iger
arter	vrsta
arter	vrste
hjälp	pomagaj
hjälp	pomoč
hjälp	pomagajte
kriget	vojno
kriget	vojne
kriget	vojna
klassen	razred
klassen	pouk
gustav	gustav
gustav	garfield
university	univerza
van	kombi
van	van
anna	ana
anna	anna
fredrik	frederick
fredrik	fredrik
fler	več
fler	bolj
kort	kartice
kort	kartic
kort	karte
kort	kort
kort	kratki
kort	kratko
kort	kratek
kort	kratka
kort	kratke
kort	kratek
kort	kartico
kort	kartica
kort	karta
ungern	madžarsko
ungern	madžarska
gitarr	kitara
gitarr	kitare
gitarr	kitaro
serie	serijo
serie	serije
serie	serija
serie	serijsko
serie	zaporedna
serie	serijski
gjort	storjeno
gjort	končano
gjort	opravljeno
gjort	narejeno
ledde	vodil
ledde	povedel
red	jahal
guinea	gvineji
guinea	gvineja
guinea	gvinejo
ecuador	ekvador
michael	mihael
michael	michael
ovan	zgoraj
rapport	prijavi
rapport	poročilo
lika	enako
lika	enaka
lika	enaki
lika	enako
kallad	poklical
tycker	misli
brittisk	britanski
brittisk	britanci
brittisk	britansko
använda	uporaba
använda	use
använda	uporabi
använda	uporabljen
använda	uporabljena
använda	uporabljeno
använda	uporabljene
använda	uporabljeni
fransk	francosko
fransk	francoska
fransk	francoščina
fransk	francoski
guvernementet	governorate
ungefär	glede
ungefär	grobo
