ツチ	tutsi
大麦	บาร์เลย์
威厳	ศักดิ์ศรี
洗う	ล้าง
貸す	เช่า
貸す	ยืม
カウンタ	เคาน์เตอร์
カウンタ	counter
フェイク	แกล้ง
フェイク	ปลอม
マネキン	หุ่น
スクーデリア	scuderia
カロル	karol
ひねり	บิด
点滴	หยด
パガニーニ	paganini
気管	หลอดลม
ジェスチャー	น้ำใจ
悪臭	เหม็น
充電器	ชาร์จ
大群	กองพล
パーム	palm
パーム	ฝ่ามือ
パーム	ปาล์ม
不可視	ล่องหน
エクセル	excel
毛布	ผ้าห่ม
毛布	ผ้าห่ม
ゴブリン	ภูติ
バリケード	กั้น
れんが	อิฐ
オカリナ	ocarina
棍棒	คลับ
棍棒	สโมสร
棍棒	club
棍棒	ชมรม
メチルトランスフェラーゼ	methyltransferase
押印	ผนึก
混ぜる	ผสม
混ぜる	มิกซ์
リャザン	ryazan
ムース	มูส
ビック	วิค
ビック	bic
ピクトグラム	pictogram
スクリーム	กรี๊ด
フィーリング	รู้สึก
フィーリング	feeling
ふくろう	ฮูก
ドム	ดอม
ドム	dom
ニコス	nikos
迷信	โชคลาง
迷信	ไสยศาสตร์
ニードル	เข็ม
ヤニ	yani
不妊	หมัน
プルート	พลูโต
磁化	magnetization
八角形	octagonal
はちみつ	ที่รัก
シャウト	ตะโกน
キュウリ	แตงกวา
キュウリ	แตงกวา
短所	cons
コテージ	กระท่อม
氷山	ภูเขาน้ำแข็ง
ドッジ	dodge
アスタリスク	ดอกจัน
精巣	testis
精巣	อัณฑะ
チェンナイ	chennai
ブノワ	benoît
レントゲン	röntgen
オーブン	เตา
レダクターゼ	reductase
炭水化物	แป้ง
エレーヌ	hélène
囁き	กระซิบ
囁き	กระซิบ
足音	ฝีเท้า
シェイ	เชย
シェイ	เช
シェイ	เชีย
浮き彫り	บรรเทา
トミカ	tomica
マドリッド	มาดริด
マドリッド	madrid
シス	ซิธ
胎盤	รก
雇う	จ้าง
雇う	จ้าง
モルヒネ	มอร์ฟีน
フィール	รู้สึก
ミア	mia
おしり	ก้น
ゲッツ	getz
シュルレアリスム	surrealism
徴候	อาการ
チャンプ	champ
チャンプ	แชมป์
コンマ	จุลภาค
コンマ	จุลภาค
へそ	สะดือ
復号	ถอดรหัส
イコール	เท่ากับ
ベランダ	veranda
あやかし	ayakashi
そよ風	สายลม
居所	ที่พัก
グリース	กรีส
グリース	grease
タキシード	ทักซิโด
ビブレ	vivre
万華鏡	kaleidoscope
キャビネット	ตู้
ヘルタ	herta
モレル	morel
価額	มูลค่า
価額	ค่า
護摩	goma
若返り	rejuvenation
巨勢	kose
スティル	ยัง
ディメンション	มิติ
ライル	lyle
ライル	ไลล์
ライル	ไลน์
ロースト	ย่าง
かぼちゃ	ฟักทอง
リスペクト	เคารพ
リスペクト	นับถือ
シュレーダー	schröder
チェイン	โซ่
チェイン	ลูกโซ่
チェイン	โซ่
羅生門	rashomon
スポークスマン	โฆษก
ランドリー	ซักรีด
ビートル	ด้วง
直道	naomichi
砂州	shoal
ダーティ	สกปรก
ネーター	noether
双生児	twin
双生児	ฝาแฝด
双生児	แฝด
ヘロイン	เฮโรอีน
イライラ	หงุดหงิด
イライラ	ท้อแท้
イライラ	หงุดหงิด
謙虚	เจียม
謙虚	ถ่อม
ベルベット	กำมะหยี่
ヘール	เฮล
トリート	ปฏิบัติ
トリート	เลี้ยง
退廃	เสื่อม
ウィガン	wigan
ピアチェンツァ	piacenza
クインテット	quintet
埋め込む	ฝัง
ドクトリン	ลัทธิ
グロック	glock
唾液	น้ำลาย
ニルヴァーナ	นิพพาน
愛想	ไมตรี
ジギスムント	sigismund
バナジウム	vanadium
キリング	ฆ่า
ベルヌーイ	bernoulli
ノキア	โนเกีย
汚名	ฉาวโฉ่
バサラ	basara
定規	ไม้บรรทัด
ボフォース	bofors
エレガント	หรูหรา
そっと	เบาๆ
抗告	อุทธรณ์
抗告	แย้ง
ジュリアーノ	giuliano
ミリオネア	เศรษฐี
おなじ	เดียวกัน
リル	lil
リル	ลิล
セレブリティ	ดัง
ロゼッタ	rosetta
触る	touch
触る	แตะ
触る	ทัช
触る	สัมผัส
エカテリンブルク	yekaterinburg
キナーゼ	kinase
賛辞	ชมเชย
アンバサダー	ทูต
アンバサダー	ทูต
美徳	คุณธรรม
リアム	เลียม
シュヴェリーン	schwerin
竜介	ryusuke
ろうそく	เทียน
ろうそく	เทียนไข
ろうそく	เทียน
バイコヌール	baikonur
クロコダイル	จระเข้
ペッパー	พริก
パルマス	palmas
インターン	ฝึกงาน
インターン	ฝึกงาน
チェンマイ	เชียงใหม่
インターンシップ	ฝึกงาน
振舞う	ประพฤติ
多層	multilayer
ガイダンス	แนวทาง
フォークリフト	etude
クアン	quân
宛先	ผู้รับ
宛先	ผู้รับ
ブーケ	ช่อ
エンジェルス	เทวดา
人見知り	shy
人見知り	เขิน
人見知り	อาย
光化学	photochemical
首輪	ปลอกคอ
チャタヌーガ	chattanooga
追い越し	คร่า
抗弁	ป้องกัน
ブロガー	blogger
かばん	ถุง
かばん	กระเป๋า
かばん	แบ็ค
ポッキー	ป๊อกกี้
読み込む	โหลด
聖徒	นักบุญ
パージ	ขจัด
ロックウェル	ร็อคเวลล์
ヘルシー	สุขภาพ
ブート	บูต
害する	อคติ
国芳	kuniyoshi
寒気	ชิล
寒気	chill
デコード	ถอดรหัส
プラスティック	พลาสติก
ヴィースバーデン	wiesbaden
表側	หน้า
余白	ขอบ
ルーチン	กิจวัตร
タワーズ	หอคอย
メトロポリス	เมโทรโปลิส
メトロポリス	มหานคร
トヴェリ	tver
モントルー	montreux
ブリーラム	บุรีรัมย์
いぼ	หูด
スリープ	นอน
スリープ	หลับ
フォーサイス	forsyth
賃貸借	เช่า
賃貸借	เช่า
ムカデ	ตะขาบ
バド	บัด
バド	แย้ม
サマーズ	ซัมเมอร์
エイプリル	april
エイプリル	เมษายน
蝸牛	cochlea
サイリスタ	thyristor
テルル	tellurium
詔勅	rescript
酪酸	butyric
フローニンゲン	groningen
レイヴン	raven
セキュリティー	รปภ
恍惚	ปลาบปลื้ม
漸近	asymptotic
ジェス	เจส
セヴァストポリ	sevastopol
さまよう	เร่ร่อน
さまよう	เร่ร่อน
透明度	โปร่งแสง
透明度	โปร่งใส
フォーマル	ทางการ
ほうき	กวาด
ほうき	ไม้กวาด
召使	บ่าว
キャメル	อูฐ
温州	wenzhou
ブリッツ	blitz
デリバティブ	ดัดแปลง
ペンキ	ทาสี
クロール	คลาน
サーチライト	searchlight
ルーゴ	lugo
黒鉛	ไฟต์
にんじん	แครอท
にんじん	แครอท
ソファ	โซฟา
ソファ	โซฟา
プロクター	procter
ブルーベリー	บลูเบอร์รี
モンパルナス	montparnasse
デレック	เดเร็ก
デレック	เดเรก
ブラジャー	บรา
カッシーニ	cassini
ソアレス	soares
インフィニット	อนันต์
無法者	outlaws
スペクタクル	ปรากฏการณ์
マリアーノ	mariano
浣腸	ทวาร
ウイングス	ปีก
ピノ	pino
かずえ	kazue
ファルネーゼ	farnese
スタンディング	ยืน
具視	tomomi
フレキシブル	ยืดหยุ่น
昼寝	งีบ
パンプキン	ฟักทอง
アドリアーノ	adriano
ウッチ	łódź
エスプリ	esprit
除算	แบ่ง
船室	กระท่อม
船室	โดยสาร
花瓶	แจกัน
花瓶	แจกัน
アディダス	adidas
スモーク	ควัน
明け方	รุ่งอรุณ
ジャブ	แย็บ
グティエレス	gutiérrez
クリーナー	สะอาด
コーチング	coach
コーチング	โค๊ช
コーチング	โค้ช
ポリエステル	โพลีเอสเตอร์
ブッチ	บุช
フィンチ	ฟินช์
フィンチ	ฟินซ์
カミング	ที่มา
採石場	เหมือง
オッフェンバッハ	offenbach
裁断	ตัด
レーゲンスブルク	regensburg
ブレスレット	กำไล
キキ	kiki
キキ	คิกิ
キキ	กิกิ
ややこしい	สับสน
トゥーン	toon
阿野	ano
ノイシュタット	neustadt
蝋燭	เทียน
蝋燭	เทียนไข
蝋燭	เทียน
プラ	พระ
太もも	ขาอ่อน
ヴァーサ	vasa
ビビ	bibi
キーロフ	kirov
忍耐	อดทน
塩漬け	เค็ม
レブロン	lebron
ベルヌ	berne
ルブリン	lublin
パディントン	paddington
剥製	ยัด
ペニス	จู๋
ペニス	องคชาติ
ペック	เพ็ก
ペック	เพค
ペック	เพ็ค
ビトリア	vitoria
口紅	ลิปสติก
くしゃみ	จาม
くしゃみ	จาม
プーケット	phuket
プーケット	ภูเก็ต
切り離す	ปลด
華氏	ฟาเรนไฮต์
ボル	bor
ドーラ	dora
怠慢	เลินเล่อ
捻挫	เคล็ด
ショウガ	ขิง
オグデン	ogden
ゲルニカ	guernica
治る	หาย
治る	รักษา
治る	เยียวยา
ポーチ	ถุง
ポーチ	ระเบียง
カテリーナ	caterina
懸垂	ห้อย
ヴィッラ	คฤหาสน์
カレラ	carrera
小包	พัสดุ
ヨード	ไอโอดีน
ファクシミリ	โทรสาร
ピム	pim
キューピッド	กามเทพ
イェーナ	jena
人力車	ตุ๊ก
ディノ	dino
ハルトマン	hartmann
博信	hironobu
クズネツォフ	kuznetsov
十戒	บัญญัติ
安静	พัก
ユニタリ	unitary
マスタード	มัสตาร์ด
マリファナ	กัญชา
バイス	รอง
ギルフォード	guilford
アイロン	เหล็ก
アイロン	เตารีด
ディスカッション	อภิปราย
ディスカッション	อภิปราย
ディスカッション	อภิปราย
デコレーション	ตกแต่ง
マズル	ตะกร้อ
ラピュタ	laputa
横断幕	แบนเนอร์
横断幕	แบนเนอร์
査証	visa
査証	วีซ่า
クレモナ	cremona
ウィキソース	wikisource
ラダー	บันได
念力	psychokinesis
かかと	ส้น
かかと	ส้น
胡椒	พริก
胡椒	พริก
ヘラート	herat
縫合	เย็บ
リズ	ลิส
リズ	ลิซ
パッシブ	passive
ヴィエンチャン	เวียงจันทน์
スタニスラフ	stanislav
ブレッド	ขนมปัง
スカイラー	schuyler
クリッパー	clipper
イーライ	ไล
イーライ	อีไล
サイレンス	เงียบ
ブロッホ	bloch
足袋	tabi
ヴァレーゼ	varese
ガチョウ	ห่าน
はぁ	หือ
スキャナ	สแกน
ずさん	สะเพร่า
グルー	กรู
ウーディネ	udine
ジジ	gigi
アイシールド	eyeshield
ゴミ箱	ขยะ
モブ	มาเฟีย
ネーション	ชาติ
ネーション	เนชั่น
ネーション	nation
でたらめ	ตอแหล
プル	ดึง
ペーザロ	pesaro
レオノール	leonor
布地	ผ้า
義長	yoshinaga
ジローナ	girona
リボソーム	ribosomal
苦味	ขมขื่น
バンプ	ตุ่ม
バンプ	กระแทก
ベロニカ	veronika
アウトサイダー	คนนอก
トースト	ขนมปัง
リブ	ซี่โครง
レント	เช่า
デーヴァ	deva
溶かす	ละลาย
叫び声	ร้องไห้
叫び声	กรี๊ด
縫う	เย็บ
ビスマス	bismuth
スタウト	พร้อมใจ
ウェイター	บ๋อย
ヴァンドーム	vendôme
ヒマラヤ山脈	หิมาลัย
針金	ลวด
キャッチボール	จับ
ロア	roa
観念論	อุดมการณ์
ヌール	nur
トリミング	พืช
ヌクレオチド	nucleotide
噛む	กัด
サイイド	syed
オープンカー	ประทุน
ウィッシュ	หวัง
瞳孔	ศิษย์
瞳孔	ม่านตา
プロパティ	คุณสมบัติ
プロパティ	ทรัพย์สิน
プロパティ	ทรัพย์
プロパティ	คุณสมบัติ
プロパティ	ทรัพย์สิน
インサイダー	วงใน
ネイル	nail
ネイル	เล็บ
ネイル	ตะปู
ネイル	เล็บ
ネイル	ตะปู
アライグマ	แรคคูน
アライグマ	แรคคูน
残額	เหลือ
ゴス	กอธ
アクティビティ	กิจกรรม
アクティビティ	กิจกรรม
曲げる	ย่อ
ステイ	อยู่
イップ	ยิบ
ブラウス	เสื้อ
ホーナー	horner
コショウ	พริก
カフェテリア	กระติก
ペレストロイカ	perestroika
ヌル	null
ヌル	ว่าง
プネー	pune
ディレイ	ล่าช้า
メッシ	messi
プルタルコス	plutarch
クレープ	เครป
クレープ	crepe
ドミンゲス	domínguez
ウコン	ขมิ้น
キノピオ	คางคก
スキャナー	สแกน
クラスノヤルスク	krasnoyarsk
無地	ธรรมดา
漏斗	กรวย
ベガス	vegas
砂塵	ฝุ่น
砂塵	ทราย
トマーシュ	tomáš
虫歯	โพรง
虫歯	โหว่
発疹	ผื่น
イダルゴ	hidalgo
フォボス	phobos
涼しい	เท่ห์
涼しい	เท่
涼しい	เจ๋ง
涼しい	เย็น
ステートメント	คำแถลง
ステートメント	statement
ステートメント	คำแถลง
オニオン	หอม
マッシュルーム	เห็ด
マッシュルーム	เห็ด
ジュリ	juli
シミュレート	จำลอง
やわらかい	นิ่ม
やわらかい	อ่อน
やわらかい	นุ่ม
緩め	คลาย
すすめる	แนะนำ
葉っぱ	ใบไม้
葉っぱ	ใบไม้
繊毛	cilia
パピヨン	papillon
インパール	imphal
グウィン	gwynne
吐き気	คลื่นไส้
吐き気	คลื่นไส้
バウンティ	ค่าหัว
オランウータン	อุรังอุตัง
ドルチェ	dolce
ベルトルト	berthold
ソファー	โซฟา
弓術	ธนู
エルドラド	eldorado
シテ	เหี้ย
ダルース	duluth
うねり	บวม
ウルム	ulm
