ধমনী	arteries
কার্পেট	thảm
বিচ্ছিন্নতাবাদী	separatist
বিচ্ছিন্নতাবাদী	breakaway
ওয়াহাব	wahab
ব্রিস্টল	bristol
এগার	eleven
আরউইন	irwin
বাংলো	bungalow
বাংলো	chòi
ইউনূস	yunus
রমন	raman
অচল	gãy
অচল	vỡ
অচল	hỏng
অচল	hư
জুলি	julie
ঘাড়ে	họng
ঘাড়ে	neck
ঘাড়ে	cổ
টোগো	togo
দাঁড়ানো	đứng
ম্যাসিডনের	macedonia
রুনি	rooney
আইটেম	tố
আইটেম	mục
পাইপ	ống
পিক	pickup
পিক	peak
পিক	chọn
পিক	nhặt
থর	tor
থর	thor
বানৌজা	bns
রুস্তম	rustam
নই	novelty
উইলার্ড	willard
বোতল	lọ
বোতল	chai
বোতল	chai
কোলহাপুর	kolhapur
ডুব	lặn
ডেনভার	denver
হ্যাক	hacks
হ্যাক	hack
হ্যাক	hacker
হ্যাক	hack
গঞ্জ	ganj
কেইন	kane
বেলজিয়ান	bỉ
কার্ডিফ	cardiff
প্রুশিয়া	phổ
স্ক্যান	quét
স্ক্যান	scan
ফেসবুকের	facebook
মির	mir
পালনকর্তা	huân
মুর্শিদ	murshid
ব্লেড	blade
নাসরিন	nasrin
কুছ	kuch
ব্রুনো	bruno
ম্যাগনেসিয়াম	tungsten
ম্যাগনেসিয়াম	vonfram
ম্যাগনেসিয়াম	wolfram
ম্যাগনেসিয়াম	magie
ম্যাগনেসিয়াম	magiê
ম্যাগনেসিয়াম	magnesium
থ্রাশ	thrash
কসাই	butcher
মোহামেদ	mohamed
বেতনের	lương
অলি	oli
নাইজার	niger
সকালের	sáng
লাজুক	shy
লাজুক	ngại
নাকের	mũi
হিথ	phuc
হিথ	heath
খালা	dì
খালা	dì
গুয়াতেমালার	guatemalan
জাগরণের	awakening
ওয়ার্কশপ	xưởng
লাক্স	lux
হপ	hop
সর্পিল	spiral
সুসান	susan
স্টার্স	stars
স্বরাজ	swaraj
হ্যামলেট	hamlet
তাকিয়ে	tìm
কাংরি	kangri
বিলম্বিত	hoãn
ইনিয়েস্তা	iniesta
রিমিক্স	remix
তালেবান	taliban
লুঙ্গি	lungi
অহংকার	ngạo
স্যামি	sammy
বাট	baht
বাট	butt
বাট	giò
বাট	mông
বাট	đít
চাণক্য	chanakya
কাই	chi
কাই	kai
কাই	cai
কাই	sái
সক্রেটিস	socrates
পান্ডে	pandey
নান্দনিক	aesthetic
কোলন	colon
ট্রেক	trek
আইসিসির	icc
ইম্ফল	imphal
বর্ষণ	tắm
মুন্ডা	munda
ইন্দোচীন	indochina
জাগরণ	awakening
গনোম	gnome
আকিরা	akira
তেরা	tera
তেরা	terra
উলম্ব	dọc
উইন্ডো	windows
উইন্ডো	sổ
মশার	muỗi
মেনন	menon
রুমে	phòng
নিও	neo
গাল	má
দুষ্ট	hư
দুষ্ট	nghịch
ন্যু	nou
দুগ্ধ	dairy
নিগার	nigar
পলাতক	runaway
মর্টার	vữa
চাদ	tchad
চাদ	chad
কিন্নর	kinnaur
শিলচর	silchar
গ্রানাডা	grenada
গ্রানাডা	granada
তিক্ত	đắng
সোনি	sonny
সোনি	soni
পিক্সেল	pixel
পিক্সেল	pixel
আকসা	aqsa
ভিয়েতনামী	vietnamese
ছোলা	chickpea
গর্ভধারণ	thai
হোল্ডার	holders
কক্স	cox
তরবারি	gươm
তরবারি	kiếm
রিকা	rica
পপি	poppy
ফুজি	fuji
ললিতা	lolita
গুয়াংজু	gwangju
ট্রাফোর্ড	trafford
সেমিস্টার	ky
হায়াৎ	hayat
ব্যক্তিগণ	người
লুথার	luther
লাই	lai
ইটালি	italy
ডালাস	dallas
বালা	bala
কৈলাশ	kailash
কথাগুলো	lời
নোড	node
নোড	nút
শেরিফ	sheriff
উদয়পুর	udaipur
জিওফ্রে	geoffrey
জমায়েত	gom
রিলায়েন্স	reliance
গুঁড়ো	bột
গুঁড়ো	phấn
শু	tú
শু	thục
শু	shu
ক্যা	canine
মোহর	seal
ভালবেসে	yêu
ভালবেসে	yêu
গ্রেঞ্জার	granger
স্টেজ	stage
এডউইন	edwin
বেনেট	bennett
বেনেট	bennet
বেনেট	bennet
অসি	aussie
এসিএম	acm
লরা	laura
উত্থিত	rise
মালাক্কা	malacca
পরিত্যাক্ত	thác
মিলা	mila
সিলিন্ডার	trụ
সিলিন্ডার	xylanh
আর্কিমিডিস	archimedes
নোংরা	bẩn
নোংরা	hủ
নোংরা	dơ
নৃসিংহ	narasimha
গহনা	sỉ
রুয়ান্ডা	rwanda
আজমি	azmi
ভগৎ	bhagat
সলিড	đặc
ফ্রাঙ্কো	franco
জেমি	jamie
টিকটিকি	lizards
টিকটিকি	lằn
টিকটিকি	gecko
হিউলেট	hewlett
ভল্ট	vault
ভল্ট	hầm
ইন্দোর	indore
খায়ের	khair
হজ	hajj
ঘুমন্ত	ngủ
মাতৃভূমি	motherland
মাতৃভূমি	homeland
আইএএএফ	iaaf
ক্যারোলিন	caroline
সজ্জা	xếp
হিংসা	ghen
হিংসা	envy
হিংসা	jealousy
বাসের	bus
দিদি	jiji
দিদি	didi
গর্জন	gầm
বিকল	bicol
এইড	aid
এইড	aed
চেরি	cherry
চেরি	cherry
মলি	molly
উটের	camel
অ্যাঙ্গোলা	angola
এক্সপ্রেসওয়ে	tốc
ডেভিল	devil
ডেভিল	quỷ
খাঁজ	slot
খাঁজ	khe
খাঁজ	groove
গথিক	goth
গথিক	gothic
মুঙ্গের	munger
বর্ণবাদ	racism
বেটি	beti
বেটি	betty
নেভিস	nevis
বোল্টন	bolton
অতিপ্রাকৃত	supernatural
কিয়া	kia
দংশন	sting
বৈরুত	beirut
বেটস	bates
বর্বর	barbarians
বর্বর	barbarian
হানি	thuế
লোপেজ	lopez
সেথ	seth
সীল	seal
রুক্ষ	rough
লার্ভা	larvae
লিথিয়াম	lithium
লিথিয়াম	liti
রাইড	cưỡi
রাইড	ri
হারকিউলিস	hercules
চ্যাপলিন	chaplin
কাসসাম	qassam
বোর্নিও	borneo
ব্রুনেই	brunei
ছত্রপতি	chhatrapati
প্লাংকের	planck
জমজ	twins
ক্লাস্টার	cụm
ডেসমন্ড	desmond
বেকন	beacon
রাউটার	rô
রাউটার	router
কাস্ত্রো	castro
আরাবিয়া	rập
মোয়া	moya
দাদরা	dadra
জেসিকা	jessica
আইইইই	ieee
রজার্স	rodgers
লিঙ্কন	lincoln
চাইল্ড	con
নেকড়ে	sói
নেকড়ে	soi
নেকড়ে	wolf
নেকড়ে	sói
ফারহান	farhan
লেটার	chữ
লেটার	thư
বলশেভিক	bolshevik
অগ্রাধিকার	ưu
দেই	đưa
দেই	tặng
দেই	cho
কারেন	karen
ঢালাই	casting
ঢালাই	hàn
তুম	tum
লাথি	đá
ইউনিফর্ম	uniform
ফিল্টার	lọc
ফিল্টার	lọc
সাহসিকতা	dũng
সাহসিকতা	chống
শিক্ষণ	học
আসক্ত	addicted
আসক্ত	nghiện
আসক্ত	ghiền
ক্রিস্টিন	christine
এভারটন	everton
নান	nan
নান	nam
নেপচুন	neptune
খড়গপুর	kharagpur
হাঙ্গেরী	hungary
ক্ষিপ্ত	giận
ডেক্সটার	dexter
মুহূর্ত	moments
মুহূর্ত	lát
রোচেস্টার	rochester
ভান্ডারী	bhandari
ফার্মি	fermi
লুকানো	phone
লুকানো	ẩn
কুরুক্ষেত্র	kurukshetra
ভোজপুরি	bhojpuri
মাস্ক	nạ
মাস্ক	mask
রুই	rui
পাপের	sin
ইহসান	ihsan
রায়না	raina
ভিভ	viv
তেলেঙ্গানা	telangana
প্যাকার্ড	packard
কামড়	bit
কামড়	đớp
কামড়	táp
কামড়	cắn
কামড়	cắn
ব্রাভো	bravo
লক্ষ্যণীয়	att
নিকেল	nickel
নিকেল	niken
ক্ষুধা	thèm
ক্ষুধা	đói
বরুসিয়া	borussia
পাতাগুলি	trang
দুর্দান্ত	awesome
দুর্দান্ত	tuyệt
সংক্রমিত	nhiễm
সারণি	bảng
সারণি	bàn
দৌড়বিদ	runner
বালান	balan
রোমানীয়	rumani
নেব্রাস্কা	nebraska
দেরাদুন	dehradun
চিরতরে	forever
চিরতরে	mải
দোহা	doha
এলইডি	led
আমোদ	rave
দুর্যোগের	họa
রোডস	rhodes
বেঁকে	bent
লেই	lôi
লেই	leigh
প্লাটিনাম	platinum
নাগা	naga
গর্ব	ngạo
আগাম	advance
শিয়াদের	shiite
শিয়াদের	shia
দাড়ি	râu
দাড়ি	beard
লেসলি	leslie
তালু	palm
তালু	sên
তালু	cọ
অসাধারন	amazing
অসাধারন	awesome
বুদাপেস্ট	budapest
নিষ্ঠুর	rude
নিষ্ঠুর	brutal
বাইট	byte
বাইট	byte
বাইট	bytes
ম্যান্ডারিন	mandarin
ম্যান্ডারিন	quýt
কোক	coke
কোক	coca
কোক	soda
কোক	cola
আটকা	lửng
আটকা	kẹt
সতর্কবার্তা	cảnh
মোজাইক	khảm
মোজাইক	mosaic
কোর্টনি	courtney
মুক্তা	pearl
মুক্তা	trân
মেষ	aries
বায়বীয়	aerobic
নারকেল	dừa
নারকেল	dừa
ইলেক্ট্রিক্যাল	điện
গ্রন্থপঞ্জি	bibliography
আটা	bột
অ্যানিমে	anime
বরা	bora
ওন	won
ওন	thắng
তালাত	talat
হুয়া	hua
মিল্টন	milton
কর্ডোবা	cordoba
মিথিলা	mithila
ক্রিম	kem
ক্রিম	cream
মেসোপটেমিয়ার	mesopotamia
হিলি	healy
ছাতা	umbrella
রুবি	ruby
ঘর্ষণ	friction
জানালার	sổ
অপছন্দ	ghét
অপছন্দ	hat
বৈশালী	vaishali
কপলি	copley
ওঝা	shaman
সালাত	salah
জিতেছেন	won
জিতেছেন	thắng
সত্যাগ্রহ	satyagraha
পোড়ানো	nghiện
গাম্বিয়া	gambia
প্রস্রাব	pee
প্রস্রাব	tè
কাব	cub
গরুড়	garuda
দেং	đặng
পু	tịnh
চন্দননগর	chandannagar
ব্লগার	blogger
ব্লগার	bloggers
গেয়র্গ	georg
তরুণী	chicks
তরুণী	trẻ
তরুণী	young
হাঙ্গামা	hungama
গোপনীয়	mật
গোপনীয়	bí
ওয়েক	thức
ওয়েক	wake
ভান	trù
ভান	van
চ্যাং	chang
বেড়েছে	tăng
রিচমন্ড	richmond
নোঙর	neo
নোঙর	anchor
অবিরাম	endless
স্কাড	scud
ইন্টিগ্রেটেড	integrated
হাঙ্গেরিয়ান	hung
হাঙ্গেরিয়ান	hungary
মরিয়া	desperate
চেকোস্লোভাকিয়া	czechoslovakia
আলাবামা	alabama
তুর্কমেন	turkmen
কণ্ঠস্বর	voice
কণ্ঠস্বর	giọng
নিরাময়	chữa
নিরাময়	cure
নিরাময়	healing
এলি	ellie
এলি	eli
বসরা	basra
ইনসুলিন	insulin
ফস্টার	foster
অ্যাশলে	ashley
পাচার	buôn
হাব	hub
গ্যাজেট	gadget
পৃথকীকরণ	segregation
ভক্তিমূলক	devotional
অবতল	concave
স্পিনোজা	espinoza
হেলমেট	mũ
সার্থক	giá
প্রহরী	sentinel
উর্বরতা	fertility
পাঞ্চ	đấm
পাঞ্চ	punch
মোবাইলের	mobile
মোবাইলের	mobil
ভোঁসলে	bhosle
আমীন	amen
জেনগি	zengid
নেগেটিভ	âm
নেগেটিভ	ám
একবচন	singular
শোণিতপুর	sonitpur
ব্লুমফিল্ড	bloomfield
পেইন	panels
পেইন	pane
ইজারা	thuê
সাদি	saadi
সাদি	sadie
কনে	bride
কনে	brides
লিপিড	lipid
হানাফি	hanafi
ওকলাহোমা	oklahoma
চাঁপা	rosea
মৈত্র	moitra
কমন্সের	commons
রবার্টসন	robertson
এডেন	aden
ক্রাইস্ট	christ
কেটি	katie
ডিয়েগো	diego
মোজাম্বিক	mozambique
গাঁও	gaon
বাজপেয়ী	vajpayee
এনবিসি	nbc
জুম	zoom
নওরোজ	nowruz
গাঁজা	cannabis
গাঁজা	cỏ
গাঁজা	weed
নূহ	noah
সারোয়ার	sarwar
ডস	dos
কাজাখ	kazakh
রিক	rick
শনির	saturn
বেদী	altar
তিনসুকিয়া	tinsukia
ম্যাকলিন	maclean
রাকেশ	rakesh
জোয়ারের	tidal
ডেমন	damon
ডেমন	daemon
মোল	mole
মোল	talpa
কষ্টের	khổ
কষ্টের	nhọc
ফার্নান্দেজ	fernandez
প্রিমিয়াম	premium
জুট	zoot
বায়েজীদ	bayezid
গেটওয়ে	cổng
গেটওয়ে	gateway
নাপোলি	napoli
থম্পসন	thompson
থম্পসন	thomson
বশির	bashir
বরঞ্চ	thà
মহানগরী	metropolis
ডীপ	deep
ডীপ	sâu
হেমিংওয়ে	hemingway
মুন্সি	munshi
গর্ভপাত	abortion
ভাঙ্গন	disruption
সিল	sil
সিল	seal
সীসা	dẫn
সীসা	chì
খাতিরে	sake
খাতিরে	ngừa
ডোরাকাটা	sọc
পান্ডা	panda
পান্ডা	trúc
হরপ্পা	harappa
বোট	thuyền
বোট	tàu
বোট	thuyền
বোট	boat
হোসেইন	hossein
রিখটার	richter
কোকো	cocoa
কোকো	cacao
আতা	atta
আতা	ata
গ্রিল	nướng
গ্রিল	grill
কিস	hôn
কিস	kiss
জিনা	gina
সিম	sim
আপীল	khiếm
অপরাধীদের	phạm
বীণা	hạc
বীণা	harp
রাজপথ	tốc
জুঁই	jasmine
বানরের	khỉ
মিরর	gương
মিরর	mirror
সতের	seventeen
পরিমিত	vừa
পেরেজ	perez
চৌধুরি	chaudhary
মিথাইল	methyl
লিউ	liu
লিউ	lưu
লিউ	lêu
লিউ	leu
ডেমো	demo
গল্ফ	golf
গল্ফ	gôn
ক্যাথি	cathy
ক্যাথি	kathy
এয়ারটেল	airtel
কোয়ার্ক	quark
লুপিন	lupinus
গ্রিফিথ	griffith
পংক্তি	lines
পংক্তি	dòng
পংক্তি	chuỗi
বললাম	nói
বললাম	bảo
বললাম	said
লাউ	lau
বেইজ	beige
রিসোর্ট	resort
সাটক্লিফ	sutcliffe
সান্তোস	santos
ফ্লু	cúm
সোলার	solar
নাহি	nah
বাচ্চার	baby
বাচ্চার	bé
ফ্রেম	khung
ফ্রেম	khung
ওয়াজির	wazir
লাকি	may
লাকি	lucky
প্রেরক	khỏi
প্রেরক	từ
দুইটা	hai
দুইটা	two
আর্দ্রা	betelgeuse
জানাচ্ছি	ước
খনির	mỏ
ঐশ্বরিয়া	aishwarya
দেখবেন	xem
দেখবেন	pass
মক্তব	maktab
টরোন্টো	toronto
মেরী	merry
সেভেরাস	severus
টেলি	tele
শহরতলী	suburb
বসা	ngồi
মৌ	mou
তাবু	lều
তাবু	tabu
তাবু	lều
লজ	lodge
বেলফাস্ট	belfast
ফিনা	fina
মুকেশ	mukesh
গ্রামাঞ্চলের	quê
বোনকে	chị
ফেস	face
ফেস	mặt
পিএইচপি	php
পজিটিভ	dương
সতীশ	satish
ডিলান	dylan
ইউফ্রেটিস	euphrates
স্যুপ	soup
স্যুপ	súp
স্যুপ	cháo
প্রতিদান	thưởng
মিন্ট	mint
টিটো	tito
আন্তোনিও	antonio
ফ্রস্ট	frost
ম্যাসেডোনিয়া	macedonia
মিকি	mickey
মিকি	mikey
মিকি	miki
মেটালিকা	metallica
কবরে	graves
কবরে	đào
শয্যা	giường
নুড়ি	nuri
নুড়ি	sỏi
রেইন	rheine
নেশা	nghiện
নেশা	addiction
ইউরি	yuri
বন্দুকের	súng
ইমেজিং	imaging
এন্ডারসন	anderson
শিরিন	shirin
লঙ্কা	pepper
লঙ্কা	tiêu
লঙ্কা	chili
লঙ্কা	ớt
সিংহলি	sinhala
কওমি	qaumi
আন্দ্রেস	andres
আন্দ্রেস	andrés
হাক্সলি	huxley
উইন্টার	winter
লিট	lit
লিট	quẹt
মোনা	mona
মুরগী	gà
কন্টিনেন্টাল	continental
অন্যরকম	khác
গুজরাতি	gujarati
হেরা	hera
মেকং	mekong
ককেশাস	caucasus
ককেশাস	kavkaz
সূফী	sufi
মোহালি	mohali
আবেদ	abed
শৃঙ্খল	xích
শৃঙ্খল	đinh
আমু	amu
গলে	chảy
স্টোক	stoke
শিয়ালকোট	sialkot
এসো	đến
ব্ল্যাকবেরি	blackberry
মুডি	moody
লক্ষ্ণৌ	lucknow
তাৎক্ষনিক	ngay
তাৎক্ষনিক	instant
তাৎক্ষনিক	tức
সারমর্ম	essence
টিক্কা	tikka
ব্যাকস্ট্রোক	ngửa
ঝাল	cay
সুয়ারেজ	suarez
বেনিন	benin
পিয়া	pia
ফ্রিডরিখ	friedrich
আলুর	khoai
জাগিয়ে	thức
জাগিয়ে	wake
জনস্টন	johnston
ব্রডব্যান্ড	broadband
একলা	độc
খরগোশ	thỏ
খরগোশ	thỏ
সংশ্লেষ	conjugation
মং	mong
মং	maung
প্রাদুর্ভাব	bùng
এসএমএস	sms
কার্স্টেন	kirsten
এলান	alan
শার্টের	áo
ইউক্লিড	euclid
ডোম	dome
ডোম	vòm
তালুক	taluk
বিবর্ধক	magnifier
বিবর্ধক	ampli
বিবর্ধক	amplifier
প্রাপ্য	đắng
ভিভিয়ান	vivian
ডাইভিং	lặn
আজকাবান	azkaban
ইস্টউড	eastwood
দাই	dai
মালিকি	maliki
মারফত	qua
মারফত	via
ষাঁড়	ngưu
ষাঁড়	bò
ষাঁড়	bull
পুতিন	putin
বুন	boon
হল,	là,
বরপেটা	barpeta
স্থায়িত্ব	bền
নোটবুক	notebook
নোটবুক	quyển
কুবো	centropus
আজি	aji
নাজি	naji
ক্রিস্টিনা	christina
ক্রিস্টিনা	cristina
বিসাউ	ni
বিসাউ	bissau
লম্ব	orthogonal
পুরুষরা	hãm
শিম	bean
শিম	đậu
শিম	đậu
প্রোব	dò
সন্দেহভাজন	nghi
সন্দেহভাজন	nghi
স্লিপ	trượt
ড্রেক	drake
মিরান্ডা	miranda
আয়ুর্বেদ	ayurveda
ভেগাস	vegas
নামগুলি	tên
রিজ	ridge
রিজ	đèo
রিজ	reese
থান্ডার	vanilla
থান্ডার	sấm
থান্ডার	sét
মাতাল	husky
মাতাল	lush
মাতাল	say
মাতাল	xỉn
মাতাল	drunk
ধাবি	dhabi
রোমিও	romeo
খিলজি	khilji
মতি	moti
জুডি	judy
ভাগ্নে	cháu
