অব্যয়	prieveiksmis
আত্মীয়দের	giminaičiai
আত্মীয়দের	giminių
আত্মীয়দের	gimines
আত্মীয়দের	augo
আত্মীয়দের	giminės
দারুন	puikiai
দারুন	puiku
দারুন	puiki
দারুন	nuostabios
দারুন	nuostabu
দারুন	nuostabūs
দারুন	nuostabus
দারুন	jėga
দারুন	kietai
প্রতিবিম্ব	atspindys
প্রতিবিম্ব	atspindžio
ভঙ্গুর	trapi
বাণ	dart
ভাইকিং	vikingai
পরী	fėja
অগ্নিসংযোগ	padegimas
নিশি	niši
পরিশোধিত	rafinuotas
স্বৈরশাসক	diktatorius
মিশ্রন	derinys
বালুচ	beludžių
রুসো	rozo
ভাইপো	sūnėnas
আইরিন	irena
দূর্ঘটনা	avarija
দূর্ঘটনা	avarijos
অ্যালেক	alekas
কাটিং	pjovimo
ইরিত্রিয়া	eritrėjos
ইরিত্রিয়া	eritrėja
আগন্তুক	svetimas
বর্ণে	gaublį
পুঁজিবাদ	kapitalizmas
ডুবুরি	narų
বেঞ্চ	stendo
ইচ্ছাকৃত	tyčia
ক্রিস্টি	christy
সুযোগের	galimybės
ফিরোজা	turkio
ইউনিটি	vienybės
ইউনিটি	vienybė
গাও	gao
গাও	dainuoti
উপেক্ষিত	ignoruoti
উপেক্ষিত	ignoruojami
আদর	nuostabus
আদর	apkabinti
মহিমা	šlovės
মহিমা	garbė
সমন্বয়ের	koordinavimo
নিকো	niko
এরিস্টটল	aristotelis
নারাইন	narain
সর্বশেষে	pagaliau
বিরোধীদের	opozicijos
কাটরা	katra
বলুন	pasakyti
জাংশন	sandūra
স্কোয়াড্রন	squadron
জ্যাম	uogiene
হয়তোবা	gal
হয়তোবা	galbūt
নোয়া	noir
নোয়া	nojus
বেকারত্বের	nedarbas
বেকারত্বের	nedarbo
শেক্সপিয়ার	šekspyras
খাওয়ানো	šėrimas
খাওয়ানো	šėrimo
আরবান	urban
আরবান	miesto
নরক	velnių
নরক	pragaras
মায়ামি	miami
বলপূর্বক	force
রাস্তাঘাট	gatvės
রাস্তাঘাট	gatvėse
ফ্লোর	grindys
ফ্লোর	grindų
প্রোপেন	propanas
প্রোপেন	propano
মাত্রিক	matmenų
ক্যাটালগ	katalogai
ক্যাটালগ	katalogo
ক্যাটালগ	katalogas
নিশ্চল	tvirtai
নিশ্চল	įstrigo
ভাল্লুক	matas
শূকর	kiaulė
শূকর	kiaulių
ফলপ্রসূ	vaisingą
ডাডলি	dudley
কর্মস্থল	darbas
কর্মস্থল	darbas
ক্যাটরিনা	katrina
গোমেজ	gomez
কুকি	sausainių
কুকি	cookie
ঠোঁটে	lūpų
ঠোঁটে	lūpos
আর্মেনিয়ান	armėnų
দায়বদ্ধতা	atsakomybė
ডুম	doom
বিষক্রিয়া	apsinuodijimo
ব্লেয়ার	blair
লেবিয়া	labia
কিন্ডার	palankus
টয়োটা	toyota
দূরবীন	teleskopo
মাউন্টেনিয়ারিং	alpinizmas
তোতা	papūga
ডক্টরাল	doktorantūros
এয়াকিনস	eakins
সাবা	saba
চ্যালেঞ্জার	arenos
বলো	pasakyti
উকুন	skurdo
রোমাঞ্চ	nuotykiai
রোমাঞ্চ	nuotykių
রোমাঞ্চ	nuotykiai
রোমাঞ্চ	nuotykis
রোমাঞ্চ	nuotykių
মিহি	rafinuotas
দ্বীন	deen
স্যাক্সন	sakse
জাভাস্ক্রিপ্ট	javascript
মানবতা	žmoniją
মানবতা	žmonija
উঠতি	besivystančių
জেইন	zayn
গাম	guma
গাম	derva
গাম	gumos
জিনতত্ত্ব	genetikos
মরিনহো	mourinho
গিগাবাইট	gigabaitų
জুভেন্টাস	juventus
বেজে	žiedai
বার্মায়	birmos
বার্মায়	birma
বার্মায়	birmoje
মালবাহী	krovinių
ভীতি	baimė
ভীতি	baime
ভীতি	baimės
ভীতি	išgąsdinti
বিদ্যালয়,	mokykla,
বিজয়ীরা	laimėtojus
বিজয়ীরা	laimėtojai
বিজয়ীরা	nugalėtojai
রিমা	rima
হ্যালোইন	halloween
ক্যাসিনো	kazino
এরিকসন	ericsson
সহনশীল	tolerantiška
পেন্টহাউস	apartamentai
প্রাইস	kaina
প্রাইস	kainos
ডাব	dub
ফাতাহ	fatah
সনেট	sonetas
অস্ট্রোনেশীয়	austronezinės
মাফিয়া	mafija
মাফিয়া	mafijos
দীঘল	išilginė
দীঘল	išilginės
চমকে	staigmena
চমকে	šokiruota
ভিজিয়ে	vat
ভোজ	šventė
ভোজ	miltų
ভোজ	miltai
বুদ্ধিজীবি	intelektinė
বুদ্ধিজীবি	intelektinės
পরামর্শদাতা	patarėjas
পরামর্শদাতা	patarėja
পরামর্শদাতা	konsultantas
মদ্যপান	geria
মদ্যপান	gert
মদ্যপান	alkoholio
মদ্যপান	alkoholis
ক্রেস্ট	crest
তেজ	tej
দাসত্ব	vergovė
সাঙ্গু	sangų
ভেরা	vera
ডেভন	devon
দেরীতে	vėlai
কেচুয়া	kečua
নিসা	nisa
রক্তক্ষরণ	kraujavimas
রক্তক্ষরণ	kraujuoti
এলকোহল	alkoholio
এলকোহল	alkoholis
শহরগুলি	miestai
গ্যাং	gaujos
গ্যাং	gauja
গ্রামবাসীদের	kaimiečiai
চুনাপাথর	klintys
ঘটছে	vyksta
কোডেক্স	codex
টার্কি	turkiją
টার্কি	turkija
টার্কি	turkijos
ফলস	krenta
বুল	bull
শাকিরা	shakira
করুণাময়	gailestingas
অ্যালায়েন্স	aljanso
অনুঘটক	katalizatorius
কন	dukros
কন	kon
কার্নিভাল	karnavalas
লাটভিয়া	latvija
মাশরুম	grybai
মাশরুম	grybai
পীত	geltongalvė
ইউনান	junano
ব্যাটম্যান	betmenas
জার্নি	kelione
জার্নি	kelionė
কম্বল	danga
কম্বল	danga
ধ্বনিতত্ত্ব	fonologija
এডভোকেট	advocate
উন্নতিসাধন	gerinimo
উন্নতিসাধন	pagerėjimas
সমাধিতে	samadhi
লোন	paskolos
লোন	paskola
ধারণকৃত	fotografuoja
প্রতিসাম্য	simetrija
কোপেনহেগেন	kopenhagos
কোপেনহেগেন	kopenhaga
লরি	sunkvežimis
হিংসাত্মক	smurtinių
টায়ার	padangas
টায়ার	padangos
টায়ার	padanga
টায়ার	padangos
টায়ার	padanga
হর্ন	ragas
রাউটিং	maršrutą
বার্গার	burger
দর্শকরা	lankytojai
দর্শকরা	lankytojų
রুমী	rumi
অপহৃত	pagrobė
জেরার্ড	gerrard
জেরার্ড	gerard
বিদেশীদের	užsieniečių
বিদেশীদের	užsieniečiai
টেস্টিং	bandymai
কনমেবল	conmebol
খেমার	khmerų
জনন	genesis
অযৌক্তিক	netradicinė
বাঁদিকে	paliko
ইথাইল	etileno
এনটিভি	ntv
স্টলম্যান	stallman
ফোয়ারা	fontanas
শাটল	shuttle
প্রাইমেট	primatas
বাইসাইকেল	dviračiai
বাইসাইকেল	dviratis
বাইসাইকেল	dviračio
বাইসাইকেল	dviračių
অন্ত্রের	žarnyno
এলোমেলো	proto
এলোমেলো	atsitiktinai
এলোমেলো	atsitiktinė
আইডিয়া	idėja
আইডিয়া	mintis
আইডিয়া	idėjų
আইডিয়া	idėjos
অসবর্ন	osbourne
অন্তর্দৃষ্টি	įžvalgomis
ভ্যানিলা	vanilės
তানিয়া	tania
সোয়া	sojos
গেমিং	žaidimai
গেমিং	lošimų
ন্যায্য	sąžiningą
লিভিং	gyventi
লিভিং	gyvenimo
লিভিং	gyvos
অধিনায়কদের	kapitonai
অধিনায়কদের	kapitonus
ডেমি	demi
রেঞ্জার	įvertinti
জেরাল্ড	džeraldas
ভাতিজা	sūnėnas
হিউস্টন	hiustone
ক্যানারি	kanarų
পেশি	raumenys
পেশি	raumenys
পেশি	raumenų
ম্যাক্সিম	maksim
কয়লার	anglys
কয়লার	anglis
উইক	viko
সুগন্ধ	kvapas
কিডনি	inkstai
যুবতী	jaunimo
যুবতী	jaunimas
টালি	plytelių
পাইপলাইন	vamzdynų
পাইপলাইন	vamzdynas
খাইয়ে	teikė
হুড	spinta
আর্চ	arkos
লিবিয়ান	libijos
মন্ত্রিসভার	kabineto
ফালাফেল	falafeliai
চড়ুই	sperou
ব্যাপ্টিস্ট	baptistų
অলকা	alka
মোটরসাইকেল	motociklai
মোটরসাইকেল	motociklo
কান্না	verkti
কান্না	verkia
কাঠবিড়ালি	voverė
উরাল	ural
পাইক	lydeka
কাঁদতে	verkia
ট্রিবিউন	tribune
সালাদ	salotos
সালাদ	salotų
সালাদ	salotos
অ্যাংকর	ankor
ধারণাগুলি	sąvokos
ধারণাগুলি	sąvokų
অষ্টক	oktava
অগ্ন্যুৎপাত	išsiveržimas
কসম	prisiekiu
ছাঁচ	kauke
ছাঁচ	kaukė
করুণা	gaila
করুণা	pasigailėjimo
বহির্গ্রহ	egzoplaneta
হাতুড়ি	plaktuką
ঝরা	išsiliejimo
সাবরি	sabri
ওয়েসলি	wesley
ভেটো	veto
কাকে	kas
কাকে	kurie
শুকনা	liesas
সৌজন্যে	mandagumo
পকেটে	kišenės
আশার	asha
ভোঁদড়	ūdra
ভাইয়েরা	brolių
ভাইয়েরা	brothers
ভাইয়েরা	broliai
সিদ্ধি	siddhi
সাদী	sadi
সিমুলেশন	modeliavimas
বস্টন	boston
বেলো	bello
সন্দেহজনক	įtartinas
উদ্দীপক	paskatų
উদ্দীপক	paskata
আউটডোর	lauko
আউটডোর	lauke
অসৎ	nesąžininga
বৈশিষ্ট্যগুলি	ypatumai
বৈশিষ্ট্যগুলি	savybės
মালায়ালাম	malajalių
গোর	gore
কার্ডিয়াক	širdies
দেরী	vėlai
প্লেসিস	plessis
ম্যাক্রো	makro
কোডিং	kodavimas
কোডিং	kodavimo
হার্ডকোর	griežti
ইবাদত	maldos
এলেনা	elena
বিকৃতি	iškraipymų
আত্মিক	psichinės
ভেলা	plaustu
ভেলা	vela
সেলুলোজ	celiuliozė
মন্ত্রীরা	ministrai
মন্ত্রীরা	ministrų
বেহালার	smuikas
সন্তুষ্টি	pasitenkinimo
সন্তুষ্টি	pasitenkinimas
জ্যোতিষশাস্ত্র	astrologijos
জ্যোতিষশাস্ত্র	astrologija
বোনদের	sesės
বোনদের	seserys
লিজ	nuoma
লিজ	nuomos
খোঁজা	atradimas
রাশ	rush
ড্রাইভিং	vykdymo
অর্থপূর্ণ	prasmingas
কিংস্টন	kingston
ক্লারা	klara
রেস্তোরা	restoranai
বাতিস্তা	batista
উইলো	willow
কুশলী	būsimiems
মিথুন	gemini
বায়রন	baironas
কুলম্ব	kulonas
বায়ুমণ্ডলীয়	atmosferos
বৌদ্ধরা	budistai
মাভেন	maven
হিজড়া	transseksualų
মূত্র	šlapimas
মূত্র	šlapimo
স্প্রে	purslų
বাডেন	baden
ঝুড়ি	krepšelį
ঝুড়ি	krepšys
ঝুড়ি	krepšelius
সর্বনাম	įvardis
খ্রীষ্টান	krikščionių
খ্রীষ্টান	krikščionys
হোতা	hota
অংকন	piešiniai
অংকন	brėžiniai
আয়নার	veidrodis
বেতের	cukranendrių
ওয়ালার	waller
নাড়াচাড়া	trynimui
আতাতুর্ক	atatürk
চতুর্ভুজ	keturkampį
একাত্মতা	solidarumo
একাত্মতা	solidarumas
জিহ্বা	liežuvio
জিহ্বা	liežuvį
জিহ্বা	liežuvis
জিমেইল	gmail
ক্ষারীয়	šarminiai
ক্ষারীয়	šarminės
বিনিয়োগকারীদের	investuotojai
বিনিয়োগকারীদের	investuotojų
প্রাণঘাতী	mirtina
ঝোল	sultinys
তেনেরিফে	tenerife
ব্যারেল	alyvos
কুর্দিস্তান	kurdistano
জিল	džil
উদারপন্থী	liberalai
জর্জীয়	gruzijos
তওবা	atgailos
তওবা	gailėtis
হুক	kablys
হুক	kabliai
হোসনি	hosni
ধ্যানে	meditacija
সিট	sėdynės
সিট	sėdynė
জস	kojeles
জস	džoso
পরি	angelas
ছেলেটি	berniukas
ফেইসবুক	facebook
ট্র্যাজেডি	tragedijos
ট্র্যাজেডি	tragedija
গুণাবলীর	savybes
গ্রানাইট	granitas
এন্ড্রয়েড	android
ফিস	mokestis
ফিস	mokesčiai
আদরের	nuostabus
এন্ট্রি	įrašai
কোনান	conan
গ্যাংস্টার	gangsteris
গ্যাংস্টার	gangsteriai
লজ্জা	gėda
প্রতিষেধক	priešnuodis
মিক	mic
মিক	mikai
নৃশংস	žiauri
নৃশংস	žiaurus
ডার্লিং	brangioji
এমিলিও	emilio
স্মৃতিচারণ	nostalgija
বার্ক	žievė
বার্ক	žievės
ধুয়ে	plauti
ধুয়ে	išplauti
বেনেডিক্ট	benediktas
ক্যাট	kat
মোড়ানো	kėlimas
কিট	kit
কিট	komplektas
ফড়িং	dragonfly
গর্বিত	didžiuojuosi
পেট্রোল	benzino
পেট্রোল	benzinas
সুন্নাহ	suna
মস	sumaišyti
দেহরক্ষী	sargybinis
নীরবতা	tyla
হুন	hun
চিংড়ির	krevečių
সুগন্ধী	kvapas
সুগন্ধী	kvapą
পিথাগোরাস	pitagoras
দিকগুলো	aspektai
দিকগুলো	aspektus
এনকোডিং	apkaustai
হ্যাকিং	įsilaužimo
ফী	mokestis
ফী	mokesčiai
অহিংসা	ahimsa
কল্যাণের	gerovės
স্যান্ডউইচ	sumuštinis
স্যান্ডউইচ	sumuštinių
বনী	izraelitai
অ্যাটাক	ataka
সমবেদনা	užuojauta
ব্রক	brokas
স্থিতি	būsena
স্থিতি	statusą
স্থিতি	būklė
স্থিতি	būsenos
ফারিয়া	faria
বুলস	bulių
অবাঞ্ছিত	birželis
অবাঞ্ছিত	birželio
কেন্টাকি	kentukio
চাকরী	darbas
দ্রুততর	greitesnis
দ্রুততর	greitesnis
দোলক	švytuoklės
মেরিনার	mariner
গালা	gala
মেগান	megan
কর্মসংস্থানের	užimtumas
কর্মসংস্থানের	įdarbinimas
অবহেলা	aplaidumo
গ্রাফিক্যাল	grafinė
লিন্ডা	linda
লিং	ling
কাফকা	kafka
প্রতিদিনই	kasdienio
উদর	pilvą
উদর	pilvo
উদর	pilvas
নিরীক্ষণ	audito
নিরীক্ষণ	auditas
সংখ্যালঘুদের	mažuma
সংখ্যালঘুদের	mažumos
সংখ্যালঘুদের	mažumų
তুরিন	turinas
মেঘলা	eclipse
মার্জিত	elegantiška
টেলিগ্রাম	telegrama
আচমকা	bump
স্পেনীয়রা	ispanai
ফাংশনাল	funkcinė
ফাংশনাল	funkcinis
ফাংশনাল	funkcinių
চিরকাল	amžinai
ইলিয়াড	iliada
পোস্টাল	pašto
অ্যান্ডোরা	andora
গোলদাতার	rezultatyviausiu
মাধ্যাকর্ষণ	trauka
লিমা	lima
মালে	patinas
মালে	patinų
মালে	vyrai
মালে	vyras
বিছানায়	lova
বিছানায়	lovos
বিছানায়	lovoje
হামাস	hamas
কোলেস্টেরল	cholesterolio
প্রাণবন্ত	žmogiškos
রুথ	rūta
জেলেদের	žvejys
রসে	sultys
রসে	sulčių
স্টিমার	garlaiviu
বারুদ	sėdynė
ডেভিডসন	davidson
সোতের	soter
ফিনিশ	katalonų
ব্রিজটাউন	bridžtaunas
ঘুষ	kyšininkavimo
ফেইথ	tikėjimą
মাওরি	maorių
হামাদ	hamad
পিন্টো	pinto
অপরিশোধিত	žalios
অপরিশোধিত	žali
অপরিশোধিত	žalia
নৃ	antropologija
অভিমান	didžiuojuosi
রবার্তো	robertas
রবার্তো	roberto
চুড়ান্ত	galutiniai
চুড়ান্ত	galutinis
চুড়ান্ত	galutinė
চুড়ান্ত	finalas
মধ্যপন্থী	vidutinis
নিকোল	nicolle
নিকোল	nicole
নাইট্রেট	nitrato
কশেরুকা	slankstelio
কুঁড়ি	pumpurai
কুঁড়ি	bud
শিক্ষানবিশ	mokinys
ডিয়ার	brangi
ডিয়ার	brangioji
ডিয়ার	brangus
ডিয়ার	elniai
ওয়েড	veidai
ওয়েড	veidas
মিতা	mita
ট্রান্সমিটার	siųstuvas
সহানুভূতি	užuojautą
প্রতারণা	apgaudinėja
একন	akon
আলভা	telšiai
নিবিড়ভাবে	įdėmiai
স্ট্যাটাস	būsena
স্ট্যাটাস	statusą
স্ট্যাটাস	būklė
স্ট্যাটাস	būsenos
বারোক	baroko
আবেল	abel
ইস্টার	velykų
হুইলচেয়ার	vežimėlio
তাঁবু	palapinės
জেদ্দা	džida
ক্যামিও	cameo
ক্রেমলিন	kremliaus
হরে	hara
উপনাম	slapyvardis
কর্ড	styga
রুবল	rublių
রুবল	rublis
ভেটেরিনারি	veterinarijos
সাকিবের	sakis
ওয়েল্ডিং	suvirinimo
নৈরাজ্যবাদ	anarchizmas
চিকিৎসকদের	daktarai
চিকিৎসকদের	gydytojai
প্যাপিরাস	papirusas
চু	chu
চু	tsk
সাঁই	sai
আক্রমণকারীদের	puolėjai
চাকর	tarnas
চাকর	tarnautojas
বিতরন	platinimas
বিতরন	paskirstymo
বিতরন	paskirstymas
বিতরন	pasiskirstymas
প্রেসার	slėgis
প্রেসার	slėgio
তাহিতি	taičio
লোকটি	vyrukas
লোকটি	vaikinas
গোঁড়া	ortodoksų
ড্রাকুলা	drakula
অমরত্ব	nemirtingumas
অবিশ্বাস	neįtikėtina
প্রাণীতে	organizmų
শব্দভাণ্ডার	žodynų
শব্দভাণ্ডার	žodyno
শব্দভাণ্ডার	žodynas
মাহদি	mahdi
ওলে	ole
লিয়াম	liam
আলভারেজ	alvarez
টর্পেডো	torpedos
আতঙ্কিত	apimtas
বিজয়ীর	laimėtojas
বিজয়ীর	čempionas
মিশরীয়দের	egiptiečiai
কারাকাস	karakaso
ক্রনিক	lėtinis
ক্রনিক	lėtinė
ক্রনিক	lėtinio
ট্র্যাকিং	sekimo
ট্র্যাকিং	sekimas
ফ্রাঞ্জ	franz
রেস্ট	poilsio
রেস্ট	poilsis
সুখে	laiminga
সুখে	laimingas
সুখে	laimingi
জন্ডিস	gelta
জঙ্গী	kovotojas
মই	kopėčios
মই	kopėčios
মই	kils
মই	moi
অ্যাপ	programėlių
ঘটনাচক্রে	galiausiai
সুমো	sumo
এনডিএ	nde
ব্রুকস	bruksas
খেয়া	keltų
খেয়া	keltu
সোয়াত	swat
আসছেন	ateina
আসছেন	ateinu
আসছেন	ateis
স্বতন্ত্রভাবে	atskirai
আর্টে	arte
কাস্টমস	muitinė
কাস্টমস	muitinės
সহগ	koeficientas
বইগুলি	knygos
স্পা	spa
হেলে	hayley
ডরোথি	doroti
হের্মান	hermann
কোনভাবে	kažkaip
লেখচিত্র	diagrama
বেলেরিভ	bellerive
ডিশ	indų
ডিশ	patiekalas
ডেবিট	debeto
কিসিঞ্জার	kissinger
ব্রজ	broz
আঙ্কেল	dėdė
আঙ্কেল	dėde
মধ্যাহ্ন	vidurdienį
মধ্যাহ্ন	pietus
মধ্যাহ্ন	pietų
মধ্যাহ্ন	pietūs
মঞ্জু	manju
গ্রিনল্যান্ড	grenlandijos
গ্রিনল্যান্ড	grenlandija
বাল্ব	lempa
স্কার্ট	sijonas
নির্ভরতা	priklausomybė
নির্ভরতা	priklausomybės
নির্ভরতা	priklausomybių
নির্ভরতা	priklausomybės
ফুটকি	pečialinda
যব	miežiai
যব	miežių
সুস্থতা	sveikatingumo
অপহরণের	grobimo
দান্তে	dantė
লিঙ্গুয়া	lingua
ভোল্টা	volta
ব্লুটুথ	bluetooth
অশ্রু	rer
অশ্রু	ašaros
কুইক	greitas
কুইক	greita
কুইক	greitai
রাগমোচন	orgazmas
রেজিস্ট্রেশন	registracija
রেজিস্ট্রেশন	registracijos
রেজিস্ট্রেশন	registravimas
আন্ডারটেকার	undertaker
অরুণা	aruna
সময়সূচি	globos
থাইরয়েড	skydliaukės
ওয়ারফেয়ার	karyba
ফাসো	fasas
আরামাইক	aramėjų
অম্বা	amba
স্ট্যান	stan
লব	skaitiklis
জিপ	zip
মাসকট	talismanas
পলিনেশিয়া	polinezija
মুই	muay
স্ট্যাক	krauti
ক্লিপ	klipą
উডস	miškas
উডস	miško
লিব্রে	libre
অডিশন	nusifilmuoti
ডপলার	doplerio
দুর্দশা	vargo
কোরাল	koralų
আশ্চর্যজনক	nuostabu
আশ্চর্যজনক	nuostabus
আশ্চর্যজনক	nuostabi
পোলার্ড	pollard
প্লাইস্টোসিন	pleistoceno
পিক্সার	pixar
মাগুর	šamas
ওরহান	orhan
স্বাস্থ্যকর	ekonomiką
গুস্তাফ	gustaf
সিজন	sezonas
ইথেন	etanas
মার্সেলো	marcelo
রোসা	rosa
বেপরোয়া	beviltiška
কংস	kamsa
হ্যামবার্গার	hamburger
কুঠার	kirvis
বস্তুগুলো	objektų
ড্যাশ	meto
স্কিম	schemas
কমিউনিস্টদের	komunistai
ইগুয়াইন	higuaín
চ্যান	chan
জেলি	želė
আঁধার	tamsus
আঁধার	tamsi
আঁধার	tamsiai
অ্যামনেস্টি	amnestija
ব্রডওয়ে	brodvėjaus
বিরক্তিকর	erzina
দৃষ্টিশক্তি	vizijas
টয়লেট	do
টয়লেট	tualetai
ড্যাম	velnias
টুইন	dvynys
ম্যানুয়াল	rankinis
ডালিয়া	jurginas
ডালিয়া	dalia
রুজ	rouge
আয়োডিন	jodo
ভিসেন্তে	vicente
বেত	cukranendrių
উচ্ছেদের	iškeldinimo
হোমিওপ্যাথি	homeopatija
হাল্ক	halkas
সায়ানাইড	cianidas
সায়ানাইড	cianido
এক্সেল	excel
মেজাজ	nuotaikos
মেজাজ	nuotaika
কিয়েভ	kijevo
কিয়েভ	kijeve
চুলকানি	niežėjimas
চুলকানি	niežulys
নিতম্ব	sėdmenis
নিতম্ব	klubai
নিতম্ব	klubų
দেবেন্দ্র	devendra
মানানসই	tinka
বিক্রীত	parduota
বিক্রীত	parduodami
বিক্রীত	parduotas
বিক্রীত	parduodama
কোরান	koranas
সিমস	sims
গালাপাগোস	galapagų
ডকুমেন্টেশন	dokumentacija
ডকুমেন্টেশন	dokumentai
ডকুমেন্টেশন	įrodymai
ডকুমেন্টেশন	dokumentacijos
ডকুমেন্টেশন	dokumentus
ডেটিং	pažintys
ফিলিস্তিনিদের	palestiniečiai
ফিলিস্তিনিদের	palestiniečių
হলদেটে	gelsvai
জুলিও	julio
জেরোম	jerome
মিনার্ভা	minerva
শূন্যতা	emptiness
ইয়ার্ড	kiemas
ইয়ার্ড	kiemo
ডাইনিং	valgomojo
গ্যাগারিন	gagarinas
সার্বিয়ান	serbų
যৌনসঙ্গম	prakeiktas
নিয়ন	neonas
পেনশন	pensija
পেনশন	pensijos
পেনশন	pensija
পেনশন	pensijos
অ্যাডলফ	adolfas
প্রশংসনীয়	gan
প্রশংসনীয়	gana
মোমবাতি	žvakė
ট্রাজেডি	tragedijos
ট্রাজেডি	tragedija
ডাচেস	hercogienė
বিদ্রুপ	satyra
ভালবাসে	dievina
ভালবাসে	mėgsta
ভালবাসে	myli
বেনজিন	benzeno
হিউম	hume
অনুক্রম	seka
জখম	sužalojimai
কূটনীতি	diplomatijos
কূটনীতি	diplomatija
হিগস	higso
ডায়েরী	dienoraštis
জুস	sultys
জুস	sulčių
লিভ	liv
এবাদত	maldos
উইজার্ড	vedlys
উইজার্ড	burtininkas
ট্রুথ	tiesa
ট্রুথ	tiesos
পজিশন	pozicijas
বুরহান	burhan
সিএনএন	cnn
ভিক	vika
ঝরনা	dušo
ঝরনা	pavasario
ঝরনা	pavasaris
হোস্টেলের	bendrabutis
ফুকো	foucault
গোলাপের	rožės
ঘনক	kubą
বিকেলের	popietę
কড	menkės
ওয়ালকট	walcott
ইসাবেলা	izabelė
ইসাবেলা	isabela
খড়	šieno
উইকিলিকস	wikileaks
মলিন	purvinas
রোধক	varžai
বিদায়ী	atsisveikinimo
জর্জটাউন	wau
উটপাখি	strutis
মৌলবাদ	fundamentalizmo
মাইন্ড	protas
মিক্সড	sumaišyti
জীবজন্তু	gyvūnai
জীবজন্তু	gyvuliai
জীবজন্তু	gyvūnų
ক্যানবেরা	kanbera
লেদার	oda
লেদার	odos
নেটস্কেপ	netscape
মোজা	kojines
মোজা	kojinės
মোন	mon
ইস্ট্রোজেন	estrogenų
মোর্স	morzės
ট্রান্সফরমার	transformatorių
ট্রান্সফরমার	transformatoriai
বিটিভি	btv
কল্যান	gerovės
প্রোজেক্ট	projekto
প্রোজেক্ট	projektas
কারাবন্দী	kalinys
কারাবন্দী	pasodino
স্লাইড	skaidrių
মরিচের	pipirai
মরিচের	pipirų
নিপ্পন	nippon
ফেনল	fenolio
মেহেদি	mehndi
বান্দর	apa
বান্দর	beždžionė
