発光	zářící
濡れ	mokré
濡れ	mokrá
ロンド	rondo
キックボクシング	kickbox
台北市	taipei
諮問	konzultace
諮問	konzultaci
火事	oheň
火事	požár
正夫	masao
ジュリエット	julie
ジュリエット	juliet
マクラーレン	mclaren
プファルツ	pfalz
オアシス	oasis
赤道	rovníku
クウェート	kuvajtu
疲労	vyčerpávající
疲労	únava
疲労	únava
疲労	vyčerpání
平壌	pchjongjangu
国々	země
ディー	dee
タコ	chobotnice
内訳	členění
内訳	zhroucení
内訳	rozdělení
内訳	členění
内訳	rozdělení
ジャイアント	obr
ジャイアント	obří
バディ	kamaráde
バディ	buddy
出願	přihláška
出願	aplikace
出願	žádost
ウォーレン	warrena
ウォーレン	warren
銃弾	kulka
銃弾	náboj
妥協	kompromis
妥協	kompromisy
ピストン	píst
ピストン	pístové
鉄拳	tekken
派手	okázalé
派手	okázalé
雅美	masami
グラミー	čichavec
グラミー	grammy
抗体	protilátky
抗体	imunoglobulin
抗体	protilátka
抗体	protilátky
トモ	tomo
風船	balónek
風船	balón
風船	balon
風船	balóny
おばさん	teta
おばさん	teto
おばさん	tetička
おばさん	tetička
リターン	návrat
ユーラシア	eurasijské
安定性	stabilita
安定性	stability
安定性	stabilitu
コメディアン	komik
コメディアン	komici
フェリックス	felixe
フェリックス	felix
副官	pobočník
エレクトロニクス	elektronika
エレクトロニクス	elektroniky
パトロール	hlídka
クレーター	krátery
クレーター	kráter
キャピタル	kapitál
チャット	chatu
チャット	chat
糖尿病	diabetu
糖尿病	cukrovku
糖尿病	diabetes
ディズニーランド	disneylandu
エルフ	elf
エルフ	skřítek
エルフ	elfové
バーガー	burger
バーガー	hamburger
カリウム	draslíku
カリウム	draslík
カリウム	draselný
サバイバル	přežití
シックス	šest
シックス	šestka
蛍光	fluorescenční
蛍光	fluorescence
可愛い	roztomilý
可愛い	roztomilé
可愛い	roztomilá
可愛い	hezká
可愛い	docela
スピリット	duchu
スピリット	duch
グアム	guamu
民兵	milice
側室	konkubína
側室	konkubíny
ルター	luther
ルター	luthera
共鳴	rezonance
ジュリアン	julian
ジュリアン	juliana
ジュリアン	juliane
チャーチル	churchill
シャム	siamská
シャム	sham
帰属	přiřazení
モモ	broskve
モモ	broskví
モモ	momo
モモ	peach
コンボ	combo
デンバー	denveru
感度	citlivosti
感度	citlivost
正午	polední
正午	poledne
正午	polední
正午	poledne
ハント	hon
ハント	lov
ハント	hunt
ハント	lovu
ハント	lovit
ドレスデン	dresden
欠席	absence
欠席	nepřítomnost
欠席	absence
欠席	nepřítomnosti
欠席	neexistence
口座	účet
口座	účtu
批准	ratifikaci
批准	ratifikace
説教	kázání
説教	kázání
説教	kázání
説教	kázání
説教	kázat
連想	asociativní
フルーツ	ovoce
フルーツ	ovoce
フルーツ	plody
著しい	nevšední
著しい	pozoruhodný
著しい	pozoruhodná
著しい	pozoruhodné
カウンティ	hrabství
カウンティ	okres
カウンティ	okresů
カウンティ	kraje
返済	vrácení
返済	splacení
返済	splátky
返済	splácení
返済	splátka
チャネル	kanály
チャネル	kanálů
チャネル	kanál
尾根	ridge
尾根	hřeben
ウェスタン	západ
ウェスタン	western
ウェスタン	západní
スキャン	skenování
スキャン	snímání
スキャン	sken
スキャン	skenování
スキャン	scan
敬意	úctu
敬意	respekt
敬意	respektovat
敬意	úcta
敬意	respektu
オリエンタル	orientální
鋭い	ostrý
鋭い	ostře
鋭い	ostré
鋭い	ostrá
お茶	čaje
お茶	čaj
お茶	tea
クローズ	uzavřít
クローズ	zavřít
クローズ	blízko
ワープ	warp
ダイナマイト	dynamitu
ダイナマイト	dynamit
コリンズ	collinsová
コリンズ	collins
飲む	pít
飲む	pití
飲む	pít
飲む	nápoj
飲む	pití
オークション	aukce
オークション	dražby
オークション	aukci
オークション	aukce
オークション	dražby
ポータブル	přenosné
ポータブル	přenosný
ポータブル	přenosná
ポータブル	přenositelnosti
モンロー	monroe
産卵	tření
トラップ	past
トラップ	pasti
トラップ	pasti
ローテーション	otáčení
ローテーション	střídání
ローテーション	rotace
フェアリー	víla
フェアリー	fairey
ポット	hrnec
ポット	trávu
ポット	tráva
マッカーサー	macarthur
ハチ	wasp
ハチ	včely
ハチ	včel
ハチ	včelí
ハチ	vosy
ミッチェル	mitchell
カルト	kult
カルト	sekta
家事	úklid
消える	mizí
消える	zmizení
消える	zmizet
消える	zmizí
テンション	napětí
個別に	individuálně
個別に	jednotlivě
個別に	samostatně
ジャスト	prostě
ジャスト	jen
ジャスト	jenom
フォーカス	soustředění
フォーカス	zaměření
分化	rozlišování
ほうぼう	lyrovitý
ウエスタン	západ
ウエスタン	western
ウエスタン	západní
ラトビア	lotyšsko
ラトビア	lotyšsko
ラトビア	lotyšské
酢酸	octan
スタンプ	známka
スタンプ	razítko
スタンプ	nálepky
スタンプ	samolepky
スタンプ	nálepku
スタンプ	nálepka
スタンプ	samolepky
スタンプ	pařez
スタンス	postoj
発令	emise
発令	vydání
激戦	divoký
おいしい	výborné
おいしい	vynikající
停滞	stagnace
停滞	stacionární
カブス	mláďata
照射	ozařování
照射	ozáření
照射	vystavení
照射	expozici
照射	ozáření
照射	expozice
クルーザー	křižník
ハンドブック	příručku
ハンドブック	příručka
江藤	eto
アーカンソー	arkansasu
パッド	pad
マナー	etikety
マナー	etiketa
マナー	vychování
マナー	způsoby
バットマン	batman
バットマン	batmana
裁定	vládnutí
裁定	vládnoucí
タイル	dlaždice
タイル	dlaždice
螺旋	helix
ホフマン	hoffmann
ホフマン	hoffman
ホフマン	hofmann
鉄砲	teppo
レジスタ	registry
レジスタ	registr
レジスタ	registrovat
レジスタ	zaregistrovat
ピュア	čistá
ピュア	čistý
ピュア	čisté
蒸留	destilaci
蒸留	destilace
蒸留	destilované
フレイ	frey
ミッドフィールダー	záložník
ブーツ	bota
ブーツ	boty
出版物	publikace
出版物	zveřejňování
出版物	vyhlášení
出版物	publikace
出版物	uveřejnění
出版物	zveřejnění
ヒューズ	hughes
ヒューズ	pojistka
ヒューズ	pojistky
問い合わせ	dotaz
問い合わせ	dotazy
問い合わせ	dotaz
問い合わせ	šetření
問い合わせ	dotazy
連帯	solidaritu
連帯	solidarity
連帯	solidarita
ポーター	porter
ポーター	nosič
帰宅	doma
帰宅	domov
帰宅	domácí
帰宅	domů
メイキング	dělání
エフェクト	dopady
エフェクト	efekty
エフェクト	účinky
エフェクト	vlivy
エフェクト	účinek
エフェクト	efekt
デス	smrt
デス	death
デス	smrti
デス	úmrtí
バター	másla
バター	máslo
教職員	fakulty
教職員	fakulta
結核	tuberkulózy
結核	tuberkulózu
ヨルダン	jordánský
ヨルダン	jordan
恵那	ena
コバルト	kobaltu
ソフトボール	softball
アルビレックス	albirex
起業	podnikatele
起業	podnikatel
起業	podnikání
欠陥	vada
欠陥	vada
欠陥	závada
欠陥	vady
欠陥	nedokonalost
未完	nedokončené
コブラ	kobra
シスター	sestra
グリル	grilování
脂肪	tlustý
脂肪	tuk
脂肪	tučný
脂肪	tuky
脂肪	tlustá
回顧	retrospektivní
アーネスト	ernest
アーネスト	arnošt
眠る	spi
眠る	spánek
眠る	spát
天台宗	tendai
アスレチック	sportovní
彼氏	přítele
彼氏	přítel
エミー	amy
迫害	pronásledování
迫害	pronásledováni
勧誘	kuplířství
手数料	provize
手数料	komise
手数料	poplatek
手数料	honorář
手数料	poplatků
手数料	poplatky
バドミントン	badminton
ザック	zac
陶器	keramiky
スクリプト	scénáře
スクリプト	skript
スクリプト	scénář
トライアングル	trojúhelník
溶岩	láva
フィニッシュ	dokončit
異端	kacířství
異端	kacířské
真似	napodobit
真似	napodobit
フン	hun
ハス	lotus
メグ	meg
ボールド	odvážné
ボールド	odvážná
ボールド	smělý
ボールド	odvážný
トッド	todd
入浴	koupat
入浴	koupání
入浴	vana
入浴	koupel
ハング	hung
ハング	viset
ハング	pověsit
流体	tekutiny
流体	tekutina
流体	tekutiny
流体	kapaliny
ジュネーヴ	ženevě
ハーバート	herbert
お菓子	cukroví
お菓子	sladkosti
お菓子	cukrovinky
未完成	nedokončené
未完成	neúplná
未完成	nedokončené
未完成	neúplné
オシ	bozp
ブレーメン	brémy
共生	symbiotický
チューブ	trubka
チューブ	trubice
林業	lesnictví
変装	přestrojení
変装	zamaskovat
変装	maskovaný
変装	převleky
軍需	výzbroj
シグナル	signály
シグナル	signálů
シグナル	signál
オリーブ	olive
オリーブ	olivový
オリーブ	olivy
面接	interview
面接	pohovor
面接	rozhovor
面接	výslech
ダイエット	diety
ダイエット	dieta
ダイエット	dieta
ダイエット	strava
ダイエット	dietu
ダイエット	dietní
ダブリン	dublinu
ダブリン	dublin
信念	víra
信念	faith
信念	víru
信念	víra
信念	přesvědčení
信念	přesvědčení
スチュアート	stuart
ワイヤー	drát
ワイヤー	dráty
ワイヤー	dráty
アルブレヒト	albrecht
バレル	barel
バレル	sud
バレル	hlaveň
サンティアゴ	santiago
碑文	nápis
碑文	nápisy
一樹	kazuki
ブルターニュ	brittany
審判員	rozhodčí
審判員	rozhodčí
スレッド	konverzaci
スレッド	rozhovor
スレッド	konverzace
スレッド	nitě
スレッド	vlákna
スレッド	nitě
スレッド	vlákno
スレッド	nit
スレッド	rozhovory
スレッド	konverzace
ドラキュラ	drákula
ルネ	rené
ルネ	rené
ルネ	rene
桟橋	mola
桟橋	molu
桟橋	molo
亜鉛	zinku
グラハム	grahama
グラハム	grahame
グラハム	graham
正博	masahiro
デューク	duke
デューク	vévoda
語彙	slovník
コーディネーター	koordinátor
コーディネーター	koordinátora
ソナー	sonar
充電	poplatek
充電	obvinění
充電	nálož
充電	nabít
充電	zpoplatnění
充電	nabíjení
充電	dobít
グラブ	uchopit
グラブ	chyť
バーミンガム	birminghamu
マイヤー	meyer
リリー	lilie
リリー	lily
大工	tesař
大工	tesaři
停泊	kotviště
隠岐	oki
チャイ	chai
ワクチン	vakcíny
ワクチン	vakcíny
ワクチン	vakcínu
ワクチン	vakcína
監獄	věznice
監獄	vězení
監獄	věznice
デラウェア	delaware
売る	prodávat
売る	prodej
売る	prodat
破片	trosky
ペーター	petře
ペーター	peter
ペーター	petr
買い物	nakupovat
買い物	nákup
買い物	nákupy
買い物	nákupní
買い物	nakupování
既婚	manželé
既婚	vdaná
既婚	ženatý
陽性	kladný
陽性	kladné
陽性	pozitivní
チョーク	křída
チョーク	dusit
チョーク	škrcení
四十	čtyřicet
四十	forty
エコー	ozvěna
エコー	echo
同調	shodnost
同調	soulad
同調	shody
同調	shoda
スイング	švih
コミュニティー	komunity
コミュニティー	společenství
コミュニティー	komunita
コミュニティー	obec
施策	politik
施策	politiky
トラクター	traktory
トラクター	traktorů
トラクター	traktoru
トラクター	traktor
カリスマ	charisma
カリスマ	charismatický
吹く	fouká
淡水	sladkovodní
分泌	sekrece
ドキドキ	vzrušující
驚き	překvapení
ジェフリー	jeffrey
廃墟	zničit
廃墟	trosky
廃墟	troskách
廃墟	ruiny
深度	hloubku
深度	hloubka
深度	hloubky
配当	dividendy
配当	distribuční
配当	rozdělení
配当	distribuce
配当	rozložení
配当	dividendy
故意	úmyslné
故意	úmyslné
故意	záměrně
故意	úmyslně
故意	záměrně
故意	úmyslně
ニコ	nico
ニコ	niko
クロム	chrome
クロム	chromu
預言	proroctví
掲示	zveřejňování
掲示	bulletinu
掲示	zpravodaj
掲示	věstník
パスポート	pasy
パスポート	pas
カロリー	kalorií
カロリー	kalorií
消化	trávení
ヘビ	hada
ヘビ	hadí
ヘビ	had
ヘビ	hadi
ヘビ	hady
ヘビ	hadů
膨張	expanze
膨張	rozšiřování
膨張	rozšíření
バッジ	odznak
バッジ	placky
バッジ	odznaky
残酷	krutý
残酷	krutá
残酷	kruté
ペナルティ	sankce
ペナルティ	trest
フェンス	plot
フェンス	překupník
船員	námořník
フォレスト	forrest
フォレスト	lesní
フォレスト	les
フォレスト	lesy
フォレスト	lesa
クラッチ	spojku
クラッチ	spojky
クラッチ	spojka
見習い	učňů
見習い	učeň
見習い	učedník
黙示録	apokalypsu
黙示録	apokalypsa
枢機卿	kardinála
枢機卿	kardinál
メソッド	metodu
メソッド	metoda
メソッド	způsob
メソッド	metody
メソッド	metod
スチュワート	stewart
スランプ	pokles
スランプ	propad
スランプ	propadu
スギ	cedar
賭博	sázení
賭博	hazard
コップ	hrnek
コップ	cup
コップ	pohár
コップ	kelímek
コップ	šálek
母国	vlasti
母国	vlast
視界	zviditelnění
視界	viditelnost
ニッケル	niklu
ニッケル	nikl
反響	ozvěna
反響	echo
プラットホーム	plošina
プラットホーム	nástupiště
プラットホーム	platforma
プラットホーム	platformy
プラットホーム	platformu
カルチョ	calcio
スーザン	zuzana
スーザン	susan
ハイチ	haiti
洗浄	praní
洗浄	mytí
洗浄	úklid
洗浄	čištění
不祥事	skandální
不祥事	skandál
不祥事	skandály
不祥事	skandály
委任	delegace
委任	delegaci
委任	pověření
委任	mandát
委任	pověření
祭壇	oltář
祭壇	oltáři
祭壇	oltáře
シエラ	sierra
ボローニャ	bologna
ヤギ	kozí
ヤギ	koza
ヤギ	kozel
ヤギ	kozy
ワークショップ	workshopy
ワークショップ	semináře
ワークショップ	dílny
ワークショップ	workshop
ワークショップ	dílna
ワークショップ	seminář
ワーグナー	wagner
金庫	bezpečné
金庫	bezpečná
金庫	trezor
金庫	bezpečný
金庫	sejf
臨済宗	rinzai
被告人	obviněný
被告人	obviněn
被告人	obžalovaný
被告人	odpůrce
バトン	baton
睡眠	spi
睡眠	spánek
睡眠	spát
モノクロ	monochromní
洗濯	praní
洗濯	mytí
洗濯	prádlo
洗濯	prádelna
洗濯	prádelny
ツル	crane
ツル	jeřáb
リヒャルト	richard
裏側	zpět
裏側	zpátky
裏側	záda
レズビアン	lesba
レズビアン	lesby
芸者	gejša
チャップリン	chaplin
吸気	inhalační
祝福	požehnání
祝福	požehnání
祝福	požehnané
祝福	požehnaný
林檎	jablko
林檎	jablečný
林檎	apple
林檎	jablka
視力	zrak
星空	hvězdná
ケット	ket
ロナルド	ronald
ロナルド	ronalda
ランニング	běžící
ランニング	běží
ランニング	běh
ランニング	běhání
ランニング	utíkat
高尾	takao
届出	oznamování
届出	upozornění
届出	oznámení
レスキュー	záchrana
レスキュー	záchranu
土居	doi
委嘱	delegace
委嘱	delegaci
委嘱	pověření
委嘱	provize
委嘱	komise
アンドレア	andrea
パンダ	panda
ハク	haq
冗談	vtip
冗談	žert
お気に入り	oblíbené
お気に入り	oblíbená
お気に入り	oblíbených
お気に入り	oblíbené
お気に入り	oblíbené
お気に入り	nejoblíbenější
お気に入り	oblíbená
お気に入り	oblíbený
お気に入り	oblíbených
お気に入り	oblíbené
ロッカー	rocker
ロッカー	skříňky
ロッカー	skříňky
ロッカー	skříňku
ロッカー	skříňka
トゥルー	pravda
トゥルー	true
トゥルー	pravdivé
ヨット	jachta
ヨット	jachtě
ヨット	jachtu
ヨット	jachty
ヨット	jachty
シェーン	shane
ダイナミック	dynamika
ダイナミック	dynamický
ダイナミック	dynamická
ダイナミック	dynamické
ラバウル	rabaulu
勝浦	katsuura
飛行船	vzducholoď
陶芸	keramiky
エリオット	elliott
エリオット	elliot
フットサル	futsal
消去	vymazání
消去	mazání
消去	vymazat
真木	maki
ハンプシャー	hampshire
テント	stany
テント	stan
テント	stanu
リソース	zdroj
リソース	zdrojů
リソース	zdroje
リソース	prostředky
粛清	očištěn
セリ	seri
崇拝	uctívat
崇拝	uctívání
ワトソン	watson
ワトソン	watsonová
値段	ceny
値段	price
値段	cena
値段	cenu
藤森	fujimori
快適	pohodlné
快適	pohodlná
快適	pohodlný
快適	komfortní
快適	pohodlné
快適	pohodlí
快適	pohodlný
足跡	stopa
足跡	stopy
ロベール	robert
バスケ	basket
バスケ	basketbal
獣医	veterináři
獣医	veterány
獣医	veterináři
獣医	veterinář
獣医	veterinář
ヴァージン	panenské
ヴァージン	panic
ヴァージン	panna
和音	akord
帝政	říše
帝政	empire
帝政	impérium
動揺	naštvaná
動揺	rozrušený
動揺	rozrušená
タブレット	tabulka
タブレット	tabletu
タブレット	tablet
タブレット	tablety
麻酔	anestezie
ジュエル	klenot
サンチェス	sanchez
サンチェス	sánchez
文字通り	doslova
目的地	cíl
目的地	destinace
マルチメディア	multimediální
オーラ	auru
オーラ	aura
ディープ	hluboká
ディープ	hluboké
ディープ	hluboko
ディープ	hluboký
マリアナ	mariano
マリアナ	mariana
アマゾン	amazon
年数	léta
年数	roků
年数	let
年数	roky
サイコロ	kostky
不自然	nepřirozené
コロナ	corona
切符	vstupenky
切符	jízdenky
切符	lístky
切符	letenky
切符	vstupenka
切符	jízdenka
切符	tiket
切符	lístek
ちひろ	chihiro
教義	dogma
教義	creed
教義	doktrína
オメガ	omega
富豪	milionáři
両面	duplex
地雷	miny
地雷	doly
ホッケー	hokej
かもめ	racek
マダガスカル	madagaskaru
マダガスカル	madagaskar
事績	úspěchy
事績	dosažení
事績	úspěch
上告	odvolat
上告	odvolání
カートリッジ	náboje
カートリッジ	náplň
トレイル	stopu
トレイル	stezka
トレイル	stopa
臓器	orgánů
臓器	orgány
臓器	orgánu
臓器	orgán
コロンボ	colombo
水銀	rtuť
水銀	mercury
水銀	rtuti
水銀	merkur
ニース	pěkný
ニース	hezky
ニース	hezký
ニース	pěkné
ニース	nice
ホモ	homo
ユニーク	jedinečný
ユニーク	unikátní
ユニーク	jedinečná
ユニーク	jedinečné
ステアリング	řízení
城郭	hrady
アドリア	adria
浄化	očištění
浄化	očistit
浄化	očistit
音節	slabiku
音節	slabiky
シダ	fern
炎症	zánětlivé
炎症	zánětu
炎症	zánět
ダンカン	duncana
ダンカン	duncan
カッパ	kappa
摩擦	tření
ドーン	svítání
ドーン	dawn
ドーン	úsvit
芝生	trávník
芝生	trávníku
エヴァンゲリオン	evangelion
悪役	padouch
悪役	darebák
悪役	zloduch
実効	efektivita
実効	účelnost
実効	účinnost
実効	efektivnost
実効	účinná
実効	účinné
実効	efektivní
実効	účinný
セナ	senna
アルマ	alma
ルナ	luna
オリオン	orion
ルーシー	lucy
ウィリー	willy
ステータス	stav
ステータス	status
ステータス	postavení
アロン	aaron
アロン	aron
四川省	sichuan
柔軟	flexibility
柔軟	flexibilita
柔軟	flexibilitu
柔軟	pružnost
イングリッシュ	česky
イングリッシュ	anglické
イングリッシュ	angličtina
イングリッシュ	anglicky
浮気	nevěra
浮気	podvádění
浮気	nevěra
浮気	aféra
マッサージ	masáže
マッサージ	masážní
マッサージ	masáže
マッサージ	masáž
捕鯨	velrybářská
