partnerství	associacions
zasáhl	intervingut
pozdě	tard
schéma	diagrama
schéma	esquema
schéma	gràfic
schéma	diagrama
schéma	esquemàtica
oblíbený	popular
oblíbený	populars
oblíbený	preferit
oblíbený	favorit
bavorsko	baviera
obnova	restauració
obnova	recuperació
obnova	renovació
epidemie	epidèmies
epidemie	epidèmia
mimořádné	extraordinaris
mimořádné	extraordinària
mimořádné	extraordinàries
mimořádné	excepcionals
mimořádné	excepcional
přežití	supervivència
přežití	sobreviure
řekové	grecs
aktivitu	activitat
přiznal	confessat
herečky	actrius
herečky	actriu
auf	auf
morgan	morgan
reprezentativní	representant
flotily	flota
arábie	aràbia
těhotenství	embaràs
občan	ciutadà
klára	klara
klára	clara
instrumentální	instrumental
alpy	alps
kiss	kiss
kiss	petó
terry	terry
vajec	ous
jakýkoliv	qualsevol
rezervaci	reserva
prodloužena	prorrogat
prodloužena	ampliat
spolky	societats
tramvaj	tramvia
odmítli	rebutjat
odmítli	disminuït
dáno	donades
dáno	donada
specializované	especialitzats
specializované	especialitzat
daly	daly
provence	provença
kulturně	culturalment
beatles	beatles
parky	parcs
michigan	michigan
kost	os
znalost	coneixements
znalost	coneixement
podvozek	bastidor
podvozek	bogi
klobouk	barret
protesty	protesta
protesty	protestes
posloupnost	seqüència
skotska	scotland
skotska	escòcia
nedostatky	deficiències
nedostatky	mancances
nedostatky	deficiències
daň	impost
bohemia	bohèmia
soutěžní	competició
soutěžní	competència
soutěžní	competitiu
soutěžní	competitiva
dodávky	furgonetes
dodávky	furgons
dodávky	entregues
dodávky	lliuraments
dodávky	subministraments
oblouk	arc
oblouk	arch
trenéři	autocars
trenéři	entrenadors
trenéři	formadors
konfliktů	conflictes
pozic	posicions
prvotní	primal
čtrnáct	catorze
reagoval	reaccionat
miluje	estima
miluje	loves
cestování	viatges
holub	colom
logické	lògic
logické	lògica
železnici	ferrocarril
pozvání	convida
pozvání	invitació
veronika	veronika
veronika	veronica
hrdinů	heroes
hrdinů	herois
vyrobeny	fabricat
vyrobeny	fabricats
vyrobeny	fetes
vyrobeny	feta
myšlenek	pensaments
bonaparte	bonaparte
minutu	minut
živě	viure
živě	live
mající	havent
popření	denegació
popření	negació
mitchell	mitchell
výroční	anual
výroční	anuals
bytů	bytes
bytů	octets
orange	orange
orange	taronja
náhorní	nagorno
chorvatské	croat
chorvatské	croata
prodává	ven
hektarů	hectàrees
parků	parcs
psáno	escrit
xml	xml
kate	kate
url	url
okolnosti	circumstància
okolnosti	circumstàncies
liška	fox
liška	guineu
peří	plomatge
peří	ploma
peří	plomes
carter	carter
výhodu	avantatge
silva	silva
pocity	sensacions
pocity	sentiments
patrik	patrik
patrik	patrick
sopka	volcà
produktu	producte
potraviny	menjar
potraviny	alimentació
potraviny	aliments
potraviny	comestibles
odstraněna	esborrat
odstraněna	eliminat
odstraněna	retirats
odstraněna	eliminat
kult	culte
kult	secta
kůry	escorça
silver	plata
trubka	pipa
trubka	canonada
trubka	tub
trubka	trompeta
joan	joan
zajímá	interessat
zajímá	interessats
reklama	publicitat
matematika	matemàtica
matematika	matemàtiques
matematika	matemàtica
matematika	mates
matematika	matemàtica
návod	manual
návod	instruccions
sierra	sierra
caesar	cèsar
pohyby	moviments
pohyby	moviment
pohyby	mocions
pohyby	moviments
poškozen	danyat
poškozen	malmeses
poškozen	malmès
poškozen	desperfectes
poškozen	malmesos
výjimku	excepció
čelní	frontals
umožnila	habilitat
true	cert
true	true
podepsána	signat
podepsána	firmat
orgánu	orgue
orgánu	òrgan
řidiče	controladors
řidiče	conductors
řidiče	xofers
řidiče	xofer
řidiče	conductor
oddělené	separat
oddělené	separats
vyhláška	ordenança
vyhláška	decret
neštěstí	contratemps
neštěstí	desastre
wiener	wiener
aktivních	actiu
velvyslanectví	ambaixades
velvyslanectví	ambaixada
ovlivnit	afecten
ovlivnit	afectar
ovlivnit	influència
svobodná	single
kovy	metall
kovy	metal
kovy	metalls
sinclair	sinclair
pilotní	pilot
zobrazí	espectacles
nepřátel	enemics
hradecká	hradecká
architektonické	arquitectòniques
tyčinky	pals
kyselin	àcids
přímá	directe
přímá	directa
přímá	direct
přímá	directes
vkládá	inserida
zimy	hiverns
zimy	winters
obhájce	defensor
dokonale	perfectament
larry	larry
rozložení	distribució
rozložení	disposició
finance	finances
norma	norma
norma	norma
norma	estàndard
příkazy	ordres
příkazy	encàrrecs
příkazy	comandes
příkazy	ordres
blake	blake
opakované	repetit
opakované	repetitives
opakované	repetitiu
čluny	embarcacions
čluny	vaixells
čluny	barques
čluny	barcasses
dovnitř	inside
dovnitř	endins
dovnitř	dins
pravdy	veritats
soukromí	privadesa
soukromí	privacitat
podlaží	pis
luk	luk
luk	proa
jednotlivců	particulars
vzory	models
vzory	pautes
vzory	patrons
vzory	dissenya
vzory	dissenys
podpořit	suport
olympic	olympic
olympic	olímpic
zraněn	ferits
zraněn	ferits
vkládání	encastat
volná	lliure
volná	gratuït
volná	lliures
temné	fosc
stockholmu	estocolm
stockholmu	stockholm
řádek	línia
řádek	fila
řádek	filera
jürgen	jürgen
pokorný	humil
pokorný	humils
zkratkou	drecera
studuje	estudiant
posun	torn
potvrzeno	confirmat
slabé	dèbil
slabé	feble
tmavé	fosc
germain	germain
texasu	texas
bull	bull
spektra	espectre
sedmý	setena
sedmý	setè
mann	mann
obdobné	anàleg
obdobné	anàloga
obdobné	similars
obdobné	semblants
obdobné	similar
ana	ana
zvýšené	incrementat
zvýšené	elevades
zvýšené	elevat
pokrok	progrés
plavby	creuers
ověření	autenticació
ověření	validació
ověření	verificació
paulo	paulo
paulo	paula
vzestup	ascensió
provedeno	fet
potřeb	necessitats
náhodně	aleatòriament
náhodně	atzar
náhodně	aleatòria
náhodně	aleatori
náhodně	accidentalment
odměnu	recompensa
grace	gràcia
grace	gracia
oslavy	celebracions
oslavy	celebració
poddruh	subespècie
dallas	dallas
zrychlení	acceleració
útočiště	santuari
útočiště	refugi
čekat	esperant
organismy	organismes
obytné	residencial
leonardo	leonardo
haas	haas
začleňování	inclusió
mor	mor
mor	plaga
mor	pesta
arabsky	àrab
julian	julian
julian	julián
julian	julià
estonsko	estònia
missouri	missouri
saxofonista	saxofonista
jedině	només
přírodovědec	naturalista
doklady	documents
doklady	papers
césar	cèsar
césar	césar
atlantis	atlàntida
zásahy	intervencions
zásahy	intervenció
plošiny	plataformes
viru	virus
sestavy	assemblees
sestavy	muntatges
sestavy	rutines
mlýny	mills
podvozku	bastidor
podvozku	bogi
hamburku	hamburg
kantonů	cantons
profilu	perfil
kanadská	canadenc
slam	slam
partner	soci
etnicky	ètnicament
konkurenční	competitiu
konkurenční	competitiva
konkurenční	competint
transformace	transformació
transformace	transformacions
jonas	jonas
profesionál	professional
profesionál	professionals
inspiroval	inspirat
odpověděl	respost
odpověděl	respost
odpověděl	contestat
odpověděl	contestada
gilles	gilles
zpravodaj	butlletí
zpravodaj	newsletter
zpravodaj	butlletí
přeložen	transferit
sdělení	comunicació
sdělení	comunicacions
pruh	carril
piloti	pilots
oldfield	oldfield
důlní	mineria
koloniální	colonial
muhammad	muhammad
muhammad	mahoma
hop	hop
ovce	ovella
ovce	ovelles
ovce	oví
konfederace	confederació
účetní	comptadors
účetní	comptabilitat
účetní	comptador
náboženský	religiós
hluboký	deep
hluboký	profunds
hluboký	profund
synovec	nebot
pokusů	intents
nesmysl	tonteries
marketing	màrqueting
marketing	marketing
marketing	comercialització
hymna	himne
rozšířená	prorrogat
rozšířená	ampliat
rozšířená	ampliat
potrubí	gasoducte
potrubí	conduccions
potrubí	pipes
potrubí	canonades
potrubí	pipa
potrubí	canonada
potrubí	fontaneria
zatčení	arrest
zatčení	detenció
zatčení	detencions
nutná	necessàries
položek	elements
zpětně	retroactivament
frederick	frederick
opuštění	abandó
opuštění	abandonament
odborníci	professionals
odborníci	experts
odborníci	perits
odborníci	especialistes
portugalské	portuguès
stanovena	establerta
stanovena	corregit
stanovena	fix
stanovena	fixes
stanovena	arreglat
gov	gov
panorama	panorama
panorama	skyline
kancléř	canceller
alpha	alpha
alpha	alfa
mercury	mercuri
mercury	mercury
jet	jet
arménie	armènia
mozek	cervell
mozek	cervells
zločin	crim
převod	traspàs
převod	transferència
převod	trasllat
kanálů	canals
ničení	destrucció
zveřejnil	publicat
návštěvníky	visitants
dosáhli	assolit
balet	ballet
porýní	rin
porýní	renània
systematicky	sistemàticament
systematicky	sistemàtica
unit	unitat
virginia	virgínia
virginia	virginia
bomby	bombes
předchůdci	predecessors
chicagu	chicago
hdp	pib
mořských	marine
normálně	normalment
rfc	rfc
pozemek	land
uplatnit	aplica
uplatnit	bescanviar
zúčastnit	assisteixen
zúčastnit	assistir
kazatel	predicador
kongo	congo
připraven	preparats
připraven	preparat
připraven	preparades
ostré	sharp
ostré	sostingut
adrian	adrian
zeměpisné	geogràfic
drak	drac
dosah	interval
překvapivě	sorprenentment
chemický	chemical
chemický	químic
melzer	melzer
sud	barril
filmografie	filmografia
astronomie	astronomia
přirozený	naturals
přirozený	natural
allmusic	allmusic
citroën	citroën
uhlíku	carboni
lyon	lyon
lyon	lió
dělník	llaurador
dělník	obrer
dělník	treballador
ryze	purament
potkal	met
ramena	espatlles
zvuky	sons
zvuky	sorolls
alexandre	alexandre
bibli	bíblia
reed	reed
palestině	palestina
holt	holt
homosexuální	homosexual
výpočetní	computacional
výpočetní	computació
kvitová	kvitová
marshall	marshall
prezidentských	presidencials
prezidentských	presidencial
bankovní	bank
bankovní	banc
gama	gamma
jevgenij	ievgueni
lokalit	localitats
proteinů	proteïnes
duši	ànima
zveřejnění	divulgació
zveřejnění	publicació
zveřejnění	edició
zveřejnění	publicant
pat	ofegat
pat	pat
írán	iran
jar	jar
hitlera	hitler
porazit	beat
porazit	derrota
ukázky	manifestacions
ukázky	demostracions
ukázky	mobilitzacions
ukázky	mostres
porucha	avaria
porucha	trastorn
emma	emma
schválen	aprovades
schválen	aprovat
schválen	aprovada
schválen	aprovats
léky	medicament
léky	medicina
léky	drogues
léky	fàrmacs
léky	medicaments
léky	medicació
léky	medicines
krajinu	paisatge
pohřební	funeral
drobná	petite
metr	metre
metr	mesurador
metr	metre
tón	to
tón	matís
basketbal	basquetbol
basketbal	bàsquet
smrk	spruce
zima	fred
zima	hivern
nicole	nicole
frankfurtu	frankfurt
hnědý	marró
hnědý	brown
mississippi	mississipí
nepochybně	indubtablement
sporné	qüestionables
sporné	impugnada
sporné	contenciosa
sporné	disputada
extrémní	extrem
extrémní	extrema
extrémní	extreme
vyvinutý	desenvolupat
vyvinutý	desenvolupats
vyvinutý	evolucionat
éra	era
signály	senyals
středa	dimecres
ideologie	ideologia
ideologie	ideologies
école	école
odhad	estimació
odhad	estimació
pacienta	pacient
irské	irlandès
kázání	sermons
kázání	predicant
kázání	sermó
kázání	predicar
prázdná	buit
prázdná	buida
vystupovat	realitzen
vystupovat	realitzar
osa	eix
dvojí	dual
převodovka	transmissió
chybějící	desaparegut
chybějící	falta
chybějící	desapareguda
schneider	schneider
paolo	paolo
zemře	mor
údržbu	manteniment
údržbu	manutenció
portugalská	portuguès
výdělek	lucre
granollers	granollers
porozumění	enteniment
porozumění	comprensió
porozumění	entesa
porozumění	entenent
biblické	bíblic
pánve	cassoletes
nabídka	licitació
nabídka	tendra
nabídka	oferta
nadpis	titular
nadpis	títol
bosna	bòsnia
korlević	korlević
leon	leon
hole	clubs
hole	trèvols
hole	pals
klarinet	clarinet
heinz	heinz
vlčí	llop
vlčí	wolf
patent	patent
absence	absent
absence	absència
absence	absències
sestavil	compilat
koupila	comprat
opus	opus
božena	božena
komunisté	comunistes
řádně	adequadament
proveden	executat
proveden	executada
army	exèrcit
mag	mag
počítat	comte
počítat	comptant
benz	benz
biologické	biològics
biologické	biològic
kapacity	capacitat
děla	canó
děla	canons
poklad	tresor
upravuje	regula
regiony	regions
povstalci	insurgents
povstalci	rebels
křesťané	cristians
slonoviny	ivori
vyvinut	desenvolupat
vyvinut	desenvolupats
výuka	ensenyament
výuka	docència
výuka	aprenentatge
výuka	tutorial
fed	alimentats
miguel	miguel
vyrovnání	assentament
vyrovnání	desplaçament
pistole	pistola
pistole	pistola
pistole	arma
vzácný	rars
vzácný	rares
postupů	procediments
složený	doblades
sung	cantada
sung	cantat
kings	kings
kings	reis
empire	imperi
investice	inversions
investice	inversió
flash	flash
flash	flaix
jemně	suaument
collins	collins
navštívit	visiteu
navštívit	visita
norem	estàndards
soares	soares
slavnost	festival
pomocný	auxiliar
pomocný	auxiliars
účinnosti	eficàcia
ronald	ronald
cti	honor
hlasuje	votacions
hlasuje	vots
spojovací	acoblament
justin	justin
rhône	roine
rozděluje	divideix
čekal	esperada
čekal	esperats
čekal	esperat
poručík	tinent
chung	chung
bojovali	lluitat
ruka	braç
ruka	mà
kolekce	cobraments
kolekce	recollida
federaci	federació
sólo	solo
vyvolává	planteja
křídy	cretaci
jater	fetge
dílčí	parcials
kritérií	criteris
schváleno	aprovades
schváleno	aprovat
schváleno	aprovada
schváleno	aprovats
vyřazení	eliminació
sie	sie
odstavec	paràgraf
nedávné	recents
nedávné	recent
sloučenin	compostos
kansas	kansas
povoleno	autoritzat
povoleno	autoritzades
povoleno	autoritzats
povoleno	autoritzada
povoleno	habilitat
povoleno	permesos
povoleno	permès
flora	flora
mitsubishi	mitsubishi
ráj	paradís
ráj	paradise
přeložit	tradueix
přeložit	traduir
ložiska	rodament
polák	polonès
polák	polack
esa	aces
esa	asos
esa	esa
fasády	façanes
protein	proteïna
protein	proteïnes
nfl	nfl
moravec	moravec
kohout	gall
vily	villas
vily	villa
chemická	chemical
chemická	químic
létající	volant
důsledek	conseqüència
účetnictví	comptabilitat
čtenářů	lectors
působnost	àmbit
působnost	abast
karen	karen
sloučit	fusiona
sloučit	fusionar
sloučit	fusionat
reforma	reforma
zimonjić	zimonjić
odlišuje	distingeix
žádoucí	desitjada
žádoucí	desitjat
žádoucí	desitjats
žádoucí	desitjable
proteiny	proteïna
proteiny	proteïnes
proteiny	proteïnes
england	anglaterra
hlášení	informe
hlášení	informant
hlášení	informes
odstraňování	supressió
odstraňování	eliminació
raketoplán	llançadora
přesnost	puntualitat
přesnost	precisió
přesnost	precisió
přesnost	exactitud
kraus	kraus
vertikální	vertical
podnět	denúncia
podnět	queixa
podnět	estímul
podnět	incentiu
podnět	iniciativa
vytvořeno	creades
vytvořeno	creats
vytvořeno	creat
ball	pilota
popularitu	popularitat
dramatické	dramàtica
příslušný	competent
příslušný	competents
železná	planxa
železná	ferro
zabití	matar
mont	mont
deutschen	deutschen
čistá	purs
čistá	pura
čistá	pur
vydaný	expedit
vydaný	emès
sta	sta
toky	fluxos
toky	cabals
dialog	diàleg
expanze	expansió
istanbulu	istanbul
derby	derby
příkop	sèquia
příkop	fossat
tržní	mercat
bas	bas
agresivní	agressiu
libuše	libuše
dean	degà
dean	dean
dean	vicedegà
dean	degana
campbell	campbell
obnovy	recuperació
ulrich	ulrich
životnost	durabilitat
radar	radar
kabiny	estands
pochopil	entès
omylem	accidentalment
mapování	mapatge
mapování	mapping
expozici	exposició
tábory	campaments
mrtvý	morts
mrtvý	dead
vysílat	emissió
týdnech	setmanes
phoenix	fènix
phoenix	phoenix
dosáhne	assoleix
anti	anti
konstantinopole	constantinoble
řez	tallat
řez	retalla
řez	talla
řez	retallat
vyhnanství	exili
vyhnanství	bastava
boulevard	boulevard
boulevard	bulevard
pořádek	orde
pořádek	ordre
cruz	cruz
turci	turcs
nesprávně	incorrectes
nesprávně	incorrecte
nesprávně	incorrectament
tepelné	tèrmic
tepelné	tèrmica
tanečnice	ballarines
tanečnice	ballarins
tanečnice	ballarí
tanečnice	dancer
tanečnice	ballarina
monografie	monogràfic
prodat	vendre
dennis	dennis
palais	palais
rumunské	romanès
respekt	respect
respekt	respecte
pete	pete
cska	cska
kometa	cometa
hodnotí	avalua
optimální	òptim
optimální	òptima
servery	servidors
libanonu	líban
překvapení	sorpresa
překvapení	sorpreses
minimum	mínim
galaxií	galàxies
galaxií	galàxia
prach	pols
fotografka	fotògraf
fotografka	fotògrafa
blesk	flash
blesk	flaix
blesk	llamp
edgar	edgar
koni	cavall
productions	produccions
chu	chu
mir	mir
lorenzo	lorenzo
maximum	màxim
třináct	tretze
melo	melo
ochoten	disposat
ochoten	disposats
diskografie	discografia
tváře	galtes
tváře	cares
optické	òptic
úpadek	fallida
vystaven	exposat
vystaven	exposats
hollywood	hollywood
houston	houston
ovlivněna	influenciat
ovlivněna	influït
jakob	jakob
molekulární	molecular
tvrdě	hard
tvrdě	dura
tvrdě	dur
jámy	fosses
jámy	pou
gott	gott
vlasů	pèl
vlasů	cabells
izolace	aïllant
