коле	коле
фока	сіл
парма	парма
стабилна	надійно
стабилна	стабільна
стабилна	стійкий
занимавал	виконувалася
лекари	лікарям
лекари	лікарів
лекари	лікарі
натриум	натрію
албрехт	альбрехт
поинаку	different
поинаку	інше
поинаку	різні
поинаку	різних
поинаку	відмінні
поинаку	інакше
наставник	викладач
наставник	вчителю
наставник	вчитель
наставник	учитель
наставник	вчителька
групирани	згруповано
групирани	зібрано
квалитети	якостями
далас	даллас
картичка	картка
картичка	картку
моторот	рушій
моторот	двигун
мото	девіз
мото	moto
дрвена	пікет
слободан	слободан
признал	признався
колорадо	колорадо
зимбабве	зімбабве
тереза	тереза
тереза	тереза
студијата	вивчення
студијата	навчання
кејп	мис
сегмент	ніша
сегмент	сегмент
сегмент	відрізок
патрон	відвідувач
патрон	покровитель
службеник	службовець
роди	народження
роди	народився
роди	борн
роди	народилась
роди	народилася
војводина	воєводина
црево	рукав
црево	кишечник
темите	теми
темите	тем
јута	юта
типична	типові
типична	типова
типична	типовий
кристали	кристали
кисела	лужний
магазин	журнал
магазин	magazine
магазин	часопис
седмиот	сьомому
седмиот	сьомий
седмиот	сьома
сезонски	сезонні
аргумент	аргументом
аргумент	аргумент
колонизација	колонізація
сали	сюллі
сали	салі
сали	саллі
секција	розділ
секција	секція
секција	секції
воспаление	запалення
максимум	максимальний
максимум	максимальне
максимум	максимальна
максимум	максимум
фил	філ
течности	рідини
предниот	передня
охајо	огайо
војување	війна
јакоб	якоб
јакоб	якоб
јакоб	джейкоб
јакоб	яків
нејзе	her
нејзе	нею
нејзе	її
нејзе	їй
вршење	надсилання
бакар	міді
бакар	мідь
мерења	виміри
усвоено	приймається
варираат	вари
известување	попередження
известување	сповіщення
известување	інформує
жица	дріт
жица	дроту
андер	андер
нормални	звичайна
нормални	нормальний
нормални	нормальні
нормални	звичайний
нормални	звичайне
адријан	адріан
адријан	адріан
дрим	дрин
бангладеш	бангладеш
измислен	уявні
бронза	бронза
хепберн	хепберн
цигари	цигарки
цигари	сигарети
цигари	сигар
цигари	цигарки
цигари	сигарета
цигари	сигарету
цигари	сигарети
заклучи	блокування
заклучи	зафіксувати
заклучи	замкнути
заклучи	заблокувати
синоним	синонім
велосипед	велосипед
велосипед	велосипедом
велосипед	велосипед
велосипед	велосипеда
велосипед	ровер
судијата	суддя
судијата	судді
судијата	суддю
судијата	арбітр
судијата	рефері
сандерленд	сандерленд
опозиција	протистояння
дизајнер	designer
дизајнер	дизайнер
дизајнер	дизайнера
екран	екрана
екран	екран
роза	роуз
роза	роза
роза	розі
роза	троянда
роза	роза
роза	роса
роза	rosa
ејми	емі
ејми	ама
водопади	водоспад
водопади	водоспади
водопади	водоспадів
потпис	підпис
пронајдена	знайшов
пронајдена	знайдено
пронајдена	знайшовся
пронајдена	знайшла
пронајдена	знайдені
волт	уолт
дискриминација	дискримінації
дискриминација	дискримінація
наслови	заголовки
наслови	заголовки
ага	ага
куско	куско
произведе	виготовлення
произведе	виробляють
одделно	окремо
одделно	окреме
одделно	відокремити
убијци	убивці
убијци	убивць
убијци	вбивці
убијци	убивці
убијци	вбивці
убијци	убивці
убијци	вбивці
магдалена	магдалена
магдалена	магдалена
данскиот	данська
осудени	засуджений
осудени	засуджений
осудени	приречені
осудени	приречений
просториите	приміщення
кирибати	кірибаті
монро	монро
патувал	вирушив
патувал	подорожували
патувал	пройшли
патувал	подорожував
изгубени	втрачений
изгубени	програв
изгубени	lost
етички	етичних
етички	етично
стрес	стрес
лукас	лукас
лукас	лукас
фотографијата	світлину
фотографијата	світлина
фотографијата	світлині
фотографијата	фото
секаде	всюди
секаде	скрізь
тибет	тибету
заработи	заробляти
заработи	заслужити
автономни	автономна
автономни	автономний
паралелни	паралельний
паралелни	паралельні
паралелни	паралельно
линкови	лінки
линкови	посилання
линкови	посиланнями
линкови	посилань
мара	мара
нилски	бегемот
новела	повість
прослава	святкування
сок	сік
родно	рідний
родно	рідна
кану	каное
александра	олександра
александра	александра
александра	aleksandra
симетрија	симетрія
физиологија	фізіологія
оперски	opera
оперски	опера
злото	зла
злото	злом
злото	evil
злото	зло
беркли	берклі
архив	архівувати
архив	архів
архив	архіви
накратко	коротко
возови	перевізників
возови	потяги
возови	поїзди
изабела	ізабелла
изабела	ізабель
плато	плато
опции	варіанти
опции	пункти
опции	опції
опции	параметри
хасан	хассан
хасан	хасан
жупа	жупа
корисна	корисне
корисна	корисні
корисна	корисна
корисна	корисно
корисна	корисний
корисна	повчальна
преведени	перекладено
жолти	жовте
жолти	жовтого
жолти	жовті
жолти	жовтий
повлекува	забирає
испраќање	відсилання
испраќање	надсилання
богатства	скарби
богатства	копійки
богатства	багатство
соберат	зібрати
соберат	збирати
фрески	капели
јон	іон
отиде	поїхала
отиде	ходив
отиде	поїхав
босански	боснійська
партизани	партизани
ракометна	гандбол
ракометна	гандболу
сахара	сахара
раѓа	народження
раѓа	народився
раѓа	борн
раѓа	народилась
раѓа	народилася
наводнување	зрошення
сфати	зрозуміла
сфати	зрозуміло
сфати	зрозуміли
сфати	розумію
сфати	розуміємо
сфати	зрозуміти
сфати	зрозуміла
сфати	усвідомлюють
хром	chrome
хром	хром
лед	лід
електронско	електронне
електронско	електронні
електронско	електроніка
електронско	електронна
електронско	електронний
опстанок	виживання
демо	демонстрація
демо	демо
доза	доза
доза	доза
воздушни	повітряна
германци	німці
намибија	намібія
спроведена	проводили
спроведена	провели
гласа	голоси
гласа	голосів
гласа	голосує
бронзен	бронза
викенд	вихідні
заменета	замінено
заменета	замінили
заменета	замінила
фабрики	фабрики
фабрики	заводів
емирати	еміратів
минимум	мінімальна
минимум	мінімальний
минимум	мінімум
минимум	мінімально
минимум	мінімальне
универзален	універсальна
универзален	universal
универзален	універсальний
спортист	спортсмен
ангола	анголи
поглавје	розділ
поглавје	глава
поглавје	главу
намален	меншає
намален	зведена
достигнат	досягнуто
достигнат	досягли
достигнат	досягнув
достигнат	досягла
достигнат	охоплення
стотина	сотня
стотина	сотню
стотина	сто
стотина	сотні
алтернативен	альтернативне
алтернативен	альтернативний
видлива	видима
видлива	видимий
видлива	видно
видлива	видимі
сведочи	свідчити
откриваат	розкривати
вратен	повернувся
вратен	повернуто
вратен	повернулася
просечен	середній
просечен	середнє
просечен	середня
просечен	середнього
инка	інка
инка	лійка
ротација	обертання
ротација	поворот
ротација	обертання
ротација	обертати
ротација	обернути
ротација	повернути
тенкови	танки
тенкови	танків
загрозен	зникнення
загрозен	погрожують
загрозен	погрожував
човечко	людина
човечко	людський
опен	відкрити
опен	відкрита
опен	відкрито
опен	відкриті
опен	відкритий
публикации	публікаціях
теодора	теодора
заболување	хвороби
заболување	хвороба
заболување	захворювання
прстени	кільця
прстени	обручки
воведува	впроваджує
практики	практик
младоста	молодість
младоста	юнацтва
младоста	юність
младоста	молодь
болки	біль
академска	академічна
академска	навчального
академска	академічний
практична	практичні
практична	практичне
практична	практичний
практична	практична
тврдејќи	сперечатися
панама	панами
мастерс	магістри
каталонија	каталонії
галиција	галичина
сенка	тіней
сенка	морок
сенка	shadow
сенка	тінь
сенка	згортання
сенка	тони
сенка	відтінок
сенка	згорнути
привилегии	привілей
привилегии	привілеїв
привилегии	привілеї
витези	лицарі
скијање	лижі
брест	брест
анастасија	анастасія
оман	оману
диригент	диригент
диригент	провідник
супстанции	речовини
супстанции	речовина
вечери	обідів
вечери	вечері
вечери	вечори
гнездо	гніздо
пфалц	пфальц
кралско	королівська
кралско	royal
кралско	королівський
кралско	королівське
кралско	рояль
кралско	імператорський
кралско	імперський
кралско	imperial
резерват	резервна
резерват	резерв
резерват	резервний
резерват	заповідник
религиозна	релігійна
религиозна	релігійні
топлината	тепло
математичари	математики
вага	терези
фрази	фразами
фрази	фрази
фрази	виразів
фрази	фраз
лорен	лорейн
лорен	лорен
лорен	лорен
кнежевство	рашки
кнежевство	князівство
кози	кози
установа	підприємстві
карибите	caribbean
теологија	теології
исклучоци	винятки
оператор	оператор
јачина	інтенсивність
јачина	величина
утрински	morning
утрински	ранку
утрински	ранок
утрински	утро
носејќи	курс
носејќи	несуть
носејќи	несе
носејќи	везти
преовладува	переможе
наша	наше
наша	наша
наша	наші
наша	наш
наша	наші
грмушки	кущі
грмушки	буш
сегменти	ділить
ремо	ремо
зајак	кролик
зајак	кріль
зајак	кролі
доволна	достатньо
доволна	досить
наставници	учителі
наставници	вчителів
наставници	вчителі
лош	bad
лош	погана
лош	погано
лош	погане
кал	бруд
кал	кал
кал	кейл
кал	cal
дан	дан
дан	dan
дан	ден
дан	закохатися
дан	данн
дан	ден
соочи	обличчя
соочи	обличчям
соочи	face
помало	меншим
помало	менша
помало	менший
помало	менше
помало	менші
урбана	урбан
урбана	міський
шести	шоста
шести	шостий
шести	шосте
предизвик	виклик
малтер	ступка
малтер	розчин
исполнети	наповнене
творба	артикуляція
матеј	матвія
матеј	матвій
матеј	метью
претседателството	президія
ријана	rihanna
пенали	штрафи
пенали	штрафів
радиус	радіус
свештеникот	священик
предизвикувајќи	викликає
празни	порожнім
празни	порожнє
празни	порожня
празни	порожні
празни	порожній
шефот	шеф
шефот	вождь
шефот	головний
шефот	начальник
шефот	boss
шефот	бос
шефот	босс
четворица	четвірка
четворица	чотирьох
четворица	чотири
гледајќи	дивиться
гледајќи	дивитися
гледајќи	дивлюсь
пластика	пластмас
пластика	пластик
пластика	пластику
пластика	купляти
јемен	ємен
уран	уран
обоени	намалювала
обоени	малюють
обоени	кольорові
обоени	кольоровий
обоени	кольорові
портрети	портрети
австронезиски	австронезійські
алба	альба
глетка	приціл
глетка	видовище
глетка	вигляд
божиќ	різдво
божиќ	новорічний
алгебра	алгебра
боби	боббі
ранети	поранених
ранети	поранені
ранети	поранений
роси	россі
мештаните	місцеві
мештаните	жителів
покриен	розібралися
покриен	покрита
точна	точні
точна	точна
точна	акуратно
точна	точне
точна	точні
точна	точна
точна	точний
точна	виправте
точна	виправити
точна	правильна
точна	правильний
подот	под
подот	підлога
подот	поверх
обемот	гучність
дипломат	дипломат
месопотамија	межиріччя
пури	сигар
стекнува	отримав
инцидент	інцидент
инцидент	дтп
работеше	спрацювало
работеше	працював
работеше	працювали
работеше	працювала
вторник	вівторок
вирус	вірус
добиток	корова
добиток	порода
посредник	посередник
посредник	медіатор
траат	триває
состаноци	зустрічей
состаноци	зустрічі
сиромаштија	бідність
сиромаштија	бідності
сиромаштија	злидні
геолошки	геологічних
шер	sphere
шер	шер
шер	шер
алмати	алмати
разгледува	враховуючи
разгледува	розглянути
обележани	помічено
курсеви	курси
фокус	фокус
фокус	фокусування
фокус	focus
дејан	деян
конкретни	конкретних
конкретни	певне
конкретни	конкретні
конкретни	бетонні
конкретни	бетон
супстанца	речовини
супстанца	речовина
наназад	назад
наназад	назад
лејди	жіночі
лејди	леді
лејди	пані
рап	реп
скали	драбини
скали	сходи
раководители	менеджерів
раководители	керівники
ресурсите	виконавців
ресурсите	виконавці
ресурсите	ресурси
очекувања	очікувань
очекувања	сподівання
примарна	основний
примарна	основне
примарна	основна
времетраење	тривалість
лесна	легка
лесна	легкі
лесна	легко
лесна	легке
лесна	легке
лесна	легкого
мадагаскар	мадагаскар
едрене	едірне
праќа	посилає
праќа	надсилає
праќа	відправляє
типични	типові
типични	типова
типични	типовий
пејџ	пейдж
џордан	йорданії
џордан	джордан
постоечки	існуюче
постоечки	існуючий
постоечки	існуючі
постоечки	існуючу
јапонска	японська
јапонска	японський
јапонска	японці
јапонска	японські
џузепе	джузеппе
џејсон	джейсон
џејсон	ясон
извршат	передати
извршат	передача
вегас	вегасі
вегас	вегас
статистичка	статистичні
статистичка	статистичних
големини	розміри
признат	впізнали
признат	впізнав
признат	визнано
признат	визначив
остро	сильно
остро	гострий
остро	гострі
формирано	сформована
формирано	оформлено
формирано	сформовано
атракција	привабливості
атракција	атракціон
атракција	притягнення
параметар	параметр
експлоатација	експлуатація
експлоатација	дослідження
експлоатација	подібній
конечен	фінал
конечен	остаточний
конечен	final
пештери	печер
пештери	печери
андалузија	андалусія
вишок	зайві
вишок	надлишок
стенфорд	стенфорд
нормандија	нормандії
нормандија	нормандія
изложеност	експозиція
изложеност	експозиції
антропологија	антропологія
хаити	гаїті
свадба	весілля
крајбрежјето	набережною
оценка	рахунок
оценка	результат
оценка	оцінка
сони	sony
нирнберг	нюрнберг
изолација	ізоляція
ралф	ральф
самуил	самуель
самуил	семюел
следна	наступний
следна	наступна
следна	next
следна	наступне
следна	далі
стравот	fear
стравот	страх
стравот	страху
почитува	поважає
ритуали	ритуали
интензитет	інтенсивність
обнови	відновлення
обнови	відновити
обнови	розшуку
промовирање	підвищення
промовирање	просування
промовирање	заохочення
промовирање	пропагують
поразена	перемогли
поразена	поразки
упатува	посилання
согорување	горіння
заседа	засідку
континуирано	неодноразово
континуирано	продовження
континуирано	постійно
факултети	коледжі
евиденција	рекорди
евиденција	records
евиденција	платівки
евиденција	журнал
евиденција	лог
евиденција	log
индиректно	непрямі
индиректно	непрямим
спротивни	обрана
спротивни	протилежність
спротивни	відміну
спротивни	протилежний
спротивни	навпаки
кралевите	королі
пеколот	hell
пеколот	пекло
пеколот	чорти
пеколот	inferno
пеколот	пекло
тениско	теніс
протест	протест
рајот	heaven
рајот	небеса
рајот	рай
рајот	небес
рајот	небесне
панорама	панорами
панорама	панорама
панорама	panorama
опасни	небезпечні
опасни	небезпечна
опасни	небезпечний
опасни	небезпечно
почина	помер
почина	померла
ангели	янголи
ангели	angels
ангели	ангели
еми	еммі
шеми	шаблони
шеми	візерунки
шеми	схем
шеми	схеми
среда	середа
среда	середи
врат	шия
врат	шию
собири	зібрань
играчки	іграшки
медичи	медічі
масовни	маса
масовни	mass
групна	багатокористувацька
групна	група
групна	групова
групна	груповий
групна	групу
групна	спільнота
ник	нік
ник	псевдонім
ник	nic
ник	nik
ник	нік
витамин	вітамін
одби	відмовились
одби	відмовилися
одби	відхилено
одби	відхилити
одби	відмовився
одби	відмовилися
одби	відмовив
одби	відмовлено
одење	ходити
одење	прогулянка
одење	прогулянки
граѓанин	житель
граѓанин	громадянин
материјална	матеріал
материјална	матеріали
комесар	комісар
професионалец	фахівець
професионалец	професійний
професионалец	професіонал
професионалец	professional
професионалец	професійні
професионалец	pro
професионалец	профі
професионалец	правозахисники
декларацијата	декларація
декларацијата	оголошення
религиски	релігійна
религиски	релігійні
припаѓал	належали
припаѓал	належав
брегови	берегах
индекси	індекси
мајмуни	мавпи
спартак	спартак
спартак	спартак
докторат	докторський
докторат	phd
верувањето	переконання
верувањето	віра
моќност	влада
моќност	живлення
моќност	сила
моќност	power
артисти	художники
артисти	виконавців
артисти	виконавці
артисти	художників
артисти	митці
англо	англ
англо	англо
клун	дзьоб
празен	порожнім
празен	порожнє
празен	порожня
празен	порожні
празен	порожній
празен	бланк
празен	порожній
протеини	білок
протеини	білки
мастејн	мастейн
михаел	михайло
михаел	майкл
михаел	michael
михаел	михаїл
тел	тел
тел	тель
стразбур	страсбурзі
предвидување	передбачення
лил	lil
лил	лілль
длабоки	глибока
длабоки	deep
длабоки	глибоко
длабоки	глибокий
барбара	барбара
осло	осло
пристигнува	прибуде
пристигнува	вхідний
пристигнува	вхідні
пристигнува	стріляють
армстронг	армстронг
цветови	квіти
руси	руські
руси	росіян
руси	росіяни
бесплатно	вільна
бесплатно	безкоштовне
бесплатно	вільний
бесплатно	безкоштовно
бесплатно	вільно
милтон	мілтон
задоволи	задовольнити
фрлање	кидати
фрлање	кидок
фрлање	викидати
фрлање	молота
фрлање	кинути
припаѓале	належали
припаѓале	належав
гари	гаррі
гари	гарі
гари	гері
базен	басейн
капацитети	споруди
капацитети	venues
грос	валовий
грос	грос
рус	русь
учествуваа	обрані
одраз	відбити
одраз	відбиття
шарлот	шарлотта
ататурк	ататюрк
хумор	гумор
хумор	гумор
работничка	робітник
работничка	працівник
католици	католики
наклон	нахил
утро	morning
утро	ранку
утро	ранок
утро	утро
мис	міс
сооднос	пропорції
сооднос	коефіцієнт
сооднос	співвідношення
реми	ремі
реми	ремі
претставништво	представлення
пазарите	ринки
пазарите	ринків
планетите	планети
клајн	кляйн
атлетико	атлетіко
кафеава	браун
кафеава	коричневі
кафеава	brown
кафеава	коричневий
уганда	уганда
брана	гребля
украси	прикрасами
украси	обрамлення
украси	декорації
украси	декорування
привремена	тимчасове
привремена	тимчасові
привремена	тимчасова
привремена	тимчасово
привремена	тимчасовий
привремена	тимчасовий
неопходни	необхідно
неопходни	необхідні
неопходни	необхідним
половината	талію
половината	талія
половината	пояс
половината	пів
половината	півтори
половината	половина
половината	половину
половината	наполовину
изолирани	самостійні
изолирани	ізольовані
откри	названо
откри	відкрив
френклин	франклін
бродовите	кораблів
бродовите	кораблі
бродовите	пороми
предупредување	попередження
предупредување	увага
кршење	порушення
кршење	порушення
кршење	smashing
државјанство	громадянство
предци	пращурів
натписи	статті
натписи	статтями
натписи	статей
харисон	гаррісон
леви	леві
обама	обама
осветлување	освітлення
прославата	святкування
славко	славко
експериментални	експериментальна
експериментални	експериментальний
масти	жирний
масти	жиру
масти	жирна
масти	жири
семејствата	сімей
семејствата	родин
семејствата	родини
паскал	паскаль
вавилон	вавилон
скандинавија	скандинавії
обреди	обрядів
сакаше	кохав
сакаше	коханою
сакаше	коханим
сакаше	хотів
сакаше	захотіли
сакаше	хотіли
сакаше	хотіла
конкретно	спеціально
конкретно	конкретно
роберто	роберто
бетмен	бетмен
правник	адвокат
правник	юрист
запишување	написання
запишување	запис
запишување	писати
запишување	запису
тропски	тропічний
тропски	тропічні
пит	піт
ненадејно	раптово
ненадејно	раптом
ненадејно	несподівано
ненадејно	зненацька
ненадејно	несподівана
дебелина	ожиріння
дебелина	товщина
евангелие	євангеліє
ловат	полювати
ловат	полювання
фридман	фрідман
волк	вовк
бањи	бані
распад	розпаду
господин	містер
господин	джентльмен
прилики	випадках
грама	грамів
сместување	проживання
сместување	житло
крила	крила
курт	курт
курт	курт
регионална	районної
регионална	обласний
регионална	регіональні
регионална	регіональний
боуви	боуї
летно	літом
летно	summertime
пушки	гвинтівок
пушки	гвинтівки
пушки	зброї
пушки	зброя
пушки	зброю
умерена	помірні
болни	боляче
болни	хворим
болни	хворі
болни	хвора
болни	хворий
болни	захворіла
лаос	лаосу
полот	стать
полот	статі
полот	гендерна
гравитација	гравітація
гравитација	тяжіння
памук	коттон
памук	бавовна
редовна	формальні
редовна	регулярний
редовна	звичайний
редовна	формальний
олимпија	олімпія
погодни	зручний
погодни	зручно
погодни	зручна
клинтон	клінтон
учеснички	участь
учеснички	учасників
учеснички	учасники
учеснички	учасникам
климатските	кліматичних
валути	валюта
валути	валюту
валути	валюти
валути	валют
валути	валюти
дно	внизу
дно	знизу
среќен	щаслива
среќен	щасливі
среќен	щасливе
среќен	щасливий
среќен	щасливим
азиски	азійський
идентични	однакові
поканети	запрошує
поканети	запросив
поканети	запрошено
поканети	запрошують
поканети	запрошені
сведок	свідок
сведок	вдавалось
арапска	арабських
арапска	арабський
уста	рот
уста	рота
хив	віл
дилан	ділан
антиохија	антіохії
болката	біль
управувани	переживали
управувани	худоби
управувани	вдалося
управувани	зуміли
управувани	керується
вработен	служить
вработен	приймав
вработен	робітника
стручно	експертні
стручно	експерт
ладен	ладен
бернард	бернард
бернард	бернар
девојче	дівчинка
девојче	дівча
девојче	дівчина
девојче	дівчину
мајнц	mainz
сценарист	сценарист
моќни	потужний
моќни	потужно
реда	рядками
реда	рядків
реда	черевички
реда	рядки
мисисипи	міссісіпі
добиена	переміг
добиена	виграв
добиена	вон
добиена	виграли
мигел	мігель
чуда	чудеса
чуда	дива
чуда	дива
покани	запрошення
покани	запрошую
покани	запросити
покани	запрошення
покани	запрошує
покани	запрошення
робот	робот
рамен	рівна
гледал	дивились
гледал	дивилися
гледал	дивився
обележја	емблеми
детално	докладні
детално	детальний
детално	детальні
детално	докладно
детално	детально
детално	подробиці
детално	детальні
предаваат	навчити
хранливи	харчові
модни	мода
модни	fashion
имплементација	реалізації
имплементација	впровадження
имплементација	реалізація
имплементација	реалізацію
сини	blue
сини	блакитні
сини	блакитний
сини	блакитна
сини	синій
сини	сині
пијалаци	напої
пијалаци	напої
пијалаци	алкоголю
пијалаци	напої
онтарио	онтаріо
додатни	додаткові
ген	ген
ген	джин
ген	ґен
капабланка	капабланка
штети	сутичка
штети	збитки
штети	ламати
штети	пошкодження
веста	вести
антониј	ентоні
антониј	антоній
антониј	антоній
континенти	континенти
надмине	перевищує
надмине	побороти
надмине	подолати
ризици	ризики
трик	хитрість
трик	трюк
трик	аналізи
емоции	емоція
емоции	емоції
тери	тері
тери	террі
бич	бук
бич	береза
бич	пляжний
бич	біч
бич	пляж
доминантен	домінанта
судење	судять
исполнет	заповнений
конференции	конференція
конференции	конференції
конференции	конференцій
мажот	чоловік
мажот	чоловіка
татковината	вітчизна
татковината	вітчизну
татковината	вітчизни
избегнува	уникає
заклучоци	висновки
кабинет	кабінет
кабинет	кабінету
зачуван	збережені
зачуван	збережених
зачуван	збережено
зачуван	збережений
зачуван	врятований
арагон	арагон
значителна	значну
значителна	значний
сончев	сонячний
сончев	сонячно
корпорација	корпорація
радијација	радіація
радијација	випромінювання
радијација	радіації
анимација	анімація
собрал	зібралися
собрал	зібрав
собрал	зібрано
собрал	зібрані
помогнале	допоміг
помогнале	допомагали
помогнале	допомогла
помогнале	допомагав
помогнале	допомогли
неутрони	нейтронів
краков	краків
краков	кракові
едвај	навряд
едвај	ледве
едвај	навряд
одеднаш	раптово
одеднаш	раптом
одеднаш	несподівано
одеднаш	зненацька
одеднаш	несподівана
ферари	феррарі
ферари	ferrari
прописи	статут
прописи	постанов
прописи	постанова
прописи	регулювання
дуран	дюран
дуран	duran
кремљ	кремль
кромид	цибулю
кромид	цибулею
кромид	цибулі
мередит	мередіт
продукт	добуток
продукт	продукт
продукт	товар
пролог	пролог
античко	низки
свесни	уважні
свесни	відомо
свесни	усвідомлює
освојувач	завойовник
викиликс	wikileaks
налог	ордер
налог	ордеру
започната	запустили
започната	розпочали
југословенска	югославська
џеф	джефф
подигање	завантажувати
подигање	чоботи
подигање	завантаження
подигање	складати
подигање	підняти
