ஈறு	歯茎
கென்னத்	ケネス
சந்ததி	子孫
ஞானத்தை	知恵
குறிக்கோள்கள்	目的
குறிக்கோள்கள்	ゴール
குறிக்கோள்கள்	目標
பொதுவானது	公衆
பொதுவானது	公開
பொதுவானது	パブリック
விக்	ウィッグ
விக்	かつら
விக்	ビック
நிரப்பு	埋める
வெறி	必死
மருமகள்	めい
டாய்	ダイ
பாலும்	牛乳
பாலும்	ミルク
அந்தோணி	アンソニー
கில்பர்ட்	ギルバート
குழப்பமான	カオス
குழப்பமான	混沌
குழப்பமான	混乱
ராசி	ゾディアック
வரிவிதிப்பு	租税
கொக்கோ	ココア
எட்கர்	エドガー
பலவீனம்	衰弱
அழைப்பிதழ்	招聘
அழைப்பிதழ்	招待
பந்துவீச்சு	ボウリング
பந்துவீச்சு	ボーリング
வெளியீட்டாளர்	出版
வெளியீட்டாளர்	パブリッシャー
வெளியீட்டாளர்	出版社
சோபியா	ソフィア
சோபியா	ソフィア
நொடிகள்	sec
வடிவமைத்தல்	フォーマット
வடிவமைத்தல்	整形
டிசைன்	デザイン
டிசைன்	設計
டிசைன்	意匠
வரம்புகள்	制限
வரம்புகள்	制限
வரம்புகள்	リミット
வரம்புகள்	限界
பிசின்	樹脂
நேப்பியர்	ネイピア
மார்ஸ்	マーズ
மார்ஸ்	火星
உடைகளை	被服
உடைகளை	洋服
சிலிகான்	シリコーン
பரம	param
சேத்	セス
துயரம்	悲しみ
சுட்டிக்காட்டி	インジケータ
புதுப்பித்தல்	リフレッシュ
புதுப்பித்தல்	更新
சிமோன்	シモーネ
சிமோன்	シモーヌ
ராய்ட்டர்ஸ்	ロイター
ரெனே	ルネ
சைனா	中国
சைனா	チャイナ
வினவல்	問い合わせ
பாதுகாவலர்	保護
விருந்தோம்பல்	おもてなし
விருந்தோம்பல்	接客
யாம்	ヤム
எக்குவடோர்	エクアドル
மிமி	ミミ
ஸ்டுடியோஸ்	スタジオ
கார்ட்டர்	ガーター
கார்ட்டர்	カーター
தன்னம்பிக்கை	自信
தன்னம்பிக்கை	自信
தன்னம்பிக்கை	信頼
வாரிசுகள்	相続
மரியானா	マリアナ
ஜெஃப்ரி	ジェフリー
லூசியா	ルチア
லூசியா	ルシア
சாட்சிகள்	証人
கேட்ஸ்	ゲイツ
கேட்ஸ்	キャッツ
கேட்ஸ்	ネコ
மைக்கலாஞ்சலோ	ミケランジェロ
வளைவுகள்	カーブ
வளைவுகள்	曲線
டட்லி	ダドリー
டட்லி	ダッドリー
கடி	噛む
ஸ்கேன்	スキャン
சஹாரா	サハラ
நேட்டோ	nato
மெஸ்ஸி	メッシ
கிராபிக்ஸ்	グラフィック
கிராபிக்ஸ்	グラフィックス
வெளிப்படுத்தல்	開示
நெருக்கம்	圧縮
உண்பது	食べる
ஜொனாதன்	ジョナサン
ஈர	濡れ
அனுப்புதல்	送信
இரகசியம்	機密
இரகசியம்	内密
இரகசியம்	秘密
உண்ணாவிரதம்	断食
தட்பவெப்பநிலை	気候
எரித்திரியா	エリトリア
நாக்	ノック
நாக்	nag
எலக்ட்ரானிக்	エレクトロニック
கற்றாழை	アロエ
வாக்குறுதி	約束
வாக்குறுதி	promise
விசாரணைகள்	問い合わせ
மேட்ரிக்ஸ்	行列
மேட்ரிக்ஸ்	マトリックス
அறநெறி	道徳
முன்னோட்டம்	概要
முன்னோட்டம்	概観
முன்னோட்டம்	プレビュー
சாவி	キー
சாவி	key
பிடிக்கவில்லை	嫌い
பிடிக்கவில்லை	嫌悪
உருகி	ヒューズ
உருகி	布施
நினைவிடம்	追悼
நினைவிடம்	記念碑
நாண்	和音
நிகழ்நேர	リアルタイム
ஜோஷ்	ジョシュ
தினந்தோறும்	デイリー
கல்லூரியை	カレッジ
கல்லூரியை	大学
பரிந்துரைக்க	提案
முல்லர்	ミュラー
முல்லர்	ミュラー
ஏலக்காய்	カルダモン
தீர்மானங்கள்	解像度
தீர்மானங்கள்	決定
குற்றங்களை	フォールト
பிராண்ட்	ブランド
பிராண்ட்	銘柄
இலவங்கப்பட்டை	シナモン
நொடி	sec
சீரம்	血清
இசைக்கலைஞர்கள்	ミュージシャン
விட்டாலும்	だけれども
பெர்னான்டோ	フェルナンド
பிக்சல்	ピクセル
உக்கிர	輝度
உக்கிர	光度
மூழ்கியது	浸水
சாயல்	シェーディング
சாயல்	シェイド
சாயல்	日陰
சாயல்	シェード
சாயல்	色相
சாயல்	フエ
விரிவாகப்	マドラサ
ஜெரோம்	ヒエロニムス
ஜெரோம்	ジェローム
தாரிக்	タリク
தனிமை	孤独
தனிமை	寂しい
தனிமை	孤独
தனிமை	孤独
டக்கர்	タッカー
வெயிலில்	リラックス
போலியான	フェイク
வீடியோவில்	ビデオ
வீடியோவில்	動画
முனைப்பு	イニシアチブ
சந்திப்புகள்	ミーティング
சந்திப்புகள்	会議
கரோல்	キャロル
கரோல்	カロル
தோரியம்	トリウム
தருக்க	論理
பைலட்	パイロット
நிரப்பும்	中身
நகங்கள்	ネイル
ஒட்டகம்	キャメル
ஒட்டகம்	ラクダ
விந்தை	ベイブ
விந்தை	ベーブ
விந்தை	babe
கட்டில்	ベッド
ரான்	ロン
மன்	マン
விக்கிமேனியா	ウィキマニア
ஜில்	ジル
ஆதரவாளர்	サポーター
ஆதரவாளர்	サポーター
அசிசி	アッシジ
ஸ்பா	スパ
ஸ்பா	spa
ஜெரார்ட்	ジェラード
பூக்களை	お花
கைதி	捕虜
கைதி	囚人
கைதி	囚人
கைதி	刑務所
கைதி	監獄
நிமிடத்திற்கு	mnt
முறைகேடு	誤用
முறைகேடு	虐待
பவுண்ட்	パウンド
பவுண்ட்	ポンド
மரடோனா	マラドーナ
நாடகாசிரியர்	劇作家
ஸ்மார்ட்	賢い
ஸ்மார்ட்	スマート
கொடு	与える
கொடு	give
கானல்	蜃気楼
கெட்	ケット
கலந்தாய்வு	カウンセリング
மாலுமி	船員
சுங்க	風習
ஓட்டும்	運転
சத்துக்கள்	栄養素
ரியாத்	リヤド
இடுப்பில்	having
அடுத்தது	next
தியாகிகள்	殉教
வெட்டுதல்	裁断
வெட்டுதல்	切り取り
வெட்டுதல்	切り傷
முழங்கால்	ひざ
உதவிகரமாக	役立つ
டிரினிடாட்	トリニダード
ஹெர்பர்ட்	ハーバート
சல்மா	サルマ
கேரியர்	キャリア
தோல்வியுற்றது	失敗
பேசவும்	トーク
பேசவும்	喋る
பேசவும்	speak
உறைந்த	フローズン
பருவமழை	モンスーン
கால்களும்	フィート
கால்களும்	両足
சால்	サル
யுனிவர்சிட்டி	univ
பறிமுதல்	没収
பறிமுதல்	没収
சும்மா	ちょうど
சும்மா	ジャスト
சும்மா	ただ
இஸ்தான்புல்	イスタンブール
ஆண்ட்ராய்டு	android
ஆண்ட்ராய்டு	アンドロイド
காசிம்	カシム
செலுத்தல்	フィード
வெலிங்டன்	ウェリントン
பென்ஸ்	ペンス
பென்ஸ்	ベンツ
ஹெல்த்	健康
நத்தை	カタツムリ
சட்டவிரோதமாக	違法
பேசுபவர்கள்	話者
வெளியிடப்படவில்லை	非公開
மோதிரம்	リング
மோதிரம்	指輪
நிறைவுற்றது	終了
குண்டுவெடிப்பு	爆撃
புகார்கள்	クレーム
புகார்கள்	苦情
சீருடை	ユニフォーム
சீருடை	制服
பிளேட்டோ	プラトン
தன்னியக்க	自動
தன்னியக்க	オートマチック
ஆர்ப்பாட்டம்	デモンストレーション
ஆர்ப்பாட்டம்	実演
ஆர்ப்பாட்டம்	デモ
லாம்	ラム
லாம்	lam
நீட்டி	ext
கடந்தது	過去
ஹெய்டி	ハイチ
பதிமூன்று	thirteen
ஸ்பென்சர்	スペンサー
துண்டுகளை	スライス
அப்பு	apu
மெட்டா	メタ
தூக்கமின்மை	不眠症
ஒளிர்வு	輝度
ஆலிவ்	オリーブ
செருமேனியம்	ゲルマニウム
பொதுவானவை	全般
பொதுவானவை	一般
பொதுவானவை	将軍
அட்கின்சன்	アトキンソン
இசுட்ரோன்சியம்	ストロンチウム
அகரவரிசை	アルファベット
இனிமையான	スウィート
இனிமையான	甘い
ஓப்	oop
மலர்களை	お花
வேட்டையாடி	狩人
வேட்டையாடி	ハンター
நினைவாற்றல்	メモリ
நினைவாற்றல்	メモリー
நினைவாற்றல்	記憶
அபூ	アブー
பாங்காக்	バンコク
புளூட்டோ	冥王星
புளூட்டோ	プルート
டாஸ்	ドス
டாஸ்	dos
பைகள்	バッグ
வைக்கிங்	バイキング
டயானா	ダイアナ
ஹீலியம்	ヘリウム
எண்பது	eighty
உணர்கிறேன்	感じる
உணர்கிறேன்	feel
உணர்கிறேன்	フィール
உணர்கிறேன்	気分
உணர்கிறேன்	フィーリング
நீரூற்று	噴水
சூரியகாந்தி	ひまわり
மறைக்கப்பட்ட	隠し
மாடியில்	フロア
பிராட்வே	ブロードウェイ
ஆண்டிமனி	アンチモン
கார்ல்சன்	カールソン
உறுதிப்பாடு	確認
கேத்தரின்	キャサリン
கொம்	hom
சந்து	隙間
சந்து	ギャップ
பேப்பர்	用紙
பேப்பர்	ペーパー
அரிஸ்டாட்டில்	アリストテレス
மன்னிக்கவும்	sry
அதிசயங்கள்	驚異
கார்பைடு	炭化
ஐயன்	イオン
ஈரோஸ்	エロス
பழமைவாத	保守
ஏஞ்சல்	エンジェル
ஏஞ்சல்	天使
கறையான்	シロアリ
வடிவமைப்பாளர்கள்	デザイナー
லிஸ்பன்	リスボン
கார்சியா	ガルシア
கார்சியா	ガルシア
ஒண்டாரியோ	オンタリオ
கற்பூரம்	樟脳
சாண்டா	サンタ
சாம்பியா	ザンビア
மானியங்கள்	補助金
கராத்தே	空手
கட்டளையை	指揮
கட்டளையை	コマンド
அட்லாண்டா	アトランタ
கோப்	コープ
பீன்	ビーン
தொடர்பில்லாத	オフライン
புளோரன்ஸ்	フローレンス
புளோரன்ஸ்	フィレンツェ
மேஜிக்	magic
மேஜிக்	魔法
மேஜிக்	マジック
நொதுமி	中性子
கழுகுகள்	イーグルス
உள்ளீடுகள்	エントリー
உள்ளீடுகள்	項目
உள்ளீடுகள்	エントリ
கிரண்	キラン
தொடுதல்	タッチ
தொடுதல்	touch
தொடுதல்	触る
வேதனை	ペナルティ
வேதனை	処罰
நைட்ரோ	ニトロ
கோக்	コーク
கோக்	コーラ
தயாரிப்பை	製品
தயாரிப்பை	プロダクト
வார்ப்பு	テンプレート
தெரசா	テレサ
ஓயா	大宅
செலவாகும்	費用
செலவாகும்	原価
செலவாகும்	コスト
ஜெரால்ட்	ジェラルド
டிரைவர்	運転手
டிரைவர்	ドライバ
டிரைவர்	ドライバー
சுகம்	楽しむ
கஞ்சா	アサ
கஞ்சா	大麻
குறிமுறை	コード
குறிமுறை	符号
நிராகரிக்கப்பட்டது	辞退
நிராகரிக்கப்பட்டது	不参加
நிராகரிக்கப்பட்டது	却下
காரணமும்	理由
காரணமும்	理性
பொலோனியம்	ポロニウム
பேரி	ナシ
பேரி	pear
சேவையகம்	ホスト
சேவையகம்	主催
சேவையகம்	サーバ
சேவையகம்	サーバー
உருப்படி	アイテム
உருப்படி	品物
ராக்கி	ロッキー
ரூனி	ルーニー
ஹுசைன்	フセイン
சோதி	チェック
சாம்சங்	サムスン
சாம்சங்	samsung
பூல்	プール
ரீயூனியன்	同窓会
ரீயூனியன்	再会
சாப்ளின்	チャップリン
பனியாறு	氷河
அணுகு	アクセス
ராமா	ラーマ
ஈமு	エミュー
வெனிசுலா	ベネズエラ
மெரினா	marina
மெரினா	マリーナ
சீரியம்	セリウム
இருமுனையம்	ダイオード
ஐவரி	象牙
காகா	加賀
நியோ	ネオ
டங்கன்	ダンカン
கதாநாயகி	ヒロイン
பாட்டன்	バトン
ஹிந்துஸ்தான்	ヒンドゥスターン
பாட்ரிக்	パトリック
மலாவி	マラウイ
தோழமை	フェローシップ
பந்தம்	トーチ
பந்தம்	たいまつ
அம்பர்	琥珀
அம்பர்	アンバー
பதாகை	バナー
பதாகை	横断幕
வெள்ளெலி	ハムスター
பிரபலமானவை	人気
பிரபலமானவை	ポピュラー
வெல்ஸ்	ウェルズ
வான்கூவர்	バンクーバー
தாதுக்கள்	鉱物
மோடம்கள்	モデム
யூரி	ゆり
யூரி	ユーリ
தாலியம்	タリウム
கிக்	キック
மிட்செல்	ミッチェル
சமச்சீரற்ற	非対称
நொண்டி	ラメ
நவீன்	ナヴィーン
செம்மறி	ヒツジ
நாற்றம்	におい
ப்ரோ	プロ
ப்ரோ	pro
சில்க்	シルク
நினைத்துக்	考え
நினைத்துக்	思考
கிரேஸ்	恩寵
கிரேஸ்	グレース
கிரேஸ்	グレイス
கலைஞன்	芸術家
கலைஞன்	アーティスト
மீசை	口ひげ
மீசை	口髭
கருணாநிதியின்	解散
சட்டவியல்	法学
யோசுவா	ヨシュア
தினங்கள்	日数
ஊகம்	投機
பிடித்தமான	お気に入り
பிடித்தமான	お気に入り
ரேடார்	レーダー
ஹனோய்	ハノイ
பிறரை	他の
பிறரை	その他
கிங்டம்	王国
தான்சானியா	タンザニア
லெஸ்	les
முலை	おっぱい
உறைந்து	フリーズ
லில்	lil
லில்	リル
நேரடியாகச்	直接
பகிர்தல்	共有
பகிர்தல்	シェア
ஒன்றாய்	together
விபத்துக்கள்	事故
மெல்	メル
மெல்	かむ
கணக்கிடப்பட்ட	推定
அஸ்பாரகஸ்	アスパラ
அஸ்பாரகஸ்	アスパラガス
நிர்வாண	ヌード
பாதங்கள்	フィート
பாதங்கள்	両足
பாதங்கள்	前足
புனைபெயர்	偽名
பிளமேன்கோ	フラメンコ
கோஷ்	ghosh
கோரல்	サンゴ
தண்டின்	捕手
நியான்	ネオン
மேரா	メラ
தூசி	ダスト
தூசி	砂塵
தூசி	ほこり
புதையல்	宝物
புதையல்	財宝
அரைக்கோளம்	半球
பூன்	boon
ஹமாஸ்	ハマース
நீள்வட்டம்	楕円
புதிது	new
புதிது	新しい
புதிது	新規
சாக்	ザック
கண்டிப்பான	厳重
பிலிப்ஸ்	フィリップス
ஐஸ்லாந்து	アイスランド
அன்புள்ள	dear
அன்புள்ள	ディア
இதயத்தை	心臓
இதயத்தை	ハート
கண்ணே	babes
ஒரிஜினல்	オリジナル
ஜூனோ	ジュノー
பைத்தான்	python
பைத்தான்	ニシキヘビ
சோம்பல்	だらだら
சோம்பல்	怠け者
என்ஜின்	エンジン
இதழும்	花びら
சூழ்ச்சி	プロット
ஆடம்பர	贅沢
பேசுகிறார்கள்	トーキング
சமாரியம்	サマリウム
அம்புகள்	矢印
அம்புகள்	アロウズ
குவாம்	グアム
கோமஸ்	ゴメス
சான்றிதழ்கள்	証明書
சான்றிதழ்கள்	証明書
சான்றிதழ்கள்	証書
மறுத்தல்	無視
கிளிக்	クリック
ஆயுட்காலம்	生涯
ஆயுட்காலம்	通算
ஸ்ட்ரீம்	ストリーム
ஸ்ட்ரீம்	渓流
தாடை	あご
வெல்ச்	ウェルチ
சண்டே	サンデー
ஓவன்	オーウェン
ஓவன்	オーエン
ஓவன்	オーブン
மறுக்க	拒否
இணையதளங்கள்	ウェブサイト
கார்டு	和音
கார்டு	カード
வீடியோக்கள்	動画
பயோட்டின்	ビオチン
பட்ஜெட்	予算
அனிதா	アニタ
பென்னெட்	ベネット
மிசூரி	ミズーリ
ரீவ்ஸ்	リーブス
பக்கவாதம்	ストローク
கடவுச்சொல்	パスワード
நகைச்சுவையான	ユーモア
மாவை	生地
எழுகிறது	ライジング
எழுகிறது	rising
சென்ட்	香り
சென்ட்	セント
நண்பகல்	正午
சியாட்டில்	シアトル
கணவனின்	ダンナ
உலகமயமாதல்	グローバリゼーション
கோர்ன்	korn
கௌரவம்	名誉
கொலம்பிய	コロンビア
டர்னர்	ターナー
சுமையை	重荷
சுமையை	負担
வியாபாரி	ベンダー
உருக்கி	溶ける
தேக்கு	チーク
பிரமிட்	ピラミッド
உதய	ライジング
உதய	rising
தூசு	ごみ箱
தூசு	ゴミ箱
சுரங்கப்பாதை	地下鉄
திறந்திருக்கும்	オープン
திறந்திருக்கும்	開館
திறந்திருக்கும்	開く
காண்டாமிருகம்	サイ
சிங்கங்கள்	ライオン
சிங்கங்கள்	ライオンズ
பழக்கத்தை	政権
சாளரம்	ウィンドウ
திருடி	窃盗
பேஸ்பால்	ベースボール
பேஸ்பால்	野球
கியா	キア
ஆணைகள்	手順
ஆணைகள்	指示
நின்றுகொண்டு	スタンディング
அதிநவீன	洗練された
மெல்போர்ன்	メルボルン
பூட்டு	ロック
பூட்டு	錠前
அடைக்கப்பட்ட	剥製
நிக்கி	ニッキ
நிக்கி	ニッキー
நிக்கி	ニッキー
காடை	ウズラ
அப்பாவி	無実
பேகன்	異教徒
உள்ளுணர்வு	直観
உள்ளுணர்வு	本能
போர்வை	毛布
போர்வை	ブランケット
ஈடுபாடுகள்	エンゲージメント
வெளிறிய	青白い
வெளிறிய	ペール
பெனின்	ベナン
அனாதை	孤児
அனாதை	孤児
அசுரர்கள்	モンスターズ
குறுகலான	狭い
விருப்பங்கள்	設定
விருப்பங்கள்	お気に入り
விருப்பங்கள்	オプション
அழைக்கிறோம்	コーリング
மனிதரும்	ヒト
மனிதரும்	ヒューマン
மனிதரும்	人間
சாத்தான்	サタン
ரியா	レア
தேவையா	ニーズ
விகாரை	精舎
ரீபொக்	リーボック
முனையங்கள்	端末
தண்டர்	サンダー
யீ	yee
பிரேக்	ブレーキ
பளபளப்பான	光沢
ரூச்	ルージュ
பாலஸ்தீனம்	パレスチナ
ஆக்சோ	oxo
பரபரப்பான	センセーショナル
பரபரப்பான	スリリング
பயணிக்கிறது	船出
நம்பும்	トラスト
நம்பும்	trust
நம்பும்	信頼
தொங்க	ハング
எப்படியாவது	なんとなく
மால்டா	マルタ
காஃபி	コーヒー
புகாரி	ブハリ
உத்தரவாதம்	保証
உத்தரவாதம்	保証
உத்தரவாதம்	保証書
உத்தரவாதம்	保障
ஞாபகம்	remember
தெற்கத்திய	サザン
தெற்கத்திய	南部
பரவாயில்லை	ベター
பங்களாதேஷ்	バングラデシュ
மாடம்	mam
வொயேஜர்	ボイジャー
ஃபேஷன்	ファッション
அளவிடப்பட்ட	測定
நள்ளிரவு	ミッドナイト
நள்ளிரவு	真夜中
முடுக்கி	加速器
வீடுபேறு	モクシャ
கினியா	ギニア
கொட்டைகள்	ナッツ
பேண்ட்	band
பேண்ட்	バンド
ரிக்கி	リッキー
ஸ்பெக்ட்ரம்	スペクトル
சீமாட்டி	レディ
அதிர்வுகள்	vibes
உரிமங்கள்	ライセンス
மாதந்தோறும்	毎月
மாதந்தோறும்	月間
மாதந்தோறும்	月刊
மெசொப்பொத்தேமியா	メソポタミア
சாத்	サアド
சாத்	チャド
தீங்கிழைக்கும்	悪意
நாகரீகம்	ファッション
ஸ்டைல்	スタイル
அலுவலகப்	事務局
அலுவலகப்	事務所
அலுவலகப்	オフィス
நிலக்கடலை	ピーナッツ
கருத்தரங்கில்	シンポジウム
ஓட்டை	ホール
விளையாடு	遊ぶ
விளையாடு	プレイ
விளையாடு	遊び
பரிமாணங்கள்	サイズ
பரிமாணங்கள்	寸法
சேமிக்கப்படுகிறது	保存
வகுப்புக்கள்	クラス
தோனி	ドーニー
சாப்பிட	食べる
சாப்பிட	eat
ஆஃபினியம்	ハフニウム
ஜமால்	ジャマール
சொடுக்கி	ねずみ
சொடுக்கி	マウス
ஜென்	ジェン
கடிய	急性
கடிய	アキュート
உழைப்பாளர்	分娩
உழைப்பாளர்	労働
கிளாசிக்	クラシック
கிளாசிக்	古典
கிளாசிக்	classic
ஆவியாதல்	蒸発
சல்வடோர்	サルバドール
ஒருங்கிணைப்பாளர்	コーディネーター
பூத்	ブース
தொலைந்து	ロスト
நோலன்	ノーラン
பூண்ட	プンタ
உடையில்	ドレス
சாமுராய்	サムライ
சாமுராய்	武士
தட்டும்	切手
தட்டும்	スタンプ
ரிதம்	リズム
பைட்டு	バイト
எத்தியோப்பிய	エチオピア
லைபீரியா	リベリア
வழங்கல்கள்	フィード
கண்டறியப்படுகிறது	検出
உறங்கும்	睡眠
உறங்கும்	眠る
உறங்கும்	スリープ
வெல்ஷ்	ウェルシュ
வேனில்	バン
வேனில்	ヴァン
ஜுராசிக்	ジュラ紀
குடித்து	酔っぱらい
செருப்பு	サンダル
செருப்பு	スリッパ
இயந்திரத்தில்	マシン
இயந்திரத்தில்	マシーン
இயந்திரத்தில்	機械
ஐதரோகுளோரிக்	塩酸
இறகு	フェザー
இறகு	羽根
இறகு	羽毛
பயணங்களை	旅行
தொலைநோக்கிகள்	望遠鏡
சிரில்	シリル
சிரில்	セロ
பொத்தான்	ボタン
பொத்தான்	ブータン
செப்	sep
எங்கோ	どこか
தருணம்	moment
தருணம்	瞬間
தருணம்	モーメント
ஆன்டி	アンディ
பிசாசு	悪魔
பரப்புதல்	普及
ராபின்சன்	ロビンソン
நீர்மூழ்கி	潜水艦
ஈர்க்க	impress
ஸ்டீவர்ட்	スチュワート
செர்ரி	サクランボ
செர்ரி	チェリー
செர்ரி	サクランボ
செர்ரி	さくらんぼ
லேசிக்	レーシック
அனுபவிக்க	楽しむ
ஐரிஸ்	アイリス
எர்னஸ்ட்	アーネスト
மாசச்சூசெட்ஸ்	マサチューセッツ
டர்பன்	ダーバン
ஆன்லைனில்	オンライン
அமிலத்தன்மை	酸味
பருவகால	季節
எதிரொலி	反響
எதிரொலி	エコー
நைரோபி	ナイロビ
ஏமாற்றி	カンニング
ஏமாற்றி	浮気
மோனிகா	モニカ
பவளம்	サンゴ
தைமூர்	ティムール
டேனி	ダニー
சமந்தா	サマンサ
சல்பர்	硫黄
அவதாரங்கள்	原点
அவதாரங்கள்	語源
அவதாரங்கள்	由来
அவதாரங்கள்	起源
நகம்	ネイル
ஆற்றல்கள்	エンジン
நைட்டிங்கேல்	ナイチンゲール
ஆபாச	ポルノ
அறிவிப்பாளர்	アナウンサー
அறிவிப்பாளர்	アンカー
பங்க்	寝台
பங்க்	パンク
சம்மேளனம்	ccc
திசைகள்	方向
திசைகள்	道順
காவலன்	カタリナ
கொதி	茹でる
அரக்கர்கள்	巨人
அரக்கர்கள்	ジャイアンツ
இழுக்க	引っ張る
இழுக்க	プル
ஷெல்லி	シェリー
இன்ச்	インチ
புறப்பாடு	出発
எதிர்பார்க்கலாம்	expect
அனிஸ்டன்	アニストン
திரைகள்	モニタ
சந்தைப்படுத்துதல்	マーケティング
சாப்	sap
பைட்டுகள்	バイト
கூண்டு	ケージ
கூண்டு	カーペット
கூண்டு	じゅうたん
கூண்டு	絨毯
ஆமென்	アーメン
விழித்திரை	網膜
அறிவுரைகள்	助言
அறிவுரைகள்	アドバイス
அறிவுரைகள்	手順
அறிவுரைகள்	指示
தோழர்கள்	みんな
தோழர்கள்	同志
வாலை	尾翼
வாலை	しっぽ
கணிப்புகள்	予言
கணிப்புகள்	予測
கணிப்புகள்	未来
உற்சாகம்	興奮
உற்சாகம்	チアー
அழுத்தமான	厚い
அழுத்தமான	太い
தனியாள்	シングル
தனியாள்	独身
டெர்மினேட்டர்	ターミネーター
ஸ்டெர்லிங்	スターリング
மரியம்	マリアム
நேரலை	ライブ
நேரலை	生きる
தவறானது	無効
தூவி	デューイ
மெக்கா	メッカ
வயர்	ワイヤ
வயர்	針金
வயர்	ワイヤー
மர்மம்	ミステリー
கண்களின்	アイズ
கருத்தரங்குகள்	セミナー
மீத்தைல்	メチル
நெவாடா	ネバダ
பியர்ஸ்	ピアス
பியர்ஸ்	ピアース
மேல்முறையீடு	アピール
மேல்முறையீடு	抗告
மேல்முறையீடு	上告
மக்காச்சோளம்	トウモロコシ
ஆணவம்	傲慢
ஆணவம்	傲慢
புகாரா	ブハラ
முன்னிருந்த	デフォルト
நிக்கராகுவா	ニカラグア
சிற்றுண்டி	スナック
ஃபை	ファイ
வடு	傷跡
எதிர்பார்க்க	expect
அழைப்புகள்	招待
அழைப்புகள்	通話
அழைப்புகள்	招待
போனான்	フォノン
சென்டிமீட்டர்	センチメートル
டெஸ்	des
டெஸ்	テス
தலையங்கம்	見出し
தலையங்கம்	社説
பெல்ட்	ベルト
ப்ளூஸ்	ブルース
அச்சுக்கலை	タイポグラフィ
முனைவோர்	edp
கிப்பன்	テナガザル
உறக்கம்	睡眠
உறக்கம்	眠る
உறக்கம்	スリープ
தலைப்புக்கள்	役職
தலைப்புக்கள்	称号
தலைப்புக்கள்	タイトル
மரைனர்	マリナー
பேர்டினண்ட்	フェルディナンド
நகல்கள்	重複
நிப்பான்	日本
நிப்பான்	ニッポン
ஆனா	ana
ஆனா	アナ
ஆனா	でも
ஆனா	しかし
ரஷ்	ラッシュ
அடர்த்தியாக	激しい
பதிவேடு	ログ
பதிவேடு	log
பதிவேடு	登記簿
பெண்களே	婦人
பெண்களே	レディース
ஆரோன்	アロン
ஆரோன்	アーロン
நிலைத்தன்மை	一貫性
கம்பீரமான	マジェスティック
போலிஸ்	警察官
போலிஸ்	ポリス
போலிஸ்	警察
காந்தவியல்	磁性
விருந்தினராக	ゲスト
தீம்	テーマ
சிலைகளை	偶像
தஜிகிஸ்தான்	タジキスタン
புத்தர்கள்	仏陀
டெரெக்	デレック
டெரெக்	デレク
சாத்தியமே	可能性
பிரௌன்	ブラウン
நிக்கோல்	ニコル
நீக்குகிறது	削除
கிரானைட்	花崗岩
சீர்மை	整合性
நோர்போக்	ノーフォーク
நில்	スタンド
ஜோதிடம்	占星術
ஆசிரியை	愛人
இசபெல்லா	イサベル
இசபெல்லா	イザベッラ
அகற்றுதல்	除去
அகற்றுதல்	撤去
பாக்கெட்	ポケット
பாக்கெட்	パケット
டேட்டிங்	デート
